Hybridization REF	TCGA-AO-A03V-01A-11R-A115-07
SLC38A3	-1.3915
BAZ2B	1.21225
WDR87	0.286833333333333
BRD7	-0.43425
POU6F2	-1.303
NISCH	1.215375
TCEB1	-0.62025
LINGO2	-2.8305
TAX1BP3	-0.27725
RPL34	-0.497888888888889
MARK2	1.28783333333333
AKAP12	-0.9868
AMBN	-0.148
SLC25A27	-2.6595
FLJ21865	-0.185125
KIR2DS2	0.286666666666667
WDR77	-1.593
ATF2	0.4095
ITFG3	0.673333333333333
SLC39A13	0.65375
ARL6IP5	1.295
C10orf137	0.78225
QTRT1	-0.783833333333333
CCNT1	0.3395
DYNLL1	0.9403
WDR53	-0.69675
LIPG	-0.3175
ASAH3	0.018
HELB	-0.3445
PHACTR2	0.181625
VENTX	-1.16275
LAD1	0.274166666666667
PAOX	0.64025
MAPK8	-0.169
CCDC38	-0.015
DNAJC8	-0.3333
RBBP8	-0.10425
WNT11	0.1483
KCNJ12	-0.811666666666667
HDAC8	-0.944833333333333
STARD4	-2.8845
ACVR1	1.05833333333333
C14orf65	0.291416666666667
KLB	-1.3835
C1orf65	0.3725
ZFYVE28	-0.038125
NSUN6	1.1795
KIF27	0.809166666666667
SYTL2	1.22616666666667
UBXD2	1.0691
OR6T1	0.0145
CCDC91	0.777
GRID2	0.2595
CALN1	-0.510375
ZNF423	0.796
PSMB4	-0.8965
XPNPEP3	-0.838333333333333
ARPP-21	-3.1929
SART1	-0.20575
RACGAP1P	-2.4435
SPTA1	-5.563
C6orf113	-0.3735
C7orf16	-3.298
CHST7	-0.506
C21orf29	-0.172833333333333
SEMA6D	-1.141125
PCMTD1	1.3219375
KIAA1754	-0.952
MYCN	-1.3885625
KCNJ3	3.65425
MAPK13	2.8354
ERO1LB	-0.098
NTF3	-2.31433333333333
NKX6-2	-0.689
GTF2B	0.27125
GSPT1	0.661166666666667
GUSB	0.2345
LOC221091	-1.3855
LIG1	-1.75875
EXTL3	-0.542833333333333
NID2	-0.76225
TTC29	-0.47975
TMEM97	0.7065
EXTL2	-0.956666666666667
SUZ12	-1.176
IL1F8	0.7335
KRT18	0.300363636363636
MRPS16	0.67075
PI4K2B	0.3435
LACRT	-0.402
OR51F2	-0.0925
JMJD2C	-0.674125
KGFLP1	2.49
CDK5RAP3	-0.9425
YTHDF2	0.599166666666667
GGCX	0.433625
ARPC4	0.6385
EGLN2	-0.12
KBTBD4	0.3
ROBO3	-1.1187
DEFB118	-0.719
KIAA1543	1.65925
RTCD1	-0.602
MZF1	1.452
C18orf26	0.1395
CNIH4	-0.946
ZFP2	2.42083333333333
HTATSF1	0.3575
WFDC2	2.646625
NDUFA7	0.2325
TTC22	0.066
FAM40B	-3.410625
DCPS	-1.5715
SH2D1B	-1.224
MRGPRE	0.117
SBK1	0.64775
UNQ6411	0.1005
OSBPL9	-0.522
NUP107	-0.9625
MYOZ3	-0.5122
PDE4B	0.528916666666667
FAM113A	-0.028
IDH3G	1.01416666666667
FBXL7	0.130125
ARFGAP3	0.09125
MAPRE2	0.0090769230769231
IL1RN	-0.0957
KIF13A	0.20275
RAC3	-1.2845
TCTE1	-0.2095
TMEM14B	-0.877333333333333
ADIPOR1	-0.0778333333333333
GRINA	1.7105
CLIP4	-1.43975
LRIT2	0.042
TFPI	-3.06357142857143
FABP6	-1.985
SLITRK2	-0.5472
HKR1	0.29925
SMTN	0.2925
C1orf75	-0.97125
CD209	0.325625
CYB5R2	1.61325
DNTTIP2	0.0151666666666667
CSGlcA-T	1.030875
GABRB3	0.85
PCBD1	0.694666666666667
TAF3	0.889916666666667
HOXD3	-0.9345
GIPC3	-0.107166666666667
P11	0.8949
BFSP1	0.48725
LCP2	-0.09725
TAS2R8	0.00950000000000001
SEZ6L	-0.279125
NR2C1	-1.60175
EXDL2	1.1909
TNFRSF13B	-1.80033333333333
MKI67	-0.5285
GLS	-1.27216666666667
C7orf54	-0.4934
LGALS13	0.5025
IL4R	0.67325
SEC11A	-0.2995
SPP2	0.0628333333333333
C18orf32	0.0125
CLSPN	-1.84016666666667
SPAG1	1.23875
C9orf82	-0.202
TM4SF1	-0.332916666666667
EMILIN2	-0.76675
SMG7	0.117333333333333
TAS2R13	0.3145
ZNF628	1.629
DZIP1L	-0.704666666666667
ANKRD13A	0.2129
VASP	1.11825
ZCCHC11	-1.482125
SYPL1	0.078875
MGC34774	0.16
C4orf28	-0.029
KIAA1211	-0.84525
RPS27L	-0.113
TATDN3	-1.638
PDCD1	-0.14525
OR5P2	0.521
IFIT1L	0.44
MIPOL1	0.8665
OR51D1	0.7245
C1orf92	-0.769833333333333
LAMP2	0.924277777777778
CAT	0.398
C16orf80	-0.43975
C15orf32	-0.3485
ZNF746	-0.0225
C1orf76	-2.221
ATXN1	0.28125
LAMC2	1.011875
SLC2A7	0.0395
CPOX	-1.2895
APH1B	2.0805
LOC442245	-0.3495
CTNND1	1.55483333333333
GABRG2	-1.513375
MADCAM1	-0.533666666666667
F5	-3.332875
SEMA4F	-0.987666666666667
NUDCD3	0.511625
PDZD11	-0.167
TRIML1	-0.7605
GCNT3	-3.13083333333333
TMEM120A	1.3295
CNDP1	0.2185
N4BP1	0.982625
SLC35F2	-1.484125
LCP1	-0.0335
IGBP1	0.042
DCAKD	-0.537875
ELA2A	-0.6745
C12orf56	2.677875
PITRM1	0.700785714285714
GUK1	1.05366666666667
RASSF8	-0.2376875
OR2A14	0.331
ADM	-2.30555555555556
FGD3	3.12066666666667
GHRHR	-0.0473333333333334
RHPN2	-0.66325
C4orf39	1.48583333333333
VPS72	-0.28975
SERF2	0.174166666666667
CD22	2.2045
CD47	-0.0836
PPIC	0.128
IMPDH1	0.255
ACP6	-0.517333333333333
PRKACA	0.53875
PPP1R1A	1.220875
TRPV3	0.07175
ASXL1	-0.568125
C17orf55	-1.35816666666667
FXYD1	0.854666666666667
LMOD2	0.0595
ANKRD33	0.25
LCE2C	-0.461
ZNF620	0.7175
DKFZP566E164	-1.428
VSIG2	1.062
KIAA1128	0.181
USO1	0.503833333333333
NUDT4	0.402214285714286
CLDN1	-1.84935714285714
OR4Q3	0.6645
FASTK	-0.153666666666667
ICOS	1.16166666666667
LDB1	0.323
GSTA5	-1.554
ABCC1	-0.217333333333333
FAM54A	-3.19575
PCBP2	0.0826666666666667
NUP205	-1.548
ACTA1	-1.64
GABBR2	-1.90625
PIP5K1B	-1.097
AGXT	-2.45416666666667
RNF181	-0.0075
ATP8A2	-1.55475
AFTPH	1.7550625
FGF21	0.34475
FCER1G	1.534375
SNTB1	-1.66825
SLC24A3	2.51925
TXNL4B	-0.9014
RPL10L	-0.697166666666667
LOC389517	-0.3533
TSGA13	0.8625
SHOX2	0.286833333333333
ITGA7	-0.6264
KCNIP2	0.780166666666667
KLF13	0.9182
ZFAND2A	-0.24575
CEACAM1	0.142785714285714
PFKFB4	-1.858
MED19	0.1515
LRRC57	-0.446666666666667
RNF11	0.82175
ANKRD32	-2.894
P117	-0.1565
OBFC2A	-0.648
POLD3	-1.07225
RAB18	1.6085
TPH2	-0.287
PHB	-0.2969
JDP2	0.991166666666667
MORF4L1	0.2715
POU2F1	-0.55875
CNNM2	-0.084
LOXHD1	0.006
ZC3H15	-0.0145
ELK3	0.928333333333333
FAM111B	-0.4935
CBLC	3.18183333333333
SBNO1	0.89425
ANKMY2	0.007
PLEKHA5	0.14975
DHX58	0.674833333333333
ARCN1	0.0965
TREML1	0.5318
KNCN	0.3685
SEC24A	-1.18275
PSCA	2.98125
MGC24125	0.473
DNA2L	0.204
CIB4	1.4165
HIGD2A	0.576
TBX6	-0.0875
TTLL5	-0.0258333333333334
SGK3	0.0428333333333333
GCN1L1	-0.37025
AMOT	-0.1851
LDOC1	0.883
NRK	0.183833333333333
ASB9	-2.74175
NAT1	4.1509
TRAFD1	0.3405
PEAR1	0.153833333333333
FAM36A	0.22
OR1S2	0.1415
LOC388323	-1.8575
PGS1	-0.819
LEPREL1	-3.1445
TFF1	-2.01941666666667
HAP1	0.23325
EPHB2	-0.30025
ACTG1	0.566666666666667
ZFP42	-2.02016666666667
HAVCR2	-0.2249
NME1	-1.315
SNX26	-0.164916666666667
LACTB	0.760333333333333
ZKSCAN2	0.23625
C5orf35	-0.2485
ANKS3	-0.2565
RBM28	-1.5785
DKFZP586P0123	-1.03325
HNRNPA1	-0.5405
BCAS3	-1.28075
FLJ20184	0.9135
POLA2	-1.7815
TMC7	-0.8445
HSD17B6	0.6475
ZNF658B	-0.215166666666667
TTTY10	-0.299833333333333
RANBP9	-0.312583333333333
CPNE7	-1.30983333333333
EVL	2.22670588235294
LNX1	2.15475
IFNA21	-0.255833333333333
CFD	1.91575
PYCARD	0.0156666666666667
MYBPC2	-1.7
ENPP3	-1.522
ACSL4	-1.99075
LOC440258	1.16333333333333
TMEM176B	3.65133333333333
SOX2	-2.016375
SCO1	-0.237666666666667
COMT	-0.084
AOC2	-0.36375
PDLIM5	-0.256357142857143
SPHK2	1.98233333333333
NXPH2	1.304
GPR108	1.49583333333333
RAD51L1	-0.291833333333333
TMEM54	1.09875
LETMD1	-0.713666666666667
SLC6A17	0.414666666666667
KRT75	-0.4115
STT3B	-0.123666666666667
CD3EAP	-0.389
TMEM63A	0.822
DUSP13	-1.55475
CD1C	-0.459666666666667
LASS2	0.817
AVP	0.334
PITPNM1	-0.825375
FLJ22795	-0.31
MCTP1	-1.859
TRIM68	1.4875
UCK2	-0.945166666666667
ABHD1	-0.7105
FAM50A	-0.13275
RNASEH1	-1.05833333333333
PCP2	1.9695
OR52H1	0.1135
C20orf149	2.622
RBP5	0.893833333333333
HYAL3	-0.70625
CLPB	-1.0255
SMNDC1	-1.18325
DONSON	-3.01333333333333
FLJ27523	-0.45125
BARHL2	0.328
SLC30A9	0.582333333333333
TMPRSS11B	-0.30475
E2F8	-1.62916666666667
CCDC25	-0.370166666666667
C14orf48	-0.590833333333333
C20orf116	1.235375
TSPAN11	0.2865
YIF1B	-1.26083333333333
FAM12B	3.30225
OR1L6	0.8895
HPN	2.6599
NBN	0.75725
C14orf94	-1.5535
OCLM	-0.827
ZSCAN18	2.8468
L3MBTL	-1.5017
TSTA3	2.25283333333333
RAC1	0.342625
C19orf15	0.268666666666667
NFE2	-4.53475
KLK14	0.184
ARSF	0.285
MAST2	0.0826666666666667
AMICA1	1.77966666666667
GTF2A1	0.41125
ATP1A3	0.0085
TC2N	3.8214
PNKP	1.942
ODZ2	-0.225875
MATR3	0.62275
S100P	-0.691375
KRT82	-0.1595
CA13	-0.0291
PROZ	-1.651
AASDH	1.2335
C19orf40	0.0468333333333333
DCK	-0.314230769230769
FAM5C	-1.96025
SLC6A4	-0.6845
MID1IP1	0.148
TESSP5	-0.052
TMOD4	-0.0683333333333333
DOCK2	-1.1555
TUG1	0.82
NUP214	-1.329
DPYSL2	-0.624772727272727
GOLM1	1.41025
MPFL	0.26675
SOX13	1.42325
SDCCAG8	0.6179
KEL	-2.6065
NUP210L	-2.939
GK	-2.030125
DNAJB1	1.54125
ALPK3	0.581
CHID1	1.2318
CYLC2	0.0858333333333333
IKZF5	1.7585
C8orf51	1.76516666666667
PPM1J	1.6915
GIMAP8	2.26683333333333
GPR101	-0.317
NR2F1	0.026
ACAD8	-0.347
RBM35A	2.046
GNAI2	1.2215
METTL8	-0.776166666666667
SLC39A7	-0.805
FBXO8	-0.0315
CAMK1	-0.08325
RFC3	-1.332125
FAM129A	-0.8425
ILF2	-0.477
FGFBP3	-1.75675
NOM1	-1.25466666666667
PSMA3	-0.5925
ASCC3	0.1516
ZYG11A	-1.72525
SOX21	-1.605125
LYRM1	0.657
DEFB1	0.975
LOC91431	-3.60216666666667
OR7C2	0.802
FAM46B	1.640875
TMEM18	-0.11625
ARHGAP30	0.669166666666667
TMEM86A	3.57216666666667
EPHA2	-1.65416666666667
C10orf46	-0.59295
TCHH	-1.76483333333333
C3orf30	0.473666666666667
LOC285636	0.618
PAIP2	-0.3975
CYP2U1	-1.069375
C12orf34	1.02425
SARS2	-0.524166666666667
ZCWPW1	-0.84425
SAMD12	2.536625
KIAA1430	-0.50975
ACAT1	0.23825
MEOX1	2.0775
ADAMDEC1	2.801
PHKA2	-0.34725
CARD11	-1.5055
CALML4	0.189
TSSC1	-0.8065
TMEM45A	-1.25811111111111
MPP7	3.12825
POU1F1	-0.10075
SLC2A13	-0.2159
FBN2	-0.227714285714286
ZC3H7A	0.6219
LAIR2	-1.4885
ST3GAL1	1.13916666666667
LCT	-3.36025
GEMIN8	0.622666666666667
KLF16	-0.0339
HIF3A	-0.3247
FAM44A	0.961428571428572
AQP10	-1.6027
PLA2G2A	-0.8565
FOLH1	0.486666666666667
C20orf186	-0.051
MAPKAP1	0.151125
SPRR2D	-1.8585
UBQLN4	-1.25833333333333
RSHL1	-0.112
PIAS3	0.768625
MRPL24	-0.7925
GREB1	-0.743875
FAM27E3	-2.7865
NUP62CL	-2.239
NEUROG3	-1.035
REEP3	1.19291666666667
MARK1	0.64575
LMBRD1	1.12925
PRPF19	-1.6925
PNMT	0.289333333333333
CTGLF1	-0.37
SLC25A16	1.5805
EIF2B3	-1.2295
RPA2	-0.424
PAK6	1.35883333333333
CCDC26	-4.39175
SEMA3E	4.340625
MXD4	1.9616
TNFSF10	3.3113
SMARCB1	1.18633333333333
DTX3L	1.52366666666667
PLA2G4E	-0.104
PPAP2A	0.97225
ULK1	0.359
TAS1R3	-0.0875
SLC2A3	-3.49490909090909
ARID3A	-1.25975
GNG5	0.865
ACOX1	-0.5747
KIF5B	0.82175
NUP153	0.0395
MUC7	-0.5605
CSDE1	0.348714285714286
CLPTM1	0.95975
C3orf23	0.643
LRRC17	0.891
TTYH3	-0.376625
ATP5B	-0.659
ELF3	1.89011111111111
CPSF3L	0.627666666666667
ZNF665	2.06733333333333
TLR6	-0.7365
GPI	-0.055875
RAD9A	-0.035625
NDST4	-3.6055
AGPAT3	0.571
MAGI3	3.083
ADORA2A	-0.338875
CACNG7	-0.193
CAMK2D	-1.10042857142857
CCHCR1	-1.0305
RPS27A	-0.207
OR10G7	0.0145
GCM2	-0.288
FAM135B	0.8225
E2F1	-1.86625
PLCB3	1.32875
OR2AE1	0.001
COIL	-0.257833333333333
CDC25C	-2.07616666666667
RAB11FIP2	-0.1035
TSC2	1.071
CTGLF5	-0.215
CCDC108	0.0586
OR13C4	-0.052
C10orf81	3.087
PTPRB	1.74375
ACP2	0.33925
LAG3	0.05875
MRPL54	0.39125
LOC201175	0.3095
ITGB1BP3	-2.11775
SPTAN1	0.5755
SIPA1L2	-0.67625
RCAN2	-0.8025
CDX2	0.826
ECOP	-0.516
ACTR1A	-0.286571428571429
PPARG	-1.03083333333333
BBS10	0.330166666666667
TMEM44	-0.91
BPIL2	0.09125
CITED1	-1.356
IRF6	4.031
PRDM4	0.295
RRP9	-0.1515
OR10H4	0.32125
IL31RA	-0.57725
GNB1L	-0.717833333333333
MYBL2	-2.563
ZNF407	0.825
PPIG	0.3245
TTC18	3.75775
RPSA	-0.358
MAPT	1.004125
MRE11A	-0.5525
C8orf37	0.0216666666666667
RASGEF1C	-0.0805
STBD1	1.118
CTAG2	-0.570333333333333
MGAT5B	-2.09333333333333
ECM1	1.15325
RLN1	0.1855
PARP14	0.9695625
EPB41L1	1.092
HOXA3	-0.98775
MAGEA9	-5.43825
RPS8	0.251333333333333
RPS19BP1	-0.07725
FOXJ2	0.661
C10orf76	0.050375
IL17RE	-0.50075
C10orf65	-1.99325
ZNF343	0.274
FBXO33	-0.848
UHMK1	1.3491
LY6G6C	-0.7345
FGF19	-1.9275
C14orf128	0.0863333333333333
IFIT2	2.219875
TIGD1	-0.973
S100G	-0.1345
GUCY1B3	2.2475
NR3C1	-0.9817
CORO1B	0.462166666666667
PARP11	0.80175
DNALI1	3.6455
OR4N4	0.277375
MAP2K6	-1.59466666666667
FSTL4	1.80233333333333
ANKRD47	1.30325
TMEM171	-1.6135
PNLIP	0.37375
YY1	0.428333333333333
CCDC138	-1.935
AASDHPPT	-0.747
CKS1B	-1.1421
MCM3	-1.33616666666667
ANAPC7	-0.780833333333333
FAM110A	2.33925
CDC37L1	0.747833333333333
THTPA	0.0905
NBPF20	0.2225
WDR24	1.2095
NPTX2	-2.3015
CBLB	0.898
CETN1	-0.1362
RPUSD1	0.877
FAF1	-0.4565
CDK6	-3.0106
HMX2	0.468
CSK	0.406833333333333
TEAD2	0.916
SNAP25	1.2605
TUFT1	1.3376
TMTC3	0.6495
LCK	-1.99125
SGOL1	-2.646
AKTIP	1.5545
FURIN	2.021
SOX12	1.3825
DEFB103A	-0.80025
RAMP1	-0.587
KIR3DX1	-0.3585
GAS2L3	-0.4615
PDE8A	-0.6334
EDN3	1.106
GMIP	0.90825
SF3A2	0.12175
FN3KRP	1.426
SMAD7	3.1535
RHBDD2	1.4925
OR11H6	0.29
PPP1R3B	1.4419
C9orf23	-0.0685
CADPS	-1.64625
GOLGA8A	-1.985625
TMEM57	0.868166666666667
RGL3	-2.0545
S100A14	1.88675
FGFR2	4.6525
XRCC3	-0.59625
RTN4RL2	0.072
MGC3771	0.693
GH2	0.141666666666667
BTBD2	1.2285
LMO2	-0.12
RDBP	-0.528875
ACRBP	-2.2545
AMY2A	0.91075
DUOXA1	0.066
PTK7	1.105
TWF2	0.3455
FAM80A	0.78475
TNNI2	-2.85083333333333
GLT25D1	-0.231833333333333
OCC-1	-2.16225
CYC1	0.320166666666667
RPL22	0.328181818181818
MORN3	1.34183333333333
DISP1	0.5005
PRB2	0.6585
CHUK	-0.086
HR	-0.725375
CCDC134	-0.343
DENND4B	-1.0025
C14orf130	0.14675
RAB33A	-0.8395
DCST2	0.226
TNMD	-0.41
PEX7	0.85025
FAM62A	0.35475
SRD5A2L	0.08175
IL22	0.01975
RPS26	-0.935666666666667
HOXC5	0.4355
SPATA6	1.3135
FLJ38482	0.29575
ZNF234	0.6555
C18orf22	0.73925
SPATA22	0.919
THOC1	-1.2055
CYP7B1	2.3655
KCNC3	0.709
C8orf42	-0.551
ALDH1B1	-0.311
CCDC100	0.1336
ARMC4	-2.61375
FAM18B2	-0.18475
SLC44A1	0.192
FBXO17	-1.2405
C6orf107	-0.176
C19orf29	0.136
ZC3HAV1L	-0.2555
PARP6	1.3904
SULT2A1	-4.984875
C1orf159	0.289
TMC1	0.25875
CHST14	-0.40425
GAMT	-0.204
SMCP	0.591
TSPAN33	0.226166666666667
MIDN	0.213375
NOX4	1.42375
RNASEN	-0.513
TBX1	-1.343
SALL2	-0.419
C10orf35	-0.21225
CYP2E1	-1.06
LRFN2	1.26
ACO1	-1.648
IQCG	0.4092
MEGF9	1.9235
TM7SF4	1.1875
PLEKHA1	-1.22146666666667
STK33	-3.675
C1orf210	2.3155
SNUPN	0.4714
KIAA0406	0.3291
C20orf29	0.278
TMEM55B	0.01525
OSTM1	-1.2375
CLCN7	0.65925
OTP	-0.018
FLJ23049	-0.97775
HEATR4	0.9215
MAP3K10	-0.467166666666667
PCDHGA9	1.069
AMDHD2	0.41
LCTL	-2.479
PDCD2L	-0.174
CABLES2	-0.583
SLC5A9	-0.80275
CLCA2	-1.57283333333333
MGC16025	-0.7335
STRAP	-0.436666666666667
C20orf196	0.9755
RRBP1	0.472166666666667
NAT13	-0.1545
MAT2B	0.48525
CSNK1D	-1.04833333333333
KIR3DL1	0.12675
PRKAG3	0.5185
ZNF599	1.6475
PRM3	1.246
PER2	0.724
ASPHD1	-1.415
PRMT6	-0.3435
KCNE1L	-0.387285714285714
FAM118A	0.574833333333333
TAF4	-0.314
NDUFB6	-1.2575
TRIM9	-1.47141666666667
PMFBP1	-0.7635
KY	0.574
DKFZp762E1312	-2.85445454545455
CSMD1	-1.1645
TBP	-0.311666666666667
OR1Q1	0.170666666666667
RETNLB	0.09875
HPGD	0.0534285714285714
DNAJC12	5.33583333333333
FKBP1B	-2.05975
ANKRD24	-0.2075
CXXC5	1.36866666666667
IL3	0.128875
DRAM	0.7024
PTCH1	-1.83175
TP53BP1	-0.75175
SLC17A7	-0.197
COL25A1	-1.1694
AMACR	1.351
RHCG	0.4145
VPS13A	-0.416583333333333
FAM55D	0.554
PRPF38B	-0.641416666666667
OSBPL6	1.528
PFDN5	-0.0119
CMTM6	1.732125
KCNK12	-0.9045
RP2	0.79775
C16orf52	-2.22475
PICK1	1.4195
IFNE1	-1.66466666666667
SEMA4B	2.85
TYRO3	-2.25675
OR12D2	0.164
CSNK1A1	0.98585
FANCF	1.665
LONP2	0.22225
TBL1Y	-0.30275
LDOC1L	0.3645
CCNC	0.14275
C3orf60	-0.28425
CHKA	-0.50225
UBAP1	0.96825
MAP3K1	2.6465
ANKRD9	-0.5195
FAM92A1	-1.86133333333333
GAB2	0.32025
AZU1	-0.3985
DIS3	-0.345916666666667
C21orf109	-0.867
IQCB1	-0.1685
SPATS2	-0.623166666666667
EFCAB3	0.003
PRB3	0.495625
FUZ	1.7965
ZNF813	2.726875
BMPER	-0.575666666666667
HEG1	-0.041875
ALS2CR11	-2.5775
SURF2	-0.766
PSMC1	-0.246416666666667
OR2D2	0.478
SLC7A8	1.97333333333333
C4orf40	-0.1875
SPATA7	-0.36775
MAZ	0.692
PIN4	-0.3135
PDE1A	-1.330125
TAF6L	0.343333333333333
OR2T34	-0.0225
KIAA0284	0.207
ACADS	0.826454545454546
MKRN2	0.0915
C18orf56	-4.002
MS4A6E	-0.0798
GALNT4	1.5603
C22orf31	0.0655
FLJ36070	0.2625
PSME4	0.55125
TFG	-0.000800000000000006
EPHX2	0.00175
ANXA5	-0.55375
KRTAP1-1	-0.6221
BATF	2.15175
KARS	-1.73675
MSTP9	-0.72
GPR26	0.76825
CCDC72	0.58025
TEF	0.852833333333333
FOXK1	-0.2901
PRLHR	0.137
EMX1	3.76625
C11orf30	-0.080875
ICK	0.629
THSD7B	0.768
C21orf100	-1.3945
DUOX1	2.4605
EFCAB4B	-0.00049999999999999
UBE2G2	-0.7465
C3orf54	-0.2185
PARP1	-1.0615
FAM60A	-0.452333333333333
C6orf146	0.3555
OR9K2	0.135
DDX55	-1.47183333333333
RPS15	1.0845
ZNF618	0.763375
DKFZp686D0972	0.59825
SSPO	-1.2745
SHFM3P1	-0.1425
CPA6	5.15975
JAG2	1.12325
DEFA3	0.04725
PPBPL2	0.198
CD34	4.24975
SLCO4A1	-3.120875
AFG3L1	-1.86266666666667
SHD	-1.41475
RP13-122B23.3	-0.466666666666667
PRKCSH	1.1095
DPH5	-0.800833333333333
HLA-F	2.011625
TBC1D4	0.45525
RIG	-0.0685
GLUD1	0.7465
HNRPCL1	0.985125
HBXIP	-0.24625
RNF207	-0.6285
APIP	-0.50625
PLA2G3	-3.40533333333333
CCDC84	-2.2785
MYLIP	0.284307692307692
PHIP	-0.02075
AARS2	-0.489
DHX32	1.76425
SCAPER	0.845666666666667
MEN1	0.018625
NIP7	-0.84525
FLJ25404	0.7875
FASTKD3	-0.59475
TMEM158	-2.35758333333333
RARA	1.32125
BDH1	0.6055
ANKRD16	1.30525
CARM1	1.1475
SS18	0.274666666666667
IKZF2	0.412416666666667
MYD88	0.748375
PML	0.8031
TAF1A	-1.543
CBFB	-0.255875
HIST1H3H	-0.9255
C7orf29	-1.46075
COMMD4	-0.726
DPP3	-0.13625
DAB2	-0.212875
LOC388882	-0.359
YPEL4	-1.19025
AGBL3	-0.10275
LRP6	0.5866
SERPINH1	0.0938333333333333
TLE1	-1.16475
CD244	0.324
ZDHHC15	0.66
MGLL	1.9503
PLDN	-0.308833333333333
LOC654346	1.8955
FAP	2.23425
GPR37	-0.495
SCARA5	0.0478333333333333
EBF4	2.85281818181818
LSM6	-1.14275
MLLT1	-0.00362499999999999
SLC5A12	-0.58225
A2BP1	-1.75616666666667
COPS5	-0.729833333333333
TPM4	1.03864285714286
TNFSF4	0.7685
ACADSB	1.83044444444444
HERPUD1	0.2825
BCL2L11	-0.092
CEP78	-1.8285
CDCA3	-2.04925
WBSCR19	0.5163
MYO1A	-2.853
PPEF1	1.8475
LOC440348	0.205
CPEB2	2.013
BPTF	-1.03525
RPL21	0.1929375
GSX2	0.1065
ADPRH	2.1145
C17orf68	0.304166666666667
KCNS1	0.157833333333333
MLLT6	0.1364
PIWIL4	-0.9055
RNF26	-1.175
RAP1B	0.52875
ADAMTS1	-1.728
ZNF571	0.773
P2RY6	-0.9455
TRIM21	1.48566666666667
CADM3	-0.1725
NLRC5	0.504
ADRA2B	-0.102666666666667
LOC90835	0.172
PCF11	0.1475
LOC400451	3.0875
GLTSCR1	0.366
C17orf88	-0.617166666666667
CDH16	-1.5755
FGF7	2.29325
PCSK4	0.878
NPC1L1	-1.16233333333333
TAT	0.492125
TBCA	-0.59525
MGC33407	0.06325
GPR115	1.06475
CYGB	1.173
FNBP4	-0.895666666666667
C12orf43	-0.29425
CBL	-0.6677
CLECL1	0.43325
PPAPDC1A	1.6795
WDR25	0.599333333333333
SGCA	0.337
C22orf29	0.0971666666666667
YIPF1	1.64125
GALK2	-0.8945
RAB3B	-0.801333333333333
LOC440087	3.91275
UCP1	-0.335
REEP5	1.46075
FADD	-0.4873
FOXA1	3.7345
CACNA1A	0.0575
ABI1	1.11966666666667
GRIN2D	0.0365
SLC1A4	-0.313833333333333
LOC401127	-1.31975
HINT2	0.84025
PLD4	1.242
ZNF286A	-1.7395
ENY2	-0.52775
IL1F6	0.049
PXDNL	1.08375
C20orf79	-0.2295
TNFSF13B	1.93816666666667
DENND3	-0.139625
JARID1D	-3.766
HIST1H2AK	0.605375
LOC93349	0.1624
SSH1	-0.8524
ENSA	-1.6595
LOC219854	-0.932666666666667
CKAP2	-0.3632
DKFZP564J102	0.265
MGC87315	0.490666666666667
HNRPAB	-0.98125
AMH	-2.387
ZNF526	-0.047
BRUNOL5	-0.3168
CACNG3	-0.0276666666666667
TRPM1	-2.7665
PPP2R1A	2.491125
COL2A1	-2.0475
DDN	-0.704166666666667
FLJ25770	1.27958333333333
HK2	0.00314285714285716
ELOVL6	-3.059125
MDK	0.55
EPHX1	1.26675
RASSF2	-0.021625
DKFZP434B0335	-0.01425
DLX3	-0.010875
PRTN3	-1.15925
AVPR1A	1.22775
C21orf125	-0.1335
TNFAIP8	-1.459
GNB2L1	0.1015
CALCRL	3.336
SCGB2A2	5.64733333333333
UBXD7	-0.136
ZNF674	-0.083
TMEM35	-0.351625
BRSK2	-0.08475
HECTD3	1.09116666666667
TMEM188	-0.389583333333333
LGALS9	2.44175
SCARB2	1.60091666666667
USP34	0.533916666666667
C17orf28	1.77041666666667
ZDHHC23	-1.051
AQP12B	-0.6395
SLC16A3	-2.542
APLP2	0.916625
ITIH2	-4.932
MICAL3	-0.36925
TNNI3K	1.4981
HDAC2	-0.334125
PRR7	-0.9329
THBS2	-0.039625
LOC751071	-0.622833333333333
CA2	1.56866666666667
RANBP17	0.1985
RLN3	-0.01875
CRYZ	1.05283333333333
GBAS	0.2105
TAS1R1	0.23475
MPZL3	0.2975
PCDH8	-1.7505
HSP90B1	0.375916666666667
KCNK15	1.8885
TNIP2	0.0773333333333333
GPR146	0.355
NOL6	0.078875
SPC25	-4.38522222222222
STEAP2	-0.232857142857143
VAMP3	0.411666666666667
TCIRG1	-0.617
ZP4	-0.165333333333333
PARL	-0.1495
TRIM39	-0.0286666666666667
KIAA1305	1.051
CRNN	0.380833333333333
GRN	0.23025
HSH2D	-1.21775
SCAMP1	0.8940625
KIAA1913	-0.0355
PTS	-1.0675
BANP	-0.132714285714286
PRKACG	0.39925
ADCY6	0.845
C16orf46	1.7125
CYP51A1	0.00025
DDC	-5.7225
ANPEP	-1.0195
PROM1	-0.120666666666667
SIGLEC10	1.6935
COPG	1.5165
FAM26E	1.193125
TRIP4	1.71525
SNX3	0.877
C1orf175	0.463666666666667
PPY2	0.25025
C14orf152	0.2935
FTSJ1	-0.508333333333333
