Hybridization REF	TCGA-AO-A12E-01A-11R-A10J-07
C9orf140	-0.915625
UST6	0.0325
ZBTB8OS	-0.27575
ZNF710	0.7755
GPR174	-1.2305
ATP6V0A2	-0.73775
KIAA0319L	1.10216666666667
XKRX	-0.187
DOPEY2	1.4083
SDHD	-0.51025
SUMF1	1.14225
OSM	2.913
OPN3	-1.2855
DAGLB	0.106166666666667
PPFIBP1	0.26
TRIM63	-0.16675
C10orf53	0.1045
LYPD3	0.944833333333333
BCL7A	0.08075
AGER	-1.141
TCF19	-0.951375
SAT2	1.24475
PFTK1	0.909
GABRE	-1.55575
C15orf38	0.9344
FIS1	0.2115
KCNV2	0.399
CLPS	0.32875
PPCDC	-0.394625
FOXN2	0.921333333333333
NT5E	-2.8447
CD83	0.9505
IL18	0.9075
VPS16	0.59425
IGFBP2	0.214
NOTCH2	0.63275
SIGLEC1	2.64025
CD93	5.2165
SULF2	-1.52575
CEP164	-0.42875
P53AIP1	0.316166666666667
TOR2A	0.370833333333333
ZNF136	0.07175
MGP	3.199
CCDC144A	0.337666666666667
TRPC1	-0.8355
SMS	1.03316666666667
MAPK7	0.0595
RRAGC	0.67425
PARD6A	0.472166666666667
NUB1	1.28216666666667
SYNGR4	0.857
OR11H12	0.1795
WIF1	1.929125
GCH1	-0.04775
OR11H4	-0.019
SLC44A5	-0.4715
GPRIN2	0.852833333333333
LOC401431	1.3325
CPA4	-2.9112
MELK	-2.13777777777778
IL15RA	0.487
CUL3	1.01975
HMBOX1	0.2195
PODXL	-1.36
CCT6B	0.944
COMTD1	-0.304
MUC20	0.363833333333333
GPX2	-1.816375
ITK	-1.271875
FBXL5	1.84725
C13orf27	-2.078
DEFA5	0.1465
TRHDE	0.0685
MTP18	-0.612166666666667
UQCRQ	1.2637
ITGB2	2.19333333333333
CSRP2BP	0.64
TAS2R44	0.4305
PHPT1	0.52875
FAM44C	0.28625
ERH	-0.123
MPHOSPH1	-1.26916666666667
MORC1	-0.1915
PARVB	-1.49575
LAMA1	-1.75016666666667
PGBD3	0.0305
GIMAP6	3.64275
AREG	-0.458666666666667
LIPT1	-0.00275
MGC99813	-0.71
C1orf201	0.2
GRIN2A	-0.2157
MAN2C1	-1.0295
NSUN5	-0.42425
SF3B5	0.232
MYC	-0.3270625
NRXN1	0.0123333333333333
ZNF18	0.7715
SPDYA	-0.54475
SLC37A1	1.517
DECR2	0.58225
ANKRD38	0.55375
SPTLC3	-1.49291666666667
SUPT16H	-0.295625
DTWD2	0.9755
ULBP1	-0.0885
ZADH1	-0.0586666666666667
OIP5	-1.78925
IL10RB	0.0465
OTUB2	0.22175
VWA3A	0.227666666666667
SPIC	0.0513333333333333
OR6C4	0.143
PSCD4	1.508
DPY19L2P2	-0.4645
TRAPPC6A	0.889333333333333
C21orf2	-0.00983333333333333
CEMP1	0.6405
LIN7B	0.6315
E2F7	-2.10183333333333
VCP	-0.0904375
LAMA3	1.94283333333333
BGN	0.82875
GPR160	1.5755
COCH	-5.19633333333333
GPR81	1.79316666666667
APOBEC3F	-1.73175
tcag7.1017	-0.57175
C1orf32	0.23
SCGB1D2	7.28
FLJ43987	0.0235
C6orf170	0.30925
KLK9	0.4655
GPD1L	0.97425
VPS37B	-0.01375
ATG3	-0.294
ADAMTS17	0.507
KLHDC2	-0.181333333333333
NDUFV2	-0.3735
BLK	-3.35575
MATN4	-1.1945
GPM6A	0.143714285714286
GBP4	4.3465
TMEM162	0.0861666666666667
PKP2	0.859
HRASLS	-2.06444444444444
MMP1	-5.599
SFXN3	-0.0587
FSD1	-2.17
ST6GALNAC3	-1.17533333333333
CA12	3.3373
NCOA6	0.12375
C19orf58	-0.0391
PPP4R1	-0.535833333333333
MAN1A2	0.0503333333333333
IKBKAP	-1.10375
UPF1	0.404333333333333
KIAA1219	0.71525
WNT16	-0.1032
SNW1	0.113125
IL18RAP	1.86
RPP30	-0.43625
CDC40	0.148714285714286
SETD3	0.2185
SLAMF6	0.16875
ELK4	-0.4835
TRIM47	0.966166666666667
ACOX3	0.875625
TRIM6	0.641
KIAA0372	0.024
TP53AP1	1.976125
SMURF2	-0.57575
ADAD1	0.396
EBP	-0.5572
KRTAP13-2	-0.1275
FLJ36874	-1.06833333333333
TOR1A	-0.0136666666666667
P2RY4	0.275
GPBP1	0.21875
TRPV1	0.567875
ADAMTS12	0.610333333333333
PES1	-1.014
ATG4A	0.561166666666667
MAGEA10	-4.536
WFS1	1.369
CC2D1B	-0.185333333333333
PABPN1	-0.573875
SLC25A30	0.3175
SLCO1C1	0.215
SLC22A5	2.41975
KIF23	-1.687
SYN2	0.375
ASPN	5.3045
CENTG2	0.36975
QSOX2	-1.4071
FLJ10815	0.233
STK24	-0.3403125
SPEG	0.1865
STK10	0.469833333333333
DACT2	0.136
AAAS	-0.443
SSX3	-1.40175
ABCD3	0.7412
C4orf12	0.04175
PARVG	0.997166666666667
FIG4	0.7195
C9orf46	1.34075
TMCO6	-0.2795
IGHMBP2	0.97875
DUS2L	-0.928166666666667
FAM3C	0.0794375
TMEM16D	-1.64575
DCTN4	0.8275
KCNH3	-0.02425
EIF2AK2	1.8275
AP1S3	0.54225
CST4	0.2465
PAM	-0.0953125
NUTF2	-0.599
CITED2	0.5142
SLC39A4	-1.283
C2orf52	-0.4585
GRM3	0.26725
C12orf49	0.848875
CCDC49	0.2048
GRAMD1B	-1.24975
FNDC4	1.02
SIAH2	2.362375
GDPD4	0.0545
C21orf87	0.2485
ATP5A1	-0.5525
C16orf63	-0.304125
LOC388135	-0.724333333333333
ATP5J2	-0.31625
MMP3	0.62075
EMID2	-0.3675
CRHR1	0.00025
WDR70	-0.00375
C13orf31	0.76225
ZFAND1	0.714
CCL18	2.82166666666667
C3orf49	-0.468
RINT1	-0.041
KIAA0408	-0.465
F13A1	3.8646
SLC10A1	-0.0891666666666667
OGN	2.81125
GIPC2	0.0876666666666667
XPO6	-0.589
LCE1A	0.6275
FMR1	0.3481
LOC374920	0.125
DUSP3	0.527875
ANKMY1	0.2495
C7orf50	0.73
BBS9	0.0666
UNC119B	-0.535375
C9orf72	0.1005
MGC35440	-0.2045
ENTPD6	0.373125
PPP1R2P9	0.1615
ERCC4	0.2405
FAHD2B	-0.153
HMHA1	0.4005
HACL1	-0.5125
RAD23A	-0.0468333333333333
FAM83B	-0.787
PPP5C	-1.27033333333333
RNASEH2C	-0.731375
C9orf153	-0.38975
SCAMP4	0.841875
GHITM	0.6922
NDUFB7	0.315625
ADCYAP1	1.13216666666667
SP110	2.799
MAP3K7IP2	0.468
DHH	-0.0265
AGRN	-0.148
WDR33	0.255666666666667
CEP290	1.07166666666667
PRPS1L1	-1.95566666666667
KLRA1	-0.016
GPR97	-0.041
CHD7	-0.65075
TLR10	1.038
SLC30A8	-0.1825
HIC1	0.912166666666667
IAPP	-0.0815
RXFP4	0.30025
GP1BB	0.591
SHQ1	0.403
NKX2-3	0.298166666666667
API5	-0.812
FTHP1	-0.3105
MOV10L1	0.206
TRIM6-TRIM34	2.5025
ADHFE1	1.732
FAM117A	0.20925
DDI1	0.231333333333333
CDON	-0.686333333333333
TRIM73	0.283
IGKC	2.839
MMP14	-1.77316666666667
DYNC1LI1	-0.158
C11orf66	0.1885
TRBV3-1	-1.555
FASTKD5	0.0105
BIVM	-2.594
LHX4	0.049
CXCL2	2.0901
RAB2B	-0.695666666666667
IZUMO1	-0.31125
MAP3K15	-1.4505
FAM19A2	0.118833333333333
ZC3H8	-0.631833333333333
ZMAT1	1.766875
SPINK5L3	-1.4765
SLC10A6	0.43
APPL2	-0.46275
CARD10	0.172166666666667
LOC402176	-0.98625
EEF1D	1.0015
RAB6A	-0.1294
C12orf5	0.04475
PAPOLG	0.2125
MSRB2	0.85825
BCR	0.143
PUS3	-1.01
TIAM2	-0.2305
ZNF317	-0.0621666666666667
CHD2	-0.137785714285714
FZD5	-1.34090909090909
NUDT8	-0.23575
ZNF763	-0.456
PRC1	-1.26311111111111
ABCB9	1.14816666666667
SPATA3	0.0875
TRAK2	1.040875
STAB1	2.97225
LRRTM2	0.2035
psiTPTE22	0.726
DBI	1.0355
SERPINA11	-0.34975
NAT5	0.591
C20orf58	-2.41525
RPS6KA4	-0.373166666666667
FLJ90650	0.9055
TGFBRAP1	0.28775
CHRDL2	0.3065
FAHD2A	-0.476333333333333
CNTN1	0.0225
BBS4	0.2261
TMEM181	-0.1405
MINPP1	-0.0455
MPHOSPH6	-0.237666666666667
HOXC10	0.00170000000000001
ITPKB	-0.328875
CLPTM1L	0.34875
MEOX2	0.585
ATP6V0C	1.088875
PRPF8	-0.0608333333333333
TMC5	1.94575
FKBP3	-0.2895
PLEKHB2	-0.476375
OR4D6	-0.423
ZNF544	-0.4887
D2HGDH	0.12875
RPL18A	-0.9077
HEL308	-0.123
MPP6	-3.692
TCERG1	-1.32975
KRT16	1.42983333333333
KLF17	-0.49525
KLF5	0.84275
CDR1	3.070625
VCX3A	-4.131
FBLN2	1.75225
C14orf104	-0.4495
HBE1	-5.5457
OR4S2	-0.1925
C1orf108	-1.0435
ROBO4	3.518
CPEB4	1.151375
C11orf80	0.737
BCKDHA	0.719
MYOC	1.32375
GIF	-0.454
CKMT1A	2.0505
RPL3	0.1821
THBS1	2.780125
APOO	-0.6095
ARMCX1	2.06875
HSZFP36	-0.048
SNAPC5	-0.1225
EIF4ENIF1	0.1885
ZNF433	-0.07975
TNFRSF21	0.24975
TMPRSS7	-0.1685
SPATA18	0.7031
HPDL	-3.4405
MKL2	1.295
TBX3	-0.007
C21orf93	0.418
DAXX	-0.22775
ELMO1	0.46275
RGS13	2.0725
TAF11	-0.91525
UNC13A	-1.707875
LOC653314	0.1109
ORC3L	-0.19225
IMAA	-2.381
TARBP2	0.242
CABIN1	-0.6071
TRIOBP	0.3978125
HIST1H2AC	0.57225
RGS22	0.026
NCOA1	1.39766666666667
IL25	0.7065
SNCG	2.8975
GPR6	-0.1355
AMDHD1	-1.0945
CHEK2	-1.246625
C6orf142	0.3455
DRD4	0.48325
C14orf68	-0.7975
GDF11	-1.6275
SEMG2	-0.2015
CD247	-2.31125
CDAN1	-0.4995
RBMX2	0.0385
TGS1	-0.275
OIT3	1.3795
SYF2	0.40825
MCM4	-2.533875
PKHD1L1	0.577125
CEP192	-1.12266666666667
IFT88	0.17
RPL9	0.0672142857142857
RAB32	-0.264375
DDX43	-1.77875
P2RX2	0.330833333333333
OR5D18	0.0265
UBE1	-0.62675
SLC24A1	0.55625
ARHGAP5	0.12875
CETP	0.16225
KIAA1731	-0.636166666666667
SLC9A4	0.4515
PTPN6	1.4625
BAHD1	0.375
GRIK3	0.1185
CACNB2	-0.3957
PDE10A	-0.895
DGCR14	-0.34675
PCDHB9	0.395833333333333
RHOQ	0.926166666666667
MAP3K4	-0.5145
KTI12	-0.6465
RPL23AP13	-0.68775
GNG11	-0.1565
CLCN3	0.912
GPAM	2.579875
VSTM2A	2.4125
SLAMF7	1.65083333333333
INTS2	-0.31175
PPP2CA	0.6877
LRP12	-0.856933333333334
SEC14L2	2.83844444444444
DKFZP586H2123	3.7635
MC3R	-0.08
CIRH1A	-1.56933333333333
HIST1H2AB	0.386333333333333
POLH	-0.377
MGC16703	-1.54816666666667
SNAPC2	0.879
FILIP1L	1.293
RASGRP4	0.9475
LRRC1	2.03775
GAS1	0.87825
PRAC	-0.52975
DGKA	0.218666666666667
NT5C3	0.0235
PEG3	-2.92633333333333
NADK	-0.43
PRR17	-0.06875
LOC374569	-0.565
SGSH	0.1815
NLRP8	1.105
GALT	0.5288
MCF2	-0.4355
ZNF263	0.75175
TACSTD1	1.4235
TYR	-6.9651
ATP6AP2	0.2195
RNUXA	0.2255
ABHD10	-0.0547
GDPD2	-0.563
SLC35C1	-0.647
UBE2A	0.507125
HERC5	0.151666666666667
FAM112B	-5.19533333333333
FBXL16	2.25425
DKFZP434A0131	-0.49075
ELA3A	-2.63
RBM41	-0.6265
HAO2	-0.34125
RNH1	0.5075
SHANK2	1.08616666666667
OSBP2	-1.824
DAK	-0.603
C3orf58	-0.146333333333333
TCL1B	1.388
KBTBD2	-0.244125
SUGT1L1	-0.0505
UBE2E2	-0.0965
MYL9	2.22825
CDC23	-0.0831666666666667
PBXIP1	0.7008
CXorf40B	1.307
NBL1	0.808
RTBDN	0.3855
RAB11FIP5	-0.224125
TTTY13	-0.596
SCOTIN	0.65525
SOHLH1	-0.4455
CDKN1A	1.04714285714286
NCK1	0.186
ZNF550	-0.0845
SAPS3	1.58466666666667
SPIN3	-0.1335
MAGEE2	0.1105
MIS12	-0.154833333333333
OR8H2	0.3065
KIAA0774	-1.18
UNC5D	-0.9805
CUL7	-0.5995
LIPC	-4.23516666666667
DIO1	-0.205
C20orf11	-0.0389
CTRL	-0.699
HS3ST2	0.8525
PAK4	0.6265
CCRL1	1.4595
RNF10	0.433375
ZNF567	-0.288
ZNF660	-0.128
TCEAL3	1.28925
MAGOH	-0.06
CENPB	-0.278333333333333
C19orf7	0.578125
LOC388965	0.22625
ZCCHC13	0.3675
JMJD1A	-0.9445
HIST1H4H	-0.479
TBRG1	-0.8378
GPC3	-2.9905
TAF1C	-0.905375
EBNA1BP2	-0.422833333333333
CIAPIN1	-0.87975
PDGFRA	-0.0290555555555556
CSTB	-0.441375
CENPI	-1.601
GTF2E2	-0.334833333333333
RPP21	-0.5525
CCNF	-0.7815
KCNQ3	1.052
FAM79A	1.243
SLC22A12	0.365
NOVA1	0.916166666666667
FZD3	0.4827
AKAP8	-0.588
SOCS5	0.485375
CFDP1	-0.788
DLG5	0.54375
PGM5	0.713583333333333
C1orf144	0.376833333333333
HDAC10	-1.7005
RND2	-0.1075
C20orf199	-0.51025
RNMT	-1.425125
SLURP1	-0.172625
ASTN1	0.047
SH3BGR	2.286
MYCL1	-0.269125
ZHX1	-0.0115
CENPK	-2.1435
FOSB	2.204
LOC643406	0.174625
C2orf59	-1.514
TMEM135	0.016875
SLC27A2	-0.88225
KRT33A	2.9165
OVOL1	0.27425
PAMCI	-2.31666666666667
S100A7	-1.267
ZNF789	-1.289
HARS2	0.6605
RPL23A	-0.609
TCF23	0.01375
UPF3B	-1.39575
C17orf78	-0.2635
HLA-DOB	0.374833333333333
C14orf142	0.0308333333333333
TEKT5	1.42033333333333
DMWD	0.1255
POLD1	-1.7785
GSCL	-0.425
CALD1	0.3334
SCRT1	0.106166666666667
AIG1	0.7105
UNC84B	-0.34775
ZNF404	-1.527
TMED6	-3.12325
KIAA1462	0.247
LRRC27	1.45633333333333
PYGO1	-0.5995
PIGU	-0.1395
ALAS2	-4.35283333333333
WRNIP1	0.022625
CNNM3	0.9145
ZNF2	0.06875
ST3GAL5	-0.165333333333333
MRPL23	-0.47125
TSSK6	-0.2005
PSMA6	-0.10525
C16orf70	-0.574
KIAA1602	0.35425
ALMS1	0.0558333333333333
DCN	1.914375
TMEM132D	-0.55725
SUCLG2	0.87525
ABHD14A	0.36175
DEXI	-0.112833333333333
AMPD2	-1.23266666666667
IFNAR2	-0.346
CYB5A	1.769
TLOC1	0.75765
NXF5	-0.347666666666667
NRBF2	0.029
KCTD3	1.2055
ITGAE	-0.576666666666667
SLC30A3	-2.10916666666667
ZRF1	-0.662
IFRD2	-0.49025
XAB1	-0.292
PYCR2	0.2245
SERPINB3	-4.3045
TMLHE	0.0406
GEFT	-1.019625
ABCA5	-0.257
EMR4	-0.0838333333333334
TSFM	0.76875
HIST3H2BB	-0.593
ARHGEF19	0.877
TSPAN17	0.276
ABCC8	2.1075
MAP1S	0.203166666666667
C22orf36	0.67775
BNC2	-0.4085
HIST1H4A	0.22175
NDUFS3	-0.7285
WDR3	-0.721166666666667
XKR4	-0.31075
TTC33	0.0963571428571428
STMN2	1.4205
CPN2	-0.680666666666667
HSPC105	-0.14475
PCOLCE2	-0.0405
C3orf55	1.7625
KLHDC9	2.64766666666667
TBC1D23	0.087875
ATXN2L	-0.816333333333333
MAP2K3	0.519416666666667
SCAP	0.0455
ZNF486	0.135166666666667
C20orf96	1.0115
NARS	-0.969
ADAMTSL1	-0.730285714285714
PRCC	0.0495
CCDC126	1.90583333333333
ZNF675	-0.32125
CALCOCO1	0.83375
ANKRD43	2.887
CWF19L2	-0.362166666666667
ZBTB32	0.178333333333333
BRAF	0.06025
ODF4	0.37625
MGC14376	0.474666666666667
HORMAD1	-1.7065
AAK1	0.0499166666666667
PEBP1	0.807916666666667
TNFSF5IP1	0.123666666666667
DKFZp564N2472	0.44075
RMND1	0.395875
IGKV1-5	3.933
COL1A2	1.31966666666667
SERPINA5	1.098625
AANAT	0.1855
C19orf21	1.43566666666667
GEMIN5	0.23675
UBR4	-0.528333333333333
LTBP3	0.367666666666667
AMHR2	1.442
PROCR	-0.4495
MYBBP1A	-0.168
C20orf39	0.055
ZNF697	-1.30825
PASK	-0.2229
ZNF776	0.289333333333333
RFXDC2	0.035
KIAA0467	0.06425
C10orf96	-0.918
ZNF503	-1.336
GULP1	-0.641083333333333
KCNE4	1.32533333333333
DKFZp434K191	-0.123125
LOC196913	0.184
BHLHB4	0.738
CH25H	1.70825
LOC81691	-0.343333333333333
ALPL	0.790071428571429
COL12A1	0.87175
FOLR3	-2.08566666666667
GPR123	-0.191625
TRIM62	0.464714285714286
ABLIM1	0.538666666666667
MAST3	-0.1385
RHBDD1	0.583333333333333
LOC338809	-0.0775
RYBP	0.917
TTC26	0.090625
ZNF22	0.111333333333333
ISCA2	0.308
RDM1	-0.99675
PIGM	0.33475
GNB3	-1.691
ACTR2	0.2674
HMGB1	-0.1916
EDG1	3.92066666666667
SOAT2	-2.59775
OR10AD1	-0.166
RAP1GDS1	0.305333333333333
LCE1F	-0.4045
ESM1	-0.99575
RCN3	0.983
CREBL1	-0.68625
DBNL	-0.340666666666667
PTGER3	1.58475
USP30	0.405833333333333
BCL2L12	-0.704333333333333
KIF26B	0.9555
ZNF416	-0.24
ZNF225	-0.528
C17orf70	-0.06925
ZNF554	0.279
RAE1	-0.8635
TNIK	0.692666666666667
ACTN3	0.3815
MGC45922	0.366
CCNA1	0.167166666666667
RYK	0.142
IL26	-0.8165
LRP3	0.4795
QARS	-0.39125
SOX7	1.37814285714286
BID	-0.6185
OR2S2	-0.4695
CXCL14	3.8065
C11orf47	-0.3295
MGC29891	0.00216666666666671
HSPB8	0.477
PRDM14	-1.172
NUFIP2	0.1415
MNAT1	-0.15325
ZDHHC2	-0.7
MBNL2	0.188125
ADD3	-1.1235
CSNK2A1P	-0.71025
KLK6	0.00733333333333333
TMEM111	0.9614
KIAA1279	0.8415
NUBP2	0.965166666666667
RAB42	-1.2285
ID3	-1.3494
TM9SF1	0.31275
MDP-1	-0.0045
POU4F2	0.12175
IQCK	1.843
C16orf14	0.514
CAPN3	-1.25525
FAM43B	0.341
RECQL	-0.6085
AP1G1	-0.191
CTNNBL1	0.469
ECHDC1	0.757333333333333
SMARCC1	-0.304
FOXQ1	-1.827
GNAI3	-0.129833333333333
POLG2	-1.61025
CD4	1.034625
ITLN1	-0.31525
EBI2	4.39625
IRF1	0.897
PTPRE	1.771
PTK2B	-0.35275
NXNL2	0.778
SOX4	0.472166666666667
TSPAN3	0.0918333333333333
SH2D1A	-3.767
C8orf58	-0.397666666666667
USP20	-0.67625
DUSP22	-0.7175
CALB1	-1.96733333333333
L3MBTL2	0.239333333333333
MCRS1	0.085
TMEM118	0.1335
C18orf8	0.373
FLJ10241	0.1465
GJA12	1.1195
PKD1	-0.356333333333333
ZFP3	0.364
JAM3	-0.880625
LAPTM4A	1.3475
DIRC2	0.31225
KIAA2022	-0.0695
MYOM1	1.51483333333333
TRPM8	-0.988833333333333
MOP-1	0.72675
PHKG2	0.15025
ZNF650	-0.030625
KIAA1522	1.105125
PSG8	-1.20233333333333
DDX19B	-0.221
MOBKL1B	0.14175
DIAPH2	-0.206416666666667
PTPN12	0.166
CLN8	-0.3004
CRYZL1	0.0683333333333333
CRY2	0.489583333333333
FCGR2B	3.88166666666667
PNPLA4	1.790375
ZNF454	0.515
DKFZp434B1231	0.2125
CLDN11	0.336
RFWD2	-0.310333333333333
CIB2	-0.957
MXRA8	2.120375
HRK	-0.830125
MAML2	0.24075
C4orf31	0.227
C6orf192	-0.31
COG6	0.015875
FAM5B	-0.12825
NFATC1	0.4038
SEPT10	0.094
SCYL1	-0.5701
RPP40	-1.07675
SCOC	0.8129
KIAA1450	1.0845
CTDSPL2	-0.57475
TBX5	0.265333333333333
NAPG	-0.5715
RHD	-4.58825
C14orf45	2.83966666666667
ZBTB22	1.1415
PLCG1	-1.152
ANKRD10	-1.216875
AQP7P2	2.32825
TAGLN2	-0.288
HTR2C	-0.838833333333333
SLC16A7	1.46
C17orf83	-0.553
TSGA14	0.05875
MDH1	-0.27075
PPP3R2	0.148333333333333
DCBLD2	-2.19407142857143
RBM33	-0.210875
DPH3	-1.452
SYT10	-0.473
FMO4	1.919625
THYN1	-0.86175
DRD5	-2.0815
OTOR	1.284625
PGRMC2	0.5841
KATNAL1	-0.341875
PAQR6	-1.8305
UBE2I	0.065
C14orf28	0.128
C8orf70	0.709
FLYWCH1	0.205
ANGPTL3	-0.683
GLRX2	-0.276333333333333
ATP11A	-0.724714285714286
ARL5B	-0.1535
MUC16	-2.00825
SLC25A5	-0.996285714285714
ACRC	-1.69925
MYO1C	0.426125
FAM89B	0.356
FAS	0.502375
KIFAP3	0.20875
GLRA2	-0.4465
BTN3A2	-0.0565
CNKSR3	0.350375
CSTF3	-1.33266666666667
ARPM1	0.46025
KIAA1530	-0.266
C9orf150	2.2995
PRKCI	0.43125
tcag7.1015	-1.1675
SOD3	0.72275
ZNF574	0.053
CYP21A2	2.02625
RPL12	-0.17625
COMMD2	-0.80075
WIZ	0.06675
LOC344405	-1.03175
ALDH4A1	0.563411764705882
CRYAB	3.642
COPA	0.3115
PCDHGA7	0.256333333333333
KIF11	-1.03725
RASD2	0.232375
SLC26A3	1.1085
ZNF175	-1.0425
JAKMIP2	-2.86525
C8orf4	0.825833333333333
PTHLH	1.702
SLC40A1	3.43216666666667
OR7D4	0.329333333333333
PCDHB17	0.132
CD36	4.84407142857143
C6orf203	0.5965
PRKG2	-0.2145
LOC400566	2.142
ANAPC13	0.6615
SLCO3A1	-0.25625
ZNF692	-1.662
FANCL	-1.0735
SH3GLB1	0.56975
C12orf61	0.2205
KBTBD6	-0.78625
SUPT5H	0.171
XRCC6	-0.5385
HUS1B	1.4944
FAM133B	0.0202142857142857
LOC728276	0.079
KCTD18	0.92875
SOS2	0.5275
CCDC99	-1.78975
C1QTNF5	2.4815
NNAT	0.819333333333333
USP16	0.0895
LARS	-0.72225
ZBTB2	0.229875
ABO	-0.026
TRAF3	-0.838
GALNT5	-1.431
NAP5	0.696
ALG14	0.900333333333333
KIAA0515	-0.280769230769231
WDR75	-0.878666666666667
TEX261	-0.156416666666667
LY86	1.656
LOC389072	-0.7725
FLJ13611	0.551
MRGPRX2	0.258
SNRPA	-1.044125
OR2G2	0.407
GPRASP2	0.7935
C7orf42	0.522
C9orf163	-0.6965
CYP11B2	0.585
FCRL3	0.00383333333333333
PRDX1	-0.25075
FGB	-6.18683333333333
COX17	0.4255
C16orf33	1.19325
PIWIL1	0.211333333333333
FOLR1	-1.74283333333333
KIAA0082	-0.033
FREQ	-1.54983333333333
TMCC2	-1.68783333333333
TCF12	0.0735833333333333
ZNF721	-0.32925
FAM130A2	0.39475
POU4F1	-2.20175
SNRPF	-0.81075
SGIP1	0.233333333333333
ZNF641	0.668333333333333
EMG1	-0.009
PRRG4	0.971
HIRA	-4.49875
MYNN	-0.234833333333333
AEBP2	0.0885
TBXA2R	0.461166666666667
ISL2	-1.09033333333333
PCDHB11	0.736
RNF144A	-0.9855
MARCH5	0.15825
DULLARD	0.261166666666667
DCLRE1B	-0.266833333333333
ITGA8	-0.4215
TP73	0.345875
PRKCD	1.664
NDUFB4	0.90575
ATP13A4	0.500625
ANTXR2	-0.400666666666667
COL4A3	-0.179333333333333
MYO10	-1.87
SLC6A18	0.44025
PEX1	0.7475
TMEM74	-0.616666666666667
RBM19	0.8175
TAPBP	0.51045
RUNX1	1.439625
MID1	-0.946666666666667
GPR64	-1.5155
RASEF	3.832
GABRG1	0.20625
MYO16	0.14725
DBF4	-1.33066666666667
TSHZ2	3.1495
RIPK2	0.47775
PPTC7	0.280666666666667
KIF4B	-0.9925
LRRC31	1.593625
ZNF540	0.70525
EFNB3	-0.124833333333333
LOH12CR1	0.379125
STON2	0.741166666666667
GLP1R	0.48675
CSTF2T	0.24125
IREB2	-0.877125
GRSF1	0.126
PDCD7	-0.7485
LRRC43	-0.2885
CNR1	0.686
IL1F7	-0.283
C12orf64	-0.046
FAM69B	-0.9025
NR2E1	-1.8555
MS4A6A	2.4407
FTL	-0.3672
C7orf36	0.163
PCLO	2.5389
DYRK2	0.284666666666667
ARIH2	-0.237625
SAMD7	-0.133
SCNN1D	-0.501
SLC32A1	-0.816375
C22orf25	-0.231333333333333
MRPS18A	0.1403
GPR112	0.0925
EARS2	-0.119
ERN2	0.289
ATPBD3	-0.285166666666667
PRH2	0.136
CDKN2D	-0.186166666666667
PGLYRP2	2.1105
TRIM40	-0.4355
SEC14L3	0.1095
SLC22A1	-0.26925
BTN2A3	-0.05425
RASA4	0.50275
CCNL2	-0.859916666666667
MYBPC3	0.4755
GJA4	2.95975
CDC42SE1	0.752375
TRPV2	-0.73775
MYPN	-3.7419
SIM1	0.499
CDADC1	0.169083333333333
ZFHX4	1.56675
NIBP	0.890166666666667
ADAMTS19	0.742
ABTB2	-1.535
TSPYL2	-0.221625
EIF2S3	-0.772
SOX30	-0.132
AP2A1	-0.194666666666667
DKFZP564O0523	0.673333333333333
LOC285398	0.10025
CDH18	-4.4885
CHL1	2.195875
GATS	-0.1966
TBC1D2B	-0.0881666666666667
OR1J1	-0.5075
GSN	2.2975
DPCR1	0.00949999999999999
GARNL4	-0.116666666666667
SMARCA5	-0.6025
PLEKHG3	0.501333333333333
ZBTB45	0.2965
FRMD6	-0.800666666666667
PLS1	1.26683333333333
DGKZ	-0.1515
EFNA1	0.8087
WDR85	-0.512
ANK2	0.568
PAGE4	-0.586666666666667
SENP6	0.874166666666667
AKR7A2	0.301833333333333
FKBP10	-2.26525
VEGFC	-1.69783333333333
LARP1	0.1438125
SRBD1	0.47275
ITGB6	1.845
SLC1A2	-1.088
INVS	-0.638833333333333
MPO	0.1395
MOBKL3	0.0937
CUTL2	-0.513375
KLK2	0.147166666666667
VIM	-0.177
REG1B	0.569166666666667
PCDHGC4	0.22
C3orf34	-0.3675
SUMO3	-0.764333333333333
CST9L	1.96475
MLL4	-0.779
SPR	1.9875
SAMD9L	3.31675
ABCE1	-0.68625
SUPT3H	-0.721333333333333
ACTBL1	1.57125
ADAMTS4	0.9175
SLIT3	3.054
RHEBL1	-1.198
NPM2	-1.26
MAN1C1	1.445875
KIAA1856	0.51675
HSPA6	1.50375
LOC388152	-0.81
C10orf140	-0.83025
ZDHHC12	0.0905
LIN7A	1.5437
PHC2	0.32775
SPHK1	-0.836
TRIM26	0.4175
FAM83E	1.5595
C18orf24	-1.32016666666667
ZNF578	-0.114166666666667
ORAI1	0.02675
RUVBL1	-0.4425
C7orf20	-0.0228333333333333
APAF1	-0.4735
SLC36A4	-2.43266666666667
MYH11	4.45033333333333
NEK1	0.4819
MPP2	0.089375
C12orf24	-2.62675
TNK2	0.4166875
ZNF289	-1.25025
MATN3	-1.94914285714286
IFNGR2	0.735666666666667
ITPR1	0.5015
EBF3	2.9276
TBC1D20	0.7861
OR10P1	0.0705
DDAH2	1.204
SHPRH	-0.30225
STX7	-0.0475
LOC554248	-2.1835
BCAR1	-0.3165
ATXN3	0.0881666666666667
TRIM27	-0.58625
CDC42EP2	0.571
CHP	0.505214285714286
SOX17	2.933875
ZNF259	-1.2975
