Hybridization REF	TCGA-AO-A12D-01A-11R-A115-07
UNQ9391	-0.152
CCT7	-0.451333333333333
EEF1A2	-0.095
MIPEP	0.8525
ZFX	0.3478
UCHL3	0.754
LOC388419	-0.3105
GSG1L	-0.685166666666667
RAB24	-0.625833333333333
SLA2	1.386
SDS	2.74033333333333
LYPLA3	0.1045
CASQ1	0.44275
SLC25A40	-1.12583333333333
IRAK1BP1	-0.261
ACOT6	-0.05425
COL9A3	-1.8675
ASB11	-0.413
C2orf18	0.6105
FOXD2	-1.15125
C6orf211	0.0535
OR8G1	-0.701166666666667
MDGA1	1.49775
ADARB1	-0.187875
GGT1	2.08175
WNT1	0.1353
DBP	-0.06925
COL5A3	2.23225
RHOD	-0.12225
COL4A2	1.60375
LOC201164	-1.71625
HEBP1	-0.09125
LUM	4.31458333333333
ZCCHC6	0.3495
PAGE1	-3.46983333333333
DTX2	1.0995
SLC7A13	3.80675
H3F3A	2.99821428571429
RABIF	0.82275
D4S234E	-2.09516666666667
DYRK3	0.8115
PFAS	-2.168
ALOXE3	0.235166666666667
RPLP0	-0.585285714285714
RBM34	0.248333333333333
C12orf28	3.0525
U2AF2	-0.802
MKNK2	-0.5123125
SEC16A	1.68766666666667
ZNF44	-0.7492
YWHAG	-0.268375
IGF2BP2	-3.04658333333333
OR1D5	0.741
SIX6	-3.19025
CCR6	-0.105
PALM	-0.17675
PUM2	0.776428571428571
SPRYD5	-1.362
ALG10B	0.588125
ZNF365	1.0375
PHC1	-2.2445
KIAA0913	-0.7025
ARX	0.241142857142857
PPP3CB	1.47683333333333
IRX6	1.7867
ANGPTL4	-3.0243
LSM14B	-0.9102
PCDHGB7	-0.1485
INSM1	-1.61175
WBP2NL	0.091
ZNF493	0.4200625
NGEF	-2.042
RNASE13	0.054
SPPL2A	0.965333333333333
SFXN1	-1.8215
FAM102A	0.64175
SAPS2	-0.676416666666667
JTV1	-1.776
OR51B4	-1.7605
SCGB1A1	0.2425
NEUROD2	0.00614285714285717
tAKR	0.17575
C1orf26	1.17175
RICH2	1.9235
TEDDM1	0.257
CYP2S1	-0.897
TBCE	-0.242833333333333
MAPK1	0.07075
HDHD1A	-0.994
MRM1	-1.59725
ATP9A	-0.427428571428571
HSD17B3	0.239666666666667
HN1L	0.26825
RNF216	-0.657125
HOXD12	0.2985
PPP1R14B	-0.046875
SBF1	-0.0635
TAS2R42	0.56
USP46	0.275833333333333
LILRB3	3.014
SPI1	1.61725
OXSM	0.7235
GYS2	0.3685
NUPL2	-0.49975
C8orf46	-1.810625
SF3A1	-0.8454
C21orf99	-0.5285
HOXB4	0.3339
YRDC	-0.5235
GPRC5D	0.7315
BLVRA	0.345875
KIF12	1.482
LRRC23	0.46325
FAM14A	0.0295
RASL12	1.388125
DAZAP2	0.58175
IKBKB	-0.0990714285714286
ZNF271	0.6395
BOK	0.655
CXorf6	-0.387
MYEOV	-0.90725
BTN2A2	-0.425
FRG1	-0.252
HSP90AB6P	-0.061
ENOX1	1.538
ZNF706	0.9664
DOK1	-0.0036
PGAP1	-1.2985
TMEM136	-1.429
FSCN1	-2.22825
KIF17	0.9055
TRIM66	0.128
CBR3	3.37133333333333
C13orf24	0.981166666666666
C19orf52	-0.13875
BNIP1	0.83825
AQP3	2.571125
KRT6C	0.890166666666667
SIRPA	0.523833333333333
IGFBP6	-1.21483333333333
PLEKHK1	0.316875
RNASE7	-0.178
ARHGEF15	0.15225
NPHS2	0.239
SRD5A1	-0.08875
REXO4	-1.25775
EEF1DP3	0.72975
SLC37A2	0.78825
ZNF142	-0.2655
ANKHD1	-1.2
MUT	1.6305
VPS37A	0.276
GPRIN1	-0.304
SLC38A3	-1.279375
BAZ2B	1.8585
WDR87	-0.2262
BRD7	0.41925
POU6F2	-0.406
NISCH	0.300375
TCEB1	0.2975
LINGO2	-2.85075
TAX1BP3	1.03775
RPL34	-1.18583333333333
MARK2	1.07566666666667
AKAP12	-1.8496
AMBN	0.3565
SLC25A27	-1.36933333333333
FLJ21865	0.205875
KIR2DS2	1.03166666666667
WDR77	0.32325
ATF2	-0.606166666666667
ITFG3	-0.2685
SLC39A13	0.3095
ARL6IP5	2.518125
C10orf137	-0.517125
QTRT1	0.1215
CCNT1	-1.70275
DYNLL1	1.1587
WDR53	0.4125
LIPG	-0.1845
ASAH3	0.3725
HELB	-0.38675
PHACTR2	0.661875
VENTX	-0.46175
LAD1	2.68633333333333
PAOX	0.2975
MAPK8	-0.49
CCDC38	0.06725
DNAJC8	-0.000900000000000009
RBBP8	-1.7335
WNT11	-0.0509
KCNJ12	-0.3665
HDAC8	0.440666666666667
STARD4	-1.70025
ACVR1	1.37483333333333
C14orf65	0.499166666666667
KLB	-2.617
C1orf65	0.432
ZFYVE28	-0.168375
NSUN6	0.727
KIF27	0.630333333333333
SYTL2	0.822166666666667
UBXD2	0.6261
OR6T1	0.1115
CCDC91	0.493142857142857
GRID2	0.4665
CALN1	-0.482625
ZNF423	0.14225
PSMB4	-0.175166666666667
XPNPEP3	0.6865
ARPP-21	-3.1468
SART1	-0.46175
RACGAP1P	-1.9375
SPTA1	-3.62675
C6orf113	0.0801666666666666
C7orf16	-2.95975
CHST7	-0.595333333333333
C21orf29	-0.338666666666667
SEMA6D	-1.3575
PCMTD1	1.602125
KIAA1754	-0.327
MYCN	-1.51225
KCNJ3	-0.98025
MAPK13	2.1662
ERO1LB	1.278
NTF3	-0.216833333333333
NKX6-2	0.226
GTF2B	0.7945
GSPT1	-0.4265
GUSB	0.328
LOC221091	-1.1125
LIG1	-1.07
EXTL3	-0.520666666666667
NID2	0.43575
TTC29	0.1355
TMEM97	-0.65775
EXTL2	0.00483333333333332
SUZ12	-0.407
IL1F8	0.279
KRT18	-0.662181818181818
MRPS16	-0.1395
PI4K2B	0.87275
LACRT	3.7485
OR51F2	0.355
JMJD2C	-0.217125
KGFLP1	1.7275
CDK5RAP3	-0.7027
YTHDF2	1.60383333333333
GGCX	1.023875
ARPC4	0.69275
EGLN2	0.399666666666667
KBTBD4	0.418214285714286
ROBO3	-0.2647
DEFB118	0.5435
KIAA1543	1.6455
RTCD1	-0.172
MZF1	-0.41725
C18orf26	-0.9115
CNIH4	-0.6315
ZFP2	2.407
HTATSF1	0.75975
WFDC2	0.022875
NDUFA7	-1.041
TTC22	1.47616666666667
FAM40B	-3.16525
DCPS	-0.4745
SH2D1B	0.2355
MRGPRE	0.6805
SBK1	0.44225
UNQ6411	-0.098
OSBPL9	-0.0205
NUP107	-1.7455
MYOZ3	-0.4
PDE4B	1.856
FAM113A	-0.4255
IDH3G	-0.2525
FBXL7	-0.04275
ARFGAP3	1.6315
MAPRE2	1.09423076923077
IL1RN	1.5024
KIF13A	0.5955
RAC3	-0.613
TCTE1	-0.687
TMEM14B	-0.648833333333333
ADIPOR1	1.05833333333333
GRINA	1.345
CLIP4	0.02925
LRIT2	0.2335
TFPI	-2.59385714285714
FABP6	-1.563
SLITRK2	0.172333333333333
HKR1	0.8435
SMTN	-0.025
C1orf75	1.001
CD209	0.279875
CYB5R2	0.60375
DNTTIP2	0.0965
CSGlcA-T	0.3285
GABRB3	-0.54825
PCBD1	0.519
TAF3	0.00225
HOXD3	0.00300000000000008
GIPC3	-0.580833333333333
P11	0.0172
BFSP1	0.7315
LCP2	1.951
TAS2R8	-0.254
SEZ6L	-1.282625
NR2C1	-1.923125
EXDL2	0.6385
TNFRSF13B	-1.72133333333333
MKI67	-2.00525
GLS	0.193
C7orf54	-0.9717
LGALS13	-0.205
IL4R	0.491
SEC11A	-0.1355
SPP2	0.5965
C18orf32	0.83425
CLSPN	-1.1775
SPAG1	1.30875
C9orf82	0.39125
TM4SF1	1.38108333333333
EMILIN2	1.02225
SMG7	0.904
TAS2R13	0.343
ZNF628	0.539
DZIP1L	-0.4265
ANKRD13A	-0.4584
VASP	-0.31325
ZCCHC11	-0.702875
SYPL1	0.77925
MGC34774	0.0125
C4orf28	0.44375
KIAA1211	1.05891666666667
RPS27L	-0.7295
TATDN3	0.1505
PDCD1	2.13875
OR5P2	0.356
IFIT1L	0.52
MIPOL1	1.42925
OR51D1	0.13375
C1orf92	-0.4985
LAMP2	1.11294444444444
CAT	0.672333333333333
C16orf80	-0.3485
C15orf32	-0.51
ZNF746	-0.5795
C1orf76	-1.561
ATXN1	1.071
LAMC2	1.268875
SLC2A7	-0.04
CPOX	-1.60475
APH1B	0.817666666666667
LOC442245	-0.6625
CTNND1	0.9025
GABRG2	-1.144
MADCAM1	-0.426666666666667
F5	-1.691625
SEMA4F	-1.2865
NUDCD3	-0.19425
PDZD11	0.007
TRIML1	0.078
GCNT3	-0.881833333333333
TMEM120A	1.66475
CNDP1	0.9605
N4BP1	0.658875
SLC35F2	-0.140625
LCP1	0.1
IGBP1	-0.0239
DCAKD	0.00974999999999998
ELA2A	-1.308
C12orf56	-2.07075
PITRM1	0.6345
GUK1	1.6395
RASSF8	-1.9388125
OR2A14	0.47225
ADM	-0.550444444444444
FGD3	0.0818333333333334
GHRHR	0.1325
RHPN2	0.6395
C4orf39	0.6615
VPS72	-0.459
SERF2	0.957555555555555
CD22	-0.106666666666667
CD47	0.7527
PPIC	1.77466666666667
IMPDH1	-0.54025
ACP6	0.1075
PRKACA	0.537875
PPP1R1A	4.523125
TRPV3	-0.2735
ASXL1	-0.857
C17orf55	-0.726166666666667
FXYD1	-0.834
LMOD2	-1.286
ANKRD33	0.1285
LCE2C	-0.31375
ZNF620	-1.405
DKFZP566E164	-1.57725
VSIG2	-0.28325
KIAA1128	1.95875
USO1	2.99716666666667
NUDT4	1.4905
CLDN1	1.49607142857143
OR4Q3	-0.479
FASTK	-0.765166666666667
ICOS	3.52433333333333
LDB1	-0.365
GSTA5	-0.02
ABCC1	-1.36966666666667
FAM54A	-1.077
PCBP2	-0.941833333333333
NUP205	-1.54275
ACTA1	1.098
GABBR2	-1.34775
PIP5K1B	3.27
AGXT	-1.92816666666667
RNF181	-0.6335
ATP8A2	-0.13125
AFTPH	1.7866875
FGF21	0.53975
FCER1G	3.1935
SNTB1	1.5595
SLC24A3	0.403375
TXNL4B	-0.7737
RPL10L	-0.9065
LOC389517	-0.18455
TSGA13	0.263
SHOX2	-0.404
ITGA7	-0.734
KCNIP2	-0.216166666666667
KLF13	-0.7253
ZFAND2A	-0.301
CEACAM1	1.11935714285714
PFKFB4	-2.93483333333333
MED19	-0.5615
LRRC57	-0.0428333333333333
RNF11	1.69075
ANKRD32	-2.178
P117	-0.958
OBFC2A	1.40116666666667
POLD3	-0.82275
RAB18	1.474625
TPH2	-0.00166666666666667
PHB	-1.0545
JDP2	2.20116666666667
MORF4L1	0.1777
POU2F1	-0.622
CNNM2	-1.17808333333333
LOXHD1	-0.351666666666667
ZC3H15	-0.03275
ELK3	0.761166666666667
FAM111B	-1.51925
CBLC	3.31683333333333
SBNO1	0.21025
ANKMY2	-0.07925
PLEKHA5	0.26875
DHX58	1.04033333333333
ARCN1	0.423
TREML1	0.0968
KNCN	-0.0405
SEC24A	0.0745000000000001
PSCA	1.8095
MGC24125	0.982833333333333
DNA2L	-0.96375
CIB4	0.702875
HIGD2A	-1.34966666666667
TBX6	-0.0915
TTLL5	-0.590833333333333
SGK3	1.109
GCN1L1	0.15625
AMOT	2.6823
LDOC1	-0.577166666666667
NRK	0.066
ASB9	-3.0115
NAT1	1.3493
TRAFD1	0.37075
PEAR1	0.329666666666667
FAM36A	0.023875
OR1S2	0.176
LOC388323	-1.72875
PGS1	-0.912333333333333
LEPREL1	-3.546
TFF1	-3.90258333333333
HAP1	0.11125
EPHB2	0.336
ACTG1	0.2475
ZFP42	-2.8842
HAVCR2	1.2136
NME1	-1.259
SNX26	-0.733666666666667
LACTB	0.866
ZKSCAN2	-1.375375
C5orf35	0.573
ANKS3	-0.57525
RBM28	-1.62225
DKFZP586P0123	-0.84575
HNRNPA1	-0.4105
BCAS3	-1.28025
FLJ20184	0.4525
POLA2	-1.7715
TMC7	-0.2245
HSD17B6	2.8975
ZNF658B	1.37766666666667
TTTY10	-0.419166666666667
RANBP9	1.43341666666667
CPNE7	-1.255
EVL	-0.418352941176471
LNX1	0.41775
IFNA21	0.203166666666667
CFD	0.4295
PYCARD	-0.189666666666667
MYBPC2	-1.4925
ENPP3	-0.407333333333333
ACSL4	-0.25675
LOC440258	-0.655166666666667
TMEM176B	3.94583333333333
SOX2	-5.171125
SCO1	-0.0545
COMT	1.0195
AOC2	0.0815
PDLIM5	1.55014285714286
SPHK2	-0.459333333333333
NXPH2	0.5945
GPR108	0.5995
RAD51L1	-0.5165
TMEM54	0.5955
LETMD1	-0.929
SLC6A17	0.06625
KRT75	0.2105
STT3B	0.801833333333333
CD3EAP	-0.527833333333333
TMEM63A	1.61225
DUSP13	-2.6755
CD1C	-1.881
LASS2	0.611
AVP	-2.1615
PITPNM1	-0.664875
FLJ22795	-0.2015
MCTP1	-2.2615
TRIM68	0.932333333333333
UCK2	-0.7045
ABHD1	0.14225
FAM50A	-0.1745
RNASEH1	-0.656
PCP2	0.2925
OR52H1	0.353
C20orf149	0.461
RBP5	-0.1835
HYAL3	-0.66475
CLPB	-0.6625
SMNDC1	-0.3665
DONSON	-0.792833333333333
FLJ27523	0.45925
BARHL2	0.424166666666667
SLC30A9	0.433166666666667
TMPRSS11B	-0.186
E2F8	-0.711166666666667
CCDC25	-0.46975
C14orf48	0.2836
C20orf116	0.159875
TSPAN11	0.6925
YIF1B	-1.16383333333333
FAM12B	0.15225
OR1L6	-0.0975
HPN	0.1974
NBN	1.229
C14orf94	-1.078
OCLM	1.1085
ZSCAN18	0.1012
L3MBTL	-0.7793
TSTA3	2.6655
RAC1	0.441375
C19orf15	-0.0965
NFE2	-4.81525
KLK14	0.262
ARSF	0.382
MAST2	0.409333333333333
AMICA1	2.8095
GTF2A1	-2.135
ATP1A3	0.8505
TC2N	4.2352
PNKP	-0.1785
ODZ2	-0.763125
MATR3	1.1285
S100P	1.375
KRT82	-0.039
CA13	0.4029
PROZ	-1.705
AASDH	-0.368875
C19orf40	-0.536333333333333
DCK	-0.0941538461538462
FAM5C	4.19425
SLC6A4	-0.816
MID1IP1	-0.88575
TESSP5	-0.3495
TMOD4	0.496333333333333
DOCK2	0.426833333333333
TUG1	-0.330375
NUP214	-1.36775
DPYSL2	-0.885954545454546
GOLM1	2.23233333333333
MPFL	0.2015
SOX13	0.888
SDCCAG8	1.012
KEL	-1.01266666666667
NUP210L	-2.02925
GK	0.061875
DNAJB1	0.585
ALPK3	0.4885
CHID1	0.5218
CYLC2	1.09
IKZF5	0.217
C8orf51	0.4065
PPM1J	-1.554
GIMAP8	3.8365
GPR101	-0.13
NR2F1	-2.1685
ACAD8	0.27375
RBM35A	2.5855
GNAI2	-0.416833333333333
METTL8	-0.515333333333333
SLC39A7	0.67
FBXO8	0.65425
CAMK1	-0.6025
RFC3	0.204625
FAM129A	0.747214285714286
ILF2	-0.08575
FGFBP3	-1.647
NOM1	-1.20666666666667
PSMA3	-0.000750000000000001
ASCC3	-0.5092
ZYG11A	-1.55675
SOX21	-1.68325
LYRM1	0.4555
DEFB1	0.7025
LOC91431	-2.5885
OR7C2	2.7885
FAM46B	1.226125
TMEM18	-0.9095
ARHGAP30	1.922
TMEM86A	4.05
EPHA2	-0.673333333333333
C10orf46	0.49615
TCHH	-0.0455
C3orf30	0.0288333333333333
LOC285636	-0.0383333333333333
PAIP2	-0.12125
CYP2U1	0.52425
C12orf34	1.469
SARS2	-1.55716666666667
ZCWPW1	0.93425
SAMD12	2.054
KIAA1430	0.089625
ACAT1	-0.36625
MEOX1	-0.156666666666667
ADAMDEC1	8.01375
PHKA2	-0.367
CARD11	-0.135833333333333
CALML4	-1.8015
TSSC1	-0.17225
TMEM45A	1.67877777777778
MPP7	1.67675
POU1F1	-0.77575
SLC2A13	-0.5886
FBN2	-0.856928571428571
ZC3H7A	-0.2342
LAIR2	0.0785
ST3GAL1	-0.0478333333333333
LCT	1.962
GEMIN8	0.0591666666666667
KLF16	-1.2048
HIF3A	-0.147666666666667
FAM44A	-1.18707142857143
AQP10	-1.3315
PLA2G2A	3.9345
FOLH1	3.424
C20orf186	0.589
MAPKAP1	0.586125
SPRR2D	-0.5095
UBQLN4	1.23833333333333
RSHL1	0.0698333333333333
PIAS3	0.395375
MRPL24	0.36225
GREB1	-3.183125
FAM27E3	-1.243
NUP62CL	0.497
NEUROG3	-2.1135
REEP3	1.15708333333333
MARK1	1.901375
LMBRD1	1.403
PRPF19	-1.0815
PNMT	2.47116666666667
CTGLF1	-1.2005
SLC25A16	0.87075
EIF2B3	-1.6285
RPA2	-0.45275
PAK6	1.356
CCDC26	-3.929875
SEMA3E	3.868875
MXD4	-0.056
TNFSF10	5.4444
SMARCB1	0.582833333333333
DTX3L	1.27066666666667
PLA2G4E	0.3125
PPAP2A	0.69125
ULK1	-0.0856666666666667
TAS1R3	0.282
SLC2A3	-2.245
ARID3A	-2.692
GNG5	-1.14975
ACOX1	-0.0753
KIF5B	0.56425
NUP153	-0.14625
MUC7	0.2625
CSDE1	0.944642857142857
CLPTM1	0.15825
C3orf23	0.386125
LRRC17	-0.493166666666667
TTYH3	0.77825
ATP5B	-0.3865
ELF3	1.7185
CPSF3L	-0.563833333333333
ZNF665	0.487833333333333
TLR6	1.3914
GPI	-0.014125
RAD9A	-0.524125
NDST4	-3.45675
AGPAT3	0.7515
MAGI3	1.8695
ADORA2A	0.17275
CACNG7	0.211
CAMK2D	-0.0505
CCHCR1	-0.94575
RPS27A	-0.6505
OR10G7	0.309666666666667
GCM2	0.141
FAM135B	1.4128
E2F1	-1.9855
PLCB3	1.30075
OR2AE1	0.188
COIL	-0.311166666666667
CDC25C	-1.50533333333333
RAB11FIP2	0.547916666666667
TSC2	-0.6295
CTGLF5	-2.1435
CCDC108	-0.4224
OR13C4	0.434
C10orf81	5.62025
PTPRB	1.8955
ACP2	0.379
LAG3	1.56075
MRPL54	-0.89575
LOC201175	-0.461
ITGB1BP3	-2.2895
SPTAN1	-0.1415
SIPA1L2	-0.496
RCAN2	-0.5435
CDX2	-0.4805
ECOP	1.63
ACTR1A	0.019
PPARG	0.161333333333333
BBS10	0.513166666666667
TMEM44	-1.50675
BPIL2	0.08775
CITED1	-1.45775
IRF6	4.7765
PRDM4	0.236666666666667
RRP9	-0.696166666666667
OR10H4	0.12425
IL31RA	-0.122
GNB1L	-1.725
MYBL2	-1.671625
ZNF407	0.218166666666667
PPIG	-0.251666666666667
TTC18	2.4905
RPSA	0.054
MAPT	0.904375
MRE11A	-0.283928571428571
C8orf37	-0.3595
RASGEF1C	-0.468
STBD1	-0.26875
CTAG2	-0.4395
MGAT5B	-1.1745
ECM1	3.047625
RLN1	-0.628
PARP14	1.727125
EPB41L1	-0.7604
HOXA3	-1.62075
MAGEA9	-4.67675
RPS8	-0.3615
RPS19BP1	0.45875
FOXJ2	0.321
C10orf76	0.083
IL17RE	0.8585
C10orf65	-3.1055
ZNF343	0.3045
FBXO33	0.274
UHMK1	-0.4
LY6G6C	-0.4135
FGF19	-2.037
C14orf128	1.38
IFIT2	3.15625
TIGD1	-0.00974999999999998
S100G	2.041
GUCY1B3	3.391
NR3C1	-0.4684
CORO1B	0.287333333333333
PARP11	0.504333333333333
DNALI1	0.689666666666667
OR4N4	0.135571428571429
MAP2K6	0.1215
FSTL4	-0.6985
ANKRD47	0.99425
TMEM171	-0.6835
PNLIP	-0.229
YY1	-0.199666666666667
CCDC138	-0.083
AASDHPPT	-0.3845
CKS1B	-0.4613
MCM3	-1.05933333333333
ANAPC7	-0.00383333333333334
FAM110A	1.4085
CDC37L1	1.679
THTPA	0.16775
NBPF20	-2.165
WDR24	-0.3005
NPTX2	1.05125
CBLB	1.23616666666667
CETN1	-0.3225
RPUSD1	-0.67425
FAF1	-0.355
CDK6	-1.6419
HMX2	-0.064
CSK	-0.377333333333333
TEAD2	1.56025
SNAP25	-0.4305
TUFT1	1.2522
TMTC3	0.204333333333333
LCK	-0.2885
SGOL1	-0.0581666666666666
AKTIP	0.71925
FURIN	1.627125
SOX12	-1.865
DEFB103A	-1.3305
RAMP1	0.1235
KIR3DX1	0.84
GAS2L3	-1.17025
PDE8A	-1.2195
EDN3	-0.74575
GMIP	1.43675
SF3A2	-0.5935
FN3KRP	-0.573
SMAD7	0.6795
RHBDD2	1.12175
OR11H6	0.886
PPP1R3B	1.1172
C9orf23	-0.54
CADPS	-0.99925
GOLGA8A	-2.269125
TMEM57	1.18016666666667
RGL3	-1.6495
S100A14	2.40625
FGFR2	-0.5346875
XRCC3	-0.5965
RTN4RL2	0.3135
MGC3771	0.1525
GH2	0.1635
BTBD2	-0.81075
LMO2	0.4195
RDBP	-0.367125
ACRBP	-1.21
AMY2A	4.54725
DUOXA1	0.144
PTK7	1.64516666666667
TWF2	0.0906666666666667
FAM80A	-0.5025
TNNI2	-2.3305
GLT25D1	0.148166666666667
OCC-1	-2.3935
CYC1	-0.8105
RPL22	0.140045454545455
MORN3	0.212
DISP1	1.96675
PRB2	0.3255
CHUK	0.19775
HR	-0.51875
CCDC134	0.4705
DENND4B	-0.4185
C14orf130	-0.402
RAB33A	-0.58875
DCST2	0.3175
TNMD	-2.3685
PEX7	0.88275
FAM62A	-0.614875
SRD5A2L	2.16425
IL22	0.145
RPS26	-1.13216666666667
HOXC5	-0.0335
SPATA6	0.94775
FLJ38482	-0.103
ZNF234	-0.854
C18orf22	-0.4095
SPATA22	-0.03925
THOC1	0.01225
CYP7B1	3.145
KCNC3	0.04725
C8orf42	0.1095
ALDH1B1	0.653666666666667
CCDC100	0.6652
ARMC4	-3.895
FAM18B2	0.35925
SLC44A1	1.202
FBXO17	-1.0415
C6orf107	-0.5455
C19orf29	-0.964
ZC3HAV1L	-0.72425
PARP6	-0.2016
SULT2A1	-4.721
C1orf159	-0.4225
TMC1	0.6305
CHST14	-0.377125
GAMT	-2.16216666666667
SMCP	-0.324666666666667
TSPAN33	1.18075
MIDN	-0.80225
NOX4	3.5815
RNASEN	-0.2401
TBX1	0.378666666666667
SALL2	-1.30325
C10orf35	0.477
CYP2E1	-0.159
LRFN2	2.82
ACO1	-1.05666666666667
IQCG	1.8586
MEGF9	0.86025
TM7SF4	2.52875
PLEKHA1	0.502933333333333
STK33	-2.6665
C1orf210	1.95525
SNUPN	-0.1335
KIAA0406	-0.8899
C20orf29	-0.5195
TMEM55B	-0.32025
OSTM1	0.00562499999999998
CLCN7	-0.99
OTP	0.4345
FLJ23049	-0.81275
HEATR4	1.0555
MAP3K10	-1.52383333333333
PCDHGA9	0.61
AMDHD2	-0.26725
LCTL	-2.52
PDCD2L	-0.566
CABLES2	0.44675
SLC5A9	-0.157
CLCA2	6.06033333333333
MGC16025	1.6155
STRAP	-0.639166666666667
C20orf196	-0.2285
RRBP1	1.50333333333333
NAT13	0.55125
MAT2B	1.117875
CSNK1D	-1.108
KIR3DL1	0.17525
PRKAG3	6.156
ZNF599	0.5235
PRM3	0.6235
PER2	0.342833333333333
ASPHD1	-2.2805
PRMT6	0.2475
KCNE1L	-1.34785714285714
FAM118A	1.25833333333333
TAF4	-1.10125
NDUFB6	-0.24375
TRIM9	-1.61925
PMFBP1	0.0655
KY	-1.001
DKFZp762E1312	-1.98418181818182
CSMD1	-1.2195
TBP	-0.656333333333333
OR1Q1	0.769833333333333
RETNLB	0.034
HPGD	-0.221857142857143
DNAJC12	-1.86066666666667
FKBP1B	-2.21025
ANKRD24	-0.643166666666667
CXXC5	-0.203
IL3	-0.211375
DRAM	1.0866
PTCH1	-0.5745
TP53BP1	-0.1715
SLC17A7	0.511125
COL25A1	-1.8462
AMACR	1.03
RHCG	1.70525
VPS13A	-0.800916666666667
FAM55D	2.112
PRPF38B	-0.636416666666667
OSBPL6	-0.00675
PFDN5	0.2554
CMTM6	0.67975
KCNK12	-1.7965
RP2	-0.192
C16orf52	-1.54775
PICK1	-0.083
IFNE1	-1.15433333333333
SEMA4B	1.6425
TYRO3	-1.60875
OR12D2	-0.812
CSNK1A1	0.7819
FANCF	1.442
LONP2	-0.228875
TBL1Y	-2.8225
LDOC1L	0.617
CCNC	0.97
C3orf60	-0.4885
CHKA	-0.494
UBAP1	0.57175
MAP3K1	0.169
ANKRD9	-1.17125
FAM92A1	0.0316666666666667
GAB2	-0.52925
AZU1	-0.28625
DIS3	0.238916666666667
C21orf109	-0.1525
IQCB1	0.003
SPATS2	0.311166666666667
EFCAB3	-1.11875
PRB3	0.3865
FUZ	-0.915
ZNF813	0.991625
BMPER	-1.11583333333333
HEG1	0.22025
ALS2CR11	-1.49525
SURF2	-0.7295
PSMC1	0.4585
OR2D2	0.5095
SLC7A8	1.10833333333333
C4orf40	-0.428
SPATA7	0.2515
MAZ	-1.04441666666667
PIN4	1.52725
PDE1A	0.032
TAF6L	-0.736166666666667
OR2T34	0.285
KIAA0284	0.646
ACADS	-0.769181818181818
MKRN2	0.0955
C18orf56	-2.91
MS4A6E	0.672166666666667
GALNT4	-0.0242
C22orf31	0.061
FLJ36070	0.1185
PSME4	1.709
TFG	0.4577
EPHX2	2.050625
ANXA5	1.110875
KRTAP1-1	-0.0213
BATF	2.30075
KARS	-0.7135
MSTP9	-0.0955
GPR26	3.543875
CCDC72	0.05
TEF	1.19416666666667
FOXK1	-0.9645
PRLHR	0.046
EMX1	0.194
C11orf30	-0.9075
ICK	0.447
THSD7B	0.28
C21orf100	-0.508
DUOX1	0.722
EFCAB4B	-0.5155
UBE2G2	-0.865
C3orf54	0.046
PARP1	0.57075
FAM60A	-0.4175
C6orf146	-1.1165
OR9K2	0.3255
DDX55	-0.845666666666667
RPS15	-0.4265
ZNF618	0.40025
DKFZp686D0972	1.262
SSPO	-0.2645
SHFM3P1	-0.0683333333333333
CPA6	-1.13625
JAG2	0.74975
DEFA3	0.139
PPBPL2	0.320333333333333
CD34	3.907625
SLCO4A1	-3.12675
AFG3L1	-1.8545
SHD	-0.81925
RP13-122B23.3	-0.904333333333333
PRKCSH	-0.267333333333333
DPH5	0.066
HLA-F	3.3415
TBC1D4	0.78725
RIG	0.2036
GLUD1	-0.569
HNRPCL1	0.581125
HBXIP	-1.173
RNF207	0.034
APIP	-0.3125
PLA2G3	-2.94466666666667
CCDC84	-1.49125
MYLIP	-0.0437692307692308
PHIP	0.415
AARS2	0.13
DHX32	1.0495
SCAPER	-0.46
MEN1	0.033375
NIP7	-1.14525
FLJ25404	0.441
FASTKD3	-0.47325
TMEM158	-2.71075
RARA	1.16
BDH1	1.059
ANKRD16	-0.91525
CARM1	1.3805
SS18	0.596166666666667
IKZF2	0.0325
MYD88	1.036125
PML	0.64485
TAF1A	-0.151
CBFB	-0.3135
HIST1H3H	1.217
C7orf29	-2.4235
COMMD4	-1.456
DPP3	-0.37975
DAB2	1.431
LOC388882	0.3175
YPEL4	0.047375
AGBL3	0.293
LRP6	-0.8874
SERPINH1	0.364916666666667
TLE1	1.0155
CD244	1.03216666666667
ZDHHC15	0.955
MGLL	0.9767
PLDN	-1.1015
LOC654346	2.5575
FAP	3.911
GPR37	-0.638166666666667
SCARA5	-1.66433333333333
EBF4	1.26054545454545
LSM6	0.27875
MLLT1	-0.36625
SLC5A12	-0.62
A2BP1	-1.34733333333333
COPS5	0.683
TPM4	0.336285714285714
TNFSF4	2.8445
ACADSB	-0.584666666666667
HERPUD1	1.7235
BCL2L11	0.754222222222222
CEP78	-1.4385
CDCA3	-1.778625
WBSCR19	-0.0267
MYO1A	-1.657
PPEF1	3.43116666666667
LOC440348	-1.001
CPEB2	1.535625
BPTF	-0.8815
RPL21	-0.0256875
GSX2	0.2835
ADPRH	1.3445
C17orf68	-0.755833333333333
KCNS1	3.03566666666667
MLLT6	-0.4035
PIWIL4	1.96975
RNF26	-1.245
RAP1B	1.96025
ADAMTS1	-1.9207
