Hybridization REF	TCGA-AN-A046-01A-21R-A034-07
TRIM66	-0.195
CBR3	1.0215
C13orf24	-0.925
C19orf52	-0.1705
BNIP1	0.20025
AQP3	0.713
KRT6C	-2.36516666666667
SIRPA	0.31125
IGFBP6	-1.47366666666667
PLEKHK1	-1.545625
RNASE7	-0.54
ARHGEF15	0.6415
NPHS2	0.1975
SRD5A1	-1.27325
REXO4	-0.674
EEF1DP3	1.0625
SLC37A2	1.02775
ZNF142	0.33725
ANKHD1	-0.989
MUT	0.2115
VPS37A	0.135
GPRIN1	-0.633
SLC38A3	-1.104875
BAZ2B	1.22425
WDR87	0.5245
BRD7	-0.622
POU6F2	-0.79
NISCH	0.78
TCEB1	-0.58275
LINGO2	-2.728
TAX1BP3	0.0535
RPL34	0.5065
MARK2	1.05816666666667
AKAP12	-1.9034
AMBN	0.1585
SLC25A27	-2.3145
FLJ21865	-0.4595
KIR2DS2	1.18483333333333
WDR77	-1.01875
ATF2	-0.316833333333333
ITFG3	0.0323333333333333
SLC39A13	0.31575
ARL6IP5	1.448875
C10orf137	0.21525
QTRT1	0.2265
CCNT1	0.081
DYNLL1	0.396
WDR53	-0.5095
LIPG	-1.06416666666667
ASAH3	0.74
HELB	-0.047
PHACTR2	-0.530625
VENTX	-0.69575
LAD1	-1.43783333333333
PAOX	2.10775
MAPK8	0.1585
CCDC38	-0.2215
DNAJC8	-0.7497
RBBP8	-0.7025
WNT11	1.0513
KCNJ12	-1.597
HDAC8	-0.267333333333333
STARD4	-3.196
ACVR1	0.559833333333333
C14orf65	0.624083333333333
KLB	-0.742
C1orf65	-0.2545
ZFYVE28	0.39625
NSUN6	-0.977
KIF27	-0.0458333333333334
SYTL2	0.8485
UBXD2	0.7859
OR6T1	0.6045
CCDC91	0.102785714285714
GRID2	0.215
CALN1	-0.956125
ZNF423	0.11175
PSMB4	-0.967833333333333
XPNPEP3	0.269833333333333
ARPP-21	-2.7808
SART1	-0.20075
RACGAP1P	-2.378
SPTA1	-5.32375
C6orf113	-0.614166666666667
C7orf16	-3.251
CHST7	-0.419166666666667
C21orf29	-0.594333333333333
SEMA6D	-1.72925
PCMTD1	1.85575
KIAA1754	-0.302833333333333
MYCN	-1.154375
KCNJ3	-1.224
MAPK13	1.4903
ERO1LB	-0.6235
NTF3	-2.128
NKX6-2	-0.75475
GTF2B	0.206
GSPT1	-1.26983333333333
GUSB	-0.302166666666667
LOC221091	-1.8925
LIG1	-1.55775
EXTL3	-0.220166666666667
NID2	0.137
TTC29	-0.6815
TMEM97	-0.83975
EXTL2	-1.82866666666667
SUZ12	-0.503
IL1F8	-0.487
KRT18	-0.299363636363636
MRPS16	-0.0736666666666667
PI4K2B	-0.403
LACRT	7.666
OR51F2	0.4225
JMJD2C	-0.231125
KGFLP1	1.07525
CDK5RAP3	-1.0552
YTHDF2	0.7755
GGCX	0.452875
ARPC4	0.5335
EGLN2	0.7685
KBTBD4	0.577071428571429
ROBO3	-0.8056
DEFB118	-0.157
KIAA1543	1.58175
RTCD1	-0.776
MZF1	0.49825
C18orf26	0.239
CNIH4	-0.542166666666667
ZFP2	2.41633333333333
HTATSF1	-0.44575
WFDC2	-0.384375
NDUFA7	0.5505
TTC22	-0.0448333333333334
FAM40B	-3.2955
DCPS	-0.688
SH2D1B	-0.319833333333333
MRGPRE	0.7045
SBK1	0.066
UNQ6411	1.092
OSBPL9	-1.6125
NUP107	-1.882
MYOZ3	-0.0771
PDE4B	1.41691666666667
FAM113A	0.0455
IDH3G	0.434333333333333
FBXL7	-0.144
ARFGAP3	0.327
MAPRE2	-1.28176923076923
IL1RN	1.3771
KIF13A	-0.9115
RAC3	-0.3455
TCTE1	-0.336
TMEM14B	-0.4625
ADIPOR1	0.1665
GRINA	1.516
CLIP4	-0.9995
LRIT2	0.4705
TFPI	-3.43442857142857
FABP6	-0.2625
SLITRK2	-0.4946
HKR1	0.721
SMTN	1.1515
C1orf75	-0.2115
CD209	0.305625
CYB5R2	-0.45775
DNTTIP2	-0.125666666666667
CSGlcA-T	1.2005
GABRB3	-3.09025
PCBD1	1.48233333333333
TAF3	0.0958333333333333
HOXD3	1.69016666666667
GIPC3	-0.0268333333333334
P11	0.3951
BFSP1	-0.3145
LCP2	1.6385
TAS2R8	-0.242
SEZ6L	-1.14325
NR2C1	-1.12775
EXDL2	1.4188
TNFRSF13B	-2.54683333333333
MKI67	-1.74525
GLS	-0.606083333333333
C7orf54	0.3462
LGALS13	0.252166666666667
IL4R	-0.05125
SEC11A	-0.281166666666667
SPP2	0.323833333333333
C18orf32	1.82075
CLSPN	-2.4785
SPAG1	0.026125
C9orf82	-0.22575
TM4SF1	-2.36725
EMILIN2	1.03725
SMG7	0.234333333333333
TAS2R13	0.1475
ZNF628	0.203
DZIP1L	-0.267833333333333
ANKRD13A	-0.2534
VASP	0.8605
ZCCHC11	-1.777875
SYPL1	0.037125
MGC34774	1.047
C4orf28	-1.69225
KIAA1211	-0.8525
RPS27L	-0.58825
TATDN3	-1.19275
PDCD1	1.3885
OR5P2	0.7375
IFIT1L	1.8585
MIPOL1	2.374
OR51D1	0.494
C1orf92	-0.7135
LAMP2	0.650611111111111
CAT	0.712833333333333
C16orf80	-1.56725
C15orf32	0.338
ZNF746	0.3375
C1orf76	-1.3975
ATXN1	-0.5815
LAMC2	1.261
SLC2A7	0.0555
CPOX	-2.70275
APH1B	1.00516666666667
LOC442245	0.40475
CTNND1	0.707222222222222
GABRG2	-0.72775
MADCAM1	-0.0855
F5	-2.203375
SEMA4F	-0.89
NUDCD3	0.648125
PDZD11	0.1155
TRIML1	-0.3245
GCNT3	-3.21216666666667
TMEM120A	0.785
CNDP1	0.807
N4BP1	0.2905
SLC35F2	-1.706625
LCP1	0.0100833333333333
IGBP1	0.7497
DCAKD	0.339875
ELA2A	-0.3765
C12orf56	-2.298625
PITRM1	0.649214285714286
GUK1	0.750666666666667
RASSF8	-1.4569375
OR2A14	0.20725
ADM	-3.64466666666667
FGD3	2.86166666666667
GHRHR	0.145166666666667
RHPN2	-0.09975
C4orf39	-1.30683333333333
VPS72	-0.60375
SERF2	1.30477777777778
CD22	0.586666666666667
CD47	-0.8382
PPIC	-0.169833333333333
IMPDH1	-0.906333333333333
ACP6	0.00233333333333332
PRKACA	0.424375
PPP1R1A	0.711875
TRPV3	-0.19025
ASXL1	-0.774625
C17orf55	-0.9185
FXYD1	0.0128333333333333
LMOD2	0.166
ANKRD33	0.4325
LCE2C	0.055125
ZNF620	-0.796
DKFZP566E164	-1.47875
VSIG2	-0.5365
KIAA1128	1.59325
USO1	-0.169166666666667
NUDT4	-0.948714285714286
CLDN1	2.75907142857143
OR4Q3	-0.0045
FASTK	-0.168333333333333
ICOS	3.08333333333333
LDB1	1.1435
GSTA5	-1.83925
ABCC1	-1.55633333333333
FAM54A	-2.3065
PCBP2	-0.222666666666667
NUP205	-1.67825
ACTA1	-0.598833333333333
GABBR2	-2.0545
PIP5K1B	-1.7825
AGXT	-2.17583333333333
RNF181	0.3255
ATP8A2	2.18125
AFTPH	1.58825
FGF21	0.61175
FCER1G	1.84675
SNTB1	-1.8635
SLC24A3	1.805125
TXNL4B	-0.9222
RPL10L	0.474666666666667
LOC389517	-0.6243
TSGA13	0.4295
SHOX2	-0.885666666666667
ITGA7	-0.7152
KCNIP2	-0.0598333333333333
KLF13	0.567
ZFAND2A	-1.0225
CEACAM1	-0.687642857142857
PFKFB4	-2.345
MED19	0.0745
LRRC57	-0.634666666666667
RNF11	0.586
ANKRD32	-2.4345
P117	0.6855
OBFC2A	-0.461666666666667
POLD3	-0.969416666666667
RAB18	2.551375
TPH2	-0.153333333333333
PHB	-0.9687
JDP2	1.47116666666667
MORF4L1	-0.9771
POU2F1	-0.7415
CNNM2	-1.10916666666667
LOXHD1	-0.162833333333333
ZC3H15	-0.10925
ELK3	-0.0718333333333333
FAM111B	0.417
CBLC	1.69116666666667
SBNO1	-0.07475
ANKMY2	-1.00275
PLEKHA5	-0.55875
DHX58	1.57033333333333
ARCN1	-0.104666666666667
TREML1	0.4592
KNCN	-1.6905
SEC24A	-0.474125
PSCA	-0.28175
MGC24125	1.00783333333333
DNA2L	-2.0505
CIB4	-0.111
HIGD2A	0.892333333333333
TBX6	0.206666666666667
TTLL5	-0.167666666666667
SGK3	0.584166666666667
GCN1L1	-0.3785
AMOT	0.4682
LDOC1	-0.0115
NRK	-0.0381666666666667
ASB9	-4.17725
NAT1	5.6808
TRAFD1	0.63325
PEAR1	0.626166666666667
FAM36A	1.446875
OR1S2	0.490666666666667
LOC388323	-1.54475
PGS1	-0.539
LEPREL1	-3.83725
TFF1	-3.8565
HAP1	0.342
EPHB2	-0.186
ACTG1	0.609333333333333
ZFP42	-1.162
HAVCR2	1.2647
NME1	-0.7595
SNX26	0.3705
LACTB	0.245166666666667
ZKSCAN2	-0.552375
C5orf35	-0.0215
ANKS3	-1.0565
RBM28	-1.4035
DKFZP586P0123	-0.1805
HNRNPA1	-0.137333333333333
BCAS3	-2.025
FLJ20184	0.6885
POLA2	-1.06666666666667
TMC7	-1.6865
HSD17B6	1.6825
ZNF658B	0.661
TTTY10	0.256166666666667
RANBP9	-0.037
CPNE7	-1.6885
EVL	2.05576470588235
LNX1	2.41225
IFNA21	0.0886666666666667
CFD	0.93725
PYCARD	1.41083333333333
MYBPC2	-1.3685
ENPP3	-2.42016666666667
ACSL4	-1.75475
LOC440258	-0.9075
TMEM176B	3.5135
SOX2	-5.47825
SCO1	-1.00733333333333
COMT	0.16125
AOC2	0.05425
PDLIM5	-0.2585
SPHK2	0.112833333333333
NXPH2	0.2585
GPR108	0.751833333333333
RAD51L1	-0.630166666666667
TMEM54	0.87175
LETMD1	0.333666666666667
SLC6A17	1.072
KRT75	-0.1715
STT3B	-0.635166666666667
CD3EAP	0.217666666666667
TMEM63A	0.855
DUSP13	-3.2855
CD1C	-0.47
LASS2	0.825333333333333
AVP	1.441
PITPNM1	-0.798125
FLJ22795	-1.44
MCTP1	-2.20925
TRIM68	-1.49266666666667
UCK2	-0.969666666666667
ABHD1	1.0435
FAM50A	0.02925
RNASEH1	-0.789166666666667
PCP2	1.71716666666667
OR52H1	0.4795
C20orf149	0.8215
RBP5	3.62916666666667
HYAL3	0.2365
CLPB	-0.1015
SMNDC1	-0.3505
DONSON	-2.4725
FLJ27523	-0.28425
BARHL2	0.503333333333333
SLC30A9	-0.8395
TMPRSS11B	0.56275
E2F8	-2.80283333333333
CCDC25	0.38275
C14orf48	0.338333333333333
C20orf116	0.857125
TSPAN11	0.5625
YIF1B	-0.576333333333333
FAM12B	0.29725
OR1L6	0.5955
HPN	1.2542
NBN	0.353
C14orf94	-0.479666666666667
OCLM	0.245
ZSCAN18	-0.5068
L3MBTL	-1.273
TSTA3	0.424666666666667
RAC1	0.312125
C19orf15	0.069
NFE2	-5.79025
KLK14	0.4035
ARSF	0.3025
MAST2	0.2565
AMICA1	2.8705
GTF2A1	0.11975
ATP1A3	0.09775
TC2N	3.6521
PNKP	-0.38975
ODZ2	-2.404625
MATR3	0.5635
S100P	-3.19425
KRT82	0.1985
CA13	-1.4368
PROZ	-1.21916666666667
AASDH	0.354285714285714
C19orf40	-0.374666666666667
DCK	-0.882461538461538
FAM5C	-1.734
SLC6A4	-3.397
MID1IP1	0.06325
TESSP5	-0.0825
TMOD4	0.840333333333333
DOCK2	0.0125
TUG1	0.6615
NUP214	-0.7455
DPYSL2	-1.09045454545455
GOLM1	1.99191666666667
MPFL	0.5225
SOX13	0.844
SDCCAG8	1.0925
KEL	-0.369833333333333
NUP210L	-2.042
GK	-2.439
DNAJB1	0.411
ALPK3	0.371
CHID1	0.8486
CYLC2	0.610166666666667
IKZF5	0.71025
C8orf51	0.894
PPM1J	2.10675
GIMAP8	2.732
GPR101	-0.0525
NR2F1	-2.375
ACAD8	0.18825
RBM35A	1.6685
GNAI2	1.0885
METTL8	-0.634166666666667
SLC39A7	-0.731
FBXO8	0.1135
CAMK1	0.18575
RFC3	-1.434625
FAM129A	-0.393357142857143
ILF2	-0.99175
FGFBP3	-1.569125
NOM1	-0.728
PSMA3	0.10375
ASCC3	-0.2022
ZYG11A	-2.1935
SOX21	-1.501875
LYRM1	-0.49875
DEFB1	0.5845
LOC91431	-3.04033333333333
OR7C2	1.9165
FAM46B	2.465625
TMEM18	-0.554625
ARHGAP30	2.12
TMEM86A	2.30916666666667
EPHA2	-1.22683333333333
C10orf46	1.1353
TCHH	-0.5265
C3orf30	0.0936666666666666
LOC285636	0.0571666666666667
PAIP2	-0.60675
CYP2U1	-0.3345
C12orf34	0.87175
SARS2	-0.768
ZCWPW1	0.848
SAMD12	0.4995
KIAA1430	-0.010125
ACAT1	-0.08425
MEOX1	1.63216666666667
ADAMDEC1	5.1605
PHKA2	-1.167
CARD11	-0.0273333333333333
CALML4	-1.127
TSSC1	-0.59525
TMEM45A	-1.58311111111111
MPP7	1.26825
POU1F1	0.15025
SLC2A13	-1.1142
FBN2	-0.912214285714286
ZC3H7A	-0.5704
LAIR2	1.2435
ST3GAL1	0.900833333333333
LCT	-3.061
GEMIN8	0.805833333333333
KLF16	0.9806
HIF3A	-0.0766000000000001
FAM44A	0.0287142857142857
AQP10	-0.7779
PLA2G2A	0.776
FOLH1	0.867
C20orf186	0.1045
MAPKAP1	1.0205
SPRR2D	-1.08975
UBQLN4	-0.196833333333333
RSHL1	0.386666666666667
PIAS3	0.245875
MRPL24	0.89575
GREB1	0.178625
FAM27E3	-2.211
NUP62CL	-2.5685
NEUROG3	1.8985
REEP3	0.451083333333333
MARK1	-0.867125
LMBRD1	0.1035
PRPF19	-0.2005
PNMT	-1.27283333333333
CTGLF1	-0.3875
SLC25A16	0.49775
EIF2B3	-1.2485
RPA2	-0.901
PAK6	1.12416666666667
CCDC26	-4.47171428571429
SEMA3E	-1.145125
MXD4	1.5491
TNFSF10	4.4949
SMARCB1	0.2115
DTX3L	1.6085
PLA2G4E	0.3805
PPAP2A	0.233
ULK1	0.094
TAS1R3	-0.2635
SLC2A3	-2.319
ARID3A	-1.57675
GNG5	-0.7515
ACOX1	-0.2863
KIF5B	-0.112
NUP153	-0.7075
MUC7	0.297
CSDE1	-0.758857142857143
CLPTM1	1.04175
C3orf23	-0.14125
LRRC17	0.811166666666667
TTYH3	-0.23175
ATP5B	-1.068
ELF3	1.5425
CPSF3L	0.5975
ZNF665	0.541333333333333
TLR6	0.8419
GPI	-1.32325
RAD9A	-0.317375
NDST4	-3.75
AGPAT3	0.763083333333333
MAGI3	0.671666666666667
ADORA2A	1.744625
CACNG7	0.097
CAMK2D	-0.595428571428571
CCHCR1	-0.944
RPS27A	0.102
OR10G7	0.077
GCM2	0.234
FAM135B	0.525
E2F1	-1.81375
PLCB3	-0.274
OR2AE1	0.425
COIL	-1.02816666666667
CDC25C	-2.0715
RAB11FIP2	0.0615
TSC2	-0.313
CTGLF5	-0.709
CCDC108	0.1893
OR13C4	0.29725
C10orf81	6.528
PTPRB	1.46375
ACP2	1.2685
LAG3	3.06075
MRPL54	0.70125
LOC201175	1.505
ITGB1BP3	-0.5095
SPTAN1	0.538
SIPA1L2	-1.80925
RCAN2	-0.908
CDX2	-1.723
ECOP	0.93625
ACTR1A	0.315285714285714
PPARG	-0.984333333333333
BBS10	0.370833333333333
TMEM44	-2.0015
BPIL2	-0.11775
CITED1	-0.151
IRF6	4.395
PRDM4	0.5445
RRP9	-0.511666666666667
OR10H4	0.59675
IL31RA	-0.618666666666667
GNB1L	-1.045
MYBL2	-2.302125
ZNF407	0.646166666666667
PPIG	0.117833333333333
TTC18	3.29775
RPSA	-0.19
MAPT	1.682875
MRE11A	-0.1745
C8orf37	-0.836
RASGEF1C	-0.324833333333333
STBD1	0.031
CTAG2	-0.8385
MGAT5B	-2.30366666666667
ECM1	2.68675
RLN1	1.5955
PARP14	1.829
EPB41L1	0.1626
HOXA3	-1.105
MAGEA9	-4.07
RPS8	-0.393833333333333
RPS19BP1	0.15675
FOXJ2	0.5065
C10orf76	0.321375
IL17RE	0.41775
C10orf65	-0.48075
ZNF343	0.354166666666667
FBXO33	0.127625
UHMK1	0.0689
LY6G6C	0.18525
FGF19	-2.105
C14orf128	-1.78066666666667
IFIT2	3.65925
TIGD1	-0.7515
S100G	-1.02
GUCY1B3	1.581
NR3C1	-1.0928
CORO1B	0.976333333333333
PARP11	0.18825
DNALI1	2.86
OR4N4	0.173857142857143
MAP2K6	-1.154
FSTL4	0.251
ANKRD47	0.947125
TMEM171	-0.7945
PNLIP	-0.391
YY1	0.633666666666667
CCDC138	-2.21033333333333
AASDHPPT	-0.7028
CKS1B	-1.9217
MCM3	-1.5225
ANAPC7	-0.499333333333333
FAM110A	2.1355
CDC37L1	1.20433333333333
THTPA	1.15225
NBPF20	-0.5725
WDR24	0.35375
NPTX2	-2.4595
CBLB	0.604666666666667
CETN1	0.597333333333333
RPUSD1	0.3045
FAF1	-0.9565
CDK6	-3.1191
HMX2	0.7395
CSK	0.286333333333333
TEAD2	0.54625
SNAP25	-1.22925
TUFT1	0.9597
TMTC3	-0.186666666666667
LCK	-0.4345
SGOL1	-1.838
AKTIP	-0.21075
FURIN	0.843125
SOX12	0.325666666666667
DEFB103A	-1.3085
RAMP1	-0.23025
KIR3DX1	0.431
GAS2L3	-1.17075
PDE8A	-1.4859
EDN3	-1.058
GMIP	0.8715
SF3A2	1.12175
FN3KRP	0.1525
SMAD7	1.361
RHBDD2	0.696
OR11H6	0.35
PPP1R3B	0.395
C9orf23	-0.172
CADPS	-1.03125
GOLGA8A	-2.242625
TMEM57	0.3335
RGL3	-2.4155
S100A14	2.80175
FGFR2	0.7019375
XRCC3	-0.45425
RTN4RL2	0.818
MGC3771	1.7085
GH2	0.594
BTBD2	1.1015
LMO2	-0.40925
RDBP	-0.779125
ACRBP	-1.2995
AMY2A	2.477
DUOXA1	1.7335
PTK7	0.811666666666667
TWF2	0.305
FAM80A	-2.00475
TNNI2	-3.1665
GLT25D1	-0.6785
OCC-1	-3.15075
CYC1	-0.346833333333333
RPL22	0.512272727272727
MORN3	0.173666666666667
DISP1	0.186
PRB2	0.1515
CHUK	-0.27975
HR	-0.227875
CCDC134	0.393375
DENND4B	-0.88975
C14orf130	-0.021625
RAB33A	-1.12725
DCST2	0.626
TNMD	0.911
PEX7	0.64825
FAM62A	0.378375
SRD5A2L	1.08025
IL22	0.5405
RPS26	-0.842666666666667
HOXC5	1.6145
SPATA6	-0.1815
FLJ38482	-0.776625
ZNF234	1.424
C18orf22	0.57275
SPATA22	1.40975
THOC1	-0.38325
CYP7B1	1.6075
KCNC3	-0.33675
C8orf42	-1.864
ALDH1B1	0.310166666666667
CCDC100	-0.1911
ARMC4	-0.085
FAM18B2	-0.12025
SLC44A1	1.934875
FBXO17	-1.92116666666667
C6orf107	-0.18675
C19orf29	0.5975
ZC3HAV1L	-0.817
PARP6	0.509
SULT2A1	-4.4995
C1orf159	-0.347
TMC1	0.1865
CHST14	-0.307
GAMT	0.715166666666667
SMCP	0.0206666666666667
TSPAN33	1.155
MIDN	0.910875
NOX4	3.58275
RNASEN	-1.1037
TBX1	1.30333333333333
SALL2	-0.315
C10orf35	0.9465
CYP2E1	-0.30625
LRFN2	2.85483333333333
ACO1	-0.958833333333333
IQCG	0.8811
MEGF9	1.62
TM7SF4	2.35475
PLEKHA1	0.0319333333333333
STK33	-2.6435
C1orf210	1.63925
SNUPN	0.1122
KIAA0406	-0.4102
C20orf29	0.11125
TMEM55B	0.0665
OSTM1	-1.3535625
CLCN7	-0.8185
OTP	-0.26625
FLJ23049	-0.378
HEATR4	2.1685
MAP3K10	0.989166666666667
PCDHGA9	-0.585
AMDHD2	-0.03375
LCTL	-1.7615
PDCD2L	-0.0945
CABLES2	-1.048
SLC5A9	-0.553
CLCA2	-2.99783333333333
MGC16025	-0.405
STRAP	-1.10816666666667
C20orf196	-0.9495
RRBP1	0.426166666666667
NAT13	-0.81025
MAT2B	-0.522875
CSNK1D	-0.7
KIR3DL1	0.656
PRKAG3	0.178
ZNF599	0.1375
PRM3	1.1265
PER2	1.31266666666667
ASPHD1	-3.3995
PRMT6	-2.13425
KCNE1L	-0.777357142857143
FAM118A	-0.749166666666667
TAF4	-0.21875
NDUFB6	-0.229
TRIM9	-1.64809090909091
PMFBP1	-0.50425
KY	0.2825
DKFZp762E1312	-2.71981818181818
CSMD1	-1.43175
TBP	-0.5825
OR1Q1	-0.396833333333333
RETNLB	0.43575
HPGD	-0.410642857142857
DNAJC12	-2.13316666666667
FKBP1B	-2.587
ANKRD24	0.1105
CXXC5	0.963166666666667
IL3	0.30775
DRAM	0.0896
PTCH1	-1.882875
TP53BP1	-0.21425
SLC17A7	0.311125
COL25A1	-1.2678
AMACR	0.3145
RHCG	0.2355
VPS13A	-0.74725
FAM55D	1.502
PRPF38B	-0.625083333333333
OSBPL6	-1.85625
PFDN5	0.5334
CMTM6	-0.188625
KCNK12	-1.34525
RP2	-0.20125
C16orf52	-1.9085
PICK1	0.8845
IFNE1	-1.173
SEMA4B	1.48
TYRO3	-1.71225
OR12D2	0.5635
CSNK1A1	0.5607
FANCF	0.56625
LONP2	0.20025
TBL1Y	0.4335
LDOC1L	0.229
CCNC	0.149
C3orf60	-0.38125
CHKA	-0.7125
UBAP1	0.9015
MAP3K1	0.9075
ANKRD9	-0.6005
FAM92A1	-1.82583333333333
GAB2	-0.21525
AZU1	0.09925
DIS3	-0.330333333333333
C21orf109	-1.65775
IQCB1	-1.28825
SPATS2	-0.73
EFCAB3	0.0225
PRB3	0.252375
FUZ	0.208166666666667
ZNF813	0.26725
BMPER	-0.933
HEG1	-0.228625
ALS2CR11	-2.32675
SURF2	-0.45575
PSMC1	-0.3225
OR2D2	0.361
SLC7A8	2.35916666666667
C4orf40	-0.2275
SPATA7	0.01325
MAZ	0.143
PIN4	0.614
PDE1A	-1.87275
TAF6L	0.0773333333333334
OR2T34	0.1765
KIAA0284	0.66275
ACADS	-0.191272727272727
MKRN2	-0.597
C18orf56	-0.5725
MS4A6E	0.273333333333333
GALNT4	0.5708
C22orf31	0.255
FLJ36070	1.1515
PSME4	0.1175
TFG	0.0956
EPHX2	2.538125
ANXA5	-1.090125
KRTAP1-1	0.1571
BATF	2.7505
KARS	-1.303
MSTP9	-0.7905
GPR26	-0.032375
CCDC72	0.38
TEF	1.22483333333333
FOXK1	-0.5009
PRLHR	0.2055
EMX1	0.88225
C11orf30	0.388125
ICK	0.795
THSD7B	-0.31575
C21orf100	2.9575
DUOX1	2.138
EFCAB4B	-1.09875
UBE2G2	-0.662333333333333
C3orf54	-0.1985
PARP1	-1.13175
FAM60A	-1.65491666666667
C6orf146	-0.15675
OR9K2	0.133
DDX55	-0.622666666666667
RPS15	0.8315
ZNF618	0.4749375
DKFZp686D0972	0.8565
SSPO	-0.646
SHFM3P1	1.88266666666667
CPA6	0.16775
JAG2	1.3005
DEFA3	0.26075
PPBPL2	0.6765
CD34	3.60775
SLCO4A1	-3.114375
AFG3L1	-1.5335
SHD	-0.18825
RP13-122B23.3	-0.345166666666667
PRKCSH	0.256166666666667
DPH5	-0.615833333333333
HLA-F	2.635125
TBC1D4	-1.18625
RIG	-0.0875
GLUD1	0.523666666666667
HNRPCL1	0.115375
HBXIP	-1.2145
RNF207	-0.3455
APIP	-0.5565
PLA2G3	-2.82266666666667
CCDC84	-1.34625
MYLIP	-0.779923076923077
PHIP	-0.52225
AARS2	-0.3835
DHX32	1.1305
SCAPER	-0.4495
MEN1	0.310125
NIP7	-1.7515
FLJ25404	0.593
FASTKD3	-0.82425
TMEM158	-2.40583333333333
RARA	1.07275
BDH1	0.5675
ANKRD16	0.65975
CARM1	0.002
SS18	0.2235
IKZF2	-0.887083333333333
MYD88	1.27825
PML	1.22295
TAF1A	-2.163
CBFB	-1.433875
HIST1H3H	-0.191166666666667
C7orf29	-1.843
COMMD4	-0.888333333333333
DPP3	-0.18975
DAB2	0.187875
LOC388882	-0.3035
YPEL4	-0.589
AGBL3	1.62225
LRP6	-0.3407
SERPINH1	-0.44075
TLE1	-0.33925
CD244	1.20116666666667
ZDHHC15	-1.88775
MGLL	-0.8171
PLDN	-0.263666666666667
LOC654346	2.215
FAP	2.46925
GPR37	-1.34566666666667
SCARA5	1.291
EBF4	1.51781818181818
LSM6	-0.8145
MLLT1	-0.0519375
SLC5A12	-0.6365
A2BP1	-1.43816666666667
COPS5	0.0268333333333333
TPM4	-0.104642857142857
TNFSF4	1.305
ACADSB	1.98661111111111
HERPUD1	-0.1705
BCL2L11	0.316555555555555
CEP78	-1.483
CDCA3	-1.2955
WBSCR19	-0.467
MYO1A	-2.064
PPEF1	2.14083333333333
LOC440348	-0.0925
CPEB2	1.81575
BPTF	-0.508083333333333
RPL21	-0.071875
GSX2	-0.344
ADPRH	0.978333333333333
C17orf68	-0.236333333333333
KCNS1	-0.544166666666667
MLLT6	0.4558
PIWIL4	-0.62475
RNF26	-1.135
RAP1B	0.06725
ADAMTS1	-1.5021
ZNF571	0.74925
P2RY6	0.313
TRIM21	1.54133333333333
CADM3	0.63075
NLRC5	1.4055
ADRA2B	-0.434166666666667
LOC90835	0.064125
PCF11	0.01675
LOC400451	1.5065
GLTSCR1	0.8501
C17orf88	0.0136666666666667
CDH16	-2.0485
FGF7	1.20775
PCSK4	0.5905
NPC1L1	-1.2835
TAT	0.199375
TBCA	-0.24325
MGC33407	-0.0235
GPR115	-0.864625
CYGB	-0.1345
FNBP4	-0.468833333333333
C12orf43	0.207
CBL	-0.4951
CLECL1	1.7985
PPAPDC1A	1.848
WDR25	0.408166666666667
SGCA	0.151
C22orf29	0.470666666666667
YIPF1	0.8515
GALK2	-1.3585
RAB3B	-2.11025
LOC440087	-0.52525
UCP1	-0.6815
REEP5	1.9575
FADD	-0.289
FOXA1	3.35025
CACNA1A	0.604166666666667
ABI1	0.214833333333333
GRIN2D	1.07275
SLC1A4	-0.669666666666667
LOC401127	-0.295
HINT2	0.3815
PLD4	1.542
ZNF286A	-1.15525
ENY2	-0.92
IL1F6	0.382
PXDNL	5.16625
C20orf79	-0.53225
TNFSF13B	3.90583333333333
DENND3	0.177875
JARID1D	-3.0695
HIST1H2AK	0.694375
LOC93349	1.313
SSH1	-0.9117
ENSA	0.8715
LOC219854	0.499666666666667
CKAP2	-1.4781
DKFZP564J102	-0.298833333333333
MGC87315	0.468333333333333
HNRPAB	-0.031
AMH	-1.634
ZNF526	1.174
BRUNOL5	-0.0072
CACNG3	0.167333333333333
TRPM1	-2.373
PPP2R1A	0.54375
COL2A1	-1.9435
DDN	-0.115833333333333
FLJ25770	0.631583333333333
HK2	-1.26785714285714
ELOVL6	-2.0025
MDK	-1.19225
EPHX1	2.32225
RASSF2	0.55425
DKFZP434B0335	1.14725
DLX3	-0.267625
PRTN3	-0.449
AVPR1A	0.19325
C21orf125	-2.5915
TNFAIP8	-0.411166666666667
GNB2L1	0.45
CALCRL	3.11675
SCGB2A2	8.86366666666667
UBXD7	-0.35875
ZNF674	-0.621
TMEM35	-0.13975
BRSK2	-1.036375
HECTD3	0.509166666666667
TMEM188	-0.917
LGALS9	2.20125
SCARB2	1.21916666666667
USP34	-0.0466666666666667
C17orf28	1.97733333333333
ZDHHC23	-2.354
AQP12B	0.658
SLC16A3	-2.72525
APLP2	0.406375
ITIH2	-5.3495
MICAL3	-0.086125
TNNI3K	1.2381
HDAC2	-0.170625
PRR7	0.1623
THBS2	-0.025375
LOC751071	-0.540833333333333
CA2	-1.48983333333333
RANBP17	1.255
RLN3	0.14575
CRYZ	0.222
GBAS	0.139166666666667
TAS1R1	-0.36375
MPZL3	0.677
PCDH8	-2.24875
HSP90B1	0.191666666666667
KCNK15	0.687
TNIP2	0.472
GPR146	0.06625
NOL6	0.393875
SPC25	-3.142
