Hybridization REF	TCGA-A2-A0EX-01A-21R-A034-07
METTL8	-0.0216666666666667
SLC39A7	-0.512
FBXO8	0.9795
CAMK1	-0.9395
RFC3	-0.98975
FAM129A	0.920071428571429
ILF2	-1.48375
FGFBP3	-0.453375
NOM1	-1.07266666666667
PSMA3	-1.19575
ASCC3	0.1617
ZYG11A	-1.3195
SOX21	-1.529125
LYRM1	0.3545
DEFB1	3.6235
LOC91431	-3.344
OR7C2	1.687
FAM46B	1.469875
TMEM18	0.098875
ARHGAP30	0.787333333333333
TMEM86A	2.688
EPHA2	-1.241
C10orf46	1.06385
TCHH	-1.17216666666667
C3orf30	0.35
LOC285636	0.302833333333333
PAIP2	-0.1275
CYP2U1	0.195125
C12orf34	-0.912
SARS2	-0.194
ZCWPW1	0.9275
SAMD12	3.170625
KIAA1430	0.29925
ACAT1	-0.842
MEOX1	1.63316666666667
ADAMDEC1	3.26425
PHKA2	-0.981
CARD11	-0.982166666666667
CALML4	-1.241
TSSC1	-1.28975
TMEM45A	-1.03022222222222
MPP7	2.393375
POU1F1	0.5255
SLC2A13	-0.2526
FBN2	0.4065
ZC3H7A	-0.1827
LAIR2	-0.56825
ST3GAL1	2.04433333333333
LCT	-3.056
GEMIN8	1.15533333333333
KLF16	0.7047
HIF3A	-0.3862
FAM44A	0.322928571428572
AQP10	-1.0755
PLA2G2A	-1.439
FOLH1	-0.0883333333333333
C20orf186	-0.659
MAPKAP1	-0.407625
SPRR2D	-0.96375
UBQLN4	-0.8465
RSHL1	-0.108666666666667
PIAS3	0.340375
MRPL24	0.28275
GREB1	-0.371625
FAM27E3	-2.3745
NUP62CL	-2.284
NEUROG3	1.022
REEP3	1.02783333333333
MARK1	-0.5565
LMBRD1	0.483
PRPF19	-0.686
PNMT	3.947
CTGLF1	-2.505
SLC25A16	0.372
EIF2B3	-0.9295
RPA2	-0.379
PAK6	1.566
CCDC26	-3.697375
SEMA3E	4.160375
MXD4	1.1436
TNFSF10	3.2771
SMARCB1	-0.753333333333333
DTX3L	0.973333333333333
PLA2G4E	-0.443
PPAP2A	0.8505
ULK1	-0.46475
TAS1R3	0.161
SLC2A3	-3.23718181818182
ARID3A	-2.2505
GNG5	-0.43075
ACOX1	0.2199
KIF5B	-0.22525
NUP153	-1.52475
MUC7	-1.2915
CSDE1	-0.152214285714286
CLPTM1	-0.385
C3orf23	-0.136857142857143
LRRC17	0.642166666666667
TTYH3	-0.947125
ATP5B	-0.9425
ELF3	1.4
CPSF3L	0.2325
ZNF665	0.0246666666666667
TLR6	-0.1716
GPI	-0.957875
RAD9A	-0.442375
NDST4	-2.95725
AGPAT3	0.109083333333333
MAGI3	2
ADORA2A	1.885625
CACNG7	-0.467
CAMK2D	0.0214285714285714
CCHCR1	-1.50625
RPS27A	-0.422
OR10G7	0.0775
GCM2	1.2805
FAM135B	0.728222222222222
E2F1	-2.22
PLCB3	-0.35625
OR2AE1	1.054
COIL	-0.815
CDC25C	-2.8125
RAB11FIP2	0.102666666666667
TSC2	0.09
CTGLF5	-2.143
CCDC108	0.4672
OR13C4	0.07875
C10orf81	4.734
PTPRB	2.00075
ACP2	-0.0415
LAG3	-0.76925
MRPL54	0.43925
LOC201175	1.0295
ITGB1BP3	-1.02325
SPTAN1	-0.295666666666667
SIPA1L2	-0.0065
RCAN2	-0.092
CDX2	-1.6765
ECOP	-0.34875
ACTR1A	0.216285714285714
PPARG	-0.864
BBS10	1.28933333333333
TMEM44	-1.609375
BPIL2	-0.8485
CITED1	-1.58775
IRF6	3.33675
PRDM4	0.187
RRP9	-1.02566666666667
OR10H4	0.7965
IL31RA	-0.60475
GNB1L	-1.4535
MYBL2	-3.156
ZNF407	0.929833333333333
PPIG	-0.276666666666667
TTC18	1.32075
RPSA	-0.9325
MAPT	1.760625
MRE11A	-0.167692307692308
C8orf37	-0.0448333333333333
RASGEF1C	-0.896166666666667
STBD1	-0.14175
CTAG2	-1.46383333333333
MGAT5B	-2.947
ECM1	-0.20125
RLN1	2.543
PARP14	0.778866666666667
EPB41L1	0.707
HOXA3	0.0606666666666667
MAGEA9	-3.9175
RPS8	-0.075
RPS19BP1	-0.06725
FOXJ2	0.0585
C10orf76	0.290125
IL17RE	0.85825
C10orf65	-1.47975
ZNF343	-0.129333333333333
FBXO33	-0.214125
UHMK1	1.2424
LY6G6C	-1.1725
FGF19	-2.41825
C14orf128	0.171666666666667
IFIT2	2.179125
TIGD1	-0.49375
S100G	-0.2995
GUCY1B3	1.9335
NR3C1	-0.2522
CORO1B	-0.139833333333333
PARP11	1.21016666666667
DNALI1	4.89916666666667
OR4N4	0.330285714285714
MAP2K6	-0.229166666666667
FSTL4	-0.10125
ANKRD47	0.8795
TMEM171	-2.132
PNLIP	2.12825
YY1	-0.173666666666667
CCDC138	-1.78366666666667
AASDHPPT	-0.1539
CKS1B	-1.6085
MCM3	-1.54633333333333
ANAPC7	-1.03366666666667
FAM110A	2.06
CDC37L1	1.25066666666667
THTPA	1.17075
NBPF20	-0.8895
WDR24	-0.30525
NPTX2	-2.1295
CBLB	0.378666666666667
CETN1	0.8656
RPUSD1	0.03225
FAF1	-0.42075
CDK6	-1.9891
HMX2	0.2855
CSK	-0.5165
TEAD2	-0.37325
SNAP25	-0.78325
TUFT1	1.1261
TMTC3	1.6435
LCK	-1.63175
SGOL1	-2.51733333333333
AKTIP	0.4585
FURIN	-0.186625
SOX12	-0.957833333333333
DEFB103A	-1.297
RAMP1	1.21425
KIR3DX1	null
GAS2L3	-1.76125
PDE8A	-1.9487
EDN3	1.894
GMIP	0.626
SF3A2	0.36775
FN3KRP	-0.36075
SMAD7	-0.045
RHBDD2	-0.49675
OR11H6	-0.85
PPP1R3B	0.4124
C9orf23	0.72175
CADPS	-0.836
GOLGA8A	-3.68
TMEM57	0.697666666666667
RGL3	-1.4115
S100A14	2.8215
FGFR2	1.113875
XRCC3	-1.338
RTN4RL2	0.73125
MGC3771	1.889
GH2	0.292666666666667
BTBD2	-0.20625
LMO2	0.3415
RDBP	-0.65075
ACRBP	-1.70875
AMY2A	0.45925
DUOXA1	1.438
PTK7	0.622833333333333
TWF2	-0.2185
FAM80A	-0.69575
TNNI2	-2.68883333333333
GLT25D1	-1.34066666666667
OCC-1	-1.97175
CYC1	-1.08
RPL22	0.652954545454545
MORN3	1.1035
DISP1	0.923
PRB2	-0.618
CHUK	-0.50375
HR	-0.24625
CCDC134	-0.70725
DENND4B	-1.46425
C14orf130	0.182625
RAB33A	-1.179
DCST2	0.4575
TNMD	-1.52725
PEX7	1.1745
FAM62A	0.021875
SRD5A2L	0.4595
IL22	0.124
RPS26	-1.864
HOXC5	0.6535
SPATA6	1.16725
FLJ38482	0.080375
ZNF234	1.556
C18orf22	0.823
SPATA22	-0.1515
THOC1	-0.94725
CYP7B1	3.81725
KCNC3	-0.00350000000000001
C8orf42	-0.7405
ALDH1B1	-0.297666666666667
CCDC100	-0.003
ARMC4	-2.00325
FAM18B2	0.3985
SLC44A1	1.21025
FBXO17	-1.22183333333333
C6orf107	-0.4545
C19orf29	-0.3045
ZC3HAV1L	0.48
PARP6	-1.0255
SULT2A1	-5.07385714285714
C1orf159	-0.718
TMC1	-0.194
CHST14	0.318125
GAMT	-0.206333333333333
SMCP	-0.0296
TSPAN33	-0.41375
MIDN	-0.285875
NOX4	2.81925
RNASEN	-0.4698
TBX1	1.13483333333333
SALL2	0.0225
C10orf35	1.4605
CYP2E1	-1.368625
LRFN2	2.77466666666667
ACO1	-1.118
IQCG	0.6871
MEGF9	1.55425
TM7SF4	-0.09075
PLEKHA1	0.931933333333333
STK33	-2.2895
C1orf210	1.902
SNUPN	0.2503
KIAA0406	-1.2308
C20orf29	0.43275
TMEM55B	-0.2115
OSTM1	-0.6455
CLCN7	-0.3585
OTP	-1.18575
FLJ23049	-1.282
HEATR4	0.2485
MAP3K10	0.412166666666667
PCDHGA9	-1.4505
AMDHD2	0.33575
LCTL	-3.64
PDCD2L	-0.01425
CABLES2	-1.11225
SLC5A9	-0.19525
CLCA2	-1.162
MGC16025	-0.4845
STRAP	-1.272
C20orf196	-0.5475
RRBP1	-0.238833333333333
NAT13	-0.34725
MAT2B	0.491875
CSNK1D	-1.15033333333333
KIR3DL1	0.21475
PRKAG3	-0.9905
ZNF599	0.969
PRM3	0.8815
PER2	1.368
ASPHD1	-1.0675
PRMT6	0.11825
KCNE1L	-0.629357142857143
FAM118A	-0.539833333333333
TAF4	-1.01975
NDUFB6	-0.50875
TRIM9	-1.65763636363636
PMFBP1	-1.02825
KY	1.1365
DKFZp762E1312	-3.92381818181818
CSMD1	-1.4195
TBP	-0.759666666666667
OR1Q1	0.0845
RETNLB	0.955
HPGD	0.235384615384615
DNAJC12	1.83683333333333
FKBP1B	-0.8065
ANKRD24	-0.206
CXXC5	0.7825
IL3	0.475
DRAM	0.6692
PTCH1	-0.746125
TP53BP1	-0.19025
SLC17A7	-0.604625
COL25A1	-1.50822222222222
AMACR	0.511833333333333
RHCG	-0.1695
VPS13A	-0.35075
FAM55D	0.2375
PRPF38B	-1.00625
OSBPL6	0.8655
PFDN5	0.4466
CMTM6	0.980125
KCNK12	-1.8835
RP2	-0.29
C16orf52	-1.64175
PICK1	-0.2945
IFNE1	-1.8535
SEMA4B	0.57425
TYRO3	-2.242
OR12D2	0.907
CSNK1A1	0.50025
FANCF	1.22925
LONP2	0.188
TBL1Y	0.619
LDOC1L	0.1805
CCNC	0.0905
C3orf60	-0.39025
CHKA	-1.9895
UBAP1	-0.1425
MAP3K1	1.1075
ANKRD9	-1.8225
FAM92A1	-1.79983333333333
GAB2	-0.00625
AZU1	-1.64975
DIS3	-0.387333333333333
C21orf109	-1.05866666666667
IQCB1	-1.00825
SPATS2	-0.8465
EFCAB3	-0.33875
PRB3	0.275125
FUZ	0.826666666666667
ZNF813	0.18225
BMPER	-1.6396
HEG1	-0.132125
ALS2CR11	-2.73825
SURF2	0.43725
PSMC1	-0.3865
OR2D2	-0.3225
SLC7A8	2.44683333333333
C4orf40	-1.767
SPATA7	0.64
MAZ	-1.0535
PIN4	0.262
PDE1A	0.246
TAF6L	-0.554666666666667
OR2T34	-0.34
KIAA0284	0.2595
ACADS	0.337454545454545
MKRN2	-0.595
C18orf56	-2.14125
MS4A6E	0.0368333333333333
GALNT4	0.9593
C22orf31	0.253
FLJ36070	0.959
PSME4	-0.752
TFG	-0.4402
EPHX2	2.882625
ANXA5	-0.214125
KRTAP1-1	0.2488
BATF	2.824
KARS	-2.0915
MSTP9	-0.4775
GPR26	-0.42725
CCDC72	0.2465
TEF	0.933666666666667
FOXK1	-0.5914
PRLHR	-1.351
EMX1	2.38975
C11orf30	-0.67525
ICK	0.260625
THSD7B	0.851
C21orf100	-0.292
DUOX1	0.368
EFCAB4B	-0.12375
UBE2G2	-1.025
C3orf54	1.1195
PARP1	-1.98025
FAM60A	-0.539833333333333
C6orf146	0.0135
OR9K2	0.592
DDX55	-1.43216666666667
RPS15	0.247333333333333
ZNF618	0.172375
DKFZp686D0972	-0.00575
SSPO	-1.237
SHFM3P1	0.00999999999999997
CPA6	-1.456
JAG2	0.5885
DEFA3	-0.0505
PPBPL2	0.103833333333333
CD34	4.378375
SLCO4A1	-3.38
AFG3L1	-2.613
SHD	-0.729
RP13-122B23.3	-0.5865
PRKCSH	-0.971
DPH5	0.360166666666667
HLA-F	1.454125
TBC1D4	-0.69
RIG	-1.012
GLUD1	0.7075
HNRPCL1	-0.328375
HBXIP	-0.807
RNF207	-1.4655
APIP	-0.5545
PLA2G3	-2.0265
CCDC84	-2.3405
MYLIP	0.0542307692307693
PHIP	-0.5845
AARS2	-0.366833333333333
DHX32	-0.0145
SCAPER	-0.314
MEN1	-0.161142857142857
NIP7	-1.48525
FLJ25404	0.834
FASTKD3	0.17175
TMEM158	-2.40566666666667
RARA	1.4645
BDH1	0.401
ANKRD16	0.4335
CARM1	0.1045
SS18	-0.621166666666667
IKZF2	0.978
MYD88	-0.6245
PML	0.3589
TAF1A	-1.65825
CBFB	-1.274875
HIST1H3H	-2.45316666666667
C7orf29	-1.191
COMMD4	-0.738333333333333
DPP3	-1.35475
DAB2	0.644
LOC388882	0.4455
YPEL4	0.48025
AGBL3	1.1935
LRP6	0.8126
SERPINH1	-0.2895
TLE1	-0.57375
CD244	0.0425000000000001
ZDHHC15	0.829
MGLL	-0.5425
PLDN	-0.0758333333333333
LOC654346	1.1665
FAP	3.32425
GPR37	-0.1765
SCARA5	1.42566666666667
EBF4	1.83127272727273
LSM6	-0.4285
MLLT1	-0.2609375
SLC5A12	-0.00274999999999997
A2BP1	-0.963
COPS5	0.48
TPM4	-0.125142857142857
TNFSF4	0.295
ACADSB	1.39838888888889
HERPUD1	-0.073
BCL2L11	-0.567611111111111
CEP78	-1.343375
CDCA3	-2.16125
WBSCR19	-0.2024
MYO1A	-2.343
PPEF1	1.99866666666667
LOC440348	-1.60825
CPEB2	1.199
BPTF	-0.58625
RPL21	0.6688125
GSX2	-0.021
ADPRH	1.2535
C17orf68	-0.389166666666667
KCNS1	-0.918
MLLT6	-0.232
PIWIL4	-0.54425
RNF26	-0.7045
RAP1B	-0.12725
ADAMTS1	0.9724
ZNF571	1.37725
P2RY6	-0.64275
TRIM21	0.635
CADM3	0.12
NLRC5	-0.2055
ADRA2B	-0.116666666666667
LOC90835	-0.24275
PCF11	-0.1915
LOC400451	1.98675
GLTSCR1	0.6512
C17orf88	-1.153
CDH16	-2.1375
FGF7	3.588375
PCSK4	0.321666666666667
NPC1L1	-1.49783333333333
TAT	0.826
TBCA	-0.857
MGC33407	-0.2545
GPR115	-0.7255
CYGB	0.242
FNBP4	-1.52383333333333
C12orf43	-0.3
CBL	-1.1547
CLECL1	1.83525
PPAPDC1A	2.52025
WDR25	0.102333333333333
SGCA	1.568
C22orf29	0.920333333333333
YIPF1	1.434
GALK2	-0.788
RAB3B	-2.751
LOC440087	1.76025
UCP1	-0.4155
REEP5	1.5705
FADD	-0.3346
FOXA1	3.100875
CACNA1A	0.757
ABI1	-0.272166666666667
GRIN2D	0.4105
SLC1A4	0.399
LOC401127	-1.26225
HINT2	0.6975
PLD4	0.9075
ZNF286A	-1.12425
ENY2	-1.36325
IL1F6	-0.4555
PXDNL	0.89225
C20orf79	0.361
TNFSF13B	3.002
DENND3	-0.58425
JARID1D	-3.444
HIST1H2AK	-0.04775
LOC93349	0.128444444444444
SSH1	-0.904
ENSA	-0.4265
LOC219854	0.5955
CKAP2	-1.0865
DKFZP564J102	0.345
MGC87315	-0.1295
HNRPAB	-1.15125
AMH	-1.1555
ZNF526	0.783
BRUNOL5	-0.2527
CACNG3	-0.205
TRPM1	-0.9725
PPP2R1A	0.779875
COL2A1	-1.26025
DDN	0.1155
FLJ25770	1.32127272727273
HK2	-0.274071428571429
ELOVL6	-1.42525
MDK	-0.6865
EPHX1	-0.1345
RASSF2	0.60875
DKFZP434B0335	-0.48
DLX3	0.131
PRTN3	-0.77125
AVPR1A	0.69475
C21orf125	-1.853
TNFAIP8	-0.768833333333333
GNB2L1	0.33675
CALCRL	2.93725
SCGB2A2	8.00083333333333
UBXD7	-0.15925
ZNF674	-0.363
TMEM35	0.615375
BRSK2	-1.37242857142857
HECTD3	-0.0586666666666667
TMEM188	-0.812666666666667
LGALS9	1.010125
SCARB2	0.956583333333333
USP34	-0.15625
C17orf28	1.367
ZDHHC23	-1.175
AQP12B	0.474
SLC16A3	-3.38325
APLP2	-0.66025
ITIH2	-5.1355
MICAL3	-0.464875
TNNI3K	1.4037
HDAC2	-0.397
PRR7	-0.0166
THBS2	1.283875
LOC751071	0.412666666666667
CA2	4.294
RANBP17	-0.489
RLN3	0.76875
CRYZ	-0.3955
GBAS	-0.282
TAS1R1	-1.17225
MPZL3	0.5515
PCDH8	-0.2025
HSP90B1	-0.67
KCNK15	0.9065
TNIP2	0.00949999999999999
GPR146	-0.402
NOL6	-0.22475
SPC25	-3.85822222222222
STEAP2	3.70242857142857
VAMP3	-0.514166666666667
TCIRG1	-1.661
ZP4	-0.1842
PARL	-0.242
TRIM39	0.0196666666666667
KIAA1305	1.01025
CRNN	0.388833333333333
GRN	-0.30725
HSH2D	-2.16325
SCAMP1	0.5439375
KIAA1913	1.52
PTS	-0.00774999999999999
BANP	-0.211142857142857
PRKACG	-0.13175
ADCY6	0.172666666666667
C16orf46	-0.12
CYP51A1	0.110625
DDC	-4.69533333333333
ANPEP	-0.8595
PROM1	0.307833333333333
SIGLEC10	2.125
COPG	0.325
FAM26E	1.76375
TRIP4	0.316
SNX3	-0.348666666666667
C1orf175	0.33
PPY2	0.826666666666667
C14orf152	0.604333333333333
FTSJ1	-1.218
DST	0.1921
LOC554235	-0.2385
GLRX5	-0.095
C20orf12	1.2865
CAB39	0.0913333333333333
MSH2	-1.575
PIP4K2C	1.161
CYLD	0.42925
WTAP	0.6585
MGAT4A	1.16122222222222
TSC22D4	-0.4083
CHRM2	-1.524
PPYR1	-0.125666666666667
CCNH	-0.467666666666667
RRM1	-1.081
ECAT8	-3.4955
LOC400120	-0.23325
GABRA4	0.482875
C14orf4	1.8665
C1orf59	-0.44875
CTDSPL	0.26225
NHEDC2	-0.5065
PDE11A	-0.2864
KLHL29	-0.655
CD5	-0.8444
TSPAN9	1.8830625
WDR67	-1.41925
THUMPD1	0.645
C18orf17	0.37275
CLYBL	1.35183333333333
FLJ13231	-0.4175
CMBL	2.012125
LECT2	-0.50175
NKAPL	2.06933333333333
LOC654780	0.574
OR4C6	0.487
RAB30	0.5185
TSSK4	-4.721
TMEM163	0.1665
OSBPL11	0.228833333333333
GNB5	-1.95816666666667
CCL21	1.64675
C1orf121	-0.317166666666667
FMO2	2.7785
RPTN	0.61
MSTN	0.574
VCL	-0.305642857142857
FYTTD1	-0.47925
C11orf1	0.0725
CCDC88C	0.0504374999999999
HFE	-1.17144444444444
MOGAT1	0.4915
FAM125B	-0.0633333333333333
IRGQ	0.214
RAVER2	-0.8135
AKAP5	-1.3215
SSSCA1	0.057
C11orf63	0.00162500000000002
ACTG2	0.4868
PORCN	-1.0335
DTL	-3.34618181818182
TMEM151	0.1235
FAM122C	-2.04675
RSAD2	2.5049
BAT4	-0.1315
KRTDAP	-0.680666666666667
MYH8	0.543285714285714
CRTC3	0.42275
LRRFIP2	0.5226
INTS4	-0.500333333333333
TTN	-1.33866666666667
SLC26A5	0.0285
PLLP	0.87175
RGS6	-0.641
SRGAP3	0.565875
ZNF525	0.652333333333333
NBR2	-1.01116666666667
C13orf1	0.1353
ZNF137	0.2515
CEP27	-1.84725
BEST2	0.488
RNF121	-0.11925
DMRTC2	0.553333333333333
C8orf76	0.0235
BCCIP	0.04375
MEST	-0.8985
HTRA2	-0.318
ANGPTL2	1.26975
ILKAP	-0.249166666666667
ERAS	-0.611
HBS1L	-0.577875
CPA5	-0.913
TMEM30A	0.709666666666667
CD300LF	2.1175
WISP3	-0.135
CRK	0.198
PDS5A	-0.3957
BRPF3	-0.326333333333333
NEDD9	0.6775
SMPDL3B	1.057
PSG6	-1.274
PSMD13	0.02225
ETV5	-1.1355
OR51A4	-1.822
BTBD7	0.830666666666667
GSTO1	-1.030125
hCG_16001	1.4715
MAD2L1BP	-0.564666666666667
COX6A2	1.41
SCNN1A	2.25433333333333
LSM1	1.743
UGT2B11	1.0075
IDUA	0.7425
PPP2R3C	-0.6025
COX11	-0.450166666666667
PDZK1	-2.01075
ZNF443	1.11383333333333
MGC21874	1.20783333333333
ZNF323	1.0828
KRTAP10-10	0.7225
CXCL6	-0.201
SLC34A2	1.2396
LOC284402	0.5455
NPTN	0.984083333333333
UPP1	-2.6255
SLC6A9	-0.3335
OR7G3	0.08125
CISD1	-0.293166666666667
ZNF545	0.278
SYT14	-0.432
NT5C3L	-0.190833333333333
ZNHIT3	-0.282333333333333
SNRPD3	-0.14075
KIAA0701	-0.078875
UNC93B1	-0.0308333333333333
GMNN	-2.817625
SPCS2	-0.0301666666666667
LOC388524	0.4035
NAPRT1	-1.0015
PNLIPRP1	0.74525
OR6V1	0.8065
PRKAB1	-0.37775
EYA4	-2.92366666666667
KIF20A	-3.39175
ALG10	-0.34625
ITPKC	0.7435
LMX1B	0.652833333333333
RPUSD4	-0.418666666666667
C7orf34	-0.706666666666667
DLGAP2	0.51675
PFN1	-1.0758
MICALL2	-1.21925
ZNF654	0.056
SS18L1	-1.164375
SLC16A8	0.3865
MKI67IP	0.0253333333333333
ITGB3	-1.387625
TCEA3	2.6055
CEP152	-2.80133333333333
CLIP1	0.5075
ZNF75	-0.0573125
ATP5C1	-1.07333333333333
NUDT5	-1.144
PSCDBP	0.485
UBP1	0.0035
RBM27	0.528
C13orf15	2.31825
ZNF282	0.208666666666667
ZNF222	1.2303
COL10A1	6.455
PRDM15	-1.05275
TTTY5	-1.9485
FAM9C	-0.128272727272727
C20orf67	-0.50925
GNG13	-0.4395
F12	-0.48275
C1orf41	-0.67975
CPXCR1	0.3195
GSK3A	0.213875
SUPT6H	-0.474166666666667
PI16	1.83566666666667
ELL2	-0.678833333333333
C9orf167	-1.54433333333333
PVRL3	-1.8067
FLJ38596	-0.06675
ADAM20	-0.479333333333333
GPR89A	-0.4535
GPR87	0.0225
ZNF30	1.09575
SMR3B	0.122666666666667
ZNF770	0.693375
TRPC4AP	-0.8375
DKFZP686E2158	0.422666666666667
C2orf28	-0.291666666666667
FREM1	0.459
LAMA4	0.572833333333333
ADPRHL2	-0.24675
EIF4G2	0.202333333333333
GUCA1A	0.008
CTNNA2	-1.13914285714286
NUDT15	-0.915166666666667
CEPT1	0.1815
ZNFX1	0.4411
CCDC92	1.13175
TDRD1	-0.992
KCNK5	-2.22933333333333
ETNK1	0.0933333333333333
LTA	-0.06
TTPA	0.0546666666666667
B3GALNT2	0.092875
SC65	-0.771
PEX5L	-0.868714285714286
EPS15L1	-0.597
MGEA5	-0.30325
HIST1H3A	0.1695
ING1	-0.129375
BCAT1	-3.287375
ORC6L	-4.73036363636364
KLK11	0.291333333333333
C19orf28	-1.354875
DNER	-3.5825
MED22	-0.520071428571429
ETV6	1.417
CHAC2	-2.027
CD300E	0.553
CEBPB	-0.23375
ZNF398	-0.0075
LRCH3	0.401
HMGA1	-1.8885
CAPN7	-0.015
MGC5566	-3.209
CCL3	2.69825
NANOS1	-1.009625
ZFYVE19	-0.588
APITD1	-1.27033333333333
PARD3	0.68375
IRAK4	-0.754166666666667
SERPINI2	0.241
CEP170L	-0.75225
TTC9	1.97075
MYOM3	-1.241
MLPH	1.6515
LOC222699	0.828
NRG1	-0.846416666666667
TBC1D9	3.27109090909091
TTK	-3.384
ZNF557	0.7484
DDX41	-0.816833333333333
FANK1	2.537
UBE2D2	-0.257625
PSMB10	-0.10925
MYH7B	-0.296
GABARAPL2	-0.548875
MARVELD2	2.05666666666667
DGCR2	0.701166666666667
UNC45A	-0.118833333333333
C6orf72	0.3915
ZNF683	3.58375
GIT2	-0.197875
CASK	-0.0976666666666667
C14orf161	1.39716666666667
LRRC44	-0.44025
TIFA	0.470625
UTP11L	-0.718875
C6orf65	-0.948
FDPS	-1.0115
DUSP9	-1.9781
SLC17A8	-0.059
OR51G1	0.0825
NANS	0.25325
OLFML1	2.0405
ATP10B	-1.08925
NPAS3	0.068
PRKCA	-1.8433
GGA2	-0.23275
LCE4A	-0.1235
SPANXN3	0.24475
CCDC115	1.39975
SDCCAG3	-0.31575
GLIPR1L1	0.759
TTC1	0.087
C17orf76	0.91875
MAD2L2	-1.4255
HIPK1	0.1677
LRRC3B	-0.701
CLN3	-0.697909090909091
C17orf47	0.3265
FMN2	0.242125
TUBB1	-1.23683333333333
WAPAL	0.327166666666667
C3orf21	-0.378875
SCN5A	-0.291
SMYD1	0.804
BEX5	1.63075
ZNF192	1.876
SEC22A	-0.243333333333333
GRIA2	1.03825
KIAA0825	-2.432
NUSAP1	-3.51327272727273
LANCL1	-0.123875
C15orf40	-0.5388
ZNF645	0.234
GPR61	0.33125
NLRP14	-0.985
SNX21	-0.5141
C1QTNF8	1.328
C17orf46	-0.1095
IFNA8	1.459
SPRR1B	-2.0935
FLRT1	-0.9095
SNX17	-0.4115
ASB2	0.397166666666667
HBG1	-5.8675
RPRML	-0.52225
JOSD2	0.0275
PLSCR3	0.3245
SPOCD1	-1.1905
RAB39	-0.4405
GHRH	2.909
ITIH5L	-0.40375
C17orf37	0.3735
SMCR8	0.40375
DPY19L2P3	-0.403166666666667
IL11RA	0.584833333333333
GDF3	-3.34216666666667
RPS6KB1	-0.728166666666667
DNAJC19	0.6953
TOP1	-0.20975
CRCT1	0.764833333333333
MPST	0.125625
DPM2	0.16125
FAM38B	-1.55316666666667
SLC18A1	-2.164
FARP1	1.1325
PAX7	0.04975
TUBD1	-0.92075
GNL3	-0.390375
BTG2	1.49286666666667
NDUFS6	0.02425
C1orf79	-2.108
ERAL1	-0.84425
ECHS1	0.3655
VPS4A	-0.7225
CYP11A1	-0.279
ABCC6	0.259857142857143
PBX4	-2.6805
MOSC1	-1.062375
NCF4	-0.2295
HYMAI	-0.375
NAGPA	-0.470375
OTOP2	-0.69
ACOT12	-0.56375
MTHFD2L	-1.429
LOC441376	4.68825
C19orf34	-0.213
RAB1B	-0.24075
ALDOAP2	-0.3595
NTRK1	-1.90716666666667
ARTS-1	0.1814
SLC6A11	0.178
NAP1L2	1.367
CNGB1	0.2918
EPB41L4B	-0.0655
FAM134B	1.74025
HS3ST3A1	-0.250333333333333
CPXM2	5.89725
SIRPB2	1.075
CHORDC1	-1.211
TRIB3	-1.43783333333333
SLC2A5	0.29325
C2orf49	0.1225
DDX5	-1.174
OR5L1	1.5145
ANAPC4	-0.271333333333333
ZSWIM1	0.22825
LOC93622	0.38875
KCNK3	-1.7957
RP11-35N6.1	-2.22325
ZFP161	0.233833333333333
AQP9	-0.338
SLC15A2	-1.49166666666667
MREG	-0.197333333333333
OR9I1	-0.3265
PDLIM2	0.489285714285714
ADAM7	0.519
GSTCD	0.529
WDR21A	0.107125
SLC12A8	1.335
TMEM174	0.17725
IGSF3	0.773
LRRN1	0.82825
LOC402117	0.5575
SRPK1	-1.0345
LY6K	-1.63075
NFIA	3.0785
PTCD3	-0.3245
LEP	0.482
PCDH21	-0.9505
MAPKAPK2	0.494428571428571
NMNAT1	-0.5425
LHFPL2	0.3065
C9orf43	0.0745
DIP2A	-1.34416666666667
ACTR8	-0.231
CCDC34	-0.68275
PTPN22	-1.27325
ITGA3	-1.2565
FAM129C	1.423
RABGGTA	0.349666666666667
UNC45B	0.188
KIAA1033	-0.06025
ZNF510	-0.0358333333333333
CYP2D6	-1.30133333333333
SLC26A10	-2.2
STX8	0.09125
LUZP1	-0.238375
WDR89	-0.0565
EIF4G3	-0.2909
C5AR1	0.512625
ZNF623	-0.3985
A2M	0.84425
TGM7	0.544
GRPEL1	-0.547166666666667
LMNB2	-1.8134
ROCK2	-0.138166666666667
SNX16	1.572375
CCDC66	-0.433
ANXA3	0.27925
KIAA1609	-0.432
EED	-0.901
RNF32	-0.568333333333333
HES1	0.9056
CLC	0.724
ISL1	0.653
KIAA0528	0.035125
MANEA	0.645125
C1orf61	-2.277
hCG_2001000	1.76
RAPGEF6	0.0161
KIAA0020	-0.245333333333333
NEIL1	0.744
C16orf45	0.961625
RBM10	-0.435
C10orf125	-1.18175
MRS2L	-1.171
DNAH17	-1.12271428571429
C19orf10	-1.1565
C1orf160	0.34425
SLFN12	0.9835
EXOC3	0.490166666666667
HIST3H3	-0.15975
NCOR2	-0.145166666666667
TNFRSF9	-1.72975
MFSD8	-0.012
ALX1	-3.71616666666667
NOL1	-1.482
PODN	3.10275
TIAL1	-1.15375
HIST1H1E	-1.45075
NPY6R	0.025
TM4SF4	0.104333333333333
CORO2A	-0.13325
ETNK2	1.87266666666667
APOE	0.014
ANGPT4	-0.6125
