Hybridization REF	TCGA-B6-A0WX-01A-11R-A109-07
FAM26B	1.95975
CRYBA1	-1.23
MRPL41	-0.164166666666667
NPFFR2	-0.77575
HRH2	0.1705
SCAMP3	0.4995
MTMR6	0.0975
MTG1	-1.7
UBTD1	0.7015
CRABP1	2.36
FLJ33790	0.1307
KIAA1908	-0.43
GPR158	-1.67475
PACSIN3	-0.359333333333333
OMD	4.22816666666667
CATSPER1	-0.883833333333333
HOXB8	-0.477375
FBXO46	0.894
OAS1	1.2065
SVIL	1.84325
PHB2	-0.84
ADCY3	0.2935
NDRG2	1.91733333333333
ERMAP	0.7534
APBA2	0.2135
IGSF9	3.17825
WNT6	1.16928571428571
MYCBPAP	1.7685
ATP2B2	0.0181
CPVL	-0.9836
TRAM2	-0.237583333333333
NOP5/NOP58	0.726
ZNRF4	0.093
TLK1	-0.57775
MTMR12	-0.0842857142857143
ZNF384	-0.464166666666667
FAM9B	-3.158
RPN1	0.3398
PMVK	1.15075
EIF3D	0.0582
SIX2	0.38025
HPS1	0.0660714285714286
RNF7	-0.26525
PSKH2	-0.3925
KCTD13	0.354833333333333
CSMD3	-0.954444444444444
FBF1	-0.0255
IL8	-5.96875
SERPINB13	0.765333333333333
FBXL20	0.6065
BLR1	0.082
SH2B1	-0.360666666666667
RFNG	-0.498375
RAB20	0.079
RBM7	-1.14025
POLR1A	-0.748166666666667
TMPRSS4	-2.00725
TAF9	-1.743625
TERF2	-0.277333333333333
TNFRSF1A	0.638166666666667
ACADVL	0.145333333333333
GTF2H5	1.24875
EDG8	0.573666666666667
C9orf140	-1.687875
UST6	0.15025
ZBTB8OS	-0.79275
ZNF710	0.212
GPR174	-0.9145
ATP6V0A2	-0.37875
KIAA0319L	-0.464916666666667
XKRX	-0.618
DOPEY2	1.659
SDHD	-0.6295
SUMF1	2.1735
OSM	2.73525
OPN3	1.43025
DAGLB	-0.444166666666667
PPFIBP1	0.8045
TRIM63	-3.43025
C10orf53	-0.107
LYPD3	-0.405333333333333
BCL7A	-0.215625
AGER	-1.18266666666667
TCF19	-1.090375
SAT2	0.941
PFTK1	0.752333333333333
GABRE	-3.02125
C15orf38	0.2005
FIS1	-0.518
KCNV2	-0.17725
CLPS	1.07325
PPCDC	-0.729625
FOXN2	1.54416666666667
NT5E	-2.9752
CD83	1.6185
IL18	0.132625
VPS16	0.04625
IGFBP2	-1.8895
NOTCH2	2.09725
SIGLEC1	1.992
CD93	4.191
SULF2	1.02325
CEP164	0.1595
P53AIP1	0.789
TOR2A	-0.205333333333333
ZNF136	0.55175
MGP	3.4216
CCDC144A	0.8845
TRPC1	-0.0145
SMS	-1.06466666666667
MAPK7	0.878
RRAGC	1.34975
PARD6A	-0.1275
NUB1	0.814333333333333
SYNGR4	0.6785
OR11H12	0.17
WIF1	2.270125
GCH1	-0.498
OR11H4	0.00650000000000001
SLC44A5	-0.4155
GPRIN2	3.16
LOC401431	0.3375
CPA4	-2.2185
MELK	-1.02333333333333
IL15RA	0.4455
CUL3	0.657625
HMBOX1	0.065
PODXL	-0.4105
CCT6B	0.221333333333333
COMTD1	-0.51025
MUC20	0.3305
GPX2	-2.434125
ITK	0.007
FBXL5	1.10175
C13orf27	-1.8475
DEFA5	0.527
TRHDE	-0.085
MTP18	-1.46516666666667
UQCRQ	-0.5577
ITGB2	1.57366666666667
CSRP2BP	0.86075
TAS2R44	1.14
PHPT1	-0.539625
FAM44C	-0.55525
ERH	0.26475
MPHOSPH1	-1.91216666666667
MORC1	-0.239
PARVB	-0.93
LAMA1	-1.30441666666667
PGBD3	0.45475
GIMAP6	3.70775
AREG	-3.7905
LIPT1	-0.05175
MGC99813	-0.392
C1orf201	0.419166666666667
GRIN2A	-0.2113
MAN2C1	-1.012125
NSUN5	-0.45325
SF3B5	0.5
MYC	-1.592375
NRXN1	-0.12525
ZNF18	1.4575
SPDYA	-0.15825
SLC37A1	1.3045
DECR2	-0.17125
ANKRD38	3.309625
SPTLC3	-0.146083333333333
SUPT16H	-0.70475
DTWD2	-0.35725
ULBP1	-0.2415
ZADH1	-0.402333333333333
OIP5	-2.67225
IL10RB	0.1615
OTUB2	-0.42525
VWA3A	0.192666666666667
SPIC	0.626833333333333
OR6C4	-0.186
PSCD4	1.10283333333333
DPY19L2P2	-0.4865
TRAPPC6A	0.128666666666667
C21orf2	-0.882
CEMP1	0.00275000000000001
LIN7B	0.0705
E2F7	-2.79766666666667
VCP	0.0161875
LAMA3	1.03141666666667
BGN	2.65525
GPR160	-0.135166666666667
COCH	0.302
GPR81	0.922
APOBEC3F	-1.12225
tcag7.1017	-0.451
C1orf32	0.2425
SCGB1D2	4.556
FLJ43987	-0.011
C6orf170	0.6295
KLK9	0.739
GPD1L	0.282
VPS37B	-0.10125
ATG3	-0.635333333333333
ADAMTS17	-0.0915
KLHDC2	-0.7315
NDUFV2	-0.51025
BLK	-0.62975
MATN4	0.467
GPM6A	-0.320875
GBP4	3.58083333333333
TMEM162	0.645166666666667
PKP2	1.094
HRASLS	1.73033333333333
MMP1	-3.804
SFXN3	-0.2575
FSD1	-1.4905
ST6GALNAC3	-1.81466666666667
CA12	-2.1545
NCOA6	0.82675
C19orf58	0.3811
PPP4R1	-0.206
MAN1A2	2.5015
IKBKAP	-1.39625
UPF1	0.2115
KIAA1219	0.208
WNT16	0.8595
SNW1	-0.476625
IL18RAP	1.74575
RPP30	-0.586
CDC40	0.193928571428571
SETD3	-0.3085
SLAMF6	0.21125
ELK4	-0.0385
TRIM47	1.15166666666667
ACOX3	0.991375
TRIM6	0.936125
KIAA0372	-0.625
TP53AP1	0.40775
SMURF2	0.51925
ADAD1	0.35375
EBP	-1.4564
KRTAP13-2	0.242
FLJ36874	-0.538333333333333
TOR1A	-0.533166666666667
P2RY4	1.034
GPBP1	0.00375
TRPV1	0.467
ADAMTS12	1.1835
PES1	-0.6961
ATG4A	0.157
MAGEA10	-4.621
WFS1	0.30325
CC2D1B	0.406333333333333
PABPN1	-0.209125
SLC25A30	-1.3165
SLCO1C1	0.207333333333333
SLC22A5	-0.70625
KIF23	-1.95566666666667
SYN2	1.87916666666667
ASPN	8.9865
CENTG2	0.14475
QSOX2	-1.6407
FLJ10815	0.523666666666667
STK24	-0.6131875
SPEG	1.5772
STK10	-0.193
DACT2	0.9885
AAAS	-1.261
SSX3	-1.563
ABCD3	0.6618
C4orf12	-0.189
PARVG	1.253
FIG4	1.0925
C9orf46	0.01975
TMCO6	-0.615
IGHMBP2	-1.23125
DUS2L	-0.627833333333333
FAM3C	-0.1615625
TMEM16D	-1.559125
DCTN4	0.291
KCNH3	-0.41475
EIF2AK2	1.784
AP1S3	-0.578875
CST4	0.5265
PAM	1.1441875
NUTF2	-0.65025
CITED2	0.132
SLC39A4	0.6095
C2orf52	-0.7555
GRM3	-0.15325
C12orf49	-0.58825
CCDC49	0.0333
GRAMD1B	-0.59625
FNDC4	1.2515
SIAH2	-0.5255
GDPD4	0.0945
C21orf87	0.70275
ATP5A1	-0.586666666666667
C16orf63	-0.575625
LOC388135	0.105333333333333
ATP5J2	-0.588125
MMP3	1.97675
EMID2	-0.315
CRHR1	0.30775
WDR70	-0.1205
C13orf31	1.29175
ZFAND1	-0.11725
CCL18	2.88883333333333
C3orf49	0.074
RINT1	-1.783
KIAA0408	-0.7585
F13A1	4.1015
SLC10A1	0.295166666666667
OGN	4.58725
GIPC2	-1.20216666666667
XPO6	-0.7295
LCE1A	1.442
FMR1	0.5475
LOC374920	0.02875
DUSP3	-0.1495
ANKMY1	-0.055
C7orf50	0.01625
BBS9	0.2581
UNC119B	-0.590875
C9orf72	-0.2215
MGC35440	-0.15675
ENTPD6	-0.23225
PPP1R2P9	0.28675
ERCC4	0.1405
FAHD2B	-0.1195
HMHA1	0.411
HACL1	-0.9535
RAD23A	0.299166666666667
FAM83B	-0.21425
PPP5C	-1.21266666666667
RNASEH2C	-0.222875
C9orf153	-0.13425
SCAMP4	0.503875
GHITM	-0.5917
NDUFB7	0.558
ADCYAP1	-0.1345
SP110	1.572
MAP3K7IP2	1.2545
DHH	0.0725
AGRN	0.260785714285714
WDR33	0.303
CEP290	0.182666666666667
PRPS1L1	-2.38233333333333
KLRA1	-0.2145
GPR97	-0.446
CHD7	0.503083333333333
TLR10	1.35975
SLC30A8	-0.8715
HIC1	1.83916666666667
IAPP	0.4615
RXFP4	0.391
GP1BB	1.91625
SHQ1	0.0165
NKX2-3	0.2045
API5	-0.7505
FTHP1	-0.3145
MOV10L1	0.315
TRIM6-TRIM34	1.77366666666667
ADHFE1	0.147
FAM117A	0.41925
DDI1	0.1585
CDON	0.302333333333333
TRIM73	-1.046
IGKC	4.846
MMP14	0.574666666666667
DYNC1LI1	0.142125
C11orf66	-0.2555
TRBV3-1	-1.12025
FASTKD5	-0.56125
BIVM	-0.81625
LHX4	0.03675
CXCL2	-1.8151
RAB2B	-0.858
IZUMO1	-0.55875
MAP3K15	-1.84275
FAM19A2	0.4385
ZC3H8	-0.214666666666667
ZMAT1	1.386125
SPINK5L3	-2.833
SLC10A6	0.882
APPL2	-0.251
CARD10	-1.17366666666667
LOC402176	-1.06825
EEF1D	0.93
RAB6A	0.1927
C12orf5	-0.483625
PAPOLG	1.212
MSRB2	0.80675
BCR	-0.0662777777777778
PUS3	0.38175
TIAM2	3.03875
ZNF317	0.382833333333333
CHD2	-0.239142857142857
FZD5	-0.952
NUDT8	-1.4175
ZNF763	-0.1795
PRC1	-2.39622222222222
ABCB9	-0.563333333333333
SPATA3	0.2925
TRAK2	0.033
STAB1	2.302125
LRRTM2	0.411333333333333
psiTPTE22	1.906
DBI	0.852
SERPINA11	-2.782
NAT5	-0.568
C20orf58	-0.64275
RPS6KA4	0.651666666666667
FLJ90650	-0.13425
TGFBRAP1	0.21425
CHRDL2	2.16175
FAHD2A	-0.104166666666667
CNTN1	0.78475
BBS4	-0.8224
TMEM181	0.12675
MINPP1	-1.30225
MPHOSPH6	-0.192
HOXC10	1.3633
ITPKB	1.076125
CLPTM1L	-0.019375
MEOX2	0.5945
ATP6V0C	0.476875
PRPF8	0.709833333333333
TMC5	1.79225
FKBP3	-1.15075
PLEKHB2	-0.728
OR4D6	-0.1465
ZNF544	-1.3102
D2HGDH	-0.217375
RPL18A	0.3571
HEL308	-0.347875
MPP6	-2.56825
TCERG1	-1.306
KRT16	4.03016666666667
KLF17	-0.4745
KLF5	1.463125
CDR1	2.8995
VCX3A	-4.3855
FBLN2	3.087125
C14orf104	-0.55575
HBE1	-4.6836
OR4S2	0.175
C1orf108	-0.0568333333333333
ROBO4	2.778
CPEB4	-0.304
C11orf80	-0.409166666666667
BCKDHA	-0.440666666666667
MYOC	0.165
GIF	0.112
CKMT1A	-1.1155
RPL3	0.1162
THBS1	2.484125
APOO	-0.5365
ARMCX1	0.93425
HSZFP36	0.7645
SNAPC5	-0.62525
EIF4ENIF1	0.2845
ZNF433	0.28475
TNFRSF21	1.506375
TMPRSS7	0.237
SPATA18	0.9016
HPDL	-0.707
MKL2	1.1535
TBX3	1.51592307692308
C21orf93	0.2875
DAXX	0.556
ELMO1	-0.140375
RGS13	0.789
TAF11	-0.866
UNC13A	-1.84575
LOC653314	-0.0101
ORC3L	0.96825
IMAA	-2.693
TARBP2	-0.40025
CABIN1	-0.1422
TRIOBP	-0.092375
HIST1H2AC	1.55275
RGS22	-1.55866666666667
NCOA1	1.4295
IL25	1.2065
SNCG	1.0545
GPR6	0.2535
AMDHD1	-2.23333333333333
CHEK2	-0.711
C6orf142	-0.62075
DRD4	1.1405
C14orf68	-1.19425
GDF11	-1.55125
SEMG2	0.4235
CD247	-0.139
CDAN1	-0.756
RBMX2	0.154166666666667
TGS1	0.2895
OIT3	0.38825
SYF2	-0.55775
MCM4	-1.114375
PKHD1L1	0.531375
CEP192	-0.1745
IFT88	0.6095
RPL9	-0.222357142857143
RAB32	0.437875
DDX43	-1.676
P2RX2	1.37366666666667
OR5D18	0.4095
UBE1	-0.185166666666667
SLC24A1	-0.20175
ARHGAP5	0.22875
CETP	-0.5365
KIAA1731	-0.0786666666666666
SLC9A4	0.281
PTPN6	0.82975
BAHD1	-0.50375
GRIK3	-0.3075
CACNB2	-0.0506
PDE10A	0.09925
DGCR14	-0.06925
PCDHB9	-0.4365
RHOQ	0.3035
MAP3K4	0.756
KTI12	0.3615
RPL23AP13	-0.39325
GNG11	-0.75575
CLCN3	0.0905
GPAM	-0.636875
VSTM2A	0.108
SLAMF7	3.2835
INTS2	-1.09525
PPP2CA	-1.4393
LRP12	0.304133333333333
SEC14L2	0.384777777777778
DKFZP586H2123	4.33725
MC3R	-0.0915
CIRH1A	-1.4325
HIST1H2AB	1.06733333333333
POLH	-0.401625
MGC16703	-1.71583333333333
SNAPC2	0.312
FILIP1L	1.10575
RASGRP4	0.563
LRRC1	0.9835
GAS1	1.621
PRAC	-0.728
DGKA	-0.2585
NT5C3	-0.317
PEG3	-2.37558333333333
NADK	-1.533
PRR17	1.14725
LOC374569	-0.40125
SGSH	0.436833333333333
NLRP8	-0.2095
GALT	0.0692
MCF2	-0.601
ZNF263	-0.16225
TACSTD1	2.07933333333333
TYR	-6.4003
ATP6AP2	0.2
RNUXA	-0.5845
ABHD10	-0.1671
GDPD2	-1.51375
SLC35C1	0.382
UBE2A	0.471125
HERC5	0.622333333333333
FAM112B	-4.6475
FBXL16	1.32475
DKFZP434A0131	-0.438
ELA3A	-2.331
RBM41	-0.507
HAO2	0.41275
RNH1	-0.321125
SHANK2	0.859
OSBP2	-1.55125
DAK	-1.32666666666667
C3orf58	1.96666666666667
TCL1B	-0.658
KBTBD2	-0.05625
SUGT1L1	0.20375
UBE2E2	0.147333333333333
MYL9	3.059
CDC23	-0.933666666666667
PBXIP1	2.9303
CXorf40B	-0.248
NBL1	1.65325
RTBDN	0.173
RAB11FIP5	0.300125
TTTY13	-0.4765
SCOTIN	-0.658416666666667
SOHLH1	-0.537833333333333
CDKN1A	-0.605357142857143
NCK1	0.5205
ZNF550	-0.92825
SAPS3	-0.0181666666666667
SPIN3	0.311666666666667
MAGEE2	0.50725
MIS12	0.0866666666666667
OR8H2	-0.1025
KIAA0774	-0.776833333333333
UNC5D	-2.0315
CUL7	-0.694833333333333
LIPC	-2.99433333333333
DIO1	-2.08125
C20orf11	-0.2203
CTRL	-0.6
HS3ST2	0.397
PAK4	0.554666666666667
CCRL1	3.0935
RNF10	-0.216875
ZNF567	-0.13125
ZNF660	0.89
TCEAL3	-0.262
MAGOH	-0.2935
CENPB	-0.415833333333333
C19orf7	0.34125
LOC388965	-0.314
ZCCHC13	0.3315
JMJD1A	-0.2403
HIST1H4H	-0.358
TBRG1	-0.4083
GPC3	-4.498375
TAF1C	-0.31375
EBNA1BP2	-0.129166666666667
CIAPIN1	-0.3375
PDGFRA	0.587222222222222
CSTB	0.403375
CENPI	-1.1745
GTF2E2	-0.847666666666667
RPP21	0.3875
CCNF	-1.24483333333333
KCNQ3	0.751
FAM79A	0.58675
SLC22A12	0.474
NOVA1	-0.58
FZD3	0.6384
AKAP8	0.27525
SOCS5	0.537125
CFDP1	-0.2755
DLG5	0.2155
PGM5	1.28275
C1orf144	-0.40575
HDAC10	-1.3055
RND2	-1.10225
C20orf199	-1.377
RNMT	-0.061875
SLURP1	3.922375
ASTN1	-0.185875
SH3BGR	0.7795
MYCL1	0.603125
ZHX1	1.18333333333333
CENPK	-3.11675
FOSB	0.0479
LOC643406	-0.1005
C2orf59	-0.842375
TMEM135	-1.40175
SLC27A2	-3.91875
KRT33A	0.912
OVOL1	0.545125
PAMCI	-0.544666666666667
S100A7	-1.574
ZNF789	-0.618
HARS2	-0.16975
RPL23A	-0.930833333333333
TCF23	-0.0215
UPF3B	-0.7865
C17orf78	-0.227
HLA-DOB	1.20833333333333
C14orf142	-0.719666666666667
TEKT5	-0.300333333333333
DMWD	0.247
POLD1	-1.668
GSCL	0.096
CALD1	2.2177
SCRT1	0.77
AIG1	0.997
UNC84B	-0.2895
ZNF404	-1.9535
TMED6	-3.106
KIAA1462	0.3835
LRRC27	0.549833333333333
PYGO1	0.3555
PIGU	-0.973166666666667
ALAS2	-3.64583333333333
WRNIP1	0.71175
CNNM3	-0.3265
ZNF2	0.5055
ST3GAL5	-0.890833333333333
MRPL23	-0.80175
TSSK6	0.000750000000000001
PSMA6	-1.20825
C16orf70	-0.62025
KIAA1602	0.476
ALMS1	1.393
DCN	3.3335
TMEM132D	-0.36125
SUCLG2	-0.924
ABHD14A	0.5435
DEXI	0.360833333333333
AMPD2	-1.20366666666667
IFNAR2	0.315666666666667
CYB5A	0.3919
TLOC1	0.4404
NXF5	-1.08216666666667
NRBF2	0.492125
KCTD3	1.527
ITGAE	-0.354333333333333
SLC30A3	-1.08733333333333
ZRF1	-0.3475
IFRD2	-1.165625
XAB1	0.08325
PYCR2	0.7155
SERPINB3	-3.663
TMLHE	-0.5135
GEFT	-0.513375
ABCA5	-1.455875
EMR4	0.186166666666667
TSFM	-0.09
HIST3H2BB	-0.7605
ARHGEF19	0.6545
TSPAN17	-0.592
ABCC8	0.5695
MAP1S	0.846833333333333
C22orf36	1.1895
BNC2	0.520285714285714
HIST1H4A	-0.31575
NDUFS3	-1.00333333333333
WDR3	1.3485
XKR4	0.03825
TTC33	-0.708714285714286
STMN2	4.67225
CPN2	-0.8325
HSPC105	-0.90475
PCOLCE2	-3.36525
C3orf55	0.4245
KLHDC9	2.77533333333333
TBC1D23	1.027125
ATXN2L	-0.892333333333333
MAP2K3	1.02183333333333
SCAP	-0.52175
ZNF486	0.293166666666667
C20orf96	0.857
NARS	0.603
ADAMTSL1	-1.26921428571429
PRCC	1.44
CCDC126	0.210666666666667
ZNF675	-0.37425
CALCOCO1	0.403
ANKRD43	-0.50175
CWF19L2	0.333
ZBTB32	1.00366666666667
BRAF	0.46475
ODF4	0.402
MGC14376	0.548833333333333
HORMAD1	-1.79616666666667
AAK1	0.363
PEBP1	0.31225
TNFSF5IP1	0.298833333333333
DKFZp564N2472	0.11825
RMND1	-0.658
IGKV1-5	4.7735
COL1A2	4.02058333333333
SERPINA5	-3.223375
AANAT	0.2345
C19orf21	0.378
GEMIN5	-0.092
UBR4	-0.0846666666666667
LTBP3	1.46
AMHR2	-2.69933333333333
PROCR	-0.72475
MYBBP1A	0.2325
C20orf39	2.51866666666667
ZNF697	0.491
PASK	-0.3725
ZNF776	-0.2135
RFXDC2	-0.435375
KIAA0467	0.2475
C10orf96	-1.185
ZNF503	-0.169
GULP1	-0.935583333333333
KCNE4	1.05433333333333
DKFZp434K191	-0.651375
LOC196913	-0.727
BHLHB4	1.658
CH25H	2.23475
LOC81691	-2.158
ALPL	0.596785714285714
COL12A1	3.4765
FOLR3	-1.9165
GPR123	0.026
TRIM62	-0.3375
ABLIM1	0.619
MAST3	-0.25925
RHBDD1	0.720666666666667
LOC338809	0.0555
RYBP	1.07425
TTC26	-0.457
ZNF22	0.682166666666667
ISCA2	-0.69725
RDM1	-2.2045
PIGM	1.34325
GNB3	-1.243
ACTR2	0.6244
HMGB1	-0.0175
EDG1	2.36
SOAT2	-2.09275
OR10AD1	-0.075
RAP1GDS1	-0.4075
LCE1F	0.1875
ESM1	-2.534375
RCN3	2.6735
CREBL1	-0.37225
DBNL	-0.784833333333333
PTGER3	1.635125
USP30	-0.35
BCL2L12	-0.509833333333333
KIF26B	2.53125
ZNF416	-0.28625
ZNF225	-0.606
C17orf70	0.00825
ZNF554	0.97225
RAE1	-0.403833333333333
TNIK	-0.569
ACTN3	0.822
MGC45922	1.4385
CCNA1	-1.31116666666667
RYK	0.931666666666667
IL26	-0.561
LRP3	1.1465
QARS	-0.9825
SOX7	1.03242857142857
BID	-0.377875
OR2S2	0.418
CXCL14	5.42375
C11orf47	-0.4445
MGC29891	1.3865
HSPB8	-0.1718
PRDM14	-1.56
NUFIP2	0.48625
MNAT1	-0.84925
ZDHHC2	-1.2695
MBNL2	0.47625
ADD3	0.882625
CSNK2A1P	-0.94925
KLK6	1.49083333333333
TMEM111	-0.467
KIAA1279	0.8205
NUBP2	-0.252166666666667
RAB42	-0.32725
ID3	-0.2649
TM9SF1	-0.73475
MDP-1	-1.29225
POU4F2	0.648
IQCK	0.98925
C16orf14	-0.798
CAPN3	-1.4425
FAM43B	0.117375
RECQL	-0.2745
AP1G1	-0.194714285714286
CTNNBL1	-0.0831666666666667
ECHDC1	-0.9995
SMARCC1	0.5101
FOXQ1	1.150375
GNAI3	0.359333333333333
POLG2	-1.248
CD4	1.27025
ITLN1	0.51225
EBI2	3.9655
IRF1	0.1585
PTPRE	1.6019
PTK2B	-0.79775
NXNL2	-0.2795
SOX4	1.30794444444444
TSPAN3	-0.567
SH2D1A	-1.45983333333333
C8orf58	-0.108333333333333
USP20	-0.9825
DUSP22	-0.304333333333333
CALB1	-1.69233333333333
L3MBTL2	0.842916666666667
MCRS1	-0.086
TMEM118	-1.961
C18orf8	1.05483333333333
FLJ10241	-1.176875
GJA12	0.8635
PKD1	-0.618
ZFP3	0.7255
JAM3	0.00849999999999999
LAPTM4A	1.4595
DIRC2	0.25225
KIAA2022	0.557833333333333
MYOM1	0.4525
TRPM8	-0.484166666666667
MOP-1	1.553
PHKG2	-0.647
ZNF650	0.785875
KIAA1522	0.14825
PSG8	-1.4355
DDX19B	-0.539
MOBKL1B	-0.303
DIAPH2	-0.2215
PTPN12	0.3475
CLN8	-0.7032
CRYZL1	-0.278333333333333
CRY2	0.538
FCGR2B	3.54883333333333
PNPLA4	0.862
ZNF454	1.572
DKFZp434B1231	-0.085
CLDN11	0.4437
RFWD2	1.94966666666667
CIB2	0.725
MXRA8	3.8625
HRK	1.762125
MAML2	0.23025
C4orf31	1.527
C6orf192	-1.35575
COG6	0.276875
FAM5B	-0.235
NFATC1	1.896
SEPT10	-0.392
SCYL1	-0.2785
RPP40	-0.169
SCOC	-1.0019
KIAA1450	0.4175
CTDSPL2	-0.5805
TBX5	1.27783333333333
NAPG	0.033
RHD	-4.09
C14orf45	0.454333333333333
ZBTB22	1.001
PLCG1	-0.826
ANKRD10	-0.787125
AQP7P2	-0.06825
TAGLN2	1.314
HTR2C	-0.8245
SLC16A7	-0.846333333333333
C17orf83	-0.024
TSGA14	-0.219
MDH1	-0.1885
PPP3R2	0.07
DCBLD2	0.838571428571429
RBM33	-0.89675
DPH3	-0.95075
SYT10	-1.159
FMO4	3.33575
THYN1	-0.67325
DRD5	-1.216
OTOR	0.624875
PGRMC2	-0.5865
KATNAL1	0.1175
PAQR6	-1.55675
UBE2I	-0.116
C14orf28	-0.426
C8orf70	0.76775
FLYWCH1	-0.55375
ANGPTL3	-0.44525
GLRX2	0.0438333333333333
ATP11A	-0.450357142857143
ARL5B	-0.00500000000000005
MUC16	3.00125
SLC25A5	-1.31292857142857
ACRC	-0.85475
MYO1C	0.341875
FAM89B	1.32316666666667
FAS	1.064375
KIFAP3	1.68525
GLRA2	0.5685
BTN3A2	0.6129
CNKSR3	0.99475
CSTF3	-0.4605
ARPM1	0.5865
KIAA1530	-1.4085
C9orf150	2.3085
PRKCI	1.274
tcag7.1015	-1.38425
SOD3	1.0905
ZNF574	0.0665
CYP21A2	-0.151
RPL12	-0.1015
COMMD2	0.2375
WIZ	0.46575
LOC344405	-0.887
ALDH4A1	-0.928058823529412
CRYAB	4.0405
COPA	0.775366666666667
PCDHGA7	0.563833333333333
KIF11	-1.41708333333333
RASD2	0.54225
SLC26A3	0.4745
ZNF175	-0.3015
JAKMIP2	-1.717875
C8orf4	0.8495
PTHLH	2.30975
SLC40A1	2.07791666666667
OR7D4	0.158833333333333
PCDHB17	0.5025
CD36	1.94885714285714
C6orf203	0.5874
PRKG2	0.3895
LOC400566	0.47675
ANAPC13	-0.53675
SLCO3A1	-0.209
ZNF692	-0.744
FANCL	-0.4925
SH3GLB1	1.57775
C12orf61	-1.181
KBTBD6	1.45925
SUPT5H	0.34525
XRCC6	-0.9084
HUS1B	-0.6953
FAM133B	0.084
LOC728276	0.335
KCTD18	0.93825
SOS2	0.473166666666667
CCDC99	-1.73525
C1QTNF5	4.484
NNAT	0.533333333333333
USP16	-0.04725
LARS	-0.303625
ZBTB2	0.014625
ABO	-0.108833333333333
TRAF3	-0.2565
GALNT5	-1.6635
NAP5	-0.189125
ALG14	0.563333333333333
KIAA0515	-0.343269230769231
WDR75	0.153333333333333
TEX261	-0.395666666666667
LY86	1.331
LOC389072	0.563
FLJ13611	-0.67525
MRGPRX2	0.034
SNRPA	-0.73625
OR2G2	-0.225
GPRASP2	0.63825
C7orf42	0.8189
C9orf163	-0.712
CYP11B2	0.283
FCRL3	1.1495
PRDX1	0.1015
FGB	-6.33933333333333
COX17	0.0921666666666667
C16orf33	-0.8055
PIWIL1	0.25
FOLR1	-1.4985
KIAA0082	-0.5385
FREQ	-0.495833333333333
TMCC2	0.7125
TCF12	0.507666666666667
ZNF721	-0.33525
FAM130A2	0.939
POU4F1	-1.3665
SNRPF	-0.907375
SGIP1	1.3885
ZNF641	1.025
EMG1	-0.327375
PRRG4	0.3255
HIRA	-3.7515
MYNN	0.297333333333333
AEBP2	-0.382416666666667
TBXA2R	0.240166666666667
ISL2	-1.17783333333333
PCDHB11	0.749
RNF144A	0.112875
MARCH5	-0.068875
DULLARD	0.276166666666667
DCLRE1B	-1.0715
ITGA8	1.267
TP73	0.17825
PRKCD	1.574
NDUFB4	0.4095
ATP13A4	1.2535
ANTXR2	-0.617
COL4A3	-0.00716666666666665
MYO10	-0.0736
SLC6A18	0.23675
PEX1	-0.01275
TMEM74	1.95733333333333
RBM19	-0.3705
TAPBP	0.31865
RUNX1	1.633125
MID1	1.01108333333333
GPR64	4.248
RASEF	2.88175
GABRG1	0.22375
MYO16	-0.704
DBF4	-2.08866666666667
TSHZ2	2.86925
RIPK2	1.5955
PPTC7	-0.204666666666667
KIF4B	-1.287
LRRC31	0.241285714285714
ZNF540	0.78925
EFNB3	0.446
LOH12CR1	-0.177
STON2	-0.153166666666667
GLP1R	1.43725
CSTF2T	0.189125
IREB2	-1.0105
GRSF1	-0.5895
PDCD7	-0.232833333333333
LRRC43	-0.0275
CNR1	-0.0538333333333333
IL1F7	-0.4425
C12orf64	-0.16825
FAM69B	-0.468
NR2E1	-1.314
MS4A6A	2.409
FTL	-0.668
C7orf36	0.5745
PCLO	-0.4132
DYRK2	1.48008333333333
ARIH2	-0.7055
SAMD7	0.585
SCNN1D	-0.95175
SLC32A1	-0.466875
C22orf25	-1.1215
MRPS18A	-0.2394
GPR112	0.0905
EARS2	-0.4735
ERN2	0.713
ATPBD3	0.358166666666667
PRH2	0.1305
CDKN2D	0.142333333333333
PGLYRP2	-0.68925
TRIM40	0.12175
SEC14L3	0.401166666666667
SLC22A1	0.225
BTN2A3	0.062
RASA4	0.232
CCNL2	-1.39
MYBPC3	0.927
GJA4	2.99925
CDC42SE1	0.998
TRPV2	-1.58875
MYPN	-1.9472
SIM1	1.582
CDADC1	0.262666666666667
ZFHX4	2.96125
NIBP	1.37666666666667
ADAMTS19	-1.6125
ABTB2	1.45625
TSPYL2	-0.268375
EIF2S3	-0.2302
SOX30	0.209
AP2A1	-0.581166666666667
DKFZP564O0523	-0.321166666666667
LOC285398	0.0665
CDH18	-4.5245
CHL1	0.9425
GATS	-0.399
TBC1D2B	0.413333333333333
OR1J1	-0.238
GSN	1.28716666666667
DPCR1	0.34125
GARNL4	0.5385
SMARCA5	-0.652
PLEKHG3	0.424166666666667
ZBTB45	0.1165
FRMD6	0.00166666666666667
PLS1	-0.439666666666667
DGKZ	0.404666666666667
EFNA1	2.8128
WDR85	-0.878
ANK2	-0.02675
PAGE4	-0.562833333333333
SENP6	0.9975
AKR7A2	-0.731833333333333
FKBP10	0.275
VEGFC	-1.2
LARP1	-0.5250625
SRBD1	0.16075
ITGB6	3.38475
