Hybridization REF	TCGA-A7-A0DC-01A-11R-A00Z-07
KIR3DL1	0.5185
PRKAG3	-0.0299999999999999
ZNF599	1.6965
PRM3	1.122
PER2	1.70666666666667
ASPHD1	-0.7205
PRMT6	0.2105
KCNE1L	0.691
FAM118A	-0.839833333333333
TAF4	0.081
NDUFB6	-0.48275
TRIM9	1.25725
PMFBP1	-1.0085
KY	0.5025
DKFZp762E1312	-3.44881818181818
CSMD1	-1.67025
TBP	-0.0278333333333333
OR1Q1	-0.0384
RETNLB	0.71525
HPGD	-0.245
DNAJC12	2.829
FKBP1B	-1.821
ANKRD24	0.1236
CXXC5	1.406
IL3	-0.04825
DRAM	1.9537
PTCH1	-1.017125
TP53BP1	-0.1465
SLC17A7	0.677428571428571
COL25A1	-1.59222222222222
AMACR	-0.926166666666667
RHCG	-0.12075
VPS13A	-0.249333333333333
FAM55D	0.09
PRPF38B	-0.78875
OSBPL6	1.4855
PFDN5	0.4632
CMTM6	1.662125
KCNK12	-1.66675
RP2	0.14075
C16orf52	-1.0575
PICK1	1.2045
IFNE1	-1.3792
SEMA4B	1.4585
TYRO3	-2.85525
OR12D2	0.243
CSNK1A1	1.0508
FANCF	1.76375
LONP2	1.7875
TBL1Y	-0.293
LDOC1L	0.620625
CCNC	0.4225
C3orf60	0.05075
CHKA	0.037
UBAP1	0.01025
MAP3K1	1.8555
ANKRD9	-1.252
FAM92A1	-3.73733333333333
GAB2	1.60825
AZU1	0.85775
DIS3	-0.824083333333333
C21orf109	-1.86875
IQCB1	-0.68375
SPATS2	-0.619333333333333
EFCAB3	0.61175
PRB3	1.3005
FUZ	1.57833333333333
ZNF813	0.811375
BMPER	-1.98883333333333
HEG1	-1.581375
ALS2CR11	-2.27666666666667
SURF2	-0.6025
PSMC1	0.153416666666667
OR2D2	0.6095
SLC7A8	3.30533333333333
C4orf40	0.447
SPATA7	0.193
MAZ	-0.0831666666666667
PIN4	1.14025
PDE1A	-1.474875
TAF6L	0.4515
OR2T34	0.4
KIAA0284	0.21475
ACADS	1.47527272727273
MKRN2	0.1005
C18orf56	-2.0975
MS4A6E	0.162333333333333
GALNT4	0.3903
C22orf31	0.9165
FLJ36070	0.4785
PSME4	-0.5685
TFG	-0.0658
EPHX2	0.045625
ANXA5	-0.831625
KRTAP1-1	-0.550222222222222
BATF	2.76125
KARS	-1.83575
MSTP9	0.0495
GPR26	4.197875
CCDC72	0.13075
TEF	1.24266666666667
FOXK1	-0.5802
PRLHR	-0.9095
EMX1	2.6185
C11orf30	-0.110875
ICK	0.71075
THSD7B	0.141
C21orf100	-0.807
DUOX1	0.5455
EFCAB4B	0.50975
UBE2G2	-0.287
C3orf54	-0.3305
PARP1	-1.432
FAM60A	-0.298333333333333
C6orf146	-0.7
OR9K2	1.0355
DDX55	-0.874833333333333
RPS15	0.471166666666667
ZNF618	0.5335625
DKFZp686D0972	-0.09125
SSPO	-1.9485
SHFM3P1	1.24966666666667
CPA6	-1.6335
JAG2	1.37825
DEFA3	0.4275
PPBPL2	0.0442
CD34	4.183625
SLCO4A1	-3.455375
AFG3L1	-1.50233333333333
SHD	-1.042
RP13-122B23.3	-0.339833333333333
PRKCSH	-0.537
DPH5	-0.3175
HLA-F	-0.400375
TBC1D4	-1.26725
RIG	0.7374
GLUD1	1.67583333333333
HNRPCL1	0.9155
HBXIP	-0.41125
RNF207	0.8645
APIP	-0.2525
PLA2G3	-2.90583333333333
CCDC84	-1.5615
MYLIP	0.350923076923077
PHIP	0.046
AARS2	-0.245833333333333
DHX32	0.183
SCAPER	-0.393
MEN1	-0.0318571428571429
NIP7	-1.70425
FLJ25404	0.556
FASTKD3	-0.3835
TMEM158	-3.63025
RARA	2.62525
BDH1	1.2455
ANKRD16	1.58875
CARM1	0.847
SS18	0.443166666666667
IKZF2	-0.738666666666667
MYD88	0.197
PML	-1.2683
TAF1A	-1.87275
CBFB	-1.24325
HIST1H3H	-1.5545
C7orf29	-2.06125
COMMD4	-0.670333333333333
DPP3	0.55725
DAB2	-1.855125
LOC388882	-0.095
YPEL4	-1.1445
AGBL3	1.1905
LRP6	0.6639
SERPINH1	-1.02408333333333
TLE1	-1.67375
CD244	0.0365
ZDHHC15	-0.56225
MGLL	-0.1346
PLDN	0.00216666666666665
LOC654346	0.441
FAP	-0.8405
GPR37	0.151833333333333
SCARA5	-1.84116666666667
EBF4	2.90454545454545
LSM6	-1.63725
MLLT1	0.2925625
SLC5A12	-0.1285
A2BP1	-1.03983333333333
COPS5	0.823333333333333
TPM4	-0.400142857142857
TNFSF4	-0.591333333333333
ACADSB	4.80577777777778
HERPUD1	-0.064
BCL2L11	-1.45394444444444
CEP78	-1.6035
CDCA3	-2.025625
WBSCR19	0.0368
MYO1A	-2.4385
PPEF1	2.23633333333333
LOC440348	-0.166
CPEB2	1.231375
BPTF	-0.4175
RPL21	-0.85525
GSX2	1.421
ADPRH	0.253666666666667
C17orf68	0.812666666666667
KCNS1	-0.836833333333333
MLLT6	0.1317
PIWIL4	-1.656
RNF26	-1.14175
RAP1B	0.686125
ADAMTS1	-3.7216
ZNF571	1.146
P2RY6	-0.93425
TRIM21	-0.901666666666667
CADM3	-0.0125
NLRC5	-0.792333333333333
ADRA2B	0.793333333333333
LOC90835	0.960625
PCF11	-0.965
LOC400451	2.4685
GLTSCR1	0.8236
C17orf88	-0.646166666666667
CDH16	-1.41875
FGF7	0.918125
PCSK4	1.51316666666667
NPC1L1	0.496666666666667
TAT	3.882875
TBCA	-0.38975
MGC33407	0.16425
GPR115	-0.634375
CYGB	0.574
FNBP4	-0.670333333333333
C12orf43	-0.128
CBL	-1.2837
CLECL1	-1.55475
PPAPDC1A	-2.19225
WDR25	1.15566666666667
SGCA	0.956
C22orf29	0.9295
YIPF1	1.23275
GALK2	-1.1905
RAB3B	-3.15175
LOC440087	2.607
UCP1	0.027
REEP5	2.495125
FADD	1.2584
FOXA1	3.380625
CACNA1A	0.3695
ABI1	-0.0738333333333333
GRIN2D	0.8615
SLC1A4	1.17416666666667
LOC401127	-1.5925
HINT2	-0.01525
PLD4	-0.766166666666667
ZNF286A	-0.45475
ENY2	-0.11175
IL1F6	-0.6415
PXDNL	5.202
C20orf79	0.860333333333334
TNFSF13B	-0.459333333333333
DENND3	0.072125
JARID1D	-2.879
HIST1H2AK	1.767875
LOC93349	-2.3805
SSH1	-1.2019
ENSA	-0.5705
LOC219854	0.195333333333333
CKAP2	-2.932
DKFZP564J102	-2.15866666666667
MGC87315	-0.151333333333333
HNRPAB	-0.377
AMH	-2.376
ZNF526	0.534
BRUNOL5	0.6035
CACNG3	0.259166666666667
TRPM1	-2.612
PPP2R1A	0.687625
COL2A1	4.556
DDN	0.0785
FLJ25770	1.7085
HK2	0.5445
ELOVL6	-1.487875
MDK	-0.31
EPHX1	0.03175
RASSF2	-0.650375
DKFZP434B0335	-1.0775
DLX3	1.348125
PRTN3	0.366
AVPR1A	0.00625000000000002
C21orf125	-2.60225
TNFAIP8	-1.12566666666667
GNB2L1	0.3
CALCRL	1.86225
SCGB2A2	7.47683333333333
UBXD7	0.1855
ZNF674	-0.00649999999999998
TMEM35	-0.762125
BRSK2	-0.810625
HECTD3	-0.453166666666667
TMEM188	-0.771666666666667
LGALS9	-0.152875
SCARB2	0.21625
USP34	-0.00391666666666668
C17orf28	1.49333333333333
ZDHHC23	-0.55875
AQP12B	0.8855
SLC16A3	-2.47925
APLP2	1.319
ITIH2	-4.885
MICAL3	-1.456875
TNNI3K	0.5133
HDAC2	0.29475
PRR7	0.3413
THBS2	-3.56675
LOC751071	-0.566333333333333
CA2	1.6325
RANBP17	1.70775
RLN3	0.9
CRYZ	0.0595
GBAS	-0.398166666666667
TAS1R1	-0.20525
MPZL3	-1.022
PCDH8	-3.764
HSP90B1	0.0841666666666667
KCNK15	1.5605
TNIP2	0.528
GPR146	-0.7215
NOL6	-0.10125
SPC25	-4.11455555555556
STEAP2	2.52535714285714
VAMP3	-0.713833333333333
TCIRG1	-0.4675
ZP4	-0.338166666666667
PARL	0.26825
TRIM39	0.4355
KIAA1305	0.138
CRNN	0.547833333333333
GRN	0.51475
HSH2D	-0.60375
SCAMP1	1.4806875
KIAA1913	-2.604
PTS	-0.58625
BANP	-0.049
PRKACG	0.19475
ADCY6	0.579
C16orf46	0.313
CYP51A1	-0.037375
DDC	-6.5595
ANPEP	2.777
PROM1	-2.265
SIGLEC10	1.06766666666667
COPG	0.9005
FAM26E	-0.495625
TRIP4	-0.04575
SNX3	-0.225666666666667
C1orf175	0.7885
PPY2	-0.27875
C14orf152	0.8875
FTSJ1	-0.502333333333333
DST	0.1486
LOC554235	-0.101
GLRX5	0.819
C20orf12	1.8058
CAB39	0.0498333333333333
MSH2	-1.25033333333333
PIP4K2C	1.41225
CYLD	-0.433375
WTAP	0.7801875
MGAT4A	0.350333333333333
TSC22D4	-0.3126
CHRM2	-1.247
PPYR1	0.223
CCNH	-0.389833333333333
RRM1	-0.56675
ECAT8	-3.56575
LOC400120	-0.3415
GABRA4	-0.415375
C14orf4	2.4005
C1orf59	0.56925
CTDSPL	0.0685
NHEDC2	-1.889
PDE11A	-0.3218125
KLHL29	-3.1085
CD5	-2.5531
TSPAN9	1.32325
WDR67	-1.6495
THUMPD1	1.1503
C18orf17	0.30725
CLYBL	-0.765333333333333
FLJ13231	-0.026875
CMBL	1.495125
LECT2	-0.357
NKAPL	1.6898
LOC654780	0.2025
OR4C6	0.1715
RAB30	2.16483333333333
TSSK4	-0.3955
TMEM163	-0.756
OSBPL11	0.502416666666667
GNB5	-1.36316666666667
CCL21	0.54125
C1orf121	-1.65
FMO2	0.693166666666667
RPTN	-0.031
MSTN	0.145
VCL	-0.7135
FYTTD1	-0.0885
C11orf1	-0.92575
CCDC88C	1.7394375
HFE	-1.47511111111111
MOGAT1	-1.5825
FAM125B	0.667666666666667
IRGQ	-0.1995
RAVER2	0.0585
AKAP5	-0.6795
SSSCA1	-0.936
C11orf63	0.2005
ACTG2	-0.4314
PORCN	-0.395
DTL	-2.91118181818182
TMEM151	1.12325
FAM122C	-2.0425
RSAD2	-0.3874
BAT4	0.1445
KRTDAP	0.625666666666667
MYH8	-0.0964285714285715
CRTC3	0.783
LRRFIP2	0.3956
INTS4	0.0136666666666667
TTN	-1.3945
SLC26A5	0.107
PLLP	1.54275
RGS6	-0.600875
SRGAP3	1.00275
ZNF525	0.444166666666667
NBR2	0.432166666666667
C13orf1	-0.101
ZNF137	0.7055
CEP27	-2.60775
BEST2	0.2785
RNF121	-0.1465
DMRTC2	0.366666666666667
C8orf76	0.18275
BCCIP	-0.304875
MEST	-0.92075
HTRA2	-0.435
ANGPTL2	-1.45725
ILKAP	-0.0903333333333333
ERAS	0.5295
HBS1L	0.53925
CPA5	0.242
TMEM30A	0.792666666666667
CD300LF	0.7268
WISP3	0.835
CRK	0.546785714285714
PDS5A	-0.3983
BRPF3	0.283666666666667
NEDD9	-0.779375
SMPDL3B	1.19875
PSG6	-0.21025
PSMD13	1.15275
ETV5	-3.6314375
OR51A4	0.622
BTBD7	0.73975
GSTO1	-1.599625
hCG_16001	0.8325
MAD2L1BP	0.0166666666666667
COX6A2	1.0735
SCNN1A	1.5965
LSM1	1.446
UGT2B11	-1.411
IDUA	1.0045
PPP2R3C	-0.6025
COX11	-0.137833333333333
PDZK1	-1.10775
ZNF443	1.22316666666667
MGC21874	1.4575
ZNF323	3.9237
KRTAP10-10	0.782
CXCL6	-0.23425
SLC34A2	0.7449
LOC284402	0.6035
NPTN	0.992333333333333
UPP1	-2.93091666666667
SLC6A9	2.6385
OR7G3	-0.23675
CISD1	-0.923
ZNF545	0.382666666666667
SYT14	-0.771
NT5C3L	-0.000333333333333334
ZNHIT3	0.279333333333333
SNRPD3	0.36925
KIAA0701	0.267375
UNC93B1	0.687166666666667
GMNN	-1.01425
SPCS2	1.27983333333333
LOC388524	-0.525
NAPRT1	0.811375
PNLIPRP1	0.7615
OR6V1	0.609
PRKAB1	1.24725
EYA4	-3.478
KIF20A	-3.2965
ALG10	0.05575
ITPKC	1.877
LMX1B	1.9435
RPUSD4	-1.541
C7orf34	0.1096
DLGAP2	-0.224285714285714
PFN1	-0.5823
MICALL2	-0.305666666666667
ZNF654	-0.5705
SS18L1	0.571625
SLC16A8	0.48625
MKI67IP	-0.0801666666666667
ITGB3	-0.96425
TCEA3	2.4205
CEP152	-2.67766666666667
CLIP1	2.06625
ZNF75	0.5111875
ATP5C1	-0.513666666666667
NUDT5	-1.45216666666667
PSCDBP	-2.6695
UBP1	0.202
RBM27	-0.539
C13orf15	2.025
ZNF282	1.33433333333333
ZNF222	1.327
COL10A1	3.3085
PRDM15	-0.487625
TTTY5	-0.464
FAM9C	-0.839833333333333
C20orf67	0.53875
GNG13	2.771
F12	0.0775
C1orf41	-0.19975
CPXCR1	0.362
GSK3A	0.303375
SUPT6H	0.0783333333333333
PI16	-1.61366666666667
ELL2	-0.737916666666667
C9orf167	-2.709
PVRL3	-3.8178
FLJ38596	1.46725
ADAM20	0.94925
GPR89A	1.0975
GPR87	-2.031
ZNF30	1.011
SMR3B	0.4255
ZNF770	0.57125
TRPC4AP	0.641166666666667
DKFZP686E2158	0.809833333333333
C2orf28	0.0733333333333333
FREM1	-3.42316666666667
LAMA4	-0.509
ADPRHL2	0.14475
EIF4G2	0.485333333333333
GUCA1A	0.1245
CTNNA2	-1.477875
NUDT15	-0.113666666666667
CEPT1	-0.307333333333333
ZNFX1	0.3722
CCDC92	0.78925
TDRD1	-1.1115
KCNK5	-2.08183333333333
ETNK1	0.453916666666667
LTA	0.491
TTPA	0.348
B3GALNT2	-0.680125
SC65	0.783666666666667
PEX5L	-0.51675
EPS15L1	0.41375
MGEA5	0.267
HIST1H3A	0.23125
ING1	1.457625
BCAT1	-4.879875
ORC6L	-2.56554545454545
KLK11	-5.1225
C19orf28	-1.040125
DNER	-4.452875
MED22	-0.735357142857143
ETV6	0.555916666666667
CHAC2	-3.0375
CD300E	0.393
CEBPB	2.25325
ZNF398	-0.2725
LRCH3	-0.0005
HMGA1	-1.88416666666667
CAPN7	-0.0711666666666667
MGC5566	-3.08925
CCL3	1.57025
NANOS1	-0.766125
ZFYVE19	-0.08225
APITD1	-0.0351666666666667
PARD3	1.893125
IRAK4	-0.417
SERPINI2	0.2255
CEP170L	-1.60325
TTC9	2.7745
MYOM3	-1.7675
MLPH	2.6975
LOC222699	0.4775
NRG1	-2.3505
TBC1D9	3.85009090909091
TTK	-3.10783333333333
ZNF557	0.1638
DDX41	-0.416833333333333
FANK1	1.887
UBE2D2	-0.275
PSMB10	-1.118
MYH7B	2.041
GABARAPL2	-0.328
MARVELD2	2.55683333333333
DGCR2	1.37783333333333
UNC45A	0.308333333333333
C6orf72	0.7865
ZNF683	0.44075
GIT2	-0.4
CASK	1.11816666666667
C14orf161	1.78066666666667
LRRC44	1.47775
TIFA	-0.254625
UTP11L	-0.647125
C6orf65	-2.3285
FDPS	-0.798
DUSP9	-1.913
SLC17A8	-0.923666666666667
OR51G1	0.1915
NANS	-0.3885
OLFML1	0.8465
ATP10B	-1.545875
NPAS3	-1.43475
PRKCA	-3.5266
GGA2	1.99475
LCE4A	0.873
SPANXN3	0.342
CCDC115	1.7085
SDCCAG3	-0.81875
GLIPR1L1	-0.19025
TTC1	0.09925
C17orf76	0.338
MAD2L2	-0.987
HIPK1	0.0173
LRRC3B	-0.507333333333333
CLN3	0.447545454545455
C17orf47	0.1895
FMN2	-3.56271428571429
TUBB1	-0.0175000000000001
WAPAL	0.0136666666666667
C3orf21	-0.0725
SCN5A	-0.6082
SMYD1	1.56425
BEX5	1.786
ZNF192	0.964
SEC22A	-0.3745
GRIA2	3.63021428571429
KIAA0825	-1.7005
NUSAP1	-3.13909090909091
LANCL1	-0.043875
C15orf40	-0.8308
ZNF645	-0.044125
GPR61	0.1795
NLRP14	-2.0825
SNX21	-0.2945
C1QTNF8	0.205
C17orf46	0.19725
IFNA8	1.508
SPRR1B	-1.8354
FLRT1	-0.50825
SNX17	-0.1905
ASB2	-2.28383333333333
HBG1	-4.8335
RPRML	-1.66925
JOSD2	-0.267
PLSCR3	0.23625
SPOCD1	-2.0455
RAB39	-1.0615
GHRH	0.211333333333333
ITIH5L	1.3265
C17orf37	0.909
SMCR8	0.4115
DPY19L2P3	0.487166666666667
IL11RA	0.239
GDF3	-3.72383333333333
RPS6KB1	-0.69625
DNAJC19	0.3281
TOP1	0.52875
CRCT1	-0.569125
MPST	0.77675
DPM2	0.23075
FAM38B	1.42583333333333
SLC18A1	-2.605
FARP1	-1.688
PAX7	-0.21975
TUBD1	-1.49075
GNL3	1.035
BTG2	1.41466666666667
NDUFS6	-0.534
C1orf79	-1.084
ERAL1	-0.24425
ECHS1	0.68225
VPS4A	-0.779666666666667
CYP11A1	-1.519125
ABCC6	0.507928571428572
PBX4	-1.2665
MOSC1	-2.549
NCF4	-1.4695
HYMAI	-0.0715
NAGPA	0.719
OTOP2	0.77225
ACOT12	-0.02875
MTHFD2L	-0.061
LOC441376	5.51475
C19orf34	-0.0475
RAB1B	0.642
ALDOAP2	1.5175
NTRK1	-2.2275
ARTS-1	-0.5182
SLC6A11	-1.7065
NAP1L2	-2.58375
CNGB1	-0.122333333333333
EPB41L4B	0.073
FAM134B	4.7255
HS3ST3A1	-2.88433333333333
CPXM2	6.30625
SIRPB2	-0.1835
CHORDC1	-2.11683333333333
TRIB3	1.26733333333333
SLC2A5	-0.39275
C2orf49	-1.13566666666667
DDX5	-0.12425
OR5L1	0.729
ANAPC4	-0.755
ZSWIM1	0.988
LOC93622	1.723875
KCNK3	-0.6006
RP11-35N6.1	-2.517125
ZFP161	0.2495
AQP9	0.7425
SLC15A2	-1.4045
MREG	0.3435
OR9I1	0.36
PDLIM2	-0.488625
ADAM7	0.6985
GSTCD	0.1905
WDR21A	0.541375
SLC12A8	0.757166666666667
TMEM174	0.29975
IGSF3	0.0985833333333333
LRRN1	1.64075
LOC402117	-0.8695
SRPK1	-1.055
LY6K	-2.45973333333333
NFIA	2.5485
PTCD3	-0.6145
LEP	-0.1094
PCDH21	-1.77783333333333
MAPKAPK2	-0.363
NMNAT1	-0.451666666666667
LHFPL2	-0.064
C9orf43	0.6785
DIP2A	-0.7705
ACTR8	0.745875
CCDC34	0.56425
PTPN22	-2.847125
ITGA3	-1.223625
FAM129C	0.34675
RABGGTA	0.8955
UNC45B	0.201
KIAA1033	-0.260125
ZNF510	-0.112166666666667
CYP2D6	0.404666666666667
SLC26A10	-1.352
STX8	0.6065
LUZP1	-0.303125
WDR89	0.0133333333333333
EIF4G3	0.0269
C5AR1	0.177875
ZNF623	1.577
A2M	-0.887
TGM7	0.4715
GRPEL1	0.157166666666667
LMNB2	-2.0483
ROCK2	-0.5095
SNX16	0.36625
CCDC66	0.529
ANXA3	-2.86075
KIAA1609	-0.72475
EED	-2.69425
RNF32	0.909
HES1	1.4313
CLC	0.2655
ISL1	-1.0418
KIAA0528	0.5855
MANEA	0.81825
C1orf61	-2.9585
hCG_2001000	0.568
RAPGEF6	-0.0896
KIAA0020	-0.828833333333333
NEIL1	1.31625
C16orf45	1.809375
RBM10	-0.343333333333333
C10orf125	-0.694625
MRS2L	-0.662
DNAH17	-0.650375
C19orf10	-0.16875
C1orf160	0.59125
SLFN12	-1.2475
EXOC3	-0.3465
HIST3H3	-0.00375
NCOR2	1.2365
TNFRSF9	-1.493
MFSD8	0.44625
ALX1	-3.974
NOL1	-1.24425
PODN	0.56325
TIAL1	-1.5935
HIST1H1E	0.01075
NPY6R	0.429
TM4SF4	-0.43325
CORO2A	0.60675
ETNK2	0.252
APOE	-1.1752
ANGPT4	0.463
HDGF2	-0.01975
G30	2.127
ST8SIA4	-2.048625
F2RL1	1.455
FAM19A4	-3.26966666666667
CCAR1	-0.6795
B3GNT7	0.32675
OPHN1	0.7852
DSCR6	0.7015
C21orf13	1.89916666666667
GAS2L1	-0.0181666666666667
RFX3	0.092
COPS4	0.007625
BCHE	-5.2565
BCL2	3.642625
HBZ	-2.81733333333333
ARL13B	-0.33225
MAPBPIP	0.010875
MYO15B	0.781375
SPZ1	1.26025
KIAA1324	2.78444444444444
PLCL2	-2.896
C4orf29	-1.17375
WDFY2	-1.435125
ZNF284	-2.2865
NAALADL1	-1.18
DUSP5	1.3045
PXDN	1.62575
SLMO1	0.9175
TNXB	0.4687
BIRC7	-1.14175
A4GALT	-0.1165
TIMM22	0.7615
FAM110C	-0.09
TOMM34	0.508125
ABHD9	-0.1595
ADAM32	3.12
CRHBP	-2.441
AQP2	0.42675
LOC130355	1.339
ZNF187	0.6915
ZNF816A	0.389
F7	-0.311375
CNOT1	-0.7654
SLC13A4	-1.34875
ZBTB11	-0.5805
B3GALT5	-0.32
EXOC2	1.71716666666667
IRS1	1.6909
TMEM1	-0.737333333333333
MRPL34	-0.394
SAMM50	0.05425
CDC42EP3	-2.362125
HSF2	0.016
MFN2	0.23475
TSPAN7	-2.36616666666667
NUCB1	0.66
RHOH	0.4755
ARL16	-1.168
TACR1	0.831333333333333
SFRS5	0.494833333333333
SNX25	0.58925
RHBDF1	1.45183333333333
PCDH18	-0.0121666666666667
HMG1L1	-1.10325
MYO5C	1.369875
MAPK10	2.853
LDHAL6A	1.027
NUDT12	0.390833333333333
NCAM1	0.129625
GLIS2	0.457
GGTL4	-0.95075
DAPP1	-2.86125
ATF7	0.52875
KIAA0748	-2.251
NFIL3	0.7705
TM6SF1	0.5422
SEZ6	0.324875
NANOS3	-0.390833333333333
DNAJA3	0.7895
CLDN6	-2.75
CIITA	-0.1681
EPHA4	-2.12658333333333
FANCC	-0.8195
CMTM3	-1.059375
PSG3	0.168875
MRPL15	0.309
C21orf59	0.21
PLCXD2	-0.17575
C2orf34	-0.252125
UBE2L6	-1.16375
MED14	-0.452
HP1BP3	-0.0513
C6orf208	-0.0025
TPBG	1.27275
OSR2	-2.62925
XPC	0.237166666666667
KLHL7	-1.10975
CCR3	0.0643333333333333
AGTPBP1	-1.05533333333333
PCSK6	1.05546666666667
STAT5A	-0.8659
FAM18B	0.948
LONRF2	2.11733333333333
PTPN2	-0.370375
SF3A3	-0.885
EFCBP2	-0.5355
HCFC1	-0.499166666666667
AHNAK	1.5272
ACTR5	1.04875
KIF14	-4.28128571428571
TENC1	0.64775
HEATR5B	0.907
YIPF2	0.8235
MYEOV2	1.94716666666667
DUSP18	0.86775
KIAA1012	0.4295
AHR	-1.059
C17orf53	-1.38766666666667
PTPRH	-4.3115
ATP6V1C1	1.7338
TAS2R3	-0.5115
LOC440356	2.57875
COQ10B	0.76625
PSMF1	0.84575
SORBS2	-0.71925
NFE2L2	-1.07875
TMCO7	0.12175
SH3PXD2A	-1.4564
SH2D2A	-3.115
SPINK5	-3.15775
MRPS24	-1.36
OPA3	0.432625
TRAF7	-0.0348333333333333
C4orf35	-0.4375
MT1G	0.219625
MGC39545	0.401
HS1BP3	0.0593333333333333
OR2B2	-0.624
CHRM4	0.3765
SFRP2	-2.1225
RIC3	-0.218
ART1	0.211
C6orf1	0.589
DUS4L	-0.57175
C10orf104	0.79125
TNFAIP6	0.235
RTEL1	0.129
CCT4	-0.3978
ZNF709	1.08075
CHMP6	0.00633333333333333
UPP2	0.85525
CYP19A1	-3.514875
CD151	0.131833333333333
NDUFA13	0.121833333333333
ARFRP1	0.203166666666667
FAM26B	0.95175
CRYBA1	-1.766
MRPL41	-0.0261666666666667
NPFFR2	-2.16375
HRH2	0.445
SCAMP3	-0.322333333333333
MTMR6	0.2767
MTG1	-0.652166666666667
UBTD1	1.256
CRABP1	-3.0055
FLJ33790	2.4602
KIAA1908	-0.822833333333333
GPR158	2.17475
PACSIN3	0.461
OMD	-0.301166666666667
CATSPER1	-1.79283333333333
HOXB8	-1.342
FBXO46	1.887
OAS1	-0.4065
SVIL	-1.18525
PHB2	-0.667
ADCY3	-1.0335
NDRG2	0.992166666666667
ERMAP	0.7189
APBA2	-2.59366666666667
IGSF9	1.8505
WNT6	-0.619153846153846
MYCBPAP	1.40075
ATP2B2	-0.5536
CPVL	-3.148
TRAM2	-1.82091666666667
NOP5/NOP58	-0.59575
ZNRF4	0.02025
TLK1	0.254875
MTMR12	0.399642857142857
ZNF384	0.0775
FAM9B	-2.00933333333333
RPN1	0.4521
PMVK	0.5725
EIF3D	0.5997
SIX2	-1.3985
HPS1	0.129357142857143
RNF7	0.8755
PSKH2	0.1695
KCTD13	0.785
CSMD3	-1.1534
FBF1	0.7915
IL8	-5.55025
SERPINB13	0.264181818181818
FBXL20	-0.664
BLR1	0.034
SH2B1	0.9075
RFNG	0.04925
RAB20	0.0968333333333333
RBM7	-1.77175
POLR1A	-0.285
TMPRSS4	-2.517
TAF9	-0.5455
TERF2	-0.501666666666667
TNFRSF1A	0.581583333333333
ACADVL	0.156666666666667
GTF2H5	0.70225
EDG8	0.433833333333333
C9orf140	-1.678375
UST6	-0.35125
ZBTB8OS	-0.698
ZNF710	0.7865
GPR174	-1.7045
ATP6V0A2	-1.182
KIAA0319L	0.1235
XKRX	-0.887
DOPEY2	0.0096
SDHD	-0.974083333333334
SUMF1	1.9325
OSM	-0.196
OPN3	-2.4085
DAGLB	-0.384333333333333
PPFIBP1	-0.769
TRIM63	-2.6935
C10orf53	1.578
LYPD3	2.69683333333333
BCL7A	0.949125
AGER	-1.1005
TCF19	-1.622125
SAT2	0.30525
PFTK1	0.404166666666667
GABRE	-3.445625
C15orf38	0.1211
FIS1	-0.0275
KCNV2	0.0055
CLPS	0.955
PPCDC	-0.309
FOXN2	-1.88466666666667
NT5E	-4.8666
CD83	-1.049
IL18	-2.573
VPS16	0.78275
IGFBP2	1.16966666666667
NOTCH2	-0.90725
SIGLEC1	0.306285714285714
CD93	4.251
SULF2	-0.992
CEP164	-0.327625
P53AIP1	-0.1045
TOR2A	-0.107833333333333
ZNF136	0.6325
MGP	3.7003
CCDC144A	1.18416666666667
TRPC1	-1.819
SMS	-0.2255
MAPK7	-0.561166666666667
RRAGC	-0.083
PARD6A	0.535166666666667
NUB1	0.249333333333333
SYNGR4	0.6335
OR11H12	0.4215
WIF1	0.026
GCH1	0.1655
OR11H4	-0.356
SLC44A5	0.7795
GPRIN2	-0.0426666666666667
LOC401431	-0.5885
CPA4	-1.8206
MELK	-3.86388888888889
IL15RA	-1.87775
CUL3	1.239125
HMBOX1	0.64525
PODXL	-2.503
CCT6B	1.69866666666667
COMTD1	0.487
MUC20	0.158
GPX2	-2.858375
ITK	-3.4305
FBXL5	1.55925
C13orf27	-1.97175
DEFA5	-0.495
TRHDE	-2.3355
MTP18	-0.1105
UQCRQ	-0.2447
ITGB2	-1.04583333333333
CSRP2BP	1.427
TAS2R44	0.4205
PHPT1	0.259125
FAM44C	1.643
ERH	0.0325
MPHOSPH1	-1.846
MORC1	-0.292
PARVB	-0.77475
LAMA1	-2.81425
PGBD3	0.1095
GIMAP6	3.238
AREG	-4.9775
LIPT1	-0.2165
MGC99813	-0.1535
C1orf201	-0.1955
GRIN2A	-0.757111111111111
MAN2C1	-0.713875
NSUN5	-0.46725
SF3B5	0.60275
MYC	-0.00174999999999998
NRXN1	-0.750545454545455
ZNF18	0.65
SPDYA	-0.657375
SLC37A1	-0.1375
DECR2	1.22525
ANKRD38	-1.40885714285714
SPTLC3	-1.18391666666667
SUPT16H	0.06525
DTWD2	1.1875
ULBP1	-4.98
ZADH1	0.603166666666667
OIP5	-3.47925
IL10RB	-0.735166666666667
OTUB2	0.616
VWA3A	0.779166666666667
SPIC	-0.419
OR6C4	0.9885
PSCD4	-1.25866666666667
DPY19L2P2	-0.0355
TRAPPC6A	1.52383333333333
C21orf2	0.711
CEMP1	1.17575
LIN7B	0.7375
E2F7	-2.72116666666667
VCP	0.3190625
LAMA3	3.52175
BGN	0.6545
GPR160	1.65
