Hybridization REF	TCGA-B6-A0IN-01A-11R-A034-07
RAB11FIP2	-0.0309166666666667
TSC2	-0.953
CTGLF5	-1.926
CCDC108	0.176111111111111
OR13C4	0.39875
C10orf81	-1.117
PTPRB	3.2265
ACP2	-0.14825
LAG3	-0.63775
MRPL54	0.1275
LOC201175	2.3545
ITGB1BP3	-0.223
SPTAN1	-0.137333333333333
SIPA1L2	-0.53175
RCAN2	0.3185
CDX2	0.1255
ECOP	0.69975
ACTR1A	0.814785714285714
PPARG	0.537166666666667
BBS10	-0.0255
TMEM44	-0.948
BPIL2	-1.333
CITED1	-1.6425
IRF6	3.62925
PRDM4	0.692166666666667
RRP9	-0.839
OR10H4	0.51325
IL31RA	-0.938666666666667
GNB1L	-1.12483333333333
MYBL2	-2.000875
ZNF407	0.733333333333333
PPIG	-0.116166666666667
TTC18	2.02675
RPSA	-0.517
MAPT	0.0922857142857143
MRE11A	-0.441076923076923
C8orf37	-1.65333333333333
RASGEF1C	-0.0706666666666667
STBD1	0.05025
CTAG2	-0.159666666666667
MGAT5B	-1.5415
ECM1	0.506875
RLN1	0.079
PARP14	0.00856250000000006
EPB41L1	0.4161
HOXA3	0.502
MAGEA9	-1.956
RPS8	-0.543333333333333
RPS19BP1	-0.09075
FOXJ2	-0.20875
C10orf76	0.44925
IL17RE	0.44775
C10orf65	-0.2315
ZNF343	-0.391833333333333
FBXO33	0.50225
UHMK1	0.5054
LY6G6C	-0.37075
FGF19	-1.47125
C14orf128	-0.7785
IFIT2	1.349875
TIGD1	-0.22125
S100G	0.1755
GUCY1B3	2.8095
NR3C1	0.0772
CORO1B	0.822333333333333
PARP11	0.639
DNALI1	5.1305
OR4N4	0.172833333333333
MAP2K6	-0.990833333333333
FSTL4	0.10075
ANKRD47	1.9475
TMEM171	-0.8735
PNLIP	0.0586666666666667
YY1	-0.7395
CCDC138	-2.73983333333333
AASDHPPT	-0.9191
CKS1B	-0.995
MCM3	-0.954833333333334
ANAPC7	-1.25366666666667
FAM110A	1.72225
CDC37L1	1.11766666666667
THTPA	0.71825
NBPF20	-0.7315
WDR24	-0.0225
NPTX2	-2.0065
CBLB	0.981166666666667
CETN1	0.5362
RPUSD1	0.28675
FAF1	-0.171
CDK6	-2.4735
HMX2	0.247
CSK	-0.112333333333333
TEAD2	0.20425
SNAP25	-0.22675
TUFT1	0.4307
TMTC3	0.954166666666667
LCK	-0.7235
SGOL1	-0.924666666666667
AKTIP	-0.10525
FURIN	0.165625
SOX12	-1.5385
DEFB103A	0.0615
RAMP1	4.313
KIR3DX1	-0.1305
GAS2L3	-0.441
PDE8A	-1.4859
EDN3	-0.35925
GMIP	1.65225
SF3A2	1.84725
FN3KRP	0.393
SMAD7	0.369
RHBDD2	1.013
OR11H6	0.46
PPP1R3B	0.2739
C9orf23	0.076
CADPS	0.992
GOLGA8A	-4.141625
TMEM57	1.188
RGL3	-1.948
S100A14	-2.674
FGFR2	0.19275
XRCC3	-0.99025
RTN4RL2	1.427
MGC3771	0.4495
GH2	1.43
BTBD2	-0.5565
LMO2	1.3025
RDBP	-0.0838749999999999
ACRBP	-1.37
AMY2A	3.99925
DUOXA1	1.295
PTK7	-0.829
TWF2	-0.0136666666666667
FAM80A	1.1805
TNNI2	-1.84133333333333
GLT25D1	-0.992
OCC-1	-2.73775
CYC1	-1.0745
RPL22	-0.383818181818182
MORN3	1.60433333333333
DISP1	1.57375
PRB2	0.8905
CHUK	-1.1495
HR	-0.162
CCDC134	-0.466625
DENND4B	-0.29625
C14orf130	0.42675
RAB33A	-0.718
DCST2	0.5465
TNMD	1.95275
PEX7	0.60525
FAM62A	0.12075
SRD5A2L	1.09325
IL22	0.336
RPS26	-2.3185
HOXC5	0.2415
SPATA6	0.56475
FLJ38482	0.559375
ZNF234	1.1455
C18orf22	1.12775
SPATA22	0.57575
THOC1	-1.3885
CYP7B1	2.97225
KCNC3	0.783
C8orf42	-1.695
ALDH1B1	-0.494
CCDC100	-0.541
ARMC4	-1.21675
FAM18B2	-0.651
SLC44A1	-0.334625
FBXO17	-1.72116666666667
C6orf107	-1.02425
C19orf29	-0.2815
ZC3HAV1L	0.07775
PARP6	-0.7438
SULT2A1	-4.1075
C1orf159	-0.854
TMC1	0.56
CHST14	0.0225
GAMT	-0.205833333333333
SMCP	0.073
TSPAN33	1.36775
MIDN	0.365125
NOX4	1.6525
RNASEN	-0.2368
TBX1	-0.517166666666667
SALL2	-1.442
C10orf35	1.70175
CYP2E1	-1.097
LRFN2	3.81116666666667
ACO1	-0.303
IQCG	0.38
MEGF9	1.38275
TM7SF4	2.27825
PLEKHA1	0.140933333333333
STK33	-1.81725
C1orf210	2.31575
SNUPN	-0.2102
KIAA0406	-1.7628
C20orf29	0.7325
TMEM55B	0.015
OSTM1	-0.1265
CLCN7	-0.4535
OTP	0.9355
FLJ23049	-0.2465
HEATR4	0.408
MAP3K10	2.1915
PCDHGA9	0.652
AMDHD2	-0.74675
LCTL	-2.4255
PDCD2L	-0.291
CABLES2	-0.666
SLC5A9	0.3365
CLCA2	-2.45866666666667
MGC16025	-0.181
STRAP	-1.3375
C20orf196	-0.857
RRBP1	0.737
NAT13	-1.19175
MAT2B	-0.153875
CSNK1D	-0.603166666666667
KIR3DL1	0.89025
PRKAG3	-0.314
ZNF599	-1.2385
PRM3	2.2355
PER2	0.741166666666667
ASPHD1	-2.3155
PRMT6	-0.173
KCNE1L	-0.238428571428571
FAM118A	-1.84466666666667
TAF4	-1.27675
NDUFB6	-0.48625
TRIM9	-1.38018181818182
PMFBP1	0.17925
KY	1.6665
DKFZp762E1312	-1.864
CSMD1	-1.257
TBP	-0.8295
OR1Q1	0.6948
RETNLB	1.1535
HPGD	-0.366076923076923
DNAJC12	2.17566666666667
FKBP1B	-1.84875
ANKRD24	0.692333333333333
CXXC5	1.81583333333333
IL3	0.323142857142857
DRAM	1.359
PTCH1	-0.94925
TP53BP1	-0.148
SLC17A7	0.74975
COL25A1	-1.109125
AMACR	0.499833333333333
RHCG	1.36675
VPS13A	-0.546416666666667
FAM55D	0.2405
PRPF38B	-0.95475
OSBPL6	-0.00675
PFDN5	0.5256
CMTM6	1.192625
KCNK12	0.6985
RP2	0.39025
C16orf52	-1.53
PICK1	-1.6985
IFNE1	-0.9026
SEMA4B	-0.262
TYRO3	-1.60625
OR12D2	0.483
CSNK1A1	0.878
FANCF	1.06575
LONP2	0.33825
TBL1Y	-0.1785
LDOC1L	-0.980875
CCNC	-1.16025
C3orf60	0.5805
CHKA	-1.5045
UBAP1	0.07275
MAP3K1	0.1005
ANKRD9	-0.4575
FAM92A1	-1.778
GAB2	0.6455
AZU1	-0.153
DIS3	-1.06708333333333
C21orf109	0.512
IQCB1	-0.83925
SPATS2	-0.707
EFCAB3	1.36425
PRB3	1.013875
FUZ	0.136166666666667
ZNF813	-0.2305
BMPER	-0.9982
HEG1	0.49475
ALS2CR11	-1.73575
SURF2	0.42625
PSMC1	0.409083333333333
OR2D2	-0.791
SLC7A8	2.86866666666667
C4orf40	-0.088
SPATA7	0.145
MAZ	-0.360333333333333
PIN4	0.14275
PDE1A	0.314875
TAF6L	0.1185
OR2T34	0.8535
KIAA0284	0.3605
ACADS	1
MKRN2	-0.748
C18orf56	-1.46775
MS4A6E	0.3055
GALNT4	-0.9585
C22orf31	-1.599
FLJ36070	0.9375
PSME4	-0.97475
TFG	-0.8575
EPHX2	0.338875
ANXA5	0.21225
KRTAP1-1	-0.435666666666667
BATF	3.4025
KARS	-1.65025
MSTP9	-0.7255
GPR26	-0.0537142857142857
CCDC72	0.6905
TEF	0.713166666666667
FOXK1	-0.5035
PRLHR	0.6395
EMX1	1.29175
C11orf30	-0.128625
ICK	0.685875
THSD7B	-0.2095
C21orf100	-4.2585
DUOX1	2.201
EFCAB4B	0.8895
UBE2G2	-0.721666666666667
C3orf54	1.504
PARP1	-0.514
FAM60A	-1.37218181818182
C6orf146	1.5485
OR9K2	0.33
DDX55	-1.4555
RPS15	-0.18575
ZNF618	0.89
DKFZp686D0972	0.03275
SSPO	-1.801
SHFM3P1	0.0188333333333334
CPA6	3.1185
JAG2	1.47325
DEFA3	1.22125
PPBPL2	0.18
CD34	5.4595
SLCO4A1	-2.30375
AFG3L1	-2.32433333333333
SHD	0.12175
RP13-122B23.3	-0.852333333333333
PRKCSH	-0.132333333333333
DPH5	-0.631833333333333
HLA-F	2.119875
TBC1D4	-0.97925
RIG	0.537833333333333
GLUD1	0.516666666666667
HNRPCL1	0.092625
HBXIP	-0.40375
RNF207	-1.2385
APIP	-0.66975
PLA2G3	-1.762
CCDC84	-1.21
MYLIP	0.391923076923077
PHIP	-0.193
AARS2	0.509166666666667
DHX32	-0.53325
SCAPER	-0.366833333333333
MEN1	-0.233666666666667
NIP7	-1.12125
FLJ25404	1.39
FASTKD3	-0.88425
TMEM158	-2.13033333333333
RARA	2.81575
BDH1	0.6405
ANKRD16	0.054
CARM1	1.3405
SS18	-0.1355
IKZF2	-0.662666666666667
MYD88	-0.2875
PML	0.6346
TAF1A	-1.4925
CBFB	-0.648625
HIST1H3H	-0.836333333333333
C7orf29	-0.267
COMMD4	-0.842
DPP3	-1.047
DAB2	0.4755
LOC388882	-1.2135
YPEL4	-0.4925
AGBL3	2.45525
LRP6	0.7222
SERPINH1	-0.122583333333333
TLE1	-0.8455
CD244	0.638833333333333
ZDHHC15	-0.5105
MGLL	1.1061
PLDN	-0.417666666666667
LOC654346	1.8235
FAP	2.38
GPR37	-2.27816666666667
SCARA5	1.23683333333333
EBF4	0.857181818181818
LSM6	-0.64575
MLLT1	-0.19325
SLC5A12	0.405666666666667
A2BP1	-1.69266666666667
COPS5	-1.025
TPM4	-0.453642857142857
TNFSF4	1.40133333333333
ACADSB	2.87422222222222
HERPUD1	0.3285
BCL2L11	-0.754333333333333
CEP78	-1.69575
CDCA3	-1.192875
WBSCR19	-0.2951
MYO1A	-2.428
PPEF1	2.21666666666667
LOC440348	-1.3555
CPEB2	0.502625
BPTF	-0.45425
RPL21	-0.8025625
GSX2	0.3575
ADPRH	0.495166666666667
C17orf68	-0.0636666666666667
KCNS1	-0.607666666666667
MLLT6	-0.2134
PIWIL4	-0.3595
RNF26	-0.6605
RAP1B	0.66825
ADAMTS1	-0.7908
ZNF571	-0.231
P2RY6	-0.068
TRIM21	0.885333333333333
CADM3	0.3695
NLRC5	0.464
ADRA2B	0.5265
LOC90835	-0.713375
PCF11	-1.21
LOC400451	2.844
GLTSCR1	1.2803
C17orf88	0.531833333333333
CDH16	-0.963
FGF7	1.792125
PCSK4	1.27866666666667
NPC1L1	0.0688333333333333
TAT	-0.115125
TBCA	-0.772
MGC33407	-0.21775
GPR115	-1.468125
CYGB	0.708
FNBP4	-1.46783333333333
C12orf43	-0.341
CBL	-0.0237
CLECL1	2.391
PPAPDC1A	-0.54525
WDR25	-1.43
SGCA	1.2905
C22orf29	-1.17883333333333
YIPF1	0.8755
GALK2	-0.6445
RAB3B	-2.61216666666667
LOC440087	6.4405
UCP1	-0.319
REEP5	1.903375
FADD	-0.5824
FOXA1	3.014375
CACNA1A	1.097
ABI1	0.714333333333333
GRIN2D	2.131
SLC1A4	0.261166666666667
LOC401127	1.01325
HINT2	0.058
PLD4	0.161833333333333
ZNF286A	-1.7025
ENY2	-0.705
IL1F6	0.617
PXDNL	2.57025
C20orf79	0.497333333333333
TNFSF13B	3.2655
DENND3	-0.11125
JARID1D	-2.67475
HIST1H2AK	1.862
LOC93349	-0.2345
SSH1	-0.832
ENSA	-0.21525
LOC219854	-0.277666666666667
CKAP2	-1.7448
DKFZP564J102	0.431
MGC87315	-0.113666666666667
HNRPAB	-1.466
AMH	-1.159
ZNF526	1.219
BRUNOL5	-0.209222222222222
CACNG3	0.0398333333333333
TRPM1	-1.91
PPP2R1A	0.4745
COL2A1	-1.7105
DDN	0.314
FLJ25770	1.43818181818182
HK2	-0.447714285714286
ELOVL6	-0.355875
MDK	-0.9755
EPHX1	0.18775
RASSF2	1.022
DKFZP434B0335	-0.08325
DLX3	0.6745
PRTN3	-0.56125
AVPR1A	1.4485
C21orf125	0.804
TNFAIP8	-0.217833333333333
GNB2L1	-1.2205
CALCRL	3.6555
SCGB2A2	9.60316666666667
UBXD7	-0.349
ZNF674	null
TMEM35	0.0855
BRSK2	-0.3275
HECTD3	-0.0501666666666667
TMEM188	-0.205818181818182
LGALS9	2.29875
SCARB2	0.59375
USP34	-0.955
C17orf28	2.74058333333333
ZDHHC23	-1.2655
AQP12B	-0.319
SLC16A3	-2.5245
APLP2	1.076625
ITIH2	-4.86875
MICAL3	-0.9135
TNNI3K	0.0986
HDAC2	0.1335
PRR7	0.7649
THBS2	-0.358
LOC751071	-2.0064
CA2	-0.4265
RANBP17	0.96775
RLN3	0.0535
CRYZ	-1.182
GBAS	0.0116666666666667
TAS1R1	-0.08975
MPZL3	1.0925
PCDH8	-3.783
HSP90B1	-0.246166666666667
KCNK15	1.3145
TNIP2	0.238833333333333
GPR146	0.59675
NOL6	0.325125
SPC25	-2.35922222222222
STEAP2	0.379285714285714
VAMP3	-0.909666666666667
TCIRG1	0.3505
ZP4	-0.4074
PARL	-0.545875
TRIM39	0.238
KIAA1305	1.646
CRNN	0.752
GRN	0.4225
HSH2D	0.844
SCAMP1	0.40175
KIAA1913	0.7215
PTS	-0.263
BANP	0.138
PRKACG	-0.22075
ADCY6	0.262833333333333
C16orf46	1.6335
CYP51A1	0.02175
DDC	-2.547
ANPEP	-0.814333333333333
PROM1	-3.1168
SIGLEC10	1.36125
COPG	1.955
FAM26E	0.71225
TRIP4	0.0415
SNX3	-0.139666666666667
C1orf175	1.13816666666667
PPY2	-0.222
C14orf152	0.4585
FTSJ1	-1.19166666666667
DST	-0.4407
LOC554235	-0.86775
GLRX5	-0.57875
C20orf12	0.4568
CAB39	-0.356166666666667
MSH2	-1.36516666666667
PIP4K2C	1.60075
CYLD	0.760625
WTAP	0.318125
MGAT4A	0.966666666666667
TSC22D4	-0.7288
CHRM2	-0.9445
PPYR1	0.466166666666667
CCNH	-0.725666666666667
RRM1	-0.91525
ECAT8	-2.774
LOC400120	-0.01225
GABRA4	0.13
C14orf4	2.08283333333333
C1orf59	0.0465
CTDSPL	0.0915
NHEDC2	-0.44
PDE11A	-0.884214285714286
KLHL29	-0.78875
CD5	0.592
TSPAN9	1.806625
WDR67	-0.95425
THUMPD1	-0.0226
C18orf17	0.5555
CLYBL	-0.200833333333333
FLJ13231	-0.43425
CMBL	1.41975
LECT2	-1.4315
NKAPL	2.8772
LOC654780	0.7505
OR4C6	0.9445
RAB30	-0.528666666666667
TSSK4	-0.932
TMEM163	0.8625
OSBPL11	0.798083333333333
GNB5	-1.35683333333333
CCL21	1.11225
C1orf121	-0.545
FMO2	3.3146
RPTN	1.879
MSTN	0.42
VCL	-0.107071428571429
FYTTD1	-0.23575
C11orf1	-0.7025
CCDC88C	0.5661875
HFE	-0.194055555555556
MOGAT1	-0.511
FAM125B	-0.0973333333333333
IRGQ	-0.0855
RAVER2	0.139
AKAP5	-0.8105
SSSCA1	-0.6065
C11orf63	1.548125
ACTG2	-0.0585000000000001
PORCN	-0.7875
DTL	-2.29345454545455
TMEM151	1.33575
FAM122C	-0.32725
RSAD2	0.6219
BAT4	0.147
KRTDAP	-1.69383333333333
MYH8	0.586428571428572
CRTC3	0.05375
LRRFIP2	0.1657
INTS4	-0.627
TTN	-0.519666666666667
SLC26A5	0.275
PLLP	-0.857
RGS6	-0.42975
SRGAP3	1.7745
ZNF525	-0.139
NBR2	-0.794666666666667
C13orf1	0.174
ZNF137	-0.0895
CEP27	-1.82825
BEST2	0.5355
RNF121	-0.79125
DMRTC2	4.2875
C8orf76	-0.53475
BCCIP	-1.10275
MEST	1.71375
HTRA2	-0.6325
ANGPTL2	0.81
ILKAP	-0.570666666666667
ERAS	0.0405
HBS1L	0.497625
CPA5	0.301
TMEM30A	0.0338333333333333
CD300LF	1.83616666666667
WISP3	0.1425
CRK	0.00371428571428572
PDS5A	-0.8422
BRPF3	-0.166666666666667
NEDD9	-0.645375
SMPDL3B	1.529
PSG6	1.18775
PSMD13	-0.06
ETV5	-1.8391875
OR51A4	-0.054
BTBD7	0.973583333333333
GSTO1	-1.137
hCG_16001	0.181
MAD2L1BP	0.536166666666667
COX6A2	2.3595
SCNN1A	2.4035
LSM1	0.1315
UGT2B11	-3.20925
IDUA	1.2925
PPP2R3C	-0.972833333333333
COX11	-1.372
PDZK1	-3.92575
ZNF443	-0.243833333333333
MGC21874	1.0495
ZNF323	2.2334
KRTAP10-10	0.4135
CXCL6	0.171666666666667
SLC34A2	-0.0241111111111111
LOC284402	0.4655
NPTN	0.732083333333333
UPP1	-1.76608333333333
SLC6A9	-0.776
OR7G3	-0.70025
CISD1	-0.233833333333333
ZNF545	-1.063
SYT14	-0.8
NT5C3L	-0.4785
ZNHIT3	-0.2495
SNRPD3	-0.81925
KIAA0701	0.0785
UNC93B1	0.763833333333333
GMNN	-2.082
SPCS2	0.447666666666667
LOC388524	-0.478
NAPRT1	1.682625
PNLIPRP1	-2.4955
OR6V1	1.1555
PRKAB1	-0.595
EYA4	-2.4215
KIF20A	-1.47475
ALG10	-1.45575
ITPKC	0.632666666666667
LMX1B	0.980166666666667
RPUSD4	-0.616
C7orf34	0.0761666666666667
DLGAP2	0.558625
PFN1	-0.5521
MICALL2	-0.704083333333333
ZNF654	-0.7145
SS18L1	-1.273375
SLC16A8	0.1135
MKI67IP	-0.9715
ITGB3	-0.36175
TCEA3	2.14225
CEP152	-2.18646666666667
CLIP1	0.278375
ZNF75	0.1859375
ATP5C1	-0.89
NUDT5	-0.614
PSCDBP	1.4335
UBP1	-0.973
RBM27	0.4445
C13orf15	3.574
ZNF282	0.491166666666667
ZNF222	0.9474
COL10A1	6.19
PRDM15	-1.885625
TTTY5	-0.3845
FAM9C	-0.540636363636364
C20orf67	-0.2185
GNG13	0.512
F12	1.78025
C1orf41	-1.76225
CPXCR1	-0.0525
GSK3A	1.178125
SUPT6H	-0.425333333333333
PI16	1.7705
ELL2	-1.29336363636364
C9orf167	-0.842
PVRL3	-2.1111
FLJ38596	0.92325
ADAM20	0.5545
GPR89A	-0.2525
GPR87	-2.397
ZNF30	0.42825
SMR3B	0.581333333333333
ZNF770	-0.219125
TRPC4AP	-0.865
DKFZP686E2158	0.177833333333333
C2orf28	-0.378333333333333
FREM1	0.3795
LAMA4	0.862166666666667
ADPRHL2	-0.2055
EIF4G2	0.3945
GUCA1A	2.59
CTNNA2	-1.59175
NUDT15	-0.893166666666667
CEPT1	-0.7005
ZNFX1	-0.2974
CCDC92	1.202
TDRD1	-1.852
KCNK5	-1.375
ETNK1	-0.863083333333333
LTA	0.206
TTPA	0.7012
B3GALNT2	-0.354875
SC65	-0.546666666666667
PEX5L	-1.448
EPS15L1	-0.5315
MGEA5	0.440875
HIST1H3A	1.20225
ING1	0.437375
BCAT1	-2.182
ORC6L	-2.92263636363636
KLK11	-4.71383333333333
C19orf28	-0.785625
DNER	-1.87425
MED22	-1.25042857142857
ETV6	0.347583333333333
CHAC2	-2.44425
CD300E	0.5375
CEBPB	-0.114166666666667
ZNF398	1.2245
LRCH3	0.291
HMGA1	-1.49183333333333
CAPN7	-0.328
MGC5566	-2.52125
CCL3	4.77214285714286
NANOS1	-0.4325
ZFYVE19	-0.296
APITD1	-1.02633333333333
PARD3	0.258875
IRAK4	-0.797333333333333
SERPINI2	-0.8305
CEP170L	-0.63875
TTC9	2.06625
MYOM3	-1.16725
MLPH	1.600375
LOC222699	1.5915
NRG1	-0.987166666666667
TBC1D9	3.44654545454545
TTK	-2.57783333333333
ZNF557	0.7536
DDX41	-0.233666666666667
FANK1	2.3755
UBE2D2	-0.3595
PSMB10	0.66825
MYH7B	-1.7545
GABARAPL2	-0.274875
MARVELD2	1.63583333333333
DGCR2	0.584
UNC45A	-0.143833333333333
C6orf72	-0.026
ZNF683	4.529
GIT2	-0.0685000000000001
CASK	0.725333333333333
C14orf161	0.893833333333333
LRRC44	-0.305
TIFA	-0.970125
UTP11L	-0.409875
C6orf65	-1.2495
FDPS	-0.93725
DUSP9	-1.6163
SLC17A8	-0.2118
OR51G1	0.2732
NANS	0.351
OLFML1	1.944
ATP10B	-1.1945
NPAS3	-2.08625
PRKCA	-2.2419
GGA2	-0.238875
LCE4A	0.597
SPANXN3	0.811
CCDC115	1.865125
SDCCAG3	-1.17025
GLIPR1L1	0.794
TTC1	-0.163
C17orf76	0.3825
MAD2L2	-1.5285
HIPK1	0.0294
LRRC3B	-0.244333333333333
CLN3	-0.977454545454545
C17orf47	-0.546
FMN2	-1.321125
TUBB1	-1.453375
WAPAL	-0.4925
C3orf21	-0.484375
SCN5A	-0.767444444444444
SMYD1	0.699
BEX5	2.826
ZNF192	-0.328
SEC22A	-0.179333333333333
GRIA2	2.17053846153846
KIAA0825	-1.66
NUSAP1	-2.27254545454545
LANCL1	-0.589
C15orf40	-0.2724
ZNF645	0.016375
GPR61	-0.2305
NLRP14	0.9535
SNX21	-0.1414
C1QTNF8	0.3325
C17orf46	-0.0465
IFNA8	0.76
SPRR1B	-0.9305
FLRT1	-0.1425
SNX17	-1.01716666666667
ASB2	0.856333333333334
HBG1	-5.139
RPRML	-1.20925
JOSD2	0.648166666666667
PLSCR3	0.57825
SPOCD1	1.392
RAB39	-2.3315
GHRH	0.29
ITIH5L	1.61525
C17orf37	2.28675
SMCR8	1.1165
DPY19L2P3	0.827
IL11RA	0.614333333333333
GDF3	-3.24516666666667
RPS6KB1	-1.045
DNAJC19	-0.1436
TOP1	-0.4325
CRCT1	-0.1985
MPST	1.107625
DPM2	0.205375
FAM38B	-0.0445
SLC18A1	2.727
FARP1	0.00983333333333332
PAX7	-0.356
TUBD1	-1.66075
GNL3	-0.144875
BTG2	1.20353333333333
NDUFS6	-0.5225
C1orf79	-2.119
ERAL1	-0.46175
ECHS1	1.013
VPS4A	0.1645
CYP11A1	-0.802
ABCC6	-1.74428571428571
PBX4	-1.6575
MOSC1	0.481875
NCF4	1.052
HYMAI	-0.6575
NAGPA	-0.77475
OTOP2	0.651
ACOT12	0.76675
MTHFD2L	-0.85275
LOC441376	-0.23575
C19orf34	-0.125
RAB1B	0.14425
ALDOAP2	-1.822
NTRK1	-1.72683333333333
ARTS-1	-0.1587
SLC6A11	0.644
NAP1L2	1.12
CNGB1	-0.07
EPB41L4B	0.72225
FAM134B	1.739625
HS3ST3A1	-1.03466666666667
CPXM2	6.081
SIRPB2	0.7825
CHORDC1	-0.599833333333333
TRIB3	-2.48283333333333
SLC2A5	0.75525
C2orf49	-0.511833333333333
DDX5	0.07525
OR5L1	2.281
ANAPC4	-1.21433333333333
ZSWIM1	0.739375
LOC93622	0.22075
KCNK3	-0.0504
RP11-35N6.1	-1.738
ZFP161	0.651666666666667
AQP9	1.87925
SLC15A2	-1.00666666666667
MREG	-0.293333333333333
OR9I1	-0.384
PDLIM2	-0.45875
ADAM7	0.558
GSTCD	-0.337
WDR21A	-0.33525
SLC12A8	0.362833333333333
TMEM174	-0.24725
IGSF3	-0.597916666666667
LRRN1	-1.8005
LOC402117	0.303666666666667
SRPK1	-1.13416666666667
LY6K	-1.1914
NFIA	1.3515
PTCD3	-1.10725
LEP	4.1615
PCDH21	-0.5074
MAPKAPK2	0.581357142857143
NMNAT1	-0.991333333333333
LHFPL2	0.273125
C9orf43	0.703
DIP2A	-1.46966666666667
ACTR8	0.26225
CCDC34	-1.60375
PTPN22	-1.166
ITGA3	0.58175
FAM129C	1.03175
RABGGTA	0.536666666666667
UNC45B	-0.32
KIAA1033	-0.724375
ZNF510	-0.0173333333333333
CYP2D6	-0.975833333333333
SLC26A10	-2.023
STX8	0.35025
LUZP1	-0.052375
WDR89	-0.2285
EIF4G3	-0.0925000000000001
C5AR1	0.76725
ZNF623	-0.1915
A2M	1.7345
TGM7	-0.3125
GRPEL1	-0.127
LMNB2	-1.5827
ROCK2	-0.365166666666667
SNX16	-0.154125
CCDC66	1.045
ANXA3	-0.98525
KIAA1609	-0.150625
EED	-1.5895
RNF32	1.26216666666667
HES1	0.9636
CLC	0.7975
ISL1	0.3108
KIAA0528	-0.246125
MANEA	-0.54025
C1orf61	-1.577
hCG_2001000	0.25975
RAPGEF6	0.1823
KIAA0020	-1.28416666666667
NEIL1	0.42925
C16orf45	0.20275
RBM10	0.332666666666667
C10orf125	-0.56075
MRS2L	0.105
DNAH17	-1.76385714285714
C19orf10	0.28375
C1orf160	0.68
SLFN12	0.4135
EXOC3	-0.602833333333333
HIST3H3	0.6435
NCOR2	-0.3695
TNFRSF9	0.3695
MFSD8	-0.7975
ALX1	-2.9235
NOL1	-1.20125
PODN	2.65725
TIAL1	-1.6175
HIST1H1E	0.495
NPY6R	0.37475
TM4SF4	0.29225
CORO2A	-0.9615
ETNK2	-1.39716666666667
APOE	1.2334
ANGPT4	1.1005
HDGF2	-0.18225
G30	2.22
ST8SIA4	-0.104875
F2RL1	-1.580125
FAM19A4	-3.1525
CCAR1	-0.85325
B3GNT7	0.2025
OPHN1	-0.5313
DSCR6	0.599
C21orf13	0.703333333333333
GAS2L1	-0.127166666666667
RFX3	-0.3715
COPS4	-0.847375
BCHE	-4.5125
BCL2	3.487125
HBZ	-2.772
ARL13B	0.3825
MAPBPIP	1.458875
MYO15B	-0.592625
SPZ1	2.1325
KIAA1324	3.45611111111111
PLCL2	-0.511125
C4orf29	-1.434
WDFY2	-1.105625
ZNF284	-0.181
NAALADL1	-0.9
DUSP5	-0.0653333333333333
PXDN	-0.554125
SLMO1	-0.8315
TNXB	1.4584
BIRC7	-0.11475
A4GALT	1.11216666666667
TIMM22	-0.0615
FAM110C	2.1895
TOMM34	-1.504875
ABHD9	0.2805
ADAM32	2.805
CRHBP	0.53875
AQP2	0.81025
LOC130355	0.80425
ZNF187	0.663
ZNF816A	-0.047
F7	0.475
CNOT1	-0.8083
SLC13A4	-1.48075
ZBTB11	-1.006
B3GALT5	0.37175
EXOC2	1.3205
IRS1	0.4902
TMEM1	0.300666666666667
MRPL34	-0.1425
SAMM50	-1.07225
CDC42EP3	0.558625
HSF2	-1.0428
MFN2	0.3285
TSPAN7	-0.701166666666667
NUCB1	1.12725
RHOH	2.177
ARL16	0.048
TACR1	0.876
SFRS5	-1.15116666666667
SNX25	-0.316875
RHBDF1	-0.2005
PCDH18	2.74466666666667
HMG1L1	0.3325
MYO5C	0.615875
MAPK10	0.7025
LDHAL6A	-0.3845
NUDT12	-0.6474
NCAM1	-0.156375
GLIS2	0.838
GGTL4	1.6165
DAPP1	-0.91125
ATF7	-0.314666666666667
KIAA0748	-0.22225
NFIL3	-1.30375
TM6SF1	0.421
SEZ6	0.0355
NANOS3	0.585666666666667
DNAJA3	-1.03383333333333
CLDN6	-2.199
CIITA	2.794
EPHA4	-0.896916666666667
FANCC	-0.044
CMTM3	-0.20275
PSG3	-1.039875
MRPL15	-0.72025
C21orf59	0.37975
PLCXD2	-0.153
C2orf34	-0.295875
UBE2L6	0.47675
MED14	-0.729333333333333
HP1BP3	-1.3093
C6orf208	-0.0365
TPBG	0.18375
OSR2	1.550625
XPC	-0.549833333333333
KLHL7	-0.5745
CCR3	0.133166666666667
AGTPBP1	-0.880333333333333
PCSK6	1.6788
STAT5A	-1.0551
FAM18B	-0.31125
LONRF2	1.07116666666667
PTPN2	-0.75425
SF3A3	-1.0485
EFCBP2	0.424
HCFC1	-1.235
AHNAK	-0.4127
ACTR5	-0.64775
KIF14	-2.52228571428571
TENC1	1.706
HEATR5B	0.7995
YIPF2	0.906833333333333
MYEOV2	1.5805
DUSP18	0.63625
KIAA1012	-0.3515
AHR	-0.562166666666667
C17orf53	-2.23133333333333
PTPRH	-2.9925
ATP6V1C1	-0.4618
TAS2R3	-1.5295
