Hybridization REF	TCGA-B6-A0IM-01A-11R-A034-07
KRTAP10-10	0.056
CXCL6	-1.29225
SLC34A2	0.260777777777778
LOC284402	0.26
NPTN	1.16116666666667
UPP1	-1.11541666666667
SLC6A9	-0.4015
OR7G3	0.138
CISD1	-0.608333333333333
ZNF545	-0.372
SYT14	-0.227
NT5C3L	0.234666666666667
ZNHIT3	0.372666666666667
SNRPD3	-0.0225
KIAA0701	-0.177
UNC93B1	0.417166666666667
GMNN	-2.28475
SPCS2	0.299
LOC388524	-0.0765
NAPRT1	0.31075
PNLIPRP1	-0.4215
OR6V1	0.657
PRKAB1	0.519
EYA4	-3.506
KIF20A	-1.85575
ALG10	-0.59825
ITPKC	0.959833333333333
LMX1B	1.0055
RPUSD4	-0.968
C7orf34	0.0463333333333333
DLGAP2	0.156142857142857
PFN1	-1.0983
MICALL2	-0.669583333333333
ZNF654	-1.7445
SS18L1	-0.863125
SLC16A8	0.08425
MKI67IP	-0.607
ITGB3	-0.395375
TCEA3	2.86216666666667
CEP152	-1.918875
CLIP1	0.559125
ZNF75	1.0075625
ATP5C1	-0.425
NUDT5	-1.382
PSCDBP	-0.13225
UBP1	-0.20825
RBM27	-0.559
C13orf15	2.304
ZNF282	1.00783333333333
ZNF222	-0.1309
COL10A1	6.083
PRDM15	-1.01175
TTTY5	-1.761
FAM9C	-0.782454545454545
C20orf67	-0.061
GNG13	1.821
F12	-0.53
C1orf41	-0.71775
CPXCR1	-0.469
GSK3A	0.598875
SUPT6H	0.5755
PI16	1.87516666666667
ELL2	-0.5975
C9orf167	-1.77633333333333
PVRL3	-1.4501
FLJ38596	1.8665
ADAM20	-0.67775
GPR89A	-0.0925
GPR87	-4.855
ZNF30	0.5425
SMR3B	0.119666666666667
ZNF770	0.505125
TRPC4AP	-0.53
DKFZP686E2158	0.0863333333333333
C2orf28	-0.062
FREM1	-1.80083333333333
LAMA4	0.885833333333333
ADPRHL2	0.37375
EIF4G2	0.9545
GUCA1A	-0.182
CTNNA2	-0.983875
NUDT15	-1.261
CEPT1	0.0918333333333333
ZNFX1	0.7342
CCDC92	0.9085
TDRD1	-1.9065
KCNK5	-2.86283333333333
ETNK1	-0.00599999999999999
LTA	-0.0655
TTPA	0.177
B3GALNT2	-1.167375
SC65	0.352833333333333
PEX5L	-1.455625
EPS15L1	-0.3265
MGEA5	0.407375
HIST1H3A	0.3785
ING1	1.154375
BCAT1	-2.414375
ORC6L	-2.82118181818182
KLK11	-5.58916666666667
C19orf28	-1.332625
DNER	-4.77575
MED22	-0.755785714285714
ETV6	0.92175
CHAC2	-2.62175
CD300E	0.5225
CEBPB	-0.08475
ZNF398	0.283
LRCH3	0.192
HMGA1	-1.89533333333333
CAPN7	0.0486666666666667
MGC5566	-3.42425
CCL3	3.52542857142857
NANOS1	-0.269625
ZFYVE19	1.05375
APITD1	0.097
PARD3	0.625625
IRAK4	-0.5455
SERPINI2	-1.144
CEP170L	-1.46575
TTC9	2.162625
MYOM3	-1.75725
MLPH	1.305
LOC222699	0.9425
NRG1	-1.00536363636364
TBC1D9	4.87390909090909
TTK	-2.04716666666667
ZNF557	0.5877
DDX41	-0.8315
FANK1	2.9935
UBE2D2	0.13875
PSMB10	0.044375
MYH7B	-0.4195
GABARAPL2	-0.0125
MARVELD2	2.402
DGCR2	0.801
UNC45A	0.413833333333333
C6orf72	0.257
ZNF683	3.4675
GIT2	-0.156875
CASK	1.41116666666667
C14orf161	0.657666666666667
LRRC44	1.96175
TIFA	0.238375
UTP11L	-0.871125
C6orf65	-0.69575
FDPS	-0.95175
DUSP9	-1.8142
SLC17A8	0.4216
OR51G1	0.666
NANS	-0.45025
OLFML1	2.17125
ATP10B	-2.25625
NPAS3	-2.28425
PRKCA	-2.5188
GGA2	-0.0586875
LCE4A	0.5585
SPANXN3	0.00525
CCDC115	1.321125
SDCCAG3	-1.0585
GLIPR1L1	1.44675
TTC1	-0.5065
C17orf76	1.068
MAD2L2	-0.28125
HIPK1	0.1685
LRRC3B	-1.44766666666667
CLN3	-0.437863636363636
C17orf47	0.2145
FMN2	-1.909125
TUBB1	-1.607125
WAPAL	0.0503333333333333
C3orf21	-0.366125
SCN5A	-0.7519
SMYD1	-0.0422500000000001
BEX5	0.3995
ZNF192	-0.3405
SEC22A	-0.456
GRIA2	-0.205583333333333
KIAA0825	-1.83
NUSAP1	-1.24
LANCL1	-0.601625
C15orf40	0.0483
ZNF645	-0.382857142857143
GPR61	0.382
NLRP14	0.114
SNX21	-0.1828
C1QTNF8	0.154
C17orf46	0.638
IFNA8	-0.402
SPRR1B	-1.46866666666667
FLRT1	-1.0995
SNX17	-0.0761666666666667
ASB2	-0.9985
HBG1	-5.529
RPRML	-2.82075
JOSD2	0.425333333333333
PLSCR3	0.1655
SPOCD1	0.3185
RAB39	-1.315
GHRH	-0.459
ITIH5L	1.6985
C17orf37	1.16375
SMCR8	1.373
DPY19L2P3	-0.1665
IL11RA	-0.411833333333333
GDF3	-3.67716666666667
RPS6KB1	-1.02141666666667
DNAJC19	0.0997
TOP1	-0.642
CRCT1	-0.359125
MPST	0.378
DPM2	0.2075
FAM38B	-0.221833333333333
SLC18A1	-2.85166666666667
FARP1	0.574166666666667
PAX7	-0.1315
TUBD1	-1.49525
GNL3	-0.472375
BTG2	0.957333333333333
NDUFS6	-0.6755
C1orf79	-1.2935
ERAL1	-0.1705
ECHS1	0.518
VPS4A	-0.573833333333333
CYP11A1	-0.601375
ABCC6	-2.49678571428571
PBX4	-2.0275
MOSC1	-0.56
NCF4	0.26575
HYMAI	-0.888
NAGPA	-0.154125
OTOP2	-0.0785
ACOT12	-0.37475
MTHFD2L	-0.38825
LOC441376	5.20975
C19orf34	-2.2725
RAB1B	-0.35775
ALDOAP2	-1.1025
NTRK1	-1.4445
ARTS-1	-0.2784
SLC6A11	-0.75
NAP1L2	-2.11375
CNGB1	0.0713333333333333
EPB41L4B	0.0448333333333332
FAM134B	2.934
HS3ST3A1	-0.288666666666667
CPXM2	4.61125
SIRPB2	0.82
CHORDC1	-1.74466666666667
TRIB3	-1.2185
SLC2A5	0.8615
C2orf49	-0.9965
DDX5	-0.17125
OR5L1	1.4925
ANAPC4	-0.5625
ZSWIM1	-0.111125
LOC93622	-0.396375
KCNK3	-0.5865
RP11-35N6.1	-2.70785714285714
ZFP161	0.466333333333333
AQP9	5.02775
SLC15A2	-3.369
MREG	0.367
OR9I1	-0.406
PDLIM2	0.374875
ADAM7	0.4335
GSTCD	-0.0585
WDR21A	-0.389625
SLC12A8	0.903
TMEM174	0.125
IGSF3	-0.439083333333333
LRRN1	0.6635
LOC402117	-0.261
SRPK1	-0.756833333333333
LY6K	-2.184125
NFIA	-0.1485
PTCD3	-0.305
LEP	2.54666666666667
PCDH21	-1.351
MAPKAPK2	0.561857142857143
NMNAT1	-0.581666666666667
LHFPL2	0.591125
C9orf43	0.287
DIP2A	-0.675
ACTR8	0.519125
CCDC34	0.51275
PTPN22	-1.836375
ITGA3	-0.29025
FAM129C	-0.26575
RABGGTA	0.581166666666667
UNC45B	0.41375
KIAA1033	-0.204625
ZNF510	-0.115166666666667
CYP2D6	-0.92
SLC26A10	-1.39
STX8	0.3165
LUZP1	-0.00675
WDR89	-1.03683333333333
EIF4G3	-0.1772
C5AR1	1.5635
ZNF623	0.1775
A2M	0.196
TGM7	0.806
GRPEL1	-0.577833333333333
LMNB2	-1.972
ROCK2	-0.589333333333333
SNX16	0.4815
CCDC66	0.204
ANXA3	0.39575
KIAA1609	-0.53725
EED	-1.43
RNF32	-1.144
HES1	1.0234
CLC	-0.0185
ISL1	-1.31966666666667
KIAA0528	-0.297375
MANEA	0.490875
C1orf61	-2.4445
hCG_2001000	1.47475
RAPGEF6	-1.0013
KIAA0020	-0.547833333333333
NEIL1	0.466
C16orf45	1.3605
RBM10	0.184833333333333
C10orf125	-1.537
MRS2L	-1.2125
DNAH17	-2.026
C19orf10	-0.4205
C1orf160	0.94525
SLFN12	0.11025
EXOC3	-0.353166666666667
HIST3H3	0.0275
NCOR2	0.808
TNFRSF9	0.11575
MFSD8	-0.2665
ALX1	-3.96766666666667
NOL1	-1.61775
PODN	3.1145
TIAL1	-1.0435
HIST1H1E	0.12125
NPY6R	0.355
TM4SF4	1.04725
CORO2A	1.6475
ETNK2	1.136
APOE	0.9217
ANGPT4	0.6175
HDGF2	-0.36675
G30	0.344
ST8SIA4	-0.851
F2RL1	0.019375
FAM19A4	-3.389
CCAR1	-0.4755
B3GNT7	-0.225
OPHN1	0.2472
DSCR6	0.3425
C21orf13	-0.201
GAS2L1	0.329416666666667
RFX3	-0.290333333333333
COPS4	-0.291625
BCHE	-4.12683333333333
BCL2	4.2555
HBZ	-3.018
ARL13B	-0.642625
MAPBPIP	0.605125
MYO15B	-0.2325
SPZ1	-0.498
KIAA1324	3.44944444444444
PLCL2	-0.83475
C4orf29	-1.48975
WDFY2	-1.05575
ZNF284	-0.4335
NAALADL1	0.7105
DUSP5	1.4185
PXDN	1.692625
SLMO1	0.95025
TNXB	0.5019
BIRC7	-1.36925
A4GALT	0.884833333333333
TIMM22	-0.4075
FAM110C	0.7925
TOMM34	-0.692375
ABHD9	0.047
ADAM32	0.069
CRHBP	-0.21425
AQP2	0.697875
LOC130355	0.96425
ZNF187	0.311333333333333
ZNF816A	-0.068
F7	-1.329625
CNOT1	-0.772
SLC13A4	2.05925
ZBTB11	-0.84425
B3GALT5	-1.24425
EXOC2	1.89483333333333
IRS1	2.0855
TMEM1	0.187166666666667
MRPL34	-0.379333333333333
SAMM50	-0.5835
CDC42EP3	-1.022875
HSF2	-0.3433
MFN2	0.31925
TSPAN7	-1.24233333333333
NUCB1	0.664
RHOH	-1.343
ARL16	-0.557
TACR1	-0.4475
SFRS5	-0.922
SNX25	0.034625
RHBDF1	0.289666666666667
PCDH18	1.7605
HMG1L1	-0.52525
MYO5C	1.47175
MAPK10	1.6325
LDHAL6A	-0.0304
NUDT12	1.2795
NCAM1	-0.944875
GLIS2	0.8125
GGTL4	-0.63925
DAPP1	1.08225
ATF7	1.08975
KIAA0748	-1.766
NFIL3	-2.208
TM6SF1	0.7648
SEZ6	0.151875
NANOS3	0.570166666666667
DNAJA3	0.028
CLDN6	-2.1765
CIITA	2.3293
EPHA4	-2.64041666666667
FANCC	0.07325
CMTM3	0.2815
PSG3	-1.116
MRPL15	-0.79075
C21orf59	-0.8085
PLCXD2	0.055
C2orf34	-0.532125
UBE2L6	0.886
MED14	0.955666666666667
HP1BP3	-0.3908
C6orf208	-1.3365
TPBG	1.4395
OSR2	0.85275
XPC	0.067
KLHL7	-0.8305
CCR3	-0.533833333333333
AGTPBP1	-1.14316666666667
PCSK6	1.4496
STAT5A	-0.5581
FAM18B	0.819
LONRF2	1.72616666666667
PTPN2	-0.4655
SF3A3	-1.08816666666667
EFCBP2	-1.344
HCFC1	-0.479666666666667
AHNAK	0.1164
ACTR5	-0.93325
KIF14	-2.753
TENC1	1.631
HEATR5B	0.996
YIPF2	0.230333333333333
MYEOV2	1.06816666666667
DUSP18	1.15275
KIAA1012	0.73575
AHR	0.201333333333333
C17orf53	-1.04366666666667
PTPRH	-3.5855
ATP6V1C1	0.8877
TAS2R3	0.871
LOC440356	0.75525
COQ10B	0.0815
PSMF1	0.2355
SORBS2	-0.539916666666667
NFE2L2	0.01925
TMCO7	0.11525
SH3PXD2A	0.2702
SH2D2A	-1.7205
SPINK5	-4.2405
MRPS24	-0.52525
OPA3	0.5335
TRAF7	0.291166666666667
C4orf35	-1.1338
MT1G	0.5355
MGC39545	0.715
HS1BP3	0.9215
OR2B2	0.116
CHRM4	-0.623
SFRP2	3.304
RIC3	1.85525
ART1	0.9285
C6orf1	0.561875
DUS4L	-0.4245
C10orf104	0.2325
TNFAIP6	3.07675
RTEL1	-0.8
CCT4	-1.2883
ZNF709	-0.3325
CHMP6	0.429166666666667
UPP2	0.337
CYP19A1	-2.1525
CD151	-0.201666666666667
NDUFA13	-0.316833333333333
ARFRP1	-0.6445
FAM26B	2.509
CRYBA1	-1.46
MRPL41	0.0723333333333333
NPFFR2	-0.547
HRH2	0.1065
SCAMP3	0.0436666666666667
MTMR6	0.5291
MTG1	-0.923
UBTD1	1.41425
CRABP1	-3.0705
FLJ33790	-0.6042
KIAA1908	0.519333333333333
GPR158	-1.85925
PACSIN3	-0.7085
OMD	3.7805
CATSPER1	-0.22
HOXB8	-0.085625
FBXO46	0.6575
OAS1	1.95116666666667
SVIL	-0.03325
PHB2	-0.7615
ADCY3	0.364
NDRG2	0.513333333333333
ERMAP	0.7163
APBA2	-0.959333333333333
IGSF9	2.023
WNT6	-0.924071428571429
MYCBPAP	2.07825
ATP2B2	-0.624111111111111
CPVL	-1.2864
TRAM2	-0.566916666666667
NOP5/NOP58	-1.34975
ZNRF4	-0.18375
TLK1	0.264375
MTMR12	-0.509142857142857
ZNF384	-0.500833333333333
FAM9B	-3.09275
RPN1	0.2257
PMVK	0.5635
EIF3D	0.3636
SIX2	0.0925
HPS1	1.0735
RNF7	0.45525
PSKH2	0.224
KCTD13	0.431166666666667
CSMD3	-0.8722
FBF1	0.2455
IL8	-3.852625
SERPINB13	0.950083333333334
FBXL20	-0.18
BLR1	0.496
SH2B1	-0.172666666666667
RFNG	-0.349
RAB20	0.4835
RBM7	-1.08275
POLR1A	-0.189333333333333
TMPRSS4	-3.43825
TAF9	-0.418875
TERF2	-0.673833333333333
TNFRSF1A	0.156833333333333
ACADVL	-0.902166666666667
GTF2H5	0.21225
EDG8	-0.748333333333333
C9orf140	-1.069125
UST6	0.277
ZBTB8OS	-0.78225
ZNF710	0.44
GPR174	-2.3625
ATP6V0A2	-0.84325
KIAA0319L	0.00874999999999998
XKRX	2.197
DOPEY2	1.0559
SDHD	-1.18058333333333
SUMF1	1.76575
OSM	3.3355
OPN3	-1.6705
DAGLB	-0.0898333333333333
PPFIBP1	0.217
TRIM63	-2.145
C10orf53	1.404
LYPD3	2.34283333333333
BCL7A	-0.226625
AGER	-1.38716666666667
TCF19	-0.83975
SAT2	-0.11625
PFTK1	0.633
GABRE	-2.994125
C15orf38	1.7108
FIS1	0.7975
KCNV2	0.54275
CLPS	-0.1115
PPCDC	-0.0895
FOXN2	-1.15933333333333
NT5E	-2.6269
CD83	0.49575
IL18	-0.273875
VPS16	-0.091
IGFBP2	0.894666666666667
NOTCH2	0.09525
SIGLEC1	4.15285714285714
CD93	5.851
SULF2	0.30475
CEP164	-0.700625
P53AIP1	-0.614166666666667
TOR2A	-0.202166666666667
ZNF136	0.0395
MGP	2.3488
CCDC144A	-1.77633333333333
TRPC1	-0.8045
SMS	0.367833333333333
MAPK7	-0.181166666666667
RRAGC	0.9675
PARD6A	0.331666666666667
NUB1	0.975833333333333
SYNGR4	0.5815
OR11H12	1.0465
WIF1	0.547
GCH1	-0.39275
OR11H4	-0.099
SLC44A5	-0.266
GPRIN2	0.149666666666667
LOC401431	-0.21275
CPA4	-2.9405
MELK	-1.65711111111111
IL15RA	-0.2525
CUL3	1.441625
HMBOX1	0.625
PODXL	0.34425
CCT6B	0.802333333333333
COMTD1	-0.31575
MUC20	1.66266666666667
GPX2	-2.464125
ITK	-2.3085
FBXL5	1.52225
C13orf27	-1.53175
DEFA5	-0.325
TRHDE	0.1515
MTP18	-0.1065
UQCRQ	0.0309
ITGB2	1.41833333333333
CSRP2BP	0.7295
TAS2R44	-0.0955
PHPT1	0.1295
FAM44C	0.771
ERH	-0.47825
MPHOSPH1	-1.76616666666667
MORC1	-0.594
PARVB	-0.90375
LAMA1	-2.456
PGBD3	0.285
GIMAP6	4.06
AREG	-3.019
LIPT1	-0.8295
MGC99813	-1.46775
C1orf201	-0.463833333333333
GRIN2A	-1.7481
MAN2C1	-0.666375
NSUN5	-0.29425
SF3B5	0.12125
MYC	-1.78175
NRXN1	-0.588727272727273
ZNF18	-0.38575
SPDYA	-0.444375
SLC37A1	1.384
DECR2	0.4175
ANKRD38	1.832125
SPTLC3	-1.71241666666667
SUPT16H	-0.476
DTWD2	0.533
ULBP1	-3.537
ZADH1	0.0725
OIP5	-1.265
IL10RB	0.0576666666666667
OTUB2	-0.171875
VWA3A	-0.3618
SPIC	0.3475
OR6C4	0.704
PSCD4	0.5475
DPY19L2P2	-0.4705
TRAPPC6A	0.701
C21orf2	0.108666666666667
CEMP1	0.944
LIN7B	-0.134
E2F7	-1.58833333333333
VCP	-0.0825
LAMA3	1.08741666666667
BGN	2.243
GPR160	1.75083333333333
COCH	-0.951833333333333
GPR81	1.13916666666667
APOBEC3F	-2.0125
tcag7.1017	-0.52825
C1orf32	0.4725
SCGB1D2	4.8205
FLJ43987	-0.5775
C6orf170	-0.23475
KLK9	0.6435
GPD1L	0.291
VPS37B	-0.207
ATG3	-0.582
ADAMTS17	-0.073
KLHDC2	0.385333333333333
NDUFV2	0.415
BLK	-3.1825
MATN4	-1.7465
GPM6A	0.00557142857142853
GBP4	2.01666666666667
TMEM162	0.2814
PKP2	1.22
HRASLS	0.803444444444445
MMP1	-0.0535
SFXN3	-0.0164
FSD1	-1.834
ST6GALNAC3	-1.89866666666667
CA12	3.2411
NCOA6	0.341
C19orf58	-0.1074
PPP4R1	0.7345
MAN1A2	0.582
IKBKAP	-1.0875
UPF1	0.436666666666667
KIAA1219	0.712
WNT16	0.895666666666667
SNW1	-0.267
IL18RAP	2.00425
RPP30	-0.30475
CDC40	-0.101714285714286
SETD3	-0.0721666666666667
SLAMF6	-0.6045
ELK4	-1.658
TRIM47	0.0591666666666667
ACOX3	0.796625
TRIM6	0.165625
KIAA0372	-0.573833333333333
TP53AP1	2.12975
SMURF2	-0.2575
ADAD1	0.10425
EBP	-0.1458
KRTAP13-2	-0.33
FLJ36874	-1.18066666666667
TOR1A	0.353833333333333
P2RY4	1.2665
GPBP1	0.09
TRPV1	-0.62475
ADAMTS12	0.7295
PES1	-0.5658
ATG4A	0.916166666666667
MAGEA10	-4.201
WFS1	2.167
CC2D1B	-0.0345
PABPN1	-0.635875
SLC25A30	0.157
SLCO1C1	0.142166666666667
SLC22A5	1.669
KIF23	-0.865333333333333
SYN2	-0.754666666666667
ASPN	8.79766666666667
CENTG2	0.15175
QSOX2	-1.4395
FLJ10815	0.1005
STK24	0.3653125
SPEG	0.6019
STK10	-0.00433333333333334
DACT2	-2.1065
AAAS	-0.86525
SSX3	-2.038625
ABCD3	1.0492
C4orf12	0.113625
PARVG	0.216833333333333
FIG4	1.23125
C9orf46	1.68275
TMCO6	-0.589
IGHMBP2	-0.412
DUS2L	-0.922833333333333
FAM3C	0.2414375
TMEM16D	-2.187375
DCTN4	0.5405
KCNH3	-0.164
EIF2AK2	0.067
AP1S3	0.27825
CST4	-1.796
PAM	0.04675
NUTF2	-0.979
CITED2	1.9136
SLC39A4	-2.83275
C2orf52	-1.4365
GRM3	-0.30975
C12orf49	0.749875
CCDC49	-0.1195
GRAMD1B	-1.478125
FNDC4	1.0905
SIAH2	1.095625
GDPD4	0.10425
C21orf87	0.4075
ATP5A1	0.512333333333333
C16orf63	-0.496875
LOC388135	2.3105
ATP5J2	-0.215
MMP3	1.10275
EMID2	-1.06375
CRHR1	0.76175
WDR70	-0.698
C13orf31	1.811
ZFAND1	0.2095
CCL18	4.634
C3orf49	0.6925
RINT1	-0.216
KIAA0408	-1.9424
F13A1	4.7024
SLC10A1	-0.605
OGN	1.75675
GIPC2	-2.04683333333333
XPO6	-0.220166666666667
LCE1A	0.4535
FMR1	0.9063
LOC374920	0.00775
DUSP3	0.36625
ANKMY1	0.3255
C7orf50	0.3725
BBS9	0.1434
UNC119B	0.573125
C9orf72	0.257875
MGC35440	0.1695
ENTPD6	-0.131625
PPP1R2P9	0.1575
ERCC4	0.56275
FAHD2B	-0.7455
HMHA1	-0.368
HACL1	-0.9705
RAD23A	-0.489166666666667
FAM83B	-1.454
PPP5C	-0.699833333333333
RNASEH2C	-0.23525
C9orf153	-0.14375
SCAMP4	0.156375
GHITM	0.5693
NDUFB7	0.32175
ADCYAP1	-0.730666666666667
SP110	1.20483333333333
MAP3K7IP2	0.538
DHH	0.1375
AGRN	0.837714285714286
WDR33	-0.0126666666666667
CEP290	-1.1015
PRPS1L1	-1.41583333333333
KLRA1	-2.069
GPR97	-0.5015
CHD7	-0.502166666666667
TLR10	0.845
SLC30A8	5.834
HIC1	1.42733333333333
IAPP	0.06
RXFP4	0.39925
GP1BB	0.96025
SHQ1	-0.263
NKX2-3	0.970666666666667
API5	-0.1565
FTHP1	0.3645
MOV10L1	0.00366666666666668
TRIM6-TRIM34	1.152
ADHFE1	0.28125
FAM117A	0.53425
DDI1	0.375
CDON	1.8425
TRIM73	-1.1195
IGKC	0.7765
MMP14	0.797416666666667
DYNC1LI1	-0.163
C11orf66	-0.13725
TRBV3-1	-1.039
FASTKD5	0.30275
BIVM	-2.01025
LHX4	0.5155
CXCL2	-1.9859
RAB2B	-0.317666666666667
IZUMO1	-1.407
MAP3K15	-2.277
FAM19A2	0.0611666666666667
ZC3H8	-0.554333333333333
ZMAT1	2.61625
SPINK5L3	-2.86266666666667
SLC10A6	-0.0005
APPL2	0.069875
CARD10	0.5765
LOC402176	-0.3465
EEF1D	0.3559
RAB6A	0.2584
C12orf5	-0.592625
PAPOLG	-0.5495
MSRB2	0.961
BCR	1.09033333333333
PUS3	-0.822
TIAM2	1.778
ZNF317	0.4495
CHD2	-0.258785714285714
FZD5	-1.27436363636364
NUDT8	-2.31375
ZNF763	-0.275
PRC1	-0.618888888888889
ABCB9	0.417
SPATA3	0.66
TRAK2	1.275
STAB1	3.0805
LRRTM2	-0.4235
psiTPTE22	1.07275
DBI	0.182
SERPINA11	-1.022
NAT5	0.69
C20orf58	-1.129
RPS6KA4	-0.450666666666667
FLJ90650	0.23975
TGFBRAP1	0.3235
CHRDL2	-0.104875
FAHD2A	-0.909166666666667
CNTN1	-0.015
BBS4	0.7206
TMEM181	2.30375
MINPP1	-0.4275
MPHOSPH6	-1.72583333333333
HOXC10	0.9692
ITPKB	-0.21575
CLPTM1L	-0.1135
MEOX2	0.76
ATP6V0C	0.993625
PRPF8	-0.892166666666667
TMC5	2.596
FKBP3	-0.44775
PLEKHB2	0.26125
OR4D6	-0.5675
ZNF544	-0.171
D2HGDH	-0.68475
RPL18A	-0.413
HEL308	-0.264
MPP6	-3.6605
TCERG1	-2.007
KRT16	-2.47733333333333
KLF17	-1.8995
KLF5	-0.29925
CDR1	2.984125
VCX3A	-4.5165
FBLN2	1.98125
C14orf104	-0.55525
HBE1	-4.7702
OR4S2	0.898
C1orf108	-0.209833333333333
ROBO4	3.62266666666667
CPEB4	1.511
C11orf80	-1.2005
BCKDHA	-0.164333333333333
MYOC	1.4965
GIF	0.925
CKMT1A	1.297
RPL3	0.5701
THBS1	3.78825
APOO	-0.205
ARMCX1	2.69625
HSZFP36	0.106
SNAPC5	0.263
EIF4ENIF1	1.39825
ZNF433	0.2215
TNFRSF21	-0.652875
TMPRSS7	-0.428
SPATA18	1.8198
HPDL	-3.3425
MKL2	2.3413
TBX3	3.41938461538462
C21orf93	0.397666666666667
DAXX	0.36175
ELMO1	-0.095375
RGS13	-0.0935
TAF11	-0.62825
UNC13A	-1.726125
LOC653314	-0.0658
ORC3L	-0.572
IMAA	-2.5035
TARBP2	-0.0235
CABIN1	-0.1495
TRIOBP	0.0260625
HIST1H2AC	1.61125
RGS22	0.2335
NCOA1	1.04016666666667
IL25	-1.819
SNCG	-0.555
GPR6	-0.126
AMDHD1	1.64266666666667
CHEK2	-0.540125
C6orf142	-0.00574999999999996
DRD4	0.47
C14orf68	-0.93575
GDF11	-1.15875
SEMG2	0.2295
CD247	-2.07325
CDAN1	0.877
RBMX2	0.279166666666667
TGS1	-0.67275
OIT3	0.74625
SYF2	0.321
MCM4	-1.846875
PKHD1L1	-0.310625
CEP192	-0.108666666666667
IFT88	0.8735
RPL9	0.403071428571429
RAB32	0.157125
DDX43	-3.13
P2RX2	0.4305
OR5D18	-0.16
UBE1	-0.186333333333333
SLC24A1	1.02475
ARHGAP5	-0.67075
CETP	-0.148
KIAA1731	-1.27433333333333
SLC9A4	0.102
PTPN6	1.12775
BAHD1	0.8255
GRIK3	0.702
CACNB2	-0.4065
PDE10A	-0.35
DGCR14	-0.272
PCDHB9	-0.581166666666667
RHOQ	0.7195
MAP3K4	-0.07475
KTI12	0.108166666666667
RPL23AP13	-0.7075
GNG11	-0.34475
CLCN3	1.355
GPAM	-0.603
VSTM2A	-0.438
SLAMF7	1.40416666666667
INTS2	-1.273
PPP2CA	0.0846
LRP12	-0.6566
SEC14L2	2.93577777777778
DKFZP586H2123	2.0705
MC3R	0.1925
CIRH1A	-1.917
HIST1H2AB	1.197
POLH	-0.8665
MGC16703	-1.52066666666667
SNAPC2	0.853
FILIP1L	1.26375
RASGRP4	0.616
LRRC1	2.43475
GAS1	0.96025
PRAC	-1.38225
DGKA	-1.0225
NT5C3	-0.5715
PEG3	-3.9175
NADK	-0.3055
PRR17	0.19525
LOC374569	-0.32775
SGSH	0.473833333333333
NLRP8	1.1485
GALT	-0.7128
MCF2	-1.2035
ZNF263	1.21725
TACSTD1	1.60283333333333
TYR	-6.3421
ATP6AP2	0.464
RNUXA	-0.12725
ABHD10	-0.307222222222222
GDPD2	-0.74525
SLC35C1	0.2285
UBE2A	0.98325
HERC5	0.4905
FAM112B	-4.54433333333333
FBXL16	1.513
DKFZP434A0131	-0.82275
ELA3A	-2.4775
RBM41	-0.301
HAO2	1.094
RNH1	-0.08925
SHANK2	1.7988
OSBP2	-1.310625
DAK	-1.16983333333333
C3orf58	-0.285166666666667
TCL1B	-0.412
KBTBD2	0.33025
SUGT1L1	1.60325
UBE2E2	-0.359833333333333
MYL9	2.53125
CDC23	-0.366833333333333
PBXIP1	1.0207
CXorf40B	2.0155
NBL1	0.69325
RTBDN	0.154
RAB11FIP5	0.194875
TTTY13	-0.5585
SCOTIN	0.483833333333333
SOHLH1	-0.7205
CDKN1A	0.241571428571429
NCK1	-0.46225
ZNF550	-0.4565
SAPS3	0.203333333333333
SPIN3	1.18233333333333
MAGEE2	-0.466
MIS12	-1.028
OR8H2	-0.216
KIAA0774	-1.32333333333333
UNC5D	-2.809
CUL7	-0.3735
LIPC	-2.97583333333333
DIO1	0.162
C20orf11	-0.2597
CTRL	-1.1705
HS3ST2	2.451
PAK4	0.922333333333333
CCRL1	4.695
RNF10	0.244875
ZNF567	-0.02275
ZNF660	-0.91
TCEAL3	3.32475
MAGOH	0.107833333333333
CENPB	0.588333333333333
C19orf7	0.582625
LOC388965	0.82825
ZCCHC13	1.5315
JMJD1A	-0.516
HIST1H4H	0.859
TBRG1	-1.0068
GPC3	-4.99
TAF1C	-1.185375
EBNA1BP2	-0.699833333333333
CIAPIN1	-0.86925
PDGFRA	-0.134944444444444
CSTB	-0.402125
CENPI	-0.988
GTF2E2	-1.02983333333333
RPP21	-0.2055
CCNF	-0.471
KCNQ3	1.026
FAM79A	1.0695
SLC22A12	0.618
NOVA1	-1.10966666666667
FZD3	0.2103
AKAP8	-1.02975
SOCS5	0.206875
CFDP1	-1.1265
DLG5	1.02375
PGM5	0.109833333333333
C1orf144	0.498
HDAC10	-1.1535
RND2	-0.68375
C20orf199	-0.947
RNMT	-0.457125
SLURP1	0.16
ASTN1	-0.554142857142857
SH3BGR	0.58775
MYCL1	-1.1195
ZHX1	0.0628333333333333
CENPK	-2.069
FOSB	0.4428
LOC643406	0.10275
C2orf59	-0.6565
TMEM135	-1.50675
SLC27A2	0.1795
KRT33A	1.4865
OVOL1	2.36275
PAMCI	-2.70866666666667
S100A7	-1.132
ZNF789	-1.538
HARS2	0.35825
RPL23A	-0.244166666666667
TCF23	0.40375
UPF3B	-0.556
C17orf78	0.021
HLA-DOB	-0.159833333333333
C14orf142	0.4485
