Hybridization REF	TCGA-AO-A12B-01A-11R-A10J-07
CD1C	-1.73666666666667
LASS2	1.28033333333333
AVP	0.7815
PITPNM1	-1.630875
FLJ22795	-1.8135
MCTP1	-3.061
TRIM68	-0.307333333333333
UCK2	-1.51833333333333
ABHD1	0.42975
FAM50A	-0.53975
RNASEH1	-1.80566666666667
PCP2	2.24166666666667
OR52H1	0.885
C20orf149	0.6915
RBP5	0.2415
HYAL3	0.3845
CLPB	0.3085
SMNDC1	-0.688
DONSON	-2.52683333333333
FLJ27523	0.202
BARHL2	0.254166666666667
SLC30A9	0.317166666666667
TMPRSS11B	0.1295
E2F8	-2.09366666666667
CCDC25	0.91475
C14orf48	0.0555
C20orf116	1.370625
TSPAN11	0.6575
YIF1B	-0.960833333333333
FAM12B	0.32925
OR1L6	0.333
HPN	2.3217
NBN	2.221125
C14orf94	-0.831666666666667
OCLM	0.4925
ZSCAN18	-0.1527
L3MBTL	-1.0133
TSTA3	0.7345
RAC1	-0.30925
C19orf15	0.3015
NFE2	-5.5645
KLK14	0.41
ARSF	0.5935
MAST2	1.22716666666667
AMICA1	1.0725
GTF2A1	0.061
ATP1A3	-0.3615
TC2N	2.8702
PNKP	0.10575
ODZ2	-3.575375
MATR3	0.626125
S100P	-2.599
KRT82	0.3795
CA13	-0.1119
PROZ	-0.917
AASDH	0.07125
C19orf40	-0.228833333333333
DCK	-0.263692307692308
FAM5C	-1.39225
SLC6A4	-2.714
MID1IP1	-1.502125
TESSP5	0.2605
TMOD4	0.196333333333333
DOCK2	-1.3175
TUG1	0.396
NUP214	-1.09375
DPYSL2	-0.687863636363636
GOLM1	2.38383333333333
MPFL	0.3835
SOX13	0.15025
SDCCAG8	1.7857
KEL	0.797166666666667
NUP210L	-1.924
GK	-1.381
DNAJB1	0.41525
ALPK3	-0.08
CHID1	1.2218
CYLC2	0.480166666666667
IKZF5	0.885
C8orf51	0.304
PPM1J	1.9
GIMAP8	2.8645
GPR101	-0.323
NR2F1	-2.342
ACAD8	0.83925
RBM35A	1.24925
GNAI2	-0.537666666666667
METTL8	-0.521166666666667
SLC39A7	0.187
FBXO8	0.3075
CAMK1	-0.23225
RFC3	-0.548625
FAM129A	1.60992857142857
ILF2	-0.35125
FGFBP3	-2.583375
NOM1	-1.07383333333333
PSMA3	-0.28325
ASCC3	-0.3332
ZYG11A	-0.93325
SOX21	-1.177375
LYRM1	1.08225
DEFB1	-0.8475
LOC91431	-3.22483333333333
OR7C2	1.0335
FAM46B	1.378
TMEM18	0.062
ARHGAP30	-0.177666666666667
TMEM86A	1.73858333333333
EPHA2	-1.945
C10orf46	-0.05255
TCHH	-1.15933333333333
C3orf30	0.1125
LOC285636	0.0876666666666667
PAIP2	1.2355
CYP2U1	-1.24842857142857
C12orf34	2.3795
SARS2	0.3295
ZCWPW1	2.291
SAMD12	1.481875
KIAA1430	0.4875
ACAT1	0.37075
MEOX1	0.683
ADAMDEC1	2.27125
PHKA2	-1.3105
CARD11	-1.33216666666667
CALML4	-1.8225
TSSC1	-0.4085
TMEM45A	-1.186
MPP7	1.539
POU1F1	0.184
SLC2A13	-0.1316
FBN2	-1.57264285714286
ZC3H7A	0.2558
LAIR2	-0.97325
ST3GAL1	0.111333333333333
LCT	-2.5945
GEMIN8	0.567333333333333
KLF16	0.3352
HIF3A	-0.1751
FAM44A	0.177071428571429
AQP10	-1.1837
PLA2G2A	-2.1435
FOLH1	1.787
C20orf186	0.084
MAPKAP1	-0.945
SPRR2D	-1.2115
UBQLN4	-0.238666666666667
RSHL1	0.2065
PIAS3	0.44175
MRPL24	1.32925
GREB1	-0.75775
FAM27E3	1.32
NUP62CL	-1.50725
NEUROG3	0.3025
REEP3	1.80625
MARK1	1.751625
LMBRD1	1.5605
PRPF19	-2.19
PNMT	-0.544
CTGLF1	-1.7965
SLC25A16	-0.86175
EIF2B3	-0.879
RPA2	-0.01075
PAK6	2.02083333333333
CCDC26	-3.856
SEMA3E	2.168625
MXD4	0.8286
TNFSF10	2.8233
SMARCB1	-0.452666666666667
DTX3L	1.5195
PLA2G4E	0.2455
PPAP2A	1.52575
ULK1	-0.661666666666667
TAS1R3	0.293
SLC2A3	-3.31090909090909
ARID3A	-1.543
GNG5	-1.006
ACOX1	0.1326
KIF5B	0.33
NUP153	-0.88575
MUC7	0.0425
CSDE1	-0.205785714285714
CLPTM1	0.19475
C3orf23	-0.710125
LRRC17	-1.70916666666667
TTYH3	-1.584625
ATP5B	-1.243
ELF3	0.1849
CPSF3L	-0.0866666666666667
ZNF665	0.0158333333333333
TLR6	-0.6461
GPI	-0.804125
RAD9A	-0.4095
NDST4	-3.4955
AGPAT3	0.96325
MAGI3	1.3365
ADORA2A	-0.6445
CACNG7	0.1145
CAMK2D	1.28564285714286
CCHCR1	0.0435
RPS27A	-0.24725
OR10G7	0.516
GCM2	0.246
FAM135B	0.3776
E2F1	-2.291
PLCB3	0.08
OR2AE1	0.672
COIL	0.484333333333333
CDC25C	-1.46866666666667
RAB11FIP2	0.390583333333333
TSC2	-0.32475
CTGLF5	-2.7485
CCDC108	1.1554
OR13C4	0.59075
C10orf81	0.08025
PTPRB	1.27
ACP2	0.75275
LAG3	0.74825
MRPL54	0.8695
LOC201175	0.366
ITGB1BP3	-1.5965
SPTAN1	0.0305
SIPA1L2	0.9825
RCAN2	-0.687
CDX2	0.4595
ECOP	-0.02425
ACTR1A	-0.304571428571429
PPARG	-2.032
BBS10	0.538333333333333
TMEM44	-1.728875
BPIL2	0.301
CITED1	1.6405
IRF6	2.94025
PRDM4	-0.129166666666667
RRP9	-1.14783333333333
OR10H4	0.5325
IL31RA	-0.282
GNB1L	-2.19783333333333
MYBL2	-2.701
ZNF407	1.71233333333333
PPIG	0.104166666666667
TTC18	3.33775
RPSA	-0.429
MAPT	2.269375
MRE11A	0.00714285714285714
C8orf37	0.436
RASGEF1C	-0.310166666666667
STBD1	-0.86025
CTAG2	-0.304166666666667
MGAT5B	-2.669
ECM1	1.87775
RLN1	0.642
PARP14	0.5168125
EPB41L1	0.6942
HOXA3	-1.5905
MAGEA9	-3.8145
RPS8	-0.1055
RPS19BP1	1.106
FOXJ2	0.096125
C10orf76	0.319125
IL17RE	0.64575
C10orf65	1.323
ZNF343	0.277
FBXO33	-1.20575
UHMK1	1.0202
LY6G6C	1.09275
FGF19	-1.588
C14orf128	-0.948
IFIT2	3.065375
TIGD1	-1.3085
S100G	-0.671
GUCY1B3	3.8105
NR3C1	-0.4508
CORO1B	0.000833333333333341
PARP11	0.613916666666667
DNALI1	4.78766666666667
OR4N4	0.345375
MAP2K6	-1.71433333333333
FSTL4	0.9435
ANKRD47	1.235125
TMEM171	-0.5765
PNLIP	0.362
YY1	-0.902166666666667
CCDC138	-1.74583333333333
AASDHPPT	-0.1961
CKS1B	-0.7798
MCM3	-1.53983333333333
ANAPC7	-0.363
FAM110A	1.243
CDC37L1	0.6895
THTPA	1.11875
NBPF20	-1.0125
WDR24	0.554
NPTX2	-2.1755
CBLB	-0.0185
CETN1	0.140333333333333
RPUSD1	0.36225
FAF1	-0.89525
CDK6	-0.6271
HMX2	0.209
CSK	-1.40616666666667
TEAD2	-1.21375
SNAP25	1.29375
TUFT1	1.3987
TMTC3	0.448333333333333
LCK	-3.008
SGOL1	-2.051
AKTIP	0.88425
FURIN	0.41025
SOX12	-0.986666666666667
DEFB103A	-0.23625
RAMP1	3.21875
KIR3DX1	1.108
GAS2L3	-1.03075
PDE8A	-1.0886
EDN3	-0.39925
GMIP	0.31025
SF3A2	0.233
FN3KRP	-0.3765
SMAD7	0.12
RHBDD2	1.11175
OR11H6	0.4245
PPP1R3B	1.7531
C9orf23	0.03325
CADPS	-1.347
GOLGA8A	-4.158875
TMEM57	0.628
RGL3	0.71
S100A14	1.7405
FGFR2	1.9486875
XRCC3	-0.786
RTN4RL2	0.53325
MGC3771	2.6805
GH2	0.166166666666667
BTBD2	-0.11075
LMO2	0.245
RDBP	0.084125
ACRBP	0.95225
AMY2A	-0.02525
DUOXA1	0.3
PTK7	-0.0378333333333333
TWF2	-0.273833333333333
FAM80A	-0.6505
TNNI2	-3.45966666666667
GLT25D1	-0.709166666666667
OCC-1	-4.65425
CYC1	0.286
RPL22	-0.195363636363636
MORN3	1.8165
DISP1	0.48375
PRB2	-0.178
CHUK	-0.36925
HR	1.178
CCDC134	0.17675
DENND4B	-2.29675
C14orf130	0.186375
RAB33A	-2.4695
DCST2	0.342
TNMD	-0.91575
PEX7	3.08575
FAM62A	0.244375
SRD5A2L	1.06
IL22	0.105
RPS26	-1.03966666666667
HOXC5	-0.2145
SPATA6	2.292
FLJ38482	0.29025
ZNF234	1.3845
C18orf22	0.29975
SPATA22	0.40325
THOC1	-0.7775
CYP7B1	0.78075
KCNC3	1.496
C8orf42	-1.647
ALDH1B1	-0.885
CCDC100	1.0098
ARMC4	-2.34275
FAM18B2	0.77575
SLC44A1	0.945625
FBXO17	-1.01983333333333
C6orf107	-0.14525
C19orf29	0.01475
ZC3HAV1L	-0.02725
PARP6	-0.6122
SULT2A1	-4.311625
C1orf159	-0.4845
TMC1	-0.123
CHST14	-0.11075
GAMT	1.71766666666667
SMCP	0.284
TSPAN33	-0.231583333333333
MIDN	-0.303
NOX4	0.879
RNASEN	-0.3358
TBX1	1.81583333333333
SALL2	-2.0615
C10orf35	2.37625
CYP2E1	-1.58375
LRFN2	0.526166666666667
ACO1	-1.88733333333333
IQCG	1.8302
MEGF9	1.596
TM7SF4	0.88275
PLEKHA1	0.158
STK33	0.5945
C1orf210	2.11375
SNUPN	0.2442
KIAA0406	-1.3564
C20orf29	0.8285
TMEM55B	-0.73
OSTM1	0.1006875
CLCN7	0.23275
OTP	0.049
FLJ23049	0.1115
HEATR4	1.0365
MAP3K10	0.222166666666667
PCDHGA9	0.051
AMDHD2	0.0645
LCTL	-1.7795
PDCD2L	0.18325
CABLES2	-1.026
SLC5A9	0.09125
CLCA2	-2.2605
MGC16025	-0.222
STRAP	-1.11883333333333
C20orf196	0.314
RRBP1	1.50266666666667
NAT13	-1.32675
MAT2B	1.078375
CSNK1D	-1.24583333333333
KIR3DL1	0.36325
PRKAG3	0.1545
ZNF599	0.726
PRM3	1.677
PER2	1.33366666666667
ASPHD1	0.625
PRMT6	-0.5745
KCNE1L	-0.779928571428571
FAM118A	0.3355
TAF4	-0.8345
NDUFB6	-0.01625
TRIM9	-0.892583333333333
PMFBP1	-0.635
KY	1.607
DKFZp762E1312	-2.55372727272727
CSMD1	-1.201
TBP	-0.480833333333333
OR1Q1	0.489
RETNLB	0.69
HPGD	-0.612214285714286
DNAJC12	1.21566666666667
FKBP1B	-1.872
ANKRD24	0.6235
CXXC5	1.40683333333333
IL3	0.192625
DRAM	-1.2191
PTCH1	-2.006375
TP53BP1	-0.67075
SLC17A7	-0.031625
COL25A1	-0.7458
AMACR	0.792166666666667
RHCG	-0.21325
VPS13A	-0.992666666666667
FAM55D	-0.299
PRPF38B	-0.724416666666667
OSBPL6	-1.54125
PFDN5	0.8573
CMTM6	0.842125
KCNK12	-1.57
RP2	-0.092
C16orf52	-0.33675
PICK1	0.655
IFNE1	-1.15666666666667
SEMA4B	-0.3135
TYRO3	-2.099
OR12D2	0.2835
CSNK1A1	0.9163
FANCF	1.14575
LONP2	0.40675
TBL1Y	-0.76825
LDOC1L	1.68975
CCNC	0.01525
C3orf60	-0.54925
CHKA	-0.8735
UBAP1	0.15375
MAP3K1	-0.1395
ANKRD9	0.25175
FAM92A1	-2.73316666666667
GAB2	1.221625
AZU1	1.62975
DIS3	0.0508333333333334
C21orf109	-1.19325
IQCB1	-1.06425
SPATS2	-1.4855
EFCAB3	-0.47
PRB3	0.144625
FUZ	0.941
ZNF813	-0.033875
BMPER	-1.30816666666667
HEG1	-1.2245
ALS2CR11	-2.04125
SURF2	0.1245
PSMC1	-0.695083333333333
OR2D2	0.3885
SLC7A8	2.40133333333333
C4orf40	0.4685
SPATA7	-0.02225
MAZ	-0.560833333333333
PIN4	0.9505
PDE1A	-1.680625
TAF6L	0.3935
OR2T34	0.5265
KIAA0284	0.58975
ACADS	-0.00400000000000001
MKRN2	-0.703
C18orf56	-0.84375
MS4A6E	0.310833333333333
GALNT4	-0.0464
C22orf31	0.115
FLJ36070	0.4045
PSME4	-1.2505
TFG	-0.3349
EPHX2	3.249
ANXA5	-0.416125
KRTAP1-1	-0.2035
BATF	2.167
KARS	-2.17825
MSTP9	-0.279
GPR26	4.929875
CCDC72	0.2165
TEF	1.22066666666667
FOXK1	-0.6168
PRLHR	0.003
EMX1	1.17075
C11orf30	-0.645875
ICK	1.58175
THSD7B	-0.229
C21orf100	-0.986
DUOX1	2.1515
EFCAB4B	-0.5365
UBE2G2	-0.7695
C3orf54	0.35
PARP1	-0.94
FAM60A	-1.50591666666667
C6orf146	0.17525
OR9K2	0.459
DDX55	-1.50183333333333
RPS15	1.10325
ZNF618	0.91375
DKFZp686D0972	-1.3415
SSPO	-0.721
SHFM3P1	1.2555
CPA6	-0.9075
JAG2	0.986
DEFA3	0.261
PPBPL2	0.1305
CD34	4.0735
SLCO4A1	-3.73825
AFG3L1	-2.31933333333333
SHD	-0.3585
RP13-122B23.3	-1.12066666666667
PRKCSH	0.163
DPH5	-0.255
HLA-F	2.501375
TBC1D4	1.854
RIG	-0.307333333333333
GLUD1	1.098
HNRPCL1	0.734625
HBXIP	-0.1715
RNF207	-0.599
APIP	1.55475
PLA2G3	-1.67066666666667
CCDC84	-1.1765
MYLIP	0.0844615384615384
PHIP	0.3935
AARS2	-0.275
DHX32	0.45925
SCAPER	-0.208666666666667
MEN1	0.075625
NIP7	-1.503
FLJ25404	0.644
FASTKD3	-0.16425
TMEM158	-3.33525
RARA	1.59
BDH1	1.547
ANKRD16	1.47125
CARM1	1.051
SS18	-0.0843333333333333
IKZF2	-1.8665
MYD88	-0.671125
PML	0.7454
TAF1A	-1.26325
CBFB	-0.722625
HIST1H3H	-2.0165
C7orf29	-0.294
COMMD4	-0.608833333333333
DPP3	-0.9785
DAB2	-0.491
LOC388882	0.156
YPEL4	-1.27025
AGBL3	0.543
LRP6	-0.2611
SERPINH1	-1.494
TLE1	-0.546
CD244	0.0661666666666667
ZDHHC15	-1.73475
MGLL	1.5271
PLDN	0.497916666666667
LOC654346	1.6655
FAP	0.13775
GPR37	0.0161666666666667
SCARA5	-1.11933333333333
EBF4	-0.218181818181818
LSM6	-0.8695
MLLT1	-0.1549375
SLC5A12	0.736
A2BP1	-1.47733333333333
COPS5	-0.025
TPM4	-0.732857142857143
TNFSF4	-0.1925
ACADSB	2.487
HERPUD1	0.1415
BCL2L11	-1.39938888888889
CEP78	-2.440125
CDCA3	-2.002375
WBSCR19	0.5273
MYO1A	-1.9095
PPEF1	1.8045
LOC440348	-1.302
CPEB2	0.869
BPTF	-0.342416666666667
RPL21	0.5341875
GSX2	-0.0745
ADPRH	0.9395
C17orf68	1.277
KCNS1	-0.819333333333333
MLLT6	0.301
PIWIL4	-0.98475
RNF26	-1.05625
RAP1B	0.291125
ADAMTS1	-2.9181
ZNF571	1.04375
P2RY6	-0.95375
TRIM21	1.01016666666667
CADM3	-0.068
NLRC5	0.202166666666667
ADRA2B	-0.0218333333333334
LOC90835	1.118375
PCF11	0.03725
LOC400451	2.85225
GLTSCR1	0.3055
C17orf88	-0.740333333333333
CDH16	-1.46725
FGF7	0.94825
PCSK4	1.14383333333333
NPC1L1	-0.619333333333333
TAT	0.174
TBCA	0.17675
MGC33407	0.32975
GPR115	-0.829625
CYGB	0.137
FNBP4	-1.16483333333333
C12orf43	-0.57225
CBL	-1.0489
CLECL1	1.8545
PPAPDC1A	-2.28225
WDR25	0.943166666666666
SGCA	1.13
C22orf29	0.3345
YIPF1	0.6505
GALK2	-0.93625
RAB3B	-3.508
LOC440087	-0.4445
UCP1	5.3345
REEP5	3.08025
FADD	-0.188
FOXA1	4.188375
CACNA1A	0.2205
ABI1	0.799666666666667
GRIN2D	0.14125
SLC1A4	1.39616666666667
LOC401127	-1.025
HINT2	1.17675
PLD4	0.564333333333333
ZNF286A	-1.1365
ENY2	-0.80625
IL1F6	0.052
PXDNL	2.48925
C20orf79	0.084
TNFSF13B	2.31433333333333
DENND3	0.695
JARID1D	-3.01025
HIST1H2AK	0.78
LOC93349	-0.4313
SSH1	-1.2935
ENSA	-0.48825
LOC219854	0.466333333333333
CKAP2	-0.5553
DKFZP564J102	2.649
MGC87315	-0.183666666666667
HNRPAB	-0.67775
AMH	-2.164
ZNF526	0.684
BRUNOL5	-0.0629
CACNG3	0.339666666666667
TRPM1	-1.4795
PPP2R1A	-0.10925
COL2A1	-0.28325
DDN	0.0976666666666667
FLJ25770	1.37008333333333
HK2	-0.376214285714286
ELOVL6	-2.568625
MDK	0.146
EPHX1	1.0995
RASSF2	-0.292
DKFZP434B0335	0.59375
DLX3	-0.208375
PRTN3	1.988
AVPR1A	0.60325
C21orf125	-1.9265
TNFAIP8	-2.39016666666667
GNB2L1	-0.0435
CALCRL	2.088
SCGB2A2	3.02333333333333
UBXD7	-0.602
ZNF674	-0.364
TMEM35	-0.47875
BRSK2	-0.942875
HECTD3	-0.0651666666666667
TMEM188	-0.359666666666667
LGALS9	1.899875
SCARB2	0.847666666666667
USP34	-0.416916666666667
C17orf28	2.101
ZDHHC23	-0.53375
AQP12B	-0.2335
SLC16A3	-2.02525
APLP2	1.529125
ITIH2	-5.51975
MICAL3	-0.586625
TNNI3K	0.6592
HDAC2	0.0245
PRR7	-0.3481
THBS2	-2.799375
LOC751071	-0.698333333333333
CA2	-0.301833333333333
RANBP17	-2.7425
RLN3	0.3875
CRYZ	-0.504
GBAS	0.396166666666667
TAS1R1	0.25875
MPZL3	1.617
PCDH8	-1.83525
HSP90B1	0.99025
KCNK15	0.27
TNIP2	-0.256166666666667
GPR146	-0.30025
NOL6	-0.48625
SPC25	-2.52922222222222
STEAP2	2.63714285714286
VAMP3	-0.792833333333333
TCIRG1	0.546
ZP4	0.0506666666666667
PARL	-0.504
TRIM39	0.522
KIAA1305	0.37225
CRNN	0.313833333333333
GRN	0.39075
HSH2D	2.562
SCAMP1	1.6178125
KIAA1913	-0.80125
PTS	0.28925
BANP	0.217857142857143
PRKACG	0.43725
ADCY6	0.616
C16orf46	0.129
CYP51A1	-0.09075
DDC	-5.30425
ANPEP	-1.99216666666667
PROM1	-3.9615
SIGLEC10	1.65375
COPG	1.1985
FAM26E	0.548125
TRIP4	0.4845
SNX3	0.0835
C1orf175	0.245833333333333
PPY2	-0.00325
C14orf152	0.5985
FTSJ1	-1.6765
DST	-0.15795
LOC554235	0.2195
GLRX5	-0.41525
C20orf12	1.1175
CAB39	-0.1425
MSH2	-1.334
PIP4K2C	0.48375
CYLD	0.3685
WTAP	0.5448125
MGAT4A	1.62255555555556
TSC22D4	-0.1349
CHRM2	-1.537
PPYR1	0.208333333333333
CCNH	-0.0138333333333333
RRM1	-0.1125
ECAT8	-3.52
LOC400120	0.0965
GABRA4	-0.039875
C14orf4	1.18716666666667
C1orf59	-1.67075
CTDSPL	1.14016666666667
NHEDC2	-1.726
PDE11A	-1.4519375
KLHL29	-2.4375
CD5	-1.0048
TSPAN9	1.591375
WDR67	-0.09975
THUMPD1	0.9488
C18orf17	2.49025
CLYBL	2.02366666666667
FLJ13231	-0.129375
CMBL	2.60325
LECT2	-0.10675
NKAPL	2.10783333333333
LOC654780	0.6475
OR4C6	0.2525
RAB30	0.555333333333333
TSSK4	0.537
TMEM163	0.8685
OSBPL11	0.490833333333333
GNB5	-0.742833333333333
CCL21	0.58875
C1orf121	0.462
FMO2	1.4515
RPTN	0.1885
MSTN	0.061
VCL	-1.20021428571429
FYTTD1	0.244
C11orf1	0.807
CCDC88C	1.376375
HFE	0.351833333333333
MOGAT1	-0.1915
FAM125B	0.281833333333333
IRGQ	0.428
RAVER2	0.26925
AKAP5	0.1755
SSSCA1	-0.1445
C11orf63	2.0075
ACTG2	0.4736
PORCN	-1.715
DTL	-1.93409090909091
TMEM151	0.784
FAM122C	-1.653
RSAD2	3.5101
BAT4	0.675
KRTDAP	1.367
MYH8	-0.106625
CRTC3	-0.3635
LRRFIP2	-0.2768
INTS4	-0.155666666666667
TTN	-1.1095
SLC26A5	0.744
PLLP	0.045
RGS6	-0.397125
SRGAP3	1.278125
ZNF525	-0.536333333333333
NBR2	0.0135
C13orf1	0.4853
ZNF137	-0.0485
CEP27	-2.029
BEST2	0.4675
RNF121	0.03625
DMRTC2	0.083
C8orf76	0.02825
BCCIP	0.1295
MEST	-1.1665
HTRA2	-0.9495
ANGPTL2	-0.3605
ILKAP	-0.321833333333333
ERAS	0.556
HBS1L	-0.646285714285714
CPA5	0.095
TMEM30A	1.1185
CD300LF	1.39466666666667
WISP3	-0.57
CRK	0.923285714285714
PDS5A	0.1591
BRPF3	0.663
NEDD9	-0.8375
SMPDL3B	1.8555
PSG6	-1.18375
PSMD13	-0.249
ETV5	-2.2270625
OR51A4	0.5885
BTBD7	0.2105
GSTO1	-1.248625
hCG_16001	1.2085
MAD2L1BP	0.362666666666667
COX6A2	0.3415
SCNN1A	2.32083333333333
LSM1	-0.0861666666666667
UGT2B11	-4.1495
IDUA	1.52775
PPP2R3C	-0.806333333333333
COX11	-0.259333333333333
PDZK1	5.52325
ZNF443	0.335333333333333
MGC21874	1.27733333333333
ZNF323	1.912
KRTAP10-10	0.016
CXCL6	-0.5405
SLC34A2	0.2379
LOC284402	1.6125
NPTN	1.44625
UPP1	-2.01683333333333
SLC6A9	2.256
OR7G3	0.30575
CISD1	-0.849333333333333
ZNF545	0.363166666666667
SYT14	-0.595
NT5C3L	-0.257166666666667
ZNHIT3	0.1915
SNRPD3	0.19875
KIAA0701	0.82725
UNC93B1	1.19483333333333
GMNN	-1.604125
SPCS2	2.06233333333333
LOC388524	-0.3605
NAPRT1	0.684875
PNLIPRP1	-0.504
OR6V1	0.87
PRKAB1	0.07025
EYA4	-3.15216666666667
KIF20A	-2.173
ALG10	-0.58
ITPKC	1.79933333333333
LMX1B	1.399
RPUSD4	0.0273333333333333
C7orf34	0.366333333333333
DLGAP2	0.505375
PFN1	-0.9219
MICALL2	-0.154833333333333
ZNF654	-0.4345
SS18L1	-0.474875
SLC16A8	0.09275
MKI67IP	-1.20766666666667
ITGB3	-1.3735
TCEA3	3.1025
CEP152	-2.02425
CLIP1	1.012
ZNF75	-0.5836875
ATP5C1	-0.649
NUDT5	-1.07433333333333
PSCDBP	4.37275
UBP1	-0.7685
RBM27	0.41925
C13orf15	2.31375
ZNF282	0.405666666666667
ZNF222	-0.00990000000000001
COL10A1	4.421
PRDM15	-0.505
TTTY5	-0.1075
FAM9C	-0.5765
C20orf67	-0.03225
GNG13	0.219
F12	2.91075
C1orf41	-0.516
CPXCR1	0.06
GSK3A	0.65075
SUPT6H	0.105666666666667
PI16	-0.537666666666667
ELL2	0.986333333333333
C9orf167	-2.73366666666667
PVRL3	-2.8183
FLJ38596	1.574
ADAM20	0.02975
GPR89A	0.9635
GPR87	-3.318
ZNF30	1.25575
SMR3B	0.44425
ZNF770	0.0485
TRPC4AP	-0.7125
DKFZP686E2158	0.788
C2orf28	0.373833333333333
FREM1	-2.70883333333333
LAMA4	0.122166666666667
ADPRHL2	-0.598
EIF4G2	0.504666666666667
GUCA1A	-0.3535
CTNNA2	-1.045625
NUDT15	-0.305833333333333
CEPT1	0.1135
ZNFX1	0.9293
CCDC92	0.525
TDRD1	-0.723
KCNK5	-2.77
ETNK1	-0.663916666666667
LTA	0.686
TTPA	0.153333333333333
B3GALNT2	0.052625
SC65	0.287
PEX5L	0.954125
EPS15L1	0.736
MGEA5	-0.82775
HIST1H3A	0.62725
ING1	-0.0615
BCAT1	-3.90075
ORC6L	-3.83481818181818
KLK11	-5.36633333333333
C19orf28	-0.663
DNER	-4.62575
MED22	-0.568642857142857
ETV6	0.308
CHAC2	-2.54075
CD300E	0.339
CEBPB	0.67525
ZNF398	0.1945
LRCH3	-0.503
HMGA1	-1.8845
CAPN7	0.366333333333333
MGC5566	-3.14675
CCL3	2.127125
NANOS1	-0.656
ZFYVE19	0.6255
APITD1	0.389333333333333
PARD3	0.308375
IRAK4	-0.0845
SERPINI2	-0.7005
CEP170L	-0.42725
TTC9	0.84775
MYOM3	-1.459
MLPH	2.025
LOC222699	0.2695
NRG1	-2.03690909090909
TBC1D9	4.307
TTK	-1.99433333333333
ZNF557	0.9436
DDX41	0.227166666666667
FANK1	3.6475
UBE2D2	0.211
PSMB10	0.30525
MYH7B	2.868
GABARAPL2	-0.1465
MARVELD2	2.63333333333333
DGCR2	1.1625
UNC45A	0.111166666666667
C6orf72	1.2345
ZNF683	2.8425
GIT2	-0.610125
CASK	-0.110833333333333
C14orf161	1.702
LRRC44	0.9305
TIFA	1.08825
UTP11L	-0.55475
C6orf65	-1.3905
FDPS	-0.553
DUSP9	-1.9176
SLC17A8	0.216166666666667
OR51G1	0.365333333333333
NANS	0.1415
OLFML1	1.346
ATP10B	-0.76275
NPAS3	-1.2375
PRKCA	-2.6685
GGA2	1.1055
LCE4A	0.7615
SPANXN3	0.30025
CCDC115	2.067375
SDCCAG3	-0.978
GLIPR1L1	-0.08025
TTC1	0.55375
C17orf76	2.43275
MAD2L2	-2.17025
HIPK1	0.296
LRRC3B	-0.181833333333333
CLN3	-0.368681818181818
C17orf47	0.3005
FMN2	-2.709
TUBB1	-0.801875
WAPAL	-0.0415
C3orf21	-0.111
SCN5A	-0.2394
SMYD1	0.20075
BEX5	0.31175
ZNF192	-0.145
SEC22A	-0.5245
GRIA2	5.91107142857143
KIAA0825	-0.19275
NUSAP1	-1.96490909090909
LANCL1	0.193
C15orf40	0.0813
ZNF645	0.148375
GPR61	0.15875
NLRP14	0.1385
SNX21	0.6665
C1QTNF8	-0.127
C17orf46	0.55625
IFNA8	0.0525
SPRR1B	-1.33933333333333
FLRT1	0.234
SNX17	-0.247833333333333
ASB2	-0.653333333333333
HBG1	-5.635
RPRML	-1.58925
JOSD2	-0.038
PLSCR3	0.03525
SPOCD1	-1.78216666666667
RAB39	-0.311
GHRH	-0.0495
ITIH5L	0.1685
C17orf37	1.0775
SMCR8	1.174
DPY19L2P3	0.5215
IL11RA	0.915666666666667
GDF3	-3.82483333333333
RPS6KB1	-0.769666666666667
DNAJC19	0.6406
TOP1	0.30075
CRCT1	-0.20125
MPST	0.604125
DPM2	0.298
FAM38B	-1.4695
SLC18A1	-1.80766666666667
FARP1	0.2315
PAX7	0.06275
TUBD1	-1.01725
GNL3	-0.236
BTG2	0.7796
NDUFS6	0.5025
C1orf79	-1.99275
ERAL1	-0.222
ECHS1	0.43
VPS4A	-0.728333333333333
CYP11A1	-1.217875
ABCC6	-0.485357142857143
PBX4	-1.512
MOSC1	-0.66975
NCF4	0.07325
HYMAI	-1.14
NAGPA	-0.54475
OTOP2	0.25175
ACOT12	0.7345
MTHFD2L	0.31375
LOC441376	3.61625
C19orf34	-0.1775
RAB1B	0.2935
ALDOAP2	-0.148
NTRK1	-2.115
ARTS-1	1.2292
SLC6A11	-0.54
NAP1L2	0.23925
CNGB1	0.139666666666667
EPB41L4B	1.31791666666667
FAM134B	3.947625
HS3ST3A1	-2.57466666666667
CPXM2	3.73925
SIRPB2	0.3745
CHORDC1	-1.26516666666667
TRIB3	-2.18866666666667
SLC2A5	-0.20475
C2orf49	-0.290666666666667
DDX5	0.4445
OR5L1	0.6885
ANAPC4	-0.405666666666667
ZSWIM1	0.729375
LOC93622	0.236
KCNK3	2.8761
RP11-35N6.1	-0.91725
ZFP161	0.780833333333333
AQP9	0.113
SLC15A2	-1.2735
MREG	0.824666666666667
OR9I1	0.1865
PDLIM2	-0.473625
ADAM7	0.587
GSTCD	-0.724833333333333
WDR21A	-0.5535
SLC12A8	0.960666666666667
