Hybridization REF	TCGA-AN-A0XR-01A-11R-A109-07
ANKRD24	0.033
CXXC5	0.916833333333334
IL3	0.34975
DRAM	-0.1268
PTCH1	-0.315375
TP53BP1	0.464
SLC17A7	-0.1025
COL25A1	-0.9502
AMACR	-0.475166666666667
RHCG	-0.3025
VPS13A	-0.0691666666666667
FAM55D	-0.096
PRPF38B	-0.296166666666667
OSBPL6	1.7595
PFDN5	0.4674
CMTM6	0.541
KCNK12	-1.46575
RP2	0.1775
C16orf52	-1.4275
PICK1	-0.172
IFNE1	-1.08566666666667
SEMA4B	0.837
TYRO3	-1.59175
OR12D2	0.4125
CSNK1A1	0.5574
FANCF	1.135
LONP2	0.981375
TBL1Y	-0.43125
LDOC1L	-0.83225
CCNC	-0.8475
C3orf60	-0.051
CHKA	-0.86725
UBAP1	-0.015
MAP3K1	2.34
ANKRD9	-0.22
FAM92A1	-2.65283333333333
GAB2	0.141875
AZU1	-0.5055
DIS3	-0.713666666666667
C21orf109	-1.63975
IQCB1	-0.75625
SPATS2	-0.344166666666667
EFCAB3	0.3815
PRB3	0.732125
FUZ	0.664833333333333
ZNF813	0.024375
BMPER	-1.21616666666667
HEG1	-1.065125
ALS2CR11	-1.16525
SURF2	0.614
PSMC1	-0.125333333333333
OR2D2	0.291
SLC7A8	3.02333333333333
C4orf40	0.0225
SPATA7	0.2865
MAZ	-0.127666666666667
PIN4	0.252
PDE1A	-1.94775
TAF6L	0.260833333333333
OR2T34	0.224
KIAA0284	0.64475
ACADS	-0.920909090909091
MKRN2	-0.9055
C18orf56	-0.91175
MS4A6E	0.2058
GALNT4	0.7034
C22orf31	0.009
FLJ36070	0.337
PSME4	-0.245
TFG	-0.0232
EPHX2	2.030375
ANXA5	-0.787625
KRTAP1-1	-0.1604
BATF	2.3425
KARS	-2.187
MSTP9	0.1505
GPR26	0.143
CCDC72	0.72425
TEF	0.923333333333333
FOXK1	-0.7934
PRLHR	0.0595
EMX1	1.0315
C11orf30	0.19025
ICK	0.5825
THSD7B	-0.28825
C21orf100	-0.5215
DUOX1	2.2705
EFCAB4B	-0.23875
UBE2G2	-0.813
C3orf54	-0.12475
PARP1	-0.491
FAM60A	-1.121
C6orf146	0.1925
OR9K2	0.2925
DDX55	-1.01383333333333
RPS15	0.646916666666667
ZNF618	1.8323125
DKFZp686D0972	-0.833
SSPO	0.3755
SHFM3P1	0.447333333333333
CPA6	5.51425
JAG2	0.42275
DEFA3	0.25225
PPBPL2	0.3135
CD34	3.115375
SLCO4A1	-2.753375
AFG3L1	-2.01233333333333
SHD	-0.758
RP13-122B23.3	-0.1825
PRKCSH	-0.647333333333333
DPH5	-1.03333333333333
HLA-F	2.819125
TBC1D4	-0.676
RIG	-0.0445
GLUD1	-0.170166666666667
HNRPCL1	0.247625
HBXIP	-0.0295
RNF207	-1.5845
APIP	-1.29125
PLA2G3	-0.8185
CCDC84	-0.85325
MYLIP	-0.240307692307692
PHIP	0.511
AARS2	-0.519333333333333
DHX32	0.91325
SCAPER	-0.442
MEN1	-0.33825
NIP7	-1.757
FLJ25404	0.7845
FASTKD3	-0.614
TMEM158	-1.96775
RARA	1.36025
BDH1	0.77
ANKRD16	0.6975
CARM1	0.647
SS18	0.535333333333333
IKZF2	1.0295
MYD88	0.647
PML	1.5145
TAF1A	-1.02125
CBFB	-0.7555
HIST1H3H	0.961666666666667
C7orf29	-2.08675
COMMD4	-0.076
DPP3	-0.4755
DAB2	-0.22825
LOC388882	-0.2225
YPEL4	-1.231125
AGBL3	1.335
LRP6	0.6002
SERPINH1	-0.451416666666667
TLE1	1.42325
CD244	-0.510833333333333
ZDHHC15	0.60875
MGLL	-1.6731
PLDN	-0.453666666666667
LOC654346	2.6055
FAP	1.9145
GPR37	0.314833333333333
SCARA5	-1.50066666666667
EBF4	1.98645454545455
LSM6	-0.53775
MLLT1	0.1074375
SLC5A12	-0.49225
A2BP1	-1.19666666666667
COPS5	-0.7425
TPM4	-0.0077142857142857
TNFSF4	1.44866666666667
ACADSB	1.36283333333333
HERPUD1	-0.3755
BCL2L11	-0.335055555555555
CEP78	-0.329875
CDCA3	-0.879125
WBSCR19	0.4111
MYO1A	-2.2575
PPEF1	2.16216666666667
LOC440348	-0.04075
CPEB2	0.910375
BPTF	0.485833333333333
RPL21	-0.485875
GSX2	0.323
ADPRH	0.224166666666667
C17orf68	0.413833333333333
KCNS1	-0.656166666666667
MLLT6	-0.0562
PIWIL4	-0.18025
RNF26	-0.29625
RAP1B	0.235125
ADAMTS1	-4.1232
ZNF571	0.5375
P2RY6	-0.39375
TRIM21	1.71683333333333
CADM3	0.47275
NLRC5	0.825666666666667
ADRA2B	-0.504833333333333
LOC90835	1.230625
PCF11	0.40575
LOC400451	2.19575
GLTSCR1	1.1063
C17orf88	-0.348166666666667
CDH16	-0.98825
FGF7	0.11325
PCSK4	1.06633333333333
NPC1L1	-1.24766666666667
TAT	-0.0695
TBCA	-0.35975
MGC33407	0.2685
GPR115	-0.679375
CYGB	-0.7305
FNBP4	-0.879
C12orf43	-0.126
CBL	0.2808
CLECL1	0.9665
PPAPDC1A	2.1505
WDR25	0.603166666666667
SGCA	0.059
C22orf29	-0.101833333333333
YIPF1	2.19025
GALK2	-1.24875
RAB3B	-2.23908333333333
LOC440087	-1.204
UCP1	-1.1145
REEP5	1.031125
FADD	-0.3516
FOXA1	3.847
CACNA1A	0.421833333333333
ABI1	0.139833333333333
GRIN2D	1.67575
SLC1A4	0.36
LOC401127	-0.0395
HINT2	0.806
PLD4	-0.578833333333333
ZNF286A	-1.48075
ENY2	-0.6455
IL1F6	-0.118
PXDNL	1.61
C20orf79	-0.37175
TNFSF13B	2.86483333333333
DENND3	-0.126375
JARID1D	-3.238
HIST1H2AK	2.100875
LOC93349	-0.4151
SSH1	-0.6365
ENSA	0.07675
LOC219854	0.364666666666667
CKAP2	-0.0295
DKFZP564J102	-1.34966666666667
MGC87315	0.196333333333333
HNRPAB	-1.61
AMH	-0.325
ZNF526	1.109
BRUNOL5	-0.1319
CACNG3	0.183666666666667
TRPM1	-1.8485
PPP2R1A	0.29125
COL2A1	-2.07775
DDN	-0.225333333333333
FLJ25770	0.488166666666667
HK2	-0.211214285714286
ELOVL6	-1.324125
MDK	0.69075
EPHX1	0.993
RASSF2	-0.2
DKFZP434B0335	-0.59925
DLX3	0.0755
PRTN3	-0.47575
AVPR1A	0.21375
C21orf125	-0.846
TNFAIP8	-0.944833333333333
GNB2L1	-0.9965
CALCRL	1.23225
SCGB2A2	8.93316666666667
UBXD7	-0.14075
ZNF674	0.077
TMEM35	-0.415125
BRSK2	-1.0525
HECTD3	-0.4565
TMEM188	-0.8745
LGALS9	2.781625
SCARB2	1.17716666666667
USP34	-0.04775
C17orf28	1.33175
ZDHHC23	0.09125
AQP12B	0.1865
SLC16A3	-1.281625
APLP2	0.549375
ITIH2	-4.99375
MICAL3	-1.094125
TNNI3K	0.3439
HDAC2	-0.088125
PRR7	-0.0806000000000002
THBS2	0.5295
LOC751071	0.204666666666667
CA2	1.312
RANBP17	2.22875
RLN3	0.19875
CRYZ	0.746666666666667
GBAS	-0.324833333333333
TAS1R1	-0.30175
MPZL3	0.991
PCDH8	-1.57575
HSP90B1	-0.591083333333333
KCNK15	2.9545
TNIP2	0.0146666666666667
GPR146	-0.211
NOL6	-0.383125
SPC25	-1.90544444444444
STEAP2	1.2105
VAMP3	-0.0221666666666667
TCIRG1	0.479
ZP4	0.455833333333333
PARL	-0.24875
TRIM39	0.0343333333333333
KIAA1305	1.40675
CRNN	0.494166666666667
GRN	-0.2665
HSH2D	1.924
SCAMP1	0.17375
KIAA1913	0.4015
PTS	0.000500000000000001
BANP	0.251285714285714
PRKACG	-0.15075
ADCY6	0.733833333333333
C16orf46	0.501
CYP51A1	-0.129875
DDC	-4.9485
ANPEP	-1.226
PROM1	-2.87683333333333
SIGLEC10	0.95375
COPG	0.499
FAM26E	0.7375
TRIP4	0.47525
SNX3	-0.393166666666667
C1orf175	0.71
PPY2	0.15325
C14orf152	0.22825
FTSJ1	-1.10316666666667
DST	-0.2234
LOC554235	0.21175
GLRX5	-0.2125
C20orf12	1.3792
CAB39	-0.258666666666667
MSH2	-1.31583333333333
PIP4K2C	0.766
CYLD	0.334625
WTAP	0.38375
MGAT4A	0.410111111111111
TSC22D4	-0.2821
CHRM2	-1.871
PPYR1	0.3175
CCNH	-0.322166666666667
RRM1	-0.075
ECAT8	-2.94625
LOC400120	0.2275
GABRA4	-0.13125
C14orf4	1.01916666666667
C1orf59	-0.45175
CTDSPL	0.5005
NHEDC2	-2.1325
PDE11A	-0.63575
KLHL29	-1.92275
CD5	-1.7563
TSPAN9	2.06625
WDR67	-0.11575
THUMPD1	0.7165
C18orf17	1.1565
CLYBL	0.0363333333333333
FLJ13231	0.066
CMBL	1.293125
LECT2	0.59075
NKAPL	0.707833333333333
LOC654780	0.4845
OR4C6	0.121
RAB30	1.816
TSSK4	-0.055
TMEM163	-0.8095
OSBPL11	0.00558333333333332
GNB5	-0.9595
CCL21	0.481
C1orf121	0.724
FMO2	0.411166666666667
RPTN	-0.442
MSTN	-0.2215
VCL	-0.654142857142857
FYTTD1	-0.97225
C11orf1	0.88525
CCDC88C	0.5970625
HFE	0.718
MOGAT1	-0.428
FAM125B	0.897666666666667
IRGQ	0.349
RAVER2	-0.05925
AKAP5	0.244
SSSCA1	0.0805
C11orf63	0.765
ACTG2	0.1563
PORCN	-1.2155
DTL	-0.733
TMEM151	0.5295
FAM122C	-1.09825
RSAD2	5.2658
BAT4	-0.05
KRTDAP	-1.11416666666667
MYH8	0.033
CRTC3	1.20875
LRRFIP2	0.1698
INTS4	-0.616666666666667
TTN	-1.39783333333333
SLC26A5	0.237
PLLP	-0.848
RGS6	-0.563625
SRGAP3	1.086125
ZNF525	0.0368333333333333
NBR2	-0.170666666666667
C13orf1	-0.0789
ZNF137	0.5145
CEP27	-1.33025
BEST2	0.002
RNF121	-0.135
DMRTC2	0.4285
C8orf76	-0.54875
BCCIP	0.142375
MEST	-1.63575
HTRA2	-0.279
ANGPTL2	0.523
ILKAP	0.119833333333333
ERAS	0.2015
HBS1L	-0.08925
CPA5	0.218
TMEM30A	0.9915
CD300LF	1.167
WISP3	0.0545
CRK	-0.1745
PDS5A	0.1846
BRPF3	0.654
NEDD9	-0.536125
SMPDL3B	0.93175
PSG6	-1.22
PSMD13	0.013
ETV5	-2.191875
OR51A4	-0.0595
BTBD7	0.75225
GSTO1	-1.060125
hCG_16001	0.486
MAD2L1BP	0.19
COX6A2	1.9285
SCNN1A	1.992
LSM1	0.042
UGT2B11	-1.06225
IDUA	1.18025
PPP2R3C	-1.42383333333333
COX11	-2.28833333333333
PDZK1	1.28575
ZNF443	0.9755
MGC21874	1.48266666666667
ZNF323	-1.2574
KRTAP10-10	0.2975
CXCL6	-0.42225
SLC34A2	0.0357
LOC284402	0.2815
NPTN	0.607583333333333
UPP1	-1.73891666666667
SLC6A9	-0.5705
OR7G3	0.02625
CISD1	-1.37583333333333
ZNF545	-0.119666666666667
SYT14	-0.718
NT5C3L	-1.29433333333333
ZNHIT3	-0.997
SNRPD3	-0.4285
KIAA0701	-0.262875
UNC93B1	1.40233333333333
GMNN	-1.386625
SPCS2	0.420833333333333
LOC388524	-0.3995
NAPRT1	-0.4945
PNLIPRP1	1.0345
OR6V1	0.503
PRKAB1	-0.14575
EYA4	-2.636
KIF20A	-0.88275
ALG10	0.843
ITPKC	1.00216666666667
LMX1B	2.07633333333333
RPUSD4	-0.684
C7orf34	0.0913333333333334
DLGAP2	0.212625
PFN1	-0.9906
MICALL2	1.17666666666667
ZNF654	-0.1875
SS18L1	-1.082375
SLC16A8	0.2665
MKI67IP	-0.106833333333333
ITGB3	-0.948875
TCEA3	3.4265
CEP152	-1.9718125
CLIP1	-0.165375
ZNF75	0.689875
ATP5C1	-0.5955
NUDT5	-0.421333333333333
PSCDBP	-1.17575
UBP1	-0.2795
RBM27	0.0955
C13orf15	1.818
ZNF282	-0.293666666666667
ZNF222	-0.2068
COL10A1	6.3335
PRDM15	-0.60725
TTTY5	0.2785
FAM9C	-0.213916666666667
C20orf67	-0.082
GNG13	-0.4455
F12	2.305
C1orf41	0.20125
CPXCR1	-0.1885
GSK3A	0.303125
SUPT6H	0.231333333333333
PI16	-1.75166666666667
ELL2	-1.68058333333333
C9orf167	-2.084
PVRL3	-2.3186
FLJ38596	0.5775
ADAM20	0.79625
GPR89A	0.0405
GPR87	-3.6875
ZNF30	0.75175
SMR3B	0.63175
ZNF770	-0.027
TRPC4AP	-0.770166666666667
DKFZP686E2158	0.3645
C2orf28	-0.0503333333333333
FREM1	-2.6745
LAMA4	0.0053333333333333
ADPRHL2	0.179
EIF4G2	0.627166666666667
GUCA1A	-0.216
CTNNA2	-0.589
NUDT15	-0.624666666666667
CEPT1	0.275333333333333
ZNFX1	1.614
CCDC92	0.8965
TDRD1	-0.531
KCNK5	-2.46983333333333
ETNK1	-0.00575
LTA	0.7715
TTPA	-0.402833333333333
B3GALNT2	0.19125
SC65	-1.00933333333333
PEX5L	-1.1645
EPS15L1	1.0335
MGEA5	0.915875
HIST1H3A	1.1965
ING1	0.60275
BCAT1	-3.022375
ORC6L	-2.98
KLK11	-4.74733333333333
C19orf28	-1.001375
DNER	-4.42175
MED22	-0.430928571428571
ETV6	1.15225
CHAC2	-1.82325
CD300E	0.6125
CEBPB	0.417416666666667
ZNF398	-0.141
LRCH3	-0.348
HMGA1	-0.83
CAPN7	0.286666666666667
MGC5566	-2.726
CCL3	2.3735
NANOS1	-0.086
ZFYVE19	0.28525
APITD1	0.0205
PARD3	0.3845
IRAK4	0.066
SERPINI2	0.08
CEP170L	-1.0325
TTC9	1.6785
MYOM3	-1.74075
MLPH	2.175375
LOC222699	0.5345
NRG1	-1.1215
TBC1D9	4.05863636363636
TTK	-1.44766666666667
ZNF557	1.0605
DDX41	-0.2365
FANK1	4.151
UBE2D2	0.070875
PSMB10	0.76925
MYH7B	0.5255
GABARAPL2	-0.75925
MARVELD2	2.02533333333333
DGCR2	0.249833333333333
UNC45A	0.0718333333333333
C6orf72	0.591
ZNF683	2.9655
GIT2	-0.539375
CASK	0.503
C14orf161	1.9865
LRRC44	0.6985
TIFA	0.531625
UTP11L	-0.738375
C6orf65	-0.89475
FDPS	-0.578
DUSP9	-1.7826
SLC17A8	0.4882
OR51G1	0.316333333333333
NANS	0.99
OLFML1	1.411
ATP10B	-1.23875
NPAS3	-0.755
PRKCA	-1.4886
GGA2	-0.028625
LCE4A	0.6205
SPANXN3	0.59125
CCDC115	0.995625
SDCCAG3	-1.059
GLIPR1L1	-0.0735
TTC1	-0.43075
C17orf76	0.3625
MAD2L2	-1.178
HIPK1	-0.1777
LRRC3B	-0.167833333333333
CLN3	0.0553636363636364
C17orf47	0.2265
FMN2	-2.309375
TUBB1	-1.445
WAPAL	0.408333333333333
C3orf21	-0.242
SCN5A	-0.3377
SMYD1	-0.20475
BEX5	2.603
ZNF192	0.002
SEC22A	0.056
GRIA2	1.34342857142857
KIAA0825	-0.902
NUSAP1	-0.9019
LANCL1	0.47075
C15orf40	-1.0277
ZNF645	0.407625
GPR61	0.00100000000000001
NLRP14	0.3595
SNX21	-0.338
C1QTNF8	0.0235
C17orf46	0.22
IFNA8	0.0435
SPRR1B	-1.05933333333333
FLRT1	-0.01925
SNX17	-0.649666666666667
ASB2	-1.67583333333333
HBG1	-4.8365
RPRML	-1.73975
JOSD2	0.473333333333333
PLSCR3	-0.211
SPOCD1	1.553
RAB39	0.3265
GHRH	0.4345
ITIH5L	0.72375
C17orf37	0.33125
SMCR8	0.35375
DPY19L2P3	0.185666666666667
IL11RA	0.0771666666666667
GDF3	-3.296
RPS6KB1	0.068
DNAJC19	0.2617
TOP1	-0.63775
CRCT1	0.468875
MPST	-0.22125
DPM2	0.96375
FAM38B	-2.52116666666667
SLC18A1	-1.99516666666667
FARP1	0.677
PAX7	0.12
TUBD1	0.49875
GNL3	-0.84375
BTG2	1.53253333333333
NDUFS6	-0.128
C1orf79	-1.12125
ERAL1	0.09575
ECHS1	0.82825
VPS4A	-0.460833333333333
CYP11A1	-0.79275
ABCC6	-0.149357142857143
PBX4	-2.726
MOSC1	-1.862125
NCF4	-0.8125
HYMAI	0.484
NAGPA	-1.346875
OTOP2	0.426
ACOT12	-0.20575
MTHFD2L	-0.332
LOC441376	6.30825
C19orf34	0.231
RAB1B	0.57725
ALDOAP2	0.327
NTRK1	-1.91466666666667
ARTS-1	0.8421
SLC6A11	-0.226
NAP1L2	-3.729
CNGB1	-0.154833333333333
EPB41L4B	-1.60175
FAM134B	2.171125
HS3ST3A1	-0.689666666666667
CPXM2	4.275
SIRPB2	0.149
CHORDC1	-1.023
TRIB3	-0.741666666666667
SLC2A5	0.77475
C2orf49	-0.383333333333333
DDX5	0.361
OR5L1	0.061
ANAPC4	-0.2605
ZSWIM1	0.602375
LOC93622	0.349
KCNK3	-0.5641
RP11-35N6.1	-1.95225
ZFP161	-0.00783333333333333
AQP9	2.59975
SLC15A2	-0.947333333333333
MREG	1.71333333333333
OR9I1	0.1485
PDLIM2	0.04775
ADAM7	0.433
GSTCD	-0.429
WDR21A	-0.65275
SLC12A8	0.00100000000000001
TMEM174	0.00899999999999999
IGSF3	1.31858333333333
LRRN1	0.5595
LOC402117	-0.3595
SRPK1	-0.977333333333333
LY6K	-2.15275
NFIA	3.5025
PTCD3	-0.32225
LEP	0.173666666666667
PCDH21	-1.0695
MAPKAPK2	1.3165
NMNAT1	-0.270333333333333
LHFPL2	-0.30425
C9orf43	0.473
DIP2A	-0.768833333333333
ACTR8	-0.196375
CCDC34	-0.72325
PTPN22	-1.411625
ITGA3	-1.2945
FAM129C	-0.581
RABGGTA	0.691833333333333
UNC45B	0.13
KIAA1033	-0.537625
ZNF510	0.192166666666667
CYP2D6	-0.523166666666667
SLC26A10	-1.446
STX8	-0.719
LUZP1	-0.332
WDR89	-0.0498333333333333
EIF4G3	0.2496
C5AR1	0.328625
ZNF623	-0.256
A2M	-1.03025
TGM7	-0.237
GRPEL1	0.022
LMNB2	-0.5034
ROCK2	-0.055
SNX16	-0.081875
CCDC66	0.58475
ANXA3	-0.59125
KIAA1609	-0.735
EED	-0.58
RNF32	0.3645
HES1	0.8031
CLC	0.443666666666667
ISL1	-0.415666666666667
KIAA0528	-0.171
MANEA	0.209125
C1orf61	-2.175
hCG_2001000	0.4755
RAPGEF6	-0.2974
KIAA0020	-0.931666666666667
NEIL1	0.93325
C16orf45	2.006625
RBM10	0.2055
C10orf125	-0.47225
MRS2L	-0.45175
DNAH17	-1.188375
C19orf10	0.01975
C1orf160	1.58925
SLFN12	-0.79
EXOC3	-0.691
HIST3H3	1.366
NCOR2	0.643666666666667
TNFRSF9	-0.2475
MFSD8	0.707
ALX1	-4.09166666666667
NOL1	-1.22725
PODN	1.7755
TIAL1	-0.978
HIST1H1E	1.7125
NPY6R	0.346
TM4SF4	-0.397
CORO2A	1.76
ETNK2	0.445166666666667
APOE	0.3658
ANGPT4	0.3615
HDGF2	0.12775
G30	0.3785
ST8SIA4	-0.84625
F2RL1	-0.888
FAM19A4	-2.273
CCAR1	-0.54375
B3GNT7	0.26125
OPHN1	0.1275
DSCR6	2.608
C21orf13	1.40216666666667
GAS2L1	0.290916666666667
RFX3	0.208
COPS4	-0.441875
BCHE	-5.17683333333333
BCL2	1.944125
HBZ	-2.52166666666667
ARL13B	-0.088875
MAPBPIP	0.959625
MYO15B	-0.919
SPZ1	0.28775
KIAA1324	4.09544444444444
PLCL2	-2.004375
C4orf29	-0.56175
WDFY2	-0.416875
ZNF284	0.3055
NAALADL1	-0.442
DUSP5	0.659166666666667
PXDN	0.092
SLMO1	-0.54425
TNXB	0.5849
BIRC7	-1.0795
A4GALT	0.0606666666666667
TIMM22	-0.387
FAM110C	1.696
TOMM34	-1.1155
ABHD9	0.063
ADAM32	0.1465
CRHBP	-1.006
AQP2	0.406375
LOC130355	0.92725
ZNF187	0.0348333333333333
ZNF816A	0.5455
F7	0.87325
CNOT1	-0.8876
SLC13A4	-0.953
ZBTB11	0.0565
B3GALT5	1.47475
EXOC2	0.422666666666667
IRS1	1.0493
TMEM1	-0.242333333333333
MRPL34	0.288166666666667
SAMM50	-1.16425
CDC42EP3	-1.142375
HSF2	-0.866
MFN2	0.5275
TSPAN7	-2.56533333333333
NUCB1	0.684416666666667
RHOH	-1.0645
ARL16	-0.1965
TACR1	0.0415
SFRS5	0.00833333333333334
SNX25	-0.01675
RHBDF1	1.51833333333333
PCDH18	0.260666666666667
HMG1L1	-0.28875
MYO5C	1.9235
MAPK10	2.5245
LDHAL6A	0.0585
NUDT12	0.396
NCAM1	-0.02675
GLIS2	0.207
GGTL4	-0.5715
DAPP1	1.0995
ATF7	0.95775
KIAA0748	-1.5125
NFIL3	-2.87925
TM6SF1	-0.4942
SEZ6	0.204125
NANOS3	0.741
DNAJA3	0.1835
CLDN6	-2.2135
CIITA	2.62
EPHA4	-2.16858333333333
FANCC	1.825
CMTM3	-0.35675
PSG3	-0.564125
MRPL15	-1.02875
C21orf59	0.25675
PLCXD2	-0.01675
C2orf34	-0.348
UBE2L6	2.240625
MED14	-0.0608333333333334
HP1BP3	0.6387
C6orf208	-0.1975
TPBG	2.14825
OSR2	1.972125
XPC	-0.142833333333333
KLHL7	-1.944
CCR3	-0.133166666666667
AGTPBP1	-1.02833333333333
PCSK6	0.6006
STAT5A	-2.1773
FAM18B	-0.532
LONRF2	2.21
PTPN2	0.011875
SF3A3	-0.8095
EFCBP2	-0.46075
HCFC1	-1.0325
AHNAK	-0.11825
ACTR5	-0.145
KIF14	-1.56185714285714
TENC1	1.19675
HEATR5B	0.584
YIPF2	0.809666666666667
MYEOV2	0.737666666666667
DUSP18	0.67775
KIAA1012	-0.146
AHR	-0.445
C17orf53	-1.40533333333333
PTPRH	-3.51625
ATP6V1C1	-0.7484
TAS2R3	0.423
LOC440356	1.76875
COQ10B	0.24425
PSMF1	0.1185
SORBS2	1.64091666666667
NFE2L2	0.1545
TMCO7	-1.0165
SH3PXD2A	-1.3493
SH2D2A	-1.46225
SPINK5	-3.12025
MRPS24	-0.19725
OPA3	1.00475
TRAF7	0.253166666666667
C4orf35	0.0485
MT1G	-1.0585
MGC39545	-0.9975
HS1BP3	1.0408
OR2B2	0.0565
CHRM4	-0.4895
SFRP2	2.92075
RIC3	2.07525
ART1	0.404
C6orf1	1.3145
DUS4L	-1.2945
C10orf104	0.4055
TNFAIP6	2.50825
RTEL1	0.1695
CCT4	-0.9542
ZNF709	0.2845
CHMP6	0.391
UPP2	0.60775
CYP19A1	-2.306625
CD151	-0.394166666666667
NDUFA13	0.525
ARFRP1	-0.810666666666667
FAM26B	0.94525
CRYBA1	-0.7035
MRPL41	1.69366666666667
NPFFR2	2.235375
HRH2	0.202
SCAMP3	0.489666666666667
MTMR6	0.1729
MTG1	-0.635166666666667
UBTD1	1.58
CRABP1	-2.635
FLJ33790	0.6019
KIAA1908	-0.894333333333333
GPR158	1.09675
PACSIN3	0.620666666666667
OMD	1.50716666666667
CATSPER1	-0.691333333333333
HOXB8	-0.073875
FBXO46	1.138
OAS1	3.18866666666667
SVIL	-0.903
PHB2	-0.4885
ADCY3	-0.5315
NDRG2	-0.214666666666667
ERMAP	0.1972
APBA2	-1.33
IGSF9	3.08925
WNT6	-0.207571428571429
MYCBPAP	-0.0975
ATP2B2	-0.5261
CPVL	-1.841
TRAM2	-0.726666666666667
NOP5/NOP58	-0.50675
ZNRF4	0.284
TLK1	-0.2315
MTMR12	0.143357142857143
ZNF384	-0.0963333333333333
FAM9B	-2.90575
RPN1	0.5065
PMVK	1.51475
EIF3D	-0.536
SIX2	0.428
HPS1	0.38
RNF7	0.68725
PSKH2	0.684
KCTD13	-0.0446666666666667
CSMD3	-0.4729
FBF1	-0.067
IL8	-5.4085
SERPINB13	0.373
FBXL20	-0.68325
BLR1	0.427
SH2B1	0.117166666666667
RFNG	-0.293375
RAB20	0.885
RBM7	-0.93275
POLR1A	-0.706166666666666
TMPRSS4	-2.75925
TAF9	-0.468
TERF2	-1.1365
TNFRSF1A	0.69075
ACADVL	-0.9295
GTF2H5	0.0005
EDG8	0.616333333333333
C9orf140	-0.0965
UST6	0.34325
ZBTB8OS	0.2155
ZNF710	0.8375
GPR174	-1.6705
ATP6V0A2	-0.16325
KIAA0319L	0.640916666666667
XKRX	0.958
DOPEY2	1.7239
SDHD	-0.318166666666667
SUMF1	0.80225
OSM	0.82825
OPN3	-0.6405
DAGLB	-0.131333333333333
PPFIBP1	0.4361
TRIM63	-4.365
C10orf53	0.1245
LYPD3	2.1165
BCL7A	-0.065125
AGER	-0.9845
TCF19	-0.489625
SAT2	-1.84325
PFTK1	0.306333333333333
GABRE	-3.036125
C15orf38	1.6318
FIS1	0.1365
KCNV2	0.12925
CLPS	0.24375
PPCDC	-0.19125
FOXN2	-0.888333333333333
NT5E	-2.7539
CD83	0.33675
IL18	1.216125
VPS16	0.10175
IGFBP2	0.150666666666667
NOTCH2	0.65075
SIGLEC1	2.723875
CD93	3.7095
SULF2	2.11225
CEP164	-0.128375
P53AIP1	-0.0751666666666667
TOR2A	0.533833333333333
ZNF136	0.5735
MGP	3.621
CCDC144A	-0.451833333333333
TRPC1	-1.818
SMS	-0.365166666666667
MAPK7	-0.492666666666667
RRAGC	0.366
PARD6A	0.578666666666667
NUB1	0.485166666666667
SYNGR4	1.029
OR11H12	0.3305
WIF1	0.290875
GCH1	-0.57725
OR11H4	0.13
SLC44A5	-0.4305
GPRIN2	2.753
LOC401431	0.621
CPA4	-2.5274
MELK	-0.871777777777778
IL15RA	-0.29025
CUL3	0.38575
HMBOX1	0.862
PODXL	-2.951
CCT6B	-0.812833333333333
COMTD1	-0.67175
MUC20	2.18116666666667
GPX2	-3.442
ITK	-2.293625
FBXL5	1.35975
C13orf27	-1.26675
DEFA5	-0.078
TRHDE	-0.071
MTP18	-1.19716666666667
UQCRQ	0.8023
ITGB2	0.475333333333333
CSRP2BP	-0.055
TAS2R44	0.4025
PHPT1	1.079
FAM44C	-0.217
ERH	1.00775
MPHOSPH1	-1.23783333333333
MORC1	-0.2015
PARVB	-2.0065
LAMA1	-2.07483333333333
PGBD3	0.278
GIMAP6	2.502
AREG	-3.15966666666667
LIPT1	-0.0585
MGC99813	-1.50325
C1orf201	0.325666666666667
GRIN2A	-0.6271
MAN2C1	-0.812625
NSUN5	-0.592
SF3B5	0.31025
MYC	-2.7501875
NRXN1	-0.374166666666667
ZNF18	0.264
SPDYA	-0.537
SLC37A1	1.6555
DECR2	0.83375
ANKRD38	1.47275
SPTLC3	-1.04833333333333
SUPT16H	-0.464375
DTWD2	1.044
ULBP1	0.177
ZADH1	0.107166666666667
OIP5	-1.25925
IL10RB	-0.431666666666667
OTUB2	-0.080375
VWA3A	1.48033333333333
SPIC	0.043
OR6C4	-0.114
PSCD4	0.279666666666667
DPY19L2P2	-0.1975
TRAPPC6A	0.864166666666667
C21orf2	-0.3725
CEMP1	-0.01
LIN7B	0.629
E2F7	-0.925333333333333
VCP	-0.0791875
LAMA3	0.822583333333333
BGN	1.509
GPR160	1.388
COCH	-4.96316666666667
GPR81	1.42483333333333
APOBEC3F	-2.3875
tcag7.1017	0.08325
C1orf32	0.4065
SCGB1D2	6.206
FLJ43987	-0.3895
C6orf170	-0.022
KLK9	0.5225
GPD1L	1.445125
VPS37B	0.519
ATG3	-0.690166666666667
ADAMTS17	-1.117
KLHDC2	-0.505166666666667
NDUFV2	0.09875
BLK	-2.9415
MATN4	-0.8235
GPM6A	0.8795
GBP4	3.60533333333333
TMEM162	0.218333333333333
PKP2	-0.524
HRASLS	-2.10588888888889
MMP1	0.36425
SFXN3	0.6457
