Hybridization REF	TCGA-BH-A0DX-01A-11R-A115-07
RBM34	0.277833333333333
C12orf28	1.4065
U2AF2	-0.0398333333333334
MKNK2	1.2733125
SEC16A	0.88875
ZNF44	0.8519
YWHAG	-0.22275
IGF2BP2	-2.92191666666667
OR1D5	0.5185
SIX6	-3.635
CCR6	1.4145
PALM	0.73025
PUM2	0.102285714285714
SPRYD5	-1.04
ALG10B	-1.02925
ZNF365	2.62675
PHC1	-2.0685
KIAA0913	0.0265
ARX	0.59325
PPP3CB	0.729166666666667
IRX6	0.7328
ANGPTL4	1.5281
LSM14B	-0.0339
PCDHGB7	1.128
INSM1	-0.261916666666667
WBP2NL	-0.082
ZNF493	0.5518125
NGEF	-1.29525
RNASE13	0.4
SPPL2A	0.2065
SFXN1	-2.73
FAM102A	1.378125
SAPS2	-0.879916666666667
JTV1	-0.9255
OR51B4	-0.65575
SCGB1A1	0.249833333333333
NEUROD2	0.06075
tAKR	0.09525
C1orf26	0.43725
RICH2	-0.8185
TEDDM1	-0.07825
CYP2S1	-0.533
TBCE	-0.3205
MAPK1	-0.374625
HDHD1A	-1.14025
MRM1	-1.38375
ATP9A	0.4665
HSD17B3	0.1005
HN1L	0.8595
RNF216	-0.77825
HOXD12	-0.126
PPP1R14B	-0.765875
SBF1	-0.667
TAS2R42	0.8135
USP46	0.912
LILRB3	3.162
SPI1	2.21875
OXSM	-0.173
GYS2	0.341
NUPL2	-1.02325
C8orf46	-1.701
SF3A1	-0.1098
C21orf99	-0.4745
HOXB4	0.669
YRDC	-0.96725
GPRC5D	0.0135
BLVRA	0.683875
KIF12	0.974
LRRC23	0.12775
FAM14A	0.679333333333333
RASL12	2.282625
DAZAP2	1.40075
IKBKB	0.458142857142857
ZNF271	0.237
BOK	1.4055
CXorf6	-1.02575
MYEOV	-2.22775
BTN2A2	-1.0913
FRG1	0.0185
HSP90AB6P	-0.5225
ENOX1	0.697166666666667
ZNF706	0.2031
DOK1	0.1811
PGAP1	-0.724875
TMEM136	-0.05225
FSCN1	-1.44225
KIF17	0.65075
TRIM66	-1.54
CBR3	1.937
C13orf24	0.472166666666667
C19orf52	-0.3005
BNIP1	0.52775
AQP3	0.785375
KRT6C	-2.29383333333333
SIRPA	1.10066666666667
IGFBP6	-0.654333333333333
PLEKHK1	0.1785
RNASE7	-0.0115
ARHGEF15	0.47675
NPHS2	0.03825
SRD5A1	-0.087
REXO4	-1.04325
EEF1DP3	0.37
SLC37A2	1.9215
ZNF142	0.02225
ANKHD1	-0.494
MUT	0.5065
VPS37A	0.32925
GPRIN1	-0.7265
SLC38A3	-0.750375
BAZ2B	1.359
WDR87	-0.392
BRD7	0.37825
POU6F2	-0.3245
NISCH	0.1405
TCEB1	-0.34125
LINGO2	-2.77175
TAX1BP3	0.0315
RPL34	-0.0181666666666667
MARK2	0.439833333333333
AKAP12	-0.61
AMBN	0.4825
SLC25A27	-1.41033333333333
FLJ21865	-0.71925
KIR2DS2	0.224166666666667
WDR77	-1.39125
ATF2	-0.453833333333333
ITFG3	0.568166666666667
SLC39A13	1.01375
ARL6IP5	1.314125
C10orf137	-0.28625
QTRT1	-0.804833333333333
CCNT1	-0.21375
DYNLL1	0.5679
WDR53	-0.205
LIPG	0.12
ASAH3	-0.0245
HELB	0.0325
PHACTR2	0.8755
VENTX	-0.48425
LAD1	1.556
PAOX	0.93775
MAPK8	-0.2065
CCDC38	-0.426
DNAJC8	-0.0151
RBBP8	-0.463
WNT11	0.1319
KCNJ12	-0.407166666666667
HDAC8	0.0493333333333333
STARD4	-2.069
ACVR1	1.75633333333333
C14orf65	-0.0996666666666667
KLB	-0.913
C1orf65	-0.34125
ZFYVE28	-0.15525
NSUN6	0.24775
KIF27	0.534666666666667
SYTL2	0.466666666666667
UBXD2	0.3397
OR6T1	0.305
CCDC91	0.237714285714286
GRID2	0.172
CALN1	-0.0335
ZNF423	1.471
PSMB4	0.104666666666667
XPNPEP3	-0.228333333333333
ARPP-21	-2.8847
SART1	-0.6785
RACGAP1P	-2.631
SPTA1	-4.34425
C6orf113	0.0541666666666667
C7orf16	-1.80425
CHST7	0.4895
C21orf29	-0.3665
SEMA6D	-0.63075
PCMTD1	1.7546875
KIAA1754	0.132333333333333
MYCN	-1.5405625
KCNJ3	-0.03625
MAPK13	2.0554
ERO1LB	0.2935
NTF3	-1.49383333333333
NKX6-2	-0.767
GTF2B	-0.4695
GSPT1	-0.3565
GUSB	0.348666666666667
LOC221091	-0.2185
LIG1	-1.43975
EXTL3	-0.484333333333333
NID2	1.04675
TTC29	0.138
TMEM97	-0.6475
EXTL2	-0.917
SUZ12	-1.326125
IL1F8	-0.237
KRT18	-0.186454545454545
MRPS16	-0.551916666666667
PI4K2B	-0.811
LACRT	0.2995
OR51F2	0.221
JMJD2C	0.389875
KGFLP1	2.13925
CDK5RAP3	-0.81
YTHDF2	0.5965
GGCX	0.739875
ARPC4	1.6605
EGLN2	0.0163333333333333
KBTBD4	0.647071428571429
ROBO3	-0.4463
DEFB118	0.36
KIAA1543	1.49875
RTCD1	-0.420333333333333
MZF1	-0.44775
C18orf26	-0.576
CNIH4	0.0623333333333333
ZFP2	2.57566666666667
HTATSF1	-0.2515
WFDC2	2.195625
NDUFA7	0.0275
TTC22	0.0658333333333333
FAM40B	-2.759125
DCPS	-0.64275
SH2D1B	-0.481
MRGPRE	0.2785
SBK1	0.4625
UNQ6411	0.179
OSBPL9	-0.8715
NUP107	-0.526
MYOZ3	-0.1668
PDE4B	0.839416666666667
FAM113A	-0.5435
IDH3G	0.145666666666667
FBXL7	0.3265
ARFGAP3	0.84275
MAPRE2	0.663461538461538
IL1RN	3.0222
KIF13A	0.777
RAC3	-0.6865
TCTE1	-0.03
TMEM14B	-0.545166666666667
ADIPOR1	0.638833333333333
GRINA	0.9225
CLIP4	-0.548
LRIT2	0.293
TFPI	-1.66707142857143
FABP6	-1.4065
SLITRK2	-0.3031
HKR1	0.69675
SMTN	0.68125
C1orf75	0.66725
CD209	0.6
CYB5R2	1.70025
DNTTIP2	-0.4105
CSGlcA-T	0.096125
GABRB3	0.124
PCBD1	0.675
TAF3	0.0995
HOXD3	-0.406333333333333
GIPC3	-0.1825
P11	0.5647
BFSP1	0.48475
LCP2	1.25375
TAS2R8	-0.0985
SEZ6L	-0.7435
NR2C1	-1.672375
EXDL2	0.693
TNFRSF13B	-2.1285
MKI67	-1.8125
GLS	-0.0446666666666667
C7orf54	-1.1046
LGALS13	-0.231
IL4R	0.6385
SEC11A	-0.387666666666667
SPP2	0.4725
C18orf32	1.16475
CLSPN	-2.24
SPAG1	1.07375
C9orf82	0.40625
TM4SF1	0.154416666666667
EMILIN2	2.78425
SMG7	0.0551666666666667
TAS2R13	0.551
ZNF628	-0.183
DZIP1L	0.092
ANKRD13A	-0.2502
VASP	1.059125
ZCCHC11	-1.44025
SYPL1	-0.341375
MGC34774	-0.195
C4orf28	-0.454625
KIAA1211	1.22191666666667
RPS27L	-0.30325
TATDN3	-0.65725
PDCD1	0.138
OR5P2	0.308
IFIT1L	0.741
MIPOL1	0.5705
OR51D1	0.2385
C1orf92	-0.661666666666667
LAMP2	1.10916666666667
CAT	1.39666666666667
C16orf80	-0.11875
C15orf32	0.644
ZNF746	-0.455
C1orf76	-0.9535
ATXN1	0.86075
LAMC2	0.889875
SLC2A7	0.1715
CPOX	-1.573
APH1B	1.2675
LOC442245	-0.46325
CTNND1	1.44833333333333
GABRG2	-0.8295
MADCAM1	0.123833333333333
F5	-3.3065
SEMA4F	-0.572166666666667
NUDCD3	-0.14275
PDZD11	0.508
TRIML1	0.624
GCNT3	-2.7682
TMEM120A	0.46725
CNDP1	-0.4255
N4BP1	1.051875
SLC35F2	-2.14375
LCP1	1.16175
IGBP1	0.1218
DCAKD	0.234
ELA2A	-0.8475
C12orf56	-2.5205
PITRM1	0.219857142857143
GUK1	0.785666666666667
RASSF8	-0.8059375
OR2A14	0.47475
ADM	-1.39666666666667
FGD3	1.96933333333333
GHRHR	-0.267666666666667
RHPN2	0.46675
C4orf39	-0.140666666666667
VPS72	-0.173
SERF2	0.535555555555556
CD22	1.60916666666667
CD47	-0.0962
PPIC	1.44716666666667
IMPDH1	-0.196083333333333
ACP6	0.122666666666667
PRKACA	0.23125
PPP1R1A	2.097625
TRPV3	-0.11825
ASXL1	-1.09525
C17orf55	-0.958166666666667
FXYD1	1.15883333333333
LMOD2	-0.2485
ANKRD33	0.079
LCE2C	-0.36075
ZNF620	-0.4235
DKFZP566E164	0.23425
VSIG2	2.0645
KIAA1128	0.98825
USO1	0.0156666666666667
NUDT4	0.934571428571428
CLDN1	-0.853357142857143
OR4Q3	0.106
FASTK	-1.05683333333333
ICOS	1.47933333333333
LDB1	0.271
GSTA5	-1.74675
ABCC1	-1.01116666666667
FAM54A	-1.70125
PCBP2	-0.631166666666667
NUP205	-2.04125
ACTA1	1.0375
GABBR2	-1.4725
PIP5K1B	1.41066666666667
AGXT	-2.31683333333333
RNF181	0.356
ATP8A2	1.2585
AFTPH	1.104
FGF21	0.10775
FCER1G	3.112875
SNTB1	-0.5285
SLC24A3	-0.406
TXNL4B	-0.6744
RPL10L	-0.7855
LOC389517	-1.07005
TSGA13	-0.5015
SHOX2	0.738666666666667
ITGA7	0.2498
KCNIP2	0.544666666666667
KLF13	-0.0657
ZFAND2A	-0.958
CEACAM1	0.0755714285714286
PFKFB4	-2.75366666666667
MED19	0.671
LRRC57	-0.2185
RNF11	1.5845
ANKRD32	-2.26475
P117	0.27025
OBFC2A	0.749666666666667
POLD3	-0.949
RAB18	1.266125
TPH2	-0.849
PHB	-0.5271
JDP2	1.41566666666667
MORF4L1	0.0056
POU2F1	-0.17175
CNNM2	-0.8165
LOXHD1	0.0771666666666666
ZC3H15	-0.0155
ELK3	0.877666666666666
FAM111B	-0.075
CBLC	3.144
SBNO1	-0.08975
ANKMY2	-0.11
PLEKHA5	0.223
DHX58	1.54416666666667
ARCN1	0.0795
TREML1	0.7191
KNCN	-0.2885
SEC24A	-0.56125
PSCA	-0.5325
MGC24125	0.918
DNA2L	-1.07725
CIB4	-0.33175
HIGD2A	0.17
TBX6	0.0365
TTLL5	-0.3105
SGK3	1.21233333333333
GCN1L1	-1.00075
AMOT	-0.0634
LDOC1	0.1195
NRK	0.1095
ASB9	-2.51975
NAT1	5.7292
TRAFD1	-0.15525
PEAR1	0.652
FAM36A	0.397375
OR1S2	0.4685
LOC388323	-2.11075
PGS1	-0.975
LEPREL1	-3.0455
TFF1	-3.93766666666667
HAP1	0.1965
EPHB2	0.42725
ACTG1	0.767166666666667
ZFP42	-0.245666666666667
HAVCR2	2.2526
NME1	-0.725
SNX26	-0.567333333333333
LACTB	0.722166666666667
ZKSCAN2	-0.972
C5orf35	0.55
ANKS3	-0.57175
RBM28	-1.3875
DKFZP586P0123	-0.16925
HNRNPA1	-0.5755
BCAS3	-1.17616666666667
FLJ20184	0.7625
POLA2	-1.45333333333333
TMC7	-0.436666666666667
HSD17B6	2.2945
ZNF658B	1.349
TTTY10	-0.130166666666667
RANBP9	0.2095
CPNE7	-2.03616666666667
EVL	1.16382352941176
LNX1	1.10525
IFNA21	0.431
CFD	2.41775
PYCARD	1.25516666666667
MYBPC2	-1.879
ENPP3	-1.27466666666667
ACSL4	-0.9605
LOC440258	-1.032
TMEM176B	3.50316666666667
SOX2	-5.068875
SCO1	-0.764166666666667
COMT	0.01625
AOC2	-0.3865
PDLIM5	1.82792857142857
SPHK2	0.216166666666667
NXPH2	-0.098
GPR108	0.895
RAD51L1	-0.1475
TMEM54	0.69825
LETMD1	-1.38955555555556
SLC6A17	-0.00374999999999998
KRT75	-0.11
STT3B	0.111166666666667
CD3EAP	-0.3595
TMEM63A	0.4205
DUSP13	-2.8705
CD1C	0.747666666666667
LASS2	1.2555
AVP	-0.3615
PITPNM1	-1.544875
FLJ22795	-1.01
MCTP1	-1.7085
TRIM68	0.284
UCK2	-0.595833333333333
ABHD1	-0.684
FAM50A	-0.612
RNASEH1	-0.476166666666667
PCP2	1.54333333333333
OR52H1	0.3625
C20orf149	1.0095
RBP5	0.1615
HYAL3	0.2365
CLPB	-0.8685
SMNDC1	-0.07725
DONSON	-2.00766666666667
FLJ27523	0.5485
BARHL2	-0.0495
SLC30A9	-0.229
TMPRSS11B	-0.586
E2F8	-1.8
CCDC25	0.171083333333333
C14orf48	-0.2776
C20orf116	0.609125
TSPAN11	0.2015
YIF1B	-0.742
FAM12B	0.80025
OR1L6	0.3675
HPN	-0.6692
NBN	0.630625
C14orf94	-0.699166666666667
OCLM	-1.5005
ZSCAN18	1.6315
L3MBTL	-2.5794
TSTA3	1.40683333333333
RAC1	0.07275
C19orf15	-0.0265
NFE2	-4.9235
KLK14	0.1475
ARSF	0.724
MAST2	-0.224833333333333
AMICA1	2.97183333333333
GTF2A1	-0.39725
ATP1A3	0.0995
TC2N	4.1296
PNKP	-0.074
ODZ2	-2.236625
MATR3	0.287375
S100P	0.726125
KRT82	1.123
CA13	-0.3261
PROZ	-1.48883333333333
AASDH	0.223
C19orf40	-0.258666666666667
DCK	-0.777538461538462
FAM5C	0.90375
SLC6A4	-2.2165
MID1IP1	-0.406125
TESSP5	-0.1125
TMOD4	0.446333333333333
DOCK2	-0.204833333333333
TUG1	0.01925
NUP214	-1.2275
DPYSL2	-0.173136363636364
GOLM1	3.055
MPFL	0.25675
SOX13	1.25275
SDCCAG8	1.2181
KEL	-1.93216666666667
NUP210L	-2.0575
GK	-0.72025
DNAJB1	0.09025
ALPK3	0.891
CHID1	0.3262
CYLC2	0.417666666666667
IKZF5	0.7255
C8orf51	0.523
PPM1J	1.16825
GIMAP8	3.4545
GPR101	-0.0855
NR2F1	4.0645
ACAD8	0.762
RBM35A	0.16075
GNAI2	0.453
METTL8	0.521
SLC39A7	-1.65675
FBXO8	0.5905
CAMK1	0.451
RFC3	-0.8895
FAM129A	3.71028571428571
ILF2	0.09675
FGFBP3	-0.640375
NOM1	-0.619833333333333
PSMA3	0.233
ASCC3	-0.0943
ZYG11A	0.28775
SOX21	-1.26075
LYRM1	0.3715
DEFB1	0.622
LOC91431	-2.352
OR7C2	0.7855
FAM46B	1.12025
TMEM18	-0.5865
ARHGAP30	1.5845
TMEM86A	2.667
EPHA2	-1.29266666666667
C10orf46	0.3693
TCHH	-0.042
C3orf30	0.220833333333333
LOC285636	-0.98
PAIP2	-0.16825
CYP2U1	-0.057125
C12orf34	0.40075
SARS2	-0.507333333333333
ZCWPW1	0.06675
SAMD12	1.18875
KIAA1430	0.132875
ACAT1	-0.995
MEOX1	3.04683333333333
ADAMDEC1	6.089
PHKA2	-0.562
CARD11	-1.60133333333333
CALML4	-0.4565
TSSC1	-0.4185
TMEM45A	-0.329222222222222
MPP7	1.389875
POU1F1	0.04425
SLC2A13	-0.192
FBN2	-0.547428571428571
ZC3H7A	0.0549
LAIR2	-0.49275
ST3GAL1	-0.4525
LCT	-2.23625
GEMIN8	1.03683333333333
KLF16	0.0235
HIF3A	0.1756
FAM44A	-0.407142857142857
AQP10	-1.238
PLA2G2A	1.65
FOLH1	1.128
C20orf186	0.395
MAPKAP1	-0.287875
SPRR2D	-1.40225
UBQLN4	-0.013
RSHL1	-0.111666666666667
PIAS3	0.930125
MRPL24	0.07775
GREB1	-1.316625
FAM27E3	-2.9335
NUP62CL	-0.677
NEUROG3	-0.537
REEP3	1.48266666666667
MARK1	-0.575125
LMBRD1	0.42225
PRPF19	-1.6445
PNMT	-0.353
CTGLF1	-1.0785
SLC25A16	0.587
EIF2B3	-0.952
RPA2	-0.4055
PAK6	1.08483333333333
CCDC26	-4.30775
SEMA3E	2.432
MXD4	0.4455
TNFSF10	3.6964
SMARCB1	0.166333333333333
DTX3L	1.382
PLA2G4E	0.317
PPAP2A	1.41775
ULK1	-0.962083333333333
TAS1R3	-0.194
SLC2A3	-2.66963636363636
ARID3A	-1.95675
GNG5	0.076
ACOX1	0.6219
KIF5B	0.42725
NUP153	-0.648
MUC7	0.077
CSDE1	0.0745714285714286
CLPTM1	1.022
C3orf23	0.142375
LRRC17	1.81916666666667
TTYH3	0.293375
ATP5B	-0.657
ELF3	1.766
CPSF3L	-0.143
ZNF665	0.687
TLR6	0.7322
GPI	0.179625
RAD9A	-0.63225
NDST4	-3.73475
AGPAT3	0.47175
MAGI3	1.77233333333333
ADORA2A	-0.13075
CACNG7	0.089
CAMK2D	0.163428571428571
CCHCR1	-1.055
RPS27A	-0.3515
OR10G7	0.11
GCM2	-0.732
FAM135B	0.9201
E2F1	-1.295
PLCB3	0.24325
OR2AE1	0.3385
COIL	-0.1515
CDC25C	-0.704333333333333
RAB11FIP2	0.0459166666666667
TSC2	0.3285
CTGLF5	-1.2005
CCDC108	-0.153222222222222
OR13C4	-0.0845
C10orf81	5.77825
PTPRB	1.952
ACP2	0.645
LAG3	-0.18925
MRPL54	0.5375
LOC201175	-0.4415
ITGB1BP3	-1.7925
SPTAN1	0.749333333333333
SIPA1L2	-0.352
RCAN2	-0.0575
CDX2	-0.231
ECOP	0.4465
ACTR1A	0.528428571428571
PPARG	0.465166666666667
BBS10	0.458
TMEM44	-1.058
BPIL2	-0.104
CITED1	2.02075
IRF6	4.39175
PRDM4	-0.1045
RRP9	-0.626666666666667
OR10H4	0.0505
IL31RA	-0.684
GNB1L	-1.32133333333333
MYBL2	-2.415375
ZNF407	0.956666666666667
PPIG	0.0706666666666667
TTC18	0.6965
RPSA	0.0105
MAPT	0.75025
MRE11A	-0.534857142857143
C8orf37	0.0558333333333333
RASGEF1C	-0.214666666666667
STBD1	0.42275
CTAG2	-0.506666666666667
MGAT5B	-2.0665
ECM1	1.42675
RLN1	0.711
PARP14	0.9633125
EPB41L1	0.6368
HOXA3	-0.5395
MAGEA9	-4.6675
RPS8	-0.318833333333333
RPS19BP1	0.22775
FOXJ2	0.7445
C10orf76	0.59525
IL17RE	0.56175
C10orf65	-0.8805
ZNF343	-0.375833333333333
FBXO33	-0.296
UHMK1	1.6364
LY6G6C	0.99175
FGF19	-1.1055
C14orf128	-1.02116666666667
IFIT2	1.64675
TIGD1	-0.85275
S100G	0.463
GUCY1B3	3.25
NR3C1	-0.3492
CORO1B	0.383166666666667
PARP11	0.527333333333333
DNALI1	3.67566666666667
OR4N4	0.15775
MAP2K6	1.17216666666667
FSTL4	-0.2555
ANKRD47	1.442
TMEM171	-0.9895
PNLIP	0.26625
YY1	-0.0405
CCDC138	-1.57566666666667
AASDHPPT	-0.172
CKS1B	-0.7025
MCM3	-1.3555
ANAPC7	-0.774
FAM110A	1.67725
CDC37L1	1.0445
THTPA	0.0595
NBPF20	-0.7015
WDR24	-0.25625
NPTX2	-0.22625
CBLB	1.541
CETN1	-0.125
RPUSD1	-0.28575
FAF1	-1.36975
CDK6	-2.3527
HMX2	0.2495
CSK	-0.34
TEAD2	1.2485
SNAP25	-0.0755
TUFT1	1.4895
TMTC3	1.865
LCK	-1.8515
SGOL1	-1.542
AKTIP	1.2905
FURIN	0.454625
SOX12	-0.732
DEFB103A	-0.38
RAMP1	0.52375
KIR3DX1	0.298
GAS2L3	-0.69325
PDE8A	0.323
EDN3	1.88725
GMIP	1.1995
SF3A2	-0.3975
FN3KRP	-0.4555
SMAD7	0.86025
RHBDD2	0.03875
OR11H6	-0.164
PPP1R3B	1.6692
C9orf23	-0.14575
CADPS	-0.171
GOLGA8A	-3.38825
TMEM57	0.890333333333333
RGL3	-1.483
S100A14	-2.8765
FGFR2	2.8724375
XRCC3	-0.5
RTN4RL2	-0.039
MGC3771	1.806
GH2	0.162333333333333
BTBD2	0.147
LMO2	0.42975
RDBP	-0.5935
ACRBP	-1.41575
AMY2A	1.14375
DUOXA1	1.2375
PTK7	1.00716666666667
TWF2	-0.0381666666666667
FAM80A	0.6025
TNNI2	-1.16166666666667
GLT25D1	-0.106166666666667
OCC-1	-1.46175
CYC1	-0.806333333333333
RPL22	-0.302863636363636
MORN3	1.13716666666667
DISP1	1.2455
PRB2	0.0665
CHUK	-0.29225
HR	0.812125
CCDC134	-0.24775
DENND4B	-1.1105
C14orf130	0.433625
RAB33A	-1.1205
DCST2	0.22
TNMD	1.0655
PEX7	1.35475
FAM62A	-0.019875
SRD5A2L	1.34275
IL22	0.33825
RPS26	-0.728666666666667
HOXC5	-0.1355
SPATA6	1.4095
FLJ38482	0.33975
ZNF234	1.3965
C18orf22	0.435
SPATA22	1.14525
THOC1	-0.7785
CYP7B1	3.946
KCNC3	-0.0045
C8orf42	-0.8145
ALDH1B1	0.229166666666667
CCDC100	-0.3205
ARMC4	-3.8375
FAM18B2	0.419
SLC44A1	0.468125
FBXO17	-1.1405
C6orf107	-0.137
C19orf29	-0.648
ZC3HAV1L	-0.88775
PARP6	-0.3774
SULT2A1	-4.849875
C1orf159	-0.87775
TMC1	0.398
CHST14	-0.146
GAMT	-0.696833333333334
SMCP	0.260666666666667
TSPAN33	0.0700833333333333
MIDN	-0.0125
NOX4	3.55525
RNASEN	-0.5042
TBX1	0.4035
SALL2	-1.72225
C10orf35	0.48775
CYP2E1	-0.606625
LRFN2	0.6475
ACO1	-0.296333333333333
IQCG	1.4266
MEGF9	2.35
TM7SF4	4.90075
PLEKHA1	0.192333333333333
STK33	-2.95275
C1orf210	1.689
SNUPN	0.2374
KIAA0406	-0.7073
C20orf29	0.444
TMEM55B	-0.88
OSTM1	-0.35575
CLCN7	-0.35875
OTP	0.3735
FLJ23049	-0.59625
HEATR4	1.1585
MAP3K10	-0.357833333333333
PCDHGA9	0.976
AMDHD2	0.17075
LCTL	-1.747
PDCD2L	-1.2935
CABLES2	-0.52225
SLC5A9	-0.43925
CLCA2	4.78783333333333
MGC16025	-0.8365
STRAP	-0.813166666666667
C20orf196	0.393
RRBP1	0.279333333333333
NAT13	-0.338
MAT2B	-0.044625
CSNK1D	-1.0925
KIR3DL1	0.07125
PRKAG3	0.7865
ZNF599	0.623
PRM3	1.389
PER2	1.612
ASPHD1	-1.656
PRMT6	-0.817
KCNE1L	-0.613071428571428
FAM118A	-0.283666666666667
TAF4	-0.54125
NDUFB6	0.061
TRIM9	-1.22708333333333
PMFBP1	1.632
KY	0.738
DKFZp762E1312	-2.59563636363636
CSMD1	-1.1375
TBP	-0.2275
OR1Q1	0.177
RETNLB	0.05925
HPGD	0.8835
DNAJC12	-0.3835
FKBP1B	-1.86
ANKRD24	-0.173333333333333
CXXC5	0.390666666666667
IL3	0.17425
DRAM	1.1593
PTCH1	-1.363375
TP53BP1	-0.4885
SLC17A7	0.256
COL25A1	-1.38877777777778
AMACR	0.364166666666667
RHCG	0.407
VPS13A	-0.745416666666667
FAM55D	1.0325
PRPF38B	-0.594666666666667
OSBPL6	1.6365
PFDN5	0.4368
CMTM6	1.788625
KCNK12	-2.013
RP2	0.764
C16orf52	-1.5595
PICK1	0.629
IFNE1	-0.882166666666667
SEMA4B	0.77025
TYRO3	-1.618
OR12D2	-0.5415
CSNK1A1	0.566
FANCF	0.7415
LONP2	2.287125
TBL1Y	0.031
LDOC1L	0.306875
CCNC	-0.5795
C3orf60	-0.62975
CHKA	-0.521
UBAP1	0.546
MAP3K1	1.937
ANKRD9	-1.41425
FAM92A1	-1.07433333333333
GAB2	0.490625
AZU1	-0.08875
DIS3	-0.564166666666667
C21orf109	-1.08275
IQCB1	-0.60525
SPATS2	-0.641
EFCAB3	-0.45325
PRB3	-0.073
FUZ	-0.622166666666667
ZNF813	0.697625
BMPER	0.009
HEG1	0.44825
ALS2CR11	-1.585
SURF2	-0.6775
PSMC1	0.226916666666667
OR2D2	0.3325
SLC7A8	1.77783333333333
C4orf40	0.044
SPATA7	0.33675
MAZ	-0.440083333333333
PIN4	0.38575
PDE1A	0.201875
TAF6L	-0.230666666666667
OR2T34	0.0655
KIAA0284	0.5145
ACADS	-0.485909090909091
MKRN2	0.093
C18orf56	-2.8885
MS4A6E	3.867
GALNT4	1.8941
C22orf31	-0.0285
FLJ36070	-0.205
PSME4	0.65475
TFG	0.1333
EPHX2	0.962625
ANXA5	0.378375
KRTAP1-1	-0.0241
BATF	0.21975
KARS	-1.00175
MSTP9	-1.2145
GPR26	0.00662500000000002
CCDC72	0.8025
TEF	0.834333333333333
FOXK1	-0.9957
PRLHR	-0.003
EMX1	1.399
C11orf30	-0.417875
ICK	0.67775
THSD7B	0.0735
C21orf100	-2.732
DUOX1	2.4635
EFCAB4B	-0.07925
UBE2G2	-1.0875
C3orf54	0.29575
PARP1	-0.162
FAM60A	-1.60075
C6orf146	-0.00549999999999998
OR9K2	0.261
DDX55	-1.94666666666667
RPS15	-0.614666666666667
ZNF618	0.45025
DKFZp686D0972	0.6695
SSPO	-0.453
SHFM3P1	0.323166666666667
CPA6	-0.846
JAG2	0.678
DEFA3	0.7905
PPBPL2	0.446666666666667
CD34	4.443125
SLCO4A1	-3.200375
AFG3L1	-1.56716666666667
SHD	-0.85825
RP13-122B23.3	-1.10783333333333
PRKCSH	-0.0588333333333333
DPH5	-1.11116666666667
HLA-F	1.773125
TBC1D4	-0.613
RIG	0.396166666666667
GLUD1	0.841
HNRPCL1	0.64875
HBXIP	-0.731
RNF207	-0.55
APIP	0.518
PLA2G3	-2.79683333333333
CCDC84	-1.64475
MYLIP	-0.437230769230769
PHIP	-0.3285
AARS2	-0.386333333333333
DHX32	0.89025
SCAPER	0.0475
MEN1	-0.23725
NIP7	-0.80175
FLJ25404	0.6405
FASTKD3	-0.3415
TMEM158	-2.04391666666667
RARA	0.87975
BDH1	0.1035
ANKRD16	0.38525
CARM1	0.133
SS18	0.2295
IKZF2	0.636416666666667
MYD88	0.92925
PML	0.56865
TAF1A	-1.053
CBFB	-0.323875
HIST1H3H	0.9415
C7orf29	-2.46475
COMMD4	-0.521333333333333
DPP3	-0.31725
DAB2	0.951125
LOC388882	0.244
YPEL4	-0.049625
AGBL3	-0.1315
LRP6	0.2936
SERPINH1	0.00700000000000001
TLE1	1.408
CD244	0.911333333333333
ZDHHC15	0.0125
MGLL	0.9991
PLDN	-0.0809166666666667
LOC654346	2.1205
FAP	3.9435
GPR37	-1.31183333333333
SCARA5	2.244
EBF4	1.27718181818182
LSM6	0.012
MLLT1	0.12775
SLC5A12	0.132
A2BP1	-0.889666666666666
COPS5	0.204
TPM4	0.506285714285714
TNFSF4	1.23033333333333
ACADSB	1.81516666666667
HERPUD1	0.743
BCL2L11	-0.268833333333333
CEP78	-1.295875
CDCA3	-1.68675
WBSCR19	-0.8941
MYO1A	-1.897
PPEF1	3.322
LOC440348	-1.033
CPEB2	0.548875
BPTF	-0.155416666666667
RPL21	-0.336125
GSX2	-0.295
ADPRH	1.40933333333333
C17orf68	-0.0106666666666667
KCNS1	-0.533333333333333
MLLT6	-0.3729
PIWIL4	0.50475
RNF26	-1.11775
RAP1B	0.361
ADAMTS1	-1.1066
ZNF571	1.32625
P2RY6	-0.64675
TRIM21	0.826833333333333
CADM3	-0.08075
NLRC5	0.794666666666667
ADRA2B	0.2545
LOC90835	1.048
PCF11	0.4395
LOC400451	1.63375
GLTSCR1	0.1781
C17orf88	-0.841
CDH16	-1.78575
FGF7	2.825625
PCSK4	-0.209833333333333
NPC1L1	-1.318
TAT	0.360625
TBCA	-0.6245
MGC33407	0.289
GPR115	-1.173625
CYGB	0.4565
FNBP4	-0.655166666666667
C12orf43	-0.59075
CBL	-0.1077
CLECL1	2.6575
PPAPDC1A	2.571
WDR25	0.291
SGCA	1.4395
C22orf29	-0.2295
YIPF1	2.0555
GALK2	-1.208
RAB3B	-2.94483333333333
LOC440087	0.15175
UCP1	0.976
REEP5	1.597
FADD	-0.219
FOXA1	3.33075
CACNA1A	0.0976666666666667
ABI1	0.875333333333333
GRIN2D	-0.24125
SLC1A4	-0.0165
LOC401127	-0.32175
HINT2	0.248
PLD4	0.0963333333333333
