Hybridization REF	TCGA-BH-A0BM-11A-12R-A089-07
SLC16A8	1.102
MKI67IP	0.226
ITGB3	-0.881
TCEA3	1.44233333333333
CEP152	-1.39175
CLIP1	1.55475
ZNF75	0.519
ATP5C1	-0.647666666666667
NUDT5	-1.495
PSCDBP	0.70725
UBP1	0.29875
RBM27	0.11575
C13orf15	2.668875
ZNF282	-0.56
ZNF222	0.8002
COL10A1	-0.333
PRDM15	-0.449125
TTTY5	-0.2825
FAM9C	-0.279545454545455
C20orf67	-0.1745
GNG13	-0.4445
F12	-1.66175
C1orf41	-1.66625
CPXCR1	0.127
GSK3A	-0.034375
SUPT6H	-0.174166666666667
PI16	2.08133333333333
ELL2	0.331916666666667
C9orf167	-2.57383333333333
PVRL3	-0.6467
FLJ38596	0.68375
ADAM20	0.8325
GPR89A	0.1785
GPR87	2.0455
ZNF30	0.4785
SMR3B	3.8765
ZNF770	0.222
TRPC4AP	-0.890833333333333
DKFZP686E2158	0.615333333333333
C2orf28	-0.199833333333333
FREM1	0.436833333333333
LAMA4	-0.348833333333333
ADPRHL2	-0.289
EIF4G2	-0.180166666666667
GUCA1A	-0.3435
CTNNA2	-0.8495
NUDT15	0.0155
CEPT1	0.6215
ZNFX1	-0.2364
CCDC92	0.81375
TDRD1	-0.075
KCNK5	-1.21383333333333
ETNK1	-0.19325
LTA	0.2165
TTPA	0.0723333333333333
B3GALNT2	-0.518125
SC65	-1.75366666666667
PEX5L	-0.55775
EPS15L1	-0.659
MGEA5	0.27225
HIST1H3A	-0.10775
ING1	0.028875
BCAT1	-4.8055
ORC6L	-3.54009090909091
KLK11	-0.911333333333333
C19orf28	-2.178625
DNER	-3.291875
MED22	-0.407642857142857
ETV6	1.51966666666667
CHAC2	-2.314
CD300E	-0.0345
CEBPB	0.80725
ZNF398	0.389
LRCH3	0.102
HMGA1	-2.5395
CAPN7	0.392833333333333
MGC5566	-3.1515
CCL3	1.45475
NANOS1	0.3015
ZFYVE19	-0.439
APITD1	-1.06466666666667
PARD3	1.81325
IRAK4	-0.454166666666667
SERPINI2	0.428
CEP170L	-0.4665
TTC9	2.028875
MYOM3	0.11375
MLPH	-0.19275
LOC222699	-0.0015
NRG1	1.10358333333333
TBC1D9	2.35054545454545
TTK	-3.21483333333333
ZNF557	0.1492
DDX41	-0.870333333333333
FANK1	1.775
UBE2D2	-0.45175
PSMB10	0.309125
MYH7B	1.4605
GABARAPL2	0.20225
MARVELD2	1.82983333333333
DGCR2	0.848
UNC45A	0.00816666666666666
C6orf72	0.429
ZNF683	4.12125
GIT2	0.3965
CASK	0.750833333333333
C14orf161	1.77466666666667
LRRC44	1.02325
TIFA	1.65
UTP11L	-0.218375
C6orf65	-0.77075
FDPS	-0.84025
DUSP9	-2.0599
SLC17A8	0.0445
OR51G1	0.100166666666667
NANS	-0.76125
OLFML1	0.419
ATP10B	-0.6955
NPAS3	2.16375
PRKCA	-1.6219
GGA2	0.029625
LCE4A	0.431
SPANXN3	0.314
CCDC115	1.75475
SDCCAG3	-1.41825
GLIPR1L1	-0.0965
TTC1	0.02175
C17orf76	-0.6225
MAD2L2	-2.061
HIPK1	0.3469
LRRC3B	3.41
CLN3	-0.798045454545455
C17orf47	-0.102
FMN2	-2.2335
TUBB1	-0.733625
WAPAL	-0.220166666666667
C3orf21	-1.128375
SCN5A	0.396
SMYD1	2.43025
BEX5	2.1765
ZNF192	-0.4435
SEC22A	-0.1165
GRIA2	1.62635714285714
KIAA0825	-0.30675
NUSAP1	-3.50154545454545
LANCL1	0.118125
C15orf40	-0.1278
ZNF645	0.12125
GPR61	-0.32275
NLRP14	0.326
SNX21	-0.1244
C1QTNF8	0.0035
C17orf46	0.20275
IFNA8	0.6235
SPRR1B	-0.984833333333333
FLRT1	-0.72875
SNX17	-0.465666666666667
ASB2	0.718333333333333
HBG1	-5.1005
RPRML	-0.6855
JOSD2	-0.462833333333333
PLSCR3	0.71325
SPOCD1	-1.33933333333333
RAB39	-0.23
GHRH	0.201333333333333
ITIH5L	0.48025
C17orf37	-0.367
SMCR8	-0.447
DPY19L2P3	-0.394333333333333
IL11RA	2.30516666666667
GDF3	-3.7815
RPS6KB1	-1.06066666666667
DNAJC19	-0.225
TOP1	-0.08875
CRCT1	0.4295
MPST	-0.231375
DPM2	-1.0045
FAM38B	-1.64383333333333
SLC18A1	-1.4685
FARP1	-0.0601666666666667
PAX7	-0.134
TUBD1	-0.65825
GNL3	-0.23725
BTG2	1.86886666666667
NDUFS6	-1.0865
C1orf79	-1.4405
ERAL1	-0.7075
ECHS1	0.4395
VPS4A	-0.441666666666667
CYP11A1	-0.219125
ABCC6	-0.787285714285714
PBX4	-0.9405
MOSC1	0.65325
NCF4	-0.6755
HYMAI	-0.0035
NAGPA	-1.02825
OTOP2	-0.0035
ACOT12	-0.03775
MTHFD2L	0.513
LOC441376	2.49375
C19orf34	-0.863
RAB1B	-0.88175
ALDOAP2	-2.242
NTRK1	-1.889
ARTS-1	0.97
SLC6A11	-0.7525
NAP1L2	2.885
CNGB1	-0.1665
EPB41L4B	0.770583333333333
FAM134B	2.01925
HS3ST3A1	-2.25283333333333
CPXM2	4.5225
SIRPB2	0.214
CHORDC1	-0.389166666666667
TRIB3	-1.97
SLC2A5	-0.10725
C2orf49	-0.614333333333333
DDX5	-0.27325
OR5L1	-0.647
ANAPC4	-0.100833333333333
ZSWIM1	0.359375
LOC93622	-0.23325
KCNK3	0.1699
RP11-35N6.1	0.777625
ZFP161	0.8965
AQP9	0.75625
SLC15A2	1.44833333333333
MREG	-0.892
OR9I1	0.1095
PDLIM2	-0.406625
ADAM7	0.1945
GSTCD	-0.0658333333333333
WDR21A	0.31325
SLC12A8	0.309
TMEM174	-0.40375
IGSF3	-0.0745
LRRN1	1.69
LOC402117	0.176
SRPK1	-1.17116666666667
LY6K	-0.90825
NFIA	2.8985
PTCD3	-1.03075
LEP	3.22016666666667
PCDH21	-0.521
MAPKAPK2	-0.271571428571429
NMNAT1	-0.6315
LHFPL2	0.45475
C9orf43	0.5045
DIP2A	-0.9965
ACTR8	-0.00587499999999999
CCDC34	0.22575
PTPN22	-0.6865
ITGA3	0.40875
FAM129C	-0.16425
RABGGTA	-0.273166666666667
UNC45B	0.7655
KIAA1033	-0.036625
ZNF510	0.484666666666667
CYP2D6	-0.707833333333333
SLC26A10	-1.3655
STX8	0.39125
LUZP1	0.516375
WDR89	0.421166666666667
EIF4G3	-0.4257
C5AR1	0.084375
ZNF623	0.113
A2M	1.94675
TGM7	-0.107
GRPEL1	-0.3815
LMNB2	-1.6255
ROCK2	0.877166666666667
SNX16	0.96875
CCDC66	3.016
ANXA3	3.23275
KIAA1609	-0.13075
EED	-0.45225
RNF32	0.661166666666667
HES1	1.8543
CLC	-0.072
ISL1	0.308
KIAA0528	0.440125
MANEA	0.674375
C1orf61	-0.3445
hCG_2001000	0.3325
RAPGEF6	0.3074
KIAA0020	0.034
NEIL1	1.155
C16orf45	0.215875
RBM10	-0.293166666666667
C10orf125	-1.09125
MRS2L	-1.1705
DNAH17	-0.61725
C19orf10	-1.45875
C1orf160	-0.00225
SLFN12	0.40125
EXOC3	-0.3175
HIST3H3	0.2895
NCOR2	0.424
TNFRSF9	-0.391
MFSD8	0.10475
ALX1	-3.07266666666667
NOL1	-1.3085
PODN	1.4705
TIAL1	-1.083
HIST1H1E	-2.3745
NPY6R	0.0275
TM4SF4	1.054
CORO2A	-0.6645
ETNK2	-0.353
APOE	-0.1899
ANGPT4	0.619
HDGF2	-0.477
G30	-1.181
ST8SIA4	-1.12975
F2RL1	1.47825
FAM19A4	-1.8365
CCAR1	-0.81675
B3GNT7	-0.6575
OPHN1	0.0474
DSCR6	-1.2275
C21orf13	0.719833333333333
GAS2L1	0.26
RFX3	0.619333333333333
COPS4	0.320125
BCHE	-4.107
BCL2	2.67425
HBZ	-3.39866666666667
ARL13B	1.138
MAPBPIP	-0.11425
MYO15B	-0.296
SPZ1	2.34125
KIAA1324	2.89066666666667
PLCL2	-0.829125
C4orf29	-0.841
WDFY2	-0.1445
ZNF284	-0.1535
NAALADL1	1.1925
DUSP5	0.4995
PXDN	-0.559
SLMO1	-1.2945
TNXB	-0.4181
BIRC7	-1.21625
A4GALT	0.6375
TIMM22	0.019
FAM110C	0.58125
TOMM34	-1.026125
ABHD9	0.6315
ADAM32	1.8885
CRHBP	0.70125
AQP2	0.980625
LOC130355	0.673
ZNF187	0.785666666666667
ZNF816A	0.6355
F7	-0.7755
CNOT1	-0.5144
SLC13A4	-0.71125
ZBTB11	0.06875
B3GALT5	-0.172
EXOC2	0.569
IRS1	1.1299
TMEM1	-0.00283333333333334
MRPL34	-0.482
SAMM50	-0.1915
CDC42EP3	1.115
HSF2	0.0532
MFN2	0.35725
TSPAN7	0.609
NUCB1	-0.539583333333333
RHOH	-0.38225
ARL16	-0.203
TACR1	-0.01975
SFRS5	-0.0575
SNX25	-0.508
RHBDF1	0.0583333333333333
PCDH18	2.10183333333333
HMG1L1	0.35025
MYO5C	1.0875
MAPK10	1.2815
LDHAL6A	0.0278333333333333
NUDT12	1.00416666666667
NCAM1	-0.089375
GLIS2	-0.6485
GGTL4	-0.49225
DAPP1	0.54125
ATF7	0.436625
KIAA0748	-0.72825
NFIL3	0.51975
TM6SF1	0.435
SEZ6	-0.18825
NANOS3	-0.123
DNAJA3	-0.887
CLDN6	-2.309
CIITA	2.1699
EPHA4	0.941333333333333
FANCC	-0.17975
CMTM3	0.08
PSG3	-0.556625
MRPL15	-0.7835
C21orf59	-0.25775
PLCXD2	-0.363
C2orf34	-0.21725
UBE2L6	0.281375
MED14	-0.778666666666667
HP1BP3	-0.5905
C6orf208	-0.452
TPBG	0.52525
OSR2	-0.657
XPC	0.36
KLHL7	-0.447333333333333
CCR3	-0.230833333333333
AGTPBP1	-0.590333333333333
PCSK6	-0.7842
STAT5A	-0.0241
FAM18B	0.48875
LONRF2	-0.0673333333333333
PTPN2	-0.163625
SF3A3	-0.147166666666667
EFCBP2	-0.616
HCFC1	-0.379833333333333
AHNAK	0.7817
ACTR5	-0.46175
KIF14	-3.53271428571429
TENC1	1.3865
HEATR5B	1.045
YIPF2	-0.1165
MYEOV2	-0.376833333333333
DUSP18	0.7865
KIAA1012	0.61375
AHR	1.23116666666667
C17orf53	-1.94066666666667
PTPRH	-4.05675
ATP6V1C1	-0.00159999999999997
TAS2R3	0.249
LOC440356	-1.29625
COQ10B	0.52325
PSMF1	0.470333333333333
SORBS2	3.47458333333333
NFE2L2	0.78675
TMCO7	0.15975
SH3PXD2A	0.4467
SH2D2A	-1.66975
SPINK5	-0.83975
MRPS24	-0.7835
OPA3	-0.447875
TRAF7	-0.597333333333333
C4orf35	0.161833333333333
MT1G	0.0475
MGC39545	0.439333333333333
HS1BP3	-0.3084
OR2B2	0.4995
CHRM4	-0.491
SFRP2	-0.365416666666667
RIC3	2.6075
ART1	0.229
C6orf1	-0.046875
DUS4L	-0.7245
C10orf104	1.15875
TNFAIP6	-1.38625
RTEL1	-1.81525
CCT4	-0.3462
ZNF709	0.72475
CHMP6	-0.303
UPP2	0.43625
CYP19A1	-2.168125
CD151	-0.797833333333333
NDUFA13	-0.674833333333333
ARFRP1	-1.126
FAM26B	1.71975
CRYBA1	-1.703
MRPL41	-1.02466666666667
NPFFR2	-0.8375
HRH2	0.121
SCAMP3	-1.07133333333333
MTMR6	0.8924
MTG1	-1.235
UBTD1	-0.00525
CRABP1	0.7225
FLJ33790	-0.7927
KIAA1908	0.00516666666666667
GPR158	-2.87175
PACSIN3	-0.157666666666667
OMD	1.64066666666667
CATSPER1	-1.732
HOXB8	-1.121125
FBXO46	0.96
OAS1	0.0955
SVIL	1.89425
PHB2	-0.46675
ADCY3	0.086
NDRG2	3.7695
ERMAP	1.1901
APBA2	-0.954666666666667
IGSF9	1.57925
WNT6	0.797285714285715
MYCBPAP	0.66475
ATP2B2	-0.0826
CPVL	-1.1353
TRAM2	-0.978916666666667
NOP5/NOP58	-0.3655
ZNRF4	-0.041
TLK1	0.349625
MTMR12	0.348071428571429
ZNF384	-0.495666666666667
FAM9B	-2.22275
RPN1	0.6425
PMVK	0.50025
EIF3D	0.4502
SIX2	0.37075
HPS1	0.187214285714286
RNF7	0.392
PSKH2	-0.1895
KCTD13	-0.6445
CSMD3	-0.1937
FBF1	-0.0145
IL8	-6.074625
SERPINB13	0.290666666666667
FBXL20	-0.09825
BLR1	0.00200000000000001
SH2B1	0.0921666666666667
RFNG	-0.364125
RAB20	0.356333333333333
RBM7	0.76475
POLR1A	-0.490666666666667
TMPRSS4	-3.07675
TAF9	-0.89325
TERF2	0.202666666666667
TNFRSF1A	0.460916666666667
ACADVL	-0.0508333333333333
GTF2H5	0.293
EDG8	1.54716666666667
C9orf140	-2.132625
UST6	0.012
ZBTB8OS	-1.23325
ZNF710	-0.0645
GPR174	-0.8075
ATP6V0A2	-0.6185
KIAA0319L	-0.22
XKRX	0.566
DOPEY2	-0.127
SDHD	0.0836666666666667
SUMF1	1.624
OSM	0.377
OPN3	-0.6715
DAGLB	-0.794833333333333
PPFIBP1	0.7898
TRIM63	-4.28825
C10orf53	0.833
LYPD3	0.201333333333333
BCL7A	0.537125
AGER	-1.1935
TCF19	-1.18325
SAT2	0.898
PFTK1	0.602833333333333
GABRE	-1.4325
C15orf38	0.2524
FIS1	-0.029
KCNV2	0.0145
CLPS	-0.16375
PPCDC	-0.687125
FOXN2	0.347666666666667
NT5E	-3.3663
CD83	-0.04125
IL18	-0.15275
VPS16	-0.5485
IGFBP2	0.520666666666667
NOTCH2	0.747
SIGLEC1	0.427875
CD93	4.291
SULF2	-0.17675
CEP164	-0.252625
P53AIP1	1.55783333333333
TOR2A	-0.288333333333333
ZNF136	1.17675
MGP	3.5926
CCDC144A	1.36866666666667
TRPC1	0.9085
SMS	-0.6875
MAPK7	-0.3465
RRAGC	1.02275
PARD6A	-0.5885
NUB1	-0.112166666666667
SYNGR4	-0.06225
OR11H12	0.0475
WIF1	3.853875
GCH1	0.025
OR11H4	0.043
SLC44A5	0.5735
GPRIN2	2.73433333333333
LOC401431	1.04275
CPA4	-1.9142
MELK	-4.354
IL15RA	0.28225
CUL3	1.493
HMBOX1	1.58175
PODXL	0.05925
CCT6B	1.41933333333333
COMTD1	-1.06225
MUC20	2.35833333333333
GPX2	-1.400125
ITK	-0.97825
FBXL5	1.76325
C13orf27	-1.4125
DEFA5	0.6895
TRHDE	0.14
MTP18	-1.649
UQCRQ	-1.241
ITGB2	0.764916666666667
CSRP2BP	0.38975
TAS2R44	0.3935
PHPT1	-0.58525
FAM44C	0.02675
ERH	-0.8895
MPHOSPH1	-1.65033333333333
MORC1	-0.4925
PARVB	-1.89075
LAMA1	-1.23675
PGBD3	0.22525
GIMAP6	4.15975
AREG	-1.494
LIPT1	1.20425
MGC99813	-1.2615
C1orf201	0.227
GRIN2A	-0.719444444444444
MAN2C1	-1.327625
NSUN5	-1.35425
SF3B5	0.2475
MYC	-0.00462500000000001
NRXN1	2.53091666666667
ZNF18	0.172
SPDYA	-0.446285714285714
SLC37A1	0.625
DECR2	-0.53625
ANKRD38	1.49325
SPTLC3	-0.492
SUPT16H	-0.07225
DTWD2	0.434
ULBP1	0.1605
ZADH1	0.229833333333333
OIP5	-4.40525
IL10RB	-0.194
OTUB2	-0.35425
VWA3A	0.4815
SPIC	0.2215
OR6C4	0.023
PSCD4	0.471833333333333
DPY19L2P2	-0.601
TRAPPC6A	0.423666666666667
C21orf2	0.176833333333333
CEMP1	-0.44675
LIN7B	-0.0175
E2F7	-3.16066666666667
VCP	-0.6030625
LAMA3	3.17516666666667
BGN	-0.72225
GPR160	-0.0423333333333333
COCH	-4.34333333333333
GPR81	2.574
APOBEC3F	-0.76375
tcag7.1017	-1.0805
C1orf32	0.146
SCGB1D2	5.85
FLJ43987	-0.209
C6orf170	0.69775
KLK9	0.0995
GPD1L	1.029
VPS37B	0.29725
ATG3	-0.312833333333333
ADAMTS17	0.3185
KLHDC2	0.205666666666667
NDUFV2	-0.9025
BLK	-3.51825
MATN4	-0.259
GPM6A	0.279714285714286
GBP4	3.3645
TMEM162	-0.0803333333333334
PKP2	1.3265
HRASLS	-0.157
MMP1	-5.63975
SFXN3	-0.1523
FSD1	-2.34133333333333
ST6GALNAC3	-1.13516666666667
CA12	1.3703
NCOA6	0.33475
C19orf58	-1.0628
PPP4R1	-0.141833333333333
MAN1A2	0.293833333333333
IKBKAP	-1.318
UPF1	-0.147333333333333
KIAA1219	0.76
WNT16	0.118833333333333
SNW1	0.130375
IL18RAP	2.356
RPP30	-0.318625
CDC40	0.371
SETD3	0.544333333333333
SLAMF6	-0.47975
ELK4	-0.4985
TRIM47	0.888333333333333
ACOX3	0.797875
TRIM6	0.818875
KIAA0372	0.0676666666666667
TP53AP1	0.13075
SMURF2	0.3055
ADAD1	0.31575
EBP	-1.517
KRTAP13-2	0.07
FLJ36874	-0.7395
TOR1A	-0.430166666666667
P2RY4	-0.3795
GPBP1	0.38525
TRPV1	0.0305
ADAMTS12	0.0936666666666667
PES1	-0.5391
ATG4A	0.2305
MAGEA10	-4.50025
WFS1	0.511
CC2D1B	-0.3065
PABPN1	-0.392125
SLC25A30	0.6795
SLCO1C1	0.144333333333333
SLC22A5	1.45725
KIF23	-3.69733333333333
SYN2	0.443166666666667
ASPN	3.1585
CENTG2	0.37875
QSOX2	-1.0523
FLJ10815	-0.533666666666667
STK24	0.10225
SPEG	1.0351
STK10	-0.742833333333333
DACT2	3.1355
AAAS	-0.9325
SSX3	-1.425125
ABCD3	0.3942
C4orf12	1.12775
PARVG	-0.309666666666667
FIG4	0.59425
C9orf46	0.7405
TMCO6	-0.5575
IGHMBP2	-0.38225
DUS2L	-1.02466666666667
FAM3C	0.4269375
TMEM16D	-1.414625
DCTN4	0.97525
KCNH3	1.1415
EIF2AK2	0.836
AP1S3	-0.425
CST4	-0.1655
PAM	0.5231875
NUTF2	-0.54525
CITED2	0.5624
SLC39A4	-1.28325
C2orf52	-0.876
GRM3	-0.4455
C12orf49	-0.245375
CCDC49	0.2652
GRAMD1B	-1.039125
FNDC4	1.464
SIAH2	-0.983
GDPD4	-0.08575
C21orf87	0.090125
ATP5A1	-0.0648333333333333
C16orf63	-0.442
LOC388135	-1.57666666666667
ATP5J2	-1.15875
MMP3	-3.3485
EMID2	-0.44375
CRHR1	-0.07075
WDR70	0.04975
C13orf31	0.7975
ZFAND1	2.2095
CCL18	2.7755
C3orf49	-0.2205
RINT1	-1.5875
KIAA0408	-0.0621666666666667
F13A1	2.5025
SLC10A1	3.0065
OGN	1.62625
GIPC2	0.391166666666667
XPO6	-1.22033333333333
LCE1A	0.5645
FMR1	0.5748
LOC374920	0.84525
DUSP3	-0.0811249999999999
ANKMY1	-0.65225
C7orf50	-1.007
BBS9	0.0252
UNC119B	0.060375
C9orf72	0.55775
MGC35440	-0.27925
ENTPD6	-0.7365
PPP1R2P9	-0.135666666666667
ERCC4	-0.17325
FAHD2B	-0.0555
HMHA1	-0.8965
HACL1	-0.61225
RAD23A	-0.5725
FAM83B	0.581
PPP5C	-1.37466666666667
RNASEH2C	-0.625
C9orf153	0.25075
SCAMP4	0.127875
GHITM	0.1533
NDUFB7	0.103
ADCYAP1	-0.174333333333333
SP110	1.2675
MAP3K7IP2	1.109
DHH	-0.476
AGRN	0.397142857142857
WDR33	1.72016666666667
CEP290	0.485
PRPS1L1	-2.504
KLRA1	0.3735
GPR97	-0.366
CHD7	-0.115416666666667
TLR10	0.9025
SLC30A8	-1.269
HIC1	0.456666666666667
IAPP	1.003
RXFP4	0.07625
GP1BB	-0.627
SHQ1	0.4895
NKX2-3	-0.025
API5	-0.09525
FTHP1	0.1475
MOV10L1	-0.006
TRIM6-TRIM34	3.27683333333333
ADHFE1	1.89525
FAM117A	0.38825
DDI1	0.0294
CDON	-0.312666666666667
TRIM73	-0.6265
IGKC	2.568
MMP14	-0.66575
DYNC1LI1	-0.322875
C11orf66	0.31825
TRBV3-1	-1.32125
FASTKD5	-0.08675
BIVM	-0.383
LHX4	-0.5985
CXCL2	2.2609
RAB2B	-0.1245
IZUMO1	-0.47625
MAP3K15	-0.68275
FAM19A2	0.5455
ZC3H8	-0.298833333333333
ZMAT1	2.55275
SPINK5L3	-2.4125
SLC10A6	0.331
APPL2	0.27875
CARD10	0.163333333333333
LOC402176	0.396625
EEF1D	0.8394
RAB6A	0.5379
C12orf5	-0.408625
PAPOLG	1.00575
MSRB2	0.382
BCR	0.879111111111111
PUS3	0.1215
TIAM2	1.44775
ZNF317	-0.0826666666666667
CHD2	0.1875
FZD5	-1.56990909090909
NUDT8	-1.348
ZNF763	0.125
PRC1	-3.18133333333333
ABCB9	-0.0341666666666667
SPATA3	-0.29425
TRAK2	0.765125
STAB1	1.8855
LRRTM2	0.973
psiTPTE22	-0.7835
DBI	0.68025
SERPINA11	-2.15075
NAT5	-0.1645
C20orf58	-2.14875
RPS6KA4	-0.420833333333333
FLJ90650	0.279
TGFBRAP1	0.2145
CHRDL2	0.25325
FAHD2A	-0.266333333333333
CNTN1	0.80575
BBS4	-0.2476
TMEM181	0.3235
MINPP1	-0.2365
MPHOSPH6	-0.183083333333333
HOXC10	-0.1916
ITPKB	0.15125
CLPTM1L	-0.959375
MEOX2	1.91616666666667
ATP6V0C	-0.467875
PRPF8	-0.351333333333333
TMC5	2.1625
FKBP3	-1.03275
PLEKHB2	-0.495625
OR4D6	-0.212
ZNF544	-0.2935
D2HGDH	-0.53975
RPL18A	-0.4053
HEL308	0.349875
MPP6	-1.841
TCERG1	-0.6405
KRT16	1.17666666666667
KLF17	-0.2685
KLF5	1.869375
CDR1	2.883875
VCX3A	-3.68
FBLN2	0.7545
C14orf104	0.275
HBE1	-4.7459
OR4S2	0.854
C1orf108	-0.984833333333333
ROBO4	3.05
CPEB4	0.73725
C11orf80	-0.7055
BCKDHA	0.0351666666666667
MYOC	1.58175
GIF	0.3105
CKMT1A	0.891
RPL3	0.9982
THBS1	0.57925
APOO	-1.4965
ARMCX1	2.40075
HSZFP36	1.2825
SNAPC5	-0.37275
EIF4ENIF1	1.015
ZNF433	0.58675
TNFRSF21	-0.175625
TMPRSS7	0.353
SPATA18	1.7475
HPDL	-2.531
MKL2	1.11
TBX3	1.54161538461538
C21orf93	-0.351
DAXX	-0.389
ELMO1	0.286375
RGS13	0.6865
TAF11	-0.609
UNC13A	-1.94925
LOC653314	-0.4447
ORC3L	-0.44
IMAA	-2.1075
TARBP2	-1.2
CABIN1	-0.2717
TRIOBP	0.1968125
HIST1H2AC	-0.104875
RGS22	-2.03783333333333
NCOA1	1.806
IL25	1.3365
SNCG	2.405
GPR6	-0.4145
AMDHD1	-1.3785
CHEK2	-1.375375
C6orf142	0.15
DRD4	-0.57375
C14orf68	-1.10475
GDF11	-2.707
SEMG2	0.479
CD247	0.095
CDAN1	-0.54725
RBMX2	0.579833333333333
TGS1	0.1215
OIT3	0.47925
SYF2	1.0295
MCM4	-2.558
PKHD1L1	0.00137500000000001
CEP192	-0.804166666666667
IFT88	0.62975
RPL9	0.707571428571429
RAB32	0.163625
DDX43	-2.068
P2RX2	-0.170333333333333
OR5D18	0.1775
UBE1	-0.544916666666667
SLC24A1	0.840375
ARHGAP5	1.34675
CETP	-1.25275
KIAA1731	-0.316666666666667
SLC9A4	0.18
PTPN6	0.165
BAHD1	0.471
GRIK3	0.0185
CACNB2	0.3657
PDE10A	-1.0995
DGCR14	-0.251
PCDHB9	1.025
RHOQ	1.12733333333333
MAP3K4	0.48775
KTI12	-0.3555
RPL23AP13	0.57975
GNG11	1.511
CLCN3	1.07266666666667
GPAM	1.0915
VSTM2A	0.1385
SLAMF7	1.0535
INTS2	-0.7085
PPP2CA	0.121
LRP12	0.6044
SEC14L2	2.005
DKFZP586H2123	4.863
MC3R	0.079
CIRH1A	-1.16533333333333
HIST1H2AB	-0.961833333333333
POLH	-0.269875
MGC16703	-1.82416666666667
SNAPC2	-0.045
FILIP1L	0.6565
RASGRP4	0.153
LRRC1	1.601
GAS1	2.92925
PRAC	-0.69825
DGKA	0.00883333333333333
NT5C3	-0.81675
PEG3	-0.843166666666667
NADK	-1.52875
PRR17	-1.352
LOC374569	0.67125
SGSH	0.0321666666666667
NLRP8	0.324
GALT	0.285
MCF2	-0.096
ZNF263	0.1925
TACSTD1	0.894166666666667
TYR	-6.3306
ATP6AP2	0.55675
RNUXA	0.223
ABHD10	0.113666666666667
GDPD2	-0.7335
SLC35C1	-0.0425
UBE2A	-0.27175
HERC5	-0.463833333333333
FAM112B	-4.58833333333333
FBXL16	1.046
DKFZP434A0131	-0.26875
ELA3A	-1.9375
RBM41	-0.806
HAO2	-0.468
RNH1	0.0665
SHANK2	2.2175
OSBP2	-1.312
DAK	-1.3485
C3orf58	1.76883333333333
TCL1B	-0.611
KBTBD2	0.031
SUGT1L1	1.11075
UBE2E2	0.793666666666667
MYL9	2.76025
CDC23	-0.809166666666667
PBXIP1	1.1718
CXorf40B	0.1035
NBL1	1.572
RTBDN	-0.2445
RAB11FIP5	0.189
TTTY13	-0.308
SCOTIN	-0.483416666666667
SOHLH1	-0.9815
CDKN1A	-0.281357142857143
NCK1	0.782
ZNF550	0.1915
SAPS3	-0.0257500000000001
SPIN3	0.951333333333333
MAGEE2	0.09825
MIS12	-0.323666666666667
OR8H2	0.0225
KIAA0774	1.06233333333333
UNC5D	-1.272
CUL7	-0.476166666666667
LIPC	-2.90683333333333
DIO1	-1.47025
C20orf11	0.5611
CTRL	-0.8095
HS3ST2	-0.01325
PAK4	0.117
CCRL1	1.297
RNF10	-0.101125
ZNF567	0.916
ZNF660	1.194
TCEAL3	1.516
MAGOH	0.492833333333333
CENPB	-0.735333333333333
C19orf7	0.930625
LOC388965	0.10825
ZCCHC13	4.7165
JMJD1A	-0.3713
HIST1H4H	-1.8505
TBRG1	-0.1992
GPC3	-1.48725
TAF1C	-0.591125
EBNA1BP2	-0.8565
CIAPIN1	-0.73025
PDGFRA	0.474333333333333
CSTB	-0.7805
CENPI	-2.62483333333333
GTF2E2	-0.657333333333333
RPP21	-0.7315
CCNF	-1.76166666666667
KCNQ3	0.2865
FAM79A	1.77075
SLC22A12	0.1425
NOVA1	0.0356666666666667
FZD3	1.4596
AKAP8	-0.9965
SOCS5	2.184125
CFDP1	0.223
DLG5	0.8105
PGM5	1.16183333333333
C1orf144	0.0166666666666667
HDAC10	-1.9185
RND2	-0.048
C20orf199	-0.693
RNMT	-0.49675
SLURP1	0.219125
ASTN1	0.163125
SH3BGR	3.10175
MYCL1	-0.25775
ZHX1	0.605166666666667
CENPK	-3.9395
FOSB	2.5666
LOC643406	0.015625
C2orf59	-1.705125
TMEM135	-0.084375
SLC27A2	-3.3505
KRT33A	2.7065
OVOL1	1.1275
PAMCI	-0.0581666666666667
S100A7	-0.8945
ZNF789	-0.843
HARS2	0.1925
RPL23A	-0.5715
TCF23	-0.41025
UPF3B	-0.83875
C17orf78	0.5575
HLA-DOB	0.945333333333333
C14orf142	-0.00166666666666666
TEKT5	0.388166666666667
DMWD	-0.253
POLD1	-1.90033333333333
GSCL	-0.6425
CALD1	1.9601
SCRT1	-0.540333333333333
AIG1	1.6225
UNC84B	0.8105
ZNF404	0.79325
TMED6	-2.8375
KIAA1462	-0.2485
LRRC27	1.263
PYGO1	0.312
PIGU	-0.873666666666667
ALAS2	-3.4615
WRNIP1	0.42175
CNNM3	-0.2695
ZNF2	0.70225
ST3GAL5	-1.44866666666667
MRPL23	-0.778
TSSK6	-0.63
PSMA6	-0.8915
C16orf70	-0.517
KIAA1602	0.00525
ALMS1	0.1155
DCN	1.28175
TMEM132D	-0.3575
SUCLG2	0.72375
ABHD14A	-0.2745
DEXI	-0.00816666666666666
AMPD2	-1.1635
