Hybridization REF	TCGA-AN-A04D-01A-21R-A034-07
RPS6KB1	0.000416666666666669
DNAJC19	0.4384
TOP1	-0.03875
CRCT1	-0.928
MPST	0.33
DPM2	-0.61075
FAM38B	-3.31283333333333
SLC18A1	-2.43566666666667
FARP1	2.102
PAX7	0.2065
TUBD1	0.09675
GNL3	-0.96825
BTG2	1.0318
NDUFS6	-1.1765
C1orf79	-0.29225
ERAL1	0.376
ECHS1	-0.42325
VPS4A	-0.601833333333333
CYP11A1	-0.667
ABCC6	-1.51314285714286
PBX4	-1.5355
MOSC1	0.436375
NCF4	-1.31425
HYMAI	-0.3945
NAGPA	-1.005125
OTOP2	0.17075
ACOT12	0.28525
MTHFD2L	0.14175
LOC441376	5.36675
C19orf34	-0.195
RAB1B	-0.1765
ALDOAP2	-2.153
NTRK1	-1.7025
ARTS-1	0.4114
SLC6A11	0.7715
NAP1L2	1.87375
CNGB1	0.377166666666667
EPB41L4B	0.5655
FAM134B	-2.205
HS3ST3A1	-2.93466666666667
CPXM2	3.094
SIRPB2	0.1415
CHORDC1	-0.244
TRIB3	-2.60766666666667
SLC2A5	-0.09825
C2orf49	-0.302833333333333
DDX5	0.142
OR5L1	0.245
ANAPC4	-0.992166666666667
ZSWIM1	1.0115
LOC93622	-0.887875
KCNK3	-0.2707
RP11-35N6.1	-2.0285
ZFP161	0.3895
AQP9	2.46775
SLC15A2	2.62116666666667
MREG	-0.888666666666667
OR9I1	0.3395
PDLIM2	-0.66525
ADAM7	0.378
GSTCD	0.331666666666667
WDR21A	-0.108875
SLC12A8	2.82916666666667
TMEM174	0.2995
IGSF3	2.1695
LRRN1	-4.26775
LOC402117	-0.4815
SRPK1	-0.750833333333333
LY6K	-2.4698125
NFIA	2.5945
PTCD3	-0.607
LEP	0.333333333333333
PCDH21	-0.7855
MAPKAPK2	0.474142857142857
NMNAT1	-1.48716666666667
LHFPL2	-0.0245
C9orf43	-0.90975
DIP2A	-0.427333333333333
ACTR8	-0.776875
CCDC34	0.2675
PTPN22	-1.905875
ITGA3	-2.47275
FAM129C	-0.219
RABGGTA	0.183833333333333
UNC45B	1.444
KIAA1033	-0.558
ZNF510	-0.0633333333333333
CYP2D6	0.466666666666667
SLC26A10	-1.369
STX8	-0.986
LUZP1	-0.399
WDR89	-0.0913333333333333
EIF4G3	-1.5915
C5AR1	0.436875
ZNF623	1.247
A2M	-0.21625
TGM7	-0.115
GRPEL1	-1.55333333333333
LMNB2	0.4625
ROCK2	0.901666666666667
SNX16	1.077875
CCDC66	-0.233
ANXA3	-3.8945
KIAA1609	0.439125
EED	-0.57575
RNF32	0.760666666666667
HES1	-0.3658
CLC	-0.0408333333333334
ISL1	-0.9515
KIAA0528	0.179
MANEA	0.19325
C1orf61	-1.631
hCG_2001000	-0.1025
RAPGEF6	0.0403
KIAA0020	0.526333333333333
NEIL1	0.5935
C16orf45	-1.573
RBM10	0.2585
C10orf125	-1.907375
MRS2L	0.137
DNAH17	-1.51825
C19orf10	-0.0575
C1orf160	0.7155
SLFN12	-0.236
EXOC3	-1.30666666666667
HIST3H3	2.016
NCOR2	0.282833333333333
TNFRSF9	-0.90475
MFSD8	-0.29775
ALX1	-4.50433333333333
NOL1	-0.90225
PODN	1.3735
TIAL1	-0.806
HIST1H1E	-1.45825
NPY6R	0.301
TM4SF4	0.54975
CORO2A	-1.08925
ETNK2	1.16033333333333
APOE	-0.2909
ANGPT4	1
HDGF2	-0.1125
G30	0.44
ST8SIA4	-1.193
F2RL1	-1.48275
FAM19A4	-3.83125
CCAR1	0.39575
B3GNT7	0.29175
OPHN1	0.2765
DSCR6	2.1565
C21orf13	-0.582166666666667
GAS2L1	1.13025
RFX3	1.10433333333333
COPS4	-0.31275
BCHE	-5.60733333333333
BCL2	1.231875
HBZ	-3.403
ARL13B	0.529375
MAPBPIP	1.069125
MYO15B	-0.400625
SPZ1	0.00425
KIAA1324	3.48222222222222
PLCL2	-2.978
C4orf29	-1.2965
WDFY2	-1.37075
ZNF284	-0.4525
NAALADL1	-0.327
DUSP5	-1.0645
PXDN	-1.4985
SLMO1	1.07125
TNXB	0.341
BIRC7	-0.87475
A4GALT	-0.127
TIMM22	0.0435
FAM110C	0.5895
TOMM34	-1.573
ABHD9	-0.1025
ADAM32	1.9325
CRHBP	-0.69
AQP2	0.42525
LOC130355	0.94325
ZNF187	0.5635
ZNF816A	0.5035
F7	-1.034375
CNOT1	-0.4376
SLC13A4	-1.02
ZBTB11	0.5385
B3GALT5	-0.40575
EXOC2	0.948333333333333
IRS1	-2.498
TMEM1	0.00500000000000001
MRPL34	-0.374166666666667
SAMM50	-0.759
CDC42EP3	-0.287125
HSF2	0.6247
MFN2	-0.64375
TSPAN7	-2.92916666666667
NUCB1	0.729416666666667
RHOH	-4.36175
ARL16	0.077
TACR1	-0.57125
SFRS5	-1.81466666666667
SNX25	0.30925
RHBDF1	0.715333333333333
PCDH18	1.92233333333333
HMG1L1	1.1245
MYO5C	-0.176375
MAPK10	-0.5305
LDHAL6A	0.127833333333333
NUDT12	0.416833333333333
NCAM1	-0.03675
GLIS2	0.5055
GGTL4	0.8515
DAPP1	-1.61175
ATF7	1.497875
KIAA0748	-1.689
NFIL3	0.608
TM6SF1	-0.0306
SEZ6	0.082875
NANOS3	1.0385
DNAJA3	-0.338833333333333
CLDN6	-2.1055
CIITA	0.9367
EPHA4	-1.70025
FANCC	1.785
CMTM3	-1.30625
PSG3	-0.292571428571429
MRPL15	-0.25225
C21orf59	0.1345
PLCXD2	-0.07975
C2orf34	0.002375
UBE2L6	-1.048
MED14	0.0298333333333333
HP1BP3	-0.2007
C6orf208	0.225
TPBG	-0.7575
OSR2	-3.183625
XPC	-1.23933333333333
KLHL7	0.00425
CCR3	-0.238833333333333
AGTPBP1	0.217833333333333
PCSK6	-3.548
STAT5A	0.2149
FAM18B	-1.19025
LONRF2	1.155
PTPN2	-0.12125
SF3A3	0.475166666666667
EFCBP2	1.18425
HCFC1	0.134166666666667
AHNAK	-2.10535
ACTR5	0.24
KIF14	0.630142857142857
TENC1	0.378
HEATR5B	1.0805
YIPF2	0.9185
MYEOV2	0.183833333333333
DUSP18	1.2735
KIAA1012	0.46575
AHR	-2.69383333333333
C17orf53	-0.139
PTPRH	-4.507
ATP6V1C1	0.6718
TAS2R3	0.7835
LOC440356	0.6665
COQ10B	-0.3255
PSMF1	-0.55725
SORBS2	1.303
NFE2L2	0.155
TMCO7	-1.33125
SH3PXD2A	-0.1797
SH2D2A	-1.48
SPINK5	-4.193
MRPS24	-0.08825
OPA3	0.442125
TRAF7	-0.0371666666666667
C4orf35	-0.253166666666667
MT1G	-1.294625
MGC39545	0.2925
HS1BP3	-0.2535
OR2B2	0.511
CHRM4	0.0875
SFRP2	-0.00116666666666665
RIC3	-1.359
ART1	-0.524
C6orf1	-0.399125
DUS4L	-1.211
C10orf104	0.13125
TNFAIP6	0.55375
RTEL1	-0.2805
CCT4	-0.7803
ZNF709	0.7205
CHMP6	1.1715
UPP2	0.32
CYP19A1	-2.453125
CD151	-0.218166666666667
NDUFA13	0.482666666666667
ARFRP1	-0.585833333333333
FAM26B	0.577
CRYBA1	-1.2795
MRPL41	-0.895333333333333
NPFFR2	-1.467875
HRH2	0.152
SCAMP3	0.427833333333333
MTMR6	0.7347
MTG1	-2.16083333333333
UBTD1	1.50475
CRABP1	0.136
FLJ33790	0.82
KIAA1908	-1.06183333333333
GPR158	-1.53175
PACSIN3	1.219
OMD	-0.165833333333333
CATSPER1	-1.1055
HOXB8	-1.28571428571429
FBXO46	1.438
OAS1	-1.19766666666667
SVIL	0.60075
PHB2	-0.5565
ADCY3	0.1195
NDRG2	3.82333333333333
ERMAP	1.669
APBA2	-0.11
IGSF9	3.66725
WNT6	1.63892857142857
MYCBPAP	0.40025
ATP2B2	0.000800000000000001
CPVL	-2.3715
TRAM2	-1.13166666666667
NOP5/NOP58	0.41725
ZNRF4	0.25175
TLK1	-0.008375
MTMR12	2.28792857142857
ZNF384	-0.0485
FAM9B	-3.01925
RPN1	1.7892
PMVK	0.77525
EIF3D	-0.1451
SIX2	2.22525
HPS1	0.405357142857143
RNF7	0.17925
PSKH2	0.238
KCTD13	0.2585
CSMD3	-0.3783
FBF1	-1.2245
IL8	-5.654125
SERPINB13	1.45225
FBXL20	0.5755
BLR1	0.63475
SH2B1	0.121333333333333
RFNG	0.503875
RAB20	-1.28466666666667
RBM7	-1.10525
POLR1A	-0.189
TMPRSS4	-3.419
TAF9	-1.721
TERF2	-0.102166666666667
TNFRSF1A	0.13475
ACADVL	-0.994
GTF2H5	-0.24725
EDG8	2.37133333333333
C9orf140	0.21825
UST6	0.004
ZBTB8OS	0.80775
ZNF710	1.3015
GPR174	-2.147
ATP6V0A2	0.22775
KIAA0319L	-0.00324999999999999
XKRX	2.955
DOPEY2	1.1594
SDHD	-1.16466666666667
SUMF1	0.20625
OSM	0.4645
OPN3	0.84425
DAGLB	-0.138166666666667
PPFIBP1	-0.9336
TRIM63	-5.01
C10orf53	-0.0935
LYPD3	-0.590666666666667
BCL7A	1.697125
AGER	-1.24316666666667
TCF19	0.236625
SAT2	-0.3325
PFTK1	1.25216666666667
GABRE	-3.28875
C15orf38	-0.5283
FIS1	-0.601
KCNV2	0.703
CLPS	0.462
PPCDC	-0.230625
FOXN2	0.534833333333333
NT5E	-4.1585
CD83	1.1885
IL18	-2.423
VPS16	0.68275
IGFBP2	-3.11633333333333
NOTCH2	1.571
SIGLEC1	1.91025
CD93	4.5655
SULF2	-2.645
CEP164	0.28
P53AIP1	0.219666666666667
TOR2A	-0.0983333333333333
ZNF136	0.801
MGP	3.6491
CCDC144A	-1.18183333333333
TRPC1	-1.80566666666667
SMS	-0.657833333333333
MAPK7	-0.026
RRAGC	1.282
PARD6A	-0.469666666666667
NUB1	0.175333333333333
SYNGR4	0.50075
OR11H12	0.701
WIF1	0.458125
GCH1	-0.2255
OR11H4	0.5475
SLC44A5	1.1075
GPRIN2	3.44
LOC401431	1.166
CPA4	-2.2015
MELK	-0.152666666666667
IL15RA	-0.95
CUL3	0.881
HMBOX1	0.3215
PODXL	-0.88075
CCT6B	0.802833333333333
COMTD1	-0.66475
MUC20	-0.969666666666667
GPX2	-3.317625
ITK	-1.917125
FBXL5	0.48325
C13orf27	1.36575
DEFA5	0.3565
TRHDE	0.313
MTP18	-1.102
UQCRQ	0.9685
ITGB2	-0.306583333333333
CSRP2BP	0.36925
TAS2R44	0.3575
PHPT1	-0.569625
FAM44C	0.1505
ERH	-0.28275
MPHOSPH1	0.347333333333333
MORC1	-0.5705
PARVB	-1.835
LAMA1	-2.9715
PGBD3	0.638
GIMAP6	3.37075
AREG	-2.38166666666667
LIPT1	0.0785
MGC99813	0.35925
C1orf201	0.018
GRIN2A	-0.9065
MAN2C1	-1.50525
NSUN5	-0.19125
SF3B5	0.781
MYC	-2.1034375
NRXN1	-1.24975
ZNF18	-0.4225
SPDYA	0.271125
SLC37A1	1.7825
DECR2	0.6745
ANKRD38	5.286375
SPTLC3	-1.44091666666667
SUPT16H	0.3095
DTWD2	0.65325
ULBP1	-0.689
ZADH1	-1.3925
OIP5	-1.83
IL10RB	-1.09933333333333
OTUB2	0.343625
VWA3A	0.501166666666667
SPIC	0.375666666666667
OR6C4	0.3815
PSCD4	-0.102
DPY19L2P2	-1.4775
TRAPPC6A	-0.608666666666667
C21orf2	-0.340833333333333
CEMP1	-0.855
LIN7B	1.49
E2F7	0.795333333333333
VCP	0.2795
LAMA3	1.32466666666667
BGN	0.60475
GPR160	-3.3155
COCH	1.82766666666667
GPR81	-0.497166666666667
APOBEC3F	-2.99
tcag7.1017	-0.51025
C1orf32	0.3425
SCGB1D2	0.25075
FLJ43987	-0.055
C6orf170	1.7735
KLK9	0.363
GPD1L	0.869125
VPS37B	1.967
ATG3	0.1485
ADAMTS17	-0.026
KLHDC2	-0.754
NDUFV2	-0.267
BLK	-3.613
MATN4	2.1475
GPM6A	-0.776125
GBP4	1.81516666666667
TMEM162	0.446833333333333
PKP2	-0.0505
HRASLS	2.93588888888889
MMP1	0.42825
SFXN3	-1.3436
FSD1	-1.62583333333333
ST6GALNAC3	-2.8335
CA12	-0.3415
NCOA6	1.0465
C19orf58	0.4155
PPP4R1	0.3435
MAN1A2	1.162
IKBKAP	-1.816
UPF1	0.2905
KIAA1219	0.29625
WNT16	0.0191666666666667
SNW1	-0.70375
IL18RAP	0.94225
RPP30	0.1245
CDC40	0.0943571428571428
SETD3	-0.262666666666667
SLAMF6	0.1645
ELK4	0.337
TRIM47	1.26383333333333
ACOX3	0.857125
TRIM6	-2.3785
KIAA0372	-0.2195
TP53AP1	0.52225
SMURF2	1.17925
ADAD1	1.1115
EBP	-0.3734
KRTAP13-2	0.8155
FLJ36874	-0.832666666666667
TOR1A	-0.7345
P2RY4	0.6155
GPBP1	-0.1885
TRPV1	0.053
ADAMTS12	0.109833333333333
PES1	-0.3913
ATG4A	0.750333333333333
MAGEA10	-4.92
WFS1	-0.101
CC2D1B	0.556
PABPN1	0.309125
SLC25A30	-0.06525
SLCO1C1	0.3765
SLC22A5	1.23825
KIF23	-0.0916666666666667
SYN2	2.21566666666667
ASPN	4.89266666666667
CENTG2	-0.0735
QSOX2	-1.4182
FLJ10815	0.834833333333333
STK24	1.278375
SPEG	0.3295
STK10	-1.817
DACT2	-2.574
AAAS	-0.2325
SSX3	-1.509
ABCD3	0.6062
C4orf12	-0.8835
PARVG	-0.518833333333333
FIG4	0.81325
C9orf46	0.4925
TMCO6	0.011
IGHMBP2	-0.447
DUS2L	-1.56566666666667
FAM3C	-1.366
TMEM16D	-2.554125
DCTN4	1.62925
KCNH3	-0.16675
EIF2AK2	0.42475
AP1S3	-0.3115
CST4	-0.3095
PAM	0.1821875
NUTF2	-0.8475
CITED2	-0.4881
SLC39A4	1.10225
C2orf52	-0.589
GRM3	0.1285
C12orf49	0.736
CCDC49	0.1862
GRAMD1B	-1.682375
FNDC4	2.375
SIAH2	0.151
GDPD4	0.32025
C21orf87	0.498375
ATP5A1	-0.924666666666667
C16orf63	-0.54875
LOC388135	-1.5335
ATP5J2	-0.151375
MMP3	-1.574
EMID2	-0.559
CRHR1	0.30225
WDR70	0.17525
C13orf31	0.945
ZFAND1	-0.9735
CCL18	4.00516666666667
C3orf49	0.123
RINT1	-1.858
KIAA0408	-2.4335
F13A1	1.3313
SLC10A1	0.274333333333333
OGN	-3.23875
GIPC2	-1.193
XPO6	-0.577833333333333
LCE1A	0.6245
FMR1	0.4684
LOC374920	-0.08025
DUSP3	-0.382
ANKMY1	-0.92275
C7orf50	0.20775
BBS9	-0.3122
UNC119B	0.01675
C9orf72	0.206375
MGC35440	1.0375
ENTPD6	0.516875
PPP1R2P9	-0.076
ERCC4	-0.03225
FAHD2B	-0.682
HMHA1	-1.602
HACL1	-2.24425
RAD23A	0.103666666666667
FAM83B	0.718
PPP5C	0.627333333333333
RNASEH2C	0.06575
C9orf153	-1.09875
SCAMP4	0.76
GHITM	-0.2564
NDUFB7	0.81625
ADCYAP1	-0.1745
SP110	0.0338333333333333
MAP3K7IP2	1.3145
DHH	-0.138
AGRN	-1.1135
WDR33	0.449166666666667
CEP290	0.973833333333333
PRPS1L1	-2.40566666666667
KLRA1	-0.459
GPR97	-0.0235
CHD7	0.79575
TLR10	0.17525
SLC30A8	-1.319
HIC1	0.328333333333333
IAPP	0.4755
RXFP4	0.474
GP1BB	0.65875
SHQ1	0.516
NKX2-3	0.5086
API5	0.35575
FTHP1	-1.07
MOV10L1	0.5025
TRIM6-TRIM34	0.6055
ADHFE1	-0.13
FAM117A	-0.1335
DDI1	0.502
CDON	0.0948333333333333
TRIM73	-1.912
IGKC	3.0525
MMP14	-0.12025
DYNC1LI1	-0.525125
C11orf66	0.2355
TRBV3-1	-1.435
FASTKD5	0.051
BIVM	1.87825
LHX4	-0.7185
CXCL2	-1.6954
RAB2B	0.313666666666667
IZUMO1	2.095
MAP3K15	-1.221125
FAM19A2	0.431833333333333
ZC3H8	-0.842
ZMAT1	0.563875
SPINK5L3	-3.04225
SLC10A6	1.513
APPL2	-0.49475
CARD10	-0.725333333333333
LOC402176	-0.84875
EEF1D	0.8255
RAB6A	0.6338
C12orf5	-0.927125
PAPOLG	0.56025
MSRB2	1.01425
BCR	1.09277777777778
PUS3	0.28325
TIAM2	1.2895
ZNF317	0.442666666666667
CHD2	-0.114571428571429
FZD5	-1.18554545454545
NUDT8	-0.2015
ZNF763	0.5295
PRC1	0.386777777777778
ABCB9	1.05983333333333
SPATA3	0.31425
TRAK2	-0.762125
STAB1	2.606625
LRRTM2	0.085
psiTPTE22	0.87575
DBI	4.04475
SERPINA11	-3.81725
NAT5	-0.08425
C20orf58	-2.843
RPS6KA4	0.1265
FLJ90650	-1.0465
TGFBRAP1	0.72075
CHRDL2	4.656875
FAHD2A	-0.767166666666667
CNTN1	0.30525
BBS4	-0.3814
TMEM181	-0.18275
MINPP1	-0.8175
MPHOSPH6	-0.423083333333333
HOXC10	2.3231
ITPKB	0.942375
CLPTM1L	-0.799375
MEOX2	-1.23733333333333
ATP6V0C	0.828
PRPF8	-0.840666666666667
TMC5	1.82625
FKBP3	-0.256
PLEKHB2	-0.85775
OR4D6	0.4195
ZNF544	-1.0301
D2HGDH	-0.933
RPL18A	-0.5466
HEL308	-0.104875
MPP6	-2.92325
TCERG1	-0.62025
KRT16	0.0575
KLF17	-0.96775
KLF5	2.98075
CDR1	-0.087
VCX3A	-5.3675
FBLN2	0.015125
C14orf104	0.193
HBE1	-5.0416
OR4S2	1.2155
C1orf108	0.786333333333333
ROBO4	3.28216666666667
CPEB4	0.419875
C11orf80	0.730833333333333
BCKDHA	-0.183833333333333
MYOC	3.647
GIF	-0.25
CKMT1A	0.395
RPL3	-0.2744
THBS1	0.608875
APOO	-0.2755
ARMCX1	1.26975
HSZFP36	0.79175
SNAPC5	-0.39525
EIF4ENIF1	0.85025
ZNF433	1.44325
TNFRSF21	1.8365
TMPRSS7	-0.661
SPATA18	1.6187
HPDL	-1.2375
MKL2	0.9525
TBX3	1.99138461538462
C21orf93	0.506
DAXX	0.7185
ELMO1	-0.811875
RGS13	0.1335
TAF11	0.0145
UNC13A	-1.951375
LOC653314	-0.4932
ORC3L	0.25675
IMAA	-2.832
TARBP2	-0.2075
CABIN1	0.1619
TRIOBP	0.741375
HIST1H2AC	-0.67725
RGS22	-3.843
NCOA1	1.6995
IL25	0.4325
SNCG	-0.1525
GPR6	0.5385
AMDHD1	-1.81516666666667
CHEK2	-0.478
C6orf142	-0.9765
DRD4	0.7095
C14orf68	-0.80675
GDF11	-0.34975
SEMG2	0.152
CD247	-3.11125
CDAN1	-0.307
RBMX2	0.149666666666667
TGS1	-0.30725
OIT3	2.85925
SYF2	-1.48275
MCM4	-0.671625
PKHD1L1	-0.57325
CEP192	0.166333333333333
IFT88	0.31775
RPL9	-1.38942857142857
RAB32	-0.3665
DDX43	-3.78175
P2RX2	0.935666666666667
OR5D18	0.709
UBE1	0.154
SLC24A1	0.28725
ARHGAP5	0.05525
CETP	-0.70675
KIAA1731	0.503666666666667
SLC9A4	0.9895
PTPN6	0.176
BAHD1	-0.02025
GRIK3	-0.216
CACNB2	0.0126
PDE10A	-0.8165
DGCR14	0.6405
PCDHB9	2.08966666666667
RHOQ	-0.0418333333333333
MAP3K4	-0.57225
KTI12	0.671333333333333
RPL23AP13	-1.497
GNG11	-1.53825
CLCN3	1.4505
GPAM	-0.116125
VSTM2A	1.2595
SLAMF7	0.282333333333333
INTS2	-0.983
PPP2CA	-0.335
LRP12	2.85486666666667
SEC14L2	0.312777777777778
DKFZP586H2123	0.77125
MC3R	-0.247
CIRH1A	-1.38583333333333
HIST1H2AB	-0.624333333333333
POLH	0.419
MGC16703	-1.12066666666667
SNAPC2	-0.221
FILIP1L	0.1165
RASGRP4	0.2665
LRRC1	1.0685
GAS1	-0.50025
PRAC	-1.1355
DGKA	-0.239
NT5C3	-1.105
PEG3	-4.505
NADK	-1.58475
PRR17	0.05875
LOC374569	-0.45075
SGSH	-0.2195
NLRP8	0.41
GALT	-0.4447
MCF2	-0.609
ZNF263	-0.03525
TACSTD1	2.48666666666667
TYR	-6.702
ATP6AP2	-0.1165
RNUXA	0.18475
ABHD10	0.2581
GDPD2	-1.4675
SLC35C1	-0.2055
UBE2A	0.869375
HERC5	2.243
FAM112B	-5.14766666666667
FBXL16	0.38425
DKFZP434A0131	-0.6885
ELA3A	-2.2135
RBM41	-0.651125
HAO2	0.70375
RNH1	-0.239125
SHANK2	1.92016666666667
OSBP2	-0.218625
DAK	-1.0725
C3orf58	4.44425
TCL1B	-0.6875
KBTBD2	-0.398875
SUGT1L1	-0.6585
UBE2E2	-1.73716666666667
MYL9	1.435875
CDC23	-0.035
PBXIP1	1.9847
CXorf40B	0.2125
NBL1	-1.1075
RTBDN	0.346
RAB11FIP5	-0.21725
TTTY13	-0.2665
SCOTIN	-1.30183333333333
SOHLH1	-0.700833333333333
CDKN1A	-0.102642857142857
NCK1	0.27075
ZNF550	-1.29775
SAPS3	0.465083333333333
SPIN3	-0.205
MAGEE2	-0.08725
MIS12	-0.565666666666667
OR8H2	0.3585
KIAA0774	0.1578
UNC5D	-1.4385
CUL7	-0.505
LIPC	-4.5775
DIO1	3.79775
C20orf11	-0.1521
CTRL	-1.02775
HS3ST2	2.802
PAK4	1.593
CCRL1	1.614
RNF10	0.498375
ZNF567	1.126
ZNF660	-0.3805
TCEAL3	0.31375
MAGOH	0.9255
CENPB	0.298666666666667
C19orf7	0.865375
LOC388965	-0.38975
ZCCHC13	-0.0515
JMJD1A	-1.2155
HIST1H4H	-0.8365
TBRG1	-1.376
GPC3	-4.57525
TAF1C	-0.143125
EBNA1BP2	0.1275
CIAPIN1	-0.21125
PDGFRA	-1.66361111111111
CSTB	-0.038875
CENPI	-0.2335
GTF2E2	-0.348666666666667
RPP21	0.7245
CCNF	-0.2835
KCNQ3	2.0985
FAM79A	-0.25275
SLC22A12	0.559
NOVA1	-1.27916666666667
FZD3	2.3569
AKAP8	0.2235
SOCS5	0.11225
CFDP1	0.07375
DLG5	0.82925
PGM5	-0.0303333333333333
C1orf144	-0.256666666666667
HDAC10	-1.602
RND2	0.283
C20orf199	-1.02775
RNMT	-0.474875
SLURP1	2.73125
ASTN1	-0.7655
SH3BGR	-0.29175
MYCL1	1.23275
ZHX1	1.03266666666667
CENPK	-2.395
FOSB	0.1801
LOC643406	1.26175
C2orf59	-2.735
TMEM135	-0.899125
SLC27A2	-3.92675
KRT33A	0.8575
OVOL1	2.27275
PAMCI	-2.78733333333333
S100A7	0.6875
ZNF789	-0.7905
HARS2	0.3845
RPL23A	-0.964
TCF23	0.526
UPF3B	-0.4005
C17orf78	0.344
HLA-DOB	0.345833333333333
C14orf142	-0.7295
TEKT5	-0.552166666666667
DMWD	0.3045
POLD1	-0.765833333333333
GSCL	0.4255
CALD1	0.3795
SCRT1	0.3645
AIG1	1.56775
UNC84B	1.1695
ZNF404	-0.46725
TMED6	-3.993
KIAA1462	-0.132
LRRC27	1.39933333333333
PYGO1	1.0925
PIGU	-0.627166666666667
ALAS2	-4.15933333333333
WRNIP1	0.9205
CNNM3	0.8095
ZNF2	0.80825
ST3GAL5	-1.11333333333333
MRPL23	0.56475
TSSK6	-0.45975
PSMA6	-0.1885
C16orf70	-0.47475
KIAA1602	0.3015
ALMS1	0.927833333333333
DCN	-1.0445
TMEM132D	-1.06575
SUCLG2	-1.272
ABHD14A	-0.377
DEXI	-0.127
AMPD2	-2.01366666666667
IFNAR2	-0.7405
CYB5A	-0.0725
TLOC1	0.57275
NXF5	-0.470333333333333
NRBF2	-0.165125
KCTD3	0.93775
ITGAE	-0.902833333333333
SLC30A3	-1.83483333333333
ZRF1	-0.455
IFRD2	-0.8335
XAB1	0.107
PYCR2	-0.656833333333333
SERPINB3	-4.5425
TMLHE	0.0366
GEFT	-1.145
ABCA5	1.23475
EMR4	0.382166666666667
TSFM	-0.2795
HIST3H2BB	-1.16875
ARHGEF19	1.8575
TSPAN17	-0.334333333333333
ABCC8	-1.28425
MAP1S	0.914333333333333
C22orf36	1.95525
BNC2	-2.05257142857143
HIST1H4A	-0.1815
NDUFS3	-0.3175
WDR3	-0.554
XKR4	-1.0155
TTC33	-0.0472142857142857
STMN2	3.63175
CPN2	-0.7365
HSPC105	1.833625
PCOLCE2	-4.82775
C3orf55	2.649
KLHDC9	1.37966666666667
TBC1D23	1.069375
ATXN2L	-0.747583333333333
MAP2K3	-1.16166666666667
SCAP	-0.37
ZNF486	0.456833333333333
C20orf96	0.6325
NARS	-0.04225
ADAMTSL1	-0.972285714285714
PRCC	1.74583333333333
CCDC126	1.102
ZNF675	0.10675
CALCOCO1	0.78175
ANKRD43	1.224
CWF19L2	-0.453
ZBTB32	0.2745
BRAF	0.337
ODF4	0.4975
MGC14376	-1.16033333333333
HORMAD1	5.63716666666667
AAK1	-0.098
PEBP1	0.883333333333333
TNFSF5IP1	0.2775
DKFZp564N2472	0.76175
RMND1	-0.89425
IGKV1-5	3.60375
COL1A2	0.5685
SERPINA5	-4.719125
AANAT	0.693
C19orf21	-2.24216666666667
GEMIN5	0.4435
UBR4	-0.993833333333333
LTBP3	0.629
AMHR2	-2.8715
PROCR	-2.171
MYBBP1A	-1.37725
C20orf39	-1.54233333333333
ZNF697	-0.66875
PASK	-0.337
ZNF776	0.0361666666666667
RFXDC2	-0.96075
KIAA0467	1.23425
C10orf96	-2.25025
ZNF503	0.08025
GULP1	-2.22491666666667
KCNE4	-0.9265
DKFZp434K191	0.460125
LOC196913	0.1845
BHLHB4	0.4705
CH25H	-2.8885
LOC81691	-1.01683333333333
ALPL	-0.0409285714285714
COL12A1	-0.10075
FOLR3	-1.69983333333333
GPR123	-0.252125
TRIM62	-0.0916428571428572
ABLIM1	-0.440833333333333
MAST3	-0.47075
RHBDD1	0.0458333333333333
LOC338809	0.4385
RYBP	1.292
TTC26	0.54575
ZNF22	0.582666666666667
ISCA2	-1.3545
RDM1	-1.20175
PIGM	1.2385
GNB3	-1.568
ACTR2	-0.0112
HMGB1	1.31345
EDG1	2.42016666666667
SOAT2	-3.84925
OR10AD1	0.343
RAP1GDS1	-0.167916666666667
LCE1F	0.9305
ESM1	-2.209375
RCN3	2.715
CREBL1	-0.276
DBNL	-0.623333333333333
PTGER3	-0.0445
USP30	1.01066666666667
BCL2L12	0.348
KIF26B	1.614
ZNF416	-0.132
ZNF225	-0.174
C17orf70	1.04425
ZNF554	1.283
RAE1	0.178333333333333
TNIK	-2.29933333333333
ACTN3	0.3895
MGC45922	0.4165
CCNA1	-1.1125
RYK	1.614
IL26	-0.0115
LRP3	1.13133333333333
QARS	-1.35225
SOX7	1.24307142857143
BID	0.654125
OR2S2	0.0855
CXCL14	3.76275
C11orf47	-0.1755
MGC29891	0.766833333333333
HSPB8	-1.2508
PRDM14	-1.678
NUFIP2	0.6885
MNAT1	-0.891625
ZDHHC2	-1.777
MBNL2	1.39025
ADD3	-0.697125
CSNK2A1P	-0.721
KLK6	2.74416666666667
TMEM111	-0.5005
KIAA1279	0.7785
NUBP2	0.286
RAB42	-0.4725
ID3	-1.729
TM9SF1	0.091
MDP-1	-0.85775
POU4F2	0.2605
IQCK	1.464
C16orf14	-1.20325
CAPN3	-2.12925
FAM43B	-0.3755
RECQL	-1.13475
AP1G1	0.438285714285714
CTNNBL1	-0.985166666666667
ECHDC1	0.1295
SMARCC1	0.3537
FOXQ1	-1.86925
GNAI3	-0.108833333333333
POLG2	-1.4995
CD4	0.571875
ITLN1	0.0755
EBI2	0.86375
IRF1	-1.6235
PTPRE	0.7251
PTK2B	-1.3715
NXNL2	-1.197
SOX4	3.48111111111111
TSPAN3	-0.0581666666666667
