Hybridization REF	TCGA-AO-A0JG-01A-31R-A084-07
LYRM1	-0.215
DEFB1	2.038
LOC91431	-3.26233333333333
OR7C2	0.998
FAM46B	-1.296375
TMEM18	0.061625
ARHGAP30	2.0055
TMEM86A	2.37575
EPHA2	-0.855
C10orf46	0.3951
TCHH	-0.815833333333333
C3orf30	-0.0458333333333333
LOC285636	-0.0543333333333333
PAIP2	0.61025
CYP2U1	0.583
C12orf34	0.26225
SARS2	-0.4665
ZCWPW1	0.633
SAMD12	1.99875
KIAA1430	0.2945
ACAT1	0.65375
MEOX1	2.38983333333333
ADAMDEC1	5.0595
PHKA2	-0.67675
CARD11	-0.594333333333333
CALML4	-1.4665
TSSC1	-0.587
TMEM45A	-2.12922222222222
MPP7	2.573625
POU1F1	-0.389
SLC2A13	-0.1208
FBN2	-1.042
ZC3H7A	0.0204
LAIR2	-0.272
ST3GAL1	0.5315
LCT	-2.9965
GEMIN8	0.398
KLF16	0.2759
HIF3A	-0.1929
FAM44A	0.990142857142857
AQP10	-1.1339
PLA2G2A	-1.2435
FOLH1	1.52116666666667
C20orf186	-0.2405
MAPKAP1	-0.37075
SPRR2D	-1.52325
UBQLN4	-0.635166666666667
RSHL1	0.137666666666667
PIAS3	0.25825
MRPL24	0.52425
GREB1	-2.210875
FAM27E3	-2.6795
NUP62CL	-0.36025
NEUROG3	0.9875
REEP3	0.6775
MARK1	-0.252125
LMBRD1	0.6035
PRPF19	-2.23
PNMT	-1.2975
CTGLF1	-0.662
SLC25A16	0.07925
EIF2B3	-0.929
RPA2	-0.12125
PAK6	0.481833333333333
CCDC26	-4.302125
SEMA3E	0.93325
MXD4	1.1545
TNFSF10	3.4738
SMARCB1	-0.9295
DTX3L	1.52083333333333
PLA2G4E	-0.938
PPAP2A	1.971
ULK1	0.357083333333333
TAS1R3	-0.163
SLC2A3	-2.63663636363636
ARID3A	-2.286
GNG5	-0.283
ACOX1	1.4064
KIF5B	0.2075
NUP153	-0.07625
MUC7	0.8255
CSDE1	-0.405214285714286
CLPTM1	-0.68775
C3orf23	-0.86075
LRRC17	0.589666666666667
TTYH3	-1.04675
ATP5B	-0.7825
ELF3	1.5011
CPSF3L	-0.804333333333333
ZNF665	0.644666666666667
TLR6	0.2653
GPI	-0.778625
RAD9A	-0.893375
NDST4	-3.78125
AGPAT3	0.167583333333333
MAGI3	2.41883333333333
ADORA2A	0.058875
CACNG7	-0.099
CAMK2D	0.1665
CCHCR1	-0.885
RPS27A	-0.07525
OR10G7	0.286166666666667
GCM2	0.438
FAM135B	0.1206
E2F1	-2.88675
PLCB3	-0.9465
OR2AE1	0.2985
COIL	0.794666666666667
CDC25C	-3.35566666666667
RAB11FIP2	0.534333333333333
TSC2	-0.18575
CTGLF5	-1.014
CCDC108	-0.1037
OR13C4	0.09425
C10orf81	3.75575
PTPRB	2.7935
ACP2	0.25175
LAG3	1.694
MRPL54	0.5265
LOC201175	0.5875
ITGB1BP3	-1.40825
SPTAN1	0.0395
SIPA1L2	-1.06575
RCAN2	-0.224
CDX2	-0.074
ECOP	0.57
ACTR1A	0.250285714285714
PPARG	-0.933333333333333
BBS10	0.609833333333333
TMEM44	-0.9045
BPIL2	0.363
CITED1	-0.7585
IRF6	4.4915
PRDM4	0.490666666666667
RRP9	-1.864
OR10H4	0.27775
IL31RA	-0.86075
GNB1L	-1.247
MYBL2	-3.367
ZNF407	1.457
PPIG	0.4015
TTC18	1.9125
RPSA	-1.0765
MAPT	0.05525
MRE11A	-0.495071428571428
C8orf37	0.0638333333333333
RASGEF1C	-0.053
STBD1	0.3095
CTAG2	-0.883833333333333
MGAT5B	-1.44716666666667
ECM1	-0.413125
RLN1	1.198
PARP14	1.2391875
EPB41L1	0.0892
HOXA3	-0.0534166666666666
MAGEA9	-4.59625
RPS8	-0.0346666666666667
RPS19BP1	-0.96775
FOXJ2	0.699375
C10orf76	0.5495
IL17RE	0.08675
C10orf65	-1.146
ZNF343	0.109333333333333
FBXO33	-0.22725
UHMK1	1.4718
LY6G6C	1.73775
FGF19	-2.36325
C14orf128	-0.717666666666667
IFIT2	3.03675
TIGD1	-0.224
S100G	-0.811
GUCY1B3	2.8725
NR3C1	0.2078
CORO1B	-0.237333333333333
PARP11	0.67575
DNALI1	4.457
OR4N4	0.332125
MAP2K6	-0.1865
FSTL4	1.6885
ANKRD47	1.69925
TMEM171	-1.7345
PNLIP	-0.214
YY1	0.343166666666667
CCDC138	-2.049
AASDHPPT	-0.6894
CKS1B	-1.4359
MCM3	-1.26133333333333
ANAPC7	-0.414833333333333
FAM110A	2.194
CDC37L1	1.10033333333333
THTPA	0.19725
NBPF20	-0.5235
WDR24	0.39975
NPTX2	-2.48425
CBLB	1.40933333333333
CETN1	0.368666666666667
RPUSD1	-0.3865
FAF1	-0.516
CDK6	-2.6027
HMX2	-0.047
CSK	-0.397666666666667
TEAD2	0.47325
SNAP25	-0.987
TUFT1	1.0845
TMTC3	1.11366666666667
LCK	0.163
SGOL1	-2.468
AKTIP	1.416
FURIN	1.18975
SOX12	-0.329166666666667
DEFB103A	-0.41125
RAMP1	-0.76775
KIR3DX1	-0.5965
GAS2L3	-1.0615
PDE8A	-1.0081
EDN3	2.50375
GMIP	1.042
SF3A2	0.8325
FN3KRP	-0.65
SMAD7	1.34875
RHBDD2	0.885
OR11H6	0.07
PPP1R3B	1.7005
C9orf23	0.4235
CADPS	-1.5795
GOLGA8A	-2.299375
TMEM57	0.751
RGL3	-1.374
S100A14	0.016
FGFR2	0.851
XRCC3	-1.457
RTN4RL2	0.29375
MGC3771	0.5255
GH2	0.00050000000000001
BTBD2	-0.15675
LMO2	0.8805
RDBP	-0.04875
ACRBP	-1.6255
AMY2A	3.405
DUOXA1	0.747
PTK7	-0.421
TWF2	-0.4625
FAM80A	-0.68775
TNNI2	-2.54133333333333
GLT25D1	-1.0115
OCC-1	-2.766
CYC1	-0.897666666666667
RPL22	-0.143409090909091
MORN3	0.898666666666667
DISP1	2.52025
PRB2	-0.215
CHUK	-0.00725
HR	-0.471375
CCDC134	-1.11675
DENND4B	-0.833
C14orf130	0.90775
RAB33A	-0.43475
DCST2	0.1605
TNMD	-0.07325
PEX7	0.75
FAM62A	-0.498875
SRD5A2L	1.1085
IL22	-0.08275
RPS26	-1.01283333333333
HOXC5	0.144
SPATA6	0.945
FLJ38482	0.372125
ZNF234	2.0225
C18orf22	0.991
SPATA22	0.59425
THOC1	-0.87975
CYP7B1	3.54025
KCNC3	0.284
C8orf42	-0.435
ALDH1B1	-0.861666666666667
CCDC100	0.5739
ARMC4	0.5445
FAM18B2	-0.436
SLC44A1	0.57075
FBXO17	-1.7965
C6orf107	-0.446
C19orf29	-0.20875
ZC3HAV1L	-0.08775
PARP6	-0.1662
SULT2A1	-4.716
C1orf159	-1.289
TMC1	-0.2615
CHST14	0.358875
GAMT	-0.207666666666667
SMCP	0.213
TSPAN33	0.148583333333333
MIDN	0.515125
NOX4	2.1085
RNASEN	-0.3919
TBX1	-1.09566666666667
SALL2	1.05425
C10orf35	0.7835
CYP2E1	-0.7535
LRFN2	2.88466666666667
ACO1	-0.9005
IQCG	-0.1252
MEGF9	2.45775
TM7SF4	1.47275
PLEKHA1	0.162466666666667
STK33	-2.69475
C1orf210	2.695
SNUPN	0.1359
KIAA0406	-1.1838
C20orf29	0.07425
TMEM55B	0.149
OSTM1	-0.944875
CLCN7	-0.1065
OTP	0.2585
FLJ23049	-0.23025
HEATR4	0.0135
MAP3K10	0.973
PCDHGA9	1.0305
AMDHD2	-0.664
LCTL	-1.622
PDCD2L	-0.421
CABLES2	-0.6085
SLC5A9	-0.63325
CLCA2	-1.49283333333333
MGC16025	-0.386
STRAP	-0.410833333333333
C20orf196	-0.4035
RRBP1	0.346833333333333
NAT13	-0.8345
MAT2B	0.248875
CSNK1D	-0.570333333333333
KIR3DL1	0.50575
PRKAG3	0.5385
ZNF599	1.3775
PRM3	0.4095
PER2	2.3925
ASPHD1	-0.948
PRMT6	-0.04225
KCNE1L	-0.814928571428571
FAM118A	-1.09433333333333
TAF4	0.13575
NDUFB6	-0.08675
TRIM9	-1.00133333333333
PMFBP1	-0.787
KY	0.813
DKFZp762E1312	-3.811
CSMD1	-1.55575
TBP	-0.765833333333333
OR1Q1	0.5065
RETNLB	0.085
HPGD	-0.117571428571429
DNAJC12	4.4105
FKBP1B	-1.96
ANKRD24	0.509
CXXC5	0.83
IL3	0.5665
DRAM	0.7303
PTCH1	-1.059
TP53BP1	0.286
SLC17A7	0.7405
COL25A1	-0.78
AMACR	-0.00266666666666666
RHCG	0.3065
VPS13A	0.5515
FAM55D	0.393
PRPF38B	0.0515833333333333
OSBPL6	-0.44175
PFDN5	0.2931
CMTM6	0.615
KCNK12	-1.98325
RP2	0.0535
C16orf52	-1.7065
PICK1	-0.632
IFNE1	-0.740333333333333
SEMA4B	0.39275
TYRO3	-1.6475
OR12D2	0.556
CSNK1A1	0.94505
FANCF	1.586
LONP2	0.662125
TBL1Y	-0.43125
LDOC1L	-0.1635
CCNC	-1.094
C3orf60	-0.6705
CHKA	-1.7895
UBAP1	0.101
MAP3K1	1.318
ANKRD9	-1.02175
FAM92A1	-2.10766666666667
GAB2	0.474875
AZU1	-0.46275
DIS3	-0.0100833333333333
C21orf109	-0.70475
IQCB1	-0.58025
SPATS2	-0.0491666666666667
EFCAB3	-0.37925
PRB3	-0.121875
FUZ	-0.453333333333333
ZNF813	1.050125
BMPER	-0.840666666666667
HEG1	0.06475
ALS2CR11	-1.607
SURF2	-0.42925
PSMC1	-0.22275
OR2D2	0.15
SLC7A8	2.386
C4orf40	0.16
SPATA7	0.85375
MAZ	-1.155
PIN4	0.93975
PDE1A	0.5235
TAF6L	-0.625666666666667
OR2T34	0.1695
KIAA0284	0.0715
ACADS	0.105909090909091
MKRN2	-0.8395
C18orf56	-3.9555
MS4A6E	0.195166666666667
GALNT4	1.1078
C22orf31	0.771
FLJ36070	0.604
PSME4	-0.06625
TFG	-0.0687
EPHX2	2.38375
ANXA5	0.252125
KRTAP1-1	-0.0258
BATF	2.3385
KARS	-1.3235
MSTP9	-0.3895
GPR26	-0.119
CCDC72	-0.33125
TEF	0.166333333333333
FOXK1	-0.9229
PRLHR	0.575
EMX1	0.21175
C11orf30	0.6765
ICK	1.435375
THSD7B	0.60775
C21orf100	-0.861
DUOX1	1.78
EFCAB4B	0.10675
UBE2G2	-1.31583333333333
C3orf54	0.69525
PARP1	-0.3315
FAM60A	-2.19841666666667
C6orf146	-0.273
OR9K2	0.0415
DDX55	-0.771833333333333
RPS15	0.177333333333333
ZNF618	0.5984375
DKFZp686D0972	0.1715
SSPO	-1.0455
SHFM3P1	0.548166666666667
CPA6	5.21175
JAG2	0.67675
DEFA3	0.192
PPBPL2	0.248
CD34	4.8855
SLCO4A1	-3.395125
AFG3L1	-1.36283333333333
SHD	-0.823
RP13-122B23.3	-0.854
PRKCSH	-1.43383333333333
DPH5	-0.631166666666667
HLA-F	2.512
TBC1D4	-0.94725
RIG	0.1655
GLUD1	0.320166666666667
HNRPCL1	0.35575
HBXIP	0.01225
RNF207	-0.302
APIP	-0.57
PLA2G3	-2.63216666666667
CCDC84	-1.1925
MYLIP	1.06307692307692
PHIP	0.39175
AARS2	-0.154833333333333
DHX32	0.284
SCAPER	1.0535
MEN1	-0.442875
NIP7	-1.36975
FLJ25404	0.499
FASTKD3	-0.53425
TMEM158	-2.54383333333333
RARA	0.66725
BDH1	0.5535
ANKRD16	0.52425
CARM1	-0.364
SS18	0.544166666666667
IKZF2	0.953583333333333
MYD88	0.30275
PML	0.4304
TAF1A	-1.0595
CBFB	-0.820375
HIST1H3H	1.5155
C7orf29	-2.00525
COMMD4	-0.960666666666667
DPP3	-1.68775
DAB2	0.611875
LOC388882	0.0555
YPEL4	-0.05675
AGBL3	0.69975
LRP6	-0.0551
SERPINH1	-0.671083333333333
TLE1	-0.33
CD244	1.57183333333333
ZDHHC15	0.653
MGLL	0.9237
PLDN	-0.0418333333333333
LOC654346	1.2665
FAP	2.5015
GPR37	1.47316666666667
SCARA5	2.04266666666667
EBF4	1.74418181818182
LSM6	-0.41925
MLLT1	-0.0875625
SLC5A12	-0.632
A2BP1	-1.43766666666667
COPS5	-0.726
TPM4	-0.3985
TNFSF4	1.09916666666667
ACADSB	0.673833333333333
HERPUD1	1.064
BCL2L11	0.199888888888889
CEP78	-1.3315
CDCA3	-2.82425
WBSCR19	0.4693
MYO1A	-2.3185
PPEF1	2.51433333333333
LOC440348	-1.2515
CPEB2	1.476625
BPTF	0.761833333333333
RPL21	-0.329875
GSX2	-0.036
ADPRH	1.24283333333333
C17orf68	0.235833333333333
KCNS1	0.0181666666666667
MLLT6	0.0394
PIWIL4	0.67625
RNF26	-1.56475
RAP1B	0.875625
ADAMTS1	-1.5482
ZNF571	2.03375
P2RY6	-0.53275
TRIM21	1.16916666666667
CADM3	0.0105
NLRC5	0.991666666666667
ADRA2B	0.1355
LOC90835	-1.436375
PCF11	0.1115
LOC400451	1.8515
GLTSCR1	0.6704
C17orf88	-0.909666666666667
CDH16	-1.45025
FGF7	1.9295
PCSK4	-0.477833333333333
NPC1L1	-1.12333333333333
TAT	0.410125
TBCA	-0.22675
MGC33407	-0.329
GPR115	-0.697
CYGB	0.5005
FNBP4	-0.667833333333333
C12orf43	-0.328
CBL	-0.6125
CLECL1	1.96225
PPAPDC1A	0.697
WDR25	0.155666666666667
SGCA	1.107
C22orf29	-1.10816666666667
YIPF1	1.756
GALK2	-0.91525
RAB3B	-0.136666666666667
LOC440087	-0.4425
UCP1	0.0135
REEP5	2.378125
FADD	0.7236
FOXA1	3.92525
CACNA1A	0.482333333333333
ABI1	0.683333333333333
GRIN2D	0.9925
SLC1A4	-0.841666666666667
LOC401127	-1.077
HINT2	0.537
PLD4	0.258
ZNF286A	-1.10325
ENY2	-0.72625
IL1F6	0.22
PXDNL	1.7565
C20orf79	-0.692
TNFSF13B	3.414
DENND3	0.45825
JARID1D	-3.33325
HIST1H2AK	1.8855
LOC93349	0.035
SSH1	-0.9883
ENSA	-0.438
LOC219854	-0.418
CKAP2	-1.8791
DKFZP564J102	0.299166666666667
MGC87315	0.475333333333333
HNRPAB	-1.27
AMH	-0.487
ZNF526	0.1185
BRUNOL5	-0.2801
CACNG3	0.218833333333333
TRPM1	-2.087
PPP2R1A	0.011625
COL2A1	-1.42425
DDN	-0.468166666666667
FLJ25770	1.97591666666667
HK2	-0.692785714285714
ELOVL6	-1.574875
MDK	-1.253
EPHX1	0.19125
RASSF2	1.01075
DKFZP434B0335	-0.1095
DLX3	-0.25325
PRTN3	-1.08225
AVPR1A	1.0825
C21orf125	-0.92775
TNFAIP8	-0.00266666666666667
GNB2L1	-0.3905
CALCRL	4.07475
SCGB2A2	8.1525
UBXD7	0.281
ZNF674	0.0235
TMEM35	-0.09975
BRSK2	-0.54575
HECTD3	-0.0153333333333333
TMEM188	0.312
LGALS9	1.7225
SCARB2	1.31975
USP34	-0.176583333333333
C17orf28	2.04916666666667
ZDHHC23	0.03875
AQP12B	0.061
SLC16A3	-3.099
APLP2	0.255125
ITIH2	-5.4895
MICAL3	-0.839125
TNNI3K	1.4749
HDAC2	-0.39525
PRR7	-0.8351
THBS2	-0.683125
LOC751071	-1.66733333333333
CA2	-0.00416666666666666
RANBP17	0.82125
RLN3	-0.16175
CRYZ	0.082
GBAS	0.00216666666666667
TAS1R1	-0.624
MPZL3	0.9205
PCDH8	2.052
HSP90B1	-0.527083333333333
KCNK15	1.7345
TNIP2	-0.0555
GPR146	0.47675
NOL6	-0.274375
SPC25	-3.83844444444444
STEAP2	2.31992857142857
VAMP3	-0.486
TCIRG1	-0.66175
ZP4	-0.323666666666667
PARL	-0.078125
TRIM39	0.391666666666667
KIAA1305	0.7215
CRNN	0.0855
GRN	-0.014
HSH2D	-0.49725
SCAMP1	1.734375
KIAA1913	1.0455
PTS	-0.47875
BANP	0.958071428571429
PRKACG	0.68175
ADCY6	0.279833333333333
C16orf46	0.116
CYP51A1	0.427
DDC	-6.081
ANPEP	-0.141666666666667
PROM1	0.6165
SIGLEC10	2.2985
COPG	0.96
FAM26E	1.360875
TRIP4	0.546
SNX3	0.217166666666667
C1orf175	0.373
PPY2	0.0155
C14orf152	0.113333333333333
FTSJ1	-0.948333333333333
DST	1.32925
LOC554235	0.0255
GLRX5	-0.11575
C20orf12	0.8514
CAB39	0.284833333333333
MSH2	-1.08133333333333
PIP4K2C	1.414125
CYLD	1.27575
WTAP	0.0944375
MGAT4A	2.50077777777778
TSC22D4	-0.0246
CHRM2	-0.6565
PPYR1	-0.0643333333333333
CCNH	0.529166666666667
RRM1	-1.081
ECAT8	-3.08625
LOC400120	0.21475
GABRA4	0.207625
C14orf4	1.69733333333333
C1orf59	-1.93875
CTDSPL	0.0505833333333333
NHEDC2	-1.5845
PDE11A	0.6314375
KLHL29	-0.2915
CD5	0.9991
TSPAN9	1.2865625
WDR67	-1.084
THUMPD1	0.3923
C18orf17	0.59975
CLYBL	0.0415
FLJ13231	-0.237125
CMBL	0.862125
LECT2	0.28725
NKAPL	1.69416666666667
LOC654780	0.64
OR4C6	0.2975
RAB30	-0.438
TSSK4	-0.2715
TMEM163	0.9495
OSBPL11	0.575083333333333
GNB5	-0.405
CCL21	2.05125
C1orf121	-0.0965
FMO2	2.74266666666667
RPTN	0.6305
MSTN	0.5105
VCL	-0.319928571428571
FYTTD1	0.1815
C11orf1	0.0095
CCDC88C	0.9675625
HFE	-0.556666666666667
MOGAT1	-0.3205
FAM125B	0.774
IRGQ	0.2755
RAVER2	1.34175
AKAP5	1.189
SSSCA1	-1.199
C11orf63	1.302875
ACTG2	2.0171
PORCN	-1.346
DTL	-2.67290909090909
TMEM151	0.6825
FAM122C	0.23075
RSAD2	2.582
BAT4	1.076
KRTDAP	-2.04833333333333
MYH8	0.269625
CRTC3	0.8275
LRRFIP2	-0.1918
INTS4	2.53566666666667
TTN	-0.772833333333333
SLC26A5	0.8535
PLLP	-0.58475
RGS6	-0.76725
SRGAP3	1.537125
ZNF525	0.511
NBR2	-1.31266666666667
C13orf1	0.0327
ZNF137	0.678
CEP27	-1.6035
BEST2	-0.026
RNF121	-1.665
DMRTC2	-0.0896666666666667
C8orf76	-0.6035
BCCIP	-0.5955
MEST	-1.016
HTRA2	-0.179
ANGPTL2	0.70075
ILKAP	-0.109833333333333
ERAS	-0.128
HBS1L	-0.587625
CPA5	0.343
TMEM30A	0.213
CD300LF	1.84533333333333
WISP3	1.01
CRK	0.5995
PDS5A	-0.0958
BRPF3	-0.124
NEDD9	0.56125
SMPDL3B	2.017
PSG6	-0.33975
PSMD13	-0.197
ETV5	-1.9618125
OR51A4	0.1285
BTBD7	0.961166666666667
GSTO1	-0.808625
hCG_16001	0.19
MAD2L1BP	1.254
COX6A2	1.0835
SCNN1A	2.691
LSM1	-0.482166666666667
UGT2B11	-0.379
IDUA	0.68375
PPP2R3C	-0.219666666666667
COX11	-0.749666666666667
PDZK1	-1.93275
ZNF443	1.25783333333333
MGC21874	1.84033333333333
ZNF323	1.9996
KRTAP10-10	-0.0105
CXCL6	-0.29475
SLC34A2	1.5465
LOC284402	0.0505
NPTN	0.93375
UPP1	-1.97783333333333
SLC6A9	-0.515
OR7G3	-0.01575
CISD1	-2.07766666666667
ZNF545	0.428666666666667
SYT14	-0.9965
NT5C3L	-0.730166666666667
ZNHIT3	-0.683833333333333
SNRPD3	-0.68575
KIAA0701	0.226375
UNC93B1	-0.651666666666667
GMNN	-2.182125
SPCS2	-0.341166666666667
LOC388524	-1.0915
NAPRT1	0.366
PNLIPRP1	-0.0515
OR6V1	0.384
PRKAB1	-0.18925
EYA4	-3.74983333333333
KIF20A	-3.69775
ALG10	-0.25425
ITPKC	0.8535
LMX1B	1.00016666666667
RPUSD4	-0.984
C7orf34	0.0603333333333333
DLGAP2	0.5515
PFN1	-0.4757
MICALL2	0.18125
ZNF654	0.1955
SS18L1	-0.586625
SLC16A8	0.445
MKI67IP	0.0993333333333333
ITGB3	-1.15575
TCEA3	2.75008333333333
CEP152	-2.2895
CLIP1	0.768625
ZNF75	1.05025
ATP5C1	-0.402166666666667
NUDT5	-0.725166666666667
PSCDBP	1.621
UBP1	-1.04325
RBM27	0.11975
C13orf15	2.752625
ZNF282	-0.0376666666666667
ZNF222	0.149
COL10A1	5.91075
PRDM15	-0.49225
TTTY5	-0.347
FAM9C	-0.43325
C20orf67	-0.3685
GNG13	2.1445
F12	-0.65525
C1orf41	-1.13525
CPXCR1	-0.141
GSK3A	0.176
SUPT6H	0.00666666666666667
PI16	2.4985
ELL2	-0.726
C9orf167	-1.617
PVRL3	-1.791
FLJ38596	0.3055
ADAM20	0.81375
GPR89A	1.053
GPR87	-0.948
ZNF30	1.59625
SMR3B	2.42
ZNF770	0.68375
TRPC4AP	-0.407166666666667
DKFZP686E2158	0.207166666666667
C2orf28	0.4375
FREM1	0.00616666666666667
LAMA4	0.851
ADPRHL2	-0.147
EIF4G2	0.516333333333333
GUCA1A	-0.3225
CTNNA2	-0.9375
NUDT15	-1.4295
CEPT1	0.347833333333333
ZNFX1	0.6594
CCDC92	0.585
TDRD1	-1.158
KCNK5	-1.372
ETNK1	0.441583333333333
LTA	0.5055
TTPA	-0.198666666666667
B3GALNT2	0.08225
SC65	-0.949166666666667
PEX5L	-0.62975
EPS15L1	-0.1525
MGEA5	0.660875
HIST1H3A	1.13475
ING1	0.39575
BCAT1	-3.76175
ORC6L	-4.14490909090909
KLK11	-4.84783333333333
C19orf28	-2.08725
DNER	-4.481125
MED22	-0.970071428571429
ETV6	1.2225
CHAC2	-2.1165
CD300E	-0.15
CEBPB	-0.526833333333333
ZNF398	0.091
LRCH3	0.1045
HMGA1	-1.71083333333333
CAPN7	-0.266333333333333
MGC5566	-2.54025
CCL3	3.00875
NANOS1	-1.285
ZFYVE19	-0.05825
APITD1	-1.67733333333333
PARD3	1.01625
IRAK4	0.121333333333333
SERPINI2	-0.076
CEP170L	-0.25175
TTC9	3.143625
MYOM3	-1.33375
MLPH	2.3495
LOC222699	0.069
NRG1	-1.25041666666667
TBC1D9	5.20754545454545
TTK	-4.00316666666667
ZNF557	1.0802
DDX41	-0.533166666666667
FANK1	1.2475
UBE2D2	0.11525
PSMB10	0.7025
MYH7B	-0.1105
GABARAPL2	1.068125
MARVELD2	2.62916666666667
DGCR2	0.511833333333333
UNC45A	-0.179
C6orf72	0.3985
ZNF683	5.02
GIT2	0.576
CASK	0.698
C14orf161	1.53633333333333
LRRC44	1.22
TIFA	0.1785
UTP11L	-0.2335
C6orf65	-0.33475
FDPS	-0.54775
DUSP9	-2.2439
SLC17A8	0.660333333333333
OR51G1	0.322666666666667
NANS	-0.09675
OLFML1	1.977
ATP10B	-1.22025
NPAS3	3.0155
PRKCA	-2.2489
GGA2	-0.04625
LCE4A	0.478
SPANXN3	-0.3345
CCDC115	1.506
SDCCAG3	-1.0395
GLIPR1L1	0.15275
TTC1	-0.11925
C17orf76	0.421
MAD2L2	-2.4505
HIPK1	0.5649
LRRC3B	0.985833333333333
CLN3	-0.784818181818182
C17orf47	0.024
FMN2	-2.396
TUBB1	-1.543625
WAPAL	0.501166666666667
C3orf21	-0.87
SCN5A	-0.4793
SMYD1	1.957
BEX5	2.823
ZNF192	0.055
SEC22A	0.285833333333333
GRIA2	6.3195
KIAA0825	-1.312
NUSAP1	-3.62518181818182
LANCL1	-0.0695
C15orf40	-0.5555
ZNF645	0.15125
GPR61	0.14425
NLRP14	0.194
SNX21	-0.1501
C1QTNF8	-0.5945
C17orf46	0.36925
IFNA8	-0.04
SPRR1B	-1.78133333333333
FLRT1	-1.072
SNX17	-0.324166666666667
ASB2	0.556
HBG1	-5.604
RPRML	-1.8235
JOSD2	-0.109666666666667
PLSCR3	0.16575
SPOCD1	-1.24833333333333
RAB39	-0.381
GHRH	0.774666666666667
ITIH5L	1.5995
C17orf37	0.1275
SMCR8	-0.03725
DPY19L2P3	0.542333333333333
IL11RA	0.743666666666667
GDF3	-3.9685
RPS6KB1	0.8235
DNAJC19	0.3702
TOP1	-0.145
CRCT1	-0.4115
MPST	-0.344375
DPM2	-0.416625
FAM38B	-0.941333333333333
SLC18A1	-2.51016666666667
FARP1	0.143
PAX7	-0.124
TUBD1	0.4455
GNL3	-1.21525
BTG2	2.06926666666667
NDUFS6	-0.398
C1orf79	-1.49475
ERAL1	-0.69875
ECHS1	0.44075
VPS4A	-0.00250000000000001
CYP11A1	-0.716625
ABCC6	0.432285714285714
PBX4	-1.662
MOSC1	-0.915125
NCF4	0.55975
HYMAI	0.5365
NAGPA	-0.2305
OTOP2	0.14725
ACOT12	-0.20075
MTHFD2L	0.596375
LOC441376	5.22
C19orf34	-0.1555
RAB1B	-0.3615
ALDOAP2	-1.606
NTRK1	-1.76366666666667
ARTS-1	1.262
SLC6A11	-0.7175
NAP1L2	-0.26825
CNGB1	-0.168166666666667
EPB41L4B	0.891
FAM134B	3.62625
HS3ST3A1	-2.07533333333333
CPXM2	5.16025
SIRPB2	-0.5275
CHORDC1	-1.5485
TRIB3	-1.47566666666667
SLC2A5	0.2585
C2orf49	-0.828333333333333
DDX5	1.21
OR5L1	0.584
ANAPC4	0.115666666666667
ZSWIM1	0.51325
LOC93622	0.117125
KCNK3	-0.2939
RP11-35N6.1	-1.677375
ZFP161	0.4475
AQP9	0.83
SLC15A2	-0.411333333333333
MREG	0.532
OR9I1	-0.1725
PDLIM2	0.73
ADAM7	-0.5385
GSTCD	-0.0836666666666667
WDR21A	-0.343125
SLC12A8	1.48066666666667
TMEM174	0.07175
IGSF3	0.652666666666667
LRRN1	-0.4505
LOC402117	-0.35475
SRPK1	-2.11383333333333
LY6K	-2.093
NFIA	2.5935
PTCD3	-0.411
LEP	2.37733333333333
PCDH21	-0.363
MAPKAPK2	0.838142857142857
NMNAT1	-1.651
LHFPL2	0.358375
C9orf43	0.28925
DIP2A	-0.57
ACTR8	0.3965
CCDC34	-0.63525
PTPN22	0.010375
ITGA3	0.126625
FAM129C	1.39925
RABGGTA	0.397166666666667
UNC45B	1.541
KIAA1033	0.2635
ZNF510	0.4975
CYP2D6	-1.009
SLC26A10	-1.571
STX8	-0.12475
LUZP1	-0.229625
WDR89	0.190666666666667
EIF4G3	-0.4387
C5AR1	0.675125
ZNF623	0.355
A2M	1.54475
TGM7	0.3705
GRPEL1	-0.0218333333333333
LMNB2	-2.0607
ROCK2	-0.487666666666667
SNX16	0.109
CCDC66	-0.03975
ANXA3	2.37275
KIAA1609	-0.366875
EED	-0.74775
RNF32	0.545166666666667
HES1	1.6197
CLC	0.286666666666667
ISL1	-0.517333333333333
KIAA0528	0.352375
MANEA	0.46825
C1orf61	-1.2335
hCG_2001000	0.435
RAPGEF6	0.5311
KIAA0020	-0.807833333333333
NEIL1	0.52775
C16orf45	-0.088875
RBM10	-0.167666666666667
C10orf125	-0.71375
MRS2L	-0.32475
DNAH17	-0.901125
C19orf10	-0.85725
C1orf160	0.21675
SLFN12	0.66625
EXOC3	-0.413
HIST3H3	1.30775
NCOR2	1.06766666666667
TNFRSF9	1.1325
MFSD8	0.41225
ALX1	-3.87916666666667
NOL1	-1.4015
PODN	3.101
TIAL1	-0.79025
HIST1H1E	1.6645
NPY6R	0.2905
TM4SF4	0.9165
CORO2A	-0.414
ETNK2	1.115
APOE	0.581
ANGPT4	0.4485
HDGF2	-0.84525
G30	0.848
ST8SIA4	0.244125
F2RL1	-0.515375
FAM19A4	-3.12025
CCAR1	-0.38425
B3GNT7	0.21225
OPHN1	-0.0542
DSCR6	-1.5675
C21orf13	1.54166666666667
GAS2L1	-0.04775
RFX3	0.0985
COPS4	0.507125
BCHE	-3.465
BCL2	3.85525
HBZ	-3.0175
ARL13B	0.27525
MAPBPIP	1.024125
