Hybridization REF	TCGA-AQ-A04L-01B-21R-A10J-07
RRH	0.5285
CDR2L	1.2545
PDZD7	-0.681
SLC19A1	-1.0345
C1orf217	-1.151
LIMS1	1.38325
FAM89A	-1.75425
MFAP3L	-0.0524
PIK3CD	0.152642857142857
DERL2	0.824
FHL5	0.55825
ACAN	1.81625
BRWD2	4.43683333333333
TINAGL1	-0.170666666666667
DCUN1D2	0.254125
C3orf36	0.439
MGC10850	-0.6165
hCG_31916	1.04075
FHAD1	0.4665
LCE1C	0.5205
ARPC1A	0.132833333333333
CHST2	-1.31825
SPATA2	1.62725
PGLYRP4	-0.694666666666667
RUFY1	-0.69
TXNDC12	0.327
RPS4Y1	-6.14825
TNFRSF8	-2.10716666666667
PTGIR	1.80533333333333
FOXE3	0.338
ART4	-2.3065
ZC3H12C	0.1095
KIAA1841	-0.54075
EVX1	1.33
WDR38	0.597
LOC402057	0.167
ACAA2	-1.08525
GLCE	-0.126
GPR18	0.7735
HIST1H2AG	0.194
PIGK	0.903125
C16orf67	-0.709333333333333
DAG1	0.229875
OR4D2	0.37
C21orf81	-1.65325
PLOD2	-0.556666666666667
TTC27	-0.1625
TSPAN2	-0.0338333333333333
PI3	1.485
ZFAND6	0.07125
C6orf57	-1.02575
NUF2	-2.9205
ARID2	-0.53525
RCC1	0.821
CD86	1.48033333333333
FAM91A1	0.42425
CALM2	0.596833333333333
GYG2	-0.016
PARS2	0.661333333333333
INTS12	-0.26275
CTSF	2.435
BNIPL	0.3355
GNA13	-0.21025
HUNK	0.14225
ZBTB4	0.81475
B4GALT4	0.577625
CHD1L	-2.483875
MSTO1	-0.316333333333333
FUT8	-0.938538461538461
AGA	1.55825
TRMT11	-0.51
WWP1	2.20966666666667
B9D2	0.227166666666667
STAT1	0.647375
PTTG1	-3.251
TMEM62	3.305
SSBP2	-1.7655
MRFAP1	-0.402833333333333
NME4	-0.111875
LOC55565	0.526333333333333
DLL4	1.78025
MYOCD	0.0271666666666667
HTR3D	0.2805
C9orf156	-0.43175
CHMP4C	1.3695
PROCA1	-2.092
GCDH	0.3625
APOF	0.793833333333333
WEE1	1.82066666666667
SSR4	0.15925
RGS1	6.4225
ACCN4	-1.78833333333333
FLJ20489	0.279375
ZNF215	-2.421
AGPAT6	-0.154
PDE7B	-1.07375
BBX	0.489625
MS4A3	-4.017
OR4A16	0.2795
EFEMP1	0.274125
TULP2	-0.715
RERE	1.288625
BNC1	-3.07725
PIGB	0.2765
COMMD8	0.19325
TRIP11	0.0161666666666667
FLJ40142	-1.22825
PCDHB6	-0.0995
FKBP8	0.137333333333333
FLJ12716	0.2491
POT1	-1.11516666666667
KIAA1109	1.313
PTPRC	0.0655
UNQ9391	0.416
CCT7	-0.813833333333333
EEF1A2	0.872
MIPEP	-0.13525
ZFX	0.647
UCHL3	-0.313625
LOC388419	-0.0865
GSG1L	-0.512666666666667
RAB24	-0.601833333333333
SLA2	-1.16925
SDS	3.30266666666667
LYPLA3	0.117
CASQ1	1.60525
SLC25A40	-0.844666666666667
IRAK1BP1	0.053
ACOT6	-0.21825
COL9A3	-0.61475
ASB11	0.1045
C2orf18	0.637166666666667
FOXD2	-0.16075
C6orf211	1.61225
OR8G1	-0.0406666666666667
MDGA1	1.0525
ADARB1	-1.49925
GGT1	3.0155
WNT1	0.1226
DBP	-0.0515
COL5A3	2.0035
RHOD	1.604
COL4A2	1.5545
LOC201164	0.65125
HEBP1	0.65275
LUM	2.34716666666667
ZCCHC6	0.1445
PAGE1	-3.40783333333333
DTX2	0.2675
SLC7A13	1.259
H3F3A	0.1735
RABIF	-0.11975
D4S234E	-3.14266666666667
DYRK3	0.167666666666667
PFAS	-1.96366666666667
ALOXE3	0.166833333333333
RPLP0	0.966357142857143
RBM34	-0.727
C12orf28	1.6345
U2AF2	-0.0455
MKNK2	1.3456875
SEC16A	1.42691666666667
ZNF44	0.0712
YWHAG	-0.691875
IGF2BP2	-3.06966666666667
OR1D5	0.1125
SIX6	-2.56075
CCR6	-2.2515
PALM	-0.5105
PUM2	0.411071428571429
SPRYD5	-1.993
ALG10B	0.352625
ZNF365	1.25375
PHC1	-1.68
KIAA0913	0.227
ARX	0.141125
PPP3CB	1.19733333333333
IRX6	0.1476
ANGPTL4	-1.487
LSM14B	0.0999
PCDHGB7	0.178
INSM1	-1.17633333333333
WBP2NL	0.6485
ZNF493	-0.5245
NGEF	-0.22975
RNASE13	0.517
SPPL2A	0.032
SFXN1	-2.16325
FAM102A	1.731
SAPS2	0.519833333333333
JTV1	-1.8285
OR51B4	-1.1825
SCGB1A1	0.390333333333333
NEUROD2	0.211125
tAKR	0.26175
C1orf26	0.28975
RICH2	2.37825
TEDDM1	-0.08325
CYP2S1	-0.8725
TBCE	-1.01116666666667
MAPK1	-1.028
HDHD1A	-1.84375
MRM1	-2.0925
ATP9A	-0.0158571428571429
HSD17B3	-0.1415
HN1L	0.363
RNF216	-0.79875
HOXD12	-0.064
PPP1R14B	-0.422375
SBF1	0.05125
TAS2R42	0.4555
USP46	-0.0708333333333333
LILRB3	2.792
SPI1	1.1025
OXSM	-0.2275
GYS2	-0.108166666666667
NUPL2	2.53425
C8orf46	-1.445375
SF3A1	-0.1412
C21orf99	1.9805
HOXB4	-0.1125
YRDC	0.25825
GPRC5D	0.4415
BLVRA	-0.55625
KIF12	3.1895
LRRC23	1.03125
FAM14A	-0.3085
RASL12	1.214625
DAZAP2	0.45925
IKBKB	0.0747857142857143
ZNF271	0.4445
BOK	1.258
CXorf6	-0.887
MYEOV	-2.36825
BTN2A2	-1.0468
FRG1	-0.581
HSP90AB6P	-1.02675
ENOX1	1.03116666666667
ZNF706	0.436
DOK1	-0.1893
PGAP1	-1.420375
TMEM136	-0.86725
FSCN1	-1.705
KIF17	-0.309
TRIM66	-0.0765
CBR3	1.84716666666667
C13orf24	-0.703
C19orf52	-0.069
BNIP1	-0.17625
AQP3	-2.87225
KRT6C	-2.83866666666667
SIRPA	-0.267916666666667
IGFBP6	-1.21916666666667
PLEKHK1	-0.367375
RNASE7	0.048
ARHGEF15	0.53225
NPHS2	0.3965
SRD5A1	0.87625
REXO4	-0.59925
EEF1DP3	1.0925
SLC37A2	0.171
ZNF142	0.26425
ANKHD1	-1.0045
MUT	0.765
VPS37A	-1.5025
GPRIN1	-0.77875
SLC38A3	-1.212875
BAZ2B	0.917
WDR87	0.481
BRD7	-0.08125
POU6F2	-1.0535
NISCH	-0.108625
TCEB1	-0.458
LINGO2	-2.7195
TAX1BP3	0.4005
RPL34	-0.715444444444444
MARK2	1.012
AKAP12	-1.4966
AMBN	0.338
SLC25A27	-2.494
FLJ21865	-0.069125
KIR2DS2	0.178
WDR77	-0.4615
ATF2	-0.552916666666667
ITFG3	-0.232833333333333
SLC39A13	1.18925
ARL6IP5	0.776375
C10orf137	-0.7945
QTRT1	0.28
CCNT1	-0.05425
DYNLL1	-0.1998
WDR53	0.05125
LIPG	-1.109
ASAH3	0.6925
HELB	-0.7155
PHACTR2	-0.117625
VENTX	0.16325
LAD1	2.1985
PAOX	1.72175
MAPK8	0.2225
CCDC38	0.33325
DNAJC8	0.1134
RBBP8	-0.7665
WNT11	-0.7352
KCNJ12	-1.39016666666667
HDAC8	-0.686
STARD4	-1.8995
ACVR1	0.972166666666667
C14orf65	0.431166666666667
KLB	-2.751
C1orf65	0.08525
ZFYVE28	-0.32025
NSUN6	0.54175
KIF27	0.616166666666667
SYTL2	-0.746833333333333
UBXD2	0.4659
OR6T1	0.432
CCDC91	1.21378571428571
GRID2	0.3195
CALN1	-0.983125
ZNF423	-0.5105
PSMB4	-0.833
XPNPEP3	0.659166666666667
ARPP-21	-2.9719
SART1	-0.236
RACGAP1P	-2.2925
SPTA1	-5.0475
C6orf113	-0.646666666666667
C7orf16	-2.18525
CHST7	-1.14583333333333
C21orf29	-0.694333333333333
SEMA6D	-1.463875
PCMTD1	0.991875
KIAA1754	-0.473833333333333
MYCN	-0.00375
KCNJ3	-0.91525
MAPK13	1.9411
ERO1LB	0.92875
NTF3	-0.767
NKX6-2	-0.5205
GTF2B	-0.1845
GSPT1	-0.964
GUSB	0.0848333333333333
LOC221091	-1.047
LIG1	-1.83975
EXTL3	-0.878166666666667
NID2	-0.4435
TTC29	0.20875
TMEM97	-0.8315
EXTL2	-0.164
SUZ12	-0.566375
IL1F8	-0.029
KRT18	-0.624
MRPS16	0.475666666666667
PI4K2B	-0.32925
LACRT	0.5495
OR51F2	0.3405
JMJD2C	-0.138625
KGFLP1	1.48575
CDK5RAP3	-0.4424
YTHDF2	0.392666666666667
GGCX	1.690875
ARPC4	0.127
EGLN2	-0.340166666666667
KBTBD4	0.613142857142857
ROBO3	-0.6755
DEFB118	-0.056
KIAA1543	0.3245
RTCD1	-0.0108333333333333
MZF1	-0.08475
C18orf26	0.0585
CNIH4	0.413166666666667
ZFP2	0.666333333333333
HTATSF1	-0.29075
WFDC2	4.162
NDUFA7	-0.3095
TTC22	0.664333333333333
FAM40B	-2.6105
DCPS	-1.258
SH2D1B	-1.14266666666667
MRGPRE	0.411
SBK1	0.50025
UNQ6411	-0.032
OSBPL9	-0.55125
NUP107	-1.4715
MYOZ3	-0.0326
PDE4B	1.05466666666667
FAM113A	-0.711
IDH3G	0.325666666666667
FBXL7	-0.283
ARFGAP3	0.99775
MAPRE2	-1.61684615384615
IL1RN	-0.223
KIF13A	0.11675
RAC3	0.579
TCTE1	0.0345
TMEM14B	-1.54916666666667
ADIPOR1	0.272166666666667
GRINA	1.4425
CLIP4	-1.5075
LRIT2	0.2865
TFPI	-3.4855
FABP6	-0.855
SLITRK2	-0.4563
HKR1	0.93025
SMTN	0.85825
C1orf75	-1.27625
CD209	0.383875
CYB5R2	1.7665
DNTTIP2	-0.0055
CSGlcA-T	0.8975
GABRB3	-2.3275
PCBD1	0.989833333333333
TAF3	-0.0794166666666666
HOXD3	-0.270666666666667
GIPC3	0.170833333333333
P11	1.4929
BFSP1	0.513
LCP2	0.08225
TAS2R8	-0.1555
SEZ6L	-0.97625
NR2C1	-1.7645
EXDL2	0.2588
TNFRSF13B	-2.119
MKI67	-2.571
GLS	-1.16825
C7orf54	-0.6388
LGALS13	0.0448333333333333
IL4R	-0.485
SEC11A	0.0443333333333333
SPP2	0.1745
C18orf32	0.52125
CLSPN	-1.8425
SPAG1	1.130875
C9orf82	-0.789
TM4SF1	0.712
EMILIN2	0.5995
SMG7	-0.259
TAS2R13	0.345
ZNF628	0.6265
DZIP1L	-0.252333333333333
ANKRD13A	-0.0088
VASP	0.067125
ZCCHC11	-0.236625
SYPL1	-0.188
MGC34774	0.0615
C4orf28	-0.7645
KIAA1211	-0.887
RPS27L	-0.63125
TATDN3	-0.9435
PDCD1	-0.63625
OR5P2	0.5025
IFIT1L	-0.088
MIPOL1	1.46875
OR51D1	0.12775
C1orf92	-0.6915
LAMP2	1.18605555555556
CAT	-0.162666666666667
C16orf80	-0.81975
C15orf32	0.2565
ZNF746	-0.199
C1orf76	-0.8325
ATXN1	0.474
LAMC2	-0.576625
SLC2A7	-0.3565
CPOX	-1.70375
APH1B	1.6725
LOC442245	-0.8615
CTNND1	1.28
GABRG2	-0.618
MADCAM1	0.0598333333333333
F5	-1.405
SEMA4F	-0.942666666666667
NUDCD3	-0.23375
PDZD11	-0.126
TRIML1	0.4765
GCNT3	2.96366666666667
TMEM120A	1.3635
CNDP1	0.685
N4BP1	0.665625
SLC35F2	0.111875
LCP1	-1.64683333333333
IGBP1	-0.3038
DCAKD	0.37675
ELA2A	-0.3095
C12orf56	-1.88025
PITRM1	0.276714285714286
GUK1	0.7055
RASSF8	-1.292875
OR2A14	0.33625
ADM	0.189666666666667
FGD3	-0.844833333333333
GHRHR	-0.0658333333333333
RHPN2	1.56
C4orf39	-0.7025
VPS72	-0.196
SERF2	0.978888888888889
CD22	0.105333333333333
CD47	-0.3771
PPIC	0.638333333333333
IMPDH1	0.0543333333333333
ACP6	-0.883833333333333
PRKACA	0.849875
PPP1R1A	4.092125
TRPV3	-0.20825
ASXL1	-0.469875
C17orf55	-1.19383333333333
FXYD1	-0.890333333333333
LMOD2	0.058
ANKRD33	0.441
LCE2C	-0.085125
ZNF620	-1.6035
DKFZP566E164	-1.0245
VSIG2	-0.65175
KIAA1128	0.55025
USO1	-0.464666666666667
NUDT4	-0.317928571428571
CLDN1	0.696714285714286
OR4Q3	0.1835
FASTK	-0.0853333333333333
ICOS	0.659833333333333
LDB1	0.53825
GSTA5	-1.61425
ABCC1	-0.593166666666667
FAM54A	-2.39175
PCBP2	-0.682333333333333
NUP205	-1.54675
ACTA1	-1.16016666666667
GABBR2	-0.93075
PIP5K1B	-0.394833333333333
AGXT	-2.0115
RNF181	-0.093
ATP8A2	-0.08925
AFTPH	1.1520625
FGF21	0.024
FCER1G	1.657125
SNTB1	-0.15125
SLC24A3	0.037625
TXNL4B	-0.6876
RPL10L	-0.189
LOC389517	-0.5104
TSGA13	0.2365
SHOX2	-0.412666666666667
ITGA7	-0.908
KCNIP2	-0.636166666666667
KLF13	0.5406
ZFAND2A	-1.19275
CEACAM1	-2.33028571428571
PFKFB4	-1.56266666666667
MED19	0.5425
LRRC57	0.777666666666667
RNF11	1.29825
ANKRD32	-3.11
P117	-0.0385
OBFC2A	-1.10533333333333
POLD3	-0.496083333333333
RAB18	0.871
TPH2	0.172666666666667
PHB	0.0732
JDP2	1.96683333333333
MORF4L1	-0.4622
POU2F1	-0.2565
CNNM2	-0.569
LOXHD1	0.165833333333333
ZC3H15	-0.32425
ELK3	-0.254166666666667
FAM111B	-0.0985
CBLC	2.7375
SBNO1	-0.402
ANKMY2	0.978
PLEKHA5	0.166
DHX58	1.44066666666667
ARCN1	0.0661666666666667
TREML1	0.4268
KNCN	0.167
SEC24A	-1.38875
PSCA	0.8915
MGC24125	0.647333333333333
DNA2L	-1.76075
CIB4	0.707875
HIGD2A	-0.375333333333333
TBX6	0.2985
TTLL5	-0.576166666666666
SGK3	0.713666666666667
GCN1L1	-0.91225
AMOT	0.8131
LDOC1	0.395166666666667
NRK	0.8455
ASB9	-2.40025
NAT1	1.221
TRAFD1	0.021
PEAR1	0.350833333333333
FAM36A	0.279125
OR1S2	0.374333333333333
LOC388323	-1.237
PGS1	-0.710333333333333
LEPREL1	-2.997
TFF1	-4.333
HAP1	0.07425
EPHB2	-0.89675
ACTG1	0.0148333333333333
ZFP42	-1.162
HAVCR2	0.7145
NME1	-0.463
SNX26	0.153333333333333
LACTB	-0.254666666666667
ZKSCAN2	-0.139875
C5orf35	0.44575
ANKS3	-0.43175
RBM28	-1.43675
DKFZP586P0123	0.071
HNRNPA1	-1.454
BCAS3	-1.7135
FLJ20184	0.7925
POLA2	-1.5635
TMC7	-0.470666666666667
HSD17B6	2.363
ZNF658B	0.6885
TTTY10	-0.217666666666667
RANBP9	-1.23733333333333
CPNE7	-2.20683333333333
EVL	-0.253941176470588
LNX1	0.616333333333333
IFNA21	0.00116666666666667
CFD	-0.8295
PYCARD	1.0445
MYBPC2	-1.6355
ENPP3	0.8035
ACSL4	-1.8395
LOC440258	-0.6805
TMEM176B	3.1005
SOX2	-4.907375
SCO1	-0.829
COMT	0.6225
AOC2	0.182
PDLIM5	0.412785714285714
SPHK2	-0.217166666666667
NXPH2	0.344
GPR108	1.34266666666667
RAD51L1	-1.0025
TMEM54	1.21875
LETMD1	-1.26955555555556
SLC6A17	1.3175
KRT75	-0.3075
STT3B	-0.9465
CD3EAP	-0.875166666666667
TMEM63A	0.44875
DUSP13	-2.6065
CD1C	-2.4975
LASS2	-0.235
AVP	1.304
PITPNM1	-1.35075
FLJ22795	-1.257
MCTP1	-2.57875
TRIM68	-1.95866666666667
UCK2	-0.577333333333333
ABHD1	0.26625
FAM50A	0.5685
RNASEH1	-0.886
PCP2	1.10216666666667
OR52H1	0.036
C20orf149	1.021
RBP5	-0.339833333333333
HYAL3	-0.2965
CLPB	0.50325
SMNDC1	-1.076
DONSON	-2.9075
FLJ27523	0.26
BARHL2	0.409833333333333
SLC30A9	-0.017
TMPRSS11B	0.22325
E2F8	-2.54366666666667
CCDC25	-1.14933333333333
C14orf48	-0.148333333333333
C20orf116	0.53975
TSPAN11	-0.0995
YIF1B	0.774
FAM12B	3.5385
OR1L6	0.3745
HPN	-2.5266
NBN	-0.18725
C14orf94	-0.857166666666667
OCLM	-0.0835
ZSCAN18	-1.4202
L3MBTL	-0.8648
TSTA3	1.7175
RAC1	-0.213875
C19orf15	1.01583333333333
NFE2	-5.117
KLK14	0.4245
ARSF	0.403
MAST2	0.552666666666667
AMICA1	0.455333333333333
GTF2A1	0.22925
ATP1A3	0.53875
TC2N	3.6584
PNKP	-0.64425
ODZ2	0.437125
MATR3	-0.175375
S100P	-2.052375
KRT82	-0.0975
CA13	0.5255
PROZ	-1.21833333333333
AASDH	-0.217375
C19orf40	0.805
DCK	-0.488538461538462
FAM5C	-1.198
SLC6A4	-1.666
MID1IP1	-0.120125
TESSP5	0.1825
TMOD4	-0.0588333333333333
DOCK2	-0.524166666666667
TUG1	0.798375
NUP214	-0.43725
DPYSL2	-1.27845454545455
GOLM1	0.907916666666667
MPFL	0.20525
SOX13	0.97625
SDCCAG8	0.4084
KEL	-1.48516666666667
NUP210L	-2.1175
GK	-0.14175
DNAJB1	0.96225
ALPK3	1.146
CHID1	0.8873
CYLC2	0.395833333333333
IKZF5	0.178
C8orf51	2.14666666666667
PPM1J	-1.4765
GIMAP8	1.51966666666667
GPR101	0.1755
NR2F1	-1.649
ACAD8	0.35625
RBM35A	1.69725
GNAI2	-0.5765
METTL8	-0.188666666666667
SLC39A7	-0.54225
FBXO8	0.45225
CAMK1	-0.85375
RFC3	-2.1655
FAM129A	0.236
ILF2	-0.8225
FGFBP3	0.17425
NOM1	-0.719333333333333
PSMA3	-0.83425
ASCC3	-0.4379
ZYG11A	1.05375
SOX21	-1.195375
LYRM1	0.14175
DEFB1	-0.745
LOC91431	-2.92166666666667
OR7C2	1.0645
FAM46B	2.45325
TMEM18	-0.653
ARHGAP30	0.529666666666667
TMEM86A	2.51966666666667
EPHA2	-1.42383333333333
C10orf46	1.43365
TCHH	-0.5445
C3orf30	-0.0602
LOC285636	-0.172
PAIP2	-0.353
CYP2U1	-0.85075
C12orf34	0.61125
SARS2	-0.979
ZCWPW1	1.022
SAMD12	0.13
KIAA1430	0.35575
ACAT1	-0.7475
MEOX1	-0.698166666666666
ADAMDEC1	1.33975
PHKA2	0.127
CARD11	-1.17916666666667
CALML4	0.1795
TSSC1	-0.34
TMEM45A	1.18522222222222
MPP7	-1.55875
POU1F1	0.0925
SLC2A13	-0.5927
FBN2	-0.0212142857142857
ZC3H7A	-0.3892
LAIR2	-0.24425
ST3GAL1	1.76933333333333
LCT	-2.30525
GEMIN8	0.6945
KLF16	0.7317
HIF3A	-0.4876
FAM44A	0.685714285714286
AQP10	-0.8592
PLA2G2A	4.2535
FOLH1	1.35866666666667
C20orf186	0.2805
MAPKAP1	-0.070875
SPRR2D	-1.40775
UBQLN4	-0.645333333333333
RSHL1	0.284333333333333
PIAS3	-0.0095
MRPL24	0.446
GREB1	-2.094875
FAM27E3	-1.7305
NUP62CL	-2.58375
NEUROG3	1.4795
REEP3	1.68425
MARK1	-0.8815
LMBRD1	-0.3415
PRPF19	1.022
PNMT	1.2945
CTGLF1	-0.22
SLC25A16	0.9475
EIF2B3	-0.8765
RPA2	-0.5
PAK6	1.97416666666667
CCDC26	-3.8055
SEMA3E	2.40375
MXD4	1.7
TNFSF10	3.308
SMARCB1	0.403166666666667
DTX3L	0.246166666666667
PLA2G4E	-0.072
PPAP2A	-0.2325
ULK1	-0.81375
TAS1R3	0.7945
SLC2A3	-2.51927272727273
ARID3A	-0.31775
GNG5	0.395
ACOX1	0.2385
KIF5B	-0.04675
NUP153	-1.8445
MUC7	-0.044
CSDE1	0.149928571428571
CLPTM1	0.1105
C3orf23	-0.788
LRRC17	-0.849666666666667
TTYH3	0.219
ATP5B	-0.883
ELF3	2.1516
CPSF3L	0.5955
ZNF665	-0.0426666666666667
TLR6	0.0118000000000001
GPI	0.113375
RAD9A	0.60325
NDST4	-3.43875
AGPAT3	0.237
MAGI3	1.37233333333333
ADORA2A	0.83175
CACNG7	0.257
CAMK2D	-0.220571428571429
CCHCR1	-1.5535
RPS27A	-0.24525
OR10G7	0.2825
GCM2	-0.2055
FAM135B	0.9318
E2F1	-0.0795
PLCB3	-0.5815
OR2AE1	0.115
COIL	0.015
CDC25C	-2.59133333333333
RAB11FIP2	1.16691666666667
TSC2	0.0725
CTGLF5	-0.597
CCDC108	0.1447
OR13C4	0.00324999999999998
C10orf81	4.01225
PTPRB	0.25075
ACP2	1.104
LAG3	-0.433
MRPL54	1.148
LOC201175	1.386
ITGB1BP3	-1.276
SPTAN1	-0.0668333333333333
SIPA1L2	-1.0005
RCAN2	-0.741
CDX2	-0.57
ECOP	0.0685
ACTR1A	0.293785714285714
PPARG	-2.44066666666667
BBS10	0.273333333333333
TMEM44	-0.840625
BPIL2	-0.014
CITED1	-1.914
IRF6	3.22275
PRDM4	-0.0591666666666667
RRP9	-0.812
OR10H4	0.3315
IL31RA	-0.22625
GNB1L	0.152666666666667
MYBL2	-1.711125
ZNF407	0.347333333333333
PPIG	0.231166666666667
TTC18	2.27675
RPSA	0.0325
MAPT	1.42
MRE11A	-0.381857142857143
C8orf37	1.82033333333333
RASGEF1C	-0.0435000000000001
STBD1	-1.018
CTAG2	-0.354333333333333
MGAT5B	-2.183
ECM1	0.219125
RLN1	0.778
PARP14	0.3973125
EPB41L1	1.0935
HOXA3	1.12466666666667
MAGEA9	-3.82175
RPS8	0.8395
RPS19BP1	0.28875
FOXJ2	0.724
C10orf76	0.09725
IL17RE	0.687
C10orf65	-2.32775
ZNF343	0.0296666666666667
FBXO33	-0.21875
UHMK1	-0.2519
LY6G6C	-0.60575
FGF19	-2.37925
C14orf128	0.388833333333333
IFIT2	1.42875
TIGD1	-0.13025
S100G	0.25
GUCY1B3	1.7515
NR3C1	-1.0236
CORO1B	1.35766666666667
PARP11	1.75258333333333
DNALI1	-0.2485
OR4N4	0.12
MAP2K6	1.557
FSTL4	-0.56825
ANKRD47	0.7595
TMEM171	-1.793
PNLIP	3.34825
YY1	0.0451666666666667
CCDC138	-1.51866666666667
AASDHPPT	0.0363
CKS1B	-1.1553
MCM3	-1.41766666666667
ANAPC7	-0.858833333333333
FAM110A	1.922
CDC37L1	0.415
THTPA	-0.25725
NBPF20	-0.324
WDR24	0.68875
NPTX2	-1.453
CBLB	0.889166666666667
CETN1	0.5285
RPUSD1	0.7235
FAF1	-0.27375
CDK6	-2.6752
HMX2	0.5085
CSK	-0.545333333333333
TEAD2	-0.19875
SNAP25	-0.70925
TUFT1	0.5019
TMTC3	0.16
LCK	-3.02725
SGOL1	-2.26383333333333
AKTIP	0.24875
FURIN	0.889625
SOX12	-0.31
DEFB103A	-0.46975
RAMP1	0.539
KIR3DX1	0.026
GAS2L3	-1.02575
PDE8A	0.9428
EDN3	-0.90425
GMIP	0.02575
SF3A2	1.2475
FN3KRP	-0.30625
SMAD7	1.42575
RHBDD2	0.761
OR11H6	-0.0675
PPP1R3B	1.0191
C9orf23	-0.5335
CADPS	-1.63325
GOLGA8A	-0.542
TMEM57	0.617
RGL3	-1.431
S100A14	-3.4005
FGFR2	6.5583125
XRCC3	-0.8025
RTN4RL2	0.69625
MGC3771	0.1095
GH2	0.336166666666667
BTBD2	0.54425
LMO2	-0.4485
RDBP	-0.97325
ACRBP	-1.401
AMY2A	2.3455
DUOXA1	0.794
PTK7	1.18666666666667
TWF2	-0.051
FAM80A	-0.9815
TNNI2	-2.4885
GLT25D1	-0.0718333333333333
OCC-1	-2.101
CYC1	0.053
RPL22	0.775863636363636
MORN3	0.569166666666667
DISP1	-0.71375
PRB2	0.101
CHUK	-0.3885
HR	-0.311875
CCDC134	-0.329375
DENND4B	-1.04325
C14orf130	-0.726125
RAB33A	-1.138
DCST2	0.7535
TNMD	-2.55625
PEX7	1.51625
FAM62A	0.52675
SRD5A2L	1.56275
IL22	-0.22225
RPS26	-0.4275
HOXC5	0.9635
SPATA6	2.114
FLJ38482	0.509375
ZNF234	-0.4265
C18orf22	0.5325
SPATA22	0.313
THOC1	-1.4715
CYP7B1	3.903
KCNC3	1.83425
C8orf42	-1.3
ALDH1B1	0.866666666666667
CCDC100	-1.2213
ARMC4	-3.33425
FAM18B2	-0.226
SLC44A1	0.0205
FBXO17	-1.21683333333333
C6orf107	-0.671
C19orf29	0.56275
ZC3HAV1L	0.0635
PARP6	0.1469
SULT2A1	-4.422
C1orf159	0.36425
TMC1	-0.26825
CHST14	0.12925
GAMT	-1.267
SMCP	0.210666666666667
TSPAN33	0.431666666666667
MIDN	0.3275
NOX4	2.961
RNASEN	-2.4825
TBX1	1.10933333333333
SALL2	-1.34425
C10orf35	3.58325
CYP2E1	-0.106
LRFN2	2.82783333333333
ACO1	-0.939666666666667
IQCG	0.6987
MEGF9	1.41125
TM7SF4	2.39675
PLEKHA1	0.0511333333333333
STK33	-2.6305
C1orf210	3.04225
SNUPN	-0.0282
KIAA0406	-0.8165
C20orf29	0.01925
TMEM55B	-0.23875
OSTM1	-0.915625
CLCN7	0.05225
OTP	1.27725
FLJ23049	-0.8615
HEATR4	0.939
MAP3K10	0.993166666666667
PCDHGA9	0.374
AMDHD2	0.56675
LCTL	-1.1455
PDCD2L	-0.14675
CABLES2	0.26475
SLC5A9	-0.4285
CLCA2	2.56783333333333
MGC16025	-1.2075
STRAP	-0.239166666666667
C20orf196	-0.9025
RRBP1	0.853333333333333
NAT13	-0.20475
MAT2B	-0.751875
CSNK1D	-0.1965
KIR3DL1	0.70925
PRKAG3	0.0445
ZNF599	0.1185
PRM3	1.142
PER2	1.49916666666667
ASPHD1	-0.133
PRMT6	-0.73525
KCNE1L	-0.9655
FAM118A	1.19866666666667
TAF4	-0.014
NDUFB6	-0.6585
TRIM9	-1.4635
PMFBP1	-1.2915
KY	-0.4325
DKFZp762E1312	-2.992
CSMD1	-1.45
TBP	-1.04616666666667
OR1Q1	0.072
RETNLB	0.20125
HPGD	0.358071428571429
DNAJC12	0.0461666666666667
FKBP1B	-2.33275
ANKRD24	0.376
CXXC5	-0.597
IL3	0.35275
DRAM	1.2519
PTCH1	-1.102125
TP53BP1	-1.3015
SLC17A7	0.25675
COL25A1	-0.947
AMACR	-0.328166666666667
RHCG	-0.0805
VPS13A	-1.59308333333333
FAM55D	0.45
PRPF38B	-0.684083333333333
OSBPL6	-0.59975
PFDN5	-0.0476
CMTM6	0.00349999999999999
KCNK12	-1.1095
RP2	-0.23725
C16orf52	-1.23775
PICK1	0.9085
IFNE1	-1.3995
SEMA4B	1.471
TYRO3	-0.28925
OR12D2	0.2515
CSNK1A1	0.15325
FANCF	1.01225
LONP2	0.264125
TBL1Y	0.22
LDOC1L	0.198625
CCNC	-0.2455
C3orf60	-0.47225
CHKA	0.61325
UBAP1	0.2025
MAP3K1	0.671
ANKRD9	0.5095
FAM92A1	0.0686666666666667
GAB2	0.226125
AZU1	-0.237
DIS3	-0.943833333333333
C21orf109	-1.4245
IQCB1	-0.42025
SPATS2	-0.770166666666667
EFCAB3	-0.42325
PRB3	0.832125
FUZ	-0.476
ZNF813	-0.358625
BMPER	-1.243
HEG1	-0.01575
ALS2CR11	-1.40125
SURF2	-0.06875
PSMC1	-0.436
OR2D2	0.5225
SLC7A8	2.38116666666667
C4orf40	1.094
SPATA7	-0.09025
MAZ	0.141833333333333
PIN4	1.6585
PDE1A	-1.663625
TAF6L	0.3575
OR2T34	0.4765
KIAA0284	0.2635
ACADS	-0.181909090909091
MKRN2	-0.9775
C18orf56	-1.7485
MS4A6E	0.376166666666667
GALNT4	-0.0413
C22orf31	0.198
