Hybridization REF	TCGA-A1-A0SP-01A-11R-A084-07
PNLIPRP1	-0.24125
OR6V1	0.818
PRKAB1	-1.005
EYA4	-3.13933333333333
KIF20A	-0.8275
ALG10	-0.2655
ITPKC	0.619333333333333
LMX1B	-0.333333333333333
RPUSD4	-0.239166666666667
C7orf34	0.220166666666667
DLGAP2	0.18125
PFN1	-0.3905
MICALL2	-0.833666666666667
ZNF654	-1.912
SS18L1	-0.364875
SLC16A8	3.0435
MKI67IP	0.0918333333333333
ITGB3	-1.16825
TCEA3	1.59283333333333
CEP152	-1.61875
CLIP1	0.499375
ZNF75	-0.6406875
ATP5C1	-0.953166666666667
NUDT5	-1.06983333333333
PSCDBP	1.8715
UBP1	-0.214
RBM27	-0.0895
C13orf15	1.453625
ZNF282	-0.0665
ZNF222	0.3734
COL10A1	5.549
PRDM15	-0.66075
TTTY5	-0.3
FAM9C	-0.210833333333333
C20orf67	0.17675
GNG13	-0.682
F12	-0.076
C1orf41	-0.51875
CPXCR1	-0.1
GSK3A	0.3335
SUPT6H	-0.804
PI16	0.2065
ELL2	-1.48758333333333
C9orf167	-1.85033333333333
PVRL3	-0.8573
FLJ38596	0.8835
ADAM20	0.04775
GPR89A	0.1255
GPR87	-0.8065
ZNF30	-0.1045
SMR3B	-0.4665
ZNF770	0.198375
TRPC4AP	-0.508833333333333
DKFZP686E2158	-0.264333333333333
C2orf28	-0.413166666666667
FREM1	-1.59183333333333
LAMA4	0.335666666666667
ADPRHL2	0.5625
EIF4G2	1.088
GUCA1A	-0.327
CTNNA2	2.87575
NUDT15	0.214
CEPT1	-0.0646666666666666
ZNFX1	0.1695
CCDC92	1.04075
TDRD1	-0.921
KCNK5	0.256333333333333
ETNK1	1.6555
LTA	1.2725
TTPA	0.990166666666667
B3GALNT2	0.9425
SC65	-0.757666666666667
PEX5L	-0.838375
EPS15L1	0.14725
MGEA5	-1.54625
HIST1H3A	0.81075
ING1	-0.216625
BCAT1	1.273875
ORC6L	-2.55663636363636
KLK11	-4.892
C19orf28	-0.637375
DNER	-0.47925
MED22	-0.635071428571429
ETV6	3.78758333333333
CHAC2	-0.02675
CD300E	0.4945
CEBPB	1.71366666666667
ZNF398	-0.66725
LRCH3	0.1685
HMGA1	-1.158
CAPN7	-0.460333333333333
MGC5566	-2.5065
CCL3	3.301
NANOS1	-0.348875
ZFYVE19	-0.79
APITD1	0.49
PARD3	0.058625
IRAK4	-0.500166666666667
SERPINI2	0.0005
CEP170L	0.2075
TTC9	1.292125
MYOM3	-1.4705
MLPH	-2.892
LOC222699	0.2385
NRG1	-0.991166666666667
TBC1D9	-0.928363636363636
TTK	0.2915
ZNF557	0.6718
DDX41	-0.328833333333333
FANK1	1.06
UBE2D2	-0.18575
PSMB10	0.878
MYH7B	0.113
GABARAPL2	-0.641
MARVELD2	1.1315
DGCR2	-0.190333333333333
UNC45A	-0.396166666666667
C6orf72	0.409
ZNF683	4.00575
GIT2	0.010125
CASK	0.663833333333333
C14orf161	-0.0433333333333333
LRRC44	-0.14075
TIFA	0.99775
UTP11L	-0.02625
C6orf65	0.20275
FDPS	0.18
DUSP9	-1.9942
SLC17A8	0.501833333333333
OR51G1	0.410333333333333
NANS	-0.1615
OLFML1	1.09075
ATP10B	-0.4445
NPAS3	0.781
PRKCA	-2.3839
GGA2	-0.3515
LCE4A	0.326
SPANXN3	0.26
CCDC115	1.435375
SDCCAG3	-0.42275
GLIPR1L1	0.209
TTC1	-0.453
C17orf76	0.13725
MAD2L2	0.46925
HIPK1	-0.073
LRRC3B	-0.00416666666666666
CLN3	-1.50118181818182
C17orf47	0.3015
FMN2	-1.674125
TUBB1	-1.064625
WAPAL	-0.744166666666667
C3orf21	-0.630625
SCN5A	-0.3372
SMYD1	0.4375
BEX5	-0.65625
ZNF192	0.527
SEC22A	0.212333333333333
GRIA2	0.1665
KIAA0825	-1.55825
NUSAP1	-1.35272727272727
LANCL1	-0.150875
C15orf40	-0.8409
ZNF645	0.22825
GPR61	0.26
NLRP14	0.076
SNX21	0.097
C1QTNF8	-0.2635
C17orf46	0.418
IFNA8	0.2515
SPRR1B	-1.08233333333333
FLRT1	-0.5005
SNX17	-0.534
ASB2	-0.4285
HBG1	-5.8245
RPRML	0.828
JOSD2	-0.141
PLSCR3	0.27425
SPOCD1	-0.0476666666666667
RAB39	0.4385
GHRH	-0.0873333333333333
ITIH5L	0.255
C17orf37	0.05575
SMCR8	0.112
DPY19L2P3	-0.996833333333333
IL11RA	-0.8845
GDF3	-3.518
RPS6KB1	-1.60191666666667
DNAJC19	-0.152
TOP1	-0.70775
CRCT1	-0.67725
MPST	-0.249125
DPM2	-0.413625
FAM38B	-0.391666666666667
SLC18A1	-2.2705
FARP1	0.43
PAX7	0.069
TUBD1	-1.25525
GNL3	-0.445125
BTG2	0.477
NDUFS6	0.32425
C1orf79	0.27325
ERAL1	-0.51825
ECHS1	0.37975
VPS4A	-0.0638333333333333
CYP11A1	-0.735125
ABCC6	-2.436
PBX4	-0.395
MOSC1	0.444625
NCF4	0.88025
HYMAI	0.6685
NAGPA	-0.3265
OTOP2	0.0925
ACOT12	-0.10725
MTHFD2L	0.012125
LOC441376	6.12275
C19orf34	-0.016
RAB1B	-0.4765
ALDOAP2	-1.2505
NTRK1	-1.477
ARTS-1	-0.0941
SLC6A11	-0.4575
NAP1L2	-2.486
CNGB1	0.222333333333333
EPB41L4B	1.06241666666667
FAM134B	0.938375
HS3ST3A1	-0.476666666666667
CPXM2	3.8115
SIRPB2	-0.2375
CHORDC1	-1.085
TRIB3	-0.516833333333333
SLC2A5	1.03175
C2orf49	-0.581333333333333
DDX5	-1.2415
OR5L1	0.542
ANAPC4	-0.203166666666667
ZSWIM1	0.143375
LOC93622	-0.022125
KCNK3	-0.2334
RP11-35N6.1	-1.355875
ZFP161	0.286333333333333
AQP9	5.56475
SLC15A2	0.219166666666667
MREG	-0.550666666666667
OR9I1	-0.147
PDLIM2	0.480125
ADAM7	0.018
GSTCD	-0.560666666666667
WDR21A	0.345625
SLC12A8	1.76
TMEM174	0.0985
IGSF3	0.6105
LRRN1	2.06775
LOC402117	-0.2275
SRPK1	-0.063
LY6K	-1.8291875
NFIA	0.8925
PTCD3	-0.2215
LEP	1.428
PCDH21	-0.569166666666667
MAPKAPK2	0.391
NMNAT1	-1.08533333333333
LHFPL2	0.788375
C9orf43	0.86775
DIP2A	-0.614166666666667
ACTR8	-0.101125
CCDC34	-0.00649999999999998
PTPN22	-0.485875
ITGA3	-1.461375
FAM129C	0.589
RABGGTA	0.203666666666667
UNC45B	0.49525
KIAA1033	-0.282
ZNF510	0.0916666666666667
CYP2D6	-0.452
SLC26A10	-1.837
STX8	0.29425
LUZP1	0.272625
WDR89	-0.0251666666666667
EIF4G3	0.4688
C5AR1	1.270875
ZNF623	0.129
A2M	-0.5495
TGM7	0.2195
GRPEL1	-0.1605
LMNB2	0.2902
ROCK2	-0.215833333333333
SNX16	1.28675
CCDC66	-0.244
ANXA3	2.6485
KIAA1609	-0.550875
EED	-0.99925
RNF32	1.346
HES1	0.456
CLC	3.3855
ISL1	1.78583333333333
KIAA0528	1.818
MANEA	0.729875
C1orf61	1.3965
hCG_2001000	-0.38075
RAPGEF6	-0.716
KIAA0020	0.3655
NEIL1	-1.70625
C16orf45	-1.666125
RBM10	-0.302166666666667
C10orf125	-0.935875
MRS2L	-0.17875
DNAH17	0.1385
C19orf10	-0.895
C1orf160	0.36825
SLFN12	0.0395
EXOC3	0.349666666666667
HIST3H3	0.39
NCOR2	0.435833333333333
TNFRSF9	1.54925
MFSD8	-0.09425
ALX1	-1.57183333333333
NOL1	1.2915
PODN	1.6895
TIAL1	-1.316
HIST1H1E	-1.72125
NPY6R	0.4015
TM4SF4	0.661
CORO2A	0.02075
ETNK2	-1.06416666666667
APOE	0.7928
ANGPT4	0.603
HDGF2	0.03275
G30	0.4905
ST8SIA4	-0.541625
F2RL1	-0.446375
FAM19A4	-2.2855
CCAR1	-1.14975
B3GNT7	0.348
OPHN1	-0.9312
DSCR6	-1.584
C21orf13	0.5575
GAS2L1	0.303916666666667
RFX3	1.1925
COPS4	-0.445375
BCHE	-4.22866666666667
BCL2	3.051625
HBZ	-3.1295
ARL13B	1.457625
MAPBPIP	0.1515
MYO15B	-0.83125
SPZ1	0.40025
KIAA1324	1.23
PLCL2	-0.0915
C4orf29	-0.9505
WDFY2	-0.13875
ZNF284	-0.448
NAALADL1	-0.034
DUSP5	-1.14516666666667
PXDN	-0.21
SLMO1	0.1475
TNXB	0.2501
BIRC7	-0.783
A4GALT	1.68583333333333
TIMM22	0.0585
FAM110C	-0.01725
TOMM34	0.48125
ABHD9	0.307
ADAM32	1.531
CRHBP	-0.2835
AQP2	0.42775
LOC130355	0.9135
ZNF187	-0.331833333333333
ZNF816A	0.341
F7	-1.153875
CNOT1	-0.3347
SLC13A4	-0.94925
ZBTB11	-0.49025
B3GALT5	0.02825
EXOC2	0.0618333333333333
IRS1	-0.8629
TMEM1	0.0878333333333333
MRPL34	-0.186
SAMM50	-0.00425
CDC42EP3	2.088875
HSF2	0.3947
MFN2	0.4045
TSPAN7	-0.884166666666667
NUCB1	0.271833333333333
RHOH	-1.74975
ARL16	0.3085
TACR1	0.12875
SFRS5	-1.69383333333333
SNX25	-0.64475
RHBDF1	-0.491
PCDH18	1.42183333333333
HMG1L1	-0.18175
MYO5C	0.312875
MAPK10	0.401
LDHAL6A	-0.2144
NUDT12	-0.428666666666667
NCAM1	-0.017625
GLIS2	0.5165
GGTL4	-0.0955
DAPP1	1.75425
ATF7	0.453
KIAA0748	-0.67825
NFIL3	0.52125
TM6SF1	0.3868
SEZ6	0.994625
NANOS3	1.13066666666667
DNAJA3	-0.326333333333333
CLDN6	-1.73
CIITA	2.6534
EPHA4	1.09033333333333
FANCC	0.874
CMTM3	-0.112125
PSG3	-0.542375
MRPL15	0.53375
C21orf59	-1.132
PLCXD2	0.143
C2orf34	0.154625
UBE2L6	0.316
MED14	-0.103166666666667
HP1BP3	-0.0689
C6orf208	-0.12
TPBG	0.059
OSR2	0.122375
XPC	-1.05516666666667
KLHL7	0.212416666666667
CCR3	-0.731166666666667
AGTPBP1	1.55566666666667
PCSK6	-1.59426666666667
STAT5A	-1.3791
FAM18B	-0.1405
LONRF2	-1.132
PTPN2	0.789375
SF3A3	0.3385
EFCBP2	-0.44325
HCFC1	-0.5865
AHNAK	-0.25615
ACTR5	0.0415
KIF14	-0.688571428571429
TENC1	-0.274
HEATR5B	0.165
YIPF2	0.740666666666667
MYEOV2	0.219166666666667
DUSP18	1.04725
KIAA1012	0.403
AHR	0.639333333333333
C17orf53	-1.17533333333333
PTPRH	-3.66
ATP6V1C1	-0.2057
TAS2R3	-0.4535
LOC440356	-1.10275
COQ10B	-0.227
PSMF1	0.557833333333333
SORBS2	3.31333333333333
NFE2L2	0.26625
TMCO7	0.0705
SH3PXD2A	-0.1825
SH2D2A	1.05375
SPINK5	1.078
MRPS24	-0.7985
OPA3	0.2075
TRAF7	-0.236
C4orf35	0.309666666666667
MT1G	0.75525
MGC39545	0.271
HS1BP3	0.1791
OR2B2	0.551
CHRM4	-0.2395
SFRP2	2.35258333333333
RIC3	-0.706
ART1	-0.1015
C6orf1	-0.38175
DUS4L	-0.34375
C10orf104	-0.2085
TNFAIP6	2.81625
RTEL1	-0.46375
CCT4	0.0592999999999999
ZNF709	-0.4315
CHMP6	-0.0393333333333333
UPP2	0.043
CYP19A1	-1.771375
CD151	-0.178666666666667
NDUFA13	-0.350333333333333
ARFRP1	0.0616666666666667
FAM26B	1.32925
CRYBA1	-1.1705
MRPL41	-0.662
NPFFR2	-0.631875
HRH2	0.3085
SCAMP3	-0.365833333333333
MTMR6	0.7073
MTG1	-0.998666666666667
UBTD1	0.31475
CRABP1	-0.83
FLJ33790	1.9982
KIAA1908	-0.576666666666667
GPR158	-0.11725
PACSIN3	-0.903166666666667
OMD	1.519
CATSPER1	-0.225833333333333
HOXB8	-0.867375
FBXO46	0.891
OAS1	0.611833333333333
SVIL	-0.06825
PHB2	1.22725
ADCY3	-0.118
NDRG2	-0.138166666666667
ERMAP	0.9544
APBA2	1.12166666666667
IGSF9	3.231
WNT6	1.91071428571429
MYCBPAP	0.62925
ATP2B2	0.1146
CPVL	-0.5751
TRAM2	-0.615083333333333
NOP5/NOP58	0.134
ZNRF4	-0.03325
TLK1	0.056125
MTMR12	1.26271428571429
ZNF384	0.947166666666667
FAM9B	-2.4345
RPN1	1.1256
PMVK	0.331
EIF3D	0.6875
SIX2	0.96425
HPS1	0.461142857142857
RNF7	-0.09925
PSKH2	0.2575
KCTD13	0.0716666666666667
CSMD3	-0.2862
FBF1	-0.0695
IL8	-2.191625
SERPINB13	0.328333333333333
FBXL20	-0.49225
BLR1	0.231
SH2B1	-0.000166666666666676
RFNG	-0.765875
RAB20	0.0481666666666667
RBM7	-0.52925
POLR1A	-0.139166666666667
TMPRSS4	0.82125
TAF9	-1.011625
TERF2	-0.467333333333333
TNFRSF1A	0.758083333333333
ACADVL	-0.898
GTF2H5	0.55625
EDG8	-0.768
C9orf140	-0.0505
UST6	-0.00374999999999999
ZBTB8OS	0.49325
ZNF710	-0.0215
GPR174	-1.047
ATP6V0A2	0.804
KIAA0319L	-0.772916666666667
XKRX	1.6485
DOPEY2	1.4741
SDHD	-0.43075
SUMF1	0.0585
OSM	1.68
OPN3	0.83025
DAGLB	-0.0598333333333333
PPFIBP1	0.8081
TRIM63	-4.06075
C10orf53	-0.2045
LYPD3	-0.4755
BCL7A	0.18775
AGER	-1.42566666666667
TCF19	-0.656375
SAT2	-0.91975
PFTK1	1.41883333333333
GABRE	-2.4205
C15orf38	0.6783
FIS1	0.003
KCNV2	-0.196
CLPS	0.386
PPCDC	-0.4155
FOXN2	0.898166666666667
NT5E	-2.7267
CD83	1.77725
IL18	1.178875
VPS16	0.22525
IGFBP2	-0.081
NOTCH2	0.9265
SIGLEC1	2.706
CD93	4.476
SULF2	-1.26375
CEP164	-0.1715
P53AIP1	-0.015
TOR2A	-0.415333333333333
ZNF136	0.2815
MGP	3.4072
CCDC144A	0.0255
TRPC1	0.054
SMS	-0.250666666666667
MAPK7	-0.449166666666667
RRAGC	0.629
PARD6A	2.04616666666667
NUB1	0.667833333333333
SYNGR4	0.6805
OR11H12	0.4285
WIF1	0.057125
GCH1	-0.79625
OR11H4	0.159
SLC44A5	-0.147
GPRIN2	2.79883333333333
LOC401431	0.60225
CPA4	-2.9511
MELK	-0.499444444444444
IL15RA	0.54675
CUL3	0.370875
HMBOX1	-0.381
PODXL	-1.07125
CCT6B	1.01116666666667
COMTD1	-1.27175
MUC20	-0.231166666666667
GPX2	-3.136125
ITK	-0.62075
FBXL5	0.41325
C13orf27	-0.608
DEFA5	0.8735
TRHDE	0.2525
MTP18	-0.142833333333333
UQCRQ	-0.8015
ITGB2	2.68641666666667
CSRP2BP	0.65975
TAS2R44	0.6955
PHPT1	-0.24875
FAM44C	-0.101
ERH	0.01225
MPHOSPH1	-1.197
MORC1	-0.3155
PARVB	0.121
LAMA1	-1.01291666666667
PGBD3	-0.52075
GIMAP6	3.5325
AREG	-1.76333333333333
LIPT1	0.0735
MGC99813	0.00475
C1orf201	1.1465
GRIN2A	-0.7139
MAN2C1	-1.42025
NSUN5	-0.6255
SF3B5	0.9685
MYC	0.0393125
NRXN1	0.14575
ZNF18	-0.15725
SPDYA	0.00687500000000001
SLC37A1	0.749
DECR2	-0.306
ANKRD38	2.294875
SPTLC3	-0.613416666666667
SUPT16H	-0.34575
DTWD2	-0.41925
ULBP1	0.1195
ZADH1	-0.906
OIP5	-1.01375
IL10RB	-0.730666666666667
OTUB2	-0.17625
VWA3A	0.174333333333333
SPIC	4.65983333333333
OR6C4	0.559
PSCD4	1.18866666666667
DPY19L2P2	-0.1925
TRAPPC6A	0.1965
C21orf2	-0.509666666666667
CEMP1	-1.14375
LIN7B	-0.5465
E2F7	-1.11
VCP	-0.1423125
LAMA3	0.428333333333333
BGN	1.11225
GPR160	-0.876166666666667
COCH	0.203
GPR81	-0.827333333333333
APOBEC3F	-1.74675
tcag7.1017	-0.28775
C1orf32	0.7265
SCGB1D2	3.65275
FLJ43987	0.704
C6orf170	1.45875
KLK9	0.561
GPD1L	-1.182375
VPS37B	0.985
ATG3	-0.0223333333333333
ADAMTS17	-0.6815
KLHDC2	-0.741
NDUFV2	-0.5905
BLK	-1.99825
MATN4	3.076
GPM6A	0.287
GBP4	3.63766666666667
TMEM162	0.336333333333333
PKP2	0.6365
HRASLS	3.25644444444444
MMP1	-1.1335
SFXN3	-1.0422
FSD1	0.314833333333333
ST6GALNAC3	-0.661
CA12	-1.353
NCOA6	0.33025
C19orf58	0.1472
PPP4R1	0.337
MAN1A2	0.515
IKBKAP	-0.89125
UPF1	0.0661666666666667
KIAA1219	0.37825
WNT16	0.505333333333333
SNW1	-0.526625
IL18RAP	2.29875
RPP30	-0.42375
CDC40	0.759142857142857
SETD3	-0.062
SLAMF6	0.58925
ELK4	-0.172
TRIM47	1.36433333333333
ACOX3	1.305375
TRIM6	-1.358125
KIAA0372	-0.528
TP53AP1	-0.15675
SMURF2	-0.7695
ADAD1	0.25175
EBP	-0.8872
KRTAP13-2	0.1905
FLJ36874	0.153333333333333
TOR1A	0.0835
P2RY4	0.5465
GPBP1	-0.59875
TRPV1	-0.821
ADAMTS12	-0.138833333333333
PES1	-0.0041
ATG4A	-0.245833333333333
MAGEA10	-4.4215
WFS1	-0.31625
CC2D1B	-0.2345
PABPN1	-0.16625
SLC25A30	0.3445
SLCO1C1	0.233833333333333
SLC22A5	-1.16175
KIF23	-1.07733333333333
SYN2	-0.064
ASPN	6.07066666666667
CENTG2	0.7445
QSOX2	-0.7841
FLJ10815	-0.0616666666666667
STK24	-0.1695
SPEG	0.8219
STK10	-0.301
DACT2	3.2905
AAAS	-0.686
SSX3	-1.471625
ABCD3	0.1857
C4orf12	-0.62175
PARVG	1.0325
FIG4	1.765
C9orf46	1.01275
TMCO6	-0.8305
IGHMBP2	-0.85
DUS2L	-0.1995
FAM3C	-0.076625
TMEM16D	-1.49925
DCTN4	-0.32625
KCNH3	1.00625
EIF2AK2	0.8625
AP1S3	1.121125
CST4	1.587
PAM	0.5053125
NUTF2	0.254
CITED2	0.5192
SLC39A4	1.0725
C2orf52	-0.6045
GRM3	-0.07625
C12orf49	1.016625
CCDC49	-0.648
GRAMD1B	-1.314375
FNDC4	1.51225
SIAH2	0.05925
GDPD4	0.22025
C21orf87	0.829714285714286
ATP5A1	-0.0791666666666667
C16orf63	-0.76475
LOC388135	-1.10666666666667
ATP5J2	-0.4715
MMP3	-1.91
EMID2	-0.3985
CRHR1	0.3615
WDR70	0.9115
C13orf31	2.13225
ZFAND1	1.52975
CCL18	4.18383333333333
C3orf49	0.377
RINT1	-0.2025
KIAA0408	-0.555666666666667
F13A1	3.7969
SLC10A1	0.2735
OGN	0.40125
GIPC2	-1.63983333333333
XPO6	-0.211333333333333
LCE1A	0.8075
FMR1	0.5704
LOC374920	0.7455
DUSP3	-0.438
ANKMY1	0.04675
C7orf50	-0.15075
BBS9	0.2105
UNC119B	0.243625
C9orf72	0.72375
MGC35440	-0.56875
ENTPD6	-0.072875
PPP1R2P9	-0.1435
ERCC4	0.038
FAHD2B	-0.371
HMHA1	-1.126
HACL1	-0.08725
RAD23A	0.276333333333333
FAM83B	0.98125
PPP5C	-0.401666666666667
RNASEH2C	-0.620125
C9orf153	-0.355
SCAMP4	-0.02175
GHITM	-0.00330000000000005
NDUFB7	0.439
ADCYAP1	-0.286833333333333
SP110	0.727166666666667
MAP3K7IP2	0.58325
DHH	0.2565
AGRN	0.974
WDR33	0.616833333333333
CEP290	-0.406333333333333
PRPS1L1	-1.67183333333333
KLRA1	0.7595
GPR97	0.0925
CHD7	0.509
TLR10	1.32275
SLC30A8	-0.851
HIC1	0.525666666666667
IAPP	0.653
RXFP4	0.09025
GP1BB	0.56025
SHQ1	0.3425
NKX2-3	0.229166666666667
API5	-0.26175
FTHP1	0.632
MOV10L1	0.844166666666667
TRIM6-TRIM34	1.69116666666667
ADHFE1	-1.05075
FAM117A	-0.2005
DDI1	-0.149333333333333
CDON	-0.1505
TRIM73	-0.859
IGKC	4.6765
MMP14	-0.104666666666667
DYNC1LI1	-0.59525
C11orf66	-0.157
TRBV3-1	-1.01025
FASTKD5	-0.2185
BIVM	-1.91125
LHX4	0.0685
CXCL2	-0.5922
RAB2B	-0.525666666666667
IZUMO1	-0.31325
MAP3K15	-1.3825
FAM19A2	1.01316666666667
ZC3H8	0.117333333333333
ZMAT1	1.1615
SPINK5L3	-2.745
SLC10A6	0.3245
APPL2	-0.481625
CARD10	-0.169833333333333
LOC402176	-0.52725
EEF1D	0.1595
RAB6A	1.1647
C12orf5	1.809625
PAPOLG	0.315
MSRB2	-0.4915
BCR	0.972555555555556
PUS3	-0.43625
TIAM2	1.90675
ZNF317	0.220333333333333
CHD2	-0.3125
FZD5	-1.61972727272727
NUDT8	-0.75375
ZNF763	0.0125
PRC1	-1.43844444444444
ABCB9	-0.306833333333333
SPATA3	0.27725
TRAK2	0.779
STAB1	2.401375
LRRTM2	-0.0418333333333333
psiTPTE22	0.59875
DBI	-0.10575
SERPINA11	-3.2915
NAT5	-0.382
C20orf58	-2.39675
RPS6KA4	0.873666666666667
FLJ90650	-0.15825
TGFBRAP1	0.49075
CHRDL2	0.59025
FAHD2A	-0.571666666666667
CNTN1	-0.06725
BBS4	-1.5541
TMEM181	1.1715
MINPP1	-0.9865
MPHOSPH6	0.2785
HOXC10	0.2851
ITPKB	0.002125
CLPTM1L	0.539
MEOX2	-0.536166666666667
ATP6V0C	0.069375
PRPF8	-0.57
TMC5	-0.0874999999999999
FKBP3	-1.464
PLEKHB2	-0.16475
OR4D6	0.204
ZNF544	0.1897
D2HGDH	-0.3445
RPL18A	0.1751
HEL308	-0.505375
MPP6	-1.62975
TCERG1	-1.299
KRT16	5.10516666666667
KLF17	-1.09
KLF5	2.152
CDR1	1.352375
VCX3A	-4.4895
FBLN2	2.17325
C14orf104	0.0235
HBE1	-4.9549
OR4S2	0.827
C1orf108	0.214333333333333
ROBO4	3.03816666666667
CPEB4	-0.47775
C11orf80	0.560333333333333
BCKDHA	0.392166666666667
MYOC	0.00575
GIF	-0.2425
CKMT1A	1.328
RPL3	0.56
THBS1	1.470125
APOO	-0.80075
ARMCX1	0.057
HSZFP36	-0.047
SNAPC5	-0.11225
EIF4ENIF1	0.903
ZNF433	-1.367
TNFRSF21	0.3235
TMPRSS7	0.053
SPATA18	-0.3865
HPDL	0.1195
MKL2	0.1445
TBX3	-0.665307692307692
C21orf93	0.253833333333333
DAXX	0.107
ELMO1	0.19375
RGS13	2.6755
TAF11	-0.6945
UNC13A	-1.4465
LOC653314	-0.7508
ORC3L	0.957
IMAA	-2.773
TARBP2	-0.018
CABIN1	-0.0934
TRIOBP	0.112625
HIST1H2AC	-0.910125
RGS22	-3.00516666666667
NCOA1	0.92
IL25	0.975
SNCG	-0.0715
GPR6	0.293
AMDHD1	-1.15866666666667
CHEK2	-0.343125
C6orf142	0.69025
DRD4	0.476
C14orf68	-0.92325
GDF11	0.25275
SEMG2	0.0785
CD247	-0.40375
CDAN1	-1.12475
RBMX2	-0.0746666666666667
TGS1	0.39775
OIT3	1.291
SYF2	0.17775
MCM4	-0.38075
PKHD1L1	0.989875
CEP192	-0.1285
IFT88	-0.00749999999999999
RPL9	0.281285714285714
RAB32	1.426875
DDX43	3.68625
P2RX2	0.383833333333333
OR5D18	0.474
UBE1	-0.445833333333333
SLC24A1	-0.30875
ARHGAP5	-0.12025
CETP	-0.56625
KIAA1731	-0.788833333333333
SLC9A4	0.6985
PTPN6	0.7875
BAHD1	-0.2225
GRIK3	-0.2495
CACNB2	-0.9536
PDE10A	3.1315
DGCR14	0.1385
PCDHB9	0.145333333333333
RHOQ	0.687
MAP3K4	0.4755
KTI12	0.3235
RPL23AP13	-1.448
GNG11	-1.33
CLCN3	0.749333333333333
GPAM	-1.04485714285714
VSTM2A	0.2765
SLAMF7	3.6705
INTS2	-1.55425
PPP2CA	-0.7178
LRP12	1.49133333333333
SEC14L2	0.231444444444444
DKFZP586H2123	1.68725
MC3R	0.4805
CIRH1A	-0.3135
HIST1H2AB	-0.118333333333333
POLH	-0.955625
MGC16703	-1.00516666666667
SNAPC2	0.223
FILIP1L	0.92725
RASGRP4	0.358
LRRC1	1.6065
GAS1	1.93975
PRAC	-1.07175
DGKA	-0.379833333333333
NT5C3	-0.07125
PEG3	-4.01683333333333
NADK	-0.8285
PRR17	0.38075
LOC374569	0.1155
SGSH	-1.2215
NLRP8	-0.045
GALT	-0.513
MCF2	-0.7145
ZNF263	-0.042
TACSTD1	2.03533333333333
TYR	-6.4214
ATP6AP2	-0.062
RNUXA	-0.6105
ABHD10	0.1266
GDPD2	-1.00375
SLC35C1	0.5495
UBE2A	-0.234125
HERC5	0.606
FAM112B	-4.75666666666667
FBXL16	0.4445
DKFZP434A0131	-1.081
ELA3A	-2.255
RBM41	-1.63175
HAO2	0.328
RNH1	-0.097125
SHANK2	1.331
OSBP2	-2.132375
DAK	-0.5395
C3orf58	1.22641666666667
TCL1B	-1.053
KBTBD2	-0.313875
SUGT1L1	-0.126
UBE2E2	0.592166666666667
MYL9	1.9635
CDC23	-1.28583333333333
PBXIP1	0.6136
CXorf40B	-0.0805
NBL1	-0.0555
RTBDN	0.1955
RAB11FIP5	-1.35075
TTTY13	-0.6005
SCOTIN	-1.13391666666667
SOHLH1	-0.228166666666667
CDKN1A	0.251357142857143
NCK1	1.30775
ZNF550	-0.44175
SAPS3	0.0375833333333333
SPIN3	-0.208
MAGEE2	-0.03325
MIS12	-1.0155
OR8H2	0.4085
KIAA0774	0.441833333333333
UNC5D	-2.083
CUL7	-0.925
LIPC	-3.23233333333333
DIO1	-2.56925
C20orf11	0.258
CTRL	-0.0305
HS3ST2	1.72275
PAK4	0.625166666666667
CCRL1	2.685
RNF10	-0.145375
ZNF567	0.71475
ZNF660	-0.276
TCEAL3	-1.1125
MAGOH	1.08016666666667
CENPB	0.0906666666666667
C19orf7	0.627625
LOC388965	-0.066
ZCCHC13	0.7085
JMJD1A	-0.2832
HIST1H4H	-0.445
TBRG1	-1.3513
GPC3	-4.03125
TAF1C	-0.33375
EBNA1BP2	-0.432333333333333
CIAPIN1	-0.08925
PDGFRA	-0.639
CSTB	0.632125
CENPI	-1.16683333333333
GTF2E2	0.2375
RPP21	-0.13525
CCNF	-0.418333333333333
KCNQ3	0.778
FAM79A	1.423
SLC22A12	0.757
NOVA1	-0.0481666666666667
FZD3	0.8445
AKAP8	-0.018
SOCS5	0.093625
CFDP1	-1.0185
DLG5	-0.4805
PGM5	0.6995
C1orf144	0.40025
HDAC10	-1.947
RND2	-1.32825
C20orf199	0.6715
RNMT	-0.273375
SLURP1	0.742375
ASTN1	-0.555375
SH3BGR	2.8315
MYCL1	-0.092875
ZHX1	-0.824666666666667
CENPK	-1.74675
FOSB	0.0835
LOC643406	0.0465
C2orf59	-1.275375
TMEM135	-0.993875
SLC27A2	-2.0415
KRT33A	2.1945
OVOL1	0.84025
PAMCI	-1.421
S100A7	-0.6775
ZNF789	-0.7105
HARS2	-0.1745
RPL23A	-0.847833333333333
TCF23	-0.125
UPF3B	0.651625
C17orf78	-0.146
HLA-DOB	1.13316666666667
C14orf142	0.0946666666666667
TEKT5	-0.196833333333333
DMWD	0.988
POLD1	-0.295666666666667
GSCL	0.047
CALD1	0.7277
SCRT1	0.1915
AIG1	1.153
UNC84B	-0.456
ZNF404	0.1905
TMED6	-3.281
KIAA1462	-0.0905
LRRC27	0.225166666666667
PYGO1	-0.1565
PIGU	-0.220166666666667
ALAS2	-3.72083333333333
