Hybridization REF	TCGA-AN-A0FK-01A-11R-A034-07
KNCN	0.0895
SEC24A	-0.211625
PSCA	-2.45025
MGC24125	-0.239333333333333
DNA2L	-1.0595
CIB4	-0.11875
HIGD2A	0.6805
TBX6	0.0216666666666667
TTLL5	-0.655833333333333
SGK3	1.44383333333333
GCN1L1	-1.3785
AMOT	1.246
LDOC1	0.588333333333333
NRK	-0.1176
ASB9	-2.713
NAT1	5.817
TRAFD1	-0.50325
PEAR1	0.498833333333333
FAM36A	1.408125
OR1S2	0.949166666666667
LOC388323	-2.259
PGS1	-0.454833333333333
LEPREL1	-3.669
TFF1	0.0540833333333333
HAP1	-0.1465
EPHB2	-0.6695
ACTG1	0.634166666666667
ZFP42	-1.9464
HAVCR2	0.2627
NME1	-0.5525
SNX26	0.279333333333333
LACTB	-0.809666666666667
ZKSCAN2	-0.1565
C5orf35	0.9575
ANKS3	-0.837
RBM28	-1.58975
DKFZP586P0123	-1.153
HNRNPA1	0.253
BCAS3	-1.257
FLJ20184	1.1145
POLA2	-1.07233333333333
TMC7	-1.01516666666667
HSD17B6	0.798
ZNF658B	1.00083333333333
TTTY10	0.192833333333333
RANBP9	-0.14225
CPNE7	-1.01166666666667
EVL	1.54170588235294
LNX1	0.6325
IFNA21	0.181
CFD	0.40825
PYCARD	1.74483333333333
MYBPC2	-1.393
ENPP3	-1.433
ACSL4	-2.24275
LOC440258	-0.963166666666667
TMEM176B	3.59116666666667
SOX2	-5.407875
SCO1	-0.291333333333333
COMT	-0.699
AOC2	0.196
PDLIM5	1.65142857142857
SPHK2	0.669666666666667
NXPH2	0.2315
GPR108	0.738666666666667
RAD51L1	-0.638333333333333
TMEM54	-0.02775
LETMD1	-0.717888888888889
SLC6A17	1.09225
KRT75	0.0800000000000001
STT3B	-0.168
CD3EAP	0.345833333333333
TMEM63A	0.777
DUSP13	-0.28325
CD1C	-2.01683333333333
LASS2	0.938
AVP	1.648
PITPNM1	-1.533625
FLJ22795	-2.3095
MCTP1	-2.888
TRIM68	1.07733333333333
UCK2	-1.405
ABHD1	-0.1655
FAM50A	-0.474
RNASEH1	-1.608
PCP2	2.05216666666667
OR52H1	-0.399
C20orf149	0.1955
RBP5	2.5565
HYAL3	-0.691
CLPB	-0.92575
SMNDC1	-0.512
DONSON	-2.2945
FLJ27523	-0.028
BARHL2	0.0513333333333334
SLC30A9	0.1045
TMPRSS11B	0.698333333333333
E2F8	-1.781
CCDC25	1.168
C14orf48	1.13383333333333
C20orf116	0.73
TSPAN11	0.5175
YIF1B	-0.873666666666667
FAM12B	0.4875
OR1L6	0.216
HPN	1.821
NBN	1.307
C14orf94	-0.4245
OCLM	0.46
ZSCAN18	-1.521
L3MBTL	-1.8764
TSTA3	0.981833333333333
RAC1	0.013
C19orf15	0.6035
NFE2	-5.556
KLK14	0.4215
ARSF	-1.217
MAST2	-0.570666666666667
AMICA1	0.702166666666667
GTF2A1	1.062625
ATP1A3	0.9245
TC2N	3.5119
PNKP	0.06575
ODZ2	-3.66914285714286
MATR3	0.3525
S100P	1.383875
KRT82	0.189
CA13	-1.19444444444444
PROZ	-1.65866666666667
AASDH	0.343714285714286
C19orf40	-0.400166666666667
DCK	-0.475230769230769
FAM5C	-2.442
SLC6A4	0.2905
MID1IP1	-0.061875
TESSP5	0.268
TMOD4	0.249
DOCK2	-1.83883333333333
TUG1	-0.12475
NUP214	-0.53775
DPYSL2	-0.383954545454545
GOLM1	2.33741666666667
MPFL	0.3025
SOX13	0.9625
SDCCAG8	1.3063
KEL	-0.399666666666667
NUP210L	-1.7335
GK	1.139125
DNAJB1	1.15675
ALPK3	-0.5695
CHID1	0.7949
CYLC2	0.706166666666667
IKZF5	0.94425
C8orf51	0.277166666666667
PPM1J	2.19025
GIMAP8	3.04916666666667
GPR101	0.577
NR2F1	-0.7935
ACAD8	-0.29875
RBM35A	1.598
GNAI2	-1.12783333333333
METTL8	-0.955333333333333
SLC39A7	0.19325
FBXO8	0.38475
CAMK1	-0.4825
RFC3	-0.69075
FAM129A	3.1845
ILF2	-0.36275
FGFBP3	-2.290875
NOM1	-1.3505
PSMA3	-0.2175
ASCC3	0.4138
ZYG11A	-1.862
SOX21	-1.34275
LYRM1	0.74175
DEFB1	-0.319
LOC91431	-2.99033333333333
OR7C2	1.5105
FAM46B	2.100375
TMEM18	-1.2565
ARHGAP30	-0.152166666666667
TMEM86A	2.13091666666667
EPHA2	-1.42566666666667
C10orf46	1.28345
TCHH	-0.814833333333333
C3orf30	-0.527833333333333
LOC285636	0.2575
PAIP2	-0.14125
CYP2U1	-0.39325
C12orf34	0.65
SARS2	-0.4945
ZCWPW1	0.44775
SAMD12	1.430875
KIAA1430	0.159375
ACAT1	0.4255
MEOX1	0.376166666666667
ADAMDEC1	5.96225
PHKA2	-0.7795
CARD11	-1.63433333333333
CALML4	-1.822
TSSC1	-1.50325
TMEM45A	-1.47711111111111
MPP7	1.4485
POU1F1	0.00266666666666667
SLC2A13	0.0959000000000001
FBN2	-1.59161538461538
ZC3H7A	-0.0191
LAIR2	-1.042
ST3GAL1	1.05566666666667
LCT	-2.126
GEMIN8	1.3925
KLF16	0.943
HIF3A	-0.0556
FAM44A	0.0467142857142857
AQP10	-0.731
PLA2G2A	0.4045
FOLH1	1.00166666666667
C20orf186	-1.059
MAPKAP1	-0.718
SPRR2D	-1.4115
UBQLN4	-0.0781666666666667
RSHL1	0.68
PIAS3	0.452875
MRPL24	1.564
GREB1	-2.261875
FAM27E3	-2.975
NUP62CL	-0.1195
NEUROG3	1.724
REEP3	1.75975
MARK1	-1.598
LMBRD1	1.33775
PRPF19	-0.449
PNMT	-2.12916666666667
CTGLF1	-1.837
SLC25A16	2.18975
EIF2B3	-0.9455
RPA2	-0.5525
PAK6	1.34733333333333
CCDC26	-3.61325
SEMA3E	3.271125
MXD4	0.1843
TNFSF10	4.7728
SMARCB1	-1.0405
DTX3L	1.29216666666667
PLA2G4E	1.279
PPAP2A	1.296
ULK1	-0.370166666666667
TAS1R3	-0.0965
SLC2A3	-3.71845454545455
ARID3A	-1.4865
GNG5	-0.1775
ACOX1	0.2628
KIF5B	0.07025
NUP153	-0.74275
MUC7	0.6435
CSDE1	-1.25092857142857
CLPTM1	-0.09125
C3orf23	-0.282375
LRRC17	0.0941666666666667
TTYH3	-1.683375
ATP5B	-0.8575
ELF3	1.4988
CPSF3L	-0.132833333333333
ZNF665	0.944166666666667
TLR6	-0.0951
GPI	-0.54275
RAD9A	-0.326
NDST4	-4.19775
AGPAT3	0.352833333333333
MAGI3	1.8945
ADORA2A	0.1355
CACNG7	-0.7385
CAMK2D	-1.19938461538462
CCHCR1	-0.36975
RPS27A	-1.48825
OR10G7	-0.3565
GCM2	0.5555
FAM135B	0.9966
E2F1	-1.7035
PLCB3	-0.1605
OR2AE1	0.493
COIL	-1.3315
CDC25C	-1.3145
RAB11FIP2	0.326833333333333
TSC2	0.1165
CTGLF5	-2.0895
CCDC108	0.789888888888889
OR13C4	0.56325
C10orf81	0.9015
PTPRB	1.96825
ACP2	0.897
LAG3	0.3085
MRPL54	1.3135
LOC201175	1.9465
ITGB1BP3	-0.4665
SPTAN1	0.348666666666667
SIPA1L2	0.23
RCAN2	-0.2265
CDX2	-0.327
ECOP	0.03125
ACTR1A	-0.197714285714286
PPARG	-2.24583333333333
BBS10	1.2355
TMEM44	-1.820875
BPIL2	0.329333333333333
CITED1	-0.124
IRF6	4.94275
PRDM4	-0.371666666666667
RRP9	-0.829333333333333
OR10H4	0.63125
IL31RA	-0.582333333333333
GNB1L	-1.65183333333333
MYBL2	-2.480125
ZNF407	0.8805
PPIG	-0.873166666666667
TTC18	2.3835
RPSA	-0.9165
MAPT	1.73157142857143
MRE11A	0.184230769230769
C8orf37	0.182833333333333
RASGEF1C	-0.72
STBD1	0.2875
CTAG2	-1.62
MGAT5B	-2.413
ECM1	1.784375
RLN1	1.3155
PARP14	0.71675
EPB41L1	0.2959
HOXA3	-1.57291666666667
MAGEA9	-4.6325
RPS8	-1.543
RPS19BP1	-0.4985
FOXJ2	0.198375
C10orf76	0.594625
IL17RE	0.12175
C10orf65	-0.097
ZNF343	-0.0858333333333333
FBXO33	0.197875
UHMK1	1.6459
LY6G6C	2.4265
FGF19	-1.9245
C14orf128	-1.21266666666667
IFIT2	2.9365
TIGD1	-0.99825
S100G	0.358
GUCY1B3	1.871
NR3C1	-1.6446
CORO1B	0.676833333333333
PARP11	-0.154083333333333
DNALI1	4.40783333333333
OR4N4	0.0428571428571429
MAP2K6	-1.08666666666667
FSTL4	-0.448
ANKRD47	1.196125
TMEM171	0.4285
PNLIP	0.703333333333333
YY1	-0.451333333333333
CCDC138	-2.04166666666667
AASDHPPT	0.5169
CKS1B	-0.3765
MCM3	-1.0525
ANAPC7	-1.2105
FAM110A	1.5925
CDC37L1	1.28033333333333
THTPA	0.6985
NBPF20	-1.021
WDR24	0.61625
NPTX2	-3.127
CBLB	0.806333333333333
CETN1	-0.274833333333333
RPUSD1	0.438
FAF1	-1.00525
CDK6	-1.0081
HMX2	-0.504
CSK	-1.31916666666667
TEAD2	0.23925
SNAP25	-2.79566666666667
TUFT1	1.9113
TMTC3	0.614166666666667
LCK	-3.202
SGOL1	-1.1715
AKTIP	-0.3155
FURIN	0.65875
SOX12	-1.0445
DEFB103A	-0.117333333333333
RAMP1	0.031
KIR3DX1	1.567
GAS2L3	-0.91025
PDE8A	-1.9628
EDN3	-0.905
GMIP	1.13375
SF3A2	0.9705
FN3KRP	-0.077
SMAD7	0.17025
RHBDD2	0.64775
OR11H6	0.698
PPP1R3B	0.81
C9orf23	0.9975
CADPS	-0.601
GOLGA8A	-5.323375
TMEM57	0.203833333333333
RGL3	-1.9045
S100A14	-0.171
FGFR2	3.5245
XRCC3	-1.0795
RTN4RL2	0.6895
MGC3771	2.3515
GH2	-0.155833333333333
BTBD2	-0.40975
LMO2	-0.04975
RDBP	-0.045125
ACRBP	-1.384
AMY2A	0.05225
DUOXA1	1.8665
PTK7	-0.376333333333333
TWF2	-0.5105
FAM80A	-1.894
TNNI2	-3.18216666666667
GLT25D1	-0.781666666666667
OCC-1	-2.489
CYC1	-0.146333333333333
RPL22	-0.475363636363636
MORN3	0.0695
DISP1	1.2195
PRB2	-0.6195
CHUK	-0.5375
HR	-0.255375
CCDC134	-0.3035
DENND4B	-1.50575
C14orf130	0.516875
RAB33A	-1.538
DCST2	0.627
TNMD	-2.23
PEX7	2.31425
FAM62A	0.604375
SRD5A2L	0.61225
IL22	0.65825
RPS26	-0.964166666666667
HOXC5	-0.299
SPATA6	1.377
FLJ38482	0.672
ZNF234	1.9595
C18orf22	0.18025
SPATA22	1.2825
THOC1	-0.2945
CYP7B1	3.39275
KCNC3	-0.532
C8orf42	-1.4945
ALDH1B1	-0.0305
CCDC100	0.3517
ARMC4	-1.66425
FAM18B2	0.20175
SLC44A1	1.55725
FBXO17	-2.09166666666667
C6orf107	-0.5035
C19orf29	-0.28125
ZC3HAV1L	0.25675
PARP6	-1.0382
SULT2A1	-3.785
C1orf159	-1.0175
TMC1	-0.669
CHST14	-0.46625
GAMT	0.614166666666667
SMCP	-0.4335
TSPAN33	-0.287083333333333
MIDN	0.482625
NOX4	2.66625
RNASEN	-0.4333
TBX1	-1.6998
SALL2	-2.25575
C10orf35	0.93075
CYP2E1	-0.7015
LRFN2	2.349
ACO1	-0.6415
IQCG	1.3501
MEGF9	2.967
TM7SF4	0.1005
PLEKHA1	0.947466666666667
STK33	-1.75975
C1orf210	2.10075
SNUPN	-0.1126
KIAA0406	-1.4152
C20orf29	0.5635
TMEM55B	-0.1775
OSTM1	-0.1035
CLCN7	0.0555
OTP	-0.26175
FLJ23049	-1.29233333333333
HEATR4	0.978
MAP3K10	0.9625
PCDHGA9	0.6745
AMDHD2	0.6715
LCTL	-1.63
PDCD2L	-0.00474999999999999
CABLES2	-0.56775
SLC5A9	-0.1265
CLCA2	-2.551
MGC16025	0.759
STRAP	-0.835666666666667
C20orf196	-0.1755
RRBP1	0.8405
NAT13	-0.534
MAT2B	0.712
CSNK1D	-1.357
KIR3DL1	0.19375
PRKAG3	-0.032
ZNF599	0.2795
PRM3	1.3525
PER2	0.41
ASPHD1	-1.2025
PRMT6	-0.983
KCNE1L	-0.662857142857143
FAM118A	-1.08116666666667
TAF4	-0.4865
NDUFB6	0.76825
TRIM9	-1.36372727272727
PMFBP1	0.05275
KY	1.789
DKFZp762E1312	-2.484
CSMD1	0.222
TBP	-0.443666666666667
OR1Q1	-0.351
RETNLB	0.896
HPGD	-1.18092307692308
DNAJC12	1.0925
FKBP1B	-2.19625
ANKRD24	-0.266166666666667
CXXC5	0.839
IL3	1.16683333333333
DRAM	-0.4272
PTCH1	-1.27625
TP53BP1	-0.6275
SLC17A7	0.17525
COL25A1	-0.9898
AMACR	0.286333333333333
RHCG	-0.8915
VPS13A	-0.384416666666667
FAM55D	0.8635
PRPF38B	-1.16825
OSBPL6	0.29575
PFDN5	0.2187
CMTM6	1.211625
KCNK12	-1.378
RP2	0.72625
C16orf52	-1.476
PICK1	-0.4095
IFNE1	-0.9682
SEMA4B	0.325
TYRO3	-1.932
OR12D2	0.6435
CSNK1A1	0.34495
FANCF	2.49325
LONP2	0.46925
TBL1Y	0.46425
LDOC1L	-0.468875
CCNC	0.43225
C3orf60	0.332
CHKA	-1.5305
UBAP1	-0.1525
MAP3K1	0.8785
ANKRD9	-1.30875
FAM92A1	-0.976666666666667
GAB2	-0.323125
AZU1	-0.11825
DIS3	-0.41025
C21orf109	-0.446
IQCB1	-0.8875
SPATS2	-0.286666666666667
EFCAB3	0.0360000000000001
PRB3	0.52575
FUZ	0.4115
ZNF813	0.915125
BMPER	-1.71633333333333
HEG1	-0.792625
ALS2CR11	-1.386
SURF2	0.0595
PSMC1	-0.198416666666667
OR2D2	0.2755
SLC7A8	2.31266666666667
C4orf40	0.4785
SPATA7	0.2705
MAZ	-0.681916666666667
PIN4	1.34325
PDE1A	-1.051
TAF6L	0.1675
OR2T34	0.394
KIAA0284	0.319
ACADS	-0.0497272727272727
MKRN2	-0.9295
C18orf56	-1.61875
MS4A6E	-0.1645
GALNT4	1.1038
C22orf31	-0.079
FLJ36070	1.247
PSME4	0.36425
TFG	-0.1466
EPHX2	2.64725
ANXA5	-0.267375
KRTAP1-1	-0.0698
BATF	2.83275
KARS	-1.7635
MSTP9	-0.2425
GPR26	5.228625
CCDC72	-0.11775
TEF	0.0603333333333333
FOXK1	-1.5546
PRLHR	-0.0265
EMX1	3.98475
C11orf30	0.0995
ICK	2.196875
THSD7B	-0.423
C21orf100	-1.405
DUOX1	0.07
EFCAB4B	-0.328333333333333
UBE2G2	-0.837666666666667
C3orf54	0.55475
PARP1	-0.4495
FAM60A	-0.0876666666666667
C6orf146	0.322
OR9K2	-0.0825
DDX55	-1.68416666666667
RPS15	0.0133333333333333
ZNF618	0.761125
DKFZp686D0972	-0.69375
SSPO	-0.395
SHFM3P1	0.207166666666667
CPA6	-0.603
JAG2	0.62275
DEFA3	0.8645
PPBPL2	0.7152
CD34	4.360625
SLCO4A1	-3.10425
AFG3L1	-2.32466666666667
SHD	-0.485
RP13-122B23.3	-0.549833333333333
PRKCSH	-0.366
DPH5	-0.759
HLA-F	2.123125
TBC1D4	-0.24025
RIG	-0.2824
GLUD1	1.34083333333333
HNRPCL1	0.06075
HBXIP	-0.5865
RNF207	-2.3385
APIP	-0.05975
PLA2G3	-2.95866666666667
CCDC84	-1.82725
MYLIP	0.410230769230769
PHIP	0.308
AARS2	-0.015
DHX32	1.0475
SCAPER	-0.689
MEN1	-0.0212857142857143
NIP7	-1.58675
FLJ25404	0.59
FASTKD3	-0.613
TMEM158	-2.6925
RARA	1.4555
BDH1	0.8175
ANKRD16	0.91525
CARM1	0.238
SS18	-0.0823333333333333
IKZF2	-2.15018181818182
MYD88	-0.3405
PML	0.06135
TAF1A	-0.2165
CBFB	-0.77125
HIST1H3H	-1.0225
C7orf29	-2.32125
COMMD4	-0.628166666666667
DPP3	-0.1665
DAB2	0.31575
LOC388882	-1.158
YPEL4	-1.06975
AGBL3	1.629
LRP6	1.081
SERPINH1	-0.627583333333333
TLE1	1.4975
CD244	-0.0753333333333333
ZDHHC15	-1.50175
MGLL	-0.9821
PLDN	-0.882666666666667
LOC654346	1.662
FAP	2.1765
GPR37	-1.57033333333333
SCARA5	1.42933333333333
EBF4	1.27418181818182
LSM6	-0.4535
MLLT1	-0.3523125
SLC5A12	0.05075
A2BP1	0.179833333333333
COPS5	0.321333333333333
TPM4	0.804357142857143
TNFSF4	1.54516666666667
ACADSB	1.90855555555556
HERPUD1	-0.34525
BCL2L11	-1.52033333333333
CEP78	-1.7015
CDCA3	-1.428125
WBSCR19	-0.2896
MYO1A	-2.161
PPEF1	3.54933333333333
LOC440348	-0.8395
CPEB2	0.906625
BPTF	-0.507416666666667
RPL21	-0.3653125
GSX2	1.015
ADPRH	0.813333333333333
C17orf68	0.785666666666667
KCNS1	-0.188833333333333
MLLT6	-0.3714
PIWIL4	0.4705
RNF26	-0.51425
RAP1B	0.725625
ADAMTS1	-2.6771
ZNF571	0.75925
P2RY6	-0.38875
TRIM21	1.26416666666667
CADM3	-0.0717499999999999
NLRC5	-0.00683333333333334
ADRA2B	-0.671
LOC90835	1.184375
PCF11	-0.18925
LOC400451	1.43025
GLTSCR1	1.0115
C17orf88	-0.693
CDH16	-2.13025
FGF7	1.1055
PCSK4	0.680166666666667
NPC1L1	-1.246
TAT	0.814125
TBCA	0.226
MGC33407	0.14275
GPR115	-1.71525
CYGB	0.215
FNBP4	-1.39333333333333
C12orf43	-0.6995
CBL	-0.6382
CLECL1	1.99225
PPAPDC1A	1.149
WDR25	-0.0428333333333333
SGCA	1.271
C22orf29	-0.381666666666667
YIPF1	1.494
GALK2	-1.29875
RAB3B	-0.02075
LOC440087	-0.689
UCP1	4.768
REEP5	1.984375
FADD	0.2697
FOXA1	3.797125
CACNA1A	0.379833333333333
ABI1	-0.1305
GRIN2D	1.45475
SLC1A4	0.513833333333333
LOC401127	-1.00075
HINT2	0.573
PLD4	-0.51
ZNF286A	-1.72
ENY2	-0.26075
IL1F6	0.379
PXDNL	2.135
C20orf79	0.399
TNFSF13B	2.83316666666667
DENND3	0.812375
JARID1D	-3.65775
HIST1H2AK	0.865625
LOC93349	-0.9759
SSH1	-1.10222222222222
ENSA	0.77675
LOC219854	1.00116666666667
CKAP2	-0.4038
DKFZP564J102	1.6395
MGC87315	-0.3405
HNRPAB	-0.53025
AMH	0.038
ZNF526	0.848
BRUNOL5	0.2331
CACNG3	0.5065
TRPM1	-1.619
PPP2R1A	0.46575
COL2A1	0.22475
DDN	-0.0526666666666667
FLJ25770	0.519818181818182
HK2	-0.150714285714286
ELOVL6	-2.128625
MDK	-1.512
EPHX1	1.146
RASSF2	0.07875
DKFZP434B0335	-0.6365
DLX3	-0.804625
PRTN3	-0.67775
AVPR1A	1.49275
C21orf125	-2.1615
TNFAIP8	-1.3665
GNB2L1	-0.495
CALCRL	3.9195
SCGB2A2	8.35583333333333
UBXD7	-0.124
ZNF674	-0.277
TMEM35	-0.205625
BRSK2	-0.840875
HECTD3	-0.317333333333333
TMEM188	-0.900666666666667
LGALS9	1.553
SCARB2	0.756583333333333
USP34	-0.582083333333333
C17orf28	1.92316666666667
ZDHHC23	0.01725
AQP12B	0.5215
SLC16A3	-2.98025
APLP2	1.8175
ITIH2	-5.26425
MICAL3	-1.31575
TNNI3K	1.0171
HDAC2	0.163125
PRR7	0.0609000000000001
THBS2	-0.171375
LOC751071	0.326333333333333
CA2	0.7365
RANBP17	-2.78125
RLN3	0.0666666666666667
CRYZ	-0.523666666666667
GBAS	0.506666666666667
TAS1R1	-0.624
MPZL3	0.9935
PCDH8	-1.817
HSP90B1	-0.616916666666667
KCNK15	1.773
TNIP2	-0.692666666666667
GPR146	-0.89125
NOL6	-0.100125
SPC25	-2.64222222222222
STEAP2	2.86435714285714
VAMP3	0.0825
TCIRG1	-0.7315
ZP4	0.412333333333333
PARL	-0.499375
TRIM39	0.00316666666666667
KIAA1305	0.626
CRNN	0.608666666666667
GRN	0.3485
HSH2D	1.42275
SCAMP1	1.3258125
KIAA1913	0.2605
PTS	0.53775
BANP	0.0125
PRKACG	-0.14425
ADCY6	0.4065
C16orf46	0.856
CYP51A1	0.238375
DDC	-5.53325
ANPEP	-0.951666666666667
PROM1	-3.4388
SIGLEC10	1.5405
COPG	0.504
FAM26E	1.194875
TRIP4	0.1445
SNX3	-0.289833333333333
C1orf175	0.2395
PPY2	-0.692
C14orf152	0.6985
FTSJ1	-1.07116666666667
DST	-1.051
LOC554235	-1.025
GLRX5	-0.581
C20orf12	0.7558
CAB39	-0.458
MSH2	-1.64216666666667
PIP4K2C	1.570875
CYLD	0.224375
WTAP	0.559625
MGAT4A	1.70933333333333
TSC22D4	-0.5132
CHRM2	-1.368
PPYR1	0.433166666666667
CCNH	0.3775
RRM1	0.00749999999999999
ECAT8	-2.98925
LOC400120	-0.2555
GABRA4	0.901571428571429
C14orf4	1.66333333333333
C1orf59	-1.446
CTDSPL	1.11666666666667
NHEDC2	-2.37
PDE11A	-0.442285714285714
KLHL29	-2.07975
CD5	-1.5225
TSPAN9	1.5225625
WDR67	-0.23425
THUMPD1	0.6997
C18orf17	0.4685
CLYBL	0.031
FLJ13231	-0.0395
CMBL	1.46575
LECT2	-0.904
NKAPL	1.04983333333333
LOC654780	0.102
OR4C6	1.2885
RAB30	1.70333333333333
TSSK4	-0.3415
TMEM163	0.08
OSBPL11	0.257333333333333
GNB5	-2.26466666666667
CCL21	0.39425
C1orf121	0.298833333333333
FMO2	1.05916666666667
RPTN	-0.5615
MSTN	0.9395
VCL	-0.142357142857143
FYTTD1	-0.4055
C11orf1	0.73475
CCDC88C	0.5341875
HFE	-0.534722222222222
MOGAT1	0.103
FAM125B	-0.512666666666667
IRGQ	0.7325
RAVER2	-0.80725
AKAP5	0.837
SSSCA1	0.42575
C11orf63	2.03075
ACTG2	-0.4761
PORCN	-0.7805
DTL	-1.02054545454545
TMEM151	0.613
FAM122C	-2.65
RSAD2	3.0384
BAT4	0.361
KRTDAP	-1.88316666666667
MYH8	0.387125
CRTC3	0.373
LRRFIP2	0.961
INTS4	0.0703333333333333
TTN	-2.25483333333333
SLC26A5	0.809
PLLP	-0.08975
RGS6	0.157875
SRGAP3	0.686875
ZNF525	0.896333333333334
NBR2	-0.178833333333333
C13orf1	1.2585
ZNF137	0.9195
CEP27	-1.8505
BEST2	0.028
RNF121	-0.192
DMRTC2	1.09975
C8orf76	0.15925
BCCIP	0.36975
MEST	-1.36625
HTRA2	-0.917
ANGPTL2	0.375
ILKAP	-0.808166666666667
ERAS	0.2135
HBS1L	-0.723125
CPA5	0.569
TMEM30A	1.56016666666667
CD300LF	1.24716666666667
WISP3	-2.362
CRK	0.670928571428571
PDS5A	-0.4647
BRPF3	0.514166666666667
NEDD9	0.517
SMPDL3B	1.113
PSG6	-0.38925
PSMD13	0.32525
ETV5	-1.922
OR51A4	-0.3085
BTBD7	0.668333333333333
GSTO1	-0.348375
hCG_16001	0.474
MAD2L1BP	0.455666666666667
COX6A2	1.563
SCNN1A	2.46266666666667
LSM1	0.280333333333333
UGT2B11	-3.722
IDUA	0.61725
PPP2R3C	-1.11016666666667
COX11	-0.721
PDZK1	-2.46525
ZNF443	1.36816666666667
MGC21874	0.397666666666667
ZNF323	0.3604
KRTAP10-10	0.0815
CXCL6	0.1315
SLC34A2	2.9704
LOC284402	0.694
NPTN	1.30166666666667
UPP1	-2.17583333333333
SLC6A9	0.613
OR7G3	0.20125
CISD1	-1.0585
ZNF545	0.21
SYT14	-0.373
NT5C3L	-0.227166666666667
ZNHIT3	-0.2505
SNRPD3	-0.66175
KIAA0701	0.1205
UNC93B1	0.4275
GMNN	-1.953375
SPCS2	1.02883333333333
LOC388524	0.4075
NAPRT1	0.60875
PNLIPRP1	0.37025
OR6V1	0.773
PRKAB1	-0.14825
EYA4	-2.82466666666667
KIF20A	-2.13025
ALG10	1.24625
ITPKC	0.8175
LMX1B	1.3855
RPUSD4	-0.249
C7orf34	-0.6925
DLGAP2	0.426875
PFN1	-0.8769
MICALL2	-0.1155
ZNF654	0.0725
SS18L1	-1.3795
SLC16A8	0.58025
MKI67IP	0.0908333333333334
ITGB3	-0.872125
TCEA3	3.03116666666667
CEP152	-2.1379375
CLIP1	0.582625
ZNF75	0.364875
ATP5C1	-0.569333333333333
NUDT5	-0.6345
PSCDBP	-0.6375
UBP1	-0.09925
RBM27	0.91175
C13orf15	2.106
ZNF282	-0.330833333333333
ZNF222	0.8606
COL10A1	6.276
PRDM15	-1.163625
TTTY5	-0.5405
FAM9C	-0.37975
C20orf67	-0.489
GNG13	2.3065
F12	0.642
C1orf41	-0.61875
CPXCR1	1.181
GSK3A	0.181
SUPT6H	-0.488333333333333
PI16	3.2735
ELL2	0.308916666666667
C9orf167	-2.44333333333333
PVRL3	-2.3507
FLJ38596	0.998333333333333
ADAM20	-0.12775
GPR89A	0.3625
GPR87	-3.612
ZNF30	0.87325
SMR3B	0.29025
ZNF770	0.177
TRPC4AP	-0.901
DKFZP686E2158	1.05766666666667
C2orf28	-0.481
FREM1	-2.12033333333333
LAMA4	0.668833333333333
ADPRHL2	-0.97925
EIF4G2	0.244
GUCA1A	-0.126
CTNNA2	-0.951125
NUDT15	-0.814666666666667
CEPT1	0.0516666666666667
ZNFX1	0.8389
CCDC92	0.1975
TDRD1	-1.007
KCNK5	-2.65616666666667
ETNK1	0.511583333333333
LTA	0.7025
TTPA	0.353
B3GALNT2	0.966
SC65	-0.431333333333333
PEX5L	-0.043125
EPS15L1	0.7125
MGEA5	0.1405
HIST1H3A	1.7485
ING1	-0.035875
BCAT1	-2.85875
ORC6L	-3.30518181818182
KLK11	-5.13333333333333
C19orf28	-0.6655
DNER	-3.83857142857143
MED22	-0.942714285714286
ETV6	1.15891666666667
CHAC2	-1.80025
CD300E	0.1775
CEBPB	-0.0683333333333333
ZNF398	-0.4265
LRCH3	-0.2015
HMGA1	-1.59416666666667
CAPN7	0.196
MGC5566	-2.96075
CCL3	3.33233333333333
NANOS1	0.587125
ZFYVE19	-0.27825
APITD1	-0.498666666666667
PARD3	1.372625
IRAK4	1.07833333333333
SERPINI2	-0.764
CEP170L	-1.103
TTC9	2.236875
MYOM3	-1.53675
MLPH	1.095625
LOC222699	0.435
NRG1	-2.43408333333333
TBC1D9	3.64481818181818
TTK	-1.77183333333333
ZNF557	0.9242
DDX41	-0.756333333333333
FANK1	4.214
UBE2D2	0.275875
PSMB10	1.136375
MYH7B	-0.277
GABARAPL2	-0.051375
MARVELD2	2.601
DGCR2	-0.164666666666667
UNC45A	-0.3175
C6orf72	0.595
ZNF683	4.1035
GIT2	-0.534125
CASK	0.235166666666667
C14orf161	2.894
LRRC44	-0.7275
TIFA	0.638375
UTP11L	-0.93425
C6orf65	-1.2325
FDPS	-0.39675
DUSP9	-2.1761
SLC17A8	-0.048
OR51G1	0.473166666666667
NANS	1.25125
OLFML1	1.68425
ATP10B	-1.69385714285714
NPAS3	-1.972
PRKCA	-2.7087
GGA2	0.5735
LCE4A	0.14
SPANXN3	0.71975
CCDC115	0.559625
SDCCAG3	-0.98725
GLIPR1L1	0.755
TTC1	0.25775
C17orf76	0.53125
MAD2L2	-2.291
HIPK1	-0.4796
LRRC3B	-1.13666666666667
CLN3	-0.284863636363636
C17orf47	-0.544
FMN2	-3.11275
TUBB1	-2.223875
WAPAL	0.137666666666667
C3orf21	-0.70525
SCN5A	-0.5077
SMYD1	-0.3585
BEX5	2.5495
ZNF192	0.4625
SEC22A	0.00116666666666667
GRIA2	4.89992857142857
KIAA0825	-1.015
NUSAP1	-2.48054545454545
