Hybridization REF	TCGA-E2-A10E-01A-21R-A10J-07
ICK	0.482125
THSD7B	0.06825
C21orf100	-0.7905
DUOX1	0.8785
EFCAB4B	0.3265
UBE2G2	-1.07083333333333
C3orf54	-0.35175
PARP1	-0.0725
FAM60A	-1.94808333333333
C6orf146	-0.1255
OR9K2	0.178
DDX55	-0.890333333333333
RPS15	0.330416666666667
ZNF618	1.47325
DKFZp686D0972	0.7725
SSPO	-0.4205
SHFM3P1	1.28566666666667
CPA6	0.008
JAG2	0.68675
DEFA3	0.09275
PPBPL2	0.118833333333333
CD34	3.538875
SLCO4A1	-3.78725
AFG3L1	-1.38683333333333
SHD	-0.55475
RP13-122B23.3	-0.182333333333333
PRKCSH	-0.92
DPH5	-1.489
HLA-F	2.070875
TBC1D4	-0.948
RIG	-0.0415
GLUD1	0.610333333333333
HNRPCL1	0.380625
HBXIP	-0.698
RNF207	-0.365
APIP	-0.7605
PLA2G3	-2.68583333333333
CCDC84	-1.46775
MYLIP	0.510384615384615
PHIP	-0.127
AARS2	-0.166166666666667
DHX32	0.7565
SCAPER	0.101666666666667
MEN1	0.10975
NIP7	-1.96
FLJ25404	0.024
FASTKD3	-0.7725
TMEM158	-2.35958333333333
RARA	1.79525
BDH1	1.154
ANKRD16	1.2835
CARM1	-0.1355
SS18	-0.115166666666667
IKZF2	0.6445
MYD88	0.944375
PML	0.76745
TAF1A	-1.37575
CBFB	-0.707375
HIST1H3H	-1.85366666666667
C7orf29	-0.8305
COMMD4	-0.422666666666667
DPP3	-0.084
DAB2	0.95425
LOC388882	-0.139
YPEL4	-0.726625
AGBL3	0.995
LRP6	0.6521
SERPINH1	0.113916666666667
TLE1	1.164
CD244	0.439333333333333
ZDHHC15	-0.2795
MGLL	-0.3631
PLDN	-0.08275
LOC654346	2.3375
FAP	2.78775
GPR37	-0.9645
SCARA5	0.5845
EBF4	2.28172727272727
LSM6	-1.589
MLLT1	0.022125
SLC5A12	-0.11425
A2BP1	-1.32616666666667
COPS5	-0.261666666666667
TPM4	-0.384571428571429
TNFSF4	1.225
ACADSB	1.14866666666667
HERPUD1	-0.37
BCL2L11	0.0688333333333333
CEP78	-1.043125
CDCA3	-1.678
WBSCR19	0.1997
MYO1A	-2.6095
PPEF1	1.996
LOC440348	-0.88
CPEB2	1.064
BPTF	-0.33125
RPL21	-0.20875
GSX2	0.0125
ADPRH	0.481666666666667
C17orf68	0.798833333333333
KCNS1	-0.762833333333333
MLLT6	0.1004
PIWIL4	-0.61
RNF26	-1.50575
RAP1B	1.010125
ADAMTS1	-3.2145
ZNF571	0.276
P2RY6	-0.05625
TRIM21	0.822666666666667
CADM3	0.39275
NLRC5	0.646
ADRA2B	-0.402333333333333
LOC90835	-1.027625
PCF11	-0.124
LOC400451	2.091
GLTSCR1	0.834
C17orf88	-0.656
CDH16	-1.37875
FGF7	0.938875
PCSK4	0.215333333333333
NPC1L1	-1.30566666666667
TAT	-0.300875
TBCA	-0.107
MGC33407	-0.4275
GPR115	-0.74275
CYGB	-0.347
FNBP4	-0.853
C12orf43	-0.002
CBL	-0.5474
CLECL1	0.2295
PPAPDC1A	2.151
WDR25	0.761
SGCA	0.418
C22orf29	0.583166666666667
YIPF1	1.168
GALK2	-0.81525
RAB3B	-3.69158333333333
LOC440087	-0.5625
UCP1	0.2585
REEP5	1.5515
FADD	-0.295
FOXA1	4.22875
CACNA1A	0.478333333333333
ABI1	0.192833333333333
GRIN2D	1.26775
SLC1A4	-0.772833333333333
LOC401127	-0.333
HINT2	0.191
PLD4	0.120666666666667
ZNF286A	-0.80825
ENY2	-0.57675
IL1F6	0.138
PXDNL	1.44975
C20orf79	-0.013
TNFSF13B	3.01366666666667
DENND3	0.427375
JARID1D	-3.5185
HIST1H2AK	0.273875
LOC93349	-0.4931
SSH1	-0.5695
ENSA	1.14025
LOC219854	0.0663333333333333
CKAP2	-1.2239
DKFZP564J102	0.302666666666667
MGC87315	0.137166666666667
HNRPAB	-0.39975
AMH	-1.007
ZNF526	0.348
BRUNOL5	-0.0145
CACNG3	0.149
TRPM1	-1.6095
PPP2R1A	0.4145
COL2A1	0.04175
DDN	-0.3025
FLJ25770	0.772083333333333
HK2	-0.2895
ELOVL6	-1.40625
MDK	-0.5665
EPHX1	1.3055
RASSF2	0.355125
DKFZP434B0335	-0.0935
DLX3	0.44475
PRTN3	-0.412
AVPR1A	-0.00124999999999999
C21orf125	-1.8375
TNFAIP8	-0.840166666666667
GNB2L1	-0.46875
CALCRL	1.9445
SCGB2A2	9.54783333333333
UBXD7	-0.26825
ZNF674	0.059
TMEM35	-0.44425
BRSK2	-0.44175
HECTD3	0.0168333333333333
TMEM188	-0.1105
LGALS9	2.8875
SCARB2	1.48466666666667
USP34	0.262666666666667
C17orf28	1.84158333333333
ZDHHC23	-0.694
AQP12B	-0.103
SLC16A3	-2.67525
APLP2	-0.0335
ITIH2	-5.0815
MICAL3	-0.30375
TNNI3K	0.3585
HDAC2	0.000125000000000014
PRR7	0.1634
THBS2	0.538875
LOC751071	-0.980833333333333
CA2	3.17766666666667
RANBP17	1.29925
RLN3	-0.2635
CRYZ	-0.493
GBAS	0.210833333333333
TAS1R1	-0.3955
MPZL3	0.2025
PCDH8	0.56525
HSP90B1	-0.0874166666666667
KCNK15	0.8385
TNIP2	0.4585
GPR146	-0.25175
NOL6	0.064625
SPC25	-2.55488888888889
STEAP2	4.23742857142857
VAMP3	-0.744833333333333
TCIRG1	-0.3395
ZP4	0.0883333333333333
PARL	-0.106375
TRIM39	0.438333333333333
KIAA1305	1.0935
CRNN	0.222
GRN	0.364
HSH2D	0.82075
SCAMP1	1.137625
KIAA1913	0.32725
PTS	-0.78025
BANP	0.193142857142857
PRKACG	0.08
ADCY6	0.927666666666667
C16orf46	-0.033
CYP51A1	-0.00337500000000002
DDC	-5.77925
ANPEP	-0.882666666666667
PROM1	-0.5055
SIGLEC10	1.505
COPG	0.9775
FAM26E	0.944625
TRIP4	0.416
SNX3	0.595166666666667
C1orf175	0.332166666666667
PPY2	0.0925
C14orf152	0.6965
FTSJ1	-0.577333333333333
DST	0.44515
LOC554235	0.17775
GLRX5	-0.25225
C20orf12	1.1723
CAB39	0.0953333333333333
MSH2	-1.33666666666667
PIP4K2C	0.424875
CYLD	0.649375
WTAP	0.1525
MGAT4A	1.71555555555556
TSC22D4	-0.348
CHRM2	-2.3485
PPYR1	0.353166666666667
CCNH	-0.224
RRM1	-0.56375
ECAT8	-3.2845
LOC400120	0.1435
GABRA4	0.01325
C14orf4	0.9185
C1orf59	-3.03375
CTDSPL	1.00333333333333
NHEDC2	-1.859
PDE11A	0.4719375
KLHL29	-1.6845
CD5	-0.5599
TSPAN9	1.8905625
WDR67	-1.07775
THUMPD1	0.0069
C18orf17	0.57275
CLYBL	0.171666666666667
FLJ13231	-0.176875
CMBL	0.8065
LECT2	-0.40275
NKAPL	1.24066666666667
LOC654780	0.718
OR4C6	0.4955
RAB30	1.49333333333333
TSSK4	-0.1025
TMEM163	0.3465
OSBPL11	0.0978333333333333
GNB5	-0.6345
CCL21	1.0915
C1orf121	0.7565
FMO2	1.47
RPTN	0.612
MSTN	0.495
VCL	-0.0272857142857143
FYTTD1	-0.1115
C11orf1	-0.55025
CCDC88C	0.7530625
HFE	0.115555555555556
MOGAT1	0.274
FAM125B	1
IRGQ	0.2425
RAVER2	-0.375
AKAP5	0.131
SSSCA1	-0.0985
C11orf63	0.48275
ACTG2	-0.3109
PORCN	-0.7965
DTL	-1.398
TMEM151	0.4625
FAM122C	-0.85275
RSAD2	3.3488
BAT4	-0.476
KRTDAP	-1.1745
MYH8	0.275125
CRTC3	1.03825
LRRFIP2	-0.1003
INTS4	0.9585
TTN	-1.15783333333333
SLC26A5	0.588
PLLP	-1.4225
RGS6	-0.41075
SRGAP3	1.673375
ZNF525	-0.0266666666666667
NBR2	-0.495333333333333
C13orf1	0.098
ZNF137	0.3865
CEP27	-1.51275
BEST2	0.03
RNF121	-0.27425
DMRTC2	0.5405
C8orf76	-0.8035
BCCIP	0.173125
MEST	-0.46975
HTRA2	0.321
ANGPTL2	0.2455
ILKAP	0.0035
ERAS	0.245
HBS1L	-0.69525
CPA5	0.205
TMEM30A	0.7835
CD300LF	1.3335
WISP3	0.271
CRK	0.726357142857143
PDS5A	-0.0739
BRPF3	0.916166666666667
NEDD9	2.02425
SMPDL3B	1.40925
PSG6	-0.3
PSMD13	0.08425
ETV5	-2.091375
OR51A4	0.276
BTBD7	0.8465
GSTO1	-1.020625
hCG_16001	0.3135
MAD2L1BP	0.0875
COX6A2	1.352
SCNN1A	2.5105
LSM1	0.114833333333333
UGT2B11	5.8125
IDUA	1.81425
PPP2R3C	-0.4965
COX11	-0.879166666666667
PDZK1	-1.06325
ZNF443	-0.0365
MGC21874	1.31683333333333
ZNF323	1.0233
KRTAP10-10	0.284
CXCL6	-0.2055
SLC34A2	0.7603
LOC284402	0.048
NPTN	1.2765
UPP1	-2.18475
SLC6A9	-0.388
OR7G3	0.13475
CISD1	-2.99766666666667
ZNF545	0.108666666666667
SYT14	-0.6725
NT5C3L	-0.132166666666667
ZNHIT3	-0.223166666666667
SNRPD3	-0.12825
KIAA0701	0.65425
UNC93B1	0.302333333333333
GMNN	-1.608625
SPCS2	0.7795
LOC388524	-0.094
NAPRT1	-0.036
PNLIPRP1	-0.04625
OR6V1	0.47
PRKAB1	0.52675
EYA4	-2.65766666666667
KIF20A	-1.72075
ALG10	-0.32525
ITPKC	1.01483333333333
LMX1B	1.56816666666667
RPUSD4	-1.06866666666667
C7orf34	0.0538333333333333
DLGAP2	0.30625
PFN1	-0.2707
MICALL2	-0.15175
ZNF654	-0.051
SS18L1	-1.15925
SLC16A8	0.0105
MKI67IP	0.188
ITGB3	-0.53275
TCEA3	2.42675
CEP152	-1.92725
CLIP1	1.165375
ZNF75	0.366375
ATP5C1	-0.197
NUDT5	-0.629666666666667
PSCDBP	1.78925
UBP1	0.109
RBM27	0.09375
C13orf15	1.766625
ZNF282	-0.0858333333333333
ZNF222	-0.334
COL10A1	6.06025
PRDM15	-0.73325
TTTY5	0.057
FAM9C	-0.34125
C20orf67	0.2705
GNG13	1.3445
F12	0.807
C1orf41	-1.446
CPXCR1	0.0435
GSK3A	0.381125
SUPT6H	0.153833333333333
PI16	0.720166666666667
ELL2	1.06133333333333
C9orf167	-1.8855
PVRL3	-2.483
FLJ38596	0.80175
ADAM20	0.29925
GPR89A	0.3205
GPR87	-1.0755
ZNF30	0.712
SMR3B	0.38025
ZNF770	0.010875
TRPC4AP	-0.355333333333333
DKFZP686E2158	0.205333333333333
C2orf28	-0.374333333333333
FREM1	-1.73583333333333
LAMA4	0.400666666666667
ADPRHL2	-0.44425
EIF4G2	0.534666666666667
GUCA1A	0.179
CTNNA2	-1.083875
NUDT15	-1.2875
CEPT1	-0.270166666666667
ZNFX1	1.1602
CCDC92	1.19575
TDRD1	-0.349
KCNK5	-2.0035
ETNK1	0.52325
LTA	0.672
TTPA	-0.00600000000000001
B3GALNT2	-0.106
SC65	0.891
PEX5L	-0.62875
EPS15L1	0.20025
MGEA5	0.151375
HIST1H3A	1.0805
ING1	0.06325
BCAT1	-2.86625
ORC6L	-3.60790909090909
KLK11	-5.78533333333333
C19orf28	-1.43975
DNER	-4.547625
MED22	-0.654928571428571
ETV6	1.43675
CHAC2	-1.9285
CD300E	-0.092
CEBPB	0.530833333333333
ZNF398	-0.0625
LRCH3	0.032
HMGA1	-1.92616666666667
CAPN7	0.19
MGC5566	-2.882
CCL3	1.73225
NANOS1	0.068
ZFYVE19	0.92525
APITD1	-0.870333333333333
PARD3	0.765875
IRAK4	0.0193333333333333
SERPINI2	0.395
CEP170L	-0.964
TTC9	2.45925
MYOM3	-1.1165
MLPH	2.798
LOC222699	0.6475
NRG1	-0.5215
TBC1D9	3.82463636363636
TTK	-2.93866666666667
ZNF557	0.3204
DDX41	0.1375
FANK1	2.394
UBE2D2	-0.025125
PSMB10	0.250375
MYH7B	0.2695
GABARAPL2	-0.787
MARVELD2	1.94
DGCR2	1.30666666666667
UNC45A	0.7005
C6orf72	0.643
ZNF683	3.7265
GIT2	0.134625
CASK	0.263833333333333
C14orf161	4.96766666666667
LRRC44	-1.4875
TIFA	0.821375
UTP11L	-1.1875
C6orf65	-0.822
FDPS	-0.551
DUSP9	-2.2849
SLC17A8	0.344333333333333
OR51G1	0.3065
NANS	0.78075
OLFML1	1.448
ATP10B	-0.914375
NPAS3	0.48275
PRKCA	-2.3019
GGA2	-0.5249375
LCE4A	0.2155
SPANXN3	0.11825
CCDC115	1.37875
SDCCAG3	-0.74025
GLIPR1L1	0.01925
TTC1	-0.0235
C17orf76	2.126
MAD2L2	-1.72475
HIPK1	0.7623
LRRC3B	-0.206833333333333
CLN3	-0.713409090909091
C17orf47	0.1195
FMN2	-2.03575
TUBB1	-0.99475
WAPAL	0.383333333333333
C3orf21	-0.000875000000000008
SCN5A	-0.4186
SMYD1	0.5635
BEX5	1.81725
ZNF192	0.3395
SEC22A	0.132333333333333
GRIA2	1.00171428571429
KIAA0825	-0.1875
NUSAP1	-1.78627272727273
LANCL1	0.085875
C15orf40	-0.5391
ZNF645	-0.01275
GPR61	-0.137
NLRP14	0.152
SNX21	0.5246
C1QTNF8	-0.5125
C17orf46	0.07225
IFNA8	-0.341
SPRR1B	-1.20483333333333
FLRT1	-0.741
SNX17	-0.0166666666666667
ASB2	-0.657666666666667
HBG1	-5.9685
RPRML	-2.03625
JOSD2	0.1655
PLSCR3	0.998
SPOCD1	-0.065
RAB39	0.005
GHRH	2.92333333333333
ITIH5L	0.6365
C17orf37	0.6555
SMCR8	0.5695
DPY19L2P3	-1.03716666666667
IL11RA	1.114
GDF3	-4.19666666666667
RPS6KB1	-0.932166666666667
DNAJC19	0.1842
TOP1	-0.36025
CRCT1	-0.89975
MPST	0.424625
DPM2	0.128875
FAM38B	-2.72383333333333
SLC18A1	-1.84116666666667
FARP1	0.778
PAX7	0.15775
TUBD1	-1.87025
GNL3	-0.585125
BTG2	2.82346666666667
NDUFS6	-0.2155
C1orf79	-2.27675
ERAL1	-0.364
ECHS1	0.91
VPS4A	-0.617833333333333
CYP11A1	-0.91275
ABCC6	-1.11571428571429
PBX4	-2.598
MOSC1	-0.08575
NCF4	0.34775
HYMAI	0.363
NAGPA	-0.445375
OTOP2	-0.083
ACOT12	-0.0585
MTHFD2L	-0.19925
LOC441376	2.64875
C19orf34	-0.2315
RAB1B	0.15775
ALDOAP2	-1.712
NTRK1	-1.98583333333333
ARTS-1	-0.6734
SLC6A11	-0.079
NAP1L2	0.45175
CNGB1	-0.0908333333333333
EPB41L4B	0.754916666666667
FAM134B	2.537625
HS3ST3A1	-1.1525
CPXM2	3.08275
SIRPB2	-0.07
CHORDC1	-0.6085
TRIB3	-1.289
SLC2A5	-0.10025
C2orf49	-0.640166666666667
DDX5	0.33725
OR5L1	0.0275
ANAPC4	-0.350666666666667
ZSWIM1	0.069625
LOC93622	-0.001875
KCNK3	0.1477
RP11-35N6.1	-1.3385
ZFP161	-0.188166666666667
AQP9	2.4255
SLC15A2	-0.6695
MREG	1.41266666666667
OR9I1	-0.425
PDLIM2	0.9075
ADAM7	0.2535
GSTCD	0.2215
WDR21A	0.000875000000000004
SLC12A8	2.1175
TMEM174	-0.01925
IGSF3	1.76716666666667
LRRN1	3.48425
LOC402117	-0.243
SRPK1	-1.1895
LY6K	-1.11925
NFIA	2.9055
PTCD3	-0.646875
LEP	1.859
PCDH21	-0.611333333333333
MAPKAPK2	0.405071428571429
NMNAT1	-1.385
LHFPL2	0.648875
C9orf43	-0.306
DIP2A	-0.058
ACTR8	0.1075
CCDC34	-0.7225
PTPN22	-1.183
ITGA3	-0.665875
FAM129C	0.282
RABGGTA	0.672333333333333
UNC45B	0.354
KIAA1033	0.271125
ZNF510	0.150166666666667
CYP2D6	-0.3465
SLC26A10	-0.609
STX8	0.394
LUZP1	-0.2725
WDR89	-0.451666666666667
EIF4G3	-0.2964
C5AR1	0.520875
ZNF623	-0.309
A2M	0.032
TGM7	0.132
GRPEL1	-0.545
LMNB2	-1.1762
ROCK2	-0.924333333333333
SNX16	0.056875
CCDC66	0.56725
ANXA3	1.15
KIAA1609	-0.62475
EED	-1.7165
RNF32	-0.0845
HES1	1.5686
CLC	0.210666666666667
ISL1	-0.3615
KIAA0528	0.44775
MANEA	0.7185
C1orf61	-2.44
hCG_2001000	0.37725
RAPGEF6	-0.2763
KIAA0020	-0.533166666666667
NEIL1	1.6015
C16orf45	-0.20625
RBM10	0.223666666666667
C10orf125	-1.908
MRS2L	-0.59625
DNAH17	-0.978375
C19orf10	-0.069
C1orf160	0.103
SLFN12	0.59325
EXOC3	0.0358333333333333
HIST3H3	1.074
NCOR2	0.528166666666667
TNFRSF9	0.52625
MFSD8	0.34025
ALX1	-3.52516666666667
NOL1	-0.9675
PODN	2.1015
TIAL1	-1.06975
HIST1H1E	-1.43725
NPY6R	0.43025
TM4SF4	-0.27325
CORO2A	1.5795
ETNK2	1.1845
APOE	0.0773
ANGPT4	-0.048
HDGF2	-0.03225
G30	-0.0125
ST8SIA4	-0.463625
F2RL1	0.776
FAM19A4	-2.0455
CCAR1	-0.357
B3GNT7	-0.0355
OPHN1	0.0486
DSCR6	2.08
C21orf13	0.664
GAS2L1	0.732833333333333
RFX3	0.248166666666667
COPS4	0.151375
BCHE	-5.0545
BCL2	1.556625
HBZ	-3.66233333333333
ARL13B	0.2525
MAPBPIP	0.893875
MYO15B	0.26775
SPZ1	0.05675
KIAA1324	3.25122222222222
PLCL2	1.487125
C4orf29	-0.46175
WDFY2	-0.48825
ZNF284	-0.665
NAALADL1	-0.207
DUSP5	0.254333333333333
PXDN	0.703375
SLMO1	-1.49325
TNXB	0.4098
BIRC7	-1.30425
A4GALT	0.141833333333333
TIMM22	0.03875
FAM110C	2.1645
TOMM34	-0.40375
ABHD9	0.3325
ADAM32	0.8785
CRHBP	-0.24
AQP2	0.396375
LOC130355	1.125
ZNF187	0.447333333333333
ZNF816A	0.4215
F7	2.143875
CNOT1	-0.8183
SLC13A4	0.47975
ZBTB11	-0.681
B3GALT5	0.05075
EXOC2	0.337666666666667
IRS1	-0.0303
TMEM1	0.0375
MRPL34	-0.0996666666666667
SAMM50	-0.05375
CDC42EP3	-0.603625
HSF2	-0.6286
MFN2	-0.73
TSPAN7	-2.18416666666667
NUCB1	0.794166666666667
RHOH	-0.041
ARL16	-0.2655
TACR1	-0.14675
SFRS5	0.2945
SNX25	0.335875
RHBDF1	1.2595
PCDH18	1.0805
HMG1L1	-0.01
MYO5C	1.68775
MAPK10	1.7305
LDHAL6A	-0.5245
NUDT12	0.1235
NCAM1	-0.00375
GLIS2	0.296
GGTL4	-0.09375
DAPP1	1.00175
ATF7	0.839875
KIAA0748	-0.78675
NFIL3	-0.6205
TM6SF1	0.2375
SEZ6	0.106375
NANOS3	0.719166666666667
DNAJA3	-0.538
CLDN6	-3.005
CIITA	2.0979
EPHA4	-0.698416666666667
FANCC	0.03275
CMTM3	0.65025
PSG3	-0.308125
MRPL15	-0.838
C21orf59	-0.11225
PLCXD2	-0.05225
C2orf34	-0.459875
UBE2L6	0.76825
MED14	-0.0785
HP1BP3	-0.9112
C6orf208	0.2885
TPBG	0.77625
OSR2	-1.112875
XPC	0.458333333333333
KLHL7	-0.92425
CCR3	0.085
AGTPBP1	-0.849166666666667
PCSK6	1.4062
STAT5A	-0.7781
FAM18B	0.23275
LONRF2	1.5785
PTPN2	-1.374125
SF3A3	-1.22066666666667
EFCBP2	-0.19825
HCFC1	-0.617333333333333
AHNAK	0.72915
ACTR5	-0.612
KIF14	-2.23828571428571
TENC1	1.53575
HEATR5B	0.852
YIPF2	0.472333333333333
MYEOV2	0.935666666666667
DUSP18	0.91075
KIAA1012	-0.64425
AHR	-0.499333333333333
C17orf53	-1.406
PTPRH	-4.41775
ATP6V1C1	-0.1022
TAS2R3	-0.2455
LOC440356	-2.1045
COQ10B	0.49475
PSMF1	0.6545
SORBS2	3.30733333333333
NFE2L2	0.1615
TMCO7	-0.579
SH3PXD2A	-0.0265
SH2D2A	-1.04775
SPINK5	-2.784
MRPS24	-0.763
OPA3	0.488875
TRAF7	-0.228
C4orf35	0.5355
MT1G	-1.324625
MGC39545	-0.103
HS1BP3	0.3853
OR2B2	0.3175
CHRM4	-0.2215
SFRP2	3.02158333333333
RIC3	0.37225
ART1	0.1275
C6orf1	1.48375
DUS4L	-1.17425
C10orf104	0.31125
TNFAIP6	3.1675
RTEL1	-0.467
CCT4	-0.5489
ZNF709	-0.2355
CHMP6	0.354166666666667
UPP2	0.33875
CYP19A1	-2.030125
CD151	0.346833333333333
NDUFA13	0.3315
ARFRP1	-1.04883333333333
FAM26B	1.656
CRYBA1	-0.707
MRPL41	0.259166666666667
NPFFR2	1.4425
HRH2	0.2445
SCAMP3	0.854
MTMR6	0.6837
MTG1	-0.627166666666667
UBTD1	1.42
CRABP1	-3.3185
FLJ33790	1.505
KIAA1908	-0.4255
GPR158	-1.53
PACSIN3	0.497
OMD	1.76966666666667
CATSPER1	-0.533
HOXB8	-0.47925
FBXO46	0.815
OAS1	2.3015
SVIL	0.137
PHB2	-0.694
ADCY3	-0.56
NDRG2	1.23316666666667
ERMAP	0.4022
APBA2	-1.83683333333333
IGSF9	2.493
WNT6	-0.218428571428571
MYCBPAP	1.54025
ATP2B2	-0.0911
CPVL	-1.424
TRAM2	-1.21491666666667
NOP5/NOP58	-0.634
ZNRF4	-0.2115
TLK1	0.69675
MTMR12	0.485
ZNF384	0.0121666666666667
FAM9B	-2.6365
RPN1	0.0211
PMVK	1.004
EIF3D	0.2182
SIX2	-1.0405
HPS1	0.802714285714286
RNF7	0.46475
PSKH2	0.227
KCTD13	-0.526166666666667
CSMD3	-0.5597
FBF1	-0.2565
IL8	-3.644875
SERPINB13	0.181583333333333
FBXL20	0.095
BLR1	0.3375
SH2B1	-0.420833333333333
RFNG	0.1425
RAB20	1.41433333333333
RBM7	-1.231
POLR1A	-0.211666666666667
TMPRSS4	-1.15625
TAF9	-0.7195
TERF2	-0.380666666666667
TNFRSF1A	0.964916666666667
ACADVL	0.615
GTF2H5	0.32075
EDG8	-0.59
C9orf140	-1.022875
UST6	0.197
ZBTB8OS	-1.29075
ZNF710	1.609
GPR174	-0.9815
ATP6V0A2	-0.445
KIAA0319L	0.3685
XKRX	0.3335
DOPEY2	1.7378
SDHD	-0.933
SUMF1	0.94775
OSM	3.671
OPN3	-1.707
DAGLB	-0.4195
PPFIBP1	0.6471
TRIM63	-3.97225
C10orf53	-0.378
LYPD3	1.392
BCL7A	-0.303875
AGER	-1.29583333333333
TCF19	-0.6325
SAT2	0.37825
PFTK1	0.279666666666667
GABRE	-2.9745
C15orf38	1.6066
FIS1	0.2395
KCNV2	0.12925
CLPS	0.44925
PPCDC	-0.578625
FOXN2	-0.0826666666666667
NT5E	-3.2913
CD83	0.6325
IL18	-0.394125
VPS16	0.63
IGFBP2	-0.522333333333333
NOTCH2	1.52625
SIGLEC1	2.422625
CD93	4.1015
SULF2	1.43375
CEP164	-0.74575
P53AIP1	-0.022
TOR2A	0.220833333333333
ZNF136	-0.244
MGP	3.3345
CCDC144A	1.21833333333333
TRPC1	-1.20266666666667
SMS	-0.586166666666667
MAPK7	0.136
RRAGC	0.10475
PARD6A	-0.025
NUB1	0.433333333333333
SYNGR4	0.65525
OR11H12	-0.239
WIF1	1.0495
GCH1	-0.12175
OR11H4	-0.122
SLC44A5	0.6575
GPRIN2	2.465
LOC401431	0.40675
CPA4	-3.1411
MELK	-2.31377777777778
IL15RA	0.0925
CUL3	0.411375
HMBOX1	1.33025
PODXL	-2.143
CCT6B	1.38716666666667
COMTD1	0.19625
MUC20	2.2765
GPX2	-3.48375
ITK	-1.2115
FBXL5	1.883
C13orf27	-1.96375
DEFA5	0.296
TRHDE	0.445
MTP18	-0.276833333333333
UQCRQ	1.4331
ITGB2	1.14708333333333
CSRP2BP	0.313
TAS2R44	0.4485
PHPT1	0.65775
FAM44C	-0.07325
ERH	0.102
MPHOSPH1	-1.94333333333333
MORC1	-0.0495
PARVB	-0.565
LAMA1	-2.03616666666667
PGBD3	0.59775
GIMAP6	3.181
AREG	-1.807
LIPT1	-0.2785
MGC99813	-0.0395
C1orf201	-0.683333333333333
GRIN2A	-0.4304
MAN2C1	-0.224
NSUN5	-0.5325
SF3B5	0.23825
MYC	-1.8173125
NRXN1	-0.06325
ZNF18	1.10675
SPDYA	-0.273
SLC37A1	1.6585
DECR2	0.6765
ANKRD38	1.11625
SPTLC3	-0.718166666666667
SUPT16H	-0.349125
DTWD2	1.39375
ULBP1	-0.3615
ZADH1	0.6125
OIP5	-2.77225
IL10RB	-0.0898333333333333
OTUB2	0.321875
VWA3A	-0.006
SPIC	0.286666666666667
OR6C4	0.171
PSCD4	0.837666666666667
DPY19L2P2	0.1145
TRAPPC6A	0.905
C21orf2	0.021
CEMP1	-1.04175
LIN7B	0.1915
E2F7	-2.20716666666667
VCP	0.2843125
LAMA3	-0.104833333333333
BGN	1.9045
GPR160	1.97866666666667
COCH	-4.46233333333333
GPR81	1.99316666666667
APOBEC3F	-1.49525
tcag7.1017	-0.58125
C1orf32	0.314
SCGB1D2	7.688
FLJ43987	0.36
C6orf170	-0.4055
KLK9	0.535
GPD1L	1.76175
VPS37B	-0.083
ATG3	-0.461166666666667
ADAMTS17	-0.268
KLHDC2	0.483166666666667
NDUFV2	-0.7555
BLK	-2.8765
MATN4	-1.624
GPM6A	0.533428571428571
GBP4	2.9545
TMEM162	-0.0246666666666667
PKP2	1.0385
HRASLS	-0.0134444444444444
MMP1	-3.0895
SFXN3	0.0331
FSD1	-1.956
ST6GALNAC3	-2.13483333333333
CA12	3.7489
NCOA6	0.20725
C19orf58	0.0553
PPP4R1	0.1025
MAN1A2	1.09033333333333
IKBKAP	-0.80225
UPF1	-0.00466666666666666
KIAA1219	0.5295
WNT16	0.2995
SNW1	0.208625
IL18RAP	2.5035
RPP30	-0.158375
CDC40	-0.130285714285714
SETD3	0.178333333333333
SLAMF6	0.1405
ELK4	-0.0665
TRIM47	0.19
ACOX3	0.972375
TRIM6	0.66475
KIAA0372	-0.387166666666667
TP53AP1	1.03025
SMURF2	-0.71775
ADAD1	0.131
EBP	-1.2012
KRTAP13-2	0.0415
FLJ36874	-0.801833333333333
TOR1A	0.271666666666667
P2RY4	0.486
GPBP1	0.3875
TRPV1	0.0625
ADAMTS12	0.153833333333333
PES1	-0.3567
ATG4A	0.9425
MAGEA10	-4.7625
WFS1	1.92225
CC2D1B	-0.440666666666667
PABPN1	-0.474375
SLC25A30	0.107
SLCO1C1	0.0691666666666667
SLC22A5	1.455
KIF23	-2.046
SYN2	-0.264666666666667
ASPN	6.74866666666667
CENTG2	1.171
QSOX2	-1.5116
FLJ10815	0.156333333333333
STK24	0.1884375
SPEG	0.7479
STK10	0.12
DACT2	-0.73
AAAS	-0.74675
SSX3	-1.47725
ABCD3	-0.1929
C4orf12	-0.340625
PARVG	0.509
FIG4	0.9385
C9orf46	1.17125
TMCO6	-0.6115
IGHMBP2	-0.05125
DUS2L	-1.17533333333333
FAM3C	-0.4444375
TMEM16D	-1.684
DCTN4	0.6675
KCNH3	-0.2405
EIF2AK2	1.5495
AP1S3	0.781
CST4	2.4065
PAM	1.088375
NUTF2	-0.44375
CITED2	0.3324
SLC39A4	-0.47025
C2orf52	-0.8705
GRM3	0.2905
C12orf49	0.576125
CCDC49	-0.2729
GRAMD1B	-1.461625
FNDC4	0.48775
SIAH2	1.52975
GDPD4	0.17775
C21orf87	0.27575
ATP5A1	-0.628333333333333
C16orf63	-0.850625
LOC388135	-0.1585
ATP5J2	-0.490625
MMP3	-1.36175
EMID2	-0.31975
