Hybridization REF	TCGA-A7-A0CE-01A-11R-A00Z-07
IGBP1	-0.5759
DCAKD	0.33325
ELA2A	-0.048
C12orf56	-1.34325
PITRM1	0.747785714285714
GUK1	0.436833333333333
RASSF8	-0.1471875
OR2A14	0.8625
ADM	-0.374888888888889
FGD3	0.00766666666666666
GHRHR	0.0806666666666667
RHPN2	-0.24575
C4orf39	-0.922
VPS72	0.54025
SERF2	0.839222222222222
CD22	0.104833333333333
CD47	0.1681
PPIC	1.79883333333333
IMPDH1	-0.112666666666667
ACP6	-0.859
PRKACA	0.053125
PPP1R1A	0.366375
TRPV3	1.132
ASXL1	-0.781625
C17orf55	0.195666666666667
FXYD1	-0.459166666666667
LMOD2	0.599
ANKRD33	-0.1505
LCE2C	-0.3595
ZNF620	-0.804
DKFZP566E164	-0.56525
VSIG2	-0.6575
KIAA1128	0.70675
USO1	0.534
NUDT4	-1.07528571428571
CLDN1	2.35628571428571
OR4Q3	-0.1715
FASTK	0.0615
ICOS	0.648666666666667
LDB1	-0.33
GSTA5	0.6555
ABCC1	-0.691166666666667
FAM54A	0.61675
PCBP2	-0.309666666666667
NUP205	-0.4265
ACTA1	1.19483333333333
GABBR2	-1.112
PIP5K1B	1.39933333333333
AGXT	-1.8256
RNF181	-0.3405
ATP8A2	-2.09
AFTPH	0.8533125
FGF21	0.44475
FCER1G	1.805625
SNTB1	-1.7505
SLC24A3	1.57775
TXNL4B	-0.8079
RPL10L	-0.405666666666667
LOC389517	-0.1655
TSGA13	-0.0195
SHOX2	-0.961333333333333
ITGA7	0.3318
KCNIP2	-0.116
KLF13	0.0554
ZFAND2A	-0.438
CEACAM1	-0.669571428571429
PFKFB4	-2.67416666666667
MED19	-0.23575
LRRC57	0.5055
RNF11	0.137
ANKRD32	-1.9405
P117	1.04125
OBFC2A	-0.6955
POLD3	-0.771583333333333
RAB18	0.631625
TPH2	0.497833333333333
PHB	0.2088
JDP2	1.04833333333333
MORF4L1	0.0361
POU2F1	-0.039
CNNM2	-0.189833333333333
LOXHD1	0.132166666666667
ZC3H15	-0.57025
ELK3	-0.356833333333333
FAM111B	0.30775
CBLC	1.95266666666667
SBNO1	0.06675
ANKMY2	-1.00325
PLEKHA5	-0.00124999999999999
DHX58	1.00516666666667
ARCN1	-0.4615
TREML1	-0.2898
KNCN	0.295
SEC24A	-0.731875
PSCA	0.6695
MGC24125	-0.0896666666666667
DNA2L	0.0905
CIB4	1.923
HIGD2A	-0.478333333333333
TBX6	0.149166666666667
TTLL5	-0.642833333333333
SGK3	-0.6335
GCN1L1	-0.494
AMOT	0.1447
LDOC1	0.5045
NRK	0.234666666666667
ASB9	-2.05825
NAT1	-0.2607
TRAFD1	-0.66625
PEAR1	-0.406
FAM36A	0.362375
OR1S2	0.6955
LOC388323	-1.63575
PGS1	-0.492333333333333
LEPREL1	-0.28875
TFF1	-4.29825
HAP1	-0.135
EPHB2	-1.068
ACTG1	0.2205
ZFP42	-2.3206
HAVCR2	-0.1184
NME1	-0.071
SNX26	0.08825
LACTB	-0.2915
ZKSCAN2	-0.43925
C5orf35	0.223
ANKS3	-1.42375
RBM28	-0.731
DKFZP586P0123	-1.0745
HNRNPA1	-0.607
BCAS3	-0.891916666666667
FLJ20184	0.4375
POLA2	-1.3635
TMC7	-0.357833333333333
HSD17B6	0.97
ZNF658B	0.827333333333333
TTTY10	-0.195166666666667
RANBP9	0.15925
CPNE7	-2.36666666666667
EVL	-1.28317647058824
LNX1	-0.383583333333333
IFNA21	0.408833333333333
CFD	0.43825
PYCARD	-0.8595
MYBPC2	-2.045
ENPP3	-2.5205
ACSL4	-1.14275
LOC440258	-0.968666666666667
TMEM176B	3.20833333333333
SOX2	-3.959875
SCO1	0.137833333333333
COMT	-0.786
AOC2	1.03475
PDLIM5	3.16842857142857
SPHK2	-0.207
NXPH2	0.7195
GPR108	1.24216666666667
RAD51L1	0.0698333333333334
TMEM54	1.2875
LETMD1	-1.26122222222222
SLC6A17	0.47275
KRT75	1.18
STT3B	-1.11266666666667
CD3EAP	0.722833333333333
TMEM63A	-0.5845
DUSP13	-2.84125
CD1C	-1.95566666666667
LASS2	0.0588333333333333
AVP	-0.0535
PITPNM1	-1.18825
FLJ22795	-0.8885
MCTP1	-2.08775
TRIM68	0.206833333333333
UCK2	0.1265
ABHD1	-0.10325
FAM50A	0.424
RNASEH1	-0.102833333333333
PCP2	-0.130666666666667
OR52H1	0.4065
C20orf149	-0.341
RBP5	-0.989333333333334
HYAL3	-0.74475
CLPB	-1.86425
SMNDC1	-0.2485
DONSON	-0.9605
FLJ27523	-0.34475
BARHL2	1.6605
SLC30A9	0.476166666666667
TMPRSS11B	0.02725
E2F8	-1.34266666666667
CCDC25	-0.203
C14orf48	0.819166666666667
C20orf116	0.369125
TSPAN11	0.257
YIF1B	-0.957833333333333
FAM12B	-0.71875
OR1L6	-0.496
HPN	0.5242
NBN	0.24425
C14orf94	-0.819833333333333
OCLM	-0.363
ZSCAN18	-0.4034
L3MBTL	-1.7846
TSTA3	0.299833333333333
RAC1	0.873625
C19orf15	0.245
NFE2	-3.41525
KLK14	0.502
ARSF	0.275
MAST2	0.0393333333333333
AMICA1	0.664333333333333
GTF2A1	0.331125
ATP1A3	1.2135
TC2N	3.8325
PNKP	0.11575
ODZ2	-1.1755
MATR3	0.14775
S100P	3.99575
KRT82	-0.747
CA13	0.269
PROZ	-2.17633333333333
AASDH	-0.243
C19orf40	-0.580833333333333
DCK	-0.178923076923077
FAM5C	2.35675
SLC6A4	-2.8595
MID1IP1	-1.10425
TESSP5	-0.001
TMOD4	0.1865
DOCK2	-1.49783333333333
TUG1	0.105125
NUP214	-0.59875
DPYSL2	0.912
GOLM1	0.430583333333333
MPFL	-0.00500000000000001
SOX13	-0.922
SDCCAG8	0.8505
KEL	-2.985
NUP210L	-1.53925
GK	-1.1335
DNAJB1	1.23275
ALPK3	-0.1705
CHID1	0.1269
CYLC2	0.903333333333333
IKZF5	-0.42025
C8orf51	-0.7975
PPM1J	0.09025
GIMAP8	2.4785
GPR101	0.5585
NR2F1	-2.5115
ACAD8	-0.03925
RBM35A	1.61225
GNAI2	-0.167833333333333
METTL8	-0.265666666666667
SLC39A7	-0.55525
FBXO8	-0.934
CAMK1	-1.6175
RFC3	-0.5175
FAM129A	-0.541142857142857
ILF2	0.57775
FGFBP3	-1.5025
NOM1	-0.461666666666667
PSMA3	-0.62675
ASCC3	0.2812
ZYG11A	-2.77525
SOX21	-1.5905
LYRM1	0.27
DEFB1	2.9675
LOC91431	-1.5245
OR7C2	0.4245
FAM46B	0.996375
TMEM18	-0.011375
ARHGAP30	-0.119
TMEM86A	0.81575
EPHA2	-0.469333333333333
C10orf46	0.31705
TCHH	-0.284
C3orf30	1.8985
LOC285636	0.0225
PAIP2	0.2975
CYP2U1	0.899
C12orf34	0.4165
SARS2	-0.709166666666667
ZCWPW1	-0.01325
SAMD12	1.24975
KIAA1430	-0.32125
ACAT1	-0.4115
MEOX1	0.0791666666666666
ADAMDEC1	3.22725
PHKA2	-1.33275
CARD11	-1.3075
CALML4	-0.092
TSSC1	0.25625
TMEM45A	1.06088888888889
MPP7	-0.524625
POU1F1	1.4
SLC2A13	-0.7305
FBN2	-1.02164285714286
ZC3H7A	-0.1948
LAIR2	1.001
ST3GAL1	1.7225
LCT	-0.232
GEMIN8	-0.574
KLF16	0.5468
HIF3A	-0.3695
FAM44A	0.111785714285714
AQP10	-1.1759
PLA2G2A	4.975
FOLH1	2.54633333333333
C20orf186	0.23
MAPKAP1	-0.345625
SPRR2D	-1.09425
UBQLN4	0.209
RSHL1	0.1445
PIAS3	0.016875
MRPL24	1.0455
GREB1	-3.754625
FAM27E3	-2.853
NUP62CL	-0.54975
NEUROG3	1.391
REEP3	0.1985
MARK1	0.911125
LMBRD1	0.8645
PRPF19	-0.8
PNMT	-1.31333333333333
CTGLF1	-1.007
SLC25A16	-0.31175
EIF2B3	-0.131
RPA2	-0.435
PAK6	1.13266666666667
CCDC26	-4.1415
SEMA3E	-0.200875
MXD4	0.2528
TNFSF10	2.5704
SMARCB1	-0.412333333333333
DTX3L	0.9745
PLA2G4E	0.952
PPAP2A	0.867
ULK1	-1.05791666666667
TAS1R3	-0.063
SLC2A3	-2.63718181818182
ARID3A	-2.9955
GNG5	0.53325
ACOX1	-0.4242
KIF5B	0.0835
NUP153	-0.67
MUC7	1.127
CSDE1	-0.475357142857143
CLPTM1	-0.3145
C3orf23	0.1195
LRRC17	-2.52783333333333
TTYH3	-0.05225
ATP5B	0.504
ELF3	1.3345
CPSF3L	0.0406666666666667
ZNF665	-0.3915
TLR6	0.408
GPI	0.28875
RAD9A	-0.994125
NDST4	-2.74325
AGPAT3	-0.100333333333333
MAGI3	0.299
ADORA2A	-1.155
CACNG7	0.9735
CAMK2D	0.643285714285714
CCHCR1	-0.004
RPS27A	-0.45725
OR10G7	0.5665
GCM2	2.741
FAM135B	0.4729
E2F1	-1.01025
PLCB3	-0.084
OR2AE1	0.29
COIL	-0.235166666666667
CDC25C	-0.8575
RAB11FIP2	0.313833333333333
TSC2	-0.56225
CTGLF5	-1.626
CCDC108	0.9446
OR13C4	0.5225
C10orf81	1.6285
PTPRB	0.541
ACP2	0.4665
LAG3	0.47575
MRPL54	-0.57325
LOC201175	1.07
ITGB1BP3	-1.64525
SPTAN1	1.00516666666667
SIPA1L2	-0.28775
RCAN2	-0.9275
CDX2	0.5955
ECOP	-0.82625
ACTR1A	-0.0843571428571428
PPARG	-0.997666666666667
BBS10	0.200166666666667
TMEM44	-0.74075
BPIL2	0.40325
CITED1	-0.70425
IRF6	4.91575
PRDM4	-0.077
RRP9	-0.694166666666667
OR10H4	0.0215
IL31RA	-0.81075
GNB1L	-0.7535
MYBL2	-1.3485
ZNF407	1.188
PPIG	-0.509833333333333
TTC18	1.51475
RPSA	-0.0365
MAPT	-0.37725
MRE11A	0.220571428571429
C8orf37	-1.563
RASGEF1C	-0.0348333333333333
STBD1	-0.0455
CTAG2	0.0221666666666667
MGAT5B	0.2325
ECM1	-0.19475
RLN1	1.16
PARP14	1.1061875
EPB41L1	0.9919
HOXA3	0.145416666666667
MAGEA9	-4.97325
RPS8	-0.7135
RPS19BP1	-0.3575
FOXJ2	0.569375
C10orf76	0.359625
IL17RE	0.5665
C10orf65	-0.56875
ZNF343	-0.908
FBXO33	-0.15925
UHMK1	1.6952
LY6G6C	0.62025
FGF19	-2.6255
C14orf128	-0.679
IFIT2	2.626125
TIGD1	-1.151
S100G	1.113
GUCY1B3	0.3325
NR3C1	-0.3073
CORO1B	-0.522666666666667
PARP11	-1.77308333333333
DNALI1	2.038
OR4N4	0.35425
MAP2K6	0.272166666666667
FSTL4	1.1025
ANKRD47	0.733375
TMEM171	-1.506
PNLIP	-0.10625
YY1	0.219666666666667
CCDC138	-1.55766666666667
AASDHPPT	-0.8933
CKS1B	0.6414
MCM3	0.263166666666667
ANAPC7	-0.577666666666667
FAM110A	0.478
CDC37L1	1.36416666666667
THTPA	0.24525
NBPF20	-1.0115
WDR24	-0.426
NPTX2	-2.0085
CBLB	1.28933333333333
CETN1	0.409166666666667
RPUSD1	0.20975
FAF1	0.3425
CDK6	-2.304
HMX2	0.00850000000000001
CSK	-0.272666666666667
TEAD2	0.07725
SNAP25	0.47225
TUFT1	1.1186
TMTC3	0.575666666666667
LCK	-2.37725
SGOL1	-0.559166666666667
AKTIP	0.0775
FURIN	0.91975
SOX12	-1.35266666666667
DEFB103A	1.58025
RAMP1	4.50925
KIR3DX1	-0.0635
GAS2L3	0.13175
PDE8A	-0.816
EDN3	1.9235
GMIP	1.2605
SF3A2	0.80925
FN3KRP	0.28775
SMAD7	-0.473
RHBDD2	0.8915
OR11H6	-0.2295
PPP1R3B	-0.8646
C9orf23	0.24825
CADPS	-1.27025
GOLGA8A	-3.796625
TMEM57	-0.0981666666666667
RGL3	0.285
S100A14	1.76725
FGFR2	0.95325
XRCC3	-0.76175
RTN4RL2	0.27425
MGC3771	-0.218
GH2	-0.104166666666667
BTBD2	-0.18175
LMO2	-1.038
RDBP	-0.0855
ACRBP	-1.993
AMY2A	4.46625
DUOXA1	2.5765
PTK7	0.869333333333333
TWF2	-0.0531666666666667
FAM80A	-1.053
TNNI2	1.24216666666667
GLT25D1	0.124666666666667
OCC-1	-4.10325
CYC1	-0.0451666666666667
RPL22	0.0485909090909091
MORN3	0.399833333333333
DISP1	1.11925
PRB2	2.188
CHUK	0.03575
HR	1.103375
CCDC134	-0.86975
DENND4B	0.133
C14orf130	0.05725
RAB33A	-2.17675
DCST2	0.4625
TNMD	-0.38625
PEX7	0.14875
FAM62A	-0.07075
SRD5A2L	-0.07975
IL22	0.023
RPS26	-1.89033333333333
HOXC5	-0.67
SPATA6	-0.14925
FLJ38482	-0.941875
ZNF234	0.662
C18orf22	1.05225
SPATA22	0.46625
THOC1	-0.192
CYP7B1	1.22675
KCNC3	0.37075
C8orf42	-0.1625
ALDH1B1	-0.179333333333333
CCDC100	-0.5197
ARMC4	-4.01525
FAM18B2	0.52
SLC44A1	0.206375
FBXO17	-1.38
C6orf107	-0.6645
C19orf29	0.49425
ZC3HAV1L	0.3625
PARP6	0.0772
SULT2A1	-3.63975
C1orf159	-0.41375
TMC1	0.3245
CHST14	-0.755625
GAMT	-2.0755
SMCP	0.649166666666667
TSPAN33	0.463666666666667
MIDN	-0.551
NOX4	0.75275
RNASEN	-0.2331
TBX1	-1.48916666666667
SALL2	-0.92275
C10orf35	1.81675
CYP2E1	-0.458375
LRFN2	-0.652166666666667
ACO1	-2.05416666666667
IQCG	1.6384
MEGF9	-0.1395
TM7SF4	0.95825
PLEKHA1	1.38826666666667
STK33	-2.17975
C1orf210	1.40925
SNUPN	0.1535
KIAA0406	-1.1588
C20orf29	-0.5375
TMEM55B	-0.699
OSTM1	-0.9991875
CLCN7	-0.86175
OTP	0.16775
FLJ23049	-0.24525
HEATR4	0.927
MAP3K10	1.41233333333333
PCDHGA9	-0.2245
AMDHD2	-1.14675
LCTL	-0.361
PDCD2L	-0.95175
CABLES2	0.725
SLC5A9	0.23025
CLCA2	0.0225
MGC16025	0.034
STRAP	0.00433333333333333
C20orf196	0.1315
RRBP1	0.874666666666667
NAT13	-0.30525
MAT2B	-0.462875
CSNK1D	-0.4835
KIR3DL1	0.59775
PRKAG3	0.2
ZNF599	-0.363
PRM3	0.3045
PER2	0.9615
ASPHD1	-1.3875
PRMT6	-0.83875
KCNE1L	0.541857142857143
FAM118A	-2.03283333333333
TAF4	-0.7045
NDUFB6	0.2975
TRIM9	-1.2205
PMFBP1	-0.869
KY	0.5315
DKFZp762E1312	-1.47227272727273
CSMD1	-2.125
TBP	0.0055
OR1Q1	0.840666666666667
RETNLB	0.0985
HPGD	-0.560571428571428
DNAJC12	-1.736
FKBP1B	-1.14375
ANKRD24	0.366
CXXC5	-2.375
IL3	0.04775
DRAM	1.5778
PTCH1	0.163125
TP53BP1	0.78975
SLC17A7	0.651
COL25A1	-0.9327
AMACR	0.0216666666666667
RHCG	2.52225
VPS13A	-0.497666666666667
FAM55D	1.59
PRPF38B	-0.466166666666667
OSBPL6	-1.74225
PFDN5	0.2538
CMTM6	0.296
KCNK12	-1.4095
RP2	-0.39275
C16orf52	-1.08075
PICK1	0.003
IFNE1	0.5145
SEMA4B	0.767
TYRO3	-1.63525
OR12D2	-0.248
CSNK1A1	-0.2831
FANCF	-0.23725
LONP2	-0.607125
TBL1Y	-0.77625
LDOC1L	-0.189125
CCNC	0.39175
C3orf60	-0.61725
CHKA	-0.88075
UBAP1	-0.295
MAP3K1	-0.4145
ANKRD9	1.032
FAM92A1	-0.781166666666667
GAB2	0.264875
AZU1	1.93275
DIS3	-0.448916666666667
C21orf109	-1.1055
IQCB1	-0.168
SPATS2	-0.84
EFCAB3	0.25625
PRB3	0.09275
FUZ	0.34
ZNF813	-0.1775
BMPER	-0.8785
HEG1	-0.35925
ALS2CR11	-0.82275
SURF2	-0.335
PSMC1	0.365166666666667
OR2D2	-0.0125
SLC7A8	1.72066666666667
C4orf40	1.3195
SPATA7	0.3215
MAZ	-0.50925
PIN4	0.7815
PDE1A	-1.939125
TAF6L	-0.7295
OR2T34	-0.214
KIAA0284	0.59225
ACADS	-0.504545454545455
MKRN2	-1.383
C18orf56	-2.64825
MS4A6E	0.229833333333333
GALNT4	0.326
C22orf31	0.9925
FLJ36070	0.4945
PSME4	-0.01475
TFG	-0.2324
EPHX2	-0.3565
ANXA5	0.48675
KRTAP1-1	-0.1919
BATF	-0.302
KARS	-0.6705
MSTP9	-1.5485
GPR26	0.7635
CCDC72	-0.2085
TEF	0.00483333333333334
FOXK1	0.1486
PRLHR	-0.3055
EMX1	0.694
C11orf30	-0.201875
ICK	-0.073625
THSD7B	0.178
C21orf100	0.755
DUOX1	2.45
EFCAB4B	0.81425
UBE2G2	-0.723
C3orf54	-0.60425
PARP1	0.16925
FAM60A	-0.0811666666666667
C6orf146	-0.42325
OR9K2	-0.045
DDX55	-1.37833333333333
RPS15	-1.3645
ZNF618	0.6651875
DKFZp686D0972	0.93125
SSPO	-1.28
SHFM3P1	0.132166666666667
CPA6	-0.91025
JAG2	1.01225
DEFA3	0.056
PPBPL2	1.0355
CD34	3.391
SLCO4A1	-2.1195
AFG3L1	-1.41783333333333
SHD	-0.19925
RP13-122B23.3	-0.6265
PRKCSH	0.586833333333333
DPH5	-0.250833333333333
HLA-F	2.063125
TBC1D4	-0.78125
RIG	0.342166666666667
GLUD1	-0.416
HNRPCL1	0.398375
HBXIP	0.04025
RNF207	-1.1045
APIP	-0.9725
PLA2G3	-2.4405
CCDC84	-2.15675
MYLIP	-0.623307692307692
PHIP	0.06975
AARS2	-0.206
DHX32	0.63825
SCAPER	0.278666666666667
MEN1	0.30075
NIP7	-0.55
FLJ25404	0.9115
FASTKD3	-0.232
TMEM158	-2.6575
RARA	0.86275
BDH1	1.4475
ANKRD16	0.20525
CARM1	0.941
SS18	0.548166666666667
IKZF2	-0.889916666666667
MYD88	0.295
PML	0.49005
TAF1A	-0.54
CBFB	0.27475
HIST1H3H	-1.837
C7orf29	-1.492
COMMD4	0.0488333333333333
DPP3	-0.57325
DAB2	0.862375
LOC388882	-0.374
YPEL4	-0.911375
AGBL3	0.6855
LRP6	1.0477
SERPINH1	-1.02341666666667
TLE1	0.68
CD244	0.0801666666666666
ZDHHC15	0.40475
MGLL	-1.2144
PLDN	0.154166666666667
LOC654346	1.4155
FAP	0.834
GPR37	1.62416666666667
SCARA5	-0.550166666666667
EBF4	1.29718181818182
LSM6	0.64025
MLLT1	0.212625
SLC5A12	-0.5265
A2BP1	-0.0901666666666667
COPS5	-0.123666666666667
TPM4	0.463
TNFSF4	-0.283166666666667
ACADSB	-0.931055555555556
HERPUD1	-0.388
BCL2L11	-0.411777777777778
CEP78	-0.945625
CDCA3	-0.273375
WBSCR19	-0.3997
MYO1A	-1.9375
PPEF1	0.863166666666667
LOC440348	-1.1615
CPEB2	-1.277
BPTF	-0.306166666666667
RPL21	-0.53875
GSX2	-0.6785
ADPRH	1.02033333333333
C17orf68	-0.852166666666667
KCNS1	0.368166666666667
MLLT6	0.3867
PIWIL4	-1.24125
RNF26	-0.67
RAP1B	-0.14625
ADAMTS1	-1.9266
ZNF571	-0.37375
P2RY6	1.16225
TRIM21	0.650833333333333
CADM3	0.02025
NLRC5	0.715166666666667
ADRA2B	-0.0936666666666667
LOC90835	-0.883625
PCF11	-1.11075
LOC400451	0.82075
GLTSCR1	0.6081
C17orf88	-1.2165
CDH16	-0.64325
FGF7	1.60425
PCSK4	-0.284333333333333
NPC1L1	-1.56083333333333
TAT	-0.045
TBCA	-0.179
MGC33407	-0.08575
GPR115	-0.400375
CYGB	-0.773
FNBP4	-1.307
C12orf43	-0.73325
CBL	-0.4938
CLECL1	-0.00475
PPAPDC1A	-0.22625
WDR25	-0.734166666666667
SGCA	-0.305
C22orf29	-0.555
YIPF1	0.219
GALK2	-0.5075
RAB3B	-3.2445
LOC440087	-0.6345
UCP1	0.923
REEP5	0.91
FADD	-0.3529
FOXA1	-2.284
CACNA1A	0.341
ABI1	0.218666666666667
GRIN2D	0.91775
SLC1A4	-1.82166666666667
LOC401127	-0.72675
HINT2	0.18575
PLD4	-0.0991666666666666
ZNF286A	0.04875
ENY2	-0.40675
IL1F6	0.744
PXDNL	1.9705
C20orf79	0.69125
TNFSF13B	2.3885
DENND3	-0.106375
JARID1D	-3.44725
HIST1H2AK	-1.155375
LOC93349	-0.9935
SSH1	-1.5894
ENSA	-0.40825
LOC219854	-0.795
CKAP2	-1.5349
DKFZP564J102	1.25583333333333
MGC87315	0.141833333333333
HNRPAB	-1.27375
AMH	-2.846
ZNF526	0.609
BRUNOL5	0.1488
CACNG3	0.370166666666667
TRPM1	-1.6395
PPP2R1A	-0.03075
COL2A1	-1.691
DDN	0.2395
FLJ25770	1.1675
HK2	-0.490428571428571
ELOVL6	0.116875
MDK	-0.1695
EPHX1	-0.28575
RASSF2	-0.367875
DKFZP434B0335	0.2795
DLX3	-0.048125
PRTN3	-1.0175
AVPR1A	0.3405
C21orf125	-0.71175
TNFAIP8	-0.0893333333333333
GNB2L1	-2.04625
CALCRL	2.11925
SCGB2A2	4.49
UBXD7	0.08675
ZNF674	0.4345
TMEM35	1.16275
BRSK2	0.6865
HECTD3	-0.2435
TMEM188	-0.661
LGALS9	1.656875
SCARB2	0.61
USP34	-0.101833333333333
C17orf28	0.157916666666667
ZDHHC23	0.3955
AQP12B	-0.115
SLC16A3	-1.866125
APLP2	-0.293375
ITIH2	-4.358
MICAL3	0.065875
TNNI3K	0.657
HDAC2	1.163625
PRR7	-0.6366
THBS2	-1.43275
LOC751071	-1.0595
CA2	0.0451666666666667
RANBP17	-0.1905
RLN3	0.31325
CRYZ	-0.7525
GBAS	0.960666666666667
TAS1R1	0.383
MPZL3	-0.4015
PCDH8	-0.4015
HSP90B1	0.4325
KCNK15	0.372
TNIP2	-0.188333333333333
GPR146	-0.563
NOL6	0.233625
SPC25	-2.35811111111111
STEAP2	0.621285714285714
VAMP3	0.018
TCIRG1	-0.961
ZP4	0.0245
PARL	0.634625
TRIM39	0.148166666666667
KIAA1305	1.23225
CRNN	0.152166666666667
GRN	0.87325
HSH2D	-1.70075
SCAMP1	0.5635
KIAA1913	0.97675
PTS	0.09325
BANP	0.378285714285714
PRKACG	0.6475
ADCY6	0.117833333333333
C16orf46	-0.2765
CYP51A1	0.242625
DDC	-4.0675
ANPEP	-1.12366666666667
PROM1	3.1505
SIGLEC10	1.6705
COPG	0.7855
FAM26E	0.695125
TRIP4	0.741
SNX3	1.03633333333333
C1orf175	0.512833333333333
PPY2	-0.0255
C14orf152	0.39225
FTSJ1	-0.771666666666667
DST	0.27605
LOC554235	0.647
GLRX5	0.486
C20orf12	-0.2197
CAB39	-1.24583333333333
MSH2	-0.0853333333333333
PIP4K2C	1.37625
CYLD	0.36225
WTAP	0.9316875
MGAT4A	-0.285444444444445
TSC22D4	0.367
CHRM2	0.3195
PPYR1	0.313666666666667
CCNH	-0.999166666666667
RRM1	-0.09775
ECAT8	-4.1825
LOC400120	1.58725
GABRA4	-0.689625
C14orf4	-0.0518333333333333
C1orf59	0.91
CTDSPL	-0.0321666666666667
NHEDC2	1.758
PDE11A	-0.6964375
KLHL29	-0.8955
CD5	-1.4762
TSPAN9	0.5938125
WDR67	-0.36925
THUMPD1	0.6167
C18orf17	0.215
CLYBL	1.39466666666667
FLJ13231	0.121
CMBL	-1.790125
LECT2	-0.265
NKAPL	1.00966666666667
LOC654780	-0.0095
OR4C6	1.543
RAB30	-0.992333333333333
TSSK4	-0.2855
TMEM163	-0.864
OSBPL11	0.350583333333333
GNB5	-0.619833333333333
CCL21	1.02025
C1orf121	0.231666666666667
FMO2	1.64516666666667
RPTN	0.303
MSTN	2.0325
VCL	0.0776428571428572
FYTTD1	-0.02725
C11orf1	-0.47225
CCDC88C	0.02025
HFE	-0.414888888888889
MOGAT1	1.542
FAM125B	0.4275
IRGQ	0.882
RAVER2	1.143
AKAP5	-1.365
SSSCA1	-1.3025
C11orf63	-0.224625
ACTG2	0.9242
PORCN	-1.3335
DTL	-0.490090909090909
TMEM151	0.191
FAM122C	-0.4955
RSAD2	2.8008
BAT4	-0.6075
KRTDAP	-1.33466666666667
MYH8	1.146
CRTC3	1.18275
LRRFIP2	-0.1804
INTS4	-0.337
TTN	-1.1455
SLC26A5	0.1535
PLLP	-0.9445
RGS6	0.314
SRGAP3	0.601875
ZNF525	-0.043
NBR2	-0.535833333333333
C13orf1	-1.3685
ZNF137	-0.0665
CEP27	-0.5925
BEST2	-0.371
RNF121	-1.682
DMRTC2	0.01375
C8orf76	0.934
BCCIP	-0.011625
MEST	-0.88725
HTRA2	0.297
ANGPTL2	-0.318
ILKAP	-0.170666666666667
ERAS	0.111
HBS1L	-0.40875
CPA5	-0.576
TMEM30A	1.64466666666667
CD300LF	1.0055
WISP3	1.046
CRK	0.959357142857143
PDS5A	-0.319
BRPF3	-0.0455
NEDD9	1.641875
SMPDL3B	2.628
PSG6	-1.96575
PSMD13	-0.36025
ETV5	-1.79825
OR51A4	-0.8575
BTBD7	0.3915
GSTO1	-0.73375
hCG_16001	-0.519
MAD2L1BP	-0.0671666666666667
COX6A2	0.8435
SCNN1A	0.758333333333333
LSM1	0.1365
UGT2B11	-3.487
IDUA	1.4115
PPP2R3C	-0.962833333333333
COX11	-0.858333333333333
PDZK1	-2.96775
ZNF443	0.17
MGC21874	-0.203666666666667
ZNF323	0.6436
KRTAP10-10	0.02
CXCL6	0.44975
SLC34A2	1.6825
LOC284402	-0.664
NPTN	0.677
UPP1	-1.24425
SLC6A9	-0.311
OR7G3	1.09125
CISD1	0.636666666666667
ZNF545	-0.0798333333333333
SYT14	-1.5175
NT5C3L	0.495166666666667
ZNHIT3	-0.426666666666667
SNRPD3	-0.72675
KIAA0701	0.183375
UNC93B1	0.333166666666667
GMNN	-1.14325
SPCS2	-1.04666666666667
LOC388524	0.236
NAPRT1	-0.164875
PNLIPRP1	1.3415
OR6V1	0.398
PRKAB1	-0.701
EYA4	-1.77366666666667
KIF20A	-0.38475
ALG10	0.55375
ITPKC	0.525666666666667
LMX1B	0.797666666666667
RPUSD4	-1.61
C7orf34	-0.037
DLGAP2	0.950875
PFN1	-0.0839
MICALL2	-0.204
ZNF654	-0.9755
SS18L1	-1.10925
SLC16A8	2.4435
MKI67IP	-0.5025
ITGB3	-1.124
TCEA3	0.789166666666666
CEP152	-1.3158125
CLIP1	0.681
ZNF75	0.4179375
ATP5C1	0.133833333333333
NUDT5	-0.368666666666667
PSCDBP	-0.2755
UBP1	-0.69025
RBM27	0.4355
C13orf15	2.8025
ZNF282	0.518833333333333
ZNF222	-0.3395
COL10A1	4.655
PRDM15	-1.251375
TTTY5	1.193
FAM9C	1.35827272727273
C20orf67	-0.31675
GNG13	1.28
F12	-0.9115
C1orf41	-0.4865
CPXCR1	0.6385
GSK3A	0.022625
SUPT6H	-0.27
PI16	0.1265
ELL2	0.49125
C9orf167	-1.63716666666667
PVRL3	-3.2446
FLJ38596	0.33125
ADAM20	0.03575
GPR89A	1.0355
GPR87	-1.2995
ZNF30	-0.7045
SMR3B	0.809
ZNF770	-0.561
TRPC4AP	-1.11566666666667
DKFZP686E2158	0.657
C2orf28	0.725333333333333
FREM1	-1.32683333333333
LAMA4	0.151
ADPRHL2	0.044
EIF4G2	-0.339833333333333
GUCA1A	0.0895
CTNNA2	-0.999625
NUDT15	-1.09466666666667
CEPT1	-0.422666666666667
ZNFX1	0.0141
CCDC92	0.6655
TDRD1	-0.7735
KCNK5	0.854166666666667
ETNK1	-0.319
LTA	-0.02
TTPA	0.2412
B3GALNT2	0.071875
SC65	-0.215333333333333
PEX5L	-0.889
