Hybridization REF	TCGA-A7-A0DC-11A-41R-A089-07
TTC1	0.072
C17orf76	0.8775
MAD2L2	-1.878
HIPK1	0.4859
LRRC3B	0.652666666666667
CLN3	-0.526454545454545
C17orf47	0.026
FMN2	-1.6205
TUBB1	-0.54375
WAPAL	-0.448333333333333
C3orf21	-0.60075
SCN5A	-0.1867
SMYD1	1.17275
BEX5	1.057
ZNF192	-0.2055
SEC22A	-0.282166666666667
GRIA2	1.83121428571429
KIAA0825	-0.84125
NUSAP1	-3.98236363636364
LANCL1	-0.053875
C15orf40	0.1815
ZNF645	0.1775
GPR61	-0.17
NLRP14	0.039
SNX21	0.7385
C1QTNF8	-0.3775
C17orf46	0.43225
IFNA8	0.1375
SPRR1B	-1.2705
FLRT1	-0.71975
SNX17	0.485166666666667
ASB2	-0.1945
HBG1	-4.7765
RPRML	-0.67925
JOSD2	-0.198166666666667
PLSCR3	0.664
SPOCD1	-1.745
RAB39	-0.0355
GHRH	0.0603333333333333
ITIH5L	0.08875
C17orf37	0.15675
SMCR8	-0.30725
DPY19L2P3	-0.4595
IL11RA	2.13133333333333
GDF3	-3.6205
RPS6KB1	-0.842
DNAJC19	-0.1195
TOP1	-0.42125
CRCT1	-0.064375
MPST	0.093
DPM2	-0.643625
FAM38B	-0.718833333333333
SLC18A1	-2.32716666666667
FARP1	-0.515833333333333
PAX7	-0.12425
TUBD1	-1.57475
GNL3	-0.605
BTG2	2.17306666666667
NDUFS6	-0.71475
C1orf79	-1.91075
ERAL1	-0.55975
ECHS1	1.765
VPS4A	-0.247333333333333
CYP11A1	0.282375
ABCC6	0.778214285714286
PBX4	-1.5395
MOSC1	3.122125
NCF4	1.2495
HYMAI	0.172
NAGPA	-0.303625
OTOP2	-0.044
ACOT12	0.2745
MTHFD2L	0.100625
LOC441376	1.20175
C19orf34	0.0965
RAB1B	-0.3535
ALDOAP2	-0.727
NTRK1	-1.94516666666667
ARTS-1	1.7048
SLC6A11	-0.669
NAP1L2	0.61075
CNGB1	-0.144833333333333
EPB41L4B	1.80091666666667
FAM134B	3.016875
HS3ST3A1	-2.58466666666667
CPXM2	6.121
SIRPB2	-0.3225
CHORDC1	-2.27883333333333
TRIB3	-0.908
SLC2A5	0.8635
C2orf49	-0.974833333333333
DDX5	-0.052
OR5L1	-0.4105
ANAPC4	-0.446
ZSWIM1	0.07425
LOC93622	-0.08825
KCNK3	0.605
RP11-35N6.1	-0.860375
ZFP161	0.4715
AQP9	2.4575
SLC15A2	-0.315666666666667
MREG	-1.05566666666667
OR9I1	-0.4205
PDLIM2	0.45975
ADAM7	0.159
GSTCD	-0.095
WDR21A	-0.555
SLC12A8	0.162166666666667
TMEM174	0.2245
IGSF3	-0.60525
LRRN1	0.07175
LOC402117	0.145
SRPK1	-1.874
LY6K	-0.97075
NFIA	3.1855
PTCD3	-0.9165
LEP	4.03733333333333
PCDH21	-0.784333333333333
MAPKAPK2	-0.0458571428571429
NMNAT1	-0.141666666666667
LHFPL2	0.50475
C9orf43	-0.1225
DIP2A	-0.603166666666667
ACTR8	-0.092
CCDC34	-0.81275
PTPN22	-1.0045
ITGA3	-0.539375
FAM129C	0.03625
RABGGTA	0.119666666666667
UNC45B	0.26325
KIAA1033	0.24675
ZNF510	0.266833333333333
CYP2D6	-0.609666666666667
SLC26A10	-1.809
STX8	0.75875
LUZP1	0.15425
WDR89	-0.518666666666667
EIF4G3	-0.0499
C5AR1	1.243375
ZNF623	-0.0495
A2M	2.21375
TGM7	-0.247
GRPEL1	-0.119833333333333
LMNB2	-1.9697
ROCK2	0.605833333333333
SNX16	0.2185
CCDC66	0.09225
ANXA3	2.0705
KIAA1609	-0.535875
EED	-1.719
RNF32	0.201333333333333
HES1	0.0654
CLC	0.0181666666666667
ISL1	-0.450166666666667
KIAA0528	-0.10125
MANEA	0.827875
C1orf61	-1.8295
hCG_2001000	-0.47375
RAPGEF6	-0.5852
KIAA0020	-0.661166666666667
NEIL1	0.6875
C16orf45	0.800625
RBM10	-1.07366666666667
C10orf125	-0.216
MRS2L	-1.1775
DNAH17	-0.6575
C19orf10	-0.983
C1orf160	0.3415
SLFN12	0.57925
EXOC3	-0.00483333333333333
HIST3H3	0.0075
NCOR2	0.6815
TNFRSF9	-0.61575
MFSD8	0.34125
ALX1	-3.23783333333333
NOL1	-1.50225
PODN	3.07525
TIAL1	-1.22625
HIST1H1E	-1.7355
NPY6R	-0.0645
TM4SF4	0.08675
CORO2A	-0.706
ETNK2	-0.1225
APOE	-0.3434
ANGPT4	-0.1415
HDGF2	-0.42825
G30	-0.0495
ST8SIA4	-0.502
F2RL1	0.154125
FAM19A4	-3.08825
CCAR1	-1.4245
B3GNT7	-0.11425
OPHN1	0.0853
DSCR6	-1.3385
C21orf13	1.08916666666667
GAS2L1	0.605666666666667
RFX3	0.435666666666667
COPS4	0.387
BCHE	-2.229
BCL2	2.819375
HBZ	-3.07016666666667
ARL13B	0.036875
MAPBPIP	0.1665
MYO15B	-0.257375
SPZ1	0.48275
KIAA1324	1.802
PLCL2	0.806125
C4orf29	-0.8795
WDFY2	-0.45425
ZNF284	-1.002
NAALADL1	0.6685
DUSP5	-0.241833333333333
PXDN	0.841
SLMO1	-1.08925
TNXB	0.9147
BIRC7	-1.48975
A4GALT	1.182
TIMM22	0.37525
FAM110C	-0.6125
TOMM34	-0.980875
ABHD9	0.327
ADAM32	1.721
CRHBP	2.8515
AQP2	0.184
LOC130355	1.01275
ZNF187	0.3615
ZNF816A	-0.22
F7	-0.54675
CNOT1	-0.6096
SLC13A4	-0.51925
ZBTB11	-0.77325
B3GALT5	-0.671
EXOC2	0.675166666666667
IRS1	0.9883
TMEM1	-0.0196666666666667
MRPL34	-0.214
SAMM50	0.14775
CDC42EP3	0.30675
HSF2	-0.462
MFN2	0.65725
TSPAN7	1.66133333333333
NUCB1	0.382666666666667
RHOH	-0.2865
ARL16	-0.3365
TACR1	0.36225
SFRS5	-0.0383333333333333
SNX25	-0.70475
RHBDF1	0.462833333333333
PCDH18	2.60833333333333
HMG1L1	-0.29625
MYO5C	0.8685
MAPK10	2.767
LDHAL6A	0.316
NUDT12	0.310333333333333
NCAM1	-0.250625
GLIS2	-0.3805
GGTL4	-1.03775
DAPP1	-0.15
ATF7	0.405875
KIAA0748	-0.98675
NFIL3	0.633
TM6SF1	0.883
SEZ6	-0.055
NANOS3	-0.105333333333333
DNAJA3	-0.425
CLDN6	-2.391
CIITA	2.4024
EPHA4	0.651333333333333
FANCC	-1.0185
CMTM3	0.626625
PSG3	0.020125
MRPL15	-0.42375
C21orf59	-0.61925
PLCXD2	-0.35875
C2orf34	-0.205
UBE2L6	0.43425
MED14	-1.3675
HP1BP3	-0.2418
C6orf208	-0.428
TPBG	-0.18825
OSR2	1.56075
XPC	0.3835
KLHL7	-0.709916666666667
CCR3	-0.556
AGTPBP1	-0.219666666666667
PCSK6	0.1344
STAT5A	0.5574
FAM18B	0.792
LONRF2	1.079
PTPN2	-0.774
SF3A3	-0.633166666666667
EFCBP2	-0.2985
HCFC1	0.0928333333333333
AHNAK	2.55865
ACTR5	-0.1655
KIF14	-4.24085714285714
TENC1	2.4325
HEATR5B	0.4545
YIPF2	0.482166666666667
MYEOV2	0.394
DUSP18	0.79475
KIAA1012	0.265
AHR	0.6325
C17orf53	-1.58066666666667
PTPRH	-3.38775
ATP6V1C1	0.7076
TAS2R3	-0.106
LOC440356	0.37925
COQ10B	0.9575
PSMF1	0.676916666666667
SORBS2	2.81483333333333
NFE2L2	0.3595
TMCO7	-0.40325
SH3PXD2A	0.0911
SH2D2A	-2.10375
SPINK5	-2.1965
MRPS24	-0.87275
OPA3	-0.43225
TRAF7	-0.0423333333333333
C4orf35	-0.155166666666667
MT1G	0.330125
MGC39545	-0.51025
HS1BP3	0.0762
OR2B2	0.0975
CHRM4	0.154
SFRP2	3.00758333333333
RIC3	1.15475
ART1	0.2385
C6orf1	-0.04975
DUS4L	-1.121
C10orf104	0.97275
TNFAIP6	1.99975
RTEL1	-1.73725
CCT4	-0.7971
ZNF709	0.67175
CHMP6	-0.08
UPP2	0.11075
CYP19A1	-1.095
CD151	1.56433333333333
NDUFA13	-0.264166666666667
ARFRP1	-0.635833333333333
FAM26B	1.75725
CRYBA1	-2.101
MRPL41	-0.2265
NPFFR2	-0.791
HRH2	0.18
SCAMP3	-0.5595
MTMR6	0.6085
MTG1	-0.7825
UBTD1	0.81025
CRABP1	-0.8845
FLJ33790	0.53
KIAA1908	-0.0446666666666667
GPR158	-0.34325
PACSIN3	-0.901333333333333
OMD	3.861
CATSPER1	-1.22433333333333
HOXB8	-0.88875
FBXO46	-0.2075
OAS1	0.673
SVIL	1.046
PHB2	-0.54825
ADCY3	0.6835
NDRG2	3.004
ERMAP	1.2596
APBA2	-1.3635
IGSF9	0.73825
WNT6	-0.180785714285714
MYCBPAP	1.0375
ATP2B2	-0.227
CPVL	0.312
TRAM2	-1.02983333333333
NOP5/NOP58	-1.1425
ZNRF4	-0.114
TLK1	0.128125
MTMR12	0.844
ZNF384	-0.214666666666667
FAM9B	-2.36125
RPN1	0.7867
PMVK	0.5595
EIF3D	0.1176
SIX2	-0.5705
HPS1	0.244214285714286
RNF7	0.2385
PSKH2	0.201
KCTD13	-0.362333333333333
CSMD3	-0.2422
FBF1	0.025
IL8	-4.937625
SERPINB13	0.0501818181818182
FBXL20	-0.64925
BLR1	-0.11325
SH2B1	0.1555
RFNG	0.186625
RAB20	0.858
RBM7	0.0765
POLR1A	-0.4375
TMPRSS4	-2.938
TAF9	-0.795
TERF2	0.291
TNFRSF1A	0.9815
ACADVL	0.546333333333333
GTF2H5	0.5295
EDG8	-0.366166666666667
C9orf140	-2.2355
UST6	0.2105
ZBTB8OS	-0.72275
ZNF710	-0.2745
GPR174	-1.477
ATP6V0A2	-0.723
KIAA0319L	-0.07675
XKRX	-0.6
DOPEY2	-0.1402
SDHD	0.258
SUMF1	1.45725
OSM	1.7415
OPN3	-1.67775
DAGLB	-1.0445
PPFIBP1	0.1452
TRIM63	-0.333
C10orf53	0.604
LYPD3	0.485666666666667
BCL7A	0.059
AGER	-1.23816666666667
TCF19	-1.621
SAT2	0.6235
PFTK1	-0.187166666666667
GABRE	0.7165
C15orf38	0.5936
FIS1	0.6575
KCNV2	-0.032
CLPS	0.1675
PPCDC	-0.8405
FOXN2	0.584666666666667
NT5E	-1.2977
CD83	-0.654
IL18	-0.067125
VPS16	-0.13175
IGFBP2	0.0503333333333333
NOTCH2	0.57425
SIGLEC1	2.887
CD93	6.0015
SULF2	-0.306
CEP164	-0.529
P53AIP1	0.572333333333333
TOR2A	-0.443
ZNF136	0.54375
MGP	3.0047
CCDC144A	1.33783333333333
TRPC1	-0.0686666666666667
SMS	-1.108
MAPK7	-0.310666666666667
RRAGC	1.44725
PARD6A	-0.555
NUB1	0.3685
SYNGR4	-0.41275
OR11H12	-0.0735
WIF1	1.714625
GCH1	-0.36875
OR11H4	0.1615
SLC44A5	1.73
GPRIN2	2.09816666666667
LOC401431	1.19575
CPA4	-2.1238
MELK	-4.62888888888889
IL15RA	1.155
CUL3	0.763375
HMBOX1	1.61225
PODXL	-0.285
CCT6B	1.20133333333333
COMTD1	-1.113
MUC20	1.13883333333333
GPX2	-1.95675
ITK	-1.09475
FBXL5	2.43775
C13orf27	-2.06775
DEFA5	0.3455
TRHDE	0.5665
MTP18	-1.39216666666667
UQCRQ	-0.5669
ITGB2	1.4915
CSRP2BP	0.27475
TAS2R44	0.0675
PHPT1	0.107625
FAM44C	0.25825
ERH	-1.06575
MPHOSPH1	-1.94683333333333
MORC1	-0.44
PARVB	0.072
LAMA1	-2.16675
PGBD3	-0.194
GIMAP6	4.18975
AREG	-1.77716666666667
LIPT1	0.2895
MGC99813	-1.21025
C1orf201	0.0148333333333333
GRIN2A	-0.2724
MAN2C1	-0.778
NSUN5	-0.8335
SF3B5	0.26725
MYC	-0.2991875
NRXN1	1.60283333333333
ZNF18	0.38925
SPDYA	-0.378125
SLC37A1	0.411
DECR2	0.452
ANKRD38	2.19625
SPTLC3	-0.878333333333333
SUPT16H	-0.212875
DTWD2	0.63425
ULBP1	0.0735
ZADH1	-0.0976666666666666
OIP5	-4.7835
IL10RB	0.397
OTUB2	-0.35075
VWA3A	0.2615
SPIC	-0.1825
OR6C4	-0.2815
PSCD4	0.753166666666667
DPY19L2P2	-0.507
TRAPPC6A	0.509166666666667
C21orf2	0.287333333333333
CEMP1	-0.18575
LIN7B	-0.2565
E2F7	-3.72183333333333
VCP	0.1099375
LAMA3	2.42608333333333
BGN	0.44825
GPR160	0.427166666666667
COCH	-3.42766666666667
GPR81	2.30516666666667
APOBEC3F	-0.519
tcag7.1017	-0.4995
C1orf32	0.152
SCGB1D2	5.778
FLJ43987	0.049
C6orf170	-0.0245
KLK9	0.323
GPD1L	0.43525
VPS37B	0.2355
ATG3	-0.0843333333333333
ADAMTS17	0.163
KLHDC2	0.439833333333333
NDUFV2	-0.2845
BLK	-3.2255
MATN4	0.638
GPM6A	1.4175
GBP4	3.1765
TMEM162	-0.167166666666667
PKP2	0.699
HRASLS	0.207666666666667
MMP1	-3.99975
SFXN3	0.0844
FSD1	-2.05783333333333
ST6GALNAC3	-0.089
CA12	2.124
NCOA6	0.00425
C19orf58	-0.1273
PPP4R1	0.227
MAN1A2	0.637166666666667
IKBKAP	-1.50025
UPF1	-0.116666666666667
KIAA1219	1.00825
WNT16	0.335166666666667
SNW1	-0.1235
IL18RAP	3.3135
RPP30	-0.452125
CDC40	0.0825
SETD3	0.789333333333333
SLAMF6	-0.35725
ELK4	-0.3465
TRIM47	0.0733333333333333
ACOX3	0.77275
TRIM6	0.910375
KIAA0372	0.117833333333333
TP53AP1	0.12475
SMURF2	-0.6075
ADAD1	0.435
EBP	-1.5454
KRTAP13-2	0.144
FLJ36874	-0.609
TOR1A	-0.167666666666667
P2RY4	-0.4305
GPBP1	-0.08425
TRPV1	0.165125
ADAMTS12	1.274
PES1	-0.392
ATG4A	0.388
MAGEA10	-4.58
WFS1	1.4405
CC2D1B	-0.161
PABPN1	-0.812125
SLC25A30	1.252
SLCO1C1	0.824833333333333
SLC22A5	0.48325
KIF23	-4.33016666666667
SYN2	0.813833333333333
ASPN	7.29733333333333
CENTG2	0.88725
QSOX2	-1.6404
FLJ10815	-0.0506666666666667
STK24	-0.022125
SPEG	0.4314
STK10	0.228833333333333
DACT2	2.0215
AAAS	-0.7215
SSX3	-1.440125
ABCD3	0.7524
C4orf12	0.85125
PARVG	0.0653333333333333
FIG4	1.00275
C9orf46	0.58075
TMCO6	-0.7365
IGHMBP2	0.0425
DUS2L	-0.635333333333333
FAM3C	0.4969375
TMEM16D	-0.185625
DCTN4	0.6175
KCNH3	0.24825
EIF2AK2	0.72275
AP1S3	-0.318625
CST4	-0.006
PAM	1.5538125
NUTF2	-0.3095
CITED2	1.0014
SLC39A4	-0.516
C2orf52	-0.508
GRM3	-0.20125
C12orf49	0.228875
CCDC49	0.1741
GRAMD1B	-1.52725
FNDC4	1.873
SIAH2	-0.288125
GDPD4	-0.188
C21orf87	0.2995
ATP5A1	0.4525
C16orf63	-0.209875
LOC388135	1.0135
ATP5J2	-0.73025
MMP3	-2.17925
EMID2	-0.4195
CRHR1	0.06175
WDR70	-0.34325
C13orf31	1.04425
ZFAND1	0.59825
CCL18	3.71366666666667
C3orf49	-0.2755
RINT1	-1.3525
KIAA0408	1.40316666666667
F13A1	4.9476
SLC10A1	0.149166666666667
OGN	4.35825
GIPC2	0.3335
XPO6	-0.865
LCE1A	0.2435
FMR1	0.0446
LOC374920	-0.05575
DUSP3	0.435625
ANKMY1	-0.302
C7orf50	-0.6185
BBS9	-0.109
UNC119B	-0.038375
C9orf72	0.44175
MGC35440	0.364
ENTPD6	-0.33475
PPP1R2P9	-0.091
ERCC4	-0.147
FAHD2B	-0.1275
HMHA1	-0.1095
HACL1	0.37625
RAD23A	-0.2955
FAM83B	-1.41675
PPP5C	-0.718166666666667
RNASEH2C	-0.90675
C9orf153	-0.07075
SCAMP4	0.5005
GHITM	0.525
NDUFB7	0.431875
ADCYAP1	1.057
SP110	0.7835
MAP3K7IP2	0.591
DHH	-0.3755
AGRN	-0.111642857142857
WDR33	0.216166666666667
CEP290	-0.141833333333333
PRPS1L1	-1.00916666666667
KLRA1	-0.0485
GPR97	0.0045
CHD7	-0.6275
TLR10	0.01025
SLC30A8	-0.799
HIC1	1.44783333333333
IAPP	-0.208
RXFP4	-0.2105
GP1BB	-0.21575
SHQ1	-0.206
NKX2-3	-0.141333333333333
API5	0.11175
FTHP1	0.675
MOV10L1	1.93466666666667
TRIM6-TRIM34	1.591
ADHFE1	2.31175
FAM117A	0.38725
DDI1	0.205333333333333
CDON	0.802666666666667
TRIM73	-0.445
IGKC	3.738
MMP14	-0.7725
DYNC1LI1	-0.102125
C11orf66	0.5135
TRBV3-1	-1.29225
FASTKD5	-0.2285
BIVM	-0.98675
LHX4	-0.36325
CXCL2	3.3479
RAB2B	0.153333333333333
IZUMO1	-0.495
MAP3K15	-1.058875
FAM19A2	0.250833333333333
ZC3H8	-1.24933333333333
ZMAT1	1.471875
SPINK5L3	-2.29175
SLC10A6	1.3465
APPL2	0.59275
CARD10	0.181833333333333
LOC402176	-0.35725
EEF1D	0.7228
RAB6A	0.3319
C12orf5	-0.993125
PAPOLG	-0.269
MSRB2	0.97575
BCR	0.973777777777778
PUS3	-0.867
TIAM2	0.50425
ZNF317	-0.2315
CHD2	0.0722857142857143
FZD5	0.174
NUDT8	-0.93825
ZNF763	0.242
PRC1	-3.18788888888889
ABCB9	0.117333333333333
SPATA3	-0.20225
TRAK2	1.26825
STAB1	2.963875
LRRTM2	0.963333333333333
psiTPTE22	-0.0975
DBI	1.0215
SERPINA11	-1.97875
NAT5	0.51825
C20orf58	-2.59275
RPS6KA4	-0.4545
FLJ90650	3.72325
TGFBRAP1	0.41925
CHRDL2	-0.093125
FAHD2A	-0.286
CNTN1	0.12775
BBS4	-0.1551
TMEM181	0.06075
MINPP1	-0.09775
MPHOSPH6	-0.483083333333333
HOXC10	-0.8446
ITPKB	0.477875
CLPTM1L	-0.021875
MEOX2	2.466
ATP6V0C	0.51525
PRPF8	-0.284333333333333
TMC5	1.07675
FKBP3	-0.78275
PLEKHB2	-0.538625
OR4D6	-0.31
ZNF544	-0.439
D2HGDH	-0.619625
RPL18A	-0.9942
HEL308	-0.208375
MPP6	-1.70675
TCERG1	-1.0305
KRT16	1.64116666666667
KLF17	0.1845
KLF5	0.854375
CDR1	4.234875
VCX3A	-3.4985
FBLN2	3.103
C14orf104	-0.61975
HBE1	-4.5579
OR4S2	-0.2295
C1orf108	-0.139
ROBO4	3.968
CPEB4	1.205375
C11orf80	-0.496333333333333
BCKDHA	0.348333333333333
MYOC	5.2745
GIF	0.0165
CKMT1A	0.735
RPL3	0.6063
THBS1	1.67225
APOO	-1.8085
ARMCX1	1.493
HSZFP36	0.41675
SNAPC5	-0.1245
EIF4ENIF1	0.47575
ZNF433	0.3305
TNFRSF21	0.87225
TMPRSS7	0.046
SPATA18	1.0855
HPDL	-2.7815
MKL2	1.6516
TBX3	0.918538461538462
C21orf93	-0.00350000000000001
DAXX	-0.0515
ELMO1	0.715
RGS13	2.25566666666667
TAF11	-0.3225
UNC13A	-1.978125
LOC653314	-0.4843
ORC3L	-0.1855
IMAA	-1.018
TARBP2	-1.2
CABIN1	-0.4784
TRIOBP	0.579
HIST1H2AC	-0.361375
RGS22	0.334666666666667
NCOA1	1.522
IL25	2.325
SNCG	3.3735
GPR6	-0.059
AMDHD1	0.008
CHEK2	-1.454875
C6orf142	1.25475
DRD4	-0.0405
C14orf68	-1.1625
GDF11	-2.598
SEMG2	-0.0575
CD247	-1.84075
CDAN1	-0.88775
RBMX2	-0.162666666666667
TGS1	0.6405
OIT3	-0.1765
SYF2	0.4795
MCM4	-2.322625
PKHD1L1	1.453
CEP192	-0.97
IFT88	0.60725
RPL9	-0.120142857142857
RAB32	0.14825
DDX43	-0.456
P2RX2	-0.046
OR5D18	-0.0355
UBE1	-0.07875
SLC24A1	0.277
ARHGAP5	0.5595
CETP	1.65975
KIAA1731	-1.0755
SLC9A4	0.424
PTPN6	0.5065
BAHD1	0.056
GRIK3	0.9925
CACNB2	-0.2084
PDE10A	0.0895
DGCR14	-0.35725
PCDHB9	0.3815
RHOQ	2.04433333333333
MAP3K4	-0.0075
KTI12	-0.5005
RPL23AP13	1.4105
GNG11	1.69325
CLCN3	0.464833333333333
GPAM	3.900125
VSTM2A	1.2645
SLAMF7	1.53466666666667
INTS2	-1.0205
PPP2CA	-0.0146
LRP12	-0.00213333333333332
SEC14L2	1.93288888888889
DKFZP586H2123	4.54425
MC3R	-0.5715
CIRH1A	-1.64566666666667
HIST1H2AB	0.00966666666666666
POLH	-0.316125
MGC16703	-1.3715
SNAPC2	0.056
FILIP1L	2.51625
RASGRP4	0.3615
LRRC1	0.89275
GAS1	2.45425
PRAC	-0.32575
DGKA	-0.286166666666667
NT5C3	-0.7715
PEG3	-0.709416666666667
NADK	-0.57075
PRR17	-0.8425
LOC374569	0.61725
SGSH	0.429333333333333
NLRP8	0.326
GALT	0.1836
MCF2	-0.601
ZNF263	0.443
TACSTD1	-0.106666666666667
TYR	-6.2547
ATP6AP2	0.558
RNUXA	-0.28475
ABHD10	-0.169
GDPD2	-0.8235
SLC35C1	0.514
UBE2A	-0.106714285714286
HERC5	-0.775666666666667
FAM112B	-4.63866666666667
FBXL16	0.69275
DKFZP434A0131	-0.224
ELA3A	-2.2535
RBM41	-1.118375
HAO2	-0.36725
RNH1	0.57575
SHANK2	1.76183333333333
OSBP2	-1.27175
DAK	-0.570666666666667
C3orf58	0.205916666666667
TCL1B	2.332
KBTBD2	-0.3345
SUGT1L1	1.08275
UBE2E2	1.5015
MYL9	3.118125
CDC23	-0.844666666666667
PBXIP1	1.2388
CXorf40B	0.5135
NBL1	1.25325
RTBDN	-0.2995
RAB11FIP5	0.503125
TTTY13	-0.3935
SCOTIN	0.185416666666667
SOHLH1	-0.0133333333333333
CDKN1A	0.393857142857143
NCK1	0.571
ZNF550	-0.603
SAPS3	0.230083333333333
SPIN3	0.0308333333333333
MAGEE2	0.27425
MIS12	-0.454166666666667
OR8H2	0.2875
KIAA0774	-0.082
UNC5D	-2.135
CUL7	-0.564833333333333
LIPC	-2.83266666666667
DIO1	1.013
C20orf11	0.3582
CTRL	-0.772
HS3ST2	1.56575
PAK4	-0.0936666666666667
CCRL1	4.43125
RNF10	0.05875
ZNF567	-0.13025
ZNF660	0.7145
TCEAL3	1.832
MAGOH	-1.73933333333333
CENPB	-0.1635
C19orf7	0.129875
LOC388965	0.484
ZCCHC13	0.641
JMJD1A	-0.9702
HIST1H4H	-1.5735
TBRG1	0.0225
GPC3	-0.866
TAF1C	-0.685375
EBNA1BP2	-0.847833333333333
CIAPIN1	-0.434
PDGFRA	0.589888888888889
CSTB	-0.111375
CENPI	-2.707
GTF2E2	-0.333
RPP21	-0.9795
CCNF	-1.3825
KCNQ3	0.253
FAM79A	1.83975
SLC22A12	-0.074
NOVA1	1.35533333333333
FZD3	0.1488
AKAP8	-0.7835
SOCS5	1.30825
CFDP1	-0.2315
DLG5	0.518
PGM5	2.03316666666667
C1orf144	0.351
HDAC10	-1.3265
RND2	-0.20125
C20orf199	-0.94475
RNMT	-0.72
SLURP1	0.154875
ASTN1	0.24525
SH3BGR	2.094
MYCL1	-0.76175
ZHX1	1.0335
CENPK	-4.86375
FOSB	3.0316
LOC643406	0.3665
C2orf59	-1.683125
TMEM135	0.81875
SLC27A2	-1.594
KRT33A	2.3375
OVOL1	0.6025
PAMCI	-1.43816666666667
S100A7	-0.6105
ZNF789	-1.2995
HARS2	-0.15325
RPL23A	-0.932833333333333
TCF23	-0.28275
UPF3B	-1.701625
C17orf78	0.217
HLA-DOB	0.4835
C14orf142	-0.199666666666667
TEKT5	0.288333333333333
DMWD	-0.09
POLD1	-2.3865
GSCL	-0.344
CALD1	1.4437
SCRT1	-0.115666666666667
AIG1	2.1215
UNC84B	1.8105
ZNF404	-0.5985
TMED6	-2.14525
KIAA1462	1.032
LRRC27	1.32583333333333
PYGO1	0.042
PIGU	-0.519166666666667
ALAS2	-3.19766666666667
WRNIP1	-0.165875
CNNM3	-0.058
ZNF2	0.40225
ST3GAL5	-0.379083333333333
MRPL23	-0.307
TSSK6	-0.0445
PSMA6	-0.5045
C16orf70	-0.9445
KIAA1602	0.2005
ALMS1	0.104666666666667
DCN	4.523875
TMEM132D	-0.24025
SUCLG2	1.119
ABHD14A	0.595
DEXI	0.0491666666666667
AMPD2	-0.955666666666667
IFNAR2	0.218666666666667
CYB5A	2.6605
TLOC1	1.59795
NXF5	-0.643
NRBF2	0.494375
KCTD3	0.555
ITGAE	-0.0183333333333333
SLC30A3	-1.94183333333333
ZRF1	-1.5835
IFRD2	-0.368375
XAB1	-0.30875
PYCR2	-0.415333333333333
SERPINB3	-3.32
TMLHE	0.1416
GEFT	0.3035
ABCA5	0.626875
EMR4	-0.346333333333333
TSFM	-0.27725
HIST3H2BB	-1.5745
ARHGEF19	0.23475
TSPAN17	-0.0398333333333333
ABCC8	2.09575
MAP1S	-0.369666666666667
C22orf36	0.1055
BNC2	0.317642857142857
HIST1H4A	-0.8355
NDUFS3	-0.327833333333333
WDR3	-1.0495
XKR4	1.211
TTC33	0.0342142857142857
STMN2	2.2685
CPN2	0.2905
HSPC105	0.734875
PCOLCE2	2.98325
C3orf55	3.541
KLHDC9	1.20916666666667
TBC1D23	0.18425
ATXN2L	-1.16316666666667
MAP2K3	0.519333333333333
SCAP	-0.12125
ZNF486	0.448166666666667
C20orf96	-0.896
NARS	-0.4825
ADAMTSL1	-0.174571428571429
PRCC	-0.0336666666666667
CCDC126	1.48833333333333
ZNF675	0.533
CALCOCO1	1.461
ANKRD43	1.92825
CWF19L2	0.154666666666667
ZBTB32	0.374833333333333
BRAF	-0.2465
ODF4	0.0625
MGC14376	1.35383333333333
HORMAD1	-2.13783333333333
AAK1	-0.0269166666666667
PEBP1	0.86925
TNFSF5IP1	0.313666666666667
DKFZp564N2472	0.534
RMND1	1.372125
IGKV1-5	3.817
COL1A2	1.97433333333333
SERPINA5	-0.424
AANAT	-0.019
C19orf21	-0.9025
GEMIN5	-0.2215
UBR4	-0.364
LTBP3	0.749833333333333
AMHR2	-2.32166666666667
PROCR	-0.62325
MYBBP1A	-0.6485
C20orf39	-0.0941666666666667
ZNF697	-1.279375
PASK	-1.1726
ZNF776	0.501833333333333
RFXDC2	-0.829
KIAA0467	0.372
C10orf96	-2.1105
ZNF503	0.011
GULP1	-0.0475
KCNE4	0.9615
DKFZp434K191	-0.735
LOC196913	0.2885
BHLHB4	-0.187
CH25H	0.40975
LOC81691	-1.0195
ALPL	0.994357142857143
COL12A1	0.9505
FOLR3	-0.942
GPR123	0.112375
TRIM62	-0.0235714285714286
ABLIM1	1.54933333333333
MAST3	0.484
RHBDD1	0.461
LOC338809	-0.2035
RYBP	0.034
TTC26	-1.225875
ZNF22	0.816666666666667
ISCA2	-0.29475
RDM1	-3.67175
PIGM	0.304
GNB3	-1.1495
ACTR2	0.342
HMGB1	-0.012
EDG1	5.19083333333333
SOAT2	-3.3895
OR10AD1	0.565
RAP1GDS1	0.18325
LCE1F	0.1215
ESM1	-1.254125
RCN3	1.7045
CREBL1	-0.76675
DBNL	0.039
PTGER3	3.109125
USP30	0.332833333333333
BCL2L12	-1.526
KIF26B	0.2275
ZNF416	0.442
ZNF225	0.2175
C17orf70	-0.7725
ZNF554	0.561
RAE1	-1.15083333333333
TNIK	0.171666666666667
ACTN3	0.537
MGC45922	-0.4855
CCNA1	0.326833333333333
RYK	0.871
IL26	-0.313
LRP3	0.207
