Hybridization REF	TCGA-A2-A0CZ-01A-11R-A034-07
TMEM171	-1.3895
PNLIP	0.04025
YY1	-0.0185
CCDC138	-2.14866666666667
AASDHPPT	-0.4447
CKS1B	-1.6669
MCM3	-1.81633333333333
ANAPC7	-0.922166666666667
FAM110A	0.9095
CDC37L1	1.08383333333333
THTPA	0.519
NBPF20	-0.3535
WDR24	0.44675
NPTX2	-0.46825
CBLB	0.7355
CETN1	0.4435
RPUSD1	-0.049
FAF1	-0.606
CDK6	-1.8566
HMX2	0.288
CSK	-0.479166666666667
TEAD2	-0.35825
SNAP25	-1.043
TUFT1	0.0849
TMTC3	1.217
LCK	-1.1115
SGOL1	-2.89333333333333
AKTIP	0.6465
FURIN	0.539
SOX12	-0.933666666666667
DEFB103A	-0.875
RAMP1	1.57875
KIR3DX1	-0.103
GAS2L3	-0.54125
PDE8A	-1.2781
EDN3	5.019
GMIP	0.85375
SF3A2	0.617
FN3KRP	-0.67525
SMAD7	1.02425
RHBDD2	0.7075
OR11H6	-0.5465
PPP1R3B	1.242
C9orf23	0.4395
CADPS	-0.6995
GOLGA8A	-3.163875
TMEM57	0.351666666666667
RGL3	-0.0785
S100A14	2.71175
FGFR2	2.1789375
XRCC3	-1.263
RTN4RL2	0.811
MGC3771	0.889
GH2	-0.203666666666667
BTBD2	-0.10175
LMO2	0.4685
RDBP	-0.53475
ACRBP	-1.72825
AMY2A	2.37725
DUOXA1	1.253
PTK7	1.23366666666667
TWF2	-0.144333333333333
FAM80A	-1.334
TNNI2	-2.08766666666667
GLT25D1	-0.334666666666667
OCC-1	-2.12025
CYC1	-1.2755
RPL22	0.619636363636364
MORN3	0.0703333333333333
DISP1	1.3765
PRB2	0.09
CHUK	-0.43075
HR	-0.346
CCDC134	-0.962125
DENND4B	-1.166
C14orf130	-0.232875
RAB33A	-0.606
DCST2	0.3505
TNMD	1.17325
PEX7	0.89325
FAM62A	-0.079875
SRD5A2L	0.17075
IL22	0.000500000000000028
RPS26	-0.821666666666667
HOXC5	0.3485
SPATA6	1.02425
FLJ38482	-0.076
ZNF234	1.1095
C18orf22	0.30775
SPATA22	1.84675
THOC1	-1.26425
CYP7B1	4.0935
KCNC3	0.41475
C8orf42	-0.876
ALDH1B1	0.474166666666667
CCDC100	-0.2895
ARMC4	-1.18275
FAM18B2	-0.2495
SLC44A1	0.913
FBXO17	-1.17866666666667
C6orf107	-0.695
C19orf29	-0.176
ZC3HAV1L	0.22425
PARP6	-0.0512
SULT2A1	-4.64485714285714
C1orf159	-1.018
TMC1	0.292666666666667
CHST14	0.288875
GAMT	0.127166666666667
SMCP	-0.0905
TSPAN33	0.4045
MIDN	-0.431375
NOX4	3.8185
RNASEN	-0.5192
TBX1	0.324333333333333
SALL2	0.43275
C10orf35	0.67325
CYP2E1	0.087125
LRFN2	2.685
ACO1	-0.18
IQCG	1.235
MEGF9	1.72125
TM7SF4	2.992
PLEKHA1	0.815066666666667
STK33	-3.04775
C1orf210	1.861
SNUPN	-0.039
KIAA0406	-1.6638
C20orf29	0.19425
TMEM55B	-0.42075
OSTM1	-0.695625
CLCN7	-0.72575
OTP	-0.2485
FLJ23049	-0.255333333333333
HEATR4	0.7245
MAP3K10	0.693833333333333
PCDHGA9	0.508
AMDHD2	-0.52275
LCTL	-1.396
PDCD2L	-0.82525
CABLES2	-0.8375
SLC5A9	-0.53325
CLCA2	-0.0596666666666667
MGC16025	0.549
STRAP	-1.21516666666667
C20orf196	-0.8
RRBP1	0.7295
NAT13	-1.371
MAT2B	0.525375
CSNK1D	-1.51833333333333
KIR3DL1	0.50075
PRKAG3	0.685
ZNF599	0.89
PRM3	0.9395
PER2	0.997666666666667
ASPHD1	-2.2535
PRMT6	-0.79025
KCNE1L	0.0586428571428572
FAM118A	-1.53416666666667
TAF4	-0.64475
NDUFB6	-0.54775
TRIM9	-0.82225
PMFBP1	-1.14525
KY	0.98
DKFZp762E1312	-3.70509090909091
CSMD1	-1.75525
TBP	-1.00183333333333
OR1Q1	0.0333333333333333
RETNLB	0.18
HPGD	0.562071428571429
DNAJC12	2.36816666666667
FKBP1B	-0.514
ANKRD24	0.0793333333333333
CXXC5	0.0661666666666667
IL3	0.459428571428571
DRAM	1.9135
PTCH1	-0.715875
TP53BP1	0.11875
SLC17A7	-0.1135
COL25A1	-1.4782
AMACR	0.4825
RHCG	0.68675
VPS13A	-0.5645
FAM55D	1.916
PRPF38B	-0.914666666666667
OSBPL6	1.28025
PFDN5	0.8076
CMTM6	1.154375
KCNK12	-0.8675
RP2	0.359
C16orf52	-0.8895
PICK1	-0.428
IFNE1	-0.6195
SEMA4B	0.181
TYRO3	-1.48275
OR12D2	-0.1865
CSNK1A1	0.0141
FANCF	0.4035
LONP2	-0.367875
TBL1Y	0.193
LDOC1L	-0.235375
CCNC	-0.7325
C3orf60	-0.5165
CHKA	-1.464
UBAP1	-0.07425
MAP3K1	1.747
ANKRD9	-0.701
FAM92A1	-1.094
GAB2	0.10175
AZU1	-0.32475
DIS3	-0.225583333333333
C21orf109	-1.1025
IQCB1	-0.86425
SPATS2	-0.813666666666667
EFCAB3	-0.78775
PRB3	0.108125
FUZ	0.174333333333333
ZNF813	-0.02625
BMPER	-0.542166666666667
HEG1	0.32475
ALS2CR11	-1.107
SURF2	0.013
PSMC1	-0.3665
OR2D2	-0.1505
SLC7A8	2.049
C4orf40	-0.2415
SPATA7	0.71575
MAZ	-1.14558333333333
PIN4	0.747
PDE1A	-0.452875
TAF6L	-0.461666666666667
OR2T34	0.279
KIAA0284	0.25675
ACADS	-0.227090909090909
MKRN2	-0.6825
C18orf56	-3.62925
MS4A6E	0.228833333333333
GALNT4	1.6737
C22orf31	0.5015
FLJ36070	0.402
PSME4	-0.7845
TFG	-0.5233
EPHX2	1.107125
ANXA5	0.4525
KRTAP1-1	0.0288
BATF	0.87875
KARS	-1.5635
MSTP9	0.054
GPR26	2.745875
CCDC72	0.09575
TEF	0.47
FOXK1	-0.7767
PRLHR	0.2355
EMX1	0.6525
C11orf30	0.101
ICK	0.43875
THSD7B	0.54525
C21orf100	-0.506
DUOX1	2.4195
EFCAB4B	-0.4
UBE2G2	-1.10783333333333
C3orf54	0.8355
PARP1	-1.812
FAM60A	-1.15508333333333
C6orf146	0.159
OR9K2	0.281
DDX55	-1.6355
RPS15	0.962416666666667
ZNF618	0.61475
DKFZp686D0972	0.6325
SSPO	-1.359
SHFM3P1	0.364666666666667
CPA6	-0.6195
JAG2	0.91225
DEFA3	0.112
PPBPL2	0.055
CD34	4.918125
SLCO4A1	-2.833875
AFG3L1	-2.45483333333333
SHD	-0.9685
RP13-122B23.3	-0.647666666666667
PRKCSH	-0.816
DPH5	-0.2765
HLA-F	2.23125
TBC1D4	0.2745
RIG	0.249833333333333
GLUD1	-0.461666666666667
HNRPCL1	0.368125
HBXIP	-0.434
RNF207	-0.8185
APIP	-0.6625
PLA2G3	-2.4345
CCDC84	-1.914
MYLIP	0.435615384615385
PHIP	-0.3545
AARS2	-0.216666666666667
DHX32	0.1425
SCAPER	-0.0525
MEN1	0.123625
NIP7	-1.408
FLJ25404	0.977
FASTKD3	-1.1245
TMEM158	-1.2775
RARA	1.357
BDH1	-0.0985
ANKRD16	0.50925
CARM1	0.9225
SS18	0.578
IKZF2	0.520083333333333
MYD88	0.174875
PML	0.85415
TAF1A	-1.71725
CBFB	-1.029375
HIST1H3H	0.155833333333333
C7orf29	-1.657
COMMD4	-1.00116666666667
DPP3	-0.85275
DAB2	1.078
LOC388882	-0.089
YPEL4	0.355375
AGBL3	0.9685
LRP6	0.6959
SERPINH1	0.42375
TLE1	-0.217
CD244	1.24233333333333
ZDHHC15	0.05575
MGLL	0.0032
PLDN	-0.057
LOC654346	1.5855
FAP	4.285
GPR37	0.496333333333333
SCARA5	2.42466666666667
EBF4	1.47572727272727
LSM6	-0.343
MLLT1	-0.3874375
SLC5A12	-0.56925
A2BP1	-1.48766666666667
COPS5	0.4015
TPM4	0.0681428571428571
TNFSF4	2.08766666666667
ACADSB	0.878222222222222
HERPUD1	0.58
BCL2L11	-0.8585
CEP78	-1.69225
CDCA3	-2.34375
WBSCR19	-0.187
MYO1A	-2.5385
PPEF1	3.4595
LOC440348	-1.425
CPEB2	1.515625
BPTF	0.4385
RPL21	0.4995
GSX2	-0.4515
ADPRH	1.067
C17orf68	-0.0471666666666667
KCNS1	0.283333333333333
MLLT6	-0.0397
PIWIL4	0.964
RNF26	-1.01075
RAP1B	0.7105
ADAMTS1	-1.3967
ZNF571	0.626
P2RY6	-0.026
TRIM21	0.737
CADM3	0.3105
NLRC5	0.643333333333333
ADRA2B	0.154333333333333
LOC90835	-0.807375
PCF11	-0.15775
LOC400451	2.08975
GLTSCR1	0.6223
C17orf88	-0.849
CDH16	-2.03125
FGF7	3.44025
PCSK4	0.9215
NPC1L1	-1.23016666666667
TAT	0.511375
TBCA	-1.21475
MGC33407	0.19425
GPR115	-1.28185714285714
CYGB	0.699
FNBP4	-1.4135
C12orf43	-0.71075
CBL	-0.6094
CLECL1	2.234
PPAPDC1A	3.56875
WDR25	0.3465
SGCA	1.515
C22orf29	-0.520333333333333
YIPF1	1.6675
GALK2	-0.574
RAB3B	-1.79066666666667
LOC440087	-0.01425
UCP1	-0.9905
REEP5	1.487125
FADD	-0.2303
FOXA1	2.583
CACNA1A	0.279333333333333
ABI1	0.329333333333333
GRIN2D	0.819
SLC1A4	-0.6865
LOC401127	-1.6055
HINT2	0.6895
PLD4	0.302333333333333
ZNF286A	-1.01475
ENY2	-0.774
IL1F6	0.176
PXDNL	1.3205
C20orf79	0.0245
TNFSF13B	3.73833333333333
DENND3	-0.416875
JARID1D	-3.735
HIST1H2AK	0.954375
LOC93349	-0.1894
SSH1	-0.914
ENSA	-0.92375
LOC219854	-0.187833333333333
CKAP2	-1.7457
DKFZP564J102	0.68
MGC87315	0.375833333333333
HNRPAB	-0.9135
AMH	-1.934
ZNF526	0.6955
BRUNOL5	-0.1847
CACNG3	-0.335
TRPM1	-2.5775
PPP2R1A	0.1895
COL2A1	-1.18625
DDN	-0.472333333333333
FLJ25770	1.11908333333333
HK2	-0.956428571428572
ELOVL6	-2.101625
MDK	-0.87
EPHX1	0.8015
RASSF2	1.1075
DKFZP434B0335	-0.2535
DLX3	0.138875
PRTN3	-0.658
AVPR1A	1.0515
C21orf125	-2.70525
TNFAIP8	-0.346166666666667
GNB2L1	0.57025
CALCRL	3.55325
SCGB2A2	9.50066666666667
UBXD7	0.2895
ZNF674	-0.6035
TMEM35	1.067375
BRSK2	-0.255375
HECTD3	0.0543333333333333
TMEM188	-0.512
LGALS9	1.800625
SCARB2	1.06333333333333
USP34	-0.275666666666667
C17orf28	2.58575
ZDHHC23	-2.06375
AQP12B	0.59
SLC16A3	-2.189125
APLP2	0.145875
ITIH2	-5.11325
MICAL3	-0.50225
TNNI3K	0.7047
HDAC2	-0.42625
PRR7	-0.1887
THBS2	2.542
LOC751071	-0.0485
CA2	-0.0133333333333333
RANBP17	0.852
RLN3	0.284
CRYZ	-0.889833333333333
GBAS	-0.512666666666667
TAS1R1	0.14725
MPZL3	0.0155
PCDH8	-1.66675
HSP90B1	0.0715
KCNK15	1.9765
TNIP2	0.063
GPR146	0.9005
NOL6	-0.332875
SPC25	-4.43911111111111
STEAP2	2.59864285714286
VAMP3	-0.132333333333333
TCIRG1	0.36725
ZP4	0.737
PARL	-0.118625
TRIM39	0.335
KIAA1305	1.2295
CRNN	0.0148333333333334
GRN	0.28475
HSH2D	-2.13825
SCAMP1	0.19625
KIAA1913	1.835
PTS	-0.4855
BANP	-0.173857142857143
PRKACG	0.11825
ADCY6	-0.235166666666667
C16orf46	0.0635
CYP51A1	-0.413875
DDC	-4.2675
ANPEP	0.166833333333333
PROM1	2.14866666666667
SIGLEC10	2.50925
COPG	0.7365
FAM26E	2.244125
TRIP4	1.0085
SNX3	0.0433333333333333
C1orf175	0.650333333333333
PPY2	0.413
C14orf152	0.13375
FTSJ1	-0.703833333333333
DST	1.57415
LOC554235	0.15975
GLRX5	-0.3985
C20orf12	1.3534
CAB39	0.1035
MSH2	-1.71266666666667
PIP4K2C	0.2105
CYLD	0.8195
WTAP	0.2140625
MGAT4A	1.19688888888889
TSC22D4	-0.3355
CHRM2	-1.3285
PPYR1	0.237833333333333
CCNH	-0.738666666666667
RRM1	-1.71975
ECAT8	1.9475
LOC400120	0.0635
GABRA4	-0.105166666666667
C14orf4	1.31933333333333
C1orf59	-0.1335
CTDSPL	0.68675
NHEDC2	0.496
PDE11A	-0.5498
KLHL29	0.4885
CD5	0.0482
TSPAN9	1.6273125
WDR67	-1.9745
THUMPD1	0.3639
C18orf17	0.2805
CLYBL	0.718
FLJ13231	-0.615375
CMBL	1.211375
LECT2	0.17775
NKAPL	3.06616666666667
LOC654780	0.7065
OR4C6	0.324
RAB30	-0.472166666666667
TSSK4	0.305
TMEM163	0.9285
OSBPL11	0.0505833333333333
GNB5	-0.719333333333333
CCL21	2.004
C1orf121	-0.1565
FMO2	4.37116666666667
RPTN	0.02
MSTN	-0.8935
VCL	0.270857142857143
FYTTD1	-0.05375
C11orf1	-0.10525
CCDC88C	0.6105
HFE	-0.978666666666667
MOGAT1	0.208
FAM125B	0.320666666666667
IRGQ	0.056
RAVER2	0.4915
AKAP5	-0.8565
SSSCA1	-0.405
C11orf63	0.622875
ACTG2	2.2141
PORCN	-1.109
DTL	-3.71918181818182
TMEM151	0.629
FAM122C	-0.99
RSAD2	3.5983
BAT4	-0.2235
KRTDAP	-1.18933333333333
MYH8	0.512714285714286
CRTC3	0.8455
LRRFIP2	0.0771
INTS4	-0.728666666666667
TTN	-1.06533333333333
SLC26A5	0.5295
PLLP	-0.7085
RGS6	-0.223875
SRGAP3	1.1185
ZNF525	0.128666666666667
NBR2	-0.8165
C13orf1	0.3421
ZNF137	-0.1805
CEP27	-1.863
BEST2	-0.0885
RNF121	-0.4305
DMRTC2	-0.4415
C8orf76	-0.791
BCCIP	-0.429125
MEST	-0.113
HTRA2	0.0195
ANGPTL2	1.591
ILKAP	-0.446333333333333
ERAS	-0.9625
HBS1L	-0.90025
CPA5	-0.303
TMEM30A	0.397833333333333
CD300LF	2.2905
WISP3	3.022
CRK	0.359285714285714
PDS5A	-0.7123
BRPF3	0.415333333333333
NEDD9	0.627375
SMPDL3B	0.1225
PSG6	-0.25775
PSMD13	-0.439
ETV5	-0.54975
OR51A4	-0.1205
BTBD7	1.1055
GSTO1	-1.032375
hCG_16001	0.6815
MAD2L1BP	-0.454833333333333
COX6A2	0.946
SCNN1A	1.97766666666667
LSM1	1.50233333333333
UGT2B11	-3.01775
IDUA	0.59275
PPP2R3C	-0.684333333333333
COX11	-0.9235
PDZK1	-1.0965
ZNF443	-0.041
MGC21874	1.434
ZNF323	1.1314
KRTAP10-10	0.5345
CXCL6	-0.29775
SLC34A2	2.7724
LOC284402	0.355
NPTN	1.30008333333333
UPP1	-1.81791666666667
SLC6A9	-0.895
OR7G3	-0.187
CISD1	-0.106666666666667
ZNF545	0.1215
SYT14	-0.9105
NT5C3L	0.0771666666666667
ZNHIT3	0
SNRPD3	-1.05
KIAA0701	0.595625
UNC93B1	-0.166666666666667
GMNN	-2.586125
SPCS2	0.388833333333333
LOC388524	0.399
NAPRT1	0.094125
PNLIPRP1	-0.505
OR6V1	0.8075
PRKAB1	-0.64025
EYA4	-3.63083333333333
KIF20A	-3.59525
ALG10	-1.31825
ITPKC	0.531833333333333
LMX1B	0.558166666666667
RPUSD4	-0.4055
C7orf34	0.157666666666667
DLGAP2	0.425625
PFN1	-0.5855
MICALL2	0.00550000000000001
ZNF654	1.295
SS18L1	-1.143
SLC16A8	0.90575
MKI67IP	-0.037
ITGB3	0.642875
TCEA3	2.57125
CEP152	-2.27975
CLIP1	0.572625
ZNF75	0.53225
ATP5C1	-0.506
NUDT5	-1.19683333333333
PSCDBP	1.82725
UBP1	-0.81
RBM27	-0.6475
C13orf15	2.843625
ZNF282	-0.338333333333333
ZNF222	-0.1662
COL10A1	6.97125
PRDM15	-0.87275
TTTY5	-0.48
FAM9C	-0.129083333333333
C20orf67	-0.26625
GNG13	1.8825
F12	1.19025
C1orf41	-0.85775
CPXCR1	0.432
GSK3A	0.145875
SUPT6H	-0.144166666666667
PI16	3.10483333333333
ELL2	-0.55125
C9orf167	-1.65583333333333
PVRL3	-0.2747
FLJ38596	0.66625
ADAM20	-0.52225
GPR89A	-0.39
GPR87	-0.788
ZNF30	0.6875
SMR3B	-0.42525
ZNF770	-0.210875
TRPC4AP	-0.889833333333333
DKFZP686E2158	0.4815
C2orf28	0.0748333333333333
FREM1	0.454333333333333
LAMA4	1.27866666666667
ADPRHL2	-0.09725
EIF4G2	-0.0818333333333333
GUCA1A	-0.4665
CTNNA2	-1.646375
NUDT15	-0.493666666666667
CEPT1	-0.0771666666666667
ZNFX1	0.4668
CCDC92	1.14975
TDRD1	-1.0365
KCNK5	-2.118
ETNK1	-0.0748333333333333
LTA	0.2475
TTPA	-0.186833333333333
B3GALNT2	-0.584625
SC65	0.0571666666666667
PEX5L	-1.160375
EPS15L1	-0.000750000000000008
MGEA5	-0.08675
HIST1H3A	0.09375
ING1	-0.181625
BCAT1	-2.1285
ORC6L	-4.43245454545455
KLK11	-3.35266666666667
C19orf28	-1.213875
DNER	-3.811
MED22	-1.005
ETV6	1.44691666666667
CHAC2	-2.14575
CD300E	0.3475
CEBPB	0.376166666666667
ZNF398	-0.06
LRCH3	-0.1995
HMGA1	-2.09533333333333
CAPN7	-0.094
MGC5566	-3.42325
CCL3	3.205375
NANOS1	-0.26625
ZFYVE19	-0.61
APITD1	-1.277
PARD3	0.94725
IRAK4	-0.1645
SERPINI2	-0.3415
CEP170L	-0.561
TTC9	1.896125
MYOM3	-1.08925
MLPH	1.217625
LOC222699	-0.2635
NRG1	-0.604916666666667
TBC1D9	3.64709090909091
TTK	-4.12266666666667
ZNF557	0.4351
DDX41	-0.0566666666666667
FANK1	1.794
UBE2D2	-0.337
PSMB10	0.520125
MYH7B	0.0045
GABARAPL2	-0.069875
MARVELD2	1.25333333333333
DGCR2	0.552833333333333
UNC45A	0.1425
C6orf72	0.613
ZNF683	5.263
GIT2	0.344125
CASK	0.487166666666667
C14orf161	1.51216666666667
LRRC44	-0.01275
TIFA	0.405875
UTP11L	-0.457125
C6orf65	0.30725
FDPS	-0.945
DUSP9	-2.1698
SLC17A8	1.85383333333333
OR51G1	0.447666666666667
NANS	0.05
OLFML1	2.52625
ATP10B	-1.19475
NPAS3	1.1705
PRKCA	-2.3095
GGA2	-0.201125
LCE4A	0.397
SPANXN3	0.51225
CCDC115	1.3595
SDCCAG3	-0.883
GLIPR1L1	-0.04225
TTC1	0.02325
C17orf76	0.90425
MAD2L2	-1.41675
HIPK1	-0.057
LRRC3B	1.49033333333333
CLN3	-0.819318181818182
C17orf47	0.393
FMN2	-1.1745
TUBB1	-1.133
WAPAL	-0.146666666666667
C3orf21	-0.12275
SCN5A	-0.4057
SMYD1	0.98125
BEX5	3.13925
ZNF192	0.004
SEC22A	-0.435166666666667
GRIA2	1.10514285714286
KIAA0825	-2.30375
NUSAP1	-3.97036363636364
LANCL1	-0.763375
C15orf40	-0.0992
ZNF645	0.436125
GPR61	-0.2875
NLRP14	0.0485
SNX21	-0.0631
C1QTNF8	-0.0335
C17orf46	0.1225
IFNA8	0.985
SPRR1B	-1.56016666666667
FLRT1	-0.89675
SNX17	-0.451166666666667
ASB2	0.349333333333333
HBG1	-5.8015
RPRML	-2.6055
JOSD2	0.134166666666667
PLSCR3	0.81
SPOCD1	0.362833333333333
RAB39	0.482
GHRH	-0.127166666666667
ITIH5L	0.4315
C17orf37	0.443
SMCR8	0.3205
DPY19L2P3	-1.3505
IL11RA	0.9375
GDF3	-3.67266666666667
RPS6KB1	0.235083333333333
DNAJC19	-0.1496
TOP1	-0.5995
CRCT1	0.495875
MPST	0.0985
DPM2	0.0405
FAM38B	-1.47266666666667
SLC18A1	-2.43916666666667
FARP1	0.423666666666667
PAX7	0.311
TUBD1	0.15075
GNL3	-0.947
BTG2	1.33206666666667
NDUFS6	-0.83075
C1orf79	-1.63225
ERAL1	-0.669
ECHS1	0.905
VPS4A	-0.6075
CYP11A1	-0.216125
ABCC6	-1.83392857142857
PBX4	-1.5345
MOSC1	-0.0655
NCF4	0.3775
HYMAI	-0.047
NAGPA	-0.658375
OTOP2	0.259
ACOT12	-0.365
MTHFD2L	-0.71375
LOC441376	4.585
C19orf34	0.2965
RAB1B	-0.44075
ALDOAP2	-1.2795
NTRK1	-0.459833333333333
ARTS-1	1.6372
SLC6A11	-1.286
NAP1L2	0.7105
CNGB1	-0.1005
EPB41L4B	0.00200000000000006
FAM134B	1.46275
HS3ST3A1	-0.00266666666666667
CPXM2	4.9325
SIRPB2	-0.6845
CHORDC1	-1.37383333333333
TRIB3	-1.9385
SLC2A5	0.5305
C2orf49	-0.826166666666667
DDX5	-0.37075
OR5L1	1.274
ANAPC4	-0.454
ZSWIM1	0.1945
LOC93622	-0.209875
KCNK3	0.1419
RP11-35N6.1	-0.52225
ZFP161	0.315666666666667
AQP9	3.91375
SLC15A2	-0.8005
MREG	-0.287
OR9I1	-0.511
PDLIM2	0.868
ADAM7	0.418
GSTCD	-0.846833333333333
WDR21A	-0.390125
SLC12A8	0.866
TMEM174	0.2815
IGSF3	0.0705833333333333
LRRN1	0.4555
LOC402117	-0.4225
SRPK1	-1.4565
LY6K	-1.693875
NFIA	2.786
PTCD3	-1.006375
LEP	3.4475
PCDH21	-0.2215
MAPKAPK2	0.459642857142857
NMNAT1	-0.120833333333333
LHFPL2	1.193625
C9orf43	1.21475
DIP2A	-0.894166666666667
ACTR8	0.229375
CCDC34	-0.779
PTPN22	-0.139
ITGA3	-0.62
FAM129C	0.8845
RABGGTA	0.367
UNC45B	0.75575
KIAA1033	0.182375
ZNF510	-0.221666666666667
CYP2D6	-0.970666666666667
SLC26A10	-1.685
STX8	0.6625
LUZP1	0.4345
WDR89	0.0778333333333333
EIF4G3	0.1866
C5AR1	1.107125
ZNF623	-0.851
A2M	1.19125
TGM7	0.1015
GRPEL1	-0.396666666666667
LMNB2	-1.5808
ROCK2	0.395
SNX16	-0.277375
CCDC66	-0.8405
ANXA3	1.15275
KIAA1609	-0.491375
EED	-1.14825
RNF32	0.0296666666666667
HES1	0.6005
CLC	-0.254666666666667
ISL1	0.8495
KIAA0528	0.191125
MANEA	-0.111375
C1orf61	-2.5695
hCG_2001000	0.87375
RAPGEF6	-0.3662
KIAA0020	-0.657166666666667
NEIL1	-0.1195
C16orf45	0.344125
RBM10	-0.387666666666667
C10orf125	0.09625
MRS2L	-0.84425
DNAH17	-0.519
C19orf10	-0.3705
C1orf160	0.3805
SLFN12	0.59175
EXOC3	-0.356833333333333
HIST3H3	-0.26975
NCOR2	0.414
TNFRSF9	1.54425
MFSD8	-0.68675
ALX1	-3.80683333333333
NOL1	-1.13675
PODN	3.47075
TIAL1	-1.1685
HIST1H1E	0.6795
NPY6R	0.42525
TM4SF4	0.7335
CORO2A	-1.27025
ETNK2	-0.245833333333333
APOE	0.5898
ANGPT4	0.073
HDGF2	-0.45225
G30	-0.2065
ST8SIA4	0.03525
F2RL1	0.624625
FAM19A4	-2.7955
CCAR1	-0.79725
B3GNT7	0.334
OPHN1	-0.3218
DSCR6	-1.559
C21orf13	0.932666666666667
GAS2L1	0.419166666666667
RFX3	-0.0275
COPS4	0.016125
BCHE	-3.94333333333333
BCL2	2.068875
HBZ	-2.96316666666667
ARL13B	0.438125
MAPBPIP	0.60625
MYO15B	-0.324625
SPZ1	0.16
KIAA1324	3.47755555555556
PLCL2	0.28825
C4orf29	-1.30875
WDFY2	-0.727875
ZNF284	-1.2735
NAALADL1	0.949
DUSP5	1.39316666666667
PXDN	1.84175
SLMO1	-0.53625
TNXB	0.8499
BIRC7	-1.51825
A4GALT	1.059
TIMM22	0.1375
FAM110C	0.29375
TOMM34	-1.33625
ABHD9	1.3825
ADAM32	3.0025
CRHBP	0.777
AQP2	0.791875
LOC130355	0.74625
ZNF187	0.4415
ZNF816A	0.312
F7	-0.91425
CNOT1	-0.9656
SLC13A4	-0.77375
ZBTB11	-0.86375
B3GALT5	0.17425
EXOC2	0.577
IRS1	1.132
TMEM1	0.00166666666666666
MRPL34	-0.165666666666667
SAMM50	-0.44475
CDC42EP3	0.42575
HSF2	-1.0335
MFN2	-0.05125
TSPAN7	-0.831833333333333
NUCB1	0.8415
RHOH	-0.7695
ARL16	-0.387
TACR1	0.36425
SFRS5	-0.885333333333333
SNX25	0.072125
RHBDF1	0.126333333333333
PCDH18	3.33383333333333
HMG1L1	0.046
MYO5C	0.548375
MAPK10	0.633
LDHAL6A	0.1475
NUDT12	0.1994
NCAM1	-0.0743750000000001
GLIS2	-0.087
GGTL4	-0.31175
DAPP1	-0.829
ATF7	0.49975
KIAA0748	0.1285
NFIL3	0.08825
TM6SF1	0.7617
SEZ6	0.01925
NANOS3	0.198666666666667
DNAJA3	-0.9585
CLDN6	-3.48
CIITA	2.8521
EPHA4	0.147666666666667
FANCC	-0.0785
CMTM3	1.041375
PSG3	-0.061625
MRPL15	-0.75825
C21orf59	0.0215
PLCXD2	-0.28325
C2orf34	-0.150375
UBE2L6	0.899125
MED14	-0.370333333333333
HP1BP3	-0.2351
C6orf208	0.022
TPBG	0.11675
OSR2	1.9185
XPC	-0.0126666666666667
KLHL7	-0.4395
CCR3	-0.3226
AGTPBP1	-0.862166666666667
PCSK6	2.26486666666667
STAT5A	-0.3941
FAM18B	0.1145
LONRF2	1.25683333333333
PTPN2	-0.498125
SF3A3	-0.683833333333333
EFCBP2	-0.52825
HCFC1	-1.245
AHNAK	0.54115
ACTR5	-0.49625
KIF14	-3.71057142857143
TENC1	1.38575
HEATR5B	0.399
YIPF2	0.844333333333333
MYEOV2	0.929666666666667
DUSP18	1.113
KIAA1012	0.4
AHR	-0.190833333333333
C17orf53	-2.021
PTPRH	-3.14525
ATP6V1C1	-0.2563
TAS2R3	-0.6615
LOC440356	-1.314
COQ10B	0.48325
PSMF1	0.401083333333333
SORBS2	2.76416666666667
NFE2L2	0.02375
TMCO7	-0.37575
SH3PXD2A	0.9735
SH2D2A	-0.686
SPINK5	-2.32775
MRPS24	-0.7435
OPA3	0.579625
TRAF7	-0.531166666666667
C4orf35	0.00916666666666673
MT1G	-0.366125
MGC39545	-0.0553333333333333
HS1BP3	0.1955
OR2B2	0.046
CHRM4	0.726
SFRP2	3.97991666666667
RIC3	1.37525
ART1	0.509
C6orf1	-0.0575
DUS4L	-1.377
C10orf104	0.42625
TNFAIP6	3.88925
RTEL1	-1.08175
CCT4	-0.7025
ZNF709	-0.3375
CHMP6	-0.00233333333333334
UPP2	0.41775
CYP19A1	-2.47175
CD151	-0.484
NDUFA13	-0.00383333333333333
ARFRP1	-0.981333333333333
FAM26B	2.164
CRYBA1	-1.3835
MRPL41	-0.0771666666666667
NPFFR2	-2.054375
HRH2	0.3785
SCAMP3	-0.195666666666667
MTMR6	0.7277
MTG1	-1.01483333333333
UBTD1	1.91
CRABP1	-1.426
FLJ33790	0.8133
KIAA1908	-0.181
GPR158	-0.15825
PACSIN3	-1.1985
OMD	4.518
CATSPER1	0.442333333333333
HOXB8	-1.363875
FBXO46	0.72
OAS1	1.10616666666667
SVIL	0.70525
PHB2	-0.66775
ADCY3	-0.2965
NDRG2	2.22916666666667
ERMAP	0.2899
APBA2	-1.08383333333333
IGSF9	1.4755
WNT6	0.435
MYCBPAP	-0.332
ATP2B2	-0.2408
CPVL	-0.3435
TRAM2	-0.0473333333333334
NOP5/NOP58	-0.75875
ZNRF4	-0.0655
TLK1	-0.051875
MTMR12	-0.0962857142857143
ZNF384	-0.542666666666667
FAM9B	-2.85425
