Hybridization REF	TCGA-A7-A0DA-01A-31R-A115-07
MAGEA10	-4.92375
WFS1	0.2795
CC2D1B	0.538
PABPN1	-0.306
SLC25A30	0.082
SLCO1C1	-0.2342
SLC22A5	-1.18325
KIF23	-0.236666666666667
SYN2	1.301
ASPN	7.709
CENTG2	0.47475
QSOX2	-0.5932
FLJ10815	0.648666666666667
STK24	1.76425
SPEG	-0.8621
STK10	-0.1985
DACT2	-0.9395
AAAS	-0.19975
SSX3	-1.153125
ABCD3	1.5826
C4orf12	-0.275125
PARVG	0.619833333333333
FIG4	1.0155
C9orf46	1.016
TMCO6	-0.72
IGHMBP2	0.16375
DUS2L	-0.834
FAM3C	1.56875
TMEM16D	-1.118625
DCTN4	-0.24475
KCNH3	-0.01425
EIF2AK2	1.37625
AP1S3	-0.699375
CST4	3.2505
PAM	0.486375
NUTF2	-0.11575
CITED2	0.6561
SLC39A4	-0.157
C2orf52	-0.5785
GRM3	-1.359
C12orf49	1.593125
CCDC49	0.0621
GRAMD1B	-1.754875
FNDC4	1.98525
SIAH2	0.405375
GDPD4	-0.04525
C21orf87	0.555375
ATP5A1	-1.16466666666667
C16orf63	-0.696125
LOC388135	-0.875
ATP5J2	0.33775
MMP3	-3.63875
EMID2	-0.19025
CRHR1	0.3775
WDR70	-0.522
C13orf31	1.641
ZFAND1	0.685
CCL18	1.51983333333333
C3orf49	-0.4835
RINT1	0.761
KIAA0408	-1.81383333333333
F13A1	4.1
SLC10A1	0.471666666666667
OGN	0.21875
GIPC2	-2.83766666666667
XPO6	-0.682333333333333
LCE1A	1.1845
FMR1	-0.3242
LOC374920	0.777
DUSP3	0.351
ANKMY1	-0.73575
C7orf50	-0.65925
BBS9	-0.2355
UNC119B	-0.28475
C9orf72	-0.3345
MGC35440	-0.1745
ENTPD6	0.725
PPP1R2P9	0.25775
ERCC4	-0.21525
FAHD2B	0.3815
HMHA1	-1.4435
HACL1	-1.34975
RAD23A	-0.551333333333333
FAM83B	0.4875
PPP5C	0.959333333333333
RNASEH2C	-0.995875
C9orf153	-0.3985
SCAMP4	0.38475
GHITM	-0.4392
NDUFB7	0.036125
ADCYAP1	0.0723333333333333
SP110	1.1675
MAP3K7IP2	0.94725
DHH	-0.3785
AGRN	0.959357142857143
WDR33	0.1905
CEP290	-1.76066666666667
PRPS1L1	-2.64966666666667
KLRA1	-0.1795
GPR97	0.191
CHD7	-0.345583333333333
TLR10	1.302
SLC30A8	-2.467
HIC1	1.597
IAPP	-0.294
RXFP4	0.39075
GP1BB	-2.27025
SHQ1	-0.423
NKX2-3	-0.325333333333333
API5	0.1425
FTHP1	0.1475
MOV10L1	1.30266666666667
TRIM6-TRIM34	-0.0286666666666667
ADHFE1	3.10275
FAM117A	-0.84775
DDI1	0.2615
CDON	-0.642
TRIM73	-1.6285
IGKC	2.9635
MMP14	1.22333333333333
DYNC1LI1	0.39675
C11orf66	1.26025
TRBV3-1	-0.548
FASTKD5	0.3425
BIVM	-0.41925
LHX4	-1.159
CXCL2	-0.1612
RAB2B	0.136333333333333
IZUMO1	0.249
MAP3K15	-1.5945
FAM19A2	0.431
ZC3H8	0.437333333333333
ZMAT1	-0.011875
SPINK5L3	-3.7745
SLC10A6	0.3135
APPL2	0.470875
CARD10	-0.707
LOC402176	-1.352875
EEF1D	0.3226
RAB6A	1.2675
C12orf5	-1.121375
PAPOLG	0.3445
MSRB2	1.08875
BCR	1.30461111111111
PUS3	-1.385
TIAM2	1.38875
ZNF317	0.0715
CHD2	0.324714285714286
FZD5	-2.41259090909091
NUDT8	-0.933
ZNF763	0.5095
PRC1	0.134666666666667
ABCB9	0.742666666666667
SPATA3	-0.01575
TRAK2	-0.032
STAB1	2.432125
LRRTM2	-0.53
psiTPTE22	-1.91375
DBI	1.629
SERPINA11	-2.739
NAT5	0.13225
C20orf58	-1.682
RPS6KA4	0.154
FLJ90650	-0.86
TGFBRAP1	0.68425
CHRDL2	0.82725
FAHD2A	0.0566666666666667
CNTN1	1.23475
BBS4	-0.2824
TMEM181	0.10375
MINPP1	-0.8575
MPHOSPH6	-0.528833333333333
HOXC10	1.2188
ITPKB	1.095375
CLPTM1L	-1.066375
MEOX2	-0.523833333333333
ATP6V0C	0.285375
PRPF8	0.466333333333333
TMC5	-2.2815
FKBP3	-0.90525
PLEKHB2	0.240875
OR4D6	-0.1685
ZNF544	0.2038
D2HGDH	-1.111
RPL18A	-1.5541
HEL308	-0.615625
MPP6	-1.25525
TCERG1	-1.24425
KRT16	4.03683333333333
KLF17	-1.09975
KLF5	0.7005
CDR1	1.6965
VCX3A	-3.2345
FBLN2	2.055125
C14orf104	0.134
HBE1	-4.5214
OR4S2	0.5255
C1orf108	-0.369166666666667
ROBO4	2.62816666666667
CPEB4	0.02975
C11orf80	0.339833333333333
BCKDHA	0.387833333333333
MYOC	0.00275
GIF	0.719
CKMT1A	0.9115
RPL3	-0.00360000000000001
THBS1	0.7535
APOO	0.381
ARMCX1	0.864
HSZFP36	0.91525
SNAPC5	0.28775
EIF4ENIF1	-0.06225
ZNF433	-0.086
TNFRSF21	0.813625
TMPRSS7	-0.625
SPATA18	0.6377
HPDL	-0.6655
MKL2	-0.0463
TBX3	0.467307692307692
C21orf93	-0.114166666666667
DAXX	0.884
ELMO1	-0.28625
RGS13	2.18366666666667
TAF11	0.64575
UNC13A	-1.959625
LOC653314	-1.3958
ORC3L	-0.25075
IMAA	-1.577
TARBP2	-1.308
CABIN1	-0.0756
TRIOBP	0.1535
HIST1H2AC	1.01125
RGS22	-3.006
NCOA1	1.46666666666667
IL25	-0.104
SNCG	-0.281
GPR6	-0.173
AMDHD1	-2.89533333333333
CHEK2	-1.469625
C6orf142	-1.3495
DRD4	-0.82925
C14orf68	-1.2765
GDF11	-2.24825
SEMG2	-0.376
CD247	-2.307
CDAN1	-0.67125
RBMX2	-0.405333333333333
TGS1	0.49125
OIT3	1.05825
SYF2	-0.0075
MCM4	-0.72475
PKHD1L1	-0.292714285714286
CEP192	-0.226666666666667
IFT88	1.18725
RPL9	-2.08821428571429
RAB32	0.190625
DDX43	-3.4165
P2RX2	-0.096
OR5D18	0.308
UBE1	0.881583333333333
SLC24A1	0.695375
ARHGAP5	1.6645
CETP	-0.641
KIAA1731	-0.457666666666667
SLC9A4	0.4365
PTPN6	0.59025
BAHD1	0.092
GRIK3	-0.19
CACNB2	-0.0972
PDE10A	0.55525
DGCR14	-0.1995
PCDHB9	1.6995
RHOQ	1.52083333333333
MAP3K4	0.13175
KTI12	0.444166666666667
RPL23AP13	-0.63375
GNG11	-1.8585
CLCN3	-1.277
GPAM	-1.73775
VSTM2A	2.453
SLAMF7	1.2265
INTS2	-1.84675
PPP2CA	-1.0137
LRP12	0.9404
SEC14L2	0.585777777777778
DKFZP586H2123	1.4045
MC3R	-0.2205
CIRH1A	-1.2275
HIST1H2AB	-0.173333333333333
POLH	-0.0285
MGC16703	-2.15783333333333
SNAPC2	-0.5515
FILIP1L	1.83025
RASGRP4	0.857
LRRC1	2.0295
GAS1	2.06575
PRAC	-0.70975
DGKA	0.818
NT5C3	-1.36025
PEG3	-4.29533333333333
NADK	-0.52025
PRR17	-2.29725
LOC374569	1.91425
SGSH	0.441166666666667
NLRP8	0.3595
GALT	-0.4989
MCF2	-0.161
ZNF263	1.0095
TACSTD1	2.64883333333333
TYR	-6.0852
ATP6AP2	0.33425
RNUXA	-1.0935
ABHD10	1.3205
GDPD2	-0.943
SLC35C1	-0.16975
UBE2A	-0.175
HERC5	-0.535833333333333
FAM112B	-4.217
FBXL16	1.74575
DKFZP434A0131	-0.37675
ELA3A	-1.8025
RBM41	-1.726
HAO2	0.30275
RNH1	-1.389375
SHANK2	2.60783333333333
OSBP2	0.056125
DAK	-1.3835
C3orf58	0.929416666666667
TCL1B	-1.189
KBTBD2	-0.096
SUGT1L1	1.0295
UBE2E2	1.7615
MYL9	2.70475
CDC23	-1.937
PBXIP1	1.2624
CXorf40B	0.3965
NBL1	1.61275
RTBDN	-0.272
RAB11FIP5	0.795625
TTTY13	0.2995
SCOTIN	0.00791666666666666
SOHLH1	1.374
CDKN1A	0.988571428571428
NCK1	1.31475
ZNF550	-0.35275
SAPS3	-0.332083333333333
SPIN3	1.01966666666667
MAGEE2	1.46
MIS12	-0.471
OR8H2	0.256
KIAA0774	-1.15383333333333
UNC5D	-1.325
CUL7	0.676
LIPC	-3.33016666666667
DIO1	-0.49625
C20orf11	0.7667
CTRL	-0.57275
HS3ST2	1.8165
PAK4	1.20316666666667
CCRL1	2.89575
RNF10	0.697375
ZNF567	0.8775
ZNF660	-0.8185
TCEAL3	0.14825
MAGOH	-0.787
CENPB	-0.0773333333333333
C19orf7	0.36475
LOC388965	-0.27025
ZCCHC13	0.173
JMJD1A	0.0221
HIST1H4H	-0.6975
TBRG1	-0.3083
GPC3	-5.38325
TAF1C	-0.657875
EBNA1BP2	-0.412833333333333
CIAPIN1	0.2155
PDGFRA	-0.991777777777778
CSTB	0.762375
CENPI	-1.46533333333333
GTF2E2	0.0305
RPP21	0.32625
CCNF	-0.2405
KCNQ3	2.452
FAM79A	1.58875
SLC22A12	0.2685
NOVA1	-1.61283333333333
FZD3	0.91
AKAP8	0.169
SOCS5	1.53025
CFDP1	0.39775
DLG5	0.56975
PGM5	-0.29025
C1orf144	0.162833333333333
HDAC10	-0.769
RND2	-0.34725
C20orf199	-2.23325
RNMT	0.18825
SLURP1	2.521
ASTN1	-0.178625
SH3BGR	2.93025
MYCL1	0.804875
ZHX1	0.8645
CENPK	-4.31825
FOSB	0.1157
LOC643406	1.064875
C2orf59	0.197125
TMEM135	-1.105125
SLC27A2	-4.639
KRT33A	1.8115
OVOL1	0.592
PAMCI	-2.22866666666667
S100A7	0.7345
ZNF789	0.3745
HARS2	-0.99375
RPL23A	-1.74416666666667
TCF23	-0.16375
UPF3B	-1.226875
C17orf78	0.5795
HLA-DOB	1.59316666666667
C14orf142	-0.698333333333333
TEKT5	-0.553
DMWD	0.4875
POLD1	-1.36933333333333
GSCL	-0.8125
CALD1	2.5338
SCRT1	-1.0265
AIG1	0.172
UNC84B	2.71025
ZNF404	0.6275
TMED6	-3.10875
KIAA1462	1.157
LRRC27	0.419666666666667
PYGO1	-0.0605
PIGU	-0.716833333333333
ALAS2	-3.82833333333333
WRNIP1	0.628375
CNNM3	0.101
ZNF2	0.66875
ST3GAL5	-1.05508333333333
MRPL23	-1.58525
TSSK6	-0.23475
PSMA6	-0.18425
C16orf70	-0.511
KIAA1602	-0.01175
ALMS1	-0.223833333333333
DCN	2.62875
TMEM132D	-0.8485
SUCLG2	0.28075
ABHD14A	-0.50125
DEXI	-0.0393333333333333
AMPD2	0.0801666666666667
IFNAR2	0.821166666666667
CYB5A	-0.2552
TLOC1	0.86705
NXF5	-0.667833333333333
NRBF2	-0.117125
KCTD3	0.652
ITGAE	-0.690833333333333
SLC30A3	-1.8585
ZRF1	-0.2635
IFRD2	-0.502625
XAB1	0.594
PYCR2	-0.168833333333333
SERPINB3	-3.3555
TMLHE	-0.00419999999999999
GEFT	0.340875
ABCA5	-1.1265
EMR4	0.502666666666667
TSFM	-0.263
HIST3H2BB	-0.992
ARHGEF19	1.21575
TSPAN17	-0.155166666666667
ABCC8	-0.849
MAP1S	0.570833333333333
C22orf36	0.80075
BNC2	0.663785714285714
HIST1H4A	-0.78625
NDUFS3	-0.850166666666667
WDR3	-0.36
XKR4	-0.9995
TTC33	-0.445642857142857
STMN2	3.547
CPN2	-0.691166666666667
HSPC105	1.869
PCOLCE2	-2.5365
C3orf55	3.099
KLHDC9	-2.78966666666667
TBC1D23	0.8075
ATXN2L	-0.935083333333333
MAP2K3	0.413666666666667
SCAP	0.35875
ZNF486	-0.3005
C20orf96	-0.195
NARS	-0.60275
ADAMTSL1	-0.726071428571429
PRCC	1.22816666666667
CCDC126	1.00125
ZNF675	0.14725
CALCOCO1	1.25575
ANKRD43	-0.9855
CWF19L2	0.5385
ZBTB32	0.231166666666667
BRAF	0.47475
ODF4	0.34125
MGC14376	1.9435
HORMAD1	4.43433333333333
AAK1	-0.697272727272727
PEBP1	0.829333333333333
TNFSF5IP1	0.7245
DKFZp564N2472	0.75725
RMND1	-1.487
IGKV1-5	2.8995
COL1A2	3.026
SERPINA5	-4.49625
AANAT	0.1425
C19orf21	0.282
GEMIN5	-1.00875
UBR4	-0.2035
LTBP3	0.828333333333333
AMHR2	-2.14266666666667
PROCR	-2.34375
MYBBP1A	-0.22325
C20orf39	2.332
ZNF697	-0.15
PASK	-1.6232
ZNF776	-0.0343333333333333
RFXDC2	-1.207625
KIAA0467	0.608
C10orf96	-3.87633333333333
ZNF503	-0.346
GULP1	-1.23316666666667
KCNE4	-2.02816666666667
DKFZp434K191	0.1285
LOC196913	-0.2255
BHLHB4	-1.4655
CH25H	-1.90225
LOC81691	-1.67716666666667
ALPL	0.795285714285714
COL12A1	3.115875
FOLR3	0.149333333333333
GPR123	-0.40975
TRIM62	-0.156642857142857
ABLIM1	0.630166666666667
MAST3	0.086
RHBDD1	0.00616666666666667
LOC338809	0.337
RYBP	-0.58
TTC26	-0.930625
ZNF22	0.214333333333333
ISCA2	-1.38375
RDM1	-3.04175
PIGM	0.025
GNB3	-0.584
ACTR2	-0.0706999999999999
HMGB1	0.3592
EDG1	1.40933333333333
SOAT2	-3.35275
OR10AD1	-0.167
RAP1GDS1	-0.417583333333333
LCE1F	0.698
ESM1	0.466625
RCN3	3.003
CREBL1	0.7715
DBNL	0.115666666666667
PTGER3	1.243375
USP30	0.0448333333333334
BCL2L12	-0.296
KIF26B	3.20925
ZNF416	0.94525
ZNF225	0.7675
C17orf70	0.20525
ZNF554	0.4685
RAE1	-0.512333333333333
TNIK	-1.06066666666667
ACTN3	1.8025
MGC45922	-0.754
CCNA1	0.5475
RYK	1.90483333333333
IL26	-0.393
LRP3	0.550166666666667
QARS	-0.291
SOX7	1.36714285714286
BID	-0.65975
OR2S2	0.1735
CXCL14	1.331
C11orf47	-0.656
MGC29891	0.380833333333333
HSPB8	-0.3936
PRDM14	-1.33
NUFIP2	-0.025
MNAT1	-0.810625
ZDHHC2	0.082
MBNL2	1.451125
ADD3	-0.737
CSNK2A1P	0.43825
KLK6	2.79366666666667
TMEM111	-0.0649
KIAA1279	0.798
NUBP2	-0.330833333333333
RAB42	-1.49325
ID3	-1.6611
TM9SF1	1.353
MDP-1	-0.992
POU4F2	0.598
IQCK	0.64075
C16orf14	-0.38375
CAPN3	-1.18925
FAM43B	-0.009375
RECQL	-1.0865
AP1G1	-0.202071428571429
CTNNBL1	-0.599166666666667
ECHDC1	0.287833333333333
SMARCC1	-0.1211
FOXQ1	-2.117625
GNAI3	0.1855
POLG2	-1.51775
CD4	0.915
ITLN1	-1.0235
EBI2	3.29875
IRF1	0.40875
PTPRE	0.9093
PTK2B	0.6485
NXNL2	-2.024
SOX4	1.59211111111111
TSPAN3	0.257833333333333
SH2D1A	-4.4935
C8orf58	-0.0921666666666667
USP20	-0.98275
DUSP22	-0.144083333333333
CALB1	-2.63433333333333
L3MBTL2	1.71958333333333
MCRS1	-0.31075
TMEM118	0.128333333333333
C18orf8	0.261
FLJ10241	0.350875
GJA12	0.32175
PKD1	0.0565
ZFP3	0.7965
JAM3	-0.683375
LAPTM4A	1.4367
DIRC2	0.9675
KIAA2022	0.842666666666667
MYOM1	1.15366666666667
TRPM8	0.5105
MOP-1	0.034
PHKG2	-0.85375
ZNF650	0.506625
KIAA1522	1.100125
PSG8	-0.0973333333333333
DDX19B	0.022
MOBKL1B	-0.5755
DIAPH2	-0.380083333333333
PTPN12	0.42975
CLN8	0.0471
CRYZL1	-0.0823333333333333
CRY2	0.560083333333333
FCGR2B	3.496
PNPLA4	1.149875
ZNF454	1.838
DKFZp434B1231	-0.00899999999999999
CLDN11	0.2498
RFWD2	0.813833333333334
CIB2	2.10966666666667
MXRA8	3.55825
HRK	-0.336125
MAML2	2.37975
C4orf31	0.703
C6orf192	-0.665
COG6	0.74625
FAM5B	-0.01925
NFATC1	1.8167
SEPT10	-0.66125
SCYL1	0.2972
RPP40	-0.524
SCOC	-0.0833
KIAA1450	0.8465
CTDSPL2	-1.00075
TBX5	2.92966666666667
NAPG	-0.113875
RHD	-4.74675
C14orf45	0.500166666666667
ZBTB22	2.0175
PLCG1	-1.477
ANKRD10	0.319875
AQP7P2	-0.246
TAGLN2	0.894666666666667
HTR2C	-0.6275
SLC16A7	-1.47816666666667
C17orf83	-0.49125
TSGA14	-0.857916666666667
MDH1	-0.09475
PPP3R2	0.248
DCBLD2	-1.49564285714286
RBM33	-0.822125
DPH3	-1.221
SYT10	-0.894666666666667
FMO4	1.738
THYN1	-1.7085
DRD5	-2.249
OTOR	0.35825
PGRMC2	0.1844
KATNAL1	-0.37275
PAQR6	-1.70325
UBE2I	0.48875
C14orf28	0.409
C8orf70	-0.6905
FLYWCH1	-0.354125
ANGPTL3	-2.1165
GLRX2	-0.283833333333333
ATP11A	0.723928571428571
ARL5B	0.815625
MUC16	-2.44475
SLC25A5	-1.65264285714286
ACRC	-0.7665
MYO1C	0.6935
FAM89B	1.05316666666667
FAS	0.62025
KIFAP3	1.92125
GLRA2	1.271
BTN3A2	0.0206
CNKSR3	1.430625
CSTF3	-1.22966666666667
ARPM1	1.908
KIAA1530	-0.622
C9orf150	1.07483333333333
PRKCI	0.14675
tcag7.1015	-0.8405
SOD3	0.52275
ZNF574	1.095
CYP21A2	-0.1175
RPL12	-0.7085
COMMD2	-0.08125
WIZ	1.187
LOC344405	-1.789
ALDH4A1	-1.07247058823529
CRYAB	3.71875
COPA	0.7478
PCDHGA7	0.291
KIF11	-1.01391666666667
RASD2	1.936125
SLC26A3	-0.35
ZNF175	-1.201
JAKMIP2	0.204
C8orf4	-0.478166666666667
PTHLH	0.58125
SLC40A1	0.06575
OR7D4	0.399
PCDHB17	1.4925
CD36	0.215357142857143
C6orf203	0.8473
PRKG2	-0.019
LOC400566	0.43575
ANAPC13	-0.014
SLCO3A1	-0.89025
ZNF692	-1.1355
FANCL	-1.872
SH3GLB1	1.55225
C12orf61	0.3765
KBTBD6	2.24275
SUPT5H	1.42725
XRCC6	-0.5775
HUS1B	-0.7506
FAM133B	-0.361214285714286
LOC728276	-0.818
KCTD18	1.025
SOS2	0.987
CCDC99	-1.558
C1QTNF5	3.8985
NNAT	-0.0453333333333333
USP16	0.5565
LARS	-1.553375
ZBTB2	0.378625
ABO	0.557333333333333
TRAF3	0.35125
GALNT5	-1.325
NAP5	0.71525
ALG14	1.20066666666667
KIAA0515	-0.600307692307693
WDR75	-0.8725
TEX261	0.997583333333333
LY86	-0.54575
LOC389072	0.678
FLJ13611	-1.176
MRGPRX2	-0.0635
SNRPA	-0.32675
OR2G2	-0.0475
GPRASP2	-0.34975
C7orf42	0.986
C9orf163	-0.702
CYP11B2	-0.6415
FCRL3	0.892
PRDX1	0.4385
FGB	-6.9405
COX17	-0.538166666666667
C16orf33	0.371
PIWIL1	-0.197166666666667
FOLR1	-0.0793333333333334
KIAA0082	-0.3405
FREQ	0.996
TMCC2	1.593
TCF12	-0.258833333333333
ZNF721	0.77675
FAM130A2	0.373333333333333
POU4F1	-0.3045
SNRPF	-1.209
SGIP1	2.61866666666667
ZNF641	1.07883333333333
EMG1	-0.836375
PRRG4	-0.596
HIRA	-2.79625
MYNN	0.9595
AEBP2	-1.02966666666667
TBXA2R	-0.0141666666666667
ISL2	-2.16883333333333
PCDHB11	2.1985
RNF144A	0.664875
MARCH5	0.22025
DULLARD	0.167166666666667
DCLRE1B	0.153833333333333
ITGA8	0.52175
TP73	-0.24125
PRKCD	1.38975
NDUFB4	-0.07875
ATP13A4	0.3405
ANTXR2	-0.6175
COL4A3	-0.554666666666667
MYO10	0.2046
SLC6A18	-0.09775
PEX1	0.2555
TMEM74	-0.619333333333333
RBM19	-0.0175
TAPBP	0.4684
RUNX1	0.1105
MID1	1.633
GPR64	0.421166666666667
RASEF	-0.79875
GABRG1	0.629375
MYO16	1.45425
DBF4	-1.2635
TSHZ2	2.35925
RIPK2	1.552125
PPTC7	0.00216666666666668
KIF4B	-0.829
LRRC31	0.29125
ZNF540	0.683
EFNB3	0.560666666666667
LOH12CR1	-0.8965
STON2	-1.1345
GLP1R	0.42275
CSTF2T	-1.167
IREB2	-0.54675
GRSF1	-0.18175
PDCD7	0.175666666666667
LRRC43	1.7935
CNR1	-1.067
IL1F7	-0.605
C12orf64	0.3835
FAM69B	-0.75425
NR2E1	-0.913166666666667
MS4A6A	1.2597
FTL	-0.0619
C7orf36	-0.51525
PCLO	0.1857
DYRK2	1.03541666666667
ARIH2	-0.470375
SAMD7	0.2235
SCNN1D	-0.95125
SLC32A1	-1.257125
C22orf25	0.0665
MRPS18A	-0.0763
GPR112	1.209
EARS2	-1.1375
ERN2	-0.038
ATPBD3	-0.0721666666666667
PRH2	-0.102
CDKN2D	0.849
PGLYRP2	-0.512
TRIM40	-0.5915
SEC14L3	0.309333333333333
SLC22A1	-0.3325
BTN2A3	-0.2385
RASA4	0.74525
CCNL2	-1.43558333333333
MYBPC3	0.553
GJA4	2.67575
CDC42SE1	1.450625
TRPV2	-1.7845
MYPN	-3.93344444444444
SIM1	1.391
CDADC1	0.188083333333333
ZFHX4	0.70575
NIBP	1.5145
ADAMTS19	-2.29475
ABTB2	-0.4285
TSPYL2	0.396875
EIF2S3	-0.1859
SOX30	-0.1725
AP2A1	0.747666666666667
DKFZP564O0523	0.502333333333333
LOC285398	-0.09625
CDH18	-5.01675
CHL1	2.017875
GATS	-0.2448
TBC1D2B	1.0495
OR1J1	-3.144
GSN	2.95416666666667
DPCR1	0.58975
GARNL4	1.49616666666667
SMARCA5	-0.55225
PLEKHG3	0.7825
ZBTB45	0.1105
FRMD6	0.046
PLS1	0.742166666666667
DGKZ	1.435
EFNA1	2.8879
WDR85	-0.403625
ANK2	0.2715
PAGE4	-2.118
SENP6	1.9825
AKR7A2	-0.585
FKBP10	-1.52125
VEGFC	-1.91583333333333
LARP1	-0.238875
SRBD1	-0.561
ITGB6	3.64775
SLC1A2	-1.13138461538462
INVS	-2.193
MPO	0.61425
MOBKL3	0.0253
CUTL2	-2.21375
KLK2	0.165583333333333
VIM	1.20925
REG1B	0.102666666666667
PCDHGC4	-0.0405
C3orf34	-0.375833333333333
SUMO3	1.77883333333333
CST9L	-0.92
MLL4	1.0465
SPR	0.0815
SAMD9L	0.20675
ABCE1	0.0265
SUPT3H	-0.296666666666667
ACTBL1	-2.2965
ADAMTS4	1.34933333333333
SLIT3	2.76175
RHEBL1	-1.097
NPM2	0.5085
MAN1C1	1.316375
KIAA1856	-0.716833333333333
HSPA6	2.13625
LOC388152	0.4245
C10orf140	0.86175
ZDHHC12	-0.9515
LIN7A	-1.8361
PHC2	0.728166666666667
SPHK1	0.686
TRIM26	1.1728125
FAM83E	0.0125
C18orf24	-1.28
ZNF578	0.823666666666667
ORAI1	0.70225
RUVBL1	-0.0501666666666667
C7orf20	0.0148333333333333
APAF1	-0.243
SLC36A4	-0.853333333333333
MYH11	3.33833333333333
NEK1	-0.5435
MPP2	-0.54875
C12orf24	-1.90225
TNK2	0.474625
ZNF289	0.28875
MATN3	-1.148
IFNGR2	1.51966666666667
ITPR1	0.118875
EBF3	1.5397
TBC1D20	0.607
OR10P1	0.28125
DDAH2	0.95125
SHPRH	-0.423
STX7	0.4035
LOC554248	-0.98875
BCAR1	0.1985
ATXN3	-0.000750000000000047
TRIM27	0.2585
CDC42EP2	-0.5875
CHP	-0.1955
SOX17	0.0201250000000001
ZNF259	0.256833333333333
CHCHD1	-0.090875
ZDHHC19	0.3575
GBP2	2.84
GARNL3	1.6415
MRC2	1.567
C1orf52	0.262
AOF2	-0.0603333333333333
LRPPRC	0.0238
ACVR1C	-1.8525
TM4SF18	2.91433333333333
TMEM169	0.118666666666667
PPP1R16A	0.806375
EBF1	-0.127166666666667
RRS1	0.630333333333333
SNX2	-0.7315
OR2T2	0.7115
RBX1	0.41275
ANKRD54	-0.0406666666666667
TSNAX	0.302
TMEM83	-2.175
ZBTB7A	0.399
ATM	-0.677272727272727
LOC338328	1.24616666666667
TIE1	1.2025
HIST1H3G	-0.66
PASD1	-4.57633333333333
TINAG	-0.3985
PCDHAC2	0.5735
LRRC15	1.602625
WBSCR17	1.061
TFF2	0.0755
PARP2	-0.7005
NDFIP2	0.58275
PCDHGB2	0.1785
WDR60	0.22125
MAP7D2	-1.132
USP45	0.01
GSDML	-0.52425
TNS1	0.1184
PLCD4	-0.84375
IQCD	-0.608166666666667
SMPX	-2.9095
CD9	0.733166666666667
SRGN	-0.66775
CASP7	-0.2095
INOC1	0.447
DKFZp451M2119	-1.829125
VMAC	1.427
USP53	2.1321
CAMK1G	-0.207
TMEM106A	0.116333333333333
CDC20	-1.3277
ACSL5	-1.99966666666667
CBWD5	-0.888875
C1orf87	-1.1612
KIAA1274	1.6475
PRUNE2	-2.56221428571429
LYPLA2	0.144666666666667
DOK6	-1.53983333333333
GPR149	0.044
FAM30A	0.29775
TMEM129	1.13675
SLC35B3	1.835
ACPP	-0.8801
LOC200261	-1.159
SLC4A7	-1.2606
CCDC40	0.50775
GART	0.148125
THOP1	-1.66225
SCARB1	0.790625
CACNA1F	0.16875
TRIAP1	-0.380833333333333
SYT14L	-0.00750000000000001
SFRS8	-0.323166666666667
PBOV1	0.1535
GOLSYN	-1.06925
GJB7	-0.4125
CAMK2N1	0.256
GREM1	3.446
FLJ20433	0.9555
QPCT	-3.094875
PRKAG2	2.3925
H2AFX	-1.353375
C6orf154	-0.22575
PLOD3	-0.11175
ZBTB39	0.519333333333333
WASF3	1.38691666666667
DRG1	0.132
PRR4	-0.7445
SPCS1	-1.46825
KDELR3	1.68316666666667
SRP19	-0.721666666666667
GABRA6	-0.412
MFSD1	1.04575
MMEL1	2.05475
PDXDC2	0.1008
BUB1	-1.75055555555556
RNF138	-0.7825
MYLPF	-0.477
AIF1	0.0441666666666667
DYNLRB1	-0.3172
HCN3	-1.12083333333333
HIST1H2AI	-1.41375
MAP4K5	0.811333333333333
LASP1	0.51925
LOC130951	1.498
PLAA	1.02025
KRT6A	2.758
C6orf117	-1.755625
ARHGAP23	-0.6975
PTF1A	0.4755
GPHA2	-0.31275
LCE3B	-0.316
MCL1	1.21571428571429
EHBP1	-0.193833333333333
PRNP	0.3274375
ZSCAN1	0.59025
C1orf113	-0.421166666666667
FOXA3	-3.08275
NEB	0.1465
ASGR1	-3.41783333333333
CTGF	1.96216666666667
RAB17	-1.67833333333333
MST101	-0.25925
JARID1B	1.2023
USP37	-1.0863
PTBP1	0.153333333333333
PTPN7	-0.735166666666667
CDC7	-1.538
SNX7	0.64925
ZNF335	-0.0905
CPT2	-0.936
HEATR1	0.14725
HSPC152	-0.408
C5orf40	0.67525
PSME1	-0.00116666666666663
STAG3	-1.89275
TMEM154	0.391
KLHL32	-0.309833333333333
TSGA10IP	-0.7435
SUV420H2	0.00816666666666667
SF1	-0.6064
2'-PDE	0.319875
PNLIPRP2	3.244
TRSPAP1	-0.915833333333333
NUP210	-0.457666666666667
ANP32C	-1.49416666666667
RAB11B	0.781166666666667
ASB15	0.2665
ITGB3BP	-2.126
UBASH3A	-1.2155
YWHAB	0.047875
TPRX1	-0.09125
LY6G5C	0.12775
SLC7A2	-3.397375
CLK1	0.0483
HSD3B7	0.545833333333333
VDR	3.27125
C16orf74	-1.49775
ACE	0.072
PSMA2	-1.16183333333333
CCDC131	-1.378625
ZNF213	1.07616666666667
EML2	0.27025
ALS2CR13	-0.247833333333333
GLYATL1	-3.09175
DSPP	-0.785
DHFRL1	-0.732625
C10orf30	1.7885
SH3RF2	-0.423833333333333
LOC197322	-0.370666666666667
DLL3	-1.250125
TIGD7	1.15125
GFRA3	0.8415
