Hybridization REF	TCGA-BH-A0B4-01A-11R-A00Z-07
PRB2	0.1745
CHUK	0.02375
HR	0.506375
CCDC134	-0.28125
DENND4B	-1.362
C14orf130	-0.093125
RAB33A	-1.44525
DCST2	0.2405
TNMD	-1.577
PEX7	1.06025
FAM62A	0.186625
SRD5A2L	0.86525
IL22	0.043
RPS26	-1.001
HOXC5	0.4345
SPATA6	0.2275
FLJ38482	-0.107375
ZNF234	1.4225
C18orf22	0.44675
SPATA22	0.62875
THOC1	-1.2595
CYP7B1	3.59575
KCNC3	0.29825
C8orf42	-1.304
ALDH1B1	0.0746666666666667
CCDC100	-0.4074
ARMC4	-2.497
FAM18B2	-0.413
SLC44A1	1.286625
FBXO17	-1.0045
C6orf107	-0.54225
C19orf29	-0.328
ZC3HAV1L	0.447
PARP6	-0.5208
SULT2A1	-5.012375
C1orf159	-0.73875
TMC1	0.292
CHST14	0.883
GAMT	-0.106166666666667
SMCP	0.0361666666666667
TSPAN33	0.383166666666667
MIDN	-0.177375
NOX4	3.4175
RNASEN	-1.0984
TBX1	1.94533333333333
SALL2	0.0565
C10orf35	2.121
CYP2E1	-0.92025
LRFN2	3.352
ACO1	-1.77533333333333
IQCG	0.6608
MEGF9	2.225
TM7SF4	1.25375
PLEKHA1	0.6884
STK33	-3.04425
C1orf210	2.23275
SNUPN	-0.6141
KIAA0406	-1.0898
C20orf29	0.19725
TMEM55B	0.3615
OSTM1	-0.7995
CLCN7	-0.25575
OTP	1.19175
FLJ23049	0.44725
HEATR4	1.274
MAP3K10	1.16233333333333
PCDHGA9	0.022
AMDHD2	0.46325
LCTL	-2.238
PDCD2L	-0.789
CABLES2	0.5035
SLC5A9	-0.24225
CLCA2	-1.931
MGC16025	-1.4455
STRAP	-1.10533333333333
C20orf196	-1.1565
RRBP1	0.1805
NAT13	-0.54525
MAT2B	-0.061625
CSNK1D	-0.4165
KIR3DL1	0.2355
PRKAG3	0.497
ZNF599	0.339
PRM3	1.0645
PER2	1.3045
ASPHD1	-2.147
PRMT6	-0.394
KCNE1L	-0.699785714285714
FAM118A	-1.23516666666667
TAF4	0.341
NDUFB6	-0.1365
TRIM9	-0.44925
PMFBP1	-1.51775
KY	0.2965
DKFZp762E1312	-1.90427272727273
CSMD1	-1.599
TBP	-0.684833333333333
OR1Q1	0.185833333333333
RETNLB	0.084
HPGD	0.0636428571428572
DNAJC12	-0.596333333333333
FKBP1B	-0.38875
ANKRD24	-0.201333333333333
CXXC5	0.736666666666667
IL3	-0.213
DRAM	1.3938
PTCH1	-1.361625
TP53BP1	-0.064
SLC17A7	-0.037625
COL25A1	-0.8561
AMACR	0.194666666666667
RHCG	-0.83825
VPS13A	-0.389583333333333
FAM55D	-0.12
PRPF38B	-0.51975
OSBPL6	-1.9245
PFDN5	0.4769
CMTM6	1.18
KCNK12	0.46875
RP2	0.48375
C16orf52	-1.42825
PICK1	-0.2295
IFNE1	-1.169
SEMA4B	0.3355
TYRO3	-0.978
OR12D2	0.4865
CSNK1A1	0.0654
FANCF	1.13225
LONP2	0.126125
TBL1Y	0.113
LDOC1L	-0.40475
CCNC	-0.89225
C3orf60	-0.7745
CHKA	-1.964
UBAP1	0.3025
MAP3K1	1.359
ANKRD9	-0.683
FAM92A1	-0.266
GAB2	0.075
AZU1	-0.3795
DIS3	-0.705583333333333
C21orf109	-1.305
IQCB1	-0.27775
SPATS2	-1.0355
EFCAB3	0.26675
PRB3	0.188125
FUZ	0.0925
ZNF813	0.0325
BMPER	0.3985
HEG1	0.56925
ALS2CR11	-1.22
SURF2	0.508
PSMC1	0.2645
OR2D2	1.241
SLC7A8	1.90433333333333
C4orf40	0.482
SPATA7	0.1
MAZ	-0.638166666666667
PIN4	1.15475
PDE1A	-0.229375
TAF6L	-0.111
OR2T34	0.239
KIAA0284	0.25475
ACADS	-0.338272727272727
MKRN2	-0.6985
C18orf56	-1.73975
MS4A6E	-0.246666666666667
GALNT4	1.4272
C22orf31	0.376
FLJ36070	0.063
PSME4	-0.50975
TFG	-0.4711
EPHX2	0.8375
ANXA5	-0.483875
KRTAP1-1	-0.216
BATF	2.9035
KARS	-1.72
MSTP9	-1.481
GPR26	-0.08075
CCDC72	0.01075
TEF	0.789333333333333
FOXK1	-0.9829
PRLHR	0.032
EMX1	0.8965
C11orf30	-0.2165
ICK	0.255875
THSD7B	0.33725
C21orf100	-2.105
DUOX1	0.05
EFCAB4B	0.18175
UBE2G2	-0.328833333333333
C3orf54	0.91375
PARP1	-1.059
FAM60A	-0.96825
C6orf146	0.36075
OR9K2	0.277
DDX55	-1.08366666666667
RPS15	0.411416666666667
ZNF618	0.9365625
DKFZp686D0972	0.80375
SSPO	0.5745
SHFM3P1	0.431
CPA6	-1.67875
JAG2	1.44575
DEFA3	0.92225
PPBPL2	0.742
CD34	4.876
SLCO4A1	-2.806375
AFG3L1	-2.38133333333333
SHD	-0.40275
RP13-122B23.3	0.102166666666667
PRKCSH	-1.03316666666667
DPH5	-0.2415
HLA-F	1.670375
TBC1D4	-0.868
RIG	0.1032
GLUD1	-0.149333333333333
HNRPCL1	0.060125
HBXIP	-0.28725
RNF207	-0.0265
APIP	-0.544
PLA2G3	-2.88866666666667
CCDC84	-1.74425
MYLIP	0.594692307692308
PHIP	-0.76525
AARS2	-0.572833333333333
DHX32	0.25425
SCAPER	0.249
MEN1	-0.00312500000000001
NIP7	-1.29275
FLJ25404	0.26
FASTKD3	-1.14025
TMEM158	-2.22566666666667
RARA	2.338
BDH1	0.123
ANKRD16	0.9405
CARM1	0.7485
SS18	0.469333333333333
IKZF2	0.618166666666667
MYD88	0.617125
PML	0.70945
TAF1A	-1.52025
CBFB	-0.968
HIST1H3H	0.579666666666667
C7orf29	-1.47925
COMMD4	-0.233833333333333
DPP3	-0.36025
DAB2	0.482375
LOC388882	-0.1115
YPEL4	-0.432375
AGBL3	1.153
LRP6	0.1796
SERPINH1	0.20775
TLE1	-0.734
CD244	0.557166666666667
ZDHHC15	-0.8045
MGLL	-0.3074
PLDN	0.102083333333333
LOC654346	2.0245
FAP	3.746
GPR37	1.04683333333333
SCARA5	0.7145
EBF4	1.99136363636364
LSM6	0.329
MLLT1	-0.094625
SLC5A12	-0.785
A2BP1	-1.69233333333333
COPS5	1.0385
TPM4	0.269214285714286
TNFSF4	1.14216666666667
ACADSB	1.071
HERPUD1	0.15525
BCL2L11	-1.23888888888889
CEP78	-1.00525
CDCA3	-0.86325
WBSCR19	-0.2216
MYO1A	-2.4835
PPEF1	3.95033333333333
LOC440348	-1.74675
CPEB2	-0.258125
BPTF	0.207333333333333
RPL21	0.0675625
GSX2	1.473
ADPRH	1.23183333333333
C17orf68	-0.930166666666667
KCNS1	-0.754666666666667
MLLT6	0.114
PIWIL4	-0.38075
RNF26	-0.00899999999999999
RAP1B	0.883125
ADAMTS1	-1.6623
ZNF571	0.4455
P2RY6	0.311
TRIM21	0.8345
CADM3	-0.148
NLRC5	0.502833333333333
ADRA2B	0.496666666666667
LOC90835	-1.12175
PCF11	-0.9345
LOC400451	2.28025
GLTSCR1	1.1066
C17orf88	-0.308333333333333
CDH16	-2.17675
FGF7	1.581625
PCSK4	1.08133333333333
NPC1L1	-1.61216666666667
TAT	0.17125
TBCA	0.00725
MGC33407	0.0605
GPR115	-1.75725
CYGB	0.554
FNBP4	-1.39383333333333
C12orf43	-0.00124999999999999
CBL	-0.0651
CLECL1	1.971
PPAPDC1A	3.0445
WDR25	0.467333333333333
SGCA	1.1045
C22orf29	0.121833333333333
YIPF1	0.906
GALK2	-1.028
RAB3B	-3.20258333333333
LOC440087	-0.447
UCP1	-0.1305
REEP5	1.90425
FADD	0.0012
FOXA1	2.6585
CACNA1A	0.423333333333333
ABI1	0.591333333333333
GRIN2D	1.23875
SLC1A4	-0.377333333333333
LOC401127	-1.001
HINT2	0.2485
PLD4	0.1965
ZNF286A	-1.5275
ENY2	0.47075
IL1F6	-0.0185
PXDNL	1.5625
C20orf79	0.5705
TNFSF13B	3.7195
DENND3	0.911
JARID1D	0.39625
HIST1H2AK	0.887625
LOC93349	0.0641
SSH1	-0.3407
ENSA	-0.90975
LOC219854	0.290833333333333
CKAP2	-1.344
DKFZP564J102	-0.3055
MGC87315	-0.650333333333333
HNRPAB	-1.082
AMH	-2.2115
ZNF526	0.7455
BRUNOL5	-0.3448
CACNG3	0.2615
TRPM1	-1.53
PPP2R1A	0.3805
COL2A1	0.13575
DDN	-0.2505
FLJ25770	0.930666666666666
HK2	0.152142857142857
ELOVL6	-0.91575
MDK	-0.33275
EPHX1	-0.1265
RASSF2	0.53125
DKFZP434B0335	-0.66925
DLX3	1.33225
PRTN3	-0.1785
AVPR1A	0.9665
C21orf125	-0.8845
TNFAIP8	-0.631166666666667
GNB2L1	-0.4885
CALCRL	3.897
SCGB2A2	7.88433333333333
UBXD7	0.57375
ZNF674	0.1595
TMEM35	-0.015375
BRSK2	-1.0195
HECTD3	-0.286
TMEM188	-0.401416666666667
LGALS9	2.181625
SCARB2	0.673666666666667
USP34	0.01525
C17orf28	2.53216666666667
ZDHHC23	-0.98025
AQP12B	0.172
SLC16A3	-0.80025
APLP2	0.304
ITIH2	-4.83675
MICAL3	-0.6425
TNNI3K	0.2853
HDAC2	-0.3065
PRR7	0.0248999999999999
THBS2	1.201125
LOC751071	-0.646166666666667
CA2	-0.629
RANBP17	0.941
RLN3	0.09625
CRYZ	-0.812666666666667
GBAS	-0.505166666666667
TAS1R1	-0.027
MPZL3	0.149
PCDH8	-1.06175
HSP90B1	-0.387333333333333
KCNK15	1.655
TNIP2	-0.239166666666667
GPR146	0.3615
NOL6	0.074375
SPC25	-2.71922222222222
STEAP2	1.759
VAMP3	-0.4965
TCIRG1	-0.50925
ZP4	0.1115
PARL	0.527625
TRIM39	0.349833333333333
KIAA1305	1.69725
CRNN	0.527833333333333
GRN	0.8295
HSH2D	0.4335
SCAMP1	0.7538125
KIAA1913	1.34325
PTS	0.2065
BANP	-0.339
PRKACG	-0.09725
ADCY6	0.4745
C16orf46	0.5595
CYP51A1	-0.080875
DDC	-6.2405
ANPEP	2.13783333333333
PROM1	-0.385333333333333
SIGLEC10	2.374
COPG	0.664
FAM26E	1.552875
TRIP4	-0.03325
SNX3	-0.193833333333333
C1orf175	0.340666666666667
PPY2	-0.09125
C14orf152	0.035
FTSJ1	-0.622833333333333
DST	0.2086
LOC554235	-0.339
GLRX5	-0.263
C20orf12	0.3561
CAB39	-0.0966666666666667
MSH2	-0.887666666666667
PIP4K2C	1.838375
CYLD	0.42875
WTAP	0.979375
MGAT4A	1.25922222222222
TSC22D4	-0.8267
CHRM2	-1.2285
PPYR1	0.302166666666667
CCNH	-0.5465
RRM1	-1.26775
ECAT8	-3.86725
LOC400120	-0.54625
GABRA4	-0.187625
C14orf4	1.40933333333333
C1orf59	0.33275
CTDSPL	0.245583333333333
NHEDC2	-0.921
PDE11A	-1.36673333333333
KLHL29	-0.3645
CD5	-0.3105
TSPAN9	1.9901875
WDR67	-0.09525
THUMPD1	0.4079
C18orf17	0.1515
CLYBL	-1.34083333333333
FLJ13231	-0.566625
CMBL	-0.129875
LECT2	0.0305
NKAPL	1.672
LOC654780	0.4815
OR4C6	0.2695
RAB30	3.09266666666667
TSSK4	-0.5175
TMEM163	0.2505
OSBPL11	0.70425
GNB5	-0.146166666666667
CCL21	2.8355
C1orf121	-0.620166666666667
FMO2	1.46183333333333
RPTN	0.1425
MSTN	-0.136
VCL	0.0437142857142858
FYTTD1	0.0775
C11orf1	-0.35575
CCDC88C	-0.00743749999999996
HFE	-0.323611111111111
MOGAT1	0.106
FAM125B	0.831666666666667
IRGQ	0.3355
RAVER2	-0.08575
AKAP5	-0.557
SSSCA1	-0.339
C11orf63	-0.18175
ACTG2	1.675
PORCN	-1.426
DTL	-1.30181818181818
TMEM151	0.31675
FAM122C	-1.09775
RSAD2	3.6135
BAT4	-0.4765
KRTDAP	-1.6955
MYH8	0.32375
CRTC3	0.53275
LRRFIP2	0.8134
INTS4	-0.392166666666667
TTN	-1.21866666666667
SLC26A5	0.481
PLLP	-0.07875
RGS6	-0.7375
SRGAP3	0.1995
ZNF525	0.0106666666666666
NBR2	-0.013
C13orf1	-0.1207
ZNF137	-0.1725
CEP27	-1.06075
BEST2	0.766
RNF121	-0.4305
DMRTC2	0.39725
C8orf76	0.882
BCCIP	-0.2895
MEST	-0.3855
HTRA2	-0.154
ANGPTL2	1.685
ILKAP	-0.109
ERAS	-0.3805
HBS1L	-0.69775
CPA5	-0.276
TMEM30A	0.675333333333333
CD300LF	1.956
WISP3	-0.00449999999999998
CRK	-0.0794285714285714
PDS5A	0.0474
BRPF3	-0.00166666666666668
NEDD9	-0.118
SMPDL3B	0.21575
PSG6	3.2155
PSMD13	-0.34475
ETV5	-1.3076875
OR51A4	0.1045
BTBD7	0.531583333333333
GSTO1	-0.609
hCG_16001	0.8995
MAD2L1BP	-0.1225
COX6A2	1.4555
SCNN1A	2.0465
LSM1	0.2745
UGT2B11	-3.85625
IDUA	-0.02075
PPP2R3C	-0.566833333333333
COX11	0.353
PDZK1	-0.20075
ZNF443	0.339333333333333
MGC21874	0.3195
ZNF323	-0.0878
KRTAP10-10	0.397
CXCL6	0.52575
SLC34A2	0.9828
LOC284402	0.3235
NPTN	1.53825
UPP1	-1.98133333333333
SLC6A9	-0.848
OR7G3	0.3815
CISD1	-0.059
ZNF545	-0.200666666666667
SYT14	-1.3155
NT5C3L	0.593666666666667
ZNHIT3	0.310166666666667
SNRPD3	0.3835
KIAA0701	0.64325
UNC93B1	0.401833333333333
GMNN	-1.716
SPCS2	0.723
LOC388524	0.221
NAPRT1	1.36275
PNLIPRP1	-0.592333333333333
OR6V1	0.623
PRKAB1	0.11025
EYA4	-1.5055
KIF20A	-2.449
ALG10	-0.38525
ITPKC	1.399
LMX1B	1.35416666666667
RPUSD4	-0.157166666666667
C7orf34	-0.026
DLGAP2	0.460875
PFN1	-0.6609
MICALL2	0.290583333333333
ZNF654	-1.214
SS18L1	-0.57725
SLC16A8	0.92775
MKI67IP	-0.0775
ITGB3	-0.38575
TCEA3	1.78291666666667
CEP152	-1.6999375
CLIP1	0.5025
ZNF75	0.1898125
ATP5C1	-0.490833333333333
NUDT5	-1.09483333333333
PSCDBP	0.23925
UBP1	-0.08625
RBM27	-0.0745
C13orf15	2.143875
ZNF282	0.139333333333333
ZNF222	0.4036
COL10A1	6.76475
PRDM15	-1.097
TTTY5	-0.617
FAM9C	-0.0664166666666667
C20orf67	0.0295
GNG13	0.0045
F12	-0.38175
C1orf41	-0.84075
CPXCR1	0.6855
GSK3A	0.421
SUPT6H	0.0143333333333333
PI16	1.90616666666667
ELL2	-0.20275
C9orf167	-1.8135
PVRL3	-1.6601
FLJ38596	1.05625
ADAM20	0.3615
GPR89A	-0.003
GPR87	0.657
ZNF30	0.16175
SMR3B	0.0453333333333333
ZNF770	0.104875
TRPC4AP	-0.766666666666667
DKFZP686E2158	0.614333333333333
C2orf28	-0.2645
FREM1	0.446166666666667
LAMA4	0.910166666666667
ADPRHL2	-0.19125
EIF4G2	0.047
GUCA1A	-0.8665
CTNNA2	-1.90825
NUDT15	-1.1275
CEPT1	0.117
ZNFX1	1.8481
CCDC92	0.894
TDRD1	-1.3685
KCNK5	-1.4075
ETNK1	-0.0614166666666666
LTA	0.29
TTPA	0.000666666666666644
B3GALNT2	-0.720125
SC65	0.353833333333333
PEX5L	-1.6085
EPS15L1	0.3645
MGEA5	-0.771
HIST1H3A	0.20025
ING1	-0.45525
BCAT1	-2.78725
ORC6L	-2.92618181818182
KLK11	-5.14766666666667
C19orf28	-1.437
DNER	-4.45085714285714
MED22	-0.2415
ETV6	1.29483333333333
CHAC2	-2.124
CD300E	-0.105
CEBPB	0.49775
ZNF398	0.309
LRCH3	-0.2
HMGA1	-2.04116666666667
CAPN7	-0.2455
MGC5566	-2.9245
CCL3	2.38225
NANOS1	-0.342875
ZFYVE19	-0.0995
APITD1	-0.956
PARD3	0.204
IRAK4	-0.956
SERPINI2	-0.4465
CEP170L	-0.74825
TTC9	2.825875
MYOM3	-0.92825
MLPH	0.936125
LOC222699	0.6345
NRG1	-1.21125
TBC1D9	4.59136363636364
TTK	-1.6345
ZNF557	0.7411
DDX41	-0.5185
FANK1	0.994
UBE2D2	-0.85725
PSMB10	0.495375
MYH7B	0.102
GABARAPL2	-0.382375
MARVELD2	2.45433333333333
DGCR2	0.990833333333333
UNC45A	0.148666666666667
C6orf72	0.564
ZNF683	4.5225
GIT2	0.584625
CASK	0.403
C14orf161	0.669833333333333
LRRC44	-0.42675
TIFA	0.365875
UTP11L	-0.8535
C6orf65	-0.72325
FDPS	-0.62125
DUSP9	-2.1133
SLC17A8	0.610833333333333
OR51G1	0.466166666666667
NANS	0.5895
OLFML1	2.224
ATP10B	-0.821571428571429
NPAS3	-0.2875
PRKCA	-2.2676
GGA2	-0.2425625
LCE4A	0.2185
SPANXN3	0.38625
CCDC115	1.38925
SDCCAG3	-0.9485
GLIPR1L1	-0.06
TTC1	-0.87575
C17orf76	0.99
MAD2L2	-1.42475
HIPK1	0.4619
LRRC3B	0.305833333333333
CLN3	-0.488727272727273
C17orf47	0.713
FMN2	-1.978375
TUBB1	-0.89
WAPAL	0.0173333333333333
C3orf21	-0.07425
SCN5A	-0.6641
SMYD1	-0.07975
BEX5	0.53025
ZNF192	0.169
SEC22A	0.294666666666667
GRIA2	0.2635
KIAA0825	-1.04625
NUSAP1	-1.83
LANCL1	0.06
C15orf40	-0.4577
ZNF645	0.39325
GPR61	-0.18325
NLRP14	-0.3205
SNX21	-0.043
C1QTNF8	-0.2075
C17orf46	0.202666666666667
IFNA8	-0.0265
SPRR1B	-2.15516666666667
FLRT1	-0.595
SNX17	-0.1405
ASB2	0.325
HBG1	-5.494
RPRML	-0.88275
JOSD2	0.783666666666667
PLSCR3	0.41025
SPOCD1	0.223833333333333
RAB39	-0.105
GHRH	0.0245
ITIH5L	0.18525
C17orf37	1.229
SMCR8	0.5465
DPY19L2P3	-0.6395
IL11RA	0.8495
GDF3	-3.59116666666667
RPS6KB1	0.180833333333333
DNAJC19	0.1761
TOP1	-0.44825
CRCT1	-0.54925
MPST	0.027125
DPM2	0.695625
FAM38B	0.0915
SLC18A1	-2.807
FARP1	0.258666666666667
PAX7	0.18
TUBD1	-0.444
GNL3	-0.876375
BTG2	1.13686666666667
NDUFS6	-1.40625
C1orf79	-1.801
ERAL1	-0.28375
ECHS1	0.90075
VPS4A	-0.562166666666667
CYP11A1	-0.499
ABCC6	-0.714214285714286
PBX4	-1.669
MOSC1	-1.40325
NCF4	0.39875
HYMAI	-0.078
NAGPA	-0.319125
OTOP2	-0.1065
ACOT12	-0.387
MTHFD2L	-1.622875
LOC441376	6.47225
C19orf34	-0.536
RAB1B	0.05125
ALDOAP2	-0.7615
NTRK1	-1.67
ARTS-1	-0.308
SLC6A11	-0.6265
NAP1L2	1.5925
CNGB1	0.165166666666667
EPB41L4B	-0.671416666666667
FAM134B	1.24325
HS3ST3A1	-1.10966666666667
CPXM2	4.9165
SIRPB2	0.837
CHORDC1	-1.402
TRIB3	-1.98816666666667
SLC2A5	0.58775
C2orf49	-0.541333333333333
DDX5	-0.59775
OR5L1	0.955
ANAPC4	-0.782
ZSWIM1	0.792125
LOC93622	-0.28875
KCNK3	-0.5493
RP11-35N6.1	-1.65625
ZFP161	0.1855
AQP9	2.6495
SLC15A2	-1.9955
MREG	1.15616666666667
OR9I1	0.3775
PDLIM2	0.81375
ADAM7	0.8585
GSTCD	0.435166666666667
WDR21A	0.716375
SLC12A8	0.862333333333333
TMEM174	-0.35525
IGSF3	0.351
LRRN1	-1.483
LOC402117	0.26825
SRPK1	-1.09616666666667
LY6K	-2.134875
NFIA	1.932
PTCD3	-0.466375
LEP	0.6465
PCDH21	-0.566
MAPKAPK2	0.920928571428571
NMNAT1	-1.11133333333333
LHFPL2	0.765
C9orf43	1.54225
DIP2A	-0.743166666666667
ACTR8	-0.14
CCDC34	-0.372
PTPN22	-0.983875
ITGA3	-0.651625
FAM129C	0.5755
RABGGTA	0.5075
UNC45B	1.40325
KIAA1033	0.04075
ZNF510	0.033
CYP2D6	-1.04
SLC26A10	-1.6995
STX8	-0.2905
LUZP1	-0.050875
WDR89	0.197333333333333
EIF4G3	-0.4725
C5AR1	0.609375
ZNF623	1.0415
A2M	1.2775
TGM7	0.2095
GRPEL1	-0.872833333333333
LMNB2	-0.4316
ROCK2	-0.0781666666666667
SNX16	1.3105
CCDC66	-0.35925
ANXA3	1.3465
KIAA1609	-0.1745
EED	-0.71225
RNF32	0.100666666666667
HES1	1.2795
CLC	0.243
ISL1	-0.6595
KIAA0528	-0.055125
MANEA	0.054
C1orf61	-2.3665
hCG_2001000	1.1105
RAPGEF6	-0.7934
KIAA0020	-0.142333333333333
NEIL1	0.4195
C16orf45	0.918125
RBM10	-0.230166666666667
C10orf125	1.385375
MRS2L	-0.511
DNAH17	-1.516875
C19orf10	-0.3485
C1orf160	0.514
SLFN12	0.44
EXOC3	-1.1055
HIST3H3	0.78375
NCOR2	0.412666666666667
TNFRSF9	0.8065
MFSD8	0.44875
ALX1	-3.2395
NOL1	-1.1635
PODN	3.12425
TIAL1	-1.004
HIST1H1E	0.92525
NPY6R	0.31175
TM4SF4	0.0755
CORO2A	1.965
ETNK2	2.362
APOE	1.404
ANGPT4	0.136
HDGF2	0.05475
G30	-0.1915
ST8SIA4	-0.076125
F2RL1	0.83375
FAM19A4	-3.33225
CCAR1	-1.34425
B3GNT7	-0.11025
OPHN1	-0.8466
DSCR6	3.21
C21orf13	-0.178333333333333
GAS2L1	0.03675
RFX3	-0.00916666666666668
COPS4	-0.03975
BCHE	-3.577
BCL2	1.469625
HBZ	-3.162
ARL13B	0.038625
MAPBPIP	0.570875
MYO15B	0.187375
SPZ1	1.68133333333333
KIAA1324	2.53788888888889
PLCL2	0.48375
C4orf29	-1.067
WDFY2	-1.092875
ZNF284	-0.539
NAALADL1	0.688
DUSP5	0.2015
PXDN	1.283625
SLMO1	-0.0435
TNXB	0.7688
BIRC7	-0.966
A4GALT	1.05033333333333
TIMM22	0.03
FAM110C	1.409
TOMM34	-0.861375
ABHD9	0.635
ADAM32	0.87
CRHBP	0.05175
AQP2	0.456875
LOC130355	1.13825
ZNF187	-0.023
ZNF816A	0.266
F7	-0.394
CNOT1	-0.8337
SLC13A4	0.74275
ZBTB11	-0.28425
B3GALT5	0.3495
EXOC2	-0.0661666666666667
IRS1	0.2965
TMEM1	-0.323166666666667
MRPL34	-0.4765
SAMM50	-0.977
CDC42EP3	-0.2995
HSF2	-0.1645
MFN2	-0.381
TSPAN7	-1.17533333333333
NUCB1	0.40125
RHOH	-1.498
ARL16	0.1955
TACR1	0.9755
SFRS5	-1.39683333333333
SNX25	-0.58575
RHBDF1	0.334166666666667
PCDH18	2.97883333333333
HMG1L1	0.09825
MYO5C	0.605375
MAPK10	0.834
LDHAL6A	-0.200666666666667
NUDT12	0.406833333333333
NCAM1	-0.328875
GLIS2	0.799
GGTL4	-0.20275
DAPP1	-0.63975
ATF7	0.648
KIAA0748	-0.5365
NFIL3	-0.839
TM6SF1	1.1517
SEZ6	-0.191875
NANOS3	0.7405
DNAJA3	-0.267666666666667
CLDN6	-2.926
CIITA	2.5089
EPHA4	-0.509333333333333
FANCC	0.57275
CMTM3	0.875375
PSG3	1.460875
MRPL15	-0.644
C21orf59	-0.0125
PLCXD2	-0.239
C2orf34	-0.27
UBE2L6	1.454375
MED14	-0.234333333333333
HP1BP3	-0.4627
C6orf208	-0.672
TPBG	0.625
OSR2	2.19475
XPC	-0.313
KLHL7	-0.269583333333333
CCR3	-0.451833333333333
AGTPBP1	-1.81866666666667
PCSK6	-0.329933333333333
STAT5A	-0.9966
FAM18B	-0.06975
LONRF2	0.6375
PTPN2	-0.2265
SF3A3	-1.07433333333333
EFCBP2	-0.45175
HCFC1	-0.64
AHNAK	0.65435
ACTR5	-0.38875
KIF14	-1.419
TENC1	0.99125
HEATR5B	0.539
YIPF2	0.169333333333333
MYEOV2	0.885166666666667
DUSP18	0.7485
KIAA1012	0.03125
AHR	-0.233
C17orf53	-0.635333333333333
PTPRH	-3.10075
ATP6V1C1	1.2793
TAS2R3	-0.035
LOC440356	-0.796
COQ10B	0.7635
PSMF1	-0.14075
SORBS2	0.59725
NFE2L2	-0.23025
TMCO7	-0.561
SH3PXD2A	0.6356
SH2D2A	-0.90825
SPINK5	-1.89075
MRPS24	-0.0425
OPA3	0.480625
TRAF7	-0.632
C4orf35	0.187666666666667
MT1G	-0.098625
MGC39545	0.139333333333333
HS1BP3	0.8441
OR2B2	0.1755
CHRM4	0.1385
SFRP2	3.643
RIC3	-0.59475
ART1	0.77
C6orf1	1.0975
DUS4L	-1.42975
C10orf104	0.08425
TNFAIP6	3.57625
RTEL1	0.32975
CCT4	-0.6944
ZNF709	-0.50575
CHMP6	0.998666666666667
UPP2	0.3195
CYP19A1	-2.26057142857143
CD151	-0.878166666666667
NDUFA13	0.250333333333333
ARFRP1	-0.284166666666667
FAM26B	2.28925
CRYBA1	-0.5725
MRPL41	0.675833333333333
NPFFR2	-1.05975
HRH2	0.1165
SCAMP3	0.0398333333333333
MTMR6	1.0692
MTG1	-1.1835
UBTD1	1.47675
CRABP1	-2.4965
FLJ33790	1.2049
KIAA1908	-0.371166666666667
GPR158	-2.28075
PACSIN3	-0.459
OMD	3.13766666666667
CATSPER1	-0.552333333333333
HOXB8	-1.631625
FBXO46	0.968
OAS1	2.16566666666667
SVIL	0.53225
PHB2	-0.645
ADCY3	0.4225
NDRG2	0.948666666666667
ERMAP	0.0678
APBA2	-1.60333333333333
IGSF9	1.52175
WNT6	0.0923571428571429
MYCBPAP	-1.008
ATP2B2	0.208
CPVL	-0.624
TRAM2	-0.69725
NOP5/NOP58	-0.19925
ZNRF4	0.24875
TLK1	0.030125
MTMR12	-0.640142857142857
ZNF384	-0.364166666666667
FAM9B	-2.54025
RPN1	0.6512
PMVK	0.65
EIF3D	-0.3986
SIX2	0.19425
HPS1	0.394142857142857
RNF7	1.15025
PSKH2	0.3805
KCTD13	0.0463333333333333
CSMD3	-0.7894
FBF1	0.1365
IL8	-5.366125
SERPINB13	0.593416666666667
FBXL20	-0.372
BLR1	0.27725
SH2B1	-0.589166666666667
RFNG	-0.01775
RAB20	0.907666666666667
RBM7	-0.235
POLR1A	-0.528833333333333
TMPRSS4	3.49925
TAF9	-0.8595
TERF2	-0.641333333333333
TNFRSF1A	0.664916666666667
ACADVL	-0.844833333333333
GTF2H5	0.25225
EDG8	0.304666666666667
C9orf140	-0.209125
UST6	-0.267
ZBTB8OS	-0.80275
ZNF710	2.1345
GPR174	-1.666
ATP6V0A2	-0.73475
KIAA0319L	-0.710333333333333
XKRX	-0.5495
DOPEY2	0.907
SDHD	-0.550916666666667
SUMF1	1.9695
OSM	1.575
OPN3	-1.83675
DAGLB	0.0683333333333333
PPFIBP1	-0.0038
TRIM63	-2.859
C10orf53	0.297
LYPD3	0.537666666666667
BCL7A	0.035
AGER	-1.76666666666667
TCF19	-1.185
SAT2	0.01975
PFTK1	0.4685
GABRE	-3.09375
C15orf38	1.6088
FIS1	-0.162
KCNV2	0.02525
CLPS	0.13025
PPCDC	0.02325
FOXN2	0.7235
NT5E	-3.1722
CD83	0.649
IL18	-0.445625
VPS16	-0.42975
IGFBP2	-0.702166666666667
NOTCH2	0.493
SIGLEC1	2.44825
CD93	5.896
SULF2	0.47875
CEP164	-0.211625
P53AIP1	-0.0823333333333333
TOR2A	0.0661666666666667
ZNF136	0.5995
MGP	3.4236
CCDC144A	-0.520166666666667
TRPC1	0.3395
SMS	-0.270666666666667
MAPK7	-0.443166666666667
RRAGC	0.602
PARD6A	0.372166666666667
