Hybridization REF	TCGA-A1-A0SE-01A-11R-A084-07
CHAC2	-2.40025
CD300E	-0.00700000000000001
CEBPB	0.357166666666667
ZNF398	-0.23575
LRCH3	-0.023
HMGA1	-1.96633333333333
CAPN7	-0.105666666666667
MGC5566	-3.3055
CCL3	1.411625
NANOS1	-0.530375
ZFYVE19	0.18
APITD1	-0.383666666666667
PARD3	1.587375
IRAK4	-0.472
SERPINI2	-0.3355
CEP170L	-0.32175
TTC9	1.9495
MYOM3	-0.6415
MLPH	1.433625
LOC222699	-0.299
NRG1	-0.594333333333333
TBC1D9	3.13363636363636
TTK	-2.76016666666667
ZNF557	0.3862
DDX41	-0.5695
FANK1	2.094
UBE2D2	-0.025375
PSMB10	-0.320625
MYH7B	0.158
GABARAPL2	-0.65925
MARVELD2	1.9685
DGCR2	0.967333333333333
UNC45A	0.433
C6orf72	-0.3175
ZNF683	4.30425
GIT2	-0.295125
CASK	0.656666666666667
C14orf161	1.10916666666667
LRRC44	-0.241
TIFA	1.333375
UTP11L	-0.413375
C6orf65	-0.4635
FDPS	0.11375
DUSP9	-2.0012
SLC17A8	1.1965
OR51G1	0.153833333333333
NANS	-0.15175
OLFML1	1.8305
ATP10B	-1.019875
NPAS3	1.2505
PRKCA	-2.4434
GGA2	0.0395
LCE4A	0.348
SPANXN3	-0.416
CCDC115	1.70525
SDCCAG3	-0.92675
GLIPR1L1	0.241
TTC1	-0.174
C17orf76	-0.64425
MAD2L2	-0.35325
HIPK1	0.0212
LRRC3B	1.554
CLN3	-0.00736363636363635
C17orf47	0.208
FMN2	-1.975125
TUBB1	-1.99
WAPAL	0.0766666666666667
C3orf21	-0.45325
SCN5A	-0.1651
SMYD1	0.73325
BEX5	0.925
ZNF192	-0.289
SEC22A	0.0618333333333333
GRIA2	0.654214285714286
KIAA0825	-1.01325
NUSAP1	-1.96645454545455
LANCL1	-0.202125
C15orf40	-0.386
ZNF645	0.1925
GPR61	0.50725
NLRP14	0.2525
SNX21	0.038
C1QTNF8	-0.337
C17orf46	0.3805
IFNA8	0.809
SPRR1B	-1.36366666666667
FLRT1	-0.85725
SNX17	0.267666666666667
ASB2	-0.653333333333333
HBG1	-5.2525
RPRML	-2.7815
JOSD2	0.363166666666667
PLSCR3	0.335
SPOCD1	-1.39866666666667
RAB39	-0.1775
GHRH	0.559666666666667
ITIH5L	0.54775
C17orf37	0.154
SMCR8	0.697
DPY19L2P3	-1.32016666666667
IL11RA	1.16783333333333
GDF3	-3.81633333333333
RPS6KB1	-1.17491666666667
DNAJC19	-0.2076
TOP1	-0.11375
CRCT1	-1.022875
MPST	0.1405
DPM2	0.1825
FAM38B	-0.367
SLC18A1	-2.61066666666667
FARP1	0.646166666666667
PAX7	0.09375
TUBD1	-1.40625
GNL3	-0.494625
BTG2	2.1892
NDUFS6	-0.72175
C1orf79	-2.44725
ERAL1	-0.49825
ECHS1	0.53425
VPS4A	-0.690166666666667
CYP11A1	-0.434625
ABCC6	-0.622571428571429
PBX4	-2.2345
MOSC1	-0.53025
NCF4	-0.1175
HYMAI	0.876
NAGPA	-0.654875
OTOP2	0.14025
ACOT12	-0.242
MTHFD2L	-0.9575
LOC441376	4.23625
C19orf34	0.0535
RAB1B	0.33175
ALDOAP2	-0.7315
NTRK1	-0.593666666666667
ARTS-1	-0.0507
SLC6A11	-0.647
NAP1L2	1.24725
CNGB1	-0.218166666666667
EPB41L4B	-0.0304166666666667
FAM134B	1.866375
HS3ST3A1	-0.675833333333333
CPXM2	4.41975
SIRPB2	0.21
CHORDC1	-2.2345
TRIB3	-1.35966666666667
SLC2A5	-0.087
C2orf49	-0.800666666666667
DDX5	-0.59225
OR5L1	1.3075
ANAPC4	-0.841833333333333
ZSWIM1	0.193875
LOC93622	0.020125
KCNK3	-0.1813
RP11-35N6.1	0.370375
ZFP161	0.452333333333333
AQP9	0.70775
SLC15A2	0.390333333333333
MREG	0.9625
OR9I1	0.3305
PDLIM2	0.829625
ADAM7	0.489
GSTCD	0.561
WDR21A	-0.159125
SLC12A8	1.639
TMEM174	0.10725
IGSF3	1.1195
LRRN1	2.805
LOC402117	0.15725
SRPK1	-1.41833333333333
LY6K	-1.45925
NFIA	2.922
PTCD3	-0.824
LEP	0.0548333333333334
PCDH21	-0.716
MAPKAPK2	1.12407142857143
NMNAT1	-0.691
LHFPL2	0.64775
C9orf43	0.551
DIP2A	-0.342666666666667
ACTR8	0.196125
CCDC34	-0.53975
PTPN22	-1.286125
ITGA3	-0.846375
FAM129C	-0.05625
RABGGTA	0.154833333333333
UNC45B	0.7415
KIAA1033	-0.46875
ZNF510	0.0685
CYP2D6	-0.852166666666667
SLC26A10	-1.997
STX8	-0.425
LUZP1	0.10575
WDR89	0.0561666666666667
EIF4G3	-0.1897
C5AR1	0.80575
ZNF623	1.024
A2M	1.0385
TGM7	-0.1705
GRPEL1	-0.4525
LMNB2	-0.8049
ROCK2	-0.433166666666667
SNX16	0.23175
CCDC66	-0.1415
ANXA3	0.84
KIAA1609	-0.193375
EED	-1.56775
RNF32	0.988666666666667
HES1	0.8835
CLC	-0.152166666666667
ISL1	-0.458833333333333
KIAA0528	-0.1335
MANEA	0.09825
C1orf61	-2.2435
hCG_2001000	0.71725
RAPGEF6	0.4725
KIAA0020	-0.767833333333333
NEIL1	0.43475
C16orf45	1.313125
RBM10	-0.179166666666667
C10orf125	-1.358625
MRS2L	-0.86
DNAH17	-1.51075
C19orf10	-0.25775
C1orf160	0.51875
SLFN12	0.16425
EXOC3	-0.4025
HIST3H3	0.66175
NCOR2	0.105666666666667
TNFRSF9	0.0405
MFSD8	0.3645
ALX1	-3.92833333333333
NOL1	-1.0395
PODN	2.94975
TIAL1	-1.018
HIST1H1E	-0.85625
NPY6R	0.47375
TM4SF4	-0.39125
CORO2A	1.14275
ETNK2	1.928
APOE	-0.2543
ANGPT4	0.872
HDGF2	0.013
G30	0.397
ST8SIA4	-0.6995
F2RL1	-0.226375
FAM19A4	-3.7385
CCAR1	-0.88325
B3GNT7	0.32825
OPHN1	-0.434
DSCR6	1.372
C21orf13	1.16366666666667
GAS2L1	0.592083333333333
RFX3	0.372333333333333
COPS4	0.0415
BCHE	-4.0065
BCL2	2.61525
HBZ	-2.80566666666667
ARL13B	0.42675
MAPBPIP	1.7115
MYO15B	-0.809625
SPZ1	0.08325
KIAA1324	3.24455555555556
PLCL2	-0.342375
C4orf29	-1.09675
WDFY2	-0.449
ZNF284	-0.863
NAALADL1	0.8
DUSP5	-0.1545
PXDN	0.589625
SLMO1	-0.6955
TNXB	0.5069
BIRC7	-1.485
A4GALT	0.9265
TIMM22	-0.1055
FAM110C	0.711
TOMM34	-0.890625
ABHD9	0.2075
ADAM32	2.4815
CRHBP	0.09425
AQP2	0.429375
LOC130355	0.532
ZNF187	0.4755
ZNF816A	0.1435
F7	0.756875
CNOT1	-0.7755
SLC13A4	-1.2745
ZBTB11	-0.616
B3GALT5	0.40975
EXOC2	0.848
IRS1	1.2223
TMEM1	-0.0201666666666667
MRPL34	-0.380166666666667
SAMM50	-0.08475
CDC42EP3	-0.25025
HSF2	-0.8154
MFN2	-0.20525
TSPAN7	-0.556
NUCB1	0.777333333333333
RHOH	-1.34525
ARL16	-0.9285
TACR1	0.00725000000000001
SFRS5	-0.508166666666667
SNX25	-0.497875
RHBDF1	0.816833333333333
PCDH18	2.88183333333333
HMG1L1	-0.33375
MYO5C	0.773875
MAPK10	0.6105
LDHAL6A	0.415333333333333
NUDT12	1.21733333333333
NCAM1	-0.066625
GLIS2	0.602
GGTL4	0.65175
DAPP1	-0.83775
ATF7	0.984375
KIAA0748	-0.863
NFIL3	-0.947
TM6SF1	0.7037
SEZ6	-0.063625
NANOS3	0.267833333333333
DNAJA3	-0.365666666666667
CLDN6	-2.916
CIITA	2.4171
EPHA4	-0.900666666666667
FANCC	0.19875
CMTM3	0.437625
PSG3	-0.274875
MRPL15	-0.49725
C21orf59	-0.3055
PLCXD2	-0.479
C2orf34	-0.340375
UBE2L6	0.91175
MED14	-0.5065
HP1BP3	-0.1316
C6orf208	-0.159
TPBG	0.647
OSR2	-0.121375
XPC	0.442166666666667
KLHL7	-0.876083333333333
CCR3	-0.403333333333333
AGTPBP1	-1.82866666666667
PCSK6	0.449333333333333
STAT5A	-0.7472
FAM18B	-0.31875
LONRF2	0.291333333333333
PTPN2	-0.66225
SF3A3	-0.492
EFCBP2	-0.39
HCFC1	-0.331333333333333
AHNAK	0.28145
ACTR5	-0.36925
KIF14	-2.09657142857143
TENC1	1.48
HEATR5B	0.9135
YIPF2	0.650166666666667
MYEOV2	1.22133333333333
DUSP18	1.24325
KIAA1012	0.09275
AHR	0.522
C17orf53	-1.11666666666667
PTPRH	-3.79425
ATP6V1C1	0.4652
TAS2R3	-0.0845
LOC440356	1.75475
COQ10B	0.51
PSMF1	0.52925
SORBS2	2.83558333333333
NFE2L2	0.02975
TMCO7	-0.5775
SH3PXD2A	0.6923
SH2D2A	-1.019
SPINK5	-2.20275
MRPS24	-0.93525
OPA3	0.336
TRAF7	-0.0141666666666667
C4orf35	0.2035
MT1G	-0.945875
MGC39545	0.2265
HS1BP3	0.2656
OR2B2	0.824
CHRM4	-0.117
SFRP2	3.81433333333333
RIC3	0.75325
ART1	0.204
C6orf1	0.478625
DUS4L	-1.02275
C10orf104	0.345
TNFAIP6	2.66725
RTEL1	-1.87675
CCT4	-0.558
ZNF709	0.0735
CHMP6	0.210333333333333
UPP2	0.55075
CYP19A1	-1.671875
CD151	-0.305333333333333
NDUFA13	-0.0441666666666667
ARFRP1	-1.10883333333333
FAM26B	1.8375
CRYBA1	-2.0925
MRPL41	0.081
NPFFR2	-1.0065
HRH2	0.233
SCAMP3	0.505833333333333
MTMR6	0.5311
MTG1	-1.28583333333333
UBTD1	0.9675
CRABP1	0.1395
FLJ33790	0.4843
KIAA1908	-0.2155
GPR158	0.6665
PACSIN3	0.135666666666667
OMD	3.94283333333333
CATSPER1	-0.929166666666667
HOXB8	-0.919625
FBXO46	1.151
OAS1	-0.16
SVIL	1.19225
PHB2	-0.532
ADCY3	-0.0375
NDRG2	2.42233333333333
ERMAP	0.8254
APBA2	-1.48316666666667
IGSF9	3.06375
WNT6	0.195
MYCBPAP	1.78975
ATP2B2	-0.4501
CPVL	-0.8277
TRAM2	-0.993333333333333
NOP5/NOP58	-0.847
ZNRF4	-0.06075
TLK1	0.233625
MTMR12	0.565428571428572
ZNF384	-0.135833333333333
FAM9B	-3.17475
RPN1	0.6289
PMVK	1.494
EIF3D	0.2612
SIX2	-0.94275
HPS1	0.1835
RNF7	0.06575
PSKH2	0.382
KCTD13	0.107
CSMD3	-0.424
FBF1	-0.9615
IL8	-6.322
SERPINB13	0.136833333333333
FBXL20	-0.06475
BLR1	0.3075
SH2B1	-0.0713333333333333
RFNG	0.1535
RAB20	0.914166666666667
RBM7	-0.73825
POLR1A	-0.316166666666667
TMPRSS4	-0.5815
TAF9	-0.98225
TERF2	-0.0575
TNFRSF1A	0.637
ACADVL	-0.915666666666667
GTF2H5	-0.257
EDG8	1.05883333333333
C9orf140	-1.35025
UST6	0.03975
ZBTB8OS	-0.99075
ZNF710	0.9165
GPR174	-1.6445
ATP6V0A2	-0.96925
KIAA0319L	0.437166666666667
XKRX	-0.611
DOPEY2	1.2337
SDHD	-0.857083333333333
SUMF1	2.16775
OSM	1.736
OPN3	-1.2005
DAGLB	-0.324333333333333
PPFIBP1	0.1267
TRIM63	-1.9835
C10orf53	-0.1945
LYPD3	0.3805
BCL7A	-0.171875
AGER	-1.2695
TCF19	-0.884625
SAT2	-0.15125
PFTK1	0.889833333333333
GABRE	-3.153625
C15orf38	1.1935
FIS1	0.215
KCNV2	-0.00825
CLPS	0.70175
PPCDC	-0.66775
FOXN2	0.0136666666666667
NT5E	-3.3465
CD83	0.05675
IL18	-0.928875
VPS16	0.4325
IGFBP2	1.00583333333333
NOTCH2	0.49
SIGLEC1	1.86175
CD93	4.529
SULF2	0.417
CEP164	-0.391625
P53AIP1	0.267666666666667
TOR2A	-0.154833333333333
ZNF136	0.4805
MGP	3.171
CCDC144A	0.0875
TRPC1	-0.791833333333333
SMS	-0.309833333333333
MAPK7	-0.501166666666667
RRAGC	0.36275
PARD6A	0.434
NUB1	0.372
SYNGR4	0.76925
OR11H12	0.092
WIF1	2.029
GCH1	-0.4875
OR11H4	0.331
SLC44A5	0.71
GPRIN2	2.072
LOC401431	-0.05025
CPA4	-2.6597
MELK	-2.20188888888889
IL15RA	0.02925
CUL3	0.961875
HMBOX1	1.6415
PODXL	-1.32775
CCT6B	1.05666666666667
COMTD1	-0.67675
MUC20	0.249333333333333
GPX2	-3.564
ITK	-0.817
FBXL5	1.39775
C13orf27	-1.75375
DEFA5	0.3795
TRHDE	-0.6755
MTP18	-0.514166666666667
UQCRQ	0.5996
ITGB2	0.8755
CSRP2BP	0.40075
TAS2R44	0.082
PHPT1	-0.031875
FAM44C	0.028
ERH	0.40975
MPHOSPH1	-1.40833333333333
MORC1	-0.438
PARVB	-1.318
LAMA1	-1.78208333333333
PGBD3	0.0645
GIMAP6	3.85825
AREG	0.688
LIPT1	0.08175
MGC99813	-0.76825
C1orf201	0.2435
GRIN2A	-0.5555
MAN2C1	-1.327625
NSUN5	-0.853
SF3B5	-0.23625
MYC	-0.7523125
NRXN1	0.105583333333333
ZNF18	0.308
SPDYA	-0.133428571428571
SLC37A1	1.3875
DECR2	0.31125
ANKRD38	1.5005
SPTLC3	-1.20033333333333
SUPT16H	-0.190125
DTWD2	0.5905
ULBP1	-0.724
ZADH1	-0.3305
OIP5	-2.535
IL10RB	0.0693333333333333
OTUB2	0.267875
VWA3A	0.285
SPIC	0.3735
OR6C4	-0.0125
PSCD4	0.457333333333333
DPY19L2P2	-1.0315
TRAPPC6A	1.398
C21orf2	-0.239333333333333
CEMP1	-0.07475
LIN7B	-0.334
E2F7	-2.36116666666667
VCP	0.0453125
LAMA3	3.13883333333333
BGN	1.92675
GPR160	1.50366666666667
COCH	-4.41683333333333
GPR81	1.26683333333333
APOBEC3F	-1.06
tcag7.1017	-0.6925
C1orf32	0.248
SCGB1D2	6.21625
FLJ43987	-0.325
C6orf170	0.31575
KLK9	0.3925
GPD1L	0.55
VPS37B	-0.519
ATG3	-0.4215
ADAMTS17	0.386
KLHDC2	0.127
NDUFV2	-0.5025
BLK	-2.58575
MATN4	-0.884
GPM6A	0.509875
GBP4	3.13933333333333
TMEM162	0.178
PKP2	1.055
HRASLS	-0.312888888888889
MMP1	-4.2045
SFXN3	-0.5095
FSD1	-1.82416666666667
ST6GALNAC3	-1.5135
CA12	3.2994
NCOA6	0.312
C19orf58	-0.3236
PPP4R1	0.212166666666667
MAN1A2	0.700333333333333
IKBKAP	-1.07175
UPF1	0.00683333333333332
KIAA1219	0.52925
WNT16	-0.0856666666666667
SNW1	-0.06675
IL18RAP	2.33575
RPP30	-0.4625
CDC40	-0.368785714285714
SETD3	0.3065
SLAMF6	0.266
ELK4	0.063
TRIM47	0.148333333333333
ACOX3	1.607625
TRIM6	1.35325
KIAA0372	-0.653833333333333
TP53AP1	1.479125
SMURF2	-0.4215
ADAD1	0.57575
EBP	-0.5999
KRTAP13-2	-0.374
FLJ36874	-0.8705
TOR1A	-0.0818333333333334
P2RY4	0.8255
GPBP1	0.01175
TRPV1	-0.55375
ADAMTS12	0.8005
PES1	-0.3432
ATG4A	0.273166666666667
MAGEA10	-4.2955
WFS1	1.50525
CC2D1B	-0.6145
PABPN1	-0.45125
SLC25A30	0.358
SLCO1C1	0.506166666666667
SLC22A5	1.373
KIF23	-1.8965
SYN2	0.444333333333333
ASPN	8.46316666666667
CENTG2	0.57475
QSOX2	-1.672
FLJ10815	-0.11
STK24	-0.2605
SPEG	0.4499
STK10	-0.379833333333333
DACT2	1.5655
AAAS	-0.94375
SSX3	-1.368625
ABCD3	1.2772
C4orf12	-0.1495
PARVG	0.1065
FIG4	0.71275
C9orf46	1.56075
TMCO6	-0.5015
IGHMBP2	0.332
DUS2L	-0.754333333333333
FAM3C	0.0425
TMEM16D	-1.522
DCTN4	0.432
KCNH3	-0.17925
EIF2AK2	0.596
AP1S3	0.38125
CST4	0.6515
PAM	0.06725
NUTF2	-0.46175
CITED2	0.1566
SLC39A4	0.139
C2orf52	-0.362
GRM3	-0.278
C12orf49	-0.21325
CCDC49	-0.2705
GRAMD1B	-1.47475
FNDC4	0.71325
SIAH2	1.65075
GDPD4	0.0305
C21orf87	0.5575
ATP5A1	-0.0645
C16orf63	-0.245
LOC388135	-0.228833333333333
ATP5J2	-0.751625
MMP3	1.73325
EMID2	-0.29075
CRHR1	0.404
WDR70	-0.4155
C13orf31	1.283
ZFAND1	-0.2475
CCL18	2.58483333333333
C3orf49	-0.326
RINT1	-1.508
KIAA0408	-1.631
F13A1	4.8713
SLC10A1	-0.0858333333333333
OGN	3.30875
GIPC2	-0.724333333333333
XPO6	-0.3265
LCE1A	0.97
FMR1	0.0455
LOC374920	-0.025
DUSP3	0.28925
ANKMY1	1.13175
C7orf50	0.36275
BBS9	0.2263
UNC119B	-0.320125
C9orf72	-0.42925
MGC35440	-0.8105
ENTPD6	-0.0085
PPP1R2P9	0.59325
ERCC4	0.3335
FAHD2B	0.173
HMHA1	-0.1215
HACL1	-0.558
RAD23A	-0.334166666666667
FAM83B	0.02375
PPP5C	-0.978
RNASEH2C	-0.527375
C9orf153	-0.47025
SCAMP4	0.5935
GHITM	0.1169
NDUFB7	0.111375
ADCYAP1	2.15583333333333
SP110	0.924333333333333
MAP3K7IP2	0.2125
DHH	0.043
AGRN	0.8485
WDR33	0.079
CEP290	0.663
PRPS1L1	-1.79733333333333
KLRA1	-0.529
GPR97	-0.2685
CHD7	-1.06008333333333
TLR10	0.814
SLC30A8	-0.386
HIC1	1.66566666666667
IAPP	0.6675
RXFP4	0.33075
GP1BB	0.864
SHQ1	0.4875
NKX2-3	0.417666666666667
API5	-0.041
FTHP1	-0.3635
MOV10L1	0.240666666666667
TRIM6-TRIM34	2.01466666666667
ADHFE1	1.0685
FAM117A	0.1535
DDI1	-0.0728333333333333
CDON	0.1275
TRIM73	-1.013
IGKC	4.409
MMP14	-0.269416666666667
DYNC1LI1	-0.172875
C11orf66	0.2665
TRBV3-1	-1.4585
FASTKD5	-0.04075
BIVM	-0.82225
LHX4	-0.504
CXCL2	-0.4791
RAB2B	-0.223333333333333
IZUMO1	-0.77825
MAP3K15	-1.8085
FAM19A2	0.0151666666666667
ZC3H8	-0.617166666666667
ZMAT1	0.484125
SPINK5L3	-3.16725
SLC10A6	1.297
APPL2	0.088125
CARD10	0.1015
LOC402176	-0.2475
EEF1D	0.7431
RAB6A	0.1725
C12orf5	-0.939125
PAPOLG	-0.24725
MSRB2	1.857
BCR	0.962888888888889
PUS3	-0.88775
TIAM2	0.24075
ZNF317	0.178333333333333
CHD2	0.0535
FZD5	-2.03818181818182
NUDT8	-1.63725
ZNF763	0.346
PRC1	-1.57844444444444
ABCB9	-0.235166666666667
SPATA3	0.63225
TRAK2	0.674875
STAB1	2.58925
LRRTM2	0.3085
psiTPTE22	1.00675
DBI	0.565
SERPINA11	0.33725
NAT5	0.31775
C20orf58	-2.51325
RPS6KA4	-0.413833333333333
FLJ90650	-0.803
TGFBRAP1	0.568
CHRDL2	0.351375
FAHD2A	-0.182833333333333
CNTN1	0.667
BBS4	0.3028
TMEM181	-0.36575
MINPP1	-0.3645
MPHOSPH6	-1.3345
HOXC10	1.6727
ITPKB	0.52025
CLPTM1L	-0.52325
MEOX2	0.870833333333333
ATP6V0C	0.416625
PRPF8	-0.511166666666667
TMC5	2.59875
FKBP3	-0.226
PLEKHB2	-0.219375
OR4D6	-0.0035
ZNF544	-0.5428
D2HGDH	-0.42775
RPL18A	-0.0991
HEL308	-0.463625
MPP6	-3.2155
TCERG1	-1.52375
KRT16	-0.9655
KLF17	-0.83175
KLF5	1.259375
CDR1	2.673125
VCX3A	-4.1835
FBLN2	2.042375
C14orf104	-0.12225
HBE1	-4.757
OR4S2	-0.203
C1orf108	-0.733333333333333
ROBO4	3.58466666666667
CPEB4	0.84375
C11orf80	-0.3405
BCKDHA	0.620166666666667
MYOC	0.0725
GIF	-0.293
CKMT1A	0.2515
RPL3	0.9998
THBS1	2.530375
APOO	-0.7775
ARMCX1	2.20725
HSZFP36	0.6025
SNAPC5	-0.33325
EIF4ENIF1	0.854
ZNF433	0.106
TNFRSF21	-0.686
TMPRSS7	0.7385
SPATA18	1.9743
HPDL	-1.8775
MKL2	1.6677
TBX3	2.37984615384615
C21orf93	0.317666666666667
DAXX	0.76475
ELMO1	0.0265
RGS13	2.26
TAF11	-0.581
UNC13A	-2.377625
LOC653314	-0.2687
ORC3L	-0.95225
IMAA	-3.754
TARBP2	-0.52225
CABIN1	-0.099
TRIOBP	0.5260625
HIST1H2AC	0.667875
RGS22	1.122
NCOA1	1.12383333333333
IL25	1.664
SNCG	2.9685
GPR6	0.811
AMDHD1	-1.49233333333333
CHEK2	-0.818875
C6orf142	-0.33175
DRD4	0.558
C14orf68	-1.161
GDF11	-1.98775
SEMG2	0.4415
CD247	-1.16375
CDAN1	-0.27125
RBMX2	0.051
TGS1	0.076
OIT3	0.95175
SYF2	0.28
MCM4	-1.798625
PKHD1L1	0.50775
CEP192	-0.8485
IFT88	1.26775
RPL9	0.461071428571429
RAB32	-0.1345
DDX43	-2.59825
P2RX2	0.546
OR5D18	0.297
UBE1	-0.21425
SLC24A1	0.922625
ARHGAP5	0.59
CETP	-0.412
KIAA1731	-1.2505
SLC9A4	0.7255
PTPN6	0.65675
BAHD1	0.2365
GRIK3	0.8495
CACNB2	-0.0369999999999999
PDE10A	-0.00224999999999999
DGCR14	-0.07575
PCDHB9	-0.363
RHOQ	0.204333333333333
MAP3K4	-0.24575
KTI12	-0.495666666666667
RPL23AP13	-1.157
GNG11	-0.6065
CLCN3	1.1785
GPAM	-1.01075
VSTM2A	-0.642
SLAMF7	2.187
INTS2	-0.97275
PPP2CA	0.3014
LRP12	0.0501333333333333
SEC14L2	3.49866666666667
DKFZP586H2123	3.42475
MC3R	-0.3095
CIRH1A	-1.32133333333333
HIST1H2AB	-0.145833333333333
POLH	-0.60625
MGC16703	-1.2805
SNAPC2	0.814
FILIP1L	1.875
RASGRP4	0.007
LRRC1	2.14275
GAS1	1.455
PRAC	-1.0805
DGKA	-0.276166666666667
NT5C3	-0.18775
PEG3	-2.41066666666667
NADK	-0.7105
PRR17	0.46475
LOC374569	-0.3325
SGSH	-0.0433333333333333
NLRP8	0.5895
GALT	-0.5816
MCF2	-0.738
ZNF263	0.79175
TACSTD1	1.20733333333333
TYR	-6.4617
ATP6AP2	1.06575
RNUXA	-0.31525
ABHD10	-0.0167
GDPD2	-0.92225
SLC35C1	-0.26275
UBE2A	0.24575
HERC5	-1.15233333333333
FAM112B	-4.81233333333333
FBXL16	1.19375
DKFZP434A0131	-1.026
ELA3A	-2.634
RBM41	-1.307875
HAO2	0.34325
RNH1	0.3075
SHANK2	1.93783333333333
OSBP2	-0.922
DAK	-0.5755
C3orf58	0.582333333333333
TCL1B	-1.164
KBTBD2	-0.281375
SUGT1L1	0.27825
UBE2E2	0.400166666666667
MYL9	2.530125
CDC23	-0.677666666666667
PBXIP1	1.7177
CXorf40B	0.5875
NBL1	1.46075
RTBDN	0.3335
RAB11FIP5	0.70725
TTTY13	-0.81
SCOTIN	0.47
SOHLH1	-0.923
CDKN1A	0.125571428571429
NCK1	-0.1225
ZNF550	-0.622
SAPS3	0.819
SPIN3	-0.0573333333333333
MAGEE2	0.30425
MIS12	-1.24966666666667
OR8H2	0.4635
KIAA0774	-1.10816666666667
UNC5D	-1.621
CUL7	-0.114666666666667
LIPC	-3.843
DIO1	1.439
C20orf11	0.4742
CTRL	-1.06225
HS3ST2	1.82725
PAK4	0.868333333333334
CCRL1	2.21075
RNF10	-0.37
ZNF567	0.0395
ZNF660	-0.106
TCEAL3	1.205
MAGOH	-0.3995
CENPB	0.03
C19orf7	0.802125
LOC388965	0.58675
ZCCHC13	0.1985
JMJD1A	-0.7935
HIST1H4H	-0.43
TBRG1	-1.3061
GPC3	-3.528125
TAF1C	-0.894875
EBNA1BP2	-0.7635
CIAPIN1	-0.65975
PDGFRA	0.315388888888889
CSTB	-0.72875
CENPI	-1.62916666666667
GTF2E2	0.0313333333333333
RPP21	-0.49225
CCNF	-0.772833333333333
KCNQ3	0.7095
FAM79A	1.4255
SLC22A12	0.4875
NOVA1	0.2525
FZD3	0.8799
AKAP8	-0.53675
SOCS5	0.737
CFDP1	-0.8265
DLG5	1.12275
PGM5	0.7275
C1orf144	0.20725
HDAC10	-1.7365
RND2	0.40425
C20orf199	-1.2375
RNMT	-0.652375
SLURP1	0.396375
ASTN1	-0.04675
SH3BGR	1.36675
MYCL1	-0.210125
ZHX1	0.0686666666666667
CENPK	-3.36025
FOSB	0.7502
LOC643406	0.53625
C2orf59	-1.612875
TMEM135	-0.49075
SLC27A2	0.491
KRT33A	2.2685
OVOL1	1.1275
PAMCI	-1.68366666666667
S100A7	-1.554
ZNF789	-1.53
HARS2	0.194
RPL23A	-0.466166666666667
TCF23	-0.12525
UPF3B	-1.84525
C17orf78	0.264
HLA-DOB	0.4805
C14orf142	0.148166666666667
TEKT5	0.896166666666667
DMWD	0.1205
POLD1	-1.59266666666667
GSCL	-0.2235
CALD1	0.4031
SCRT1	0.327666666666667
AIG1	0.583
UNC84B	0.66475
ZNF404	-0.23375
TMED6	-3.34775
KIAA1462	0.749
LRRC27	1.9565
PYGO1	-0.758
PIGU	-0.295
ALAS2	-3.82166666666667
WRNIP1	0.20725
CNNM3	0.5495
ZNF2	0.632
ST3GAL5	-1.10483333333333
MRPL23	-0.288
TSSK6	0.0305
PSMA6	-0.7375
C16orf70	-0.845
KIAA1602	-0.041
ALMS1	0.5385
DCN	3.171125
TMEM132D	-0.78775
SUCLG2	0.64875
ABHD14A	0.42625
DEXI	0.219833333333333
AMPD2	-0.7695
IFNAR2	-0.783
CYB5A	2.5852
TLOC1	0.88775
NXF5	-0.254166666666667
NRBF2	0.027375
KCTD3	1.5765
ITGAE	-1.3045
SLC30A3	-2.13516666666667
ZRF1	-1.4205
IFRD2	-0.4615
XAB1	-0.238
PYCR2	-0.292166666666667
SERPINB3	-4.757
TMLHE	-0.0702
GEFT	-0.6085
ABCA5	-1.005625
EMR4	-0.165333333333333
TSFM	-0.3355
HIST3H2BB	-0.6775
ARHGEF19	1.60125
TSPAN17	0.347666666666667
ABCC8	4.271
MAP1S	0.2165
C22orf36	1.393
BNC2	0.585428571428571
HIST1H4A	-1.20175
NDUFS3	-0.3625
WDR3	-0.531666666666667
XKR4	-0.5385
TTC33	0.0172142857142857
STMN2	3.95275
CPN2	-0.743833333333333
HSPC105	0.993
PCOLCE2	-5.576
C3orf55	1.28
KLHDC9	3.274
TBC1D23	0.22425
ATXN2L	-1.09266666666667
MAP2K3	-0.176833333333333
SCAP	-0.0315
ZNF486	0.238
C20orf96	0.16125
NARS	-0.51075
ADAMTSL1	-0.884
PRCC	1.02483333333333
CCDC126	0.584
ZNF675	0.051
CALCOCO1	0.428
ANKRD43	4.82375
CWF19L2	-0.209
ZBTB32	1.00783333333333
BRAF	0.56
ODF4	0.33025
MGC14376	-0.2135
HORMAD1	-1.89233333333333
AAK1	-0.103166666666667
PEBP1	0.09875
TNFSF5IP1	0.1545
DKFZp564N2472	0.52825
RMND1	0.09475
IGKV1-5	4.5685
COL1A2	3.26741666666667
SERPINA5	1.813125
AANAT	0.265
C19orf21	1.25983333333333
GEMIN5	-0.034
UBR4	-0.168166666666667
LTBP3	0.861833333333333
AMHR2	-2.37383333333333
PROCR	-1.32625
MYBBP1A	-0.85825
C20orf39	1.56433333333333
ZNF697	-0.344625
