Hybridization REF	TCGA-C8-A12V-01A-11R-A115-07
NUDT5	-0.490666666666667
PSCDBP	3.29975
UBP1	0.24025
RBM27	0.21675
C13orf15	2.868625
ZNF282	-1.06483333333333
ZNF222	1.4573
COL10A1	4.97525
PRDM15	-0.646375
TTTY5	-0.459
FAM9C	-0.726
C20orf67	-0.38875
GNG13	-0.503
F12	-0.772
C1orf41	-0.18725
CPXCR1	1.056
GSK3A	0.182
SUPT6H	-0.551166666666667
PI16	0.812333333333333
ELL2	-0.742833333333333
C9orf167	-0.809166666666667
PVRL3	-1.9166
FLJ38596	0.60275
ADAM20	0.111
GPR89A	0.0205
GPR87	-1.584
ZNF30	0.63
SMR3B	3.092
ZNF770	-0.07
TRPC4AP	-0.555
DKFZP686E2158	0.5165
C2orf28	0.485333333333333
FREM1	-0.962166666666667
LAMA4	-0.174
ADPRHL2	-0.464
EIF4G2	0.275833333333333
GUCA1A	-0.6335
CTNNA2	-2.419
NUDT15	-0.5905
CEPT1	0.230333333333333
ZNFX1	1.0889
CCDC92	0.76075
TDRD1	-0.2035
KCNK5	0.736833333333333
ETNK1	0.210083333333333
LTA	0.582
TTPA	-1.30633333333333
B3GALNT2	0.27375
SC65	-1.698
PEX5L	-1.4385
EPS15L1	-0.4415
MGEA5	0.067625
HIST1H3A	0.895
ING1	0.282875
BCAT1	-2.224625
ORC6L	-1.88290909090909
KLK11	-4.53133333333333
C19orf28	-0.63025
DNER	-4.518375
MED22	-1.10257142857143
ETV6	1.61816666666667
CHAC2	-0.0535
CD300E	0.0975
CEBPB	0.829333333333333
ZNF398	-0.296
LRCH3	0.105
HMGA1	-2.05466666666667
CAPN7	0.409166666666667
MGC5566	-1.15425
CCL3	3.945125
NANOS1	-0.5355
ZFYVE19	-0.864
APITD1	-0.1365
PARD3	0.456375
IRAK4	0.0923333333333333
SERPINI2	0.7055
CEP170L	0.6385
TTC9	1.837125
MYOM3	-1.0215
MLPH	-3.19425
LOC222699	-1.135
NRG1	0.0334166666666667
TBC1D9	0.400272727272727
TTK	-0.135166666666667
ZNF557	1.0327
DDX41	-1.02166666666667
FANK1	1.43
UBE2D2	-0.27725
PSMB10	1.5195
MYH7B	0.334
GABARAPL2	0.215125
MARVELD2	0.679
DGCR2	0.605333333333333
UNC45A	-0.907833333333333
C6orf72	-0.393
ZNF683	5.1405
GIT2	0.676875
CASK	1.57233333333333
C14orf161	2.07933333333333
LRRC44	-0.7575
TIFA	0.99175
UTP11L	0.044875
C6orf65	-0.43625
FDPS	-1.03325
DUSP9	-1.5397
SLC17A8	0.455833333333333
OR51G1	0.459833333333333
NANS	-0.29875
OLFML1	1.01775
ATP10B	-1.346875
NPAS3	1.78175
PRKCA	-0.7226
GGA2	0.41375
LCE4A	0.315
SPANXN3	1.3965
CCDC115	1.40475
SDCCAG3	-0.96225
GLIPR1L1	0.520333333333333
TTC1	0.25025
C17orf76	2.43725
MAD2L2	-1.23775
HIPK1	-0.088
LRRC3B	0.571666666666667
CLN3	-0.657409090909091
C17orf47	0.481
FMN2	-3.176
TUBB1	-1.568375
WAPAL	0.353166666666667
C3orf21	-1.2205
SCN5A	-0.2907
SMYD1	0.91
BEX5	0.4945
ZNF192	-0.001
SEC22A	0.434166666666667
GRIA2	0.853642857142857
KIAA0825	-1.9725
NUSAP1	-1.28818181818182
LANCL1	-0.03125
C15orf40	-0.3741
ZNF645	0.29525
GPR61	0.2495
NLRP14	-0.00900000000000001
SNX21	-1.1823
C1QTNF8	-0.098
C17orf46	0.2985
IFNA8	0.315
SPRR1B	-1.93733333333333
FLRT1	-0.7935
SNX17	-0.693
ASB2	1.70416666666667
HBG1	-5.227
RPRML	-2.28325
JOSD2	0.751666666666667
PLSCR3	0.4635
SPOCD1	-1.37566666666667
RAB39	1.4315
GHRH	-0.1725
ITIH5L	0.29175
C17orf37	-0.30675
SMCR8	-0.18525
DPY19L2P3	-0.779
IL11RA	0.053
GDF3	-3.68316666666667
RPS6KB1	-1.57925
DNAJC19	0.0499
TOP1	-0.0775
CRCT1	-0.820875
MPST	-0.055875
DPM2	-0.86775
FAM38B	-2.76816666666667
SLC18A1	-1.91983333333333
FARP1	-0.589
PAX7	0.12975
TUBD1	-1.10825
GNL3	-0.638
BTG2	1.7698
NDUFS6	-0.12575
C1orf79	-0.706
ERAL1	-0.4375
ECHS1	0.634
VPS4A	-0.892
CYP11A1	-0.751125
ABCC6	-2.00728571428571
PBX4	0.089
MOSC1	-0.433375
NCF4	2.4735
HYMAI	-0.2615
NAGPA	-0.241125
OTOP2	0.40975
ACOT12	-0.1405
MTHFD2L	-0.485125
LOC441376	3.64975
C19orf34	0.167
RAB1B	-1.38025
ALDOAP2	-2.2615
NTRK1	-1.654
ARTS-1	0.3975
SLC6A11	-0.2805
NAP1L2	-0.133
CNGB1	0.1735
EPB41L4B	-0.71
FAM134B	0.61825
HS3ST3A1	-0.9995
CPXM2	5.6725
SIRPB2	0.158
CHORDC1	-0.185333333333333
TRIB3	-1.67516666666667
SLC2A5	1.69925
C2orf49	0.332166666666667
DDX5	0.008
OR5L1	0.1925
ANAPC4	0.0866666666666667
ZSWIM1	0.13
LOC93622	-0.841125
KCNK3	-0.6538
RP11-35N6.1	-1.681375
ZFP161	0.988333333333333
AQP9	2.606
SLC15A2	0.394166666666667
MREG	0.1315
OR9I1	0.0275
PDLIM2	0.0085
ADAM7	0.54
GSTCD	-0.7845
WDR21A	-0.555125
SLC12A8	1.03816666666667
TMEM174	0.287
IGSF3	1.49183333333333
LRRN1	2.64725
LOC402117	0.1495
SRPK1	-0.226666666666667
LY6K	0.730375
NFIA	2.3695
PTCD3	-0.058
LEP	0.557333333333333
PCDH21	-0.408166666666667
MAPKAPK2	0.452785714285714
NMNAT1	0
LHFPL2	1.243625
C9orf43	-0.018
DIP2A	-0.850333333333333
ACTR8	0.22025
CCDC34	-0.11975
PTPN22	2.172625
ITGA3	-1.765875
FAM129C	2.42775
RABGGTA	-0.251666666666667
UNC45B	2.78825
KIAA1033	0.31925
ZNF510	0.314333333333333
CYP2D6	0.0545
SLC26A10	-2.123
STX8	-0.13075
LUZP1	0.199375
WDR89	0.479666666666667
EIF4G3	-0.0159
C5AR1	0.95925
ZNF623	0.4385
A2M	0.6045
TGM7	0.1565
GRPEL1	-0.823333333333333
LMNB2	-0.5489
ROCK2	0.208833333333333
SNX16	0.997375
CCDC66	0.23
ANXA3	0.443
KIAA1609	0.0315
EED	-0.008
RNF32	0.147
HES1	-0.0994
CLC	1.09866666666667
ISL1	0.506166666666667
KIAA0528	0.41475
MANEA	0.661375
C1orf61	-0.096
hCG_2001000	0.08925
RAPGEF6	0.3981
KIAA0020	0.636333333333333
NEIL1	0.10975
C16orf45	-2.12375
RBM10	-0.2835
C10orf125	0.227
MRS2L	0.49875
DNAH17	-0.639125
C19orf10	-0.425
C1orf160	-0.33875
SLFN12	2.213
EXOC3	0.0313333333333333
HIST3H3	1.22225
NCOR2	0.0216666666666667
TNFRSF9	3.18325
MFSD8	1.0765
ALX1	-3.72633333333333
NOL1	-1.13675
PODN	1.78975
TIAL1	-0.3165
HIST1H1E	1.58175
NPY6R	0.3885
TM4SF4	-0.381
CORO2A	-0.67175
ETNK2	-0.5705
APOE	1.797
ANGPT4	0.0205
HDGF2	-1.2775
G30	-1.032
ST8SIA4	1.622375
F2RL1	-0.341
FAM19A4	-2.882
CCAR1	0.0215
B3GNT7	0.3065
OPHN1	-0.3871
DSCR6	-2.3865
C21orf13	-0.715833333333333
GAS2L1	0.2085
RFX3	1.04316666666667
COPS4	0.00662500000000001
BCHE	-4.60333333333333
BCL2	1.46625
HBZ	-3.47516666666667
ARL13B	-0.664375
MAPBPIP	0.26725
MYO15B	-0.42375
SPZ1	-0.32875
KIAA1324	1.24966666666667
PLCL2	1.0565
C4orf29	-0.5605
WDFY2	0.14175
ZNF284	0.652
NAALADL1	0.2015
DUSP5	0.239833333333333
PXDN	-0.00587500000000001
SLMO1	-0.27775
TNXB	-0.0666
BIRC7	-0.61675
A4GALT	0.269833333333333
TIMM22	-0.135
FAM110C	-0.8435
TOMM34	-1.430625
ABHD9	-0.026
ADAM32	3.1325
CRHBP	1.883
AQP2	0.279875
LOC130355	1.2665
ZNF187	0.183333333333333
ZNF816A	1.384
F7	-0.87775
CNOT1	-0.0645
SLC13A4	-1.0405
ZBTB11	-0.27325
B3GALT5	0.024
EXOC2	0.352
IRS1	-0.7248
TMEM1	0.383833333333333
MRPL34	0.277166666666667
SAMM50	-0.1945
CDC42EP3	1.564125
HSF2	-0.719
MFN2	0.11775
TSPAN7	-0.754833333333333
NUCB1	0.4985
RHOH	0.58725
ARL16	0.3265
TACR1	0.5245
SFRS5	-0.505
SNX25	-0.18125
RHBDF1	-0.269166666666667
PCDH18	2.36683333333333
HMG1L1	0.19375
MYO5C	0.38675
MAPK10	0.505
LDHAL6A	-0.289
NUDT12	-0.517833333333333
NCAM1	0.03525
GLIS2	-0.467
GGTL4	-0.49075
DAPP1	2.3095
ATF7	0.14975
KIAA0748	0.8025
NFIL3	0.08125
TM6SF1	0.5997
SEZ6	0.19375
NANOS3	0.403
DNAJA3	-0.387
CLDN6	-1.9815
CIITA	3.6213
EPHA4	0.885833333333333
FANCC	-0.29275
CMTM3	-0.025375
PSG3	-1.22257142857143
MRPL15	0.03775
C21orf59	-0.75875
PLCXD2	-0.03875
C2orf34	0.36675
UBE2L6	2.19525
MED14	0.0508333333333333
HP1BP3	0.1459
C6orf208	-0.269
TPBG	0.57425
OSR2	-1.924625
XPC	-0.227666666666667
KLHL7	0.8675
CCR3	0.7806
AGTPBP1	0.5685
PCSK6	0.478333333333333
STAT5A	0.0883
FAM18B	0.53925
LONRF2	-3.77966666666667
PTPN2	0.636875
SF3A3	-0.0858333333333334
EFCBP2	-0.13925
HCFC1	-0.708166666666667
AHNAK	-0.91255
ACTR5	-0.69
KIF14	-1.15871428571429
TENC1	-0.60175
HEATR5B	1.27
YIPF2	0.131
MYEOV2	0.408666666666667
DUSP18	1.5335
KIAA1012	0.965
AHR	1.36883333333333
C17orf53	-1.5065
PTPRH	-3.67
ATP6V1C1	0.9967
TAS2R3	0.2175
LOC440356	-1.1765
COQ10B	0.25625
PSMF1	0.975833333333333
SORBS2	2.2675
NFE2L2	1.11325
TMCO7	-0.33425
SH3PXD2A	-0.4134
SH2D2A	1.09125
SPINK5	-2.29
MRPS24	-0.36625
OPA3	-0.103
TRAF7	-0.455
C4orf35	0.2865
MT1G	0.556625
MGC39545	-0.244666666666667
HS1BP3	0.2605
OR2B2	0.276
CHRM4	-0.14
SFRP2	0.678333333333333
RIC3	1.0525
ART1	-0.613
C6orf1	0.0275
DUS4L	-0.3875
C10orf104	0.34175
TNFAIP6	2.04475
RTEL1	-1.58525
CCT4	-0.4152
ZNF709	0.67675
CHMP6	0.359666666666667
UPP2	0.08575
CYP19A1	-2.3745
CD151	-1.6015
NDUFA13	-0.0138333333333333
ARFRP1	-1.26283333333333
FAM26B	2.10975
CRYBA1	-2.1315
MRPL41	-1.205
NPFFR2	-1.2735
HRH2	0.112
SCAMP3	-0.591166666666667
MTMR6	0.8702
MTG1	-0.906166666666667
UBTD1	0.2375
CRABP1	-0.871
FLJ33790	-1.0046
KIAA1908	-0.855333333333333
GPR158	1.55375
PACSIN3	-0.5715
OMD	1.53466666666667
CATSPER1	0.0925
HOXB8	-3.09975
FBXO46	0.5625
OAS1	2.61666666666667
SVIL	0.62825
PHB2	-1.356
ADCY3	0.9745
NDRG2	3.04116666666667
ERMAP	1.4102
APBA2	-1.00266666666667
IGSF9	1.21825
WNT6	-0.793071428571429
MYCBPAP	0.51175
ATP2B2	0.1352
CPVL	0.7553
TRAM2	-0.735333333333333
NOP5/NOP58	-0.2365
ZNRF4	-0.32775
TLK1	-0.256
MTMR12	0.971785714285714
ZNF384	-0.5485
FAM9B	-3.01
RPN1	0.5482
PMVK	0.09575
EIF3D	0.1349
SIX2	-1.096
HPS1	0.725214285714286
RNF7	0.736
PSKH2	0.3005
KCTD13	-0.188
CSMD3	-0.7172
FBF1	0.118
IL8	-5.346375
SERPINB13	0.49325
FBXL20	-0.10625
BLR1	0.32125
SH2B1	-0.974166666666667
RFNG	-0.734125
RAB20	0.959333333333333
RBM7	0.115
POLR1A	-0.5035
TMPRSS4	-3.67125
TAF9	-0.671
TERF2	0.332166666666667
TNFRSF1A	0.235416666666667
ACADVL	-0.8435
GTF2H5	-0.464
EDG8	0.206666666666667
C9orf140	-1.81375
UST6	0.343
ZBTB8OS	-0.139
ZNF710	0.738
GPR174	1.91
ATP6V0A2	0.5365
KIAA0319L	-1.19308333333333
XKRX	0.1215
DOPEY2	0.3768
SDHD	0.238166666666667
SUMF1	1.50575
OSM	3.47125
OPN3	0.685
DAGLB	-0.173
PPFIBP1	-0.3284
TRIM63	-4.65775
C10orf53	0.442
LYPD3	-0.1935
BCL7A	0.16675
AGER	-0.7345
TCF19	-0.80425
SAT2	0.3655
PFTK1	-0.76
GABRE	-3.07925
C15orf38	1.013
FIS1	-0.574
KCNV2	0.0425
CLPS	0.7415
PPCDC	-0.6835
FOXN2	0.8855
NT5E	-2.5108
CD83	1.76675
IL18	3.127125
VPS16	-0.224
IGFBP2	-0.758666666666667
NOTCH2	1.30525
SIGLEC1	3.648625
CD93	5.5225
SULF2	-1.1005
CEP164	0.02825
P53AIP1	0.161333333333333
TOR2A	0.0158333333333333
ZNF136	0.506
MGP	3.5608
CCDC144A	0.552333333333333
TRPC1	-1.39683333333333
SMS	-0.825666666666667
MAPK7	-0.6035
RRAGC	1.7985
PARD6A	-0.317166666666667
NUB1	0.992833333333333
SYNGR4	-1.0245
OR11H12	0.6035
WIF1	4.452
GCH1	1.632
OR11H4	0.1285
SLC44A5	-0.2485
GPRIN2	2.6955
LOC401431	0.2045
CPA4	-2.5689
MELK	-1.34988888888889
IL15RA	1.97475
CUL3	1.04675
HMBOX1	0.90575
PODXL	0.55775
CCT6B	0.296166666666667
COMTD1	-1.6555
MUC20	1.64483333333333
GPX2	-3.63725
ITK	1.901375
FBXL5	1.55575
C13orf27	-0.42575
DEFA5	0.826
TRHDE	-0.405
MTP18	-0.752
UQCRQ	-1.0507
ITGB2	2.68
CSRP2BP	0.47675
TAS2R44	0.971
PHPT1	-0.526125
FAM44C	-0.21475
ERH	0.0265
MPHOSPH1	-0.563333333333333
MORC1	-0.355
PARVB	0.03325
LAMA1	-1.351
PGBD3	-0.06475
GIMAP6	5.0685
AREG	-3.6355
LIPT1	0.9015
MGC99813	-0.669
C1orf201	0.0851666666666667
GRIN2A	-0.8639
MAN2C1	-1.589125
NSUN5	-1.11525
SF3B5	0.35525
MYC	-0.6888125
NRXN1	-0.245916666666667
ZNF18	0.3865
SPDYA	0.667125
SLC37A1	0.8915
DECR2	-0.25075
ANKRD38	2.05725
SPTLC3	0.662583333333333
SUPT16H	-0.58675
DTWD2	0.3985
ULBP1	-1.8775
ZADH1	-1.1565
OIP5	-1.20775
IL10RB	0.0958333333333333
OTUB2	-0.140375
VWA3A	-0.0343333333333333
SPIC	3.61633333333333
OR6C4	0.1295
PSCD4	2.515
DPY19L2P2	0.49
TRAPPC6A	-0.112833333333333
C21orf2	-0.961
CEMP1	-0.2675
LIN7B	-0.3575
E2F7	-1.99583333333333
VCP	-0.1574375
LAMA3	1.05575
BGN	0.28175
GPR160	-0.0126666666666667
COCH	-2.81266666666667
GPR81	1.0505
APOBEC3F	0.53575
tcag7.1017	-0.95325
C1orf32	0.8575
SCGB1D2	4.18925
FLJ43987	-0.4585
C6orf170	-0.17475
KLK9	0.186
GPD1L	-0.341125
VPS37B	0.9055
ATG3	0.281166666666667
ADAMTS17	0.1565
KLHDC2	0.0853333333333333
NDUFV2	-0.5155
BLK	0.01825
MATN4	-0.0015
GPM6A	-0.0532857142857143
GBP4	4.91133333333333
TMEM162	0.110166666666667
PKP2	0.3645
HRASLS	2.96533333333333
MMP1	-2.17025
SFXN3	-0.3581
FSD1	-1.471
ST6GALNAC3	-0.534666666666667
CA12	-1.8132
NCOA6	1.16275
C19orf58	0.6676
PPP4R1	0.183833333333333
MAN1A2	1.74916666666667
IKBKAP	-1.37975
UPF1	-0.0258333333333334
KIAA1219	0.03375
WNT16	0.455833333333333
SNW1	-0.054375
IL18RAP	5.47225
RPP30	-0.60775
CDC40	0.287571428571429
SETD3	0.1535
SLAMF6	1.913
ELK4	0.7355
TRIM47	2.56566666666667
ACOX3	0.45025
TRIM6	0.0245
KIAA0372	-0.398
TP53AP1	-0.176875
SMURF2	-0.43975
ADAD1	0.32525
EBP	-1.5306
KRTAP13-2	-0.018
FLJ36874	0.166166666666667
TOR1A	-0.2005
P2RY4	-0.329
GPBP1	0.2245
TRPV1	0.31725
ADAMTS12	-0.182
PES1	-0.7579
ATG4A	1.2985
MAGEA10	-4.77725
WFS1	-0.095
CC2D1B	-0.00466666666666665
PABPN1	0.5495
SLC25A30	0.51525
SLCO1C1	-0.0618333333333333
SLC22A5	0.395
KIF23	-1.43966666666667
SYN2	-0.680666666666667
ASPN	5.101
CENTG2	1.4005
QSOX2	-1.4281
FLJ10815	0.198
STK24	-0.0296875
SPEG	-0.6011
STK10	0.953166666666667
DACT2	1.2295
AAAS	-0.8705
SSX3	-1.278625
ABCD3	0.8684
C4orf12	-0.97825
PARVG	2.453
FIG4	0.54675
C9orf46	2.033
TMCO6	-0.283
IGHMBP2	-1.46575
DUS2L	-0.974833333333333
FAM3C	1.163875
TMEM16D	-2.479375
DCTN4	0.24775
KCNH3	0.09025
EIF2AK2	1.92425
AP1S3	0.760125
CST4	2.449
PAM	1.109375
NUTF2	-1.24425
CITED2	0.0085
SLC39A4	-0.465
C2orf52	-0.7635
GRM3	-0.034
C12orf49	0.5615
CCDC49	-0.1747
GRAMD1B	-0.423125
FNDC4	-0.1135
SIAH2	-0.3605
GDPD4	0.38875
C21orf87	-0.35425
ATP5A1	-0.419
C16orf63	-0.64075
LOC388135	-1.47733333333333
ATP5J2	-0.467375
MMP3	-1.29825
EMID2	0.09275
CRHR1	0.32375
WDR70	-0.36725
C13orf31	2.7315
ZFAND1	0.08675
CCL18	4.7505
C3orf49	0.178
RINT1	0.179
KIAA0408	-0.566333333333333
F13A1	4.7205
SLC10A1	0.342
OGN	0.272
GIPC2	-0.998666666666666
XPO6	-0.5525
LCE1A	0.472
FMR1	0.7805
LOC374920	0.53625
DUSP3	0.131875
ANKMY1	-0.8005
C7orf50	-0.59025
BBS9	0.2426
UNC119B	-0.405
C9orf72	1.7255
MGC35440	-0.17375
ENTPD6	0.28425
PPP1R2P9	1.298
ERCC4	-0.60075
FAHD2B	-0.414
HMHA1	1.592
HACL1	0.29
RAD23A	-0.571333333333333
FAM83B	0.3775
PPP5C	-0.972333333333333
RNASEH2C	-0.1355
C9orf153	-0.60175
SCAMP4	-0.15825
GHITM	0.0905999999999999
NDUFB7	-0.2055
ADCYAP1	-0.5956
SP110	3.07416666666667
MAP3K7IP2	0.62725
DHH	-0.0005
AGRN	-0.112714285714286
WDR33	0.321333333333333
CEP290	-0.351166666666667
PRPS1L1	-0.6295
KLRA1	-0.1995
GPR97	0.2365
CHD7	0.0334166666666667
TLR10	3.197
SLC30A8	-1.0805
HIC1	0.500666666666667
IAPP	-0.709
RXFP4	0.30225
GP1BB	-1.77925
SHQ1	0.247
NKX2-3	0.0948333333333333
API5	0.41875
FTHP1	0.7665
MOV10L1	-0.4552
TRIM6-TRIM34	2.37133333333333
ADHFE1	4.48325
FAM117A	0.28875
DDI1	0.140666666666667
CDON	0.540333333333333
TRIM73	-0.4605
IGKC	4.8925
MMP14	-0.287416666666667
DYNC1LI1	-0.189
C11orf66	-0.08775
TRBV3-1	-0.323
FASTKD5	0.87275
BIVM	-0.969
LHX4	0.37875
CXCL2	0.4052
RAB2B	0.0805
IZUMO1	-0.5
MAP3K15	-1.990375
FAM19A2	0.204
ZC3H8	0.109
ZMAT1	1.823
SPINK5L3	-2.64075
SLC10A6	-0.406
APPL2	-0.214625
CARD10	-0.920166666666667
LOC402176	-0.194375
EEF1D	0.0276
RAB6A	0.0918
C12orf5	0.443125
PAPOLG	0.5425
MSRB2	1.57525
BCR	0.120388888888889
PUS3	1.30175
TIAM2	1.09
ZNF317	0.341166666666667
CHD2	0.189571428571429
FZD5	0.0653636363636364
NUDT8	-1.207
ZNF763	0.4345
PRC1	-1.92266666666667
ABCB9	1.16133333333333
SPATA3	0.13775
TRAK2	0.727875
STAB1	3.030375
LRRTM2	-0.0793333333333334
psiTPTE22	-2.15325
DBI	0.87975
SERPINA11	-3.58425
NAT5	0.89025
C20orf58	-2.22275
RPS6KA4	0.158166666666667
FLJ90650	-0.90125
TGFBRAP1	-0.433
CHRDL2	2.86775
FAHD2A	-0.302666666666667
CNTN1	0.23025
BBS4	-0.5217
TMEM181	-0.90475
MINPP1	0.17475
MPHOSPH6	-0.00625
HOXC10	-1.8036
ITPKB	0.89975
CLPTM1L	0.314
MEOX2	4.00266666666667
ATP6V0C	-0.002875
PRPF8	-0.8955
TMC5	0.99825
FKBP3	-0.4775
PLEKHB2	-0.130875
OR4D6	0.018
ZNF544	0.096
D2HGDH	-0.541625
RPL18A	-0.3526
HEL308	0.3745
MPP6	-0.99225
TCERG1	-0.822
KRT16	0.0538333333333333
KLF17	-1.172
KLF5	0.720875
CDR1	0.65325
VCX3A	-5.288
FBLN2	1.028125
C14orf104	1.0995
HBE1	-4.9465
OR4S2	0.651
C1orf108	-0.0526666666666667
ROBO4	3.25833333333333
CPEB4	-0.102375
C11orf80	-0.499833333333333
BCKDHA	-0.299
MYOC	0.60025
GIF	0.2795
CKMT1A	1.126
RPL3	-0.2704
THBS1	1.379625
APOO	-0.553
ARMCX1	1.82375
HSZFP36	0.587
SNAPC5	-0.0305
EIF4ENIF1	0.878
ZNF433	0.286
TNFRSF21	2.005875
TMPRSS7	0.508
SPATA18	1.0076
HPDL	-0.8205
MKL2	0.8163
TBX3	-0.559307692307692
C21orf93	0.0338333333333333
DAXX	-0.035
ELMO1	1.60625
RGS13	2.584
TAF11	0.3975
UNC13A	-1.8745
LOC653314	-0.7194
ORC3L	-0.3145
IMAA	-3.0275
TARBP2	-1.07775
CABIN1	-0.3204
TRIOBP	-0.2410625
HIST1H2AC	2.009125
RGS22	-3.51
NCOA1	1.84033333333333
IL25	0.188
SNCG	0.0325
GPR6	0.2205
AMDHD1	-1.5335
CHEK2	-0.18525
C6orf142	-0.63425
DRD4	-0.8865
C14orf68	-1.3005
GDF11	-1.67725
SEMG2	-0.488
CD247	2.132
CDAN1	-0.66675
RBMX2	0.00666666666666667
TGS1	-0.165
OIT3	2.123
SYF2	0.728
MCM4	-1.63575
PKHD1L1	1.484625
CEP192	0.487666666666667
IFT88	0.204
RPL9	-0.366428571428571
RAB32	0.234625
DDX43	2.31475
P2RX2	0.323833333333333
OR5D18	-0.4085
UBE1	-0.00899999999999999
SLC24A1	0.0565
ARHGAP5	0.80425
CETP	0.2135
KIAA1731	-0.4015
SLC9A4	0.577
PTPN6	1.6
BAHD1	0.44375
GRIK3	0.073
CACNB2	-0.9017
PDE10A	-0.7455
DGCR14	-0.311
PCDHB9	0.369166666666667
RHOQ	1.59383333333333
MAP3K4	-0.01175
KTI12	0.360333333333333
RPL23AP13	-1.6835
GNG11	-1.24975
CLCN3	0.1515
GPAM	-0.005625
VSTM2A	0.239
SLAMF7	4.9605
INTS2	-1.13225
PPP2CA	-0.1292
LRP12	1.43513333333333
SEC14L2	0.0175555555555555
DKFZP586H2123	3.11375
MC3R	-0.171
CIRH1A	-1.34566666666667
HIST1H2AB	1.26383333333333
POLH	-0.520875
MGC16703	-1.856
SNAPC2	0.0245
FILIP1L	0.97875
RASGRP4	0.362
LRRC1	1.8535
GAS1	1.98775
PRAC	-1.16075
DGKA	0.505166666666667
NT5C3	0.498
PEG3	-3.18216666666667
NADK	-0.49925
PRR17	-1.7715
LOC374569	-0.388
SGSH	0.443833333333333
NLRP8	-0.3545
GALT	-0.1435
MCF2	-0.1935
ZNF263	-0.37075
TACSTD1	2.4835
TYR	-6.7661
ATP6AP2	0.97325
RNUXA	0.05
ABHD10	0.0103
GDPD2	-1.1765
SLC35C1	1.06175
UBE2A	0.47675
HERC5	2.50333333333333
FAM112B	-2.03566666666667
FBXL16	-1.683
DKFZP434A0131	-0.5135
ELA3A	-2.0995
RBM41	-0.216
HAO2	0.075
RNH1	-0.740875
SHANK2	0.806666666666667
OSBP2	-1.372
DAK	-1.78016666666667
C3orf58	2.88833333333333
TCL1B	-0.238
KBTBD2	0.33125
SUGT1L1	0.66775
UBE2E2	0.404166666666667
MYL9	2.1595
CDC23	-0.6085
PBXIP1	1.6984
CXorf40B	-0.124
NBL1	-0.01425
RTBDN	0.987
RAB11FIP5	-0.018
TTTY13	0.017
SCOTIN	-0.317583333333333
SOHLH1	-0.947333333333333
CDKN1A	0.196357142857143
NCK1	2.02975
ZNF550	1.2095
SAPS3	-0.0260833333333333
SPIN3	0.512333333333333
MAGEE2	-0.074
MIS12	-0.745
OR8H2	0.683
KIAA0774	0.5575
UNC5D	-1.831
CUL7	-0.669666666666667
LIPC	-3.05516666666667
DIO1	-2.275
C20orf11	-1.1105
CTRL	-0.39625
HS3ST2	2.37825
PAK4	0.0243333333333333
CCRL1	1.9585
RNF10	0.252625
ZNF567	1.9385
ZNF660	0.386
TCEAL3	1.0145
MAGOH	0.514
CENPB	-0.682333333333333
C19orf7	0.297125
LOC388965	0.287
ZCCHC13	0.8365
JMJD1A	-0.5939
HIST1H4H	2.1705
TBRG1	-0.2008
GPC3	-4.257875
TAF1C	-0.67825
EBNA1BP2	0.356833333333333
CIAPIN1	-0.9255
PDGFRA	0.0583888888888889
CSTB	-0.55775
CENPI	-0.8475
GTF2E2	0.317166666666667
RPP21	0.00525
CCNF	-1.6975
KCNQ3	2.9315
FAM79A	1.33475
SLC22A12	0.6045
NOVA1	-1.54066666666667
FZD3	1.0711
AKAP8	0.17675
SOCS5	1.259375
CFDP1	-0.12925
DLG5	-0.513
PGM5	0.395916666666667
C1orf144	0.545
HDAC10	-1.413
RND2	-0.5875
C20orf199	-1.225
RNMT	-0.171375
SLURP1	-0.118
ASTN1	-0.228125
SH3BGR	0.9875
MYCL1	0.79
ZHX1	0.246666666666667
CENPK	-2.4315
FOSB	1.1782
LOC643406	1.341125
C2orf59	-0.608375
TMEM135	-0.59325
SLC27A2	-1.519
KRT33A	-0.7405
OVOL1	-1.569625
PAMCI	-1.77916666666667
S100A7	-2.0855
ZNF789	0.1925
HARS2	-0.401
RPL23A	-0.929333333333333
TCF23	0.02875
UPF3B	-0.0695
C17orf78	-0.8575
HLA-DOB	2.71333333333333
C14orf142	0.565
TEKT5	0.972833333333333
DMWD	0.0665
POLD1	-0.854333333333333
GSCL	-0.626
CALD1	0.7278
SCRT1	-1.15516666666667
AIG1	0.05075
UNC84B	-1.075
ZNF404	0.84875
TMED6	-2.91375
KIAA1462	-0.036
LRRC27	1.85433333333333
PYGO1	0.4095
PIGU	-0.3955
ALAS2	-4.27866666666667
WRNIP1	0.05275
CNNM3	-0.483
ZNF2	0.60975
ST3GAL5	0.891583333333334
MRPL23	-0.71325
TSSK6	-0.08825
PSMA6	0.43475
C16orf70	-0.574
KIAA1602	-0.38
ALMS1	0.282166666666667
DCN	1.61275
TMEM132D	-0.6595
SUCLG2	-0.07725
ABHD14A	-0.34175
DEXI	-0.0485
AMPD2	-0.213166666666667
IFNAR2	0.604333333333333
CYB5A	0.6482
TLOC1	1.23645
NXF5	-0.884166666666667
NRBF2	0.839375
KCTD3	-0.5235
ITGAE	-0.317333333333333
SLC30A3	-1.28
ZRF1	0.122
IFRD2	-0.87675
XAB1	1.0225
PYCR2	-0.396
SERPINB3	-4.8175
