Hybridization REF	TCGA-C8-A12O-01A-11R-A115-07
LIPT1	-0.4405
MGC99813	0.788
C1orf201	0.151166666666667
GRIN2A	-0.6952
MAN2C1	-1.081875
NSUN5	-0.297
SF3B5	-0.0805
MYC	-0.8936875
NRXN1	-0.975333333333333
ZNF18	0.0795
SPDYA	-0.9615
SLC37A1	0.806
DECR2	0.68325
ANKRD38	1.385
SPTLC3	-0.4495
SUPT16H	-1.072875
DTWD2	0.042
ULBP1	-0.269
ZADH1	0.4245
OIP5	-1.4755
IL10RB	-0.145833333333333
OTUB2	0.340875
VWA3A	-0.0075
SPIC	0.8095
OR6C4	0.402
PSCD4	1.518
DPY19L2P2	-1.211
TRAPPC6A	0.880166666666667
C21orf2	-0.5445
CEMP1	0.82975
LIN7B	0.467
E2F7	-2.05233333333333
VCP	-0.3533125
LAMA3	1.89516666666667
BGN	2.22425
GPR160	1.042
COCH	-3.39416666666667
GPR81	2.74283333333333
APOBEC3F	-0.70175
tcag7.1017	-0.9295
C1orf32	0.4225
SCGB1D2	4.74875
FLJ43987	-0.529
C6orf170	-0.46175
KLK9	0.491
GPD1L	0.858
VPS37B	1.15975
ATG3	-0.0808333333333333
ADAMTS17	0.1195
KLHDC2	0.0333333333333333
NDUFV2	-1.142
BLK	-2.3905
MATN4	-1.271
GPM6A	0.1065
GBP4	2.17133333333333
TMEM162	-0.0901666666666667
PKP2	0.086
HRASLS	-2.34288888888889
MMP1	-1.2755
SFXN3	0.5198
FSD1	-1.031
ST6GALNAC3	-1.95183333333333
CA12	2.9289
NCOA6	0.2555
C19orf58	0.1309
PPP4R1	-0.6385
MAN1A2	0.00499999999999999
IKBKAP	-1.405
UPF1	-0.1445
KIAA1219	0.37575
WNT16	0.392166666666667
SNW1	-0.205875
IL18RAP	2.71525
RPP30	-0.078375
CDC40	-0.549
SETD3	0.6375
SLAMF6	-0.015
ELK4	-0.0655
TRIM47	1.24916666666667
ACOX3	1.155875
TRIM6	1.08025
KIAA0372	-0.260833333333333
TP53AP1	1.178375
SMURF2	-0.74125
ADAD1	0.51525
EBP	-0.0245
KRTAP13-2	-0.56
FLJ36874	-0.0405
TOR1A	-0.464166666666667
P2RY4	0.5395
GPBP1	-1.06125
TRPV1	-0.44875
ADAMTS12	0.700333333333333
PES1	0.5589
ATG4A	0.993333333333333
MAGEA10	-4.20975
WFS1	1.81475
CC2D1B	-0.393166666666667
PABPN1	0.08475
SLC25A30	0.0635
SLCO1C1	-0.0256666666666667
SLC22A5	1.186
KIF23	-1.304
SYN2	-0.389
ASPN	7.5935
CENTG2	0.2865
QSOX2	-1.7733
FLJ10815	0.5585
STK24	-0.0725
SPEG	-0.455
STK10	0.3535
DACT2	-1.771
AAAS	0.118
SSX3	-1.383125
ABCD3	0.5744
C4orf12	-0.51725
PARVG	1.37633333333333
FIG4	-0.0885
C9orf46	0.493
TMCO6	-0.5505
IGHMBP2	-0.456
DUS2L	-0.250833333333333
FAM3C	0.086
TMEM16D	-2.1345
DCTN4	-0.0995
KCNH3	-0.15675
EIF2AK2	-0.3775
AP1S3	1.02675
CST4	3.113
PAM	0.319375
NUTF2	-0.37725
CITED2	-0.2516
SLC39A4	1.859
C2orf52	-0.9725
GRM3	-0.2505
C12orf49	1.561375
CCDC49	0.2049
GRAMD1B	-0.985
FNDC4	0.5765
SIAH2	1.305125
GDPD4	0.134
C21orf87	0.239875
ATP5A1	-0.312166666666667
C16orf63	-0.415125
LOC388135	0.00866666666666667
ATP5J2	-0.3045
MMP3	0.53725
EMID2	-0.37575
CRHR1	0.46825
WDR70	-0.33
C13orf31	1.30775
ZFAND1	0.168
CCL18	3.588
C3orf49	-0.281
RINT1	-0.2705
KIAA0408	-1.35033333333333
F13A1	4.2108
SLC10A1	0.270333333333333
OGN	1.68375
GIPC2	-2.06316666666667
XPO6	-0.0491666666666667
LCE1A	0.8385
FMR1	-0.0358
LOC374920	-0.41475
DUSP3	0.76075
ANKMY1	-0.07
C7orf50	-0.277
BBS9	-0.0236
UNC119B	0.154
C9orf72	-0.032875
MGC35440	-0.193
ENTPD6	0.5345
PPP1R2P9	0.758
ERCC4	-0.02275
FAHD2B	0.017
HMHA1	0.121
HACL1	-0.818
RAD23A	-0.718166666666667
FAM83B	-2.8415
PPP5C	0.0436666666666667
RNASEH2C	-0.623625
C9orf153	-1.196
SCAMP4	0.837
GHITM	0.642
NDUFB7	0.340875
ADCYAP1	-0.6175
SP110	1.68783333333333
MAP3K7IP2	0.42175
DHH	0.3265
AGRN	0.548285714285714
WDR33	-0.371166666666667
CEP290	-0.480666666666667
PRPS1L1	-1.42566666666667
KLRA1	-0.504
GPR97	0.3065
CHD7	-0.296333333333333
TLR10	1.029
SLC30A8	-1.2415
HIC1	1.98683333333333
IAPP	-0.0315
RXFP4	0.44325
GP1BB	1.11425
SHQ1	0.738
NKX2-3	0.334666666666667
API5	0.45375
FTHP1	1.054
MOV10L1	0.2795
TRIM6-TRIM34	0.833333333333333
ADHFE1	0.22175
FAM117A	-0.9745
DDI1	0.3485
CDON	-1.29583333333333
TRIM73	-2.0425
IGKC	4.62
MMP14	-0.0673333333333333
DYNC1LI1	-0.040375
C11orf66	1.172
TRBV3-1	-0.695
FASTKD5	0.52975
BIVM	-1.38875
LHX4	-0.57575
CXCL2	-1.0938
RAB2B	0.374166666666667
IZUMO1	-0.95625
MAP3K15	-1.416375
FAM19A2	0.0475
ZC3H8	0.583666666666667
ZMAT1	0.44925
SPINK5L3	-2.519
SLC10A6	0.3705
APPL2	0.47125
CARD10	1.238
LOC402176	-0.821
EEF1D	0.8652
RAB6A	0.6162
C12orf5	0.039375
PAPOLG	-0.211
MSRB2	0.65425
BCR	0.366333333333333
PUS3	-0.36825
TIAM2	1.00275
ZNF317	0.146666666666667
CHD2	-0.244357142857143
FZD5	-0.929636363636364
NUDT8	-0.71625
ZNF763	-0.337
PRC1	-1.20611111111111
ABCB9	1.242
SPATA3	0.41075
TRAK2	-0.073
STAB1	2.353
LRRTM2	0.186666666666667
psiTPTE22	0.86175
DBI	0.4435
SERPINA11	1.61325
NAT5	0.78
C20orf58	-1.542
RPS6KA4	1.05266666666667
FLJ90650	-0.838
TGFBRAP1	-0.361
CHRDL2	0.7455
FAHD2A	-0.134333333333333
CNTN1	0.537
BBS4	0.0191
TMEM181	-0.585
MINPP1	0.91475
MPHOSPH6	0.155333333333333
HOXC10	1.7717
ITPKB	0.01175
CLPTM1L	0.541
MEOX2	-0.405833333333333
ATP6V0C	1.39825
PRPF8	-0.460166666666667
TMC5	2.87925
FKBP3	-0.4815
PLEKHB2	-0.089125
OR4D6	0.291
ZNF544	-0.946
D2HGDH	-0.0505
RPL18A	-0.1054
HEL308	-0.46025
MPP6	-2.32875
TCERG1	-1.366
KRT16	-0.752
KLF17	-1.37875
KLF5	0.141
CDR1	2.150625
VCX3A	-4.7535
FBLN2	1.765625
C14orf104	-0.27075
HBE1	-4.3074
OR4S2	0.6585
C1orf108	-0.9935
ROBO4	2.96933333333333
CPEB4	0.512
C11orf80	0.354333333333333
BCKDHA	0.548833333333333
MYOC	0.405
GIF	0.229
CKMT1A	1.919
RPL3	0.4916
THBS1	2.145625
APOO	0.16
ARMCX1	0.2065
HSZFP36	-0.20775
SNAPC5	-0.306
EIF4ENIF1	1.202
ZNF433	-0.03775
TNFRSF21	-0.490125
TMPRSS7	-0.4545
SPATA18	1.0132
HPDL	-2.0945
MKL2	1.188
TBX3	1.47976923076923
C21orf93	0.261833333333333
DAXX	-0.66675
ELMO1	0.38125
RGS13	2.79466666666667
TAF11	-0.86425
UNC13A	-0.886
LOC653314	-0.2497
ORC3L	-0.9895
IMAA	-2.5445
TARBP2	-0.14475
CABIN1	-0.0559
TRIOBP	0.401125
HIST1H2AC	0.217375
RGS22	-0.819666666666667
NCOA1	0.7775
IL25	0.669
SNCG	1.368
GPR6	0.627
AMDHD1	-1.4635
CHEK2	-0.45075
C6orf142	-1.147
DRD4	0.87475
C14orf68	-0.7095
GDF11	-0.6645
SEMG2	-0.3905
CD247	-0.5585
CDAN1	-0.614
RBMX2	-0.0055
TGS1	-0.69125
OIT3	1.3675
SYF2	-0.3825
MCM4	-1.662625
PKHD1L1	0.724625
CEP192	-0.603
IFT88	-0.24775
RPL9	-0.304214285714286
RAB32	0.44525
DDX43	-2.3355
P2RX2	0.444666666666667
OR5D18	0.4015
UBE1	0.618416666666667
SLC24A1	0.7335
ARHGAP5	-0.415
CETP	-0.675
KIAA1731	-1.39916666666667
SLC9A4	0.734
PTPN6	0.9625
BAHD1	0.33625
GRIK3	0.2705
CACNB2	-0.8282
PDE10A	0.05025
DGCR14	0.30325
PCDHB9	-0.791666666666667
RHOQ	0.0636666666666666
MAP3K4	-0.28375
KTI12	-0.2565
RPL23AP13	-2.42875
GNG11	-0.538
CLCN3	0.407833333333333
GPAM	-1.10025
VSTM2A	-0.502
SLAMF7	3.11116666666667
INTS2	-0.54775
PPP2CA	0.0882
LRP12	0.277733333333333
SEC14L2	1.49711111111111
DKFZP586H2123	3.28575
MC3R	0.0125
CIRH1A	-1.08433333333333
HIST1H2AB	0.551166666666667
POLH	-1.755625
MGC16703	-0.608833333333333
SNAPC2	1.131
FILIP1L	2.04575
RASGRP4	0.7735
LRRC1	1.0645
GAS1	2.21925
PRAC	-1.101
DGKA	0.363333333333333
NT5C3	-0.65575
PEG3	-1.72158333333333
NADK	-0.58475
PRR17	0.36375
LOC374569	-0.081
SGSH	-0.067
NLRP8	0.3785
GALT	-0.9212
MCF2	-1.149
ZNF263	0.1255
TACSTD1	0.899666666666667
TYR	-5.5546
ATP6AP2	0.54875
RNUXA	-0.36825
ABHD10	-0.1442
GDPD2	-0.785
SLC35C1	1.6945
UBE2A	0.308125
HERC5	-0.251166666666667
FAM112B	-3.337
FBXL16	2.2705
DKFZP434A0131	-1.1365
ELA3A	-1.7355
RBM41	-0.92425
HAO2	-0.0415
RNH1	0.49425
SHANK2	2.18383333333333
OSBP2	-0.194125
DAK	0.782166666666667
C3orf58	0.7985
TCL1B	-0.8955
KBTBD2	-0.68125
SUGT1L1	0.358
UBE2E2	1.61383333333333
MYL9	2.648375
CDC23	-0.294333333333333
PBXIP1	1.0445
CXorf40B	1.0545
NBL1	1.87325
RTBDN	0.3135
RAB11FIP5	0.143125
TTTY13	-0.132
SCOTIN	0.552666666666667
SOHLH1	1.19983333333333
CDKN1A	0.0378571428571429
NCK1	-0.006
ZNF550	-0.675
SAPS3	2.1455
SPIN3	-0.115333333333333
MAGEE2	0.52925
MIS12	-0.656833333333333
OR8H2	0.667
KIAA0774	-0.388666666666667
UNC5D	-1.6705
CUL7	-0.687666666666667
LIPC	-2.27716666666667
DIO1	3.26425
C20orf11	0.1896
CTRL	-0.60775
HS3ST2	2.983
PAK4	0.436333333333333
CCRL1	4.34475
RNF10	0.5995
ZNF567	0.066
ZNF660	-1.81
TCEAL3	0.99975
MAGOH	1.16416666666667
CENPB	0.0746666666666667
C19orf7	0.502375
LOC388965	0.575
ZCCHC13	-0.17
JMJD1A	-0.9057
HIST1H4H	1.3445
TBRG1	-0.6119
GPC3	-4.223375
TAF1C	-0.61625
EBNA1BP2	-0.441833333333333
CIAPIN1	-0.273
PDGFRA	0.898555555555556
CSTB	0.179375
CENPI	-1.41133333333333
GTF2E2	-0.712333333333333
RPP21	-0.08825
CCNF	-1.261
KCNQ3	1.2335
FAM79A	1.12075
SLC22A12	0.4545
NOVA1	-1.10616666666667
FZD3	0.7348
AKAP8	-0.074
SOCS5	-0.05975
CFDP1	-0.82375
DLG5	2.217
PGM5	0.19075
C1orf144	0.135166666666667
HDAC10	-0.733
RND2	-0.2605
C20orf199	-0.7035
RNMT	-0.9055
SLURP1	0.5475
ASTN1	-0.574
SH3BGR	1.05375
MYCL1	0.0045
ZHX1	0.414166666666667
CENPK	-2.6735
FOSB	0.2784
LOC643406	1.271875
C2orf59	-0.75625
TMEM135	0.934375
SLC27A2	0.7205
KRT33A	1.8625
OVOL1	0.606571428571429
PAMCI	-2.9275
S100A7	-0.5625
ZNF789	-1.778
HARS2	-0.17875
RPL23A	0.3985
TCF23	0.07175
UPF3B	-1.489875
C17orf78	0.3305
HLA-DOB	0.743
C14orf142	0.240833333333333
TEKT5	2.253
DMWD	0.7
POLD1	-1.55
GSCL	0.269
CALD1	0.9635
SCRT1	0.749166666666667
AIG1	0.56625
UNC84B	0.23875
ZNF404	-2.3245
TMED6	-3.10175
KIAA1462	0.7795
LRRC27	0.836666666666667
PYGO1	0.2055
PIGU	-0.0315
ALAS2	-3.53666666666667
WRNIP1	-0.33275
CNNM3	-0.3795
ZNF2	-0.24425
ST3GAL5	-0.0283333333333333
MRPL23	0.3505
TSSK6	0.04225
PSMA6	-0.27025
C16orf70	0.1735
KIAA1602	0.386
ALMS1	-0.4745
DCN	2.951125
TMEM132D	-1.11675
SUCLG2	0.924
ABHD14A	1.1315
DEXI	0.555166666666667
AMPD2	-1.00733333333333
IFNAR2	-0.735666666666667
CYB5A	2.0868
TLOC1	0.46755
NXF5	-0.356666666666667
NRBF2	0.5425
KCTD3	0.913
ITGAE	-0.780666666666667
SLC30A3	-1.211
ZRF1	-1.201
IFRD2	-0.0145
XAB1	-0.3645
PYCR2	-0.362666666666667
SERPINB3	-3.522
TMLHE	-0.3479
GEFT	-1.011875
ABCA5	-0.39
EMR4	0.223166666666667
TSFM	-0.101
HIST3H2BB	-0.43525
ARHGEF19	-0.3555
TSPAN17	0.725666666666667
ABCC8	3.4755
MAP1S	0.160333333333333
C22orf36	1.49375
BNC2	0.5525
HIST1H4A	-0.6745
NDUFS3	-0.354333333333333
WDR3	-0.548333333333333
XKR4	-0.5885
TTC33	-0.254071428571429
STMN2	3.72875
CPN2	-1.07366666666667
HSPC105	0.389
PCOLCE2	-4.9015
C3orf55	0.43
KLHDC9	2.81383333333333
TBC1D23	-0.260125
ATXN2L	-1.1045
MAP2K3	-0.181416666666667
SCAP	0.04325
ZNF486	-0.644
C20orf96	-0.8455
NARS	-0.1435
ADAMTSL1	-0.943357142857143
PRCC	0.2195
CCDC126	0.886083333333333
ZNF675	-1.12425
CALCOCO1	0.51
ANKRD43	1.498
CWF19L2	-0.280666666666667
ZBTB32	2.26416666666667
BRAF	-0.69525
ODF4	0.40025
MGC14376	0.944
HORMAD1	-2.55866666666667
AAK1	-0.115416666666667
PEBP1	0.605166666666667
TNFSF5IP1	0.221166666666667
DKFZp564N2472	0.54225
RMND1	-0.718125
IGKV1-5	3.731
COL1A2	3.44791666666667
SERPINA5	1.909125
AANAT	0.608
C19orf21	0.471833333333333
GEMIN5	-0.8935
UBR4	-0.434833333333333
LTBP3	1.001
AMHR2	-1.48816666666667
PROCR	-0.6505
MYBBP1A	-1.21125
C20orf39	2.482
ZNF697	-0.607
PASK	-0.8794
ZNF776	-0.442833333333333
RFXDC2	-0.81325
KIAA0467	0.19175
C10orf96	-2.50775
ZNF503	-0.26625
GULP1	0.04225
KCNE4	-0.646833333333333
DKFZp434K191	-1.01125
LOC196913	0.347
BHLHB4	1.11
CH25H	0.06125
LOC81691	-0.719833333333333
ALPL	0.134857142857143
COL12A1	3.421875
FOLR3	-1.74883333333333
GPR123	0.374375
TRIM62	0.058
ABLIM1	0.351666666666667
MAST3	-0.5285
RHBDD1	0.791
LOC338809	0.318
RYBP	-0.059
TTC26	-0.245125
ZNF22	-0.167666666666667
ISCA2	0.25525
RDM1	-1.0925
PIGM	0.97675
GNB3	-0.6125
ACTR2	-0.4934
HMGB1	-0.6897
EDG1	2.3845
SOAT2	-3.012
OR10AD1	0.376
RAP1GDS1	0.0930833333333334
LCE1F	0.415
ESM1	-0.539375
RCN3	2.4065
CREBL1	-0.50075
DBNL	-0.346166666666667
PTGER3	2.2795
USP30	0.712666666666667
BCL2L12	-0.151833333333333
KIF26B	2.466
ZNF416	-0.0585
ZNF225	-0.447
C17orf70	0.19125
ZNF554	0.20075
RAE1	-0.675333333333333
TNIK	-0.608833333333333
ACTN3	0.8855
MGC45922	0.5675
CCNA1	-0.0665
RYK	0.116333333333333
IL26	-0.3045
LRP3	1.37383333333333
QARS	-0.0215
SOX7	1.19435714285714
BID	0.332125
OR2S2	0.4985
CXCL14	3.20475
C11orf47	-0.7315
MGC29891	-0.0853333333333333
HSPB8	2.4399
PRDM14	-4.77
NUFIP2	0.3475
MNAT1	-0.57175
ZDHHC2	-0.224333333333333
MBNL2	0.012875
ADD3	0.215625
CSNK2A1P	-0.7615
KLK6	0.0976666666666667
TMEM111	0.3836
KIAA1279	1.4915
NUBP2	0.528833333333333
RAB42	-1.05925
ID3	-0.4489
TM9SF1	0.73375
MDP-1	0.10275
POU4F2	0.75725
IQCK	1.306
C16orf14	0.08225
CAPN3	-1.924125
FAM43B	-0.284875
RECQL	-0.44
AP1G1	0.212214285714286
CTNNBL1	-0.408166666666667
ECHDC1	-1.687
SMARCC1	-0.8123
FOXQ1	-0.882875
GNAI3	0.546
POLG2	-1.605
CD4	1.704625
ITLN1	0.0115
EBI2	2.885
IRF1	0.36775
PTPRE	1.6132
PTK2B	-0.095
NXNL2	-1.243
SOX4	0.219333333333333
TSPAN3	0.629166666666667
SH2D1A	-2.30766666666667
C8orf58	-0.472666666666667
USP20	-1.2855
DUSP22	-0.471666666666667
CALB1	-2.0055
L3MBTL2	1.73008333333333
MCRS1	0.22625
TMEM118	-0.351166666666667
C18orf8	0.335666666666667
FLJ10241	-0.06475
GJA12	0.54075
PKD1	-0.058
ZFP3	-0.046
JAM3	-0.514625
LAPTM4A	1.4877
DIRC2	0.62625
KIAA2022	0.144666666666667
MYOM1	0.195333333333333
TRPM8	-1.67683333333333
MOP-1	0.65175
PHKG2	0.3015
ZNF650	0.806625
KIAA1522	0.3545
PSG8	-0.927333333333333
DDX19B	-0.5065
MOBKL1B	0.61
DIAPH2	-0.0635833333333333
PTPN12	0.575
CLN8	-0.3534
CRYZL1	-0.625666666666667
CRY2	0.40125
FCGR2B	4.378
PNPLA4	2.980125
ZNF454	0.1805
DKFZp434B1231	0.06175
CLDN11	0.7015
RFWD2	0.295333333333333
CIB2	-0.9835
MXRA8	3.609125
HRK	0.884
MAML2	-0.00425
C4orf31	-0.119
C6orf192	-0.9475
COG6	0.59675
FAM5B	-0.25975
NFATC1	0.7093
SEPT10	-0.1435
SCYL1	0.00650000000000003
RPP40	-1.306
SCOC	0.6665
KIAA1450	0.042
CTDSPL2	-0.075
TBX5	2.39516666666667
NAPG	-1.29475
RHD	-4.94
C14orf45	2.08766666666667
ZBTB22	0.368
PLCG1	-1.609
ANKRD10	-0.999125
AQP7P2	0.13025
TAGLN2	0.0821666666666667
HTR2C	-1.043
SLC16A7	-1.40183333333333
C17orf83	0.456
TSGA14	-0.355333333333333
MDH1	-0.55625
PPP3R2	0.1425
DCBLD2	-2.1435
RBM33	-0.476875
DPH3	-0.605
SYT10	-1.12083333333333
FMO4	1.758875
THYN1	-0.94425
DRD5	-1.5895
OTOR	1.084125
PGRMC2	-0.1709
KATNAL1	-0.536625
PAQR6	-2.8565
UBE2I	-0.22175
C14orf28	1.1495
C8orf70	0.9835
FLYWCH1	0.22375
ANGPTL3	-1.90775
GLRX2	0.152
ATP11A	-0.877357142857143
ARL5B	0.446875
MUC16	-2.42875
SLC25A5	-0.293785714285714
ACRC	-0.417
MYO1C	-0.7845
FAM89B	1.38733333333333
FAS	1.391375
KIFAP3	0.65125
GLRA2	0.3015
BTN3A2	-0.0706
CNKSR3	-0.4825
CSTF3	-0.255166666666667
ARPM1	0.2205
KIAA1530	-0.609
C9orf150	1.75983333333333
PRKCI	-1.19675
tcag7.1015	-0.30975
SOD3	1.49375
ZNF574	0.5375
CYP21A2	1.27575
RPL12	-0.40875
COMMD2	-1.0475
WIZ	-0.177
LOC344405	-0.96125
ALDH4A1	-0.852941176470588
CRYAB	2.6955
COPA	0.322333333333333
PCDHGA7	0.497333333333333
KIF11	-1.22341666666667
RASD2	0.9585
SLC26A3	0.8625
ZNF175	-0.563
JAKMIP2	-1.755875
C8orf4	1.821
PTHLH	1.04975
SLC40A1	3.99783333333333
OR7D4	0.665
PCDHB17	-0.2995
CD36	0.403142857142857
C6orf203	-0.2802
PRKG2	-0.7785
LOC400566	1.49875
ANAPC13	0.11725
SLCO3A1	-0.77675
ZNF692	-1.6985
FANCL	-1.5575
SH3GLB1	0.78225
C12orf61	-0.676
KBTBD6	-0.60375
SUPT5H	0.074
XRCC6	0.4006
HUS1B	-0.4442
FAM133B	-0.578571428571429
LOC728276	-1.097
KCTD18	0.53775
SOS2	0.4505
CCDC99	-1.38525
C1QTNF5	3.777
NNAT	0.0101666666666667
USP16	-0.63225
LARS	-0.898625
ZBTB2	-0.079375
ABO	0.0341666666666667
TRAF3	-0.11475
GALNT5	-1.38
NAP5	-1.18825
ALG14	0.457166666666667
KIAA0515	-0.369961538461538
WDR75	-1.09633333333333
TEX261	0.634916666666667
LY86	1.6255
LOC389072	-1.21
FLJ13611	-0.29825
MRGPRX2	0.497
SNRPA	-0.791375
OR2G2	0.283
GPRASP2	1.00025
C7orf42	0.7647
C9orf163	-0.0575
CYP11B2	0.2805
FCRL3	1.05166666666667
PRDX1	-0.01425
FGB	2.64633333333333
COX17	0.403
C16orf33	0.45075
PIWIL1	-0.0781666666666667
FOLR1	-1.93066666666667
KIAA0082	-0.97625
FREQ	-0.535666666666667
TMCC2	-1.03633333333333
TCF12	0.32075
ZNF721	-0.07225
FAM130A2	0.352
POU4F1	-2.22925
SNRPF	-0.484375
SGIP1	3.061
ZNF641	0.706833333333333
EMG1	-0.519875
PRRG4	1.264
HIRA	-1.93525
MYNN	0.167666666666667
AEBP2	-0.170833333333333
TBXA2R	0.886833333333333
ISL2	-1.27966666666667
PCDHB11	-0.0605
RNF144A	0.0145
MARCH5	0.851625
DULLARD	-0.0905
DCLRE1B	-0.218333333333333
ITGA8	-0.00799999999999999
TP73	-0.151625
PRKCD	1.48875
NDUFB4	0.24775
ATP13A4	0.469
ANTXR2	-0.0725
COL4A3	-1.095
MYO10	-0.6649
SLC6A18	0.53775
PEX1	0.0605
TMEM74	-1.32816666666667
RBM19	0.27125
TAPBP	0.1501
RUNX1	1.723375
MID1	0.221333333333333
GPR64	-1.27533333333333
RASEF	1.141
GABRG1	-0.368714285714286
MYO16	-1.72025
DBF4	-1.27883333333333
TSHZ2	2.4345
RIPK2	0.87
PPTC7	0.0413333333333333
KIF4B	-0.839
LRRC31	-0.03825
ZNF540	0.165
EFNB3	0.256833333333333
LOH12CR1	0.540125
STON2	-0.156833333333333
GLP1R	0.823
CSTF2T	-0.8055
IREB2	-0.92925
GRSF1	1.02575
PDCD7	-0.990666666666667
LRRC43	1.3935
CNR1	-0.0863333333333333
IL1F7	0.2365
C12orf64	-0.195
FAM69B	-1.78925
NR2E1	-2.28116666666667
MS4A6A	2.411
FTL	-0.4708
C7orf36	-0.2055
PCLO	0.8093
DYRK2	1.05416666666667
ARIH2	-0.359625
SAMD7	0.1585
SCNN1D	-1.19525
SLC32A1	-0.714714285714286
C22orf25	0.1845
MRPS18A	-0.3502
GPR112	-0.074
EARS2	0.5045
ERN2	0.587
ATPBD3	0.538
PRH2	-0.298
CDKN2D	-0.0511666666666667
PGLYRP2	2.7835
TRIM40	-0.20775
SEC14L3	-0.234333333333333
SLC22A1	0.50625
BTN2A3	-0.334
RASA4	0.11475
CCNL2	-0.990083333333333
MYBPC3	1.0225
GJA4	2.9765
CDC42SE1	-0.207125
TRPV2	-0.33975
MYPN	-3.937
SIM1	0.4605
CDADC1	0.249666666666667
ZFHX4	1.252
NIBP	1.66633333333333
ADAMTS19	-2.64125
ABTB2	0.1365
TSPYL2	0.118375
EIF2S3	-0.277
SOX30	0.5055
AP2A1	0.221666666666667
DKFZP564O0523	-0.578333333333333
LOC285398	0.18675
CDH18	-4.4365
CHL1	2.50575
GATS	-0.910333333333333
TBC1D2B	0.1395
OR1J1	-0.317
GSN	1.02516666666667
DPCR1	0.354625
GARNL4	-1.05033333333333
SMARCA5	-0.35575
PLEKHG3	0.238833333333333
ZBTB45	0.8075
FRMD6	0.696
PLS1	2.01883333333333
DGKZ	0.459166666666667
EFNA1	0.8724
WDR85	-1.2025
ANK2	-0.059
PAGE4	-1.09633333333333
SENP6	0.422166666666667
AKR7A2	0.677666666666667
FKBP10	-0.90375
VEGFC	-0.850333333333333
LARP1	-0.22525
SRBD1	-0.0185
ITGB6	3.50875
SLC1A2	0.697538461538462
INVS	-0.743166666666667
MPO	0.6675
MOBKL3	0.2272
CUTL2	2.6275
KLK2	-0.0786666666666667
VIM	-0.482
REG1B	0.305
PCDHGC4	0.1215
C3orf34	-1.20833333333333
SUMO3	0.376166666666667
CST9L	0.936
MLL4	-0.62775
SPR	1.52316666666667
SAMD9L	0.877
ABCE1	-0.50225
SUPT3H	-0.965833333333333
ACTBL1	-0.8745
ADAMTS4	0.696666666666667
SLIT3	3.052
RHEBL1	-1.15475
NPM2	0.3145
MAN1C1	0.2275
KIAA1856	0.566083333333333
HSPA6	1.5485
LOC388152	-1.7885
C10orf140	-0.40825
ZDHHC12	0.0325
LIN7A	-0.9342
PHC2	-0.126
SPHK1	0.801
TRIM26	-0.0254375
FAM83E	-0.3345
C18orf24	-1.9115
ZNF578	-0.128333333333333
ORAI1	0.39375
RUVBL1	-1.08091666666667
C7orf20	-0.219833333333333
APAF1	-1.374
SLC36A4	-0.655333333333333
MYH11	4.23233333333333
NEK1	-0.3137
MPP2	-0.71175
C12orf24	-0.9565
TNK2	0.3286875
ZNF289	0.07425
MATN3	1.30742857142857
IFNGR2	0.753833333333333
ITPR1	-0.07125
EBF3	2.2984
TBC1D20	0.1185
OR10P1	0.3315
DDAH2	0.11775
SHPRH	-1.042625
STX7	-0.101
LOC554248	-2.6045
BCAR1	0.7325
ATXN3	-0.30175
TRIM27	-0.9455
CDC42EP2	0.904
CHP	1.09292857142857
SOX17	2.3785
ZNF259	-0.695166666666667
CHCHD1	0.426375
ZDHHC19	0.42
GBP2	1.931
GARNL3	-0.285375
MRC2	1.128
C1orf52	-0.834
AOF2	-0.634666666666667
LRPPRC	-0.1038
ACVR1C	-1.549
TM4SF18	2.12983333333333
TMEM169	-0.530333333333333
PPP1R16A	0.75125
EBF1	1.06283333333333
RRS1	1.32066666666667
SNX2	-0.316
OR2T2	0.352
RBX1	0.3495
ANKRD54	1.0195
TSNAX	-0.0308333333333333
TMEM83	-1.53775
ZBTB7A	0.1095
ATM	-1.03736363636364
LOC338328	1.50233333333333
TIE1	1.39066666666667
HIST1H3G	0.085
PASD1	-4.09316666666667
TINAG	0.48925
PCDHAC2	-0.009
LRRC15	1.729
WBSCR17	-0.7215
TFF2	0.288
PARP2	-0.20675
NDFIP2	-0.101875
PCDHGB2	-0.455
WDR60	0.25725
MAP7D2	-0.757
USP45	-1.45875
GSDML	-0.9445
TNS1	0.073
PLCD4	0.5605
IQCD	0.839
SMPX	-2.2415
CD9	1.34633333333333
SRGN	1.208375
CASP7	1.380625
INOC1	0.089
DKFZp451M2119	-1.186875
VMAC	0.595
USP53	-0.499
CAMK1G	-0.245125
TMEM106A	0.104
CDC20	-1.3979
ACSL5	0.231166666666667
CBWD5	-1.292125
C1orf87	-1.27983333333333
KIAA1274	0.66525
PRUNE2	-1.44735714285714
LYPLA2	0.004
DOK6	-1.3455
GPR149	-0.3475
FAM30A	1.98
TMEM129	0.66975
SLC35B3	0.78975
ACPP	-0.0932
LOC200261	-2.0095
SLC4A7	0.565
CCDC40	1.6455
GART	-1.502125
THOP1	-0.30925
SCARB1	0.878125
CACNA1F	0.343
TRIAP1	0.00416666666666667
SYT14L	-1.4425
SFRS8	-0.926166666666667
PBOV1	0.432666666666667
GOLSYN	3.35875
GJB7	-0.727
CAMK2N1	0.119083333333333
