Hybridization REF	TCGA-AN-A0FF-01A-11R-A034-07
LACRT	0.823
OR51F2	-0.1425
JMJD2C	-0.7095
KGFLP1	1.715
CDK5RAP3	-0.3024
YTHDF2	1.00883333333333
GGCX	-0.06475
ARPC4	0.3535
EGLN2	1.589
KBTBD4	0.602692307692308
ROBO3	-0.9494
DEFB118	-2.227
KIAA1543	1.1205
RTCD1	-0.489166666666667
MZF1	-0.109
C18orf26	1.106
CNIH4	0.0478333333333333
ZFP2	2.32366666666667
HTATSF1	0.1865
WFDC2	3.833875
NDUFA7	0.8935
TTC22	0.340166666666667
FAM40B	-2.158625
DCPS	-0.32075
SH2D1B	-0.817333333333333
MRGPRE	0.4715
SBK1	0.358
UNQ6411	0.271
OSBPL9	-1.4815
NUP107	-0.84075
MYOZ3	-0.2298
PDE4B	0.507583333333333
FAM113A	-0.483
IDH3G	-0.3255
FBXL7	1.469125
ARFGAP3	-0.8255
MAPRE2	-1.00838461538462
IL1RN	1.0815
KIF13A	-0.24925
RAC3	-0.4935
TCTE1	-0.228
TMEM14B	0.00333333333333334
ADIPOR1	1.09133333333333
GRINA	0.7535
CLIP4	-1.633
LRIT2	null
TFPI	-3.09271428571429
FABP6	-1.3975
SLITRK2	0.0614
HKR1	0.491
SMTN	-0.912
C1orf75	0.1165
CD209	0.500625
CYB5R2	1.014
DNTTIP2	-0.272666666666667
CSGlcA-T	0.311
GABRB3	0.593
PCBD1	0.859333333333333
TAF3	1.14983333333333
HOXD3	0.0845
GIPC3	-0.379
P11	0.0872222222222222
BFSP1	0.02725
LCP2	0.789
TAS2R8	0.4425
SEZ6L	-1.4435
NR2C1	-0.698
EXDL2	0.6582
TNFRSF13B	-2.514
MKI67	-1.10975
GLS	-0.334583333333333
C7orf54	-0.8482
LGALS13	0.337833333333333
IL4R	0.20125
SEC11A	-0.097
SPP2	0.680333333333333
C18orf32	1.335
CLSPN	-1.83883333333333
SPAG1	1.094375
C9orf82	-0.20625
TM4SF1	0.216416666666667
EMILIN2	1.0845
SMG7	0.3875
TAS2R13	0.3175
ZNF628	0.1305
DZIP1L	-0.837
ANKRD13A	-0.3716
VASP	1.334625
ZCCHC11	-1.587375
SYPL1	0.0025
MGC34774	-0.08925
C4orf28	-0.462125
KIAA1211	0.0674166666666667
RPS27L	0.492
TATDN3	-0.19125
PDCD1	0.60025
OR5P2	0.516
IFIT1L	0.628
MIPOL1	0.23525
OR51D1	0.0575
C1orf92	-0.182166666666667
LAMP2	0.258555555555556
CAT	0.311
C16orf80	-0.38725
C15orf32	1.3185
ZNF746	0.17125
C1orf76	-1.0435
ATXN1	0.3155
LAMC2	1.688125
SLC2A7	0.723
CPOX	-1.97225
APH1B	2.18016666666667
LOC442245	-0.59125
CTNND1	0.913833333333333
GABRG2	-0.583125
MADCAM1	-0.184833333333333
F5	-1.421375
SEMA4F	-0.133
NUDCD3	0.39
PDZD11	0.7035
TRIML1	1.445
GCNT3	-1.7405
TMEM120A	0.47575
CNDP1	-0.13
N4BP1	0.4055
SLC35F2	-1.19825
LCP1	-0.192583333333333
IGBP1	-0.0471
DCAKD	0.1445
ELA2A	-0.585
C12orf56	-1.92385714285714
PITRM1	-0.452142857142857
GUK1	0.621
RASSF8	1.2985
OR2A14	0.114
ADM	-3.17477777777778
FGD3	2.0015
GHRHR	0.23
RHPN2	-0.84975
C4orf39	-1.44416666666667
VPS72	0.0455
SERF2	1.09772222222222
CD22	2.51883333333333
CD47	-0.3561
PPIC	0.4165
IMPDH1	-0.808416666666667
ACP6	-0.291166666666667
PRKACA	-0.040625
PPP1R1A	1.02925
TRPV3	-0.65775
ASXL1	-0.814125
C17orf55	-0.884333333333333
FXYD1	0.122333333333333
LMOD2	-1.0575
ANKRD33	0.6745
LCE2C	0.41525
ZNF620	0.899
DKFZP566E164	-0.88
VSIG2	-0.73475
KIAA1128	0.73725
USO1	0.135833333333333
NUDT4	0.223357142857143
CLDN1	0.120357142857143
OR4Q3	0.1185
FASTK	-0.188
ICOS	1.43283333333333
LDB1	0.9025
GSTA5	-1.01475
ABCC1	-1.79833333333333
FAM54A	-2.8865
PCBP2	-0.373833333333333
NUP205	-1.5695
ACTA1	-1.22616666666667
GABBR2	-1.49466666666667
PIP5K1B	0.400666666666667
AGXT	-2.47416666666667
RNF181	-0.11425
ATP8A2	0.4145
AFTPH	1.5658125
FGF21	-0.0615
FCER1G	2.107125
SNTB1	-2.3165
SLC24A3	1.1905
TXNL4B	-0.9541
RPL10L	-1.091
LOC389517	-0.3874
TSGA13	0.414
SHOX2	-1.09616666666667
ITGA7	-0.2869
KCNIP2	0.312333333333333
KLF13	-0.0664
ZFAND2A	-0.31425
CEACAM1	1.41385714285714
PFKFB4	-1.90333333333333
MED19	0.3725
LRRC57	0.2495
RNF11	0.5865
ANKRD32	-2.0835
P117	0.4915
OBFC2A	-1.10966666666667
POLD3	-0.381833333333333
RAB18	1.30275
TPH2	-0.162666666666667
PHB	-0.6719
JDP2	2.15383333333333
MORF4L1	-0.5092
POU2F1	-0.406
CNNM2	-0.754666666666667
LOXHD1	-0.1092
ZC3H15	-0.83325
ELK3	0.774333333333333
FAM111B	-0.759
CBLC	3.03633333333333
SBNO1	0.42125
ANKMY2	-0.46375
PLEKHA5	0.205333333333333
DHX58	2.27166666666667
ARCN1	0.0181666666666667
TREML1	0.238
KNCN	1.176
SEC24A	-0.602375
PSCA	-1.209
MGC24125	0.399166666666667
DNA2L	-1.71325
CIB4	0.29975
HIGD2A	0.00883333333333335
TBX6	0.0383333333333333
TTLL5	-0.712
SGK3	1.98916666666667
GCN1L1	-0.554
AMOT	-0.3207
LDOC1	-0.224166666666667
NRK	-0.796833333333333
ASB9	-3.28475
NAT1	5.3571
TRAFD1	0.10075
PEAR1	0.168833333333333
FAM36A	2.137625
OR1S2	0.3755
LOC388323	-1.787
PGS1	0.179833333333333
LEPREL1	-2.15175
TFF1	2.04508333333333
HAP1	0.10825
EPHB2	-0.00875
ACTG1	-0.0103333333333333
ZFP42	-1.0724
HAVCR2	1.1183
NME1	-0.6025
SNX26	0.407583333333333
LACTB	0.774833333333333
ZKSCAN2	-0.353125
C5orf35	0.716
ANKS3	-0.82075
RBM28	-1.4125
DKFZP586P0123	-0.95825
HNRNPA1	-0.123
BCAS3	-1.41683333333333
FLJ20184	-0.082
POLA2	-1.2825
TMC7	-0.798333333333333
HSD17B6	0.626
ZNF658B	1.14566666666667
TTTY10	-0.0243333333333333
RANBP9	-0.326166666666667
CPNE7	-1.6815
EVL	1.24982352941176
LNX1	1.10058333333333
IFNA21	0.0461666666666667
CFD	1.6045
PYCARD	2.42716666666667
MYBPC2	-1.4185
ENPP3	-2.43733333333333
ACSL4	-1.579
LOC440258	-0.0683333333333333
TMEM176B	2.76366666666667
SOX2	-5.2995
SCO1	-0.028
COMT	-0.96075
AOC2	-0.208
PDLIM5	1.35757142857143
SPHK2	0.942666666666667
NXPH2	-1.64
GPR108	0.474833333333333
RAD51L1	-0.0211666666666667
TMEM54	1.48175
LETMD1	-0.618555555555556
SLC6A17	0.96475
KRT75	-0.4765
STT3B	-0.875833333333333
CD3EAP	-0.212833333333333
TMEM63A	0.89975
DUSP13	-1.77775
CD1C	-0.261
LASS2	1.38316666666667
AVP	1.465
PITPNM1	-1.507125
FLJ22795	-1.967
MCTP1	-2.188
TRIM68	-1.07933333333333
UCK2	-0.606
ABHD1	1.994
FAM50A	-0.0315
RNASEH1	-1.36116666666667
PCP2	1.48683333333333
OR52H1	0.758
C20orf149	0.721
RBP5	0.216166666666667
HYAL3	0.516
CLPB	-0.868
SMNDC1	-0.30325
DONSON	-2.11783333333333
FLJ27523	1.4675
BARHL2	0.0823333333333334
SLC30A9	0.324166666666667
TMPRSS11B	-0.30725
E2F8	-1.20633333333333
CCDC25	0.239916666666667
C14orf48	0.605666666666667
C20orf116	0.5225
TSPAN11	0.684
YIF1B	-1.184
FAM12B	0.42975
OR1L6	0.076
HPN	1.8326
NBN	-0.67225
C14orf94	-0.356166666666667
OCLM	0.403
ZSCAN18	1.3834
L3MBTL	-1.3531
TSTA3	0.991166666666667
RAC1	0.302625
C19orf15	0.860166666666667
NFE2	-3.052
KLK14	0.2435
ARSF	0.235
MAST2	0.2815
AMICA1	2.20416666666667
GTF2A1	1.033
ATP1A3	-0.34375
TC2N	2.9752
PNKP	0.1535
ODZ2	-3.584
MATR3	0.039625
S100P	0.445375
KRT82	-0.472
CA13	-1.1064
PROZ	-1.4305
AASDH	1.102625
C19orf40	-0.522333333333333
DCK	-0.00807692307692308
FAM5C	-2.111
SLC6A4	-2.89
MID1IP1	0.003625
TESSP5	0.0955
TMOD4	0.2905
DOCK2	-0.755166666666667
TUG1	-0.055875
NUP214	-0.749
DPYSL2	-0.450772727272727
GOLM1	1.74925
MPFL	0.0175
SOX13	1.461
SDCCAG8	1.6517
KEL	-2.42966666666667
NUP210L	-2.0765
GK	-0.291625
DNAJB1	0.79475
ALPK3	-0.394
CHID1	0.4243
CYLC2	1.1908
IKZF5	0.8245
C8orf51	-0.0813333333333333
PPM1J	1.796
GIMAP8	3.3555
GPR101	0.344
NR2F1	-1.4885
ACAD8	0.35325
RBM35A	1.46375
GNAI2	0.103333333333333
METTL8	-0.184666666666667
SLC39A7	-0.88625
FBXO8	0.56225
CAMK1	0.00849999999999999
RFC3	-1.5055
FAM129A	3.08785714285714
ILF2	-0.3045
FGFBP3	-1.629125
NOM1	-1.543
PSMA3	-0.656
ASCC3	-0.3372
ZYG11A	0.93425
SOX21	-1.59542857142857
LYRM1	-0.12375
DEFB1	-0.601
LOC91431	-2.54683333333333
OR7C2	1.0345
FAM46B	-0.724625
TMEM18	-0.49025
ARHGAP30	1.34916666666667
TMEM86A	2.06433333333333
EPHA2	-1.27933333333333
C10orf46	0.861
TCHH	-0.267166666666667
C3orf30	-0.2574
LOC285636	0.00950000000000001
PAIP2	0.05125
CYP2U1	0.207625
C12orf34	1.53175
SARS2	-0.843
ZCWPW1	0.1775
SAMD12	1.035
KIAA1430	0.054
ACAT1	-0.49375
MEOX1	2.26683333333333
ADAMDEC1	6.03125
PHKA2	-1.0235
CARD11	-0.620666666666667
CALML4	-0.667
TSSC1	-0.48225
TMEM45A	-2.14055555555556
MPP7	2.80125
POU1F1	-0.02075
SLC2A13	-1.3897
FBN2	-1.28153846153846
ZC3H7A	-0.1155
LAIR2	-1.47975
ST3GAL1	-0.530833333333333
LCT	-2.202
GEMIN8	0.0118333333333334
KLF16	0.6727
HIF3A	-0.364
FAM44A	0.574857142857143
AQP10	-0.8041
PLA2G2A	0.5215
FOLH1	0.6875
C20orf186	0.295
MAPKAP1	-0.794875
SPRR2D	-1.04925
UBQLN4	0.295833333333333
RSHL1	0.787
PIAS3	0.815125
MRPL24	1.38775
GREB1	0.592125
FAM27E3	-2.8665
NUP62CL	-2.42275
NEUROG3	1.4535
REEP3	0.987
MARK1	-0.745375
LMBRD1	0.78375
PRPF19	-0.6785
PNMT	-1.5935
CTGLF1	-1.2535
SLC25A16	-0.334
EIF2B3	-0.915
RPA2	-0.312
PAK6	1.32
CCDC26	-4.362625
SEMA3E	0.979125
MXD4	0.9827
TNFSF10	3.1672
SMARCB1	-1.281
DTX3L	1.858
PLA2G4E	-0.4985
PPAP2A	0.76275
ULK1	-0.149916666666667
TAS1R3	0.00900000000000001
SLC2A3	-3.61072727272727
ARID3A	-1.73875
GNG5	1.59325
ACOX1	0.6275
KIF5B	-0.088
NUP153	-1.16275
MUC7	-0.1755
CSDE1	-0.592714285714286
CLPTM1	0.09275
C3orf23	-0.043875
LRRC17	-0.801
TTYH3	-1.10675
ATP5B	-0.0885
ELF3	1.6362
CPSF3L	0.243333333333333
ZNF665	0.434666666666667
TLR6	0.9795
GPI	-0.91225
RAD9A	-0.502625
NDST4	-2.863
AGPAT3	0.310583333333333
MAGI3	1.53383333333333
ADORA2A	-0.7035
CACNG7	0.2975
CAMK2D	-0.402692307692308
CCHCR1	-0.602
RPS27A	-0.81075
OR10G7	0.7045
GCM2	0.585
FAM135B	1.33788888888889
E2F1	-1.86025
PLCB3	-0.03975
OR2AE1	0.227
COIL	-0.606666666666667
CDC25C	-1.17183333333333
RAB11FIP2	-0.031
TSC2	0.16625
CTGLF5	-1.0435
CCDC108	0.1027
OR13C4	0.28625
C10orf81	5.03125
PTPRB	1.4915
ACP2	1.039
LAG3	0.69375
MRPL54	0.664
LOC201175	1.505
ITGB1BP3	-0.5465
SPTAN1	0.237166666666667
SIPA1L2	1.139
RCAN2	-0.4455
CDX2	0.0695
ECOP	0.21175
ACTR1A	0.101285714285714
PPARG	-0.648833333333333
BBS10	0.788833333333333
TMEM44	-0.617375
BPIL2	0.253
CITED1	0.254
IRF6	3.7085
PRDM4	0.598166666666667
RRP9	-0.999666666666667
OR10H4	0.66525
IL31RA	-1.3265
GNB1L	-1.16766666666667
MYBL2	-2.48425
ZNF407	2.781
PPIG	0.056
TTC18	2.156
RPSA	-1.1025
MAPT	1.09285714285714
MRE11A	-0.0128571428571428
C8orf37	-1.3095
RASGEF1C	-1.0345
STBD1	0.07575
CTAG2	-1.2342
MGAT5B	-1.37233333333333
ECM1	2.9205
RLN1	2.0115
PARP14	1.9233125
EPB41L1	2.2419
HOXA3	-0.839583333333333
MAGEA9	-5.042
RPS8	-1.23133333333333
RPS19BP1	-0.4365
FOXJ2	-0.207
C10orf76	0.27975
IL17RE	0.3285
C10orf65	0.6985
ZNF343	-0.084
FBXO33	-0.100625
UHMK1	1.3337
LY6G6C	0.21625
FGF19	-2.278
C14orf128	-1.67766666666667
IFIT2	3.577
TIGD1	-0.77625
S100G	0.026
GUCY1B3	1.7795
NR3C1	-0.084
CORO1B	0.239833333333333
PARP11	0.4225
DNALI1	4.79466666666667
OR4N4	-0.00185714285714285
MAP2K6	0.659666666666667
FSTL4	0.6635
ANKRD47	1.097375
TMEM171	-1.6205
PNLIP	0.773
YY1	0.284333333333333
CCDC138	-2.15
AASDHPPT	-0.4227
CKS1B	-0.249
MCM3	-1.19233333333333
ANAPC7	0.0173333333333333
FAM110A	2.1565
CDC37L1	0.869333333333333
THTPA	0.73275
NBPF20	0.2715
WDR24	0.279
NPTX2	-2.69075
CBLB	0.282
CETN1	0.321666666666667
RPUSD1	0.00750000000000001
FAF1	-0.47075
CDK6	-2.8584
HMX2	0.2885
CSK	-0.609
TEAD2	-0.3725
SNAP25	0.05275
TUFT1	1.176
TMTC3	1.56383333333333
LCK	-1.9185
SGOL1	-0.799666666666667
AKTIP	0.74675
FURIN	-0.75625
SOX12	-0.621666666666667
DEFB103A	-0.71325
RAMP1	3.674
KIR3DX1	0.885
GAS2L3	0.038
PDE8A	-0.8571
EDN3	-0.271666666666667
GMIP	1.0285
SF3A2	1.07575
FN3KRP	0.10325
SMAD7	0.39475
RHBDD2	0.656
OR11H6	-1.3285
PPP1R3B	1.5044
C9orf23	0.49025
CADPS	-1.743
GOLGA8A	-3.37725
TMEM57	0.778
RGL3	0.617
S100A14	3.31
FGFR2	1.8331875
XRCC3	-0.916
RTN4RL2	0.72025
MGC3771	1.508
GH2	0.313333333333333
BTBD2	0.11325
LMO2	0.1845
RDBP	-0.559375
ACRBP	-1.3855
AMY2A	1.90775
DUOXA1	1.354
PTK7	-1.29966666666667
TWF2	-0.0541666666666667
FAM80A	1.02625
TNNI2	-1.36866666666667
GLT25D1	-0.992166666666667
OCC-1	-3.003
CYC1	-0.827333333333333
RPL22	-0.263318181818182
MORN3	1.93633333333333
DISP1	1.2915
PRB2	-0.119
CHUK	-0.56825
HR	1.13475
CCDC134	-0.965375
DENND4B	-0.98375
C14orf130	-0.081125
RAB33A	-1.6125
DCST2	0.697
TNMD	-1.2685
PEX7	0.228
FAM62A	0.16325
SRD5A2L	0.791
IL22	0.246
RPS26	-0.713833333333333
HOXC5	0.175
SPATA6	1.4065
FLJ38482	0.614875
ZNF234	1.032
C18orf22	0.73375
SPATA22	0.849
THOC1	-0.02575
CYP7B1	2.436
KCNC3	-0.282
C8orf42	0.0425
ALDH1B1	-0.4115
CCDC100	-0.1283
ARMC4	-1.12425
FAM18B2	-0.65125
SLC44A1	0.972
FBXO17	-1.79483333333333
C6orf107	0.12825
C19orf29	-0.31975
ZC3HAV1L	0.47475
PARP6	-0.179
SULT2A1	-4.3415
C1orf159	-0.6295
TMC1	-1.365
CHST14	-0.168375
GAMT	0.389333333333333
SMCP	-0.6925
TSPAN33	0.0539166666666667
MIDN	0.174875
NOX4	2.5245
RNASEN	-0.6305
TBX1	-1.47783333333333
SALL2	0.1415
C10orf35	1.47125
CYP2E1	-0.82025
LRFN2	2.06766666666667
ACO1	-0.8235
IQCG	1.2834
MEGF9	1.63575
TM7SF4	2.92375
PLEKHA1	0.933133333333333
STK33	-2.61625
C1orf210	2.4275
SNUPN	0.2739
KIAA0406	-1.3065
C20orf29	0.25875
TMEM55B	-0.54575
OSTM1	-0.4865625
CLCN7	0.12975
OTP	-0.07375
FLJ23049	0.948
HEATR4	1.228
MAP3K10	1.21666666666667
PCDHGA9	0.7625
AMDHD2	-0.191
LCTL	-1.538
PDCD2L	-0.17875
CABLES2	-0.435
SLC5A9	-0.13225
CLCA2	0.316
MGC16025	-0.0935
STRAP	-1.8005
C20orf196	-0.1055
RRBP1	0.939333333333333
NAT13	-0.83425
MAT2B	-0.01675
CSNK1D	-0.758333333333333
KIR3DL1	0.4405
PRKAG3	null
ZNF599	-0.215
PRM3	0.7755
PER2	1.29933333333333
ASPHD1	-1.7325
PRMT6	-0.67575
KCNE1L	-0.524214285714286
FAM118A	-1.7975
TAF4	-0.16525
NDUFB6	0.102
TRIM9	-1.70790909090909
PMFBP1	-0.68775
KY	0.719
DKFZp762E1312	-1.44318181818182
CSMD1	-1.59125
TBP	-1.35166666666667
OR1Q1	0.571166666666667
RETNLB	0.50275
HPGD	-0.199785714285714
DNAJC12	1.9385
FKBP1B	-2.1155
ANKRD24	0.391666666666667
CXXC5	1.041
IL3	-0.27875
DRAM	0.4602
PTCH1	-1.593875
TP53BP1	0.38525
SLC17A7	1.178375
COL25A1	-0.774375
AMACR	-0.352166666666667
RHCG	-0.64675
VPS13A	-0.42225
FAM55D	0.9375
PRPF38B	-0.663666666666667
OSBPL6	-0.58875
PFDN5	0.4567
CMTM6	0.771625
KCNK12	-1.644
RP2	0.0425
C16orf52	-1.371
PICK1	-1.048
IFNE1	-1.433
SEMA4B	0.29825
TYRO3	-1.87675
OR12D2	0.1855
CSNK1A1	-0.084
FANCF	1.511
LONP2	1.450375
TBL1Y	-0.418
LDOC1L	-0.767125
CCNC	-1.242
C3orf60	0.367
CHKA	-1.1055
UBAP1	0.26025
MAP3K1	1.536
ANKRD9	-0.82625
FAM92A1	-2.4525
GAB2	0.625875
AZU1	-0.2405
DIS3	-0.7605
C21orf109	-1.2185
IQCB1	-1.35475
SPATS2	-0.272666666666667
EFCAB3	-0.43025
PRB3	0.168375
FUZ	0.612
ZNF813	0.290125
BMPER	0.982166666666667
HEG1	-0.32175
ALS2CR11	-1.205
SURF2	-0.01475
PSMC1	-0.0308333333333333
OR2D2	-0.102
SLC7A8	2.063
C4orf40	-0.138
SPATA7	-0.0535
MAZ	0.0593333333333333
PIN4	0.16625
PDE1A	-1.618875
TAF6L	-0.016
OR2T34	0.104
KIAA0284	0.1115
ACADS	1.44563636363636
MKRN2	-1.3145
C18orf56	-2.00225
MS4A6E	0.409666666666667
GALNT4	1.3129
C22orf31	-0.4
FLJ36070	1.3015
PSME4	-0.21275
TFG	0.585
EPHX2	1.885875
ANXA5	0.20975
KRTAP1-1	-0.362777777777778
BATF	0.3475
KARS	-1.4305
MSTP9	0.029
GPR26	0.110571428571429
CCDC72	0.05475
TEF	0.0138333333333333
FOXK1	-1.2224
PRLHR	0.28
EMX1	1.307
C11orf30	-0.08575
ICK	0.564625
THSD7B	-0.207
C21orf100	-0.3435
DUOX1	-0.8775
EFCAB4B	0.3455
UBE2G2	-0.938
C3orf54	0.0355
PARP1	0.48275
FAM60A	-1.48808333333333
C6orf146	0.044
OR9K2	0.276
DDX55	-1.00216666666667
RPS15	-0.155083333333333
ZNF618	0.7279375
DKFZp686D0972	-0.43175
SSPO	1.0325
SHFM3P1	0.625666666666667
CPA6	-0.319
JAG2	0.4375
DEFA3	0.5865
PPBPL2	0.183
CD34	4.182
SLCO4A1	-2.829625
AFG3L1	-1.21566666666667
SHD	-0.50475
RP13-122B23.3	-0.594666666666667
PRKCSH	-1.00366666666667
DPH5	-0.347166666666667
HLA-F	2.518
TBC1D4	-0.6095
RIG	-0.12
GLUD1	0.128166666666667
HNRPCL1	0.692875
HBXIP	0.035
RNF207	-0.1055
APIP	-0.327
PLA2G3	-2.15983333333333
CCDC84	-0.90975
MYLIP	0.0908461538461539
PHIP	-0.2155
AARS2	-0.455666666666667
DHX32	0.1985
SCAPER	0.1585
MEN1	0.221714285714286
NIP7	-1.108
FLJ25404	0.934
FASTKD3	-0.0985
TMEM158	-2.50533333333333
RARA	1.11
BDH1	1.1555
ANKRD16	0.36425
CARM1	-0.212
SS18	0.154166666666667
IKZF2	0.967333333333333
MYD88	0.39225
PML	0.89585
TAF1A	-0.98275
CBFB	-0.61175
HIST1H3H	1.76183333333333
C7orf29	-1.77875
COMMD4	0.0975
DPP3	-0.2835
DAB2	0.82625
LOC388882	0.2635
YPEL4	-0.993625
AGBL3	1.3285
LRP6	0.3575
SERPINH1	-0.671833333333333
TLE1	0.22675
CD244	1.1195
ZDHHC15	0.93625
MGLL	0.6099
PLDN	-0.354166666666667
LOC654346	1.9175
FAP	2.73275
GPR37	-0.138833333333333
SCARA5	2.11733333333333
EBF4	0.892090909090909
LSM6	-0.47975
MLLT1	-0.1499375
SLC5A12	0.15725
A2BP1	-1.72333333333333
COPS5	-0.217333333333333
TPM4	-0.602142857142857
TNFSF4	1.015
ACADSB	1.27027777777778
HERPUD1	-0.08175
BCL2L11	-0.878111111111111
CEP78	-1.084875
CDCA3	-1.607875
WBSCR19	0.0571
MYO1A	-2.239
PPEF1	2.409
LOC440348	-0.295
CPEB2	1.429
BPTF	-0.05075
RPL21	-0.3158125
GSX2	0.242
ADPRH	0.894333333333334
C17orf68	0.556
KCNS1	-0.754833333333333
MLLT6	-0.2359
PIWIL4	-0.11275
RNF26	-0.8385
RAP1B	0.574125
ADAMTS1	-2.1977
ZNF571	1.309
P2RY6	0.35725
TRIM21	1.456
CADM3	0.659
NLRC5	0.933666666666667
ADRA2B	-0.690833333333333
LOC90835	-0.128375
PCF11	0.29475
LOC400451	1.4555
GLTSCR1	0.9919
C17orf88	-1.2385
CDH16	-2.2425
FGF7	1.31425
PCSK4	1.43333333333333
NPC1L1	-0.704
TAT	0.107
TBCA	-0.36675
MGC33407	-0.217
GPR115	-1.64566666666667
CYGB	0.7505
FNBP4	-0.964166666666667
C12orf43	0.12225
CBL	-0.4981
CLECL1	2.41375
PPAPDC1A	0.89725
WDR25	0.3195
SGCA	0.0375
C22orf29	-1.6735
YIPF1	0.868
GALK2	-0.74975
RAB3B	-2.61775
LOC440087	-0.72025
UCP1	-0.0015
REEP5	1.275875
FADD	-0.1942
FOXA1	3.559625
CACNA1A	0.4605
ABI1	0.122333333333333
GRIN2D	1.5325
SLC1A4	-0.363333333333333
LOC401127	0.06725
HINT2	0.74625
PLD4	1.22533333333333
ZNF286A	-1.22775
ENY2	-0.75775
IL1F6	0.5165
PXDNL	4.1465
C20orf79	-0.38125
TNFSF13B	3.40316666666667
DENND3	0.109625
JARID1D	-3.30425
HIST1H2AK	1.346
LOC93349	-0.6643
SSH1	-0.8098
ENSA	0.65
LOC219854	0.613666666666667
CKAP2	-0.2154
DKFZP564J102	0.1995
MGC87315	0.485166666666667
HNRPAB	-0.8165
AMH	-1.791
ZNF526	0.53
BRUNOL5	-0.8479
CACNG3	0.337333333333333
TRPM1	-1.6425
PPP2R1A	0.178
COL2A1	-1.48725
DDN	-0.3595
FLJ25770	0.273909090909091
HK2	-1.07
ELOVL6	-1.376
MDK	-0.41375
EPHX1	2.16125
RASSF2	0.744625
DKFZP434B0335	0.22825
DLX3	-0.352625
PRTN3	-0.5845
AVPR1A	2.419
C21orf125	-1.3875
TNFAIP8	-1.233
GNB2L1	-0.96375
CALCRL	2.82525
SCGB2A2	2.79916666666667
UBXD7	0.30275
ZNF674	-0.1145
TMEM35	0.1525
BRSK2	-1.62025
HECTD3	-0.110166666666667
TMEM188	-0.439833333333333
LGALS9	2.587125
SCARB2	0.27875
USP34	-0.171166666666667
C17orf28	1.37591666666667
ZDHHC23	-1.18425
AQP12B	-0.1895
SLC16A3	-2.132875
APLP2	-0.193375
ITIH2	-5.27625
MICAL3	-1.30575
TNNI3K	0.6677
HDAC2	-1.284
PRR7	0.3154
THBS2	-0.22325
LOC751071	-0.770833333333333
CA2	1.935
RANBP17	-0.3835
RLN3	0.45125
CRYZ	-0.478166666666667
GBAS	0.227833333333333
TAS1R1	-0.80725
MPZL3	1.049
PCDH8	0.41825
HSP90B1	-0.227166666666667
KCNK15	1.759
TNIP2	0.0541666666666667
GPR146	0.15725
NOL6	-0.1985
SPC25	-2.69855555555556
STEAP2	3.09921428571429
VAMP3	0.352
TCIRG1	1.25575
ZP4	-0.242
PARL	0.318
TRIM39	-0.231833333333333
KIAA1305	1.403
CRNN	-0.208
GRN	0.749
HSH2D	1.94925
SCAMP1	0.2409375
KIAA1913	0.27
PTS	-0.05475
BANP	0.225214285714286
PRKACG	0.574
ADCY6	0.532166666666667
C16orf46	0.647
CYP51A1	0.6235
DDC	-5.04325
ANPEP	0.619666666666667
PROM1	-1.82983333333333
SIGLEC10	2.726
COPG	0.8885
FAM26E	0.889125
TRIP4	0.53625
SNX3	-0.440166666666667
C1orf175	0.415666666666667
PPY2	-0.287
C14orf152	0.6465
FTSJ1	-1.337
DST	0.3168
LOC554235	-0.2715
GLRX5	-0.514
C20orf12	1.4911
CAB39	-0.00516666666666667
MSH2	-0.8935
PIP4K2C	1.192375
CYLD	0.982375
WTAP	-0.3629375
MGAT4A	1.38111111111111
TSC22D4	-0.4647
CHRM2	-2.012
PPYR1	0.286
CCNH	-0.289166666666667
RRM1	-0.47525
ECAT8	-3.62125
LOC400120	0.55075
GABRA4	-0.217
C14orf4	0.773666666666667
C1orf59	-0.46325
CTDSPL	0.162166666666667
NHEDC2	2.123
PDE11A	-0.859466666666667
KLHL29	-1.962
CD5	-0.3684
TSPAN9	1.4475625
WDR67	-0.99375
THUMPD1	0.0733
C18orf17	1.07075
CLYBL	0.0548333333333333
FLJ13231	0.3745
CMBL	1.081
LECT2	-0.42675
NKAPL	2.75166666666667
LOC654780	0.4015
OR4C6	0.077
RAB30	-0.238
TSSK4	-0.107
TMEM163	-0.129
OSBPL11	0.404083333333333
GNB5	-0.887
CCL21	1.0445
C1orf121	1.03533333333333
FMO2	1.96266666666667
RPTN	1.877
MSTN	-1.2855
VCL	-0.468214285714286
FYTTD1	-0.126
C11orf1	0.10425
CCDC88C	0.854
HFE	-0.205055555555556
MOGAT1	-1.3285
FAM125B	0.154833333333333
IRGQ	0.065
RAVER2	0.92975
AKAP5	0.2775
SSSCA1	-0.36275
C11orf63	0.69425
ACTG2	-0.7612
PORCN	-1.159
DTL	-0.714454545454545
TMEM151	0.8185
FAM122C	-0.23525
RSAD2	3.4168
BAT4	-0.4255
KRTDAP	0.4275
MYH8	0.362375
CRTC3	-0.04425
LRRFIP2	0.126
INTS4	-0.418833333333333
TTN	-1.49116666666667
SLC26A5	1.4925
PLLP	-0.67725
RGS6	-1.01
SRGAP3	0.93675
ZNF525	0.1295
NBR2	-0.884666666666667
C13orf1	0.54
ZNF137	0.2555
CEP27	-1.47025
BEST2	0.447
RNF121	-0.46525
DMRTC2	1.08566666666667
C8orf76	-0.0895
BCCIP	-0.3995
