Hybridization REF	TCGA-BH-A0BP-01A-11R-A115-07
EED	-0.797
RNF32	0.207
HES1	1.0039
CLC	-0.110166666666667
ISL1	-0.635333333333333
KIAA0528	-0.5335
MANEA	-0.101125
C1orf61	-2.1585
hCG_2001000	-0.1075
RAPGEF6	-0.592
KIAA0020	-0.535166666666667
NEIL1	1.145
C16orf45	0.91175
RBM10	-0.363166666666667
C10orf125	-1.054875
MRS2L	-0.1835
DNAH17	-0.761125
C19orf10	-0.65175
C1orf160	0.027
SLFN12	0.233
EXOC3	0.0855
HIST3H3	1.04925
NCOR2	0.168833333333333
TNFRSF9	-0.12425
MFSD8	0.14625
ALX1	-3.73216666666667
NOL1	-1.969
PODN	2.88975
TIAL1	-1.57775
HIST1H1E	2.18425
NPY6R	0.25325
TM4SF4	0.74325
CORO2A	1.24525
ETNK2	-0.8245
APOE	0.7263
ANGPT4	0.027
HDGF2	-0.992
G30	-0.338
ST8SIA4	-0.435125
F2RL1	0.237375
FAM19A4	-3.3695
CCAR1	-0.33775
B3GNT7	-0.217
OPHN1	-0.1256
DSCR6	-0.175
C21orf13	1.11366666666667
GAS2L1	0.628083333333333
RFX3	-0.791333333333333
COPS4	1.19925
BCHE	-3.27866666666667
BCL2	3.011875
HBZ	-3.06466666666667
ARL13B	0.293375
MAPBPIP	0.814875
MYO15B	-0.1925
SPZ1	-0.264
KIAA1324	2.26466666666667
PLCL2	-0.54425
C4orf29	-1.55925
WDFY2	-1.0655
ZNF284	-0.871
NAALADL1	0.441
DUSP5	1.03483333333333
PXDN	1.02125
SLMO1	-0.86225
TNXB	0.2997
BIRC7	-1.08375
A4GALT	0.656666666666667
TIMM22	0.0885
FAM110C	0.93125
TOMM34	-1.345
ABHD9	0.3
ADAM32	1.439
CRHBP	0.86525
AQP2	0.403125
LOC130355	1.20525
ZNF187	0.0113333333333333
ZNF816A	0.8445
F7	0.4395
CNOT1	-1.1506
SLC13A4	0.3705
ZBTB11	-0.325
B3GALT5	-0.56175
EXOC2	-0.2045
IRS1	0.9633
TMEM1	0.0475
MRPL34	-0.536166666666667
SAMM50	-0.6225
CDC42EP3	0.03075
HSF2	-0.9793
MFN2	0.071
TSPAN7	-0.970833333333333
NUCB1	0.0495
RHOH	1.71975
ARL16	-0.8585
TACR1	0.15275
SFRS5	-0.423
SNX25	-0.386625
RHBDF1	0.478833333333333
PCDH18	2.827
HMG1L1	0.7615
MYO5C	1.054625
MAPK10	1.2885
LDHAL6A	0.1225
NUDT12	0.2385
NCAM1	-0.183875
GLIS2	0.1585
GGTL4	1.69425
DAPP1	-0.526
ATF7	1.814375
KIAA0748	-1.31275
NFIL3	0.058
TM6SF1	1.422
SEZ6	0.00737500000000001
NANOS3	0.1545
DNAJA3	0.0368333333333333
CLDN6	-2.203
CIITA	2.3411
EPHA4	0.0799166666666667
FANCC	-0.83975
CMTM3	0.7145
PSG3	-0.5565
MRPL15	-0.091
C21orf59	-0.12625
PLCXD2	-0.20825
C2orf34	-0.20475
UBE2L6	0.4045
MED14	-0.370166666666667
HP1BP3	0.0812
C6orf208	0.093
TPBG	0.645
OSR2	1.357875
XPC	-0.304
KLHL7	-0.41475
CCR3	-0.00766666666666666
AGTPBP1	-0.539166666666667
PCSK6	1.77206666666667
STAT5A	-1.0087
FAM18B	-0.26375
LONRF2	0.277833333333333
PTPN2	-0.826
SF3A3	-0.585833333333333
EFCBP2	-0.57875
HCFC1	-0.420833333333333
AHNAK	0.34875
ACTR5	-0.21075
KIF14	-2.46257142857143
TENC1	1.36525
HEATR5B	1.304
YIPF2	0.597
MYEOV2	0.521833333333333
DUSP18	1.4725
KIAA1012	-0.44875
AHR	-0.0571666666666667
C17orf53	-2.41516666666667
PTPRH	-1.91875
ATP6V1C1	0.0788
TAS2R3	-0.3425
LOC440356	0.91475
COQ10B	0.228
PSMF1	0.205666666666667
SORBS2	1.38016666666667
NFE2L2	1.15975
TMCO7	-0.679
SH3PXD2A	1.0758
SH2D2A	-1.36675
SPINK5	-2.27075
MRPS24	-0.62875
OPA3	-0.21875
TRAF7	-0.019
C4orf35	0.505333333333333
MT1G	-0.685
MGC39545	0.29825
HS1BP3	0.025
OR2B2	0.136
CHRM4	0.1245
SFRP2	4.30933333333333
RIC3	0.5445
ART1	0.3585
C6orf1	0.30725
DUS4L	-0.67925
C10orf104	0.337
TNFAIP6	3.64875
RTEL1	-1.74825
CCT4	-0.3546
ZNF709	1.034
CHMP6	0.116
UPP2	0.6525
CYP19A1	-1.8335
CD151	-0.5715
NDUFA13	-0.539333333333333
ARFRP1	-1.1225
FAM26B	1.8875
CRYBA1	-1.484
MRPL41	-0.189666666666667
NPFFR2	-1.315375
HRH2	-0.082
SCAMP3	-0.389333333333333
MTMR6	0.4043
MTG1	-1.50216666666667
UBTD1	0.9365
CRABP1	-1.9175
FLJ33790	-0.0793
KIAA1908	0.629166666666667
GPR158	-1.73925
PACSIN3	-1.806
OMD	3.9
CATSPER1	-0.6015
HOXB8	-2.152125
FBXO46	-0.367
OAS1	0.600166666666667
SVIL	0.4365
PHB2	-1.74025
ADCY3	-0.5955
NDRG2	1.19683333333333
ERMAP	0.2547
APBA2	-2.04083333333333
IGSF9	2.09075
WNT6	-0.53
MYCBPAP	2.42
ATP2B2	0.0435
CPVL	-0.5693
TRAM2	-0.505583333333333
NOP5/NOP58	-0.000249999999999993
ZNRF4	0.05125
TLK1	-0.2345
MTMR12	0.427714285714286
ZNF384	-0.6965
FAM9B	-3.08025
RPN1	0.0149
PMVK	0.51225
EIF3D	0.0515
SIX2	1.77275
HPS1	0.171357142857143
RNF7	0.56325
PSKH2	0.093
KCTD13	0.0563333333333333
CSMD3	-0.8089
FBF1	-0.1375
IL8	-4.4535
SERPINB13	0.298272727272727
FBXL20	-0.74375
BLR1	0.0695
SH2B1	-0.379666666666667
RFNG	-0.3105
RAB20	1.0135
RBM7	-0.52725
POLR1A	-0.419166666666667
TMPRSS4	-1.6805
TAF9	-0.528125
TERF2	-0.5075
TNFRSF1A	0.3265
ACADVL	-0.522166666666667
GTF2H5	0.34025
EDG8	0.387666666666667
C9orf140	-1.281
UST6	0.186
ZBTB8OS	-0.2935
ZNF710	-0.1065
GPR174	-1.709
ATP6V0A2	-0.42475
KIAA0319L	0.27475
XKRX	1.2265
DOPEY2	0.9935
SDHD	-0.620083333333333
SUMF1	0.7665
OSM	2.69575
OPN3	-0.13025
DAGLB	0.00666666666666668
PPFIBP1	0.5895
TRIM63	-2.05625
C10orf53	0.219
LYPD3	0.586166666666667
BCL7A	-0.216125
AGER	-1.513
TCF19	-1.50525
SAT2	-0.2075
PFTK1	2.00316666666667
GABRE	-1.322375
C15orf38	1.7375
FIS1	-0.031
KCNV2	0.22425
CLPS	0.14675
PPCDC	-0.826
FOXN2	1.07583333333333
NT5E	-2.0575
CD83	0.992
IL18	0.199
VPS16	-0.44125
IGFBP2	0.142666666666667
NOTCH2	1.05075
SIGLEC1	2.385125
CD93	5.4025
SULF2	1.6665
CEP164	-0.99225
P53AIP1	0.609166666666667
TOR2A	-0.00316666666666665
ZNF136	0.78925
MGP	3.5923
CCDC144A	0.377
TRPC1	-0.366
SMS	-0.534333333333333
MAPK7	-0.761333333333333
RRAGC	1.18075
PARD6A	-0.724833333333333
NUB1	0.1175
SYNGR4	0.37075
OR11H12	-0.5495
WIF1	1.628
GCH1	0.11675
OR11H4	-0.023
SLC44A5	0.2415
GPRIN2	1.48433333333333
LOC401431	0.52525
CPA4	-2.2774
MELK	-3.16544444444444
IL15RA	0.5405
CUL3	0.909
HMBOX1	0.813
PODXL	-1.272
CCT6B	0.235166666666667
COMTD1	-0.53825
MUC20	0.307666666666667
GPX2	-1.6415
ITK	-1.432
FBXL5	0.96025
C13orf27	-1.1
DEFA5	0.477
TRHDE	0.2765
MTP18	-1.44233333333333
UQCRQ	-0.0935
ITGB2	0.94275
CSRP2BP	-0.20775
TAS2R44	0.247
PHPT1	-0.075125
FAM44C	-0.808
ERH	-0.11375
MPHOSPH1	-2.383
MORC1	-1.141
PARVB	-1.20225
LAMA1	-2.0595
PGBD3	0.2085
GIMAP6	3.93075
AREG	6.02483333333333
LIPT1	0.3145
MGC99813	-0.84475
C1orf201	-0.321166666666667
GRIN2A	-0.7561
MAN2C1	-0.551125
NSUN5	-0.83775
SF3B5	0.60775
MYC	-1.53225
NRXN1	-0.350166666666667
ZNF18	-0.28975
SPDYA	0.2655
SLC37A1	0.871
DECR2	0.2375
ANKRD38	1.820375
SPTLC3	-0.891916666666667
SUPT16H	-0.849125
DTWD2	0.13775
ULBP1	-0.512
ZADH1	0.0778333333333333
OIP5	-2.79875
IL10RB	-0.118166666666667
OTUB2	-0.07175
VWA3A	0.0781666666666667
SPIC	0.126833333333333
OR6C4	0.0835
PSCD4	1.25566666666667
DPY19L2P2	-1.093
TRAPPC6A	-0.115333333333333
C21orf2	-0.657833333333333
CEMP1	-0.57
LIN7B	-0.713
E2F7	-2.622
VCP	-0.417125
LAMA3	0.934583333333333
BGN	1.8225
GPR160	1.42983333333333
COCH	-4.77516666666667
GPR81	2.0685
APOBEC3F	-1.333
tcag7.1017	-0.33725
C1orf32	0.4375
SCGB1D2	5.459
FLJ43987	-0.548
C6orf170	0.45675
KLK9	0.1375
GPD1L	-0.014
VPS37B	0.4085
ATG3	-0.313166666666667
ADAMTS17	0.00849999999999999
KLHDC2	0.0681666666666667
NDUFV2	-0.2715
BLK	-2.91825
MATN4	-0.6135
GPM6A	0.178
GBP4	3.23333333333333
TMEM162	-0.0716666666666667
PKP2	-0.642
HRASLS	0.961888888888889
MMP1	-3.23875
SFXN3	-0.1547
FSD1	-2.17783333333333
ST6GALNAC3	-1.38733333333333
CA12	3.0382
NCOA6	0.28075
C19orf58	0.1134
PPP4R1	-0.7525
MAN1A2	0.805
IKBKAP	-1.096
UPF1	0.233833333333333
KIAA1219	0.52525
WNT16	0.6575
SNW1	0.211875
IL18RAP	2.36425
RPP30	-0.17425
CDC40	0.467857142857143
SETD3	-0.039
SLAMF6	0.0825
ELK4	-0.2805
TRIM47	0.920166666666667
ACOX3	0.601875
TRIM6	2.01925
KIAA0372	-0.154166666666667
TP53AP1	0.770375
SMURF2	-0.7935
ADAD1	-0.10325
EBP	-1.22
KRTAP13-2	-0.137
FLJ36874	-1.23583333333333
TOR1A	0.760833333333333
P2RY4	-0.0575
GPBP1	-0.099
TRPV1	0.210375
ADAMTS12	0.618833333333333
PES1	-0.8208
ATG4A	0.667
MAGEA10	-4.64
WFS1	0.62625
CC2D1B	-0.666333333333333
PABPN1	-0.300875
SLC25A30	0.50425
SLCO1C1	1.13433333333333
SLC22A5	1.019
KIF23	-2.32033333333333
SYN2	0.187666666666667
ASPN	7.96783333333333
CENTG2	0.70775
QSOX2	-1.6703
FLJ10815	-0.107333333333333
STK24	-0.5169375
SPEG	-0.6524
STK10	-0.0591666666666667
DACT2	-0.4295
AAAS	-0.98225
SSX3	-1.636625
ABCD3	0.1909
C4orf12	1.7435
PARVG	0.572833333333333
FIG4	0.66125
C9orf46	0.78475
TMCO6	-1.396
IGHMBP2	-1.2505
DUS2L	-1.22966666666667
FAM3C	-0.2393125
TMEM16D	-1.99225
DCTN4	0.24425
KCNH3	-0.176
EIF2AK2	1.3295
AP1S3	0.16925
CST4	0.109
PAM	0.3266875
NUTF2	-0.70675
CITED2	-0.1309
SLC39A4	-1.19925
C2orf52	-0.9925
GRM3	0.02325
C12orf49	0.200375
CCDC49	-0.6194
GRAMD1B	-1.59425
FNDC4	2.05775
SIAH2	0.501625
GDPD4	-0.0755
C21orf87	0.4415
ATP5A1	-1.05183333333333
C16orf63	0.6735
LOC388135	0.329166666666667
ATP5J2	-0.6965
MMP3	2.6115
EMID2	-0.408
CRHR1	0.09025
WDR70	-0.000249999999999993
C13orf31	2.295
ZFAND1	0.20875
CCL18	4.78583333333333
C3orf49	0.6655
RINT1	0.2805
KIAA0408	-0.227
F13A1	4.7811
SLC10A1	0.0206666666666667
OGN	3.96775
GIPC2	-0.971333333333333
XPO6	-0.500833333333333
LCE1A	0.5055
FMR1	0.4609
LOC374920	-0.3865
DUSP3	0.0815
ANKMY1	-0.2155
C7orf50	-0.7115
BBS9	0.1978
UNC119B	-0.124875
C9orf72	0.179
MGC35440	0.05875
ENTPD6	-0.716875
PPP1R2P9	0.49675
ERCC4	0.35125
FAHD2B	-0.35
HMHA1	-0.6515
HACL1	-0.38525
RAD23A	0.605
FAM83B	2.099
PPP5C	-1.6365
RNASEH2C	-0.69275
C9orf153	0.12
SCAMP4	0.537125
GHITM	0.2873
NDUFB7	-0.04
ADCYAP1	-0.0151666666666667
SP110	1.88133333333333
MAP3K7IP2	0.209
DHH	-0.03
AGRN	-0.720142857142857
WDR33	-0.293833333333333
CEP290	1.01083333333333
PRPS1L1	-1.52533333333333
KLRA1	-1.263
GPR97	0.045
CHD7	0.327
TLR10	0.76375
SLC30A8	0.575
HIC1	1.441
IAPP	-0.185
RXFP4	0.1205
GP1BB	-0.111
SHQ1	0.1055
NKX2-3	0.192333333333333
API5	-0.58625
FTHP1	0.741
MOV10L1	0.636
TRIM6-TRIM34	2.45383333333333
ADHFE1	1.204
FAM117A	0.018
DDI1	0.273833333333333
CDON	-0.0703333333333333
TRIM73	-0.4435
IGKC	3.376
MMP14	-0.71225
DYNC1LI1	0.238
C11orf66	0.74525
TRBV3-1	-1.429
FASTKD5	0.05825
BIVM	-1.1555
LHX4	-0.89325
CXCL2	-0.2559
RAB2B	-1.09933333333333
IZUMO1	-0.6835
MAP3K15	-1.599
FAM19A2	0.992
ZC3H8	-1.1745
ZMAT1	3.01125
SPINK5L3	-3.47025
SLC10A6	0.3035
APPL2	0.68375
CARD10	0.529666666666667
LOC402176	-0.457375
EEF1D	0.7146
RAB6A	0.1847
C12orf5	-0.42775
PAPOLG	0.27275
MSRB2	0.4215
BCR	0.635388888888889
PUS3	-0.16725
TIAM2	0.17675
ZNF317	-0.0501666666666667
CHD2	0.0289285714285714
FZD5	-1.47322727272727
NUDT8	0.3505
ZNF763	0.6895
PRC1	-1.99411111111111
ABCB9	-0.0435
SPATA3	0.111
TRAK2	2.420875
STAB1	2.824
LRRTM2	0.4395
psiTPTE22	-0.08825
DBI	0.6015
SERPINA11	-1.304
NAT5	0.17
C20orf58	-2.26775
RPS6KA4	-0.078
FLJ90650	2.6985
TGFBRAP1	-0.4205
CHRDL2	0.67025
FAHD2A	-0.573166666666667
CNTN1	0.11575
BBS4	0.7066
TMEM181	-0.2025
MINPP1	-0.67525
MPHOSPH6	-1.19433333333333
HOXC10	2.0859
ITPKB	-0.036125
CLPTM1L	-0.166125
MEOX2	1.7275
ATP6V0C	1.0585
PRPF8	-0.5115
TMC5	4.762
FKBP3	-0.6505
PLEKHB2	-0.676125
OR4D6	-0.2215
ZNF544	-0.3105
D2HGDH	-0.38175
RPL18A	-0.4828
HEL308	0.913625
MPP6	-1.495
TCERG1	-1.75975
KRT16	1.7945
KLF17	-0.758
KLF5	0.87475
CDR1	4.082375
VCX3A	-4.3135
FBLN2	2.128375
C14orf104	-0.7815
HBE1	-4.6534
OR4S2	0.1235
C1orf108	-0.8005
ROBO4	3.64733333333333
CPEB4	0.0745
C11orf80	-0.6185
BCKDHA	-0.18
MYOC	3.60525
GIF	0.5645
CKMT1A	0.249
RPL3	0.0586
THBS1	2.07375
APOO	0.3415
ARMCX1	2.6155
HSZFP36	1.64875
SNAPC5	0.249
EIF4ENIF1	0.11525
ZNF433	0.99475
TNFRSF21	0.07725
TMPRSS7	0.347
SPATA18	1.2943
HPDL	-3.226
MKL2	1.6287
TBX3	0.837846153846154
C21orf93	-0.0365
DAXX	0.25425
ELMO1	0.293
RGS13	1.53333333333333
TAF11	-1.20875
UNC13A	-1.87175
LOC653314	-0.546
ORC3L	-1.13225
IMAA	-1.6845
TARBP2	-1.092
CABIN1	-0.1563
TRIOBP	0.0788125
HIST1H2AC	1.999875
RGS22	-0.795166666666667
NCOA1	1.45416666666667
IL25	1.802
SNCG	2.014
GPR6	0.2385
AMDHD1	-1.9385
CHEK2	-1.497875
C6orf142	-0.19175
DRD4	-0.09325
C14orf68	-1.162
GDF11	-1.1845
SEMG2	0.0215
CD247	-1.55925
CDAN1	-1.12925
RBMX2	0.138833333333333
TGS1	-0.717
OIT3	2.30525
SYF2	0.203
MCM4	-2.165125
PKHD1L1	0.00875
CEP192	-0.878666666666667
IFT88	0.1495
RPL9	-0.167214285714286
RAB32	0.288875
DDX43	-1.563
P2RX2	0.3825
OR5D18	0.1435
UBE1	-0.0545833333333333
SLC24A1	0.782625
ARHGAP5	-0.011
CETP	0.4155
KIAA1731	0.0105
SLC9A4	0.837
PTPN6	-0.051
BAHD1	0.20125
GRIK3	0.7225
CACNB2	-0.6711
PDE10A	0.21675
DGCR14	-0.33275
PCDHB9	0.672
RHOQ	1.49316666666667
MAP3K4	-0.8495
KTI12	-0.324666666666667
RPL23AP13	-0.03425
GNG11	0.77925
CLCN3	1.37533333333333
GPAM	2.69075
VSTM2A	0.1875
SLAMF7	1.97133333333333
INTS2	-0.82825
PPP2CA	-0.4685
LRP12	0.992933333333333
SEC14L2	0.924
DKFZP586H2123	3.586
MC3R	-0.148
CIRH1A	-1.63116666666667
HIST1H2AB	1.55616666666667
POLH	-0.81725
MGC16703	-2.09916666666667
SNAPC2	0.2835
FILIP1L	1.53625
RASGRP4	0.3985
LRRC1	1.02875
GAS1	1.221
PRAC	-0.69125
DGKA	-0.537333333333333
NT5C3	-0.66625
PEG3	-1.95641666666667
NADK	-1.153
PRR17	-0.38975
LOC374569	-0.22375
SGSH	-0.2985
NLRP8	0.689
GALT	-1.076
MCF2	-1.0955
ZNF263	0.317
TACSTD1	2.57983333333333
TYR	-6.0702
ATP6AP2	0.95875
RNUXA	0.298
ABHD10	-0.5466
GDPD2	-1.549
SLC35C1	0.08675
UBE2A	0.174625
HERC5	-0.826
FAM112B	-4.68116666666667
FBXL16	1.98225
DKFZP434A0131	-0.384
ELA3A	-2.2765
RBM41	-0.77975
HAO2	0.37725
RNH1	-0.423625
SHANK2	1.19983333333333
OSBP2	-1.868625
DAK	-0.624333333333333
C3orf58	0.0365
TCL1B	-0.2965
KBTBD2	-0.211375
SUGT1L1	1.483
UBE2E2	0.2545
MYL9	2.5475
CDC23	-0.647833333333333
PBXIP1	1.3323
CXorf40B	1.0445
NBL1	1.47325
RTBDN	-0.2095
RAB11FIP5	0.32925
TTTY13	-0.0975
SCOTIN	0.361583333333333
SOHLH1	-0.854833333333333
CDKN1A	-0.0931428571428572
NCK1	0.2095
ZNF550	0.29
SAPS3	-0.190833333333333
SPIN3	1.401
MAGEE2	0.66175
MIS12	-0.612666666666667
OR8H2	0.333
KIAA0774	-0.4105
UNC5D	-2.6135
CUL7	-1.26633333333333
LIPC	-2.4655
DIO1	2.40875
C20orf11	0.2724
CTRL	-0.93275
HS3ST2	2.67725
PAK4	0.447833333333333
CCRL1	3.94775
RNF10	-0.018375
ZNF567	0.139
ZNF660	0.0515
TCEAL3	1.31
MAGOH	0.713666666666667
CENPB	-0.4055
C19orf7	-0.041375
LOC388965	0.58975
ZCCHC13	0.428
JMJD1A	-0.6228
HIST1H4H	1.318
TBRG1	-0.661
GPC3	-2.429
TAF1C	-1.128875
EBNA1BP2	-0.392833333333333
CIAPIN1	-1.061
PDGFRA	0.622722222222222
CSTB	-0.824125
CENPI	-2.62983333333333
GTF2E2	-0.347
RPP21	0.23325
CCNF	-1.27
KCNQ3	0.628
FAM79A	0.71675
SLC22A12	0.064
NOVA1	0.0873333333333333
FZD3	0.3083
AKAP8	-0.71325
SOCS5	0.962625
CFDP1	-0.77275
DLG5	1.2025
PGM5	0.980083333333333
C1orf144	-0.221666666666667
HDAC10	-1.042
RND2	-1.44225
C20orf199	-1.00275
RNMT	-0.85825
SLURP1	-0.022
ASTN1	-0.163125
SH3BGR	1.46825
MYCL1	-0.5985
ZHX1	0.0618333333333333
CENPK	-4.5935
FOSB	2.174
LOC643406	0.149375
C2orf59	-0.531875
TMEM135	0.42075
SLC27A2	-0.73625
KRT33A	0.031
OVOL1	2.04975
PAMCI	-1.7295
S100A7	1.387
ZNF789	-0.7365
HARS2	-0.365
RPL23A	-1.27683333333333
TCF23	0.175
UPF3B	-0.9565
C17orf78	0.2785
HLA-DOB	0.0628333333333333
C14orf142	1.06766666666667
TEKT5	2.0815
DMWD	-0.0905
POLD1	-2.01266666666667
GSCL	-0.436
CALD1	0.8493
SCRT1	0.128666666666667
AIG1	0.99025
UNC84B	-0.2795
ZNF404	-0.816
TMED6	-2.8035
KIAA1462	0.4545
LRRC27	1.14316666666667
PYGO1	-0.193
PIGU	-0.866
ALAS2	-3.768
WRNIP1	0.115
CNNM3	-0.0045
ZNF2	0.15925
ST3GAL5	-0.923666666666667
MRPL23	-0.663
TSSK6	-0.2515
PSMA6	-0.286
C16orf70	-0.3625
KIAA1602	-0.362
ALMS1	0.405166666666667
DCN	3.550625
TMEM132D	-0.9335
SUCLG2	-0.0395
ABHD14A	-0.25325
DEXI	0.0713333333333333
AMPD2	-1.27883333333333
IFNAR2	-0.667166666666667
CYB5A	3.1236
TLOC1	1.1823
NXF5	-0.7695
NRBF2	0.530625
KCTD3	0.2155
ITGAE	-0.2735
SLC30A3	-1.80383333333333
ZRF1	-0.0645
IFRD2	-0.729625
XAB1	-0.038
PYCR2	-0.3435
SERPINB3	-2.2305
TMLHE	-0.0321
GEFT	-0.835375
ABCA5	0.15625
EMR4	0.307666666666667
TSFM	0.155
HIST3H2BB	1.3455
ARHGEF19	0.24675
TSPAN17	0.960666666666667
ABCC8	0.37525
MAP1S	0.0325
C22orf36	1.34675
BNC2	0.870857142857143
HIST1H4A	-0.15425
NDUFS3	-0.956833333333333
WDR3	-0.431
XKR4	-0.1955
TTC33	-0.557642857142857
STMN2	4.019
CPN2	-0.718666666666667
HSPC105	-0.973625
PCOLCE2	1.4115
C3orf55	2.2735
KLHDC9	2.80516666666667
TBC1D23	0.1575
ATXN2L	-0.926416666666667
MAP2K3	-0.0116666666666667
SCAP	-0.57375
ZNF486	1.52033333333333
C20orf96	0.76
NARS	-0.7265
ADAMTSL1	-0.0585714285714286
PRCC	-0.152166666666667
CCDC126	2.46816666666667
ZNF675	1.11875
CALCOCO1	0.63475
ANKRD43	1.09975
CWF19L2	-0.7435
ZBTB32	1.439
BRAF	-0.034
ODF4	0.17825
MGC14376	1.18316666666667
HORMAD1	-2.82816666666667
AAK1	0.171416666666667
PEBP1	0.139166666666667
TNFSF5IP1	-0.387833333333333
DKFZp564N2472	0.119
RMND1	0.252375
IGKV1-5	3.76225
COL1A2	3.27775
SERPINA5	-0.55275
AANAT	0.209
C19orf21	-3.31483333333333
GEMIN5	-0.5265
UBR4	-0.623166666666667
LTBP3	0.406833333333333
AMHR2	-2.28316666666667
PROCR	0.3265
MYBBP1A	-1.06125
C20orf39	1.9045
ZNF697	0.022875
PASK	-0.9362
ZNF776	0.352666666666667
RFXDC2	-0.650125
KIAA0467	0.56975
C10orf96	-2.004
ZNF503	0.04925
GULP1	-0.9175
KCNE4	-0.250166666666667
DKFZp434K191	-0.84525
LOC196913	-0.274
BHLHB4	0.2485
CH25H	2.36925
LOC81691	-1.11066666666667
ALPL	0.709214285714286
COL12A1	2.553875
FOLR3	-2.311
GPR123	0.125
TRIM62	0.156
ABLIM1	0.3045
MAST3	-0.4945
RHBDD1	0.736
LOC338809	0.079
RYBP	1.1475
TTC26	-0.460125
ZNF22	0.2745
ISCA2	-0.03875
RDM1	-2.74775
PIGM	0.5455
GNB3	-1.4565
ACTR2	0.8978
HMGB1	0.53615
EDG1	3.61016666666667
SOAT2	-3.3955
OR10AD1	0.4985
RAP1GDS1	-0.18325
LCE1F	0.238
ESM1	-0.968375
RCN3	2.14525
CREBL1	-0.86675
DBNL	-0.7665
PTGER3	3.5865
USP30	0.0666666666666667
BCL2L12	-1.8075
KIF26B	2.2895
ZNF416	0.47175
ZNF225	-0.2665
C17orf70	-0.46275
ZNF554	0.45025
RAE1	-0.788833333333333
TNIK	0.865
ACTN3	0.648
MGC45922	-0.2785
CCNA1	0.6965
RYK	0.725833333333333
IL26	-0.0585
LRP3	0.180666666666667
QARS	-0.65225
SOX7	1.633
BID	-0.032875
OR2S2	-0.089
CXCL14	4.65625
C11orf47	-0.8655
MGC29891	0.654
HSPB8	1.0677
PRDM14	-1.707
NUFIP2	0.106
MNAT1	-0.383125
ZDHHC2	-0.000166666666666664
MBNL2	0.814125
ADD3	-0.138375
CSNK2A1P	-0.88425
KLK6	-0.181833333333333
TMEM111	0.6364
KIAA1279	0.64825
NUBP2	-0.084
RAB42	-0.8645
ID3	-0.8078
TM9SF1	-0.39525
MDP-1	-0.441
POU4F2	0.95575
IQCK	1.9995
C16orf14	-0.91225
CAPN3	-1.7345
FAM43B	0.638875
RECQL	-1.08
AP1G1	-0.0893571428571429
CTNNBL1	-0.499166666666667
ECHDC1	-0.241666666666667
SMARCC1	-0.0759
FOXQ1	-2.371125
GNAI3	0.0241666666666666
POLG2	-1.5505
CD4	0.736375
ITLN1	-0.693
EBI2	3.44675
IRF1	0.435
PTPRE	2.7281
PTK2B	-0.474
NXNL2	1.1985
SOX4	2.01872222222222
TSPAN3	0.245
SH2D1A	-3.34433333333333
C8orf58	-0.487
USP20	-0.51625
DUSP22	-0.501083333333333
CALB1	-2.67333333333333
L3MBTL2	0.778916666666667
MCRS1	-0.814
TMEM118	-1.62666666666667
C18orf8	-0.303833333333333
FLJ10241	-0.661375
GJA12	0.9885
PKD1	-0.291
ZFP3	0.759
JAM3	-0.1155
LAPTM4A	1.3569
DIRC2	0.306
KIAA2022	0.761666666666667
MYOM1	1.43583333333333
TRPM8	-2.67
MOP-1	0.1005
PHKG2	-0.53475
ZNF650	0.693625
KIAA1522	1.43375
PSG8	-1.699
DDX19B	-0.069
MOBKL1B	0.12575
DIAPH2	0.0048333333333333
PTPN12	0.88775
CLN8	0.3542
CRYZL1	-0.3375
CRY2	0.48075
FCGR2B	3.73066666666667
PNPLA4	1.312
ZNF454	0.675
DKFZp434B1231	0.466
CLDN11	0.5735
RFWD2	1.20916666666667
CIB2	-0.0166666666666667
MXRA8	3.132625
HRK	-0.603375
MAML2	-0.27625
C4orf31	-0.1575
C6orf192	-0.48375
COG6	1.318625
FAM5B	0.62625
NFATC1	1.2708
SEPT10	-0.08325
SCYL1	-0.2622
RPP40	-0.8305
SCOC	0.3878
KIAA1450	0.94
CTDSPL2	-0.6685
TBX5	2.629
NAPG	0.178625
RHD	-4.57375
C14orf45	2.772
ZBTB22	0.3335
PLCG1	-1.866
ANKRD10	-1.036375
AQP7P2	3.95425
TAGLN2	0.464333333333333
HTR2C	-1.54133333333333
SLC16A7	2.22083333333333
C17orf83	-0.5605
TSGA14	-0.320666666666667
MDH1	0.51
PPP3R2	0.254333333333333
DCBLD2	-0.779642857142857
RBM33	-0.4445
DPH3	-0.5195
SYT10	-0.9935
FMO4	2.644875
THYN1	-1.0135
DRD5	-2.233
OTOR	0.85025
PGRMC2	0.0271
KATNAL1	0.469375
PAQR6	-1.48625
UBE2I	0.72525
C14orf28	0.548
C8orf70	2.442
FLYWCH1	-0.301
ANGPTL3	-1.2615
GLRX2	-0.226166666666667
ATP11A	-1.01807142857143
ARL5B	0.39225
MUC16	-2.5945
SLC25A5	-1.02857142857143
ACRC	-0.892
MYO1C	0.098125
FAM89B	1.224
FAS	0.78325
KIFAP3	1.1985
GLRA2	-0.213
BTN3A2	-1.9701
CNKSR3	0.10225
CSTF3	-0.5705
ARPM1	1.66925
KIAA1530	0.515
C9orf150	2.0785
PRKCI	0.32275
tcag7.1015	-1.96675
SOD3	0.64275
ZNF574	0.1725
CYP21A2	0.68275
RPL12	1.07675
