Hybridization REF	TCGA-A2-A0YK-01A-22R-A109-07
OTUB2	-0.15975
VWA3A	-0.3065
SPIC	1.30933333333333
OR6C4	0.051
PSCD4	2.4045
DPY19L2P2	0.1555
TRAPPC6A	0.539
C21orf2	-0.175
CEMP1	-0.287
LIN7B	0.514
E2F7	-3.53466666666667
VCP	0.021125
LAMA3	2.37775
BGN	1.693
GPR160	1.81916666666667
COCH	-3.46633333333333
GPR81	1.806
APOBEC3F	-0.35275
tcag7.1017	-0.56525
C1orf32	0.1225
SCGB1D2	6.8625
FLJ43987	-0.169
C6orf170	0.5035
KLK9	0.206
GPD1L	1.18325
VPS37B	0.652
ATG3	-0.0945
ADAMTS17	-0.2085
KLHDC2	0.68
NDUFV2	-0.8225
BLK	0.90875
MATN4	-0.6375
GPM6A	1.006625
GBP4	4.4715
TMEM162	0.211166666666667
PKP2	0.228
HRASLS	0.718333333333333
MMP1	-4.97375
SFXN3	-0.4023
FSD1	-2.1005
ST6GALNAC3	-0.4585
CA12	2.1938
NCOA6	0.07725
C19orf58	-0.4616
PPP4R1	0.0531666666666667
MAN1A2	0.16
IKBKAP	-1.55
UPF1	-0.042
KIAA1219	0.69175
WNT16	-0.0683333333333333
SNW1	-0.088875
IL18RAP	4.299
RPP30	-0.45625
CDC40	0.255714285714286
SETD3	0.403833333333333
SLAMF6	2.78025
ELK4	-0.604
TRIM47	0.667
ACOX3	1.301375
TRIM6	0.368625
KIAA0372	-0.1325
TP53AP1	0.04025
SMURF2	-1.04725
ADAD1	0.227
EBP	-1.5025
KRTAP13-2	0.12
FLJ36874	-0.219666666666667
TOR1A	-0.143333333333333
P2RY4	0.614
GPBP1	0.0915
TRPV1	0.264375
ADAMTS12	0.409166666666667
PES1	-0.3123
ATG4A	0.717166666666667
MAGEA10	-4.7525
WFS1	1.19375
CC2D1B	-0.734166666666667
PABPN1	-0.305
SLC25A30	0.1695
SLCO1C1	1.0915
SLC22A5	0.543
KIF23	-3.2885
SYN2	0.1065
ASPN	8.18483333333334
CENTG2	0.12975
QSOX2	-1.1496
FLJ10815	-0.231
STK24	0.00775
SPEG	0.4478
STK10	0.870666666666667
DACT2	1.6315
AAAS	-0.7565
SSX3	-1.998125
ABCD3	0.6247
C4orf12	0.48975
PARVG	1.996
FIG4	2.70425
C9orf46	0.5995
TMCO6	-0.5645
IGHMBP2	-0.12975
DUS2L	-0.572
FAM3C	0.064
TMEM16D	-1.612
DCTN4	0.646
KCNH3	0.01725
EIF2AK2	0.646
AP1S3	-0.202375
CST4	3.061
PAM	0.5150625
NUTF2	-0.66425
CITED2	1.0495
SLC39A4	-0.33625
C2orf52	-0.713
GRM3	-0.046
C12orf49	0.631
CCDC49	-0.0735
GRAMD1B	-1.034125
FNDC4	0.767
SIAH2	0.153125
GDPD4	0.8765
C21orf87	-0.164
ATP5A1	0.00816666666666667
C16orf63	-0.71825
LOC388135	-0.337166666666667
ATP5J2	-0.612
MMP3	0.7335
EMID2	-0.651
CRHR1	0.30825
WDR70	-0.254
C13orf31	1.30375
ZFAND1	0.1505
CCL18	3.78916666666667
C3orf49	0.2775
RINT1	-1.646
KIAA0408	-0.513166666666667
F13A1	5.1424
SLC10A1	0.168833333333333
OGN	3.72725
GIPC2	-0.300166666666667
XPO6	-0.642333333333333
LCE1A	0.577
FMR1	-0.00699999999999999
LOC374920	-0.48675
DUSP3	-0.03975
ANKMY1	0.387
C7orf50	-0.19375
BBS9	0.1159
UNC119B	-0.0673749999999999
C9orf72	0.2925
MGC35440	-0.486
ENTPD6	0.089
PPP1R2P9	0.48275
ERCC4	-0.154
FAHD2B	0.0715
HMHA1	1.281
HACL1	-0.108
RAD23A	-0.749
FAM83B	-1.36325
PPP5C	-0.788333333333333
RNASEH2C	-0.1895
C9orf153	-0.8765
SCAMP4	0.371
GHITM	0.2466
NDUFB7	0.199
ADCYAP1	2.931
SP110	2.33066666666667
MAP3K7IP2	0.27575
DHH	0.083
AGRN	0.106214285714286
WDR33	0.206833333333333
CEP290	-0.795333333333333
PRPS1L1	-2.2675
KLRA1	0.3045
GPR97	-0.1115
CHD7	-0.84375
TLR10	3.90125
SLC30A8	5.402
HIC1	2.09666666666667
IAPP	-0.208
RXFP4	0.0805
GP1BB	0.53625
SHQ1	0.3205
NKX2-3	0.389833333333333
API5	0.113
FTHP1	0.4435
MOV10L1	0.821
TRIM6-TRIM34	1.711
ADHFE1	1.59175
FAM117A	0.305
DDI1	-0.0546666666666667
CDON	0.0873333333333333
TRIM73	-0.825
IGKC	5.0505
MMP14	-0.866916666666667
DYNC1LI1	0.344875
C11orf66	0.34725
TRBV3-1	0.20675
FASTKD5	-0.10475
BIVM	0.14775
LHX4	-0.7165
CXCL2	1.9516
RAB2B	-0.00133333333333331
IZUMO1	-0.554
MAP3K15	-1.928
FAM19A2	0.2695
ZC3H8	-0.818166666666667
ZMAT1	2.1095
SPINK5L3	-2.164
SLC10A6	1.2515
APPL2	0.507875
CARD10	-0.105
LOC402176	0.091625
EEF1D	0.5756
RAB6A	0.4946
C12orf5	-1.359875
PAPOLG	0.73175
MSRB2	0.46525
BCR	0.979611111111111
PUS3	-0.606
TIAM2	0.40175
ZNF317	0.380833333333333
CHD2	0.299
FZD5	-1.60081818181818
NUDT8	0.234
ZNF763	0.713
PRC1	-2.56488888888889
ABCB9	0.429166666666667
SPATA3	0.02075
TRAK2	1.65425
STAB1	2.966125
LRRTM2	0.774333333333333
psiTPTE22	0.7135
DBI	0.81025
SERPINA11	-2.54875
NAT5	-0.46725
C20orf58	-2.638
RPS6KA4	0.682833333333333
FLJ90650	0.8245
TGFBRAP1	0.0345
CHRDL2	0.790875
FAHD2A	-0.173333333333333
CNTN1	1.16475
BBS4	0.0307
TMEM181	0.0505
MINPP1	-0.74325
MPHOSPH6	-0.0525833333333333
HOXC10	0.7485
ITPKB	0.977625
CLPTM1L	-0.227125
MEOX2	2.59466666666667
ATP6V0C	0.30175
PRPF8	-0.0653333333333333
TMC5	3.06925
FKBP3	-0.81575
PLEKHB2	-0.102125
OR4D6	-0.1015
ZNF544	-0.451
D2HGDH	0.75075
RPL18A	0.0572
HEL308	0.010875
MPP6	-2.63125
TCERG1	-1.09
KRT16	-0.0826666666666667
KLF17	-0.72625
KLF5	1.645375
CDR1	2.727125
VCX3A	-3.3755
FBLN2	2.42625
C14orf104	-0.4655
HBE1	-4.5413
OR4S2	0.551
C1orf108	0.296
ROBO4	3.931
CPEB4	0.583375
C11orf80	1.85133333333333
BCKDHA	0.926666666666667
MYOC	3.20175
GIF	0.267
CKMT1A	1.1325
RPL3	1.3361
THBS1	1.88825
APOO	-1.3785
ARMCX1	1.56175
HSZFP36	1.23475
SNAPC5	-0.43925
EIF4ENIF1	0.73975
ZNF433	0.639
TNFRSF21	-0.204625
TMPRSS7	-0.725
SPATA18	2.0566
HPDL	-2.7945
MKL2	1.2385
TBX3	1.01553846153846
C21orf93	0.1985
DAXX	-0.12
ELMO1	1.32325
RGS13	3.6335
TAF11	-0.6315
UNC13A	-1.952625
LOC653314	0.1657
ORC3L	-0.11325
IMAA	-2.5265
TARBP2	-0.56925
CABIN1	-0.1787
TRIOBP	0.3421875
HIST1H2AC	0.11
RGS22	-1.89666666666667
NCOA1	1.83833333333333
IL25	2.003
SNCG	1.591
GPR6	0.902
AMDHD1	-1.97233333333333
CHEK2	-1.187875
C6orf142	0.92725
DRD4	0.32425
C14orf68	-1.25325
GDF11	-2.06175
SEMG2	0.203
CD247	1.724
CDAN1	-0.34575
RBMX2	-0.0913333333333333
TGS1	0.00600000000000001
OIT3	0.81725
SYF2	0.40525
MCM4	-2.17
PKHD1L1	1.22225
CEP192	-0.7425
IFT88	1.06175
RPL9	0.268071428571429
RAB32	0.10975
DDX43	-1.251
P2RX2	0.0501666666666667
OR5D18	1.1045
UBE1	-0.524833333333333
SLC24A1	0.1695
ARHGAP5	0.035
CETP	0.9545
KIAA1731	-0.857833333333333
SLC9A4	0.162
PTPN6	1.63275
BAHD1	0.0325
GRIK3	-0.0655
CACNB2	-0.3309
PDE10A	-0.65875
DGCR14	0.01425
PCDHB9	-0.0183333333333334
RHOQ	0.647333333333333
MAP3K4	0.33325
KTI12	-0.503166666666667
RPL23AP13	0.03675
GNG11	0.28075
CLCN3	0.7925
GPAM	0.991375
VSTM2A	0.1025
SLAMF7	3.96833333333333
INTS2	-1.69275
PPP2CA	-0.1308
LRP12	-0.478266666666667
SEC14L2	2.06255555555556
DKFZP586H2123	4.47325
MC3R	-0.0555
CIRH1A	-1.1815
HIST1H2AB	-0.667166666666667
POLH	-0.428625
MGC16703	-1.95733333333333
SNAPC2	0.0635
FILIP1L	1.93225
RASGRP4	-0.022
LRRC1	1.56375
GAS1	1.491
PRAC	-0.714
DGKA	0.477166666666667
NT5C3	-0.39375
PEG3	-2.35316666666667
NADK	-0.8285
PRR17	-0.13475
LOC374569	0.00925000000000002
SGSH	0.213666666666667
NLRP8	0.8145
GALT	0.0282
MCF2	-0.8085
ZNF263	0.17075
TACSTD1	0.573833333333333
TYR	-6.5377
ATP6AP2	0.14625
RNUXA	-0.33075
ABHD10	-0.1121
GDPD2	-1.21875
SLC35C1	0.11625
UBE2A	-0.01625
HERC5	0.3485
FAM112B	-3.84033333333333
FBXL16	1.14875
DKFZP434A0131	-0.64675
ELA3A	-2.8775
RBM41	-1.437875
HAO2	1.04125
RNH1	0.3385
SHANK2	2.46266666666667
OSBP2	-1.83975
DAK	-0.6245
C3orf58	1.0485
TCL1B	0.2465
KBTBD2	0.019
SUGT1L1	0.4795
UBE2E2	0.439166666666667
MYL9	2.690125
CDC23	-0.903666666666667
PBXIP1	1.0569
CXorf40B	0.6285
NBL1	1.1075
RTBDN	-0.115
RAB11FIP5	0.659
TTTY13	-0.7295
SCOTIN	0.0665
SOHLH1	-0.638833333333333
CDKN1A	0.357142857142857
NCK1	0.3655
ZNF550	-0.37175
SAPS3	0.186583333333333
SPIN3	0.0666666666666667
MAGEE2	0.753
MIS12	-0.470833333333333
OR8H2	-0.3515
KIAA0774	-0.428
UNC5D	-1.8835
CUL7	-0.592333333333333
LIPC	-1.84683333333333
DIO1	-2.5035
C20orf11	0.0682
CTRL	-0.66375
HS3ST2	1.7265
PAK4	0.673666666666667
CCRL1	3.1875
RNF10	0.302875
ZNF567	0.1885
ZNF660	0.2045
TCEAL3	0.7535
MAGOH	-0.254833333333333
CENPB	-0.205166666666667
C19orf7	0.29775
LOC388965	-0.0355
ZCCHC13	-0.0745
JMJD1A	-0.5516
HIST1H4H	-0.489
TBRG1	-0.3222
GPC3	-2.229
TAF1C	-0.7915
EBNA1BP2	-1.05283333333333
CIAPIN1	-0.61
PDGFRA	0.460055555555555
CSTB	-0.6615
CENPI	-2.6085
GTF2E2	-0.665666666666667
RPP21	-0.5655
CCNF	-1.52516666666667
KCNQ3	0.5465
FAM79A	1.52875
SLC22A12	0.306
NOVA1	-0.0458333333333333
FZD3	-0.2026
AKAP8	-0.5285
SOCS5	0.895
CFDP1	-1.0515
DLG5	0.08075
PGM5	1.63425
C1orf144	0.0566666666666666
HDAC10	-1.4925
RND2	-1.1975
C20orf199	-1.1455
RNMT	-0.773125
SLURP1	0.272125
ASTN1	0.13075
SH3BGR	2.58075
MYCL1	-0.09475
ZHX1	0.499333333333333
CENPK	-3.5045
FOSB	2.8176
LOC643406	0.330625
C2orf59	-1.106375
TMEM135	-0.495375
SLC27A2	-1.55775
KRT33A	2.048
OVOL1	1.25575
PAMCI	-0.755333333333333
S100A7	-0.5795
ZNF789	-0.8275
HARS2	0.202
RPL23A	-0.572166666666667
TCF23	-0.259
UPF3B	-1.799
C17orf78	0.8655
HLA-DOB	2.09033333333333
C14orf142	-0.0898333333333333
TEKT5	0.916666666666667
DMWD	0.189
POLD1	-1.549
GSCL	0.1345
CALD1	0.9222
SCRT1	0.0381666666666667
AIG1	0.2845
UNC84B	1.0125
ZNF404	0.77025
TMED6	-2.05275
KIAA1462	0.813
LRRC27	1.113
PYGO1	-0.5585
PIGU	-0.529666666666667
ALAS2	-3.62333333333333
WRNIP1	0.34075
CNNM3	0.038
ZNF2	0.508
ST3GAL5	0.908833333333333
MRPL23	-0.11525
TSSK6	0.11625
PSMA6	-0.876
C16orf70	-0.24625
KIAA1602	0.1145
ALMS1	0.0683333333333333
DCN	3.421625
TMEM132D	-1.4575
SUCLG2	0.765
ABHD14A	0.64725
DEXI	0.555666666666667
AMPD2	-0.973
IFNAR2	-0.111
CYB5A	1.6062
TLOC1	1.05245
NXF5	-0.8045
NRBF2	0.399375
KCTD3	1.03225
ITGAE	-1.23333333333333
SLC30A3	-1.63216666666667
ZRF1	-1.3945
IFRD2	-0.346625
XAB1	-0.36725
PYCR2	-0.566166666666667
SERPINB3	-4.994
TMLHE	-0.145
GEFT	-0.791625
ABCA5	-0.23
EMR4	0.417333333333333
TSFM	-0.9065
HIST3H2BB	-0.928
ARHGEF19	0.13875
TSPAN17	-0.0786666666666667
ABCC8	3.48975
MAP1S	0.013
C22orf36	0.989
BNC2	0.165928571428571
HIST1H4A	-1.062
NDUFS3	-0.462833333333333
WDR3	-1.01233333333333
XKR4	0.581
TTC33	-0.282857142857143
STMN2	4.25275
CPN2	-0.986833333333333
HSPC105	0.820375
PCOLCE2	-1.22425
C3orf55	1.4115
KLHDC9	1.07616666666667
TBC1D23	0.186875
ATXN2L	-1.44966666666667
MAP2K3	0.093
SCAP	0.06675
ZNF486	0.381166666666667
C20orf96	-0.16625
NARS	-0.50525
ADAMTSL1	-0.527857142857143
PRCC	0.535666666666667
CCDC126	2.461
ZNF675	-0.11875
CALCOCO1	1.03325
ANKRD43	4.31725
CWF19L2	0.433833333333333
ZBTB32	2.3955
BRAF	-0.20025
ODF4	0.122
MGC14376	0.7015
HORMAD1	-1.56816666666667
AAK1	0.152166666666667
PEBP1	0.296916666666667
TNFSF5IP1	-0.0698333333333333
DKFZp564N2472	0.2215
RMND1	-0.523875
IGKV1-5	4.7245
COL1A2	2.54683333333333
SERPINA5	-1.68475
AANAT	0.151
C19orf21	-1.25783333333333
GEMIN5	-0.42325
UBR4	-0.141
LTBP3	1.1165
AMHR2	-2.78683333333333
PROCR	-0.706
MYBBP1A	-0.98525
C20orf39	0.916833333333333
ZNF697	-0.37675
PASK	-0.3015
ZNF776	0.4235
RFXDC2	0.321625
KIAA0467	0.76375
C10orf96	-1.162
ZNF503	-0.676
GULP1	-0.501083333333333
KCNE4	-0.363
DKFZp434K191	-0.4685
LOC196913	-0.6165
BHLHB4	0.432
CH25H	3.236
LOC81691	-1.159
ALPL	1.13928571428571
COL12A1	1.275625
FOLR3	-1.69783333333333
GPR123	0.162625
TRIM62	0.391
ABLIM1	0.935166666666667
MAST3	0.54425
RHBDD1	0.911
LOC338809	-0.5455
RYBP	0.41625
TTC26	-0.974
ZNF22	0.432666666666667
ISCA2	-0.39275
RDM1	-3.208
PIGM	0.3725
GNB3	-1.5205
ACTR2	0.201777777777778
HMGB1	-0.15175
EDG1	4.44216666666667
SOAT2	-3.1715
OR10AD1	0.675
RAP1GDS1	0.333666666666667
LCE1F	0.232
ESM1	-1.629625
RCN3	2.02225
CREBL1	-0.498
DBNL	3.46944695195361e-18
PTGER3	2.3535
USP30	0.0156666666666667
BCL2L12	-0.9505
KIF26B	1.103
ZNF416	0.76375
ZNF225	0.0995
C17orf70	-0.2675
ZNF554	0.0355
RAE1	-0.892333333333333
TNIK	0.851833333333333
ACTN3	0.442
MGC45922	0.4725
CCNA1	0.036
RYK	0.689666666666667
IL26	-0.266
LRP3	0.737
QARS	0.6165
SOX7	1.51657142857143
BID	-0.5545
OR2S2	0.161
CXCL14	4.8545
C11orf47	-0.572
MGC29891	0.295833333333333
HSPB8	1.0268
PRDM14	-2.4155
NUFIP2	0.1695
MNAT1	-0.610625
ZDHHC2	-0.174583333333333
MBNL2	0.580875
ADD3	0.5995
CSNK2A1P	-0.484
KLK6	1.021
TMEM111	-0.1327
KIAA1279	1.088
NUBP2	-0.191
RAB42	-1.71275
ID3	-0.0871
TM9SF1	0.1075
MDP-1	-0.7255
POU4F2	0.50025
IQCK	1.59075
C16orf14	-0.571
CAPN3	-0.859
FAM43B	0.09075
RECQL	-0.315
AP1G1	-0.483571428571429
CTNNBL1	0.0848333333333333
ECHDC1	-0.6655
SMARCC1	-0.2983
FOXQ1	-1.808375
GNAI3	0.158
POLG2	-2.04075
CD4	1.779375
ITLN1	2.328
EBI2	5.976
IRF1	1.6525
PTPRE	1.775
PTK2B	-0.359
NXNL2	-1.3415
SOX4	0.3155
TSPAN3	-0.3445
SH2D1A	0.0718333333333333
C8orf58	-0.243666666666667
USP20	-0.37825
DUSP22	-0.0665
CALB1	-2.25983333333333
L3MBTL2	1.37066666666667
MCRS1	-0.3515
TMEM118	-1.99183333333333
C18orf8	0.415166666666667
FLJ10241	0.05925
GJA12	1.2565
PKD1	-0.0805
ZFP3	0.631
JAM3	-0.10325
LAPTM4A	1.0054
DIRC2	-0.0975
KIAA2022	1.64616666666667
MYOM1	2.28716666666667
TRPM8	-2.23466666666667
MOP-1	0.8195
PHKG2	-0.283
ZNF650	0.429125
KIAA1522	1.47
PSG8	-1.668
DDX19B	-0.216
MOBKL1B	-0.0835
DIAPH2	-0.112166666666667
PTPN12	-0.08775
CLN8	-0.5302
CRYZL1	-0.163166666666667
CRY2	1.387
FCGR2B	4.36216666666667
PNPLA4	1.29225
ZNF454	1.1765
DKFZp434B1231	0.2925
CLDN11	0.3625
RFWD2	0.763833333333333
CIB2	-0.3535
MXRA8	3.012
HRK	-0.83025
MAML2	0.958
C4orf31	-0.0665
C6orf192	-0.0585
COG6	0.68125
FAM5B	0.02925
NFATC1	0.989
SEPT10	-0.00950000000000002
SCYL1	-0.05
RPP40	-1.29825
SCOC	0.2694
KIAA1450	1.13975
CTDSPL2	-0.543
TBX5	2.4605
NAPG	-1.01725
RHD	-4.3415
C14orf45	2.6055
ZBTB22	0.568
PLCG1	-1.0095
ANKRD10	-0.3245
AQP7P2	3.3005
TAGLN2	-0.00649999999999999
HTR2C	-1.11266666666667
SLC16A7	0.654833333333333
C17orf83	-0.50125
TSGA14	-0.515
MDH1	-0.684
PPP3R2	0.0331666666666667
DCBLD2	-2.34435714285714
RBM33	-1.2405
DPH3	-1.7935
SYT10	-1.74133333333333
FMO4	2.505625
THYN1	-0.58425
DRD5	-2.108
OTOR	1.0655
PGRMC2	0.4159
KATNAL1	-0.42925
PAQR6	-2.10325
UBE2I	-0.44475
C14orf28	0.2855
C8orf70	0.09175
FLYWCH1	-0.3605
ANGPTL3	-1.45575
GLRX2	-0.8125
ATP11A	-0.695928571428572
ARL5B	-0.198375
MUC16	-1.365
SLC25A5	-0.737857142857143
ACRC	-0.4965
MYO1C	0.129625
FAM89B	1.046
FAS	1.1475
KIFAP3	0.75525
GLRA2	-0.4905
BTN3A2	1.4417
CNKSR3	0.066
CSTF3	-0.907
ARPM1	0.56575
KIAA1530	-1.265
C9orf150	2.0555
PRKCI	-0.62275
tcag7.1015	-1.14025
SOD3	1.98975
ZNF574	0.30375
CYP21A2	1.82575
RPL12	0.59175
COMMD2	-0.80025
WIZ	0.06775
LOC344405	-1.238
ALDH4A1	-1.23970588235294
CRYAB	3.73175
COPA	0.488566666666667
PCDHGA7	0.262
KIF11	-1.664
RASD2	0.726375
SLC26A3	2.4745
ZNF175	0.5545
JAKMIP2	-0.892125
C8orf4	1.16733333333333
PTHLH	1.44825
SLC40A1	3.1465
OR7D4	0.295
PCDHB17	0.44
CD36	4.65385714285714
C6orf203	0.2478
PRKG2	0.3115
LOC400566	0.79375
ANAPC13	0.7885
SLCO3A1	0.10925
ZNF692	-1.4305
FANCL	-1.5435
SH3GLB1	0.53325
C12orf61	-0.7455
KBTBD6	0.5695
SUPT5H	0.377
XRCC6	-0.174
HUS1B	0.1746
FAM133B	-0.383928571428571
LOC728276	-0.382
KCTD18	0.96775
SOS2	0.989166666666667
CCDC99	-1.8785
C1QTNF5	3.209
NNAT	2.64233333333333
USP16	0.3145
LARS	-1.16025
ZBTB2	0.611375
ABO	0.190666666666667
TRAF3	-0.04825
GALNT5	-2.1795
NAP5	0.831
ALG14	0.566833333333333
KIAA0515	0.0862307692307692
WDR75	-0.920333333333333
TEX261	0.20575
LY86	1.8635
LOC389072	0.0615
FLJ13611	0.09425
MRGPRX2	0.563
SNRPA	-0.712625
OR2G2	-0.0615
GPRASP2	1.1005
C7orf42	0.781
C9orf163	-0.7545
CYP11B2	-0.4945
FCRL3	2.95533333333333
PRDX1	-0.9495
FGB	-6.048
COX17	-0.3785
C16orf33	-0.5655
PIWIL1	0.0738333333333333
FOLR1	-1.32633333333333
KIAA0082	-0.84225
FREQ	-0.902666666666667
TMCC2	-1.44983333333333
TCF12	0.15075
ZNF721	0.286
FAM130A2	1.9095
POU4F1	-2.24925
SNRPF	-1.70425
SGIP1	1.27766666666667
ZNF641	1.22216666666667
EMG1	-0.841625
PRRG4	0.606
HIRA	-2.617
MYNN	0.477833333333333
AEBP2	0.01475
TBXA2R	0.735333333333333
ISL2	-1.48433333333333
PCDHB11	0.3065
RNF144A	-0.5245
MARCH5	0.516875
DULLARD	0.137
DCLRE1B	-0.333166666666667
ITGA8	1.91025
TP73	-0.25525
PRKCD	1.32425
NDUFB4	0.028
ATP13A4	3.261375
ANTXR2	0.0681666666666667
COL4A3	0.5955
MYO10	-1.7028
SLC6A18	0.09225
PEX1	0.026
TMEM74	-0.820333333333333
RBM19	0.155
TAPBP	0.66325
RUNX1	0.63825
MID1	0.30575
GPR64	0.821166666666667
RASEF	1.83
GABRG1	-0.12725
MYO16	-0.774
DBF4	-2.03433333333333
TSHZ2	3.62075
RIPK2	-0.381625
PPTC7	0.0975
KIF4B	-1.454
LRRC31	1.7555
ZNF540	2.81
EFNB3	0.1785
LOH12CR1	-0.20025
STON2	0.650833333333333
GLP1R	0.707
CSTF2T	0.341875
IREB2	-0.74975
GRSF1	0.12575
PDCD7	-0.374333333333333
LRRC43	0.379
CNR1	1.92783333333333
IL1F7	-0.652
C12orf64	-0.43825
FAM69B	-0.31375
NR2E1	-2.15816666666667
MS4A6A	3.3809
FTL	-0.3644
C7orf36	-0.3625
PCLO	0.4558
DYRK2	0.988333333333333
ARIH2	-0.311125
SAMD7	0.4445
SCNN1D	-1.07775
SLC32A1	-0.162375
C22orf25	-0.0136666666666667
MRPS18A	-0.1567
GPR112	-0.4705
EARS2	-0.5115
ERN2	0.2805
ATPBD3	0.197333333333333
PRH2	-0.212
CDKN2D	-0.423
PGLYRP2	0.185
TRIM40	0.81725
SEC14L3	-0.576833333333333
SLC22A1	-0.172
BTN2A3	-0.053
RASA4	1.06
CCNL2	-0.8995
MYBPC3	0.5095
GJA4	3.71925
CDC42SE1	1.340625
TRPV2	-0.4085
MYPN	-4.4672
SIM1	1.6985
CDADC1	0.188333333333333
ZFHX4	1.28825
NIBP	0.5295
ADAMTS19	-0.7975
ABTB2	-1.02925
TSPYL2	-0.144875
EIF2S3	-0.2215
SOX30	-0.13975
AP2A1	-0.798333333333333
DKFZP564O0523	0.671166666666667
LOC285398	-0.01175
CDH18	-5.369
CHL1	3.394875
GATS	-0.4051
TBC1D2B	1.1135
OR1J1	0.1335
GSN	3.01466666666667
DPCR1	-0.10825
GARNL4	-0.960666666666667
SMARCA5	-0.74775
PLEKHG3	0.941333333333333
ZBTB45	0.853
FRMD6	0.832833333333333
PLS1	-1.06
DGKZ	0.2775
EFNA1	2.0009
WDR85	-0.57875
ANK2	1.42325
PAGE4	-1.34566666666667
SENP6	1.40066666666667
AKR7A2	-0.0453333333333333
FKBP10	-2.52025
VEGFC	-1.059
LARP1	-0.5249375
SRBD1	0.22425
ITGB6	3.69
SLC1A2	-0.870285714285714
INVS	-1.28666666666667
MPO	1.11725
MOBKL3	0.111
CUTL2	-0.162875
KLK2	0.341333333333333
VIM	0.11575
REG1B	-0.203
PCDHGC4	0.1275
C3orf34	-0.5435
SUMO3	0.1925
CST9L	-0.58975
MLL4	0.013
SPR	0.332166666666667
SAMD9L	2.166
ABCE1	-0.29325
SUPT3H	-1.03316666666667
ACTBL1	-1.59525
ADAMTS4	0.730333333333333
SLIT3	3.448
RHEBL1	-1.15325
NPM2	-0.55875
MAN1C1	1.699375
KIAA1856	0.540833333333333
HSPA6	1.691
LOC388152	-1.3245
C10orf140	-0.08825
ZDHHC12	-0.416
LIN7A	-1.1253
PHC2	0.427333333333333
SPHK1	-0.33325
TRIM26	0.3798125
FAM83E	0.324
C18orf24	-2.28833333333333
ZNF578	0.420833333333333
ORAI1	0.11075
RUVBL1	-0.881916666666667
C7orf20	-0.5205
APAF1	-1.1745
SLC36A4	-1.879
MYH11	4.57483333333333
NEK1	0.8446
MPP2	-1.036375
C12orf24	-3.13325
TNK2	0.264375
ZNF289	0.35625
MATN3	-1.03185714285714
IFNGR2	1.306
ITPR1	1.51475
EBF3	4.0707
TBC1D20	0.1674
OR10P1	0.0105
DDAH2	1.0635
SHPRH	0.306125
STX7	0.001
LOC554248	-1.91125
BCAR1	0.06625
ATXN3	-0.285916666666667
TRIM27	-0.22175
CDC42EP2	0.522
CHP	0.0187857142857143
SOX17	2.635875
ZNF259	-0.882
CHCHD1	-0.257875
ZDHHC19	0.531
GBP2	3.2735
GARNL3	1.988625
MRC2	0.53525
C1orf52	-0.82125
AOF2	-0.5815
LRPPRC	0.0974
ACVR1C	2.775
TM4SF18	3.61733333333333
TMEM169	-0.5585
PPP1R16A	-0.138375
EBF1	2.673
RRS1	-0.940666666666667
SNX2	-0.09
OR2T2	0.566
RBX1	-0.246
ANKRD54	-0.0798333333333333
TSNAX	0.318
TMEM83	-2.2195
ZBTB7A	0.83375
ATM	-0.290666666666667
LOC338328	2.64933333333333
TIE1	1.82633333333333
HIST1H3G	-0.684666666666667
PASD1	-4.62533333333333
TINAG	0.6385
PCDHAC2	0.0675
LRRC15	0.7755
WBSCR17	-0.8335
TFF2	1.1045
PARP2	-0.969
NDFIP2	-0.487375
PCDHGB2	-0.172
WDR60	-0.31175
MAP7D2	-1.8826
USP45	-1.43775
GSDML	-0.3255
TNS1	0.4413
PLCD4	0.72125
IQCD	0.362333333333333
SMPX	-2.18525
CD9	0.8955
SRGN	2.156
CASP7	0.711125
INOC1	0.0371666666666667
DKFZp451M2119	-1.12175
VMAC	1.3075
USP53	1.2565
CAMK1G	-0.520625
TMEM106A	0.584
CDC20	-2.379
ACSL5	1.25866666666667
CBWD5	-0.692625
C1orf87	-0.741333333333333
KIAA1274	2.13625
PRUNE2	-1.1195
LYPLA2	-0.295833333333333
DOK6	-1.06033333333333
GPR149	-0.04375
FAM30A	4.4295
TMEM129	-0.03025
SLC35B3	1.00225
ACPP	0.5175
LOC200261	-0.8275
SLC4A7	1.0596
CCDC40	1.442
GART	-1.357625
THOP1	-1.76575
SCARB1	-0.948375
CACNA1F	0.109
TRIAP1	-0.491
SYT14L	-0.611
SFRS8	-0.104166666666667
PBOV1	0.1555
GOLSYN	1.9355
GJB7	-0.777
CAMK2N1	0.918
GREM1	2.13983333333333
FLJ20433	0.77375
QPCT	-2.528125
PRKAG2	1.52533333333333
H2AFX	-1.99225
C6orf154	-0.22175
PLOD3	-1.11525
ZBTB39	-0.264333333333333
WASF3	0.313166666666667
DRG1	-0.3515
PRR4	0.8165
SPCS1	-0.34825
KDELR3	0.118
SRP19	-0.520666666666667
GABRA6	0.66175
MFSD1	0.6735
MMEL1	2.0305
PDXDC2	-0.4523
BUB1	-4.03888888888889
RNF138	-0.745625
MYLPF	-0.168166666666667
AIF1	1.77966666666667
DYNLRB1	0.1325
HCN3	-1.78716666666667
HIST1H2AI	-0.87625
MAP4K5	0.306083333333333
LASP1	0.471125
LOC130951	0.79
PLAA	0.405125
KRT6A	0.545
