Hybridization REF	TCGA-BH-A0BV-11A-31R-A089-07
C20orf12	1.9935
CAB39	0.3535
MSH2	-1.11683333333333
PIP4K2C	-0.003875
CYLD	0.762
WTAP	0.461125
MGAT4A	0.577333333333333
TSC22D4	0.4587
CHRM2	-0.3335
PPYR1	-0.263
CCNH	-0.306
RRM1	-1.294
ECAT8	-4.019
LOC400120	0.43775
GABRA4	0.629125
C14orf4	0.729833333333333
C1orf59	-0.487
CTDSPL	1.3695
NHEDC2	-0.602
PDE11A	0.506
KLHL29	2.235
CD5	-1.811
TSPAN9	1.0621875
WDR67	-1.73575
THUMPD1	0.7425
C18orf17	0.278
CLYBL	0.353
FLJ13231	-0.40075
CMBL	-0.4965
LECT2	-0.1765
NKAPL	3.81916666666667
LOC654780	0.2195
OR4C6	0.0025
RAB30	0.469333333333333
TSSK4	-0.34
TMEM163	1.8305
OSBPL11	0.166
GNB5	-0.706333333333333
CCL21	2.1745
C1orf121	-0.426333333333333
FMO2	4.0775
RPTN	-0.224
MSTN	1.137
VCL	0.608642857142857
FYTTD1	0.281
C11orf1	0.236
CCDC88C	0.023
HFE	-0.271611111111111
MOGAT1	0.106
FAM125B	0.777166666666667
IRGQ	0.309
RAVER2	1.18775
AKAP5	-0.4015
SSSCA1	-0.82
C11orf63	1.408
ACTG2	3.47
PORCN	-1.4415
DTL	-3.52390909090909
TMEM151	-0.229
FAM122C	-0.61625
RSAD2	1.3206
BAT4	-0.431
KRTDAP	-0.615666666666667
MYH8	0.1325
CRTC3	0.3565
LRRFIP2	-0.1371
INTS4	-0.351166666666667
TTN	-0.722833333333333
SLC26A5	1.6755
PLLP	0.98225
RGS6	1.3925
SRGAP3	1.280375
ZNF525	0.343833333333333
NBR2	-0.389
C13orf1	-0.1876
ZNF137	0.4605
CEP27	-1.85375
BEST2	-0.174
RNF121	-0.31625
DMRTC2	0.17375
C8orf76	-0.253
BCCIP	-0.01625
MEST	1.51825
HTRA2	-0.4915
ANGPTL2	1.477
ILKAP	0.0703333333333333
ERAS	0.167
HBS1L	-0.128875
CPA5	-0.18
TMEM30A	0.6925
CD300LF	1.07016666666667
WISP3	4.9065
CRK	0.552571428571428
PDS5A	-0.3705
BRPF3	0.28
NEDD9	1.508875
SMPDL3B	1.495
PSG6	-1.1265
PSMD13	0.0685
ETV5	-0.089375
OR51A4	0.18
BTBD7	0.781166666666667
GSTO1	-1.25775
hCG_16001	-0.1005
MAD2L1BP	-0.5885
COX6A2	-0.182
SCNN1A	1.8255
LSM1	-0.1755
UGT2B11	-0.32575
IDUA	0.40825
PPP2R3C	-0.487666666666667
COX11	-0.627833333333333
PDZK1	1.7895
ZNF443	0.6645
MGC21874	1.199
ZNF323	1.6451
KRTAP10-10	-0.0005
CXCL6	1.826
SLC34A2	3.008
LOC284402	1.0705
NPTN	1.04016666666667
UPP1	-2.45958333333333
SLC6A9	-0.461
OR7G3	-0.3965
CISD1	-1.13566666666667
ZNF545	0.5145
SYT14	-1.0045
NT5C3L	0.0535
ZNHIT3	-0.428166666666667
SNRPD3	-0.8115
KIAA0701	0.129875
UNC93B1	-0.575333333333333
GMNN	-1.092125
SPCS2	-0.00383333333333334
LOC388524	-0.5605
NAPRT1	-0.62625
PNLIPRP1	-0.296
OR6V1	0.081
PRKAB1	-0.0785
EYA4	-3.58666666666667
KIF20A	-3.28075
ALG10	-0.82125
ITPKC	1.84316666666667
LMX1B	0.702166666666667
RPUSD4	0.0398333333333333
C7orf34	0.313833333333333
DLGAP2	0.69775
PFN1	-0.6436
MICALL2	-1.035
ZNF654	0.2995
SS18L1	-0.56475
SLC16A8	1.138
MKI67IP	0.0111666666666667
ITGB3	-1.197125
TCEA3	1.63008333333333
CEP152	-2.0475
CLIP1	0.964
ZNF75	0.5679375
ATP5C1	-0.174
NUDT5	-1.51633333333333
PSCDBP	-0.3475
UBP1	-0.295
RBM27	-0.1265
C13orf15	3.272125
ZNF282	-0.104166666666667
ZNF222	0.1603
COL10A1	0.65775
PRDM15	-0.34725
TTTY5	-0.225
FAM9C	-0.381909090909091
C20orf67	0.18
GNG13	-1.207
F12	-1.3035
C1orf41	-1.178
CPXCR1	-0.1515
GSK3A	0.055
SUPT6H	-0.141166666666667
PI16	4.18883333333333
ELL2	-0.03275
C9orf167	-2.114
PVRL3	-1.2641
FLJ38596	0.90725
ADAM20	0.55875
GPR89A	0.0695
GPR87	0.668
ZNF30	0.329
SMR3B	0.9425
ZNF770	0.406375
TRPC4AP	-0.3475
DKFZP686E2158	0.301
C2orf28	0.0691666666666667
FREM1	3.45316666666667
LAMA4	1.14216666666667
ADPRHL2	-0.2205
EIF4G2	0.114166666666667
GUCA1A	-0.248
CTNNA2	-1.315875
NUDT15	-0.324666666666667
CEPT1	0.503833333333333
ZNFX1	0.2232
CCDC92	1.07525
TDRD1	-0.4875
KCNK5	-0.429
ETNK1	0.213166666666667
LTA	0.056
TTPA	0.391
B3GALNT2	-0.54875
SC65	-0.5675
PEX5L	-1.417875
EPS15L1	-0.19925
MGEA5	-0.17825
HIST1H3A	-0.0125
ING1	0.045875
BCAT1	-4.03025
ORC6L	-3.85236363636364
KLK11	-0.0138333333333333
C19orf28	-2.06125
DNER	-3.747875
MED22	-0.435714285714286
ETV6	1.92066666666667
CHAC2	-2.5105
CD300E	-0.148
CEBPB	1.04233333333333
ZNF398	-0.22225
LRCH3	-0.046
HMGA1	-2.55166666666667
CAPN7	0.395833333333333
MGC5566	-3.5395
CCL3	2.557375
NANOS1	0.72725
ZFYVE19	-0.06675
APITD1	-0.776166666666667
PARD3	1.45775
IRAK4	-0.360166666666667
SERPINI2	-1.172
CEP170L	-0.116
TTC9	2.28225
MYOM3	-0.59775
MLPH	0.70975
LOC222699	-0.566
NRG1	0.4755
TBC1D9	3.01854545454545
TTK	-3.20683333333333
ZNF557	-0.1539
DDX41	-0.972333333333333
FANK1	1.932
UBE2D2	-0.24475
PSMB10	-0.01275
MYH7B	1.101
GABARAPL2	0.105125
MARVELD2	1.289
DGCR2	0.801666666666667
UNC45A	0.0506666666666667
C6orf72	0.6745
ZNF683	2.47125
GIT2	0.300375
CASK	0.687333333333333
C14orf161	3.35366666666667
LRRC44	-0.75225
TIFA	1.014
UTP11L	-0.49175
C6orf65	-0.7325
FDPS	-0.896
DUSP9	-2.2294
SLC17A8	0.0398333333333333
OR51G1	-0.0275
NANS	-0.78425
OLFML1	2.00025
ATP10B	-1.2145
NPAS3	1.58375
PRKCA	-1.9816
GGA2	-0.015
LCE4A	0.42
SPANXN3	0.1955
CCDC115	1.619625
SDCCAG3	-1.018
GLIPR1L1	0.05575
TTC1	0.03225
C17orf76	0.066
MAD2L2	-2.02175
HIPK1	0.2447
LRRC3B	3.5555
CLN3	-0.463954545454545
C17orf47	-0.134
FMN2	-0.632875
TUBB1	-1.39875
WAPAL	0.0571666666666667
C3orf21	-1.048375
SCN5A	-0.2018
SMYD1	3.20175
BEX5	1.173
ZNF192	0.026
SEC22A	-0.0755
GRIA2	3.0885
KIAA0825	-0.65775
NUSAP1	-3.43572727272727
LANCL1	0.103375
C15orf40	0.0222
ZNF645	0.22175
GPR61	0.1155
NLRP14	0.033
SNX21	0.2599
C1QTNF8	-0.2825
C17orf46	0.54875
IFNA8	0.462
SPRR1B	-1.75766666666667
FLRT1	-1.0135
SNX17	0.251
ASB2	-1.40133333333333
HBG1	-5.635
RPRML	-1.029
JOSD2	-0.116166666666667
PLSCR3	0.807
SPOCD1	-1.80083333333333
RAB39	-0.3885
GHRH	-0.158333333333333
ITIH5L	0.39475
C17orf37	0.05375
SMCR8	-0.0795
DPY19L2P3	-0.633833333333333
IL11RA	2.37383333333333
GDF3	-4.28216666666667
RPS6KB1	-0.781583333333333
DNAJC19	-0.1594
TOP1	-0.09475
CRCT1	0.01275
MPST	-0.074125
DPM2	-0.751625
FAM38B	-0.603
SLC18A1	-2.8415
FARP1	0.54
PAX7	-0.249
TUBD1	-0.8375
GNL3	-0.491125
BTG2	2.21213333333333
NDUFS6	-1.19525
C1orf79	-1.6075
ERAL1	-0.439
ECHS1	0.632
VPS4A	-0.461666666666667
CYP11A1	0.43125
ABCC6	-0.712285714285714
PBX4	-1.38
MOSC1	1.312
NCF4	-0.01375
HYMAI	0.6705
NAGPA	-0.7565
OTOP2	0.279
ACOT12	-0.15175
MTHFD2L	0.35425
LOC441376	3.60575
C19orf34	-0.4655
RAB1B	-0.0295
ALDOAP2	-1.821
NTRK1	-0.6545
ARTS-1	1.7786
SLC6A11	-1.1595
NAP1L2	1.2585
CNGB1	-0.352166666666667
EPB41L4B	1.62808333333333
FAM134B	1.7845
HS3ST3A1	-2.29683333333333
CPXM2	5.8775
SIRPB2	1.1225
CHORDC1	-0.901833333333333
TRIB3	-1.64833333333333
SLC2A5	0.181
C2orf49	-1.13966666666667
DDX5	-0.0225
OR5L1	-0.527
ANAPC4	-0.107833333333333
ZSWIM1	-0.041125
LOC93622	-0.365875
KCNK3	1.2716
RP11-35N6.1	0.125
ZFP161	0.5205
AQP9	1.41025
SLC15A2	0.973333333333333
MREG	-0.0203333333333333
OR9I1	0.0615
PDLIM2	0.280625
ADAM7	0.236
GSTCD	-0.5975
WDR21A	-0.127125
SLC12A8	1.61383333333333
TMEM174	-0.098
IGSF3	0.780833333333333
LRRN1	1.22
LOC402117	0.14225
SRPK1	-1.39433333333333
LY6K	-0.047
NFIA	2.856
PTCD3	-0.886
LEP	3.84916666666667
PCDH21	-0.7835
MAPKAPK2	0.124642857142857
NMNAT1	-0.631666666666667
LHFPL2	1.865375
C9orf43	0.2055
DIP2A	-0.6215
ACTR8	-0.0735
CCDC34	0.52575
PTPN22	-0.43475
ITGA3	0.038625
FAM129C	-0.0115
RABGGTA	0.139833333333333
UNC45B	0.468
KIAA1033	0.246375
ZNF510	0.4295
CYP2D6	-0.815833333333333
SLC26A10	-0.327
STX8	0.11875
LUZP1	0.396125
WDR89	-0.131333333333333
EIF4G3	-0.3272
C5AR1	0.741375
ZNF623	0.1065
A2M	2.10325
TGM7	0.1315
GRPEL1	-0.67
LMNB2	-1.8467
ROCK2	0.355833333333333
SNX16	0.906375
CCDC66	0.6295
ANXA3	2.3555
KIAA1609	-0.07225
EED	-0.45125
RNF32	0.09
HES1	2.3949
CLC	-0.0306666666666667
ISL1	-1.01566666666667
KIAA0528	0.228
MANEA	0.8285
C1orf61	-0.782
hCG_2001000	0.18125
RAPGEF6	-0.0174
KIAA0020	0.019
NEIL1	1.7975
C16orf45	0.196375
RBM10	-0.421833333333333
C10orf125	-1.02975
MRS2L	-0.97125
DNAH17	-1.053125
C19orf10	-1.0535
C1orf160	0.05075
SLFN12	1.13275
EXOC3	-0.0348333333333333
HIST3H3	0.446
NCOR2	0.628166666666667
TNFRSF9	-0.627
MFSD8	0.0455
ALX1	-3.4765
NOL1	-1.438
PODN	2.571
TIAL1	-0.79475
HIST1H1E	-2.194
NPY6R	0.289
TM4SF4	0.3575
CORO2A	-0.4835
ETNK2	-0.0211666666666667
APOE	-0.251
ANGPT4	0.049
HDGF2	-0.3555
G30	0.901
ST8SIA4	-0.6745
F2RL1	1.1725
FAM19A4	-2.9165
CCAR1	-0.82725
B3GNT7	-0.14725
OPHN1	-0.0129
DSCR6	-0.0785
C21orf13	1.1495
GAS2L1	0.678166666666667
RFX3	0.615833333333333
COPS4	0.337625
BCHE	-3.52516666666667
BCL2	2.86375
HBZ	-3.28883333333333
ARL13B	0.38475
MAPBPIP	0.109625
MYO15B	0.295375
SPZ1	0.659
KIAA1324	3.72588888888889
PLCL2	0.7285
C4orf29	-0.39825
WDFY2	-0.184875
ZNF284	-0.7945
NAALADL1	1.455
DUSP5	0.867166666666667
PXDN	0.639375
SLMO1	-0.64325
TNXB	0.6824
BIRC7	-2.25825
A4GALT	0.715666666666667
TIMM22	0.11825
FAM110C	1.03025
TOMM34	-0.828375
ABHD9	0.883
ADAM32	2.4305
CRHBP	1.785
AQP2	0.011
LOC130355	0.85125
ZNF187	0.728333333333333
ZNF816A	0.403
F7	-0.33525
CNOT1	-0.5193
SLC13A4	-1.29525
ZBTB11	0.153
B3GALT5	1.7875
EXOC2	0.720166666666667
IRS1	1.2041
TMEM1	0.146166666666667
MRPL34	-0.574
SAMM50	-0.11975
CDC42EP3	0.449125
HSF2	-0.1195
MFN2	0.176
TSPAN7	0.255
NUCB1	0.0836666666666667
RHOH	-0.0585
ARL16	-0.078
TACR1	-0.23775
SFRS5	0.2445
SNX25	-0.253375
RHBDF1	0.649666666666667
PCDH18	4.57516666666667
HMG1L1	-0.743
MYO5C	1.491375
MAPK10	1.5365
LDHAL6A	-0.173
NUDT12	1.24533333333333
NCAM1	-0.42725
GLIS2	-0.179
GGTL4	0.119
DAPP1	-0.23625
ATF7	0.86
KIAA0748	-1.76875
NFIL3	0.5325
TM6SF1	0.4287
SEZ6	-0.148
NANOS3	0.3595
DNAJA3	-0.605666666666667
CLDN6	-3.144
CIITA	1.7544
EPHA4	0.711083333333333
FANCC	-0.51675
CMTM3	0.714125
PSG3	-0.62275
MRPL15	-0.771
C21orf59	-0.28175
PLCXD2	-0.57475
C2orf34	-0.122875
UBE2L6	0.303875
MED14	-0.537666666666667
HP1BP3	-0.0646
C6orf208	-0.093
TPBG	1.038
OSR2	0.594625
XPC	0.374
KLHL7	-0.386333333333333
CCR3	-0.317833333333333
AGTPBP1	-0.497166666666667
PCSK6	0.565266666666667
STAT5A	0.3103
FAM18B	0.687
LONRF2	1.953
PTPN2	-0.30475
SF3A3	-0.7805
EFCBP2	-0.76475
HCFC1	-0.124833333333333
AHNAK	1.0469
ACTR5	-0.622
KIF14	-3.83771428571429
TENC1	1.54025
HEATR5B	1.2875
YIPF2	0.369333333333333
MYEOV2	0.086
DUSP18	1.09875
KIAA1012	0.4715
AHR	1.0975
C17orf53	-2.18183333333333
PTPRH	-2.4955
ATP6V1C1	0.0723
TAS2R3	-0.2765
LOC440356	-0.96075
COQ10B	0.9795
PSMF1	0.226666666666667
SORBS2	3.4855
NFE2L2	0.775
TMCO7	-0.44975
SH3PXD2A	0.7479
SH2D2A	-1.94625
SPINK5	-0.57775
MRPS24	-0.716
OPA3	-0.484875
TRAF7	0.0751666666666667
C4orf35	-0.0933333333333333
MT1G	-0.07525
MGC39545	0.4105
HS1BP3	-0.0973
OR2B2	-0.031
CHRM4	0.2195
SFRP2	2.38783333333333
RIC3	2.271
ART1	-0.0755
C6orf1	-0.311125
DUS4L	-0.8585
C10orf104	0.80225
TNFAIP6	2.8615
RTEL1	-1.74225
CCT4	-0.55
ZNF709	0.73175
CHMP6	0.008
UPP2	0.3415
CYP19A1	-2.173125
CD151	-0.0901666666666667
NDUFA13	-0.640166666666667
ARFRP1	-0.854833333333333
FAM26B	1.64825
CRYBA1	-1.969
MRPL41	-0.776333333333333
NPFFR2	-0.41725
HRH2	-0.063
SCAMP3	-0.725
MTMR6	0.8325
MTG1	-0.981
UBTD1	0.539
CRABP1	2.0235
FLJ33790	-0.4686
KIAA1908	0.302166666666667
GPR158	-2.2605
PACSIN3	0.0306666666666667
OMD	3.43116666666667
CATSPER1	-1.74366666666667
HOXB8	-1.224
FBXO46	0.626
OAS1	0.566666666666667
SVIL	0.92275
PHB2	-0.2095
ADCY3	0.4
NDRG2	3.80616666666667
ERMAP	1.5073
APBA2	-0.468166666666667
IGSF9	1.30025
WNT6	0.776928571428572
MYCBPAP	1.3605
ATP2B2	-0.4146
CPVL	-0.691
TRAM2	-0.826333333333333
NOP5/NOP58	-0.75125
ZNRF4	-0.4005
TLK1	0.42525
MTMR12	0.760714285714286
ZNF384	-0.2245
FAM9B	-3.374
RPN1	0.1172
PMVK	0.321
EIF3D	0.5501
SIX2	-1.3645
HPS1	0.375642857142857
RNF7	0.20125
PSKH2	-0.0545
KCTD13	-0.481833333333333
CSMD3	-0.242
FBF1	-0.6195
IL8	-4.983375
SERPINB13	0.128916666666667
FBXL20	0.0115
BLR1	0.053
SH2B1	0.3655
RFNG	0.14525
RAB20	0.332666666666667
RBM7	0.70625
POLR1A	-0.556333333333333
TMPRSS4	-3.42525
TAF9	-0.767125
TERF2	0.494666666666667
TNFRSF1A	0.631583333333333
ACADVL	0.431166666666667
GTF2H5	-0.0525
EDG8	0.1985
C9orf140	-1.636875
UST6	0.08675
ZBTB8OS	-1.277
ZNF710	0.3885
GPR174	-0.6175
ATP6V0A2	-0.6905
KIAA0319L	-0.072
XKRX	0.635
DOPEY2	0.0106
SDHD	0.00550000000000002
SUMF1	1.4345
OSM	2.0415
OPN3	-0.959
DAGLB	-0.5975
PPFIBP1	0.3073
TRIM63	-3.98225
C10orf53	-0.3355
LYPD3	1.27866666666667
BCL7A	0.63875
AGER	-1.263
TCF19	-1.716
SAT2	0.829
PFTK1	-0.360666666666667
GABRE	-1.04075
C15orf38	0.4077
FIS1	0.152
KCNV2	-0.3325
CLPS	0.03675
PPCDC	-0.883625
FOXN2	0.289166666666667
NT5E	-2.6455
CD83	0.44375
IL18	-0.248875
VPS16	-0.3665
IGFBP2	0.379333333333333
NOTCH2	0.8445
SIGLEC1	2.252625
CD93	5.2135
SULF2	-0.78575
CEP164	-0.32
P53AIP1	1.87466666666667
TOR2A	-0.473
ZNF136	0.7995
MGP	3.5243
CCDC144A	0.6365
TRPC1	-0.1435
SMS	-1.08283333333333
MAPK7	-0.3155
RRAGC	0.56025
PARD6A	-0.733
NUB1	0.239666666666667
SYNGR4	-0.41325
OR11H12	0.425
WIF1	3.988125
GCH1	-0.257
OR11H4	0.0125
SLC44A5	-0.5555
GPRIN2	2.469
LOC401431	0.61425
CPA4	-2.0756
MELK	-4.239
IL15RA	0.79825
CUL3	1.193625
HMBOX1	0.55325
PODXL	-0.501
CCT6B	1.10416666666667
COMTD1	-1.335
MUC20	1.9395
GPX2	-2.609625
ITK	-1.886375
FBXL5	2.16425
C13orf27	-1.62325
DEFA5	0.703
TRHDE	0.109
MTP18	-1.48383333333333
UQCRQ	-1.0514
ITGB2	0.755166666666667
CSRP2BP	0.41325
TAS2R44	-0.248
PHPT1	-0.264125
FAM44C	-0.04075
ERH	-0.9325
MPHOSPH1	-1.71933333333333
MORC1	-0.8505
PARVB	-1.052
LAMA1	-0.415833333333333
PGBD3	0.27925
GIMAP6	4.02375
AREG	2.3605
LIPT1	0.67025
MGC99813	-1.23875
C1orf201	0.0538333333333333
GRIN2A	-0.6361
MAN2C1	-1.084625
NSUN5	-0.976
SF3B5	0.024
MYC	0.917625
NRXN1	1.14425
ZNF18	0.3155
SPDYA	-0.31825
SLC37A1	0.71
DECR2	-0.263
ANKRD38	1.609375
SPTLC3	-0.327166666666667
SUPT16H	-0.568125
DTWD2	0.0775
ULBP1	0.138
ZADH1	0.205
OIP5	-3.95025
IL10RB	0.5215
OTUB2	-0.062
VWA3A	0.126666666666667
SPIC	0.289
OR6C4	0.0925
PSCD4	0.859666666666667
DPY19L2P2	-0.3515
TRAPPC6A	0.495666666666667
C21orf2	-0.114333333333333
CEMP1	-0.0675
LIN7B	0.2515
E2F7	-3.46983333333333
VCP	-0.1884375
LAMA3	3.205
BGN	-0.5315
GPR160	0.3865
COCH	-4.20816666666667
GPR81	2.14183333333333
APOBEC3F	-0.011
tcag7.1017	-0.892
C1orf32	-0.203
SCGB1D2	6.39375
FLJ43987	-0.0785
C6orf170	0.94025
KLK9	0.055
GPD1L	1.166125
VPS37B	0.924
ATG3	-0.214833333333333
ADAMTS17	-0.2255
KLHDC2	0.570833333333333
NDUFV2	-0.75275
BLK	-3.5735
MATN4	-0.776
GPM6A	0.9125
GBP4	2.7565
TMEM162	-0.199833333333333
PKP2	0.485
HRASLS	-0.0897777777777778
MMP1	-6.36275
SFXN3	-0.3099
FSD1	-2.59716666666667
ST6GALNAC3	-0.613833333333333
CA12	2.0974
NCOA6	0.116
C19orf58	-0.5671
PPP4R1	0.355
MAN1A2	0.2975
IKBKAP	-1.13075
UPF1	0.0601666666666667
KIAA1219	0.761
WNT16	0.310166666666667
SNW1	-0.00625
IL18RAP	1.791
RPP30	-0.339125
CDC40	0.269428571428571
SETD3	0.525833333333333
SLAMF6	-0.697
ELK4	-0.4495
TRIM47	0.281166666666667
ACOX3	1.415375
TRIM6	0.4575
KIAA0372	0.127833333333333
TP53AP1	0.351125
SMURF2	-0.16525
ADAD1	0.02275
EBP	-1.5385
KRTAP13-2	0.203
FLJ36874	-0.474833333333333
TOR1A	-0.255166666666667
P2RY4	-0.293
GPBP1	0.17225
TRPV1	-0.048125
ADAMTS12	0.870333333333333
PES1	-0.4445
ATG4A	0.347
MAGEA10	-5.1495
WFS1	0.9925
CC2D1B	-0.494166666666667
PABPN1	-0.70125
SLC25A30	1.5305
SLCO1C1	0.944
SLC22A5	1.07975
KIF23	-3.5705
SYN2	0.736
ASPN	6.28366666666667
CENTG2	0.2335
QSOX2	-1.5609
FLJ10815	-0.015
STK24	0.1315625
SPEG	0.8003
STK10	-0.556833333333333
DACT2	2.4705
AAAS	-0.68175
SSX3	-1.528875
ABCD3	0.4925
C4orf12	0.585125
PARVG	-0.379166666666667
FIG4	1.04625
C9orf46	0.71075
TMCO6	-0.009
IGHMBP2	-0.27175
DUS2L	-0.576833333333333
FAM3C	0.4264375
TMEM16D	-0.86825
DCTN4	0.83325
KCNH3	0.55925
EIF2AK2	0.33175
AP1S3	0.189375
CST4	-0.3565
PAM	0.8218125
NUTF2	-0.772
CITED2	0.1754
SLC39A4	-0.798
C2orf52	-0.7275
GRM3	-0.25725
C12orf49	0.100875
CCDC49	0.3331
GRAMD1B	-1.540875
FNDC4	1.45525
SIAH2	-0.340375
GDPD4	-0.21675
C21orf87	-0.024125
ATP5A1	0.093
C16orf63	-0.327375
LOC388135	-1.02166666666667
ATP5J2	-0.93325
MMP3	0.88875
EMID2	-0.615
CRHR1	0.0055
WDR70	-0.0345
C13orf31	0.96625
ZFAND1	0.66775
CCL18	3.84816666666667
C3orf49	-0.0995
RINT1	-0.546
KIAA0408	-0.281166666666667
F13A1	4.9626
SLC10A1	0.124333333333333
OGN	4.6405
GIPC2	-0.2125
XPO6	-1.063
LCE1A	0.131
FMR1	0.0958
LOC374920	-0.036
DUSP3	-0.057
ANKMY1	0.01175
C7orf50	-0.73025
BBS9	-0.000800000000000045
UNC119B	-0.128875
C9orf72	1.286625
MGC35440	-0.684
ENTPD6	-0.030875
PPP1R2P9	0.205
ERCC4	-0.2425
FAHD2B	0.047
HMHA1	-0.9575
HACL1	-0.396
RAD23A	-0.925833333333333
FAM83B	-0.0145
PPP5C	-0.510666666666667
RNASEH2C	-0.408125
C9orf153	-0.31325
SCAMP4	0.5725
GHITM	-0.0095
NDUFB7	-0.032125
ADCYAP1	-0.836166666666667
SP110	1.069
MAP3K7IP2	0.703
DHH	-0.3715
AGRN	0.507642857142857
WDR33	0.046
CEP290	-0.2865
PRPS1L1	-2.69833333333333
KLRA1	-0.175
GPR97	-0.112
CHD7	-0.62225
TLR10	1.522
SLC30A8	0.7175
HIC1	1.85333333333333
IAPP	-0.3505
RXFP4	-0.209
GP1BB	-0.26825
SHQ1	0.052
NKX2-3	-0.64
API5	-0.191
FTHP1	0.022
MOV10L1	0.998
TRIM6-TRIM34	1.80533333333333
ADHFE1	2.15575
FAM117A	0.559
DDI1	0.0941666666666667
CDON	0.678666666666667
TRIM73	-0.244
IGKC	4.2255
MMP14	-0.838
DYNC1LI1	-0.127375
C11orf66	1.04675
TRBV3-1	-1.47575
FASTKD5	0.1005
BIVM	-1.0505
LHX4	-0.176
CXCL2	3.2471
RAB2B	0.00916666666666666
IZUMO1	-0.56
MAP3K15	-1.22975
FAM19A2	0.626
ZC3H8	-0.0605
ZMAT1	1.70675
SPINK5L3	-2.75925
SLC10A6	1.498
APPL2	0.764625
CARD10	0.3045
LOC402176	0.358
EEF1D	0.6862
RAB6A	0.1301
C12orf5	-0.495625
PAPOLG	0.98225
MSRB2	0.31625
BCR	0.567944444444444
PUS3	-0.18175
TIAM2	0.81925
ZNF317	-0.0846666666666667
CHD2	0.311
FZD5	-1.39918181818182
NUDT8	-1.2685
ZNF763	0.849
PRC1	-2.86811111111111
ABCB9	0.247
SPATA3	-0.25175
TRAK2	1.22075
STAB1	2.676875
LRRTM2	0.609166666666667
psiTPTE22	-0.15925
DBI	1.01625
SERPINA11	-0.42375
NAT5	-0.251
C20orf58	-3.0295
RPS6KA4	-0.582166666666667
FLJ90650	2.18175
TGFBRAP1	-0.0605
CHRDL2	-0.053125
FAHD2A	-0.127833333333333
CNTN1	1.34775
BBS4	-0.2174
TMEM181	0.2705
MINPP1	0.4845
MPHOSPH6	-0.0461666666666667
HOXC10	-0.4165
ITPKB	0.37875
CLPTM1L	-0.691375
MEOX2	2.4475
ATP6V0C	-0.011
PRPF8	-0.483333333333333
TMC5	0.52275
FKBP3	-0.887
PLEKHB2	-0.5035
OR4D6	-0.202
ZNF544	-0.3731
D2HGDH	-0.19175
RPL18A	0.0509
HEL308	0.37275
MPP6	-1.58525
TCERG1	-0.9565
KRT16	1.267
KLF17	-0.87475
KLF5	2.42325
CDR1	3.356
VCX3A	-3.446
FBLN2	2.306125
C14orf104	0.1455
HBE1	-5.1916
OR4S2	0.16
C1orf108	-0.160666666666667
ROBO4	3.672
CPEB4	0.923
C11orf80	-0.0133333333333333
BCKDHA	0.204166666666667
MYOC	3.702
GIF	-0.781
CKMT1A	0.834
RPL3	1.2893
THBS1	1.557
APOO	-1.466
ARMCX1	2.118
HSZFP36	1.256
SNAPC5	-0.37225
EIF4ENIF1	0.55125
ZNF433	0.879
TNFRSF21	0.903875
TMPRSS7	0.4985
SPATA18	2.1902
HPDL	-2.424
MKL2	1.27
TBX3	1.66176923076923
C21orf93	-0.595833333333333
DAXX	0.106
ELMO1	0.502625
RGS13	1.47316666666667
TAF11	-0.37375
UNC13A	-2.42475
LOC653314	-0.2797
ORC3L	-0.312
IMAA	-3.603
TARBP2	-0.9425
CABIN1	-0.4141
TRIOBP	0.2336875
HIST1H2AC	0.0185
RGS22	-0.954166666666667
NCOA1	1.63333333333333
IL25	1.8025
SNCG	1.498
GPR6	-0.1405
AMDHD1	-0.450166666666667
CHEK2	-1.15525
C6orf142	1.401
DRD4	-0.16425
C14orf68	-1.71225
GDF11	-2.11675
SEMG2	0.094
CD247	-1.72725
CDAN1	-0.715
RBMX2	0.266
TGS1	0.04375
OIT3	-0.16
SYF2	0.65225
MCM4	-3.359375
PKHD1L1	0.894
CEP192	-0.0961666666666667
IFT88	0.76625
RPL9	0.566642857142857
RAB32	0.095
DDX43	-1.16125
P2RX2	-0.0666666666666667
OR5D18	0.0265
UBE1	-0.09
SLC24A1	0.913375
ARHGAP5	0.86275
CETP	-0.56425
KIAA1731	-0.423666666666667
SLC9A4	0.324
PTPN6	0.323
BAHD1	0.44325
GRIK3	0.1235
CACNB2	0.0273
PDE10A	-0.36525
DGCR14	-0.16475
PCDHB9	0.9235
RHOQ	1.12866666666667
MAP3K4	0.24175
KTI12	-0.630833333333333
RPL23AP13	0.26825
GNG11	0.5145
CLCN3	0.760666666666667
GPAM	2.13525
VSTM2A	0.0705
SLAMF7	1.85366666666667
INTS2	-0.8655
PPP2CA	0.1822
LRP12	0.603666666666667
SEC14L2	2.14788888888889
DKFZP586H2123	4.807
MC3R	-0.0975
CIRH1A	-1.09216666666667
HIST1H2AB	-0.989166666666667
POLH	-0.457875
MGC16703	-2.036
SNAPC2	0.0925
FILIP1L	2.4125
RASGRP4	-0.0285
LRRC1	1.32025
GAS1	2.70175
PRAC	-1.1225
DGKA	0.0451666666666667
NT5C3	-0.66375
PEG3	-1.46683333333333
NADK	-0.94825
PRR17	-0.8605
LOC374569	1.011
SGSH	0.349666666666667
NLRP8	0.7775
GALT	0.3844
MCF2	-0.57
ZNF263	0.514
TACSTD1	1.28133333333333
