Hybridization REF	TCGA-A8-A09E-01A-11R-A00Z-07
SBF1	-1.3965
TAS2R42	-0.8785
USP46	0.457833333333333
LILRB3	1.95883333333333
SPI1	0.51375
OXSM	0.01775
GYS2	0.284666666666667
NUPL2	-0.71625
C8orf46	-1.492125
SF3A1	-0.36445
C21orf99	0.31225
HOXB4	-0.365
YRDC	-1.043
GPRC5D	1.215
BLVRA	1.794375
KIF12	4.302
LRRC23	0.837
FAM14A	-1.65333333333333
RASL12	0.353875
DAZAP2	1.63075
IKBKB	0.556428571428571
ZNF271	0.2185
BOK	-1.00575
CXorf6	-2.98825
MYEOV	0.15675
BTN2A2	-0.3033
FRG1	-0.6395
HSP90AB6P	1.3385
ENOX1	1.7215
ZNF706	0.9367
DOK1	0.6515
PGAP1	0.577125
TMEM136	-1.302
FSCN1	-2.396
KIF17	-0.37275
TRIM66	-0.109
CBR3	0.1075
C13orf24	-0.159833333333333
C19orf52	0.57875
BNIP1	1.356
AQP3	1.41925
KRT6C	-2.08833333333333
SIRPA	0.0441666666666667
IGFBP6	-0.301333333333333
PLEKHK1	-1.1745
RNASE7	0.0365
ARHGEF15	0.775
NPHS2	0.38025
SRD5A1	-1.4055
REXO4	-0.61375
EEF1DP3	0.10775
SLC37A2	-0.001
ZNF142	0.1305
ANKHD1	-0.343
MUT	0.398
VPS37A	0.46725
GPRIN1	-0.418
SLC38A3	-1.1145
BAZ2B	1.01025
WDR87	-0.0995
BRD7	0.24475
POU6F2	-0.847
NISCH	0.95025
TCEB1	0.088
LINGO2	-2.888
TAX1BP3	-0.27925
RPL34	-0.450111111111111
MARK2	-0.3155
AKAP12	-1.7835
AMBN	0.1695
SLC25A27	-0.822
FLJ21865	-0.2685
KIR2DS2	0.204833333333333
WDR77	-1.10575
ATF2	-0.4385
ITFG3	0.4505
SLC39A13	0.458
ARL6IP5	1.876125
C10orf137	-0.8075
QTRT1	0.112333333333333
CCNT1	-0.041
DYNLL1	0.5579
WDR53	-0.2175
LIPG	-1.45083333333333
ASAH3	0.66
HELB	-1.4815
PHACTR2	-0.139625
VENTX	-0.86625
LAD1	1.28116666666667
PAOX	1.02125
MAPK8	-0.53
CCDC38	-0.24725
DNAJC8	-0.3334
RBBP8	-0.02
WNT11	1.3702
KCNJ12	-1.35883333333333
HDAC8	0.547666666666667
STARD4	-3.3345
ACVR1	0.255
C14orf65	-1.1525
KLB	-1.229
C1orf65	2.31825
ZFYVE28	-0.7905
NSUN6	-0.142
KIF27	0.526833333333333
SYTL2	-0.802
UBXD2	0.7975
OR6T1	0.621
CCDC91	0.927357142857143
GRID2	0.6685
CALN1	-0.961375
ZNF423	-0.07925
PSMB4	0.3345
XPNPEP3	0.512333333333333
ARPP-21	-2.8733
SART1	-1.46725
RACGAP1P	-0.5745
SPTA1	-5.33325
C6orf113	-0.706833333333333
C7orf16	-3.15375
CHST7	-1.08983333333333
C21orf29	-0.0178333333333334
SEMA6D	-1.65925
PCMTD1	2.1505
KIAA1754	-1.08766666666667
MYCN	-1.1569375
KCNJ3	4.7555
MAPK13	2.5646
ERO1LB	-1.64375
NTF3	-2.47716666666667
NKX6-2	0.0695
GTF2B	-0.4145
GSPT1	0.235666666666667
GUSB	-0.385
LOC221091	-1.4565
LIG1	0.1435
EXTL3	-0.144333333333333
NID2	-1.60975
TTC29	-1.6105
TMEM97	0.000500000000000002
EXTL2	-1.92083333333333
SUZ12	0.292375
IL1F8	0.1115
KRT18	0.855545454545455
MRPS16	-0.955
PI4K2B	0.121
LACRT	0.983
OR51F2	0.599
JMJD2C	-0.704
KGFLP1	1.022
CDK5RAP3	0.0672
YTHDF2	0.419833333333333
GGCX	0.190875
ARPC4	0.32225
EGLN2	2.17233333333333
KBTBD4	0.671428571428571
ROBO3	-1.2548
DEFB118	0.3505
KIAA1543	2
RTCD1	-0.785166666666667
MZF1	-0.11275
C18orf26	0.181
CNIH4	0.738833333333333
ZFP2	1.9675
HTATSF1	0.5125
WFDC2	0.09325
NDUFA7	0.1995
TTC22	0.144833333333333
FAM40B	-3.03525
DCPS	-2.2295
SH2D1B	-1.7265
MRGPRE	0.858
SBK1	0.97375
UNQ6411	0.38
OSBPL9	-1.623
NUP107	-1.3045
MYOZ3	-0.0943
PDE4B	-0.29825
FAM113A	-0.0145
IDH3G	0.177166666666667
FBXL7	1.07825
ARFGAP3	0.56825
MAPRE2	-1.90515384615385
IL1RN	0.8655
KIF13A	0.19325
RAC3	-0.6125
TCTE1	-0.5825
TMEM14B	-0.006
ADIPOR1	0.860333333333333
GRINA	1.7705
CLIP4	-2.07875
LRIT2	0.286
TFPI	-3.49592857142857
FABP6	-1.68175
SLITRK2	-0.0516
HKR1	0.65725
SMTN	0.43975
C1orf75	0.396
CD209	0.62825
CYB5R2	-0.303
DNTTIP2	-0.774
CSGlcA-T	0.331125
GABRB3	-3.1115
PCBD1	1.05116666666667
TAF3	0.49875
HOXD3	0.374833333333333
GIPC3	0.00933333333333336
P11	0.3369
BFSP1	-0.057
LCP2	-0.27775
TAS2R8	0.398
SEZ6L	2.965
NR2C1	-1.028625
EXDL2	1.7369
TNFRSF13B	-2.22566666666667
MKI67	-1.7425
GLS	-0.304666666666667
C7orf54	-0.507
LGALS13	-0.18
IL4R	0.697
SEC11A	-0.180833333333333
SPP2	0.6505
C18orf32	0.87925
CLSPN	-1.308
SPAG1	1.722625
C9orf82	-0.47325
TM4SF1	-1.39266666666667
EMILIN2	-0.50275
SMG7	0.251666666666667
TAS2R13	0.5525
ZNF628	0.405
DZIP1L	0.669833333333333
ANKRD13A	-0.3344
VASP	0.81925
ZCCHC11	-1.5435
SYPL1	0.225375
MGC34774	-0.14125
C4orf28	-0.6995
KIAA1211	-0.243166666666667
RPS27L	1.55025
TATDN3	-0.231
PDCD1	-0.538
OR5P2	0.365
IFIT1L	0.5005
MIPOL1	0.8545
OR51D1	0.38975
C1orf92	-1.16816666666667
LAMP2	1.53616666666667
CAT	1.0705
C16orf80	-0.34875
C15orf32	0.7175
ZNF746	0.21275
C1orf76	-1.156
ATXN1	-0.07525
LAMC2	-1.473875
SLC2A7	-0.08
CPOX	-0.88925
APH1B	2.16966666666667
LOC442245	0.045
CTNND1	1.17105555555556
GABRG2	-1.103625
MADCAM1	1.82283333333333
F5	-3.3185
SEMA4F	1.086
NUDCD3	0.927
PDZD11	0.88
TRIML1	-0.0975
GCNT3	-2.61666666666667
TMEM120A	0.74925
CNDP1	0.6165
N4BP1	0.2395
SLC35F2	-2.634
LCP1	0.153833333333333
IGBP1	-0.2211
DCAKD	0.89725
ELA2A	-0.983
C12orf56	-2.70575
PITRM1	1.12914285714286
GUK1	0.478666666666667
RASSF8	-0.3191875
OR2A14	0.1575
ADM	-3.362
FGD3	1.08466666666667
GHRHR	0.549666666666667
RHPN2	0.568
C4orf39	-1.63316666666667
VPS72	0.086
SERF2	1.551
CD22	1.314
CD47	0.074
PPIC	0.950666666666667
IMPDH1	-1.22116666666667
ACP6	0.848833333333333
PRKACA	0.458375
PPP1R1A	1.0175
TRPV3	0.194
ASXL1	-0.676875
C17orf55	0.508833333333333
FXYD1	-0.249
LMOD2	-0.0445
ANKRD33	0.5755
LCE2C	-0.31
ZNF620	0.353
DKFZP566E164	-1.76225
VSIG2	-0.48675
KIAA1128	0.91325
USO1	-0.127666666666667
NUDT4	0.183857142857143
CLDN1	-2.12407142857143
OR4Q3	0.3435
FASTK	-0.236333333333333
ICOS	0.496333333333333
LDB1	0.4315
GSTA5	-0.9385
ABCC1	-1.217
FAM54A	-1.48825
PCBP2	-0.944833333333333
NUP205	-1.2115
ACTA1	1.22533333333333
GABBR2	-2.59325
PIP5K1B	-2.30383333333333
AGXT	-1.8015
RNF181	0.548
ATP8A2	-1.1255
AFTPH	1.314875
FGF21	0.49125
FCER1G	1.620625
SNTB1	-2.73075
SLC24A3	1.934
TXNL4B	-0.2681
RPL10L	-0.5005
LOC389517	-0.31435
TSGA13	0.471
SHOX2	-0.8985
ITGA7	-0.6198
KCNIP2	0.2545
KLF13	-0.0602
ZFAND2A	-0.40775
CEACAM1	2.85235714285714
PFKFB4	-1.81183333333333
MED19	0.5455
LRRC57	0.9965
RNF11	0.26875
ANKRD32	-2.3855
P117	0.91975
OBFC2A	-1.57783333333333
POLD3	-1.69416666666667
RAB18	1.749
TPH2	0.138166666666667
PHB	0.1173
JDP2	0.366
MORF4L1	-0.3189
POU2F1	-0.1185
CNNM2	-1.0595
LOXHD1	0.7394
ZC3H15	-0.31825
ELK3	0.339166666666667
FAM111B	-0.11975
CBLC	3.55066666666667
SBNO1	-0.28175
ANKMY2	0.25975
PLEKHA5	0.65675
DHX58	2.70966666666667
ARCN1	-0.5375
TREML1	0.0739
KNCN	1.0705
SEC24A	-0.65775
PSCA	-0.024
MGC24125	0.527833333333333
DNA2L	-1.562
CIB4	0.276375
HIGD2A	-0.543333333333333
TBX6	0.185833333333333
TTLL5	-0.710666666666667
SGK3	0.188
GCN1L1	-0.70725
AMOT	0.8603
LDOC1	0.392833333333333
NRK	-0.097
ASB9	-2.29925
NAT1	5.5938
TRAFD1	0.905
PEAR1	0.647
FAM36A	0.682
OR1S2	0.590833333333333
LOC388323	-1.2815
PGS1	-0.0805
LEPREL1	-3.94075
TFF1	-1.84891666666667
HAP1	0.61725
EPHB2	-0.73675
ACTG1	1.14083333333333
ZFP42	-1.29616666666667
HAVCR2	-0.00159999999999996
NME1	0.0715
SNX26	0.38075
LACTB	2.81216666666667
ZKSCAN2	-0.4695
C5orf35	-1.8995
ANKS3	-1.175
RBM28	-1.50025
DKFZP586P0123	-1.49925
HNRNPA1	-0.7695
BCAS3	-0.647583333333334
FLJ20184	0.7525
POLA2	-1.95966666666667
TMC7	-0.688666666666667
HSD17B6	1.1375
ZNF658B	0.977
TTTY10	0.0213333333333333
RANBP9	0.496333333333333
CPNE7	-2.25366666666667
EVL	0.372647058823529
LNX1	1.04058333333333
IFNA21	0.250833333333333
CFD	0.76025
PYCARD	1.69883333333333
MYBPC2	-1.623
ENPP3	-2.82016666666667
ACSL4	-2.388
LOC440258	-1.1715
TMEM176B	2.98416666666667
SOX2	-0.2855
SCO1	0.707666666666667
COMT	0.08375
AOC2	0.09
PDLIM5	0.950428571428571
SPHK2	0.0683333333333333
NXPH2	0.063
GPR108	0.696833333333334
RAD51L1	0.164666666666667
TMEM54	1.093
LETMD1	-1.40866666666667
SLC6A17	0.54925
KRT75	-0.331
STT3B	-0.236
CD3EAP	0.000833333333333332
TMEM63A	0.6285
DUSP13	-2.80475
CD1C	-2.10066666666667
LASS2	1.58066666666667
AVP	0.7745
PITPNM1	-2.822375
FLJ22795	-1.9725
MCTP1	-2.074
TRIM68	0.513
UCK2	-0.167166666666667
ABHD1	2.16075
FAM50A	0.10075
RNASEH1	-0.935833333333333
PCP2	2.12716666666667
OR52H1	-0.301
C20orf149	0.69775
RBP5	2.48133333333333
HYAL3	0.1455
CLPB	-1.72025
SMNDC1	-0.632
DONSON	-1.41166666666667
FLJ27523	0.4275
BARHL2	0.233333333333333
SLC30A9	-0.138166666666667
TMPRSS11B	0.54925
E2F8	-1.64933333333333
CCDC25	0.274833333333333
C14orf48	-0.105666666666667
C20orf116	1.064
TSPAN11	0.515
YIF1B	-0.867166666666667
FAM12B	0.712666666666667
OR1L6	0.278
HPN	2.2068
NBN	1.100875
C14orf94	-1.006
OCLM	0.202
ZSCAN18	-1.4337
L3MBTL	-0.7762
TSTA3	0.846333333333333
RAC1	0.1195
C19orf15	1.03583333333333
NFE2	-4.80025
KLK14	0.3085
ARSF	0.8415
MAST2	0.376333333333333
AMICA1	1.129
GTF2A1	0.1455
ATP1A3	0.27425
TC2N	2.0026
PNKP	0.50475
ODZ2	-2.62225
MATR3	0.444
S100P	-3.004375
KRT82	0.1165
CA13	-0.262
PROZ	-1.4745
AASDH	0.34575
C19orf40	-0.437
DCK	-1.29861538461538
FAM5C	-0.965
SLC6A4	-3.1405
MID1IP1	-0.25125
TESSP5	0.049
TMOD4	-0.745333333333333
DOCK2	-1.15633333333333
TUG1	0.6965
NUP214	-0.625
DPYSL2	-1.53559090909091
GOLM1	1.96991666666667
MPFL	0.5415
SOX13	1.98125
SDCCAG8	1.0695
KEL	-2.497
NUP210L	-2.1555
GK	-0.20475
DNAJB1	1.5665
ALPK3	-0.259
CHID1	0.0321
CYLC2	0.359833333333333
IKZF5	-0.12725
C8orf51	1.0705
PPM1J	2.8245
GIMAP8	2.24233333333333
GPR101	0.6895
NR2F1	-2.4975
ACAD8	-1.132
RBM35A	2.15375
GNAI2	0.432166666666667
METTL8	0.2895
SLC39A7	-0.67225
FBXO8	0.28675
CAMK1	0.223
RFC3	-1.27775
FAM129A	-0.676142857142857
ILF2	-0.12075
FGFBP3	-1.103125
NOM1	-1.29483333333333
PSMA3	-0.15725
ASCC3	-0.87
ZYG11A	-1.732
SOX21	-1.348
LYRM1	0.8625
DEFB1	1.005
LOC91431	-2.7575
OR7C2	2.3005
FAM46B	1.11425
TMEM18	-0.53725
ARHGAP30	-0.196166666666667
TMEM86A	2.21516666666667
EPHA2	-1.3715
C10orf46	0.39185
TCHH	-1.77883333333333
C3orf30	0.139666666666667
LOC285636	-0.0905
PAIP2	1.06075
CYP2U1	-0.168875
C12orf34	0.64575
SARS2	-0.651833333333333
ZCWPW1	0.53225
SAMD12	2.195
KIAA1430	0.012625
ACAT1	0.08275
MEOX1	0.692
ADAMDEC1	2.30875
PHKA2	-0.0665
CARD11	-1.60033333333333
CALML4	1.998
TSSC1	0.14225
TMEM45A	-1.225
MPP7	0.16575
POU1F1	0.4015
SLC2A13	-0.1705
FBN2	-1.58178571428571
ZC3H7A	-0.0052
LAIR2	-1.1635
ST3GAL1	0.767833333333333
LCT	-3.3365
GEMIN8	1.025
KLF16	0.5948
HIF3A	-0.335
FAM44A	-0.187285714285714
AQP10	-1.0258
PLA2G2A	-0.08
FOLH1	-0.180666666666667
C20orf186	0.224
MAPKAP1	-0.122125
SPRR2D	-1.52175
UBQLN4	1.35066666666667
RSHL1	0.209166666666667
PIAS3	1.355125
MRPL24	1.927
GREB1	-1.625
FAM27E3	-3.716
NUP62CL	0.06325
NEUROG3	0.983
REEP3	0.732916666666667
MARK1	-1.97925
LMBRD1	-0.323
PRPF19	-0.704
PNMT	-1.2235
CTGLF1	-1.2585
SLC25A16	-0.05
EIF2B3	-0.6815
RPA2	-0.65625
PAK6	2.06816666666667
CCDC26	-4.309625
SEMA3E	-0.40575
MXD4	0.1307
TNFSF10	4.0729
SMARCB1	-0.428333333333333
DTX3L	2.3485
PLA2G4E	0.1095
PPAP2A	0.3305
ULK1	-0.0710833333333333
TAS1R3	-0.0105
SLC2A3	-3.09881818181818
ARID3A	-2.1355
GNG5	-0.72875
ACOX1	0.7805
KIF5B	0.15425
NUP153	-0.299
MUC7	0.2695
CSDE1	-1.26035714285714
CLPTM1	-0.09325
C3orf23	-0.112625
LRRC17	-1.01416666666667
TTYH3	-1.294375
ATP5B	-0.561
ELF3	1.921
CPSF3L	-0.216666666666667
ZNF665	-0.4645
TLR6	0.2712
GPI	-0.903625
RAD9A	-0.703
NDST4	-3.69575
AGPAT3	-0.27575
MAGI3	1.59433333333333
ADORA2A	-1.098625
CACNG7	0.375
CAMK2D	0.617071428571428
CCHCR1	-0.586
RPS27A	-1.12175
OR10G7	0.410666666666667
GCM2	0.204
FAM135B	3.2266
E2F1	-1.14675
PLCB3	-0.72125
OR2AE1	0.673
COIL	0.374333333333333
CDC25C	-1.0365
RAB11FIP2	-0.352666666666667
TSC2	0.18425
CTGLF5	-1.6795
CCDC108	0.4124
OR13C4	0.0475
C10orf81	5.7275
PTPRB	0.857
ACP2	0.0895
LAG3	-0.4485
MRPL54	0.58175
LOC201175	0.917
ITGB1BP3	-1.12975
SPTAN1	0.0735
SIPA1L2	-0.37975
RCAN2	-1.333
CDX2	-0.084
ECOP	0.2935
ACTR1A	-0.399714285714286
PPARG	-1.21766666666667
BBS10	0.234833333333333
TMEM44	-1.918875
BPIL2	0.0725
CITED1	-2.22675
IRF6	4.84525
PRDM4	-0.2235
RRP9	-0.280333333333333
OR10H4	0.24825
IL31RA	-0.795
GNB1L	-1.596
MYBL2	-2.179
ZNF407	0.41
PPIG	-0.227666666666667
TTC18	1.49675
RPSA	-0.3815
MAPT	0.919375
MRE11A	-0.715428571428571
C8orf37	-0.0338333333333333
RASGEF1C	-0.806333333333333
STBD1	1.1335
CTAG2	-0.451166666666667
MGAT5B	-1.12466666666667
ECM1	0.1665
RLN1	0.5565
PARP14	1.9378125
EPB41L1	1.2109
HOXA3	-1.388
MAGEA9	-4.99075
RPS8	-1.17066666666667
RPS19BP1	-0.401
FOXJ2	0.424375
C10orf76	0.27475
IL17RE	0.33575
C10orf65	0.9845
ZNF343	0.792166666666667
FBXO33	-0.84275
UHMK1	1.6658
LY6G6C	1.65125
FGF19	-2.0785
C14orf128	-0.707166666666667
IFIT2	3.373625
TIGD1	-0.66975
S100G	0.249
GUCY1B3	0.693
NR3C1	-2.184
CORO1B	-0.687666666666667
PARP11	0.0925
DNALI1	4.5135
OR4N4	0.720375
MAP2K6	0.574333333333333
FSTL4	0.09175
ANKRD47	1.14275
TMEM171	-1.1055
PNLIP	0.57475
YY1	0.0175
CCDC138	-1.94
AASDHPPT	-1.6012
CKS1B	-0.2075
MCM3	0.01
ANAPC7	-0.120833333333333
FAM110A	2.06825
CDC37L1	0.442
THTPA	0.627
NBPF20	-0.4655
WDR24	0.17175
NPTX2	-2.5585
CBLB	0.627833333333333
CETN1	0.190833333333333
RPUSD1	0.2355
FAF1	-1.1065
CDK6	-3.9347
HMX2	0.265
CSK	-0.771166666666667
TEAD2	1.36275
SNAP25	-1.23575
TUFT1	2.0342
TMTC3	1.144
LCK	-3.0555
SGOL1	-0.844833333333333
AKTIP	1.801
FURIN	1.002375
SOX12	-0.197333333333333
DEFB103A	-0.371
RAMP1	2.5365
KIR3DX1	1.718
GAS2L3	0.1385
PDE8A	-1.0332
EDN3	-0.421
GMIP	0.63075
SF3A2	0.6855
FN3KRP	0.747
SMAD7	0.84375
RHBDD2	0.437
OR11H6	0.047
PPP1R3B	1.1186
C9orf23	-0.10675
CADPS	-2.3955
GOLGA8A	-4.299375
TMEM57	0.3755
RGL3	-0.116
S100A14	3.4195
FGFR2	0.951375
XRCC3	-0.7275
RTN4RL2	0.99925
MGC3771	1.341
GH2	0.128166666666667
BTBD2	0.4825
LMO2	-0.99725
RDBP	-0.13325
ACRBP	-1.7235
AMY2A	1.029
DUOXA1	0.9455
PTK7	0.185166666666667
TWF2	0.509666666666667
FAM80A	-3.3025
TNNI2	-3.3645
GLT25D1	-0.0116666666666667
OCC-1	-3.7435
CYC1	-0.262
RPL22	-0.590045454545454
MORN3	0.0151666666666667
DISP1	1.11725
PRB2	0.1115
CHUK	-0.49125
HR	1.061625
CCDC134	-0.025875
DENND4B	-0.981
C14orf130	0.163375
RAB33A	-2.48675
DCST2	0.7675
TNMD	-1.423
PEX7	0.83375
FAM62A	0.422125
SRD5A2L	0.77075
IL22	0.08125
RPS26	-0.357833333333333
HOXC5	0.592
SPATA6	0.17875
FLJ38482	0.62125
ZNF234	1.7515
C18orf22	0.3145
SPATA22	0.241
THOC1	-0.60075
CYP7B1	1.82275
KCNC3	-0.31725
C8orf42	1.0515
ALDH1B1	0.0398333333333333
CCDC100	0.1015
ARMC4	-0.45375
FAM18B2	0.5055
SLC44A1	0.3595
FBXO17	-0.190666666666667
C6orf107	0.63875
C19orf29	-0.1635
ZC3HAV1L	-1.7925
PARP6	0.1472
SULT2A1	-4.4015
C1orf159	-1.1215
TMC1	0.86575
CHST14	0.934
GAMT	0.64
SMCP	-0.0548333333333333
TSPAN33	1.67325
MIDN	-0.028125
NOX4	1.97225
RNASEN	-0.5515
TBX1	1.86066666666667
SALL2	0.1985
C10orf35	1.57175
CYP2E1	-0.214125
LRFN2	3.10783333333333
ACO1	-0.888833333333333
IQCG	1.0337
MEGF9	2.133
TM7SF4	0.637
PLEKHA1	-0.0542666666666667
STK33	-3.2335
C1orf210	2.587
SNUPN	0.3911
KIAA0406	-0.114
C20orf29	-0.10475
TMEM55B	-0.23675
OSTM1	-1.006375
CLCN7	-0.3615
OTP	0.5535
FLJ23049	-0.59175
HEATR4	1.796
MAP3K10	0.750166666666667
PCDHGA9	-0.166
AMDHD2	-0.51225
LCTL	-1.97
PDCD2L	-0.58225
CABLES2	0.0235
SLC5A9	-0.3445
CLCA2	-2.67083333333333
MGC16025	-1.261
STRAP	-0.902666666666666
C20orf196	-0.8075
RRBP1	1.02166666666667
NAT13	0.05725
MAT2B	0.1865
CSNK1D	-0.9225
KIR3DL1	0.33375
PRKAG3	-0.266
ZNF599	-0.327
PRM3	0.3945
PER2	1.34183333333333
ASPHD1	-3.0475
PRMT6	-1.7645
KCNE1L	-1.19407142857143
FAM118A	0.204
TAF4	-0.426
NDUFB6	-0.303
TRIM9	-1.91341666666667
PMFBP1	-1.144
KY	-0.038
DKFZp762E1312	-1.69909090909091
CSMD1	-1.38625
TBP	-1.03383333333333
OR1Q1	0.274333333333333
RETNLB	0.5885
HPGD	-0.994769230769231
DNAJC12	2.02683333333333
FKBP1B	-3.39275
ANKRD24	0.397833333333333
CXXC5	1.44716666666667
IL3	0.383
DRAM	-0.1074
PTCH1	-1.834625
TP53BP1	0.58625
SLC17A7	0.098375
COL25A1	-1.6279
AMACR	0.685333333333333
RHCG	0.0775
VPS13A	-0.162666666666667
FAM55D	0.041
PRPF38B	-0.982583333333333
OSBPL6	0.2935
PFDN5	-0.1373
CMTM6	0.5245
KCNK12	-1.56475
RP2	0.13375
C16orf52	-1.07875
PICK1	0.158
IFNE1	-0.988666666666667
SEMA4B	1.12375
TYRO3	-0.888
OR12D2	0.149
CSNK1A1	0.54105
FANCF	0.97225
LONP2	1.0875
TBL1Y	0.15775
LDOC1L	0.51525
CCNC	-0.56375
C3orf60	0.428
CHKA	-2.27025
UBAP1	-0.26075
MAP3K1	0.754
ANKRD9	-0.53525
FAM92A1	0.0465
GAB2	0.294125
AZU1	0.072
DIS3	-0.22775
C21orf109	-1.7115
IQCB1	-0.3235
SPATS2	-0.405333333333333
EFCAB3	-0.46675
PRB3	0.035125
FUZ	-0.373833333333333
ZNF813	-0.466125
BMPER	-1.19916666666667
HEG1	-0.611125
ALS2CR11	-2.2865
SURF2	-0.6955
PSMC1	-0.03625
OR2D2	0.4995
SLC7A8	2.23466666666667
C4orf40	0.686
SPATA7	-0.17275
MAZ	-0.838333333333333
PIN4	1.59675
PDE1A	-1.093875
TAF6L	-0.775166666666667
OR2T34	0.386
KIAA0284	0.34325
ACADS	0.311909090909091
MKRN2	-0.1335
C18orf56	-0.08325
MS4A6E	-0.0185
GALNT4	0.9104
C22orf31	0.1075
FLJ36070	0.6925
PSME4	0.48475
TFG	0.6378
EPHX2	3.01
ANXA5	-0.202375
KRTAP1-1	0.1798
BATF	1.19075
KARS	-0.74425
MSTP9	-0.4365
GPR26	0.149
CCDC72	0.78125
TEF	0.231
FOXK1	-1.5561
PRLHR	-0.2505
EMX1	0.81375
C11orf30	2.14025
ICK	0.750375
THSD7B	0.0435
C21orf100	-0.7795
DUOX1	2.3295
EFCAB4B	0.386
UBE2G2	-1.498
C3orf54	-0.3135
PARP1	0.3225
FAM60A	-3.10316666666667
C6orf146	1.40375
OR9K2	0.845
DDX55	-1.43016666666667
RPS15	0.130416666666667
ZNF618	0.5670625
DKFZp686D0972	0.478
SSPO	0.9325
SHFM3P1	1.00333333333333
CPA6	5.76325
JAG2	0.47625
DEFA3	0.35475
PPBPL2	0.260166666666667
CD34	3.744
SLCO4A1	-2.858375
AFG3L1	-1.17
SHD	-0.56225
RP13-122B23.3	-0.307333333333333
PRKCSH	-0.668666666666667
DPH5	-0.849833333333333
HLA-F	2.65425
TBC1D4	-2.8915
RIG	0.367833333333333
GLUD1	-0.157333333333333
HNRPCL1	0.819625
HBXIP	-0.55775
RNF207	-0.1895
APIP	-0.433
PLA2G3	-1.80966666666667
CCDC84	-2.70975
MYLIP	0.492
PHIP	-0.13625
AARS2	-0.454
DHX32	-0.09375
SCAPER	-0.0331666666666667
MEN1	1.122
NIP7	-0.91275
FLJ25404	0.5075
FASTKD3	-0.7295
TMEM158	-2.8755
RARA	1.56575
BDH1	1.139
ANKRD16	1.4505
CARM1	0.1345
SS18	0.14
IKZF2	-1.94266666666667
MYD88	1.6965
PML	0.2752
TAF1A	-0.50075
CBFB	-0.546125
HIST1H3H	0.825333333333333
C7orf29	-1.839
COMMD4	-0.0245
DPP3	2.2405
DAB2	-0.13875
LOC388882	-0.1355
YPEL4	-1.331625
AGBL3	0.853
LRP6	-0.1307
SERPINH1	0.176916666666667
TLE1	0.99475
CD244	0.136
ZDHHC15	-1.87525
MGLL	-1.2892
PLDN	0.0671666666666667
LOC654346	1.9025
FAP	2.417
GPR37	-1.24316666666667
SCARA5	0.641833333333333
EBF4	1.90254545454545
LSM6	-0.81875
MLLT1	0.1365625
SLC5A12	0.50925
A2BP1	-1.691
COPS5	0.777166666666667
TPM4	-0.589214285714286
TNFSF4	0.618
ACADSB	0.822722222222222
HERPUD1	0.54675
BCL2L11	0.00177777777777775
CEP78	-0.823625
CDCA3	-0.796125
WBSCR19	0.395
MYO1A	-2.7735
PPEF1	2.12983333333333
LOC440348	-0.9785
CPEB2	1.210875
BPTF	-0.08375
RPL21	-0.367375
GSX2	-0.16
ADPRH	1.33816666666667
C17orf68	0.6275
KCNS1	-0.9505
MLLT6	-0.0319
PIWIL4	-1.669
RNF26	-2.04025
RAP1B	0.850375
ADAMTS1	-2.8529
ZNF571	0.725
P2RY6	-0.8055
TRIM21	1.34483333333333
CADM3	0.567
NLRC5	1.20966666666667
ADRA2B	-0.143166666666667
LOC90835	-0.275375
PCF11	-0.603
LOC400451	2.17075
GLTSCR1	0.6558
C17orf88	-0.181166666666667
CDH16	-1.6065
FGF7	1.382375
PCSK4	0.209833333333333
NPC1L1	-0.726333333333333
TAT	0.00337499999999999
TBCA	0.47325
MGC33407	-0.00900000000000001
GPR115	-1.60975
CYGB	-0.1355
FNBP4	-1.152
C12orf43	-0.11925
CBL	-1.6052
CLECL1	-0.15325
PPAPDC1A	1.29475
WDR25	0.5835
SGCA	-0.386
C22orf29	-0.127166666666667
YIPF1	1.10875
GALK2	-0.5135
RAB3B	-3.1795
LOC440087	5.57875
UCP1	-0.9015
REEP5	2.298625
FADD	1.8255
FOXA1	3.1905
CACNA1A	0.310166666666667
ABI1	0.691
GRIN2D	0.90725
SLC1A4	-0.3075
LOC401127	0.073
HINT2	0.2
PLD4	-0.132833333333333
ZNF286A	0.15525
ENY2	0.07875
IL1F6	0.6875
PXDNL	4.982
C20orf79	0.1285
TNFSF13B	2.37383333333333
DENND3	0.326625
JARID1D	-2.741
HIST1H2AK	1.44025
LOC93349	0.2141
SSH1	-0.5973
ENSA	1.56975
LOC219854	-0.535333333333333
CKAP2	-0.0723
DKFZP564J102	1.66183333333333
MGC87315	0.336666666666667
HNRPAB	-0.03775
AMH	-0.5865
ZNF526	0.8465
BRUNOL5	-0.2807
CACNG3	0.209166666666667
TRPM1	-3.437
PPP2R1A	0.6315
COL2A1	-1.84375
DDN	-0.114333333333333
FLJ25770	0.8565
HK2	-0.545428571428571
ELOVL6	-0.5795
MDK	-1.2065
EPHX1	1.8165
RASSF2	-0.218625
DKFZP434B0335	-0.76025
DLX3	-0.524
PRTN3	-0.5015
AVPR1A	0.82725
C21orf125	-2.34675
TNFAIP8	-1.92083333333333
GNB2L1	-0.52825
CALCRL	3.33325
SCGB2A2	8.71516666666667
UBXD7	-0.008
ZNF674	-0.9135
TMEM35	-0.179625
BRSK2	-0.9205
HECTD3	0.2295
TMEM188	-0.04525
