Hybridization REF	TCGA-AN-A0AL-01A-11R-A00Z-07
SMCR8	0.35275
DPY19L2P3	-0.4195
IL11RA	0.0376666666666667
GDF3	-2.767
RPS6KB1	-0.970916666666667
DNAJC19	0.1049
TOP1	-0.626
CRCT1	-0.18025
MPST	0.379625
DPM2	0.0105
FAM38B	-0.8505
SLC18A1	-1.93666666666667
FARP1	0.960833333333333
PAX7	0.41025
TUBD1	-0.549
GNL3	-0.58325
BTG2	0.4824
NDUFS6	-0.06775
C1orf79	-1.99775
ERAL1	-1.0265
ECHS1	0.42875
VPS4A	0.340833333333333
CYP11A1	-0.601625
ABCC6	-2.33957142857143
PBX4	-1.184
MOSC1	-1.359
NCF4	1.088
HYMAI	1.068
NAGPA	-0.9935
OTOP2	0.361
ACOT12	-0.308
MTHFD2L	-1.253375
LOC441376	1.49525
C19orf34	-1.0365
RAB1B	0.3475
ALDOAP2	-0.8895
NTRK1	-2.1125
ARTS-1	0.2994
SLC6A11	-0.116
NAP1L2	-3.15375
CNGB1	-0.203833333333333
EPB41L4B	0.3295
FAM134B	0.585125
HS3ST3A1	-0.881833333333333
CPXM2	5.238
SIRPB2	0.3575
CHORDC1	-0.47
TRIB3	-1.09616666666667
SLC2A5	1.76975
C2orf49	0.00800000000000002
DDX5	-0.92125
OR5L1	1.0695
ANAPC4	0.1145
ZSWIM1	0.110625
LOC93622	-0.63525
KCNK3	-0.4059
RP11-35N6.1	-1.98771428571429
ZFP161	0.206166666666667
AQP9	3.69025
SLC15A2	2.577
MREG	0.223166666666667
OR9I1	0.92
PDLIM2	0.579
ADAM7	0.5255
GSTCD	-0.4495
WDR21A	-0.74875
SLC12A8	1.55833333333333
TMEM174	-0.11025
IGSF3	-0.2715
LRRN1	-3.013
LOC402117	-0.345666666666667
SRPK1	-1.08666666666667
LY6K	-0.33075
NFIA	3.446
PTCD3	-0.6435
LEP	0.5895
PCDH21	-0.8576
MAPKAPK2	0.955928571428571
NMNAT1	-0.845333333333333
LHFPL2	1.15475
C9orf43	0.06675
DIP2A	-0.8955
ACTR8	-0.458
CCDC34	-0.12775
PTPN22	-0.622625
ITGA3	-2.26825
FAM129C	1.675
RABGGTA	-0.00533333333333334
UNC45B	-0.186
KIAA1033	0.107875
ZNF510	-0.0335
CYP2D6	-0.223
SLC26A10	-2.222
STX8	-0.8205
LUZP1	0.401375
WDR89	-0.110833333333333
EIF4G3	-0.1547
C5AR1	1.117625
ZNF623	-0.6405
A2M	0.6775
TGM7	-0.16
GRPEL1	-0.2545
LMNB2	-0.3144
ROCK2	0.655166666666667
SNX16	0.47725
CCDC66	-0.08575
ANXA3	3.28875
KIAA1609	0.164
EED	0.10775
RNF32	-0.331833333333333
HES1	1.5848
CLC	0.5512
ISL1	-0.6125
KIAA0528	-1.26575
MANEA	-0.052625
C1orf61	-2.0715
hCG_2001000	-0.429
RAPGEF6	-0.8081
KIAA0020	-0.834833333333333
NEIL1	1.105
C16orf45	-1.575
RBM10	-0.0441666666666667
C10orf125	-0.483375
MRS2L	0.3365
DNAH17	-0.77775
C19orf10	-0.43225
C1orf160	0.76375
SLFN12	0.156
EXOC3	-0.150833333333333
HIST3H3	0.11475
NCOR2	0.382
TNFRSF9	0.961
MFSD8	-1.7615
ALX1	-3.56966666666667
NOL1	-0.80425
PODN	2.29575
TIAL1	-0.47175
HIST1H1E	0.01125
NPY6R	0.52525
TM4SF4	-0.2665
CORO2A	0.17175
ETNK2	-0.877666666666667
APOE	0.3223
ANGPT4	0.9705
HDGF2	-0.60575
G30	-0.124
ST8SIA4	0.268857142857143
F2RL1	0.81475
FAM19A4	-3.24533333333333
CCAR1	-0.625
B3GNT7	0.76
OPHN1	-0.0655
DSCR6	2.297
C21orf13	-0.2325
GAS2L1	1.05558333333333
RFX3	-0.420666666666667
COPS4	-0.330375
BCHE	-4.49066666666667
BCL2	-0.51075
HBZ	-2.5675
ARL13B	0.41225
MAPBPIP	-0.103625
MYO15B	-1.2235
SPZ1	1.4395
KIAA1324	1.80188888888889
PLCL2	0.011125
C4orf29	-1.379
WDFY2	-0.29575
ZNF284	-0.5145
NAALADL1	-0.1035
DUSP5	0.982333333333333
PXDN	0.20625
SLMO1	-0.718
TNXB	0.9162
BIRC7	-0.5905
A4GALT	1.416
TIMM22	-0.4025
FAM110C	2.494
TOMM34	-0.46925
ABHD9	0.639
ADAM32	1.2045
CRHBP	-0.01675
AQP2	0.75375
LOC130355	0.72775
ZNF187	-0.445666666666667
ZNF816A	0.0935
F7	-0.28925
CNOT1	-0.2178
SLC13A4	0.6105
ZBTB11	-0.54
B3GALT5	0.459
EXOC2	-0.768166666666667
IRS1	-0.4252
TMEM1	-0.324
MRPL34	-0.0878333333333333
SAMM50	0.3965
CDC42EP3	0.690625
HSF2	-0.2854
MFN2	-0.38825
TSPAN7	-2.45133333333333
NUCB1	1.16166666666667
RHOH	-0.83375
ARL16	-0.394
TACR1	0.36175
SFRS5	-0.962
SNX25	-0.941
RHBDF1	0.18
PCDH18	2.11216666666667
HMG1L1	1.2275
MYO5C	-0.039625
MAPK10	1.2775
LDHAL6A	0.3125
NUDT12	-1.236
NCAM1	-0.00937500000000002
GLIS2	1.345
GGTL4	2.10525
DAPP1	1.5555
ATF7	0.22925
KIAA0748	-1.041
NFIL3	1.60575
TM6SF1	-0.09
SEZ6	0.000375
NANOS3	0.659833333333333
DNAJA3	-0.8295
CLDN6	-0.583
CIITA	2.518
EPHA4	2.78458333333333
FANCC	0.68025
CMTM3	-0.233
PSG3	0.0375
MRPL15	-0.3035
C21orf59	-0.031
PLCXD2	0.68875
C2orf34	-0.340875
UBE2L6	1.085
MED14	0.165166666666667
HP1BP3	-0.0184
C6orf208	0.6025
TPBG	0.43825
OSR2	-0.06725
XPC	-0.852666666666666
KLHL7	-0.216333333333333
CCR3	-0.229666666666667
AGTPBP1	-0.784333333333333
PCSK6	1.95026666666667
STAT5A	-1.4161
FAM18B	-0.17675
LONRF2	-1.67
PTPN2	-0.131125
SF3A3	-0.2615
EFCBP2	-0.36375
HCFC1	-0.528
AHNAK	-0.5049
ACTR5	-0.34925
KIF14	-0.659714285714286
TENC1	0.7415
HEATR5B	-0.038
YIPF2	0.5175
MYEOV2	0.377
DUSP18	1.30575
KIAA1012	-0.39275
AHR	1.70766666666667
C17orf53	-1.16283333333333
PTPRH	-2.55275
ATP6V1C1	-0.466
TAS2R3	-0.84
LOC440356	-1.088
COQ10B	1.11625
PSMF1	0.123166666666667
SORBS2	3.32758333333333
NFE2L2	1.72375
TMCO7	-0.74025
SH3PXD2A	0.2051
SH2D2A	-0.458
SPINK5	-1.404
MRPS24	-0.424
OPA3	1.47325
TRAF7	-0.224
C4orf35	0.353333333333333
MT1G	0.489
MGC39545	-0.01025
HS1BP3	0.3351
OR2B2	0.862
CHRM4	-0.6465
SFRP2	3.76258333333333
RIC3	-2.17625
ART1	0.836
C6orf1	-0.1685
DUS4L	-0.87575
C10orf104	-0.524
TNFAIP6	3.422
RTEL1	0.1
CCT4	-0.4933
ZNF709	-0.37775
CHMP6	0.478666666666667
UPP2	0.16075
CYP19A1	-0.934
CD151	-1.31033333333333
NDUFA13	-0.0638333333333333
ARFRP1	0.190666666666667
FAM26B	1.14225
CRYBA1	-2.4225
MRPL41	-0.651833333333333
NPFFR2	1.92075
HRH2	0.517
SCAMP3	-0.246666666666667
MTMR6	1.2443
MTG1	-1.1215
UBTD1	1.5755
CRABP1	-0.621
FLJ33790	1.0674
KIAA1908	-1.624
GPR158	-1.219
PACSIN3	0.445166666666667
OMD	1.99783333333333
CATSPER1	-0.418
HOXB8	-0.972125
FBXO46	0.656
OAS1	2.49566666666667
SVIL	0.374
PHB2	-1.07125
ADCY3	0.054
NDRG2	3.56783333333333
ERMAP	-0.5431
APBA2	-1.054
IGSF9	2.10575
WNT6	0.107071428571429
MYCBPAP	-1.58225
ATP2B2	-0.0508888888888889
CPVL	1.0265
TRAM2	-0.186333333333333
NOP5/NOP58	1.24775
ZNRF4	-0.4575
TLK1	0.515125
MTMR12	0.841714285714286
ZNF384	-0.511666666666667
FAM9B	-3.001
RPN1	1.9051
PMVK	-0.11325
EIF3D	0.9223
SIX2	2.61575
HPS1	0.414428571428571
RNF7	0.43325
PSKH2	0.9385
KCTD13	-0.636166666666667
CSMD3	-0.6244
FBF1	0.3775
IL8	-1.603875
SERPINB13	0.40225
FBXL20	-1.19075
BLR1	0.70025
SH2B1	-0.498166666666667
RFNG	0.3725
RAB20	1.8405
RBM7	0.1995
POLR1A	-0.302
TMPRSS4	3.517
TAF9	-1.433
TERF2	-0.134833333333333
TNFRSF1A	1.303
ACADVL	-0.583
GTF2H5	0.138
EDG8	0.2685
C9orf140	-0.14075
UST6	0.3415
ZBTB8OS	0.70775
ZNF710	0.6185
GPR174	-1.589
ATP6V0A2	0.07975
KIAA0319L	-0.03425
XKRX	-0.8115
DOPEY2	0.8882
SDHD	0.00200000000000001
SUMF1	0.24725
OSM	3.12425
OPN3	0.07175
DAGLB	-0.0193333333333333
PPFIBP1	1.1886
TRIM63	-3.68425
C10orf53	0.372
LYPD3	0.227833333333333
BCL7A	0.207
AGER	-1.01233333333333
TCF19	-0.688125
SAT2	-0.35175
PFTK1	1.08416666666667
GABRE	-0.664125
C15orf38	1.1735
FIS1	-0.5045
KCNV2	0.40225
CLPS	0.103
PPCDC	0.17275
FOXN2	1.77516666666667
NT5E	-1.799
CD83	1.00375
IL18	0.32275
VPS16	0.17425
IGFBP2	-0.632666666666667
NOTCH2	0.26625
SIGLEC1	2.781875
CD93	5.5035
SULF2	0.4845
CEP164	-0.51025
P53AIP1	0.0245
TOR2A	0.0738333333333333
ZNF136	0.8
MGP	3.1279
CCDC144A	-0.846
TRPC1	-1.63666666666667
SMS	0.337166666666667
MAPK7	-0.297
RRAGC	0.866
PARD6A	2.20833333333333
NUB1	-0.316666666666667
SYNGR4	1.329
OR11H12	1.455
WIF1	2.34525
GCH1	0.67175
OR11H4	0.4995
SLC44A5	-0.2175
GPRIN2	0.408833333333333
LOC401431	-0.1195
CPA4	-1.5846
MELK	-0.109333333333333
IL15RA	1.4805
CUL3	-0.3625
HMBOX1	-0.5155
PODXL	0.027
CCT6B	0.679833333333333
COMTD1	-0.68325
MUC20	4.18233333333333
GPX2	-3.220125
ITK	-0.753375
FBXL5	1.16775
C13orf27	-0.3835
DEFA5	0.865
TRHDE	-0.4845
MTP18	0.337
UQCRQ	-0.206
ITGB2	1.51408333333333
CSRP2BP	-0.2495
TAS2R44	0.9365
PHPT1	-0.48725
FAM44C	-0.4095
ERH	0.924
MPHOSPH1	-1.4465
MORC1	-0.076
PARVB	-0.58325
LAMA1	-1.16975
PGBD3	-0.26725
GIMAP6	4.2895
AREG	-2.7905
LIPT1	-0.615
MGC99813	1.2325
C1orf201	0.991333333333333
GRIN2A	-0.612444444444444
MAN2C1	-1.201125
NSUN5	-0.53725
SF3B5	0.979
MYC	-1.5294
NRXN1	-0.544
ZNF18	-0.179
SPDYA	-0.247125
SLC37A1	1.5365
DECR2	0.10525
ANKRD38	-0.570875
SPTLC3	-1.14458333333333
SUPT16H	-0.171
DTWD2	0.55225
ULBP1	-0.155
ZADH1	-0.622833333333333
OIP5	-1.1635
IL10RB	0.7865
OTUB2	-1.18157142857143
VWA3A	-0.327833333333333
SPIC	0.1292
OR6C4	0.417
PSCD4	1.43166666666667
DPY19L2P2	-0.2995
TRAPPC6A	-0.147666666666667
C21orf2	-0.87
CEMP1	-1.182
LIN7B	0.4625
E2F7	-0.610333333333333
VCP	0.943875
LAMA3	0.890916666666667
BGN	2.38325
GPR160	1.74466666666667
COCH	-1.84233333333333
GPR81	-1.66633333333333
APOBEC3F	-0.03725
tcag7.1017	-0.89175
C1orf32	1.282
SCGB1D2	2.34025
FLJ43987	-0.669
C6orf170	-0.197
KLK9	0.4335
GPD1L	0.1425
VPS37B	1.92875
ATG3	-0.1435
ADAMTS17	-0.359
KLHDC2	-1.19183333333333
NDUFV2	0.08625
BLK	-0.5365
MATN4	2.3115
GPM6A	-0.395625
GBP4	4.1815
TMEM162	0.783333333333333
PKP2	-0.4385
HRASLS	2.96411111111111
MMP1	0.621
SFXN3	-0.5456
FSD1	-1.691
ST6GALNAC3	-1.64583333333333
CA12	-1.9463
NCOA6	0.46975
C19orf58	0.1347
PPP4R1	-0.4705
MAN1A2	2.0175
IKBKAP	-1.799
UPF1	0.4305
KIAA1219	-0.3895
WNT16	0.2302
SNW1	-0.18375
IL18RAP	3.315
RPP30	-0.954375
CDC40	-0.247357142857143
SETD3	0.565833333333333
SLAMF6	0.11625
ELK4	0.4185
TRIM47	1.3045
ACOX3	1.37825
TRIM6	0.949125
KIAA0372	-1.20733333333333
TP53AP1	-1.090375
SMURF2	0.06025
ADAD1	0.16475
EBP	-0.415
KRTAP13-2	0.277
FLJ36874	-0.787166666666667
TOR1A	0.275833333333333
P2RY4	1.9855
GPBP1	-0.55875
TRPV1	-0.84225
ADAMTS12	0.213166666666667
PES1	0.6956
ATG4A	0.6815
MAGEA10	-3.5055
WFS1	0.0715
CC2D1B	-0.3765
PABPN1	0.284
SLC25A30	-0.01725
SLCO1C1	-0.200666666666667
SLC22A5	0.169
KIF23	-0.815333333333333
SYN2	-0.8398
ASPN	7.04283333333333
CENTG2	1.1375
QSOX2	-1.762
FLJ10815	0.150666666666667
STK24	0.736125
SPEG	1.1126
STK10	-0.2585
DACT2	-0.2905
AAAS	-1.513
SSX3	0.481875
ABCD3	0.6395
C4orf12	-0.606625
PARVG	1.034
FIG4	-0.414
C9orf46	-0.86975
TMCO6	-1.0475
IGHMBP2	-0.356
DUS2L	-0.419166666666667
FAM3C	0.955375
TMEM16D	-1.700125
DCTN4	-0.73575
KCNH3	-0.351
EIF2AK2	2.1455
AP1S3	3.36375
CST4	0.901
PAM	0.8045625
NUTF2	-0.072
CITED2	-0.0463
SLC39A4	-0.081
C2orf52	-1.109
GRM3	-0.12325
C12orf49	2.262625
CCDC49	-0.7831
GRAMD1B	-0.367428571428571
FNDC4	0.4065
SIAH2	-0.307125
GDPD4	-0.36725
C21orf87	0.66975
ATP5A1	-0.236
C16orf63	-1.224
LOC388135	-0.927
ATP5J2	-0.079
MMP3	0.035
EMID2	-0.101
CRHR1	0.657
WDR70	-0.20075
C13orf31	2.39225
ZFAND1	-0.71325
CCL18	4.753
C3orf49	0.469
RINT1	-2.1875
KIAA0408	-1.52816666666667
F13A1	4.0399
SLC10A1	0.537333333333333
OGN	0.83875
GIPC2	-1.435
XPO6	-0.889
LCE1A	1.584
FMR1	0.5222
LOC374920	-0.47275
DUSP3	-0.04975
ANKMY1	-1.4855
C7orf50	1.211
BBS9	0.3064
UNC119B	-0.490142857142857
C9orf72	-0.466125
MGC35440	0.6085
ENTPD6	0.52375
PPP1R2P9	0.497
ERCC4	0.0185
FAHD2B	-0.025
HMHA1	-0.2335
HACL1	-1.54275
RAD23A	0.649333333333333
FAM83B	0.4985
PPP5C	-0.675
RNASEH2C	0.3025
C9orf153	-0.8625
SCAMP4	0.467625
GHITM	0.0831
NDUFB7	0.555
ADCYAP1	0.570333333333333
SP110	1.7325
MAP3K7IP2	0.2255
DHH	0.033
AGRN	1.51071428571429
WDR33	0.816833333333333
CEP290	0.413666666666667
PRPS1L1	-2.06066666666667
KLRA1	-0.998
GPR97	0.3655
CHD7	-0.152333333333333
TLR10	1.27675
SLC30A8	-0.775
HIC1	1.6115
IAPP	2.136
RXFP4	1.24475
GP1BB	2.322
SHQ1	0.0555
NKX2-3	0.4505
API5	-0.11775
FTHP1	0.973
MOV10L1	0.337333333333333
TRIM6-TRIM34	2.26783333333333
ADHFE1	-1.168
FAM117A	-1.90475
DDI1	0.7505
CDON	0.445333333333333
TRIM73	-0.2095
IGKC	5.739
MMP14	0.199083333333333
DYNC1LI1	-0.924125
C11orf66	-0.8055
TRBV3-1	-1.19525
FASTKD5	0.04975
BIVM	-0.657
LHX4	-0.174
CXCL2	-0.4722
RAB2B	-0.502166666666667
IZUMO1	-0.2695
MAP3K15	-1.76425
FAM19A2	0.062
ZC3H8	-1.88783333333333
ZMAT1	0.804125
SPINK5L3	-1.546
SLC10A6	0.658
APPL2	0.117375
CARD10	0.489666666666667
LOC402176	-1.04775
EEF1D	0.4261
RAB6A	1.3535
C12orf5	-0.1445
PAPOLG	0.2695
MSRB2	0.86675
BCR	0.929333333333333
PUS3	0.7745
TIAM2	0.8195
ZNF317	-0.2375
CHD2	0.248
FZD5	1.46231818181818
NUDT8	0.40625
ZNF763	0.4635
PRC1	-0.409444444444444
ABCB9	0.833166666666667
SPATA3	0.7875
TRAK2	0.803875
STAB1	3.55775
LRRTM2	-0.15725
psiTPTE22	2.60875
DBI	1.2315
SERPINA11	-3.11725
NAT5	0.148
C20orf58	-1.992
RPS6KA4	1.55133333333333
FLJ90650	-0.039
TGFBRAP1	0.778
CHRDL2	1.72075
FAHD2A	0.164166666666667
CNTN1	0.55225
BBS4	-0.7695
TMEM181	0.777
MINPP1	-1.4715
MPHOSPH6	-0.903333333333333
HOXC10	1.2931
ITPKB	-0.611875
CLPTM1L	0.72025
MEOX2	-0.551833333333333
ATP6V0C	-0.081
PRPF8	-0.637
TMC5	3.548
FKBP3	-0.3945
PLEKHB2	0.035625
OR4D6	0.43
ZNF544	-0.7803
D2HGDH	-0.22075
RPL18A	-0.5223
HEL308	-0.4685
MPP6	-2.42375
TCERG1	-1.6445
KRT16	3.90666666666667
KLF17	-0.6
KLF5	2.946125
CDR1	2.27525
VCX3A	-1.0715
FBLN2	1.991125
C14orf104	-0.37175
HBE1	-4.3833
OR4S2	2.439
C1orf108	0.385833333333333
ROBO4	4
CPEB4	1.132625
C11orf80	-0.2215
BCKDHA	0.528333333333333
MYOC	0.0705
GIF	-0.7635
CKMT1A	0.6725
RPL3	-0.379
THBS1	3.041125
APOO	0.4625
ARMCX1	0.729
HSZFP36	-0.06575
SNAPC5	0.14
EIF4ENIF1	1.17675
ZNF433	-0.0635
TNFRSF21	2.05075
TMPRSS7	0.405
SPATA18	0.5897
HPDL	-2.6275
MKL2	-0.0536
TBX3	0.124461538461538
C21orf93	1.00716666666667
DAXX	-0.13375
ELMO1	0.39575
RGS13	4.36266666666667
TAF11	-0.7905
UNC13A	-1.802875
LOC653314	-0.867
ORC3L	-1.36075
IMAA	-2.8655
TARBP2	-0.90575
CABIN1	0.929
TRIOBP	0.75625
HIST1H2AC	-0.1925
RGS22	-3.18933333333333
NCOA1	1.44116666666667
IL25	0.6375
SNCG	-0.163
GPR6	1.1985
AMDHD1	-2.97716666666667
CHEK2	-0.119875
C6orf142	1.247
DRD4	1.5785
C14orf68	-0.858
GDF11	-1.6675
SEMG2	0.4975
CD247	-0.2165
CDAN1	-0.27225
RBMX2	-0.497833333333333
TGS1	-0.87025
OIT3	1.37675
SYF2	-0.192
MCM4	-1.170375
PKHD1L1	0.829
CEP192	-0.793833333333333
IFT88	-0.792
RPL9	-0.276928571428571
RAB32	0.56125
DDX43	-2.77675
P2RX2	0.707
OR5D18	0.356
UBE1	-0.0459166666666667
SLC24A1	-0.699
ARHGAP5	1.59225
CETP	0.46275
KIAA1731	-0.0713333333333334
SLC9A4	0.437
PTPN6	0.75275
BAHD1	0.2115
GRIK3	0.1405
CACNB2	-1.0562
PDE10A	0.1805
DGCR14	0.227
PCDHB9	0.528833333333333
RHOQ	2.08133333333333
MAP3K4	-0.126
KTI12	0.234333333333333
RPL23AP13	-1.05525
GNG11	0.06375
CLCN3	0.953333333333333
GPAM	-0.241375
VSTM2A	0.5495
SLAMF7	3.63966666666667
INTS2	-1.38125
PPP2CA	-0.5925
LRP12	-0.389866666666667
SEC14L2	2.11855555555556
DKFZP586H2123	2.516
MC3R	-0.734
CIRH1A	-1.34783333333333
HIST1H2AB	0.202333333333333
POLH	-0.206625
MGC16703	-2.15083333333333
SNAPC2	-0.62
FILIP1L	1.617
RASGRP4	0.4685
LRRC1	1.43375
GAS1	1.72775
PRAC	-0.75025
DGKA	-0.476333333333333
NT5C3	-0.4295
PEG3	-3.83009090909091
NADK	-0.65125
PRR17	0.594
LOC374569	0.08525
SGSH	0.752333333333333
NLRP8	-0.0445
GALT	0.4621
MCF2	-0.2385
ZNF263	-0.82875
TACSTD1	2.54816666666667
TYR	-6.0544
ATP6AP2	0.45425
RNUXA	-0.4715
ABHD10	0.0197
GDPD2	-1.13675
SLC35C1	0.808
UBE2A	0.2535
HERC5	1.13483333333333
FAM112B	-1.56983333333333
FBXL16	-3.11025
DKFZP434A0131	0.02575
ELA3A	-2.3035
RBM41	-0.99125
HAO2	-0.1935
RNH1	-0.15675
SHANK2	1.215
OSBP2	-1.290375
DAK	-0.736833333333333
C3orf58	0.796666666666667
TCL1B	-0.3355
KBTBD2	-0.158625
SUGT1L1	-1.19875
UBE2E2	-0.428333333333333
MYL9	2.7665
CDC23	-1.571
PBXIP1	0.5951
CXorf40B	0.0565
NBL1	0.98175
RTBDN	0.75
RAB11FIP5	0.508125
TTTY13	-0.2295
SCOTIN	-0.0573333333333333
SOHLH1	0.3205
CDKN1A	0.147571428571429
NCK1	0.64625
ZNF550	-0.8035
SAPS3	0.859916666666667
SPIN3	-0.952833333333333
MAGEE2	-0.1245
MIS12	-0.89
OR8H2	0.7435
KIAA0774	-2.37616666666667
UNC5D	-1.2975
CUL7	-0.7345
LIPC	-1.91483333333333
DIO1	-3.12625
C20orf11	0.0738
CTRL	-0.380666666666667
HS3ST2	2.143
PAK4	1.20366666666667
CCRL1	4.30125
RNF10	1.395
ZNF567	-0.206
ZNF660	-0.7535
TCEAL3	-0.7365
MAGOH	-0.0995
CENPB	0.6645
C19orf7	0.876875
LOC388965	-0.02125
ZCCHC13	1.5105
JMJD1A	-1.2146
HIST1H4H	-0.2665
TBRG1	-0.4879
GPC3	-3.650375
TAF1C	-0.85825
EBNA1BP2	-0.6255
CIAPIN1	-0.04
PDGFRA	0.215388888888889
CSTB	2.05575
CENPI	-1.10383333333333
GTF2E2	0.134
RPP21	-0.469
CCNF	-1.075
KCNQ3	0.7305
FAM79A	0.08575
SLC22A12	1.253
NOVA1	-1.4235
FZD3	1.1695
AKAP8	0.05825
SOCS5	0.6205
CFDP1	-1.42475
DLG5	-0.3915
PGM5	0.387333333333333
C1orf144	0.264583333333333
HDAC10	-1.0005
RND2	-0.76975
C20orf199	-2.42
RNMT	-0.597875
SLURP1	1.15375
ASTN1	-0.214375
SH3BGR	1.00575
MYCL1	-0.845285714285714
ZHX1	0.225333333333333
CENPK	-2.03525
FOSB	1.8942
LOC643406	0.443
C2orf59	-0.214875
TMEM135	-0.270625
SLC27A2	-3.513
KRT33A	0.299
OVOL1	0.99975
PAMCI	-0.773166666666667
S100A7	-0.7695
ZNF789	-1.1105
HARS2	-0.3425
RPL23A	-1.638
TCF23	0.24425
UPF3B	-1.339
C17orf78	-0.335
HLA-DOB	2.02
C14orf142	-0.082
TEKT5	-0.8105
DMWD	0.2805
POLD1	-0.753666666666667
GSCL	0.0795
CALD1	0.3215
SCRT1	1.17633333333333
AIG1	-0.466
UNC84B	1.40575
ZNF404	-1.281
TMED6	-3.875
KIAA1462	0.1125
LRRC27	-0.151166666666667
PYGO1	-0.377
PIGU	-0.469166666666667
ALAS2	-3.43066666666667
WRNIP1	0.236125
CNNM3	0.755
ZNF2	0.335
ST3GAL5	-1.28175
MRPL23	-1.1805
TSSK6	0.3905
PSMA6	-0.02175
C16orf70	0.0985
KIAA1602	-0.2445
ALMS1	-0.0601666666666667
DCN	2.773375
TMEM132D	-0.589
SUCLG2	0.2735
ABHD14A	0.42875
DEXI	-0.098
AMPD2	-0.820833333333333
IFNAR2	1.6535
CYB5A	0.4164
TLOC1	0.08315
NXF5	-0.642666666666667
NRBF2	0.062125
KCTD3	-0.7635
ITGAE	-1.05133333333333
SLC30A3	-2.34716666666667
ZRF1	-0.722
IFRD2	-0.41525
XAB1	-0.2785
PYCR2	-1.042
SERPINB3	-2.6235
TMLHE	0.1125
GEFT	-1.577625
ABCA5	-1.376125
EMR4	0.146333333333333
TSFM	-0.78975
HIST3H2BB	-0.31325
ARHGEF19	0.62025
TSPAN17	-0.293333333333333
ABCC8	-1.17325
MAP1S	0.623833333333333
C22orf36	2.4915
BNC2	-0.282428571428571
HIST1H4A	-0.2925
NDUFS3	0.159
WDR3	-0.817833333333333
XKR4	-0.11825
TTC33	-0.270714285714286
STMN2	3.57975
CPN2	-0.696
HSPC105	1.036625
PCOLCE2	-4.46575
C3orf55	1.452
KLHDC9	1.3105
TBC1D23	0.390375
ATXN2L	-1.38333333333333
MAP2K3	0.494333333333333
SCAP	-0.1335
ZNF486	0.402
C20orf96	1.45775
NARS	-0.66375
ADAMTSL1	0.0271428571428572
PRCC	0.59
CCDC126	1.4915
ZNF675	-0.65625
CALCOCO1	-0.61225
ANKRD43	1.934
CWF19L2	0.417166666666667
ZBTB32	1.49133333333333
BRAF	0.919
ODF4	0.6785
MGC14376	1.14116666666667
HORMAD1	-2.48725
AAK1	-0.0103333333333333
PEBP1	0.694833333333333
TNFSF5IP1	0.227166666666667
DKFZp564N2472	0.69875
RMND1	-1.1015
IGKV1-5	5.67675
COL1A2	3.65116666666667
SERPINA5	0.403875
AANAT	0.4895
C19orf21	-1.77816666666667
GEMIN5	-1.134
UBR4	-0.607166666666667
LTBP3	1.98283333333333
AMHR2	-2.7448
PROCR	-0.39225
MYBBP1A	-1.45125
C20orf39	1.10833333333333
ZNF697	0.973375
PASK	-0.7851
ZNF776	0.615166666666667
RFXDC2	-0.087375
KIAA0467	0.1685
C10orf96	-0.87075
ZNF503	0.41375
GULP1	1.57883333333333
KCNE4	1.08983333333333
DKFZp434K191	-1.32375
LOC196913	-0.4975
BHLHB4	2.425
CH25H	1.32075
LOC81691	-1.81683333333333
ALPL	0.691785714285714
COL12A1	2.65275
FOLR3	-1.866
GPR123	0.499
TRIM62	0.0207142857142857
ABLIM1	1.59483333333333
MAST3	-0.8375
RHBDD1	0.871166666666667
LOC338809	0.732
RYBP	1.48825
TTC26	-0.886
ZNF22	0.973166666666667
ISCA2	-0.7335
RDM1	-1.75375
PIGM	0.015
GNB3	-1.045
ACTR2	0.757
HMGB1	1.3495
EDG1	3.19633333333333
SOAT2	-3.698
OR10AD1	0.406
RAP1GDS1	-0.343083333333333
LCE1F	0.7635
ESM1	-0.098375
RCN3	2.69175
CREBL1	-0.72925
DBNL	-0.0663333333333333
PTGER3	1.316
USP30	0.170833333333333
BCL2L12	0.296333333333333
KIF26B	2.718
ZNF416	0.37925
ZNF225	-0.5675
C17orf70	0.50325
ZNF554	-0.44825
RAE1	-0.974333333333333
TNIK	0.0186666666666667
ACTN3	0.845
MGC45922	2.111
CCNA1	0.182166666666667
RYK	0.917666666666667
IL26	0.154
LRP3	1.847
QARS	-0.59875
SOX7	0.868
BID	-0.04775
OR2S2	1.0905
CXCL14	2.596
C11orf47	-0.918
MGC29891	-0.536333333333333
HSPB8	-0.2504
PRDM14	-1.112
NUFIP2	0.3215
MNAT1	-0.422625
ZDHHC2	1.46758333333333
MBNL2	1.029875
ADD3	1.0105
CSNK2A1P	-0.30825
KLK6	-0.3785
TMEM111	-0.4958
KIAA1279	-0.34075
NUBP2	-0.264333333333333
RAB42	0.36475
ID3	-0.3113
TM9SF1	0.175
MDP-1	-0.675
POU4F2	0.165333333333333
IQCK	0.45575
C16orf14	0.42025
CAPN3	-1.3985
FAM43B	0.4345
RECQL	-0.9895
AP1G1	-0.0940714285714286
CTNNBL1	-0.76
ECHDC1	0.0458333333333333
SMARCC1	-0.6726
FOXQ1	1.88275
GNAI3	-0.574833333333333
POLG2	-2.71075
CD4	1.2695
ITLN1	-0.4905
EBI2	4.4155
IRF1	1.1645
PTPRE	2.3054
PTK2B	-0.24025
