Hybridization REF	TCGA-E2-A10F-01A-11R-A10J-07
PIGB	0.347
COMMD8	0.517
TRIP11	-0.189333333333333
FLJ40142	-0.61225
PCDHB6	1.16325
FKBP8	-0.321333333333333
FLJ12716	0.0408
POT1	-0.1065
KIAA1109	0.739857142857143
PTPRC	1.51808333333333
UNQ9391	1.465
CCT7	-0.591333333333333
EEF1A2	-1.30625
MIPEP	0.40375
ZFX	0.4596
UCHL3	0.338875
LOC388419	0.076
GSG1L	0.325166666666667
RAB24	-0.574
SLA2	0.654
SDS	3.49533333333333
LYPLA3	0.4435
CASQ1	0.324
SLC25A40	-1.28433333333333
IRAK1BP1	-0.23175
ACOT6	0.75375
COL9A3	-2.45025
ASB11	-0.3025
C2orf18	1.4985
FOXD2	0.41675
C6orf211	1.1765
OR8G1	-0.333666666666667
MDGA1	1.05925
ADARB1	-0.23575
GGT1	-1.38025
WNT1	0.152
DBP	0.56075
COL5A3	1.53
RHOD	0.86125
COL4A2	1.68025
LOC201164	-1.03175
HEBP1	1.76
LUM	3.30891666666667
ZCCHC6	0.36775
PAGE1	-3.8505
DTX2	-0.028
SLC7A13	0.646
H3F3A	1.289
RABIF	0.811875
D4S234E	-1.87566666666667
DYRK3	1.4365
PFAS	-1.692
ALOXE3	0.208833333333333
RPLP0	0.0606428571428572
RBM34	0.321333333333333
C12orf28	0.5965
U2AF2	-0.506
MKNK2	0.281125
SEC16A	0.89475
ZNF44	-0.0661
YWHAG	-0.104
IGF2BP2	-2.71775
OR1D5	0.749
SIX6	-3.71475
CCR6	-0.04025
PALM	1.65425
PUM2	0.0975714285714286
SPRYD5	-1.047
ALG10B	-0.300875
ZNF365	2.25525
PHC1	-2.24825
KIAA0913	-0.3595
ARX	0.18225
PPP3CB	0.4645
IRX6	0.1041
ANGPTL4	-0.8761
LSM14B	-0.7017
PCDHGB7	0.1455
INSM1	3.15891666666667
WBP2NL	0.477
ZNF493	-0.1835625
NGEF	-0.69925
RNASE13	0.6325
SPPL2A	-0.199833333333333
SFXN1	-1.380625
FAM102A	1.544
SAPS2	-0.998166666666667
JTV1	-1.2455
OR51B4	-0.8925
SCGB1A1	0.3645
NEUROD2	0.2425
tAKR	-0.1405
C1orf26	1.131
RICH2	0.072
TEDDM1	0.184
CYP2S1	-0.607
TBCE	-0.370166666666667
MAPK1	-0.80875
HDHD1A	0.03725
MRM1	-0.4525
ATP9A	-0.471214285714286
HSD17B3	-0.201
HN1L	0.4405
RNF216	-0.284375
HOXD12	0.1125
PPP1R14B	-0.37725
SBF1	-1.277
TAS2R42	0.4445
USP46	0.290166666666667
LILRB3	2.64716666666667
SPI1	1.6555
OXSM	-0.286
GYS2	0.314833333333333
NUPL2	-0.861
C8orf46	-0.785125
SF3A1	-0.3402
C21orf99	-0.204
HOXB4	1.0339
YRDC	-0.682
GPRC5D	0.0385
BLVRA	0.093125
KIF12	2.82
LRRC23	0.5905
FAM14A	0.523333333333333
RASL12	1.383
DAZAP2	1.287
IKBKB	0.6505
ZNF271	0.402333333333333
BOK	1.35375
CXorf6	-1.317
MYEOV	-2.391
BTN2A2	-0.3712
FRG1	-0.2105
HSP90AB6P	-0.174
ENOX1	2.65933333333333
ZNF706	0.0594
DOK1	1.2675
PGAP1	-0.722625
TMEM136	0.4815
FSCN1	-1.7905
KIF17	0.376
TRIM66	0.309
CBR3	0.00233333333333333
C13orf24	0.412666666666667
C19orf52	0.40625
BNIP1	0.5
AQP3	-2.4385
KRT6C	-0.771666666666667
SIRPA	0.901
IGFBP6	-0.446666666666667
PLEKHK1	-0.918875
RNASE7	0.398
ARHGEF15	0.566
NPHS2	0.05475
SRD5A1	-0.069
REXO4	-0.80625
EEF1DP3	0.12025
SLC37A2	1.46325
ZNF142	0.78575
ANKHD1	-1.1325
MUT	-0.4155
VPS37A	0.2685
GPRIN1	-0.36875
SLC38A3	-1.545875
BAZ2B	0.9185
WDR87	0.599
BRD7	-0.5825
POU6F2	-0.6935
NISCH	0.7595
TCEB1	-0.4155
LINGO2	-1.95825
TAX1BP3	0.1335
RPL34	0.109444444444444
MARK2	0.4265
AKAP12	-0.3952
AMBN	-0.1445
SLC25A27	-0.987
FLJ21865	-0.043125
KIR2DS2	0.326333333333333
WDR77	-1.30675
ATF2	0.0361666666666667
ITFG3	0.391333333333333
SLC39A13	1.15725
ARL6IP5	1.2545
C10orf137	0.15225
QTRT1	-0.114166666666667
CCNT1	0.20025
DYNLL1	0.7823
WDR53	-0.36075
LIPG	-0.920666666666667
ASAH3	0.289
HELB	0.9125
PHACTR2	0.21725
VENTX	0.0555
LAD1	-0.149333333333333
PAOX	0.83625
MAPK8	-0.2845
CCDC38	0.00925
DNAJC8	-0.245
RBBP8	0.981
WNT11	0.6422
KCNJ12	-0.782666666666667
HDAC8	0.087
STARD4	-2.32125
ACVR1	1.20966666666667
C14orf65	-0.248083333333333
KLB	-1.383
C1orf65	0.119
ZFYVE28	0.517875
NSUN6	0.50275
KIF27	0.3275
SYTL2	0.597333333333333
UBXD2	0.2914
OR6T1	0.3145
CCDC91	0.753928571428571
GRID2	0.544
CALN1	-0.416625
ZNF423	0.65375
PSMB4	-0.0398333333333333
XPNPEP3	-0.309666666666667
ARPP-21	-1.3541
SART1	-0.541
RACGAP1P	-1.573
SPTA1	-4.381
C6orf113	-0.872
C7orf16	-2.12325
CHST7	-0.603166666666667
C21orf29	-0.329
SEMA6D	0.00687500000000001
PCMTD1	1.22925
KIAA1754	-0.320333333333333
MYCN	-1.209625
KCNJ3	2.69325
MAPK13	1.7667
ERO1LB	-0.5375
NTF3	-0.504166666666667
NKX6-2	-0.34325
GTF2B	0.174
GSPT1	-0.0246666666666667
GUSB	-0.415
LOC221091	-0.0355
LIG1	-0.7415
EXTL3	0.154666666666667
NID2	-0.10175
TTC29	1.29875
TMEM97	-1.463625
EXTL2	-0.980833333333333
SUZ12	-0.399
IL1F8	0.0605
KRT18	-0.0180909090909091
MRPS16	-0.44675
PI4K2B	-0.0825
LACRT	-0.306
OR51F2	0.013
JMJD2C	-0.30025
KGFLP1	1.96075
CDK5RAP3	-0.5521
YTHDF2	0.757833333333333
GGCX	0.132125
ARPC4	0.26375
EGLN2	1.28966666666667
KBTBD4	0.427071428571429
ROBO3	-0.4858
DEFB118	0.2345
KIAA1543	0.80975
RTCD1	-0.365333333333333
MZF1	-0.00275
C18orf26	-1.033
CNIH4	-0.0996666666666667
ZFP2	1.99966666666667
HTATSF1	0.07325
WFDC2	1.31625
NDUFA7	-0.03
TTC22	0.4625
FAM40B	-2.5935
DCPS	-0.84275
SH2D1B	-0.917
MRGPRE	0.304
SBK1	0.411
UNQ6411	0.592
OSBPL9	-0.92575
NUP107	-0.97025
MYOZ3	0.2233
PDE4B	0.836916666666667
FAM113A	-0.558
IDH3G	-0.0753333333333333
FBXL7	0.09975
ARFGAP3	-0.192
MAPRE2	-0.239692307692308
IL1RN	1.7457
KIF13A	0.55075
RAC3	-0.697
TCTE1	0.018
TMEM14B	-0.6425
ADIPOR1	0.487166666666667
GRINA	0.965
CLIP4	0.429
LRIT2	-0.8205
TFPI	-2.90421428571429
FABP6	-1.86625
SLITRK2	-0.2326
HKR1	0.43875
SMTN	-0.09925
C1orf75	-0.0215
CD209	0.309875
CYB5R2	1.22275
DNTTIP2	-0.270333333333333
CSGlcA-T	0.671625
GABRB3	-2.04725
PCBD1	0.477166666666667
TAF3	0.551583333333333
HOXD3	0.4675
GIPC3	0.192333333333333
P11	0.2531
BFSP1	-0.06625
LCP2	1.35025
TAS2R8	0.242
SEZ6L	0.0555
NR2C1	-1.3175
EXDL2	0.6287
TNFRSF13B	-2.34183333333333
MKI67	-1.91475
GLS	0.026
C7orf54	-0.7546
LGALS13	0.0275
IL4R	1.10175
SEC11A	-0.164166666666667
SPP2	0.378
C18orf32	0.62975
CLSPN	-1.36416666666667
SPAG1	0.046125
C9orf82	-0.44375
TM4SF1	-1.45833333333333
EMILIN2	1.67925
SMG7	0.695833333333333
TAS2R13	0.546
ZNF628	0.3325
DZIP1L	-0.0221666666666667
ANKRD13A	-0.2493
VASP	0.751875
ZCCHC11	-1.817375
SYPL1	-0.36075
MGC34774	-0.481
C4orf28	0.1935
KIAA1211	-0.427166666666667
RPS27L	0.22225
TATDN3	-0.43975
PDCD1	0.47375
OR5P2	0.2635
IFIT1L	-0.0405
MIPOL1	1.177
OR51D1	0.90475
C1orf92	0.194
LAMP2	0.910388888888889
CAT	0.583
C16orf80	-1.03525
C15orf32	0.3495
ZNF746	0.0825
C1orf76	-1.0545
ATXN1	0.76725
LAMC2	2.53725
SLC2A7	0.0015
CPOX	-1.7075
APH1B	1.44966666666667
LOC442245	-0.30075
CTNND1	0.954333333333333
GABRG2	-0.261375
MADCAM1	-0.394666666666667
F5	-1.963
SEMA4F	-0.0606666666666667
NUDCD3	0.38125
PDZD11	0.196
TRIML1	0.0045
GCNT3	-2.4715
TMEM120A	0.781
CNDP1	0.6665
N4BP1	0.208625
SLC35F2	-0.795875
LCP1	0.59025
IGBP1	0.4094
DCAKD	0.042375
ELA2A	-0.8445
C12orf56	-2.06125
PITRM1	0.221785714285714
GUK1	0.387
RASSF8	-0.619125
OR2A14	0.04125
ADM	-2.50122222222222
FGD3	3.98966666666667
GHRHR	0.188833333333333
RHPN2	-0.5025
C4orf39	-0.5625
VPS72	0.12425
SERF2	0.529166666666667
CD22	1.4805
CD47	0.1022
PPIC	1.10516666666667
IMPDH1	-0.957583333333333
ACP6	0.433833333333333
PRKACA	0.09275
PPP1R1A	0.5715
TRPV3	0.131
ASXL1	-0.600375
C17orf55	0.0615
FXYD1	0.418
LMOD2	-0.197
ANKRD33	0.156
LCE2C	-0.277875
ZNF620	0.068
DKFZP566E164	-0.86
VSIG2	0.402
KIAA1128	0.914
USO1	-0.0718333333333333
NUDT4	0.161285714285714
CLDN1	0.938285714285714
OR4Q3	0.53
FASTK	-0.479166666666667
ICOS	1.392
LDB1	1.0735
GSTA5	-1.44775
ABCC1	-0.8685
FAM54A	-3.034
PCBP2	-0.129666666666667
NUP205	-1.62275
ACTA1	1.40483333333333
GABBR2	-1.70025
PIP5K1B	0.7835
AGXT	-1.79366666666667
RNF181	0.09275
ATP8A2	-0.66375
AFTPH	1.1866875
FGF21	-0.159
FCER1G	1.638625
SNTB1	-0.98025
SLC24A3	1.998875
TXNL4B	-1.2691
RPL10L	-0.126833333333333
LOC389517	-0.6168
TSGA13	-0.274
SHOX2	-0.165333333333333
ITGA7	-0.1282
KCNIP2	0.1655
KLF13	0.4219
ZFAND2A	-0.738
CEACAM1	0.308571428571429
PFKFB4	-1.68666666666667
MED19	0.0915
LRRC57	0.4945
RNF11	0.41775
ANKRD32	-2.5155
P117	0.5285
OBFC2A	0.132833333333333
POLD3	-0.55775
RAB18	1.329625
TPH2	-0.082
PHB	-0.4447
JDP2	1.174
MORF4L1	0.0109
POU2F1	-0.4945
CNNM2	-0.713166666666667
LOXHD1	-0.0538333333333334
ZC3H15	-0.057
ELK3	0.679
FAM111B	-0.111
CBLC	3.06366666666667
SBNO1	0.0485
ANKMY2	-0.123
PLEKHA5	-0.0175
DHX58	2.16666666666667
ARCN1	0.4395
TREML1	0.4347
KNCN	0.1765
SEC24A	-0.871125
PSCA	-1.4275
MGC24125	0.336333333333333
DNA2L	-1.97225
CIB4	1.55625
HIGD2A	-0.227833333333333
TBX6	-0.189666666666667
TTLL5	-0.801
SGK3	0.663166666666667
GCN1L1	-0.29675
AMOT	-0.0153
LDOC1	0.148666666666667
NRK	0.184833333333333
ASB9	-2.01325
NAT1	4.5891
TRAFD1	0.50475
PEAR1	0.637666666666667
FAM36A	0.4965
OR1S2	0.2875
LOC388323	-1.97425
PGS1	-0.347833333333333
LEPREL1	-2.52275
TFF1	-1.449
HAP1	0.308
EPHB2	0.625
ACTG1	1.58283333333333
ZFP42	-0.417
HAVCR2	1.5858
NME1	-0.6225
SNX26	0.0373333333333334
LACTB	1.52016666666667
ZKSCAN2	-0.086125
C5orf35	0.40975
ANKS3	-0.019
RBM28	-1.3855
DKFZP586P0123	-0.382
HNRNPA1	0.234
BCAS3	-1.34033333333333
FLJ20184	0.3445
POLA2	-1.16433333333333
TMC7	-0.523166666666667
HSD17B6	2.8075
ZNF658B	0.613833333333333
TTTY10	0.0933333333333333
RANBP9	-0.229083333333333
CPNE7	-1.573
EVL	1.32435294117647
LNX1	0.386416666666667
IFNA21	0.401833333333333
CFD	1.1555
PYCARD	2.41666666666667
MYBPC2	-0.895
ENPP3	-1.84066666666667
ACSL4	-1.12525
LOC440258	-0.716333333333333
TMEM176B	2.95633333333333
SOX2	-3.411625
SCO1	-0.274166666666667
COMT	-0.28325
AOC2	-0.60275
PDLIM5	1.41021428571429
SPHK2	0.410666666666667
NXPH2	0.263
GPR108	0.233
RAD51L1	-0.115666666666667
TMEM54	0.80825
LETMD1	-0.695111111111111
SLC6A17	0.5155
KRT75	0.278
STT3B	-1.01116666666667
CD3EAP	0.0825
TMEM63A	0.10475
DUSP13	-2.39475
CD1C	-0.6245
LASS2	1.26866666666667
AVP	0.631
PITPNM1	-1.30225
FLJ22795	-1.1525
MCTP1	-2.278
TRIM68	0.166333333333333
UCK2	-0.3795
ABHD1	1.5895
FAM50A	-0.1025
RNASEH1	-0.804333333333333
PCP2	1.10866666666667
OR52H1	0.173
C20orf149	0.651
RBP5	-0.152833333333333
HYAL3	-0.33575
CLPB	-0.79625
SMNDC1	-0.39275
DONSON	-2.47083333333333
FLJ27523	-0.56225
BARHL2	0.200166666666667
SLC30A9	0.232166666666667
TMPRSS11B	-0.1615
E2F8	-2.30716666666667
CCDC25	-0.183416666666667
C14orf48	-0.267333333333333
C20orf116	0.27125
TSPAN11	0.192
YIF1B	-1.12616666666667
FAM12B	0.22525
OR1L6	0.011
HPN	1.2833
NBN	-0.00174999999999999
C14orf94	-0.652333333333333
OCLM	-0.495
ZSCAN18	1.1946
L3MBTL	-0.8068
TSTA3	0.845666666666667
RAC1	0.354375
C19orf15	0.215166666666667
NFE2	-3.91725
KLK14	0.3085
ARSF	0.1655
MAST2	0.425833333333333
AMICA1	2.15516666666667
GTF2A1	-0.285625
ATP1A3	0.0415
TC2N	1.536
PNKP	-0.02975
ODZ2	0.83675
MATR3	0.308625
S100P	-4.33575
KRT82	0.0325
CA13	0.0866
PROZ	-1.535
AASDH	-0.008
C19orf40	-0.383333333333333
DCK	-0.417615384615385
FAM5C	-1.713
SLC6A4	-1.96
MID1IP1	-0.7255
TESSP5	0.132
TMOD4	0.119166666666667
DOCK2	0.0751666666666667
TUG1	0.3805
NUP214	-0.6015
DPYSL2	-0.296636363636364
GOLM1	1.64191666666667
MPFL	0.10525
SOX13	0.756
SDCCAG8	1.3449
KEL	-2.93466666666667
NUP210L	-2.417
GK	-0.8445
DNAJB1	0.63275
ALPK3	0.654
CHID1	0.3411
CYLC2	-0.272166666666667
IKZF5	0.37275
C8orf51	0.527666666666667
PPM1J	2.1885
GIMAP8	2.87216666666667
GPR101	0.2045
NR2F1	-0.4935
ACAD8	0.18475
RBM35A	1.2925
GNAI2	0.588666666666667
METTL8	-0.016
SLC39A7	-0.9915
FBXO8	0.686
CAMK1	-0.07475
RFC3	-1.019125
FAM129A	0.792428571428571
ILF2	-0.1715
FGFBP3	-2.014375
NOM1	-1.039
PSMA3	-0.63425
ASCC3	-0.5036
ZYG11A	-1.76725
SOX21	-1.295875
LYRM1	0.44675
DEFB1	0.274
LOC91431	-2.7155
OR7C2	0.348
FAM46B	1.9395
TMEM18	-0.103875
ARHGAP30	1.87416666666667
TMEM86A	2.16291666666667
EPHA2	-1.05433333333333
C10orf46	0.641
TCHH	0.2525
C3orf30	0.131166666666667
LOC285636	-0.24
PAIP2	0.12275
CYP2U1	0.175
C12orf34	0.03225
SARS2	-0.558
ZCWPW1	1.00125
SAMD12	1.265875
KIAA1430	0.306375
ACAT1	0.16075
MEOX1	1.07733333333333
ADAMDEC1	3.7355
PHKA2	-0.5215
CARD11	0.0228333333333333
CALML4	-0.5965
TSSC1	-0.10275
TMEM45A	-0.633777777777778
MPP7	2.399125
POU1F1	-0.47075
SLC2A13	-0.4709
FBN2	-0.953214285714286
ZC3H7A	-0.0058
LAIR2	-0.073
ST3GAL1	0.281333333333333
LCT	-2.5965
GEMIN8	0.3735
KLF16	0.5055
HIF3A	-0.3423
FAM44A	0.421928571428571
AQP10	-1.2163
PLA2G2A	-0.4355
FOLH1	0.388
C20orf186	0.0915
MAPKAP1	0.17
SPRR2D	-1.5215
UBQLN4	-0.0556666666666667
RSHL1	0.102833333333333
PIAS3	0.90475
MRPL24	1.09575
GREB1	-0.0775
FAM27E3	-2.291
NUP62CL	-2.16025
NEUROG3	1.186
REEP3	0.795583333333333
MARK1	0.347625
LMBRD1	0.5955
PRPF19	-0.701
PNMT	-0.574333333333333
CTGLF1	-0.568
SLC25A16	-0.104
EIF2B3	-0.829
RPA2	-0.21575
PAK6	1.33416666666667
CCDC26	-3.803875
SEMA3E	2.52725
MXD4	1.1457
TNFSF10	3.0393
SMARCB1	-0.877666666666667
DTX3L	1.43633333333333
PLA2G4E	0.437
PPAP2A	0.82325
ULK1	0.05025
TAS1R3	-0.034
SLC2A3	-2.92781818181818
ARID3A	-2.01475
GNG5	-0.56875
ACOX1	-0.0042
KIF5B	-0.21525
NUP153	-0.777
MUC7	-0.00800000000000001
CSDE1	-0.312928571428571
CLPTM1	-0.35625
C3orf23	-0.03025
LRRC17	1.065
TTYH3	-0.276625
ATP5B	-1.0175
ELF3	0.2886
CPSF3L	0.166166666666667
ZNF665	0.528833333333333
TLR6	1.0766
GPI	-1.0915
RAD9A	-0.502
NDST4	-4.152
AGPAT3	0.333
MAGI3	2.79333333333333
ADORA2A	2.11
CACNG7	-0.5785
CAMK2D	0.0412142857142857
CCHCR1	-0.5945
RPS27A	-0.19175
OR10G7	0.240333333333333
GCM2	0.9975
FAM135B	1.3051
E2F1	-2.227
PLCB3	0.08225
OR2AE1	-0.4065
COIL	0.145833333333333
CDC25C	-2.142
RAB11FIP2	0.62175
TSC2	0.48825
CTGLF5	-1.228
CCDC108	0.9125
OR13C4	-0.088
C10orf81	4.584
PTPRB	1.6415
ACP2	0.75025
LAG3	0.5465
MRPL54	-0.18625
LOC201175	0.8645
ITGB1BP3	-1.90875
SPTAN1	0.79
SIPA1L2	-0.661
RCAN2	-0.218
CDX2	-0.0845
ECOP	0.23775
ACTR1A	0.205857142857143
PPARG	-0.2615
BBS10	0.531166666666667
TMEM44	-1.372125
BPIL2	0.08175
CITED1	0.247
IRF6	3.80275
PRDM4	0.485833333333333
RRP9	-0.735
OR10H4	0.1865
IL31RA	-0.25875
GNB1L	-1.63716666666667
MYBL2	-2.573375
ZNF407	0.969
PPIG	0.147666666666667
TTC18	2.01975
RPSA	-0.0185
MAPT	1.94075
MRE11A	-0.182785714285714
C8orf37	0.123
RASGEF1C	-0.442333333333333
STBD1	0.45125
CTAG2	-0.300833333333333
MGAT5B	-1.7335
ECM1	0.888375
RLN1	4.25
PARP14	1.4979375
EPB41L1	0.9478
HOXA3	-0.324833333333333
MAGEA9	-4.05125
RPS8	-0.063
RPS19BP1	-0.48025
FOXJ2	0.4685
C10orf76	0.369375
IL17RE	-0.2075
C10orf65	-1.34125
ZNF343	0.142166666666667
FBXO33	-0.528375
UHMK1	1.605
LY6G6C	-0.43825
FGF19	-1.93325
C14orf128	-0.711666666666667
IFIT2	3.429875
TIGD1	-0.80625
S100G	-0.366
GUCY1B3	1.936
NR3C1	-0.4508
CORO1B	0.314666666666667
PARP11	0.66575
DNALI1	4.29833333333333
OR4N4	0.09125
MAP2K6	0.0933333333333334
FSTL4	0.32575
ANKRD47	1.082875
TMEM171	-0.9565
PNLIP	0.51725
YY1	0.543166666666667
CCDC138	-1.56433333333333
AASDHPPT	-0.3808
CKS1B	-0.3175
MCM3	-0.8795
ANAPC7	-0.239666666666667
FAM110A	0.91625
CDC37L1	1.52183333333333
THTPA	1.22325
NBPF20	0.108
WDR24	0.731
NPTX2	-3.3555
CBLB	0.616
CETN1	0.112
RPUSD1	0.27375
FAF1	-0.47175
CDK6	-2.4039
HMX2	0.0875
CSK	-0.214666666666667
TEAD2	0.494
SNAP25	-0.87775
TUFT1	1.7258
TMTC3	0.6015
LCK	-1.04475
SGOL1	-1.61133333333333
AKTIP	0.98875
FURIN	-0.1365
SOX12	-0.2315
DEFB103A	-0.1365
RAMP1	0.95325
KIR3DX1	-0.2415
GAS2L3	-0.023
PDE8A	-1.4643
EDN3	-0.70725
GMIP	1.1135
SF3A2	0.83575
FN3KRP	0.80175
SMAD7	1.24225
RHBDD2	0.33525
OR11H6	0.027
PPP1R3B	0.9474
C9orf23	0.16775
CADPS	-0.078
GOLGA8A	-3.036875
TMEM57	0.521166666666667
RGL3	0.2015
S100A14	2.939
FGFR2	0.7825
XRCC3	-0.8835
RTN4RL2	0.4305
MGC3771	1.259
GH2	0.0758333333333333
BTBD2	0.17175
LMO2	0.401
RDBP	-0.508125
ACRBP	-0.88725
AMY2A	2.05275
DUOXA1	0.5045
PTK7	0.932166666666667
TWF2	0.862666666666667
FAM80A	-1.793
TNNI2	-2.04966666666667
GLT25D1	0.116666666666667
OCC-1	-1.6465
CYC1	-0.728333333333333
RPL22	0.122409090909091
MORN3	1.40616666666667
DISP1	1.2045
PRB2	-0.2305
CHUK	-0.107
HR	0.247
CCDC134	-0.296375
DENND4B	-0.51525
C14orf130	-0.134
RAB33A	-1.06
DCST2	0.171
TNMD	0.40625
PEX7	0.21125
FAM62A	0.275625
SRD5A2L	0.28125
IL22	0.0355
RPS26	-0.875333333333333
HOXC5	0.583
SPATA6	1.4335
FLJ38482	0.167625
ZNF234	1.2935
C18orf22	0.83
SPATA22	1.3925
THOC1	-0.571
CYP7B1	3.099
KCNC3	-0.10325
C8orf42	-0.702
ALDH1B1	0.5695
CCDC100	0.1577
ARMC4	-1.102
FAM18B2	-0.2565
SLC44A1	1.2125
FBXO17	-1.66233333333333
C6orf107	-0.082
C19orf29	-0.22675
ZC3HAV1L	-0.13325
PARP6	0.0907
SULT2A1	-4.5275
C1orf159	-0.33425
TMC1	-0.2395
CHST14	0.329625
GAMT	0.1025
SMCP	0.147333333333333
TSPAN33	0.677166666666667
MIDN	-0.18225
NOX4	3.355
RNASEN	-0.5382
TBX1	-0.136166666666667
SALL2	0.18
C10orf35	1.40025
CYP2E1	0.384
LRFN2	0.963333333333333
ACO1	-0.574
IQCG	0.9795
MEGF9	1.876
TM7SF4	2.38925
PLEKHA1	0.796266666666667
STK33	-2.32625
C1orf210	1.7765
SNUPN	0.0374
KIAA0406	-1.3133
C20orf29	-0.24525
TMEM55B	-0.02225
OSTM1	-0.71875
CLCN7	0.18725
OTP	-0.09375
FLJ23049	0.9645
HEATR4	0.047
MAP3K10	0.646833333333333
PCDHGA9	0.0735
AMDHD2	0.7785
LCTL	-1.5995
PDCD2L	-1.0495
CABLES2	-0.4105
SLC5A9	-0.57675
CLCA2	-1.58933333333333
MGC16025	-0.597
STRAP	-0.872666666666667
C20orf196	-0.567
RRBP1	0.233
NAT13	-0.66525
MAT2B	0.570125
CSNK1D	-0.818166666666667
KIR3DL1	0.258
PRKAG3	0.0135
ZNF599	0.5575
PRM3	0.1035
PER2	1.32133333333333
ASPHD1	-2.0035
PRMT6	-0.684
KCNE1L	-0.7515
FAM118A	-0.448833333333333
TAF4	-0.66275
NDUFB6	-0.3005
TRIM9	0.527916666666667
PMFBP1	0.075
KY	0.4275
DKFZp762E1312	-2.42690909090909
CSMD1	-1.14875
TBP	-0.875166666666667
OR1Q1	0.5295
RETNLB	0.46
HPGD	0.0687142857142857
DNAJC12	1.607
FKBP1B	-1.5365
ANKRD24	0.0656666666666667
CXXC5	1.28233333333333
IL3	0.020875
DRAM	1.0725
PTCH1	-1.492875
TP53BP1	0.46475
SLC17A7	-0.170625
COL25A1	-0.7855
AMACR	0.6445
RHCG	-0.15475
VPS13A	-0.431416666666667
FAM55D	0.0055
PRPF38B	-0.451666666666667
OSBPL6	-0.455
PFDN5	0.4795
CMTM6	1.121125
KCNK12	-1.887
RP2	0.5155
C16orf52	-1.31675
PICK1	-0.00749999999999999
IFNE1	-1.10033333333333
SEMA4B	1.1085
TYRO3	-2.231
OR12D2	0.0015
CSNK1A1	0.07445
FANCF	1.216
LONP2	0.17425
TBL1Y	-0.77
LDOC1L	-0.178
CCNC	-1.5315
C3orf60	0.09925
CHKA	-1.417
UBAP1	0.331
MAP3K1	1.692
ANKRD9	-0.95125
FAM92A1	-1.42133333333333
GAB2	0.472625
AZU1	-0.48675
DIS3	-0.61775
C21orf109	-0.859
IQCB1	-0.727
SPATS2	-0.310666666666667
EFCAB3	-0.5065
PRB3	-0.3245
FUZ	0.343833333333333
ZNF813	0.4165
BMPER	-1.0065
HEG1	0.42775
ALS2CR11	-1.069
SURF2	-0.38975
PSMC1	-0.576333333333333
OR2D2	0.3495
SLC7A8	2.1285
C4orf40	0.634
SPATA7	-0.017
MAZ	-0.0698333333333334
PIN4	-0.3435
PDE1A	-0.07725
TAF6L	-0.366666666666667
OR2T34	-0.0115
KIAA0284	0.551
ACADS	-0.364818181818182
MKRN2	-0.2995
C18orf56	-2.9715
MS4A6E	0.431333333333333
GALNT4	0.691
C22orf31	0.2205
FLJ36070	0.379
PSME4	-0.15075
TFG	0.2985
EPHX2	1.925875
ANXA5	0.234125
KRTAP1-1	-0.2976
BATF	1.0295
KARS	-1.2925
MSTP9	-0.5155
GPR26	0.75725
CCDC72	0.057
TEF	0.583166666666667
FOXK1	-0.6871
PRLHR	-0.032
EMX1	1.6515
C11orf30	0.120875
ICK	0.43175
THSD7B	0.5845
C21orf100	-0.087
DUOX1	1.891
EFCAB4B	-0.486
UBE2G2	-0.688166666666667
C3orf54	0.32025
PARP1	0.03
FAM60A	-1.26158333333333
C6orf146	-0.2525
OR9K2	0.45
DDX55	-1.0705
RPS15	0.201083333333333
ZNF618	0.9323125
DKFZp686D0972	1.33125
SSPO	-0.787
SHFM3P1	1.01333333333333
CPA6	-0.299
JAG2	0.5905
DEFA3	0.2125
PPBPL2	0.0536666666666667
CD34	3.535125
SLCO4A1	-3.857875
AFG3L1	-1.66116666666667
SHD	-0.92975
RP13-122B23.3	-0.285833333333333
PRKCSH	-0.993333333333333
DPH5	-0.9585
HLA-F	2.3185
TBC1D4	0.03575
RIG	-0.0681666666666667
GLUD1	-0.323666666666667
HNRPCL1	0.69525
HBXIP	-0.48475
RNF207	-0.1465
APIP	-0.75475
PLA2G3	-2.9035
CCDC84	-0.98
MYLIP	-0.202615384615385
PHIP	-0.73525
AARS2	-0.138333333333333
DHX32	0.59075
SCAPER	-0.212833333333333
MEN1	-0.017875
NIP7	-1.45875
FLJ25404	0.8865
FASTKD3	-0.8815
TMEM158	-1.50408333333333
RARA	1.5615
BDH1	-0.322
ANKRD16	0.659
CARM1	-0.231
SS18	0.512
IKZF2	0.427333333333333
MYD88	1.318875
PML	0.84125
TAF1A	-0.828
CBFB	-0.80725
HIST1H3H	0.4005
C7orf29	-2.02
COMMD4	-0.816166666666667
DPP3	-0.073
DAB2	1.082875
LOC388882	0.2485
YPEL4	-0.3035
AGBL3	0.7905
LRP6	-0.0871
SERPINH1	0.315083333333333
TLE1	-0.866
CD244	0.960833333333333
ZDHHC15	0.23275
MGLL	0.4867
PLDN	0.18325
LOC654346	1.8645
FAP	3.64775
GPR37	-0.991166666666667
SCARA5	1.204
EBF4	1.71290909090909
LSM6	-0.5775
MLLT1	-0.0604375
SLC5A12	-0.6895
A2BP1	-1.39316666666667
COPS5	-0.205666666666667
TPM4	-0.0737142857142857
TNFSF4	2.749
ACADSB	1.51188888888889
HERPUD1	0.10525
BCL2L11	-0.252277777777778
CEP78	-0.98875
