Hybridization REF	TCGA-BH-A0E9-01B-11R-A115-07
C3orf60	-1.1715
CHKA	-0.51575
UBAP1	0.76475
MAP3K1	0.6355
ANKRD9	-1.60925
FAM92A1	-0.830333333333333
GAB2	-0.143
AZU1	-0.43
DIS3	-0.577416666666667
C21orf109	-1.26125
IQCB1	-0.23575
SPATS2	-0.5815
EFCAB3	-0.52925
PRB3	-0.813625
FUZ	-0.0855
ZNF813	1.259
BMPER	-0.592333333333333
HEG1	0.4835
ALS2CR11	-1.3925
SURF2	-0.823
PSMC1	0.0148333333333333
OR2D2	0.3965
SLC7A8	2.01066666666667
C4orf40	0.2595
SPATA7	0.91725
MAZ	-0.683416666666667
PIN4	0.204
PDE1A	-0.07275
TAF6L	-0.331666666666667
OR2T34	0.064
KIAA0284	1.09925
ACADS	-0.454545454545455
MKRN2	-0.137
C18orf56	-2.17025
MS4A6E	-0.399833333333333
GALNT4	0.9806
C22orf31	0.411
FLJ36070	-0.381
PSME4	0.18075
TFG	0.4888
EPHX2	1.535625
ANXA5	-0.3675
KRTAP1-1	-0.2743
BATF	1.124
KARS	-0.87925
MSTP9	0.6375
GPR26	0.336375
CCDC72	-0.61925
TEF	1.12133333333333
FOXK1	-0.6395
PRLHR	-0.0325
EMX1	2.67825
C11orf30	0.05475
ICK	0.500875
THSD7B	1.3825
C21orf100	-1.4935
DUOX1	1.952
EFCAB4B	-0.2775
UBE2G2	-1.01
C3orf54	-0.059
PARP1	0.3095
FAM60A	-1.45008333333333
C6orf146	0.0495
OR9K2	0.1095
DDX55	-1.1255
RPS15	-0.0905
ZNF618	1.0911875
DKFZp686D0972	1.56725
SSPO	-0.3915
SHFM3P1	1.738
CPA6	-1.1955
JAG2	2.1945
DEFA3	-0.1115
PPBPL2	0.0966666666666667
CD34	4.234
SLCO4A1	-2.70975
AFG3L1	-1.06366666666667
SHD	-1.4965
RP13-122B23.3	-0.487166666666667
PRKCSH	0.0835
DPH5	-0.349
HLA-F	1.188
TBC1D4	0.0235
RIG	-0.526666666666667
GLUD1	-0.2875
HNRPCL1	1.460125
HBXIP	-1.6155
RNF207	0.0885
APIP	-0.24375
PLA2G3	-2.46066666666667
CCDC84	-0.751
MYLIP	0.840153846153846
PHIP	0.5235
AARS2	-0.498333333333333
DHX32	0.41925
SCAPER	0.434
MEN1	0.02175
NIP7	-1.657
FLJ25404	0.449
FASTKD3	-0.614
TMEM158	-3.538
RARA	0.7555
BDH1	1.2475
ANKRD16	1.3045
CARM1	-0.2705
SS18	1.10433333333333
IKZF2	0.270333333333333
MYD88	1.61425
PML	0.1622
TAF1A	-0.1965
CBFB	-1.017375
HIST1H3H	-1.1185
C7orf29	-1.5815
COMMD4	-1.42416666666667
DPP3	-1.273
DAB2	0.394375
LOC388882	0.3175
YPEL4	0.03075
AGBL3	0.2415
LRP6	0.262
SERPINH1	-0.46725
TLE1	1.141
CD244	1.27183333333333
ZDHHC15	-0.0365
MGLL	0.085
PLDN	0.145083333333333
LOC654346	1.3735
FAP	2.21475
GPR37	-1.013
SCARA5	1.77433333333333
EBF4	1.90763636363636
LSM6	-0.83275
MLLT1	0.20925
SLC5A12	-0.39925
A2BP1	-1.773
COPS5	-0.260166666666667
TPM4	-0.716214285714286
TNFSF4	-0.0683333333333333
ACADSB	2.00755555555556
HERPUD1	0.9075
BCL2L11	-0.299777777777778
CEP78	-0.926375
CDCA3	-2.07475
WBSCR19	0.4324
MYO1A	-2.4275
PPEF1	0.587166666666667
LOC440348	-0.9825
CPEB2	0.889375
BPTF	-0.0913333333333333
RPL21	-0.4145
GSX2	0.196
ADPRH	1.66783333333333
C17orf68	-0.116833333333333
KCNS1	-0.325333333333333
MLLT6	0.3602
PIWIL4	1.4905
RNF26	-0.9515
RAP1B	0.031375
ADAMTS1	0.2946
ZNF571	1.644
P2RY6	-0.46425
TRIM21	0.934666666666667
CADM3	0.55925
NLRC5	0.626
ADRA2B	1.05366666666667
LOC90835	-0.6755
PCF11	0.19625
LOC400451	0.9465
GLTSCR1	0.1421
C17orf88	-0.4115
CDH16	-2.083
FGF7	3.252
PCSK4	0.00583333333333333
NPC1L1	-1.3335
TAT	1.142875
TBCA	-0.60125
MGC33407	0.12275
GPR115	-0.67125
CYGB	1.0735
FNBP4	-1.06733333333333
C12orf43	-0.0485
CBL	-0.5672
CLECL1	0.8575
PPAPDC1A	-0.72125
WDR25	0.929833333333333
SGCA	0.6155
C22orf29	-0.1015
YIPF1	0.477
GALK2	-1.27625
RAB3B	-2.775
LOC440087	1.61225
UCP1	0.8975
REEP5	1.3175
FADD	-0.1175
FOXA1	3.602625
CACNA1A	-0.169166666666667
ABI1	0.908666666666667
GRIN2D	-1.176
SLC1A4	-0.751666666666667
LOC401127	-0.96725
HINT2	-0.38475
PLD4	1.05383333333333
ZNF286A	-0.816
ENY2	-1.319
IL1F6	0.332
PXDNL	0.79425
C20orf79	0.128
TNFSF13B	1.98566666666667
DENND3	0.62875
JARID1D	-2.77425
HIST1H2AK	0.34125
LOC93349	0.4167
SSH1	-1.1821
ENSA	0.28325
LOC219854	0.971666666666667
CKAP2	-1.2498
DKFZP564J102	1.15083333333333
MGC87315	0.703833333333333
HNRPAB	-0.6155
AMH	-1.7765
ZNF526	0.4725
BRUNOL5	-0.2374
CACNG3	-0.153833333333333
TRPM1	-1.5545
PPP2R1A	0.20825
COL2A1	-0.52625
DDN	-0.48
FLJ25770	1.38133333333333
HK2	-0.427714285714286
ELOVL6	-2.051125
MDK	-0.33125
EPHX1	2.50475
RASSF2	0.4595
DKFZP434B0335	-0.28025
DLX3	0.214875
PRTN3	-0.70675
AVPR1A	1.42475
C21orf125	-2.06725
TNFAIP8	-0.765333333333333
GNB2L1	-0.201
CALCRL	3.7315
SCGB2A2	7.61766666666667
UBXD7	-0.0215
ZNF674	-0.2085
TMEM35	0.30275
BRSK2	-0.268875
HECTD3	0.318666666666667
TMEM188	-0.408416666666667
LGALS9	1.523
SCARB2	0.91925
USP34	0.0195833333333333
C17orf28	0.9255
ZDHHC23	-0.91075
AQP12B	-0.37
SLC16A3	-3.25325
APLP2	1.46575
ITIH2	-3.02525
MICAL3	0.098375
TNNI3K	0.4655
HDAC2	-0.5385
PRR7	-1.8134
THBS2	-1.08775
LOC751071	-0.538166666666667
CA2	2.34933333333333
RANBP17	0.272
RLN3	0.0985
CRYZ	-0.00216666666666667
GBAS	0.868333333333333
TAS1R1	-0.38425
MPZL3	0.235
PCDH8	-1.24225
HSP90B1	-0.237416666666667
KCNK15	-0.636
TNIP2	0.494666666666667
GPR146	1.15575
NOL6	0.162375
SPC25	-3.04944444444444
STEAP2	3.77492857142857
VAMP3	0.0705
TCIRG1	-1.23525
ZP4	-0.182666666666667
PARL	-0.045125
TRIM39	0.683666666666667
KIAA1305	1.27375
CRNN	0.341833333333333
GRN	0.8465
HSH2D	-0.81225
SCAMP1	0.9083125
KIAA1913	1.23425
PTS	-0.54975
BANP	0.408285714285714
PRKACG	-0.00725
ADCY6	0.263666666666667
C16orf46	1.3595
CYP51A1	-0.15175
DDC	-5.84275
ANPEP	2.65983333333333
PROM1	0.9915
SIGLEC10	1.9125
COPG	0.7555
FAM26E	0.956375
TRIP4	0.6265
SNX3	0.614
C1orf175	0.689166666666667
PPY2	-0.09225
C14orf152	0.553
FTSJ1	-0.304666666666667
DST	1.139
LOC554235	-0.3575
GLRX5	-0.0875
C20orf12	1.6074
CAB39	0.843666666666667
MSH2	-1.02616666666667
PIP4K2C	-0.00224999999999995
CYLD	1.234375
WTAP	0.54775
MGAT4A	0.537111111111111
TSC22D4	0.3292
CHRM2	-1.6635
PPYR1	-0.391333333333333
CCNH	-0.565333333333333
RRM1	-0.61825
ECAT8	-2.69125
LOC400120	0.427
GABRA4	0.112375
C14orf4	1.00866666666667
C1orf59	-0.70875
CTDSPL	1.1515
NHEDC2	-1.1785
PDE11A	-0.5695
KLHL29	1.521
CD5	-0.2611
TSPAN9	1.4775
WDR67	-1.38325
THUMPD1	0.85
C18orf17	0.28625
CLYBL	-0.0425
FLJ13231	-0.309125
CMBL	-0.12425
LECT2	-0.32075
NKAPL	3.26816666666667
LOC654780	0.057
OR4C6	0.1825
RAB30	1.43983333333333
TSSK4	0.063
TMEM163	1.5485
OSBPL11	0.132916666666667
GNB5	-0.1345
CCL21	1.61225
C1orf121	0.0236666666666667
FMO2	3.23516666666667
RPTN	1.0855
MSTN	0.559
VCL	0.543785714285714
FYTTD1	0.19625
C11orf1	-0.159
CCDC88C	1.481875
HFE	0.458777777777778
MOGAT1	-1.107
FAM125B	1.12633333333333
IRGQ	-0.014
RAVER2	0.53
AKAP5	0.9235
SSSCA1	-0.99975
C11orf63	1.6035
ACTG2	2.3054
PORCN	-1.0755
DTL	-1.42345454545455
TMEM151	-0.0755
FAM122C	-0.0395
RSAD2	2.1421
BAT4	-0.759
KRTDAP	0.2695
MYH8	-0.381
CRTC3	1.07475
LRRFIP2	0.5909
INTS4	-0.569666666666667
TTN	-0.884166666666667
SLC26A5	1.143
PLLP	0.65475
RGS6	-0.33125
SRGAP3	0.3965
ZNF525	0.745666666666667
NBR2	-0.412166666666667
C13orf1	-0.8768
ZNF137	1.203
CEP27	-1.58075
BEST2	-0.2935
RNF121	-0.58175
DMRTC2	0.2405
C8orf76	-0.42775
BCCIP	0.07325
MEST	0.1565
HTRA2	-0.208
ANGPTL2	0.4035
ILKAP	0.217333333333333
ERAS	-0.021
HBS1L	-0.475875
CPA5	-0.24
TMEM30A	0.5365
CD300LF	2.2185
WISP3	3.534
CRK	0.2165
PDS5A	-0.3655
BRPF3	0.650833333333333
NEDD9	0.7845
SMPDL3B	1.397
PSG6	0.25025
PSMD13	0.4455
ETV5	-2.1621875
OR51A4	-0.0545
BTBD7	0.871333333333333
GSTO1	-1.398125
hCG_16001	-0.808
MAD2L1BP	-0.562
COX6A2	-1.439
SCNN1A	2.41233333333333
LSM1	0.027
UGT2B11	-2.0095
IDUA	0.47275
PPP2R3C	-0.688166666666667
COX11	-0.8165
PDZK1	3.0275
ZNF443	1.556
MGC21874	1.34266666666667
ZNF323	1.5703
KRTAP10-10	-0.0485
CXCL6	0.99675
SLC34A2	2.3161
LOC284402	0.2385
NPTN	0.35325
UPP1	-2.03933333333333
SLC6A9	0.0715
OR7G3	0.09625
CISD1	-2.02016666666667
ZNF545	0.528833333333333
SYT14	-0.6885
NT5C3L	-0.164666666666667
ZNHIT3	-0.506
SNRPD3	-0.4625
KIAA0701	0.146875
UNC93B1	-0.436
GMNN	-1.080875
SPCS2	0.162833333333333
LOC388524	-1.056
NAPRT1	-0.97575
PNLIPRP1	-0.48275
OR6V1	0.195
PRKAB1	0.077
EYA4	-3.55933333333333
KIF20A	-2.9275
ALG10	0.05725
ITPKC	1.62083333333333
LMX1B	1.49783333333333
RPUSD4	-0.106833333333333
C7orf34	0.175666666666667
DLGAP2	0.507625
PFN1	-0.4978
MICALL2	-1.11566666666667
ZNF654	0.553
SS18L1	-0.98375
SLC16A8	0.23225
MKI67IP	0.397166666666667
ITGB3	-0.632375
TCEA3	1.64458333333333
CEP152	-2.3519375
CLIP1	0.86075
ZNF75	1.084875
ATP5C1	0.170833333333333
NUDT5	-0.9945
PSCDBP	1.44975
UBP1	0.24225
RBM27	-0.27475
C13orf15	1.8775
ZNF282	0.521166666666667
ZNF222	0.0465
COL10A1	4.1355
PRDM15	-0.450125
TTTY5	-0.5305
FAM9C	-0.590833333333333
C20orf67	0.17625
GNG13	-0.7825
F12	-3.28025
C1orf41	-1.6525
CPXCR1	-0.168
GSK3A	0.401375
SUPT6H	0.253
PI16	2.9715
ELL2	-0.717
C9orf167	-1.72433333333333
PVRL3	-1.528
FLJ38596	1.04025
ADAM20	0.2795
GPR89A	1.334
GPR87	1.611
ZNF30	1.8665
SMR3B	5.19525
ZNF770	-0.147
TRPC4AP	0.0196666666666667
DKFZP686E2158	0.346166666666667
C2orf28	0.401333333333333
FREM1	0.676
LAMA4	-0.304833333333333
ADPRHL2	-0.251
EIF4G2	0.117
GUCA1A	-0.562
CTNNA2	-1.395
NUDT15	-0.640333333333333
CEPT1	0.038
ZNFX1	0.9212
CCDC92	1.21625
TDRD1	-0.4305
KCNK5	-0.814666666666667
ETNK1	-0.590416666666667
LTA	0.297
TTPA	1.7575
B3GALNT2	-0.355125
SC65	-0.968833333333333
PEX5L	0.589625
EPS15L1	0.68825
MGEA5	0.4165
HIST1H3A	0.79075
ING1	1.586625
BCAT1	-4.258
ORC6L	-3.12090909090909
KLK11	2.26666666666667
C19orf28	-2.06025
DNER	-3.929
MED22	-0.145928571428571
ETV6	0.7235
CHAC2	-1.2185
CD300E	0.0875
CEBPB	0.62625
ZNF398	-0.01975
LRCH3	-0.009
HMGA1	-2.4465
CAPN7	0.510166666666667
MGC5566	-2.65325
CCL3	2.71475
NANOS1	0.53425
ZFYVE19	-0.04925
APITD1	-0.887
PARD3	1.22775
IRAK4	0.222833333333333
SERPINI2	0.817
CEP170L	-0.4085
TTC9	3.21075
MYOM3	0.95275
MLPH	2.42
LOC222699	0.1465
NRG1	-0.603666666666667
TBC1D9	3.32172727272727
TTK	-2.5815
ZNF557	0.829
DDX41	-0.7895
FANK1	2.4265
UBE2D2	-0.247
PSMB10	-0.5505
MYH7B	0.9875
GABARAPL2	-0.015
MARVELD2	1.7165
DGCR2	0.881166666666667
UNC45A	0.0293333333333333
C6orf72	0.351
ZNF683	3.74875
GIT2	0.39725
CASK	0.394666666666667
C14orf161	3.264
LRRC44	0.49375
TIFA	1.56225
UTP11L	-0.567125
C6orf65	-0.666
FDPS	-0.105
DUSP9	-1.9509
SLC17A8	0.1485
OR51G1	-0.0713333333333333
NANS	0.2095
OLFML1	1.11775
ATP10B	-1.32625
NPAS3	1.40725
PRKCA	-2.2207
GGA2	-0.462
LCE4A	0.2675
SPANXN3	-0.26675
CCDC115	2.006375
SDCCAG3	-1.27475
GLIPR1L1	0.23125
TTC1	0.06
C17orf76	0.8125
MAD2L2	-2.05475
HIPK1	-0.5369
LRRC3B	1.7425
CLN3	-0.0734545454545454
C17orf47	0.507
FMN2	-2.4295
TUBB1	-1.56625
WAPAL	0.178333333333333
C3orf21	-0.215125
SCN5A	0.307
SMYD1	0.92975
BEX5	1.6475
ZNF192	0.201
SEC22A	0.3185
GRIA2	3.26192857142857
KIAA0825	-0.35725
NUSAP1	-2.84909090909091
LANCL1	-0.0765
C15orf40	0.0946
ZNF645	0.163375
GPR61	0.25725
NLRP14	0.148
SNX21	0.6165
C1QTNF8	-0.3455
C17orf46	0.4975
IFNA8	0.089
SPRR1B	-1.97516666666667
FLRT1	-0.88175
SNX17	0.971666666666667
ASB2	-0.318
HBG1	-4.127
RPRML	-1.3705
JOSD2	0.054
PLSCR3	0.211
SPOCD1	-2.28116666666667
RAB39	-0.7385
GHRH	-0.0836666666666667
ITIH5L	0.06975
C17orf37	-0.24825
SMCR8	-0.03325
DPY19L2P3	-0.354166666666667
IL11RA	1.185
GDF3	-4.10683333333333
RPS6KB1	-1.42033333333333
DNAJC19	0.349
TOP1	-0.0815
CRCT1	-0.01275
MPST	-0.35575
DPM2	-0.48825
FAM38B	-1.77766666666667
SLC18A1	-2.02
FARP1	0.329166666666667
PAX7	-0.03475
TUBD1	-1.26475
GNL3	-0.685
BTG2	2.8328
NDUFS6	-0.829
C1orf79	-2.076
ERAL1	-0.24525
ECHS1	0.22375
VPS4A	-0.723
CYP11A1	-0.208
ABCC6	-0.0435714285714286
PBX4	-1.7455
MOSC1	1.44475
NCF4	0.89525
HYMAI	0.332
NAGPA	-0.513625
OTOP2	0.12875
ACOT12	0.159
MTHFD2L	-0.469
LOC441376	0.9805
C19orf34	-0.2205
RAB1B	0.4175
ALDOAP2	-0.991
NTRK1	-1.3675
ARTS-1	0.711
SLC6A11	-0.738
NAP1L2	1.57425
CNGB1	-0.2485
EPB41L4B	0.340583333333333
FAM134B	2.966625
HS3ST3A1	-2.65566666666667
CPXM2	5.542
SIRPB2	0.108
CHORDC1	-0.763166666666667
TRIB3	-0.369833333333333
SLC2A5	0.0515
C2orf49	-0.808666666666667
DDX5	0.15575
OR5L1	-0.0545
ANAPC4	-0.590333333333333
ZSWIM1	0.06925
LOC93622	0.109375
KCNK3	-0.0394
RP11-35N6.1	-0.93675
ZFP161	1.17866666666667
AQP9	1.0745
SLC15A2	0.176833333333333
MREG	1.302
OR9I1	0.438
PDLIM2	-0.050375
ADAM7	0.2605
GSTCD	0.165666666666667
WDR21A	0.731875
SLC12A8	2.797
TMEM174	-0.07
IGSF3	0.81475
LRRN1	2.6995
LOC402117	0.16375
SRPK1	-1.09566666666667
LY6K	-0.8694375
NFIA	2.126
PTCD3	-0.525375
LEP	2.57183333333333
PCDH21	0.0513333333333333
MAPKAPK2	0.8955
NMNAT1	-0.318
LHFPL2	0.073
C9orf43	0.476
DIP2A	-0.0855
ACTR8	-0.333375
CCDC34	-0.4755
PTPN22	-1.0005
ITGA3	0.018875
FAM129C	0.722
RABGGTA	0.072
UNC45B	0.623
KIAA1033	0.3225
ZNF510	1.35883333333333
CYP2D6	-0.411833333333333
SLC26A10	-1.455
STX8	0.101
LUZP1	0.252625
WDR89	0.0996666666666666
EIF4G3	-0.5405
C5AR1	0.522625
ZNF623	1.1825
A2M	2.78675
TGM7	-0.0885
GRPEL1	-1.00133333333333
LMNB2	-1.3827
ROCK2	-0.00666666666666667
SNX16	0.629625
CCDC66	0.4075
ANXA3	1.128
KIAA1609	-0.21075
EED	-0.67675
RNF32	0.7405
HES1	2.913
CLC	0.3186
ISL1	-0.134333333333333
KIAA0528	-0.077875
MANEA	0.737375
C1orf61	-2.0535
hCG_2001000	-0.534
RAPGEF6	-0.3716
KIAA0020	-0.446
NEIL1	0.7935
C16orf45	-0.105375
RBM10	-0.329833333333333
C10orf125	-1.995
MRS2L	-0.0105
DNAH17	-0.76475
C19orf10	-0.2675
C1orf160	-0.32675
SLFN12	1.43275
EXOC3	-0.0651666666666667
HIST3H3	0.55
NCOR2	0.0911666666666666
TNFRSF9	-0.14325
MFSD8	0.143
ALX1	-4.084
NOL1	-1.07
PODN	2.87575
TIAL1	-0.81
HIST1H1E	-0.87275
NPY6R	0.0585
TM4SF4	0.77225
CORO2A	0.83125
ETNK2	1.697
APOE	-0.3783
ANGPT4	0.1635
HDGF2	0.303
G30	0.6445
ST8SIA4	-0.1875
F2RL1	0.599875
FAM19A4	-3.6885
CCAR1	0.4785
B3GNT7	-0.413
OPHN1	-0.3742
DSCR6	0.064
C21orf13	0.623166666666667
GAS2L1	0.541333333333333
RFX3	0.547333333333333
COPS4	-0.05875
BCHE	-3.4775
BCL2	2.851875
HBZ	-3.10516666666667
ARL13B	0.857875
MAPBPIP	1.30925
MYO15B	0.1265
SPZ1	-0.1465
KIAA1324	2.01888888888889
PLCL2	-0.082125
C4orf29	-0.85925
WDFY2	-0.56675
ZNF284	0.4045
NAALADL1	1.3575
DUSP5	0.282
PXDN	-0.038875
SLMO1	-0.40125
TNXB	0.0933
BIRC7	-1.29525
A4GALT	0.639166666666667
TIMM22	0.229
FAM110C	0.94125
TOMM34	-0.396375
ABHD9	-0.215
ADAM32	2.335
CRHBP	0.34325
AQP2	-0.00975000000000002
LOC130355	0.34425
ZNF187	0.618
ZNF816A	1.1395
F7	1.39925
CNOT1	-0.4131
SLC13A4	0.82275
ZBTB11	0.6885
B3GALT5	1.2665
EXOC2	1.60333333333333
IRS1	1.8266
TMEM1	0.165666666666667
MRPL34	-0.456333333333333
SAMM50	-0.2695
CDC42EP3	0.6315
HSF2	-0.231
MFN2	-0.13475
TSPAN7	1.15933333333333
NUCB1	0.26025
RHOH	-0.7265
ARL16	-0.071
TACR1	0.173
SFRS5	-0.0621666666666667
SNX25	0.012875
RHBDF1	0.857666666666667
PCDH18	2.9775
HMG1L1	-0.3755
MYO5C	1.396625
MAPK10	1.3245
LDHAL6A	0.0916666666666667
NUDT12	0.887833333333333
NCAM1	-0.145375
GLIS2	-0.438
GGTL4	0.12075
DAPP1	0.9965
ATF7	0.724
KIAA0748	-0.314
NFIL3	-0.0725
TM6SF1	0.3788
SEZ6	-0.046875
NANOS3	-0.2095
DNAJA3	-0.182333333333333
CLDN6	-1.632
CIITA	2.3509
EPHA4	0.0764166666666667
FANCC	-0.32325
CMTM3	0.629125
PSG3	-0.196875
MRPL15	-0.89675
C21orf59	-0.87475
PLCXD2	-0.442
C2orf34	0.26325
UBE2L6	0.700625
MED14	-0.0611666666666667
HP1BP3	-0.9662
C6orf208	-0.152
TPBG	1.01575
OSR2	0.97025
XPC	1.15083333333333
KLHL7	-0.475666666666667
CCR3	-0.707666666666667
AGTPBP1	-0.5175
PCSK6	0.844066666666667
STAT5A	-0.2265
FAM18B	0.5775
LONRF2	0.963833333333333
PTPN2	-0.311875
SF3A3	-1.1425
EFCBP2	-0.13425
HCFC1	0.3615
AHNAK	0.7925
ACTR5	-0.09525
KIF14	-3.07871428571429
TENC1	1.78975
HEATR5B	1.5745
YIPF2	0.594666666666667
MYEOV2	0.206666666666667
DUSP18	0.93875
KIAA1012	0.91825
AHR	0.8035
C17orf53	-1.02016666666667
PTPRH	-3.45725
ATP6V1C1	0.153
TAS2R3	0.081
LOC440356	-1.3655
COQ10B	1.04675
PSMF1	1.21291666666667
SORBS2	2.93408333333333
NFE2L2	0.7005
TMCO7	-0.204
SH3PXD2A	-0.4082
SH2D2A	-1.6005
SPINK5	-2.075
MRPS24	-1.4025
OPA3	-0.74625
TRAF7	0.3055
C4orf35	0.0266
MT1G	-1.357125
MGC39545	0.6745
HS1BP3	0.4128
OR2B2	0.2515
CHRM4	0.0025
SFRP2	3.18108333333333
RIC3	1.718
ART1	-0.117
C6orf1	0.226625
DUS4L	-0.23725
C10orf104	0.17825
TNFAIP6	0.952
RTEL1	-1.9695
CCT4	-0.2844
ZNF709	1.31325
CHMP6	-0.177166666666667
UPP2	0.276
CYP19A1	-2.199125
CD151	-0.189166666666667
NDUFA13	-0.6535
ARFRP1	-1.0415
FAM26B	1.7435
CRYBA1	-2.6025
MRPL41	0.1485
NPFFR2	-0.179125
HRH2	0.035
SCAMP3	0.429166666666667
MTMR6	0.0808
MTG1	-0.787
UBTD1	0.68025
CRABP1	-0.072
FLJ33790	0.2862
KIAA1908	0.507333333333333
GPR158	-1.58975
PACSIN3	-0.0165
OMD	3.745
CATSPER1	-1.24266666666667
HOXB8	-2.235625
FBXO46	1.06
OAS1	0.787
SVIL	1.3235
PHB2	-0.67325
ADCY3	0.1685
NDRG2	2.8735
ERMAP	2.109
APBA2	-1.4405
IGSF9	2.49575
WNT6	-0.6265
MYCBPAP	1.86775
ATP2B2	-0.2105
CPVL	-0.2067
TRAM2	-1.04275
NOP5/NOP58	-0.248
ZNRF4	-0.05375
TLK1	0.683375
MTMR12	0.736071428571428
ZNF384	0.0558333333333333
FAM9B	-3.2765
RPN1	0.5788
PMVK	1.402
EIF3D	0.0161
SIX2	-1.0875
HPS1	0.2465
RNF7	0.87625
PSKH2	-0.01
KCTD13	0.196833333333333
CSMD3	-0.3571
FBF1	-0.2165
IL8	-5.222625
SERPINB13	0.0720833333333333
FBXL20	0.79425
BLR1	0.24775
SH2B1	0.513166666666667
RFNG	-0.01175
RAB20	0.299833333333333
RBM7	-0.094
POLR1A	0.345333333333333
TMPRSS4	-2.984
TAF9	-0.923125
TERF2	0.741833333333333
TNFRSF1A	0.77075
ACADVL	-0.616833333333333
GTF2H5	0.17925
EDG8	0.907833333333333
C9orf140	-2.309625
UST6	-0.20325
ZBTB8OS	-1.40025
ZNF710	1.6805
GPR174	-0.8585
ATP6V0A2	-0.71325
KIAA0319L	0.0418333333333333
XKRX	0.1005
DOPEY2	1.6429
SDHD	-0.623833333333333
SUMF1	2.2675
OSM	0.8915
OPN3	0.21025
DAGLB	0.0101666666666667
PPFIBP1	-0.4022
TRIM63	-1.888
C10orf53	-0.339
LYPD3	0.547
BCL7A	0.759875
AGER	-1.27616666666667
TCF19	-0.454125
SAT2	-0.00375
PFTK1	-0.0878333333333333
GABRE	-2.87475
C15orf38	0.4714
FIS1	0.0395
KCNV2	-0.0985
CLPS	0.17125
PPCDC	-0.257375
FOXN2	-1.06683333333333
NT5E	-2.6147
CD83	-0.1045
IL18	0.287875
VPS16	0.23075
IGFBP2	1.51716666666667
NOTCH2	0.625
SIGLEC1	2.374625
CD93	5.5455
SULF2	0.08275
CEP164	-0.31275
P53AIP1	1.32266666666667
TOR2A	-0.1855
ZNF136	1.11475
MGP	3.2091
CCDC144A	1.22466666666667
TRPC1	-0.3
SMS	-0.200166666666667
MAPK7	-0.436833333333333
RRAGC	0.505
PARD6A	-0.791833333333333
NUB1	0.6685
SYNGR4	-0.78575
OR11H12	0.043
WIF1	3.516125
GCH1	0.405
OR11H4	0.145
SLC44A5	2.4645
GPRIN2	2.41466666666667
LOC401431	0.6695
CPA4	-1.6641
MELK	-2.97088888888889
IL15RA	0.16225
CUL3	1.35175
HMBOX1	1.7405
PODXL	-0.96975
CCT6B	0.973
COMTD1	-0.21925
MUC20	0.868
GPX2	-1.62325
ITK	0.1935
FBXL5	1.87675
C13orf27	-1.94825
DEFA5	0.4065
TRHDE	-0.732
MTP18	-2.00066666666667
UQCRQ	0.1662
ITGB2	1.5675
CSRP2BP	0.98625
TAS2R44	-0.109
PHPT1	0.06425
FAM44C	0.15525
ERH	-0.84375
MPHOSPH1	-0.656666666666667
MORC1	-0.71
PARVB	-0.40775
LAMA1	-1.1455
PGBD3	0.88275
GIMAP6	4.18475
AREG	-2.48633333333333
LIPT1	0.7085
MGC99813	-0.5265
C1orf201	-0.1805
GRIN2A	-0.3153
MAN2C1	-0.80125
NSUN5	-0.558
SF3B5	0.10575
MYC	-0.5085625
NRXN1	2.309
ZNF18	0.48125
SPDYA	0.091625
SLC37A1	1.1505
DECR2	-0.50025
ANKRD38	0.1975
SPTLC3	0.774166666666667
SUPT16H	-0.27125
DTWD2	0.946
ULBP1	-0.124
ZADH1	0.306333333333333
OIP5	-3.326
IL10RB	0.370166666666667
OTUB2	0.647875
VWA3A	0.0218333333333333
SPIC	0.524166666666667
OR6C4	-0.1035
PSCD4	1.06333333333333
DPY19L2P2	-0.327
TRAPPC6A	0.911333333333333
C21orf2	-0.031
CEMP1	-0.0865
LIN7B	-0.539
E2F7	-2.95733333333333
VCP	0.046875
LAMA3	2.79433333333333
BGN	1.00225
GPR160	2.0835
COCH	-3.9195
GPR81	2.1345
APOBEC3F	-0.783
tcag7.1017	-0.7455
C1orf32	0.191
SCGB1D2	5.4455
FLJ43987	-0.712
C6orf170	1.128
KLK9	0.231
GPD1L	1.055375
VPS37B	-0.6035
ATG3	0.2765
ADAMTS17	0.3895
KLHDC2	1.2825
NDUFV2	-0.17775
BLK	-1.87925
MATN4	-1.7135
GPM6A	0.8395
GBP4	3.28483333333333
TMEM162	0.0118333333333333
PKP2	0.425
HRASLS	2.01322222222222
MMP1	-5.13375
SFXN3	-1.0116
FSD1	-2.2015
ST6GALNAC3	-0.836333333333333
CA12	3.1705
NCOA6	0.54425
C19orf58	-0.4137
PPP4R1	0.918833333333333
MAN1A2	0.184666666666667
IKBKAP	-0.16625
UPF1	0.498166666666667
KIAA1219	1.055
WNT16	-0.303
SNW1	0.87475
IL18RAP	2.59575
RPP30	-0.73375
CDC40	0.282142857142857
SETD3	0.677833333333333
SLAMF6	0.95325
ELK4	-0.349
TRIM47	-0.276833333333333
ACOX3	0.74075
TRIM6	0.45425
KIAA0372	-0.203833333333333
TP53AP1	0.67625
SMURF2	-0.42475
ADAD1	0.06175
EBP	-1.2142
KRTAP13-2	-0.0925
FLJ36874	-0.441166666666667
TOR1A	0.447333333333333
P2RY4	0.06
GPBP1	0.65825
TRPV1	0.12925
ADAMTS12	-0.292333333333333
