Hybridization REF	TCGA-A7-A0CG-01A-12R-A056-07
ASB9	-1.7685
NAT1	6.041
TRAFD1	-0.35225
PEAR1	0.633166666666667
FAM36A	0.758125
OR1S2	0.4865
LOC388323	-2.27
PGS1	-1.2605
LEPREL1	-2.64025
TFF1	-0.292833333333333
HAP1	0.4255
EPHB2	0.405
ACTG1	-0.0751666666666667
ZFP42	-0.9745
HAVCR2	0.8412
NME1	-0.9295
SNX26	-0.737083333333333
LACTB	0.4585
ZKSCAN2	-1.0525
C5orf35	1.1205
ANKS3	-0.874
RBM28	-1.295
DKFZP586P0123	-1.068
HNRNPA1	0.527166666666667
BCAS3	-1.7985
FLJ20184	0.5395
POLA2	-1.4755
TMC7	-1.3305
HSD17B6	1.0995
ZNF658B	1.347
TTTY10	-0.706666666666667
RANBP9	-0.604333333333333
CPNE7	-2.06683333333333
EVL	1.06370588235294
LNX1	0.952583333333333
IFNA21	0.323166666666667
CFD	2.92925
PYCARD	1.63733333333333
MYBPC2	-1.0615
ENPP3	-1.51733333333333
ACSL4	-1.22975
LOC440258	-0.8945
TMEM176B	4.29566666666667
SOX2	-5.026125
SCO1	-0.467666666666667
COMT	-0.408
AOC2	0.1885
PDLIM5	1.3255
SPHK2	0.172333333333333
NXPH2	0.908
GPR108	0.0688333333333333
RAD51L1	-0.0768333333333333
TMEM54	0.44825
LETMD1	0.0637777777777778
SLC6A17	0.0825
KRT75	-0.7485
STT3B	-0.7355
CD3EAP	-0.456833333333333
TMEM63A	0.995
DUSP13	-2.71875
CD1C	1.728
LASS2	0.173833333333333
AVP	0.3165
PITPNM1	-1.35975
FLJ22795	-0.842
MCTP1	-2.091
TRIM68	1.19066666666667
UCK2	-1.59966666666667
ABHD1	1.014
FAM50A	-0.41875
RNASEH1	-0.807666666666667
PCP2	0.220666666666667
OR52H1	0.4285
C20orf149	0.204
RBP5	1.38166666666667
HYAL3	-0.55525
CLPB	-1.09625
SMNDC1	-0.30325
DONSON	-1.85016666666667
FLJ27523	0.817333333333333
BARHL2	0.1688
SLC30A9	0.850833333333333
TMPRSS11B	0.008
E2F8	-1.021
CCDC25	0.635583333333333
C14orf48	-1.2862
C20orf116	0.96425
TSPAN11	0.198
YIF1B	-1.06466666666667
FAM12B	1.41
OR1L6	-0.031
HPN	0.7353
NBN	0.886
C14orf94	-0.170166666666667
OCLM	0.2885
ZSCAN18	0.8557
L3MBTL	-1.8975
TSTA3	1.5805
RAC1	-0.046375
C19orf15	0.059
NFE2	-4.8425
KLK14	0.385
ARSF	0.896
MAST2	-0.845666666666667
AMICA1	3.56183333333333
GTF2A1	0.347
ATP1A3	0.57125
TC2N	4.1684
PNKP	-0.124
ODZ2	0.973125
MATR3	0.28325
S100P	1.864875
KRT82	0.979
CA13	0.337
PROZ	-1.49816666666667
AASDH	0.409428571428571
C19orf40	-0.2565
DCK	-0.208461538461538
FAM5C	3.7735
SLC6A4	-1.553
MID1IP1	-0.759125
TESSP5	0.436
TMOD4	0.413833333333333
DOCK2	-0.294
TUG1	-0.43025
NUP214	-0.96625
DPYSL2	0.216727272727273
GOLM1	2.2925
MPFL	-0.10925
SOX13	1.401
SDCCAG8	1.551
KEL	-2.08233333333333
NUP210L	-2.29075
GK	0.19125
DNAJB1	0.744
ALPK3	0.368
CHID1	0.6875
CYLC2	0.8935
IKZF5	0.82425
C8orf51	-0.530833333333333
PPM1J	1.6925
GIMAP8	4.13616666666667
GPR101	0.2055
NR2F1	0.211
ACAD8	1.43575
RBM35A	0.92325
GNAI2	-0.514666666666667
METTL8	-0.166166666666667
SLC39A7	-0.48625
FBXO8	0.962
CAMK1	-0.20825
RFC3	-1.1615
FAM129A	3.1095
ILF2	-0.589
FGFBP3	-1.124125
NOM1	-0.971666666666667
PSMA3	-0.3715
ASCC3	0.5381
ZYG11A	-1.38675
SOX21	-1.771
LYRM1	0.15875
DEFB1	3.607
LOC91431	-3.16366666666667
OR7C2	1.7355
FAM46B	1.203375
TMEM18	0.31675
ARHGAP30	1.7625
TMEM86A	3.32175
EPHA2	-1.49666666666667
C10orf46	1.04045
TCHH	-0.311
C3orf30	0.0241666666666667
LOC285636	-0.3385
PAIP2	0.00925
CYP2U1	0.261875
C12orf34	1.16825
SARS2	-1.17866666666667
ZCWPW1	0.54975
SAMD12	2.28875
KIAA1430	0.099375
ACAT1	-0.73675
MEOX1	2.864
ADAMDEC1	6.0915
PHKA2	-0.82925
CARD11	-0.5895
CALML4	0.7345
TSSC1	-0.89925
TMEM45A	-0.409333333333333
MPP7	1.734
POU1F1	-0.16625
SLC2A13	0.0571
FBN2	-1.259
ZC3H7A	-0.1017
LAIR2	-0.28825
ST3GAL1	-0.574
LCT	-2.99125
GEMIN8	0.826
KLF16	0.1069
HIF3A	-0.0104
FAM44A	0.00349999999999999
AQP10	-1.0665
PLA2G2A	4.153
FOLH1	2.84383333333333
C20orf186	0.17
MAPKAP1	-1.049625
SPRR2D	-1.1595
UBQLN4	-1.1255
RSHL1	0.219666666666667
PIAS3	-0.338
MRPL24	0.14825
GREB1	-1.82025
FAM27E3	-2.3585
NUP62CL	-2.236
NEUROG3	-0.0725
REEP3	1.60366666666667
MARK1	0.54725
LMBRD1	0.876
PRPF19	-1.6745
PNMT	-0.589333333333333
CTGLF1	-1.705
SLC25A16	1.2055
EIF2B3	-1.082
RPA2	-0.2535
PAK6	1.75333333333333
CCDC26	-3.93814285714286
SEMA3E	2.804125
MXD4	1.2179
TNFSF10	5.3198
SMARCB1	-1.25633333333333
DTX3L	1.30716666666667
PLA2G4E	-0.371
PPAP2A	2.15975
ULK1	-1.28283333333333
TAS1R3	-0.0415
SLC2A3	-2.67781818181818
ARID3A	-2.1915
GNG5	0.137
ACOX1	0.0455
KIF5B	0.03425
NUP153	-1.15075
MUC7	1.4235
CSDE1	-0.00535714285714285
CLPTM1	-0.88025
C3orf23	0.095625
LRRC17	0.0868333333333333
TTYH3	-0.96225
ATP5B	-1.1995
ELF3	1.6092
CPSF3L	-0.2655
ZNF665	0.175666666666667
TLR6	0.5621
GPI	-0.55225
RAD9A	-0.796875
NDST4	-3.23225
AGPAT3	0.2705
MAGI3	0.923
ADORA2A	0.115125
CACNG7	0.0425
CAMK2D	-0.206357142857143
CCHCR1	-1.041
RPS27A	0.3605
OR10G7	0.6195
GCM2	0.1135
FAM135B	0.46525
E2F1	-2.13075
PLCB3	0.0595
OR2AE1	-1.52
COIL	-0.426166666666667
CDC25C	-1.61
RAB11FIP2	0.36125
TSC2	-0.3845
CTGLF5	-2.045
CCDC108	-0.202
OR13C4	-0.89075
C10orf81	5.8075
PTPRB	2.1885
ACP2	0.28325
LAG3	0.84875
MRPL54	0.46725
LOC201175	0.2195
ITGB1BP3	-1.65725
SPTAN1	-0.404833333333333
SIPA1L2	-0.21475
RCAN2	0.37
CDX2	1.0245
ECOP	0.2715
ACTR1A	0.310714285714286
PPARG	0.314166666666667
BBS10	-0.171
TMEM44	-1.37775
BPIL2	-0.3275
CITED1	0.98575
IRF6	3.99475
PRDM4	0.332666666666667
RRP9	-1.08083333333333
OR10H4	0.323
IL31RA	-1.1645
GNB1L	-1.48683333333333
MYBL2	-2.452375
ZNF407	0.875333333333333
PPIG	-0.262333333333333
TTC18	1.78875
RPSA	0.015
MAPT	1.516
MRE11A	-0.193214285714286
C8orf37	-0.447166666666667
RASGEF1C	-0.745166666666667
STBD1	0.06725
CTAG2	-0.525166666666667
MGAT5B	-2.1615
ECM1	0.39125
RLN1	0.8675
PARP14	1.2040625
EPB41L1	0.944
HOXA3	0.131833333333333
MAGEA9	-4.1035
RPS8	0.257166666666667
RPS19BP1	-0.10875
FOXJ2	0.13725
C10orf76	0.1385
IL17RE	1.0085
C10orf65	-1.05575
ZNF343	-0.526
FBXO33	-0.165
UHMK1	1.3223
LY6G6C	-0.51425
FGF19	-2.23225
C14orf128	-0.267
IFIT2	2.221125
TIGD1	-0.86875
S100G	0.79
GUCY1B3	2.7155
NR3C1	-0.1716
CORO1B	-0.0675
PARP11	1.21883333333333
DNALI1	3.017
OR4N4	0.438625
MAP2K6	1.57983333333333
FSTL4	0.0145
ANKRD47	1.31875
TMEM171	-1.666
PNLIP	-0.777
YY1	-0.377333333333333
CCDC138	-2.16616666666667
AASDHPPT	-0.2847
CKS1B	-0.8208
MCM3	-1.60883333333333
ANAPC7	-0.912
FAM110A	1.87075
CDC37L1	1.971
THTPA	0.56
NBPF20	-0.7395
WDR24	0.79625
NPTX2	-2.48575
CBLB	0.269666666666667
CETN1	0.656666666666667
RPUSD1	0.00125
FAF1	-0.81375
CDK6	-1.557
HMX2	0.0455
CSK	-0.346
TEAD2	0.15925
SNAP25	-0.62475
TUFT1	0.6969
TMTC3	1.05483333333333
LCK	-0.29475
SGOL1	-1.43133333333333
AKTIP	0.859
FURIN	-0.305
SOX12	-1.117
DEFB103A	-0.8125
RAMP1	0.88725
KIR3DX1	null
GAS2L3	-0.786
PDE8A	-1.1914
EDN3	4.89975
GMIP	0.94
SF3A2	-0.04375
FN3KRP	-0.2135
SMAD7	0.1615
RHBDD2	0.464
OR11H6	-1.247
PPP1R3B	2.3831
C9orf23	0.8165
CADPS	-0.7005
GOLGA8A	-3.437125
TMEM57	-0.320666666666667
RGL3	-1.307
S100A14	-0.73675
FGFR2	2.2280625
XRCC3	-1.057
RTN4RL2	0.146
MGC3771	1.083
GH2	0.996333333333333
BTBD2	-0.331
LMO2	0.58475
RDBP	-0.74175
ACRBP	-1.69075
AMY2A	2.00775
DUOXA1	0.646
PTK7	0.277666666666667
TWF2	-0.104166666666667
FAM80A	-0.613
TNNI2	-1.87916666666667
GLT25D1	-1.25083333333333
OCC-1	-2.484
CYC1	-1.4385
RPL22	0.382818181818182
MORN3	0.688333333333333
DISP1	1.45775
PRB2	-0.67
CHUK	-0.06575
HR	-0.0795
CCDC134	-0.472
DENND4B	-1.2545
C14orf130	0.450375
RAB33A	-0.38775
DCST2	0.7275
TNMD	1.507
PEX7	0.53
FAM62A	-0.02025
SRD5A2L	1.38075
IL22	-0.59425
RPS26	-1.60933333333333
HOXC5	0.389
SPATA6	0.99575
FLJ38482	-0.353125
ZNF234	0.985
C18orf22	0.12425
SPATA22	0.88725
THOC1	-0.70675
CYP7B1	3.212
KCNC3	0.1415
C8orf42	-0.207
ALDH1B1	-0.776333333333333
CCDC100	-0.2408
ARMC4	-2.263
FAM18B2	-0.1325
SLC44A1	1.04675
FBXO17	-1.50116666666667
C6orf107	-0.7305
C19orf29	-0.7015
ZC3HAV1L	-0.326
PARP6	-0.7599
SULT2A1	-4.338125
C1orf159	-0.55175
TMC1	1.49666666666667
CHST14	-0.045
GAMT	0.3645
SMCP	0.193333333333333
TSPAN33	0.42675
MIDN	-0.195
NOX4	2.501
RNASEN	-0.6072
TBX1	-1.24666666666667
SALL2	-0.33625
C10orf35	1.1765
CYP2E1	-0.48875
LRFN2	2.49866666666667
ACO1	-0.168833333333333
IQCG	1.1232
MEGF9	1.32925
TM7SF4	2.043
PLEKHA1	1.20493333333333
STK33	-3.0465
C1orf210	2.11775
SNUPN	0.5404
KIAA0406	-1.7819
C20orf29	0.158
TMEM55B	-0.499
OSTM1	-0.4536875
CLCN7	-0.91525
OTP	-0.1215
FLJ23049	-0.767
HEATR4	0.004
MAP3K10	-0.277833333333333
PCDHGA9	1.1865
AMDHD2	-0.32775
LCTL	-1.565
PDCD2L	-0.39075
CABLES2	-0.4325
SLC5A9	-0.2525
CLCA2	6.07566666666667
MGC16025	0.87
STRAP	-0.678666666666667
C20orf196	-0.6555
RRBP1	0.343166666666667
NAT13	-0.26575
MAT2B	0.7525
CSNK1D	-1.36183333333333
KIR3DL1	0.09125
PRKAG3	0.087
ZNF599	0.9915
PRM3	0.389
PER2	1.23383333333333
ASPHD1	-2.324
PRMT6	0.29475
KCNE1L	-0.159785714285714
FAM118A	-1.03133333333333
TAF4	-0.41525
NDUFB6	0.234
TRIM9	-0.781333333333333
PMFBP1	0.0375
KY	0.906
DKFZp762E1312	-2.07518181818182
CSMD1	-2.227
TBP	-0.2735
OR1Q1	0.994
RETNLB	0.242
HPGD	0.352
DNAJC12	0.231166666666667
FKBP1B	-1.135
ANKRD24	-0.2812
CXXC5	0.225833333333333
IL3	0.109
DRAM	0.6143
PTCH1	-0.868625
TP53BP1	-0.064
SLC17A7	0.060625
COL25A1	-1.2165
AMACR	0.598166666666667
RHCG	1.33775
VPS13A	-1.29075
FAM55D	0.5835
PRPF38B	-0.24625
OSBPL6	-0.728
PFDN5	1.0877
CMTM6	0.690125
KCNK12	-2.022
RP2	0.7685
C16orf52	-1.588
PICK1	-0.4235
IFNE1	-0.851666666666667
SEMA4B	-0.298
TYRO3	-1.23525
OR12D2	2.087
CSNK1A1	0.747
FANCF	0.98525
LONP2	0.53725
TBL1Y	0.16825
LDOC1L	0.034875
CCNC	0.711
C3orf60	-0.25275
CHKA	-1.35575
UBAP1	0.30125
MAP3K1	2.294
ANKRD9	-0.961
FAM92A1	-1.326
GAB2	0.117125
AZU1	-0.4845
DIS3	-0.773083333333333
C21orf109	-1.27825
IQCB1	-0.314
SPATS2	-0.769
EFCAB3	-0.70775
PRB3	0.192875
FUZ	-0.0606666666666666
ZNF813	0.427375
BMPER	-0.300166666666667
HEG1	-0.118625
ALS2CR11	-1.177
SURF2	-0.29075
PSMC1	-0.282833333333333
OR2D2	1.0615
SLC7A8	2.1515
C4orf40	0.1815
SPATA7	0.83275
MAZ	-1.15516666666667
PIN4	0.5275
PDE1A	1.757625
TAF6L	-0.6575
OR2T34	0.434
KIAA0284	-0.14025
ACADS	0.263272727272727
MKRN2	-0.611
C18orf56	-2.711
MS4A6E	0.944666666666667
GALNT4	0.374
C22orf31	-0.603
FLJ36070	0.2515
PSME4	0.04875
TFG	-0.4213
EPHX2	2.425375
ANXA5	0.242125
KRTAP1-1	-0.10775
BATF	2.61925
KARS	-1.59125
MSTP9	-1.5635
GPR26	0.458875
CCDC72	0.422
TEF	1.21716666666667
FOXK1	-0.6421
PRLHR	-0.327
EMX1	0.34375
C11orf30	-0.66
ICK	1.112
THSD7B	0.8085
C21orf100	-1.8485
DUOX1	2.457
EFCAB4B	-0.997
UBE2G2	-1.42916666666667
C3orf54	0.97475
PARP1	-0.69025
FAM60A	-1.36216666666667
C6orf146	-1.18125
OR9K2	0.384
DDX55	-2.28016666666667
RPS15	0.770583333333334
ZNF618	0.8160625
DKFZp686D0972	0.00225
SSPO	-1.385
SHFM3P1	-0.2025
CPA6	-1.01825
JAG2	0.5875
DEFA3	4.5035
PPBPL2	0.489666666666667
CD34	5.1355
SLCO4A1	-3.454875
AFG3L1	-2.70433333333333
SHD	-0.49375
RP13-122B23.3	-0.884
PRKCSH	-1.0455
DPH5	0.0626666666666667
HLA-F	2.39875
TBC1D4	-0.69875
RIG	-0.000999999999999992
GLUD1	0.238166666666667
HNRPCL1	0.702625
HBXIP	0.06525
RNF207	-1.67
APIP	0.09525
PLA2G3	-0.862166666666667
CCDC84	-1.65775
MYLIP	0.332846153846154
PHIP	0.008
AARS2	-0.227666666666667
DHX32	0.372
SCAPER	-0.351166666666667
MEN1	-0.396375
NIP7	-1.258
FLJ25404	0.518
FASTKD3	-0.06
TMEM158	-3.31041666666667
RARA	1.298
BDH1	0.819
ANKRD16	0.61875
CARM1	0.597
SS18	-0.2705
IKZF2	1.13133333333333
MYD88	0.0445
PML	0.59575
TAF1A	-0.4335
CBFB	-0.697
HIST1H3H	-1.70216666666667
C7orf29	-2.392
COMMD4	-0.335666666666667
DPP3	-0.94875
DAB2	2.34825
LOC388882	-0.12
YPEL4	-0.17075
AGBL3	0.2665
LRP6	0.4609
SERPINH1	-0.404333333333333
TLE1	0.88925
CD244	1.362
ZDHHC15	0.021
MGLL	-0.2827
PLDN	-0.356916666666667
LOC654346	2.273
FAP	3.3985
GPR37	-0.4105
SCARA5	2.10783333333333
EBF4	2.16881818181818
LSM6	0.3025
MLLT1	-0.5141875
SLC5A12	-0.789
A2BP1	-1.326
COPS5	-0.0156666666666667
TPM4	0.0473571428571429
TNFSF4	0.0785
ACADSB	2.04088888888889
HERPUD1	0.6755
BCL2L11	-0.307833333333333
CEP78	-1.341375
CDCA3	-1.61525
WBSCR19	-0.39
MYO1A	-1.9425
PPEF1	2.539
LOC440348	-1.6855
CPEB2	0.653375
BPTF	-0.748416666666667
RPL21	0.953625
GSX2	0.112
ADPRH	1.065
C17orf68	-0.144
KCNS1	0.217833333333333
MLLT6	-0.2284
PIWIL4	0.4105
RNF26	-0.7
RAP1B	0.69625
ADAMTS1	-0.7996
ZNF571	0.699
P2RY6	-0.32775
TRIM21	1.34716666666667
CADM3	-0.112
NLRC5	0.379666666666667
ADRA2B	-0.0896666666666667
LOC90835	-0.8005
PCF11	-0.000499999999999994
LOC400451	1.78725
GLTSCR1	0.1283
C17orf88	-0.890833333333333
CDH16	-1.93375
FGF7	3.0915
PCSK4	0.43
NPC1L1	-1.49
TAT	0.243625
TBCA	-0.68125
MGC33407	0.261
GPR115	-1.490875
CYGB	0.349
FNBP4	-1.394
C12orf43	-0.9515
CBL	-0.3987
CLECL1	2.2715
PPAPDC1A	0.95475
WDR25	0.301666666666667
SGCA	1.7895
C22orf29	-0.178333333333333
YIPF1	1.586
GALK2	-0.8505
RAB3B	-3.07166666666667
LOC440087	1.59875
UCP1	3.1575
REEP5	1.786
FADD	-0.7783
FOXA1	3.531375
CACNA1A	0.3254
ABI1	0.0235
GRIN2D	-0.18675
SLC1A4	0.115333333333333
LOC401127	-1.202
HINT2	0.69525
PLD4	0.652666666666667
ZNF286A	-0.96625
ENY2	-0.702
IL1F6	-0.0674999999999999
PXDNL	0.6055
C20orf79	0.451
TNFSF13B	3.65833333333333
DENND3	0.202375
JARID1D	-3.308
HIST1H2AK	0.073125
LOC93349	0.0552
SSH1	-0.9638
ENSA	-0.65725
LOC219854	0.685
CKAP2	-0.4943
DKFZP564J102	0.3615
MGC87315	-0.0228333333333333
HNRPAB	-0.96775
AMH	-1.101
ZNF526	0.853
BRUNOL5	-0.0327
CACNG3	0.156333333333333
TRPM1	-2.1395
PPP2R1A	0.240625
COL2A1	-1.4745
DDN	-0.318333333333333
FLJ25770	1.51116666666667
HK2	-0.101214285714286
ELOVL6	-1.82925
MDK	-0.091
EPHX1	1.9195
RASSF2	1.17
DKFZP434B0335	-0.8545
DLX3	-0.73375
PRTN3	-0.8085
AVPR1A	0.95125
C21orf125	-2.86525
TNFAIP8	0.251666666666667
GNB2L1	0.28375
CALCRL	3.7275
SCGB2A2	9.19516666666667
UBXD7	-0.60925
ZNF674	-0.803
TMEM35	0.7955
BRSK2	-1.423875
HECTD3	-0.856166666666667
TMEM188	-0.486666666666667
LGALS9	2.097375
SCARB2	1.22766666666667
USP34	-0.386166666666667
C17orf28	0.877333333333333
ZDHHC23	-0.6385
AQP12B	-2.57
SLC16A3	-2.529
APLP2	0.419
ITIH2	-4.73925
MICAL3	-0.99175
TNNI3K	0.553
HDAC2	0.103
PRR7	-1.2316
THBS2	0.700125
LOC751071	0.579166666666667
CA2	3.174
RANBP17	-0.964
RLN3	0.24125
CRYZ	-0.5065
GBAS	-0.676666666666667
TAS1R1	0.11275
MPZL3	0.139
PCDH8	-1.186
HSP90B1	-0.544333333333333
KCNK15	0.293
TNIP2	-0.408
GPR146	0.70425
NOL6	-0.4975
SPC25	-2.81522222222222
STEAP2	3.37092857142857
VAMP3	-0.0646666666666667
TCIRG1	-0.55975
ZP4	-0.2194
PARL	0.2775
TRIM39	0.268833333333333
KIAA1305	1.02825
CRNN	0.498
GRN	-0.31425
HSH2D	-1.57325
SCAMP1	0.71875
KIAA1913	1.39125
PTS	-0.077
BANP	0.113857142857143
PRKACG	0.2025
ADCY6	0.379666666666667
C16orf46	1.1825
CYP51A1	-0.632375
DDC	-6.254
ANPEP	-0.344333333333333
PROM1	1.7495
SIGLEC10	2.6605
COPG	0.5605
FAM26E	1.699625
TRIP4	0.3805
SNX3	0.570666666666667
C1orf175	0.201833333333333
PPY2	-0.238
C14orf152	0.002
FTSJ1	-1.32483333333333
DST	0.9956
LOC554235	0.03825
GLRX5	-0.365
C20orf12	0.6042
CAB39	0.840333333333333
MSH2	-1.16883333333333
PIP4K2C	0.80675
CYLD	1.008
WTAP	0.8573125
MGAT4A	1.76311111111111
TSC22D4	-0.6338
CHRM2	-1.425
PPYR1	0.159
CCNH	-0.149
RRM1	-0.31375
ECAT8	-2.61575
LOC400120	-0.3885
GABRA4	-0.476285714285714
C14orf4	1.17216666666667
C1orf59	0.03825
CTDSPL	1.27225
NHEDC2	-1.0865
PDE11A	-0.73325
KLHL29	0.16825
CD5	1.1203
TSPAN9	1.984375
WDR67	-1.11275
THUMPD1	0.3178
C18orf17	0.04
CLYBL	0.803
FLJ13231	-0.7905
CMBL	0.77675
LECT2	0.32325
NKAPL	2.276
LOC654780	0.3965
OR4C6	-0.2545
RAB30	-0.849833333333333
TSSK4	0.17
TMEM163	1.0025
OSBPL11	0.06425
GNB5	-1.36766666666667
CCL21	2.305
C1orf121	0.707
FMO2	3.01966666666667
RPTN	-1.3295
MSTN	0.6555
VCL	-0.369
FYTTD1	0.08575
C11orf1	0.682
CCDC88C	0.5138125
HFE	-0.7665
MOGAT1	0.4675
FAM125B	0.3155
IRGQ	-0.3125
RAVER2	-0.59425
AKAP5	0.161
SSSCA1	-0.45325
C11orf63	-0.13975
ACTG2	2.2824
PORCN	-0.875
DTL	-1.58627272727273
TMEM151	0.39475
FAM122C	-0.5535
RSAD2	2.2547
BAT4	-0.731
KRTDAP	-0.0813333333333333
MYH8	0.33025
CRTC3	0.63425
LRRFIP2	0.044
INTS4	-0.42
TTN	-0.737666666666667
SLC26A5	0.275
PLLP	-0.88
RGS6	-0.66825
SRGAP3	0.90525
ZNF525	0.2765
NBR2	-0.3465
C13orf1	0.0802
ZNF137	0.1935
CEP27	-1.9045
BEST2	0.205
RNF121	-0.04575
DMRTC2	1.2275
C8orf76	-0.6585
BCCIP	0.095
MEST	-0.53325
HTRA2	-0.5725
ANGPTL2	1.294
ILKAP	-0.200166666666667
ERAS	-0.5785
HBS1L	-0.1535
CPA5	0.0225
TMEM30A	1.416
CD300LF	2.36816666666667
WISP3	3.7365
CRK	-0.0267142857142857
PDS5A	-0.1857
BRPF3	0.671
NEDD9	0.2785
SMPDL3B	-0.376
PSG6	-0.912
PSMD13	-0.21275
ETV5	-1.5105
OR51A4	-0.1545
BTBD7	1.208
GSTO1	-0.9475
hCG_16001	1.2395
MAD2L1BP	-0.161333333333333
COX6A2	0.223
SCNN1A	2.25333333333333
LSM1	0.224333333333333
UGT2B11	-1.56375
IDUA	0.68775
PPP2R3C	-0.521
COX11	-1.55616666666667
PDZK1	2.26875
ZNF443	0.719833333333333
MGC21874	1.02566666666667
ZNF323	2.297
KRTAP10-10	-0.0395
CXCL6	0.50125
SLC34A2	2.4104
LOC284402	0.966
NPTN	1.79816666666667
UPP1	-1.98458333333333
SLC6A9	-0.6225
OR7G3	0.414
CISD1	-0.800333333333333
ZNF545	-0.163
SYT14	-1.2405
NT5C3L	-0.501666666666667
ZNHIT3	-0.448166666666667
SNRPD3	-0.7805
KIAA0701	0.481625
UNC93B1	0.239166666666667
GMNN	-1.828125
SPCS2	0.483833333333333
LOC388524	0.58
NAPRT1	-0.24475
PNLIPRP1	0.323
OR6V1	0.7705
PRKAB1	-1.18225
EYA4	-3.9105
KIF20A	-2.2205
ALG10	0.8495
ITPKC	0.959666666666667
LMX1B	0.683833333333333
RPUSD4	-0.3345
C7orf34	0.0395
DLGAP2	0.618875
PFN1	-0.7967
MICALL2	-0.834083333333334
ZNF654	-0.417
SS18L1	-0.977875
SLC16A8	1.1955
MKI67IP	0.183833333333333
ITGB3	-0.8
TCEA3	3.15858333333333
CEP152	-2.2073125
CLIP1	-0.263625
ZNF75	0.300375
ATP5C1	-0.492166666666667
NUDT5	-0.652666666666667
PSCDBP	1.97675
UBP1	0.13775
RBM27	0.51025
C13orf15	2.840125
ZNF282	-0.406333333333333
ZNF222	0.5996
COL10A1	5.79825
PRDM15	-0.847125
TTTY5	-1.0385
FAM9C	-0.0601
C20orf67	-0.636
GNG13	-0.655
F12	0.48275
C1orf41	-0.85925
CPXCR1	-0.4665
GSK3A	-0.13875
SUPT6H	-0.589166666666667
PI16	3.6385
ELL2	-0.688416666666667
C9orf167	-1.75216666666667
PVRL3	-1.4506
FLJ38596	0.5095
ADAM20	-0.20925
GPR89A	0.1165
GPR87	-0.112
ZNF30	1.03625
SMR3B	5.2335
ZNF770	0.276625
TRPC4AP	-1.11766666666667
DKFZP686E2158	0.714833333333333
C2orf28	0.0726666666666667
FREM1	0.849833333333333
LAMA4	0.6635
ADPRHL2	-0.309
EIF4G2	0.475833333333333
GUCA1A	-2.4055
CTNNA2	-1.736625
NUDT15	-0.4875
CEPT1	0.481833333333333
ZNFX1	0.4691
CCDC92	0.4215
TDRD1	-0.2635
KCNK5	-1.92983333333333
ETNK1	0.509916666666667
LTA	0.6385
TTPA	0.194666666666667
B3GALNT2	1.11525
SC65	-1.74866666666667
PEX5L	-1.242875
EPS15L1	-0.52875
MGEA5	-0.063375
HIST1H3A	1.0245
ING1	0.162
BCAT1	-2.848625
ORC6L	-3.65145454545455
KLK11	-0.164666666666667
C19orf28	-1.577125
DNER	-3.904625
MED22	-0.8885
ETV6	1.49775
CHAC2	-0.1325
CD300E	0.4035
CEBPB	0.11575
ZNF398	0.2755
LRCH3	-0.223
HMGA1	-1.70683333333333
CAPN7	0.067
MGC5566	-2.83225
CCL3	3.203125
NANOS1	1.007375
ZFYVE19	0.36325
APITD1	-0.863
PARD3	0.16625
IRAK4	-0.316166666666667
SERPINI2	-1.853
CEP170L	-0.449
TTC9	2.05825
MYOM3	-0.9995
MLPH	1.961
LOC222699	-0.1415
NRG1	-0.963818181818182
TBC1D9	3.81672727272727
TTK	-2.51983333333333
ZNF557	0.6271
DDX41	-0.878333333333333
FANK1	2.2485
UBE2D2	0.0775
PSMB10	0.919125
MYH7B	-0.4315
GABARAPL2	0.00925
MARVELD2	1.88833333333333
DGCR2	0.391666666666667
UNC45A	0.0636666666666667
C6orf72	0.3365
ZNF683	5.722
GIT2	0.31225
CASK	-0.0691666666666666
C14orf161	5.07383333333333
LRRC44	-0.1235
TIFA	0.846875
UTP11L	-0.580875
C6orf65	-0.31125
FDPS	-0.604
DUSP9	-1.7552
SLC17A8	-0.1374
OR51G1	0.106333333333333
NANS	0.92525
OLFML1	2.39875
ATP10B	-1.214
NPAS3	0.30725
PRKCA	-2.3613
GGA2	-0.101875
LCE4A	0.6665
SPANXN3	0.2145
CCDC115	1.557125
SDCCAG3	-0.961
GLIPR1L1	1.22866666666667
TTC1	-0.06775
C17orf76	0.691
MAD2L2	-1.52125
HIPK1	0.1885
LRRC3B	1.52116666666667
CLN3	-0.486136363636364
C17orf47	-0.554
FMN2	-2.4775
TUBB1	-1.887375
WAPAL	0.298
C3orf21	-1.0735
SCN5A	-0.5531
SMYD1	0.124
BEX5	0.993
ZNF192	0.1785
SEC22A	0.1955
GRIA2	1.73192307692308
KIAA0825	-1.32525
NUSAP1	-2.025
LANCL1	-0.27875
C15orf40	-0.3527
ZNF645	0.195
GPR61	0.27225
NLRP14	1.0995
SNX21	0.1131
C1QTNF8	0.563
C17orf46	0.54
IFNA8	0.701
SPRR1B	-1.61
FLRT1	-0.53175
SNX17	-0.565
ASB2	1.004
HBG1	-5.374
RPRML	-1.03
JOSD2	0.0663333333333333
PLSCR3	0.19225
SPOCD1	-0.508833333333333
RAB39	0.032
GHRH	1.1875
ITIH5L	-0.177
C17orf37	-0.16725
SMCR8	0.9155
DPY19L2P3	-0.736333333333333
IL11RA	1.60533333333333
GDF3	-3.57516666666667
