Hybridization REF	TCGA-A2-A0CL-01A-11R-A115-07
LETMD1	-0.970777777777778
SLC6A17	-0.08125
KRT75	-0.7445
STT3B	-0.0576666666666667
CD3EAP	-0.075
TMEM63A	0.167
DUSP13	-0.6915
CD1C	0.413166666666667
LASS2	-0.238833333333333
AVP	-0.836
PITPNM1	-0.2635
FLJ22795	-1.658
MCTP1	-1.2885
TRIM68	-0.323666666666667
UCK2	-0.606666666666667
ABHD1	0.2365
FAM50A	-0.333
RNASEH1	-0.381166666666667
PCP2	0.775666666666667
OR52H1	-0.046
C20orf149	0.623
RBP5	1.5925
HYAL3	-0.72675
CLPB	-1.1255
SMNDC1	-0.3515
DONSON	-0.522833333333333
FLJ27523	-0.1665
BARHL2	0.310833333333333
SLC30A9	-0.305333333333333
TMPRSS11B	-0.02175
E2F8	-1.11216666666667
CCDC25	-0.421583333333333
C14orf48	0.276833333333333
C20orf116	0.738125
TSPAN11	0.0135
YIF1B	-0.418166666666667
FAM12B	0.6075
OR1L6	0.3095
HPN	-1.4008
NBN	0.54675
C14orf94	-0.4305
OCLM	-0.299
ZSCAN18	0.1254
L3MBTL	-0.8546
TSTA3	0.722833333333333
RAC1	0.22225
C19orf15	0.371333333333333
NFE2	-3.5695
KLK14	-0.0065
ARSF	-0.2165
MAST2	0.0613333333333333
AMICA1	2.44433333333333
GTF2A1	-0.536125
ATP1A3	0.1515
TC2N	2.1317
PNKP	-0.41025
ODZ2	-1.049125
MATR3	0.28275
S100P	-3.242
KRT82	-0.291
CA13	-0.7135
PROZ	-1.89083333333333
AASDH	0.246625
C19orf40	-0.366166666666667
DCK	1.09284615384615
FAM5C	-2.33525
SLC6A4	-4.0895
MID1IP1	0.419625
TESSP5	0.753
TMOD4	-0.2965
DOCK2	0.8885
TUG1	1.079125
NUP214	-1.26625
DPYSL2	-0.297090909090909
GOLM1	1.83216666666667
MPFL	-0.03975
SOX13	0.3205
SDCCAG8	0.7935
KEL	-1.72883333333333
NUP210L	-2.6255
GK	-0.0545
DNAJB1	-0.20875
ALPK3	0.1185
CHID1	-0.574
CYLC2	0.386166666666667
IKZF5	0.92075
C8orf51	1.11666666666667
PPM1J	-0.15375
GIMAP8	3.75916666666667
GPR101	-0.43
NR2F1	-0.674
ACAD8	-0.591
RBM35A	0.82575
GNAI2	0.803833333333333
METTL8	0.926666666666667
SLC39A7	-0.371
FBXO8	0.4365
CAMK1	-0.206
RFC3	-0.39025
FAM129A	0.870285714285714
ILF2	-0.493
FGFBP3	-1.094
NOM1	-0.459833333333333
PSMA3	-0.20875
ASCC3	0.2384
ZYG11A	-0.1855
SOX21	-1.752375
LYRM1	0.46
DEFB1	1.639
LOC91431	-1.73833333333333
OR7C2	0.532
FAM46B	0.8885
TMEM18	-0.123
ARHGAP30	2.15866666666667
TMEM86A	2.468
EPHA2	-1.12883333333333
C10orf46	0.2148
TCHH	-0.313333333333333
C3orf30	-0.058
LOC285636	-0.3495
PAIP2	-0.257
CYP2U1	0.035625
C12orf34	1.07525
SARS2	-0.259
ZCWPW1	0.29425
SAMD12	0.029
KIAA1430	-0.46775
ACAT1	-0.525
MEOX1	2.76383333333333
ADAMDEC1	7.442
PHKA2	-0.39075
CARD11	0.916666666666667
CALML4	-0.8965
TSSC1	-0.424
TMEM45A	-0.301
MPP7	1.436875
POU1F1	-0.2635
SLC2A13	-0.7467
FBN2	-1.3555
ZC3H7A	0.00120000000000001
LAIR2	1.0755
ST3GAL1	1.23516666666667
LCT	-3.06725
GEMIN8	0.660166666666667
KLF16	-0.0934
HIF3A	-0.2352
FAM44A	0.300071428571429
AQP10	-1.62
PLA2G2A	0.126
FOLH1	0.748166666666667
C20orf186	0.222
MAPKAP1	-0.538125
SPRR2D	-1.803
UBQLN4	-0.1325
RSHL1	-0.083
PIAS3	-0.291375
MRPL24	0.0875
GREB1	-0.2535
FAM27E3	-2.66
NUP62CL	-3.7095
NEUROG3	-0.973
REEP3	1.66741666666667
MARK1	-0.208125
LMBRD1	1.15175
PRPF19	-0.449
PNMT	-1.065
CTGLF1	-0.8605
SLC25A16	0.04575
EIF2B3	-0.787
RPA2	-0.15725
PAK6	1.24633333333333
CCDC26	-4.4285
SEMA3E	-0.81175
MXD4	0.3535
TNFSF10	3.4151
SMARCB1	0.148333333333333
DTX3L	2.24933333333333
PLA2G4E	-0.075
PPAP2A	1.37425
ULK1	-0.1115
TAS1R3	-0.0585
SLC2A3	-1.17618181818182
ARID3A	-1.53825
GNG5	-0.03225
ACOX1	0.3511
KIF5B	0.67475
NUP153	-0.30075
MUC7	-0.26
CSDE1	-0.336142857142857
CLPTM1	0.55775
C3orf23	-0.45525
LRRC17	0.267
TTYH3	-0.544
ATP5B	-0.4345
ELF3	1.2408
CPSF3L	-0.1895
ZNF665	0.683666666666667
TLR6	1.9076
GPI	-0.6905
RAD9A	-0.064
NDST4	-1.99275
AGPAT3	0.4125
MAGI3	2.01266666666667
ADORA2A	2.144375
CACNG7	-0.187
CAMK2D	0.385785714285714
CCHCR1	-0.72125
RPS27A	0.03675
OR10G7	-0.139833333333333
GCM2	-0.3755
FAM135B	0.2518
E2F1	-0.30125
PLCB3	-0.562
OR2AE1	0.08
COIL	-0.58
CDC25C	-1.60666666666667
RAB11FIP2	0.60625
TSC2	-0.65525
CTGLF5	-0.4035
CCDC108	-0.4176
OR13C4	0.178
C10orf81	2.19525
PTPRB	2.004
ACP2	0.857
LAG3	2.8385
MRPL54	0.605
LOC201175	0.2215
ITGB1BP3	-2.0755
SPTAN1	0.152166666666667
SIPA1L2	-0.511
RCAN2	-0.4375
CDX2	-0.574
ECOP	0.68925
ACTR1A	0.376142857142857
PPARG	0.207666666666667
BBS10	-0.247833333333333
TMEM44	-0.8985
BPIL2	-0.19425
CITED1	-1.303
IRF6	2.75475
PRDM4	0.388166666666667
RRP9	-0.883833333333333
OR10H4	0.3075
IL31RA	-1.4435
GNB1L	-1.04916666666667
MYBL2	0.128625
ZNF407	0.324833333333333
PPIG	0.117333333333333
TTC18	2.12175
RPSA	-0.296
MAPT	0.867375
MRE11A	-0.369214285714286
C8orf37	0.215
RASGEF1C	-0.213833333333333
STBD1	1.25375
CTAG2	-0.944166666666666
MGAT5B	-1.3585
ECM1	0.26175
RLN1	1.7855
PARP14	2.1146875
EPB41L1	0.331
HOXA3	-1.118
MAGEA9	-4.41425
RPS8	0.0711666666666667
RPS19BP1	0.73375
FOXJ2	0.333
C10orf76	0.59025
IL17RE	-0.57075
C10orf65	-2.15225
ZNF343	0.261833333333333
FBXO33	0.48275
UHMK1	1.6019
LY6G6C	-0.85375
FGF19	-2.801
C14orf128	-0.691
IFIT2	4.706375
TIGD1	-0.3965
S100G	0.7505
GUCY1B3	2.7655
NR3C1	0.4643
CORO1B	0.824666666666667
PARP11	1.69133333333333
DNALI1	3.0535
OR4N4	0.297375
MAP2K6	-0.163833333333333
FSTL4	0.27
ANKRD47	1.39725
TMEM171	-1.499
PNLIP	-0.1005
YY1	0.146666666666667
CCDC138	-0.1745
AASDHPPT	-0.0892
CKS1B	-1.0493
MCM3	-1.28733333333333
ANAPC7	-0.0226666666666667
FAM110A	1.2035
CDC37L1	0.544666666666667
THTPA	0.33025
NBPF20	0.069
WDR24	-0.3365
NPTX2	-3.21175
CBLB	1.37683333333333
CETN1	0.0285
RPUSD1	-0.34525
FAF1	-0.68625
CDK6	-2.2247
HMX2	0.112
CSK	0.517833333333333
TEAD2	0.48725
SNAP25	2.57925
TUFT1	0.0464
TMTC3	0.916833333333333
LCK	0.7165
SGOL1	-1.35333333333333
AKTIP	1.649
FURIN	0.07525
SOX12	0.334
DEFB103A	-0.8825
RAMP1	2.68075
KIR3DX1	0.366
GAS2L3	0.0615
PDE8A	-0.4983
EDN3	1.78225
GMIP	1.57025
SF3A2	-0.40975
FN3KRP	0.042
SMAD7	0.73825
RHBDD2	-0.173
OR11H6	0.486
PPP1R3B	0.8867
C9orf23	-0.26225
CADPS	-2.6105
GOLGA8A	-2.148875
TMEM57	-0.0145
RGL3	-0.2405
S100A14	2.58375
FGFR2	3.4289375
XRCC3	-0.5205
RTN4RL2	-0.0935
MGC3771	0.6105
GH2	-0.146166666666667
BTBD2	0.0415
LMO2	0.64275
RDBP	-0.55575
ACRBP	-0.19025
AMY2A	1.86575
DUOXA1	-0.018
PTK7	0.0225
TWF2	0.0431666666666667
FAM80A	-3.09
TNNI2	-1.65066666666667
GLT25D1	0.204833333333333
OCC-1	-0.09475
CYC1	-0.1715
RPL22	-0.446409090909091
MORN3	1.42933333333333
DISP1	0.458
PRB2	-0.361
CHUK	1.811
HR	-0.67775
CCDC134	0.55325
DENND4B	-0.723
C14orf130	-0.606125
RAB33A	0.3845
DCST2	-0.378
TNMD	-0.15775
PEX7	0.32675
FAM62A	-0.451
SRD5A2L	-0.7905
IL22	-0.0755
RPS26	-1.099
HOXC5	0.0795
SPATA6	0.9725
FLJ38482	-0.07825
ZNF234	1.3605
C18orf22	0.30025
SPATA22	1.3385
THOC1	-0.67175
CYP7B1	3.421
KCNC3	1.6715
C8orf42	0.1085
ALDH1B1	-0.294166666666667
CCDC100	0.56
ARMC4	-3.02925
FAM18B2	0.3645
SLC44A1	0.403375
FBXO17	-0.354833333333333
C6orf107	-0.00274999999999999
C19orf29	-0.52
ZC3HAV1L	-0.55475
PARP6	-0.1264
SULT2A1	-4.723
C1orf159	-0.62525
TMC1	0.13425
CHST14	-0.355125
GAMT	-0.933333333333333
SMCP	0.0318333333333334
TSPAN33	1.6635
MIDN	-0.28625
NOX4	3.58425
RNASEN	-0.6913
TBX1	1.58466666666667
SALL2	-0.052
C10orf35	0.936
CYP2E1	-1.033
LRFN2	0.509833333333333
ACO1	-1.17316666666667
IQCG	0.6305
MEGF9	0.292
TM7SF4	3.23375
PLEKHA1	0.760933333333333
STK33	-2.45475
C1orf210	2.08375
SNUPN	-0.1283
KIAA0406	-0.2193
C20orf29	0.58325
TMEM55B	-0.05675
OSTM1	-0.5571875
CLCN7	-0.52225
OTP	-0.487
FLJ23049	-0.9655
HEATR4	0.452
MAP3K10	-0.132166666666667
PCDHGA9	0.7755
AMDHD2	0.1845
LCTL	-3.3105
PDCD2L	-0.51075
CABLES2	0.7175
SLC5A9	-1.0825
CLCA2	3.42866666666667
MGC16025	0.835
STRAP	-0.450333333333333
C20orf196	0.3295
RRBP1	-0.210833333333333
NAT13	-0.36825
MAT2B	0.754
CSNK1D	-0.512333333333333
KIR3DL1	1.0135
PRKAG3	-0.4175
ZNF599	0.8535
PRM3	0.1555
PER2	0.927333333333333
ASPHD1	-0.635
PRMT6	-1.76525
KCNE1L	-0.499071428571428
FAM118A	-0.017
TAF4	0.5645
NDUFB6	-0.154
TRIM9	-0.944333333333333
PMFBP1	-0.926
KY	0.1595
DKFZp762E1312	-1.87918181818182
CSMD1	-1.92275
TBP	-0.654666666666667
OR1Q1	0.4075
RETNLB	-0.07375
HPGD	0.140928571428571
DNAJC12	-2.74166666666667
FKBP1B	-1.698
ANKRD24	0.1195
CXXC5	0.0236666666666667
IL3	-0.158
DRAM	1.713
PTCH1	-1.4845
TP53BP1	-0.2895
SLC17A7	0.27225
COL25A1	-1.3038
AMACR	-0.308833333333333
RHCG	0.31775
VPS13A	-0.377416666666667
FAM55D	0.452
PRPF38B	-0.433333333333333
OSBPL6	-2.02575
PFDN5	0.0516
CMTM6	1.0025
KCNK12	-0.98825
RP2	0.5705
C16orf52	-1.4925
PICK1	0.674
IFNE1	-1.34883333333333
SEMA4B	-0.41225
TYRO3	-1.407
OR12D2	0.687
CSNK1A1	0.43605
FANCF	-0.61225
LONP2	0.6945
TBL1Y	0.98025
LDOC1L	0.6525
CCNC	0.269
C3orf60	-0.44675
CHKA	-1.0665
UBAP1	0.82925
MAP3K1	1.1265
ANKRD9	-1.46225
FAM92A1	-1.56283333333333
GAB2	0.877625
AZU1	-0.598
DIS3	0.118666666666667
C21orf109	-0.67125
IQCB1	-0.23575
SPATS2	-0.637666666666667
EFCAB3	-0.33725
PRB3	0.17825
FUZ	0.1935
ZNF813	0.713625
BMPER	-0.344
HEG1	0.515375
ALS2CR11	-1.4585
SURF2	-0.44575
PSMC1	-0.0284166666666667
OR2D2	0.214
SLC7A8	1.28616666666667
C4orf40	-0.323
SPATA7	-0.7465
MAZ	-0.691916666666667
PIN4	0.5545
PDE1A	-0.587
TAF6L	-0.377666666666667
OR2T34	0.3015
KIAA0284	0.052
ACADS	0.403636363636364
MKRN2	-1.116
C18orf56	-1.46
MS4A6E	0.159
GALNT4	0.876
C22orf31	0.4045
FLJ36070	-0.4725
PSME4	0.325
TFG	-0.3727
EPHX2	0.304125
ANXA5	0.084
KRTAP1-1	-0.2787
BATF	1.9865
KARS	-0.52375
MSTP9	-0.45
GPR26	-0.275
CCDC72	-0.167
TEF	0.412833333333333
FOXK1	-0.8224
PRLHR	0.555
EMX1	1.56675
C11orf30	0.568875
ICK	0.387125
THSD7B	0.09525
C21orf100	-1.418
DUOX1	0.4625
EFCAB4B	-0.704
UBE2G2	-0.00699999999999999
C3orf54	0.33325
PARP1	-0.5395
FAM60A	-0.922666666666667
C6orf146	-0.24
OR9K2	0.376
DDX55	-0.5665
RPS15	0.21725
ZNF618	0.617125
DKFZp686D0972	0.07525
SSPO	-0.298
SHFM3P1	0.317333333333333
CPA6	-0.000749999999999998
JAG2	0.4935
DEFA3	0.81275
PPBPL2	0.229166666666667
CD34	3.648375
SLCO4A1	-1.351375
AFG3L1	-0.511333333333333
SHD	0.227
RP13-122B23.3	-0.981
PRKCSH	-0.253833333333333
DPH5	-0.413666666666667
HLA-F	2.227125
TBC1D4	-0.03775
RIG	0.0935
GLUD1	-0.2955
HNRPCL1	0.36275
HBXIP	-0.659
RNF207	-0.559
APIP	-0.174
PLA2G3	-3.62166666666667
CCDC84	-0.80875
MYLIP	0.0453076923076923
PHIP	0.08975
AARS2	-0.563166666666667
DHX32	0.82425
SCAPER	-0.169
MEN1	-0.058875
NIP7	-0.6505
FLJ25404	-0.116
FASTKD3	-0.96825
TMEM158	-2.48941666666667
RARA	0.976
BDH1	0.6705
ANKRD16	0.77475
CARM1	-0.509
SS18	-0.0315
IKZF2	1.03933333333333
MYD88	0.813375
PML	0.9679
TAF1A	-1.14075
CBFB	-0.039375
HIST1H3H	-1.2665
C7orf29	0.02575
COMMD4	-0.475166666666667
DPP3	0.36475
DAB2	0.758125
LOC388882	-0.669
YPEL4	-0.301
AGBL3	0.33325
LRP6	-0.0077
SERPINH1	-0.183916666666667
TLE1	-0.7885
CD244	1.29066666666667
ZDHHC15	-0.80125
MGLL	1.3762
PLDN	0.435583333333333
LOC654346	2.0115
FAP	2.75
GPR37	-0.469166666666667
SCARA5	1.07566666666667
EBF4	1.58090909090909
LSM6	0.08425
MLLT1	-0.30725
SLC5A12	-0.956
A2BP1	-1.339
COPS5	0.128166666666667
TPM4	0.167857142857143
TNFSF4	1.94016666666667
ACADSB	0.688
HERPUD1	2.18675
BCL2L11	0.120055555555556
CEP78	-1.140125
CDCA3	-0.693375
WBSCR19	0.2959
MYO1A	-2.1115
PPEF1	1.10366666666667
LOC440348	-0.21375
CPEB2	0.56675
BPTF	-0.07325
RPL21	-0.1895
GSX2	-0.389
ADPRH	2.14866666666667
C17orf68	0.445
KCNS1	-0.941
MLLT6	-0.1171
PIWIL4	1.28825
RNF26	-0.82525
RAP1B	0.414125
ADAMTS1	-1.0405
ZNF571	1.04025
P2RY6	1.82075
TRIM21	1.26766666666667
CADM3	0.64175
NLRC5	1.90516666666667
ADRA2B	-0.517833333333333
LOC90835	-0.137125
PCF11	-0.42825
LOC400451	1.0015
GLTSCR1	0.0833
C17orf88	-0.497666666666667
CDH16	-1.027
FGF7	3.562375
PCSK4	0.2745
NPC1L1	-2.00733333333333
TAT	0.0215
TBCA	-0.43625
MGC33407	0.13475
GPR115	0.34625
CYGB	1.001
FNBP4	-0.641833333333333
C12orf43	-0.2535
CBL	0.0542
CLECL1	3.5915
PPAPDC1A	0.93925
WDR25	-0.2135
SGCA	0.4045
C22orf29	0.245333333333333
YIPF1	0.69825
GALK2	-0.87025
RAB3B	-3.42466666666667
LOC440087	-0.10225
UCP1	-1.4015
REEP5	0.980125
FADD	0.4331
FOXA1	2.007125
CACNA1A	-0.0493333333333333
ABI1	0.839666666666667
GRIN2D	-0.52375
SLC1A4	-0.364333333333333
LOC401127	-0.57325
HINT2	0.209
PLD4	1.8975
ZNF286A	-0.3075
ENY2	-0.3755
IL1F6	-0.096
PXDNL	0.9965
C20orf79	-0.00974999999999999
TNFSF13B	4.7205
DENND3	0.931375
JARID1D	-3.72025
HIST1H2AK	-0.490875
LOC93349	1.0526
SSH1	-0.2435
ENSA	0.41025
LOC219854	-0.149666666666667
CKAP2	-0.1063
DKFZP564J102	0.0135
MGC87315	1.00333333333333
HNRPAB	0.021
AMH	-2.7965
ZNF526	-0.008
BRUNOL5	-0.2466
CACNG3	0.505666666666667
TRPM1	-2.8055
PPP2R1A	-0.237375
COL2A1	-1.8865
DDN	-0.695833333333333
FLJ25770	0.545083333333333
HK2	-0.617642857142857
ELOVL6	-0.873375
MDK	1.1645
EPHX1	0.82725
RASSF2	1.907375
DKFZP434B0335	0.299
DLX3	0.948
PRTN3	-1.42925
AVPR1A	1.08625
C21orf125	-2.118
TNFAIP8	1.32583333333333
GNB2L1	-0.67675
CALCRL	3.983
SCGB2A2	4.916
UBXD7	-0.081
ZNF674	0.123
TMEM35	0.071875
BRSK2	-1.212375
HECTD3	-0.0668333333333333
TMEM188	-0.511
LGALS9	2.489375
SCARB2	1.99191666666667
USP34	0.122166666666667
C17orf28	1.05641666666667
ZDHHC23	-0.46125
AQP12B	-0.1915
SLC16A3	-1.779875
APLP2	-0.02375
ITIH2	-4.33425
MICAL3	-0.148875
TNNI3K	-0.484
HDAC2	-0.361125
PRR7	-0.3724
THBS2	0.193
LOC751071	-1.05866666666667
CA2	-0.0486666666666667
RANBP17	-1.99275
RLN3	-0.10625
CRYZ	-0.728666666666667
GBAS	0.467166666666667
TAS1R1	-0.666
MPZL3	0.5675
PCDH8	-2.6845
HSP90B1	0.0203333333333333
KCNK15	-0.1805
TNIP2	-0.258
GPR146	-0.008
NOL6	-0.4445
SPC25	-1.66077777777778
STEAP2	1.494
VAMP3	0.585333333333333
TCIRG1	0.214
ZP4	-0.267666666666667
PARL	0.259875
TRIM39	0.188833333333333
KIAA1305	1.76875
CRNN	-0.142166666666667
GRN	1.2205
HSH2D	1.0465
SCAMP1	0.3315625
KIAA1913	1.166
PTS	-0.4805
BANP	-0.0145714285714286
PRKACG	0.123
ADCY6	0.258833333333333
C16orf46	0.44
CYP51A1	-0.39625
DDC	-4.489
ANPEP	-0.578166666666667
PROM1	-0.637333333333333
SIGLEC10	2.572
COPG	0.5225
FAM26E	2.269
TRIP4	-0.094
SNX3	0.613833333333333
C1orf175	0.144333333333333
PPY2	0.28675
C14orf152	0.166
FTSJ1	-0.194333333333333
DST	-0.07235
LOC554235	-0.0775
GLRX5	-0.458
C20orf12	1.5706
CAB39	0.986
MSH2	-0.945833333333333
PIP4K2C	0.316375
CYLD	1.94325
WTAP	0.3138125
MGAT4A	1.93
TSC22D4	0.1389
CHRM2	-2.21
PPYR1	0.0231666666666667
CCNH	-0.617666666666667
RRM1	-1.1135
ECAT8	-3.29
LOC400120	-0.2035
GABRA4	-0.430125
C14orf4	0.4055
C1orf59	0.63775
CTDSPL	-0.615166666666667
NHEDC2	-1.223
PDE11A	-1.9739375
KLHL29	-0.5855
CD5	1.8897
TSPAN9	1.2274375
WDR67	-1.2245
THUMPD1	0.0421
C18orf17	0.153
CLYBL	-0.396833333333333
FLJ13231	0.042875
CMBL	-0.695625
LECT2	0.3095
NKAPL	3.04516666666667
LOC654780	0.3225
OR4C6	0.1575
RAB30	0.9435
TSSK4	-0.452
TMEM163	1.671
OSBPL11	0.0366666666666666
GNB5	-0.3155
CCL21	2.74775
C1orf121	-0.2965
FMO2	2.71383333333333
RPTN	0.5725
MSTN	-0.144
VCL	-0.0892857142857143
FYTTD1	0.71125
C11orf1	-0.40675
CCDC88C	0.628125
HFE	0.136888888888889
MOGAT1	0.608
FAM125B	0.641666666666667
IRGQ	-0.025
RAVER2	0.043
AKAP5	-0.3685
SSSCA1	0.05175
C11orf63	0.556
ACTG2	-0.2055
PORCN	-1.3575
DTL	-1.45845454545455
TMEM151	-0.1375
FAM122C	0.62175
RSAD2	4.7214
BAT4	-1.019
KRTDAP	-1.96033333333333
MYH8	0.471
CRTC3	0.178
LRRFIP2	-0.2164
INTS4	0.495833333333333
TTN	0.106666666666667
SLC26A5	0.337
PLLP	-1.64275
RGS6	-1.093
SRGAP3	0.10425
ZNF525	0.631666666666667
NBR2	-0.889
C13orf1	-0.1961
ZNF137	0.6265
CEP27	-0.7965
BEST2	-0.5505
RNF121	-0.11275
DMRTC2	2.65875
C8orf76	0.253
BCCIP	0.27625
MEST	0.44175
HTRA2	-0.3595
ANGPTL2	0.93025
ILKAP	0.535666666666667
ERAS	0.219
HBS1L	-0.00225
CPA5	1.161
TMEM30A	1.0065
CD300LF	2.731
WISP3	1.179
CRK	-0.295428571428571
PDS5A	-0.3522
BRPF3	0.149166666666667
NEDD9	0.249375
SMPDL3B	0.652
PSG6	-1.4035
PSMD13	0.59275
ETV5	-1.6355625
OR51A4	-0.0945
BTBD7	0.367583333333333
GSTO1	-0.327
hCG_16001	-0.2955
MAD2L1BP	-0.619833333333333
COX6A2	-0.6005
SCNN1A	-0.933333333333333
LSM1	-0.273
UGT2B11	-3.7135
IDUA	-0.43825
PPP2R3C	-0.272333333333333
COX11	-0.672333333333333
PDZK1	-0.41575
ZNF443	0.652666666666667
MGC21874	0.3785
ZNF323	1.6083
KRTAP10-10	0.263
CXCL6	1.967
SLC34A2	1.5813
LOC284402	0.0185
NPTN	0.173916666666667
UPP1	-1.25225
SLC6A9	0.174
OR7G3	-0.262
CISD1	-1.0825
ZNF545	0.867
SYT14	-1.144
NT5C3L	-0.495166666666667
ZNHIT3	-0.2145
SNRPD3	0.31775
KIAA0701	0.2205
UNC93B1	0.683333333333333
GMNN	-1.878625
SPCS2	0.1965
LOC388524	-1.2915
NAPRT1	-1.305375
PNLIPRP1	-0.06375
OR6V1	0.9305
PRKAB1	-0.4585
EYA4	-3.37516666666667
KIF20A	-1.674
ALG10	0.039
ITPKC	1.269
LMX1B	1.34583333333333
RPUSD4	-0.939333333333333
C7orf34	0.203833333333333
DLGAP2	0.354625
PFN1	0.1223
MICALL2	-0.82975
ZNF654	0.4265
SS18L1	0.32
SLC16A8	0.7905
MKI67IP	-0.00216666666666667
ITGB3	-0.287625
TCEA3	1.20291666666667
CEP152	-1.546375
CLIP1	1.254
ZNF75	0.87675
ATP5C1	0.3445
NUDT5	-0.596833333333333
PSCDBP	3.53375
UBP1	-0.1665
RBM27	-0.36525
C13orf15	1.847625
ZNF282	-0.677666666666667
ZNF222	0.2363
COL10A1	4.0815
PRDM15	-0.64175
TTTY5	-0.2495
FAM9C	-0.8035
C20orf67	0.58275
GNG13	0.7575
F12	0.77675
C1orf41	-0.56025
CPXCR1	-0.3895
GSK3A	0.104125
SUPT6H	-0.0625
PI16	2.19483333333333
ELL2	-0.48625
C9orf167	-1.40783333333333
PVRL3	-1.5463
FLJ38596	1.235
ADAM20	-0.123
GPR89A	0.172
GPR87	-1.3155
ZNF30	0.43025
SMR3B	-0.3105
ZNF770	0.673375
TRPC4AP	0.0395
DKFZP686E2158	0.1735
C2orf28	-0.255166666666667
FREM1	0.671833333333333
LAMA4	0.449333333333333
ADPRHL2	-0.159
EIF4G2	0.123333333333333
GUCA1A	0.087
CTNNA2	-2.163
NUDT15	-0.640166666666667
CEPT1	0.124833333333333
ZNFX1	1.859
CCDC92	0.829
TDRD1	-0.7455
KCNK5	-0.768666666666667
ETNK1	-0.200583333333333
LTA	1.0165
TTPA	-0.382
B3GALNT2	0.10525
SC65	-0.313
PEX5L	-1.459625
EPS15L1	0.41775
MGEA5	0.20175
HIST1H3A	0.054
ING1	0.229875
BCAT1	-2.455625
ORC6L	-2.034
KLK11	-4.6855
C19orf28	-1.1365
DNER	-4.794625
MED22	-0.754071428571429
ETV6	1.06641666666667
CHAC2	-0.85625
CD300E	0.4095
CEBPB	0.382333333333333
ZNF398	-0.47775
LRCH3	0.2965
HMGA1	-1.60266666666667
CAPN7	-0.4345
MGC5566	-0.9955
CCL3	2.590625
NANOS1	0.579125
ZFYVE19	-0.747
APITD1	-0.431333333333333
PARD3	-0.160125
IRAK4	0.738166666666667
SERPINI2	-0.0465
CEP170L	-0.00975
TTC9	2.755375
MYOM3	-0.946
MLPH	0.4355
LOC222699	-1.0185
NRG1	-1.73283333333333
TBC1D9	1.35718181818182
TTK	-1.26616666666667
ZNF557	0.2121
DDX41	-0.613
FANK1	1.464
UBE2D2	0.17375
PSMB10	1.661125
MYH7B	0.2355
GABARAPL2	0.54375
MARVELD2	0.417833333333333
DGCR2	0.167666666666667
UNC45A	-0.5085
C6orf72	0.506
ZNF683	3.501
GIT2	0.687875
CASK	1.341
C14orf161	1.06966666666667
LRRC44	1.24325
TIFA	-0.16075
UTP11L	-0.68225
C6orf65	-1.029
FDPS	-0.5675
DUSP9	-2.1492
SLC17A8	0.733333333333333
OR51G1	0.081
NANS	-0.24125
OLFML1	1.5575
ATP10B	-1.6465
NPAS3	0.37175
PRKCA	-1.8221
GGA2	-0.3785
LCE4A	0.076
SPANXN3	0.344
CCDC115	1.432625
SDCCAG3	-1.232
GLIPR1L1	0.16125
TTC1	-0.2855
C17orf76	0.952
MAD2L2	-1.209
HIPK1	0.2547
LRRC3B	-0.615833333333333
CLN3	-0.847363636363637
C17orf47	0.0415
FMN2	-0.98475
TUBB1	-1.44325
WAPAL	0.039
C3orf21	-0.406375
SCN5A	-0.4544
SMYD1	0.05775
BEX5	0.36425
ZNF192	-0.2375
SEC22A	-0.0158333333333333
GRIA2	-0.0674285714285714
KIAA0825	-1.21875
NUSAP1	-1.64518181818182
LANCL1	0.1125
C15orf40	-0.3041
ZNF645	0.20675
GPR61	-0.099
NLRP14	0.011
SNX21	0.0882
C1QTNF8	-0.0485
C17orf46	0.61125
IFNA8	-0.072
SPRR1B	-0.934666666666667
FLRT1	-1.00575
SNX17	0.386666666666667
ASB2	1.22233333333333
HBG1	-3.372
RPRML	-2.60225
JOSD2	0.6145
PLSCR3	0.524
SPOCD1	-0.571333333333333
RAB39	0.0125
GHRH	1.179
ITIH5L	0.44225
C17orf37	0.1735
SMCR8	0.225
DPY19L2P3	-0.852833333333333
IL11RA	1.3595
GDF3	-3.09183333333333
RPS6KB1	-0.725
DNAJC19	0.4412
TOP1	0.08075
CRCT1	-1.239375
MPST	0.3185
DPM2	-0.560875
FAM38B	-2.47466666666667
SLC18A1	-1.02766666666667
FARP1	-0.4085
PAX7	1.484
TUBD1	-0.70975
GNL3	-1.18025
BTG2	1.6334
NDUFS6	-0.502
C1orf79	-0.81325
ERAL1	0.01025
ECHS1	0.802
VPS4A	-0.1755
CYP11A1	-0.316125
ABCC6	-2.66764285714286
PBX4	-0.186
MOSC1	0.0485
NCF4	1.9395
HYMAI	-0.092
NAGPA	-0.364
OTOP2	-0.0425
ACOT12	-0.7495
MTHFD2L	-0.290875
LOC441376	2.4065
C19orf34	-0.052
RAB1B	0.6345
ALDOAP2	-1.504
NTRK1	-1.31933333333333
ARTS-1	-0.0907
SLC6A11	-1.0415
NAP1L2	-0.671
CNGB1	-0.00383333333333333
EPB41L4B	0.7185
FAM134B	0.712
HS3ST3A1	-0.642166666666667
CPXM2	4.39275
SIRPB2	0.7875
CHORDC1	-0.656833333333333
TRIB3	-0.342666666666667
SLC2A5	0.91125
C2orf49	-0.464833333333333
DDX5	0.069
