Hybridization REF	TCGA-E2-A15F-01A-11R-A115-07
ZFP2	2.59883333333333
HTATSF1	0.68925
WFDC2	3.661875
NDUFA7	0.9185
TTC22	-0.00416666666666667
FAM40B	-2.51025
DCPS	-1.48925
SH2D1B	-1.012
MRGPRE	0.5
SBK1	0.397
UNQ6411	0.3395
OSBPL9	-0.46425
NUP107	-0.51925
MYOZ3	0.2056
PDE4B	-0.71175
FAM113A	-0.776
IDH3G	-0.031
FBXL7	1.923625
ARFGAP3	-0.845
MAPRE2	-0.858846153846154
IL1RN	2.3434
KIF13A	-0.20775
RAC3	-1.1345
TCTE1	-0.4015
TMEM14B	-1.19366666666667
ADIPOR1	0.0385
GRINA	1.236
CLIP4	0.82975
LRIT2	-1.4085
TFPI	-3.16584615384615
FABP6	-1.768
SLITRK2	-0.717888888888889
HKR1	0.163
SMTN	-1.093
C1orf75	0.28425
CD209	0.2345
CYB5R2	1.4945
DNTTIP2	0.295
CSGlcA-T	0.3505
GABRB3	-2.70975
PCBD1	0.608166666666667
TAF3	-0.09625
HOXD3	-0.635333333333333
GIPC3	0.0693333333333333
P11	0.4423
BFSP1	-0.95125
LCP2	0.77875
TAS2R8	0.4305
SEZ6L	3.816375
NR2C1	-0.449125
EXDL2	0.399
TNFRSF13B	-1.7255
MKI67	-2.734
GLS	0.571666666666667
C7orf54	-0.3153
LGALS13	-0.987333333333333
IL4R	0.2475
SEC11A	0.110833333333333
SPP2	0.3125
C18orf32	1.561
CLSPN	-2.05683333333333
SPAG1	2.4465
C9orf82	-0.25025
TM4SF1	-0.550916666666667
EMILIN2	0.39375
SMG7	0.343833333333333
TAS2R13	0.043
ZNF628	0.2
DZIP1L	-0.632666666666667
ANKRD13A	-0.7234
VASP	0.64625
ZCCHC11	-0.278625
SYPL1	0.37675
MGC34774	0.692
C4orf28	1.173
KIAA1211	1.85758333333333
RPS27L	1.31
TATDN3	-0.1335
PDCD1	0.59575
OR5P2	0.3945
IFIT1L	0.663
MIPOL1	-0.45525
OR51D1	0.33725
C1orf92	-0.4566
LAMP2	1.80322222222222
CAT	0.5505
C16orf80	0.03875
C15orf32	0.417
ZNF746	0.251
C1orf76	-0.978
ATXN1	0.25
LAMC2	2.1
SLC2A7	0.051
CPOX	-0.92325
APH1B	1.9485
LOC442245	0.09
CTNND1	0.756222222222222
GABRG2	-0.972142857142857
MADCAM1	0.507333333333333
F5	-2.036375
SEMA4F	0.977666666666667
NUDCD3	0.175
PDZD11	0.35
TRIML1	-0.095
GCNT3	-2.02
TMEM120A	0.604
CNDP1	2.4755
N4BP1	0.416375
SLC35F2	-1.42575
LCP1	0.119833333333333
IGBP1	-0.705
DCAKD	0.636375
ELA2A	-1.15
C12orf56	-2.268125
PITRM1	0.665642857142857
GUK1	0.2915
RASSF8	-1.6358125
OR2A14	0.22275
ADM	-1.77433333333333
FGD3	1.08366666666667
GHRHR	0.255833333333333
RHPN2	0.48125
C4orf39	2.4905
VPS72	-0.42075
SERF2	1.09061111111111
CD22	1.3865
CD47	1.6525
PPIC	0.880166666666667
IMPDH1	-0.83175
ACP6	-0.978
PRKACA	-0.423
PPP1R1A	0.398625
TRPV3	0.54625
ASXL1	-0.916125
C17orf55	-1.47183333333333
FXYD1	0.287833333333333
LMOD2	-0.625
ANKRD33	0.6335
LCE2C	0.101
ZNF620	-0.391
DKFZP566E164	-0.66225
VSIG2	0.5335
KIAA1128	1.498
USO1	0.2535
NUDT4	1.94764285714286
CLDN1	0.481142857142857
OR4Q3	0.297
FASTK	-0.705333333333333
ICOS	1.83416666666667
LDB1	-1.0525
GSTA5	-1.73275
ABCC1	-1.79583333333333
FAM54A	-2.119
PCBP2	-0.942333333333333
NUP205	-1.07025
ACTA1	1.0225
GABBR2	-1.40175
PIP5K1B	-1.49983333333333
AGXT	-2.51316666666667
RNF181	1.019
ATP8A2	0.3965
AFTPH	1.6495
FGF21	0.571
FCER1G	2.417625
SNTB1	-0.90475
SLC24A3	0.339625
TXNL4B	-1.2558
RPL10L	-0.872666666666667
LOC389517	-1.0274
TSGA13	-0.282
SHOX2	-2.36383333333333
ITGA7	-0.3369
KCNIP2	0.107833333333333
KLF13	-0.8236
ZFAND2A	1.016
CEACAM1	1.81378571428571
PFKFB4	-1.732
MED19	0.7655
LRRC57	0.968666666666667
RNF11	0.46275
ANKRD32	-1.886
P117	0.74225
OBFC2A	-0.372666666666667
POLD3	-0.22825
RAB18	1.911125
TPH2	-0.5882
PHB	-0.2289
JDP2	1.39233333333333
MORF4L1	-0.0883
POU2F1	-0.9425
CNNM2	-1.33283333333333
LOXHD1	0.49
ZC3H15	0.104
ELK3	0.0433333333333333
FAM111B	-1.89825
CBLC	3.3055
SBNO1	0.1525
ANKMY2	0.3715
PLEKHA5	0.33775
DHX58	2.20266666666667
ARCN1	-0.438
TREML1	0.4522
KNCN	0.6435
SEC24A	-0.4825
PSCA	-1.16825
MGC24125	0.734666666666667
DNA2L	-1.3505
CIB4	0.146
HIGD2A	-0.113833333333333
TBX6	-0.101666666666667
TTLL5	-0.981666666666667
SGK3	1.83283333333333
GCN1L1	-0.3135
AMOT	0.9232
LDOC1	1.251
NRK	0.454333333333333
ASB9	-3.358
NAT1	2.7848
TRAFD1	-0.41275
PEAR1	0.459
FAM36A	-0.550875
OR1S2	0.616166666666667
LOC388323	-1.84325
PGS1	-0.549833333333333
LEPREL1	-1.00325
TFF1	-3.31941666666667
HAP1	0.324
EPHB2	0.25
ACTG1	0.113833333333333
ZFP42	-2.3628
HAVCR2	1.0907
NME1	-0.3325
SNX26	-0.5815
LACTB	0.7535
ZKSCAN2	-0.046
C5orf35	0.6805
ANKS3	-0.52
RBM28	-0.95975
DKFZP586P0123	-0.3575
HNRNPA1	0.0068333333333333
BCAS3	-1.47716666666667
FLJ20184	0.351
POLA2	-1.349
TMC7	-0.660333333333333
HSD17B6	3.628
ZNF658B	1.52016666666667
TTTY10	-0.524666666666667
RANBP9	-0.624333333333333
CPNE7	-2.2455
EVL	0.271588235294118
LNX1	1.01508333333333
IFNA21	0.347
CFD	1.316
PYCARD	1.621
MYBPC2	-1.278
ENPP3	-0.960333333333333
ACSL4	-1.249
LOC440258	-1.81733333333333
TMEM176B	3.90716666666667
SOX2	-4.899375
SCO1	0.9545
COMT	-0.49825
AOC2	-0.11975
PDLIM5	1.56885714285714
SPHK2	1.174
NXPH2	0.32
GPR108	0.386333333333333
RAD51L1	-0.602833333333333
TMEM54	1.13525
LETMD1	-1.54677777777778
SLC6A17	0.26625
KRT75	0.6145
STT3B	-0.642833333333333
CD3EAP	-0.449833333333333
TMEM63A	-0.503
DUSP13	2.139
CD1C	1.35716666666667
LASS2	0.459166666666667
AVP	-0.593
PITPNM1	-2.538
FLJ22795	-0.5605
MCTP1	-1.58625
TRIM68	0.7095
UCK2	-0.831833333333333
ABHD1	2.2335
FAM50A	-0.641
RNASEH1	-0.757
PCP2	1.57
OR52H1	1.149
C20orf149	1.005
RBP5	-0.525833333333333
HYAL3	0.871
CLPB	-0.08925
SMNDC1	0.24
DONSON	-0.798666666666667
FLJ27523	-0.28875
BARHL2	0.3205
SLC30A9	0.883
TMPRSS11B	-0.017
E2F8	-1.146
CCDC25	-0.687083333333333
C14orf48	0.1892
C20orf116	0.466125
TSPAN11	0.2105
YIF1B	-0.233
FAM12B	1.081
OR1L6	0.56
HPN	1.6364
NBN	0.885
C14orf94	-1.51566666666667
OCLM	0.056
ZSCAN18	-0.3915
L3MBTL	-0.2149
TSTA3	0.992
RAC1	0.140875
C19orf15	-0.0535
NFE2	-2.87525
KLK14	0.4295
ARSF	0.193
MAST2	-0.0478333333333333
AMICA1	1.89733333333333
GTF2A1	-0.831625
ATP1A3	-0.24
TC2N	1.8377
PNKP	0.26875
ODZ2	1.36375
MATR3	0.87725
S100P	-2.14825
KRT82	-0.139
CA13	-0.2578
PROZ	-1.8695
AASDH	0.732875
C19orf40	0.735833333333333
DCK	0.117538461538462
FAM5C	-2.06775
SLC6A4	1.668
MID1IP1	-1.396875
TESSP5	0.456
TMOD4	0.104333333333333
DOCK2	-1.281
TUG1	-0.676
NUP214	-1.72075
DPYSL2	-1.05427272727273
GOLM1	1.01758333333333
MPFL	0.31375
SOX13	1.1235
SDCCAG8	0.8325
KEL	-1.90016666666667
NUP210L	-2.747
GK	0.32575
DNAJB1	1.11475
ALPK3	0.1405
CHID1	1.6084
CYLC2	0.823333333333333
IKZF5	0.653
C8orf51	1.86033333333333
PPM1J	0.49325
GIMAP8	2.89933333333333
GPR101	-1.581
NR2F1	-0.974
ACAD8	0.982
RBM35A	1.8395
GNAI2	-0.670166666666667
METTL8	0.364333333333333
SLC39A7	-1.46725
FBXO8	1.1975
CAMK1	0.016
RFC3	-0.87
FAM129A	1.70435714285714
ILF2	-0.806
FGFBP3	-0.62525
NOM1	-1.19133333333333
PSMA3	-0.608
ASCC3	-0.5327
ZYG11A	-1.31725
SOX21	-1.689875
LYRM1	0.785
DEFB1	3.618
LOC91431	-2.06683333333333
OR7C2	2.008
FAM46B	1.0415
TMEM18	0.034125
ARHGAP30	0.817833333333333
TMEM86A	1.96975
EPHA2	-2.07816666666667
C10orf46	1.1634
TCHH	-1.11066666666667
C3orf30	0.09
LOC285636	0.0683333333333333
PAIP2	0.82325
CYP2U1	0.085125
C12orf34	1.85775
SARS2	-0.322666666666667
ZCWPW1	0.47775
SAMD12	2.380375
KIAA1430	0.225
ACAT1	-0.433
MEOX1	1.30583333333333
ADAMDEC1	5.33225
PHKA2	-0.521
CARD11	-1.55966666666667
CALML4	-1.3885
TSSC1	-0.35125
TMEM45A	-0.824111111111111
MPP7	1.509375
POU1F1	0.3215
SLC2A13	-1.9235
FBN2	-1.30278571428571
ZC3H7A	-0.3955
LAIR2	-1.68975
ST3GAL1	-0.739
LCT	-2.86875
GEMIN8	1.04716666666667
KLF16	-0.7492
HIF3A	-0.2716
FAM44A	-0.566714285714286
AQP10	-1.3013
PLA2G2A	-1.8915
FOLH1	0.667
C20orf186	0.514
MAPKAP1	-1.36975
SPRR2D	-1.80275
UBQLN4	-1.22383333333333
RSHL1	0.375666666666667
PIAS3	-0.447875
MRPL24	0.23925
GREB1	-1.335
FAM27E3	-1.8115
NUP62CL	-0.224
NEUROG3	-1.798
REEP3	0.550916666666667
MARK1	-1.145
LMBRD1	0.3195
PRPF19	-1.6355
PNMT	0.378166666666667
CTGLF1	-1.523
SLC25A16	0.75
EIF2B3	-0.779
RPA2	0.08775
PAK6	2.20983333333333
CCDC26	-4.095375
SEMA3E	1.077375
MXD4	-0.2451
TNFSF10	3.4683
SMARCB1	-1.5245
DTX3L	1.335
PLA2G4E	-0.403
PPAP2A	0.82675
ULK1	-0.527416666666667
TAS1R3	0.6605
SLC2A3	-2.159
ARID3A	-2.458
GNG5	0.3695
ACOX1	-0.3102
KIF5B	0.514
NUP153	-1.314
MUC7	0.064
CSDE1	-0.252
CLPTM1	0.00475
C3orf23	-0.06675
LRRC17	-0.59
TTYH3	-1.408
ATP5B	-0.683
ELF3	1.7215
CPSF3L	-0.447166666666667
ZNF665	1.09866666666667
TLR6	0.1512
GPI	-0.682375
RAD9A	-0.685125
NDST4	-3.2205
AGPAT3	0.315333333333333
MAGI3	0.817666666666667
ADORA2A	-0.49375
CACNG7	0.068
CAMK2D	-1.41421428571429
CCHCR1	-1.43175
RPS27A	-0.48425
OR10G7	0.283166666666667
GCM2	0.506
FAM135B	2.5687
E2F1	-1.7825
PLCB3	-0.07375
OR2AE1	0.159
COIL	0.193333333333333
CDC25C	-0.828833333333333
RAB11FIP2	-0.0606666666666667
TSC2	-0.267
CTGLF5	-2.525
CCDC108	0.7047
OR13C4	0.537
C10orf81	3.77375
PTPRB	1.47575
ACP2	-0.9005
LAG3	0.152
MRPL54	0.7005
LOC201175	-1.025
ITGB1BP3	-2.15525
SPTAN1	-0.313
SIPA1L2	-1.477
RCAN2	-1.252
CDX2	-1.668
ECOP	-0.34225
ACTR1A	0.0827142857142857
PPARG	0.755666666666667
BBS10	0.580666666666667
TMEM44	-1.864125
BPIL2	1.07425
CITED1	3.12325
IRF6	4.0495
PRDM4	0.7665
RRP9	-0.499
OR10H4	0.48775
IL31RA	-0.88075
GNB1L	0.255166666666667
MYBL2	-2.411375
ZNF407	1.51933333333333
PPIG	-0.0806666666666666
TTC18	3.46825
RPSA	-0.5275
MAPT	2.9235
MRE11A	0.108285714285714
C8orf37	-0.338833333333333
RASGEF1C	-0.319166666666667
STBD1	1.394
CTAG2	-0.352166666666667
MGAT5B	-1.20166666666667
ECM1	-0.04425
RLN1	2.1615
PARP14	1.2845625
EPB41L1	1.955
HOXA3	-1.61691666666667
MAGEA9	-5.9655
RPS8	-0.2565
RPS19BP1	0.168
FOXJ2	0.57625
C10orf76	0.395875
IL17RE	0.2075
C10orf65	-0.10375
ZNF343	-0.806666666666667
FBXO33	-0.301875
UHMK1	0.5314
LY6G6C	-0.19225
FGF19	-2.17625
C14orf128	-0.250833333333333
IFIT2	2.767875
TIGD1	-0.13675
S100G	1.131
GUCY1B3	1.201
NR3C1	0.2673
CORO1B	-0.8745
PARP11	1.59766666666667
DNALI1	4.6045
OR4N4	0.652125
MAP2K6	-0.0336666666666667
FSTL4	0.27525
ANKRD47	1.28625
TMEM171	-1.57
PNLIP	0.35575
YY1	-1.56
CCDC138	-1.97566666666667
AASDHPPT	-0.7689
CKS1B	-0.5656
MCM3	-1.5885
ANAPC7	-0.146666666666667
FAM110A	0.67025
CDC37L1	0.957333333333333
THTPA	0.31675
NBPF20	-2.496
WDR24	-0.05375
NPTX2	-2.47075
CBLB	0.1325
CETN1	0.151
RPUSD1	0.36325
FAF1	-0.49675
CDK6	-2.7791
HMX2	0.3875
CSK	-1.08916666666667
TEAD2	-1.1375
SNAP25	0.66575
TUFT1	1.2447
TMTC3	0.386666666666667
LCK	-2.24725
SGOL1	-1.06733333333333
AKTIP	2.50025
FURIN	0.3255
SOX12	-1.43866666666667
DEFB103A	0.29475
RAMP1	4.0525
KIR3DX1	0.5335
GAS2L3	-1.32175
PDE8A	-0.4583
EDN3	1.047
GMIP	0.675
SF3A2	0.0475
FN3KRP	0.521
SMAD7	1.06825
RHBDD2	0.8875
OR11H6	2.7215
PPP1R3B	0.686
C9orf23	-0.54525
CADPS	-0.24925
GOLGA8A	-2.449875
TMEM57	0.764833333333333
RGL3	-0.164
S100A14	3.42575
FGFR2	0.228375
XRCC3	-0.6105
RTN4RL2	0.497
MGC3771	2.055
GH2	-0.0213333333333333
BTBD2	-0.58275
LMO2	0.53875
RDBP	-0.949125
ACRBP	-2.06125
AMY2A	2.62875
DUOXA1	0.358
PTK7	-1.13283333333333
TWF2	-0.6435
FAM80A	1.36825
TNNI2	-2.25266666666667
GLT25D1	-0.728
OCC-1	-1.507
CYC1	-0.4025
RPL22	0.642454545454545
MORN3	2.254
DISP1	1.316
PRB2	-0.7305
CHUK	0.34225
HR	-0.02175
CCDC134	-1.05075
DENND4B	-1.40075
C14orf130	-0.210625
RAB33A	-0.9965
DCST2	0.1515
TNMD	-0.26125
PEX7	1.22325
FAM62A	0.249375
SRD5A2L	0.843
IL22	0.2715
RPS26	-1.6505
HOXC5	-1.212
SPATA6	0.6675
FLJ38482	0.92375
ZNF234	1.1695
C18orf22	0.6385
SPATA22	0.598
THOC1	-0.2925
CYP7B1	3.313
KCNC3	3.603
C8orf42	0.1915
ALDH1B1	-1.08933333333333
CCDC100	0.7672
ARMC4	-0.034
FAM18B2	-0.508
SLC44A1	-0.01075
FBXO17	0.613
C6orf107	-0.805
C19orf29	-0.74225
ZC3HAV1L	0.08775
PARP6	0.4423
SULT2A1	-5.09175
C1orf159	-0.08575
TMC1	-0.0486666666666667
CHST14	-0.1435
GAMT	0.210333333333333
SMCP	-0.0993333333333333
TSPAN33	0.146083333333333
MIDN	-0.958875
NOX4	1.763
RNASEN	0.3971
TBX1	0.468833333333333
SALL2	-0.66475
C10orf35	2.86625
CYP2E1	-0.3705
LRFN2	1.55333333333333
ACO1	-0.893666666666667
IQCG	0.8034
MEGF9	1.12825
TM7SF4	1.90975
PLEKHA1	0.788866666666667
STK33	-1.8285
C1orf210	3.00575
SNUPN	0.7051
KIAA0406	-1.4145
C20orf29	-0.3095
TMEM55B	-0.948
OSTM1	-0.534
CLCN7	-0.96925
OTP	-0.024
FLJ23049	1.1495
HEATR4	0.9775
MAP3K10	-0.861666666666667
PCDHGA9	0.0335
AMDHD2	-0.9995
LCTL	-2.842
PDCD2L	-0.01525
CABLES2	0.51175
SLC5A9	-0.9445
CLCA2	-2.80716666666667
MGC16025	-1.3815
STRAP	-0.082
C20orf196	-1.111
RRBP1	0.387
NAT13	-0.61775
MAT2B	0.87775
CSNK1D	-1.20366666666667
KIR3DL1	0.13975
PRKAG3	-2.897
ZNF599	0.942
PRM3	2.092
PER2	0.891333333333333
ASPHD1	0.2525
PRMT6	-0.039
KCNE1L	-0.940357142857143
FAM118A	-0.360166666666667
TAF4	0.08825
NDUFB6	-0.20675
TRIM9	-1.05791666666667
PMFBP1	-0.84325
KY	-0.125
DKFZp762E1312	-1.89972727272727
CSMD1	-1.3045
TBP	-0.327
OR1Q1	0.157166666666667
RETNLB	0.08375
HPGD	1.25557142857143
DNAJC12	1.72816666666667
FKBP1B	-0.42125
ANKRD24	-0.0378333333333334
CXXC5	0.930333333333333
IL3	0.23175
DRAM	0.7094
PTCH1	-1.1985
TP53BP1	0.2805
SLC17A7	-0.119125
COL25A1	-2.3934
AMACR	0.783333333333333
RHCG	-0.13225
VPS13A	-1.40391666666667
FAM55D	-0.0365
PRPF38B	0.395833333333333
OSBPL6	1.202
PFDN5	1.1691
CMTM6	1.20075
KCNK12	-0.88225
RP2	0.7335
C16orf52	-1.29425
PICK1	-1.6265
IFNE1	-0.558
SEMA4B	-0.32275
TYRO3	-1.50175
OR12D2	1.104
CSNK1A1	1.08305
FANCF	1.97525
LONP2	1.507625
TBL1Y	-0.26675
LDOC1L	-0.105625
CCNC	-0.3375
C3orf60	0.4425
CHKA	-0.5385
UBAP1	-0.3925
MAP3K1	-0.6165
ANKRD9	-2.158
FAM92A1	0.932833333333333
GAB2	0.33875
AZU1	-0.49525
DIS3	0.134
C21orf109	-1.31525
IQCB1	0.06775
SPATS2	-1.0335
EFCAB3	-0.891
PRB3	-0.1225
FUZ	0.579
ZNF813	1.582375
BMPER	-0.910666666666667
HEG1	-0.577875
ALS2CR11	-2.35575
SURF2	-0.16425
PSMC1	-0.43
OR2D2	0.5135
SLC7A8	1.80716666666667
C4orf40	0.7995
SPATA7	0.2975
MAZ	-0.991083333333333
PIN4	1.269
PDE1A	-0.3095
TAF6L	-0.5195
OR2T34	0.3835
KIAA0284	-0.35275
ACADS	0.00409090909090912
MKRN2	-0.2525
C18orf56	-1.19825
MS4A6E	0.246166666666667
GALNT4	1.186
C22orf31	0.4205
FLJ36070	-0.09
PSME4	0.17675
TFG	0.7231
EPHX2	0.59825
ANXA5	-0.017375
KRTAP1-1	-0.2623
BATF	1.883
KARS	-1.90225
MSTP9	-0.904
GPR26	2.25725
CCDC72	1.3615
TEF	0.232
FOXK1	-1.0155
PRLHR	-0.3475
EMX1	3.93225
C11orf30	-0.430125
ICK	-0.308375
THSD7B	-0.087
C21orf100	-1.025
DUOX1	1.2815
EFCAB4B	0.30625
UBE2G2	-1.90816666666667
C3orf54	1.15225
PARP1	-1.02225
FAM60A	-1.40725
C6orf146	0.819
OR9K2	0.868
DDX55	-1.15966666666667
RPS15	0.67375
ZNF618	0.4228125
DKFZp686D0972	-0.1485
SSPO	1.5865
SHFM3P1	-0.363166666666667
CPA6	0.48575
JAG2	-0.14075
DEFA3	0.6105
PPBPL2	0.239
CD34	3.352875
SLCO4A1	-2.14675
AFG3L1	-2.0205
SHD	-0.541
RP13-122B23.3	-1.475
PRKCSH	-1.22816666666667
DPH5	0.1335
HLA-F	1.36275
TBC1D4	-0.80125
RIG	-0.9154
GLUD1	-0.195666666666667
HNRPCL1	0.180375
HBXIP	1.106
RNF207	-0.544
APIP	0.64025
PLA2G3	-3.325
CCDC84	-0.41825
MYLIP	-1.26169230769231
PHIP	-0.31675
AARS2	-0.713166666666667
DHX32	0.5945
SCAPER	-0.265166666666667
MEN1	-0.511142857142857
NIP7	-0.75775
FLJ25404	0.5325
FASTKD3	-0.117
TMEM158	-2.85675
RARA	1.7785
BDH1	0.948
ANKRD16	0.508
CARM1	0.233
SS18	0.537833333333333
IKZF2	-0.621
MYD88	-0.20275
PML	0.2462
TAF1A	-0.475
CBFB	-0.840625
HIST1H3H	-1.28466666666667
C7orf29	-0.96825
COMMD4	0.1405
DPP3	-0.827
DAB2	1.04775
LOC388882	-1.001
YPEL4	-1.0365
AGBL3	0.22125
LRP6	-0.9403
SERPINH1	-0.832916666666667
TLE1	-1.837
CD244	0.240666666666667
ZDHHC15	1
MGLL	-0.1078
PLDN	-1.11516666666667
LOC654346	1.7055
FAP	2.45575
GPR37	1.493
SCARA5	0.615333333333333
EBF4	1.57772727272727
LSM6	-0.005
MLLT1	-0.3908125
SLC5A12	-0.2625
A2BP1	-0.4175
COPS5	0.963333333333333
TPM4	-0.492428571428571
TNFSF4	0.683333333333333
ACADSB	3.16288888888889
HERPUD1	0.2915
BCL2L11	-0.731166666666667
CEP78	-1.410625
CDCA3	-1.301625
WBSCR19	0.408
MYO1A	-1.491
PPEF1	1.83516666666667
LOC440348	-0.44075
CPEB2	2.126125
BPTF	-0.0778333333333334
RPL21	0.2416875
GSX2	-0.1285
ADPRH	1.33383333333333
C17orf68	0.925833333333333
KCNS1	-0.728833333333333
MLLT6	-0.3754
PIWIL4	0.5225
RNF26	-1.3145
RAP1B	1.82275
ADAMTS1	-1.4577
ZNF571	1.34875
P2RY6	0.494
TRIM21	1.357
CADM3	0.55925
NLRC5	0.0645
ADRA2B	2.03433333333333
LOC90835	1.11125
PCF11	0.14625
LOC400451	2.1425
GLTSCR1	-0.2936
C17orf88	-0.594666666666667
CDH16	-1.40125
FGF7	2.688375
PCSK4	0.3725
NPC1L1	-0.0591666666666667
TAT	0.168125
TBCA	0.44275
MGC33407	0.014
GPR115	-1.390875
CYGB	-0.858
FNBP4	-0.5575
C12orf43	0.0105
CBL	-1.0596
CLECL1	2.20125
PPAPDC1A	1.0115
WDR25	-0.694166666666666
SGCA	0.947
C22orf29	-0.816333333333333
YIPF1	1.40275
GALK2	-0.905
RAB3B	-3.32375
LOC440087	4.62775
UCP1	-0.594
REEP5	2.27675
FADD	-0.4477
FOXA1	2.498875
CACNA1A	0.355166666666667
ABI1	0.176
GRIN2D	-2.03275
SLC1A4	0.136333333333333
LOC401127	-1.0625
HINT2	0.06675
PLD4	-0.116166666666667
ZNF286A	0.58
ENY2	0.3495
IL1F6	0.4065
PXDNL	1.57375
C20orf79	0.551666666666667
TNFSF13B	3.39966666666667
DENND3	-0.636125
JARID1D	-2.79125
HIST1H2AK	0.681375
LOC93349	-0.005
SSH1	-0.6328
ENSA	-1.1105
LOC219854	-0.107333333333333
CKAP2	-0.3082
DKFZP564J102	1.29533333333333
MGC87315	-1.0515
HNRPAB	-1.627
AMH	-1.635
ZNF526	0.771
BRUNOL5	0.1388
CACNG3	0.451
TRPM1	-2.1955
PPP2R1A	0.894625
COL2A1	2.59925
DDN	-0.0131666666666667
FLJ25770	3.0805
HK2	-0.222
ELOVL6	-0.00149999999999999
MDK	-0.25275
EPHX1	1.00975
RASSF2	0.06125
DKFZP434B0335	-1.3155
DLX3	-0.091
PRTN3	-0.48775
AVPR1A	-0.0245
C21orf125	-2.47325
TNFAIP8	-0.178166666666667
GNB2L1	-0.70325
CALCRL	3.08625
SCGB2A2	7.848
UBXD7	-0.562
ZNF674	-0.5455
TMEM35	-0.0615
BRSK2	-1.019375
HECTD3	-0.270166666666667
TMEM188	0.974
LGALS9	1.828875
SCARB2	0.783166666666667
USP34	-0.08825
C17orf28	1.63616666666667
ZDHHC23	0.611
AQP12B	-0.169
SLC16A3	-0.905125
APLP2	0.00999999999999999
ITIH2	-4.7155
MICAL3	-1.223625
TNNI3K	0.6388
HDAC2	0.55425
PRR7	-2.0975
THBS2	-0.362
LOC751071	-1.2455
CA2	1.80783333333333
RANBP17	-0.32275
RLN3	0.0675
CRYZ	1.024
GBAS	0.1325
TAS1R1	0.657
MPZL3	0.6495
PCDH8	-1.716
HSP90B1	0.270083333333333
KCNK15	2.1675
TNIP2	-0.575333333333333
GPR146	-0.91275
NOL6	-0.91975
SPC25	-2.15955555555556
STEAP2	2.57071428571429
VAMP3	0.086
TCIRG1	-0.00524999999999999
ZP4	-0.6906
PARL	0.541
TRIM39	-0.292333333333333
KIAA1305	-0.25925
CRNN	0.691166666666667
GRN	-0.43425
HSH2D	0.818
SCAMP1	0.62175
KIAA1913	1.182
PTS	0.512
BANP	-0.141214285714286
PRKACG	0.20925
ADCY6	0.3745
C16orf46	-0.608
CYP51A1	-0.886625
DDC	-5.24275
ANPEP	1.545
PROM1	-0.485333333333333
SIGLEC10	1.1
COPG	0.189
FAM26E	0.857625
TRIP4	0.3495
SNX3	-0.147833333333333
C1orf175	1.0185
PPY2	-0.1715
C14orf152	0.737
FTSJ1	-1.2455
DST	-0.192
LOC554235	0.213
GLRX5	-0.2015
C20orf12	0.3948
CAB39	0.8345
MSH2	-0.470833333333333
PIP4K2C	2.16475
CYLD	1.378375
WTAP	0.7918125
MGAT4A	1.94488888888889
TSC22D4	-0.8667
CHRM2	-1.784
PPYR1	-0.0946666666666667
CCNH	0.150833333333333
RRM1	0.142
ECAT8	-3.374
LOC400120	-0.1075
GABRA4	-0.543666666666667
C14orf4	1.58316666666667
C1orf59	0.77825
CTDSPL	0.746416666666667
NHEDC2	0.322
PDE11A	-0.808625
KLHL29	-0.54175
CD5	-0.1835
TSPAN9	2.0755
WDR67	-0.882
THUMPD1	0.2187
C18orf17	0.56675
CLYBL	0.475833333333333
FLJ13231	0.236125
CMBL	0.27025
LECT2	-0.04825
NKAPL	2.675
LOC654780	0.363
OR4C6	-0.7695
RAB30	-1.262
TSSK4	-0.2365
TMEM163	0.4895
OSBPL11	0.56125
GNB5	-0.136333333333333
CCL21	1.58925
C1orf121	-0.5395
FMO2	1.72916666666667
RPTN	1.19
MSTN	1.026
VCL	-0.3735
FYTTD1	0.78725
C11orf1	0.3865
CCDC88C	-0.0393749999999999
HFE	-0.935388888888889
MOGAT1	-1.344
FAM125B	0.529666666666667
IRGQ	-0.0565
RAVER2	1.38025
AKAP5	-2.1765
SSSCA1	-0.386
C11orf63	1.157875
ACTG2	1.9842
PORCN	-0.4745
DTL	-1.53572727272727
TMEM151	0.643
FAM122C	-0.5185
RSAD2	4.3063
BAT4	-1.1095
KRTDAP	0.731
MYH8	1.492625
CRTC3	0.6255
LRRFIP2	0.8282
INTS4	0.203333333333333
TTN	-2.52266666666667
SLC26A5	1.34
PLLP	-1.4475
RGS6	-1.4355
SRGAP3	-0.35325
ZNF525	0.54
NBR2	-0.794
C13orf1	1.0805
ZNF137	0.7065
CEP27	-1.893
BEST2	0.2505
RNF121	-0.20125
DMRTC2	-1.09866666666667
C8orf76	0.7295
BCCIP	-0.111
MEST	-0.0365
HTRA2	-1.146
ANGPTL2	-0.91725
ILKAP	0.894833333333333
ERAS	0.3505
HBS1L	-1.268875
CPA5	0.7805
TMEM30A	-0.00466666666666667
CD300LF	2.30116666666667
WISP3	3.0095
CRK	0.238785714285714
PDS5A	0.7993
BRPF3	0.247
NEDD9	-0.75175
SMPDL3B	0.54675
PSG6	-0.9065
PSMD13	-0.22225
ETV5	-1.9881875
OR51A4	0.158
BTBD7	-0.264833333333333
GSTO1	-0.631
hCG_16001	1.9775
MAD2L1BP	-0.356
COX6A2	-1.429
SCNN1A	2.26816666666667
LSM1	3.31433333333333
