Hybridization REF	TCGA-A8-A09D-01A-11R-A00Z-07
MDK	1.686
EPHX1	1.17225
RASSF2	0.909375
DKFZP434B0335	0.17475
DLX3	1.342
PRTN3	-0.54175
AVPR1A	1.51875
C21orf125	-1.545
TNFAIP8	-0.758666666666667
GNB2L1	-0.20075
CALCRL	3.22425
SCGB2A2	4.5605
UBXD7	0.0245
ZNF674	-1.449
TMEM35	-0.147625
BRSK2	-0.3875
HECTD3	0.137833333333333
TMEM188	-0.316083333333333
LGALS9	2.44025
SCARB2	1.02116666666667
USP34	-0.15225
C17orf28	2.91833333333333
ZDHHC23	-0.38425
AQP12B	-0.6225
SLC16A3	-0.36575
APLP2	0.010875
ITIH2	-5.546
MICAL3	-0.064
TNNI3K	0.4203
HDAC2	-0.7765
PRR7	-0.2435
THBS2	0.84675
LOC751071	-0.0536666666666667
CA2	-0.343333333333333
RANBP17	0.195
RLN3	0.41175
CRYZ	-1.84616666666667
GBAS	-0.235833333333333
TAS1R1	-0.52125
MPZL3	0.0335
PCDH8	-1.16025
HSP90B1	-0.985
KCNK15	0.5405
TNIP2	-0.2305
GPR146	0.92175
NOL6	-0.04875
SPC25	-2.15522222222222
STEAP2	1.02271428571429
VAMP3	0.0485
TCIRG1	-0.42175
ZP4	-0.235833333333333
PARL	0.0355
TRIM39	0.0218333333333334
KIAA1305	1.5485
CRNN	0.408333333333333
GRN	0.75375
HSH2D	-2.3275
SCAMP1	0.9860625
KIAA1913	1.64575
PTS	-0.582
BANP	0.0797857142857143
PRKACG	0.666
ADCY6	0.813833333333334
C16orf46	0.9495
CYP51A1	0.50075
DDC	-6.0255
ANPEP	-0.557666666666667
PROM1	-2.03466666666667
SIGLEC10	3.10275
COPG	1.0545
FAM26E	1.95725
TRIP4	0.25775
SNX3	0.476666666666667
C1orf175	0.5775
PPY2	0.254
C14orf152	0.78575
FTSJ1	-0.947833333333333
DST	-0.52525
LOC554235	0.03575
GLRX5	-0.58975
C20orf12	0.8321
CAB39	0.481
MSH2	-1.69866666666667
PIP4K2C	2.432375
CYLD	0.4525
WTAP	0.164875
MGAT4A	1.11688888888889
TSC22D4	-0.1455
CHRM2	-1.8305
PPYR1	0.258333333333333
CCNH	-0.970666666666667
RRM1	-0.6545
ECAT8	-2.53525
LOC400120	-0.422
GABRA4	-0.427166666666667
C14orf4	1.0905
C1orf59	-0.229
CTDSPL	-0.291416666666667
NHEDC2	-0.4165
PDE11A	-0.0881875
KLHL29	-0.37525
CD5	-0.5499
TSPAN9	1.998
WDR67	-2.0645
THUMPD1	0.5249
C18orf17	-0.65475
CLYBL	-0.7705
FLJ13231	-0.177125
CMBL	-0.489875
LECT2	-0.64675
NKAPL	2.53983333333333
LOC654780	0.3855
OR4C6	-0.85
RAB30	0.753666666666667
TSSK4	-0.5775
TMEM163	0.6395
OSBPL11	0.545416666666667
GNB5	-1.0685
CCL21	0.54925
C1orf121	0.133
FMO2	3.99816666666667
RPTN	1.378
MSTN	0.9475
VCL	0.0192142857142857
FYTTD1	0.1815
C11orf1	-0.646
CCDC88C	0.4065625
HFE	-1.0765
MOGAT1	0.281
FAM125B	0.5715
IRGQ	0.8765
RAVER2	0.4995
AKAP5	-0.6555
SSSCA1	-0.18325
C11orf63	0.544125
ACTG2	1.1493
PORCN	-0.945
DTL	-1.65163636363636
TMEM151	0.7415
FAM122C	-1.91625
RSAD2	4.6714
BAT4	-0.8975
KRTDAP	-2.357
MYH8	0.07325
CRTC3	0.63125
LRRFIP2	-0.5356
INTS4	-1.36083333333333
TTN	-1.65333333333333
SLC26A5	0.5955
PLLP	-0.802
RGS6	0.869
SRGAP3	0.2075
ZNF525	0.194166666666667
NBR2	-1.64816666666667
C13orf1	-0.0365
ZNF137	0.219
CEP27	-1.62675
BEST2	0.26
RNF121	-0.145
DMRTC2	1.5165
C8orf76	-0.966
BCCIP	-0.891375
MEST	-0.125
HTRA2	-0.664
ANGPTL2	1.796
ILKAP	-0.0553333333333333
ERAS	0.314
HBS1L	0.252625
CPA5	-0.274
TMEM30A	0.781833333333333
CD300LF	3.25583333333333
WISP3	-0.97
CRK	0.982142857142857
PDS5A	-0.5452
BRPF3	-0.157833333333333
NEDD9	-1.145
SMPDL3B	-0.365
PSG6	-1.17875
PSMD13	0.076
ETV5	-1.10425
OR51A4	0.3175
BTBD7	0.7125
GSTO1	-0.663125
hCG_16001	0.5095
MAD2L1BP	-0.49
COX6A2	1.6295
SCNN1A	0.628166666666667
LSM1	0.0371666666666667
UGT2B11	-4.39975
IDUA	0.522
PPP2R3C	-0.355166666666667
COX11	-0.2275
PDZK1	-3.039
ZNF443	0.6725
MGC21874	1.29466666666667
ZNF323	0.7178
KRTAP10-10	0.4045
CXCL6	-1.0175
SLC34A2	0.186
LOC284402	0.25
NPTN	1.28416666666667
UPP1	-1.6395
SLC6A9	-0.3425
OR7G3	-0.54125
CISD1	-0.233333333333333
ZNF545	0.25
SYT14	-1.1215
NT5C3L	-1.06333333333333
ZNHIT3	-0.483
SNRPD3	0.05325
KIAA0701	-0.263875
UNC93B1	0.302833333333333
GMNN	-1.993875
SPCS2	-0.200166666666667
LOC388524	-0.033
NAPRT1	-0.512125
PNLIPRP1	0.464333333333333
OR6V1	0.7195
PRKAB1	-0.947
EYA4	-3.23966666666667
KIF20A	-1.89025
ALG10	-0.80625
ITPKC	1.51866666666667
LMX1B	1.70916666666667
RPUSD4	-1.24483333333333
C7orf34	-0.136
DLGAP2	0.0408571428571429
PFN1	-0.4263
MICALL2	-0.519666666666667
ZNF654	0.477
SS18L1	1.994125
SLC16A8	0.5785
MKI67IP	-0.750833333333333
ITGB3	-0.466
TCEA3	2.12908333333333
CEP152	-2.14046666666667
CLIP1	0.45975
ZNF75	0.172875
ATP5C1	-0.1875
NUDT5	-0.544
PSCDBP	-0.08425
UBP1	-1.20575
RBM27	0.33875
C13orf15	2.448125
ZNF282	-0.063
ZNF222	-0.0673
COL10A1	6.7395
PRDM15	-1.04225
TTTY5	0.1895
FAM9C	-0.385909090909091
C20orf67	-0.0875
GNG13	-0.0235
F12	-2.29275
C1orf41	-1.34675
CPXCR1	-0.699
GSK3A	0.266375
SUPT6H	0.0596666666666667
PI16	1.609
ELL2	-0.784166666666667
C9orf167	-1.41433333333333
PVRL3	-1.6284
FLJ38596	1.348
ADAM20	0.294
GPR89A	0.276
GPR87	-4.6655
ZNF30	1.256
SMR3B	-0.273666666666667
ZNF770	0.484375
TRPC4AP	-0.5475
DKFZP686E2158	0.419
C2orf28	-0.272
FREM1	-0.496
LAMA4	1.24216666666667
ADPRHL2	0.30275
EIF4G2	-0.0401666666666667
GUCA1A	-0.407
CTNNA2	-1.81425
NUDT15	0.0471666666666667
CEPT1	-0.112833333333333
ZNFX1	1.5909
CCDC92	0.8705
TDRD1	0.0305
KCNK5	-2.358
ETNK1	-0.396333333333333
LTA	0.2555
TTPA	1.918
B3GALNT2	0.15675
SC65	-0.768
PEX5L	-1.649375
EPS15L1	0.5415
MGEA5	-0.27425
HIST1H3A	0.49875
ING1	0.313
BCAT1	-2.347125
ORC6L	-2.44327272727273
KLK11	-5.607
C19orf28	-0.81725
DNER	-2.503375
MED22	-0.774357142857143
ETV6	1.0515
CHAC2	-2.39625
CD300E	0.45
CEBPB	0.31525
ZNF398	0.30475
LRCH3	0.309
HMGA1	-1.782
CAPN7	0.648666666666667
MGC5566	-3.37025
CCL3	3.49785714285714
NANOS1	-0.203125
ZFYVE19	-0.396
APITD1	-0.811
PARD3	0.6465
IRAK4	-0.841166666666667
SERPINI2	-0.535
CEP170L	-0.66
TTC9	2.143125
MYOM3	-1.756
MLPH	1.129
LOC222699	0.1195
NRG1	-2.22675
TBC1D9	2.59409090909091
TTK	-1.70533333333333
ZNF557	0.4349
DDX41	-0.199
FANK1	0.5385
UBE2D2	0.17375
PSMB10	0.58425
MYH7B	0.2905
GABARAPL2	-0.239625
MARVELD2	2.848
DGCR2	1.43183333333333
UNC45A	0.546666666666667
C6orf72	0.5685
ZNF683	3.182
GIT2	-0.32825
CASK	0.0525
C14orf161	0.500333333333333
LRRC44	0.15825
TIFA	-1.324375
UTP11L	-0.317875
C6orf65	-0.65675
FDPS	-0.7655
DUSP9	-1.866
SLC17A8	0.915666666666667
OR51G1	0.019
NANS	-0.23725
OLFML1	2.0985
ATP10B	-0.0747142857142858
NPAS3	0.6875
PRKCA	-2.7604
GGA2	-0.3951875
LCE4A	0.416
SPANXN3	-0.4715
CCDC115	0.6065
SDCCAG3	-0.9485
GLIPR1L1	0.499
TTC1	-0.15625
C17orf76	1.68725
MAD2L2	-1.099
HIPK1	0.2287
LRRC3B	-0.676
CLN3	-0.598136363636364
C17orf47	-0.207
FMN2	-2.592375
TUBB1	-0.0550000000000001
WAPAL	0.201333333333333
C3orf21	-0.035125
SCN5A	-0.8866
SMYD1	-0.306
BEX5	-0.481
ZNF192	0.351
SEC22A	-0.0233333333333333
GRIA2	0.340384615384615
KIAA0825	-1.2965
NUSAP1	-1.651
LANCL1	-0.430875
C15orf40	-1.2414
ZNF645	0.60525
GPR61	0.40375
NLRP14	-0.7105
SNX21	0.2387
C1QTNF8	0.6005
C17orf46	0.4675
IFNA8	0.6515
SPRR1B	-1.647
FLRT1	0.2205
SNX17	-0.399
ASB2	-0.7705
HBG1	-5.688
RPRML	-2.02175
JOSD2	0.571666666666667
PLSCR3	0.24325
SPOCD1	0.3225
RAB39	0.286
GHRH	0.0368333333333333
ITIH5L	0.23475
C17orf37	-0.48625
SMCR8	0.0995
DPY19L2P3	-0.856166666666667
IL11RA	0.442
GDF3	-3.8875
RPS6KB1	-0.15
DNAJC19	-0.1161
TOP1	-0.45975
CRCT1	-0.265375
MPST	-0.1035
DPM2	0.081125
FAM38B	-2.55516666666667
SLC18A1	-2.62333333333333
FARP1	0.263833333333333
PAX7	0.96275
TUBD1	-0.345
GNL3	-1.541125
BTG2	1.4662
NDUFS6	-0.168
C1orf79	-1.552
ERAL1	-0.42825
ECHS1	0.80325
VPS4A	0.0095
CYP11A1	0.093125
ABCC6	-0.904214285714286
PBX4	-1.2355
MOSC1	0.552375
NCF4	0.80675
HYMAI	0.149
NAGPA	-0.426875
OTOP2	0.25375
ACOT12	-0.11525
MTHFD2L	-0.812
LOC441376	2.247
C19orf34	-0.1755
RAB1B	0.47675
ALDOAP2	-0.393
NTRK1	-1.73316666666667
ARTS-1	0.6453
SLC6A11	-1.925
NAP1L2	-0.6855
CNGB1	0.335833333333333
EPB41L4B	0.709833333333333
FAM134B	1.923375
HS3ST3A1	-1.67533333333333
CPXM2	5.38525
SIRPB2	-0.146
CHORDC1	-1.42366666666667
TRIB3	-0.938
SLC2A5	1.45925
C2orf49	-0.9055
DDX5	-0.29275
OR5L1	0.3765
ANAPC4	-0.901333333333333
ZSWIM1	-0.163375
LOC93622	0.487375
KCNK3	0.4372
RP11-35N6.1	-2.665625
ZFP161	-0.023
AQP9	5.59325
SLC15A2	-0.0523333333333333
MREG	0.405333333333333
OR9I1	0.3005
PDLIM2	1.322875
ADAM7	0.3025
GSTCD	0.119333333333333
WDR21A	-0.443125
SLC12A8	1.62966666666667
TMEM174	0.25425
IGSF3	0.172333333333333
LRRN1	-0.7525
LOC402117	0.15275
SRPK1	-1.79333333333333
LY6K	-1.656625
NFIA	1.9505
PTCD3	-0.739
LEP	4.32383333333333
PCDH21	-0.482833333333333
MAPKAPK2	0.429785714285714
NMNAT1	-0.771
LHFPL2	1.462
C9orf43	-0.759
DIP2A	-0.517333333333333
ACTR8	-0.521
CCDC34	-0.95225
PTPN22	-0.76375
ITGA3	-0.174125
FAM129C	-0.02075
RABGGTA	1.36416666666667
UNC45B	1.057
KIAA1033	0.214625
ZNF510	-0.516666666666667
CYP2D6	-1.26766666666667
SLC26A10	-2.455
STX8	-0.12975
LUZP1	0.114
WDR89	0.974666666666667
EIF4G3	-0.6952
C5AR1	1.2785
ZNF623	-0.4075
A2M	1.1125
TGM7	-0.059
GRPEL1	0.326833333333333
LMNB2	-0.7477
ROCK2	0.415333333333333
SNX16	-0.120375
CCDC66	-0.829
ANXA3	-0.89
KIAA1609	0.587
EED	-1.55975
RNF32	-0.592833333333333
HES1	0.8791
CLC	0.6596
ISL1	-1.24033333333333
KIAA0528	-0.775625
MANEA	0.357875
C1orf61	-2.7595
hCG_2001000	0.6265
RAPGEF6	0.2181
KIAA0020	-1.67516666666667
NEIL1	0.87625
C16orf45	-0.425875
RBM10	-0.489833333333333
C10orf125	-0.495625
MRS2L	-0.424
DNAH17	-0.915125
C19orf10	-0.32775
C1orf160	0.7405
SLFN12	0.355
EXOC3	-0.140333333333333
HIST3H3	0.89525
NCOR2	-0.133666666666667
TNFRSF9	0.234
MFSD8	1.2735
ALX1	-3.55583333333333
NOL1	-1.01075
PODN	2.99825
TIAL1	-1.251
HIST1H1E	0.881
NPY6R	-0.00900000000000001
TM4SF4	-0.18175
CORO2A	-0.2735
ETNK2	1.35133333333333
APOE	1.9311
ANGPT4	-0.212
HDGF2	-0.2185
G30	0.476
ST8SIA4	0.30175
F2RL1	-0.36925
FAM19A4	-4.0195
CCAR1	-1.04525
B3GNT7	0.616
OPHN1	-0.262
DSCR6	0.8165
C21orf13	1.019
GAS2L1	1.01558333333333
RFX3	-0.700666666666667
COPS4	-0.329625
BCHE	-4.71766666666667
BCL2	1.787875
HBZ	-2.70033333333333
ARL13B	0.543375
MAPBPIP	0.0845
MYO15B	-0.86425
SPZ1	0.529333333333333
KIAA1324	1.94744444444444
PLCL2	-0.640375
C4orf29	-1.327
WDFY2	-0.691375
ZNF284	-1.2265
NAALADL1	-0.2485
DUSP5	0.077
PXDN	0.3985
SLMO1	0.96025
TNXB	0.8029
BIRC7	-0.7395
A4GALT	1.07333333333333
TIMM22	0.8445
FAM110C	1.117
TOMM34	-1.276
ABHD9	0.1835
ADAM32	2.0615
CRHBP	0.752
AQP2	0.59175
LOC130355	0.91725
ZNF187	0.0785
ZNF816A	0.8215
F7	0.0425
CNOT1	-0.1256
SLC13A4	-0.5375
ZBTB11	-0.6385
B3GALT5	-0.108
EXOC2	0.692833333333333
IRS1	-0.431
TMEM1	0.243833333333333
MRPL34	-0.6625
SAMM50	-0.7225
CDC42EP3	-0.46375
HSF2	-0.8322
MFN2	0.02825
TSPAN7	-1.40066666666667
NUCB1	0.683916666666667
RHOH	-1.25
ARL16	-0.6615
TACR1	0.6855
SFRS5	-1.445
SNX25	0.192875
RHBDF1	0.843
PCDH18	2.40916666666667
HMG1L1	0.23275
MYO5C	0.375125
MAPK10	3.029
LDHAL6A	-0.6524
NUDT12	0.779
NCAM1	-0.583375
GLIS2	0.9615
GGTL4	-0.5105
DAPP1	-0.5295
ATF7	0.9535
KIAA0748	-1.263
NFIL3	-1.40675
TM6SF1	1.3879
SEZ6	0.247
NANOS3	0.2555
DNAJA3	-0.296666666666667
CLDN6	-2.2365
CIITA	2.9111
EPHA4	-0.66675
FANCC	-0.11875
CMTM3	0.67825
PSG3	-0.888125
MRPL15	-0.6325
C21orf59	0.229
PLCXD2	-0.30275
C2orf34	-0.183125
UBE2L6	1.22425
MED14	-0.521
HP1BP3	-0.1944
C6orf208	-0.1175
TPBG	1.021
OSR2	1.4915
XPC	0.0855
KLHL7	-1.28916666666667
CCR3	-0.2146
AGTPBP1	-0.901333333333333
PCSK6	1.94
STAT5A	-1.0819
FAM18B	0.6275
LONRF2	-0.960833333333333
PTPN2	0.057875
SF3A3	-0.686833333333333
EFCBP2	-0.21025
HCFC1	-0.897166666666667
AHNAK	0.78165
ACTR5	-0.56775
KIF14	-2.05971428571429
TENC1	1.06875
HEATR5B	0.665
YIPF2	0.158833333333333
MYEOV2	0.510166666666667
DUSP18	1.5875
KIAA1012	-0.411
AHR	-0.953666666666667
C17orf53	-1.75066666666667
PTPRH	-3.613
ATP6V1C1	0.7005
TAS2R3	1.1475
LOC440356	-1.95225
COQ10B	0.73625
PSMF1	0.4015
SORBS2	0.541833333333333
NFE2L2	0.0425
TMCO7	0.12225
SH3PXD2A	0.3026
SH2D2A	-1.2825
SPINK5	-1.66525
MRPS24	-1.00875
OPA3	0.549875
TRAF7	-0.499333333333333
C4orf35	-0.179833333333333
MT1G	-0.087625
MGC39545	0.377
HS1BP3	0.3116
OR2B2	0.37
CHRM4	-0.016
SFRP2	4.06883333333333
RIC3	-0.0627499999999999
ART1	0.431
C6orf1	0.345875
DUS4L	-1.4455
C10orf104	0.19725
TNFAIP6	2.9605
RTEL1	0.15225
CCT4	-0.9926
ZNF709	0.23875
CHMP6	1.29583333333333
UPP2	-0.05875
CYP19A1	-1.95575
CD151	-0.826166666666667
NDUFA13	0.212166666666667
ARFRP1	0.0523333333333333
FAM26B	1.84575
CRYBA1	-3.126
MRPL41	0.9945
NPFFR2	-0.87925
HRH2	0.023
SCAMP3	-0.323
MTMR6	0.7826
MTG1	-1.39716666666667
UBTD1	1.15675
CRABP1	-0.111
FLJ33790	-0.00910000000000001
KIAA1908	-0.404166666666667
GPR158	0.5515
PACSIN3	0.695
OMD	4
CATSPER1	-0.750833333333333
HOXB8	-0.88725
FBXO46	0.089
OAS1	1.571
SVIL	0.15375
PHB2	-1.02775
ADCY3	-0.0205
NDRG2	1.65783333333333
ERMAP	0.4185
APBA2	-0.576333333333333
IGSF9	1.59825
WNT6	0.3365
MYCBPAP	-0.55025
ATP2B2	-0.465571428571429
CPVL	0.2744
TRAM2	-0.551909090909091
NOP5/NOP58	0.00125
ZNRF4	0.04875
TLK1	-0.2095
MTMR12	-0.159571428571429
ZNF384	-0.396333333333333
FAM9B	-3.33325
RPN1	0.5467
PMVK	-0.2685
EIF3D	-0.3385
SIX2	0.01
HPS1	0.198714285714286
RNF7	0.181
PSKH2	1.0355
KCTD13	-0.422333333333333
CSMD3	-1.1048
FBF1	-0.369
IL8	-4.919
SERPINB13	0.254833333333333
FBXL20	-0.80325
BLR1	0.3835
SH2B1	-0.759666666666667
RFNG	0.00650000000000001
RAB20	0.628166666666667
RBM7	-0.67925
POLR1A	-0.3715
TMPRSS4	-2.31675
TAF9	-1.125625
TERF2	-0.0901666666666667
TNFRSF1A	0.588333333333333
ACADVL	0.0603333333333333
GTF2H5	-0.19175
EDG8	-0.613833333333333
C9orf140	-0.28275
UST6	-0.29625
ZBTB8OS	-0.53825
ZNF710	0.2
GPR174	-1.151
ATP6V0A2	-1.239
KIAA0319L	0.48975
XKRX	0.47
DOPEY2	1.74
SDHD	-0.875916666666667
SUMF1	1.6305
OSM	1.6745
OPN3	-1.72575
DAGLB	-0.209666666666667
PPFIBP1	0.323
TRIM63	-3.66725
C10orf53	-0.6225
LYPD3	2.02183333333333
BCL7A	-0.17825
AGER	-1.61766666666667
TCF19	-1.3245
SAT2	-0.0595
PFTK1	0.671166666666667
GABRE	-2.018875
C15orf38	0.825
FIS1	0.338
KCNV2	0.10875
CLPS	1.034
PPCDC	-0.281375
FOXN2	1.65616666666667
NT5E	-2.5007
CD83	0.96725
IL18	0.48725
VPS16	0.21675
IGFBP2	-2.35166666666667
NOTCH2	0.26575
SIGLEC1	4.095
CD93	5.61
SULF2	2.405
CEP164	-0.801875
P53AIP1	0.1205
TOR2A	0.0438333333333333
ZNF136	0.595
MGP	2.6513
CCDC144A	0.986333333333333
TRPC1	-0.612166666666667
SMS	-0.191833333333333
MAPK7	0.00883333333333333
RRAGC	1.26925
PARD6A	0.438333333333333
NUB1	0.117666666666667
SYNGR4	0.665
OR11H12	0.3305
WIF1	2.28075
GCH1	1.4895
OR11H4	-0.439
SLC44A5	-0.24
GPRIN2	0.0946666666666667
LOC401431	0.0595
CPA4	-2.1176
MELK	-1.94177777777778
IL15RA	0.4075
CUL3	1.017125
HMBOX1	0.9295
PODXL	-1.7715
CCT6B	1.41316666666667
COMTD1	0.04
MUC20	-0.7505
GPX2	-2.0005
ITK	-1.5055
FBXL5	1.7865
C13orf27	-0.97675
DEFA5	0.386
TRHDE	0.752
MTP18	-0.200166666666667
UQCRQ	0.3861
ITGB2	2.16008333333333
CSRP2BP	0.088
TAS2R44	0.8755
PHPT1	0.197875
FAM44C	-0.44725
ERH	-0.2575
MPHOSPH1	-2.10833333333333
MORC1	0.002
PARVB	-0.89425
LAMA1	-2.60483333333333
PGBD3	-0.60975
GIMAP6	4.57275
AREG	-0.069
LIPT1	-0.6385
MGC99813	-0.84425
C1orf201	0.168833333333333
GRIN2A	-1.23477777777778
MAN2C1	-1.209875
NSUN5	-0.72575
SF3B5	0.01975
MYC	-1.8433125
NRXN1	-0.9425
ZNF18	0.3905
SPDYA	-0.747
SLC37A1	1.424
DECR2	-0.9155
ANKRD38	1.199125
SPTLC3	-2.38308333333333
SUPT16H	0.021
DTWD2	0.72
ULBP1	null
ZADH1	-1.2085
OIP5	-1.73075
IL10RB	0.403333333333333
OTUB2	-0.672125
VWA3A	0.0268333333333333
SPIC	-0.2928
OR6C4	0.281
PSCD4	1.52816666666667
DPY19L2P2	-0.6415
TRAPPC6A	0.686833333333333
C21orf2	-0.475166666666667
CEMP1	-0.2135
LIN7B	1.4625
E2F7	-1.95016666666667
VCP	0.375
LAMA3	0.102083333333333
BGN	2.51075
GPR160	2.06383333333333
COCH	-3.0595
GPR81	1.68383333333333
APOBEC3F	-2.30175
tcag7.1017	-0.47375
C1orf32	0.2635
SCGB1D2	0.173
FLJ43987	-0.21
C6orf170	0.68725
KLK9	0.936
GPD1L	0.062875
VPS37B	-0.5255
ATG3	-0.500333333333333
ADAMTS17	0.4075
KLHDC2	0.311333333333333
NDUFV2	-0.828
BLK	-2.966
MATN4	-1.152
GPM6A	-0.319714285714286
GBP4	3.66016666666667
TMEM162	0.167166666666667
PKP2	-0.9625
HRASLS	1.43933333333333
MMP1	-1.985
SFXN3	-0.2707
FSD1	-1.7705
ST6GALNAC3	-1.34266666666667
CA12	3.1707
NCOA6	0.05
C19orf58	-0.00369999999999998
PPP4R1	-0.6795
MAN1A2	0.627833333333333
IKBKAP	-1.26725
UPF1	0.351666666666667
KIAA1219	0.35225
WNT16	0.279
SNW1	-0.88075
IL18RAP	2.36975
RPP30	-0.4815
CDC40	0.169285714285714
SETD3	-0.291333333333333
SLAMF6	-0.545
ELK4	-1.4585
TRIM47	0.745666666666667
ACOX3	2.279875
TRIM6	-0.642375
KIAA0372	-0.634
TP53AP1	0.606375
SMURF2	0.2285
ADAD1	0.52225
EBP	-1.0599
KRTAP13-2	-0.3665
FLJ36874	-1.20983333333333
TOR1A	0.214666666666667
P2RY4	1.3075
GPBP1	-0.0645
TRPV1	0.46675
ADAMTS12	0.448666666666667
PES1	0.3621
ATG4A	0.316833333333333
MAGEA10	-4.516
WFS1	1.83725
CC2D1B	-1.22183333333333
PABPN1	0.290125
SLC25A30	0.56375
SLCO1C1	0.852166666666667
SLC22A5	1.1815
KIF23	-1.77416666666667
SYN2	-0.35
ASPN	8.53966666666667
CENTG2	0.25425
QSOX2	-1.7348
FLJ10815	0.554166666666667
STK24	-0.19925
SPEG	-0.2663
STK10	0.289666666666667
DACT2	-2.324
AAAS	-0.94575
SSX3	-2.229625
ABCD3	0.4586
C4orf12	-0.29825
PARVG	1.20066666666667
FIG4	0.48675
C9orf46	0.88
TMCO6	-1.0015
IGHMBP2	-0.855
DUS2L	-0.295
FAM3C	0.0221875
TMEM16D	-2.53071428571429
DCTN4	0.50375
KCNH3	-0.24125
EIF2AK2	1.561
AP1S3	-0.12375
CST4	1.9985
PAM	0.147
NUTF2	0.1135
CITED2	-0.062
SLC39A4	-0.14525
C2orf52	-1.2355
GRM3	0.32625
C12orf49	0.092875
CCDC49	-0.1816
GRAMD1B	-1.831625
FNDC4	1.34275
SIAH2	0.048
GDPD4	0.1455
C21orf87	-0.169375
ATP5A1	-0.333333333333333
C16orf63	-1.313375
LOC388135	1.31733333333333
ATP5J2	-0.35425
MMP3	-0.13175
EMID2	-0.4825
CRHR1	0.6355
WDR70	-0.62075
C13orf31	2.10475
ZFAND1	-0.65
CCL18	4.77533333333333
C3orf49	0.4005
RINT1	-0.5115
KIAA0408	-0.901
F13A1	5.7758
SLC10A1	-0.133
OGN	0.023
GIPC2	-1.37766666666667
XPO6	-0.868666666666667
LCE1A	1.0535
FMR1	0.6788
LOC374920	-0.631
DUSP3	0.284625
ANKMY1	0.32525
C7orf50	-0.2185
BBS9	-0.5822
UNC119B	-0.5495
C9orf72	0.21125
MGC35440	-0.97125
ENTPD6	0.396625
PPP1R2P9	0.64975
ERCC4	-0.025
FAHD2B	-0.747
HMHA1	0.26
HACL1	-0.22325
RAD23A	0.243333333333333
FAM83B	-0.43475
PPP5C	-0.771333333333333
RNASEH2C	0.318125
C9orf153	-1.63175
SCAMP4	0.562375
GHITM	0.4028
NDUFB7	0.721125
ADCYAP1	0.474666666666667
SP110	1.87333333333333
MAP3K7IP2	0.234
DHH	0.0445
AGRN	0.552785714285714
WDR33	-0.259333333333333
CEP290	-0.0493333333333333
PRPS1L1	-2.739
KLRA1	-0.271
GPR97	-0.16
CHD7	1.18275
TLR10	1.45
SLC30A8	-0.8145
HIC1	1.71233333333333
IAPP	0.446
RXFP4	0.2765
GP1BB	1.4825
SHQ1	-0.7195
NKX2-3	0.16
API5	-0.64225
FTHP1	-0.18
MOV10L1	-0.197
TRIM6-TRIM34	2.4935
ADHFE1	1.4435
FAM117A	-0.676
DDI1	-0.233333333333333
CDON	-0.578833333333333
TRIM73	-1.129
IGKC	2.582
MMP14	0.535416666666667
DYNC1LI1	-0.536375
C11orf66	-0.069
TRBV3-1	-2.41
FASTKD5	-0.54325
BIVM	-0.797
LHX4	0.26175
CXCL2	-2.64
RAB2B	-1.06633333333333
IZUMO1	-0.979
MAP3K15	-2.359125
FAM19A2	0.0231666666666667
ZC3H8	-0.975833333333333
ZMAT1	1.208625
SPINK5L3	-2.80275
SLC10A6	0.2985
APPL2	-0.605125
CARD10	-0.753333333333333
LOC402176	-0.523625
EEF1D	0.2656
RAB6A	1.0207
C12orf5	-0.1145
PAPOLG	0.61525
MSRB2	1.09775
BCR	0.897166666666667
PUS3	-0.65125
TIAM2	0.028
ZNF317	0.301166666666667
CHD2	-0.261142857142857
FZD5	-0.871
NUDT8	-0.11625
ZNF763	0.001
PRC1	-1.43888888888889
ABCB9	0.307
SPATA3	0.37325
TRAK2	0.594375
STAB1	3.247625
LRRTM2	0.046
psiTPTE22	1.43025
DBI	-0.162
SERPINA11	-3.474
NAT5	0.09875
C20orf58	-2.47275
RPS6KA4	0.754166666666667
FLJ90650	2.09375
TGFBRAP1	0.559
CHRDL2	-1.176625
FAHD2A	-0.918166666666667
CNTN1	-0.28
BBS4	-0.5635
TMEM181	0.7175
MINPP1	-0.6165
MPHOSPH6	-0.119916666666667
HOXC10	1.3557
ITPKB	-0.022875
CLPTM1L	-0.475375
MEOX2	1.48516666666667
ATP6V0C	0.62575
PRPF8	0.049
TMC5	1.42075
FKBP3	-0.8035
PLEKHB2	-0.159625
OR4D6	0.23
ZNF544	-0.6732
D2HGDH	-0.071875
RPL18A	-0.2709
HEL308	-0.547125
MPP6	-3.423
TCERG1	-1.18625
KRT16	-0.0223333333333333
KLF17	-1.36225
KLF5	0.202625
CDR1	3.947375
VCX3A	1.036
FBLN2	2.6485
C14orf104	-0.6575
HBE1	-4.6695
OR4S2	1.263
C1orf108	-0.577
ROBO4	4.212
CPEB4	0.522
C11orf80	0.671333333333333
BCKDHA	0.704
MYOC	3.922
GIF	0.7315
CKMT1A	1.9735
RPL3	-0.0995
THBS1	2.956125
APOO	-0.86925
ARMCX1	1.3045
HSZFP36	1.25225
SNAPC5	-0.90775
EIF4ENIF1	1.2035
ZNF433	0.174
TNFRSF21	-0.028125
TMPRSS7	0.6095
SPATA18	1.5038
HPDL	-2.683
MKL2	1.1245
TBX3	0.795230769230769
C21orf93	-0.00633333333333334
