Hybridization REF	TCGA-AN-A0XS-01A-22R-A109-07
LOC388882	-0.541
YPEL4	-0.545875
AGBL3	1.808
LRP6	0.5155
SERPINH1	-0.2115
TLE1	-0.6775
CD244	1.22316666666667
ZDHHC15	-0.67325
MGLL	0.1242
PLDN	-0.656916666666667
LOC654346	1.931
FAP	3.829
GPR37	-2.60883333333333
SCARA5	1.66983333333333
EBF4	2.804
LSM6	-0.8525
MLLT1	-0.0808125
SLC5A12	-0.49525
A2BP1	-1.661
COPS5	0.732166666666667
TPM4	0.3715
TNFSF4	1.9795
ACADSB	2.34566666666667
HERPUD1	1.08225
BCL2L11	-0.592444444444445
CEP78	-1.622125
CDCA3	-1.872875
WBSCR19	0.0601
MYO1A	-2.0755
PPEF1	3.5305
LOC440348	-0.31925
CPEB2	0.17125
BPTF	-0.22425
RPL21	-0.3055
GSX2	0.4255
ADPRH	1.059
C17orf68	0.789333333333333
KCNS1	-0.76
MLLT6	0.3731
PIWIL4	0.41525
RNF26	-0.55075
RAP1B	0.42125
ADAMTS1	-2.4434
ZNF571	0.55325
P2RY6	0.539
TRIM21	0.794666666666667
CADM3	1.0245
NLRC5	0.860833333333333
ADRA2B	-0.546
LOC90835	1.73575
PCF11	-0.7215
LOC400451	1.20625
GLTSCR1	1.1211
C17orf88	-0.298166666666667
CDH16	-1.3135
FGF7	1.942875
PCSK4	0.471
NPC1L1	-1.70633333333333
TAT	0.005125
TBCA	-0.41875
MGC33407	0.24375
GPR115	-1.336375
CYGB	0.577
FNBP4	-1.341
C12orf43	0.09275
CBL	-0.0767
CLECL1	2.23625
PPAPDC1A	2.78
WDR25	0.513166666666667
SGCA	1.1965
C22orf29	0.458666666666667
YIPF1	0.942
GALK2	-0.80275
RAB3B	0.824
LOC440087	-0.13275
UCP1	-0.9065
REEP5	2.153625
FADD	-0.8346
FOXA1	3.69725
CACNA1A	0.712
ABI1	-0.3515
GRIN2D	2.17875
SLC1A4	0.682666666666667
LOC401127	-1.35575
HINT2	0.4825
PLD4	0.763833333333333
ZNF286A	-0.987
ENY2	0.285
IL1F6	-0.24
PXDNL	0.5845
C20orf79	0.293
TNFSF13B	3.76766666666667
DENND3	1.03875
JARID1D	-3.88375
HIST1H2AK	0.65275
LOC93349	0.322
SSH1	-0.6582
ENSA	-1.421
LOC219854	0.561666666666667
CKAP2	-0.9253
DKFZP564J102	0.5045
MGC87315	-0.5555
HNRPAB	-2.07575
AMH	-1.414
ZNF526	0.7965
BRUNOL5	-0.7204
CACNG3	0.179333333333333
TRPM1	-1.517
PPP2R1A	0.3595
COL2A1	-1.929
DDN	-0.477833333333333
FLJ25770	0.573416666666667
HK2	-1.45607142857143
ELOVL6	-2.204125
MDK	-1.0745
EPHX1	-0.0165
RASSF2	1.084375
DKFZP434B0335	-0.66125
DLX3	0.338125
PRTN3	1.02325
AVPR1A	0.64075
C21orf125	-2.47475
TNFAIP8	0.192666666666667
GNB2L1	-0.31175
CALCRL	2.804
SCGB2A2	8.62283333333333
UBXD7	0.204
ZNF674	-0.3705
TMEM35	-0.117125
BRSK2	-1.41725
HECTD3	-0.055
TMEM188	-0.837666666666667
LGALS9	2.127125
SCARB2	0.819583333333333
USP34	-0.0291666666666667
C17orf28	1.78766666666667
ZDHHC23	-1.5945
AQP12B	-0.381
SLC16A3	-1.789625
APLP2	-0.024625
ITIH2	-5.71825
MICAL3	0.453625
TNNI3K	0.6981
HDAC2	-0.037125
PRR7	-0.3673
THBS2	1.551125
LOC751071	-0.982
CA2	-0.848666666666667
RANBP17	0.3695
RLN3	0.36075
CRYZ	-0.930166666666667
GBAS	0.1965
TAS1R1	-0.2245
MPZL3	0.554
PCDH8	-1.51675
HSP90B1	-0.72675
KCNK15	1.9345
TNIP2	-0.326
GPR146	0.59475
NOL6	-0.56525
SPC25	-3.95888888888889
STEAP2	1.42192857142857
VAMP3	-0.00966666666666668
TCIRG1	-0.27775
ZP4	0.5155
PARL	-0.366375
TRIM39	0.3865
KIAA1305	1.0235
CRNN	0.0533333333333333
GRN	0.539
HSH2D	-0.6295
SCAMP1	0.21075
KIAA1913	1.63725
PTS	-0.624
BANP	-0.130357142857143
PRKACG	0.29875
ADCY6	0.5895
C16orf46	0.369
CYP51A1	-0.164375
DDC	-6.19875
ANPEP	-0.7545
PROM1	-2.202
SIGLEC10	2.21725
COPG	0.173
FAM26E	2.238375
TRIP4	0.446
SNX3	0.0111666666666667
C1orf175	0.724666666666667
PPY2	0.30575
C14orf152	0.59925
FTSJ1	-0.998833333333333
DST	0.37205
LOC554235	-0.05775
GLRX5	-0.41425
C20orf12	1.3433
CAB39	0.511833333333333
MSH2	-1.555
PIP4K2C	1.249
CYLD	0.7665
WTAP	0.2815
MGAT4A	2.06511111111111
TSC22D4	-0.5365
CHRM2	-2.182
PPYR1	0.4365
CCNH	-0.108666666666667
RRM1	-1.5335
ECAT8	-3.47775
LOC400120	0.003
GABRA4	-0.31425
C14orf4	1.456
C1orf59	-0.4125
CTDSPL	1.09608333333333
NHEDC2	-1.257
PDE11A	-0.3035
KLHL29	-0.88725
CD5	0.6409
TSPAN9	1.8283125
WDR67	-0.398
THUMPD1	1.3422
C18orf17	0.596
CLYBL	-0.00433333333333333
FLJ13231	-1.45675
CMBL	1.342625
LECT2	-0.50775
NKAPL	1.91816666666667
LOC654780	0.372
OR4C6	-0.5615
RAB30	1.36366666666667
TSSK4	0.1035
TMEM163	1.23
OSBPL11	0.143083333333333
GNB5	-1.189
CCL21	1.642
C1orf121	-0.448833333333333
FMO2	2.83183333333333
RPTN	-0.2045
MSTN	0.735
VCL	0.0174285714285715
FYTTD1	-0.12125
C11orf1	0.20975
CCDC88C	-0.724375
HFE	-0.263111111111111
MOGAT1	-0.425
FAM125B	0.343833333333333
IRGQ	0.583
RAVER2	-0.837
AKAP5	-0.7475
SSSCA1	-0.13325
C11orf63	-0.00987500000000002
ACTG2	1.6739
PORCN	-1.024
DTL	-2.90045454545455
TMEM151	0.6525
FAM122C	-1.43125
RSAD2	2.7635
BAT4	-0.074
KRTDAP	-0.440833333333333
MYH8	0.618857142857143
CRTC3	0.765
LRRFIP2	0.1456
INTS4	-0.488166666666667
TTN	-0.620833333333333
SLC26A5	-0.0075
PLLP	-1.92325
RGS6	-0.307125
SRGAP3	2.209875
ZNF525	0.251833333333333
NBR2	0.124
C13orf1	0.0657
ZNF137	0.2895
CEP27	-1.881
BEST2	0.05
RNF121	-0.30275
DMRTC2	1.26725
C8orf76	-0.23225
BCCIP	-0.331
MEST	-0.47475
HTRA2	0.1415
ANGPTL2	1.0925
ILKAP	-0.6335
ERAS	-0.3805
HBS1L	0.140125
CPA5	0.3115
TMEM30A	0.201833333333333
CD300LF	2.109
WISP3	0.104
CRK	0.396142857142857
PDS5A	-0.6721
BRPF3	0.458833333333333
NEDD9	1.1335
SMPDL3B	1.35175
PSG6	-0.7245
PSMD13	0.10875
ETV5	-1.3623125
OR51A4	-0.151
BTBD7	0.696
GSTO1	-0.74825
hCG_16001	0.106
MAD2L1BP	-0.0123333333333333
COX6A2	2.5465
SCNN1A	1.98566666666667
LSM1	-0.325666666666667
UGT2B11	-3.721
IDUA	0.7095
PPP2R3C	-0.448833333333333
COX11	-0.810166666666667
PDZK1	3.75475
ZNF443	0.720166666666667
MGC21874	1.21266666666667
ZNF323	0.6654
KRTAP10-10	0.071
CXCL6	-0.66975
SLC34A2	0.7069
LOC284402	0.4065
NPTN	0.913083333333333
UPP1	-1.87375
SLC6A9	-0.582
OR7G3	0.29125
CISD1	-0.487833333333333
ZNF545	-0.0726666666666667
SYT14	-1.2215
NT5C3L	-0.340666666666667
ZNHIT3	-0.215333333333333
SNRPD3	-0.12
KIAA0701	-0.04225
UNC93B1	-0.0496666666666667
GMNN	-2.3925
SPCS2	0.110833333333333
LOC388524	-0.55
NAPRT1	0.4685
PNLIPRP1	-0.38625
OR6V1	0.873
PRKAB1	0.1845
EYA4	-2.8815
KIF20A	-2.52875
ALG10	0.23975
ITPKC	0.563
LMX1B	2.1965
RPUSD4	-0.972666666666667
C7orf34	0.149166666666667
DLGAP2	-0.302125
PFN1	-0.7136
MICALL2	0.166083333333333
ZNF654	-0.1265
SS18L1	-1.305625
SLC16A8	0.66375
MKI67IP	-0.451666666666667
ITGB3	-1.13325
TCEA3	2.23375
CEP152	-2.2940625
CLIP1	0.483125
ZNF75	0.383375
ATP5C1	-0.914
NUDT5	-0.7305
PSCDBP	1.73425
UBP1	0.15875
RBM27	-0.39325
C13orf15	2.5365
ZNF282	-0.241166666666667
ZNF222	-0.646
COL10A1	6.58075
PRDM15	-0.455625
TTTY5	-0.569
FAM9C	0.01325
C20orf67	0.40575
GNG13	2.194
F12	-1.1855
C1orf41	-0.58975
CPXCR1	-0.595
GSK3A	0.089125
SUPT6H	0.143166666666667
PI16	3.27283333333333
ELL2	-0.743333333333333
C9orf167	-1.37266666666667
PVRL3	-2.0832
FLJ38596	0.24325
ADAM20	0.38775
GPR89A	-1.248
GPR87	-2.0975
ZNF30	0.8595
SMR3B	0.00199999999999999
ZNF770	0.122
TRPC4AP	-0.720666666666667
DKFZP686E2158	0.499833333333333
C2orf28	0.0175
FREM1	-0.03
LAMA4	1.20716666666667
ADPRHL2	0.20875
EIF4G2	0.44
GUCA1A	-0.459
CTNNA2	-1.74175
NUDT15	-1.1575
CEPT1	-0.540833333333333
ZNFX1	0.5978
CCDC92	1.03175
TDRD1	-1.5595
KCNK5	-1.5115
ETNK1	-0.0220833333333333
LTA	0.5565
TTPA	-0.380833333333333
B3GALNT2	-1.028875
SC65	-0.1885
PEX5L	-1.3675
EPS15L1	0.33325
MGEA5	0.196
HIST1H3A	0.68375
ING1	0.627
BCAT1	-2.548
ORC6L	-3.17718181818182
KLK11	-5.29833333333333
C19orf28	-0.993875
DNER	-5.269125
MED22	-1.00271428571429
ETV6	1.24
CHAC2	-2.2545
CD300E	0.406
CEBPB	1.00958333333333
ZNF398	-0.2685
LRCH3	-0.134
HMGA1	-1.84583333333333
CAPN7	-0.4345
MGC5566	-2.19425
CCL3	2.7455
NANOS1	-0.538875
ZFYVE19	-0.14025
APITD1	-0.818166666666666
PARD3	-0.734
IRAK4	0.016
SERPINI2	-0.3345
CEP170L	-1.208
TTC9	1.995625
MYOM3	-1.31175
MLPH	2.041625
LOC222699	0.42
NRG1	-1.3175
TBC1D9	3.11690909090909
TTK	-2.844
ZNF557	0.5269
DDX41	-0.286666666666667
FANK1	2.459
UBE2D2	-0.019625
PSMB10	0.780375
MYH7B	0.421
GABARAPL2	0.073875
MARVELD2	1.815
DGCR2	0.475
UNC45A	0.0451666666666667
C6orf72	1.012
ZNF683	4.90975
GIT2	0.16275
CASK	0.488
C14orf161	2.84066666666667
LRRC44	1.36425
TIFA	0.4175
UTP11L	-0.772
C6orf65	-0.71225
FDPS	-1.0035
DUSP9	-2.1164
SLC17A8	0.1405
OR51G1	0.288666666666667
NANS	-0.66625
OLFML1	2.2725
ATP10B	-0.908375
NPAS3	-1.7065
PRKCA	-2.453
GGA2	0.307375
LCE4A	0.56
SPANXN3	0.75925
CCDC115	1.015375
SDCCAG3	-1.09975
GLIPR1L1	0.3145
TTC1	-0.282
C17orf76	0.49025
MAD2L2	-1.06275
HIPK1	-0.161
LRRC3B	-0.208833333333333
CLN3	0.257363636363636
C17orf47	0.193
FMN2	-2.302375
TUBB1	-1.5145
WAPAL	-0.098
C3orf21	-0.557125
SCN5A	-0.724
SMYD1	-0.66875
BEX5	2.41225
ZNF192	-0.07
SEC22A	-0.0255
GRIA2	0.0821428571428571
KIAA0825	-1.16975
NUSAP1	-3.07345454545455
LANCL1	-0.150875
C15orf40	-1.0144
ZNF645	0.097125
GPR61	-0.269
NLRP14	0.001
SNX21	-0.1637
C1QTNF8	0.245
C17orf46	0.311
IFNA8	-0.139
SPRR1B	-1.36316666666667
FLRT1	-0.7075
SNX17	-0.171666666666667
ASB2	0.468
HBG1	-5.32
RPRML	-1.47
JOSD2	0.6765
PLSCR3	0.5935
SPOCD1	0.32
RAB39	0.3145
GHRH	1.74283333333333
ITIH5L	0.671
C17orf37	0.99425
SMCR8	0.58425
DPY19L2P3	-0.942166666666667
IL11RA	0.828833333333333
GDF3	-3.3345
RPS6KB1	-1.09791666666667
DNAJC19	0.2179
TOP1	-0.639
CRCT1	-0.355
MPST	0.417125
DPM2	-0.03975
FAM38B	-2.44066666666667
SLC18A1	-2.62116666666667
FARP1	1.67016666666667
PAX7	-0.065
TUBD1	-0.89025
GNL3	-0.7375
BTG2	1.70373333333333
NDUFS6	-0.45175
C1orf79	-1.747
ERAL1	-0.136
ECHS1	0.23625
VPS4A	-0.340333333333333
CYP11A1	0.246875
ABCC6	-0.644571428571428
PBX4	-0.9375
MOSC1	-0.741125
NCF4	0.805
HYMAI	0.5905
NAGPA	0.2965
OTOP2	0.22325
ACOT12	-0.5845
MTHFD2L	-0.7515
LOC441376	4.06775
C19orf34	-0.323
RAB1B	-0.0505
ALDOAP2	0.003
NTRK1	-1.76633333333333
ARTS-1	0.5497
SLC6A11	-0.096
NAP1L2	-1.1105
CNGB1	-0.056
EPB41L4B	-0.915083333333333
FAM134B	0.34725
HS3ST3A1	2.36216666666667
CPXM2	5.815
SIRPB2	0.0875
CHORDC1	-1.26816666666667
TRIB3	-0.7995
SLC2A5	1.1285
C2orf49	-0.890833333333333
DDX5	-0.15075
OR5L1	1.2965
ANAPC4	-0.491333333333333
ZSWIM1	0.30025
LOC93622	-0.027
KCNK3	-0.0409
RP11-35N6.1	-2.00775
ZFP161	0.239666666666667
AQP9	3.746
SLC15A2	-0.937333333333333
MREG	1.2655
OR9I1	-0.0455
PDLIM2	0.186
ADAM7	0.236
GSTCD	0.313333333333333
WDR21A	0.946875
SLC12A8	1.2495
TMEM174	0.02775
IGSF3	1.02466666666667
LRRN1	0.002
LOC402117	0.02725
SRPK1	-1.26966666666667
LY6K	1.166875
NFIA	2.4245
PTCD3	-0.3075
LEP	3.39683333333333
PCDH21	-0.480166666666667
MAPKAPK2	0.530285714285714
NMNAT1	-0.1875
LHFPL2	0.621875
C9orf43	0.647
DIP2A	-1.04633333333333
ACTR8	0.097375
CCDC34	-1.06775
PTPN22	-0.636875
ITGA3	-0.726875
FAM129C	1.1775
RABGGTA	0.291833333333333
UNC45B	0.59425
KIAA1033	-0.182875
ZNF510	-0.0785
CYP2D6	-0.888166666666667
SLC26A10	-1.4775
STX8	0.981
LUZP1	0.062375
WDR89	-0.093
EIF4G3	-0.2445
C5AR1	1.239
ZNF623	0.5845
A2M	1.40475
TGM7	0.458
GRPEL1	-0.470666666666667
LMNB2	-1.8679
ROCK2	0.187166666666667
SNX16	0.308875
CCDC66	0.55875
ANXA3	-1.33025
KIAA1609	-0.592125
EED	-1.2325
RNF32	-0.1685
HES1	-0.6875
CLC	0.325833333333333
ISL1	-0.576
KIAA0528	-0.18225
MANEA	0.13825
C1orf61	-2.4615
hCG_2001000	0.22825
RAPGEF6	0.1259
KIAA0020	-0.889166666666667
NEIL1	0.75075
C16orf45	2.231125
RBM10	0.0426666666666667
C10orf125	-0.8915
MRS2L	-0.681
DNAH17	-1.33825
C19orf10	-0.3935
C1orf160	0.77
SLFN12	2.049
EXOC3	-0.139666666666667
HIST3H3	0.59025
NCOR2	0.400333333333333
TNFRSF9	0.438
MFSD8	-0.01625
ALX1	-3.04833333333333
NOL1	-1.5125
PODN	3.09075
TIAL1	-1.22425
HIST1H1E	-0.643
NPY6R	0.29725
TM4SF4	-0.45025
CORO2A	0.20625
ETNK2	0.550833333333333
APOE	1.348
ANGPT4	0.162
HDGF2	-0.4215
G30	0.2265
ST8SIA4	0.137
F2RL1	-0.898875
FAM19A4	-2.42675
CCAR1	-0.75
B3GNT7	0.298
OPHN1	0.1148
DSCR6	1.0255
C21orf13	1.20833333333333
GAS2L1	0.498416666666667
RFX3	-0.0365
COPS4	-0.2705
BCHE	-4.31983333333333
BCL2	3.763875
HBZ	-2.995
ARL13B	0.190625
MAPBPIP	0.328
MYO15B	0.8075
SPZ1	0.118
KIAA1324	3.156
PLCL2	-0.165875
C4orf29	-1.61775
WDFY2	-0.396
ZNF284	-0.1655
NAALADL1	0.518
DUSP5	1.25833333333333
PXDN	0.784625
SLMO1	-0.823
TNXB	0.9293
BIRC7	-0.821
A4GALT	2.46733333333333
TIMM22	0.4795
FAM110C	1.5835
TOMM34	-1.193375
ABHD9	0.287
ADAM32	0.1205
CRHBP	0.7415
AQP2	0.427125
LOC130355	0.8185
ZNF187	0.544666666666667
ZNF816A	0.4895
F7	-0.437875
CNOT1	-0.8194
SLC13A4	-1.06575
ZBTB11	0.117
B3GALT5	0.865
EXOC2	0.954333333333333
IRS1	-0.4786
TMEM1	0.00199999999999999
MRPL34	-0.0105
SAMM50	-0.26225
CDC42EP3	0.11975
HSF2	-1.0844
MFN2	-0.22925
TSPAN7	-1.4335
NUCB1	0.723333333333333
RHOH	-0.8665
ARL16	-0.438
TACR1	0.406
SFRS5	-0.031
SNX25	-0.2415
RHBDF1	1.18733333333333
PCDH18	1.67533333333333
HMG1L1	-0.457
MYO5C	1.558125
MAPK10	0.678
LDHAL6A	0.3025
NUDT12	0.7915
NCAM1	-0.43325
GLIS2	0.645
GGTL4	0.3315
DAPP1	-0.83675
ATF7	0.4815
KIAA0748	-0.0915
NFIL3	0.04425
TM6SF1	0.3027
SEZ6	-0.072125
NANOS3	0.680833333333333
DNAJA3	0.244666666666667
CLDN6	-3.093
CIITA	3.0833
EPHA4	-0.934166666666667
FANCC	0.11275
CMTM3	0.888875
PSG3	-0.01475
MRPL15	-0.10025
C21orf59	-0.245
PLCXD2	0.17925
C2orf34	-0.10025
UBE2L6	1.3515
MED14	0.157
HP1BP3	1.0528
C6orf208	-0.513
TPBG	1.185
OSR2	2.396
XPC	-0.0786666666666667
KLHL7	-0.82325
CCR3	-0.595166666666667
AGTPBP1	-0.7055
PCSK6	-1.04526666666667
STAT5A	-1.358
FAM18B	0.52875
LONRF2	1.8695
PTPN2	-0.449
SF3A3	-0.8535
EFCBP2	-0.241
HCFC1	-1.037
AHNAK	0.62005
ACTR5	0.08225
KIF14	-3.29757142857143
TENC1	1.25375
HEATR5B	0.8155
YIPF2	0.456333333333333
MYEOV2	1.58933333333333
DUSP18	1.41
KIAA1012	0.364
AHR	-0.758833333333333
C17orf53	-1.74266666666667
PTPRH	-4.1815
ATP6V1C1	1.0578
TAS2R3	0.4535
LOC440356	-0.6035
COQ10B	0.2675
PSMF1	0.293833333333333
SORBS2	1.30258333333333
NFE2L2	0.24475
TMCO7	-0.58725
SH3PXD2A	0.4826
SH2D2A	-0.33425
SPINK5	-2.07
MRPS24	-0.804
OPA3	0.963
TRAF7	0.351166666666667
C4orf35	0.5595
MT1G	0.297125
MGC39545	0.5365
HS1BP3	0.5998
OR2B2	-0.2155
CHRM4	0.377
SFRP2	4.29566666666667
RIC3	-0.63825
ART1	0.1585
C6orf1	0.7445
DUS4L	-1.6585
C10orf104	0.2825
TNFAIP6	2.6395
RTEL1	-0.766
CCT4	-0.6268
ZNF709	-0.095
CHMP6	0.913666666666667
UPP2	0.306
CYP19A1	-1.87075
CD151	-0.773666666666667
NDUFA13	0.252
ARFRP1	-0.919
FAM26B	1.83275
CRYBA1	-0.812
MRPL41	-0.117333333333333
NPFFR2	-1.4655
HRH2	0.267
SCAMP3	-0.446166666666667
MTMR6	-0.000200000000000045
MTG1	-1.17616666666667
UBTD1	1.35525
CRABP1	-2.8045
FLJ33790	0.266
KIAA1908	-0.276833333333333
GPR158	-2.52425
PACSIN3	-0.4215
OMD	4.371
CATSPER1	0.0648333333333333
HOXB8	-0.459375
FBXO46	1.3665
OAS1	1.29166666666667
SVIL	-0.4525
PHB2	-0.572
ADCY3	-1.042
NDRG2	1.06383333333333
ERMAP	0.1589
APBA2	-1.42333333333333
IGSF9	1.43075
WNT6	0.118857142857143
MYCBPAP	-0.2855
ATP2B2	-0.0638
CPVL	-0.1975
TRAM2	-0.40325
NOP5/NOP58	-0.774
ZNRF4	0.10225
TLK1	-0.133125
MTMR12	-0.0629285714285714
ZNF384	-0.128833333333333
FAM9B	-2.828
RPN1	0.0301
PMVK	0.6915
EIF3D	0.2058
SIX2	1.1215
HPS1	0.423357142857143
RNF7	0.18325
PSKH2	0.576
KCTD13	0.228
CSMD3	-0.8574
FBF1	-0.1565
IL8	-5.295
SERPINB13	0.511416666666667
FBXL20	-0.178
BLR1	0.40825
SH2B1	0.552166666666667
RFNG	-0.233875
RAB20	1.3275
RBM7	-1.05925
POLR1A	-0.7295
TMPRSS4	-3.26775
TAF9	-0.881
TERF2	-0.503833333333333
TNFRSF1A	0.688416666666667
ACADVL	0.672166666666667
GTF2H5	0.58775
EDG8	-0.502666666666667
C9orf140	-1.419
UST6	0.0705
ZBTB8OS	-0.5215
ZNF710	0.35
GPR174	-0.589
ATP6V0A2	-0.29475
KIAA0319L	0.139583333333333
XKRX	0.1615
DOPEY2	1.3688
SDHD	-0.527333333333333
SUMF1	2.389
OSM	2.768
OPN3	-1.41975
DAGLB	-0.108666666666667
PPFIBP1	-0.0296
TRIM63	-2.703
C10orf53	0.8575
LYPD3	0.655833333333333
BCL7A	0.1825
AGER	-1.29166666666667
TCF19	-1.650625
SAT2	0.2955
PFTK1	1.075
GABRE	-2.43525
C15orf38	1.3285
FIS1	0.292
KCNV2	-0.0675
CLPS	0.30425
PPCDC	-0.656625
FOXN2	0.231333333333333
NT5E	-2.137
CD83	0.81675
IL18	0.447125
VPS16	0.977
IGFBP2	-0.886
NOTCH2	1.39675
SIGLEC1	2.812875
CD93	5.4315
SULF2	2.253
CEP164	-0.276
P53AIP1	0.140166666666667
TOR2A	-0.0623333333333333
ZNF136	0.4355
MGP	3.4895
CCDC144A	0.052
TRPC1	-0.277833333333333
SMS	-0.631333333333333
MAPK7	0.0841666666666667
RRAGC	0.4255
PARD6A	0.3405
NUB1	0.675833333333333
SYNGR4	1.01325
OR11H12	0.441
WIF1	0.64625
GCH1	-0.1025
OR11H4	0.127
SLC44A5	-0.553
GPRIN2	-0.423833333333333
LOC401431	-0.14075
CPA4	-2.8494
MELK	-3.342
IL15RA	1.11275
CUL3	1.276625
HMBOX1	0.14975
PODXL	-1.78125
CCT6B	-0.1265
COMTD1	-0.49375
MUC20	0.107333333333333
GPX2	-3.771375
ITK	-0.0665
FBXL5	1.32775
C13orf27	-1.03975
DEFA5	0.158
TRHDE	1.091
MTP18	0.218166666666667
UQCRQ	0.3379
ITGB2	1.91191666666667
CSRP2BP	0.24525
TAS2R44	0.8215
PHPT1	0.24225
FAM44C	0.01825
ERH	1.29775
MPHOSPH1	-1.83516666666667
MORC1	-0.43
PARVB	-1.39475
LAMA1	-1.99883333333333
PGBD3	0.21225
GIMAP6	4.32625
AREG	3.059
LIPT1	-0.21225
MGC99813	-0.90825
C1orf201	0.130333333333333
GRIN2A	-0.9666
MAN2C1	-0.769875
NSUN5	-0.75825
SF3B5	0.8085
MYC	-3.1146875
NRXN1	-0.737083333333333
ZNF18	1.068
SPDYA	-0.7715
SLC37A1	0.719
DECR2	1.2175
ANKRD38	0.958625
SPTLC3	-0.856333333333333
SUPT16H	-0.85475
DTWD2	0.463
ULBP1	-1.812
ZADH1	0.427333333333333
OIP5	-2.974
IL10RB	-0.0496666666666667
OTUB2	0.07475
VWA3A	0.179333333333333
SPIC	0.288833333333333
OR6C4	0.0755
PSCD4	1.756
DPY19L2P2	-0.3235
TRAPPC6A	0.836
C21orf2	0.0958333333333333
CEMP1	0.5215
LIN7B	0.58
E2F7	-3.00533333333333
VCP	-0.089375
LAMA3	0.4195
BGN	2.672
GPR160	1.22683333333333
COCH	-3.5045
GPR81	2.7585
APOBEC3F	-1.376
tcag7.1017	-0.552
C1orf32	0.8525
SCGB1D2	6.69975
FLJ43987	0.2875
C6orf170	0.52575
KLK9	0.603
GPD1L	0.509875
VPS37B	0.39625
ATG3	-0.418
ADAMTS17	-0.486
KLHDC2	0.752833333333333
NDUFV2	0.27575
BLK	-0.4145
MATN4	-1.6595
GPM6A	0.190625
GBP4	3.785
TMEM162	0.475833333333333
PKP2	-2.134
HRASLS	-3.03522222222222
MMP1	1.9665
SFXN3	-0.2853
FSD1	-1.96983333333333
ST6GALNAC3	-1.96783333333333
CA12	2.3373
NCOA6	0.42525
C19orf58	-0.0248
PPP4R1	0.144
MAN1A2	0.431166666666667
IKBKAP	-1.4245
UPF1	0.115
KIAA1219	0.59525
WNT16	0.6485
SNW1	-0.16275
IL18RAP	3.07975
RPP30	-0.2385
CDC40	0.325
SETD3	-0.00533333333333333
SLAMF6	1.1985
ELK4	-1.1145
TRIM47	0.150666666666667
ACOX3	1.089625
TRIM6	0.7405
KIAA0372	-0.650666666666667
TP53AP1	1.905875
SMURF2	-0.226
ADAD1	0.22625
EBP	-1.4876
KRTAP13-2	0.1725
FLJ36874	-0.905
TOR1A	-0.359166666666667
P2RY4	1.352
GPBP1	0.40425
TRPV1	0.564875
ADAMTS12	1.068
PES1	-0.616
ATG4A	0.852833333333333
MAGEA10	-4.785
WFS1	1.46075
CC2D1B	-0.553833333333333
PABPN1	0.113125
SLC25A30	0.35
SLCO1C1	0.582
SLC22A5	0.85425
KIF23	-3.15733333333333
SYN2	-0.226
ASPN	8.69366666666667
CENTG2	0.41475
QSOX2	-2.4022
FLJ10815	-0.0298333333333333
STK24	-0.033375
SPEG	-0.1584
STK10	0.279666666666667
DACT2	-1.8045
AAAS	-0.381
SSX3	-1.68925
ABCD3	-0.0838
C4orf12	0.136625
PARVG	1.43316666666667
FIG4	1.851
C9orf46	1.40425
TMCO6	-0.5385
IGHMBP2	-1.1425
DUS2L	-0.754
FAM3C	-0.754375
TMEM16D	-2.67575
DCTN4	0.90725
KCNH3	-0.4035
EIF2AK2	0.01725
AP1S3	0.301625
CST4	2.0005
PAM	0.1314375
NUTF2	-1.03475
CITED2	0.0191
SLC39A4	0.9505
C2orf52	-1.0755
GRM3	-0.0175
C12orf49	0.764
CCDC49	-0.2714
GRAMD1B	-1.316125
FNDC4	1.06325
SIAH2	0.41325
GDPD4	-0.10925
C21orf87	0.481125
ATP5A1	0.0971666666666667
C16orf63	0.317875
LOC388135	-0.344
ATP5J2	-0.739125
MMP3	0.95125
EMID2	-0.3815
CRHR1	0.482
WDR70	-0.13975
C13orf31	1.7315
ZFAND1	-0.17925
CCL18	4.23216666666667
C3orf49	0.249
RINT1	-0.862
KIAA0408	-1.50816666666667
F13A1	5.7036
SLC10A1	-0.298666666666667
OGN	2.37775
GIPC2	-1.47366666666667
XPO6	0.00516666666666667
LCE1A	0.9315
FMR1	0.2405
LOC374920	0.25125
DUSP3	0.3035
ANKMY1	-0.24575
C7orf50	-0.42125
BBS9	-0.1157
UNC119B	-0.10275
C9orf72	-0.930125
MGC35440	-0.5955
ENTPD6	-0.20875
PPP1R2P9	0.494
ERCC4	0.71975
FAHD2B	0.436
HMHA1	0.5165
HACL1	-0.14525
RAD23A	-0.459
FAM83B	-2.191
PPP5C	-0.620166666666667
RNASEH2C	-0.142375
C9orf153	-0.56275
SCAMP4	0.86725
GHITM	0.1787
NDUFB7	0.50525
ADCYAP1	-0.278666666666667
SP110	2.49416666666667
MAP3K7IP2	1.2775
DHH	0.1635
AGRN	0.0475
WDR33	0.0855
CEP290	0.0015
PRPS1L1	-2.14866666666667
KLRA1	-0.61
GPR97	-0.5455
CHD7	-0.842
TLR10	1.6165
SLC30A8	-1.101
HIC1	1.71866666666667
IAPP	0.2715
RXFP4	0.3525
GP1BB	2.228
SHQ1	0.129
NKX2-3	0.356166666666667
API5	-0.72275
FTHP1	0.0475
MOV10L1	0.418666666666667
TRIM6-TRIM34	2.28733333333333
ADHFE1	2.40775
FAM117A	-0.098
DDI1	0.174333333333333
