Hybridization REF	TCGA-A2-A04Y-01A-21R-A034-07
FAM26B	1.4835
CRYBA1	-1.0815
MRPL41	1.6935
NPFFR2	-1.3085
HRH2	0.2185
SCAMP3	-0.552166666666667
MTMR6	0.0181
MTG1	-0.534
UBTD1	1.40425
CRABP1	-2.594
FLJ33790	0.6711
KIAA1908	-0.6065
GPR158	0.247
PACSIN3	-0.0116666666666667
OMD	1.971
CATSPER1	0.0651666666666667
HOXB8	-0.379875
FBXO46	1.4335
OAS1	2.67666666666667
SVIL	0.191
PHB2	-0.916
ADCY3	0.1575
NDRG2	0.456666666666667
ERMAP	0.2114
APBA2	-0.863666666666667
IGSF9	1.312
WNT6	0.202928571428571
MYCBPAP	0.552
ATP2B2	-0.137
CPVL	-0.5032
TRAM2	-0.65325
NOP5/NOP58	0.36975
ZNRF4	0.33775
TLK1	0.04925
MTMR12	-0.146357142857143
ZNF384	-0.453166666666667
FAM9B	-2.831
RPN1	1.1226
PMVK	0.31725
EIF3D	-0.6171
SIX2	0.96975
HPS1	1.20585714285714
RNF7	0.306
PSKH2	0.478
KCTD13	0.0363333333333333
CSMD3	-0.6131
FBF1	-0.071
IL8	-5.423125
SERPINB13	-0.205
FBXL20	-0.27675
BLR1	0.368
SH2B1	0.0665
RFNG	0.3965
RAB20	0.342333333333333
RBM7	-2.5505
POLR1A	-0.564166666666667
TMPRSS4	0.538
TAF9	-1.271875
TERF2	-0.550166666666667
TNFRSF1A	0.572333333333333
ACADVL	-0.8755
GTF2H5	0.78625
EDG8	0.268666666666667
C9orf140	-0.4375
UST6	0.46275
ZBTB8OS	0.0515
ZNF710	2.4465
GPR174	-0.904
ATP6V0A2	-0.6855
KIAA0319L	0.634583333333333
XKRX	-0.544
DOPEY2	1.491
SDHD	-1.29375
SUMF1	1.807
OSM	4.71775
OPN3	-1.194
DAGLB	-0.3185
PPFIBP1	-0.2472
TRIM63	-0.32425
C10orf53	0.608
LYPD3	1.88816666666667
BCL7A	0.68025
AGER	-0.893666666666666
TCF19	-1.3485
SAT2	0.06175
PFTK1	0.4205
GABRE	-2.430125
C15orf38	0.9271
FIS1	-0.809
KCNV2	0.3085
CLPS	0.34875
PPCDC	-0.366
FOXN2	0.783
NT5E	-3.1826
CD83	1.70825
IL18	0.086375
VPS16	0.19275
IGFBP2	0.322333333333333
NOTCH2	0.02575
SIGLEC1	3.0955
CD93	4.943
SULF2	-0.94675
CEP164	0.295375
P53AIP1	0.317666666666667
TOR2A	0.307666666666667
ZNF136	0.84475
MGP	2.3864
CCDC144A	0.512333333333333
TRPC1	-1.26883333333333
SMS	0.0643333333333333
MAPK7	-0.819166666666667
RRAGC	0.44575
PARD6A	0.0718333333333333
NUB1	0.333333333333333
SYNGR4	1.00125
OR11H12	0.4375
WIF1	0.362
GCH1	0.49175
OR11H4	0.47
SLC44A5	0.559
GPRIN2	0.821833333333333
LOC401431	0.6835
CPA4	-1.7318
MELK	-1.37344444444444
IL15RA	0.65125
CUL3	-0.888
HMBOX1	-0.20325
PODXL	-1.7175
CCT6B	0.4295
COMTD1	1.21225
MUC20	0.442333333333333
GPX2	-3.26
ITK	-0.349625
FBXL5	1.32875
C13orf27	-1.0705
DEFA5	0.6555
TRHDE	-0.151
MTP18	-1.415
UQCRQ	0.6328
ITGB2	1.675
CSRP2BP	0.33975
TAS2R44	0.694
PHPT1	-0.341625
FAM44C	-0.7915
ERH	0.6745
MPHOSPH1	-1.82333333333333
MORC1	0.192
PARVB	-0.987
LAMA1	-2.36233333333333
PGBD3	0.01275
GIMAP6	4.232
AREG	-3.23766666666667
LIPT1	-0.5415
MGC99813	-0.11325
C1orf201	0.281833333333333
GRIN2A	-0.6086
MAN2C1	-0.80625
NSUN5	-0.8105
SF3B5	0.027
MYC	-1.4043125
NRXN1	-0.309333333333333
ZNF18	-0.2195
SPDYA	-0.236714285714286
SLC37A1	1.2555
DECR2	0.11575
ANKRD38	0.60425
SPTLC3	-1.45016666666667
SUPT16H	-0.08925
DTWD2	1.4595
ULBP1	-0.2535
ZADH1	-0.523333333333333
OIP5	-2.6695
IL10RB	-0.660666666666667
OTUB2	0.349625
VWA3A	-0.3768
SPIC	0.828166666666667
OR6C4	0.144
PSCD4	1.57066666666667
DPY19L2P2	-1.252
TRAPPC6A	0.471166666666667
C21orf2	-0.5025
CEMP1	1.47375
LIN7B	0.863
E2F7	-1.6775
VCP	0.36525
LAMA3	1.32191666666667
BGN	1.18775
GPR160	0.719666666666667
COCH	-4.9915
GPR81	1.8195
APOBEC3F	-1.46125
tcag7.1017	-0.41625
C1orf32	0.421
SCGB1D2	1.9405
FLJ43987	0.0405
C6orf170	-0.0995
KLK9	0.745
GPD1L	1.2575
VPS37B	0.61075
ATG3	-0.788166666666667
ADAMTS17	-0.0125
KLHDC2	0.0421666666666667
NDUFV2	0.25525
BLK	-2.3
MATN4	-0.5625
GPM6A	-0.43075
GBP4	4.46433333333333
TMEM162	0.555
PKP2	0.2225
HRASLS	-0.462111111111111
MMP1	-1.40475
SFXN3	-0.4387
FSD1	-1.45183333333333
ST6GALNAC3	-1.55116666666667
CA12	3.6557
NCOA6	0.5935
C19orf58	0.2153
PPP4R1	-0.741333333333333
MAN1A2	2.2565
IKBKAP	-1.763
UPF1	0.429833333333333
KIAA1219	-0.11725
WNT16	-0.159166666666667
SNW1	-0.225625
IL18RAP	2.83925
RPP30	-0.574
CDC40	0.0222142857142857
SETD3	0.521333333333333
SLAMF6	0.37075
ELK4	-0.5995
TRIM47	0.779
ACOX3	2.065
TRIM6	-0.7155
KIAA0372	-0.679333333333333
TP53AP1	1.322375
SMURF2	-0.593
ADAD1	0.469
EBP	-0.5959
KRTAP13-2	-0.553
FLJ36874	-1.275
TOR1A	-0.0535
P2RY4	1.086
GPBP1	0.2825
TRPV1	0.541625
ADAMTS12	0.164666666666667
PES1	-1.05
ATG4A	0.214333333333333
MAGEA10	-4.15575
WFS1	1.6385
CC2D1B	0.1445
PABPN1	0.2195
SLC25A30	-0.1385
SLCO1C1	0.147333333333333
SLC22A5	1.47275
KIF23	-1.58983333333333
SYN2	-0.376333333333333
ASPN	6.55316666666667
CENTG2	-0.37075
QSOX2	-1.8432
FLJ10815	0.333666666666667
STK24	-0.4471875
SPEG	-0.3262
STK10	0.637833333333333
DACT2	-1.1105
AAAS	-0.69975
SSX3	-1.39425
ABCD3	0.1044
C4orf12	-0.65075
PARVG	1.29266666666667
FIG4	2.271
C9orf46	1.025
TMCO6	-0.4835
IGHMBP2	-0.598
DUS2L	-0.7425
FAM3C	-1.1050625
TMEM16D	-2.1975
DCTN4	0.425
KCNH3	-0.1585
EIF2AK2	2.2115
AP1S3	0.11575
CST4	2.854
PAM	-0.0663125
NUTF2	0.01975
CITED2	-0.3457
SLC39A4	-0.3945
C2orf52	-0.886
GRM3	-0.118
C12orf49	-0.4615
CCDC49	-0.8057
GRAMD1B	-1.088
FNDC4	-0.4325
SIAH2	0.121375
GDPD4	0.1955
C21orf87	0.4575
ATP5A1	-0.521333333333333
C16orf63	-1.052375
LOC388135	2.21633333333333
ATP5J2	-0.28725
MMP3	-0.926
EMID2	-0.31175
CRHR1	0.24775
WDR70	-0.2235
C13orf31	2.2755
ZFAND1	-0.59075
CCL18	2.3255
C3orf49	0.501
RINT1	-0.0535
KIAA0408	-1.87566666666667
F13A1	3.9774
SLC10A1	-0.135333333333333
OGN	1.45575
GIPC2	-1.884
XPO6	-0.872333333333333
LCE1A	1.3065
FMR1	0.9205
LOC374920	0.05975
DUSP3	0.205125
ANKMY1	-0.384
C7orf50	-0.68475
BBS9	-0.8656
UNC119B	-1.186125
C9orf72	-0.59075
MGC35440	-0.08125
ENTPD6	0.032875
PPP1R2P9	0.57875
ERCC4	0.01225
FAHD2B	-1.719
HMHA1	1.222
HACL1	-1.14375
RAD23A	0.282333333333333
FAM83B	0.296
PPP5C	-1.38766666666667
RNASEH2C	-0.2985
C9orf153	-0.127
SCAMP4	0.96025
GHITM	0.2406
NDUFB7	0.341125
ADCYAP1	1.063
SP110	2.13716666666667
MAP3K7IP2	0.6245
DHH	-0.372
AGRN	0.870285714285714
WDR33	0.538166666666667
CEP290	1.15666666666667
PRPS1L1	-1.7845
KLRA1	0.3
GPR97	0.007
CHD7	0.226666666666667
TLR10	0.49375
SLC30A8	1.327
HIC1	0.901
IAPP	0.539
RXFP4	0.2545
GP1BB	1.6975
SHQ1	-0.307
NKX2-3	1.09766666666667
API5	-0.389
FTHP1	-0.461
MOV10L1	-0.0306666666666667
TRIM6-TRIM34	2.57716666666667
ADHFE1	2.2055
FAM117A	-0.5715
DDI1	0.312666666666667
CDON	-0.506166666666667
TRIM73	-0.498
IGKC	3.9425
MMP14	0.482416666666667
DYNC1LI1	-0.43475
C11orf66	-0.3365
TRBV3-1	-0.86
FASTKD5	-0.42525
BIVM	-0.73775
LHX4	0.25025
CXCL2	-0.00189999999999998
RAB2B	-0.489
IZUMO1	-0.31975
MAP3K15	-1.845
FAM19A2	-0.0633333333333333
ZC3H8	-0.717
ZMAT1	2.222625
SPINK5L3	-4.09133333333333
SLC10A6	1.189
APPL2	-0.184875
CARD10	-0.771
LOC402176	-1.744375
EEF1D	0.5907
RAB6A	0.7719
C12orf5	-0.673375
PAPOLG	0.04975
MSRB2	0.82875
BCR	-0.285611111111111
PUS3	-0.32325
TIAM2	-0.63025
ZNF317	0.256666666666667
CHD2	0.122571428571429
FZD5	-1.59159090909091
NUDT8	-0.968
ZNF763	0.1955
PRC1	-1.09566666666667
ABCB9	1.99566666666667
SPATA3	0.43075
TRAK2	0.56275
STAB1	3.385
LRRTM2	0.303
psiTPTE22	1.90375
DBI	0.4265
SERPINA11	-2.20625
NAT5	-0.299
C20orf58	-2.29125
RPS6KA4	0.627833333333333
FLJ90650	0.31925
TGFBRAP1	1.25025
CHRDL2	-0.709
FAHD2A	-1.84916666666667
CNTN1	-0.60975
BBS4	-0.3863
TMEM181	-0.094
MINPP1	-1.52825
MPHOSPH6	1.78958333333333
HOXC10	2.1407
ITPKB	-0.449125
CLPTM1L	-0.55025
MEOX2	-0.0168333333333333
ATP6V0C	1.217
PRPF8	-0.867166666666667
TMC5	1.88075
FKBP3	-0.34325
PLEKHB2	-0.2975
OR4D6	0.3655
ZNF544	-0.3073
D2HGDH	-0.0565
RPL18A	-0.7854
HEL308	-0.319125
MPP6	-3.4555
TCERG1	-1.18575
KRT16	-1.81633333333333
KLF17	-0.69275
KLF5	-1.435125
CDR1	2.256125
VCX3A	-3.9245
FBLN2	1.57175
C14orf104	0.071
HBE1	-4.682
OR4S2	-0.173
C1orf108	-1.12166666666667
ROBO4	3.67383333333333
CPEB4	1.08325
C11orf80	-0.1455
BCKDHA	0.0451666666666667
MYOC	0.4935
GIF	-0.3845
CKMT1A	2.159
RPL3	-0.2907
THBS1	1.73625
APOO	-1.0145
ARMCX1	1.453
HSZFP36	1.865
SNAPC5	-0.369
EIF4ENIF1	0.174
ZNF433	0.814
TNFRSF21	-1.32725
TMPRSS7	-0.083
SPATA18	2.2846
HPDL	-2.0295
MKL2	0.6957
TBX3	-0.209461538461538
C21orf93	0.9485
DAXX	0.22675
ELMO1	0.11025
RGS13	1.1325
TAF11	-1.802
UNC13A	-2.203125
LOC653314	-0.1304
ORC3L	-0.3585
IMAA	-1.1465
TARBP2	-0.41675
CABIN1	-0.0262
TRIOBP	0.158125
HIST1H2AC	-0.410125
RGS22	4.61733333333333
NCOA1	1.60916666666667
IL25	2.3065
SNCG	0.6505
GPR6	0.505
AMDHD1	-2.30966666666667
CHEK2	-1.661
C6orf142	-0.73425
DRD4	1.03075
C14orf68	-1.0245
GDF11	-2.404
SEMG2	-0.838
CD247	-0.36225
CDAN1	0.09975
RBMX2	-0.434833333333333
TGS1	-1.02475
OIT3	0.41125
SYF2	-0.60375
MCM4	-1.035375
PKHD1L1	-0.342625
CEP192	-0.4435
IFT88	0.5695
RPL9	0.0320714285714286
RAB32	-1.082125
DDX43	-0.6235
P2RX2	0.757333333333333
OR5D18	-0.477
UBE1	-0.28025
SLC24A1	0.2365
ARHGAP5	0.09575
CETP	-0.0415
KIAA1731	0.022
SLC9A4	0.3505
PTPN6	1.546
BAHD1	0.467
GRIK3	0.887
CACNB2	-0.3916
PDE10A	-0.963
DGCR14	-0.41325
PCDHB9	-0.75
RHOQ	-0.0661666666666666
MAP3K4	-0.311
KTI12	-0.523166666666667
RPL23AP13	-1.15275
GNG11	-0.64375
CLCN3	1.29883333333333
GPAM	-0.54
VSTM2A	-0.03
SLAMF7	2.901
INTS2	-0.8015
PPP2CA	-0.3469
LRP12	-0.461
SEC14L2	-0.390111111111111
DKFZP586H2123	1.984
MC3R	0.286
CIRH1A	-1.30066666666667
HIST1H2AB	1.21933333333333
POLH	-0.296875
MGC16703	-2.07266666666667
SNAPC2	0.6575
FILIP1L	0.7235
RASGRP4	0.848
LRRC1	1.19825
GAS1	-0.15375
PRAC	-0.452
DGKA	-1.05416666666667
NT5C3	-0.5615
PEG3	-3.05275
NADK	-0.3585
PRR17	1.9
LOC374569	-0.3795
SGSH	1.28166666666667
NLRP8	-0.089
GALT	0.5354
MCF2	-0.5805
ZNF263	-0.1435
TACSTD1	1.29883333333333
TYR	-6.1553
ATP6AP2	-0.2235
RNUXA	-0.27175
ABHD10	-0.4525
GDPD2	-0.7805
SLC35C1	0.845
UBE2A	0.1265
HERC5	0.544833333333333
FAM112B	-4.06483333333333
FBXL16	1.73475
DKFZP434A0131	0.18225
ELA3A	-2.288
RBM41	-1.05825
HAO2	-0.02525
RNH1	-0.14675
SHANK2	1.42533333333333
OSBP2	-1.276375
DAK	-0.589333333333333
C3orf58	-0.83075
TCL1B	0.68
KBTBD2	-0.690625
SUGT1L1	-0.2775
UBE2E2	0.038
MYL9	1.961375
CDC23	-1.27
PBXIP1	0.6951
CXorf40B	0.846
NBL1	-0.41775
RTBDN	0.7625
RAB11FIP5	0.515375
TTTY13	-0.143
SCOTIN	0.151
SOHLH1	1.32216666666667
CDKN1A	1.07407142857143
NCK1	-0.4355
ZNF550	-0.433
SAPS3	0.58675
SPIN3	1.71333333333333
MAGEE2	-0.00425
MIS12	-1.44466666666667
OR8H2	0.3385
KIAA0774	-1.3872
UNC5D	-1.4045
CUL7	-0.156833333333333
LIPC	-3.561
DIO1	1.05625
C20orf11	-0.2754
CTRL	-0.41625
HS3ST2	0.06375
PAK4	1.4515
CCRL1	2.63
RNF10	0.86275
ZNF567	0.35675
ZNF660	-0.714
TCEAL3	0.24975
MAGOH	-0.953833333333333
CENPB	0.579
C19orf7	0.937375
LOC388965	-0.51025
ZCCHC13	0.862
JMJD1A	-0.9601
HIST1H4H	0.226
TBRG1	-0.6044
GPC3	-4.092
TAF1C	0.1765
EBNA1BP2	-0.932166666666667
CIAPIN1	-0.4805
PDGFRA	-0.7235
CSTB	-0.001625
CENPI	-2.01616666666667
GTF2E2	-1.46566666666667
RPP21	0.26425
CCNF	-1.20466666666667
KCNQ3	0.942
FAM79A	1.232
SLC22A12	0.7465
NOVA1	-0.720333333333333
FZD3	0.7814
AKAP8	-0.06775
SOCS5	-0.552625
CFDP1	-1.132
DLG5	0.95475
PGM5	0.4575
C1orf144	0.225583333333333
HDAC10	-0.541
RND2	-1.25825
C20orf199	0.14
RNMT	-1.09225
SLURP1	1.1995
ASTN1	-0.643
SH3BGR	0.02125
MYCL1	-0.9765
ZHX1	1.4525
CENPK	-3.06125
FOSB	3.198
LOC643406	0.2705
C2orf59	-0.920625
TMEM135	0.35675
SLC27A2	-4.216
KRT33A	2.211
OVOL1	1.751875
PAMCI	-3.523
S100A7	0.0885
ZNF789	-0.985
HARS2	-0.22225
RPL23A	-0.392333333333333
TCF23	0.6625
UPF3B	-0.488
C17orf78	-0.577
HLA-DOB	0.257666666666667
C14orf142	-0.68
TEKT5	0.793666666666667
DMWD	0.479
POLD1	-1.43483333333333
GSCL	0.898
CALD1	-0.0181
SCRT1	0.666833333333333
AIG1	0.6935
UNC84B	-0.918
ZNF404	0.83025
TMED6	-3.07075
KIAA1462	-0.0765
LRRC27	1.15916666666667
PYGO1	-0.396
PIGU	-1.1665
ALAS2	-3.45833333333333
WRNIP1	0.462375
CNNM3	0.5045
ZNF2	-0.4165
ST3GAL5	-1.136
MRPL23	-0.45525
TSSK6	-0.346
PSMA6	-0.449
C16orf70	0.325
KIAA1602	0.404
ALMS1	0.733833333333333
DCN	0.988875
TMEM132D	-0.48675
SUCLG2	-0.0875
ABHD14A	0.293
DEXI	0.0588333333333333
AMPD2	-1.09766666666667
IFNAR2	0.112
CYB5A	1.5115
TLOC1	-0.4828
NXF5	-1.0245
NRBF2	-0.34625
KCTD3	1.93275
ITGAE	-2.091
SLC30A3	-2.00666666666667
ZRF1	-0.9205
IFRD2	-0.212625
XAB1	-0.8615
PYCR2	-1.16866666666667
SERPINB3	-4.9385
TMLHE	-1.1012
GEFT	-1.95375
ABCA5	0.803125
EMR4	0.165833333333333
TSFM	-0.11725
HIST3H2BB	-0.82375
ARHGEF19	-0.05175
TSPAN17	-0.278333333333333
ABCC8	2.34675
MAP1S	0.303833333333333
C22orf36	1.0625
BNC2	-0.612
HIST1H4A	-0.15675
NDUFS3	-0.303
WDR3	-0.3165
XKR4	-0.2
TTC33	-1.19864285714286
STMN2	3.26425
CPN2	-0.505
HSPC105	1.195875
PCOLCE2	-2.3865
C3orf55	0.178
KLHDC9	2.36933333333333
TBC1D23	0.10525
ATXN2L	-0.630416666666667
MAP2K3	-0.0140833333333333
SCAP	0.031
ZNF486	0.916666666666667
C20orf96	0.54925
NARS	0.35275
ADAMTSL1	-0.731285714285714
PRCC	0.752333333333333
CCDC126	1.04133333333333
ZNF675	0.168
CALCOCO1	-0.087
ANKRD43	5.0475
CWF19L2	-0.636166666666667
ZBTB32	1.804
BRAF	-0.513
ODF4	0.1985
MGC14376	0.3585
HORMAD1	-2.43583333333333
AAK1	0.165416666666667
PEBP1	1.39758333333333
TNFSF5IP1	-0.359166666666667
DKFZp564N2472	0.1155
RMND1	1.69425
IGKV1-5	5.3105
COL1A2	1.8515
SERPINA5	0.238375
AANAT	0.536
C19orf21	1.62516666666667
GEMIN5	-0.21275
UBR4	-0.489
LTBP3	1.13116666666667
AMHR2	-2.47666666666667
PROCR	-1.19
MYBBP1A	-0.808
C20orf39	-0.339166666666667
ZNF697	-0.747625
PASK	-0.6676
ZNF776	1.197
RFXDC2	0.142875
KIAA0467	0.263
C10orf96	-1.69225
ZNF503	-0.87025
GULP1	0.45725
KCNE4	4.01766666666667
DKFZp434K191	-0.08575
LOC196913	-0.908
BHLHB4	1.6725
CH25H	0.88325
LOC81691	-1.2915
ALPL	0.0725714285714286
COL12A1	2.483375
FOLR3	-2.30816666666667
GPR123	0.918875
TRIM62	0.507
ABLIM1	0.620166666666667
MAST3	-0.3325
RHBDD1	-0.253833333333333
LOC338809	0.0405
RYBP	0.67875
TTC26	-0.93825
ZNF22	0.384833333333333
ISCA2	-0.2915
RDM1	-1.67475
PIGM	-0.10475
GNB3	-0.9455
ACTR2	0.7059
HMGB1	0.32555
EDG1	2.789
SOAT2	-2.79175
OR10AD1	0.0865
RAP1GDS1	1.04608333333333
LCE1F	0.456
ESM1	-1.924375
RCN3	1.50775
CREBL1	-0.112
DBNL	-1.05133333333333
PTGER3	1.36075
USP30	0.1565
BCL2L12	-0.2945
KIF26B	1.6455
ZNF416	0.2735
ZNF225	-0.3095
C17orf70	0.15425
ZNF554	0.592
RAE1	1.27183333333333
TNIK	-0.928
ACTN3	-0.4395
MGC45922	1.625
CCNA1	-1.7545
RYK	0.255333333333333
IL26	0.2745
LRP3	1.537
QARS	-0.49075
SOX7	1.2585
BID	-1.055375
OR2S2	0.215
CXCL14	3.5215
C11orf47	-0.4965
MGC29891	1.37266666666667
HSPB8	3.1503
PRDM14	-0.59
NUFIP2	0.3825
MNAT1	-0.662375
ZDHHC2	-1.23458333333333
MBNL2	-0.31075
ADD3	-1.76875
CSNK2A1P	-0.895
KLK6	-2.3755
TMEM111	0.1522
KIAA1279	0.289
NUBP2	0.0425
RAB42	-1.02
ID3	-0.8166
TM9SF1	0.181
MDP-1	-0.2725
POU4F2	0.55975
IQCK	0.27375
C16orf14	0.316
CAPN3	-0.763375
FAM43B	0.179375
RECQL	-1.2715
AP1G1	0.002
CTNNBL1	-0.507833333333333
ECHDC1	-0.4795
SMARCC1	0.8139
FOXQ1	-1.30575
GNAI3	-0.410833333333333
POLG2	-1.31825
CD4	1.628
ITLN1	-0.279333333333333
EBI2	5.45525
IRF1	1.11025
PTPRE	2.2878
PTK2B	-0.6825
NXNL2	-0.913
SOX4	0.2405
TSPAN3	0.221
SH2D1A	-1.70716666666667
C8orf58	-0.726666666666667
USP20	-0.8805
DUSP22	-0.9775
CALB1	-2.5535
L3MBTL2	1.26925
MCRS1	-0.51
TMEM118	-1.0785
C18orf8	1.02233333333333
FLJ10241	-0.582375
GJA12	0.8325
PKD1	-0.0865
ZFP3	0.6165
JAM3	-1.7085
LAPTM4A	0.9076
DIRC2	0.62475
KIAA2022	0.955166666666667
MYOM1	0.683166666666667
TRPM8	-2.6375
MOP-1	2.205
PHKG2	-0.082125
ZNF650	0.394625
KIAA1522	0.72925
PSG8	-0.388
DDX19B	-0.53
MOBKL1B	-0.5615
DIAPH2	-0.715333333333333
PTPN12	-0.936
CLN8	-0.1581
CRYZL1	-0.944166666666667
CRY2	0.396416666666667
FCGR2B	3.786
PNPLA4	1.475875
ZNF454	0.434
DKFZp434B1231	0.1535
CLDN11	0.3045
RFWD2	0.994666666666667
CIB2	-0.947333333333333
MXRA8	4.73375
HRK	-0.000750000000000028
MAML2	-0.65175
C4orf31	-1.071
C6orf192	-1.68625
COG6	0.20025
FAM5B	-0.69175
NFATC1	0.4775
SEPT10	-0.65675
SCYL1	-0.1762
RPP40	-0.53375
SCOC	-0.673
KIAA1450	-0.23875
CTDSPL2	-0.64625
TBX5	1.22466666666667
NAPG	1.0985
RHD	-5.3515
C14orf45	0.815666666666667
ZBTB22	0.893
PLCG1	-1.044
ANKRD10	-0.269625
AQP7P2	1.3005
TAGLN2	-0.204666666666667
HTR2C	-1.5865
SLC16A7	-0.153333333333333
C17orf83	-0.474
TSGA14	-0.90375
MDH1	-0.69775
PPP3R2	0.239833333333333
DCBLD2	-2.33821428571429
RBM33	-0.267375
DPH3	-1.93725
SYT10	-1.01016666666667
FMO4	1.471875
THYN1	-1.04025
DRD5	-1.6695
OTOR	1.447375
PGRMC2	0.2125
KATNAL1	-0.712125
PAQR6	-0.85325
UBE2I	-0.5335
C14orf28	0.0025
C8orf70	1.08025
FLYWCH1	-0.5625
ANGPTL3	-2.22775
GLRX2	0.46
ATP11A	-0.0625714285714286
ARL5B	-0.026875
MUC16	0.66625
SLC25A5	-1.19885714285714
ACRC	-0.1415
MYO1C	-0.05875
FAM89B	0.851
FAS	0.236
KIFAP3	-0.0635
GLRA2	1.0215
BTN3A2	-0.0163
CNKSR3	-0.45075
CSTF3	-0.284166666666667
ARPM1	0.77875
KIAA1530	0.7405
C9orf150	2.59333333333333
PRKCI	0.273
tcag7.1015	-1.38975
SOD3	0.43225
ZNF574	0.71425
CYP21A2	0.19025
RPL12	0.20775
COMMD2	-1.61075
WIZ	0.5405
LOC344405	-1.208
ALDH4A1	-0.376294117647059
CRYAB	2.5175
COPA	0.3167
PCDHGA7	1.26483333333333
KIF11	-0.884166666666667
RASD2	-0.054625
SLC26A3	0.076
ZNF175	0.526
JAKMIP2	-2.575625
C8orf4	0.039
PTHLH	-0.384
SLC40A1	1.92925
OR7D4	0.326666666666667
PCDHB17	0.12
CD36	4.01514285714286
C6orf203	0.1429
PRKG2	1.226
LOC400566	-0.278
ANAPC13	-0.236
SLCO3A1	-1.1735
ZNF692	-0.3555
FANCL	-0.999
SH3GLB1	0.25025
C12orf61	-1.139
KBTBD6	0.31175
SUPT5H	0.498125
XRCC6	-0.8553
HUS1B	-0.6162
FAM133B	0.350428571428571
LOC728276	-0.466
KCTD18	0.6625
SOS2	0.678833333333333
CCDC99	-2.0465
C1QTNF5	2.262
NNAT	0.758833333333333
USP16	0.1375
LARS	-0.368375
ZBTB2	1.04775
ABO	-0.299833333333333
TRAF3	0.13125
GALNT5	-3.389
NAP5	0.945625
ALG14	-0.390333333333333
KIAA0515	-0.0583461538461538
WDR75	-0.724
TEX261	-0.68025
LY86	1.23675
LOC389072	-0.398
FLJ13611	-0.07625
MRGPRX2	-0.165
SNRPA	-0.876375
OR2G2	0.423
GPRASP2	0.116
C7orf42	0.3134
C9orf163	-0.198
CYP11B2	0.056
FCRL3	2.0105
PRDX1	0.2195
FGB	-6.04683333333333
COX17	0.2265
C16orf33	-0.5175
PIWIL1	-0.193833333333333
FOLR1	-1.42
KIAA0082	-0.043
FREQ	-0.7405
TMCC2	-1.35883333333333
TCF12	0.0151666666666666
ZNF721	0.82275
FAM130A2	0.32075
POU4F1	-2.13325
SNRPF	-0.536375
SGIP1	1.06083333333333
ZNF641	0.0188333333333333
EMG1	-0.49925
PRRG4	1.942
HIRA	-3.05425
MYNN	0.225333333333333
AEBP2	-0.303333333333333
TBXA2R	0.405333333333333
ISL2	-1.82866666666667
PCDHB11	-0.413
RNF144A	-1.806
MARCH5	0.37475
DULLARD	-1.20283333333333
DCLRE1B	-0.9015
ITGA8	0.557
TP73	0.242875
PRKCD	1.45075
NDUFB4	2.14025
ATP13A4	1.042
ANTXR2	-0.6055
COL4A3	-1.212
MYO10	-1.593
SLC6A18	0.84225
PEX1	-0.17275
TMEM74	-1.1205
RBM19	-0.23925
TAPBP	0.44915
RUNX1	1.745875
MID1	-2.485
GPR64	-1.71233333333333
RASEF	2.03025
GABRG1	0.0221428571428571
MYO16	-1.16475
DBF4	-1.87116666666667
TSHZ2	2.40725
RIPK2	0.91675
PPTC7	0.253333333333333
KIF4B	-1.1785
LRRC31	-0.174375
ZNF540	0.31025
EFNB3	-0.0705
LOH12CR1	0.951875
STON2	0.878333333333333
GLP1R	0.18175
CSTF2T	-0.048
IREB2	-0.772375
GRSF1	-0.36875
PDCD7	-0.2895
LRRC43	1.192
CNR1	-0.0366666666666667
IL1F7	-0.296
C12orf64	0.40675
FAM69B	-1.42725
NR2E1	-1.80933333333333
MS4A6A	2.9356
FTL	-0.4179
C7orf36	-0.132
PCLO	1.1415
DYRK2	0.407833333333333
ARIH2	0.322125
SAMD7	-0.1185
SCNN1D	0.2645
SLC32A1	-0.994857142857143
C22orf25	-0.839666666666667
MRPS18A	-0.6311
GPR112	-0.406
EARS2	-0.43175
ERN2	1.9735
ATPBD3	0.112
PRH2	0.603
CDKN2D	0.223333333333333
PGLYRP2	1.165
TRIM40	0.1345
SEC14L3	0.619
SLC22A1	0.24875
BTN2A3	0.22275
RASA4	0.64425
CCNL2	0.6405
MYBPC3	0.6175
GJA4	3.2915
CDC42SE1	1.346125
TRPV2	-0.683
MYPN	-2.0763
SIM1	0.423
CDADC1	-0.191416666666667
ZFHX4	0.937
NIBP	0.261833333333333
ADAMTS19	-0.0085
ABTB2	-0.159
TSPYL2	-0.28525
EIF2S3	-0.9177
SOX30	0.09225
AP2A1	-0.6525
DKFZP564O0523	-0.729833333333333
LOC285398	-0.3685
CDH18	1.57825
CHL1	1.0055
GATS	-0.2769
TBC1D2B	-0.329
OR1J1	-0.069
GSN	1.026
DPCR1	0.528125
GARNL4	-0.9915
SMARCA5	-0.4575
PLEKHG3	0.630833333333333
ZBTB45	0.796
FRMD6	-1.40383333333333
PLS1	0.1205
DGKZ	0.780666666666667
EFNA1	1.4421
WDR85	0.191
ANK2	-0.066
PAGE4	-0.885166666666667
SENP6	0.0823333333333334
AKR7A2	-0.2495
FKBP10	-2.14875
VEGFC	-1.562
LARP1	0.76325
SRBD1	0.50625
