Hybridization REF	TCGA-BH-A0HU-01A-11R-A034-07
UNC45A	-0.742166666666667
C6orf72	0.79
ZNF683	5.549
GIT2	-0.237375
CASK	0.211166666666667
C14orf161	1.70616666666667
LRRC44	0.8405
TIFA	-0.154625
UTP11L	0.246375
C6orf65	-2.21633333333333
FDPS	-0.03775
DUSP9	-1.7414
SLC17A8	0.225
OR51G1	0.952666666666667
NANS	-0.076
OLFML1	1.5365
ATP10B	-0.810285714285714
NPAS3	-1.3525
PRKCA	-2.6727
GGA2	0.00181250000000008
LCE4A	0.221
SPANXN3	0.63325
CCDC115	0.924
SDCCAG3	-0.448
GLIPR1L1	-3.208
TTC1	0.047
C17orf76	1.496
MAD2L2	-2.20525
HIPK1	-0.2427
LRRC3B	-0.0275
CLN3	-0.4555
C17orf47	-1.321
FMN2	-2.68814285714286
TUBB1	-1.2445
WAPAL	0.640666666666667
C3orf21	1.16725
SCN5A	-1.7873
SMYD1	-0.000333333333333315
BEX5	-0.18925
ZNF192	-1.653
SEC22A	0.695833333333333
GRIA2	5.407125
KIAA0825	-1.83525
NUSAP1	-1.53736363636364
LANCL1	-0.62175
C15orf40	-1.2335
ZNF645	0.344333333333333
GPR61	0.75325
NLRP14	-0.739
SNX21	-0.11
C1QTNF8	1.155
C17orf46	0.51175
IFNA8	0.669
SPRR1B	-1.60766666666667
FLRT1	0.1025
SNX17	-1.58466666666667
ASB2	-0.566
HBG1	-6.0575
RPRML	-2.0365
JOSD2	-0.4255
PLSCR3	0.2195
SPOCD1	0.496166666666667
RAB39	0.5595
GHRH	-0.138833333333333
ITIH5L	0.208
C17orf37	1.1405
SMCR8	1.3315
DPY19L2P3	0.611333333333333
IL11RA	1.14066666666667
GDF3	-3.74066666666667
RPS6KB1	-0.415166666666667
DNAJC19	0.7567
TOP1	-0.44375
CRCT1	-0.728
MPST	-0.00612500000000003
DPM2	0.75125
FAM38B	-2.33566666666667
SLC18A1	-2.523
FARP1	-0.0543333333333333
PAX7	-0.2385
TUBD1	-0.76475
GNL3	-0.107
BTG2	1.95013333333333
NDUFS6	-0.16625
C1orf79	-1.11725
ERAL1	0.00825
ECHS1	1.031
VPS4A	-0.444166666666667
CYP11A1	-1.1645
ABCC6	-1.79057142857143
PBX4	-0.6075
MOSC1	0.896875
NCF4	-0.67925
HYMAI	1.958
NAGPA	-0.0465
OTOP2	0.80575
ACOT12	-0.44025
MTHFD2L	-0.235625
LOC441376	4.75075
C19orf34	1.3115
RAB1B	-0.5525
ALDOAP2	-0.228
NTRK1	-3.34366666666667
ARTS-1	0.9737
SLC6A11	-1.4375
NAP1L2	0.538
CNGB1	0.237166666666667
EPB41L4B	-0.1404
FAM134B	2.496625
HS3ST3A1	-2.3905
CPXM2	5.256
SIRPB2	0.802
CHORDC1	-1.44033333333333
TRIB3	-1.29416666666667
SLC2A5	0.22525
C2orf49	-0.124
DDX5	-0.7845
OR5L1	1.6
ANAPC4	0.1165
ZSWIM1	1.057125
LOC93622	-0.638
KCNK3	-0.334777777777778
RP11-35N6.1	-2.61685714285714
ZFP161	0.517333333333333
AQP9	3.73925
SLC15A2	-0.111833333333333
MREG	0.853833333333333
OR9I1	1.075
PDLIM2	-0.639714285714286
ADAM7	0.638
GSTCD	-0.288333333333333
WDR21A	1.139875
SLC12A8	1.632
TMEM174	-0.36975
IGSF3	0.999333333333333
LRRN1	0.43575
LOC402117	-0.22075
SRPK1	-1.2115
LY6K	-1.8641875
NFIA	3.4985
PTCD3	-0.809625
LEP	2.922
PCDH21	-1.876
MAPKAPK2	0.539857142857143
NMNAT1	-2.1455
LHFPL2	-0.24575
C9orf43	0.33125
DIP2A	-2.4705
ACTR8	0.029875
CCDC34	-0.93125
PTPN22	-1.708
ITGA3	-1.342125
FAM129C	0.1605
RABGGTA	0.647833333333333
UNC45B	-0.12925
KIAA1033	-0.827
ZNF510	0.203333333333333
CYP2D6	-0.87
SLC26A10	-1.6245
STX8	-0.23
LUZP1	-0.717125
WDR89	0.1155
EIF4G3	-0.7149
C5AR1	0.794875
ZNF623	0.1875
A2M	-0.3605
TGM7	0.2605
GRPEL1	-1.15066666666667
LMNB2	-1.2672
ROCK2	-0.106333333333333
SNX16	0.819375
CCDC66	-0.579
ANXA3	-0.3665
KIAA1609	-0.27
EED	-1.3655
RNF32	0.1935
HES1	0.6253
CLC	0.8664
ISL1	-1.1422
KIAA0528	0.257875
MANEA	-0.02175
C1orf61	-2.8485
hCG_2001000	1.6615
RAPGEF6	0.2088
KIAA0020	-0.184333333333333
NEIL1	0.95425
C16orf45	-0.490875
RBM10	0.135666666666667
C10orf125	-0.996625
MRS2L	0.9175
DNAH17	-1.1335
C19orf10	-1.3075
C1orf160	0.7335
SLFN12	0.929
EXOC3	-0.427166666666667
HIST3H3	0.5955
NCOR2	-0.294
TNFRSF9	0.13
MFSD8	-0.674
ALX1	-3.4055
NOL1	-0.67425
PODN	3.0325
TIAL1	-0.4815
HIST1H1E	-1.50325
NPY6R	-0.5705
TM4SF4	-0.344
CORO2A	1.45375
ETNK2	-0.338666666666667
APOE	0.4284
ANGPT4	0.3395
HDGF2	-0.95275
G30	-0.17
ST8SIA4	-0.715375
F2RL1	-0.039625
FAM19A4	-5.225
CCAR1	-0.7125
B3GNT7	0.11275
OPHN1	-0.0396
DSCR6	2.4745
C21orf13	0.4215
GAS2L1	0.197333333333333
RFX3	-0.00683333333333334
COPS4	-0.473875
BCHE	-4.70716666666667
BCL2	0.93625
HBZ	-3.73066666666667
ARL13B	-0.150375
MAPBPIP	1.547875
MYO15B	0.121875
SPZ1	0.266333333333333
KIAA1324	3.07733333333333
PLCL2	-2.319125
C4orf29	-0.727
WDFY2	-1.28575
ZNF284	0.292
NAALADL1	-1.565
DUSP5	1.15016666666667
PXDN	-0.4135
SLMO1	1.81275
TNXB	0.648
BIRC7	-1.57675
A4GALT	0.646833333333333
TIMM22	0.3525
FAM110C	1.40225
TOMM34	-1.12125
ABHD9	0.637
ADAM32	0.705
CRHBP	-0.73075
AQP2	0.721125
LOC130355	0.741
ZNF187	0.464833333333333
ZNF816A	0.375
F7	0.036
CNOT1	-0.8931
SLC13A4	-0.576
ZBTB11	-0.638
B3GALT5	0.74325
EXOC2	1.15166666666667
IRS1	-0.6612
TMEM1	-0.3715
MRPL34	0.167333333333333
SAMM50	-0.83825
CDC42EP3	-0.539125
HSF2	-0.6177
MFN2	-0.59375
TSPAN7	-2.44666666666667
NUCB1	0.505666666666667
RHOH	1.562
ARL16	-0.058
TACR1	0.328666666666667
SFRS5	-0.908
SNX25	-0.16725
RHBDF1	0.681166666666667
PCDH18	0.885166666666667
HMG1L1	0.2645
MYO5C	1.0725
MAPK10	-0.2255
LDHAL6A	0.268
NUDT12	-0.449333333333333
NCAM1	-1.41457142857143
GLIS2	0.947
GGTL4	-0.78225
DAPP1	-0.49175
ATF7	2.154
KIAA0748	-1.24825
NFIL3	-0.921
TM6SF1	-0.3206
SEZ6	0.5845
NANOS3	-0.0795
DNAJA3	-0.252333333333333
CLDN6	-2.6915
CIITA	3.38566666666667
EPHA4	-1.8835
FANCC	1.1065
CMTM3	-0.637875
PSG3	-1.0618
MRPL15	1.07825
C21orf59	-0.065
PLCXD2	0.244666666666667
C2orf34	-0.26825
UBE2L6	1.817375
MED14	0.138
HP1BP3	-0.861
C6orf208	0.6405
TPBG	0.649
OSR2	-1.080875
XPC	-0.862666666666667
KLHL7	-0.644833333333333
CCR3	-0.4626
AGTPBP1	0.208666666666667
PCSK6	-0.476266666666667
STAT5A	-1.549
FAM18B	-1.19125
LONRF2	-0.587166666666667
PTPN2	-0.43425
SF3A3	-0.47
EFCBP2	-1.2365
HCFC1	-1.31533333333333
AHNAK	-0.409
ACTR5	0.32925
KIF14	-0.789
TENC1	0.34575
HEATR5B	1.0785
YIPF2	0.484833333333333
MYEOV2	0.2715
DUSP18	1.309
KIAA1012	-0.685
AHR	-0.8075
C17orf53	-0.707666666666667
PTPRH	-4.25525
ATP6V1C1	0.1953
TAS2R3	0.228
LOC440356	1.7015
COQ10B	0.2435
PSMF1	0.5265
SORBS2	3.32491666666667
NFE2L2	-1.1355
TMCO7	-0.704
SH3PXD2A	0.1696
SH2D2A	-1.10475
SPINK5	-2.4505
MRPS24	-0.6465
OPA3	0.6575
TRAF7	-0.356
C4orf35	1.073
MT1G	-1.024625
MGC39545	-0.409666666666667
HS1BP3	0.1141
OR2B2	1.1825
CHRM4	-0.039
SFRP2	2.56941666666667
RIC3	-0.8225
ART1	-0.857
C6orf1	0.4595
DUS4L	-0.547
C10orf104	-0.26325
TNFAIP6	2.6575
RTEL1	-0.31275
CCT4	-0.8631
ZNF709	0.27375
CHMP6	0.67
UPP2	0.447
CYP19A1	-2.29025
CD151	0.200166666666667
NDUFA13	-0.0681666666666667
ARFRP1	-1.3085
FAM26B	1.50025
CRYBA1	-2.0685
MRPL41	1.0045
NPFFR2	-0.03275
HRH2	0.3485
SCAMP3	-0.262333333333333
MTMR6	-0.2728
MTG1	-1.17383333333333
UBTD1	1.12475
CRABP1	-2.277
FLJ33790	-0.4444
KIAA1908	-2.2415
GPR158	-2.33875
PACSIN3	0.429666666666667
OMD	1.089
CATSPER1	-0.993333333333334
HOXB8	-1.143875
FBXO46	2.209
OAS1	0.794333333333333
SVIL	0.45425
PHB2	-1.04475
ADCY3	0.5685
NDRG2	1.47883333333333
ERMAP	1.7682
APBA2	-1.953
IGSF9	2.65175
WNT6	-0.632153846153846
MYCBPAP	0.07675
ATP2B2	-0.82
CPVL	-2.774
TRAM2	-0.63125
NOP5/NOP58	0.22975
ZNRF4	0.961
TLK1	0.21475
MTMR12	0.957642857142857
ZNF384	-0.3475
FAM9B	-3.01925
RPN1	1.1589
PMVK	1.2035
EIF3D	-0.5465
SIX2	0.6655
HPS1	1.05992857142857
RNF7	0.611
PSKH2	-0.0475
KCTD13	-0.545
CSMD3	-0.5889
FBF1	-0.6615
IL8	-4.795
SERPINB13	-0.386875
FBXL20	0.5335
BLR1	0.8385
SH2B1	-0.5465
RFNG	-0.646375
RAB20	0.488833333333333
RBM7	-2.092
POLR1A	-0.501666666666667
TMPRSS4	1.67625
TAF9	-0.11775
TERF2	-0.955333333333333
TNFRSF1A	0.680083333333333
ACADVL	-1.404
GTF2H5	0.89475
EDG8	-1.7005
C9orf140	-0.479125
UST6	-0.4755
ZBTB8OS	0.698
ZNF710	0.592
GPR174	-3.154
ATP6V0A2	0.21825
KIAA0319L	-0.683583333333333
XKRX	-1.5065
DOPEY2	0.9733
SDHD	-1.3815
SUMF1	2.2315
OSM	1.13925
OPN3	-0.279
DAGLB	-0.111
PPFIBP1	0.4823
TRIM63	-4.01325
C10orf53	null
LYPD3	0.174
BCL7A	-0.73775
AGER	-0.869166666666667
TCF19	-0.064625
SAT2	-1.094
PFTK1	-0.380166666666667
GABRE	-2.359875
C15orf38	1.2186
FIS1	0.2445
KCNV2	-0.349
CLPS	0.4585
PPCDC	-0.6495
FOXN2	0.255333333333333
NT5E	-4.0251
CD83	0.3705
IL18	0.07075
VPS16	0.64425
IGFBP2	-0.908666666666667
NOTCH2	-0.646
SIGLEC1	2.445875
CD93	4.4855
SULF2	-0.3215
CEP164	-0.032875
P53AIP1	-0.16575
TOR2A	0.660833333333333
ZNF136	0.9555
MGP	4.0505
CCDC144A	-0.59225
TRPC1	-1.614
SMS	0.43
MAPK7	-0.0818333333333333
RRAGC	1.857
PARD6A	0.123666666666667
NUB1	0.2875
SYNGR4	1.19825
OR11H12	0.4705
WIF1	-0.0532857142857143
GCH1	0.28125
OR11H4	-1.4545
SLC44A5	0.794
GPRIN2	1.877
LOC401431	0.92375
CPA4	-2.3782
MELK	-0.356555555555556
IL15RA	-0.21625
CUL3	-0.48975
HMBOX1	-0.38275
PODXL	-2.0775
CCT6B	0.706666666666667
COMTD1	0.63825
MUC20	0.316
GPX2	-3.159
ITK	-1.418375
FBXL5	1.45225
C13orf27	-1.119
DEFA5	1.0265
TRHDE	-0.222
MTP18	-0.586833333333333
UQCRQ	1.0334
ITGB2	0.4615
CSRP2BP	0.5395
TAS2R44	0.74
PHPT1	0.58625
FAM44C	-0.322
ERH	0.95625
MPHOSPH1	-1.54616666666667
MORC1	-2.0735
PARVB	-1.393
LAMA1	-2.65891666666667
PGBD3	-1.1125
GIMAP6	3.3925
AREG	0.1195
LIPT1	-0.17675
MGC99813	-1.365
C1orf201	-0.316
GRIN2A	-0.709666666666667
MAN2C1	-1.84025
NSUN5	-0.36075
SF3B5	0.73525
MYC	-1.5581875
NRXN1	-0.8793
ZNF18	0.297
SPDYA	-0.0311428571428572
SLC37A1	1.167
DECR2	0.25075
ANKRD38	-1.40833333333333
SPTLC3	-0.860833333333333
SUPT16H	-0.0895
DTWD2	0.439
ULBP1	-2.177
ZADH1	0.0771666666666667
OIP5	-2.30325
IL10RB	-0.964333333333333
OTUB2	0.876125
VWA3A	0.2204
SPIC	-0.85025
OR6C4	-0.561
PSCD4	-0.623666666666667
DPY19L2P2	-0.707
TRAPPC6A	0.2225
C21orf2	-0.729166666666667
CEMP1	0.56725
LIN7B	-0.0125
E2F7	-0.689166666666667
VCP	-0.1198125
LAMA3	1.76958333333333
BGN	1.41825
GPR160	1.71883333333333
COCH	-2.28216666666667
GPR81	1.81983333333333
APOBEC3F	-2.57075
tcag7.1017	0.276
C1orf32	-0.267
SCGB1D2	6.60125
FLJ43987	-0.033
C6orf170	0.35025
KLK9	0.444
GPD1L	0.358875
VPS37B	1.26425
ATG3	-0.1595
ADAMTS17	1.173
KLHDC2	-0.8835
NDUFV2	0.2515
BLK	-2.95525
MATN4	-1.33
GPM6A	1.43871428571429
GBP4	3.40983333333333
TMEM162	0.3558
PKP2	-0.244
HRASLS	1.93677777777778
MMP1	-4.7505
SFXN3	-0.5823
FSD1	-1.59533333333333
ST6GALNAC3	-1.18766666666667
CA12	2.9667
NCOA6	1.112
C19orf58	0.273
PPP4R1	-0.0995
MAN1A2	0.159833333333333
IKBKAP	-0.60025
UPF1	0.912666666666667
KIAA1219	0.34825
WNT16	-1.694
SNW1	-0.261375
IL18RAP	3.03025
RPP30	-0.1065
CDC40	0.208785714285714
SETD3	0.3485
SLAMF6	0.23
ELK4	-0.2775
TRIM47	-0.957333333333333
ACOX3	2.200375
TRIM6	0.1175
KIAA0372	-0.396833333333333
TP53AP1	0.656875
SMURF2	-0.95175
ADAD1	1.41075
EBP	0.3594
KRTAP13-2	-1.0615
FLJ36874	0.0145
TOR1A	0.1745
P2RY4	1.4205
GPBP1	0.47075
TRPV1	1.024625
ADAMTS12	-0.635833333333333
PES1	-1.301
ATG4A	0.371833333333333
MAGEA10	-4.021
WFS1	1.17225
CC2D1B	0.735
PABPN1	0.512125
SLC25A30	-0.92875
SLCO1C1	-1.2826
SLC22A5	1.78475
KIF23	-1.35516666666667
SYN2	-1.22083333333333
ASPN	8.6615
CENTG2	-0.26825
QSOX2	-1.3523
FLJ10815	-0.160833333333333
STK24	-0.540625
SPEG	0.4923
STK10	0.0123333333333333
DACT2	-2.467
AAAS	-0.05625
SSX3	-1.895
ABCD3	-0.1544
C4orf12	-1.493625
PARVG	-0.405333333333333
FIG4	0.409
C9orf46	0.747
TMCO6	-0.016
IGHMBP2	-0.78375
DUS2L	-0.612333333333333
FAM3C	-1.2548125
TMEM16D	-3.70442857142857
DCTN4	0.8465
KCNH3	-0.095
EIF2AK2	0.97725
AP1S3	-0.27375
CST4	4.8575
PAM	0.0385625
NUTF2	-0.29175
CITED2	0.5578
SLC39A4	0.4715
C2orf52	-0.7715
GRM3	-1.993
C12orf49	1.159875
CCDC49	-0.0302
GRAMD1B	-1.61414285714286
FNDC4	-0.218
SIAH2	0.0285
GDPD4	-0.24925
C21orf87	0.56075
ATP5A1	-1.41983333333333
C16orf63	-0.391875
LOC388135	-0.355333333333333
ATP5J2	-0.253625
MMP3	-3.10175
EMID2	-0.64975
CRHR1	0.39675
WDR70	0.3015
C13orf31	0.0740000000000001
ZFAND1	-0.7275
CCL18	4.7185
C3orf49	2.032
RINT1	-0.4245
KIAA0408	-1.98483333333333
F13A1	4.979
SLC10A1	-0.7855
OGN	-0.63525
GIPC2	-1.60183333333333
XPO6	-0.0133333333333333
LCE1A	0.629
FMR1	-0.1684
LOC374920	1.064
DUSP3	0.70825
ANKMY1	0.13175
C7orf50	0.32375
BBS9	-0.518
UNC119B	-0.10375
C9orf72	-1.655125
MGC35440	1.41475
ENTPD6	0.555875
PPP1R2P9	0.0733333333333333
ERCC4	0.6885
FAHD2B	0.116
HMHA1	-1.2735
HACL1	-1.194
RAD23A	-0.547833333333333
FAM83B	-0.361
PPP5C	-1.502
RNASEH2C	-0.094625
C9orf153	0.160666666666667
SCAMP4	0.56225
GHITM	0.4176
NDUFB7	0.47075
ADCYAP1	-0.616
SP110	2.07483333333333
MAP3K7IP2	0.90725
DHH	0.4485
AGRN	-0.0390000000000001
WDR33	-0.3005
CEP290	0.1725
PRPS1L1	-2.74766666666667
KLRA1	-1.267
GPR97	-1.109
CHD7	0.164
TLR10	1.26
SLC30A8	-0.615
HIC1	1.0328
IAPP	0.1435
RXFP4	0.8485
GP1BB	0.61925
SHQ1	0.6595
NKX2-3	0.613
API5	-0.1885
FTHP1	0.1955
MOV10L1	-0.3145
TRIM6-TRIM34	2.85716666666667
ADHFE1	1.232
FAM117A	0.50175
DDI1	-0.1705
CDON	0.0291666666666667
TRIM73	null
IGKC	3.695
MMP14	-0.8175
DYNC1LI1	-0.734875
C11orf66	-1.0645
TRBV3-1	-1.36675
FASTKD5	0.49825
BIVM	-2.293
LHX4	-1.12366666666667
CXCL2	-1.9592
RAB2B	-0.1365
IZUMO1	-0.250666666666667
MAP3K15	-2.825625
FAM19A2	-0.6695
ZC3H8	-0.016
ZMAT1	0.686
SPINK5L3	-2.33125
SLC10A6	-1.724
APPL2	-0.48575
CARD10	-0.491833333333333
LOC402176	-0.647375
EEF1D	1.3263
RAB6A	-0.171
C12orf5	-0.157625
PAPOLG	-0.1375
MSRB2	0.6995
BCR	-0.475333333333333
PUS3	-0.15075
TIAM2	-0.50575
ZNF317	0.578666666666667
CHD2	-0.429833333333333
FZD5	-1.90977272727273
NUDT8	-1.298
ZNF763	0.5
PRC1	-1.10755555555556
ABCB9	0.237666666666667
SPATA3	-0.86625
TRAK2	0.847625
STAB1	2.68075
LRRTM2	0.0815000000000001
psiTPTE22	0.79875
DBI	1.3435
SERPINA11	1.3215
NAT5	0.15
C20orf58	-1.28325
RPS6KA4	0.3015
FLJ90650	-0.6355
TGFBRAP1	-0.194
CHRDL2	-0.716375
FAHD2A	-0.499833333333333
CNTN1	0.71825
BBS4	-1.0636
TMEM181	-0.225
MINPP1	-1.5735
MPHOSPH6	-0.77975
HOXC10	1.8664
ITPKB	0.331285714285714
CLPTM1L	0.044
MEOX2	-1.208
ATP6V0C	0.478875
PRPF8	-0.89
TMC5	4.3955
FKBP3	-0.44075
PLEKHB2	-0.95375
OR4D6	0.9775
ZNF544	-0.1095
D2HGDH	0.105875
RPL18A	0.2282
HEL308	-0.183875
MPP6	-3.402
TCERG1	-1.063
KRT16	-1.697
KLF17	-0.6765
KLF5	-1.519
CDR1	1.197
VCX3A	-5.2255
FBLN2	1.535
C14orf104	-0.54125
HBE1	-5.2313
OR4S2	1.0855
C1orf108	-0.116833333333333
ROBO4	3.6975
CPEB4	0.893
C11orf80	-0.535333333333333
BCKDHA	0.0825
MYOC	-0.16175
GIF	1.234
CKMT1A	1.6325
RPL3	-0.1716
THBS1	3.00625
APOO	-0.2305
ARMCX1	-0.00375
HSZFP36	1.335
SNAPC5	-0.4295
EIF4ENIF1	0.98
ZNF433	0.78875
TNFRSF21	-0.5475
TMPRSS7	0.445
SPATA18	2.1319
HPDL	0.778
MKL2	1.0914
TBX3	0.545
C21orf93	-0.0239999999999999
DAXX	0.60275
ELMO1	-0.74825
RGS13	1.41533333333333
TAF11	-0.8335
UNC13A	-2.80885714285714
LOC653314	0.0962
ORC3L	-0.92725
IMAA	-1.793
TARBP2	-0.62025
CABIN1	-0.6078
TRIOBP	-0.038625
HIST1H2AC	-0.2955
RGS22	-0.6965
NCOA1	0.869166666666667
IL25	-0.304
SNCG	-0.979
GPR6	1.457
AMDHD1	-1.71283333333333
CHEK2	-0.945125
C6orf142	-0.8175
DRD4	0.4335
C14orf68	-0.8295
GDF11	-2.56725
SEMG2	0.745
CD247	-1.4245
CDAN1	-0.17825
RBMX2	-0.136333333333333
TGS1	-0.7235
OIT3	-0.469666666666667
SYF2	-0.411
MCM4	-0.484
PKHD1L1	0.208625
CEP192	-0.267666666666667
IFT88	1.1405
RPL9	0.0729285714285715
RAB32	-0.1445
DDX43	-2.6625
P2RX2	0.789166666666667
OR5D18	0.0565
UBE1	-0.514
SLC24A1	-0.175625
ARHGAP5	-0.926
CETP	-1.30425
KIAA1731	-1.66416666666667
SLC9A4	0.237
PTPN6	0.45
BAHD1	0.039
GRIK3	0.6525
CACNB2	-0.9612
PDE10A	-1.24666666666667
DGCR14	-0.0445
PCDHB9	0.348
RHOQ	-0.603
MAP3K4	0.498
KTI12	1.54683333333333
RPL23AP13	-2.17775
GNG11	-1.51075
CLCN3	1.8095
GPAM	-1.119
VSTM2A	-1.0985
SLAMF7	1.8075
INTS2	-0.919
PPP2CA	0.2345
LRP12	-0.683933333333333
SEC14L2	2.68344444444444
DKFZP586H2123	1.146
MC3R	0.2785
CIRH1A	-1.86816666666667
HIST1H2AB	-0.470666666666667
POLH	-1.89825
MGC16703	-1.83016666666667
SNAPC2	0.311
FILIP1L	0.5605
RASGRP4	-0.353
LRRC1	2.20875
GAS1	-0.706
PRAC	-0.57275
DGKA	-1.8215
NT5C3	-0.371
PEG3	-0.849166666666667
NADK	-1.342
PRR17	-0.034
LOC374569	-0.9645
SGSH	0.547666666666667
NLRP8	0.881
GALT	-0.9997
MCF2	-0.894
ZNF263	-0.0345
TACSTD1	1.21216666666667
TYR	-6.1805
ATP6AP2	-0.73375
RNUXA	0.597
ABHD10	-0.125444444444444
GDPD2	-1.3335
SLC35C1	0.1635
UBE2A	-0.31825
HERC5	-1.87666666666667
FAM112B	-4.96216666666667
FBXL16	-2.093
DKFZP434A0131	-0.387
ELA3A	-2.514
RBM41	-0.5505
HAO2	-0.395666666666667
RNH1	-0.459
SHANK2	1.6388
OSBP2	-2.03825
DAK	-0.291166666666667
C3orf58	-0.2815
TCL1B	0.354
KBTBD2	-0.38225
SUGT1L1	0.465
UBE2E2	-0.832666666666667
MYL9	2.826125
CDC23	-0.243666666666667
PBXIP1	1.1848
CXorf40B	0.5095
NBL1	-0.0045
RTBDN	0.5065
RAB11FIP5	-0.257125
TTTY13	-0.264
SCOTIN	0.0198333333333334
SOHLH1	-1.2812
CDKN1A	0.249
NCK1	0.04925
ZNF550	-0.0605
SAPS3	0.633
SPIN3	0.404333333333333
MAGEE2	-0.6985
MIS12	-0.629166666666667
OR8H2	-0.589
KIAA0774	-1.50983333333333
UNC5D	null
CUL7	-1.138
LIPC	-3.48916666666667
DIO1	2.31475
C20orf11	0.489
CTRL	-0.78125
HS3ST2	3.0135
PAK4	0.4225
CCRL1	2.94675
RNF10	1.163625
ZNF567	0.4945
ZNF660	-2.473
TCEAL3	0.27425
MAGOH	2.93166666666667
CENPB	0.0171666666666667
C19orf7	1.617
LOC388965	-0.3905
ZCCHC13	-1.2005
JMJD1A	-1.28
HIST1H4H	-0.7325
TBRG1	-1.4389
GPC3	-3.943875
TAF1C	-0.98225
EBNA1BP2	0.295833333333333
CIAPIN1	-0.04075
PDGFRA	-1.562
CSTB	-1.010125
CENPI	-1.44983333333333
GTF2E2	-1.40016666666667
RPP21	0.4865
CCNF	-0.749666666666667
KCNQ3	0.5115
FAM79A	0.34475
SLC22A12	0.927
NOVA1	-0.617166666666667
FZD3	-0.8127
AKAP8	0.30325
SOCS5	-0.923625
CFDP1	-1.18425
DLG5	1.27325
PGM5	-0.321333333333333
C1orf144	-0.35975
HDAC10	-1.768
RND2	-1.1885
C20orf199	0.5295
RNMT	-0.5785
SLURP1	0.57175
ASTN1	-1.05371428571429
SH3BGR	1.53075
MYCL1	1.19575
ZHX1	-0.14
CENPK	-2.196
FOSB	0.2202
LOC643406	0.531375
C2orf59	-1.2515
TMEM135	-0.451375
SLC27A2	-0.79925
KRT33A	1.4345
OVOL1	0.667428571428571
PAMCI	-2.4795
S100A7	-0.4425
ZNF789	0.3075
HARS2	0.67075
RPL23A	0.217
TCF23	0.552
UPF3B	-0.35375
C17orf78	1.11
HLA-DOB	1.0785
C14orf142	0.496333333333333
TEKT5	2.88725
DMWD	0.224
POLD1	-1.30433333333333
GSCL	-2.3845
CALD1	-0.247
SCRT1	0.547666666666667
AIG1	1.555
UNC84B	-1.29575
ZNF404	-2.2385
TMED6	-3.24533333333333
KIAA1462	0.3825
LRRC27	2.3612
PYGO1	0.018
PIGU	-0.117166666666667
ALAS2	-3.653
WRNIP1	0.767375
CNNM3	-0.421
ZNF2	0.91
ST3GAL5	-0.44825
MRPL23	0.835
TSSK6	-0.1295
PSMA6	-0.428
C16orf70	-0.297
KIAA1602	-0.71225
ALMS1	0.4975
DCN	0.934375
TMEM132D	-0.209666666666667
SUCLG2	-0.59475
ABHD14A	0.3835
DEXI	0.529166666666667
AMPD2	-2.294
IFNAR2	-0.7425
CYB5A	2.0021
TLOC1	0.1372
NXF5	-0.36175
NRBF2	-0.519
KCTD3	1.8615
ITGAE	-0.2605
SLC30A3	-1.49883333333333
ZRF1	-0.4085
IFRD2	-0.425
XAB1	-0.484
PYCR2	-0.616333333333333
SERPINB3	-6.657
TMLHE	-0.8214
GEFT	-1.07783333333333
ABCA5	-0.6035
EMR4	0.2038
TSFM	0.4795
HIST3H2BB	-0.921
ARHGEF19	0.136
TSPAN17	0.074
ABCC8	2.71375
MAP1S	0.241666666666667
C22orf36	1.096
BNC2	-0.782142857142857
HIST1H4A	-0.23025
NDUFS3	0.278166666666667
WDR3	-1.10683333333333
XKR4	-3.5085
TTC33	-0.356846153846154
STMN2	5.017
CPN2	-2.2485
HSPC105	1.76425
PCOLCE2	-2.94525
C3orf55	1.3705
KLHDC9	2.34316666666667
TBC1D23	-0.01225
ATXN2L	-0.832666666666667
MAP2K3	-0.946416666666667
SCAP	-0.35675
ZNF486	1.16066666666667
C20orf96	0.8305
NARS	-1.24375
ADAMTSL1	-0.715928571428571
PRCC	1.25766666666667
CCDC126	0.698083333333333
ZNF675	-0.1665
CALCOCO1	0.229
ANKRD43	3.16225
CWF19L2	-0.583833333333333
ZBTB32	-0.00999999999999997
BRAF	0.06625
ODF4	0.47475
MGC14376	0.3675
HORMAD1	-0.165166666666667
AAK1	-0.5634
PEBP1	1.35416666666667
TNFSF5IP1	0.318333333333333
DKFZp564N2472	0.38275
RMND1	-0.182875
IGKV1-5	3.76875
COL1A2	2.0895
SERPINA5	0.821625
AANAT	0.7455
C19orf21	-1.3635
GEMIN5	-0.2485
UBR4	-1.827
LTBP3	-0.271333333333333
AMHR2	-3.06083333333333
PROCR	-2.1785
MYBBP1A	-0.362
C20orf39	-0.218
ZNF697	-0.728375
PASK	0.0649
ZNF776	1.172
RFXDC2	-1.2425
KIAA0467	0.55525
C10orf96	-1.4955
ZNF503	-1.7755
GULP1	-1.83983333333333
KCNE4	-1.81883333333333
DKFZp434K191	-1.370375
LOC196913	0.92
BHLHB4	0.564
CH25H	-0.50175
LOC81691	-0.6985
ALPL	-0.586285714285714
COL12A1	1.9225
FOLR3	-2.30016666666667
GPR123	0.150375
TRIM62	0.674071428571429
ABLIM1	0.502833333333333
MAST3	-0.91725
RHBDD1	0.834666666666667
LOC338809	0.0355
RYBP	0.22175
TTC26	0.211625
ZNF22	-0.23
ISCA2	0.50675
RDM1	-0.7945
