Hybridization REF	TCGA-BH-A0EA-01A-11R-A115-07
PLSCR3	0.61775
SPOCD1	-1.11133333333333
RAB39	-1.995
GHRH	0.435166666666667
ITIH5L	-0.2015
C17orf37	0.7125
SMCR8	0.014
DPY19L2P3	0.0791666666666666
IL11RA	1.04966666666667
GDF3	-4.21783333333333
RPS6KB1	-1.07266666666667
DNAJC19	0.6998
TOP1	-1.0685
CRCT1	-0.320142857142857
MPST	-0.1335
DPM2	0.015875
FAM38B	0.237166666666667
SLC18A1	-2.3145
FARP1	0.271666666666667
PAX7	-0.171
TUBD1	-0.89725
GNL3	-1.285125
BTG2	2.83173333333333
NDUFS6	-0.824
C1orf79	-1.7315
ERAL1	0.191
ECHS1	0.74925
VPS4A	-0.501
CYP11A1	0.3555
ABCC6	-0.740928571428571
PBX4	-1.9545
MOSC1	1.120125
NCF4	-0.277
HYMAI	-0.637
NAGPA	-0.857375
OTOP2	0.41375
ACOT12	-0.2395
MTHFD2L	-0.7175
LOC441376	2.378
C19orf34	0.6105
RAB1B	-0.10475
ALDOAP2	-1.4975
NTRK1	-1.66016666666667
ARTS-1	0.5907
SLC6A11	-0.982
NAP1L2	0.244
CNGB1	-0.0288333333333333
EPB41L4B	1.37
FAM134B	1.767
HS3ST3A1	-1.9065
CPXM2	5.37475
SIRPB2	-0.8435
CHORDC1	-1.3245
TRIB3	-2.10966666666667
SLC2A5	0.69775
C2orf49	-0.3405
DDX5	-0.6095
OR5L1	1.2225
ANAPC4	-0.175833333333333
ZSWIM1	0.095625
LOC93622	-0.764125
KCNK3	0.6911
RP11-35N6.1	-1.758
ZFP161	-0.0838333333333333
AQP9	2.85225
SLC15A2	1.03283333333333
MREG	-0.149333333333333
OR9I1	0.062
PDLIM2	-0.197375
ADAM7	0.267
GSTCD	0.7735
WDR21A	-0.185375
SLC12A8	1.25316666666667
TMEM174	0.069
IGSF3	0.516583333333333
LRRN1	0.38075
LOC402117	-0.24325
SRPK1	-1.79733333333333
LY6K	-0.09775
NFIA	3.8645
PTCD3	-1.593625
LEP	3.48533333333333
PCDH21	-0.270833333333333
MAPKAPK2	0.825928571428571
NMNAT1	0.208333333333333
LHFPL2	0.513125
C9orf43	-0.3335
DIP2A	-1.06366666666667
ACTR8	-0.726375
CCDC34	-0.9115
PTPN22	-0.97125
ITGA3	0.548875
FAM129C	0.12625
RABGGTA	-0.299666666666667
UNC45B	1.0445
KIAA1033	0.2625
ZNF510	0.151166666666667
CYP2D6	-0.234833333333333
SLC26A10	-1.662
STX8	-0.179
LUZP1	-0.283
WDR89	-0.151833333333333
EIF4G3	-0.038
C5AR1	1.6225
ZNF623	-0.6185
A2M	1.6935
TGM7	-0.469
GRPEL1	-1.0535
LMNB2	-2.2726
ROCK2	-0.207833333333333
SNX16	-0.090625
CCDC66	0.9385
ANXA3	1.35
KIAA1609	-1.08325
EED	-0.85375
RNF32	0.752
HES1	1.1897
CLC	0.0311666666666667
ISL1	-0.606666666666667
KIAA0528	0.3245
MANEA	0.606375
C1orf61	-1.7485
hCG_2001000	-0.25725
RAPGEF6	0.2648
KIAA0020	-1.00866666666667
NEIL1	1.85825
C16orf45	0.96125
RBM10	-0.207
C10orf125	-1.552625
MRS2L	-0.3505
DNAH17	-1.005625
C19orf10	-1.35
C1orf160	0.439
SLFN12	0.845
EXOC3	0.329
HIST3H3	0.5355
NCOR2	0.337333333333333
TNFRSF9	-0.37875
MFSD8	-0.92125
ALX1	-4.04616666666667
NOL1	-1.62325
PODN	3.064
TIAL1	-0.88625
HIST1H1E	-0.24825
NPY6R	0.10525
TM4SF4	-0.4935
CORO2A	0.07525
ETNK2	0.7015
APOE	0.4365
ANGPT4	0.00700000000000001
HDGF2	-0.914
G30	-0.3965
ST8SIA4	-0.539375
F2RL1	-0.521
FAM19A4	-3.5315
CCAR1	-0.2595
B3GNT7	-0.2645
OPHN1	-0.1529
DSCR6	-1.8735
C21orf13	1.68233333333333
GAS2L1	0.715666666666667
RFX3	0.757166666666667
COPS4	0.22725
BCHE	-3.37166666666667
BCL2	2.79725
HBZ	-2.99416666666667
ARL13B	0.491875
MAPBPIP	0.94675
MYO15B	-0.16975
SPZ1	1.303
KIAA1324	3.20933333333333
PLCL2	-0.263
C4orf29	-1.1695
WDFY2	-0.64925
ZNF284	-0.3925
NAALADL1	1.256
DUSP5	-0.0565
PXDN	0.018375
SLMO1	-0.88725
TNXB	0.382
BIRC7	-1.081
A4GALT	1.054
TIMM22	-0.1345
FAM110C	1.38775
TOMM34	-1.190625
ABHD9	0.396
ADAM32	1.0955
CRHBP	2.224
AQP2	0.431875
LOC130355	1.492
ZNF187	0.173166666666667
ZNF816A	0.576
F7	-0.498625
CNOT1	-1.4676
SLC13A4	-0.14925
ZBTB11	-0.268
B3GALT5	0.4225
EXOC2	0.1865
IRS1	0.4449
TMEM1	-0.462166666666667
MRPL34	0.0233333333333333
SAMM50	-0.544
CDC42EP3	0.025
HSF2	-1.0979
MFN2	-0.329
TSPAN7	-0.499833333333333
NUCB1	0.475333333333333
RHOH	0.3635
ARL16	-0.697
TACR1	0.09325
SFRS5	-0.788333333333333
SNX25	0.586
RHBDF1	1.1065
PCDH18	2.51066666666667
HMG1L1	-0.54175
MYO5C	0.860625
MAPK10	2.241
LDHAL6A	0.248
NUDT12	1.89733333333333
NCAM1	-0.519875
GLIS2	-0.0645
GGTL4	-0.2415
DAPP1	0.37175
ATF7	0.627125
KIAA0748	-1.08325
NFIL3	-0.42825
TM6SF1	1.0959
SEZ6	-0.025
NANOS3	0.57
DNAJA3	-0.0956666666666667
CLDN6	-2.164
CIITA	2.2671
EPHA4	1.48441666666667
FANCC	-0.872
CMTM3	0.2705
PSG3	-0.200625
MRPL15	-1.4795
C21orf59	-0.19975
PLCXD2	-0.27875
C2orf34	-0.4855
UBE2L6	0.169875
MED14	0.0455
HP1BP3	0.1716
C6orf208	0.297
TPBG	0.5785
OSR2	0.576625
XPC	-0.00383333333333335
KLHL7	-1.11183333333333
CCR3	0.0681666666666667
AGTPBP1	-0.884166666666667
PCSK6	1.51093333333333
STAT5A	-0.4462
FAM18B	0.33825
LONRF2	1.992
PTPN2	-1.028875
SF3A3	-0.625166666666667
EFCBP2	-0.45525
HCFC1	-0.318166666666667
AHNAK	0.9272
ACTR5	-0.83075
KIF14	-4.298
TENC1	1.94175
HEATR5B	0.7665
YIPF2	0.0313333333333333
MYEOV2	0.4305
DUSP18	1.102
KIAA1012	0.85525
AHR	0.244166666666667
C17orf53	-2.13183333333333
PTPRH	-3.625
ATP6V1C1	-0.3519
TAS2R3	-0.3085
LOC440356	0.25625
COQ10B	-0.2825
PSMF1	0.1945
SORBS2	2.44141666666667
NFE2L2	1.04425
TMCO7	-0.825
SH3PXD2A	0.6367
SH2D2A	-1.43175
SPINK5	-2.318
MRPS24	-0.71075
OPA3	0.426625
TRAF7	-0.0325
C4orf35	-0.183166666666667
MT1G	0.491375
MGC39545	0.571
HS1BP3	0.1396
OR2B2	0.2335
CHRM4	0.0115
SFRP2	4.19266666666667
RIC3	0.22775
ART1	0.6785
C6orf1	0.627
DUS4L	-1.10225
C10orf104	0.44225
TNFAIP6	2.66525
RTEL1	-1.12375
CCT4	-1.2381
ZNF709	0.878
CHMP6	0.368333333333333
UPP2	0.9025
CYP19A1	-1.559625
CD151	0.725666666666667
NDUFA13	0.136666666666667
ARFRP1	-1.0545
FAM26B	2.11675
CRYBA1	-2.017
MRPL41	0.6045
NPFFR2	-1.3155
HRH2	-0.0695
SCAMP3	0.3605
MTMR6	0.7954
MTG1	-0.741333333333333
UBTD1	1.31075
CRABP1	-1.151
FLJ33790	-0.1138
KIAA1908	0.0813333333333333
GPR158	-3.08275
PACSIN3	-0.593
OMD	4.19566666666667
CATSPER1	-0.972
HOXB8	-1.5925
FBXO46	0.6645
OAS1	-0.415666666666667
SVIL	1.15325
PHB2	-0.31475
ADCY3	0.4935
NDRG2	1.44666666666667
ERMAP	0.4345
APBA2	-1.50816666666667
IGSF9	3.43375
WNT6	0.868285714285714
MYCBPAP	2.12875
ATP2B2	0.1267
CPVL	-1.0369
TRAM2	-0.345666666666667
NOP5/NOP58	-0.698
ZNRF4	-0.04375
TLK1	-0.455
MTMR12	-0.136928571428571
ZNF384	-0.681666666666667
FAM9B	-3.539
RPN1	-0.1696
PMVK	0.83075
EIF3D	-0.019
SIX2	-0.4695
HPS1	0.536571428571429
RNF7	-0.6705
PSKH2	-0.2115
KCTD13	-0.174666666666667
CSMD3	-0.5007
FBF1	-0.4725
IL8	-4.549625
SERPINB13	0.215272727272727
FBXL20	-0.20425
BLR1	-0.04975
SH2B1	-0.154666666666667
RFNG	-0.229875
RAB20	0.612666666666667
RBM7	-0.2905
POLR1A	-0.888333333333333
TMPRSS4	-2.76975
TAF9	-0.92525
TERF2	-0.0608333333333334
TNFRSF1A	0.643833333333333
ACADVL	-0.219833333333333
GTF2H5	0.92275
EDG8	0.449166666666667
C9orf140	-2.2845
UST6	0.191
ZBTB8OS	-0.75475
ZNF710	0.395
GPR174	-2.6965
ATP6V0A2	-0.56325
KIAA0319L	0.684333333333333
XKRX	1.1275
DOPEY2	1.461
SDHD	-0.411416666666667
SUMF1	1.591
OSM	2.1605
OPN3	0.46275
DAGLB	-0.348833333333333
PPFIBP1	0.3678
TRIM63	-2.122
C10orf53	0.853
LYPD3	0.936
BCL7A	0.151
AGER	-1.39216666666667
TCF19	-2.4265
SAT2	0.77725
PFTK1	1.98233333333333
GABRE	-1.325375
C15orf38	0.4787
FIS1	0.535
KCNV2	-0.38
CLPS	0.8985
PPCDC	-0.357
FOXN2	1.86233333333333
NT5E	-2.5925
CD83	0.5045
IL18	-0.4975
VPS16	-0.32775
IGFBP2	-1.089
NOTCH2	0.7575
SIGLEC1	2.627
CD93	5.948
SULF2	0.52875
CEP164	-0.111
P53AIP1	0.923333333333333
TOR2A	-0.0358333333333333
ZNF136	0.4735
MGP	3.1329
CCDC144A	1.236
TRPC1	-0.357
SMS	-1.43733333333333
MAPK7	-0.1845
RRAGC	0.2765
PARD6A	-0.0493333333333333
NUB1	0.459166666666667
SYNGR4	0.52725
OR11H12	0.433
WIF1	0.650428571428571
GCH1	-1.33475
OR11H4	-0.414
SLC44A5	0.4895
GPRIN2	1.885
LOC401431	1.22525
CPA4	-2.4468
MELK	-4.47533333333333
IL15RA	0.339
CUL3	1.16275
HMBOX1	0.101
PODXL	-1.81875
CCT6B	1.024
COMTD1	-0.6675
MUC20	0.0513333333333333
GPX2	-2.716125
ITK	-1.485375
FBXL5	2.02075
C13orf27	-2.06475
DEFA5	0.012
TRHDE	-0.111
MTP18	-1.0255
UQCRQ	0.5711
ITGB2	1.28558333333333
CSRP2BP	0.2115
TAS2R44	-0.0185
PHPT1	0.406
FAM44C	-0.647
ERH	-0.0175
MPHOSPH1	-1.79983333333333
MORC1	-1.3085
PARVB	-0.58725
LAMA1	-1.89675
PGBD3	0.344
GIMAP6	4.4155
AREG	-1.743
LIPT1	-0.03825
MGC99813	-1.25475
C1orf201	0.147833333333333
GRIN2A	-0.5344
MAN2C1	-1.0165
NSUN5	-0.77875
SF3B5	-0.414
MYC	-1.581875
NRXN1	0.20725
ZNF18	0.7755
SPDYA	-0.993875
SLC37A1	0.941
DECR2	-0.034
ANKRD38	1.03725
SPTLC3	-0.993416666666667
SUPT16H	-0.856
DTWD2	0.855
ULBP1	-0.205
ZADH1	0.071
OIP5	-4.42325
IL10RB	-0.128
OTUB2	-0.25725
VWA3A	0.720833333333333
SPIC	0.219333333333333
OR6C4	0.0275
PSCD4	1.28833333333333
DPY19L2P2	-1.162
TRAPPC6A	0.129833333333333
C21orf2	-0.0546666666666667
CEMP1	0.1515
LIN7B	-0.65
E2F7	-3.53733333333333
VCP	-0.3141875
LAMA3	1.56825
BGN	2.059
GPR160	1.95166666666667
COCH	-4.14316666666667
GPR81	1.784
APOBEC3F	-0.751
tcag7.1017	-0.257
C1orf32	0.1745
SCGB1D2	4.04025
FLJ43987	-0.564
C6orf170	0.20975
KLK9	0.0255
GPD1L	0.49575
VPS37B	0.20525
ATG3	-0.5825
ADAMTS17	-0.2025
KLHDC2	0.267833333333333
NDUFV2	-0.56075
BLK	-2.13625
MATN4	-0.961
GPM6A	1.642875
GBP4	3.33483333333333
TMEM162	0.0573333333333333
PKP2	-0.7265
HRASLS	-1.92811111111111
MMP1	-4.0125
SFXN3	-0.2296
FSD1	-2.1715
ST6GALNAC3	-0.455333333333333
CA12	2.3215
NCOA6	0.274
C19orf58	-0.4214
PPP4R1	-0.403833333333333
MAN1A2	1.226
IKBKAP	-0.581
UPF1	-0.391166666666667
KIAA1219	0.1185
WNT16	0.960833333333333
SNW1	-0.447
IL18RAP	2.63675
RPP30	-0.4095
CDC40	-0.138214285714286
SETD3	-0.152
SLAMF6	-0.3
ELK4	-0.3255
TRIM47	1.04133333333333
ACOX3	0.887
TRIM6	0.469
KIAA0372	-0.000833333333333353
TP53AP1	1.177125
SMURF2	-1.14375
ADAD1	0.31175
EBP	-1.1471
KRTAP13-2	0.4825
FLJ36874	-1.10083333333333
TOR1A	-0.65
P2RY4	0.5945
GPBP1	-0.319
TRPV1	0.08825
ADAMTS12	0.268166666666667
PES1	-0.552
ATG4A	0.779833333333333
MAGEA10	-4.97925
WFS1	1.53
CC2D1B	-0.976833333333333
PABPN1	-0.019625
SLC25A30	0.44625
SLCO1C1	1.28616666666667
SLC22A5	0.8845
KIF23	-3.97816666666667
SYN2	0.388666666666667
ASPN	8.35866666666667
CENTG2	1.051
QSOX2	-2.17
FLJ10815	0.3945
STK24	-0.61375
SPEG	0.3122
STK10	-0.125833333333333
DACT2	0.5755
AAAS	-0.161
SSX3	-1.561625
ABCD3	-0.3092
C4orf12	0.69675
PARVG	0.8195
FIG4	0.69275
C9orf46	1.78875
TMCO6	-0.2865
IGHMBP2	-1.66075
DUS2L	-1.207
FAM3C	-0.8033125
TMEM16D	-2.206
DCTN4	0.59675
KCNH3	-0.00175
EIF2AK2	0.44125
AP1S3	-0.927125
CST4	-0.017
PAM	0.1855
NUTF2	-1.44775
CITED2	1.2084
SLC39A4	-0.446
C2orf52	-0.6755
GRM3	-0.72975
C12orf49	-0.18275
CCDC49	-0.2325
GRAMD1B	-1.64142857142857
FNDC4	1.13075
SIAH2	0.904
GDPD4	0.14275
C21orf87	0.413125
ATP5A1	-0.291166666666667
C16orf63	-0.208375
LOC388135	0.208333333333333
ATP5J2	-0.4025
MMP3	-0.36825
EMID2	-0.61025
CRHR1	0.09575
WDR70	-0.3615
C13orf31	2.461
ZFAND1	-0.56975
CCL18	4.6685
C3orf49	0.0135
RINT1	-0.433
KIAA0408	-0.130166666666667
F13A1	5.0224
SLC10A1	0.565666666666667
OGN	5.71225
GIPC2	-0.857666666666667
XPO6	-0.770333333333333
LCE1A	0.3635
FMR1	0.5923
LOC374920	-0.118
DUSP3	0.235375
ANKMY1	0.35575
C7orf50	-0.49375
BBS9	-0.249
UNC119B	0.377875
C9orf72	-0.15
MGC35440	-0.6565
ENTPD6	-0.33075
PPP1R2P9	0.0203333333333333
ERCC4	0.27925
FAHD2B	-0.5325
HMHA1	-0.469
HACL1	-0.44975
RAD23A	0.194666666666667
FAM83B	-0.53675
PPP5C	-0.252666666666667
RNASEH2C	0.188
C9orf153	-0.7755
SCAMP4	0.863625
GHITM	-0.4183
NDUFB7	0.184625
ADCYAP1	0.4085
SP110	1.51866666666667
MAP3K7IP2	0.00874999999999999
DHH	0.2235
AGRN	0.658785714285714
WDR33	0.297666666666667
CEP290	0.962833333333333
PRPS1L1	-2.18983333333333
KLRA1	-0.438
GPR97	-0.3475
CHD7	-0.943333333333333
TLR10	1.62525
SLC30A8	-0.2715
HIC1	1.9405
IAPP	-0.2835
RXFP4	0.18175
GP1BB	1.98725
SHQ1	0.2465
NKX2-3	-0.0581666666666667
API5	-0.20075
FTHP1	-0.047
MOV10L1	0.8015
TRIM6-TRIM34	1.898
ADHFE1	1.67125
FAM117A	0.06075
DDI1	-0.2598
CDON	1.02566666666667
TRIM73	-0.592
IGKC	3.3195
MMP14	-0.692833333333333
DYNC1LI1	0.291875
C11orf66	1.1795
TRBV3-1	-1.35025
FASTKD5	-0.003
BIVM	-0.563
LHX4	0.1625
CXCL2	1.5602
RAB2B	-0.527833333333333
IZUMO1	-0.405
MAP3K15	-1.475125
FAM19A2	0.8855
ZC3H8	-1.16766666666667
ZMAT1	3.11875
SPINK5L3	-3.287
SLC10A6	1.8415
APPL2	0.633
CARD10	0.452666666666667
LOC402176	0.595
EEF1D	0.0346
RAB6A	0.4833
C12orf5	-0.854125
PAPOLG	0.193
MSRB2	0.69075
BCR	0.263055555555556
PUS3	0.08825
TIAM2	1.26875
ZNF317	-0.282166666666667
CHD2	-0.286071428571429
FZD5	-1.92404545454545
NUDT8	-1.121
ZNF763	1.207
PRC1	-3.72744444444444
ABCB9	0.307333333333333
SPATA3	-0.1145
TRAK2	0.320375
STAB1	2.81425
LRRTM2	0.4625
psiTPTE22	2.19875
DBI	0.63
SERPINA11	-0.53675
NAT5	0.023
C20orf58	-2.27025
RPS6KA4	0.110333333333333
FLJ90650	2.482
TGFBRAP1	0.11825
CHRDL2	1.45025
FAHD2A	-0.629666666666667
CNTN1	0.61
BBS4	0.242
TMEM181	-0.1725
MINPP1	0.23675
MPHOSPH6	-1.29208333333333
HOXC10	2.0024
ITPKB	0.85225
CLPTM1L	-1.568125
MEOX2	2.35933333333333
ATP6V0C	1.0955
PRPF8	-0.0826666666666667
TMC5	4.282
FKBP3	-1.00975
PLEKHB2	-0.043125
OR4D6	0.235
ZNF544	-0.8332
D2HGDH	-0.226
RPL18A	-0.0521
HEL308	-0.06675
MPP6	-3.59825
TCERG1	-1.4195
KRT16	1.04533333333333
KLF17	-2.09525
KLF5	0.55975
CDR1	3.98875
VCX3A	-3.807
FBLN2	2.03825
C14orf104	-0.34025
HBE1	-5.0147
OR4S2	0.1005
C1orf108	-0.292333333333333
ROBO4	3.88316666666667
CPEB4	0.46475
C11orf80	-0.9235
BCKDHA	0.588
MYOC	3.4545
GIF	0.398
CKMT1A	-0.023
RPL3	0.4324
THBS1	2.1585
APOO	0.58275
ARMCX1	2.1245
HSZFP36	1.03475
SNAPC5	-0.6765
EIF4ENIF1	0.31125
ZNF433	1.25925
TNFRSF21	-0.048125
TMPRSS7	0.3345
SPATA18	1.6866
HPDL	-3.7665
MKL2	1.3661
TBX3	1.46
C21orf93	-0.1055
DAXX	0.05675
ELMO1	1.37275
RGS13	1.7255
TAF11	-1.74325
UNC13A	-2.1105
LOC653314	0.000200000000000011
ORC3L	0.1185
IMAA	-2.624
TARBP2	-0.882
CABIN1	0.4286
TRIOBP	-0.167
HIST1H2AC	1.968375
RGS22	0.774166666666667
NCOA1	1.6335
IL25	2.3245
SNCG	2.551
GPR6	0.4005
AMDHD1	-1.1055
CHEK2	-2.025
C6orf142	1.1475
DRD4	1.24775
C14orf68	-1.554
GDF11	-1.9685
SEMG2	0.2955
CD247	-0.953
CDAN1	0.08725
RBMX2	-0.269166666666667
TGS1	-1.2435
OIT3	2.25775
SYF2	-0.289
MCM4	-3.33025
PKHD1L1	0.369
CEP192	-0.433333333333333
IFT88	1.50225
RPL9	0.200142857142857
RAB32	-0.1935
DDX43	0.43325
P2RX2	0.382666666666667
OR5D18	0.5995
UBE1	0.851166666666667
SLC24A1	0.496625
ARHGAP5	0.27225
CETP	1.748
KIAA1731	-0.0373333333333333
SLC9A4	0.523
PTPN6	0.9985
BAHD1	0.57825
GRIK3	-0.2515
CACNB2	-0.4967
PDE10A	0.18275
DGCR14	-0.05325
PCDHB9	-0.931166666666667
RHOQ	0.842333333333333
MAP3K4	-0.21025
KTI12	-0.723166666666667
RPL23AP13	-0.492
GNG11	1.14025
CLCN3	0.784833333333333
GPAM	2.052
VSTM2A	0.3005
SLAMF7	2.50283333333333
INTS2	-1.644
PPP2CA	-0.7108
LRP12	-0.5374
SEC14L2	1.06844444444444
DKFZP586H2123	4.25
MC3R	-0.4875
CIRH1A	-1.904
HIST1H2AB	0.558666666666667
POLH	-0.212625
MGC16703	-1.85483333333333
SNAPC2	0.687
FILIP1L	2.3075
RASGRP4	0.024
LRRC1	1.05625
GAS1	1.91275
PRAC	-0.69725
DGKA	0.328166666666667
NT5C3	-0.46825
PEG3	-1.94916666666667
NADK	-1.21575
PRR17	1.05075
LOC374569	-0.4755
SGSH	0.2665
NLRP8	1.3395
GALT	-0.5807
MCF2	-0.7925
ZNF263	0.02725
TACSTD1	0.625333333333333
TYR	-6.767
ATP6AP2	1.139
RNUXA	-0.40375
ABHD10	-0.2353
GDPD2	-1.2305
SLC35C1	0.42675
UBE2A	0.107875
HERC5	-1.37133333333333
FAM112B	-4.81966666666667
FBXL16	-0.09025
DKFZP434A0131	-0.285
ELA3A	-2.3725
RBM41	-0.907625
HAO2	0.0600000000000001
RNH1	-0.00212500000000002
SHANK2	1.12033333333333
OSBP2	-1.311
DAK	-0.743166666666667
C3orf58	-0.12325
TCL1B	-0.333
KBTBD2	-0.415125
SUGT1L1	0.70625
UBE2E2	-0.497166666666667
MYL9	3.080625
CDC23	-1.111
PBXIP1	2.3505
CXorf40B	-0.3335
NBL1	1.26225
RTBDN	-0.4345
RAB11FIP5	0.82075
TTTY13	-0.284
SCOTIN	-0.26125
SOHLH1	-1.322
CDKN1A	0.878
NCK1	0.068
ZNF550	-0.388
SAPS3	-0.13475
SPIN3	0.034
MAGEE2	0.316
MIS12	-0.4745
OR8H2	0.3475
KIAA0774	-0.4535
UNC5D	-1.947
CUL7	-0.0743333333333333
LIPC	-2.69666666666667
DIO1	-2.3475
C20orf11	-0.931
CTRL	-1.18275
HS3ST2	4.05525
PAK4	0.9145
CCRL1	3.4085
RNF10	0.253
ZNF567	0.012
ZNF660	0.3225
TCEAL3	1.8675
MAGOH	-0.721
CENPB	-0.0443333333333333
C19orf7	-0.093375
LOC388965	0.63375
ZCCHC13	0.7845
JMJD1A	-0.7032
HIST1H4H	0.1945
TBRG1	-0.7938
GPC3	-2.291375
TAF1C	-0.902875
EBNA1BP2	-0.905666666666667
CIAPIN1	-1.31875
PDGFRA	0.542
CSTB	0.529
CENPI	-3.80533333333333
GTF2E2	-0.632
RPP21	0.01025
CCNF	-2.06666666666667
KCNQ3	0.7295
FAM79A	1.1955
SLC22A12	0.054
NOVA1	0.2025
FZD3	1.7253
AKAP8	-0.665
SOCS5	0.752125
CFDP1	-1.68325
DLG5	0.53475
PGM5	1.5205
C1orf144	0.00241666666666669
HDAC10	-1.5625
RND2	0.8285
C20orf199	-0.4705
RNMT	-1.037375
SLURP1	0.42825
ASTN1	-0.670625
SH3BGR	1.39
MYCL1	-0.945
ZHX1	0.213333333333333
CENPK	-5.12925
FOSB	2.9574
LOC643406	0.0135
C2orf59	-0.585875
TMEM135	0.088375
SLC27A2	-1.8765
KRT33A	1.5155
OVOL1	0.67875
PAMCI	-1.97583333333333
S100A7	-0.8555
ZNF789	-1.385
HARS2	-0.40975
RPL23A	-0.332
TCF23	-0.34525
UPF3B	-1.449125
C17orf78	-0.8645
HLA-DOB	0.7735
C14orf142	-0.208333333333333
TEKT5	0.640333333333333
DMWD	0.2825
POLD1	-1.96166666666667
GSCL	0.302
CALD1	1.4224
SCRT1	1.31
AIG1	0.964
UNC84B	-0.0145
ZNF404	0.1715
TMED6	-3.876
KIAA1462	0.435
LRRC27	1.858
PYGO1	-0.184
PIGU	-1.44166666666667
ALAS2	-4.26166666666667
WRNIP1	-0.11075
CNNM3	0.5
ZNF2	-0.1435
ST3GAL5	-0.351666666666667
MRPL23	-0.00849999999999999
TSSK6	0.185
PSMA6	-0.99125
C16orf70	-0.60125
KIAA1602	0.05825
ALMS1	0.601666666666667
DCN	3.059625
TMEM132D	-1.05
SUCLG2	-0.81125
ABHD14A	0.81475
DEXI	0.606
AMPD2	-1.39216666666667
IFNAR2	-0.480333333333333
CYB5A	2.2159
TLOC1	0.76645
NXF5	-0.618333333333333
NRBF2	-0.07225
KCTD3	1.13325
ITGAE	-0.342833333333333
SLC30A3	-1.53333333333333
ZRF1	-1.3325
IFRD2	-0.933
XAB1	-0.34025
PYCR2	0.890833333333333
SERPINB3	-4.429
TMLHE	0.7453
GEFT	-0.687375
ABCA5	0.124625
EMR4	0.368666666666667
TSFM	-0.43725
HIST3H2BB	0.04925
ARHGEF19	0.43625
TSPAN17	-0.550333333333333
ABCC8	4.0465
MAP1S	0.275
C22orf36	1.552
BNC2	0.283071428571429
HIST1H4A	-0.69025
NDUFS3	-0.859833333333333
WDR3	-1.27433333333333
XKR4	0.32825
TTC33	-0.967285714285714
STMN2	4.52575
CPN2	-0.586833333333333
HSPC105	0.73925
PCOLCE2	-0.2795
C3orf55	2.241
KLHDC9	2.8475
TBC1D23	0.1165
ATXN2L	-1.07891666666667
MAP2K3	-0.19475
SCAP	-0.2305
ZNF486	1.22466666666667
C20orf96	0.897
NARS	-0.3065
ADAMTSL1	0.221714285714286
PRCC	0.676166666666667
CCDC126	1.49966666666667
ZNF675	0.799
CALCOCO1	1.99275
ANKRD43	4.06575
CWF19L2	0.261166666666667
ZBTB32	0.866333333333333
BRAF	0.22475
ODF4	0.25675
MGC14376	1.18
HORMAD1	-2.67333333333333
AAK1	0.36375
PEBP1	0.0418333333333333
TNFSF5IP1	-0.305666666666667
DKFZp564N2472	0.34425
RMND1	-0.87275
IGKV1-5	4.54925
COL1A2	3.81091666666667
SERPINA5	-1.566
AANAT	0.0635
C19orf21	0.911833333333333
GEMIN5	-0.277
UBR4	-0.726666666666667
LTBP3	1.498
AMHR2	-2.88983333333333
PROCR	-0.483
MYBBP1A	-1.0855
C20orf39	1.27066666666667
ZNF697	-0.686875
PASK	-1.0737
ZNF776	0.870166666666667
RFXDC2	-0.3475
KIAA0467	0.77975
C10orf96	-2.528
ZNF503	1.9055
GULP1	-1.57341666666667
KCNE4	3.99483333333333
DKFZp434K191	0.350625
LOC196913	-0.144
BHLHB4	2.3685
CH25H	1.6275
LOC81691	-2.095
ALPL	0.443071428571429
COL12A1	2.769375
FOLR3	-2.841
GPR123	0.025875
TRIM62	0.1515
ABLIM1	0.4245
MAST3	-0.02375
RHBDD1	1.00366666666667
LOC338809	0.181
RYBP	1.52925
TTC26	-1.020125
ZNF22	0.672333333333333
ISCA2	-0.179
RDM1	-3.91475
PIGM	1.2965
GNB3	-1.608
ACTR2	0.1174
HMGB1	-0.36675
EDG1	4.15166666666667
SOAT2	-3.227
OR10AD1	0.118
RAP1GDS1	0.479583333333333
LCE1F	0.131
ESM1	-2.6965
RCN3	2.32525
CREBL1	-1.06375
DBNL	-0.462
PTGER3	2.960875
USP30	-0.0428333333333333
BCL2L12	-0.9905
KIF26B	1.8205
ZNF416	0.6115
ZNF225	-0.4805
C17orf70	-0.298
ZNF554	0.22975
RAE1	-1.27983333333333
TNIK	-1.27083333333333
ACTN3	0.725
MGC45922	0.659
CCNA1	-0.9665
RYK	0.822
IL26	0.159
LRP3	1.3105
QARS	-0.27975
SOX7	1.90878571428571
BID	-1.0805
OR2S2	0.1385
CXCL14	4.9285
C11orf47	-1.2445
MGC29891	1.40266666666667
HSPB8	0.6446
PRDM14	-1.845
NUFIP2	0.22775
MNAT1	-0.795875
ZDHHC2	-1.16566666666667
MBNL2	0.65075
ADD3	-0.19975
CSNK2A1P	-1.4195
KLK6	-0.233833333333333
TMEM111	-0.039
KIAA1279	1.69175
NUBP2	-0.194166666666667
RAB42	-0.375
ID3	-0.3619
TM9SF1	0.58075
MDP-1	-0.00625
POU4F2	-0.505
IQCK	2.4595
C16orf14	-0.3815
CAPN3	-1.785
FAM43B	0.04775
RECQL	-0.937
AP1G1	-0.765
CTNNBL1	-1.10366666666667
ECHDC1	-0.379666666666667
