Hybridization REF	TCGA-A1-A0SD-01A-11R-A115-07
OSR2	1.2605
XPC	-0.338833333333333
KLHL7	-0.36675
CCR3	-0.02175
AGTPBP1	0.250833333333333
PCSK6	-0.2382
STAT5A	-1.5514
FAM18B	0.2835
LONRF2	1.42816666666667
PTPN2	-0.8335
SF3A3	-1.26483333333333
EFCBP2	-0.4515
HCFC1	-1.02883333333333
AHNAK	-0.06115
ACTR5	-0.2875
KIF14	-3.45757142857143
TENC1	0.58625
HEATR5B	0.9865
YIPF2	0.0376666666666667
MYEOV2	0.839833333333333
DUSP18	1.3745
KIAA1012	0.71975
AHR	0.896166666666667
C17orf53	-2.1715
PTPRH	-3.5795
ATP6V1C1	0.3216
TAS2R3	-0.1595
LOC440356	-0.49725
COQ10B	0.39925
PSMF1	0.51925
SORBS2	1.02133333333333
NFE2L2	0.54525
TMCO7	0.46
SH3PXD2A	0.939
SH2D2A	-2.07425
SPINK5	-2.89425
MRPS24	-1.079
OPA3	-0.29925
TRAF7	-1.12733333333333
C4orf35	0.3276
MT1G	-0.441375
MGC39545	1.16933333333333
HS1BP3	-0.3462
OR2B2	0.2175
CHRM4	-0.198
SFRP2	2.6875
RIC3	3.183
ART1	1.206
C6orf1	0.67625
DUS4L	0.0015
C10orf104	0.91925
TNFAIP6	3.54575
RTEL1	-0.66425
CCT4	-0.5141
ZNF709	0.951
CHMP6	-0.0701666666666667
UPP2	0.39325
CYP19A1	-2.817125
CD151	-0.458166666666667
NDUFA13	0.059
ARFRP1	-0.760166666666667
FAM26B	2.10725
CRYBA1	-2.0225
MRPL41	-0.471666666666667
NPFFR2	-0.806375
HRH2	0.417
SCAMP3	-0.553333333333333
MTMR6	1.2605
MTG1	-1.40166666666667
UBTD1	1.13075
CRABP1	-2.7315
FLJ33790	1.3286
KIAA1908	0.0338333333333333
GPR158	-0.74
PACSIN3	-0.1725
OMD	4.68866666666667
CATSPER1	0.375
HOXB8	-1.374
FBXO46	0.4305
OAS1	0.0596666666666667
SVIL	0.6405
PHB2	-0.88225
ADCY3	0.144
NDRG2	-0.244
ERMAP	1.006
APBA2	-0.527
IGSF9	1.22025
WNT6	-1.07571428571429
MYCBPAP	3.63625
ATP2B2	-0.388
CPVL	-1.6085
TRAM2	-0.348666666666667
NOP5/NOP58	-0.944
ZNRF4	0.43025
TLK1	0.268875
MTMR12	0.130928571428571
ZNF384	-0.8305
FAM9B	-2.793
RPN1	0.5173
PMVK	0.5705
EIF3D	0.0145
SIX2	-1.49125
HPS1	0.519785714285714
RNF7	0.699
PSKH2	0.605
KCTD13	-0.6835
CSMD3	0.0156
FBF1	-0.407
IL8	-3.83775
SERPINB13	0.688583333333333
FBXL20	-0.792
BLR1	0.383
SH2B1	-0.6405
RFNG	-0.49775
RAB20	-1.1115
RBM7	-0.06
POLR1A	-0.8185
TMPRSS4	-1.53225
TAF9	-0.36225
TERF2	0.3355
TNFRSF1A	0.00108333333333335
ACADVL	-1.41666666666667
GTF2H5	-0.44
EDG8	-0.3095
C9orf140	-1.705
UST6	0.1655
ZBTB8OS	-0.1695
ZNF710	-0.8935
GPR174	-1.2065
ATP6V0A2	-0.66825
KIAA0319L	-0.422666666666667
XKRX	0.461
DOPEY2	-0.173
SDHD	-0.94025
SUMF1	1.6485
OSM	0.93975
OPN3	-0.507
DAGLB	-1.0605
PPFIBP1	0.893
TRIM63	-3.1765
C10orf53	0.195
LYPD3	2.55333333333333
BCL7A	-0.21025
AGER	-1.4415
TCF19	-1.58775
SAT2	0.4245
PFTK1	0.366
GABRE	-3.1595
C15orf38	0.0956
FIS1	0.572
KCNV2	0.3135
CLPS	0.383
PPCDC	-0.793875
FOXN2	0.0806666666666667
NT5E	-2.2042
CD83	0.8015
IL18	-0.0445
VPS16	0.02725
IGFBP2	0.2045
NOTCH2	0.8695
SIGLEC1	1.762125
CD93	5.271
SULF2	1.8165
CEP164	-0.764875
P53AIP1	-0.0981666666666667
TOR2A	-0.283833333333333
ZNF136	0.7405
MGP	1.7267
CCDC144A	-0.4555
TRPC1	1.36783333333333
SMS	-0.943333333333333
MAPK7	-0.661833333333333
RRAGC	0.9695
PARD6A	0.897666666666667
NUB1	0.364166666666667
SYNGR4	-0.778
OR11H12	-0.004
WIF1	0.513125
GCH1	0.69125
OR11H4	0.4005
SLC44A5	-0.057
GPRIN2	-0.397166666666667
LOC401431	-0.02075
CPA4	-1.3111
MELK	-2.39288888888889
IL15RA	-1.0995
CUL3	1.84925
HMBOX1	-0.30275
PODXL	-1.1745
CCT6B	0.913333333333333
COMTD1	-0.479
MUC20	-1.1405
GPX2	-3.482
ITK	-2.329125
FBXL5	1.695
C13orf27	-0.87625
DEFA5	0.537
TRHDE	-0.8245
MTP18	-0.628166666666667
UQCRQ	-0.3552
ITGB2	0.40425
CSRP2BP	1.167
TAS2R44	0.204
PHPT1	0.62225
FAM44C	0.69475
ERH	-0.47625
MPHOSPH1	-1.16866666666667
MORC1	-0.6675
PARVB	-1.21325
LAMA1	-2.25366666666667
PGBD3	0.665
GIMAP6	3.84775
AREG	-4.78983333333333
LIPT1	0.74275
MGC99813	-0.17575
C1orf201	-0.063
GRIN2A	-1.203625
MAN2C1	-1.768625
NSUN5	-0.96075
SF3B5	-0.508
MYC	-2.6726875
NRXN1	-0.131
ZNF18	0.32525
SPDYA	-0.00812500000000002
SLC37A1	0.3515
DECR2	-0.07525
ANKRD38	2.254375
SPTLC3	-0.332083333333333
SUPT16H	-0.58975
DTWD2	0.0105
ULBP1	-0.7545
ZADH1	0.768333333333333
OIP5	-2.6845
IL10RB	-0.274166666666667
OTUB2	-0.653875
VWA3A	0.0541666666666667
SPIC	-0.502
OR6C4	0.1695
PSCD4	1.022
DPY19L2P2	-0.605
TRAPPC6A	0.9085
C21orf2	-0.335666666666667
CEMP1	-0.05075
LIN7B	0.5275
E2F7	-0.988666666666667
VCP	-0.8560625
LAMA3	1.94808333333333
BGN	2.01575
GPR160	1.42816666666667
COCH	-4.95583333333333
GPR81	1.63633333333333
APOBEC3F	-0.05825
tcag7.1017	-0.74775
C1orf32	0.299
SCGB1D2	4.2275
FLJ43987	-0.5645
C6orf170	-0.43975
KLK9	0.087
GPD1L	1.065
VPS37B	-0.51875
ATG3	0.187666666666667
ADAMTS17	-0.676
KLHDC2	0.217166666666667
NDUFV2	-0.87525
BLK	-3.49175
MATN4	-1.9
GPM6A	-0.522285714285714
GBP4	1.87733333333333
TMEM162	0.474333333333333
PKP2	0.2245
HRASLS	0.694555555555556
MMP1	-1.83175
SFXN3	-0.1695
FSD1	-1.39466666666667
ST6GALNAC3	-2.04783333333333
CA12	2.4026
NCOA6	0.648
C19orf58	-0.2952
PPP4R1	-0.2455
MAN1A2	0.142666666666667
IKBKAP	-0.8635
UPF1	-0.437166666666667
KIAA1219	1.04175
WNT16	0.743666666666667
SNW1	0.363875
IL18RAP	1.43475
RPP30	-0.171625
CDC40	-0.352571428571429
SETD3	0.131333333333333
SLAMF6	-0.8405
ELK4	-0.956
TRIM47	0.0055
ACOX3	0.13275
TRIM6	0.9035
KIAA0372	0.192833333333333
TP53AP1	1.5395
SMURF2	-1.5915
ADAD1	0.547
EBP	-0.0963
KRTAP13-2	0.2035
FLJ36874	-1.99083333333333
TOR1A	-0.523833333333333
P2RY4	-0.1265
GPBP1	0.2635
TRPV1	-0.38875
ADAMTS12	1.036
PES1	-1.0278
ATG4A	1.43833333333333
MAGEA10	-4.5215
WFS1	1.7995
CC2D1B	-0.87
PABPN1	-0.2375
SLC25A30	1.01075
SLCO1C1	-0.470333333333333
SLC22A5	1.85875
KIF23	-2.09466666666667
SYN2	-0.962
ASPN	9.05016666666667
CENTG2	0.143
QSOX2	-2.1227
FLJ10815	0.5035
STK24	-0.375375
SPEG	0.5556
STK10	-0.3655
DACT2	-1.997
AAAS	-0.64425
SSX3	-1.59875
ABCD3	1.2701
C4orf12	2.110625
PARVG	-0.23
FIG4	0.3695
C9orf46	2.31675
TMCO6	-0.777
IGHMBP2	-1.38025
DUS2L	-1.17483333333333
FAM3C	1.0290625
TMEM16D	-1.24575
DCTN4	0.73475
KCNH3	-0.592
EIF2AK2	0.49075
AP1S3	0.802875
CST4	0.46
PAM	0.7405625
NUTF2	-1.1035
CITED2	-0.2502
SLC39A4	-0.58925
C2orf52	-0.521
GRM3	0.12375
C12orf49	0.116
CCDC49	-0.3727
GRAMD1B	-1.846875
FNDC4	0.43575
SIAH2	-0.794125
GDPD4	0.56675
C21orf87	0.080375
ATP5A1	0.0075
C16orf63	-0.4835
LOC388135	-0.532333333333333
ATP5J2	-0.84275
MMP3	-1.00375
EMID2	0.1535
CRHR1	0.2255
WDR70	0.8105
C13orf31	1.69025
ZFAND1	0.41825
CCL18	4.352
C3orf49	0.515
RINT1	-0.885
KIAA0408	-1.505
F13A1	5.7018
SLC10A1	0.072
OGN	4.85575
GIPC2	-1.7725
XPO6	-1.4025
LCE1A	0.1825
FMR1	0.822
LOC374920	0.53225
DUSP3	-0.260875
ANKMY1	-0.574
C7orf50	-0.66925
BBS9	0.1746
UNC119B	0.36475
C9orf72	0.802125
MGC35440	-0.555
ENTPD6	-0.3565
PPP1R2P9	0.36075
ERCC4	0.1945
FAHD2B	-0.185
HMHA1	0.233
HACL1	-0.1445
RAD23A	-1.15816666666667
FAM83B	-3.00275
PPP5C	-1.23866666666667
RNASEH2C	-0.637625
C9orf153	-0.1935
SCAMP4	0.5525
GHITM	-0.0957
NDUFB7	-0.028125
ADCYAP1	3.06966666666667
SP110	1.19833333333333
MAP3K7IP2	0.3875
DHH	0.228
AGRN	0.259928571428571
WDR33	-0.3255
CEP290	0.669166666666667
PRPS1L1	-1.22416666666667
KLRA1	0.0825
GPR97	0.1185
CHD7	-2.78425
TLR10	0.26875
SLC30A8	-1.564
HIC1	1.46633333333333
IAPP	-0.5385
RXFP4	0.4215
GP1BB	-0.7385
SHQ1	0.432
NKX2-3	-0.238333333333333
API5	0.33525
FTHP1	0.6175
MOV10L1	1.3095
TRIM6-TRIM34	2.47066666666667
ADHFE1	0.8245
FAM117A	0.0485
DDI1	0.273333333333333
CDON	1.12316666666667
TRIM73	-0.124
IGKC	2.115
MMP14	-0.11425
DYNC1LI1	0.376125
C11orf66	0.4725
TRBV3-1	-2.22433333333333
FASTKD5	0.953
BIVM	-0.552
LHX4	-0.1045
CXCL2	-2.0005
RAB2B	0.198333333333333
IZUMO1	-0.707
MAP3K15	-2.223625
FAM19A2	1.24766666666667
ZC3H8	-0.429833333333333
ZMAT1	2.440125
SPINK5L3	-2.4505
SLC10A6	-0.00700000000000001
APPL2	0.71425
CARD10	-0.00766666666666666
LOC402176	0.398125
EEF1D	0.4339
RAB6A	0.7205
C12orf5	0.035375
PAPOLG	-0.019
MSRB2	1.1365
BCR	-0.294166666666667
PUS3	-0.357
TIAM2	1.88525
ZNF317	-0.0818333333333333
CHD2	0.335785714285714
FZD5	-1.20390909090909
NUDT8	-1.6165
ZNF763	0.725
PRC1	-2.14244444444444
ABCB9	-0.292833333333333
SPATA3	0.48875
TRAK2	1.0365
STAB1	2.259
LRRTM2	0.223
psiTPTE22	-0.5845
DBI	-0.213
SERPINA11	-2.508
NAT5	1.414
C20orf58	-1.82925
RPS6KA4	-0.886
FLJ90650	-0.53175
TGFBRAP1	-0.117
CHRDL2	-0.21
FAHD2A	-0.2675
CNTN1	2.355
BBS4	0.2607
TMEM181	-0.055
MINPP1	1.20375
MPHOSPH6	-0.227583333333333
HOXC10	-1.2984
ITPKB	-0.3555
CLPTM1L	-0.674875
MEOX2	-1.12566666666667
ATP6V0C	0.163875
PRPF8	-1.40833333333333
TMC5	3.742
FKBP3	-0.02825
PLEKHB2	-0.938125
OR4D6	0.6765
ZNF544	0.0679
D2HGDH	-1.102875
RPL18A	-0.6324
HEL308	0.43675
MPP6	-2.85275
TCERG1	-1.46325
KRT16	-1.154
KLF17	-1.556
KLF5	-0.154625
CDR1	5.970125
VCX3A	-3.1705
FBLN2	1.638625
C14orf104	0.10925
HBE1	-4.9904
OR4S2	0.918
C1orf108	-1.00133333333333
ROBO4	3.25733333333333
CPEB4	1.330625
C11orf80	-0.713333333333333
BCKDHA	-0.181
MYOC	0.654
GIF	0.75
CKMT1A	1.039
RPL3	0.7547
THBS1	2.161875
APOO	-0.42925
ARMCX1	2.834
HSZFP36	0.65675
SNAPC5	-0.093
EIF4ENIF1	1.03075
ZNF433	1.0415
TNFRSF21	-1.453625
TMPRSS7	0.6405
SPATA18	1.3873
HPDL	-2.767
MKL2	1.2553
TBX3	2.75115384615385
C21orf93	0.759333333333333
DAXX	-0.89975
ELMO1	-0.00825000000000001
RGS13	2.4968
TAF11	-0.5055
UNC13A	-2.6845
LOC653314	-0.4962
ORC3L	-0.924
IMAA	-3.2315
TARBP2	-1.1225
CABIN1	-0.5488
TRIOBP	-0.086375
HIST1H2AC	2.389375
RGS22	0.460833333333333
NCOA1	1.52916666666667
IL25	1.483
SNCG	-0.461
GPR6	0.2455
AMDHD1	1.322
CHEK2	-1.118125
C6orf142	-1.781
DRD4	-0.26675
C14orf68	-1.19575
GDF11	-1.24975
SEMG2	0.4725
CD247	-2.941
CDAN1	-0.9505
RBMX2	0.899333333333333
TGS1	-0.687
OIT3	1.4045
SYF2	0.8285
MCM4	-2.36425
PKHD1L1	-0.156125
CEP192	-0.213833333333333
IFT88	1.01475
RPL9	0.522428571428571
RAB32	-0.11875
DDX43	-1.69075
P2RX2	0.335
OR5D18	0.7025
UBE1	-0.164166666666667
SLC24A1	1.248125
ARHGAP5	-0.2715
CETP	-1.32325
KIAA1731	-0.822666666666667
SLC9A4	0.421
PTPN6	0.492
BAHD1	0.356
GRIK3	0.2695
CACNB2	0.118
PDE10A	1.36875
DGCR14	-0.43325
PCDHB9	-0.495333333333333
RHOQ	0.838
MAP3K4	0.36375
KTI12	-0.843
RPL23AP13	-0.96225
GNG11	0.0105
CLCN3	1.116
GPAM	-0.69425
VSTM2A	-3.8295
SLAMF7	0.892333333333333
INTS2	-0.719
PPP2CA	0.2398
LRP12	1.08226666666667
SEC14L2	3.29477777777778
DKFZP586H2123	1.10075
MC3R	-0.337
CIRH1A	-1.48683333333333
HIST1H2AB	1.35133333333333
POLH	-1.143125
MGC16703	-1.68216666666667
SNAPC2	1.249
FILIP1L	1.3095
RASGRP4	0.2745
LRRC1	2.68375
GAS1	3.028
PRAC	-1.06125
DGKA	-0.165
NT5C3	-1.15425
PEG3	-2.39933333333333
NADK	-1.92325
PRR17	0.47425
LOC374569	-0.09375
SGSH	-0.626333333333333
NLRP8	-0.37
GALT	-0.2797
MCF2	-0.9265
ZNF263	-0.89925
TACSTD1	0.9195
TYR	-6.318
ATP6AP2	1.2945
RNUXA	0.26725
ABHD10	0.19
GDPD2	0.19725
SLC35C1	0.1975
UBE2A	0.669125
HERC5	1.16466666666667
FAM112B	-4.76366666666667
FBXL16	1.93975
DKFZP434A0131	-0.71175
ELA3A	-1.922
RBM41	-0.045625
HAO2	2.48725
RNH1	-0.06325
SHANK2	1.17116666666667
OSBP2	-0.826875
DAK	-1.89233333333333
C3orf58	1.929
TCL1B	-0.9865
KBTBD2	-0.398625
SUGT1L1	1.4735
UBE2E2	1.35433333333333
MYL9	2.62
CDC23	-0.4705
PBXIP1	1.0992
CXorf40B	0.975
NBL1	1.304
RTBDN	1.895
RAB11FIP5	0.40425
TTTY13	-0.252
SCOTIN	0.0538333333333334
SOHLH1	-0.933666666666667
CDKN1A	0.274714285714286
NCK1	0.22125
ZNF550	0.47675
SAPS3	0.235416666666667
SPIN3	3.13566666666667
MAGEE2	0.541
MIS12	-0.756
OR8H2	0.38
KIAA0774	-0.782166666666667
UNC5D	2.8035
CUL7	-0.913833333333333
LIPC	-2.94716666666667
DIO1	-0.91075
C20orf11	0.6304
CTRL	-0.624
HS3ST2	2.08675
PAK4	0.166
CCRL1	3.9005
RNF10	-0.25875
ZNF567	0.53525
ZNF660	0.7585
TCEAL3	3.62425
MAGOH	1.23283333333333
CENPB	-0.2585
C19orf7	0.62825
LOC388965	1.33575
ZCCHC13	0.6035
JMJD1A	-0.321
HIST1H4H	0.8345
TBRG1	-0.9222
GPC3	1.41975
TAF1C	-0.814875
EBNA1BP2	-0.491666666666667
CIAPIN1	-0.564
PDGFRA	0.138944444444444
CSTB	-0.13075
CENPI	-1.74966666666667
GTF2E2	-0.801166666666667
RPP21	-0.129
CCNF	-1.87433333333333
KCNQ3	1.7335
FAM79A	1.34625
SLC22A12	0.3255
NOVA1	0.375666666666667
FZD3	-0.7445
AKAP8	-1.0455
SOCS5	0.66575
CFDP1	0.38975
DLG5	0.7625
PGM5	0.4155
C1orf144	0.144916666666667
HDAC10	-1.3305
RND2	0.0645
C20orf199	0.00375
RNMT	-0.85
SLURP1	0.11525
ASTN1	0.44475
SH3BGR	1.32125
MYCL1	-1.669875
ZHX1	-0.00733333333333333
CENPK	-2.968
FOSB	0.1448
LOC643406	0.205375
C2orf59	-0.832125
TMEM135	-0.624
SLC27A2	-0.87375
KRT33A	1.555
OVOL1	0.648
PAMCI	0.118666666666667
S100A7	-1.721
ZNF789	-0.93
HARS2	-0.1685
RPL23A	-0.912333333333333
TCF23	0.371
UPF3B	-0.3925
C17orf78	-1.9505
HLA-DOB	-0.157333333333333
C14orf142	0.367833333333333
TEKT5	-0.329333333333333
DMWD	0.0875
POLD1	-2.1095
GSCL	-0.0485
CALD1	0.9617
SCRT1	-0.155166666666667
AIG1	1.967
UNC84B	-1.418
ZNF404	0.548
TMED6	-2.548
KIAA1462	0.1855
LRRC27	1.65466666666667
PYGO1	0.1845
PIGU	-0.178333333333333
ALAS2	-3.92533333333333
WRNIP1	0.031625
CNNM3	-0.3685
ZNF2	0.89225
ST3GAL5	1.261
MRPL23	0.4315
TSSK6	-0.30475
PSMA6	-0.257
C16orf70	-0.3
KIAA1602	-0.1395
ALMS1	0.519166666666667
DCN	4.34325
TMEM132D	-0.50525
SUCLG2	0.2715
ABHD14A	0.384
DEXI	-0.410833333333333
AMPD2	-1.35266666666667
IFNAR2	-0.0231666666666667
CYB5A	1.7315
TLOC1	1.4205
NXF5	-0.798
NRBF2	0.186625
KCTD3	0.45425
ITGAE	-0.527833333333333
SLC30A3	-2.014
ZRF1	-0.7745
IFRD2	-1.295375
XAB1	0.00525
PYCR2	-0.648666666666667
SERPINB3	-2.919
TMLHE	0.8578
GEFT	-1.461875
ABCA5	0.095
EMR4	0.00566666666666666
TSFM	-0.49975
HIST3H2BB	0.5915
ARHGEF19	-0.18975
TSPAN17	-0.446833333333333
ABCC8	4.805
MAP1S	-0.227833333333333
C22orf36	-0.3565
BNC2	1.25628571428571
HIST1H4A	-0.8425
NDUFS3	-0.0306666666666667
WDR3	-0.823833333333333
XKR4	-0.97375
TTC33	0.8195
STMN2	4.0665
CPN2	-0.272333333333333
HSPC105	1.724
PCOLCE2	-5.2835
C3orf55	2.8895
KLHDC9	2.52183333333333
TBC1D23	0.2705
ATXN2L	-1.5615
MAP2K3	-1.48783333333333
SCAP	-0.8885
ZNF486	0.513
C20orf96	-0.485
NARS	-0.3025
ADAMTSL1	-0.256214285714286
PRCC	-0.0623333333333333
CCDC126	2.378
ZNF675	0.4725
CALCOCO1	0.812
ANKRD43	1.847
CWF19L2	0.134833333333333
ZBTB32	0.774333333333333
BRAF	0.2305
ODF4	0.65325
MGC14376	0.968166666666667
HORMAD1	-2.382
AAK1	0.1455
PEBP1	0.790916666666667
TNFSF5IP1	-0.292333333333333
DKFZp564N2472	0.55275
RMND1	-0.002
IGKV1-5	2.00825
COL1A2	4.07766666666667
SERPINA5	0.527375
AANAT	0.4625
C19orf21	0.8205
GEMIN5	-1.059
UBR4	-0.6645
LTBP3	0.286833333333333
AMHR2	-2.02533333333333
PROCR	-0.155
MYBBP1A	-2.172
C20orf39	2.58166666666667
ZNF697	0.161
PASK	-1.0093
ZNF776	0.762333333333333
RFXDC2	-0.58275
KIAA0467	0.34925
C10orf96	-3.07575
ZNF503	0.1405
GULP1	0.650583333333333
KCNE4	2.05783333333333
DKFZp434K191	-1.811625
LOC196913	-0.086
BHLHB4	-0.3755
CH25H	1.2715
LOC81691	-1.70583333333333
ALPL	-0.395
COL12A1	3.98475
FOLR3	-2.49783333333333
GPR123	0.129875
TRIM62	0.533857142857143
ABLIM1	0.138166666666667
MAST3	-0.53025
RHBDD1	0.438
LOC338809	-0.6495
RYBP	0.377
TTC26	-0.405
ZNF22	0.175666666666667
ISCA2	-0.3325
RDM1	-0.35875
PIGM	0.54525
GNB3	-1.9435
ACTR2	0.0672
HMGB1	0.4128
EDG1	2.86883333333333
SOAT2	-3.27675
OR10AD1	0.068
RAP1GDS1	1.52725
LCE1F	0.3015
ESM1	1.057625
RCN3	2.451
CREBL1	-0.82425
DBNL	-1.11933333333333
PTGER3	3.5685
USP30	-0.057
BCL2L12	-0.938333333333333
KIF26B	2.71825
ZNF416	0.5865
ZNF225	0.135
C17orf70	-0.23675
ZNF554	1.20275
RAE1	-0.7105
TNIK	-0.476
ACTN3	-0.47
MGC45922	-0.288
CCNA1	1.0955
RYK	0.7975
IL26	0.2785
LRP3	0.126833333333333
QARS	-0.833
SOX7	1.01135714285714
BID	-1.44275
OR2S2	-0.189
CXCL14	3.734
C11orf47	-0.199
MGC29891	-0.26
HSPB8	1.8737
PRDM14	-1.461
NUFIP2	0.075
MNAT1	0.034875
ZDHHC2	0.0973333333333333
MBNL2	0.908625
ADD3	0.072875
CSNK2A1P	-0.90675
KLK6	-2.01216666666667
TMEM111	0.6037
KIAA1279	1.22675
NUBP2	-0.847166666666667
RAB42	-1.31975
ID3	-0.7158
TM9SF1	0.38175
MDP-1	0.78975
POU4F2	0.34175
IQCK	0.95375
C16orf14	-1.15375
CAPN3	-1.808
FAM43B	-0.748625
RECQL	-0.38525
AP1G1	-0.0657142857142857
CTNNBL1	-0.533333333333333
ECHDC1	-0.431
SMARCC1	-0.989
FOXQ1	-1.64425
GNAI3	0.0703333333333333
POLG2	-1.378
CD4	0.456625
ITLN1	-0.96325
EBI2	2.10475
IRF1	-0.85875
PTPRE	2.1144
PTK2B	-0.91775
NXNL2	1.1525
SOX4	0.750944444444444
TSPAN3	0.166833333333333
SH2D1A	-4.928
C8orf58	-0.531
USP20	-1.376
DUSP22	-0.646583333333333
CALB1	-2.59816666666667
L3MBTL2	0.964166666666667
MCRS1	-0.708
TMEM118	-0.502166666666667
C18orf8	0.311666666666667
FLJ10241	-0.354
GJA12	0.46525
PKD1	-0.487166666666667
ZFP3	-0.0185
JAM3	-0.096125
LAPTM4A	1.9558
DIRC2	0.6005
KIAA2022	1.22633333333333
MYOM1	1.1425
TRPM8	-2.68316666666667
MOP-1	0.17525
PHKG2	-0.3355
ZNF650	0.600875
KIAA1522	1.334125
PSG8	1.051
DDX19B	-0.4255
MOBKL1B	-0.1435
DIAPH2	0.17175
PTPN12	0.662
CLN8	-0.7492
CRYZL1	0.374166666666667
CRY2	1.17908333333333
FCGR2B	3.39683333333333
PNPLA4	2.4285
ZNF454	1.2495
DKFZp434B1231	-0.22275
CLDN11	0.243
RFWD2	0.291333333333333
CIB2	-0.288166666666667
MXRA8	3.70825
HRK	-1.51725
MAML2	-0.42175
C4orf31	2.384
C6orf192	0.14075
COG6	1.563625
FAM5B	5.903
NFATC1	0.8031
SEPT10	0.85725
SCYL1	-1.2465
RPP40	-0.931
SCOC	1.3189
KIAA1450	0.7795
CTDSPL2	-0.355
TBX5	3.22566666666667
NAPG	-0.5355
RHD	-5.634
C14orf45	2.6375
ZBTB22	0.6015
PLCG1	-1.546
ANKRD10	-1.416625
AQP7P2	-0.1655
TAGLN2	-1.0635
HTR2C	0.297833333333333
SLC16A7	0.577833333333333
C17orf83	0.00866666666666667
TSGA14	0.168333333333333
MDH1	-0.1665
PPP3R2	0.0753333333333333
DCBLD2	-1.64457142857143
RBM33	-1.100625
DPH3	-1.335
SYT10	1.91966666666667
FMO4	2.154125
THYN1	-0.55
DRD5	-2.2225
OTOR	0.68975
PGRMC2	0.4544
KATNAL1	0.408375
PAQR6	-2.184
UBE2I	-0.8395
C14orf28	0.83725
C8orf70	0.98325
FLYWCH1	-0.680375
ANGPTL3	-0.535
GLRX2	0.0535
ATP11A	-0.763285714285715
ARL5B	-0.656
MUC16	-3.036
SLC25A5	-0.455357142857143
ACRC	-0.59025
MYO1C	-1.025875
FAM89B	0.272166666666667
FAS	0.836
KIFAP3	1.267
GLRA2	-0.064
BTN3A2	-0.4555
CNKSR3	-0.370625
CSTF3	-0.4435
ARPM1	1.37225
KIAA1530	-1.2355
C9orf150	1.89333333333333
PRKCI	0.04975
tcag7.1015	-1.30975
SOD3	-0.86025
ZNF574	0.14525
CYP21A2	1.808
RPL12	0.46
COMMD2	-0.52925
WIZ	-0.00774999999999999
LOC344405	-0.9295
ALDH4A1	-1.00135294117647
CRYAB	1.751
COPA	-0.0191
PCDHGA7	0.0376666666666666
KIF11	-1.70775
RASD2	0.34
SLC26A3	1.705
ZNF175	-0.072
JAKMIP2	-1.46225
C8orf4	6.09083333333333
PTHLH	1.1655
SLC40A1	3.84525
OR7D4	0.281833333333333
PCDHB17	-0.1125
CD36	0.469214285714286
C6orf203	0.2955
PRKG2	1.008
LOC400566	-0.05275
ANAPC13	0.45975
SLCO3A1	-0.4445
ZNF692	-2.1465
FANCL	-0.276
SH3GLB1	0.59075
C12orf61	0.1345
KBTBD6	0.93275
SUPT5H	0.004875
XRCC6	-0.216
HUS1B	-0.7399
FAM133B	0.00328571428571428
LOC728276	-0.127
KCTD18	1.28925
SOS2	0.921166666666667
CCDC99	-1.529
C1QTNF5	4.0405
NNAT	0.0588333333333333
USP16	0.36325
LARS	-0.9015
ZBTB2	0.535875
ABO	0.260833333333333
TRAF3	-0.4095
GALNT5	-0.596
NAP5	1.66075
ALG14	0.980166666666667
KIAA0515	-0.186615384615385
WDR75	-0.257166666666667
TEX261	-0.0465
LY86	1.20575
LOC389072	-0.541
FLJ13611	0.43025
MRGPRX2	0.5945
SNRPA	-1.265
OR2G2	0.091
GPRASP2	2.643
C7orf42	0.4293
C9orf163	-0.308
CYP11B2	0.76
FCRL3	0.4655
PRDX1	-0.581
FGB	-6.74783333333333
COX17	0.941833333333333
C16orf33	-0.535
PIWIL1	-0.401166666666667
FOLR1	-2.12183333333333
KIAA0082	-0.90425
FREQ	-0.335
TMCC2	-1.46133333333333
TCF12	1.01608333333333
ZNF721	0.80425
FAM130A2	1.132
POU4F1	-2.50275
SNRPF	-1.197125
SGIP1	3.13683333333333
ZNF641	-0.0571666666666667
EMG1	-0.523
PRRG4	1.322
HIRA	-1.51175
MYNN	0.605833333333333
AEBP2	0.0481666666666667
TBXA2R	0.654666666666667
ISL2	-1.97466666666667
PCDHB11	0.2775
RNF144A	0.54425
MARCH5	0.607125
DULLARD	-0.550833333333333
DCLRE1B	0.367
ITGA8	2.987
TP73	-0.10275
PRKCD	0.326
NDUFB4	0.2125
ATP13A4	-0.112375
ANTXR2	-0.2
COL4A3	-1.53066666666667
MYO10	-1.0242
SLC6A18	0.34975
PEX1	0.161
TMEM74	-1.093
RBM19	-0.70575
TAPBP	0.3172
RUNX1	0.851625
MID1	-1.82008333333333
GPR64	2.12283333333333
RASEF	2.6415
GABRG1	-0.14525
MYO16	-1.6725
DBF4	-1.43016666666667
TSHZ2	2.008
RIPK2	0.024875
PPTC7	-0.124
KIF4B	-1.3325
LRRC31	-0.140875
ZNF540	2.693
EFNB3	0.561833333333333
LOH12CR1	0.56475
STON2	0.475666666666667
GLP1R	1.69775
CSTF2T	0.278875
IREB2	-1.237375
GRSF1	0.2675
PDCD7	-0.799333333333333
LRRC43	-0.0885
CNR1	3.43566666666667
IL1F7	-0.62
C12orf64	-0.298
FAM69B	-2.113
