Hybridization REF	TCGA-B6-A0WY-01A-11R-A109-07
FAM129A	0.246928571428571
ILF2	-0.85225
FGFBP3	-0.76525
NOM1	-0.8915
PSMA3	-0.00925
ASCC3	-0.1573
ZYG11A	-1.29725
SOX21	-1.462125
LYRM1	-0.066
DEFB1	1.9695
LOC91431	-3.34216666666667
OR7C2	0.799
FAM46B	0.407375
TMEM18	-0.058125
ARHGAP30	0.481
TMEM86A	2.82475
EPHA2	-1.60766666666667
C10orf46	1.0081
TCHH	-0.865
C3orf30	0.166166666666667
LOC285636	-0.2685
PAIP2	-0.0465
CYP2U1	-0.115375
C12orf34	0.7065
SARS2	-0.0433333333333333
ZCWPW1	0.74575
SAMD12	1.933
KIAA1430	-0.072125
ACAT1	-1.37875
MEOX1	1.918
ADAMDEC1	6.1745
PHKA2	-1.1685
CARD11	-1.20783333333333
CALML4	-1.432
TSSC1	-0.6545
TMEM45A	-0.396555555555556
MPP7	1.304875
POU1F1	0.747
SLC2A13	-1.2036
FBN2	-0.277857142857143
ZC3H7A	-0.3102
LAIR2	-0.04825
ST3GAL1	1.27083333333333
LCT	-2.369
GEMIN8	0.694166666666666
KLF16	1.1025
HIF3A	-0.4088
FAM44A	-0.00585714285714284
AQP10	-0.8105
PLA2G2A	-1.5305
FOLH1	1.19716666666667
C20orf186	0.242
MAPKAP1	-0.6635
SPRR2D	-1.29
UBQLN4	-0.715666666666667
RSHL1	0.559333333333333
PIAS3	-0.046
MRPL24	-0.178
GREB1	-0.732625
FAM27E3	-1.822
NUP62CL	-1.7785
NEUROG3	1.832
REEP3	1.11441666666667
MARK1	0.560125
LMBRD1	0.42575
PRPF19	-1.5195
PNMT	3.52
CTGLF1	-1.832
SLC25A16	0.0805
EIF2B3	-1.497
RPA2	-0.67675
PAK6	1.89883333333333
CCDC26	-3.97075
SEMA3E	2.560375
MXD4	1.0245
TNFSF10	3.9189
SMARCB1	-0.199
DTX3L	1.75583333333333
PLA2G4E	0.4385
PPAP2A	1.79875
ULK1	0.148416666666667
TAS1R3	-0.0805
SLC2A3	-3.44236363636364
ARID3A	-1.738
GNG5	0.0225
ACOX1	-0.2267
KIF5B	-0.447
NUP153	-0.93225
MUC7	0.3775
CSDE1	-0.602714285714286
CLPTM1	-0.3225
C3orf23	-0.619
LRRC17	0.137833333333333
TTYH3	-0.9935
ATP5B	-1.039
ELF3	1.096
CPSF3L	-0.1375
ZNF665	-0.0148333333333333
TLR6	0.2272
GPI	-1.084125
RAD9A	-0.348
NDST4	-3.6055
AGPAT3	0.5585
MAGI3	1.46316666666667
ADORA2A	0.99325
CACNG7	0.071
CAMK2D	-0.6165
CCHCR1	-0.764
RPS27A	-0.13175
OR10G7	0.195166666666667
GCM2	-0.0635
FAM135B	0.7287
E2F1	-1.41825
PLCB3	-0.15075
OR2AE1	0.08
COIL	-0.481833333333333
CDC25C	-1.63516666666667
RAB11FIP2	0.157666666666667
TSC2	0.19275
CTGLF5	-2.3195
CCDC108	0.8863
OR13C4	0.35
C10orf81	5.785
PTPRB	1.96075
ACP2	-0.0655
LAG3	1.5225
MRPL54	0.5035
LOC201175	1.8565
ITGB1BP3	-1.6005
SPTAN1	-0.0868333333333333
SIPA1L2	-0.56075
RCAN2	0.102
CDX2	-0.4955
ECOP	-0.25175
ACTR1A	0.776142857142857
PPARG	-1.6875
BBS10	0.387
TMEM44	-0.891875
BPIL2	-0.025
CITED1	-0.1805
IRF6	3.997
PRDM4	0.284
RRP9	-0.567166666666667
OR10H4	0.27825
IL31RA	-0.3285
GNB1L	-1.079
MYBL2	-1.770875
ZNF407	0.391666666666667
PPIG	-0.674666666666667
TTC18	2.03975
RPSA	-0.361
MAPT	1.4215
MRE11A	-0.0798571428571429
C8orf37	-0.0341666666666667
RASGEF1C	-0.4955
STBD1	-0.23775
CTAG2	-0.556833333333333
MGAT5B	-1.94583333333333
ECM1	-0.04525
RLN1	1.113
PARP14	1.7270625
EPB41L1	1.2538
HOXA3	0.610583333333333
MAGEA9	-4.073
RPS8	-0.564833333333333
RPS19BP1	0.5735
FOXJ2	0.26575
C10orf76	0.572375
IL17RE	0.3
C10orf65	-0.3745
ZNF343	-0.168666666666667
FBXO33	0.59175
UHMK1	-0.0172
LY6G6C	-0.0975
FGF19	-1.4745
C14orf128	0.386833333333333
IFIT2	4.0605
TIGD1	-0.4995
S100G	5.927
GUCY1B3	1.982
NR3C1	-0.3425
CORO1B	0.255833333333333
PARP11	0.93775
DNALI1	4.44433333333333
OR4N4	0.4145
MAP2K6	1.0525
FSTL4	1.21975
ANKRD47	1.30825
TMEM171	-0.8795
PNLIP	0.23675
YY1	-0.3635
CCDC138	-2.12383333333333
AASDHPPT	-0.6078
CKS1B	-0.967
MCM3	-1.18733333333333
ANAPC7	-0.571833333333333
FAM110A	1.6345
CDC37L1	0.836833333333333
THTPA	0.92725
NBPF20	-1.2735
WDR24	0.141
NPTX2	-3.68
CBLB	0.856333333333334
CETN1	0.341
RPUSD1	0.2825
FAF1	-0.8415
CDK6	-2.5172
HMX2	-0.483
CSK	-0.437833333333333
TEAD2	0.5245
SNAP25	-0.47925
TUFT1	0.0749
TMTC3	0.9905
LCK	-1.8725
SGOL1	-2.1525
AKTIP	0.58825
FURIN	0.04275
SOX12	-0.5165
DEFB103A	-0.72775
RAMP1	3.12775
KIR3DX1	0.4235
GAS2L3	-1.017
PDE8A	-1.5815
EDN3	7.03625
GMIP	1.01425
SF3A2	1.64225
FN3KRP	0.176
SMAD7	0.263
RHBDD2	0.3655
OR11H6	0.8385
PPP1R3B	0.7853
C9orf23	0.28125
CADPS	-2.4065
GOLGA8A	-3.458625
TMEM57	0.268166666666667
RGL3	0.2345
S100A14	2.37775
FGFR2	1.0091875
XRCC3	-1.1475
RTN4RL2	0.692
MGC3771	0.861
GH2	0.548333333333333
BTBD2	-0.01925
LMO2	0.09325
RDBP	-0.100125
ACRBP	-1.6805
AMY2A	0.299
DUOXA1	0.133
PTK7	0.4115
TWF2	0.357333333333333
FAM80A	1.015
TNNI2	-1.962
GLT25D1	-0.365166666666667
OCC-1	-1.95225
CYC1	-0.0306666666666667
RPL22	-0.179772727272727
MORN3	1.35333333333333
DISP1	1.40925
PRB2	0.14
CHUK	-0.84225
HR	0.318875
CCDC134	-0.0035
DENND4B	-1.3935
C14orf130	-0.103
RAB33A	-1.35
DCST2	0.1435
TNMD	-1.5265
PEX7	0.58825
FAM62A	0.212375
SRD5A2L	0.439
IL22	-0.0255
RPS26	-0.399166666666667
HOXC5	0.5765
SPATA6	1.00375
FLJ38482	-0.24475
ZNF234	0.6525
C18orf22	0.95825
SPATA22	0.824
THOC1	-1.743
CYP7B1	3.19475
KCNC3	0.72775
C8orf42	-0.777
ALDH1B1	-0.283666666666667
CCDC100	-0.3649
ARMC4	-2.99975
FAM18B2	-0.046
SLC44A1	0.721625
FBXO17	-0.9285
C6orf107	-0.28775
C19orf29	-0.66425
ZC3HAV1L	-0.15475
PARP6	-0.2646
SULT2A1	-4.4165
C1orf159	-0.5315
TMC1	-0.857333333333333
CHST14	0.066125
GAMT	-0.2185
SMCP	-0.077
TSPAN33	0.779416666666667
MIDN	-0.099625
NOX4	2.425
RNASEN	-0.6725
TBX1	0.4385
SALL2	0.818
C10orf35	1.31725
CYP2E1	-0.77775
LRFN2	2.22483333333333
ACO1	-1.611
IQCG	0.754
MEGF9	1.1305
TM7SF4	1.2065
PLEKHA1	0.858533333333333
STK33	-2.2885
C1orf210	2.28175
SNUPN	-0.0631
KIAA0406	-1.0434
C20orf29	0.753
TMEM55B	-0.1285
OSTM1	-0.895875
CLCN7	0.31625
OTP	0.2815
FLJ23049	-0.51075
HEATR4	0.1705
MAP3K10	1.47833333333333
PCDHGA9	1.1325
AMDHD2	0.647
LCTL	-1.1275
PDCD2L	-0.0985
CABLES2	-0.373
SLC5A9	-0.46425
CLCA2	2.87416666666667
MGC16025	-1.185
STRAP	-0.902833333333333
C20orf196	-0.0525
RRBP1	0.51
NAT13	-0.86375
MAT2B	0.306625
CSNK1D	-0.5655
KIR3DL1	0.263
PRKAG3	0.508
ZNF599	0.519
PRM3	0.7645
PER2	1.17833333333333
ASPHD1	-1.4455
PRMT6	-0.615
KCNE1L	-0.334428571428571
FAM118A	-0.871833333333333
TAF4	-0.4075
NDUFB6	-0.1415
TRIM9	0.498666666666667
PMFBP1	-1.5755
KY	0.556
DKFZp762E1312	-2.70227272727273
CSMD1	-0.86975
TBP	-0.587333333333333
OR1Q1	0.359333333333333
RETNLB	-0.29775
HPGD	0.362785714285714
DNAJC12	1.49283333333333
FKBP1B	-0.656
ANKRD24	-0.503
CXXC5	1.84716666666667
IL3	0.162857142857143
DRAM	1.0402
PTCH1	-0.4095
TP53BP1	-0.377
SLC17A7	-0.02675
COL25A1	-1.25644444444444
AMACR	0.0998333333333333
RHCG	-0.3145
VPS13A	-0.547
FAM55D	1.0755
PRPF38B	-1.3035
OSBPL6	0.3245
PFDN5	0.713
CMTM6	0.655875
KCNK12	-1.05775
RP2	-0.16075
C16orf52	-1.46275
PICK1	0.4245
IFNE1	-0.8625
SEMA4B	0.48675
TYRO3	-2.44575
OR12D2	0.1935
CSNK1A1	0.7056
FANCF	1.16475
LONP2	0.72275
TBL1Y	0.15425
LDOC1L	-0.31525
CCNC	-0.76125
C3orf60	-0.005
CHKA	-0.7435
UBAP1	0.2105
MAP3K1	2.0255
ANKRD9	-1.32875
FAM92A1	-1.11566666666667
GAB2	0.622875
AZU1	-0.86275
DIS3	-0.505166666666667
C21orf109	-0.55475
IQCB1	-1.05775
SPATS2	-0.286166666666667
EFCAB3	-0.49775
PRB3	0.393
FUZ	0.228166666666667
ZNF813	-0.424125
BMPER	-1.53666666666667
HEG1	-0.1635
ALS2CR11	-1.11
SURF2	0.3565
PSMC1	-0.0914166666666667
OR2D2	0.3485
SLC7A8	2.16933333333333
C4orf40	-0.1175
SPATA7	0.416
MAZ	-0.638416666666667
PIN4	0.111
PDE1A	-0.973125
TAF6L	0.186333333333333
OR2T34	0.2545
KIAA0284	0.2275
ACADS	0.394454545454545
MKRN2	-1.261
C18orf56	-2.94875
MS4A6E	0.274333333333333
GALNT4	0.8885
C22orf31	-0.00199999999999999
FLJ36070	0.1215
PSME4	0.107
TFG	0.7848
EPHX2	0.4445
ANXA5	-0.117625
KRTAP1-1	-0.2954
BATF	3.05325
KARS	-1.093
MSTP9	-0.00299999999999999
GPR26	0.102
CCDC72	-0.3275
TEF	1.391
FOXK1	-1.0303
PRLHR	-0.051
EMX1	0.88175
C11orf30	0.0045
ICK	0.729125
THSD7B	0.786
C21orf100	-0.5635
DUOX1	1.2805
EFCAB4B	0.17275
UBE2G2	-0.771833333333333
C3orf54	1.3995
PARP1	-1.21975
FAM60A	-0.614083333333333
C6orf146	0.0532500000000001
OR9K2	0.1345
DDX55	-1.24233333333333
RPS15	0.211916666666667
ZNF618	0.968875
DKFZp686D0972	0.743
SSPO	-1.4245
SHFM3P1	0.061
CPA6	0.836
JAG2	1.2585
DEFA3	0.21125
PPBPL2	0.141833333333333
CD34	4.176875
SLCO4A1	-2.923125
AFG3L1	-1.76583333333333
SHD	-0.59425
RP13-122B23.3	-0.713833333333333
PRKCSH	-0.634
DPH5	-0.376166666666667
HLA-F	2.69225
TBC1D4	0.58025
RIG	0.399833333333333
GLUD1	-0.129833333333333
HNRPCL1	0.11175
HBXIP	-0.471
RNF207	-1.0625
APIP	-0.8615
PLA2G3	-2.69083333333333
CCDC84	-1.99575
MYLIP	0.373384615384615
PHIP	-0.206
AARS2	-0.454833333333333
DHX32	0.4085
SCAPER	-0.381666666666667
MEN1	0.0575
NIP7	-0.60575
FLJ25404	0.2515
FASTKD3	-0.62325
TMEM158	-2.428
RARA	1.7685
BDH1	0.691
ANKRD16	0.7895
CARM1	1.143
SS18	0.131166666666667
IKZF2	0.24375
MYD88	0.30575
PML	1.0486
TAF1A	-1.6385
CBFB	-0.708875
HIST1H3H	0.52
C7orf29	-1.90175
COMMD4	-0.415
DPP3	-0.025
DAB2	0.816125
LOC388882	-0.2735
YPEL4	-0.127875
AGBL3	1.55325
LRP6	0.3077
SERPINH1	-0.121416666666667
TLE1	-0.3635
CD244	0.234166666666667
ZDHHC15	-0.2915
MGLL	0.4367
PLDN	-0.7715
LOC654346	2.5395
FAP	3.07275
GPR37	-0.24
SCARA5	0.445166666666667
EBF4	2.19
LSM6	-0.619
MLLT1	-0.4396875
SLC5A12	-0.5645
A2BP1	-1.356
COPS5	0.201833333333333
TPM4	0.0815
TNFSF4	0.5415
ACADSB	1.62677777777778
HERPUD1	0.707
BCL2L11	-0.259888888888889
CEP78	-1.547
CDCA3	-1.553
WBSCR19	-0.2799
MYO1A	-2.5465
PPEF1	1.95566666666667
LOC440348	-1.3395
CPEB2	0.24125
BPTF	-0.188333333333333
RPL21	0.0483125
GSX2	0.6165
ADPRH	1.316
C17orf68	0.322666666666667
KCNS1	-0.850666666666667
MLLT6	0.1009
PIWIL4	-0.58625
RNF26	-0.70675
RAP1B	0.324875
ADAMTS1	-1.77
ZNF571	0.84675
P2RY6	1.498
TRIM21	1.51933333333333
CADM3	0.79775
NLRC5	0.305
ADRA2B	0.502166666666667
LOC90835	-0.459
PCF11	-0.30325
LOC400451	1.73425
GLTSCR1	0.9356
C17orf88	-0.6685
CDH16	-1.25175
FGF7	0.5665
PCSK4	1.34333333333333
NPC1L1	-1.0015
TAT	0.606625
TBCA	-0.0915
MGC33407	0.03975
GPR115	-0.962
CYGB	0.1725
FNBP4	-1.41266666666667
C12orf43	0.02925
CBL	-0.3648
CLECL1	1.645
PPAPDC1A	1.8365
WDR25	0.0906666666666667
SGCA	1.055
C22orf29	0.138833333333333
YIPF1	0.928
GALK2	-1.05675
RAB3B	-1.18016666666667
LOC440087	1.20575
UCP1	-0.5015
REEP5	1.598875
FADD	0.3125
FOXA1	2.788875
CACNA1A	0.456166666666667
ABI1	-0.0218333333333334
GRIN2D	2.02575
SLC1A4	-0.2195
LOC401127	-0.62525
HINT2	0.575
PLD4	0.974333333333333
ZNF286A	-0.5755
ENY2	-0.1695
IL1F6	0.8005
PXDNL	2.13325
C20orf79	0.42275
TNFSF13B	3.47316666666667
DENND3	0.196
JARID1D	-3.49525
HIST1H2AK	1.734625
LOC93349	0.0102
SSH1	-0.6132
ENSA	-1.3375
LOC219854	-0.088
CKAP2	-1.0337
DKFZP564J102	-0.5025
MGC87315	-0.379
HNRPAB	-1.098
AMH	-1.866
ZNF526	0.7265
BRUNOL5	-0.338
CACNG3	0.205833333333333
TRPM1	-1.861
PPP2R1A	0.093625
COL2A1	0.0535
DDN	-0.515666666666667
FLJ25770	1.03033333333333
HK2	-0.884
ELOVL6	-1.368
MDK	0.18475
EPHX1	0.331
RASSF2	0.437625
DKFZP434B0335	-0.31475
DLX3	0.26925
PRTN3	-0.61125
AVPR1A	0.597
C21orf125	-2.0655
TNFAIP8	-0.353166666666667
GNB2L1	0.07825
CALCRL	2.45025
SCGB2A2	8.43433333333333
UBXD7	0.15525
ZNF674	-0.7255
TMEM35	0.903125
BRSK2	-0.25225
HECTD3	-0.263
TMEM188	-0.479666666666667
LGALS9	2.89875
SCARB2	0.777833333333333
USP34	-0.307666666666667
C17orf28	1.71325
ZDHHC23	-0.178
AQP12B	0.299
SLC16A3	-1.15625
APLP2	0.151
ITIH2	-5.41725
MICAL3	-0.693
TNNI3K	0.2605
HDAC2	-0.114
PRR7	0.6414
THBS2	-0.217875
LOC751071	-0.0676666666666667
CA2	2.56683333333333
RANBP17	0.603
RLN3	0.163
CRYZ	-1.071
GBAS	-0.195333333333333
TAS1R1	0.485
MPZL3	0.7705
PCDH8	-1.03675
HSP90B1	-0.26025
KCNK15	1.912
TNIP2	0.0968333333333333
GPR146	-0.08575
NOL6	-0.362125
SPC25	-2.52488888888889
STEAP2	1.89785714285714
VAMP3	0.156833333333333
TCIRG1	-0.21525
ZP4	0.297666666666667
PARL	0.34575
TRIM39	0.508166666666667
KIAA1305	1.354
CRNN	-0.016
GRN	0.51925
HSH2D	0.22275
SCAMP1	0.6376875
KIAA1913	1.42475
PTS	-0.58825
BANP	0.273571428571429
PRKACG	0.239
ADCY6	-0.0236666666666667
C16orf46	0.498
CYP51A1	-0.0255
DDC	-3.44675
ANPEP	-0.2645
PROM1	1.208
SIGLEC10	2.3105
COPG	0.0625
FAM26E	1.127625
TRIP4	0.44175
SNX3	-0.304833333333333
C1orf175	0.506166666666667
PPY2	-0.6735
C14orf152	0.27075
FTSJ1	-1.22116666666667
DST	0.90835
LOC554235	0.238
GLRX5	-0.4875
C20orf12	1.0683
CAB39	-0.0595
MSH2	-1.79216666666667
PIP4K2C	1.0395
CYLD	1.020625
WTAP	0.2009375
MGAT4A	0.636666666666667
TSC22D4	-0.4541
CHRM2	-0.69
PPYR1	0.181166666666667
CCNH	-0.0385
RRM1	-1.05825
ECAT8	-3.6155
LOC400120	0.016
GABRA4	0.1475
C14orf4	1.05816666666667
C1orf59	0.156
CTDSPL	-0.211
NHEDC2	-0.9005
PDE11A	-0.5503125
KLHL29	0.7945
CD5	-0.7137
TSPAN9	1.7905
WDR67	-1.0785
THUMPD1	0.3927
C18orf17	-0.0585
CLYBL	0.498833333333333
FLJ13231	-0.600875
CMBL	0.464625
LECT2	-0.19725
NKAPL	2.50366666666667
LOC654780	0.433
OR4C6	-0.3565
RAB30	2.01966666666667
TSSK4	-0.3565
TMEM163	1.9365
OSBPL11	0.09775
GNB5	-0.884333333333333
CCL21	0.6145
C1orf121	-0.346833333333333
FMO2	2.994
RPTN	-0.4435
MSTN	0.446
VCL	-0.299785714285714
FYTTD1	0.41575
C11orf1	0.38225
CCDC88C	-0.13425
HFE	-0.3995
MOGAT1	-0.1485
FAM125B	0.709666666666667
IRGQ	0.3375
RAVER2	0.34725
AKAP5	-0.5525
SSSCA1	0.1965
C11orf63	0.78925
ACTG2	3.0067
PORCN	-1.06
DTL	-2.56254545454545
TMEM151	0.3845
FAM122C	-1.05975
RSAD2	4.2342
BAT4	-0.097
KRTDAP	0.2935
MYH8	0.605875
CRTC3	0.22425
LRRFIP2	-0.2111
INTS4	-0.423166666666667
TTN	-1.21333333333333
SLC26A5	0.3045
PLLP	-1.373
RGS6	-0.5355
SRGAP3	1.531125
ZNF525	0.061
NBR2	-0.125333333333333
C13orf1	0.00869999999999999
ZNF137	-0.6395
CEP27	-1.651
BEST2	0.2335
RNF121	0.13
DMRTC2	1.0345
C8orf76	0.36275
BCCIP	-0.40875
MEST	-0.6805
HTRA2	-0.24
ANGPTL2	1.502
ILKAP	-0.666166666666667
ERAS	-0.248
HBS1L	-0.73
CPA5	0.5135
TMEM30A	-0.0518333333333333
CD300LF	1.92516666666667
WISP3	4.3545
CRK	0.228642857142857
PDS5A	-0.771
BRPF3	0.276666666666667
NEDD9	0.17425
SMPDL3B	1.47325
PSG6	-1.19025
PSMD13	0.507
ETV5	-0.484125
OR51A4	-0.094
BTBD7	0.4175
GSTO1	-0.57825
hCG_16001	0.824
MAD2L1BP	0.162166666666667
COX6A2	2.241
SCNN1A	2.69366666666667
LSM1	-0.375833333333333
UGT2B11	-2.7
IDUA	0.647
PPP2R3C	-0.605666666666667
COX11	-0.795333333333333
PDZK1	-2.43825
ZNF443	0.802
MGC21874	0.788333333333333
ZNF323	1.2464
KRTAP10-10	0.215
CXCL6	2.25925
SLC34A2	1.5606
LOC284402	0.377
NPTN	1.34825
UPP1	-1.85208333333333
SLC6A9	-0.199
OR7G3	0.3085
CISD1	-0.406333333333333
ZNF545	0.005
SYT14	-1.1125
NT5C3L	-0.110166666666667
ZNHIT3	0.08
SNRPD3	-0.23825
KIAA0701	-0.1655
UNC93B1	0.606666666666667
GMNN	-1.401375
SPCS2	0.475333333333333
LOC388524	0.236
NAPRT1	0.28975
PNLIPRP1	0.372666666666667
OR6V1	0.526
PRKAB1	0.0485
EYA4	-2.74166666666667
KIF20A	-2.11475
ALG10	-0.133
ITPKC	1.00833333333333
LMX1B	1.2375
RPUSD4	-0.805166666666667
C7orf34	-0.2455
DLGAP2	0.537375
PFN1	-0.554
MICALL2	-0.534583333333333
ZNF654	-0.4565
SS18L1	-1.0465
SLC16A8	0.727
MKI67IP	0.125666666666667
ITGB3	-0.067125
TCEA3	1.91141666666667
CEP152	-2.3520625
CLIP1	0.504625
ZNF75	0.0781875
ATP5C1	-0.559333333333333
NUDT5	-0.3745
PSCDBP	0.30125
UBP1	-0.529
RBM27	-0.1035
C13orf15	1.912
ZNF282	-0.1435
ZNF222	-0.4313
COL10A1	6.3725
PRDM15	-0.98925
TTTY5	0.2355
FAM9C	-0.796454545454546
C20orf67	0.23475
GNG13	-0.374
F12	0.00150000000000001
C1orf41	-1.11775
CPXCR1	-0.2035
GSK3A	0.012125
SUPT6H	0.0633333333333333
PI16	1.158
ELL2	-0.67775
C9orf167	-1.91433333333333
PVRL3	-1.6586
FLJ38596	0.71425
ADAM20	-0.3315
GPR89A	-0.9415
GPR87	1.1555
ZNF30	0.4255
SMR3B	0.269
ZNF770	0.0945
TRPC4AP	-0.412
DKFZP686E2158	0.380833333333333
C2orf28	-0.192166666666667
FREM1	0.154833333333333
LAMA4	0.6275
ADPRHL2	0.36375
EIF4G2	0.4675
GUCA1A	-0.668
CTNNA2	-1.487625
NUDT15	-0.774833333333333
CEPT1	-0.693
ZNFX1	1.2909
CCDC92	1.03625
TDRD1	-1.0645
KCNK5	-0.432833333333333
ETNK1	-0.332
LTA	0.45
TTPA	0.12
B3GALNT2	-0.254375
SC65	0.0313333333333333
PEX5L	-1.183125
EPS15L1	0.08825
MGEA5	-0.3965
HIST1H3A	0.492
ING1	-0.084125
BCAT1	-2.96225
ORC6L	-2.88036363636364
KLK11	-3.88166666666667
C19orf28	-1.2655
DNER	-3.920875
MED22	-0.5675
ETV6	1.35975
CHAC2	-2.38525
CD300E	0.1725
CEBPB	0.817666666666667
ZNF398	-0.6655
LRCH3	-0.018
HMGA1	-1.374
CAPN7	-0.453833333333333
MGC5566	-2.31825
CCL3	2.265125
NANOS1	0.566375
ZFYVE19	-0.5385
APITD1	-0.791333333333333
PARD3	0.71975
IRAK4	-0.208833333333333
SERPINI2	0.094
CEP170L	-1.0975
TTC9	1.64875
MYOM3	0.94825
MLPH	0.96425
LOC222699	-0.1095
NRG1	-0.2275
TBC1D9	2.32245454545455
TTK	-3.13516666666667
ZNF557	0.3248
DDX41	-0.1375
FANK1	2.325
UBE2D2	0.160375
PSMB10	1.61425
MYH7B	-0.516
GABARAPL2	0.40925
MARVELD2	1.85016666666667
DGCR2	0.590166666666667
UNC45A	0.155333333333333
C6orf72	0.5535
ZNF683	4.22625
GIT2	-0.071125
CASK	0.655166666666667
C14orf161	1.6635
LRRC44	-0.40275
TIFA	0.51075
UTP11L	-0.727875
C6orf65	-0.4775
FDPS	-0.901
DUSP9	-1.9558
SLC17A8	0.282333333333333
OR51G1	0.198333333333333
NANS	1.24375
OLFML1	1.55425
ATP10B	-1.566
NPAS3	0.19875
PRKCA	-2.0332
GGA2	-0.3878125
LCE4A	0.0205
SPANXN3	0.1705
CCDC115	0.870875
SDCCAG3	-0.6975
GLIPR1L1	0.091
TTC1	-0.14025
C17orf76	0.0645
MAD2L2	-1.23125
HIPK1	-0.3206
LRRC3B	1.54333333333333
CLN3	-0.787909090909091
C17orf47	0.2805
FMN2	-0.5225
TUBB1	0.49025
WAPAL	-0.239
C3orf21	0.262
SCN5A	-0.5903
SMYD1	1.26525
BEX5	2.06175
ZNF192	-0.0445
SEC22A	0.0211666666666667
GRIA2	0.348571428571429
KIAA0825	-1.76575
NUSAP1	-3.12536363636364
LANCL1	-0.17275
C15orf40	-0.9796
ZNF645	-0.01225
GPR61	-0.46675
NLRP14	0.0925
SNX21	0.152
C1QTNF8	0.0785
C17orf46	-0.20725
IFNA8	0.2925
SPRR1B	-1.10216666666667
FLRT1	-0.728
SNX17	-0.227833333333333
ASB2	0.591166666666667
HBG1	-5.3275
RPRML	-1.4025
JOSD2	0.3845
PLSCR3	0.76175
SPOCD1	-0.502333333333333
RAB39	0.536
GHRH	-0.0543333333333333
ITIH5L	0.362
C17orf37	0.5255
SMCR8	0.213
DPY19L2P3	-1.08216666666667
IL11RA	1.2175
GDF3	-3.59516666666667
RPS6KB1	-1.05791666666667
DNAJC19	0.8148
TOP1	-0.4335
CRCT1	-0.35125
MPST	0.685375
DPM2	0.06425
FAM38B	-1.47616666666667
SLC18A1	-2.17616666666667
FARP1	0.511
PAX7	-0.1345
TUBD1	-1.06375
GNL3	-0.999625
BTG2	1.2878
NDUFS6	-0.16775
C1orf79	-2.057
ERAL1	0.01425
ECHS1	0.6175
VPS4A	0.002
CYP11A1	-0.26575
ABCC6	-1.78478571428571
PBX4	-2.3665
MOSC1	-0.888625
NCF4	0.7505
HYMAI	1.1375
NAGPA	-0.32075
OTOP2	-0.084
ACOT12	-0.8225
MTHFD2L	-0.691
LOC441376	3.43875
C19orf34	-0.2635
RAB1B	0.3205
ALDOAP2	-0.5375
NTRK1	-2.28066666666667
ARTS-1	-0.0663
SLC6A11	-0.7095
NAP1L2	1.4215
CNGB1	-0.271166666666667
EPB41L4B	-0.27825
FAM134B	2.58425
HS3ST3A1	-1.10933333333333
CPXM2	5.29225
SIRPB2	1.214
CHORDC1	-0.928333333333333
TRIB3	-0.180833333333333
SLC2A5	0.3395
C2orf49	-0.588
DDX5	-0.69175
OR5L1	0.9555
ANAPC4	-0.6955
ZSWIM1	0.275875
LOC93622	-0.129875
KCNK3	-0.0758
RP11-35N6.1	-1.15625
ZFP161	-0.00516666666666667
AQP9	0.871
SLC15A2	0.948833333333333
MREG	1.29516666666667
OR9I1	0.446
PDLIM2	-0.07
ADAM7	0.235
GSTCD	-0.855833333333333
WDR21A	-0.16725
SLC12A8	0.580166666666667
TMEM174	-0.23375
IGSF3	0.884916666666667
LRRN1	0.25825
LOC402117	-0.13425
SRPK1	-1.20916666666667
LY6K	0.9133125
NFIA	1.977
PTCD3	-0.6425
LEP	-0.292
PCDH21	-0.236
MAPKAPK2	0.826142857142857
NMNAT1	-0.702833333333333
LHFPL2	0.819875
C9orf43	0.732
DIP2A	-0.930833333333334
ACTR8	-0.24175
CCDC34	-0.4575
PTPN22	-1.255125
ITGA3	0.89775
FAM129C	0.638
RABGGTA	0.625666666666667
UNC45B	0.238
KIAA1033	-0.15975
ZNF510	0.0433333333333333
CYP2D6	-0.951666666666667
SLC26A10	-1.9405
STX8	0.5245
LUZP1	0.30825
WDR89	0.0333333333333333
EIF4G3	-0.2903
C5AR1	0.552625
ZNF623	0.146
A2M	3.59175
TGM7	-0.324
GRPEL1	-0.3525
LMNB2	-1.8119
ROCK2	0.0368333333333333
SNX16	0.47075
CCDC66	1.10325
ANXA3	1.24775
KIAA1609	0.442625
EED	-0.5575
RNF32	0.103833333333333
HES1	0.8361
CLC	0.0462000000000001
ISL1	-0.695333333333333
KIAA0528	-0.461
MANEA	-0.10625
C1orf61	-1.0235
hCG_2001000	0.95125
RAPGEF6	-0.0405
KIAA0020	-0.8755
NEIL1	0.213
C16orf45	-0.7185
RBM10	-0.338666666666667
C10orf125	-0.5055
MRS2L	-0.639
DNAH17	-1.58025
C19orf10	-0.765
C1orf160	0.59175
SLFN12	1.00725
EXOC3	0.1635
HIST3H3	0.05
NCOR2	0.402166666666667
TNFRSF9	0.16375
MFSD8	0.15425
ALX1	-3.51283333333333
NOL1	-0.93875
PODN	2.3775
TIAL1	-0.927
HIST1H1E	0.1925
NPY6R	-0.128
TM4SF4	-0.892
CORO2A	1.13075
ETNK2	0.706166666666667
APOE	1.739
ANGPT4	0.264
HDGF2	-0.481
G30	2.544
ST8SIA4	-0.317
F2RL1	0.033375
FAM19A4	-1.20925
CCAR1	-0.6445
