Hybridization REF	TCGA-E2-A15S-01A-11R-A115-07
ZNF44	0.4935
YWHAG	0.16275
IGF2BP2	-3.03791666666667
OR1D5	0.2515
SIX6	-3.38075
CCR6	-2.4945
PALM	1.21875
PUM2	1.1775
SPRYD5	-1.582
ALG10B	0.542125
ZNF365	0.0225
PHC1	-0.65775
KIAA0913	0.20975
ARX	0.686125
PPP3CB	1.27583333333333
IRX6	0.0498
ANGPTL4	-0.782
LSM14B	1.281
PCDHGB7	0.764
INSM1	4.05833333333333
WBP2NL	-0.173
ZNF493	0.281125
NGEF	-3.13725
RNASE13	0.2805
SPPL2A	-0.130333333333333
SFXN1	1.056875
FAM102A	1.5775
SAPS2	0.205166666666667
JTV1	-0.9885
OR51B4	-1.377
SCGB1A1	-0.145
NEUROD2	0.10675
tAKR	0.03225
C1orf26	-0.4975
RICH2	1.33225
TEDDM1	0.39525
CYP2S1	0.649
TBCE	-0.858
MAPK1	-0.51525
HDHD1A	-0.15375
MRM1	-0.27575
ATP9A	2.08635714285714
HSD17B3	1.00366666666667
HN1L	0.00583333333333336
RNF216	-0.4595
HOXD12	-0.298
PPP1R14B	-1.6405
SBF1	-0.26
TAS2R42	0.417
USP46	1.01483333333333
LILRB3	1.7565
SPI1	0.33025
OXSM	0.4725
GYS2	0.116
NUPL2	-0.31875
C8orf46	-1.943375
SF3A1	0.0817
C21orf99	-0.2035
HOXB4	0.5096
YRDC	0.2705
GPRC5D	0.4275
BLVRA	0.500875
KIF12	3.5305
LRRC23	1.03025
FAM14A	-1.07783333333333
RASL12	0.72875
DAZAP2	2.1385
IKBKB	1.12578571428571
ZNF271	0.961666666666667
BOK	-0.452
CXorf6	-2.80075
MYEOV	-2.102
BTN2A2	-1.8981
FRG1	-0.5505
HSP90AB6P	0.77875
ENOX1	-1.48433333333333
ZNF706	1.514
DOK1	0.5175
PGAP1	0.036
TMEM136	-0.05775
FSCN1	-2.60075
KIF17	0.5825
TRIM66	0.0755
CBR3	-0.12
C13orf24	0.9505
C19orf52	-0.45725
BNIP1	-0.10525
AQP3	-3.009125
KRT6C	-2.16466666666667
SIRPA	-1.09483333333333
IGFBP6	-2.27116666666667
PLEKHK1	0.4655
RNASE7	0.0115
ARHGEF15	0.49875
NPHS2	0.508
SRD5A1	-1.736
REXO4	-0.99825
EEF1DP3	0.51025
SLC37A2	-1.684
ZNF142	0.40225
ANKHD1	-1.011
MUT	0.299
VPS37A	-0.41
GPRIN1	1.12325
SLC38A3	-0.2495
BAZ2B	0.87325
WDR87	0.169166666666667
BRD7	-0.9835
POU6F2	-0.9735
NISCH	0.509
TCEB1	0.72575
LINGO2	-3.1575
TAX1BP3	-2.25475
RPL34	-0.127944444444444
MARK2	0.647
AKAP12	-1.8572
AMBN	-0.1335
SLC25A27	0.438833333333333
FLJ21865	-0.227875
KIR2DS2	0.0916666666666667
WDR77	-0.608
ATF2	0.04175
ITFG3	-0.552333333333333
SLC39A13	0.3495
ARL6IP5	0.726125
C10orf137	-0.2435
QTRT1	-0.937
CCNT1	1.088
DYNLL1	0.2003
WDR53	-0.207
LIPG	-1.42733333333333
ASAH3	0.429
HELB	0.46375
PHACTR2	-0.75425
VENTX	-1.48025
LAD1	-0.8105
PAOX	0.59275
MAPK8	0.6895
CCDC38	0.55275
DNAJC8	0.016
RBBP8	-0.78675
WNT11	-0.5533
KCNJ12	2.26316666666667
HDAC8	0.0548333333333333
STARD4	-2.8345
ACVR1	0.2265
C14orf65	-0.524416666666667
KLB	-2.7025
C1orf65	0.13
ZFYVE28	-0.413375
NSUN6	-1.52325
KIF27	1.37916666666667
SYTL2	1.14166666666667
UBXD2	0.5405
OR6T1	-0.0025
CCDC91	1.50235714285714
GRID2	0.483
CALN1	-1.030125
ZNF423	0.35325
PSMB4	-0.232333333333333
XPNPEP3	0.2705
ARPP-21	-2.9817
SART1	-0.60775
RACGAP1P	-0.251
SPTA1	-5.36725
C6orf113	-0.021
C7orf16	-3.1885
CHST7	-0.970666666666667
C21orf29	-0.215
SEMA6D	-0.563625
PCMTD1	1.80275
KIAA1754	-1.70366666666667
MYCN	0.8010625
KCNJ3	2.95175
MAPK13	3.0349
ERO1LB	0.99325
NTF3	-2.706
NKX6-2	-0.55925
GTF2B	-0.3155
GSPT1	-1.683
GUSB	-0.038
LOC221091	-2.1575
LIG1	-0.479
EXTL3	-1.0155
NID2	-0.6595
TTC29	-0.2795
TMEM97	2.454125
EXTL2	-1.8895
SUZ12	0.1295
IL1F8	0.3675
KRT18	0.162818181818182
MRPS16	0.19625
PI4K2B	-0.06025
LACRT	-0.356
OR51F2	0.0875
JMJD2C	-0.397125
KGFLP1	0.26325
CDK5RAP3	-0.3478
YTHDF2	0.692166666666667
GGCX	0.70475
ARPC4	0.369
EGLN2	0.767166666666667
KBTBD4	0.630857142857143
ROBO3	-1.1212
DEFB118	-0.718
KIAA1543	1.084
RTCD1	-1.37766666666667
MZF1	0.175
C18orf26	0.259
CNIH4	-0.122333333333333
ZFP2	3.62183333333333
HTATSF1	0.04475
WFDC2	3.15375
NDUFA7	0.5325
TTC22	-0.143666666666667
FAM40B	-2.280625
DCPS	-1.5995
SH2D1B	-0.7685
MRGPRE	0.085
SBK1	0.65525
UNQ6411	-0.0075
OSBPL9	-0.555
NUP107	-0.308
MYOZ3	2.5708
PDE4B	0.981333333333333
FAM113A	-0.11
IDH3G	-0.087
FBXL7	-0.09375
ARFGAP3	-0.21425
MAPRE2	-1.40076923076923
IL1RN	0.3033
KIF13A	0.393
RAC3	-0.28
TCTE1	-0.0435
TMEM14B	0.9725
ADIPOR1	0.323333333333333
GRINA	1.631
CLIP4	0.1055
LRIT2	-0.9785
TFPI	-2.9355
FABP6	-2.424
SLITRK2	-0.1861
HKR1	0.29475
SMTN	0.089
C1orf75	-0.879
CD209	0.48675
CYB5R2	1.881
DNTTIP2	-0.557
CSGlcA-T	-0.185
GABRB3	1.92325
PCBD1	1.451
TAF3	0.612333333333333
HOXD3	0.282166666666667
GIPC3	0.00783333333333333
P11	0.3222
BFSP1	-1.45225
LCP2	-0.6905
TAS2R8	-0.2325
SEZ6L	0.568
NR2C1	0.310125
EXDL2	1.2646
TNFRSF13B	-1.94616666666667
MKI67	-1.1415
GLS	-0.428583333333333
C7orf54	-0.7462
LGALS13	0.167
IL4R	-1.38425
SEC11A	-0.854
SPP2	0.900166666666667
C18orf32	2.10375
CLSPN	-0.0601666666666666
SPAG1	2.466625
C9orf82	-0.6535
TM4SF1	-2.11016666666667
EMILIN2	-0.5935
SMG7	-0.180666666666667
TAS2R13	0.1375
ZNF628	-0.01
DZIP1L	0.670833333333333
ANKRD13A	-0.9297
VASP	1.395125
ZCCHC11	-0.081125
SYPL1	-0.32925
MGC34774	-0.051
C4orf28	0.239
KIAA1211	0.536083333333333
RPS27L	0.17875
TATDN3	-0.187
PDCD1	-1.3745
OR5P2	0.6425
IFIT1L	0.3625
MIPOL1	1.24925
OR51D1	0.085
C1orf92	-0.837666666666667
LAMP2	-0.0711666666666667
CAT	-0.195333333333333
C16orf80	-0.52275
C15orf32	0.2835
ZNF746	0.44275
C1orf76	-0.8975
ATXN1	0.5725
LAMC2	-1.21875
SLC2A7	-0.201
CPOX	-1.5075
APH1B	1.672
LOC442245	-0.45125
CTNND1	1.83205555555556
GABRG2	-1.529625
MADCAM1	0.347
F5	-2.7925
SEMA4F	-0.235166666666667
NUDCD3	0.0825
PDZD11	0.6245
TRIML1	-0.245
GCNT3	-2.9085
TMEM120A	0.4735
CNDP1	0.1565
N4BP1	0.74325
SLC35F2	-1.91525
LCP1	0.896333333333333
IGBP1	-0.2201
DCAKD	-0.264875
ELA2A	-0.825
C12orf56	-2.557875
PITRM1	0.730071428571429
GUK1	0.413833333333333
RASSF8	-0.9101875
OR2A14	0.2365
ADM	-3.89933333333333
FGD3	2.10816666666667
GHRHR	0.0921666666666667
RHPN2	1.393
C4orf39	1.211
VPS72	-0.0665
SERF2	1.2715
CD22	0.959166666666667
CD47	-2.0483
PPIC	-1.7495
IMPDH1	-0.129583333333333
ACP6	-0.178666666666667
PRKACA	0.001875
PPP1R1A	-1.36325
TRPV3	-0.33525
ASXL1	-0.315375
C17orf55	-0.0285
FXYD1	0.296
LMOD2	1.9255
ANKRD33	0.333
LCE2C	0.074125
ZNF620	1.2705
DKFZP566E164	-1.44025
VSIG2	-0.79475
KIAA1128	1.51975
USO1	-0.0613333333333333
NUDT4	1.27035714285714
CLDN1	-2.449
OR4Q3	0.027
FASTK	-0.383166666666667
ICOS	-0.426
LDB1	0.7745
GSTA5	-1.302
ABCC1	-1.34833333333333
FAM54A	-1.59475
PCBP2	-0.0338333333333333
NUP205	-0.44825
ACTA1	-1.683
GABBR2	-0.25525
PIP5K1B	-1.97566666666667
AGXT	-2.1135
RNF181	-0.28325
ATP8A2	-1.5295
AFTPH	1.3041875
FGF21	0.5485
FCER1G	1.342
SNTB1	-2.62875
SLC24A3	-0.93175
TXNL4B	-0.7715
RPL10L	-0.695666666666667
LOC389517	-0.29015
TSGA13	0.936
SHOX2	-0.243666666666667
ITGA7	-0.6743
KCNIP2	0.132833333333333
KLF13	0.5757
ZFAND2A	0.33175
CEACAM1	1.10092857142857
PFKFB4	-2.03616666666667
MED19	0.96975
LRRC57	0.230333333333333
RNF11	0.9625
ANKRD32	-1.215
P117	-0.5455
OBFC2A	-2.07966666666667
POLD3	-0.256833333333333
RAB18	1.093125
TPH2	-0.142
PHB	-0.7026
JDP2	-0.160166666666667
MORF4L1	-0.0291
POU2F1	0.26425
CNNM2	1.94708333333333
LOXHD1	0.492666666666667
ZC3H15	-0.16225
ELK3	0.0895
FAM111B	1.009
CBLC	2.938
SBNO1	1.139
ANKMY2	-1.105
PLEKHA5	0.2295
DHX58	1.96716666666667
ARCN1	-0.9215
TREML1	0.1113
KNCN	-0.719
SEC24A	-0.743375
PSCA	0.215
MGC24125	0.589
DNA2L	-0.237
CIB4	0.1685
HIGD2A	0.393166666666667
TBX6	0.118
TTLL5	-0.5525
SGK3	3.40483333333333
GCN1L1	0.07475
AMOT	0.6927
LDOC1	0.552833333333333
NRK	-0.122
ASB9	-2.01375
NAT1	-1.8222
TRAFD1	-0.1225
PEAR1	0.559166666666667
FAM36A	-0.00524999999999997
OR1S2	0.313333333333333
LOC388323	-1.99625
PGS1	0.302833333333333
LEPREL1	-3.38525
TFF1	-1.85091666666667
HAP1	0.6915
EPHB2	-0.96
ACTG1	1.001
ZFP42	-1.9865
HAVCR2	-0.3786
NME1	-0.579
SNX26	-0.054
LACTB	1.84816666666667
ZKSCAN2	0.073
C5orf35	0.416
ANKS3	-0.49125
RBM28	-0.87675
DKFZP586P0123	0.05075
HNRNPA1	-0.419
BCAS3	-1.09566666666667
FLJ20184	0.2935
POLA2	-0.757333333333333
TMC7	0.3845
HSD17B6	0.177
ZNF658B	1.59316666666667
TTTY10	-0.0923333333333333
RANBP9	1.00675
CPNE7	-1.8945
EVL	1.27570588235294
LNX1	1.12025
IFNA21	0.0161666666666667
CFD	0.46175
PYCARD	-0.00433333333333333
MYBPC2	-1.313
ENPP3	-2.23033333333333
ACSL4	-2.69575
LOC440258	0.254166666666667
TMEM176B	2.8485
SOX2	-4.4605
SCO1	-1.276
COMT	0.32025
AOC2	-0.43525
PDLIM5	-0.726
SPHK2	0.32
NXPH2	0.0635
GPR108	0.0685
RAD51L1	-0.127
TMEM54	1.86975
LETMD1	-0.114444444444444
SLC6A17	0.03875
KRT75	-0.3205
STT3B	-0.270333333333333
CD3EAP	-0.276666666666667
TMEM63A	1.0555
DUSP13	2.71225
CD1C	-1.75516666666667
LASS2	0.831
AVP	0.331
PITPNM1	-0.68675
FLJ22795	-1.186
MCTP1	-1.91275
TRIM68	-0.404333333333333
UCK2	-0.368166666666667
ABHD1	1.003
FAM50A	-0.01875
RNASEH1	-0.491
PCP2	0.841166666666667
OR52H1	0.688
C20orf149	1.595
RBP5	-0.914833333333333
HYAL3	-2.07575
CLPB	-1.334
SMNDC1	0.4095
DONSON	-1.167
FLJ27523	-0.379
BARHL2	-0.0298333333333333
SLC30A9	0.0936666666666667
TMPRSS11B	0.0365
E2F8	-0.4
CCDC25	-0.26
C14orf48	0.608
C20orf116	-0.094125
TSPAN11	-0.2155
YIF1B	-1.00833333333333
FAM12B	2.651
OR1L6	0.4625
HPN	0.7567
NBN	1.35225
C14orf94	-0.518666666666667
OCLM	-0.168
ZSCAN18	2.414
L3MBTL	-0.4351
TSTA3	0.996666666666667
RAC1	-0.273375
C19orf15	0.218333333333333
NFE2	-3.08075
KLK14	0.2825
ARSF	0.113
MAST2	0.849833333333333
AMICA1	1.36166666666667
GTF2A1	0.088875
ATP1A3	0.906
TC2N	0.9601
PNKP	-0.21425
ODZ2	-0.879125
MATR3	0.21475
S100P	2.664625
KRT82	-0.238
CA13	-1.3481
PROZ	-1.77166666666667
AASDH	0.858125
C19orf40	0.254666666666667
DCK	0.208
FAM5C	1.61425
SLC6A4	4.0135
MID1IP1	0.079
TESSP5	0.093
TMOD4	0.101666666666667
DOCK2	-1.84733333333333
TUG1	1.399125
NUP214	-0.5245
DPYSL2	-0.921272727272727
GOLM1	0.91625
MPFL	0.12875
SOX13	1.018
SDCCAG8	0.7747
KEL	-2.61733333333333
NUP210L	-2.72625
GK	-0.7955
DNAJB1	-0.805
ALPK3	-0.154
CHID1	-0.2906
CYLC2	0.155333333333333
IKZF5	0.80975
C8orf51	2.64933333333333
PPM1J	-0.67725
GIMAP8	2.51616666666667
GPR101	-0.2925
NR2F1	-0.246
ACAD8	-0.927
RBM35A	2.5995
GNAI2	0.101166666666667
METTL8	-0.726333333333333
SLC39A7	-1.30075
FBXO8	0.22175
CAMK1	0.096
RFC3	-1.244
FAM129A	-1.92664285714286
ILF2	-0.227
FGFBP3	-0.887875
NOM1	-0.1
PSMA3	-0.05275
ASCC3	-0.0932
ZYG11A	0.175
SOX21	-1.414
LYRM1	-1.2475
DEFB1	0.605
LOC91431	-1.71666666666667
OR7C2	1.6775
FAM46B	0.289375
TMEM18	0.915125
ARHGAP30	-0.714
TMEM86A	2.2805
EPHA2	-2.51266666666667
C10orf46	0.3471
TCHH	-0.455166666666667
C3orf30	-0.0998333333333333
LOC285636	0.292833333333333
PAIP2	0.2455
CYP2U1	-0.121875
C12orf34	2.38375
SARS2	-0.276333333333333
ZCWPW1	0.511
SAMD12	1.765875
KIAA1430	0.409375
ACAT1	-0.317
MEOX1	1.55366666666667
ADAMDEC1	4.606
PHKA2	0.20425
CARD11	-2.3185
CALML4	-1.9565
TSSC1	-0.10375
TMEM45A	-3.34788888888889
MPP7	0.982125
POU1F1	-0.1265
SLC2A13	-1.1651
FBN2	2.17778571428571
ZC3H7A	0.2834
LAIR2	-2.516
ST3GAL1	2.681
LCT	-2.9205
GEMIN8	0.908666666666667
KLF16	-0.3603
HIF3A	-0.0592
FAM44A	0.856285714285714
AQP10	-1.1352
PLA2G2A	-1.835
FOLH1	2.836
C20orf186	-0.129
MAPKAP1	-0.770125
SPRR2D	-1.231
UBQLN4	-0.687333333333333
RSHL1	-0.128833333333333
PIAS3	0.1155
MRPL24	0.34425
GREB1	-1.785875
FAM27E3	0.155
NUP62CL	-2.245
NEUROG3	-1.3415
REEP3	0.627416666666667
MARK1	0.53975
LMBRD1	0.34675
PRPF19	-1.196
PNMT	0.794166666666667
CTGLF1	-0.5545
SLC25A16	-0.01275
EIF2B3	-0.928
RPA2	0.14925
PAK6	1.1955
CCDC26	-4.481
SEMA3E	0.108
MXD4	0.6955
TNFSF10	4.2519
SMARCB1	0.211333333333333
DTX3L	0.2715
PLA2G4E	0.4305
PPAP2A	1.6935
ULK1	1.13525
TAS1R3	-0.1405
SLC2A3	-3.93781818181818
ARID3A	-2.14275
GNG5	-0.8545
ACOX1	0.8275
KIF5B	-0.4715
NUP153	0.31425
MUC7	-0.321
CSDE1	-0.281142857142857
CLPTM1	0.22075
C3orf23	0.03325
LRRC17	-1.41533333333333
TTYH3	-1.912875
ATP5B	-0.7085
ELF3	1.1483
CPSF3L	0.098
ZNF665	1.3735
TLR6	-0.9571
GPI	-1.48125
RAD9A	-0.515125
NDST4	-2.12625
AGPAT3	0.6545
MAGI3	1.571
ADORA2A	2.822125
CACNG7	0.022
CAMK2D	-1.399
CCHCR1	0.128
RPS27A	-0.65775
OR10G7	0.0351666666666667
GCM2	0.00749999999999999
FAM135B	1.5137
E2F1	-0.55025
PLCB3	-0.78125
OR2AE1	0.5345
COIL	-0.522833333333333
CDC25C	-0.0471666666666667
RAB11FIP2	0.13925
TSC2	-0.38725
CTGLF5	0.141
CCDC108	-0.14
OR13C4	0.2995
C10orf81	4.70875
PTPRB	1.49325
ACP2	-0.16975
LAG3	-0.4025
MRPL54	-0.07975
LOC201175	-0.2195
ITGB1BP3	-1.85
SPTAN1	0.429
SIPA1L2	0.5345
RCAN2	-1.3585
CDX2	-0.296
ECOP	-0.642
ACTR1A	0.171785714285714
PPARG	-1.5075
BBS10	0.380666666666667
TMEM44	-0.287375
BPIL2	0.30525
CITED1	-1.93525
IRF6	2.70175
PRDM4	1.3
RRP9	-0.221666666666667
OR10H4	0.05925
IL31RA	-0.42675
GNB1L	-2.23966666666667
MYBL2	-1.72525
ZNF407	0.565166666666667
PPIG	0.339166666666667
TTC18	2.917
RPSA	-0.191
MAPT	0.08075
MRE11A	-0.221928571428571
C8orf37	0.64
RASGEF1C	0.005
STBD1	0.687
CTAG2	-0.841166666666667
MGAT5B	-0.697833333333333
ECM1	0.667
RLN1	0.8205
PARP14	0.349625
EPB41L1	0.7391
HOXA3	-1.67408333333333
MAGEA9	-4.512
RPS8	-0.0735
RPS19BP1	0.433
FOXJ2	0.7685
C10orf76	1.208625
IL17RE	0.618
C10orf65	-0.8265
ZNF343	-0.363
FBXO33	0.360625
UHMK1	1.8557
LY6G6C	1.47475
FGF19	-1.737
C14orf128	0.062
IFIT2	1.36975
TIGD1	-0.672
S100G	0.794
GUCY1B3	2.1855
NR3C1	0.2376
CORO1B	-0.521666666666667
PARP11	1.31091666666667
DNALI1	3.63233333333333
OR4N4	0.133625
MAP2K6	-0.179833333333333
FSTL4	0.40675
ANKRD47	0.985875
TMEM171	-1.891
PNLIP	-0.147
YY1	0.0531666666666667
CCDC138	-1.20216666666667
AASDHPPT	-0.5614
CKS1B	-0.7155
MCM3	-0.825666666666667
ANAPC7	-0.188666666666667
FAM110A	0.59
CDC37L1	-0.228
THTPA	1.37125
NBPF20	0.1975
WDR24	-0.448
NPTX2	-3.06575
CBLB	0.475
CETN1	1.07016666666667
RPUSD1	-0.16775
FAF1	-0.5425
CDK6	-3.3602
HMX2	0.3515
CSK	-0.7785
TEAD2	-0.643
SNAP25	1.181
TUFT1	1.0836
TMTC3	0.792333333333333
LCK	-3.4745
SGOL1	0.254833333333333
AKTIP	0.4055
FURIN	0.697
SOX12	-0.3805
DEFB103A	-0.76125
RAMP1	2.8725
KIR3DX1	-1.1065
GAS2L3	0.8955
PDE8A	0.1386
EDN3	0.91725
GMIP	-0.2155
SF3A2	-0.423
FN3KRP	0.26225
SMAD7	1.30825
RHBDD2	0.262
OR11H6	-0.041
PPP1R3B	2.3154
C9orf23	0.53625
CADPS	-1.46925
GOLGA8A	0.081125
TMEM57	-0.1475
RGL3	1.896
S100A14	2.4635
FGFR2	-1.049375
XRCC3	-0.6785
RTN4RL2	0.3035
MGC3771	0.713
GH2	-0.221333333333333
BTBD2	-0.48925
LMO2	-0.8655
RDBP	0.684375
ACRBP	-1.942
AMY2A	0.719
DUOXA1	0.109
PTK7	0.587166666666667
TWF2	-0.733666666666667
FAM80A	1.0515
TNNI2	-3.21883333333333
GLT25D1	-1.7365
OCC-1	-1.91325
CYC1	0.496166666666667
RPL22	-0.697454545454546
MORN3	1.83716666666667
DISP1	0.428
PRB2	0.506
CHUK	0.318
HR	-0.438625
CCDC134	0.968
DENND4B	-0.74975
C14orf130	0.3035
RAB33A	1.553
DCST2	-0.0095
TNMD	-0.9395
PEX7	0.1995
FAM62A	-1.075375
SRD5A2L	0.00425
IL22	0.113
RPS26	0.174166666666667
HOXC5	1.3015
SPATA6	0.8095
FLJ38482	0.1335
ZNF234	0.761
C18orf22	0.72725
SPATA22	0.33375
THOC1	-0.27575
CYP7B1	1.6505
KCNC3	2.7765
C8orf42	0.1205
ALDH1B1	-1.16533333333333
CCDC100	0.4662
ARMC4	-1.20525
FAM18B2	-0.00699999999999999
SLC44A1	0.4455
FBXO17	-0.280333333333333
C6orf107	0.61175
C19orf29	-1.05025
ZC3HAV1L	0.06075
PARP6	0.4065
SULT2A1	-4.687
C1orf159	-0.574
TMC1	0.2375
CHST14	-0.075125
GAMT	-0.262333333333333
SMCP	-0.182166666666667
TSPAN33	-0.125333333333333
MIDN	-0.6845
NOX4	0.145
RNASEN	-0.086
TBX1	2.21066666666667
SALL2	1.551
C10orf35	1.7135
CYP2E1	-1.13225
LRFN2	3.46416666666667
ACO1	-1.35233333333333
IQCG	-0.3359
MEGF9	0.517
TM7SF4	1.7835
PLEKHA1	0.0975333333333332
STK33	-1.034
C1orf210	2.59125
SNUPN	0.047
KIAA0406	-0.5176
C20orf29	-0.3635
TMEM55B	0.06125
OSTM1	-0.9684375
CLCN7	-0.97025
OTP	0.46
FLJ23049	0.7715
HEATR4	0.3415
MAP3K10	-0.101333333333333
PCDHGA9	-0.1145
AMDHD2	-0.1335
LCTL	-2.143
PDCD2L	-1.0875
CABLES2	0.1905
SLC5A9	-0.48675
CLCA2	-2.2085
MGC16025	-1.0685
STRAP	-0.313333333333333
C20orf196	-0.756
RRBP1	-1.00283333333333
NAT13	-0.321
MAT2B	0.43075
CSNK1D	-0.0666666666666667
KIR3DL1	0.08625
PRKAG3	0.0175
ZNF599	1.5875
PRM3	0.3325
PER2	1.075
ASPHD1	-2.545
PRMT6	-0.40625
KCNE1L	-1.32814285714286
FAM118A	0.0351666666666667
TAF4	0.96575
NDUFB6	0.30925
TRIM9	-1.34608333333333
PMFBP1	-0.86175
KY	-0.157
DKFZp762E1312	-1.95872727272727
CSMD1	-1.74025
TBP	-0.509166666666667
OR1Q1	0.5095
RETNLB	0.0835
HPGD	-0.256928571428572
DNAJC12	2.56533333333333
FKBP1B	-0.825
ANKRD24	-0.827666666666667
CXXC5	2.0555
IL3	-0.0315
DRAM	1.5385
PTCH1	0.243625
TP53BP1	0.285
SLC17A7	0.1245
COL25A1	-1.3969
AMACR	-0.9635
RHCG	-0.504
VPS13A	0.48125
FAM55D	0.098
PRPF38B	-0.669833333333333
OSBPL6	0.787
PFDN5	0.2392
CMTM6	0.34575
KCNK12	-0.975
RP2	-0.21
C16orf52	-0.73125
PICK1	0.9525
IFNE1	-1.2645
SEMA4B	0.07375
TYRO3	-2.13875
OR12D2	0.2045
CSNK1A1	1.69955
FANCF	1.358
LONP2	1.346125
TBL1Y	2.2065
LDOC1L	0.215875
CCNC	-0.135
C3orf60	1.39825
CHKA	-0.48025
UBAP1	0.95775
MAP3K1	0.345
ANKRD9	-2.1845
FAM92A1	1.32033333333333
GAB2	0.380125
AZU1	-0.045
DIS3	0.551916666666667
C21orf109	-1.18275
IQCB1	0.22875
SPATS2	0.0443333333333333
EFCAB3	0.59125
PRB3	0.320625
FUZ	0.333666666666667
ZNF813	1.381
BMPER	-1.14183333333333
HEG1	-1.09375
ALS2CR11	-1.66575
SURF2	-0.5185
PSMC1	-0.745916666666667
OR2D2	0.157
SLC7A8	1.7315
C4orf40	0.2925
SPATA7	-0.0605
MAZ	-0.343416666666667
PIN4	1.82475
PDE1A	-0.788375
TAF6L	0.434166666666667
OR2T34	0.1415
KIAA0284	0.2915
ACADS	0.251727272727273
MKRN2	-0.1725
C18orf56	-0.96575
MS4A6E	0.269666666666667
GALNT4	-0.1478
C22orf31	0.4205
FLJ36070	-0.0685
PSME4	-1.2705
TFG	-0.2855
EPHX2	0.343
ANXA5	-1.46325
KRTAP1-1	-0.3522
BATF	2.325
KARS	-2.12875
MSTP9	0.0445
GPR26	0.1265
CCDC72	0.85075
TEF	1.12
FOXK1	-0.4635
PRLHR	-0.059
EMX1	1.91625
C11orf30	0.603875
ICK	1.113
THSD7B	0.4875
C21orf100	-1.261
DUOX1	0.9265
EFCAB4B	0.48775
UBE2G2	-0.468333333333333
C3orf54	0.27375
PARP1	-0.6235
FAM60A	-0.978083333333334
C6orf146	-0.036
OR9K2	0.3135
DDX55	0.242166666666667
RPS15	-0.546916666666667
ZNF618	0.1910625
DKFZp686D0972	-0.94275
SSPO	-1.022
SHFM3P1	0.735333333333333
CPA6	1.05075
JAG2	-0.14575
DEFA3	0.544
PPBPL2	0.2696
CD34	3.5805
SLCO4A1	-2.910375
AFG3L1	-0.958
SHD	0.1885
RP13-122B23.3	-0.411
PRKCSH	-1.04566666666667
DPH5	-1.38
HLA-F	0.3175
TBC1D4	-1.37875
RIG	0.0545
GLUD1	1.90766666666667
HNRPCL1	-0.017625
HBXIP	-0.73975
RNF207	-0.423
APIP	0.2445
PLA2G3	-3.08216666666667
CCDC84	-0.57375
MYLIP	0.899461538461539
PHIP	0.8135
AARS2	-0.291833333333333
DHX32	-0.363
SCAPER	0.871166666666666
MEN1	0.134
NIP7	-1.462
FLJ25404	-0.051
FASTKD3	0.50875
TMEM158	-3.14541666666667
RARA	0.66125
BDH1	1.403
ANKRD16	1.62025
CARM1	-0.7935
SS18	0.3045
IKZF2	-1.12375
MYD88	-0.34525
PML	-0.7046
TAF1A	-0.639
CBFB	-1.483375
HIST1H3H	0.423333333333333
C7orf29	-0.09
COMMD4	0.192166666666667
DPP3	-0.76175
DAB2	-1.124375
LOC388882	-0.103
YPEL4	-0.936875
AGBL3	0.16525
LRP6	1.2326
SERPINH1	-1.533
TLE1	-1.0575
CD244	0.322833333333333
ZDHHC15	-0.89725
MGLL	0.5467
PLDN	0.0868333333333333
LOC654346	1.1265
FAP	0.69
GPR37	-0.934333333333333
SCARA5	0.237666666666667
EBF4	1.64390909090909
LSM6	-0.58075
MLLT1	-0.5878125
SLC5A12	0.019
A2BP1	-1.26483333333333
COPS5	0.586333333333333
TPM4	-0.688428571428571
TNFSF4	-0.929333333333333
ACADSB	2.3835
HERPUD1	-0.88
BCL2L11	-0.530055555555556
CEP78	-0.134
CDCA3	-0.28275
WBSCR19	0.6024
MYO1A	-2.525
PPEF1	1.849
LOC440348	0.363
CPEB2	1.2035
BPTF	0.808833333333333
RPL21	-1.0693125
GSX2	-0.435
ADPRH	0.46
C17orf68	0.3
KCNS1	-0.9005
MLLT6	0.1916
PIWIL4	-0.636
RNF26	-1.7275
RAP1B	-0.91675
ADAMTS1	-2.8811
ZNF571	1.2265
P2RY6	-0.5865
TRIM21	-0.125833333333333
CADM3	-0.28425
NLRC5	-0.431
ADRA2B	0.845166666666667
LOC90835	-0.00700000000000001
PCF11	0.05425
LOC400451	2.2815
GLTSCR1	0.1999
C17orf88	-0.245166666666667
CDH16	-1.55475
FGF7	0.774625
PCSK4	0.0221666666666667
NPC1L1	-0.113833333333333
TAT	3.6095
TBCA	0.377
MGC33407	0.11
GPR115	-1.140125
CYGB	0.5965
FNBP4	-0.220833333333333
C12orf43	0.00575
CBL	-0.7153
CLECL1	0.2055
PPAPDC1A	-1.8595
WDR25	-0.536166666666667
SGCA	0.3125
C22orf29	0.636
YIPF1	0.67475
GALK2	-1.66775
RAB3B	-1.61958333333333
LOC440087	-0.43875
UCP1	-0.869
REEP5	1.926125
FADD	-0.473
FOXA1	4.494625
CACNA1A	0.0373333333333333
ABI1	-0.311666666666667
GRIN2D	-0.37375
SLC1A4	0.915833333333333
LOC401127	-0.6805
HINT2	0.70925
PLD4	-0.782833333333333
ZNF286A	-1.44225
ENY2	0.8825
IL1F6	0.0185
PXDNL	1.45725
C20orf79	-0.302
