Hybridization REF	TCGA-D8-A13Z-01A-11R-A115-07
OBFC2A	-0.023
POLD3	-0.918416666666667
RAB18	1.075875
TPH2	0.011
PHB	-0.3684
JDP2	1.26333333333333
MORF4L1	0.0781
POU2F1	-0.44575
CNNM2	-0.852666666666667
LOXHD1	-0.00116666666666665
ZC3H15	-0.63425
ELK3	1.06233333333333
FAM111B	0.11875
CBLC	3.04883333333333
SBNO1	0.284
ANKMY2	-0.7365
PLEKHA5	0.5275
DHX58	1.91616666666667
ARCN1	0.156
TREML1	0.7122
KNCN	-0.3165
SEC24A	-0.765375
PSCA	2.51025
MGC24125	0.66
DNA2L	0.341
CIB4	2.460875
HIGD2A	0.295
TBX6	-0.0433333333333333
TTLL5	-0.293833333333333
SGK3	-0.417
GCN1L1	-0.10675
AMOT	1.3913
LDOC1	0.981666666666667
NRK	-0.7262
ASB9	-0.2795
NAT1	0.4317
TRAFD1	0.16125
PEAR1	0.3685
FAM36A	0.232375
OR1S2	-0.00383333333333333
LOC388323	-1.6095
PGS1	0.000500000000000003
LEPREL1	-3.20375
TFF1	1.47175
HAP1	0.4715
EPHB2	0.74825
ACTG1	0.751333333333333
ZFP42	-2.3015
HAVCR2	1.3293
NME1	-0.6475
SNX26	-0.600416666666667
LACTB	0.326166666666667
ZKSCAN2	0.34225
C5orf35	-0.85825
ANKS3	-0.8535
RBM28	-0.992
DKFZP586P0123	-1.307
HNRNPA1	-0.676166666666667
BCAS3	-1.33491666666667
FLJ20184	0.8555
POLA2	-1.30866666666667
TMC7	0.571
HSD17B6	2.679
ZNF658B	-1.382
TTTY10	-0.6735
RANBP9	0.440583333333333
CPNE7	-2.6055
EVL	-0.768823529411765
LNX1	-0.29825
IFNA21	-0.161666666666667
CFD	0.33875
PYCARD	0.712666666666667
MYBPC2	-1.508
ENPP3	3.87116666666667
ACSL4	-1.25225
LOC440258	-1.33733333333333
TMEM176B	3.54333333333333
SOX2	0.927125
SCO1	-0.319333333333333
COMT	0.2365
AOC2	-0.2545
PDLIM5	1.37292857142857
SPHK2	0.00383333333333333
NXPH2	0.5665
GPR108	0.6005
RAD51L1	-0.0895
TMEM54	1.47175
LETMD1	-2.39344444444444
SLC6A17	0.41125
KRT75	4.115
STT3B	-0.5865
CD3EAP	-0.125166666666667
TMEM63A	0.7355
DUSP13	-2.5925
CD1C	0.3
LASS2	-0.547166666666667
AVP	0.198
PITPNM1	-1.174625
FLJ22795	-1.243
MCTP1	-1.89375
TRIM68	1.63983333333333
UCK2	0.0413333333333333
ABHD1	0.01475
FAM50A	0.27725
RNASEH1	0.279666666666667
PCP2	-0.1045
OR52H1	-0.4965
C20orf149	2.2255
RBP5	0.181666666666667
HYAL3	0.5775
CLPB	-1.1655
SMNDC1	-0.77675
DONSON	-0.2055
FLJ27523	0.122
BARHL2	0.259166666666667
SLC30A9	-0.751333333333333
TMPRSS11B	-0.346
E2F8	-1.25033333333333
CCDC25	-1.47666666666667
C14orf48	-0.158666666666667
C20orf116	0.682
TSPAN11	0.2915
YIF1B	-0.336
FAM12B	0.1315
OR1L6	0.446
HPN	0.652
NBN	0.16825
C14orf94	-0.626333333333333
OCLM	0.398
ZSCAN18	0.5566
L3MBTL	-2.654
TSTA3	1.39916666666667
RAC1	0.352375
C19orf15	0.1616
NFE2	-4.6615
KLK14	0.569
ARSF	-0.583
MAST2	0.374833333333333
AMICA1	2.62616666666667
GTF2A1	0.008125
ATP1A3	1.45325
TC2N	2.9773
PNKP	-0.283
ODZ2	-0.564375
MATR3	0.75525
S100P	0.821125
KRT82	0.8645
CA13	0.0852
PROZ	-1.64416666666667
AASDH	-0.134285714285714
C19orf40	0.379166666666667
DCK	-0.484153846153846
FAM5C	-1.8
SLC6A4	-3.1775
MID1IP1	0.1435
TESSP5	0.014
TMOD4	-0.138833333333333
DOCK2	-0.218666666666667
TUG1	-0.226
NUP214	-0.873
DPYSL2	-0.482863636363636
GOLM1	1.75016666666667
MPFL	0.339
SOX13	1.21175
SDCCAG8	0.4975
KEL	-2.22033333333333
NUP210L	-2.369
GK	0.177625
DNAJB1	1.0955
ALPK3	0.7975
CHID1	-0.3325
CYLC2	0.0383333333333334
IKZF5	-0.1755
C8orf51	1.86883333333333
PPM1J	-1.43275
GIMAP8	3.185
GPR101	0.6515
NR2F1	0.187
ACAD8	-0.34275
RBM35A	0.89875
GNAI2	0.319
METTL8	-1.01983333333333
SLC39A7	-0.3835
FBXO8	-0.38525
CAMK1	0.337
RFC3	-1.993375
FAM129A	1.41
ILF2	0.46725
FGFBP3	-1.314125
NOM1	-0.174833333333333
PSMA3	0.16675
ASCC3	0.1828
ZYG11A	0.3805
SOX21	-0.511125
LYRM1	0.05225
DEFB1	3.5555
LOC91431	-2.36316666666667
OR7C2	1.5985
FAM46B	0.9755
TMEM18	-0.563375
ARHGAP30	1.633
TMEM86A	2.99058333333333
EPHA2	0.128833333333333
C10orf46	0.88645
TCHH	-0.593833333333333
C3orf30	0.344833333333333
LOC285636	-0.058
PAIP2	0.03625
CYP2U1	0.225875
C12orf34	1.72875
SARS2	0.463166666666667
ZCWPW1	-0.43175
SAMD12	1.27425
KIAA1430	-1.22125
ACAT1	-0.553
MEOX1	0.791833333333333
ADAMDEC1	7.60275
PHKA2	-0.5565
CARD11	-0.522
CALML4	0.133
TSSC1	0.557
TMEM45A	0.818222222222222
MPP7	1.65175
POU1F1	0.33425
SLC2A13	0.3131
FBN2	2.7875
ZC3H7A	-0.3359
LAIR2	0.6495
ST3GAL1	-0.355166666666667
LCT	-2.938
GEMIN8	0.0398333333333333
KLF16	0.0289
HIF3A	-0.2335
FAM44A	-1.29735714285714
AQP10	-1.5256
PLA2G2A	1.185
FOLH1	4.46383333333333
C20orf186	0.453
MAPKAP1	-0.683875
SPRR2D	-1.555
UBQLN4	-0.236166666666667
RSHL1	-0.0991666666666667
PIAS3	0.668375
MRPL24	-0.71775
GREB1	-3.253125
FAM27E3	-3.2645
NUP62CL	-0.3265
NEUROG3	-0.515
REEP3	1.57575
MARK1	0.277625
LMBRD1	1.11325
PRPF19	-1.5015
PNMT	-1.25383333333333
CTGLF1	-0.897
SLC25A16	1.37225
EIF2B3	-0.5895
RPA2	-0.03775
PAK6	1.97033333333333
CCDC26	-4.61275
SEMA3E	1.842
MXD4	-0.012
TNFSF10	4.7143
SMARCB1	0.287333333333333
DTX3L	2.114
PLA2G4E	0.4335
PPAP2A	0.33825
ULK1	0.1845
TAS1R3	0.433
SLC2A3	-2.74918181818182
ARID3A	-1.6075
GNG5	0.7355
ACOX1	0.1119
KIF5B	0.89125
NUP153	0.2015
MUC7	0.164
CSDE1	0.0525
CLPTM1	0.237
C3orf23	-0.098125
LRRC17	0.267833333333333
TTYH3	0.38675
ATP5B	-0.606
ELF3	2.1268
CPSF3L	-0.106166666666667
ZNF665	0.833333333333333
TLR6	0.8289
GPI	0.162375
RAD9A	-0.382375
NDST4	-3.5615
AGPAT3	0.52225
MAGI3	0.802833333333333
ADORA2A	-0.389375
CACNG7	0.347
CAMK2D	-0.723285714285714
CCHCR1	-0.028
RPS27A	-0.53875
OR10G7	0.4315
GCM2	-0.3
FAM135B	0.5997
E2F1	-0.8695
PLCB3	0.434
OR2AE1	-0.232
COIL	-0.00949999999999999
CDC25C	-0.314333333333333
RAB11FIP2	-0.567666666666667
TSC2	0.40025
CTGLF5	-1.7315
CCDC108	0.1857
OR13C4	0.594
C10orf81	6.74375
PTPRB	1.47275
ACP2	0.9945
LAG3	2.032
MRPL54	0.5335
LOC201175	0.498
ITGB1BP3	-2.2385
SPTAN1	0.383
SIPA1L2	-0.2445
RCAN2	-0.1685
CDX2	-0.6415
ECOP	0.56675
ACTR1A	-0.0127142857142857
PPARG	-0.641166666666667
BBS10	-0.851833333333333
TMEM44	-0.83175
BPIL2	0.048
CITED1	-1.50325
IRF6	4.366
PRDM4	0.390666666666667
RRP9	-0.479833333333333
OR10H4	0.0405
IL31RA	-0.8835
GNB1L	-1.94716666666667
MYBL2	-0.461125
ZNF407	0.572333333333333
PPIG	-0.973333333333333
TTC18	-0.6335
RPSA	-0.9265
MAPT	0.360375
MRE11A	-0.331357142857143
C8orf37	-0.528
RASGEF1C	0.523833333333333
STBD1	-0.3625
CTAG2	-0.416166666666667
MGAT5B	-0.858666666666667
ECM1	2.441125
RLN1	0.3815
PARP14	1.7958125
EPB41L1	-0.306
HOXA3	0.353916666666667
MAGEA9	-5.5575
RPS8	-1.0515
RPS19BP1	0.15975
FOXJ2	0.914
C10orf76	0.022125
IL17RE	0.85
C10orf65	-0.668
ZNF343	0.108166666666667
FBXO33	0.891875
UHMK1	1.7886
LY6G6C	-0.7485
FGF19	-2.68725
C14orf128	3.26616666666667
IFIT2	3.245125
TIGD1	-0.79125
S100G	0.956
GUCY1B3	3.501
NR3C1	-0.8987
CORO1B	-0.0106666666666667
PARP11	1.298
DNALI1	1.11366666666667
OR4N4	0.166125
MAP2K6	0.175166666666667
FSTL4	1.626
ANKRD47	1.36575
TMEM171	-0.893
PNLIP	0.44525
YY1	-0.784166666666667
CCDC138	-0.523166666666667
AASDHPPT	-0.862
CKS1B	0.0568
MCM3	0.445833333333333
ANAPC7	-0.0346666666666667
FAM110A	1.316
CDC37L1	0.8015
THTPA	-0.5805
NBPF20	-2.18
WDR24	0.56425
NPTX2	1.6455
CBLB	1.8915
CETN1	0.0311666666666667
RPUSD1	0.194
FAF1	0.018
CDK6	-2.0234
HMX2	-0.3345
CSK	-0.198666666666667
TEAD2	1.4485
SNAP25	-0.47875
TUFT1	1.2481
TMTC3	0.620833333333333
LCK	-1.21325
SGOL1	-0.613333333333333
AKTIP	1.167
FURIN	-0.2645
SOX12	-0.860666666666667
DEFB103A	-0.5715
RAMP1	0.75225
KIR3DX1	0.666
GAS2L3	-0.048
PDE8A	0.5747
EDN3	-0.70825
GMIP	1.63725
SF3A2	0.12775
FN3KRP	0.66625
SMAD7	0.64325
RHBDD2	0.265
OR11H6	0.615
PPP1R3B	1.4681
C9orf23	0.051
CADPS	-1.241
GOLGA8A	-3.27375
TMEM57	0.899166666666667
RGL3	-0.2435
S100A14	2.9565
FGFR2	-0.6526
XRCC3	-0.255
RTN4RL2	0.402
MGC3771	0.6685
GH2	0.0935
BTBD2	-0.08325
LMO2	-0.2435
RDBP	-0.181375
ACRBP	-0.877
AMY2A	0.61925
DUOXA1	1.297
PTK7	1.901
TWF2	0.144833333333333
FAM80A	1.88225
TNNI2	-2.386
GLT25D1	0.436333333333333
OCC-1	-1.36975
CYC1	-0.706
RPL22	-0.480681818181818
MORN3	0.861333333333333
DISP1	0.83975
PRB2	0.572
CHUK	-0.05375
HR	-0.23925
CCDC134	-0.223375
DENND4B	-0.7915
C14orf130	-0.010625
RAB33A	-0.99725
DCST2	0.308
TNMD	-2.74475
PEX7	1.7895
FAM62A	0.34075
SRD5A2L	0.84825
IL22	-0.28325
RPS26	-0.517666666666667
HOXC5	0.1525
SPATA6	1.36975
FLJ38482	0.72275
ZNF234	0.929
C18orf22	-0.5765
SPATA22	0.172
THOC1	0.3365
CYP7B1	3.276
KCNC3	-0.359
C8orf42	-1.1685
ALDH1B1	0.560833333333333
CCDC100	0.0645
ARMC4	-4.07175
FAM18B2	-0.28325
SLC44A1	0.381125
FBXO17	-1.9395
C6orf107	0.422
C19orf29	0.23475
ZC3HAV1L	-0.3275
PARP6	0.5315
SULT2A1	-5.57275
C1orf159	-0.27325
TMC1	0.00100000000000001
CHST14	0.064375
GAMT	-3.3885
SMCP	0.0835
TSPAN33	1.08108333333333
MIDN	0.387625
NOX4	2.80475
RNASEN	-0.2821
TBX1	-1.1015
SALL2	0.368
C10orf35	1.86525
CYP2E1	0.13575
LRFN2	1.65466666666667
ACO1	-1.91716666666667
IQCG	0.5547
MEGF9	1.37725
TM7SF4	3.659
PLEKHA1	0.8978
STK33	-2.0765
C1orf210	2.2765
SNUPN	-0.5021
KIAA0406	-0.4835
C20orf29	0.4685
TMEM55B	0.6375
OSTM1	-0.300125
CLCN7	-0.211
OTP	1.30025
FLJ23049	-0.974
HEATR4	2.839
MAP3K10	0.253333333333333
PCDHGA9	0.482
AMDHD2	0.2885
LCTL	-2.6195
PDCD2L	0.1415
CABLES2	0.2985
SLC5A9	-0.8365
CLCA2	4.94133333333333
MGC16025	-1.224
STRAP	-0.264
C20orf196	0.5225
RRBP1	1.33766666666667
NAT13	0.181
MAT2B	0.899375
CSNK1D	-0.640833333333333
KIR3DL1	0.19675
PRKAG3	0.9525
ZNF599	1.3155
PRM3	0.571
PER2	0.0401666666666667
ASPHD1	-1.5145
PRMT6	-0.99825
KCNE1L	-1.01464285714286
FAM118A	-0.457166666666667
TAF4	0.0455
NDUFB6	-0.5885
TRIM9	-0.735636363636364
PMFBP1	0.058
KY	-0.3895
DKFZp762E1312	-1.40718181818182
CSMD1	-1.6805
TBP	0.561833333333333
OR1Q1	0.505
RETNLB	0.012
HPGD	-0.127357142857143
DNAJC12	0.594166666666667
FKBP1B	-1.7195
ANKRD24	-1.01933333333333
CXXC5	-0.3275
IL3	0.064
DRAM	1.2518
PTCH1	-1.386375
TP53BP1	0.725
SLC17A7	-0.461125
COL25A1	-2.4412
AMACR	0.166333333333333
RHCG	2.59025
VPS13A	-1.93233333333333
FAM55D	0.723
PRPF38B	-0.643083333333333
OSBPL6	-1.6555
PFDN5	-0.1943
CMTM6	0.695875
KCNK12	0.8685
RP2	1.07425
C16orf52	-0.907
PICK1	-0.0105
IFNE1	1.2475
SEMA4B	1.33675
TYRO3	-1.268
OR12D2	-0.4935
CSNK1A1	0.5621
FANCF	0.4405
LONP2	0.17025
TBL1Y	-1.0385
LDOC1L	0.115375
CCNC	0.87625
C3orf60	-0.816
CHKA	-0.68675
UBAP1	1.06
MAP3K1	-0.4135
ANKRD9	-0.46225
FAM92A1	-1.0685
GAB2	-0.117875
AZU1	-0.589
DIS3	-0.726333333333333
C21orf109	-1.80525
IQCB1	0.3295
SPATS2	0.596166666666667
EFCAB3	-0.4165
PRB3	0.561875
FUZ	-0.168666666666667
ZNF813	1.225
BMPER	-1.39266666666667
HEG1	0.227
ALS2CR11	-3.0065
SURF2	-0.155
PSMC1	0.171916666666667
OR2D2	0.5475
SLC7A8	0.497666666666667
C4orf40	0.529
SPATA7	-0.01175
MAZ	-0.438833333333333
PIN4	0.61975
PDE1A	-0.81325
TAF6L	0.473166666666667
OR2T34	0.48
KIAA0284	0.341
ACADS	-1.30054545454545
MKRN2	-0.28
C18orf56	-1.04
MS4A6E	-0.1592
GALNT4	1.1834
C22orf31	0.736
FLJ36070	-0.008
PSME4	1.71375
TFG	0.4898
EPHX2	-2.150125
ANXA5	0.423125
KRTAP1-1	-0.3376
BATF	2.1095
KARS	-1.21625
MSTP9	-0.6725
GPR26	-0.040875
CCDC72	0.137
TEF	0.512666666666667
FOXK1	-0.5137
PRLHR	-0.0515
EMX1	0.07275
C11orf30	-0.279125
ICK	1.08
THSD7B	-0.35975
C21orf100	-3.05
DUOX1	1.7245
EFCAB4B	-0.53975
UBE2G2	-0.794333333333333
C3orf54	0.7285
PARP1	-0.11225
FAM60A	0.777
C6orf146	-0.1885
OR9K2	0.59
DDX55	-1.20016666666667
RPS15	0.13925
ZNF618	0.986125
DKFZp686D0972	1.945
SSPO	-1.363
SHFM3P1	-0.288
CPA6	1.52175
JAG2	0.15575
DEFA3	3.013
PPBPL2	-0.328
CD34	4.230625
SLCO4A1	-0.984625
AFG3L1	-1.49616666666667
SHD	0.07475
RP13-122B23.3	-0.512166666666667
PRKCSH	0.989833333333333
DPH5	-1.05283333333333
HLA-F	2.697
TBC1D4	-0.348
RIG	-0.0938333333333333
GLUD1	-0.0586666666666667
HNRPCL1	0.619375
HBXIP	-0.29375
RNF207	-1.096
APIP	0.05675
PLA2G3	2.659
CCDC84	-1.75825
MYLIP	0.153461538461538
PHIP	0.386
AARS2	0.0343333333333333
DHX32	1.9065
SCAPER	-0.429333333333333
MEN1	-0.06025
NIP7	-0.85
FLJ25404	0.511
FASTKD3	-0.4165
TMEM158	-2.08825
RARA	0.859
BDH1	1.796
ANKRD16	0.905
CARM1	0.5345
SS18	-0.3
IKZF2	0.374333333333333
MYD88	0.692375
PML	1.2645
TAF1A	-0.22425
CBFB	-0.048125
HIST1H3H	-0.452833333333333
C7orf29	-1.67525
COMMD4	-0.0578333333333333
DPP3	0.042
DAB2	1.37125
LOC388882	0.031
YPEL4	-0.907125
AGBL3	0.716
LRP6	0.3799
SERPINH1	0.165333333333333
TLE1	0.97325
CD244	1.45766666666667
ZDHHC15	1.24025
MGLL	0.5941
PLDN	-0.332333333333333
LOC654346	2.2285
FAP	3.165
GPR37	-2.18166666666667
SCARA5	0.0536666666666667
EBF4	1.28863636363636
LSM6	0.34925
MLLT1	0.00806249999999999
SLC5A12	0.0475
A2BP1	-2.55733333333333
COPS5	-0.336666666666667
TPM4	0.332142857142857
TNFSF4	0.802166666666667
ACADSB	-0.867444444444444
HERPUD1	-0.28875
BCL2L11	-0.425555555555556
CEP78	-1.040125
CDCA3	-0.116125
WBSCR19	-0.7549
MYO1A	-1.8525
PPEF1	4.38466666666667
LOC440348	-0.67
CPEB2	-0.220875
BPTF	-0.543833333333334
RPL21	-1.408625
GSX2	0.177
ADPRH	1.91
C17orf68	-0.817833333333333
KCNS1	0.1515
MLLT6	-0.3887
PIWIL4	1.20825
RNF26	-0.25
RAP1B	0.98025
ADAMTS1	-1.3883
ZNF571	0.7815
P2RY6	1.02925
TRIM21	1.742
CADM3	0.23475
NLRC5	0.964666666666667
ADRA2B	0.703
LOC90835	-1.199125
PCF11	-0.28725
LOC400451	1.0325
GLTSCR1	0.2032
C17orf88	-0.546833333333333
CDH16	-1.33375
FGF7	1.314
PCSK4	-0.359
NPC1L1	0.4285
TAT	-0.28625
TBCA	-1.097
MGC33407	0.0455
GPR115	2.71425
CYGB	0.8865
FNBP4	-1.38466666666667
C12orf43	-0.07975
CBL	-0.1948
CLECL1	0.9755
PPAPDC1A	2.05375
WDR25	0.107333333333333
SGCA	0.7455
C22orf29	-0.455333333333333
YIPF1	1.71225
GALK2	-0.85725
RAB3B	2.21333333333333
LOC440087	-0.2335
UCP1	-0.109
REEP5	-0.374375
FADD	-0.5097
FOXA1	3.076625
CACNA1A	-0.2145
ABI1	0.692166666666667
GRIN2D	-0.0135
SLC1A4	0.280166666666667
LOC401127	-0.2465
HINT2	0.90325
PLD4	0.685333333333333
ZNF286A	-0.6845
ENY2	0.07175
IL1F6	-0.6735
PXDNL	3.26375
C20orf79	0.048
TNFSF13B	3.68
DENND3	0.398375
JARID1D	-3.25375
HIST1H2AK	-0.189625
LOC93349	0.2646
SSH1	-0.1908
ENSA	-1.15575
LOC219854	-0.568833333333333
CKAP2	-0.4209
DKFZP564J102	0.394833333333333
MGC87315	-1.219
HNRPAB	-0.875
AMH	0.364
ZNF526	0.723
BRUNOL5	-0.2125
CACNG3	0.138
TRPM1	-2.9985
PPP2R1A	0.366
COL2A1	-2.069
DDN	0.08
FLJ25770	0.304818181818182
HK2	0.995714285714286
ELOVL6	-0.33
MDK	0.1065
EPHX1	0.91775
RASSF2	0.78725
DKFZP434B0335	-0.20825
DLX3	-0.947875
PRTN3	-0.74825
AVPR1A	0.76775
C21orf125	-0.0895
TNFAIP8	0.6965
GNB2L1	-1.102
CALCRL	3.32525
SCGB2A2	8.302
UBXD7	0.11325
ZNF674	0.038
TMEM35	-0.46925
BRSK2	-0.39575
HECTD3	0.178833333333333
TMEM188	0.34425
LGALS9	2.656625
SCARB2	0.6555
USP34	0.40975
C17orf28	2.00741666666667
ZDHHC23	0.037
AQP12B	0.7465
SLC16A3	0.251
APLP2	0.1765
ITIH2	-5.263
MICAL3	-0.5925
TNNI3K	-0.6519
HDAC2	1.845875
PRR7	0.3599
THBS2	0.849
LOC751071	0.021
CA2	-0.343333333333333
RANBP17	1.64275
RLN3	0.3315
CRYZ	-0.112666666666667
GBAS	0.734666666666667
TAS1R1	1.95725
MPZL3	1.5065
PCDH8	2.93075
HSP90B1	0.105333333333333
KCNK15	-1.5465
TNIP2	-0.3925
GPR146	-1.05725
NOL6	0.0265
SPC25	-1.929
STEAP2	0.496
VAMP3	0.183166666666667
TCIRG1	-0.347
ZP4	0.446666666666667
PARL	0.606625
TRIM39	0.648833333333333
KIAA1305	0.82625
CRNN	0.481833333333333
GRN	0.95775
HSH2D	-0.117
SCAMP1	-0.489125
KIAA1913	1.2455
PTS	0.35275
BANP	0.213214285714286
PRKACG	0.32575
ADCY6	-0.355
C16orf46	0.375
CYP51A1	0.220125
DDC	-1.9095
ANPEP	-0.0895
PROM1	3.36866666666667
SIGLEC10	2.7545
COPG	1.3635
FAM26E	2.027625
TRIP4	0.06725
SNX3	1.389
C1orf175	0.4275
PPY2	0.3405
C14orf152	2.161
FTSJ1	-0.0203333333333333
DST	0.62975
LOC554235	0.4065
GLRX5	-0.3725
C20orf12	1.2932
CAB39	0.298333333333333
MSH2	0.079
PIP4K2C	1.792375
CYLD	0.86675
WTAP	0.9478125
MGAT4A	2.11122222222222
TSC22D4	-0.2472
CHRM2	1.5685
PPYR1	0.208166666666667
CCNH	-1.71383333333333
RRM1	-0.41
ECAT8	-3.35475
LOC400120	0.35975
GABRA4	-0.253571428571429
C14orf4	0.418333333333333
C1orf59	0.9325
CTDSPL	-0.38725
NHEDC2	-1.3885
PDE11A	-1.17706666666667
KLHL29	-1.4025
CD5	0.2077
TSPAN9	2.6005625
WDR67	-0.63875
THUMPD1	0.4941
C18orf17	-1.25475
CLYBL	-1.4855
FLJ13231	-0.43225
CMBL	-1.251
LECT2	-0.78125
NKAPL	2.74533333333333
LOC654780	1.0275
OR4C6	0.0835
RAB30	-0.251666666666667
TSSK4	0.7885
TMEM163	2.5615
OSBPL11	0.750666666666667
GNB5	-1.18766666666667
CCL21	3.35625
C1orf121	1.1375
FMO2	2.776
RPTN	0.5385
MSTN	-0.0815
VCL	0.963142857142857
FYTTD1	0.06775
C11orf1	-0.93175
CCDC88C	0.51525
HFE	-0.420611111111111
MOGAT1	-0.964
FAM125B	0.548166666666667
IRGQ	1.1185
RAVER2	0.24125
AKAP5	-0.4705
SSSCA1	-0.71225
C11orf63	0.89725
ACTG2	3.1945
PORCN	-0.334
DTL	-0.0191818181818182
TMEM151	1.13625
FAM122C	0.5535
RSAD2	5.8222
BAT4	-0.8045
KRTDAP	-0.466166666666667
MYH8	0.34575
CRTC3	-0.14775
LRRFIP2	-0.4911
INTS4	-0.5655
TTN	-2.6755
SLC26A5	0.7805
PLLP	-1.40375
RGS6	2.66025
SRGAP3	-0.075375
ZNF525	0.221333333333333
NBR2	-0.657666666666667
C13orf1	0.0787
ZNF137	0.5555
CEP27	-0.504
BEST2	0.36
RNF121	-0.908
DMRTC2	1.819
C8orf76	-0.19775
BCCIP	0.79275
MEST	0.15025
HTRA2	0.2385
ANGPTL2	1.19975
ILKAP	0.096
ERAS	0.348
HBS1L	0.03475
CPA5	0.638
TMEM30A	0.974666666666667
CD300LF	3.39083333333333
WISP3	6.5005
CRK	0.434857142857143
PDS5A	-1.0003
BRPF3	0.988833333333333
NEDD9	0.8005
SMPDL3B	1.732
PSG6	0.72425
PSMD13	0.47025
ETV5	0.4585
OR51A4	0.4955
BTBD7	0.37875
GSTO1	-0.553125
hCG_16001	-0.158
MAD2L1BP	0.6205
COX6A2	-0.022
SCNN1A	2.58033333333333
LSM1	1.61083333333333
UGT2B11	0.661
IDUA	-0.34775
PPP2R3C	0.9025
COX11	-0.442666666666667
PDZK1	-4.086
ZNF443	0.336666666666667
MGC21874	0.121166666666667
ZNF323	3.5555
KRTAP10-10	0.2915
CXCL6	0.293
SLC34A2	3.6637
LOC284402	0.242
NPTN	0.602166666666667
UPP1	-0.899833333333333
SLC6A9	-0.934
OR7G3	0.114
CISD1	-0.0246666666666667
ZNF545	-0.243666666666667
SYT14	-0.563
NT5C3L	-0.786333333333333
ZNHIT3	-0.916166666666667
SNRPD3	-0.15075
KIAA0701	0.623625
UNC93B1	0.692666666666667
GMNN	0.273
SPCS2	-0.248666666666667
LOC388524	-0.3085
NAPRT1	0.050375
PNLIPRP1	0.21375
OR6V1	0.819
PRKAB1	0.486
EYA4	-4.613
KIF20A	-0.39125
ALG10	1.13975
ITPKC	1.34183333333333
LMX1B	0.3705
RPUSD4	-1.13883333333333
C7orf34	-0.0731666666666667
DLGAP2	0.3245
PFN1	0.6348
MICALL2	0.0949166666666666
ZNF654	-1.483
SS18L1	-0.415375
SLC16A8	-0.0825
MKI67IP	-0.278833333333333
ITGB3	-0.67375
TCEA3	2.70341666666667
CEP152	-2.475875
CLIP1	-0.00562500000000003
ZNF75	0.202625
ATP5C1	0.511666666666667
NUDT5	0.389333333333333
PSCDBP	1.01575
UBP1	-0.361
RBM27	-0.24475
C13orf15	2.260375
ZNF282	0.00383333333333332
ZNF222	1.1676
COL10A1	5.03625
PRDM15	-0.681875
TTTY5	-0.3515
FAM9C	-0.396583333333333
C20orf67	0.33975
GNG13	-0.931
F12	-0.03225
C1orf41	-0.25425
CPXCR1	-0.487
GSK3A	0.47975
SUPT6H	-0.197166666666667
PI16	0.3955
ELL2	-0.704416666666667
C9orf167	-1.25816666666667
PVRL3	-0.3835
FLJ38596	0.59575
ADAM20	-0.067
GPR89A	0.081
GPR87	0.04
ZNF30	0.7105
SMR3B	-0.607
ZNF770	0.36075
TRPC4AP	-0.403
DKFZP686E2158	-0.0346666666666667
C2orf28	0.914666666666667
FREM1	-1.77566666666667
LAMA4	0.640333333333333
ADPRHL2	0.928
EIF4G2	0.784666666666667
GUCA1A	0.0795
CTNNA2	-2.260125
NUDT15	-0.5715
CEPT1	0.0115
ZNFX1	0.998
CCDC92	1.2
TDRD1	1.054
KCNK5	0.287166666666667
ETNK1	1.22708333333333
LTA	0.7595
TTPA	0.33
B3GALNT2	-0.184
SC65	-0.884333333333333
PEX5L	-2.162
EPS15L1	0.5495
MGEA5	-1.147875
HIST1H3A	1.1995
ING1	0.319875
BCAT1	-1.2455
ORC6L	-1.51918181818182
KLK11	-1.73966666666667
C19orf28	-1.15375
DNER	-4.793
MED22	-0.759571428571429
ETV6	1.913
CHAC2	0.03275
CD300E	0.6845
CEBPB	1.07858333333333
ZNF398	-0.65825
LRCH3	-0.412
HMGA1	-1.3585
CAPN7	-0.306
MGC5566	-2.93925
CCL3	3.515
NANOS1	-1.025625
ZFYVE19	0.1005
APITD1	-0.668666666666667
PARD3	0.7365
IRAK4	0.3845
SERPINI2	-0.381
CEP170L	0.3965
TTC9	2.68
MYOM3	-1.48525
MLPH	-0.159
LOC222699	1.3255
NRG1	-1.86875
TBC1D9	-0.603909090909091
TTK	-0.173166666666667
ZNF557	0.7454
DDX41	0.229333333333333
FANK1	2.4285
UBE2D2	0.365375
PSMB10	0.742
MYH7B	-0.4705
GABARAPL2	-1.034375
MARVELD2	0.871166666666667
DGCR2	0.0616666666666667
UNC45A	-0.414
C6orf72	0.672
ZNF683	4.64825
GIT2	0.67175
CASK	1.52283333333333
C14orf161	0.558666666666667
LRRC44	-0.12325
TIFA	-0.445
UTP11L	-0.014625
C6orf65	-0.173
FDPS	1.333
DUSP9	-2.0278
SLC17A8	0.365833333333333
OR51G1	0.307666666666667
NANS	0.25975
OLFML1	1.92425
ATP10B	-0.951
NPAS3	-2.3525
PRKCA	-1.8432
GGA2	-0.266625
LCE4A	-0.054
SPANXN3	-0.08025
CCDC115	1.312625
SDCCAG3	-0.73075
GLIPR1L1	0.757333333333333
TTC1	0.04525
C17orf76	0.331
MAD2L2	-0.47125
HIPK1	-0.0202
LRRC3B	-0.412333333333333
CLN3	-0.537318181818182
C17orf47	1.2245
FMN2	-2.6965
TUBB1	-1.694875
WAPAL	0.256
C3orf21	0.441625
