Hybridization REF	TCGA-A2-A0YH-01A-11R-A109-07
DNAH17	-0.636375
C19orf10	-0.59975
C1orf160	0.12925
SLFN12	1.1445
EXOC3	-0.107833333333333
HIST3H3	0.349
NCOR2	0.0655
TNFRSF9	1.949
MFSD8	1.88375
ALX1	-3.21566666666667
NOL1	-0.276
PODN	2.323
TIAL1	-0.4905
HIST1H1E	1.60725
NPY6R	0.27375
TM4SF4	0.7265
CORO2A	0.554
ETNK2	2.1605
APOE	1.6138
ANGPT4	0.0465
HDGF2	-0.491
G30	0.9555
ST8SIA4	0.94875
F2RL1	0.04325
FAM19A4	-4.00825
CCAR1	-0.44375
B3GNT7	0.2695
OPHN1	-0.1417
DSCR6	0.983
C21orf13	0.4035
GAS2L1	0.4475
RFX3	0.505166666666667
COPS4	0.524
BCHE	-4.37416666666667
BCL2	0.641875
HBZ	-3.13116666666667
ARL13B	-0.601375
MAPBPIP	1.27625
MYO15B	-1.091375
SPZ1	-0.19875
KIAA1324	2.334
PLCL2	0.319125
C4orf29	-0.09975
WDFY2	-0.278375
ZNF284	0.003
NAALADL1	0.3755
DUSP5	1.57016666666667
PXDN	-0.7835
SLMO1	-0.64075
TNXB	-0.032
BIRC7	-0.74
A4GALT	1.15516666666667
TIMM22	0.19775
FAM110C	-0.0525
TOMM34	-0.412375
ABHD9	-0.12
ADAM32	3.729
CRHBP	0.8865
AQP2	0.332875
LOC130355	-0.16
ZNF187	0.3975
ZNF816A	1.207
F7	1.390125
CNOT1	-0.804
SLC13A4	0.10975
ZBTB11	-0.17975
B3GALT5	1.43275
EXOC2	1.31866666666667
IRS1	0.7788
TMEM1	-0.00133333333333333
MRPL34	0.0085
SAMM50	-0.3635
CDC42EP3	0.4035
HSF2	-0.679
MFN2	-0.38325
TSPAN7	-1.92416666666667
NUCB1	0.425166666666667
RHOH	-0.4045
ARL16	-0.2485
TACR1	0.2365
SFRS5	-0.473166666666667
SNX25	0.093375
RHBDF1	0.779333333333333
PCDH18	1.31833333333333
HMG1L1	0.12
MYO5C	0.775625
MAPK10	1.679
LDHAL6A	-0.254333333333333
NUDT12	0.301166666666667
NCAM1	-0.2355
GLIS2	-0.26
GGTL4	0.8245
DAPP1	1.17575
ATF7	0.273125
KIAA0748	-0.0375
NFIL3	-0.48475
TM6SF1	0.7021
SEZ6	0.098
NANOS3	-0.192833333333333
DNAJA3	0.759833333333333
CLDN6	-2.114
CIITA	2.9072
EPHA4	-0.665916666666667
FANCC	-1.8915
CMTM3	0.957875
PSG3	-0.691375
MRPL15	1.4325
C21orf59	-0.31725
PLCXD2	-0.19425
C2orf34	-0.275875
UBE2L6	2.470125
MED14	-0.291
HP1BP3	-1.1847
C6orf208	-0.248
TPBG	1.3695
OSR2	1.782125
XPC	0.457166666666667
KLHL7	-1.16183333333333
CCR3	0.3294
AGTPBP1	-1.38683333333333
PCSK6	0.903133333333333
STAT5A	-0.5568
FAM18B	0.42075
LONRF2	2.15033333333333
PTPN2	-0.384
SF3A3	-0.6965
EFCBP2	-0.482
HCFC1	0.343833333333333
AHNAK	0.96475
ACTR5	0.20225
KIF14	-1.56771428571429
TENC1	0.3695
HEATR5B	0.604
YIPF2	0.487666666666667
MYEOV2	0.459
DUSP18	0.76175
KIAA1012	0.37475
AHR	0.349333333333333
C17orf53	-0.9475
PTPRH	-4.25975
ATP6V1C1	2.319
TAS2R3	0.1305
LOC440356	2.26975
COQ10B	0.8175
PSMF1	0.828916666666667
SORBS2	1.18383333333333
NFE2L2	-0.283
TMCO7	-0.43325
SH3PXD2A	-0.6709
SH2D2A	-0.0285
SPINK5	-2.95525
MRPS24	-0.4205
OPA3	-0.11525
TRAF7	0.850166666666667
C4orf35	0.154333333333333
MT1G	-1.1015
MGC39545	0.25775
HS1BP3	-0.3612
OR2B2	0.2975
CHRM4	0.477
SFRP2	4.20866666666667
RIC3	-0.96625
ART1	0.1635
C6orf1	1.281875
DUS4L	-0.6335
C10orf104	0.2715
TNFAIP6	2.47225
RTEL1	-1.4925
CCT4	-0.98
ZNF709	-0.176
CHMP6	0.0526666666666667
UPP2	0.47375
CYP19A1	-1.210125
CD151	-1.42583333333333
NDUFA13	0.1865
ARFRP1	-0.644166666666667
FAM26B	1.556
CRYBA1	-2.3625
MRPL41	-0.571666666666667
NPFFR2	1.24225
HRH2	0.006
SCAMP3	0.7645
MTMR6	0.7337
MTG1	-0.612666666666667
UBTD1	0.76375
CRABP1	-0.9965
FLJ33790	0.5084
KIAA1908	-0.735333333333333
GPR158	0.0145
PACSIN3	-0.205
OMD	4.16466666666667
CATSPER1	0.323666666666667
HOXB8	-1.581125
FBXO46	0.5315
OAS1	3.39633333333333
SVIL	0.865
PHB2	-0.62025
ADCY3	-0.8745
NDRG2	0.604166666666667
ERMAP	1.1182
APBA2	-0.755333333333333
IGSF9	1.978
WNT6	-0.585642857142857
MYCBPAP	1.122
ATP2B2	-0.1641
CPVL	0.2438
TRAM2	-0.797166666666667
NOP5/NOP58	-0.9295
ZNRF4	-0.18425
TLK1	-0.0685
MTMR12	0.553785714285714
ZNF384	-0.0175
FAM9B	-2.72375
RPN1	0.9003
PMVK	1.08075
EIF3D	-0.2635
SIX2	-1.52825
HPS1	0.4085
RNF7	0.5905
PSKH2	0.118
KCTD13	0.299
CSMD3	0.9391
FBF1	0.003
IL8	-5.394
SERPINB13	0.4545
FBXL20	0.66725
BLR1	0.4995
SH2B1	-0.286
RFNG	0.149125
RAB20	1.251
RBM7	-0.346
POLR1A	-0.194166666666667
TMPRSS4	1.22625
TAF9	-0.63125
TERF2	-0.0111666666666667
TNFRSF1A	0.536916666666667
ACADVL	-0.511166666666667
GTF2H5	0.59575
EDG8	-0.139166666666667
C9orf140	-1.802875
UST6	-0.00225000000000003
ZBTB8OS	-1.111
ZNF710	0.4005
GPR174	-0.482
ATP6V0A2	-0.16225
KIAA0319L	0.12375
XKRX	0.2205
DOPEY2	1.5605
SDHD	-0.0755833333333333
SUMF1	1.66725
OSM	1.5995
OPN3	0.1115
DAGLB	0.0978333333333333
PPFIBP1	0.6155
TRIM63	-2.0825
C10orf53	-0.0625
LYPD3	-0.0305
BCL7A	0.334125
AGER	-1.46366666666667
TCF19	-0.290875
SAT2	-0.77625
PFTK1	-0.410666666666667
GABRE	-3.388625
C15orf38	1.5484
FIS1	0.082
KCNV2	-0.101
CLPS	0.5595
PPCDC	-0.532625
FOXN2	0.385
NT5E	-1.8066
CD83	0.699
IL18	2.198
VPS16	0.19225
IGFBP2	0.731166666666667
NOTCH2	0.47475
SIGLEC1	4.148375
CD93	4.831
SULF2	0.4645
CEP164	-0.312125
P53AIP1	0.0265
TOR2A	-0.0146666666666667
ZNF136	0.247
MGP	3.6974
CCDC144A	-0.167666666666667
TRPC1	-0.962333333333333
SMS	-0.000499999999999996
MAPK7	-0.689333333333333
RRAGC	0.838
PARD6A	-0.9165
NUB1	0.702666666666667
SYNGR4	-0.0315
OR11H12	0.287
WIF1	-0.03675
GCH1	1.182
OR11H4	0.202
SLC44A5	0.536
GPRIN2	1.39333333333333
LOC401431	1.11125
CPA4	-1.9206
MELK	-1.04644444444444
IL15RA	0.96375
CUL3	0.039375
HMBOX1	-1.43475
PODXL	-2.407
CCT6B	-0.430333333333333
COMTD1	-0.65025
MUC20	1.32033333333333
GPX2	-1.68875
ITK	0.277875
FBXL5	1.35325
C13orf27	-1.23425
DEFA5	0.331
TRHDE	-0.112
MTP18	-0.753833333333333
UQCRQ	-0.357
ITGB2	2.99925
CSRP2BP	0.70025
TAS2R44	0.0005
PHPT1	0.11575
FAM44C	0.64425
ERH	-0.253
MPHOSPH1	-0.642833333333333
MORC1	-0.0585
PARVB	-0.627
LAMA1	-1.758
PGBD3	-0.15525
GIMAP6	4.293
AREG	-2.378
LIPT1	-0.38325
MGC99813	-1.644
C1orf201	0.071
GRIN2A	-0.656333333333333
MAN2C1	-0.601125
NSUN5	-0.12675
SF3B5	0.61225
MYC	-0.5723125
NRXN1	-0.49575
ZNF18	0.187
SPDYA	-0.403375
SLC37A1	0.9715
DECR2	0.97525
ANKRD38	0.0125
SPTLC3	-0.0945
SUPT16H	0.52925
DTWD2	0.67025
ULBP1	-0.2915
ZADH1	0.468666666666667
OIP5	-1.9575
IL10RB	0.615
OTUB2	1.08025
VWA3A	0.367
SPIC	0.645166666666667
OR6C4	0.0675
PSCD4	1.85416666666667
DPY19L2P2	-0.132
TRAPPC6A	1.0625
C21orf2	-0.423333333333333
CEMP1	-0.81875
LIN7B	-0.172
E2F7	-1.85383333333333
VCP	0.7355625
LAMA3	1.39258333333333
BGN	1.67775
GPR160	1.92
COCH	-1.211
GPR81	1.7165
APOBEC3F	-0.47725
tcag7.1017	-0.78675
C1orf32	0.6905
SCGB1D2	5.478
FLJ43987	-0.3565
C6orf170	0.79825
KLK9	0.159
GPD1L	1.27125
VPS37B	-0.6055
ATG3	0.2435
ADAMTS17	0.043
KLHDC2	0.929833333333333
NDUFV2	0.1855
BLK	-2.81625
MATN4	-1.7625
GPM6A	1.00575
GBP4	4.70616666666667
TMEM162	0.1775
PKP2	0.404
HRASLS	-2.382
MMP1	-2.17475
SFXN3	-0.5243
FSD1	-1.81083333333333
ST6GALNAC3	-1.808
CA12	3.8407
NCOA6	0.36625
C19orf58	0.24
PPP4R1	0.952666666666667
MAN1A2	2.1165
IKBKAP	-1.26775
UPF1	0.271166666666667
KIAA1219	0.90075
WNT16	0.337666666666667
SNW1	0.32025
IL18RAP	3.519
RPP30	-0.254125
CDC40	0.774071428571428
SETD3	0.960666666666667
SLAMF6	1.447
ELK4	-0.137
TRIM47	-0.647333333333333
ACOX3	0.96275
TRIM6	0.641375
KIAA0372	-0.548166666666667
TP53AP1	-0.14025
SMURF2	-0.11325
ADAD1	0.635
EBP	-1.053
KRTAP13-2	-0.109
FLJ36874	-0.049
TOR1A	0.178833333333333
P2RY4	-0.091
GPBP1	0.225
TRPV1	-0.074125
ADAMTS12	0.656833333333333
PES1	-0.0646
ATG4A	0.725333333333333
MAGEA10	-4.62675
WFS1	1.22075
CC2D1B	-0.357
PABPN1	-0.6645
SLC25A30	-0.15475
SLCO1C1	0.071
SLC22A5	0.9
KIF23	-1.05216666666667
SYN2	-0.455666666666667
ASPN	7.191
CENTG2	1.2075
QSOX2	-1.9138
FLJ10815	-0.0381666666666667
STK24	0.45625
SPEG	-0.1608
STK10	0.424
DACT2	-0.3585
AAAS	-0.55825
SSX3	-1.2815
ABCD3	0.5827
C4orf12	-0.259
PARVG	1.66016666666667
FIG4	1.566
C9orf46	1.5395
TMCO6	-0.6985
IGHMBP2	-0.466
DUS2L	-0.7185
FAM3C	0.432875
TMEM16D	-2.21075
DCTN4	0.24725
KCNH3	0.29725
EIF2AK2	2.272
AP1S3	0.196875
CST4	-0.2305
PAM	0.41275
NUTF2	-0.67125
CITED2	0.834
SLC39A4	0.8965
C2orf52	-0.8415
GRM3	-0.24
C12orf49	1.108875
CCDC49	0.6103
GRAMD1B	-0.8345
FNDC4	0.277
SIAH2	1.485
GDPD4	0.1065
C21orf87	-0.0815
ATP5A1	0.1585
C16orf63	0.185625
LOC388135	1.68366666666667
ATP5J2	-0.117
MMP3	0.52025
EMID2	-0.53175
CRHR1	0.1515
WDR70	-0.309
C13orf31	1.71225
ZFAND1	0.79825
CCL18	3.70033333333333
C3orf49	0.0945
RINT1	-0.779
KIAA0408	-1.53683333333333
F13A1	4.8233
SLC10A1	-0.0748333333333333
OGN	3.75325
GIPC2	-2.145
XPO6	0.0593333333333333
LCE1A	0.6735
FMR1	0.8605
LOC374920	-1.14075
DUSP3	0.3105
ANKMY1	0.0605
C7orf50	0.338
BBS9	0.4681
UNC119B	-0.70275
C9orf72	0.862375
MGC35440	0.4545
ENTPD6	0.138625
PPP1R2P9	0.31275
ERCC4	0.75225
FAHD2B	-0.3525
HMHA1	0.507
HACL1	-0.298
RAD23A	-0.483833333333333
FAM83B	-0.62125
PPP5C	0.171
RNASEH2C	-0.19625
C9orf153	-0.47375
SCAMP4	0.59625
GHITM	0.5515
NDUFB7	-0.19875
ADCYAP1	0.985
SP110	3.1745
MAP3K7IP2	0.84975
DHH	-0.063
AGRN	0.0889285714285715
WDR33	-0.400833333333333
CEP290	0.317
PRPS1L1	-1.12383333333333
KLRA1	-0.235
GPR97	0.011
CHD7	-0.2535
TLR10	0.79825
SLC30A8	3.4185
HIC1	0.731
IAPP	0.372
RXFP4	0.30075
GP1BB	-0.3315
SHQ1	0.7445
NKX2-3	0.113
API5	0.35725
FTHP1	1.072
MOV10L1	0.427666666666667
TRIM6-TRIM34	2.1745
ADHFE1	1.047
FAM117A	-1.147
DDI1	0.551
CDON	0.0203333333333333
TRIM73	-1.034
IGKC	4.9505
MMP14	0.683916666666667
DYNC1LI1	0.84775
C11orf66	0.3205
TRBV3-1	-1.13725
FASTKD5	0.64175
BIVM	-0.7565
LHX4	-0.09825
CXCL2	-2.8482
RAB2B	0.391333333333333
IZUMO1	-0.575
MAP3K15	-2.1795
FAM19A2	0.886666666666667
ZC3H8	-1.284
ZMAT1	1.0535
SPINK5L3	-2.805
SLC10A6	0.1895
APPL2	0.07
CARD10	-0.518
LOC402176	-0.84375
EEF1D	0.9859
RAB6A	0.3452
C12orf5	-0.41125
PAPOLG	-0.1245
MSRB2	1.03725
BCR	1.39133333333333
PUS3	-0.59775
TIAM2	0.50725
ZNF317	0.0291666666666667
CHD2	-0.148785714285714
FZD5	-2.02695454545455
NUDT8	-2.8695
ZNF763	0.1765
PRC1	-1.18277777777778
ABCB9	0.708
SPATA3	0.2735
TRAK2	0.577875
STAB1	2.85525
LRRTM2	-0.0421666666666667
psiTPTE22	0.01125
DBI	0.6975
SERPINA11	-1.824
NAT5	0.9635
C20orf58	-2.4595
RPS6KA4	-0.115166666666667
FLJ90650	-0.775
TGFBRAP1	0.127
CHRDL2	0.818875
FAHD2A	-0.802
CNTN1	1.738
BBS4	-0.0705
TMEM181	-0.482
MINPP1	0.13125
MPHOSPH6	-0.931666666666667
HOXC10	1.4443
ITPKB	0.186
CLPTM1L	0.169375
MEOX2	-0.798
ATP6V0C	1.181375
PRPF8	-0.359666666666667
TMC5	1.6995
FKBP3	-0.1535
PLEKHB2	0.14125
OR4D6	0.02
ZNF544	-0.8993
D2HGDH	-0.76175
RPL18A	-0.6071
HEL308	-0.11225
MPP6	-2.88775
TCERG1	-1.1185
KRT16	-1.76916666666667
KLF17	-0.781
KLF5	-1.1095
CDR1	2.501625
VCX3A	-2.383
FBLN2	1.642
C14orf104	0.357
HBE1	-4.8243
OR4S2	0.2785
C1orf108	-0.127666666666667
ROBO4	2.85783333333333
CPEB4	1.4515
C11orf80	-0.322666666666667
BCKDHA	0.693
MYOC	0.94375
GIF	-0.43
CKMT1A	1.322
RPL3	-0.5477
THBS1	2.752
APOO	-1.18225
ARMCX1	0.64675
HSZFP36	0.53575
SNAPC5	0.35275
EIF4ENIF1	0.32475
ZNF433	0.3785
TNFRSF21	0.52775
TMPRSS7	0.057
SPATA18	1.242
HPDL	-1.769
MKL2	1.2366
TBX3	0.407769230769231
C21orf93	0.0528333333333333
DAXX	0.15625
ELMO1	0.204875
RGS13	3.3435
TAF11	-0.02875
UNC13A	-2.00625
LOC653314	-0.5887
ORC3L	0.4355
IMAA	-1.285
TARBP2	0.0425
CABIN1	0.3136
TRIOBP	-0.0118125
HIST1H2AC	0.793875
RGS22	-0.133833333333333
NCOA1	0.340833333333333
IL25	0.165
SNCG	3.6245
GPR6	0.4045
AMDHD1	0.458166666666667
CHEK2	-0.825875
C6orf142	-0.816
DRD4	0.39725
C14orf68	-0.7855
GDF11	-2.42725
SEMG2	0.0705
CD247	0.146
CDAN1	-0.0385
RBMX2	0.0768333333333333
TGS1	1.86525
OIT3	0.1815
SYF2	-0.153
MCM4	0.419
PKHD1L1	0.92475
CEP192	-0.764
IFT88	0.9205
RPL9	-1.05771428571429
RAB32	-0.012375
DDX43	0.0165
P2RX2	-0.0181666666666667
OR5D18	0.0495
UBE1	0.206
SLC24A1	0.8985
ARHGAP5	1.073
CETP	-1.0435
KIAA1731	-0.716
SLC9A4	0.4685
PTPN6	1.39075
BAHD1	0.28575
GRIK3	0.7405
CACNB2	-0.9978
PDE10A	-0.007
DGCR14	0.10225
PCDHB9	-1.40216666666667
RHOQ	0.714
MAP3K4	0.16825
KTI12	0.123166666666667
RPL23AP13	-1.51675
GNG11	-1.216
CLCN3	0.0545
GPAM	-1.124625
VSTM2A	2.8515
SLAMF7	4.20266666666667
INTS2	-0.52
PPP2CA	0.3377
LRP12	-0.162066666666667
SEC14L2	-0.333555555555556
DKFZP586H2123	2.52825
MC3R	0.468
CIRH1A	-1.456
HIST1H2AB	0.705
POLH	0.13325
MGC16703	-1.29766666666667
SNAPC2	-0.057
FILIP1L	1.555
RASGRP4	0.5805
LRRC1	1.228
GAS1	1.51525
PRAC	-0.89075
DGKA	-0.576333333333333
NT5C3	0.64575
PEG3	-0.250083333333333
NADK	0.107
PRR17	-0.90375
LOC374569	-0.4125
SGSH	0.262833333333333
NLRP8	-0.222
GALT	0.1548
MCF2	0.248
ZNF263	1.00525
TACSTD1	0.280833333333333
TYR	-6.2786
ATP6AP2	0.832
RNUXA	-0.24425
ABHD10	-0.1162
GDPD2	-0.46825
SLC35C1	-0.3365
UBE2A	0.149125
HERC5	2.407
FAM112B	-4.17433333333333
FBXL16	1.25875
DKFZP434A0131	-0.64775
ELA3A	-2.0225
RBM41	-0.755875
HAO2	0.24925
RNH1	0.15675
SHANK2	0.661833333333333
OSBP2	-1.259875
DAK	-0.507
C3orf58	0.184083333333333
TCL1B	3.2465
KBTBD2	-0.00762500000000001
SUGT1L1	0.32525
UBE2E2	0.475
MYL9	2.074
CDC23	-0.813166666666667
PBXIP1	0.5765
CXorf40B	0.8805
NBL1	1.12275
RTBDN	-0.234
RAB11FIP5	-0.245125
TTTY13	-0.1745
SCOTIN	1.239
SOHLH1	1.13183333333333
CDKN1A	0.450642857142857
NCK1	0.33925
ZNF550	-1.15775
SAPS3	0.0788333333333334
SPIN3	0.198
MAGEE2	0.12875
MIS12	-0.7415
OR8H2	0.4175
KIAA0774	-1.523
UNC5D	-1.225
CUL7	-0.996333333333333
LIPC	-2.57966666666667
DIO1	3.6935
C20orf11	0.6335
CTRL	-0.83875
HS3ST2	4.0705
PAK4	0.579666666666667
CCRL1	4.00325
RNF10	0.318
ZNF567	0.03
ZNF660	0.1665
TCEAL3	1.064
MAGOH	-1.13916666666667
CENPB	0.0745
C19orf7	0.187875
LOC388965	0.5255
ZCCHC13	-0.4665
JMJD1A	-0.9284
HIST1H4H	1.6665
TBRG1	-0.4854
GPC3	-3.5385
TAF1C	-1.2245
EBNA1BP2	-0.594833333333333
CIAPIN1	0.4075
PDGFRA	-0.204166666666667
CSTB	0.0965
CENPI	-0.7585
GTF2E2	-0.9025
RPP21	-0.362
CCNF	0.616333333333333
KCNQ3	0.6095
FAM79A	1.103
SLC22A12	0.083
NOVA1	2.04033333333333
FZD3	-1.1336
AKAP8	-0.10375
SOCS5	0.29475
CFDP1	-0.663
DLG5	0.513
PGM5	0.27
C1orf144	0.325916666666667
HDAC10	-1.385
RND2	0.5335
C20orf199	-2.12825
RNMT	-0.050375
SLURP1	0.8355
ASTN1	-0.542375
SH3BGR	1.1965
MYCL1	-0.698125
ZHX1	0.899666666666667
CENPK	-2.93975
FOSB	-0.3459
LOC643406	0.5955
C2orf59	-1.534125
TMEM135	1.395125
SLC27A2	-2.354
KRT33A	2.854
OVOL1	1.9655
PAMCI	-3.24783333333333
S100A7	-0.966
ZNF789	-1.593
HARS2	-0.16225
RPL23A	-0.319833333333333
TCF23	0.0205
UPF3B	-1.874375
C17orf78	0.447
HLA-DOB	1.01266666666667
C14orf142	0.3175
TEKT5	1.82833333333333
DMWD	0.1365
POLD1	-1.35033333333333
GSCL	-0.1725
CALD1	0.3429
SCRT1	-0.00766666666666667
AIG1	1.35925
UNC84B	0.45725
ZNF404	-0.63625
TMED6	-3.2665
KIAA1462	1.3805
LRRC27	1.69266666666667
PYGO1	-0.211
PIGU	0.272833333333333
ALAS2	-3.55683333333333
WRNIP1	0.337625
CNNM3	0.159
ZNF2	0.64625
ST3GAL5	0.246333333333333
MRPL23	-0.3035
TSSK6	-0.0115
PSMA6	0.56
C16orf70	-0.51375
KIAA1602	-0.0165
ALMS1	-0.232666666666667
DCN	3.318875
TMEM132D	-0.98525
SUCLG2	1.57575
ABHD14A	0.41
DEXI	0.8265
AMPD2	-0.507166666666667
IFNAR2	0.254333333333333
CYB5A	1.7146
TLOC1	0.29375
NXF5	-0.571166666666667
NRBF2	0.36125
KCTD3	1.50975
ITGAE	-2.119
SLC30A3	-1.8005
ZRF1	-0.957
IFRD2	-0.272
XAB1	0.1775
PYCR2	0.330666666666667
SERPINB3	-4.281
TMLHE	0.2601
GEFT	-0.253875
ABCA5	-2.228125
EMR4	0.2945
TSFM	-0.14525
HIST3H2BB	0.93175
ARHGEF19	1.08825
TSPAN17	0.226833333333333
ABCC8	3.58675
MAP1S	0.2385
C22orf36	1.579
BNC2	0.406
HIST1H4A	-0.49525
NDUFS3	0.102
WDR3	0.170833333333333
XKR4	-1.11775
TTC33	-0.536
STMN2	1.00775
CPN2	-0.884166666666667
HSPC105	1.204125
PCOLCE2	-5.0365
C3orf55	0.9025
KLHDC9	3.02316666666667
TBC1D23	0.298625
ATXN2L	-0.892333333333333
MAP2K3	-0.184416666666667
SCAP	0.10375
ZNF486	0.214
C20orf96	-0.604
NARS	-0.33975
ADAMTSL1	-0.162928571428571
PRCC	0.777666666666667
CCDC126	2.61075
ZNF675	0.56125
CALCOCO1	0.887
ANKRD43	2.14
CWF19L2	0.671333333333333
ZBTB32	2.3255
BRAF	3.24275
ODF4	0.17925
MGC14376	0.393166666666667
HORMAD1	-2.21166666666667
AAK1	-0.175666666666667
PEBP1	0.0543333333333333
TNFSF5IP1	0.576666666666667
DKFZp564N2472	0.3085
RMND1	0.25675
IGKV1-5	4.706
COL1A2	3.192
SERPINA5	2.327875
AANAT	0.4095
C19orf21	1.01033333333333
GEMIN5	0.04475
UBR4	-0.609166666666667
LTBP3	0.3865
AMHR2	-1.14133333333333
PROCR	-1.27525
MYBBP1A	-0.5195
C20orf39	1.39933333333333
ZNF697	-0.6035
PASK	-0.4862
ZNF776	0.220333333333333
RFXDC2	-0.634375
KIAA0467	-0.24025
C10orf96	-2.456
ZNF503	-0.351
GULP1	-1.21858333333333
KCNE4	2.84166666666667
DKFZp434K191	-1.1965
LOC196913	-0.113
BHLHB4	-0.3005
CH25H	1.12225
LOC81691	-0.391333333333333
ALPL	0.439714285714286
COL12A1	3.222625
FOLR3	-1.2845
GPR123	-0.000124999999999993
TRIM62	0.485785714285714
ABLIM1	0.295
MAST3	0.22725
RHBDD1	1.05133333333333
LOC338809	0.1095
RYBP	0.95275
TTC26	0.713875
ZNF22	0.966166666666667
ISCA2	0.6455
RDM1	-2.20325
PIGM	1.1675
GNB3	-1.029
ACTR2	0.5844
HMGB1	0.1333
EDG1	2.37266666666667
SOAT2	-3.1165
OR10AD1	-0.019
RAP1GDS1	0.727
LCE1F	0.1205
ESM1	-0.189625
RCN3	2.0195
CREBL1	-0.548
DBNL	0.650833333333333
PTGER3	2.77125
USP30	0.9685
BCL2L12	-0.529
KIF26B	2.62275
ZNF416	0.2505
ZNF225	0.3355
C17orf70	-0.5055
ZNF554	0.51475
RAE1	-0.546666666666667
TNIK	0.226833333333333
ACTN3	0.2415
MGC45922	-0.241
CCNA1	0.755166666666667
RYK	0.407
IL26	-0.4015
LRP3	0.0675
QARS	0.467
SOX7	0.303428571428571
BID	0.01075
OR2S2	0.3395
CXCL14	4.6745
C11orf47	-0.461
MGC29891	0.827
HSPB8	2.9406
PRDM14	-1.243
NUFIP2	0.21575
MNAT1	-0.0785
ZDHHC2	-0.923583333333333
MBNL2	0.41825
ADD3	-0.843375
CSNK2A1P	-0.71125
KLK6	-1.7155
TMEM111	1.0115
KIAA1279	1.41125
NUBP2	0.5715
RAB42	-0.01525
ID3	-1.0187
TM9SF1	1.23125
MDP-1	0.17375
POU4F2	-0.304
IQCK	1.45025
C16orf14	0.02125
CAPN3	-1.1475
FAM43B	-0.747
RECQL	-0.65475
AP1G1	-0.4605
CTNNBL1	0.626333333333333
ECHDC1	-0.418166666666667
SMARCC1	0.1301
FOXQ1	-2.152875
GNAI3	0.647666666666667
POLG2	-1.51675
CD4	1.386875
ITLN1	0.66
EBI2	4.33925
IRF1	0.96025
PTPRE	1.6178
PTK2B	-0.176
NXNL2	0.292
SOX4	-0.717944444444444
TSPAN3	0.632833333333333
SH2D1A	-1.93
C8orf58	-0.7895
USP20	-1.33725
DUSP22	-0.929333333333333
CALB1	-1.66683333333333
L3MBTL2	1.14283333333333
MCRS1	0.24425
TMEM118	-1.48266666666667
C18orf8	0.844166666666667
FLJ10241	0.45275
GJA12	-0.05575
PKD1	-0.478333333333333
ZFP3	0.3075
JAM3	-0.02725
LAPTM4A	0.1412
DIRC2	0.44925
KIAA2022	0.409833333333333
MYOM1	0.1075
TRPM8	-2.797
MOP-1	0.0285
PHKG2	-0.06975
ZNF650	0.37275
KIAA1522	0.918375
PSG8	-1.11133333333333
DDX19B	-0.3935
MOBKL1B	0.74775
DIAPH2	-0.118416666666667
PTPN12	0.11725
CLN8	-0.9212
CRYZL1	-0.196333333333333
CRY2	0.7
FCGR2B	4.92466666666667
PNPLA4	1.386
ZNF454	0.5255
DKFZp434B1231	0.05375
CLDN11	0.3862
RFWD2	0.4565
CIB2	0.3485
MXRA8	3.034625
HRK	-1.1515
MAML2	0.5105
C4orf31	-0.705
C6orf192	-0.37125
COG6	0.23925
FAM5B	0.0155
NFATC1	0.3492
SEPT10	-0.914
SCYL1	0.0883
RPP40	-0.5005
SCOC	0.7304
KIAA1450	1.23575
CTDSPL2	-0.3955
TBX5	2.433
NAPG	0.28225
RHD	-4.636
C14orf45	1.674
ZBTB22	0.9685
PLCG1	-1.107
ANKRD10	-1.548875
AQP7P2	-0.16175
TAGLN2	-0.323166666666667
HTR2C	-1.37216666666667
SLC16A7	-0.866333333333333
C17orf83	-0.124666666666667
TSGA14	-0.0256666666666667
MDH1	-0.98075
PPP3R2	0.140166666666667
DCBLD2	-2.667
RBM33	-0.122375
DPH3	-0.462
SYT10	-0.465
FMO4	1.8845
THYN1	-0.53225
DRD5	-1.722
OTOR	3.074375
PGRMC2	1.1096
KATNAL1	-1.094375
PAQR6	-2.36175
UBE2I	-0.0575
C14orf28	0.26225
C8orf70	-0.463
FLYWCH1	-0.708
ANGPTL3	-1.058
GLRX2	0.221833333333333
ATP11A	-0.524285714285714
ARL5B	0.681125
MUC16	-1.36125
SLC25A5	-0.3365
ACRC	-1.00275
MYO1C	-0.161875
FAM89B	0.304333333333333
FAS	1.2215
KIFAP3	1.2495
GLRA2	0.2795
BTN3A2	0.6364
CNKSR3	-0.61025
CSTF3	-0.7075
ARPM1	1.30925
KIAA1530	-1.104
C9orf150	3.32416666666667
PRKCI	0.43825
tcag7.1015	-0.52125
SOD3	-0.714
ZNF574	0.46575
CYP21A2	0.4265
RPL12	-0.72975
COMMD2	-0.047
WIZ	0.58675
LOC344405	-2.21925
ALDH4A1	-0.280352941176471
CRYAB	1.38675
COPA	0.489633333333333
PCDHGA7	0.253666666666667
KIF11	-0.888583333333333
RASD2	0.2215
SLC26A3	1.618
ZNF175	0.139
JAKMIP2	-1.089125
C8orf4	2.50183333333333
PTHLH	0.5075
SLC40A1	2.80541666666667
OR7D4	0.415833333333333
PCDHB17	-0.099
CD36	2.20042857142857
C6orf203	0.6658
PRKG2	-0.828
LOC400566	1.0025
ANAPC13	0.77925
SLCO3A1	-0.13225
ZNF692	-1.626
FANCL	-1.9045
