Hybridization REF	TCGA-BH-A0RX-01A-21R-A084-07
TUBD1	-0.98825
GNL3	-0.428375
BTG2	1.0958
NDUFS6	-0.542
C1orf79	-1.872
ERAL1	-0.151
ECHS1	0.5105
VPS4A	0.0791666666666667
CYP11A1	0.55975
ABCC6	-1.452
PBX4	-1.6785
MOSC1	0.6775
NCF4	1.172
HYMAI	0.5025
NAGPA	-0.775875
OTOP2	0.2515
ACOT12	-0.402666666666667
MTHFD2L	-1.013875
LOC441376	5.89875
C19orf34	-0.1155
RAB1B	-0.277
ALDOAP2	-2.0025
NTRK1	-0.791666666666667
ARTS-1	0.6856
SLC6A11	0.1535
NAP1L2	-1.16425
CNGB1	0.300833333333333
EPB41L4B	0.192166666666667
FAM134B	1.882875
HS3ST3A1	-0.917833333333333
CPXM2	5.43725
SIRPB2	0.3505
CHORDC1	-0.293333333333333
TRIB3	-1.03833333333333
SLC2A5	1.26675
C2orf49	-1.0925
DDX5	-1.08325
OR5L1	0.7675
ANAPC4	-1.31383333333333
ZSWIM1	0.443125
LOC93622	-0.94025
KCNK3	0.4525
RP11-35N6.1	-1.3005
ZFP161	-0.2855
AQP9	5.08425
SLC15A2	0.65
MREG	-1.29166666666667
OR9I1	0.046
PDLIM2	0.205125
ADAM7	0.728
GSTCD	-0.450666666666667
WDR21A	0.509875
SLC12A8	1.17516666666667
TMEM174	-0.15325
IGSF3	0.0443333333333333
LRRN1	-0.533
LOC402117	0.05975
SRPK1	-0.616833333333333
LY6K	-1.5029375
NFIA	2.541
PTCD3	-0.24325
LEP	1.627
PCDH21	0.0833333333333334
MAPKAPK2	0.961642857142857
NMNAT1	-0.959166666666667
LHFPL2	1.108625
C9orf43	0.17575
DIP2A	-0.894333333333333
ACTR8	-0.089875
CCDC34	-0.74775
PTPN22	0.258625
ITGA3	-1.32925
FAM129C	1.41725
RABGGTA	-0.341666666666667
UNC45B	1.3595
KIAA1033	0.23775
ZNF510	0.135
CYP2D6	-0.6735
SLC26A10	-2.2
STX8	-0.0015
LUZP1	0.155
WDR89	0.0233333333333333
EIF4G3	-0.1263
C5AR1	1.444
ZNF623	0.569
A2M	2.06325
TGM7	0.6965
GRPEL1	-0.583666666666667
LMNB2	-0.4931
ROCK2	0.699333333333333
SNX16	1.70825
CCDC66	-0.7285
ANXA3	0.5875
KIAA1609	0.827125
EED	-1.062
RNF32	-0.362
HES1	0.4044
CLC	0.184333333333333
ISL1	-0.511666666666667
KIAA0528	0.022
MANEA	0.208875
C1orf61	-1.368
hCG_2001000	1.013
RAPGEF6	-0.3165
KIAA0020	0.629333333333333
NEIL1	-0.47025
C16orf45	-1.45275
RBM10	-0.405166666666667
C10orf125	0.516125
MRS2L	0.2575
DNAH17	-0.651
C19orf10	-0.78125
C1orf160	0.224
SLFN12	0.7365
EXOC3	-0.2235
HIST3H3	0.02725
NCOR2	0.0453333333333334
TNFRSF9	2.31425
MFSD8	0.01575
ALX1	-2.92183333333333
NOL1	-0.389
PODN	2.0515
TIAL1	-0.94625
HIST1H1E	-0.83025
NPY6R	0.37875
TM4SF4	-0.04075
CORO2A	-0.3235
ETNK2	-0.1405
APOE	0.4948
ANGPT4	0.3395
HDGF2	-0.894
G30	0.266
ST8SIA4	0.695375
F2RL1	0.162125
FAM19A4	-1.826
CCAR1	-0.49325
B3GNT7	0.36675
OPHN1	-0.4935
DSCR6	0.473
C21orf13	-0.701833333333333
GAS2L1	0.355166666666667
RFX3	-0.1375
COPS4	-0.966125
BCHE	-3.89216666666667
BCL2	0.497375
HBZ	-3.07916666666667
ARL13B	-0.12575
MAPBPIP	0.962875
MYO15B	-0.944
SPZ1	0.68775
KIAA1324	0.691
PLCL2	-0.00675000000000001
C4orf29	-1.781
WDFY2	-0.627125
ZNF284	-0.252
NAALADL1	0.867
DUSP5	0.309166666666667
PXDN	1.881125
SLMO1	-0.296
TNXB	0.6533
BIRC7	-1.233
A4GALT	0.640833333333333
TIMM22	0.92075
FAM110C	-0.849
TOMM34	-0.297625
ABHD9	0.665
ADAM32	1.4715
CRHBP	-0.419
AQP2	0.269625
LOC130355	0.1985
ZNF187	-0.194
ZNF816A	0.365
F7	-0.946625
CNOT1	-0.0798
SLC13A4	0.434
ZBTB11	-1.043
B3GALT5	-0.3785
EXOC2	0.171333333333333
IRS1	-0.6133
TMEM1	-0.196666666666667
MRPL34	-0.449666666666667
SAMM50	-0.96075
CDC42EP3	0.251125
HSF2	-1.0439
MFN2	-0.666
TSPAN7	-1.45166666666667
NUCB1	0.875333333333333
RHOH	-0.4715
ARL16	-0.974
TACR1	0.0995
SFRS5	-1.18933333333333
SNX25	-0.926375
RHBDF1	-0.478
PCDH18	2.31683333333333
HMG1L1	0.63
MYO5C	-0.50325
MAPK10	0.68
LDHAL6A	0.755
NUDT12	-0.352666666666667
NCAM1	-0.188625
GLIS2	1.304
GGTL4	1.23825
DAPP1	0.926
ATF7	0.35475
KIAA0748	-0.06575
NFIL3	0.36175
TM6SF1	-0.1787
SEZ6	0.025375
NANOS3	0.239333333333333
DNAJA3	-1.22683333333333
CLDN6	-2.3935
CIITA	3.8991
EPHA4	0.88
FANCC	0.4295
CMTM3	0.89025
PSG3	0.272375
MRPL15	1.61725
C21orf59	-0.451
PLCXD2	0.4125
C2orf34	-0.028375
UBE2L6	2.0745
MED14	0.4205
HP1BP3	-0.7776
C6orf208	0.1075
TPBG	-0.927
OSR2	-1.44575
XPC	-0.549166666666667
KLHL7	0.410333333333333
CCR3	0.397
AGTPBP1	-0.876833333333333
PCSK6	-0.2904
STAT5A	0.441
FAM18B	-0.64025
LONRF2	-3.56916666666667
PTPN2	0.07875
SF3A3	-0.664166666666667
EFCBP2	-0.0475
HCFC1	-0.758833333333333
AHNAK	-0.36685
ACTR5	0.401
KIF14	-0.925571428571429
TENC1	0.68975
HEATR5B	0.1885
YIPF2	0.527333333333333
MYEOV2	0.281666666666667
DUSP18	1.09225
KIAA1012	-0.12675
AHR	1.9245
C17orf53	-1.181
PTPRH	-3.247
ATP6V1C1	-0.1721
TAS2R3	-0.6065
LOC440356	-1.84675
COQ10B	-0.21725
PSMF1	0.69925
SORBS2	1.98058333333333
NFE2L2	-0.56825
TMCO7	0.57275
SH3PXD2A	0.5613
SH2D2A	1.887
SPINK5	-2.917
MRPS24	-0.286
OPA3	0.584
TRAF7	-0.644333333333333
C4orf35	0.213333333333333
MT1G	0.211625
MGC39545	0.14575
HS1BP3	0.6765
OR2B2	0.8315
CHRM4	0.028
SFRP2	2.738
RIC3	0.07225
ART1	0.7435
C6orf1	0.3545
DUS4L	-1.17675
C10orf104	0.2705
TNFAIP6	2.95775
RTEL1	-0.80625
CCT4	-0.7644
ZNF709	-0.24275
CHMP6	0.0496666666666667
UPP2	0.192
CYP19A1	-0.56025
CD151	-0.308166666666667
NDUFA13	-0.282166666666667
ARFRP1	-0.522333333333333
FAM26B	1.8525
CRYBA1	-0.4955
MRPL41	0.245
NPFFR2	-0.899
HRH2	0.1905
SCAMP3	0.0466666666666667
MTMR6	0.6865
MTG1	-1.27983333333333
UBTD1	1.07
CRABP1	2.8095
FLJ33790	0.0674
KIAA1908	-1.52083333333333
GPR158	2.1845
PACSIN3	-0.227666666666667
OMD	1.2595
CATSPER1	0.200333333333333
HOXB8	-0.1975
FBXO46	1.262
OAS1	2.3685
SVIL	0.981
PHB2	-0.993
ADCY3	1.13
NDRG2	2.09283333333333
ERMAP	-0.1151
APBA2	0.155
IGSF9	2.7835
WNT6	1.7435
MYCBPAP	-0.8105
ATP2B2	1.2566
CPVL	0.5157
TRAM2	-0.443916666666667
NOP5/NOP58	0.037
ZNRF4	0.13025
TLK1	-0.440125
MTMR12	-0.0268571428571429
ZNF384	-0.750833333333333
FAM9B	-3.2585
RPN1	1.5634
PMVK	0.34925
EIF3D	0.0573
SIX2	0.5535
HPS1	0.800785714285714
RNF7	0.00574999999999999
PSKH2	0.418
KCTD13	-0.296
CSMD3	-0.2381
FBF1	0.0355
IL8	-2.912375
SERPINB13	0.173090909090909
FBXL20	0.681
BLR1	0.351
SH2B1	-0.908666666666667
RFNG	-0.449375
RAB20	0.753166666666667
RBM7	-0.90575
POLR1A	-0.675166666666667
TMPRSS4	-0.49475
TAF9	-1.207625
TERF2	-0.0865
TNFRSF1A	0.913833333333333
ACADVL	-0.710166666666667
GTF2H5	-0.35425
EDG8	0.099
C9orf140	-0.785625
UST6	0.52225
ZBTB8OS	-0.2865
ZNF710	0.0705
GPR174	-0.456
ATP6V0A2	0.461
KIAA0319L	0.0627500000000001
XKRX	0.2845
DOPEY2	0.1042
SDHD	-0.647583333333333
SUMF1	0.37725
OSM	3.13725
OPN3	0.69625
DAGLB	-0.564333333333333
PPFIBP1	0.4826
TRIM63	-3.349
C10orf53	0.073
LYPD3	-1.61916666666667
BCL7A	0.235625
AGER	-1.42866666666667
TCF19	-1.15025
SAT2	0.54
PFTK1	0.4055
GABRE	-1.660875
C15orf38	0.5692
FIS1	0.0485
KCNV2	-0.50025
CLPS	-0.02725
PPCDC	-0.939625
FOXN2	1.9195
NT5E	-2.2556
CD83	1.15225
IL18	0.577
VPS16	-0.2515
IGFBP2	-0.0356666666666666
NOTCH2	-0.1495
SIGLEC1	2.808
CD93	6.0855
SULF2	-0.029
CEP164	0.256125
P53AIP1	-0.5475
TOR2A	0.0328333333333333
ZNF136	0.56775
MGP	4.314
CCDC144A	0.0578333333333333
TRPC1	-1.12866666666667
SMS	-0.457333333333333
MAPK7	-0.2455
RRAGC	0.924
PARD6A	0.223166666666667
NUB1	0.6455
SYNGR4	0.53775
OR11H12	0.48
WIF1	3.846
GCH1	0.73375
OR11H4	-0.1585
SLC44A5	-0.3
GPRIN2	2.76033333333333
LOC401431	0.68425
CPA4	-0.000899999999999979
MELK	0.0133333333333333
IL15RA	2.24525
CUL3	-0.790375
HMBOX1	-0.212
PODXL	-1.06575
CCT6B	0.379833333333333
COMTD1	0.3265
MUC20	-0.511333333333333
GPX2	-1.8885
ITK	0.332375
FBXL5	0.7075
C13orf27	-1.30425
DEFA5	0.64
TRHDE	0.5825
MTP18	-0.323
UQCRQ	-0.4112
ITGB2	2.61183333333333
CSRP2BP	0.31325
TAS2R44	0.465
PHPT1	-0.17125
FAM44C	-0.76625
ERH	0.0325
MPHOSPH1	-1.21766666666667
MORC1	-0.403
PARVB	-0.0935
LAMA1	-1.79116666666667
PGBD3	0.65025
GIMAP6	4.76225
AREG	-4.733
LIPT1	-0.63725
MGC99813	-0.78925
C1orf201	-0.00466666666666667
GRIN2A	-0.4601
MAN2C1	-1.76725
NSUN5	-0.53075
SF3B5	0.5595
MYC	0.0752499999999999
NRXN1	2.99716666666667
ZNF18	0.8945
SPDYA	-0.22675
SLC37A1	1.5015
DECR2	-0.125
ANKRD38	1.80325
SPTLC3	-0.0864166666666667
SUPT16H	-0.3085
DTWD2	-0.41775
ULBP1	0.4375
ZADH1	-1.40216666666667
OIP5	-1.77325
IL10RB	-0.0646666666666667
OTUB2	-0.44825
VWA3A	-0.0908333333333333
SPIC	0.176166666666667
OR6C4	0.055
PSCD4	1.908
DPY19L2P2	-0.4285
TRAPPC6A	-0.0675
C21orf2	-1.21033333333333
CEMP1	-1.201
LIN7B	0.1755
E2F7	-2.05166666666667
VCP	0.3726875
LAMA3	0.0264166666666667
BGN	2.342
GPR160	-1.81766666666667
COCH	-0.0543333333333333
GPR81	1.3215
APOBEC3F	-0.69375
tcag7.1017	-0.83725
C1orf32	0.579
SCGB1D2	3.8535
FLJ43987	0.295
C6orf170	0.22275
KLK9	0.3075
GPD1L	-0.595625
VPS37B	-0.007
ATG3	-0.3705
ADAMTS17	0.081
KLHDC2	-1.19833333333333
NDUFV2	-0.59875
BLK	-0.36975
MATN4	0.105
GPM6A	0.097875
GBP4	5.99366666666667
TMEM162	0.237666666666667
PKP2	-0.2795
HRASLS	1.33877777777778
MMP1	1.648
SFXN3	-0.4446
FSD1	-1.9915
ST6GALNAC3	-1.3775
CA12	-0.2986
NCOA6	0.44775
C19orf58	0.1328
PPP4R1	-0.224666666666667
MAN1A2	0.999666666666667
IKBKAP	-1.6935
UPF1	0.0446666666666667
KIAA1219	-0.22
WNT16	0.640666666666667
SNW1	-0.703875
IL18RAP	4.5205
RPP30	-0.00449999999999999
CDC40	0.0468571428571428
SETD3	0.142166666666667
SLAMF6	0.92475
ELK4	-0.5365
TRIM47	0.701333333333333
ACOX3	1.336
TRIM6	1.127625
KIAA0372	-0.8695
TP53AP1	-0.917
SMURF2	0.22375
ADAD1	0.36225
EBP	-0.2262
KRTAP13-2	0.1375
FLJ36874	-0.734
TOR1A	0.3275
P2RY4	1.77
GPBP1	-0.58025
TRPV1	0.18875
ADAMTS12	0.947666666666667
PES1	0.2923
ATG4A	1.01416666666667
MAGEA10	-4.04775
WFS1	0.15425
CC2D1B	0.316
PABPN1	-0.059
SLC25A30	-0.29975
SLCO1C1	0.100833333333333
SLC22A5	0.296
KIF23	-1.6995
SYN2	0.826166666666667
ASPN	6.31433333333333
CENTG2	-0.49475
QSOX2	-1.0362
FLJ10815	0.919
STK24	-0.5440625
SPEG	0.0442
STK10	0.489833333333333
DACT2	-0.5055
AAAS	-1.14925
SSX3	-1.111375
ABCD3	-0.6024
C4orf12	-1.083
PARVG	1.82933333333333
FIG4	-0.1915
C9orf46	1.0705
TMCO6	-1.1895
IGHMBP2	-1.16125
DUS2L	0.111666666666667
FAM3C	-0.2590625
TMEM16D	-1.411125
DCTN4	-0.0905
KCNH3	-0.204
EIF2AK2	2.67475
AP1S3	-0.55925
CST4	0.6085
PAM	0.8149375
NUTF2	0.89325
CITED2	0.8485
SLC39A4	0.87125
C2orf52	-1.525
GRM3	0.0265
C12orf49	0.253
CCDC49	-0.2967
GRAMD1B	-0.53875
FNDC4	1.046
SIAH2	-0.82575
GDPD4	0.1925
C21orf87	0.480375
ATP5A1	-0.733166666666667
C16orf63	-1.062375
LOC388135	-0.723833333333333
ATP5J2	0.1725
MMP3	3.18925
EMID2	0.03475
CRHR1	0.70075
WDR70	0.34725
C13orf31	1.7995
ZFAND1	-0.1185
CCL18	4.651
C3orf49	0.146
RINT1	-0.9335
KIAA0408	-1.39583333333333
F13A1	4.1511
SLC10A1	0.164333333333333
OGN	-0.62775
GIPC2	-0.886333333333333
XPO6	-0.5295
LCE1A	1.742
FMR1	0.4905
LOC374920	-0.4355
DUSP3	0.57075
ANKMY1	-0.82875
C7orf50	0.1275
BBS9	-0.3662
UNC119B	-1.09725
C9orf72	0.31625
MGC35440	-0.373
ENTPD6	0.3
PPP1R2P9	1.03225
ERCC4	0.21125
FAHD2B	-0.3245
HMHA1	0.174
HACL1	-0.9215
RAD23A	-0.345833333333333
FAM83B	1.46325
PPP5C	-0.933333333333333
RNASEH2C	-0.196
C9orf153	-0.275
SCAMP4	0.764375
GHITM	-0.1393
NDUFB7	0.36475
ADCYAP1	2.95016666666667
SP110	2.015
MAP3K7IP2	0.06125
DHH	0.6665
AGRN	0.236071428571429
WDR33	-0.0216666666666667
CEP290	0.258666666666667
PRPS1L1	-1.37016666666667
KLRA1	-0.929
GPR97	0.0135
CHD7	1.75983333333333
TLR10	1.07975
SLC30A8	-0.445
HIC1	1.86733333333333
IAPP	1.201
RXFP4	0.16475
GP1BB	1.37675
SHQ1	-0.036
NKX2-3	0.31
API5	-0.23
FTHP1	0.47
MOV10L1	1.69616666666667
TRIM6-TRIM34	2.57566666666667
ADHFE1	-0.52375
FAM117A	-0.5525
DDI1	0.415666666666667
CDON	-0.537166666666667
TRIM73	-0.0545
IGKC	6.5375
MMP14	0.273666666666667
DYNC1LI1	-0.346
C11orf66	-0.208
TRBV3-1	-0.39075
FASTKD5	0.49575
BIVM	-0.791
LHX4	-0.36425
CXCL2	-0.849
RAB2B	-1.2335
IZUMO1	-0.74675
MAP3K15	-1.320125
FAM19A2	-0.0206666666666667
ZC3H8	-1.0595
ZMAT1	0.201125
SPINK5L3	-1.53825
SLC10A6	1.001
APPL2	-0.47325
CARD10	-0.335
LOC402176	-0.64975
EEF1D	1.0609
RAB6A	0.6626
C12orf5	-0.756125
PAPOLG	0.3045
MSRB2	2.14825
BCR	0.804388888888889
PUS3	0.67675
TIAM2	0.27775
ZNF317	-0.152
CHD2	-0.217
FZD5	-0.954636363636364
NUDT8	-0.62125
ZNF763	0.1385
PRC1	-1.71555555555556
ABCB9	-0.114833333333333
SPATA3	0.27225
TRAK2	-0.124125
STAB1	3.4715
LRRTM2	-0.00583333333333334
psiTPTE22	1.4375
DBI	0.3235
SERPINA11	-2.53025
NAT5	0.61275
C20orf58	-2.62575
RPS6KA4	0.624833333333333
FLJ90650	-0.766
TGFBRAP1	0.20925
CHRDL2	3.665125
FAHD2A	-0.253166666666667
CNTN1	0.23475
BBS4	-1.1106
TMEM181	-0.8285
MINPP1	-0.9245
MPHOSPH6	-0.416333333333333
HOXC10	1.5465
ITPKB	0.625375
CLPTM1L	0.26575
MEOX2	-0.629833333333333
ATP6V0C	-0.136875
PRPF8	-0.0756666666666667
TMC5	1.20775
FKBP3	-1.37
PLEKHB2	-0.548
OR4D6	-0.003
ZNF544	-0.6277
D2HGDH	-1.035
RPL18A	0.2517
HEL308	-0.523625
MPP6	-1.106
TCERG1	-1.24725
KRT16	0.811833333333333
KLF17	-0.90675
KLF5	-0.407625
CDR1	2.958
VCX3A	-4.489
FBLN2	1.798375
C14orf104	-0.329
HBE1	-4.8666
OR4S2	0.1185
C1orf108	-0.202
ROBO4	4.20483333333333
CPEB4	0.48825
C11orf80	-1.05833333333333
BCKDHA	-0.163333333333333
MYOC	0.23675
GIF	0.309
CKMT1A	1.744
RPL3	-0.069
THBS1	2.939125
APOO	-0.2265
ARMCX1	1.68025
HSZFP36	0.1415
SNAPC5	-0.41
EIF4ENIF1	0.852
ZNF433	-0.154
TNFRSF21	2.259375
TMPRSS7	0.801
SPATA18	0.7955
HPDL	-0.7355
MKL2	0.6544
TBX3	-0.196461538461538
C21orf93	0.791666666666667
DAXX	0.00175
ELMO1	0.807
RGS13	1.321
TAF11	-1.037
UNC13A	-1.300625
LOC653314	-0.1174
ORC3L	-0.6475
IMAA	-3.259
TARBP2	-0.498
CABIN1	0.5421
TRIOBP	0.0485
HIST1H2AC	0.23
RGS22	-2.9035
NCOA1	1.57916666666667
IL25	0.1255
SNCG	2.9095
GPR6	0.0635
AMDHD1	-1.85216666666667
CHEK2	0.549625
C6orf142	0.09225
DRD4	0.8375
C14orf68	-1.09475
GDF11	-1.52425
SEMG2	-0.3915
CD247	0.8825
CDAN1	-0.7535
RBMX2	0.0603333333333333
TGS1	0.649
OIT3	1.13825
SYF2	-0.5935
MCM4	0.1255
PKHD1L1	1.04275
CEP192	-1.09333333333333
IFT88	-0.39075
RPL9	-0.204428571428571
RAB32	0.475625
DDX43	1.364
P2RX2	0.651833333333333
OR5D18	0.693
UBE1	-0.521916666666667
SLC24A1	-0.568125
ARHGAP5	-0.04
CETP	0.231
KIAA1731	-0.366833333333333
SLC9A4	0.616
PTPN6	1.17375
BAHD1	0.19975
GRIK3	0.035
CACNB2	-1.0888
PDE10A	-0.328
DGCR14	0.4745
PCDHB9	-0.061
RHOQ	1.392
MAP3K4	0.105
KTI12	0.8765
RPL23AP13	-1.8745
GNG11	0.35525
CLCN3	0.5345
GPAM	-0.197875
VSTM2A	0.366
SLAMF7	4.92233333333333
INTS2	-1.5675
PPP2CA	-0.5916
LRP12	1.4158
SEC14L2	0.786333333333333
DKFZP586H2123	2.9055
MC3R	-0.4305
CIRH1A	-0.583666666666667
HIST1H2AB	0.442
POLH	-0.657
MGC16703	-3.079
SNAPC2	-0.439
FILIP1L	1.4815
RASGRP4	0.6965
LRRC1	1.06675
GAS1	3.0855
PRAC	-0.74
DGKA	-0.46
NT5C3	0.024
PEG3	-0.454333333333333
NADK	-0.624
PRR17	0.9335
LOC374569	-0.432
SGSH	-0.246666666666667
NLRP8	0.729
GALT	0.3855
MCF2	-0.282
ZNF263	-0.7285
TACSTD1	1.31166666666667
TYR	-5.9909
ATP6AP2	0.1985
RNUXA	-0.63175
ABHD10	-0.1031
GDPD2	-0.42725
SLC35C1	0.736
UBE2A	0.268125
HERC5	1.24533333333333
FAM112B	1.15783333333333
FBXL16	-2.40525
DKFZP434A0131	-0.7055
ELA3A	-2.7375
RBM41	-0.780375
HAO2	0.0476666666666667
RNH1	-0.41575
SHANK2	0.768666666666667
OSBP2	-1.002875
DAK	-1.47783333333333
C3orf58	0.391666666666667
TCL1B	4.326
KBTBD2	-0.351375
SUGT1L1	-0.1795
UBE2E2	0.4885
MYL9	2.972125
CDC23	-0.898166666666667
PBXIP1	1.3845
CXorf40B	0.26
NBL1	0.7325
RTBDN	0.4805
RAB11FIP5	0.238875
TTTY13	-0.739
SCOTIN	0.36
SOHLH1	-0.293
CDKN1A	-0.454714285714286
NCK1	0.459
ZNF550	-1.03625
SAPS3	0.173916666666667
SPIN3	-0.119833333333333
MAGEE2	0.256
MIS12	-0.684666666666667
OR8H2	0.4225
KIAA0774	-1.214
UNC5D	-1.459
CUL7	-1.383
LIPC	-2.77966666666667
DIO1	-0.72475
C20orf11	0.3608
CTRL	-0.32575
HS3ST2	1.599
PAK4	1.02483333333333
CCRL1	3.4765
RNF10	0.364375
ZNF567	0.79925
ZNF660	0.0525
TCEAL3	0.00025
MAGOH	0.869333333333333
CENPB	0.628666666666667
C19orf7	0.887125
LOC388965	0.1455
ZCCHC13	0.9295
JMJD1A	-1.4365
HIST1H4H	-0.3855
TBRG1	-0.796
GPC3	-0.358875
TAF1C	-0.801625
EBNA1BP2	-0.56
CIAPIN1	0.42125
PDGFRA	0.522666666666667
CSTB	0.214375
CENPI	-0.42
GTF2E2	-0.183833333333333
RPP21	0.8415
CCNF	-1.00633333333333
KCNQ3	0.888
FAM79A	0.34925
SLC22A12	0.5125
NOVA1	-0.931833333333333
FZD3	0.6249
AKAP8	-0.15775
SOCS5	0.13325
CFDP1	-0.909
DLG5	0.39525
PGM5	0.525166666666667
C1orf144	0.25975
HDAC10	-1.6185
RND2	0.929
C20orf199	-1.2055
RNMT	-0.031875
SLURP1	1.076875
ASTN1	-0.193625
SH3BGR	-0.402
MYCL1	-0.703
ZHX1	-0.458833333333333
CENPK	-3.4565
FOSB	-0.0472
LOC643406	0.50675
C2orf59	-0.283625
TMEM135	-0.6525
SLC27A2	-2.3275
KRT33A	0.866
OVOL1	0.657
PAMCI	1.51833333333333
S100A7	-0.3365
ZNF789	-1.3315
HARS2	-0.4255
RPL23A	-0.117333333333333
TCF23	-0.323
UPF3B	-1.281875
C17orf78	-0.98
HLA-DOB	2.07083333333333
C14orf142	-0.4765
TEKT5	-0.215333333333333
DMWD	0.4155
POLD1	-1.3955
GSCL	0.432
CALD1	0.9391
SCRT1	0.408
AIG1	0.59125
UNC84B	0.015
ZNF404	-0.09325
TMED6	-3.344
KIAA1462	0.2625
LRRC27	1.5525
PYGO1	0.8985
PIGU	-0.691666666666667
ALAS2	-3.64216666666667
WRNIP1	0.370375
CNNM3	-0.7795
ZNF2	-0.08825
ST3GAL5	-0.132416666666667
MRPL23	-0.1635
TSSK6	-0.26025
PSMA6	-0.71275
C16orf70	0.41825
KIAA1602	0.22875
ALMS1	0.425666666666667
DCN	2.172875
TMEM132D	-0.05425
SUCLG2	-0.0955
ABHD14A	0.221
DEXI	-0.115166666666667
AMPD2	-1.33833333333333
IFNAR2	-0.0125
CYB5A	1.3251
TLOC1	0.01985
NXF5	-1.23233333333333
NRBF2	0.79075
KCTD3	0.5095
ITGAE	-0.056
SLC30A3	-2.09866666666667
ZRF1	-0.557
IFRD2	-0.6085
XAB1	-0.15
PYCR2	-1.04416666666667
SERPINB3	-4.086
TMLHE	0.1258
GEFT	-1.376
ABCA5	-1.0135
EMR4	0.265166666666667
TSFM	0.0495
HIST3H2BB	-0.66525
ARHGEF19	0.39825
TSPAN17	0.1915
ABCC8	0.88125
MAP1S	0.566833333333333
C22orf36	2.7785
BNC2	-0.236285714285714
HIST1H4A	-0.3075
NDUFS3	-0.409
WDR3	-0.3795
XKR4	-0.256
TTC33	-0.130785714285714
STMN2	2.7255
CPN2	-0.723
HSPC105	1.474
PCOLCE2	-0.791
C3orf55	1.5995
KLHDC9	2.64083333333333
TBC1D23	-0.27625
ATXN2L	-1.22566666666667
MAP2K3	0.85025
SCAP	-0.53975
ZNF486	1.164
C20orf96	1.12775
NARS	0.03675
ADAMTSL1	-0.404642857142857
PRCC	0.988166666666667
CCDC126	0.7385
ZNF675	-0.076
CALCOCO1	0.0205
ANKRD43	-0.2805
CWF19L2	-0.0233333333333333
ZBTB32	2.43916666666667
BRAF	0.5225
ODF4	0.0315
MGC14376	0.699666666666667
HORMAD1	4.07066666666667
AAK1	0.0454166666666666
PEBP1	0.93175
TNFSF5IP1	-0.1595
DKFZp564N2472	0.74525
RMND1	-0.7575
IGKV1-5	5.67225
COL1A2	2.6855
SERPINA5	-1.595375
AANAT	0.225
C19orf21	-1.75416666666667
GEMIN5	-0.09575
UBR4	-0.39
LTBP3	0.578166666666667
AMHR2	-2.34433333333333
PROCR	-0.15575
MYBBP1A	0.63775
C20orf39	0.794333333333333
ZNF697	-0.434375
PASK	-0.5069
ZNF776	0.354333333333333
RFXDC2	-0.2585
KIAA0467	0.0025
C10orf96	-1.61175
ZNF503	-0.36775
GULP1	-0.955583333333334
KCNE4	0.972666666666667
DKFZp434K191	0.977
LOC196913	-0.211
BHLHB4	1.2415
CH25H	1.7575
LOC81691	-1.40733333333333
ALPL	0.797428571428571
COL12A1	2.02225
FOLR3	-1.65833333333333
GPR123	0.1045
TRIM62	-0.246428571428571
ABLIM1	1.47683333333333
MAST3	-0.689
RHBDD1	0.191
LOC338809	1.0205
RYBP	0.7045
TTC26	-0.470375
ZNF22	1.17616666666667
ISCA2	-0.9665
RDM1	-2.32725
PIGM	0.8185
GNB3	-1.6035
ACTR2	0.9888
HMGB1	0.43235
EDG1	3.5175
SOAT2	-2.6455
OR10AD1	-0.084
RAP1GDS1	0.3385
LCE1F	0.276
ESM1	-0.072875
RCN3	3.4365
CREBL1	-0.52725
DBNL	-0.322666666666667
PTGER3	1.326125
USP30	0.4315
BCL2L12	0.319833333333333
KIF26B	2.117
ZNF416	0.7445
ZNF225	-0.3295
C17orf70	-0.535
ZNF554	0.24925
RAE1	-0.709666666666667
TNIK	1.08616666666667
ACTN3	-0.061
MGC45922	1.3815
CCNA1	2.18633333333333
RYK	1.01766666666667
IL26	-0.336
LRP3	1.30633333333333
QARS	-0.9335
SOX7	1.1855
BID	0.994125
OR2S2	0.4515
CXCL14	2.79275
C11orf47	-0.9915
MGC29891	0.385833333333333
HSPB8	0.8453
PRDM14	-0.526
NUFIP2	0.09875
MNAT1	-1.021125
ZDHHC2	-0.84275
MBNL2	-0.092875
ADD3	0.246125
CSNK2A1P	-0.2765
KLK6	5.50933333333333
TMEM111	-0.6717
KIAA1279	-0.0285
NUBP2	-0.306333333333333
RAB42	-1.0675
ID3	-0.5894
TM9SF1	-0.3545
MDP-1	-1.24175
POU4F2	1.16175
IQCK	0.86575
C16orf14	-0.93825
CAPN3	-1.813625
FAM43B	0.31025
RECQL	-0.46925
AP1G1	0.490928571428571
CTNNBL1	-0.278333333333333
ECHDC1	-0.508666666666667
SMARCC1	0.7307
FOXQ1	-1.521875
GNAI3	-0.2665
POLG2	-2.56925
CD4	1.45175
ITLN1	0.91625
EBI2	4.866
IRF1	2.02
PTPRE	2.8756
PTK2B	-0.02425
NXNL2	-0.996
SOX4	0.504722222222222
TSPAN3	0.403833333333333
SH2D1A	0.156
C8orf58	-0.217
USP20	-1.04
DUSP22	-0.44
CALB1	-1.96266666666667
L3MBTL2	1.02658333333333
MCRS1	-0.21575
TMEM118	0.487833333333333
C18orf8	0.729
