Hybridization REF	TCGA-AN-A0AM-01A-11R-A034-07
GABRB3	0.2795
PCBD1	0.727833333333333
TAF3	1.1385
HOXD3	-0.0845
GIPC3	-0.0226666666666667
P11	-0.0267
BFSP1	-0.58425
LCP2	0.79725
TAS2R8	0.2055
SEZ6L	-0.77425
NR2C1	-1.385375
EXDL2	1.0363
TNFRSF13B	-1.73166666666667
MKI67	-1.37225
GLS	0.0243333333333333
C7orf54	-0.2676
LGALS13	0.339333333333333
IL4R	1.1125
SEC11A	0.052
SPP2	0.287333333333333
C18orf32	0.4205
CLSPN	-1.0795
SPAG1	0.90425
C9orf82	-0.58075
TM4SF1	-0.365166666666667
EMILIN2	1.3305
SMG7	-0.0458333333333333
TAS2R13	0.4575
ZNF628	0.764
DZIP1L	-0.2625
ANKRD13A	-0.3477
VASP	1.5025
ZCCHC11	-0.4795
SYPL1	-0.585
MGC34774	0.27875
C4orf28	-1.219625
KIAA1211	-0.17325
RPS27L	-0.18975
TATDN3	-0.66175
PDCD1	1.66475
OR5P2	0.6245
IFIT1L	0.128
MIPOL1	0.1335
OR51D1	0.43625
C1orf92	-0.445166666666667
LAMP2	0.793166666666667
CAT	0.214
C16orf80	-0.73175
C15orf32	0.318
ZNF746	-0.1625
C1orf76	-0.8395
ATXN1	0.1335
LAMC2	1.113625
SLC2A7	-0.151
CPOX	-1.562
APH1B	0.827833333333333
LOC442245	-0.78825
CTNND1	0.229666666666667
GABRG2	-0.2535
MADCAM1	-0.2595
F5	-1.230875
SEMA4F	0.367666666666667
NUDCD3	0.134375
PDZD11	0.266
TRIML1	0.3985
GCNT3	-2.046
TMEM120A	0.7835
CNDP1	0.906
N4BP1	0.0585
SLC35F2	-1.03825
LCP1	-0.969083333333333
IGBP1	0.1955
DCAKD	-0.71125
ELA2A	-0.7375
C12orf56	2.600875
PITRM1	0.833357142857143
GUK1	1.13033333333333
RASSF8	-1.197125
OR2A14	0.5965
ADM	-1.24877777777778
FGD3	0.721666666666667
GHRHR	0.329166666666667
RHPN2	-0.347
C4orf39	-0.513333333333333
VPS72	0.30425
SERF2	-0.0589444444444444
CD22	-0.165166666666667
CD47	-0.0427
PPIC	1.43616666666667
IMPDH1	-0.381
ACP6	1.75866666666667
PRKACA	0.263625
PPP1R1A	4.040875
TRPV3	0.289
ASXL1	-1.433
C17orf55	0.372333333333333
FXYD1	-0.9005
LMOD2	0.3375
ANKRD33	0.6125
LCE2C	-0.094
ZNF620	-1.04
DKFZP566E164	0.8595
VSIG2	0.6225
KIAA1128	3.3195
USO1	0.669666666666667
NUDT4	-0.987642857142857
CLDN1	3.51307142857143
OR4Q3	0.4455
FASTK	-0.329333333333333
ICOS	2.138
LDB1	-0.46375
GSTA5	0.55575
ABCC1	-0.688
FAM54A	-0.907
PCBP2	-0.768666666666667
NUP205	-1.9315
ACTA1	-0.0146666666666667
GABBR2	-0.7035
PIP5K1B	-1.259
AGXT	-1.2335
RNF181	0.50625
ATP8A2	-0.83425
AFTPH	1.28425
FGF21	0.14775
FCER1G	1.95725
SNTB1	-0.97875
SLC24A3	0.041
TXNL4B	-0.5652
RPL10L	-0.984333333333333
LOC389517	-1.0014
TSGA13	0.11
SHOX2	0.042
ITGA7	0.5685
KCNIP2	-0.199333333333333
KLF13	-0.0532
ZFAND2A	-0.6825
CEACAM1	0.0707857142857143
PFKFB4	-2.33533333333333
MED19	0.6665
LRRC57	-0.442833333333333
RNF11	0.2105
ANKRD32	-2.1285
P117	0.586
OBFC2A	-0.784333333333334
POLD3	-0.473833333333333
RAB18	1.007125
TPH2	0.273666666666667
PHB	-0.7955
JDP2	1.6125
MORF4L1	-0.1983
POU2F1	-0.48775
CNNM2	-1.12775
LOXHD1	0.0995
ZC3H15	-0.37225
ELK3	-0.419666666666667
FAM111B	0.647
CBLC	3.2145
SBNO1	2.667
ANKMY2	-0.78375
PLEKHA5	0.06975
DHX58	1.47183333333333
ARCN1	-0.2805
TREML1	0.1059
KNCN	0.263
SEC24A	0.629625
PSCA	-0.859
MGC24125	-0.1325
DNA2L	-1.63675
CIB4	0.284625
HIGD2A	0.777166666666667
TBX6	-0.0991666666666667
TTLL5	-0.732166666666667
SGK3	0.557
GCN1L1	-0.02575
AMOT	-0.2043
LDOC1	0.218166666666667
NRK	0.0708333333333333
ASB9	-1.07
NAT1	0.5603
TRAFD1	-0.11075
PEAR1	0.591
FAM36A	0.23375
OR1S2	0.3465
LOC388323	-1.539
PGS1	1.7345
LEPREL1	-2.599
TFF1	-1.56208333333333
HAP1	0.4725
EPHB2	0.092
ACTG1	1.47183333333333
ZFP42	-0.552833333333333
HAVCR2	0.9319
NME1	-0.093
SNX26	0.144916666666667
LACTB	-0.364
ZKSCAN2	0.2655
C5orf35	0.14875
ANKS3	0.05675
RBM28	-1.305
DKFZP586P0123	-0.67275
HNRNPA1	-0.751
BCAS3	-1.10116666666667
FLJ20184	0.5085
POLA2	-0.742166666666667
TMC7	-0.0935
HSD17B6	1.534
ZNF658B	0.2355
TTTY10	-0.0181666666666667
RANBP9	-0.638
CPNE7	-2.01416666666667
EVL	-0.134705882352941
LNX1	-0.170583333333333
IFNA21	0.253
CFD	1.084
PYCARD	2.27533333333333
MYBPC2	-1.143
ENPP3	-2.19066666666667
ACSL4	-1.90975
LOC440258	-0.4525
TMEM176B	3.78266666666667
SOX2	-3.52675
SCO1	-0.308333333333333
COMT	0.869
AOC2	-0.06775
PDLIM5	1.596
SPHK2	0.323833333333333
NXPH2	0.1
GPR108	0.3255
RAD51L1	-0.579833333333333
TMEM54	0.43625
LETMD1	-1.15533333333333
SLC6A17	0.614
KRT75	2.281
STT3B	-1.13266666666667
CD3EAP	0.778
TMEM63A	1.0555
DUSP13	-2.08675
CD1C	-1.87816666666667
LASS2	0.748166666666667
AVP	1.4275
PITPNM1	-0.958625
FLJ22795	-0.273
MCTP1	-1.476
TRIM68	-0.324666666666667
UCK2	-0.316833333333333
ABHD1	-0.12725
FAM50A	-0.5895
RNASEH1	-0.611833333333333
PCP2	0.466
OR52H1	0.142
C20orf149	0.42125
RBP5	2.13216666666667
HYAL3	0.64575
CLPB	-0.243
SMNDC1	-0.64625
DONSON	-1.119
FLJ27523	0.5185
BARHL2	0.134666666666667
SLC30A9	-0.4945
TMPRSS11B	0.382
E2F8	-1.353
CCDC25	-0.202083333333333
C14orf48	-0.245166666666667
C20orf116	0.361625
TSPAN11	0.2225
YIF1B	-0.0758333333333333
FAM12B	0.4465
OR1L6	-0.0225
HPN	1.391
NBN	0.535875
C14orf94	-0.825833333333333
OCLM	-0.011
ZSCAN18	0.6325
L3MBTL	-2.316
TSTA3	0.948
RAC1	0.119125
C19orf15	0.444666666666667
NFE2	-4.52075
KLK14	0.3295
ARSF	0.0975
MAST2	0.212166666666667
AMICA1	1.6845
GTF2A1	0.392875
ATP1A3	-0.0845
TC2N	3.1816
PNKP	-0.09625
ODZ2	0.105875
MATR3	-0.1005
S100P	-0.563375
KRT82	0.118
CA13	0.1916
PROZ	-1.349
AASDH	0.135875
C19orf40	-0.273833333333333
DCK	-0.927307692307692
FAM5C	-1.452
SLC6A4	-1.5775
MID1IP1	-0.785375
TESSP5	0.156
TMOD4	-0.376833333333333
DOCK2	-0.948
TUG1	0.49025
NUP214	-1.28575
DPYSL2	-1.18054545454545
GOLM1	1.12508333333333
MPFL	0.388
SOX13	0.8425
SDCCAG8	0.9304
KEL	-2.12233333333333
NUP210L	-1.76425
GK	-0.75025
DNAJB1	1.68925
ALPK3	-0.064
CHID1	0.4463
CYLC2	0.147
IKZF5	-0.686
C8orf51	0.693833333333333
PPM1J	1.35825
GIMAP8	2.52133333333333
GPR101	0.016
NR2F1	-1.9715
ACAD8	-0.09225
RBM35A	1.23625
GNAI2	-0.421833333333333
METTL8	-0.557
SLC39A7	-0.78025
FBXO8	0.065
CAMK1	-0.252
RFC3	-1.701375
FAM129A	-0.092
ILF2	1.3315
FGFBP3	-1.991875
NOM1	-1.04
PSMA3	0.14175
ASCC3	0.447
ZYG11A	0.44525
SOX21	-0.8335
LYRM1	-0.00825
DEFB1	3.4115
LOC91431	-2.7525
OR7C2	0.3645
FAM46B	0.87225
TMEM18	-0.063125
ARHGAP30	1.019
TMEM86A	1.82383333333333
EPHA2	-0.895666666666667
C10orf46	-0.34025
TCHH	0.4085
C3orf30	0.3114
LOC285636	-0.2265
PAIP2	0.0045
CYP2U1	-0.203125
C12orf34	0.627
SARS2	-0.186833333333333
ZCWPW1	-0.03425
SAMD12	-0.061625
KIAA1430	-0.38925
ACAT1	-0.4745
MEOX1	-0.5675
ADAMDEC1	2.54175
PHKA2	0.10125
CARD11	-0.831333333333333
CALML4	-1.0735
TSSC1	-0.237
TMEM45A	3.82533333333333
MPP7	1.415875
POU1F1	0.1965
SLC2A13	-0.6363
FBN2	-1.33192857142857
ZC3H7A	0.2838
LAIR2	0.4265
ST3GAL1	0.115166666666667
LCT	3.2415
GEMIN8	3.20033333333333
KLF16	0.5752
HIF3A	-0.257
FAM44A	-0.0969285714285714
AQP10	-0.7024
PLA2G2A	-2.0685
FOLH1	0.903333333333333
C20orf186	-0.0585
MAPKAP1	-0.88475
SPRR2D	-0.7505
UBQLN4	-0.437666666666667
RSHL1	0.8875
PIAS3	0.0355
MRPL24	0.918
GREB1	-0.9385
FAM27E3	-1.805
NUP62CL	-0.54575
NEUROG3	1.5335
REEP3	0.956
MARK1	-0.126625
LMBRD1	0.47525
PRPF19	-0.27
PNMT	-1.6825
CTGLF1	-1.386
SLC25A16	-0.52925
EIF2B3	0.0965
RPA2	-0.9345
PAK6	1.466
CCDC26	-3.817125
SEMA3E	-0.55075
MXD4	0.5089
TNFSF10	3.4892
SMARCB1	-0.152666666666667
DTX3L	1.8145
PLA2G4E	0.00650000000000001
PPAP2A	0.02725
ULK1	-0.348083333333333
TAS1R3	-0.1755
SLC2A3	-2.78745454545455
ARID3A	-1.47875
GNG5	-0.28325
ACOX1	1.0439
KIF5B	-0.13
NUP153	-0.98625
MUC7	0.534
CSDE1	-0.972857142857143
CLPTM1	-0.47625
C3orf23	-0.3645
LRRC17	-1.238
TTYH3	-0.476625
ATP5B	-0.667
ELF3	-0.6988
CPSF3L	0.12
ZNF665	-0.100166666666667
TLR6	0.0181
GPI	-0.26675
RAD9A	-0.3215
NDST4	-2.947
AGPAT3	0.385083333333333
MAGI3	1.10566666666667
ADORA2A	-0.351
CACNG7	-0.0275
CAMK2D	-0.220214285714286
CCHCR1	-0.56175
RPS27A	-0.237
OR10G7	0.445
GCM2	0.0995
FAM135B	0.1544
E2F1	-1.36625
PLCB3	-0.09525
OR2AE1	0.075
COIL	-1.19116666666667
CDC25C	-0.2415
RAB11FIP2	-0.08925
TSC2	0.50975
CTGLF5	-1.512
CCDC108	0.6111
OR13C4	-0.08475
C10orf81	2.197
PTPRB	0.42
ACP2	0.00949999999999999
LAG3	2.49075
MRPL54	0.707
LOC201175	1.6625
ITGB1BP3	-0.92725
SPTAN1	-0.126
SIPA1L2	-0.27575
RCAN2	-1.1015
CDX2	-0.0965
ECOP	-0.01325
ACTR1A	0.1945
PPARG	-1.0395
BBS10	-0.176166666666667
TMEM44	-1.59375
BPIL2	0.105
CITED1	-1.696
IRF6	3.38525
PRDM4	-0.307666666666667
RRP9	-0.7645
OR10H4	0.369
IL31RA	-0.42275
GNB1L	-0.542
MYBL2	-0.622125
ZNF407	0.677
PPIG	-0.3765
TTC18	-0.01825
RPSA	0.2425
MAPT	-0.259375
MRE11A	-0.715785714285714
C8orf37	-1.075
RASGEF1C	0.0485
STBD1	-0.11675
CTAG2	1.34083333333333
MGAT5B	0.252666666666667
ECM1	0.258875
RLN1	0.028
PARP14	1.9706875
EPB41L1	0.0249
HOXA3	-0.247916666666667
MAGEA9	-3.496
RPS8	-0.434666666666667
RPS19BP1	0.5155
FOXJ2	0.055875
C10orf76	-0.1365
IL17RE	0.21875
C10orf65	-0.60025
ZNF343	-0.2755
FBXO33	0.6805
UHMK1	0.5511
LY6G6C	-0.2465
FGF19	-1.57525
C14orf128	-1.03116666666667
IFIT2	2.762
TIGD1	-0.35425
S100G	-0.161
GUCY1B3	1.4205
NR3C1	-0.7915
CORO1B	0.211
PARP11	0.512666666666667
DNALI1	3.5775
OR4N4	0.423375
MAP2K6	0.191166666666667
FSTL4	-0.2525
ANKRD47	0.78425
TMEM171	-0.0835
PNLIP	0.2305
YY1	-0.526166666666667
CCDC138	-1.9005
AASDHPPT	-0.7754
CKS1B	-0.5478
MCM3	-0.970833333333334
ANAPC7	-0.783333333333333
FAM110A	1.44675
CDC37L1	0.515166666666667
THTPA	0.7535
NBPF20	-0.2695
WDR24	1.04375
NPTX2	-0.20875
CBLB	0.376
CETN1	0.1785
RPUSD1	0.7475
FAF1	-0.8295
CDK6	-2.6876
HMX2	0.67
CSK	-0.318333333333333
TEAD2	0.59775
SNAP25	-0.74775
TUFT1	0.6509
TMTC3	-0.0163333333333333
LCK	-1.26025
SGOL1	-1.06066666666667
AKTIP	1.04975
FURIN	2.23525
SOX12	-0.640833333333333
DEFB103A	-0.06
RAMP1	1.3575
KIR3DX1	0.173
GAS2L3	-0.66825
PDE8A	-0.5908
EDN3	-1.1455
GMIP	0.758
SF3A2	0.79225
FN3KRP	-0.07225
SMAD7	0.03025
RHBDD2	-0.0205
OR11H6	0.093
PPP1R3B	0.062
C9orf23	-0.29925
CADPS	-1.31975
GOLGA8A	-2.409625
TMEM57	0.566666666666667
RGL3	0.635
S100A14	3.89525
FGFR2	2.1030625
XRCC3	-0.49625
RTN4RL2	0.5335
MGC3771	0.3355
GH2	0.478166666666667
BTBD2	-0.377
LMO2	-0.1635
RDBP	-0.589875
ACRBP	-1.7365
AMY2A	0.5115
DUOXA1	0.245
PTK7	0.482166666666667
TWF2	-0.354666666666667
FAM80A	-0.49725
TNNI2	-2.45533333333333
GLT25D1	-0.762666666666667
OCC-1	-2.21075
CYC1	-0.427666666666667
RPL22	-0.324818181818182
MORN3	0.208166666666667
DISP1	0.5605
PRB2	-0.1485
CHUK	-0.8755
HR	1.366625
CCDC134	0.150625
DENND4B	-1.078
C14orf130	-0.12525
RAB33A	-1.53575
DCST2	0.2965
TNMD	-2.21775
PEX7	1.18925
FAM62A	0.53225
SRD5A2L	1.17875
IL22	0.2295
RPS26	-0.722166666666667
HOXC5	0.133
SPATA6	-0.589
FLJ38482	0.275875
ZNF234	1.8165
C18orf22	0.5005
SPATA22	0.181
THOC1	-0.98375
CYP7B1	1.726
KCNC3	-0.08125
C8orf42	-0.5215
ALDH1B1	0.316
CCDC100	-0.7155
ARMC4	-1.23775
FAM18B2	0.102
SLC44A1	0.335
FBXO17	-0.5125
C6orf107	0.00500000000000002
C19orf29	0.21725
ZC3HAV1L	-0.22075
PARP6	-0.2494
SULT2A1	-4.449875
C1orf159	-0.09175
TMC1	-0.14525
CHST14	-0.451875
GAMT	-1.6885
SMCP	-0.0205
TSPAN33	0.625916666666667
MIDN	-0.309
NOX4	3.05225
RNASEN	-0.4954
TBX1	2.156
SALL2	-0.87
C10orf35	1.41625
CYP2E1	-0.9225
LRFN2	1.04183333333333
ACO1	-1.01366666666667
IQCG	-0.2176
MEGF9	1.97725
TM7SF4	0.6765
PLEKHA1	0.485133333333333
STK33	-1.64925
C1orf210	1.5285
SNUPN	0.2755
KIAA0406	-0.4585
C20orf29	0.198
TMEM55B	-0.2915
OSTM1	-1.3996875
CLCN7	0.78575
OTP	0.589
FLJ23049	-0.0815
HEATR4	0.127
MAP3K10	0.889333333333333
PCDHGA9	0.4555
AMDHD2	0.064
LCTL	-1.6655
PDCD2L	0.118
CABLES2	0.174
SLC5A9	-0.2575
CLCA2	2.62616666666667
MGC16025	0.127
STRAP	-0.519833333333333
C20orf196	-0.771
RRBP1	0.5745
NAT13	-0.479
MAT2B	0.00837500000000001
CSNK1D	0.293833333333333
KIR3DL1	0.66475
PRKAG3	0.1325
ZNF599	0.188
PRM3	1.2145
PER2	0.9455
ASPHD1	-1.6255
PRMT6	-1.546
KCNE1L	-0.546928571428571
FAM118A	-0.745833333333333
TAF4	0.357
NDUFB6	-0.697
TRIM9	-0.845916666666667
PMFBP1	-0.71225
KY	0.278
DKFZp762E1312	-1.27536363636364
CSMD1	-1.13525
TBP	-0.8385
OR1Q1	0.240166666666667
RETNLB	0.90625
HPGD	0.296571428571429
DNAJC12	1.39583333333333
FKBP1B	-1.96375
ANKRD24	-0.460666666666667
CXXC5	1.0555
IL3	0.243125
DRAM	0.9343
PTCH1	-1.6915
TP53BP1	-0.61625
SLC17A7	0.2695
COL25A1	-0.5152
AMACR	0.0928333333333333
RHCG	1.94625
VPS13A	-1.09475
FAM55D	0.2835
PRPF38B	-1.01316666666667
OSBPL6	0.717
PFDN5	0.0375
CMTM6	0.55025
KCNK12	-0.90325
RP2	1.582
C16orf52	-1.17475
PICK1	0.338
IFNE1	-0.101333333333333
SEMA4B	1.213
TYRO3	-0.65475
OR12D2	0.104
CSNK1A1	0.92525
FANCF	0.3415
LONP2	1.09375
TBL1Y	0.316
LDOC1L	0.143375
CCNC	-0.1295
C3orf60	-0.67225
CHKA	-0.9565
UBAP1	-0.11
MAP3K1	0.554
ANKRD9	-0.4615
FAM92A1	-0.407166666666667
GAB2	-0.034375
AZU1	-0.173
DIS3	-0.43175
C21orf109	-0.339
IQCB1	-0.503
SPATS2	-0.0186666666666667
EFCAB3	-0.405
PRB3	0.51125
FUZ	0.1665
ZNF813	0.054875
BMPER	-0.762333333333333
HEG1	-0.439125
ALS2CR11	-0.816
SURF2	-0.04975
PSMC1	0.327583333333333
OR2D2	0.2845
SLC7A8	1.396
C4orf40	0.469
SPATA7	-0.32725
MAZ	-0.10225
PIN4	0.408
PDE1A	-2.02425
TAF6L	-0.0015
OR2T34	0.113
KIAA0284	1.0085
ACADS	-1.61545454545455
MKRN2	-0.2945
C18orf56	-1.00125
MS4A6E	0.269833333333333
GALNT4	-0.4015
C22orf31	0.1735
FLJ36070	0.2855
PSME4	0.77
TFG	0.1095
EPHX2	0.114875
ANXA5	-0.127875
KRTAP1-1	0.0068
BATF	2.6505
KARS	-0.88525
MSTP9	0.048
GPR26	0.207375
CCDC72	-0.266
TEF	0.656
FOXK1	-0.5284
PRLHR	0.2365
EMX1	0.99475
C11orf30	-0.39075
ICK	0.888
THSD7B	-0.31475
C21orf100	-0.2305
DUOX1	0.114
EFCAB4B	-0.273
UBE2G2	-0.940833333333333
C3orf54	0.394
PARP1	0.16975
FAM60A	-1.06783333333333
C6orf146	0.315
OR9K2	0.51
DDX55	0.621
RPS15	0.437166666666667
ZNF618	0.426125
DKFZp686D0972	0.026
SSPO	-0.6885
SHFM3P1	-0.0141666666666667
CPA6	-1.374
JAG2	0.39375
DEFA3	0.574
PPBPL2	0.0635
CD34	2.99075
SLCO4A1	-0.750625
AFG3L1	-1.99016666666667
SHD	-0.4135
RP13-122B23.3	-0.936333333333333
PRKCSH	-0.418833333333333
DPH5	-0.508666666666667
HLA-F	2.84525
TBC1D4	-0.79275
RIG	0.00633333333333333
GLUD1	0.0598333333333333
HNRPCL1	0.41125
HBXIP	-0.23175
RNF207	-0.6515
APIP	-0.355
PLA2G3	-1.88083333333333
CCDC84	-1.69275
MYLIP	-0.00892307692307692
PHIP	-0.0855
AARS2	-0.6055
DHX32	1.011
SCAPER	0.0201666666666667
MEN1	-0.1765
NIP7	-0.25675
FLJ25404	0.6475
FASTKD3	-0.91075
TMEM158	-1.22033333333333
RARA	1.036
BDH1	0.2665
ANKRD16	1.607
CARM1	0.362
SS18	-0.416666666666667
IKZF2	-0.593083333333333
MYD88	-0.056
PML	1.4124
TAF1A	-1.0825
CBFB	-0.270375
HIST1H3H	-0.5395
C7orf29	-1.25
COMMD4	-1.22616666666667
DPP3	0.40825
DAB2	0.0455
LOC388882	-0.1045
YPEL4	-0.72875
AGBL3	1.016
LRP6	-0.063
SERPINH1	0.174333333333333
TLE1	0.169
CD244	0.895166666666667
ZDHHC15	-0.7365
MGLL	-1.1978
PLDN	-0.477
LOC654346	2.154
FAP	2.8265
GPR37	-0.0103333333333333
SCARA5	-0.784666666666667
EBF4	0.892
LSM6	-0.30225
MLLT1	-0.2184375
SLC5A12	-0.8505
A2BP1	-1.095
COPS5	-0.523
TPM4	-0.272
TNFSF4	1.16566666666667
ACADSB	-0.298055555555556
HERPUD1	0.9115
BCL2L11	-0.504444444444444
CEP78	-1.669625
CDCA3	-0.693
WBSCR19	-0.622
MYO1A	-1.6
PPEF1	2.019
LOC440348	-0.75225
CPEB2	0.136375
BPTF	0.476833333333333
RPL21	0.00350000000000002
GSX2	0.239
ADPRH	1.03333333333333
C17orf68	-0.0958333333333333
KCNS1	1.0445
MLLT6	-0.5875
PIWIL4	-0.49725
RNF26	-1.42175
RAP1B	1.589625
ADAMTS1	-0.3881
ZNF571	-0.136
P2RY6	0.16875
TRIM21	1.35133333333333
CADM3	0.1905
NLRC5	1.50133333333333
ADRA2B	-0.034
LOC90835	0.227
PCF11	-0.3865
LOC400451	2.4885
GLTSCR1	0.737
C17orf88	-0.530166666666667
CDH16	-1.00575
FGF7	1.099
PCSK4	0.0395
NPC1L1	-1.34983333333333
TAT	1.023125
TBCA	-0.0375
MGC33407	-0.08725
GPR115	0.423625
CYGB	-0.7895
FNBP4	-0.822833333333333
C12orf43	-0.3665
CBL	-0.3535
CLECL1	0.832
PPAPDC1A	2.41925
WDR25	0.203666666666667
SGCA	-0.1255
C22orf29	-0.245166666666667
YIPF1	2.35875
GALK2	-0.749
RAB3B	-2.60125
LOC440087	-0.978
UCP1	0.4015
REEP5	1.803125
FADD	0.0824
FOXA1	2.60775
CACNA1A	0.537833333333333
ABI1	-0.0293333333333333
GRIN2D	1.0045
SLC1A4	-0.152333333333333
LOC401127	-0.65625
HINT2	-0.299
PLD4	-0.595333333333333
ZNF286A	-1.048
ENY2	-0.28225
IL1F6	0.3625
PXDNL	1.62975
C20orf79	0.278
TNFSF13B	4.04783333333333
DENND3	-0.04475
JARID1D	-3.10075
HIST1H2AK	0.5885
LOC93349	0.5306
SSH1	-0.4474
ENSA	1.079
LOC219854	-0.000499999999999996
CKAP2	-0.8484
DKFZP564J102	0.807
MGC87315	0.0673333333333333
HNRPAB	0.0725
AMH	-0.89
ZNF526	1.2225
BRUNOL5	-0.1866
CACNG3	0.136
TRPM1	-1.9465
PPP2R1A	0.149875
COL2A1	-1.26325
DDN	-0.0333333333333333
FLJ25770	0.246083333333333
HK2	-0.786928571428572
ELOVL6	-0.911125
MDK	-0.465
EPHX1	2.26825
RASSF2	0.111
DKFZP434B0335	-0.563
DLX3	-0.338875
PRTN3	0.67025
AVPR1A	0.45225
C21orf125	-1.3405
TNFAIP8	-1.30633333333333
GNB2L1	0.6275
CALCRL	0.78475
SCGB2A2	8.76433333333333
UBXD7	-0.32525
ZNF674	0.2635
TMEM35	-0.83625
BRSK2	-0.2485
HECTD3	-0.112833333333333
TMEM188	-0.460916666666667
LGALS9	2.1875
SCARB2	0.618166666666667
USP34	-0.0570833333333333
C17orf28	2.44616666666667
ZDHHC23	0.19725
AQP12B	0.1105
SLC16A3	-1.256375
APLP2	-0.17375
ITIH2	-4.522
MICAL3	-0.184125
TNNI3K	2.9189
HDAC2	-0.44275
PRR7	0.7262
THBS2	0.73625
LOC751071	-0.118
CA2	1.70316666666667
RANBP17	-0.23125
RLN3	0.3095
CRYZ	-0.566166666666667
GBAS	-0.125833333333333
TAS1R1	0.161
MPZL3	0.926
PCDH8	-1.657
HSP90B1	0.417416666666667
KCNK15	1.251
TNIP2	-0.388833333333333
GPR146	-1.0115
NOL6	0.189875
SPC25	-2.26644444444444
STEAP2	2.04692857142857
VAMP3	-0.3
TCIRG1	0.4015
ZP4	-0.00133333333333333
PARL	0.0885
TRIM39	0.266666666666667
KIAA1305	0.1425
CRNN	0.329833333333333
GRN	-0.269
HSH2D	-1.06725
SCAMP1	-0.0678125
KIAA1913	0.86275
PTS	-0.2205
BANP	0.427428571428571
PRKACG	0.41425
ADCY6	-0.0358333333333333
C16orf46	0.276
CYP51A1	0.08225
DDC	-3.45525
ANPEP	-0.520333333333333
PROM1	-3.114
SIGLEC10	1.3385
COPG	1.4705
FAM26E	0.8055
TRIP4	0.34375
SNX3	-0.696666666666667
C1orf175	0.734
PPY2	0.09625
C14orf152	0.13825
FTSJ1	-0.608833333333333
DST	0.6492
LOC554235	-0.04075
GLRX5	-0.28075
C20orf12	-0.2896
CAB39	-0.276166666666667
MSH2	-1.86283333333333
PIP4K2C	1.496125
CYLD	0.795
WTAP	0.0291875
MGAT4A	1.84655555555556
TSC22D4	-0.7138
CHRM2	-2.078
PPYR1	0.217333333333333
CCNH	-0.199833333333333
RRM1	-0.82825
ECAT8	-3.18725
LOC400120	0.16825
GABRA4	0.11075
C14orf4	0.725166666666667
C1orf59	-0.0655
CTDSPL	0.357916666666667
NHEDC2	-0.9455
PDE11A	-0.726125
KLHL29	0.139
CD5	-0.4353
TSPAN9	1.684375
WDR67	-0.52525
THUMPD1	0.59
C18orf17	-0.51675
CLYBL	-0.382333333333333
FLJ13231	0.206125
CMBL	2.673875
LECT2	-0.4375
NKAPL	0.709166666666667
LOC654780	0.3845
OR4C6	-0.063
RAB30	-1.185
TSSK4	-0.125
TMEM163	0.414
OSBPL11	0.611666666666667
GNB5	-0.833333333333333
CCL21	0.41275
C1orf121	0.439666666666667
FMO2	1.52133333333333
RPTN	0.146
MSTN	0.613
VCL	-0.140285714285714
FYTTD1	0.2095
C11orf1	-0.34375
CCDC88C	0.027
HFE	-0.172944444444444
MOGAT1	0.423
FAM125B	-0.0533333333333333
IRGQ	0.4125
RAVER2	-0.4985
AKAP5	-0.4025
SSSCA1	0.14475
C11orf63	1.189
ACTG2	-0.2296
PORCN	-0.9715
DTL	-1.27881818181818
TMEM151	0.85625
FAM122C	-1.837
RSAD2	3.5345
BAT4	-0.549
KRTDAP	-0.917333333333333
MYH8	0.126375
CRTC3	0.982
LRRFIP2	0.104
INTS4	-0.6535
TTN	-1.09683333333333
SLC26A5	0.181
PLLP	-1.36
RGS6	-0.133125
SRGAP3	0.53
ZNF525	0.065
NBR2	-0.523
C13orf1	0.7113
ZNF137	0.1225
CEP27	-1.776
BEST2	0.149
RNF121	-0.22925
DMRTC2	-0.05875
C8orf76	0.59075
BCCIP	0.071625
MEST	-1.35925
HTRA2	-0.479
ANGPTL2	0.64425
ILKAP	-0.276166666666667
ERAS	0.2925
HBS1L	0.475875
CPA5	-0.104
TMEM30A	0.5695
CD300LF	1.42333333333333
WISP3	2.6575
CRK	0.499285714285714
PDS5A	-0.9077
BRPF3	-0.257333333333333
NEDD9	-1.2165
SMPDL3B	1.496
PSG6	-1.0245
PSMD13	0.002
ETV5	-0.392
OR51A4	0.104
BTBD7	0.541666666666667
GSTO1	-0.904625
hCG_16001	1.6085
MAD2L1BP	-0.230166666666667
COX6A2	1.1785
SCNN1A	1.93966666666667
LSM1	-0.146666666666667
UGT2B11	-2.87675
IDUA	-0.12025
PPP2R3C	-0.791166666666667
COX11	-0.6065
PDZK1	3.421
ZNF443	0.0286666666666667
MGC21874	0.408333333333333
ZNF323	0.8813
KRTAP10-10	0.109
CXCL6	0.13575
SLC34A2	1.5308
LOC284402	0.413
NPTN	0.560916666666667
UPP1	-0.635666666666666
SLC6A9	-0.1395
OR7G3	0.298
CISD1	-0.0901666666666667
ZNF545	0.523166666666667
SYT14	-0.379
NT5C3L	-0.188666666666667
ZNHIT3	-0.819333333333333
SNRPD3	-0.1735
KIAA0701	-0.08775
UNC93B1	0.1645
GMNN	-1.221875
SPCS2	0.592166666666667
LOC388524	0.6565
NAPRT1	0.39925
PNLIPRP1	0.12475
OR6V1	0.6715
PRKAB1	-1.24775
EYA4	-2.52716666666667
KIF20A	-0.933
