Hybridization REF	TCGA-AN-A0FS-01A-11R-A034-07
RBBP8	-0.662
WNT11	1.2874
KCNJ12	0.336833333333333
HDAC8	-0.277833333333333
STARD4	-3.0045
ACVR1	0.940833333333333
C14orf65	-0.320583333333333
KLB	-1.606
C1orf65	0.135
ZFYVE28	0.7795
NSUN6	0.41675
KIF27	0.274833333333333
SYTL2	-0.612833333333333
UBXD2	0.0416
OR6T1	0.9715
CCDC91	1.06192857142857
GRID2	0.212
CALN1	-0.086625
ZNF423	1.89475
PSMB4	-0.0606666666666666
XPNPEP3	-0.255166666666667
ARPP-21	-2.5935
SART1	-0.69475
RACGAP1P	-2.671
SPTA1	-4.41925
C6orf113	-0.634833333333333
C7orf16	-3.58066666666667
CHST7	-0.0363333333333333
C21orf29	-0.991333333333333
SEMA6D	0.34525
PCMTD1	2.2329375
KIAA1754	-0.475833333333333
MYCN	-1.116875
KCNJ3	2.74575
MAPK13	2.4758
ERO1LB	0.32575
NTF3	-1.2345
NKX6-2	-2.0435
GTF2B	-0.05675
GSPT1	-1.601
GUSB	1.05383333333333
LOC221091	1.6475
LIG1	-1.283
EXTL3	-0.673166666666667
NID2	-0.94225
TTC29	1.0055
TMEM97	-1.365
EXTL2	-0.806833333333333
SUZ12	0.08125
IL1F8	-0.7975
KRT18	-0.657090909090909
MRPS16	-0.433166666666667
PI4K2B	-0.6865
LACRT	0.892
OR51F2	-1.755
JMJD2C	-0.18575
KGFLP1	2.43425
CDK5RAP3	-0.5143
YTHDF2	0.4725
GGCX	0.67425
ARPC4	0.24025
EGLN2	1.29466666666667
KBTBD4	0.388785714285714
ROBO3	-1.1425
DEFB118	1.2415
KIAA1543	0.79875
RTCD1	-0.7145
MZF1	0.1325
C18orf26	4.733
CNIH4	0.626333333333333
ZFP2	2.91
HTATSF1	0.33525
WFDC2	3.913625
NDUFA7	0.2405
TTC22	0.5415
FAM40B	-2.13425
DCPS	-1.12175
SH2D1B	-0.836333333333333
MRGPRE	0.3955
SBK1	-0.303
UNQ6411	-0.0475
OSBPL9	-0.53275
NUP107	-0.881
MYOZ3	0.4988
PDE4B	0.260083333333333
FAM113A	-0.983
IDH3G	-0.176833333333333
FBXL7	1.028125
ARFGAP3	-0.2455
MAPRE2	-0.727615384615385
IL1RN	-0.7461
KIF13A	0.1165
RAC3	-1.081
TCTE1	-0.7735
TMEM14B	-0.3015
ADIPOR1	0.543833333333333
GRINA	0.5495
CLIP4	1.3375
LRIT2	1.0775
TFPI	-1.81771428571429
FABP6	-1.8885
SLITRK2	-0.201777777777778
HKR1	0.30375
SMTN	-0.321
C1orf75	-0.51475
CD209	0.722625
CYB5R2	2.55
DNTTIP2	-0.534666666666667
CSGlcA-T	0.1155
GABRB3	-1.92575
PCBD1	0.530833333333333
TAF3	1.23666666666667
HOXD3	0.194833333333333
GIPC3	-0.239666666666667
P11	0.8507
BFSP1	-0.97025
LCP2	-0.539
TAS2R8	1.0345
SEZ6L	1.185125
NR2C1	-1.491375
EXDL2	0.5934
TNFRSF13B	-3.28283333333333
MKI67	-3.02375
GLS	0.19275
C7orf54	-0.6819
LGALS13	0.6172
IL4R	0.57175
SEC11A	-0.0503333333333333
SPP2	-0.0271666666666667
C18orf32	1.0815
CLSPN	-2.76566666666667
SPAG1	-0.306625
C9orf82	-0.037
TM4SF1	0.359583333333333
EMILIN2	1.8365
SMG7	-0.197
TAS2R13	0.1405
ZNF628	0.427
DZIP1L	-0.8365
ANKRD13A	-0.4584
VASP	0.7775
ZCCHC11	-1.570375
SYPL1	0.503375
MGC34774	0.59775
C4orf28	0.636
KIAA1211	0.56425
RPS27L	0.28875
TATDN3	0.15725
PDCD1	-1.36675
OR5P2	0.7055
IFIT1L	0.7895
MIPOL1	1.1365
OR51D1	-0.053
C1orf92	-0.982333333333333
LAMP2	0.115666666666667
CAT	0.679666666666667
C16orf80	-1.1205
C15orf32	0.869
ZNF746	-0.1015
C1orf76	-1.3395
ATXN1	1.52875
LAMC2	1.7425
SLC2A7	-0.804
CPOX	-1.9905
APH1B	1.39866666666667
LOC442245	0.8585
CTNND1	2.53044444444444
GABRG2	-0.340571428571429
MADCAM1	-0.922833333333333
F5	-2.658875
SEMA4F	0.626833333333333
NUDCD3	-0.145125
PDZD11	0.2105
TRIML1	-0.04
GCNT3	-2.95533333333333
TMEM120A	1.1825
CNDP1	-0.2835
N4BP1	-0.512375
SLC35F2	-1.41825
LCP1	-1.19858333333333
IGBP1	0.2455
DCAKD	0.871
ELA2A	-0.9665
C12orf56	-2.35375
PITRM1	0.113928571428571
GUK1	0.582833333333333
RASSF8	0.448375
OR2A14	0.38575
ADM	-2.66733333333333
FGD3	2.40583333333333
GHRHR	-0.6395
RHPN2	0.157
C4orf39	0.756833333333333
VPS72	-0.12225
SERF2	0.515444444444444
CD22	0.6775
CD47	0.111
PPIC	1.62766666666667
IMPDH1	-0.656583333333333
ACP6	0.491833333333333
PRKACA	-0.338875
PPP1R1A	1.730375
TRPV3	-0.85425
ASXL1	-0.87675
C17orf55	-0.829
FXYD1	1.674
LMOD2	1.1665
ANKRD33	0.344
LCE2C	-0.785875
ZNF620	0.43
DKFZP566E164	-0.89
VSIG2	3.0255
KIAA1128	1.0805
USO1	-0.1735
NUDT4	0.150071428571429
CLDN1	-0.594214285714286
OR4Q3	-0.0705
FASTK	-0.407333333333333
ICOS	-0.106
LDB1	-0.0305
GSTA5	-1.31475
ABCC1	-2.72016666666667
FAM54A	-3.3885
PCBP2	-0.457166666666667
NUP205	-1.4545
ACTA1	-1.90166666666667
GABBR2	-1.96625
PIP5K1B	-0.130666666666667
AGXT	-2.3916
RNF181	0.38925
ATP8A2	0.5195
AFTPH	1.5349375
FGF21	-0.0105
FCER1G	1.26475
SNTB1	-1.74875
SLC24A3	-0.00812500000000001
TXNL4B	-1.7022
RPL10L	-0.870833333333333
LOC389517	-0.6561
TSGA13	0.618
SHOX2	0.1255
ITGA7	0.0479
KCNIP2	-0.121833333333333
KLF13	0.453
ZFAND2A	-0.45175
CEACAM1	0.00478571428571429
PFKFB4	-2.5495
MED19	2.48675
LRRC57	0.5705
RNF11	1.06075
ANKRD32	-2.5325
P117	0.09375
OBFC2A	-1.12066666666667
POLD3	-0.388916666666667
RAB18	1.41475
TPH2	0.121333333333333
PHB	0.0288
JDP2	2.49833333333333
MORF4L1	0.2872
POU2F1	0.214
CNNM2	-0.204833333333333
LOXHD1	0.147666666666667
ZC3H15	-0.68525
ELK3	0.671833333333333
FAM111B	1.134
CBLC	3.79933333333333
SBNO1	0.11975
ANKMY2	0.06625
PLEKHA5	-0.598666666666667
DHX58	1.29333333333333
ARCN1	-0.205666666666667
TREML1	-0.2528
KNCN	-0.74
SEC24A	-0.946375
PSCA	-1.8975
MGC24125	0.304
DNA2L	-2.05175
CIB4	0.421714285714286
HIGD2A	-0.149
TBX6	-1.462
TTLL5	-0.742333333333333
SGK3	0.964666666666667
GCN1L1	-0.3355
AMOT	0.4874
LDOC1	0.00883333333333334
NRK	-1.0774
ASB9	-1.77175
NAT1	3.7847
TRAFD1	-0.368
PEAR1	0.507833333333333
FAM36A	1.347625
OR1S2	0.4065
LOC388323	-2.48025
PGS1	-0.437
LEPREL1	-2.764
TFF1	-3.39783333333333
HAP1	0.04325
EPHB2	-0.609
ACTG1	0.148333333333333
ZFP42	-1.19533333333333
HAVCR2	-0.1162
NME1	-0.988
SNX26	-0.825666666666667
LACTB	-0.157333333333333
ZKSCAN2	-0.763
C5orf35	0.89525
ANKS3	-0.932
RBM28	-1.47175
DKFZP586P0123	1.1325
HNRNPA1	-0.135666666666667
BCAS3	-1.16691666666667
FLJ20184	0.661
POLA2	-1.47266666666667
TMC7	-1.49366666666667
HSD17B6	0.932
ZNF658B	0.964
TTTY10	-1.211
RANBP9	-1.16066666666667
CPNE7	-2.75016666666667
EVL	1.38770588235294
LNX1	0.943166666666667
IFNA21	0.183
CFD	2.77025
PYCARD	0.9555
MYBPC2	-1.831
ENPP3	-1.279
ACSL4	-1.56625
LOC440258	0.0195
TMEM176B	2.933
SOX2	-4.44425
SCO1	0.264166666666667
COMT	0.1085
AOC2	-0.442
PDLIM5	2.62278571428571
SPHK2	0.761166666666667
NXPH2	-0.083
GPR108	0.3315
RAD51L1	0.446166666666667
TMEM54	1.053
LETMD1	-0.945222222222222
SLC6A17	-0.18175
KRT75	-1.7385
STT3B	-0.768
CD3EAP	-0.5895
TMEM63A	0.77975
DUSP13	-2.79125
CD1C	0.0655
LASS2	0.904666666666667
AVP	0.3415
PITPNM1	-1.465625
FLJ22795	-1.888
MCTP1	-2.11225
TRIM68	1.0255
UCK2	-0.535833333333333
ABHD1	1.07625
FAM50A	-0.0645
RNASEH1	-1.4835
PCP2	1.3605
OR52H1	-0.344
C20orf149	0.00150000000000002
RBP5	-0.851833333333333
HYAL3	-1.6075
CLPB	0.113
SMNDC1	-0.27475
DONSON	-2.54666666666667
FLJ27523	-0.905
BARHL2	-0.239666666666667
SLC30A9	0.528333333333333
TMPRSS11B	-0.114
E2F8	-2.87
CCDC25	-0.281333333333333
C14orf48	0.464333333333333
C20orf116	0.721125
TSPAN11	0.7635
YIF1B	-1.2325
FAM12B	-0.2075
OR1L6	0.1665
HPN	1.327
NBN	0.3395
C14orf94	-0.356
OCLM	0.0485
ZSCAN18	1.3724
L3MBTL	-1.5545
TSTA3	0.604166666666667
RAC1	0.083875
C19orf15	-0.219666666666667
NFE2	-5.32025
KLK14	-0.0395
ARSF	-0.153
MAST2	-0.254833333333333
AMICA1	1.97283333333333
GTF2A1	0.613
ATP1A3	0.0665
TC2N	2.7757
PNKP	0.167
ODZ2	-0.45675
MATR3	0.18
S100P	-3.815375
KRT82	0.384
CA13	-0.437
PROZ	-1.78183333333333
AASDH	1.26885714285714
C19orf40	-0.691333333333333
DCK	-0.504923076923077
FAM5C	-1.09125
SLC6A4	0.467
MID1IP1	-0.544375
TESSP5	1.0465
TMOD4	0.036
DOCK2	-1.881
TUG1	0.25175
NUP214	-0.733
DPYSL2	0.629954545454546
GOLM1	1.69883333333333
MPFL	0.22675
SOX13	1.3435
SDCCAG8	1.5596
KEL	-1.7285
NUP210L	-2.27875
GK	-0.475375
DNAJB1	0.8405
ALPK3	-0.1795
CHID1	0.7425
CYLC2	0.281666666666667
IKZF5	0.90225
C8orf51	0.245
PPM1J	1.13325
GIMAP8	3.8125
GPR101	-0.0845
NR2F1	-0.1595
ACAD8	-0.3295
RBM35A	0.57725
GNAI2	-0.821833333333333
METTL8	-0.178666666666667
SLC39A7	-0.43
FBXO8	1.02575
CAMK1	-0.012
RFC3	-1.080625
FAM129A	2.70907142857143
ILF2	-0.6725
FGFBP3	-1.05225
NOM1	-0.916666666666667
PSMA3	-1.456
ASCC3	0.2756
ZYG11A	-2.19825
SOX21	-1.942625
LYRM1	0.115
DEFB1	1.576
LOC91431	-2.56383333333333
OR7C2	0.9925
FAM46B	1.335875
TMEM18	-0.1155
ARHGAP30	0.11
TMEM86A	1.90825
EPHA2	-1.1705
C10orf46	0.91465
TCHH	-1.34533333333333
C3orf30	-0.2285
LOC285636	0.109333333333333
PAIP2	0.31
CYP2U1	0.267125
C12orf34	1.5305
SARS2	-0.541333333333333
ZCWPW1	0.71325
SAMD12	1.977625
KIAA1430	0.310625
ACAT1	-0.6645
MEOX1	3.6415
ADAMDEC1	2.85275
PHKA2	-0.72325
CARD11	-2.05466666666667
CALML4	-1.366
TSSC1	-1.032
TMEM45A	-1.56355555555556
MPP7	0.88925
POU1F1	0.880666666666667
SLC2A13	0.7333
FBN2	-1.05842857142857
ZC3H7A	-0.1084
LAIR2	-1.87975
ST3GAL1	1.06983333333333
LCT	-3.0505
GEMIN8	0.571
KLF16	0.3888
HIF3A	-0.3806
FAM44A	0.5045
AQP10	-1.2876
PLA2G2A	0.6625
FOLH1	0.454333333333333
C20orf186	1.009
MAPKAP1	-0.7445
SPRR2D	-2.38225
UBQLN4	-0.77
RSHL1	-0.0958333333333334
PIAS3	0.36475
MRPL24	0.9325
GREB1	-1.241875
FAM27E3	-2.75
NUP62CL	-1.32325
NEUROG3	0.5905
REEP3	1.01866666666667
MARK1	-0.69775
LMBRD1	1.221
PRPF19	-1.07
PNMT	0.810333333333333
CTGLF1	-1.3595
SLC25A16	0.0655
EIF2B3	-0.9495
RPA2	0.1805
PAK6	1.96033333333333
CCDC26	-3.85075
SEMA3E	4.19475
MXD4	0.9173
TNFSF10	3.6953
SMARCB1	-0.8375
DTX3L	1.04866666666667
PLA2G4E	-0.5315
PPAP2A	1.10725
ULK1	-0.108833333333333
TAS1R3	0.461
SLC2A3	-2.96090909090909
ARID3A	-2.139
GNG5	-0.56125
ACOX1	0.2868
KIF5B	-0.154
NUP153	-1.106
MUC7	-0.1
CSDE1	-0.233714285714286
CLPTM1	-0.364
C3orf23	-0.2795
LRRC17	1.47766666666667
TTYH3	-1.351375
ATP5B	-1.106
ELF3	1.2394
CPSF3L	-0.2205
ZNF665	0.236333333333333
TLR6	-0.0449999999999999
GPI	-1.2605
RAD9A	-0.57075
NDST4	-3.826
AGPAT3	0.42575
MAGI3	2.9215
ADORA2A	-0.57475
CACNG7	-0.9585
CAMK2D	-0.235
CCHCR1	-1.0035
RPS27A	-0.459
OR10G7	0.109333333333333
GCM2	-1.261
FAM135B	0.9481
E2F1	-2.1425
PLCB3	-0.11625
OR2AE1	0.35
COIL	-0.2645
CDC25C	-2.31516666666667
RAB11FIP2	0.512666666666667
TSC2	-0.0585
CTGLF5	-0.8175
CCDC108	-0.00589999999999995
OR13C4	0.3715
C10orf81	3.05875
PTPRB	2.1355
ACP2	-0.17475
LAG3	-1.05475
MRPL54	0.38425
LOC201175	0.958
ITGB1BP3	-1.3315
SPTAN1	-0.157166666666667
SIPA1L2	0.5485
RCAN2	0.597
CDX2	-0.3385
ECOP	-0.417
ACTR1A	0.0909285714285714
PPARG	0.626
BBS10	1.15066666666667
TMEM44	-1.139375
BPIL2	0.507
CITED1	-0.28775
IRF6	4.92225
PRDM4	-0.0578333333333333
RRP9	-1.103
OR10H4	0.515
IL31RA	-0.559666666666667
GNB1L	-1.06133333333333
MYBL2	-3.238875
ZNF407	1.92633333333333
PPIG	-0.155333333333333
TTC18	1.99025
RPSA	-0.826
MAPT	1.91825
MRE11A	-0.763428571428571
C8orf37	-0.766
RASGEF1C	-1.163
STBD1	0.26225
CTAG2	-0.963666666666667
MGAT5B	-1.8815
ECM1	0.5095
RLN1	1.4645
PARP14	0.7466875
EPB41L1	0.2177
HOXA3	0.0278333333333333
MAGEA9	-6.19125
RPS8	-0.350333333333333
RPS19BP1	-0.51075
FOXJ2	0.248375
C10orf76	-0.112875
IL17RE	0.3215
C10orf65	-1.94
ZNF343	-0.0276666666666667
FBXO33	-0.64275
UHMK1	2.1826
LY6G6C	0.80525
FGF19	-3.58625
C14orf128	-0.166166666666667
IFIT2	2.10625
TIGD1	-1.04325
S100G	-0.0835
GUCY1B3	2.5405
NR3C1	0.4628
CORO1B	0.02
PARP11	1.43891666666667
DNALI1	4.55783333333333
OR4N4	-0.107428571428571
MAP2K6	-0.317333333333333
FSTL4	-0.1865
ANKRD47	1.240375
TMEM171	-3.134
PNLIP	-0.8315
YY1	-0.3285
CCDC138	-2.26616666666667
AASDHPPT	-0.9106
CKS1B	-0.8141
MCM3	-1.11266666666667
ANAPC7	-0.659166666666667
FAM110A	2.22625
CDC37L1	1.35633333333333
THTPA	1.09425
NBPF20	-0.577
WDR24	0.1125
NPTX2	-2.203
CBLB	0.501666666666667
CETN1	0.2022
RPUSD1	-0.32125
FAF1	-0.6215
CDK6	-2.8126
HMX2	-0.4965
CSK	-0.872833333333333
TEAD2	-0.56225
SNAP25	-1.89175
TUFT1	1.7557
TMTC3	1.325
LCK	-3.63
SGOL1	-1.9145
AKTIP	0.69925
FURIN	0.15775
SOX12	-0.843
DEFB103A	-0.996666666666667
RAMP1	-0.0225
KIR3DX1	0.0425000000000001
GAS2L3	-0.97125
PDE8A	-1.5217
EDN3	2.29175
GMIP	0.877
SF3A2	0.0795
FN3KRP	0.14525
SMAD7	0.4135
RHBDD2	0.8205
OR11H6	0.913
PPP1R3B	1.7393
C9orf23	0.633
CADPS	-2.04
GOLGA8A	-3.608375
TMEM57	0.0561666666666667
RGL3	0.5395
S100A14	2.233
FGFR2	1.1240625
XRCC3	-1.3015
RTN4RL2	0.46575
MGC3771	1.711
GH2	0.00383333333333336
BTBD2	-0.31325
LMO2	0.37175
RDBP	-0.64975
ACRBP	-1.1695
AMY2A	1.48
DUOXA1	2.2955
PTK7	0.513166666666667
TWF2	-0.2395
FAM80A	-1.4045
TNNI2	-3.06066666666667
GLT25D1	-1.17466666666667
OCC-1	-1.457
CYC1	-1.16416666666667
RPL22	0.273863636363636
MORN3	1.35716666666667
DISP1	2.28775
PRB2	0.064
CHUK	-0.42225
HR	-0.454125
CCDC134	-0.25875
DENND4B	-0.89025
C14orf130	1.019875
RAB33A	-1.8495
DCST2	-0.0855
TNMD	-0.28125
PEX7	0.5975
FAM62A	-0.23975
SRD5A2L	1.2975
IL22	0.8965
RPS26	-1.59733333333333
HOXC5	0.1725
SPATA6	1.603
FLJ38482	0.3855
ZNF234	1.43
C18orf22	0.94925
SPATA22	0.22625
THOC1	-0.65975
CYP7B1	4.10225
KCNC3	1.232
C8orf42	-1.048
ALDH1B1	-0.711166666666667
CCDC100	-0.2603
ARMC4	-2.0195
FAM18B2	0.458
SLC44A1	1.975875
FBXO17	-1.36783333333333
C6orf107	-0.565
C19orf29	-0.6605
ZC3HAV1L	0.45
PARP6	-0.7361
SULT2A1	-4.761
C1orf159	-0.7285
TMC1	1.36475
CHST14	0.43575
GAMT	0.88
SMCP	0.0448333333333333
TSPAN33	-0.413583333333333
MIDN	-0.013125
NOX4	2.6745
RNASEN	-0.421
TBX1	-0.684166666666667
SALL2	1.26725
C10orf35	1.62125
CYP2E1	-1.005125
LRFN2	1.89933333333333
ACO1	-1.1485
IQCG	0.506
MEGF9	2.94
TM7SF4	0.271
PLEKHA1	1.0536
STK33	-2.58025
C1orf210	2.93375
SNUPN	0.8676
KIAA0406	-1.6194
C20orf29	0.381
TMEM55B	-0.13125
OSTM1	-0.30975
CLCN7	-0.269
OTP	-0.33425
FLJ23049	-1.184
HEATR4	0.0595
MAP3K10	0.553333333333333
PCDHGA9	-0.076
AMDHD2	0.523
LCTL	-1.465
PDCD2L	-0.98025
CABLES2	-0.4235
SLC5A9	-0.63225
CLCA2	0.175666666666667
MGC16025	-0.9765
STRAP	-1.073
C20orf196	-0.174
RRBP1	-0.0453333333333333
NAT13	-0.465
MAT2B	0.558625
CSNK1D	-1.303
KIR3DL1	0.29725
PRKAG3	0.9535
ZNF599	1.4915
PRM3	0.1075
PER2	1.80183333333333
ASPHD1	-3.1465
PRMT6	-0.51525
KCNE1L	-0.2585
FAM118A	-0.156333333333333
TAF4	-0.629
NDUFB6	-0.40725
TRIM9	-1.05033333333333
PMFBP1	-1.336
KY	0.6115
DKFZp762E1312	-2.95381818181818
CSMD1	-2.25
TBP	-0.457
OR1Q1	0.201833333333333
RETNLB	1.04275
HPGD	-0.674153846153846
DNAJC12	2.99416666666667
FKBP1B	-0.54925
ANKRD24	-0.276
CXXC5	0.349166666666667
IL3	0.002375
DRAM	0.7599
PTCH1	-1.30825
TP53BP1	0.3495
SLC17A7	0.158142857142857
COL25A1	-1.1383
AMACR	-0.191166666666667
RHCG	-0.99775
VPS13A	-0.418583333333333
FAM55D	0.728
PRPF38B	-1.04466666666667
OSBPL6	1.959
PFDN5	0.6074
CMTM6	1.044
KCNK12	-2.449
RP2	0.392
C16orf52	-1.3795
PICK1	0.052
IFNE1	-1.44266666666667
SEMA4B	0.17175
TYRO3	-1.71275
OR12D2	-0.5175
CSNK1A1	0.76715
FANCF	1.2855
LONP2	0.231875
TBL1Y	0.16125
LDOC1L	0.376625
CCNC	0.1625
C3orf60	-0.166
CHKA	-1.1345
UBAP1	-0.04125
MAP3K1	2.3485
ANKRD9	-0.73475
FAM92A1	-1.35833333333333
GAB2	-0.155
AZU1	-0.7275
DIS3	-0.777416666666667
C21orf109	-1.44875
IQCB1	-0.70275
SPATS2	-1.02283333333333
EFCAB3	-0.31325
PRB3	0.450625
FUZ	0.217
ZNF813	0.20825
BMPER	-1.7844
HEG1	-0.09375
ALS2CR11	-1.33925
SURF2	-0.27525
PSMC1	-0.3955
OR2D2	-0.026
SLC7A8	3.26633333333333
C4orf40	0.14
SPATA7	0.91025
MAZ	-1.23516666666667
PIN4	0.0785
PDE1A	0.619625
TAF6L	-0.340333333333333
OR2T34	-0.1635
KIAA0284	0.7955
ACADS	1.96236363636364
MKRN2	-0.792
C18orf56	-2.6115
MS4A6E	-0.614333333333333
GALNT4	0.8478
C22orf31	0.374
FLJ36070	-0.449
PSME4	-0.8265
TFG	-0.6127
EPHX2	1.342375
ANXA5	0.02625
KRTAP1-1	-0.8797
BATF	2.18675
KARS	-2.09525
MSTP9	-3.973
GPR26	-0.144
CCDC72	-0.036
TEF	0.673166666666667
FOXK1	-0.7594
PRLHR	-0.2765
EMX1	0.622
C11orf30	-0.463625
ICK	0.526625
THSD7B	1.29625
C21orf100	-0.4735
DUOX1	2.774
EFCAB4B	-0.18625
UBE2G2	-1.02883333333333
C3orf54	0.51625
PARP1	0.09275
FAM60A	-1.602
C6orf146	0.34075
OR9K2	-0.0375
DDX55	-1.676
RPS15	0.0353333333333333
ZNF618	0.5880625
DKFZp686D0972	-0.25625
SSPO	-3.2425
SHFM3P1	0.502166666666667
CPA6	-0.749
JAG2	1.37425
DEFA3	0.01425
PPBPL2	0.4998
CD34	5.26875
SLCO4A1	-3.368125
AFG3L1	-2.0675
SHD	-1.2775
RP13-122B23.3	-0.324166666666667
PRKCSH	-1.287
DPH5	-0.168666666666667
HLA-F	1.327375
TBC1D4	-0.45325
RIG	-0.4254
GLUD1	0.972
HNRPCL1	0.49325
HBXIP	-0.3095
RNF207	-0.63
APIP	-1.15825
PLA2G3	-2.982
CCDC84	-1.3445
MYLIP	0.374846153846154
PHIP	0.27
AARS2	-0.107
DHX32	0.078
SCAPER	0.340833333333333
MEN1	-0.38775
NIP7	-1.544
FLJ25404	0.469
FASTKD3	-0.3665
TMEM158	-2.68591666666667
RARA	1.82525
BDH1	0.9315
ANKRD16	0.51075
CARM1	0.1135
SS18	0.167
IKZF2	-0.444833333333333
MYD88	0.053875
PML	0.22745
TAF1A	-0.15725
CBFB	-0.846625
HIST1H3H	-2.0675
C7orf29	-1.471
COMMD4	-0.462
DPP3	-1.59875
DAB2	0.17525
LOC388882	-0.618
YPEL4	0.086375
AGBL3	0.825
LRP6	1.0303
SERPINH1	-0.480916666666667
TLE1	0.20975
CD244	0.0875
ZDHHC15	0.5225
MGLL	0.1718
PLDN	-0.131916666666667
LOC654346	1.2485
FAP	3.43
GPR37	0.7185
SCARA5	3.09566666666667
EBF4	2.01872727272727
LSM6	0.102
MLLT1	-0.255
SLC5A12	-0.19875
A2BP1	-1.1786
COPS5	-0.202333333333333
TPM4	-0.528071428571429
TNFSF4	0.074
ACADSB	1.85405555555556
HERPUD1	0.19875
BCL2L11	-1.14633333333333
CEP78	-0.949
CDCA3	-2.49325
WBSCR19	-0.0533
MYO1A	-2.4635
PPEF1	2.61233333333333
LOC440348	-1.172
CPEB2	1.36775
BPTF	-0.387
RPL21	0.2266875
GSX2	-0.802
ADPRH	0.530333333333333
C17orf68	0.444666666666667
KCNS1	-0.392166666666667
MLLT6	-0.2449
PIWIL4	-0.474
RNF26	-0.361
RAP1B	0.223375
ADAMTS1	-1.4889
ZNF571	1.3705
P2RY6	-0.7895
TRIM21	1.07066666666667
CADM3	0.121
NLRC5	-0.0966666666666667
ADRA2B	-0.171333333333333
LOC90835	-0.749375
PCF11	0.547
LOC400451	2.25575
GLTSCR1	0.5665
C17orf88	-0.8525
CDH16	-1.64675
FGF7	2.401
PCSK4	0.0248333333333333
NPC1L1	-1.5665
TAT	2.785
TBCA	-0.78925
MGC33407	0.398
GPR115	-2.10925
CYGB	1.4925
FNBP4	-1.042
C12orf43	-0.3265
CBL	-0.4789
CLECL1	0.536
PPAPDC1A	1.36825
WDR25	0.217833333333333
SGCA	1.6135
C22orf29	1.29883333333333
YIPF1	1.71525
GALK2	-0.78575
RAB3B	-3.39166666666667
LOC440087	-0.6595
UCP1	-0.88
REEP5	1.770125
FADD	1.4104
FOXA1	4.044375
CACNA1A	-0.142333333333333
ABI1	-0.413333333333333
GRIN2D	0.69525
SLC1A4	0.222833333333333
LOC401127	-1.53225
HINT2	0.51
PLD4	-0.0258333333333333
ZNF286A	-1.121
ENY2	-1.06775
IL1F6	-0.2575
PXDNL	1.23
C20orf79	-0.676666666666667
TNFSF13B	2.17216666666667
DENND3	-0.393
JARID1D	-4.06
HIST1H2AK	-0.25775
LOC93349	-1.1008
SSH1	-1.03144444444444
ENSA	0.32975
LOC219854	0.0228333333333333
CKAP2	-1.4269
DKFZP564J102	1.01566666666667
MGC87315	0.400833333333333
HNRPAB	-1.43075
AMH	-3.806
ZNF526	0.778
BRUNOL5	-0.355222222222222
CACNG3	0.1785
TRPM1	-1.653
PPP2R1A	0.2295
COL2A1	2.827
DDN	-0.454666666666667
FLJ25770	1.41490909090909
HK2	-0.447428571428572
ELOVL6	-2.010875
MDK	-0.506
EPHX1	0.13875
RASSF2	0.663125
DKFZP434B0335	-0.436
DLX3	0.205
PRTN3	-1.16875
AVPR1A	1.665
C21orf125	-0.658
TNFAIP8	-1.39233333333333
GNB2L1	-0.094
CALCRL	3.099
SCGB2A2	8.646
UBXD7	0.24625
ZNF674	0
TMEM35	1.372875
BRSK2	-1.7615
HECTD3	-0.628666666666667
TMEM188	-0.0131666666666667
LGALS9	1.32325
SCARB2	0.4615
USP34	-0.193416666666667
C17orf28	1.47041666666667
ZDHHC23	-0.17275
AQP12B	0.5065
SLC16A3	-3.31525
APLP2	0.324875
ITIH2	-5.656
MICAL3	-0.636
TNNI3K	1.5944
HDAC2	-0.300625
PRR7	-0.3864
THBS2	0.967875
LOC751071	-1.26333333333333
CA2	-0.6325
RANBP17	-0.049
RLN3	0.18375
CRYZ	-0.0743333333333333
GBAS	0.403166666666667
TAS1R1	-0.378
MPZL3	0.3715
PCDH8	-0.36475
HSP90B1	-0.750416666666667
KCNK15	0.477
TNIP2	0.044
GPR146	0.33125
NOL6	-0.82375
SPC25	-3.20855555555556
STEAP2	2.01078571428571
VAMP3	-0.2215
TCIRG1	-0.5935
ZP4	-0.268333333333333
PARL	-0.110125
TRIM39	0.149166666666667
KIAA1305	1.20525
CRNN	0.399666666666667
GRN	-0.026
HSH2D	-2.7405
SCAMP1	0.947875
KIAA1913	1.10275
PTS	-1.00075
BANP	0.00492857142857141
PRKACG	0.22675
ADCY6	0.635
C16orf46	-0.115
CYP51A1	-0.098625
DDC	-4.87325
ANPEP	-0.628333333333333
PROM1	-0.203666666666667
SIGLEC10	1.94125
COPG	0.5105
FAM26E	1.791
TRIP4	0.477
SNX3	0.209666666666667
C1orf175	0.157166666666667
PPY2	0.25625
C14orf152	0.6465
FTSJ1	-1.25216666666667
DST	0.74945
LOC554235	-0.6085
GLRX5	0.05925
C20orf12	0.9486
CAB39	0.245
MSH2	-1.30516666666667
PIP4K2C	0.52175
CYLD	0.26075
WTAP	0.9598125
MGAT4A	1.00455555555556
TSC22D4	-0.4982
CHRM2	-1.0775
PPYR1	-0.137
CCNH	-0.4965
RRM1	-0.38375
ECAT8	-3.3745
LOC400120	-0.97225
GABRA4	0.288571428571429
C14orf4	1.85133333333333
C1orf59	0.314
CTDSPL	0.873
NHEDC2	-1.456
PDE11A	0.475866666666667
KLHL29	-0.05925
CD5	-1.9033
TSPAN9	1.9001875
WDR67	-1.6095
