Hybridization REF	TCGA-AR-A0TP-01A-11R-A084-07
ICK	1.265375
THSD7B	-0.27425
C21orf100	-1.0015
DUOX1	0.8195
EFCAB4B	-0.79125
UBE2G2	-1.15783333333333
C3orf54	-0.175
PARP1	-0.39
FAM60A	-0.05875
C6orf146	0.582
OR9K2	0.2755
DDX55	-1.00366666666667
RPS15	-0.847583333333333
ZNF618	1.0418125
DKFZp686D0972	2.74125
SSPO	-0.146
SHFM3P1	2.0345
CPA6	-0.72075
JAG2	1.725
DEFA3	0.244
PPBPL2	0.5064
CD34	3.807625
SLCO4A1	-1.8565
AFG3L1	-1.37183333333333
SHD	-0.28525
RP13-122B23.3	-1.28816666666667
PRKCSH	0.191833333333333
DPH5	-0.333166666666667
HLA-F	1.224875
TBC1D4	1.544
RIG	-0.358666666666667
GLUD1	-0.744666666666667
HNRPCL1	0.41825
HBXIP	-0.45125
RNF207	0.5375
APIP	-1.0565
PLA2G3	-2.66433333333333
CCDC84	-1.31325
MYLIP	0.956153846153846
PHIP	0.285
AARS2	-0.342
DHX32	0.04775
SCAPER	0.915833333333333
MEN1	-0.091375
NIP7	-0.50975
FLJ25404	0.429
FASTKD3	-0.87375
TMEM158	-1.58608333333333
RARA	0.7845
BDH1	-0.0535
ANKRD16	0.72375
CARM1	0.3495
SS18	1.413
IKZF2	0.488916666666667
MYD88	-0.143875
PML	1.30145
TAF1A	-0.5835
CBFB	0.04875
HIST1H3H	-1.98033333333333
C7orf29	-0.73075
COMMD4	-0.696166666666667
DPP3	-0.8645
DAB2	-0.14325
LOC388882	0.3385
YPEL4	-1.173125
AGBL3	0.94
LRP6	1.4598
SERPINH1	0.4715
TLE1	1.43825
CD244	-0.0628333333333333
ZDHHC15	-1.38833333333333
MGLL	1.3983
PLDN	-0.853833333333333
LOC654346	0.0545
FAP	0.8855
GPR37	1.909
SCARA5	1.82516666666667
EBF4	2.30545454545455
LSM6	-0.791
MLLT1	0.3911875
SLC5A12	-0.52525
A2BP1	-1.49733333333333
COPS5	0.6835
TPM4	0.143571428571429
TNFSF4	-0.418666666666667
ACADSB	-0.124
HERPUD1	0.6615
BCL2L11	-0.786055555555556
CEP78	-0.259875
CDCA3	-0.427125
WBSCR19	-0.095
MYO1A	-2.737
PPEF1	1.9435
LOC440348	-0.5895
CPEB2	-0.228
BPTF	-0.640416666666667
RPL21	-0.2679375
GSX2	-0.549
ADPRH	2.16933333333333
C17orf68	-0.316
KCNS1	-0.103666666666667
MLLT6	-0.3468
PIWIL4	3.11925
RNF26	-0.57825
RAP1B	0.25425
ADAMTS1	-0.9962
ZNF571	0.74825
P2RY6	-1.35125
TRIM21	-0.922
CADM3	0.14025
NLRC5	-0.524666666666667
ADRA2B	1.6795
LOC90835	-1.12675
PCF11	0.034
LOC400451	1.26225
GLTSCR1	0.6912
C17orf88	-0.411
CDH16	-1.384
FGF7	2.207375
PCSK4	-0.795833333333334
NPC1L1	-0.802666666666667
TAT	0.31225
TBCA	-1.167
MGC33407	0.144
GPR115	-1.3505
CYGB	0.2695
FNBP4	-0.671
C12orf43	-0.15975
CBL	-0.2651
CLECL1	-0.68375
PPAPDC1A	-0.31425
WDR25	-0.374
SGCA	1.2495
C22orf29	0.866
YIPF1	0.35225
GALK2	-0.76325
RAB3B	-2.98009090909091
LOC440087	-1.53575
UCP1	-0.703
REEP5	0.674875
FADD	-0.4584
FOXA1	-2.684375
CACNA1A	0.133
ABI1	1.05933333333333
GRIN2D	0.43625
SLC1A4	0.167166666666667
LOC401127	-1.3825
HINT2	0.165
PLD4	-0.971
ZNF286A	-0.32625
ENY2	-0.47725
IL1F6	0.164
PXDNL	3.07925
C20orf79	0.671
TNFSF13B	2.17483333333333
DENND3	0.675875
JARID1D	-3.333
HIST1H2AK	-0.33725
LOC93349	-1.8654
SSH1	-0.9129
ENSA	-0.217
LOC219854	0.789833333333333
CKAP2	-0.8875
DKFZP564J102	2.67116666666667
MGC87315	-0.548166666666667
HNRPAB	-0.91525
AMH	-2.792
ZNF526	1.153
BRUNOL5	0.5576
CACNG3	0.0278333333333333
TRPM1	-3.1245
PPP2R1A	-0.096625
COL2A1	3.76075
DDN	0.107833333333333
FLJ25770	0.2755
HK2	0.109142857142857
ELOVL6	-1.723375
MDK	-0.1915
EPHX1	2.07025
RASSF2	0.9585
DKFZP434B0335	-1.17625
DLX3	0.68025
PRTN3	-1.00825
AVPR1A	0.757
C21orf125	-2.62275
TNFAIP8	-0.627
GNB2L1	-1.145
CALCRL	1.735
SCGB2A2	8.45183333333333
UBXD7	-0.80075
ZNF674	0.732
TMEM35	-1.426375
BRSK2	-1.1585
HECTD3	-0.386333333333333
TMEM188	-0.0788333333333334
LGALS9	0.217375
SCARB2	0.6245
USP34	-0.051
C17orf28	0.815
ZDHHC23	1.89075
AQP12B	-0.1685
SLC16A3	-2.38025
APLP2	1.60675
ITIH2	-5.5085
MICAL3	1.206
TNNI3K	1.2522
HDAC2	0.596375
PRR7	-0.3824
THBS2	-0.499875
LOC751071	0.5625
CA2	2.13983333333333
RANBP17	0.55475
RLN3	0.168
CRYZ	0.344666666666667
GBAS	0.584166666666667
TAS1R1	0.512
MPZL3	1.6195
PCDH8	-1.64725
HSP90B1	0.4245
KCNK15	-0.253
TNIP2	-0.798666666666667
GPR146	0.09725
NOL6	0.272625
SPC25	-1.70455555555556
STEAP2	0.605785714285714
VAMP3	-0.455333333333333
TCIRG1	-0.7995
ZP4	-0.0395
PARL	-0.30075
TRIM39	0.903666666666667
KIAA1305	1.374
CRNN	0.363166666666667
GRN	-0.23675
HSH2D	-3.84725
SCAMP1	-0.3335
KIAA1913	-0.01225
PTS	0.0835
BANP	0.8775
PRKACG	0.49575
ADCY6	-0.524166666666667
C16orf46	-0.502
CYP51A1	-0.091625
DDC	-2.17
ANPEP	-0.742166666666667
PROM1	4.591
SIGLEC10	1.1355
COPG	1.816
FAM26E	0.306
TRIP4	-0.81425
SNX3	-0.390833333333333
C1orf175	0.3845
PPY2	0.57725
C14orf152	-0.09025
FTSJ1	-0.836833333333333
DST	0.765
LOC554235	0.118
GLRX5	-0.07725
C20orf12	0.8702
CAB39	-0.654166666666667
MSH2	-0.179833333333333
PIP4K2C	1.011375
CYLD	0.561875
WTAP	-0.409625
MGAT4A	1.18422222222222
TSC22D4	0.3853
CHRM2	3.116
PPYR1	0.268666666666667
CCNH	-2.07366666666667
RRM1	-0.67675
ECAT8	-3.26025
LOC400120	0.0705
GABRA4	-0.45625
C14orf4	1.51883333333333
C1orf59	1.23725
CTDSPL	0.775416666666667
NHEDC2	-0.569
PDE11A	-1.5951875
KLHL29	0.35
CD5	-2.375
TSPAN9	1.086625
WDR67	-0.429
THUMPD1	0.1301
C18orf17	-0.334
CLYBL	1.60716666666667
FLJ13231	-0.317375
CMBL	1.217375
LECT2	-0.04925
NKAPL	0.593666666666667
LOC654780	0.856
OR4C6	0.5165
RAB30	-0.8925
TSSK4	0.766
TMEM163	0.4825
OSBPL11	0.4155
GNB5	-1.16116666666667
CCL21	0.33475
C1orf121	1.06116666666667
FMO2	1.2455
RPTN	-0.321
MSTN	0.2175
VCL	0.4855
FYTTD1	0.51425
C11orf1	0.38725
CCDC88C	0.360625
HFE	-0.592722222222222
MOGAT1	-0.6685
FAM125B	1.104
IRGQ	-0.205
RAVER2	-2.46075
AKAP5	-1.0545
SSSCA1	-0.596
C11orf63	-1.54875
ACTG2	4.2109
PORCN	-1.078
DTL	-0.594454545454545
TMEM151	0.74825
FAM122C	-1.633
RSAD2	0.9613
BAT4	0.424
KRTDAP	0.2025
MYH8	-0.328142857142857
CRTC3	1.5455
LRRFIP2	-0.2219
INTS4	-0.1775
TTN	2.508
SLC26A5	0.4795
PLLP	-0.1445
RGS6	0.145125
SRGAP3	0.74475
ZNF525	0.1765
NBR2	-1.77316666666667
C13orf1	-0.4899
ZNF137	0.1465
CEP27	-2.109
BEST2	0.376
RNF121	-0.4025
DMRTC2	0.0795
C8orf76	0.769
BCCIP	-0.30825
MEST	-0.95975
HTRA2	0.061
ANGPTL2	-0.3795
ILKAP	-0.763833333333333
ERAS	0.3445
HBS1L	-0.48075
CPA5	0.011
TMEM30A	0.665166666666667
CD300LF	1.2255
WISP3	0.066
CRK	0.059
PDS5A	0.0364
BRPF3	0.938833333333334
NEDD9	1.351
SMPDL3B	2.14325
PSG6	-0.849
PSMD13	-0.42675
ETV5	2.17475
OR51A4	0.127
BTBD7	0.0498333333333333
GSTO1	-1.42
hCG_16001	-0.469
MAD2L1BP	-0.614833333333333
COX6A2	0.7205
SCNN1A	-2.157
LSM1	-0.805166666666667
UGT2B11	-4.16325
IDUA	-1.738
PPP2R3C	-0.835833333333333
COX11	-0.946833333333333
PDZK1	-3.241
ZNF443	0.274166666666667
MGC21874	0.440166666666667
ZNF323	2.3711
KRTAP10-10	1.1515
CXCL6	-0.34475
SLC34A2	1.6504
LOC284402	0.2665
NPTN	1.01483333333333
UPP1	0.110333333333333
SLC6A9	0.791
OR7G3	0.059
CISD1	-0.427
ZNF545	0.841166666666667
SYT14	-0.754
NT5C3L	0.152333333333333
ZNHIT3	-1.3225
SNRPD3	0.22025
KIAA0701	0.118375
UNC93B1	-0.00666666666666667
GMNN	-0.864875
SPCS2	0.644166666666667
LOC388524	-0.42
NAPRT1	1.909375
PNLIPRP1	-0.2235
OR6V1	0.55
PRKAB1	-0.0265
EYA4	-3.8555
KIF20A	-1.35775
ALG10	-1.028
ITPKC	1.28233333333333
LMX1B	0.319666666666667
RPUSD4	-0.896333333333333
C7orf34	0.196333333333333
DLGAP2	1.30275
PFN1	-0.5383
MICALL2	-1.69175
ZNF654	0.2995
SS18L1	-0.709625
SLC16A8	4.07625
MKI67IP	-0.0556666666666667
ITGB3	-0.11825
TCEA3	2.71083333333333
CEP152	-2.1339375
CLIP1	0.916625
ZNF75	-0.2150625
ATP5C1	-0.183166666666667
NUDT5	-1.14033333333333
PSCDBP	-0.645
UBP1	-0.6935
RBM27	-0.83575
C13orf15	2.915625
ZNF282	1.16066666666667
ZNF222	-0.0754
COL10A1	4.08725
PRDM15	-0.12275
TTTY5	-0.4945
FAM9C	-0.25525
C20orf67	0.0215
GNG13	0.024
F12	-0.047
C1orf41	-0.6905
CPXCR1	0.4655
GSK3A	0.3725
SUPT6H	-1.05716666666667
PI16	-1.86766666666667
ELL2	-0.512666666666667
C9orf167	-2.09566666666667
PVRL3	-3.5132
FLJ38596	1.4645
ADAM20	-0.44075
GPR89A	1.015
GPR87	-2.713
ZNF30	0.48075
SMR3B	0.60125
ZNF770	-0.07175
TRPC4AP	-0.628333333333333
DKFZP686E2158	-0.547833333333333
C2orf28	0.213
FREM1	-3.5335
LAMA4	0.525666666666667
ADPRHL2	0.4095
EIF4G2	-0.0756666666666667
GUCA1A	-0.295
CTNNA2	-1.249
NUDT15	-0.440333333333333
CEPT1	0.9585
ZNFX1	-0.4163
CCDC92	1.273
TDRD1	-0.8495
KCNK5	4.2435
ETNK1	0.3415
LTA	0.8355
TTPA	2.25583333333333
B3GALNT2	0.559375
SC65	-0.296833333333333
PEX5L	-1.26442857142857
EPS15L1	-0.4325
MGEA5	-0.409375
HIST1H3A	0.6015
ING1	1.27025
BCAT1	-2.797375
ORC6L	-1.57654545454545
KLK11	-5.791
C19orf28	-1.415125
DNER	1.16025
MED22	-1.18285714285714
ETV6	2.37033333333333
CHAC2	-0.81775
CD300E	0.409
CEBPB	1.22291666666667
ZNF398	1.04625
LRCH3	0.372
HMGA1	-1.2695
CAPN7	-0.468833333333333
MGC5566	-2.73675
CCL3	1.172625
NANOS1	1.487375
ZFYVE19	-0.59325
APITD1	-0.708333333333333
PARD3	1.079875
IRAK4	-0.871
SERPINI2	0.1615
CEP170L	0.27525
TTC9	1.361875
MYOM3	-2.2775
MLPH	-2.162625
LOC222699	-1.2165
NRG1	0.214916666666667
TBC1D9	-2.63536363636364
TTK	-0.526
ZNF557	0.5422
DDX41	-1.28316666666667
FANK1	-2.4465
UBE2D2	-0.701625
PSMB10	-0.9835
MYH7B	0.497
GABARAPL2	0.247875
MARVELD2	1.064
DGCR2	1.27
UNC45A	1.12433333333333
C6orf72	-0.6245
ZNF683	0.29225
GIT2	0.370125
CASK	0.7985
C14orf161	2.26566666666667
LRRC44	-1.33475
TIFA	1.045375
UTP11L	0.1475
C6orf65	-0.30325
FDPS	0.4175
DUSP9	-0.6246
SLC17A8	-0.171333333333333
OR51G1	0.3905
NANS	0.155
OLFML1	1.1765
ATP10B	-1.06375
NPAS3	1.98425
PRKCA	-0.9354
GGA2	-0.02675
LCE4A	0.6545
SPANXN3	-0.2375
CCDC115	1.83725
SDCCAG3	-1.17825
GLIPR1L1	-0.0865
TTC1	-0.60925
C17orf76	1.01175
MAD2L2	-0.54775
HIPK1	0.1164
LRRC3B	-0.375333333333333
CLN3	-0.475727272727273
C17orf47	0.347
FMN2	-1.93275
TUBB1	-1.062625
WAPAL	0.499166666666667
C3orf21	-0.869375
SCN5A	-0.264
SMYD1	0.799
BEX5	2.0585
ZNF192	-0.0765
SEC22A	1.0525
GRIA2	4.49764285714286
KIAA0825	-2.038
NUSAP1	-1.27945454545455
LANCL1	-0.108625
C15orf40	0.1136
ZNF645	0.43375
GPR61	0.02225
NLRP14	-0.5655
SNX21	-0.0762
C1QTNF8	-0.2835
C17orf46	0.63275
IFNA8	-0.1605
SPRR1B	-1.554
FLRT1	-0.45375
SNX17	0.3015
ASB2	0.438666666666667
HBG1	-5.8165
RPRML	-0.3275
JOSD2	0.172833333333333
PLSCR3	0.1345
SPOCD1	-1.1105
RAB39	0.418
GHRH	-0.0146666666666667
ITIH5L	1.311
C17orf37	-0.011
SMCR8	0.20075
DPY19L2P3	-0.1045
IL11RA	-0.668666666666667
GDF3	-4.072
RPS6KB1	-1.9525
DNAJC19	0.2129
TOP1	-0.37125
CRCT1	-0.489875
MPST	0.33225
DPM2	-0.432
FAM38B	-1.69666666666667
SLC18A1	-2.469
FARP1	1.4775
PAX7	0.23175
TUBD1	-1.125
GNL3	-0.925875
BTG2	0.741
NDUFS6	-0.817
C1orf79	-0.526
ERAL1	-1.159
ECHS1	0.67675
VPS4A	0.150166666666667
CYP11A1	-0.030625
ABCC6	-2.79021428571429
PBX4	-1.445
MOSC1	0.717125
NCF4	-0.18475
HYMAI	0.257
NAGPA	-1.045875
OTOP2	0.36425
ACOT12	0.1915
MTHFD2L	-0.89525
LOC441376	5.7985
C19orf34	0.2045
RAB1B	-0.021
ALDOAP2	-0.7255
NTRK1	-1.85433333333333
ARTS-1	-0.9339
SLC6A11	0.6675
NAP1L2	-4.60675
CNGB1	0.157
EPB41L4B	0.0343333333333333
FAM134B	3.5505
HS3ST3A1	-2.127
CPXM2	3.371
SIRPB2	-0.0555
CHORDC1	-0.557166666666667
TRIB3	-0.815333333333333
SLC2A5	0.106
C2orf49	-0.9875
DDX5	-1.26125
OR5L1	0.808
ANAPC4	-1.14083333333333
ZSWIM1	-0.23375
LOC93622	-0.628375
KCNK3	-0.7707
RP11-35N6.1	-1.191875
ZFP161	0.841
AQP9	3.969
SLC15A2	0.921166666666667
MREG	-1.85383333333333
OR9I1	-0.2625
PDLIM2	0.834
ADAM7	0.0325
GSTCD	-1.257
WDR21A	-0.363125
SLC12A8	3.31016666666667
TMEM174	0.3025
IGSF3	1.95383333333333
LRRN1	-2.281
LOC402117	0.02475
SRPK1	0.0653333333333333
LY6K	-1.50875
NFIA	2.222
PTCD3	-0.620375
LEP	0.123166666666667
PCDH21	-0.8705
MAPKAPK2	0.587571428571429
NMNAT1	-0.202666666666667
LHFPL2	0.44425
C9orf43	-0.0575
DIP2A	0.199166666666667
ACTR8	-1.0285
CCDC34	-1.561
PTPN22	-1.548625
ITGA3	-1.911875
FAM129C	-0.31775
RABGGTA	0.4145
UNC45B	0.1715
KIAA1033	-0.2245
ZNF510	0.3895
CYP2D6	-0.343333333333333
SLC26A10	-1.125
STX8	-0.6915
LUZP1	0.48275
WDR89	-0.9855
EIF4G3	-0.562
C5AR1	0.820125
ZNF623	1.7815
A2M	5.19325
TGM7	0.7195
GRPEL1	-1.18733333333333
LMNB2	-0.5234
ROCK2	1.33583333333333
SNX16	0.55325
CCDC66	-1.16425
ANXA3	-2.5415
KIAA1609	1.196
EED	-0.11825
RNF32	1.13566666666667
HES1	0.7061
CLC	-0.341666666666667
ISL1	4.92333333333333
KIAA0528	-0.20975
MANEA	0.196375
C1orf61	-1.6995
hCG_2001000	-0.3175
RAPGEF6	-0.9614
KIAA0020	0.408833333333333
NEIL1	1.26575
C16orf45	-2.9
RBM10	-0.0845
C10orf125	0.016375
MRS2L	-0.3455
DNAH17	-0.8755
C19orf10	-0.22425
C1orf160	0.3205
SLFN12	-1.21425
EXOC3	0.238333333333333
HIST3H3	0.20025
NCOR2	0.581166666666667
TNFRSF9	-1.01325
MFSD8	-0.71375
ALX1	-3.586
NOL1	-0.533
PODN	0.68825
TIAL1	-0.34725
HIST1H1E	-0.65625
NPY6R	0.5255
TM4SF4	1.7575
CORO2A	0.07325
ETNK2	1.3905
APOE	-0.9038
ANGPT4	0.414
HDGF2	0.2115
G30	1.301
ST8SIA4	-0.958875
F2RL1	-0.901
FAM19A4	2.759
CCAR1	-0.7645
B3GNT7	0.876
OPHN1	-0.1559
DSCR6	0.354
C21orf13	-0.46
GAS2L1	1.23575
RFX3	0.801833333333333
COPS4	-0.795
BCHE	-4.686
BCL2	2.446125
HBZ	-3.09516666666667
ARL13B	-1.8685
MAPBPIP	0.296125
MYO15B	-0.814375
SPZ1	0.1715
KIAA1324	3.93622222222222
PLCL2	-2.12975
C4orf29	-1.834
WDFY2	-0.419
ZNF284	-0.3115
NAALADL1	-0.679
DUSP5	-0.095
PXDN	0.593625
SLMO1	0.63825
TNXB	0.1471
BIRC7	-1.53225
A4GALT	0.0368333333333333
TIMM22	-0.185
FAM110C	0.396
TOMM34	-0.20325
ABHD9	0.715
ADAM32	1.969
CRHBP	-0.80275
AQP2	0.45525
LOC130355	0.947
ZNF187	0.75
ZNF816A	0.5575
F7	-1.251125
CNOT1	0.0665
SLC13A4	-0.677
ZBTB11	-0.8255
B3GALT5	-0.059
EXOC2	0.4195
IRS1	-1.2604
TMEM1	-0.615666666666667
MRPL34	-0.658
SAMM50	-0.08125
CDC42EP3	0.836625
HSF2	0.1326
MFN2	-0.28575
TSPAN7	0.0821666666666667
NUCB1	0.941
RHOH	-4.56275
ARL16	-0.321
TACR1	0.381
SFRS5	-1.73183333333333
SNX25	-0.24575
RHBDF1	0.5955
PCDH18	0.509
HMG1L1	-0.9765
MYO5C	-0.167625
MAPK10	-0.1335
LDHAL6A	-0.117833333333333
NUDT12	-0.897833333333333
NCAM1	0.266625
GLIS2	0.39
GGTL4	1.596
DAPP1	-1.939
ATF7	0.452
KIAA0748	-2.32775
NFIL3	0.9125
TM6SF1	0.3143
SEZ6	0.01625
NANOS3	1.6225
DNAJA3	-0.306333333333333
CLDN6	-3.2305
CIITA	1.0831
EPHA4	-1.92833333333333
FANCC	1.18225
CMTM3	-0.821875
PSG3	-0.185
MRPL15	0.876
C21orf59	-1.72875
PLCXD2	0.08525
C2orf34	0.3485
UBE2L6	-0.54875
MED14	0.317
HP1BP3	0.2539
C6orf208	0.034
TPBG	-1.25225
OSR2	-1.795125
XPC	-0.999333333333333
KLHL7	-0.108166666666667
CCR3	-0.562
AGTPBP1	-0.271333333333333
PCSK6	0.9624
STAT5A	-1.21
FAM18B	-0.61125
LONRF2	-0.606
PTPN2	-0.7735
SF3A3	-0.444333333333333
EFCBP2	-0.23125
HCFC1	0.053
AHNAK	-0.82535
ACTR5	0.23025
KIF14	-1.42485714285714
TENC1	0.621
HEATR5B	0.879
YIPF2	1.31333333333333
MYEOV2	-0.178
DUSP18	0.821
KIAA1012	0.3595
AHR	-0.897166666666667
C17orf53	-1.28516666666667
PTPRH	-4.07225
ATP6V1C1	1.1686
TAS2R3	-0.8215
LOC440356	-1.46175
COQ10B	0.5665
PSMF1	0.732916666666667
SORBS2	4.22058333333333
NFE2L2	-0.2305
TMCO7	-0.16075
SH3PXD2A	0.3168
SH2D2A	0.61075
SPINK5	-3.73975
MRPS24	-0.40325
OPA3	0.325125
TRAF7	0.216166666666667
C4orf35	0.127666666666667
MT1G	0.198375
MGC39545	0.558
HS1BP3	0.5747
OR2B2	0.8335
CHRM4	0.174
SFRP2	-1.09416666666667
RIC3	-1.0965
ART1	-0.2655
C6orf1	0.85975
DUS4L	-0.836
C10orf104	0.629
TNFAIP6	0.94675
RTEL1	-1.9205
CCT4	-0.5932
ZNF709	0.14325
CHMP6	0.0258333333333333
UPP2	1.398
CYP19A1	-3.1255
CD151	-1.08383333333333
NDUFA13	-0.777666666666667
ARFRP1	-0.602333333333333
FAM26B	1.76325
CRYBA1	-1.357
MRPL41	-1.27633333333333
NPFFR2	-1.583625
HRH2	0.6455
SCAMP3	0.826333333333333
MTMR6	0.6977
MTG1	-1.16766666666667
UBTD1	1.06625
CRABP1	3.61
FLJ33790	1.4928
KIAA1908	-1.87116666666667
GPR158	0.78425
PACSIN3	0.7905
OMD	0.781
CATSPER1	-0.599166666666667
HOXB8	-0.900625
FBXO46	1.4205
OAS1	-0.121833333333333
SVIL	1.603
PHB2	-0.5225
ADCY3	1.0445
NDRG2	3.8445
ERMAP	0.8289
APBA2	1.26566666666667
IGSF9	2.87
WNT6	-0.247714285714286
MYCBPAP	-0.40525
ATP2B2	-0.3704
CPVL	-1.0572
TRAM2	-0.897666666666667
NOP5/NOP58	-0.2525
ZNRF4	0.13225
TLK1	0.084375
MTMR12	1.43078571428571
ZNF384	0.170166666666667
FAM9B	-3.17225
RPN1	1.8781
PMVK	1.24825
EIF3D	0.6515
SIX2	1.34925
HPS1	0.898214285714286
RNF7	0.52025
PSKH2	0.618
KCTD13	-0.290166666666667
CSMD3	-0.5039
FBF1	0.1795
IL8	-1.638125
SERPINB13	3.5235
FBXL20	-0.06425
BLR1	0.36575
SH2B1	0.246666666666667
RFNG	0.49975
RAB20	0.675666666666667
RBM7	0.33125
POLR1A	-0.2535
TMPRSS4	-3.651
TAF9	-1.707875
TERF2	0.583333333333333
TNFRSF1A	0.127916666666667
ACADVL	-0.919333333333333
GTF2H5	-0.78675
EDG8	0.0675
C9orf140	-0.636
UST6	0.30125
ZBTB8OS	-0.50575
ZNF710	1.1155
GPR174	-1.7065
ATP6V0A2	-0.37125
KIAA0319L	-0.415916666666667
XKRX	-0.1515
DOPEY2	0.236
SDHD	0.0948333333333333
SUMF1	0.31425
OSM	3.6645
OPN3	1.49275
DAGLB	-0.809833333333333
PPFIBP1	0.3808
TRIM63	-4.997
C10orf53	-0.1405
LYPD3	-1.26783333333333
BCL7A	-0.11875
AGER	-1.3595
TCF19	1.349
SAT2	-0.44325
PFTK1	-0.496333333333333
GABRE	-3.673375
C15orf38	1.7523
FIS1	-0.1115
KCNV2	0.026
CLPS	0.43525
PPCDC	-0.205625
FOXN2	0.5025
NT5E	-2.3807
CD83	3.248
IL18	-1.8235
VPS16	0.1995
IGFBP2	-2.73283333333333
NOTCH2	1.709
SIGLEC1	2.375875
CD93	4.699
SULF2	-3.07125
CEP164	-0.035
P53AIP1	0.229333333333333
TOR2A	-0.396
ZNF136	0.41875
MGP	3.8041
CCDC144A	0.743333333333334
TRPC1	0.0945
SMS	-0.902833333333333
MAPK7	-0.4485
RRAGC	0.6295
PARD6A	0.849166666666667
NUB1	1.00316666666667
SYNGR4	0.4385
OR11H12	0.6775
WIF1	5.9185
GCH1	-0.2975
OR11H4	0.099
SLC44A5	-1.2215
GPRIN2	3.86016666666667
LOC401431	2.65675
CPA4	-2.6417
MELK	-0.871
IL15RA	-1.20625
CUL3	-0.507875
HMBOX1	0.501
PODXL	-0.14325
CCT6B	0.683666666666667
COMTD1	0.09925
MUC20	-0.394833333333333
GPX2	-4.020375
ITK	-2.1935
FBXL5	0.209
C13orf27	-0.03375
DEFA5	0.047
TRHDE	0.275
MTP18	-0.535166666666667
UQCRQ	-1.3949
ITGB2	1.21725
CSRP2BP	-0.49825
TAS2R44	0.3125
PHPT1	-1.15525
FAM44C	-0.15625
ERH	-0.98
MPHOSPH1	-0.816333333333333
MORC1	-0.6555
PARVB	0.4535
LAMA1	-2.64108333333333
PGBD3	-0.31825
GIMAP6	2.61025
AREG	-5.0615
LIPT1	-0.196
MGC99813	-1.3605
C1orf201	0.589166666666667
GRIN2A	-0.8166
MAN2C1	-1.291875
NSUN5	-0.57375
SF3B5	0.063
MYC	-1.048375
NRXN1	0.0895833333333333
ZNF18	-0.2875
SPDYA	0.534625
SLC37A1	0.3725
DECR2	-0.517
ANKRD38	-0.45625
SPTLC3	-0.0605
SUPT16H	-0.179625
DTWD2	-1.1685
ULBP1	-0.452
ZADH1	-0.780333333333333
OIP5	-2.0995
IL10RB	0.495166666666667
OTUB2	0.7595
VWA3A	0.306833333333333
SPIC	0.803333333333333
OR6C4	0.261
PSCD4	0.4385
DPY19L2P2	-0.1875
TRAPPC6A	0.687666666666667
C21orf2	-0.668833333333333
CEMP1	0.15175
LIN7B	0.444
E2F7	-0.724833333333333
VCP	0.1831875
LAMA3	1.25658333333333
BGN	2.831
GPR160	-2.14183333333333
COCH	-0.28
GPR81	-1.89883333333333
APOBEC3F	-2.92
tcag7.1017	-0.33725
C1orf32	0.205
SCGB1D2	5.778
FLJ43987	0.6075
C6orf170	0.4615
KLK9	0.1735
GPD1L	-1.45725
VPS37B	0.618
ATG3	0.318833333333333
ADAMTS17	-0.018
KLHDC2	-0.977333333333333
NDUFV2	-0.96325
BLK	-3.55925
MATN4	0.1075
GPM6A	-0.905142857142857
GBP4	0.296333333333333
TMEM162	0.338
PKP2	0.4995
HRASLS	1.71433333333333
MMP1	-2.45225
SFXN3	-0.0722
FSD1	-2.08116666666667
ST6GALNAC3	-2.80883333333333
CA12	-1.6969
NCOA6	0.321
C19orf58	-0.5668
PPP4R1	0.599333333333333
MAN1A2	1.20733333333333
IKBKAP	-1.64725
UPF1	0.309833333333333
KIAA1219	0.38225
WNT16	0.569333333333333
SNW1	-0.04525
IL18RAP	0.337
RPP30	0.1595
CDC40	0.142785714285714
SETD3	0.8565
SLAMF6	-0.21425
ELK4	0.4605
TRIM47	1.42483333333333
ACOX3	0.539625
TRIM6	-0.04875
KIAA0372	-0.8635
TP53AP1	-0.212125
SMURF2	0.03675
ADAD1	0.4955
EBP	-0.7917
KRTAP13-2	-0.1755
FLJ36874	-0.399666666666667
TOR1A	-0.696333333333333
P2RY4	0.597
GPBP1	-0.59375
TRPV1	-0.37525
ADAMTS12	-0.665333333333333
PES1	0.6108
ATG4A	-0.178833333333333
MAGEA10	-4.68625
WFS1	0.2635
CC2D1B	-0.442166666666667
PABPN1	-0.234625
SLC25A30	0.77775
SLCO1C1	0.2765
SLC22A5	-0.68475
KIF23	-0.203666666666667
SYN2	2.12533333333333
ASPN	5.7255
CENTG2	-0.682
QSOX2	-1.7007
FLJ10815	-0.274333333333333
STK24	0.6425625
SPEG	0.9918
STK10	-0.621166666666667
DACT2	-1.5415
AAAS	-1.345
SSX3	-1.803875
ABCD3	0.1963
C4orf12	0.51125
PARVG	-0.11
FIG4	0.2055
C9orf46	-0.7495
TMCO6	-0.966
IGHMBP2	-0.58825
DUS2L	-0.446666666666667
FAM3C	1.72175
TMEM16D	-1.70025
DCTN4	-0.2235
KCNH3	0.75125
EIF2AK2	0.02
AP1S3	-0.6
CST4	-0.6255
PAM	0.9864375
NUTF2	0.06375
CITED2	-0.8499
SLC39A4	1.08975
C2orf52	-0.9705
GRM3	-0.02725
C12orf49	2.45075
CCDC49	-0.5682
GRAMD1B	-0.9725
FNDC4	2.47625
SIAH2	0.649625
GDPD4	0.47075
C21orf87	0.759125
ATP5A1	0.108166666666667
