Hybridization REF	TCGA-C8-A12N-01A-11R-A115-07
SCAMP1	-0.2858125
KIAA1913	0.88975
PTS	-0.25125
BANP	-0.142928571428571
PRKACG	0.64125
ADCY6	0.5385
C16orf46	0.245
CYP51A1	-0.301
DDC	-6.1505
ANPEP	0.689
PROM1	-0.251
SIGLEC10	2.70525
COPG	1.176
FAM26E	2.418875
TRIP4	0.384
SNX3	0.0798333333333333
C1orf175	0.612166666666667
PPY2	0.22175
C14orf152	0.5745
FTSJ1	-0.111333333333333
DST	-0.711157894736842
LOC554235	0.40425
GLRX5	-0.5025
C20orf12	1.5466
CAB39	0.1675
MSH2	-2.4345
PIP4K2C	1.12375
CYLD	0.722
WTAP	-0.3190625
MGAT4A	1.69611111111111
TSC22D4	0.1166
CHRM2	-2.129
PPYR1	0.332666666666667
CCNH	-0.258166666666667
RRM1	-1.86125
ECAT8	-3.9865
LOC400120	-0.379
GABRA4	-0.24125
C14orf4	1.1345
C1orf59	-1.2255
CTDSPL	0.911666666666667
NHEDC2	-1.5735
PDE11A	0.00575
KLHL29	-2.262
CD5	-1.2702
TSPAN9	1.8725625
WDR67	-0.82375
THUMPD1	0.9109
C18orf17	0.3135
CLYBL	-0.120166666666667
FLJ13231	-0.7395
CMBL	1.734875
LECT2	-0.21625
NKAPL	2.40233333333333
LOC654780	0.267
OR4C6	-1.14
RAB30	2.149
TSSK4	0.038
TMEM163	0.9415
OSBPL11	-0.0199166666666667
GNB5	-1.127
CCL21	0.25725
C1orf121	-0.377833333333333
FMO2	0.956833333333333
RPTN	0.363
MSTN	0.3815
VCL	0.412142857142857
FYTTD1	-0.43925
C11orf1	0.894
CCDC88C	0.2946875
HFE	0.115555555555556
MOGAT1	-1.8795
FAM125B	0.208166666666667
IRGQ	0.3555
RAVER2	-0.54725
AKAP5	-0.926
SSSCA1	0.34325
C11orf63	1.10925
ACTG2	0.1127
PORCN	-0.9785
DTL	-3.44227272727273
TMEM151	0.30375
FAM122C	-1.56375
RSAD2	4.0249
BAT4	-0.893
KRTDAP	-0.331
MYH8	0.8995
CRTC3	1.0665
LRRFIP2	0.1118
INTS4	-0.0326666666666667
TTN	-1.8335
SLC26A5	0.1365
PLLP	-1.55725
RGS6	0.032875
SRGAP3	0.21375
ZNF525	0.424333333333333
NBR2	0.174333333333333
C13orf1	-0.2777
ZNF137	0.45
CEP27	-1.32
BEST2	0.2185
RNF121	-0.39275
DMRTC2	2.10025
C8orf76	0.138
BCCIP	-0.30975
MEST	-2.97825
HTRA2	-0.1355
ANGPTL2	0.841
ILKAP	-0.312
ERAS	-0.5805
HBS1L	-0.696875
CPA5	0.3585
TMEM30A	-0.3175
CD300LF	1.91233333333333
WISP3	0.319
CRK	0.585642857142857
PDS5A	-0.8316
BRPF3	0.951666666666667
NEDD9	0.147875
SMPDL3B	1.919
PSG6	-1.48075
PSMD13	0.733
ETV5	-1.1918125
OR51A4	-0.1905
BTBD7	0.487
GSTO1	-0.851625
hCG_16001	-0.2185
MAD2L1BP	-0.703333333333333
COX6A2	0.9805
SCNN1A	2.99116666666667
LSM1	-0.853166666666667
UGT2B11	0.2695
IDUA	1.92025
PPP2R3C	-0.798
COX11	-1.47833333333333
PDZK1	1.3665
ZNF443	2.0715
MGC21874	1.99416666666667
ZNF323	2.3891
KRTAP10-10	0.586
CXCL6	-0.184
SLC34A2	1.1033
LOC284402	0.2465
NPTN	0.34225
UPP1	-2.09366666666667
SLC6A9	1.4
OR7G3	0.18675
CISD1	-0.402833333333333
ZNF545	0.0399999999999999
SYT14	-0.934
NT5C3L	-0.572333333333333
ZNHIT3	-0.522
SNRPD3	-0.377
KIAA0701	-0.303875
UNC93B1	1.32116666666667
GMNN	-2.646875
SPCS2	-0.0956666666666667
LOC388524	-1.2525
NAPRT1	-0.518125
PNLIPRP1	-0.343
OR6V1	0.492
PRKAB1	0.2175
EYA4	-1.37033333333333
KIF20A	-2.488
ALG10	-0.68575
ITPKC	0.925
LMX1B	2.40666666666667
RPUSD4	-0.6405
C7orf34	0.775333333333333
DLGAP2	0.87325
PFN1	0.9912
MICALL2	0.182166666666667
ZNF654	0.3565
SS18L1	-1.695875
SLC16A8	0.63
MKI67IP	-0.598
ITGB3	-0.686125
TCEA3	2.11725
CEP152	-2.6599375
CLIP1	0.3815
ZNF75	0.409125
ATP5C1	-0.303666666666667
NUDT5	-0.651333333333333
PSCDBP	0.30025
UBP1	0.203
RBM27	-0.567
C13orf15	3.189125
ZNF282	0.166166666666667
ZNF222	-0.712
COL10A1	5.22
PRDM15	-0.985
TTTY5	-0.028
FAM9C	-0.5325
C20orf67	1.49425
GNG13	-0.2295
F12	0.455
C1orf41	-0.3495
CPXCR1	0.0155
GSK3A	0.71025
SUPT6H	0.758666666666667
PI16	-2.17016666666667
ELL2	-0.495833333333333
C9orf167	-1.71483333333333
PVRL3	-2.5031
FLJ38596	0.247
ADAM20	0.50675
GPR89A	-0.976
GPR87	-2.4345
ZNF30	0.78025
SMR3B	0.944
ZNF770	0.30575
TRPC4AP	-0.457833333333333
DKFZP686E2158	0.1285
C2orf28	0.275666666666667
FREM1	-1.7345
LAMA4	0.364666666666667
ADPRHL2	0.03275
EIF4G2	0.444666666666667
GUCA1A	-0.2465
CTNNA2	-1.30175
NUDT15	-1.37116666666667
CEPT1	-0.333666666666667
ZNFX1	0.8089
CCDC92	1.6835
TDRD1	-1.291
KCNK5	0.924833333333333
ETNK1	-0.0169166666666667
LTA	0.198
TTPA	-0.716
B3GALNT2	-0.058375
SC65	0.0178333333333333
PEX5L	-1.178625
EPS15L1	1.2705
MGEA5	-0.48325
HIST1H3A	0.6515
ING1	0.0615
BCAT1	-2.759875
ORC6L	-4.23154545454546
KLK11	-5.20516666666667
C19orf28	-1.02725
DNER	-4.853875
MED22	-0.7995
ETV6	1.23791666666667
CHAC2	-2.4495
CD300E	0.096
CEBPB	0.225916666666667
ZNF398	-0.2805
LRCH3	-0.5155
HMGA1	-1.39933333333333
CAPN7	-0.417
MGC5566	-2.53675
CCL3	2.762875
NANOS1	0.389625
ZFYVE19	-0.1535
APITD1	-0.107666666666667
PARD3	0.05475
IRAK4	0.373666666666667
SERPINI2	0.2555
CEP170L	-0.80375
TTC9	2.751375
MYOM3	-1.62225
MLPH	0.964
LOC222699	0.458
NRG1	-0.490416666666667
TBC1D9	2.21890909090909
TTK	-3.18716666666667
ZNF557	0.1119
DDX41	0.113
FANK1	2.91
UBE2D2	-0.011125
PSMB10	0.576875
MYH7B	0.4615
GABARAPL2	-0.34225
MARVELD2	1.71883333333333
DGCR2	0.207166666666667
UNC45A	0.019
C6orf72	0.793
ZNF683	3.96125
GIT2	-0.501625
CASK	0.6405
C14orf161	3.0895
LRRC44	0.60175
TIFA	-0.052125
UTP11L	-0.676
C6orf65	0.16325
FDPS	-1.43375
DUSP9	-2.1951
SLC17A8	1.43183333333333
OR51G1	0.0596666666666667
NANS	-0.668
OLFML1	1.663
ATP10B	-0.7855
NPAS3	-0.31675
PRKCA	-2.81
GGA2	-0.2625
LCE4A	0.5815
SPANXN3	-0.0934999999999999
CCDC115	0.823125
SDCCAG3	-1.43875
GLIPR1L1	-0.1005
TTC1	-0.10375
C17orf76	-0.224
MAD2L2	-1.29975
HIPK1	-0.0133
LRRC3B	-0.506833333333333
CLN3	-0.0548636363636363
C17orf47	-0.35
FMN2	-2.363125
TUBB1	-1.696375
WAPAL	-0.188333333333333
C3orf21	-0.6135
SCN5A	-0.5057
SMYD1	-0.243
BEX5	0.222
ZNF192	0.0815
SEC22A	-0.674333333333333
GRIA2	1.31135714285714
KIAA0825	-1.63575
NUSAP1	-3.296
LANCL1	-0.734625
C15orf40	-0.2411
ZNF645	0.144
GPR61	0.373
NLRP14	-0.157
SNX21	-0.2686
C1QTNF8	0.0595
C17orf46	0.02825
IFNA8	0.388
SPRR1B	-1.25183333333333
FLRT1	-0.2735
SNX17	-0.146833333333333
ASB2	-1.38333333333333
HBG1	-5.151
RPRML	-2.147
JOSD2	1.9535
PLSCR3	0.374
SPOCD1	0.904666666666667
RAB39	-0.99
GHRH	2.2705
ITIH5L	0.67675
C17orf37	0.9135
SMCR8	0.73775
DPY19L2P3	-0.695166666666667
IL11RA	0.119333333333333
GDF3	-4.39516666666667
RPS6KB1	-1.25758333333333
DNAJC19	0.1733
TOP1	-0.3395
CRCT1	0.219125
MPST	0.09275
DPM2	0.45575
FAM38B	0.177
SLC18A1	-3.00233333333333
FARP1	1.19233333333333
PAX7	-0.08775
TUBD1	-0.91575
GNL3	-0.9915
BTG2	2.1498
NDUFS6	-0.744
C1orf79	-1.647
ERAL1	1.2805
ECHS1	0.57375
VPS4A	-0.5615
CYP11A1	0.4375
ABCC6	-1.42264285714286
PBX4	-2.6445
MOSC1	-1.256
NCF4	0.307
HYMAI	0.387
NAGPA	0.13675
OTOP2	0.1735
ACOT12	-0.02575
MTHFD2L	-0.776875
LOC441376	5.357
C19orf34	-1.0085
RAB1B	0.37925
ALDOAP2	0.8355
NTRK1	-0.2285
ARTS-1	0.3427
SLC6A11	-0.6585
NAP1L2	-2.72925
CNGB1	-0.0346666666666667
EPB41L4B	0.715416666666667
FAM134B	0.570125
HS3ST3A1	-0.296833333333333
CPXM2	4.62625
SIRPB2	0.685
CHORDC1	-0.9165
TRIB3	-1.90216666666667
SLC2A5	1.04325
C2orf49	-0.111333333333333
DDX5	-0.64625
OR5L1	2.5645
ANAPC4	-0.744
ZSWIM1	0.415875
LOC93622	-0.28775
KCNK3	1.0714
RP11-35N6.1	-2.57128571428571
ZFP161	0.107666666666667
AQP9	1.194
SLC15A2	-1.681
MREG	0.6325
OR9I1	0.4325
PDLIM2	0.691875
ADAM7	0.5645
GSTCD	0.826
WDR21A	-0.613375
SLC12A8	1.41316666666667
TMEM174	0.26225
IGSF3	0.0709166666666667
LRRN1	0.31775
LOC402117	0.41625
SRPK1	-1.93583333333333
LY6K	-2.6016875
NFIA	3.106
PTCD3	-0.897375
LEP	-0.286
PCDH21	-0.642
MAPKAPK2	0.956857142857143
NMNAT1	0.0418333333333333
LHFPL2	0.678
C9orf43	1.7485
DIP2A	-0.896
ACTR8	-0.516125
CCDC34	-0.48675
PTPN22	-0.48075
ITGA3	0.677625
FAM129C	-0.269
RABGGTA	0.341333333333333
UNC45B	1.03675
KIAA1033	-0.114375
ZNF510	0.740166666666667
CYP2D6	-0.290833333333333
SLC26A10	-1.312
STX8	0.07475
LUZP1	0.240875
WDR89	0.423
EIF4G3	0.2816
C5AR1	1.44075
ZNF623	1.0445
A2M	-0.22625
TGM7	0.341
GRPEL1	-0.2985
LMNB2	-1.6398
ROCK2	0.021
SNX16	0.508375
CCDC66	0.9365
ANXA3	-0.2805
KIAA1609	-0.23525
EED	-1.43425
RNF32	0.412
HES1	0.5646
CLC	0.575
ISL1	-0.0221666666666666
KIAA0528	0.358
MANEA	0.281375
C1orf61	-1.827
hCG_2001000	-0.0815
RAPGEF6	-0.191
KIAA0020	-1.25166666666667
NEIL1	1.19625
C16orf45	1.452875
RBM10	-0.449166666666667
C10orf125	-1.22025
MRS2L	-0.205
DNAH17	-1.279125
C19orf10	-0.68225
C1orf160	1.3825
SLFN12	1.0215
EXOC3	0.390166666666667
HIST3H3	0.171
NCOR2	0.0696666666666667
TNFRSF9	1.2325
MFSD8	-0.54
ALX1	-4.304
NOL1	-0.61575
PODN	3.126
TIAL1	-0.92625
HIST1H1E	0.069
NPY6R	0.31725
TM4SF4	-0.86025
CORO2A	-0.30575
ETNK2	1.50283333333333
APOE	0.5213
ANGPT4	-0.0135
HDGF2	-0.2495
G30	-0.287
ST8SIA4	-0.448
F2RL1	-0.864
FAM19A4	-3.29025
CCAR1	0.29925
B3GNT7	0.3815
OPHN1	-0.2436
DSCR6	-0.683
C21orf13	2.09083333333333
GAS2L1	0.841166666666667
RFX3	0.315
COPS4	-0.2675
BCHE	-5.3905
BCL2	2.78125
HBZ	-3.14166666666667
ARL13B	-0.192875
MAPBPIP	0.77825
MYO15B	0.4805
SPZ1	-0.368666666666667
KIAA1324	2.51777777777778
PLCL2	-0.54625
C4orf29	-1.238
WDFY2	-0.539625
ZNF284	-0.144
NAALADL1	1.3705
DUSP5	0.986333333333333
PXDN	0.924125
SLMO1	-0.8055
TNXB	0.1574
BIRC7	-1.5165
A4GALT	2.29383333333333
TIMM22	0.9195
FAM110C	1.21175
TOMM34	-0.7735
ABHD9	0.297
ADAM32	0.1395
CRHBP	-0.6295
AQP2	0.578875
LOC130355	0.72475
ZNF187	0.105166666666667
ZNF816A	0.422
F7	0.785
CNOT1	-0.7888
SLC13A4	-0.36125
ZBTB11	-0.20775
B3GALT5	0.8195
EXOC2	0.336166666666667
IRS1	0.5577
TMEM1	-0.6165
MRPL34	-0.0451666666666667
SAMM50	-0.214
CDC42EP3	-0.788125
HSF2	-1.1961
MFN2	-0.28825
TSPAN7	-1.97883333333333
NUCB1	0.541916666666667
RHOH	-1.19975
ARL16	-0.524
TACR1	0.42825
SFRS5	-0.844333333333333
SNX25	0.16175
RHBDF1	1.23633333333333
PCDH18	2.14533333333333
HMG1L1	-0.88025
MYO5C	1.194125
MAPK10	1.9745
LDHAL6A	0.142333333333333
NUDT12	1.51833333333333
NCAM1	-0.026625
GLIS2	0.3715
GGTL4	-0.0765
DAPP1	1.123
ATF7	0.454375
KIAA0748	-1.002
NFIL3	0.52825
TM6SF1	-0.1732
SEZ6	0.22575
NANOS3	0.987
DNAJA3	0.210333333333333
CLDN6	-2.1295
CIITA	2.8712
EPHA4	-1.0955
FANCC	-0.63525
CMTM3	1.0535
PSG3	-0.324125
MRPL15	-0.5625
C21orf59	0.385
PLCXD2	-0.06125
C2orf34	0.784125
UBE2L6	2.070125
MED14	0.482666666666667
HP1BP3	-0.0089
C6orf208	0.3975
TPBG	1.399
OSR2	-0.2545
XPC	-0.0125
KLHL7	-0.892583333333333
CCR3	-0.7638
AGTPBP1	-1.3245
PCSK6	0.247866666666667
STAT5A	-0.8868
FAM18B	0.2555
LONRF2	1.4425
PTPN2	-0.823875
SF3A3	-0.7015
EFCBP2	0.29375
HCFC1	-0.768333333333333
AHNAK	0.40155
ACTR5	-0.191
KIF14	-3.85971428571429
TENC1	1.26275
HEATR5B	0.671
YIPF2	1.104
MYEOV2	1.0112
DUSP18	1.4785
KIAA1012	0.6015
AHR	-0.645666666666667
C17orf53	-1.7635
PTPRH	-3.69125
ATP6V1C1	0.4893
TAS2R3	0.504
LOC440356	0.638
COQ10B	0.24425
PSMF1	0.496333333333333
SORBS2	2.10541666666667
NFE2L2	0.61325
TMCO7	-0.94525
SH3PXD2A	-0.1382
SH2D2A	-1.1465
SPINK5	-4.38525
MRPS24	-1.225
OPA3	0.262625
TRAF7	2.06766666666667
C4orf35	0.288166666666667
MT1G	0.8075
MGC39545	-0.01675
HS1BP3	0.7355
OR2B2	-0.012
CHRM4	0.326
SFRP2	3.90433333333333
RIC3	-0.98325
ART1	0.4555
C6orf1	0.684375
DUS4L	-1.226
C10orf104	0.01625
TNFAIP6	3.21375
RTEL1	-0.63325
CCT4	-1.3952
ZNF709	0.67475
CHMP6	0.928166666666667
UPP2	0.386
CYP19A1	-3.83275
CD151	1.13133333333333
NDUFA13	0.338
ARFRP1	-0.702
FAM26B	2.16425
CRYBA1	-2.151
MRPL41	0.052
NPFFR2	-0.415375
HRH2	-0.312
SCAMP3	-0.0521666666666667
MTMR6	0.0765
MTG1	-0.514
UBTD1	1.6455
CRABP1	-0.966
FLJ33790	0.3212
KIAA1908	0.3935
GPR158	-2.05825
PACSIN3	-0.274666666666667
OMD	4.5965
CATSPER1	0.257833333333333
HOXB8	-1.459875
FBXO46	0.857
OAS1	2.63
SVIL	1.07325
PHB2	-0.43
ADCY3	-1.207
NDRG2	0.937
ERMAP	0.8211
APBA2	-0.296
IGSF9	1.66675
WNT6	-0.334857142857143
MYCBPAP	1.78675
ATP2B2	0.0283
CPVL	-1.1622
TRAM2	-0.732166666666667
NOP5/NOP58	-0.63
ZNRF4	-0.22625
TLK1	-0.381625
MTMR12	-0.290142857142857
ZNF384	-0.124833333333333
FAM9B	-3.01775
RPN1	0.1158
PMVK	0.74275
EIF3D	-0.389
SIX2	0.0105
HPS1	0.360714285714286
RNF7	0.1705
PSKH2	0.7165
KCTD13	0.893166666666667
CSMD3	-1.1366
FBF1	0.108
IL8	-4.844375
SERPINB13	0.465583333333333
FBXL20	0.441
BLR1	0.9085
SH2B1	0.799833333333333
RFNG	0.70125
RAB20	0.776
RBM7	-1.35875
POLR1A	-0.334833333333333
TMPRSS4	2.5195
TAF9	-0.712
TERF2	0.205
TNFRSF1A	0.531833333333333
ACADVL	0.255166666666667
GTF2H5	1.02625
EDG8	-1.32866666666667
C9orf140	-1.592375
UST6	-0.51475
ZBTB8OS	-0.11225
ZNF710	0.9725
GPR174	-2.5655
ATP6V0A2	-0.37325
KIAA0319L	0.0322499999999999
XKRX	0.345
DOPEY2	2.1055
SDHD	-0.564083333333333
SUMF1	2.35
OSM	2.576
OPN3	0.3415
DAGLB	0.128666666666667
PPFIBP1	-0.0633
TRIM63	-4.7785
C10orf53	-0.543
LYPD3	1.24283333333333
BCL7A	0.735375
AGER	-1.14666666666667
TCF19	-1.961
SAT2	-0.241
PFTK1	1.2225
GABRE	-3.78375
C15orf38	1.3349
FIS1	0.743
KCNV2	-0.1945
CLPS	0.55925
PPCDC	-0.010375
FOXN2	-0.658833333333333
NT5E	-2.9558
CD83	0.63675
IL18	1.153125
VPS16	0.47425
IGFBP2	-0.132833333333333
NOTCH2	0.6195
SIGLEC1	3.31
CD93	5.737
SULF2	0.99675
CEP164	0.397875
P53AIP1	0.541333333333333
TOR2A	-0.0125
ZNF136	0.8595
MGP	3.7284
CCDC144A	-0.861666666666667
TRPC1	-0.969666666666667
SMS	-1.14666666666667
MAPK7	0.147166666666667
RRAGC	-0.04075
PARD6A	0.3995
NUB1	0.877666666666667
SYNGR4	0.47725
OR11H12	-0.8515
WIF1	0.373875
GCH1	-0.2215
OR11H4	-0.0135
SLC44A5	-0.696
GPRIN2	0.5125
LOC401431	-0.25275
CPA4	-2.6434
MELK	-3.05944444444444
IL15RA	0.5495
CUL3	0.691875
HMBOX1	-0.15525
PODXL	-1.487
CCT6B	0.825
COMTD1	-0.0575
MUC20	0.0215
GPX2	-3.96675
ITK	-1.468375
FBXL5	1.6695
C13orf27	-2.149
DEFA5	0.7585
TRHDE	-1.2535
MTP18	-0.0855
UQCRQ	0.3903
ITGB2	1.68233333333333
CSRP2BP	-0.49225
TAS2R44	0.238
PHPT1	0.42475
FAM44C	-0.31625
ERH	0.483
MPHOSPH1	-1.27016666666667
MORC1	-0.888
PARVB	0.5
LAMA1	-2.51458333333333
PGBD3	-0.176
GIMAP6	3.50125
AREG	-3.0595
LIPT1	-0.36475
MGC99813	0.2185
C1orf201	0.658666666666667
GRIN2A	-1.1536
MAN2C1	-0.510875
NSUN5	-0.6245
SF3B5	0.05925
MYC	-2.4755625
NRXN1	-1.40116666666667
ZNF18	0.83425
SPDYA	-0.393875
SLC37A1	1.214
DECR2	0.73225
ANKRD38	2.091375
SPTLC3	-0.464416666666667
SUPT16H	-0.97475
DTWD2	0.503
ULBP1	0.4215
ZADH1	0.340166666666667
OIP5	-3.2515
IL10RB	-0.0128333333333333
OTUB2	0.507
VWA3A	1.57016666666667
SPIC	0.3195
OR6C4	-0.297
PSCD4	1.0935
DPY19L2P2	-0.9305
TRAPPC6A	0.790166666666667
C21orf2	-0.249166666666667
CEMP1	0.2465
LIN7B	-0.5705
E2F7	-2.851
VCP	-0.102
LAMA3	-0.753416666666667
BGN	2.85425
GPR160	0.419166666666667
COCH	-4.04716666666667
GPR81	1.88066666666667
APOBEC3F	-0.40075
tcag7.1017	-0.74575
C1orf32	-0.023
SCGB1D2	3.45425
FLJ43987	-3.024
C6orf170	1.1485
KLK9	0.3315
GPD1L	0.803875
VPS37B	0.65725
ATG3	-0.742833333333333
ADAMTS17	0.399
KLHDC2	0.0403333333333333
NDUFV2	0.12325
BLK	-4.021
MATN4	-1.808
GPM6A	1.21714285714286
GBP4	2.7375
TMEM162	-0.132166666666667
PKP2	0.413
HRASLS	-3.35744444444444
MMP1	-3.70475
SFXN3	0.2944
FSD1	-1.89216666666667
ST6GALNAC3	-2.78833333333333
CA12	2.985
NCOA6	0.321
C19orf58	0.4923
PPP4R1	0.406333333333333
MAN1A2	0.943
IKBKAP	-1.54475
UPF1	-0.227666666666667
KIAA1219	0.2385
WNT16	0.238
SNW1	-0.358625
IL18RAP	1.54275
RPP30	-0.482625
CDC40	-0.120214285714286
SETD3	0.196333333333333
SLAMF6	-0.047
ELK4	-0.328
TRIM47	1.14016666666667
ACOX3	0.607
TRIM6	1.624125
KIAA0372	-0.581666666666667
TP53AP1	1.74225
SMURF2	-0.6985
ADAD1	0.36425
EBP	-1.7896
KRTAP13-2	-0.197
FLJ36874	-0.437
TOR1A	-0.1935
P2RY4	0.5225
GPBP1	-0.269
TRPV1	0.426125
ADAMTS12	0.9785
PES1	-0.2834
ATG4A	0.5965
MAGEA10	-5.0045
WFS1	2.03875
CC2D1B	-0.0548333333333333
PABPN1	0.00375000000000002
SLC25A30	-0.06325
SLCO1C1	-0.394333333333333
SLC22A5	1.28
KIF23	-3.12633333333333
SYN2	-1.13516666666667
ASPN	8.887
CENTG2	0.80175
QSOX2	-2.101
FLJ10815	0.852166666666667
STK24	-0.1761875
SPEG	-0.4787
STK10	-0.082
DACT2	-3.009
AAAS	0.99475
SSX3	-1.376625
ABCD3	0.6311
C4orf12	0.345
PARVG	1.6005
FIG4	1.772
C9orf46	2.201
TMCO6	0.071
IGHMBP2	-1.19975
DUS2L	-0.825333333333333
FAM3C	-0.786375
TMEM16D	-3.0085
DCTN4	1.08225
KCNH3	-0.203
EIF2AK2	1.138
AP1S3	-0.04225
CST4	3.633
PAM	0.6484375
NUTF2	-0.59025
CITED2	0.3797
SLC39A4	0.5115
C2orf52	-1.474
GRM3	-0.31425
C12orf49	0.114875
CCDC49	-0.3944
GRAMD1B	-1.22775
FNDC4	0.48775
SIAH2	0.6425
GDPD4	0.15675
C21orf87	0.756
ATP5A1	-0.32
C16orf63	-0.223875
LOC388135	0.975333333333333
ATP5J2	0.014125
MMP3	-1.62625
EMID2	-0.1675
CRHR1	0.7825
WDR70	-0.42625
C13orf31	1.811
ZFAND1	-0.5955
CCL18	1.4145
C3orf49	1.049
RINT1	-1.3145
KIAA0408	-2.11816666666667
F13A1	5.4025
SLC10A1	-0.366
OGN	0.869
GIPC2	-2.92733333333333
XPO6	-0.124333333333333
LCE1A	1.1045
FMR1	-0.5151
LOC374920	-0.31875
DUSP3	0.44825
ANKMY1	0.83725
C7orf50	0.10975
BBS9	-0.4416
UNC119B	0.140125
C9orf72	-0.5505
MGC35440	-0.37175
ENTPD6	0.23675
PPP1R2P9	0.5125
ERCC4	0.881
FAHD2B	-0.3155
HMHA1	-0.702
HACL1	-0.67675
RAD23A	0.0635
FAM83B	-2.7225
PPP5C	0.836
RNASEH2C	-0.073625
C9orf153	-0.8865
SCAMP4	1.433125
GHITM	-0.1802
NDUFB7	0.747375
ADCYAP1	1.0425
SP110	2.51716666666667
MAP3K7IP2	0.529
DHH	0.1895
AGRN	1.60892857142857
WDR33	0.3005
CEP290	-0.387
PRPS1L1	-1.70733333333333
KLRA1	-0.492
GPR97	0.108
CHD7	0.274416666666667
TLR10	1.985
SLC30A8	-0.8445
HIC1	2.25566666666667
IAPP	-0.0735
RXFP4	0.1735
GP1BB	0.7405
SHQ1	0.4895
NKX2-3	0.0605
API5	-0.072
FTHP1	0.707
MOV10L1	0.145833333333333
TRIM6-TRIM34	2.35016666666667
ADHFE1	1.72725
FAM117A	-1.0405
DDI1	0.168833333333333
CDON	1.0995
TRIM73	-0.604
IGKC	4.3975
MMP14	0.327083333333333
DYNC1LI1	-0.044
C11orf66	1.83925
TRBV3-1	-2.43225
FASTKD5	-0.601
BIVM	-1.03125
LHX4	0.10775
CXCL2	-3.1901
RAB2B	0.162333333333333
IZUMO1	-0.97575
MAP3K15	-2.588
FAM19A2	-0.00466666666666667
ZC3H8	-1.214
ZMAT1	2.2725
SPINK5L3	-3.1175
SLC10A6	0.7565
APPL2	0.608125
CARD10	-0.883333333333333
LOC402176	-1.0165
EEF1D	0.9847
RAB6A	0.4371
C12orf5	-0.271625
PAPOLG	0.367
MSRB2	1.243
BCR	0.4365
PUS3	-0.3925
TIAM2	0.29975
ZNF317	0.0185
CHD2	-0.269230769230769
FZD5	-2.63322727272727
NUDT8	-0.88375
ZNF763	0.9025
PRC1	-3.15433333333333
ABCB9	1.44233333333333
SPATA3	0.24775
TRAK2	0.1795
STAB1	2.877625
LRRTM2	0.251
psiTPTE22	0.83725
DBI	-0.19775
SERPINA11	-0.139
NAT5	-0.41
C20orf58	-2.368
RPS6KA4	0.5895
FLJ90650	-0.89925
TGFBRAP1	0.5665
CHRDL2	0.70425
FAHD2A	-0.346166666666667
CNTN1	0.9665
BBS4	0.1785
TMEM181	0.81775
MINPP1	-0.08125
MPHOSPH6	-1.26541666666667
HOXC10	2.8461
ITPKB	0.06175
CLPTM1L	-0.2165
MEOX2	-1.29116666666667
ATP6V0C	1.88875
PRPF8	0.328166666666667
TMC5	3.64825
FKBP3	-0.70975
PLEKHB2	0.271625
OR4D6	0.684
ZNF544	0.0176
D2HGDH	-0.134125
RPL18A	-0.1073
HEL308	-0.281875
MPP6	-3.794
TCERG1	-1.7895
KRT16	-0.272
KLF17	-0.4935
KLF5	-1.450625
CDR1	3.101875
VCX3A	-3.943
FBLN2	2.27425
C14orf104	-0.148
HBE1	-5.0713
OR4S2	0.894
C1orf108	-0.781666666666667
ROBO4	3.1205
CPEB4	0.153875
C11orf80	0.645666666666667
BCKDHA	0.7335
MYOC	-0.30725
GIF	0.287
CKMT1A	-0.3235
RPL3	0.6435
THBS1	2.618125
APOO	-0.896
ARMCX1	1.97525
HSZFP36	1.60575
SNAPC5	-0.25625
EIF4ENIF1	0.34025
ZNF433	1.1665
TNFRSF21	-1.243375
TMPRSS7	-0.286
SPATA18	1.2444
HPDL	-3.4545
MKL2	2.0471
TBX3	0.420538461538462
C21orf93	0.500333333333333
DAXX	0.837
ELMO1	0.34225
RGS13	2.66416666666667
TAF11	-0.886
UNC13A	-2.441875
LOC653314	-0.0161
ORC3L	0.26075
IMAA	-3.183
TARBP2	0.03925
CABIN1	0.1477
TRIOBP	0.126125
HIST1H2AC	1.2245
RGS22	2.4215
NCOA1	1.4375
IL25	0.606
SNCG	2.948
GPR6	0.5235
AMDHD1	0.776166666666667
CHEK2	-1.616625
C6orf142	-0.95025
DRD4	0.82025
C14orf68	-1.56
GDF11	-0.779
SEMG2	0.24
CD247	-2.4825
CDAN1	0.10875
RBMX2	-0.932
TGS1	-0.673
OIT3	0.2825
SYF2	-0.5965
MCM4	-1.641125
PKHD1L1	-0.613833333333333
CEP192	-1.05016666666667
IFT88	1.15125
RPL9	-0.319357142857143
RAB32	-0.132625
DDX43	-3.513
P2RX2	0.279166666666667
OR5D18	1.875
UBE1	1.95491666666667
SLC24A1	0.9245
ARHGAP5	-0.238
CETP	-0.29
KIAA1731	-0.645333333333333
SLC9A4	0.213
PTPN6	2.22325
BAHD1	-0.08525
GRIK3	0.317
CACNB2	-0.7408
PDE10A	0.13575
DGCR14	0.587
PCDHB9	-1.179
RHOQ	0.179
MAP3K4	-0.0155
KTI12	-0.287666666666667
RPL23AP13	-1.54425
GNG11	-1.23725
CLCN3	0.566166666666667
GPAM	-1.19975
VSTM2A	0.645
SLAMF7	1.39833333333333
INTS2	-1.7685
PPP2CA	-0.4803
LRP12	-1.0144
SEC14L2	2.71044444444444
DKFZP586H2123	1.844
MC3R	0.063
