Hybridization REF	TCGA-AN-A0FX-01A-11R-A034-07
CD5	-0.878
TSPAN9	1.0035
WDR67	0.20675
THUMPD1	-0.1748
C18orf17	-1.27775
CLYBL	2.24783333333333
FLJ13231	0.491
CMBL	-1.459
LECT2	-0.132
NKAPL	1.86283333333333
LOC654780	1.1555
OR4C6	-0.208
RAB30	-1.13216666666667
TSSK4	-0.4435
TMEM163	0.1845
OSBPL11	2.07358333333333
GNB5	-1.07333333333333
CCL21	1.33625
C1orf121	1.21916666666667
FMO2	4.3515
RPTN	-0.1815
MSTN	1.43
VCL	0.736142857142857
FYTTD1	1.11175
C11orf1	-1.222
CCDC88C	-0.50225
HFE	-0.913166666666667
MOGAT1	-0.438
FAM125B	0.868666666666667
IRGQ	0.237
RAVER2	0.99475
AKAP5	-1.737
SSSCA1	-0.71075
C11orf63	-0.585375
ACTG2	3.2599
PORCN	-0.648
DTL	-0.399
TMEM151	1.252
FAM122C	-0.05825
RSAD2	3.0895
BAT4	-0.4395
KRTDAP	2.1505
MYH8	0.6345
CRTC3	-0.207
LRRFIP2	0.8392
INTS4	-0.175
TTN	-1.70483333333333
SLC26A5	0.2795
PLLP	-1.75425
RGS6	1.388875
SRGAP3	0.8845
ZNF525	-0.1435
NBR2	-1.36616666666667
C13orf1	0.2114
ZNF137	-0.026
CEP27	-1.88525
BEST2	0.3765
RNF121	-0.39825
DMRTC2	0.00624999999999999
C8orf76	1.07975
BCCIP	-0.09
MEST	-1.43075
HTRA2	-0.324
ANGPTL2	1.21975
ILKAP	0.436166666666667
ERAS	0.094
HBS1L	-0.498875
CPA5	-0.127
TMEM30A	0.323333333333333
CD300LF	1.562
WISP3	5.991
CRK	-0.3995
PDS5A	-0.2839
BRPF3	0.344
NEDD9	0.45775
SMPDL3B	1.07825
PSG6	-0.775
PSMD13	-0.44775
ETV5	0.7941875
OR51A4	-0.0675
BTBD7	0.537916666666667
GSTO1	-0.75425
hCG_16001	0.3815
MAD2L1BP	-0.0386666666666667
COX6A2	0.134
SCNN1A	0.270166666666667
LSM1	0.912166666666666
UGT2B11	-3.471
IDUA	-0.324
PPP2R3C	-0.7155
COX11	-0.994
PDZK1	-1.73775
ZNF443	0.358333333333333
MGC21874	-0.182333333333333
ZNF323	0.2854
KRTAP10-10	0.301
CXCL6	0.308
SLC34A2	1.7209
LOC284402	0.597
NPTN	0.71
UPP1	-1.2535
SLC6A9	-0.531
OR7G3	0.09975
CISD1	-0.380666666666667
ZNF545	1.37283333333333
SYT14	-0.7915
NT5C3L	-0.0266666666666667
ZNHIT3	-0.285833333333333
SNRPD3	0.233
KIAA0701	0.305
UNC93B1	-0.815333333333333
GMNN	-0.591125
SPCS2	0.578666666666667
LOC388524	1.011
NAPRT1	0.941125
PNLIPRP1	-0.24275
OR6V1	0.718
PRKAB1	-1.617
EYA4	-3.55833333333333
KIF20A	-0.775
ALG10	-0.58125
ITPKC	1.413
LMX1B	0.3505
RPUSD4	-0.429833333333333
C7orf34	0.0743333333333333
DLGAP2	0.149
PFN1	-0.6309
MICALL2	-1.274
ZNF654	-0.539
SS18L1	-0.78275
SLC16A8	0.834
MKI67IP	-0.0716666666666667
ITGB3	-0.7925
TCEA3	2.40191666666667
CEP152	-2.25375
CLIP1	0.109375
ZNF75	0.3639375
ATP5C1	-0.557333333333333
NUDT5	-0.4455
PSCDBP	-0.1365
UBP1	0.41025
RBM27	1.15775
C13orf15	2.924125
ZNF282	-0.257
ZNF222	1.5782
COL10A1	5.7995
PRDM15	-0.43825
TTTY5	-0.5255
FAM9C	-0.42375
C20orf67	-0.48925
GNG13	-0.2895
F12	-0.106
C1orf41	-0.736
CPXCR1	-0.563
GSK3A	0.935625
SUPT6H	-0.852666666666667
PI16	1.06866666666667
ELL2	-0.552166666666667
C9orf167	-1.88766666666667
PVRL3	-2.4976
FLJ38596	0.519
ADAM20	0.072
GPR89A	1.014
GPR87	0.8005
ZNF30	1.61675
SMR3B	0.4155
ZNF770	-0.199125
TRPC4AP	-1.157
DKFZP686E2158	-0.127166666666667
C2orf28	-0.606666666666667
FREM1	0.6555
LAMA4	0.555166666666667
ADPRHL2	-0.25525
EIF4G2	0.106833333333333
GUCA1A	-1.027
CTNNA2	1.166125
NUDT15	-0.706
CEPT1	0.849333333333333
ZNFX1	-0.36
CCDC92	1.00275
TDRD1	-0.698
KCNK5	2.26666666666667
ETNK1	0.831583333333333
LTA	0.518
TTPA	0.269833333333333
B3GALNT2	0.3485
SC65	-1.275
PEX5L	-1.512875
EPS15L1	-1.05575
MGEA5	-0.072875
HIST1H3A	1.213
ING1	1.24875
BCAT1	-2.382375
ORC6L	-2.642
KLK11	2.322
C19orf28	-1.084875
DNER	0.50125
MED22	-0.00135714285714289
ETV6	2.40475
CHAC2	-1.121
CD300E	0.103
CEBPB	1.13866666666667
ZNF398	0.4375
LRCH3	0.113
HMGA1	-1.79433333333333
CAPN7	0.831666666666667
MGC5566	-3.5305
CCL3	2.624375
NANOS1	0.515125
ZFYVE19	-0.0955
APITD1	-0.544
PARD3	0.650625
IRAK4	-0.925833333333333
SERPINI2	0.2355
CEP170L	0.569
TTC9	1.187625
MYOM3	-1.578
MLPH	-2.64375
LOC222699	-1.455
NRG1	-1.51133333333333
TBC1D9	0.265636363636364
TTK	-1.2835
ZNF557	1.0826
DDX41	-0.413333333333333
FANK1	1.0515
UBE2D2	0.346
PSMB10	0.141125
MYH7B	-0.477
GABARAPL2	0.454375
MARVELD2	1.08933333333333
DGCR2	1.40433333333333
UNC45A	-0.383
C6orf72	0.122
ZNF683	3.4385
GIT2	0.189625
CASK	1.1375
C14orf161	2.9435
LRRC44	-0.4055
TIFA	1.4185
UTP11L	-0.036125
C6orf65	-0.111
FDPS	0.01125
DUSP9	-1.6096
SLC17A8	-0.488333333333333
OR51G1	0.227333333333333
NANS	-0.879
OLFML1	1.6905
ATP10B	0.854
NPAS3	1.188
PRKCA	-0.8361
GGA2	-0.179625
LCE4A	0.8335
SPANXN3	0.84225
CCDC115	0.609875
SDCCAG3	-0.69
GLIPR1L1	0.19775
TTC1	0.21975
C17orf76	0.285
MAD2L2	-0.83825
HIPK1	0.2257
LRRC3B	0.591333333333333
CLN3	-1.27527272727273
C17orf47	0.1085
FMN2	-1.15225
TUBB1	-0.65825
WAPAL	0.4285
C3orf21	-0.556
SCN5A	-0.5357
SMYD1	1.045
BEX5	-0.8795
ZNF192	-0.1925
SEC22A	1.10366666666667
GRIA2	0.581214285714286
KIAA0825	-2.3455
NUSAP1	-1.05127272727273
LANCL1	0.305875
C15orf40	-0.9517
ZNF645	0.23975
GPR61	0.1265
NLRP14	-0.0825
SNX21	-0.2933
C1QTNF8	0.0125
C17orf46	0.367
IFNA8	1.0005
SPRR1B	-0.654333333333333
FLRT1	-0.76
SNX17	-1.06266666666667
ASB2	-0.637166666666667
HBG1	-5.603
RPRML	0.33475
JOSD2	-0.160833333333333
PLSCR3	0.90275
SPOCD1	0.847166666666667
RAB39	-0.132
GHRH	-0.129833333333333
ITIH5L	1.04225
C17orf37	-0.33125
SMCR8	0.148
DPY19L2P3	0.248666666666667
IL11RA	0.617833333333333
GDF3	-3.73766666666667
RPS6KB1	-0.975416666666666
DNAJC19	0.2238
TOP1	-0.3435
CRCT1	1.071
MPST	0.503875
DPM2	0.137625
FAM38B	-1.75466666666667
SLC18A1	-2.40616666666667
FARP1	2.63183333333333
PAX7	0.515
TUBD1	-1.182
GNL3	-0.444875
BTG2	-0.1496
NDUFS6	0.397
C1orf79	-0.9225
ERAL1	-1.3595
ECHS1	0.45875
VPS4A	0.084
CYP11A1	0.50725
ABCC6	-1.39807142857143
PBX4	-2.42
MOSC1	-0.356125
NCF4	-0.5425
HYMAI	0.399
NAGPA	-1.01175
OTOP2	0.17125
ACOT12	0.44875
MTHFD2L	-0.36475
LOC441376	6.1005
C19orf34	-0.1925
RAB1B	-0.8225
ALDOAP2	-1.8455
NTRK1	-1.6895
ARTS-1	0.1586
SLC6A11	0.324
NAP1L2	-1.1735
CNGB1	-0.00633333333333334
EPB41L4B	0.292416666666667
FAM134B	2.651375
HS3ST3A1	-1.35266666666667
CPXM2	4.97375
SIRPB2	-0.1175
CHORDC1	0.0956666666666667
TRIB3	-1.7195
SLC2A5	1.12575
C2orf49	-1.05
DDX5	-0.44675
OR5L1	0.3185
ANAPC4	-0.591166666666667
ZSWIM1	0.275625
LOC93622	-0.66375
KCNK3	-0.5498
RP11-35N6.1	-1.198625
ZFP161	0.460666666666667
AQP9	3.513
SLC15A2	-0.240166666666667
MREG	-0.4075
OR9I1	0.251
PDLIM2	0.731625
ADAM7	0.3475
GSTCD	-0.527333333333333
WDR21A	0.364375
SLC12A8	1.73466666666667
TMEM174	-0.292
IGSF3	0.654166666666667
LRRN1	1.48925
LOC402117	-0.35125
SRPK1	0.605
LY6K	2.052625
NFIA	0.126
PTCD3	-1.025375
LEP	3.09533333333333
PCDH21	0.1325
MAPKAPK2	0.196642857142857
NMNAT1	-1.133
LHFPL2	0.68275
C9orf43	-0.26875
DIP2A	-0.790833333333333
ACTR8	0.020375
CCDC34	-0.71275
PTPN22	-0.836875
ITGA3	-1.37375
FAM129C	0.34475
RABGGTA	-0.541666666666667
UNC45B	0.71725
KIAA1033	-0.6305
ZNF510	-0.463833333333333
CYP2D6	-0.483333333333333
SLC26A10	-1.243
STX8	0.022
LUZP1	0.29975
WDR89	-0.457
EIF4G3	-0.3146
C5AR1	0.31575
ZNF623	0.364
A2M	3.81075
TGM7	-0.0295
GRPEL1	-1.15566666666667
LMNB2	-0.6119
ROCK2	0.484166666666667
SNX16	0.5065
CCDC66	-0.5755
ANXA3	0.68925
KIAA1609	0.818875
EED	0.0165
RNF32	0.637333333333333
HES1	0.3437
CLC	-0.0213333333333333
ISL1	0.1375
KIAA0528	0.34875
MANEA	-0.178
C1orf61	-1.5805
hCG_2001000	0.56475
RAPGEF6	0.2295
KIAA0020	0.489333333333333
NEIL1	-0.8175
C16orf45	-1.1585
RBM10	-0.195833333333333
C10orf125	-0.011
MRS2L	-1.0865
DNAH17	0.064625
C19orf10	-0.85325
C1orf160	0.137
SLFN12	-0.17725
EXOC3	-0.218333333333333
HIST3H3	0.47625
NCOR2	0.571
TNFRSF9	-0.43675
MFSD8	-0.32325
ALX1	-3.5815
NOL1	-1.31775
PODN	2.2675
TIAL1	-0.8915
HIST1H1E	-0.49
NPY6R	0.28975
TM4SF4	1.05625
CORO2A	-0.611
ETNK2	-0.739
APOE	-0.3064
ANGPT4	-0.2165
HDGF2	-0.49925
G30	-0.579
ST8SIA4	-0.894875
F2RL1	-0.041875
FAM19A4	0.383
CCAR1	-0.806
B3GNT7	0.552
OPHN1	0.152
DSCR6	1.5625
C21orf13	0.928
GAS2L1	0.6115
RFX3	0.881666666666667
COPS4	-0.15525
BCHE	-2.53766666666667
BCL2	1.933375
HBZ	-3.33433333333333
ARL13B	0.255125
MAPBPIP	0.92875
MYO15B	-0.675625
SPZ1	0.03
KIAA1324	2.99055555555556
PLCL2	0.348
C4orf29	-1.45825
WDFY2	-0.76
ZNF284	0.4365
NAALADL1	-0.356
DUSP5	-1.23166666666667
PXDN	1.683625
SLMO1	0.8965
TNXB	0.1295
BIRC7	-1.37125
A4GALT	0.0015
TIMM22	-0.44875
FAM110C	0.03975
TOMM34	-0.29825
ABHD9	0.6565
ADAM32	2.6905
CRHBP	-0.13025
AQP2	0.33675
LOC130355	0.715
ZNF187	0.419
ZNF816A	0.3875
F7	-0.738
CNOT1	-0.928
SLC13A4	-1.255
ZBTB11	-0.182
B3GALT5	-0.4645
EXOC2	-0.927166666666667
IRS1	0.3857
TMEM1	0.292166666666667
MRPL34	0.042
SAMM50	-0.2635
CDC42EP3	1.875875
HSF2	-0.3326
MFN2	0.00025
TSPAN7	-0.387666666666667
NUCB1	0.65675
RHOH	-2.47325
ARL16	-0.206
TACR1	0.388
SFRS5	-0.763166666666667
SNX25	-0.4075
RHBDF1	-0.409166666666667
PCDH18	3.07933333333333
HMG1L1	-0.1985
MYO5C	0.89425
MAPK10	1.0765
LDHAL6A	0.0553333333333333
NUDT12	-0.628833333333333
NCAM1	-0.25925
GLIS2	0.147
GGTL4	-0.667
DAPP1	0.319
ATF7	0.38575
KIAA0748	-1.00025
NFIL3	-0.9255
TM6SF1	0.1978
SEZ6	-0.037125
NANOS3	0.884
DNAJA3	-0.819166666666667
CLDN6	-2.707
CIITA	2.0306
EPHA4	0.365166666666667
FANCC	0.3055
CMTM3	-0.00162500000000004
PSG3	-0.15575
MRPL15	0.6535
C21orf59	-0.63675
PLCXD2	-0.32475
C2orf34	0.312625
UBE2L6	0.4915
MED14	0.0153333333333333
HP1BP3	-0.2708
C6orf208	0.5035
TPBG	0.0675
OSR2	-1.316
XPC	-0.536333333333333
KLHL7	0.0648333333333333
CCR3	-0.918166666666667
AGTPBP1	2.05566666666667
PCSK6	-1.42946666666667
STAT5A	-1.0847
FAM18B	-0.4515
LONRF2	-0.6515
PTPN2	-0.402375
SF3A3	-0.961
EFCBP2	-0.51325
HCFC1	-0.731833333333333
AHNAK	-0.88295
ACTR5	-0.771
KIF14	-1.40971428571429
TENC1	0.2025
HEATR5B	1.173
YIPF2	1.11766666666667
MYEOV2	0.8538
DUSP18	1.23625
KIAA1012	0.05875
AHR	-0.268333333333333
C17orf53	-1.29133333333333
PTPRH	-3.543
ATP6V1C1	1.1515
TAS2R3	-0.1745
LOC440356	-2.138
COQ10B	-0.0975
PSMF1	0.476083333333333
SORBS2	3.771
NFE2L2	-0.7405
TMCO7	-0.24475
SH3PXD2A	0.3809
SH2D2A	0.155
SPINK5	-2.453
MRPS24	-0.43475
OPA3	0.288875
TRAF7	-0.565
C4orf35	0.27
MT1G	-0.944875
MGC39545	0.247
HS1BP3	0.0445
OR2B2	0.5275
CHRM4	-0.2295
SFRP2	2.56016666666667
RIC3	0.7315
ART1	-0.1535
C6orf1	0.128
DUS4L	-0.73
C10orf104	0.61475
TNFAIP6	2.659
RTEL1	-1.058
CCT4	-0.0339
ZNF709	0.2875
CHMP6	-0.361333333333333
UPP2	1.026
CYP19A1	-1.841625
CD151	-0.506166666666667
NDUFA13	0.169666666666667
ARFRP1	-0.713333333333333
FAM26B	1.971
CRYBA1	-1.4315
MRPL41	-0.899333333333333
NPFFR2	-1.88425
HRH2	0.479
SCAMP3	-0.0005
MTMR6	1.726
MTG1	-1.58033333333333
UBTD1	0.73475
CRABP1	2.1575
FLJ33790	0.1156
KIAA1908	-0.9945
GPR158	-2.979
PACSIN3	-0.356166666666667
OMD	1.41983333333333
CATSPER1	-0.729333333333333
HOXB8	0.803125
FBXO46	1.112
OAS1	-0.470833333333333
SVIL	0.9295
PHB2	-1.29275
ADCY3	0.39
NDRG2	2.5255
ERMAP	-0.0381
APBA2	0.758
IGSF9	2.31025
WNT6	2.14307142857143
MYCBPAP	2.63275
ATP2B2	0.1891
CPVL	-0.6706
TRAM2	-0.10025
NOP5/NOP58	-0.06225
ZNRF4	0.03125
TLK1	0.010125
MTMR12	1.37878571428571
ZNF384	-0.361
FAM9B	-3.01925
RPN1	1.2441
PMVK	0.333
EIF3D	0.6993
SIX2	-1.0015
HPS1	0.341857142857143
RNF7	1.0315
PSKH2	0.1605
KCTD13	-1.10216666666667
CSMD3	-0.3844
FBF1	-0.403
IL8	-3.664375
SERPINB13	3.04508333333333
FBXL20	-0.44225
BLR1	0.4015
SH2B1	-0.96
RFNG	-0.7045
RAB20	0.225
RBM7	-0.47
POLR1A	-0.896
TMPRSS4	-2.83275
TAF9	-1.0225
TERF2	0.5875
TNFRSF1A	0.35725
ACADVL	-1.32816666666667
GTF2H5	0.03525
EDG8	2.171
C9orf140	-1.489875
UST6	0.1665
ZBTB8OS	-0.33575
ZNF710	0.123
GPR174	-1.4575
ATP6V0A2	-0.4835
KIAA0319L	-1.11991666666667
XKRX	0.711
DOPEY2	-0.1121
SDHD	-0.94325
SUMF1	0.42125
OSM	1.22925
OPN3	-0.5225
DAGLB	-1.42016666666667
PPFIBP1	1.4305
TRIM63	-3.3435
C10orf53	0.42
LYPD3	-0.0851666666666667
BCL7A	-0.152375
AGER	-1.36
TCF19	0.235
SAT2	0.723
PFTK1	0.413833333333333
GABRE	-1.7245
C15orf38	0.185
FIS1	-0.663
KCNV2	-0.075
CLPS	1.04125
PPCDC	-1.24675
FOXN2	0.651833333333333
NT5E	-2.7369
CD83	1.77325
IL18	-1.09525
VPS16	-0.43525
IGFBP2	-2.39116666666667
NOTCH2	0.492
SIGLEC1	1.907125
CD93	5.019
SULF2	-0.293
CEP164	-0.646375
P53AIP1	0.347833333333333
TOR2A	-0.3085
ZNF136	0.1165
MGP	3.5912
CCDC144A	0.984666666666667
TRPC1	0.6235
SMS	-0.009
MAPK7	0.346
RRAGC	1.1815
PARD6A	0.575
NUB1	-0.163
SYNGR4	0.0825
OR11H12	0.722
WIF1	4.248
GCH1	0.121
OR11H4	0.446
SLC44A5	0.4
GPRIN2	3.2725
LOC401431	0.69575
CPA4	-2.8043
MELK	-0.960555555555555
IL15RA	-0.074
CUL3	1.144125
HMBOX1	-1.946
PODXL	-1.175
CCT6B	0.924666666666667
COMTD1	-0.45725
MUC20	0.679
GPX2	-3.339875
ITK	-1.667
FBXL5	0.40375
C13orf27	0.441
DEFA5	0.2685
TRHDE	0.71
MTP18	-0.577333333333333
UQCRQ	0.2021
ITGB2	0.709833333333333
CSRP2BP	0.18325
TAS2R44	0.6605
PHPT1	0.141625
FAM44C	0.13625
ERH	-0.3565
MPHOSPH1	-2.34516666666667
MORC1	-0.4815
PARVB	-0.33575
LAMA1	-1.39641666666667
PGBD3	0.635
GIMAP6	3.70875
AREG	-2.62883333333333
LIPT1	-0.371
MGC99813	0.5125
C1orf201	0.344
GRIN2A	-1.2434
MAN2C1	-1.909125
NSUN5	-1.23875
SF3B5	-0.006
MYC	-0.3541875
NRXN1	0.0273333333333333
ZNF18	0.23775
SPDYA	1.601125
SLC37A1	0.466
DECR2	-0.67975
ANKRD38	3.18075
SPTLC3	-1.04433333333333
SUPT16H	-1.06375
DTWD2	-0.807
ULBP1	0.1305
ZADH1	-1.57266666666667
OIP5	-1.885
IL10RB	-0.5705
OTUB2	-0.254375
VWA3A	0.0601666666666667
SPIC	-0.368
OR6C4	0.116
PSCD4	0.6295
DPY19L2P2	-1.0595
TRAPPC6A	0.625166666666667
C21orf2	-0.9755
CEMP1	0.05675
LIN7B	0.406
E2F7	-0.9505
VCP	-0.51625
LAMA3	1.28633333333333
BGN	2.69625
GPR160	-0.198666666666667
COCH	-1.47616666666667
GPR81	1.84933333333333
APOBEC3F	-2.81225
tcag7.1017	-0.55825
C1orf32	0.3305
SCGB1D2	5.2085
FLJ43987	-1.2915
C6orf170	-0.4455
KLK9	0.7135
GPD1L	-0.172375
VPS37B	0.07025
ATG3	0.284333333333333
ADAMTS17	-0.0465
KLHDC2	-0.9205
NDUFV2	-0.81075
BLK	-3.0015
MATN4	1.7155
GPM6A	-0.3645
GBP4	2.0315
TMEM162	0.582166666666667
PKP2	-0.119
HRASLS	2.67444444444444
MMP1	-0.92225
SFXN3	-0.1923
FSD1	-0.487833333333333
ST6GALNAC3	-1.386
CA12	-1.0077
NCOA6	0.443
C19orf58	0.0814
PPP4R1	-0.0426666666666667
MAN1A2	0.445833333333333
IKBKAP	-1.4155
UPF1	0.724666666666667
KIAA1219	0.28375
WNT16	0.137666666666667
SNW1	-0.23
IL18RAP	2.8535
RPP30	-0.345125
CDC40	-0.342071428571429
SETD3	-0.304833333333333
SLAMF6	-0.04525
ELK4	-0.119
TRIM47	0.729833333333333
ACOX3	0.986125
TRIM6	-0.553875
KIAA0372	-0.579
TP53AP1	-1.485875
SMURF2	-0.37425
ADAD1	0.1905
EBP	-0.2771
KRTAP13-2	0.1165
FLJ36874	-0.989833333333333
TOR1A	-0.326166666666667
P2RY4	0.3285
GPBP1	0.07175
TRPV1	-0.398375
ADAMTS12	0.449333333333333
PES1	-0.5431
ATG4A	0.140666666666667
MAGEA10	-4.22975
WFS1	-0.4185
CC2D1B	-0.500833333333333
PABPN1	-0.5575
SLC25A30	0.28675
SLCO1C1	0.252833333333333
SLC22A5	1.87975
KIF23	-1.689
SYN2	1.81416666666667
ASPN	7.44566666666667
CENTG2	0.16825
QSOX2	-1.1271
FLJ10815	-0.618333333333333
STK24	1.392125
SPEG	1.2223
STK10	0.255833333333333
DACT2	-0.0625
AAAS	-1.4455
SSX3	-1.744
ABCD3	0.4871
C4orf12	-0.914375
PARVG	-0.382333333333333
FIG4	-0.2815
C9orf46	1.19625
TMCO6	-0.788
IGHMBP2	-1.152
DUS2L	-1.00533333333333
FAM3C	0.4845
TMEM16D	-1.3345
DCTN4	0.57375
KCNH3	0.134
EIF2AK2	0.678
AP1S3	0.0235
CST4	0.5255
PAM	1.5330625
NUTF2	0.199
CITED2	0.07
SLC39A4	0.5215
C2orf52	-0.3965
GRM3	-0.37325
C12orf49	0.581125
CCDC49	-0.6155
GRAMD1B	-1.6965
FNDC4	1.78925
SIAH2	-0.00975
GDPD4	-0.2045
C21orf87	0.42225
ATP5A1	-0.315666666666667
C16orf63	-0.771625
LOC388135	-0.361833333333333
ATP5J2	-0.69775
MMP3	0.0785
EMID2	-0.158
CRHR1	0.97625
WDR70	0.94825
C13orf31	0.893
ZFAND1	0.4815
CCL18	4.6495
C3orf49	0.013
RINT1	0.0755
KIAA0408	-0.154666666666667
F13A1	4.7765
SLC10A1	0.104333333333333
OGN	1.305
GIPC2	-1.39333333333333
XPO6	-1.21766666666667
LCE1A	0.881
FMR1	0.6641
LOC374920	0.844
DUSP3	-0.325625
ANKMY1	-0.829
C7orf50	-0.5045
BBS9	0.3579
UNC119B	0.373625
C9orf72	0.266
MGC35440	0.44775
ENTPD6	-0.40325
PPP1R2P9	0.057
ERCC4	-0.31125
FAHD2B	0.5015
HMHA1	-0.8035
HACL1	-0.1325
RAD23A	-0.7245
FAM83B	0.63475
PPP5C	-1.42633333333333
RNASEH2C	-0.144375
C9orf153	-0.25025
SCAMP4	-0.151875
GHITM	0.303
NDUFB7	0.240875
ADCYAP1	5.128
SP110	0.794666666666667
MAP3K7IP2	1.21825
DHH	0.183
AGRN	0.248928571428571
WDR33	-0.248666666666667
CEP290	-0.497666666666667
PRPS1L1	-1.98866666666667
KLRA1	0.977
GPR97	-0.179
CHD7	-1.46233333333333
TLR10	0.42725
SLC30A8	3.8495
HIC1	1.13516666666667
IAPP	0.025
RXFP4	0.44225
GP1BB	-0.097
SHQ1	-0.076
NKX2-3	0.288166666666667
API5	-0.29675
FTHP1	0.2285
MOV10L1	0.441166666666667
TRIM6-TRIM34	0.709666666666667
ADHFE1	0.37075
FAM117A	-0.67575
DDI1	-0.0905
CDON	0.600666666666667
TRIM73	-1.365
IGKC	4.03
MMP14	0.2095
DYNC1LI1	-0.23875
C11orf66	-0.07625
TRBV3-1	-1.31
FASTKD5	0.212
BIVM	1.37425
LHX4	-0.90925
CXCL2	-0.8908
RAB2B	1.35483333333333
IZUMO1	-0.43275
MAP3K15	-1.33025
FAM19A2	1.34233333333333
ZC3H8	-0.106833333333333
ZMAT1	1.390625
SPINK5L3	-3.14475
SLC10A6	0.849
APPL2	-0.43125
CARD10	-0.5375
LOC402176	-0.444125
EEF1D	1.3134
RAB6A	0.3323
C12orf5	-2.101625
PAPOLG	-0.0095
MSRB2	-0.05575
BCR	0.564555555555556
PUS3	0.736
TIAM2	2.7775
ZNF317	-0.049
CHD2	-0.0108571428571428
FZD5	-1.88345454545455
NUDT8	-1.35675
ZNF763	0.0105
PRC1	-1.14755555555556
ABCB9	-0.495166666666667
SPATA3	0.294
TRAK2	0.278875
STAB1	2.608375
LRRTM2	0.230833333333333
psiTPTE22	-0.077
DBI	1.34425
SERPINA11	-2.4785
NAT5	-0.11375
C20orf58	-2.3675
RPS6KA4	-0.794833333333333
FLJ90650	-0.01125
TGFBRAP1	-0.3245
CHRDL2	1.290375
FAHD2A	0.3805
CNTN1	0.49325
BBS4	-1.3266
TMEM181	0.2115
MINPP1	-0.61525
MPHOSPH6	0.317416666666667
HOXC10	-0.6653
ITPKB	0.439375
CLPTM1L	0.07225
MEOX2	0.212
ATP6V0C	-0.6835
PRPF8	-1.16416666666667
TMC5	0.2805
FKBP3	-1.03975
PLEKHB2	-1.073375
OR4D6	-0.202
ZNF544	-0.3904
D2HGDH	-0.395125
RPL18A	0.4598
HEL308	-0.659875
MPP6	-1.12675
TCERG1	-0.6595
KRT16	4.49216666666667
KLF17	-1.06275
KLF5	2.6285
CDR1	3.32925
VCX3A	-4.736
FBLN2	2.677
C14orf104	-0.796
HBE1	-4.8842
OR4S2	0.0605
C1orf108	-1.12183333333333
ROBO4	3.40233333333333
CPEB4	1.041625
C11orf80	-0.916333333333333
BCKDHA	1.26383333333333
MYOC	0.8035
GIF	0.018
CKMT1A	1.8385
RPL3	0.392
THBS1	2.535625
APOO	0.16225
ARMCX1	2.00925
HSZFP36	0.611
SNAPC5	-0.6615
EIF4ENIF1	1.80125
ZNF433	0.63275
TNFRSF21	0.456375
TMPRSS7	0.0285
SPATA18	0.7668
HPDL	-0.6035
MKL2	1.0871
TBX3	0.680153846153846
C21orf93	0.1245
DAXX	-0.401
ELMO1	0.392125
RGS13	1.109
TAF11	-0.27825
UNC13A	-2.344
LOC653314	-0.6023
ORC3L	-1.03525
IMAA	-3.02
TARBP2	-1.48975
CABIN1	0.3123
TRIOBP	-0.0988125
HIST1H2AC	1.81375
RGS22	-2.91416666666667
NCOA1	1.432
IL25	0.8685
SNCG	-0.202
GPR6	0.4575
AMDHD1	-0.446333333333333
CHEK2	-0.36575
C6orf142	2.188
DRD4	-0.0915
C14orf68	-1.104
GDF11	-1.38925
SEMG2	0.04
CD247	-1.25925
CDAN1	-1.936
RBMX2	0.561333333333333
TGS1	-0.24575
OIT3	1.021
SYF2	0.67875
MCM4	-1.399125
PKHD1L1	0.251
CEP192	-0.335833333333333
IFT88	0.0285
RPL9	0.296785714285714
RAB32	0.106
DDX43	-2.52175
P2RX2	0.414333333333333
OR5D18	-0.409
UBE1	-0.590083333333333
SLC24A1	-0.0715
ARHGAP5	-0.123
CETP	-0.538
KIAA1731	-0.431166666666667
SLC9A4	0.3565
PTPN6	-0.675
BAHD1	0.18025
GRIK3	0.0335
CACNB2	-0.5171
PDE10A	-0.82475
DGCR14	0.124
PCDHB9	1.203
RHOQ	0.776833333333333
MAP3K4	0.02775
KTI12	-0.0635
RPL23AP13	0.21275
GNG11	-0.87875
CLCN3	0.735
GPAM	-0.588375
VSTM2A	-0.546
SLAMF7	1.71233333333333
INTS2	-0.9895
PPP2CA	0.6695
LRP12	1.52586666666667
SEC14L2	1.29366666666667
DKFZP586H2123	2.90925
MC3R	0.03
CIRH1A	-0.998833333333333
HIST1H2AB	0.102333333333333
POLH	-0.51675
MGC16703	-2.33833333333333
SNAPC2	0.2035
FILIP1L	0.5395
RASGRP4	0.0135
LRRC1	2.924
GAS1	2.8185
PRAC	-0.53125
DGKA	-0.9715
NT5C3	-0.4035
PEG3	-3.66466666666667
NADK	-1.37775
PRR17	-0.6055
LOC374569	0.20075
SGSH	-0.6525
NLRP8	0.413
GALT	-0.2375
MCF2	-1.155
ZNF263	-0.42075
TACSTD1	1.10116666666667
TYR	-6.4154
ATP6AP2	0.444
RNUXA	-0.7555
ABHD10	0.1141
GDPD2	3.41075
SLC35C1	-0.4465
UBE2A	-0.12175
HERC5	-0.7535
FAM112B	-4.54816666666667
FBXL16	-1.631
DKFZP434A0131	-0.848
ELA3A	-2.57
RBM41	-1.229375
HAO2	-0.05875
RNH1	-0.311375
SHANK2	1.617
OSBP2	-0.96375
DAK	-1.6835
C3orf58	1.0855
TCL1B	-0.995
KBTBD2	0.1545
