Hybridization REF	TCGA-B6-A0IB-01A-11R-A034-07
CSMD1	0.9755
TBP	-0.412
OR1Q1	0.725166666666667
RETNLB	0.37
HPGD	-0.838285714285714
DNAJC12	1.70366666666667
FKBP1B	-2.9475
ANKRD24	-0.0368333333333333
CXXC5	0.606833333333333
IL3	0.468125
DRAM	-0.5735
PTCH1	-0.399625
TP53BP1	-0.19825
SLC17A7	0.217875
COL25A1	-0.7985
AMACR	-0.354333333333333
RHCG	-0.277
VPS13A	-0.208333333333333
FAM55D	0.1615
PRPF38B	-1.24341666666667
OSBPL6	-2.273
PFDN5	0.8175
CMTM6	0.77975
KCNK12	-1.9765
RP2	-0.2875
C16orf52	-1.17625
PICK1	0.1775
IFNE1	-1.02366666666667
SEMA4B	0.30825
TYRO3	-2.0025
OR12D2	0.9735
CSNK1A1	-0.1082
FANCF	1.95875
LONP2	1.352625
TBL1Y	0.792
LDOC1L	-0.225125
CCNC	-0.26475
C3orf60	0.56275
CHKA	0.29725
UBAP1	-0.506
MAP3K1	1.2605
ANKRD9	-0.64125
FAM92A1	0.075
GAB2	-0.51775
AZU1	-0.31125
DIS3	-1.94008333333333
C21orf109	-2.21233333333333
IQCB1	-0.71875
SPATS2	-0.391166666666667
EFCAB3	-0.52025
PRB3	0.286625
FUZ	0.275166666666667
ZNF813	0.368125
BMPER	-1.61383333333333
HEG1	-0.71225
ALS2CR11	-1.66425
SURF2	-0.4025
PSMC1	0.369
OR2D2	-0.61
SLC7A8	2.79266666666667
C4orf40	0.287
SPATA7	0.92725
MAZ	-0.630583333333333
PIN4	-0.2295
PDE1A	-2.032125
TAF6L	-0.0633333333333333
OR2T34	0.6665
KIAA0284	0.81175
ACADS	0.935363636363636
MKRN2	-1.632
C18orf56	0.214
MS4A6E	0.349666666666667
GALNT4	0.5675
C22orf31	0.227
FLJ36070	0.041
PSME4	-0.0115
TFG	-0.1293
EPHX2	2.013875
ANXA5	0.083625
KRTAP1-1	-0.4183
BATF	0.70475
KARS	-2.25225
MSTP9	-0.6145
GPR26	-0.046125
CCDC72	-0.3065
TEF	1.12383333333333
FOXK1	-0.991
PRLHR	-0.0815
EMX1	2.737
C11orf30	0.547
ICK	0.739125
THSD7B	0.126
C21orf100	-0.295
DUOX1	3.241
EFCAB4B	-1.346
UBE2G2	-1.3765
C3orf54	-0.5695
PARP1	0.27925
FAM60A	-2.89783333333333
C6orf146	0.86175
OR9K2	0.776
DDX55	-1.23266666666667
RPS15	0.363666666666667
ZNF618	0.8004375
DKFZp686D0972	-0.3905
SSPO	0.907
SHFM3P1	0.104333333333333
CPA6	-2.003
JAG2	0.33375
DEFA3	0.4945
PPBPL2	0.0205
CD34	3.8135
SLCO4A1	-3.985875
AFG3L1	-2.288
SHD	-0.3635
RP13-122B23.3	-0.853333333333333
PRKCSH	-1.15766666666667
DPH5	-0.4135
HLA-F	1.312625
TBC1D4	-1.113
RIG	-0.718
GLUD1	-0.378666666666667
HNRPCL1	-0.075375
HBXIP	-0.40575
RNF207	-0.912
APIP	0.256
PLA2G3	0.620666666666667
CCDC84	-1.753
MYLIP	-0.0807692307692308
PHIP	0.85725
AARS2	-0.546333333333333
DHX32	1.268
SCAPER	-0.047
MEN1	-0.046125
NIP7	-1.4555
FLJ25404	0.572
FASTKD3	-0.838
TMEM158	-2.73616666666667
RARA	1.746
BDH1	0.736
ANKRD16	1.883
CARM1	0.9665
SS18	0.5515
IKZF2	1.12466666666667
MYD88	-0.36725
PML	0.02145
TAF1A	-0.28225
CBFB	-0.7355
HIST1H3H	1.26716666666667
C7orf29	-1.6875
COMMD4	-0.379833333333333
DPP3	-0.789
DAB2	-0.799
LOC388882	0.00949999999999999
YPEL4	-1.236
AGBL3	0.58375
LRP6	1.1877
SERPINH1	-0.5195
TLE1	0.87075
CD244	0.132833333333333
ZDHHC15	0.92675
MGLL	-1.0811
PLDN	-0.632083333333333
LOC654346	0.938
FAP	1.04675
GPR37	-2.09583333333333
SCARA5	0.9415
EBF4	2.34536363636364
LSM6	-0.33925
MLLT1	-0.3985
SLC5A12	3.02275
A2BP1	-1.24466666666667
COPS5	-0.004
TPM4	-0.904785714285714
TNFSF4	-0.463333333333333
ACADSB	1.74944444444444
HERPUD1	-0.39775
BCL2L11	0.145333333333333
CEP78	-0.66925
CDCA3	-0.761
WBSCR19	0.5109
MYO1A	-2.517
PPEF1	1.97783333333333
LOC440348	-1.50275
CPEB2	0.66275
BPTF	-0.17875
RPL21	-0.851375
GSX2	0.0655
ADPRH	0.603666666666667
C17orf68	0.673166666666667
KCNS1	-1.09933333333333
MLLT6	-0.0858
PIWIL4	-1.7275
RNF26	-0.7685
RAP1B	0.351875
ADAMTS1	-3.1366
ZNF571	0.18375
P2RY6	-1.533
TRIM21	0.951666666666667
CADM3	0.033
NLRC5	-0.366666666666667
ADRA2B	0.585833333333333
LOC90835	-0.066
PCF11	0.13625
LOC400451	1.06675
GLTSCR1	0.6856
C17orf88	-0.436666666666667
CDH16	-1.80575
FGF7	1.307625
PCSK4	1.03316666666667
NPC1L1	-1.1475
TAT	0.052
TBCA	-0.64675
MGC33407	-0.20475
GPR115	-1.33225
CYGB	-0.3815
FNBP4	-1.2515
C12orf43	0.145
CBL	-0.3637
CLECL1	-1.16375
PPAPDC1A	1.0335
WDR25	0.1675
SGCA	0.6255
C22orf29	0.273833333333333
YIPF1	1.0275
GALK2	-0.847
RAB3B	-1.54475
LOC440087	0.35525
UCP1	-0.695
REEP5	1.02075
FADD	-0.1691
FOXA1	3.555
CACNA1A	0.184666666666667
ABI1	0.422166666666667
GRIN2D	0.716
SLC1A4	0.396166666666667
LOC401127	-0.71
HINT2	0.131
PLD4	-0.9165
ZNF286A	0.152
ENY2	0.02
IL1F6	0.1915
PXDNL	1.95525
C20orf79	-0.139
TNFSF13B	1.26183333333333
DENND3	-0.63825
JARID1D	-3.75825
HIST1H2AK	1.29825
LOC93349	0.1506
SSH1	-0.5537
ENSA	0.304
LOC219854	-0.192666666666667
CKAP2	-1.3127
DKFZP564J102	-1.2625
MGC87315	1.438
HNRPAB	-1.2015
AMH	-0.956
ZNF526	0.528
BRUNOL5	-0.0983
CACNG3	0.2445
TRPM1	-1.803
PPP2R1A	0.0460000000000001
COL2A1	-0.7285
DDN	-0.255666666666667
FLJ25770	0.684583333333333
HK2	-0.696
ELOVL6	-0.90075
MDK	0.41875
EPHX1	2.47975
RASSF2	-0.498
DKFZP434B0335	0.56175
DLX3	-0.484
PRTN3	-0.1385
AVPR1A	0.19625
C21orf125	-1.71033333333333
TNFAIP8	-0.855
GNB2L1	-1.233
CALCRL	2.34275
SCGB2A2	9.86083333333333
UBXD7	0.02175
ZNF674	-0.4085
TMEM35	0.180125
BRSK2	0.10575
HECTD3	-0.178833333333333
TMEM188	-0.686166666666667
LGALS9	1.02625
SCARB2	0.940833333333333
USP34	-0.124416666666667
C17orf28	1.40583333333333
ZDHHC23	-0.738
AQP12B	-0.5005
SLC16A3	-3.025375
APLP2	-0.219375
ITIH2	-5.72075
MICAL3	-0.184625
TNNI3K	-0.2245
HDAC2	0.19075
PRR7	-0.1188
THBS2	-1.24375
LOC751071	-0.665833333333333
CA2	0.577666666666667
RANBP17	0.22625
RLN3	0.0435
CRYZ	-0.243166666666667
GBAS	-0.0503333333333333
TAS1R1	-0.44725
MPZL3	0.2915
PCDH8	-1.27325
HSP90B1	-0.025
KCNK15	0.81
TNIP2	-0.644
GPR146	0.17225
NOL6	-0.749625
SPC25	-2.17066666666667
STEAP2	3.93842857142857
VAMP3	-0.949666666666667
TCIRG1	-0.051
ZP4	0.0708333333333333
PARL	-0.293375
TRIM39	0.588
KIAA1305	1.5585
CRNN	0.0298333333333333
GRN	0.01425
HSH2D	0.2405
SCAMP1	0.1230625
KIAA1913	-1.05
PTS	-1.04675
BANP	0.116642857142857
PRKACG	0.31475
ADCY6	0.132333333333333
C16orf46	0.64
CYP51A1	0.616375
DDC	-5.77966666666667
ANPEP	-2.17633333333333
PROM1	-4.0425
SIGLEC10	0.648
COPG	1.2275
FAM26E	0.495875
TRIP4	-0.0505
SNX3	0.0113333333333333
C1orf175	0.854166666666667
PPY2	0.25525
C14orf152	0.6915
FTSJ1	-1.10283333333333
DST	-1.43045
LOC554235	0.31575
GLRX5	0.056
C20orf12	1.8046
CAB39	-0.187333333333333
MSH2	-1.279
PIP4K2C	1.212875
CYLD	0.5595
WTAP	0.1545625
MGAT4A	1.88788888888889
TSC22D4	0.1118
CHRM2	-1.4095
PPYR1	0.381833333333333
CCNH	-0.506333333333333
RRM1	0.0325
ECAT8	-3.419
LOC400120	0.111
GABRA4	0.08725
C14orf4	0.792
C1orf59	-1.9575
CTDSPL	0.253666666666667
NHEDC2	-1.8625
PDE11A	-1.669875
KLHL29	-2.83725
CD5	-2.3784
TSPAN9	1.587875
WDR67	0.00175
THUMPD1	0.7905
C18orf17	1.31825
CLYBL	-0.895833333333333
FLJ13231	-0.014125
CMBL	0.967125
LECT2	-0.63525
NKAPL	2.0695
LOC654780	0.755
OR4C6	0.509
RAB30	2.14883333333333
TSSK4	0.663
TMEM163	0.0565
OSBPL11	-0.00774999999999999
GNB5	-0.702166666666667
CCL21	0.85725
C1orf121	0.384666666666667
FMO2	2.28566666666667
RPTN	0.8245
MSTN	-0.4
VCL	-0.714
FYTTD1	0.121
C11orf1	-0.706
CCDC88C	1.3306875
HFE	-0.339777777777778
MOGAT1	0.0745
FAM125B	0.470666666666667
IRGQ	-0.6575
RAVER2	0.66375
AKAP5	0.822
SSSCA1	-0.376
C11orf63	0.462125
ACTG2	0.0656
PORCN	-0.8045
DTL	-0.669272727272727
TMEM151	0.53975
FAM122C	-0.454
RSAD2	2.3932
BAT4	-0.0615
KRTDAP	-0.954
MYH8	-0.0595714285714286
CRTC3	0.38775
LRRFIP2	-0.1203
INTS4	-1.09816666666667
TTN	-1.195
SLC26A5	0.527
PLLP	-1.01175
RGS6	0.038125
SRGAP3	0.44125
ZNF525	0.4425
NBR2	-0.671166666666667
C13orf1	-1.0598
ZNF137	0.389
CEP27	-1.80325
BEST2	0.579
RNF121	0.06725
DMRTC2	1.40825
C8orf76	0.07375
BCCIP	0.444125
MEST	0.4525
HTRA2	-0.2005
ANGPTL2	0.00550000000000001
ILKAP	-0.291
ERAS	0.62
HBS1L	-0.06
CPA5	-0.1035
TMEM30A	0.5535
CD300LF	1.23033333333333
WISP3	-0.553
CRK	0.00657142857142858
PDS5A	-0.4624
BRPF3	0.655333333333333
NEDD9	-1.21975
SMPDL3B	0.9745
PSG6	-1.66875
PSMD13	0.16725
ETV5	-2.7431875
OR51A4	0.056
BTBD7	1.21358333333333
GSTO1	-2.207875
hCG_16001	0.0965
MAD2L1BP	-0.059
COX6A2	0.819
SCNN1A	1.87466666666667
LSM1	0.734333333333333
UGT2B11	-2.7185
IDUA	0.89625
PPP2R3C	-0.584166666666667
COX11	-1.1435
PDZK1	-4.57925
ZNF443	0.859333333333333
MGC21874	1.08766666666667
ZNF323	1.9833
KRTAP10-10	0.3985
CXCL6	-0.854
SLC34A2	0.5133
LOC284402	0.255
NPTN	0.43575
UPP1	-3.48525
SLC6A9	-1.2725
OR7G3	-0.37075
CISD1	0.0621666666666667
ZNF545	-1.587
SYT14	-0.8915
NT5C3L	-0.443333333333333
ZNHIT3	1.096
SNRPD3	0.108
KIAA0701	0.20075
UNC93B1	0.181333333333333
GMNN	-1.719625
SPCS2	0.625333333333333
LOC388524	-0.694
NAPRT1	0.73075
PNLIPRP1	0.451
OR6V1	0.7165
PRKAB1	-0.45725
EYA4	-2.32733333333333
KIF20A	-1.51575
ALG10	0.3395
ITPKC	0.905666666666667
LMX1B	1.45516666666667
RPUSD4	-1.22266666666667
C7orf34	-0.031
DLGAP2	0.06125
PFN1	-0.5621
MICALL2	0.14225
ZNF654	0.6555
SS18L1	-0.9445
SLC16A8	0.4485
MKI67IP	-0.3215
ITGB3	-1.2715
TCEA3	2.59125
CEP152	-2.00025
CLIP1	0.635625
ZNF75	0.7795
ATP5C1	-0.351
NUDT5	0.328666666666667
PSCDBP	-2.20825
UBP1	-0.29775
RBM27	0.28725
C13orf15	2.00325
ZNF282	-0.3265
ZNF222	-0.7397
COL10A1	6.51725
PRDM15	-0.885875
TTTY5	-0.0695
FAM9C	-0.335833333333333
C20orf67	-0.28275
GNG13	0.3685
F12	1.4195
C1orf41	-0.9755
CPXCR1	0.035
GSK3A	0.240125
SUPT6H	-0.5265
PI16	-0.0943333333333333
ELL2	-1.18541666666667
C9orf167	-2.82983333333333
PVRL3	-3.1224
FLJ38596	0.351
ADAM20	0.22675
GPR89A	0.1295
GPR87	-3.37
ZNF30	1.1325
SMR3B	1.08625
ZNF770	-0.41075
TRPC4AP	-0.562666666666667
DKFZP686E2158	0.216333333333333
C2orf28	0.456833333333333
FREM1	-1.73433333333333
LAMA4	-0.257666666666667
ADPRHL2	-0.8285
EIF4G2	0.178333333333333
GUCA1A	-0.386
CTNNA2	-1.388875
NUDT15	-2.07516666666667
CEPT1	-1.17866666666667
ZNFX1	0.0716
CCDC92	1.12425
TDRD1	-0.3895
KCNK5	-2.53016666666667
ETNK1	-0.29975
LTA	0.6165
TTPA	0.6254
B3GALNT2	1.03475
SC65	-0.799833333333333
PEX5L	-0.891375
EPS15L1	-0.361
MGEA5	0.19675
HIST1H3A	2.0665
ING1	2.115125
BCAT1	-4.36625
ORC6L	-2.92081818181818
KLK11	1.80716666666667
C19orf28	-1.73025
DNER	-5.746375
MED22	-1.02657142857143
ETV6	1.47608333333333
CHAC2	-1.971
CD300E	-0.143
CEBPB	0.425416666666667
ZNF398	0.0635
LRCH3	-0.1415
HMGA1	-1.61516666666667
CAPN7	-0.3185
MGC5566	-3.06275
CCL3	1.78485714285714
NANOS1	0.095
ZFYVE19	-0.424
APITD1	0.00716666666666666
PARD3	0.44725
IRAK4	-0.0178333333333333
SERPINI2	-0.633
CEP170L	-0.32675
TTC9	2.499125
MYOM3	-1.62875
MLPH	1.7275
LOC222699	0.4775
NRG1	-1.89375
TBC1D9	3.06454545454545
TTK	-1.40616666666667
ZNF557	0.4083
DDX41	-0.906
FANK1	3.4545
UBE2D2	-0.588125
PSMB10	-0.44025
MYH7B	0.6085
GABARAPL2	-0.139375
MARVELD2	2.40283333333333
DGCR2	1.011
UNC45A	-0.6115
C6orf72	0.549
ZNF683	2.7645
GIT2	-0.543375
CASK	1.482
C14orf161	2.93833333333333
LRRC44	0.38925
TIFA	-0.474125
UTP11L	-0.9125
C6orf65	-1.20566666666667
FDPS	-0.16525
DUSP9	-1.9902
SLC17A8	0.696666666666667
OR51G1	0.147166666666667
NANS	0.615
OLFML1	1.1935
ATP10B	-1.26725
NPAS3	-1.2555
PRKCA	-2.8969
GGA2	-0.343625
LCE4A	0.4945
SPANXN3	0.179
CCDC115	2.08375
SDCCAG3	-1.1355
GLIPR1L1	0.5415
TTC1	-0.9165
C17orf76	0.85175
MAD2L2	-1.16225
HIPK1	-0.0577
LRRC3B	-0.446833333333333
CLN3	-0.667818181818182
C17orf47	-0.2455
FMN2	-3.002
TUBB1	-1.278
WAPAL	-0.317333333333333
C3orf21	-0.4935
SCN5A	-0.2937
SMYD1	-0.37475
BEX5	1.701
ZNF192	-0.806
SEC22A	0.3675
GRIA2	4.00792857142857
KIAA0825	-0.84625
NUSAP1	-1.995
LANCL1	0.035125
C15orf40	-1.1988
ZNF645	0.123875
GPR61	0.22
NLRP14	-0.3045
SNX21	0.4055
C1QTNF8	-0.704
C17orf46	0.59725
IFNA8	0.1415
SPRR1B	-1.831
FLRT1	-0.26425
SNX17	-0.965833333333333
ASB2	-1.582
HBG1	-5.6995
RPRML	-1.728
JOSD2	0.092
PLSCR3	0.40625
SPOCD1	-0.323333333333333
RAB39	-0.625
GHRH	-0.191666666666667
ITIH5L	0.40375
C17orf37	1.06425
SMCR8	1.12825
DPY19L2P3	-0.274666666666667
IL11RA	-0.194333333333333
GDF3	-4.05333333333333
RPS6KB1	-1.40825
DNAJC19	0.2502
TOP1	-0.21875
CRCT1	-0.428125
MPST	0.489875
DPM2	0.382125
FAM38B	-0.455333333333333
SLC18A1	-2.3086
FARP1	1.5585
PAX7	1.60675
TUBD1	-1.23025
GNL3	-0.97625
BTG2	2.55466666666667
NDUFS6	-0.68025
C1orf79	-3.203
ERAL1	-0.50175
ECHS1	1.3045
VPS4A	-0.3785
CYP11A1	-1.07575
ABCC6	-1.00135714285714
PBX4	-1.3975
MOSC1	2.2845
NCF4	-2.41725
HYMAI	-0.0615
NAGPA	-0.455375
OTOP2	0.469
ACOT12	0.098
MTHFD2L	-1.41625
LOC441376	4.7085
C19orf34	0.289
RAB1B	-0.3165
ALDOAP2	-1.1195
NTRK1	-1.837
ARTS-1	-1.1419
SLC6A11	-0.7655
NAP1L2	1.2835
CNGB1	0.347333333333333
EPB41L4B	0.464727272727273
FAM134B	2.766
HS3ST3A1	-1.9905
CPXM2	4.07775
SIRPB2	-0.2095
CHORDC1	-1.292
TRIB3	-1.4535
SLC2A5	-0.3825
C2orf49	-0.083
DDX5	-0.85425
OR5L1	0.6375
ANAPC4	-0.999833333333333
ZSWIM1	0.964125
LOC93622	-0.675625
KCNK3	0.1691
RP11-35N6.1	-2.59
ZFP161	0.787833333333333
AQP9	0.89675
SLC15A2	-0.800833333333333
MREG	0.608
OR9I1	0.4265
PDLIM2	0.691625
ADAM7	0.095
GSTCD	-0.0555
WDR21A	0.373375
SLC12A8	1.6875
TMEM174	0.1325
IGSF3	0.9745
LRRN1	-2.2405
LOC402117	0.48975
SRPK1	-0.908
LY6K	-1.98375
NFIA	3.7395
PTCD3	-0.79725
LEP	2.7185
PCDH21	-0.712166666666667
MAPKAPK2	0.389285714285714
NMNAT1	-0.705166666666667
LHFPL2	-0.64625
C9orf43	-0.4975
DIP2A	-1.0185
ACTR8	-0.276875
CCDC34	0.31725
PTPN22	-2.415375
ITGA3	-1.31575
FAM129C	-0.1585
RABGGTA	0.0905
UNC45B	0.5985
KIAA1033	-0.489875
ZNF510	-0.0458333333333334
CYP2D6	-0.271166666666667
SLC26A10	-1.949
STX8	0.332
LUZP1	-0.417375
WDR89	0.616666666666667
EIF4G3	-0.0654
C5AR1	0.060375
ZNF623	0.1315
A2M	-0.563
TGM7	0.3005
GRPEL1	-0.864
LMNB2	-0.986
ROCK2	-0.757166666666667
SNX16	1.202375
CCDC66	-0.9165
ANXA3	-2.468
KIAA1609	0.080625
EED	-1.85775
RNF32	0.683
HES1	1.0062
CLC	0.2
ISL1	-0.206666666666667
KIAA0528	0.942125
MANEA	1.332375
C1orf61	-2.0185
hCG_2001000	0.18925
RAPGEF6	-0.0214
KIAA0020	-0.482666666666667
NEIL1	0.2735
C16orf45	0.996875
RBM10	0.332166666666667
C10orf125	-0.830875
MRS2L	-0.36425
DNAH17	-1.3755
C19orf10	-0.337
C1orf160	0.27275
SLFN12	-1.82175
EXOC3	-0.651833333333333
HIST3H3	1.0335
NCOR2	0.326
TNFRSF9	-0.4845
MFSD8	0.0405
ALX1	-3.6395
NOL1	-1.3835
PODN	2.092
TIAL1	-0.51425
HIST1H1E	1.50225
NPY6R	0.26175
TM4SF4	-0.57575
CORO2A	1.811
ETNK2	0.902666666666667
APOE	-0.2973
ANGPT4	-0.2735
HDGF2	-0.8135
G30	1.028
ST8SIA4	-1.38725
F2RL1	-1.240375
FAM19A4	-3.15875
CCAR1	-0.388
B3GNT7	0.05825
OPHN1	0.2276
DSCR6	1.2895
C21orf13	1.20283333333333
GAS2L1	0.804166666666667
RFX3	0.9505
COPS4	-0.382
BCHE	6.09433333333333
BCL2	2.710625
HBZ	-3.54383333333333
ARL13B	0.954375
MAPBPIP	1.895125
MYO15B	-0.5615
SPZ1	0.251333333333333
KIAA1324	2.62555555555556
PLCL2	-0.052875
C4orf29	-1.32825
WDFY2	-1.244875
ZNF284	-0.197
NAALADL1	-1.323
DUSP5	-0.554166666666667
PXDN	0.313125
SLMO1	-0.63825
TNXB	0.3206
BIRC7	-1.492
A4GALT	0.929
TIMM22	0.18275
FAM110C	-1.96225
TOMM34	-0.6625
ABHD9	0.234
ADAM32	2.5345
CRHBP	0.45125
AQP2	0.376125
LOC130355	1.7515
ZNF187	-0.108666666666667
ZNF816A	0.5575
F7	1.03975
CNOT1	-1.0427
SLC13A4	-0.41125
ZBTB11	-0.60225
B3GALT5	0.65075
EXOC2	0.967333333333333
IRS1	0.5584
TMEM1	-0.789333333333333
MRPL34	-0.2855
SAMM50	0.01025
CDC42EP3	-1.51175
HSF2	-0.632
MFN2	-0.70575
TSPAN7	-2.02283333333333
NUCB1	0.566583333333333
RHOH	-1.35125
ARL16	-1.2795
TACR1	0.62575
SFRS5	-0.748333333333333
SNX25	-0.74975
RHBDF1	0.882166666666667
PCDH18	0.95
HMG1L1	-0.6785
MYO5C	0.802
MAPK10	1.728
LDHAL6A	-0.431166666666667
NUDT12	0.7056
NCAM1	-0.328875
GLIS2	0.514
GGTL4	0.3475
DAPP1	-0.76525
ATF7	1.253125
KIAA0748	-1.386
NFIL3	-1.8715
TM6SF1	-0.2817
SEZ6	0.082625
NANOS3	0.680833333333333
DNAJA3	-0.3895
CLDN6	-3.022
CIITA	1.8232
EPHA4	-0.144333333333333
FANCC	0.6265
CMTM3	-1.046125
PSG3	-0.641
MRPL15	-0.2035
C21orf59	-0.18775
PLCXD2	-0.296
C2orf34	-0.159125
UBE2L6	1.77625
MED14	-0.184166666666667
HP1BP3	-1.051
C6orf208	1.2615
TPBG	1.77875
OSR2	0.81625
XPC	-0.6145
KLHL7	0.231083333333333
CCR3	-0.538666666666667
AGTPBP1	-2.42866666666667
PCSK6	-0.752066666666667
STAT5A	-1.8811
FAM18B	0.355
LONRF2	-0.2395
PTPN2	-0.50275
SF3A3	-1.05316666666667
EFCBP2	-0.442
HCFC1	-0.693166666666667
AHNAK	0.10185
ACTR5	0.55825
KIF14	-0.733714285714286
TENC1	1.21375
HEATR5B	0.803
YIPF2	0.894833333333333
MYEOV2	0.739666666666667
DUSP18	1.713
KIAA1012	1.08625
AHR	0.334
C17orf53	-1.65233333333333
PTPRH	-4.4995
ATP6V1C1	-0.0606
TAS2R3	-0.6905
LOC440356	2.24425
COQ10B	0.26725
PSMF1	0.706416666666667
SORBS2	0.329916666666667
NFE2L2	0.4415
TMCO7	0.08625
SH3PXD2A	-0.6991
SH2D2A	-0.7865
SPINK5	-3.50075
MRPS24	0.44775
OPA3	0.2475
TRAF7	-0.434
C4orf35	0.276666666666667
MT1G	-0.941875
MGC39545	0.283
HS1BP3	0.8539
OR2B2	0.427
CHRM4	0.177
SFRP2	1.66641666666667
RIC3	-1.6845
ART1	-0.3855
C6orf1	1.754125
DUS4L	-0.593
C10orf104	-0.0575
TNFAIP6	1.763
RTEL1	-1.52775
CCT4	-0.7054
ZNF709	-0.15825
CHMP6	-0.0481666666666667
UPP2	0.50925
CYP19A1	-2.43371428571429
CD151	0.109666666666667
NDUFA13	0.116
ARFRP1	-1.11816666666667
FAM26B	1.05425
CRYBA1	-1.9085
MRPL41	0.6165
NPFFR2	0.9175
HRH2	0.234
SCAMP3	0.613
MTMR6	-0.0425
MTG1	-1.10116666666667
UBTD1	0.84925
CRABP1	-2.0915
FLJ33790	1.1869
KIAA1908	-0.733
GPR158	-0.6835
PACSIN3	0.572833333333333
OMD	2.857
CATSPER1	-1.0145
HOXB8	-1.37175
FBXO46	0.9875
OAS1	1.41816666666667
SVIL	-1.50775
PHB2	-0.993
ADCY3	-0.854
NDRG2	1.44233333333333
ERMAP	-0.3942
APBA2	-2.08916666666667
IGSF9	3.008
WNT6	-0.715642857142857
MYCBPAP	0.10075
ATP2B2	-0.138222222222222
CPVL	-2.1754
TRAM2	-1.00908333333333
NOP5/NOP58	0.0875
ZNRF4	-0.08475
TLK1	0.142375
MTMR12	-0.0177857142857143
ZNF384	-0.768333333333333
FAM9B	-3.11575
RPN1	0.8969
PMVK	1.7985
EIF3D	-0.0616
SIX2	1.57675
HPS1	0.269071428571429
RNF7	0.58775
PSKH2	0.3435
KCTD13	-0.0486666666666667
CSMD3	-0.6779
FBF1	-0.6125
IL8	-6.594625
SERPINB13	-0.103181818181818
FBXL20	0.31275
BLR1	0.4655
SH2B1	-0.833166666666667
RFNG	-0.5085
RAB20	1.43683333333333
RBM7	-1.55125
POLR1A	-0.2905
TMPRSS4	-2.67775
TAF9	-0.954625
TERF2	-0.84
TNFRSF1A	0.440166666666667
ACADVL	-0.11
GTF2H5	1.28
EDG8	-0.355833333333333
C9orf140	-1.025
UST6	0.748
ZBTB8OS	-0.31675
ZNF710	0.565
GPR174	-1.5485
ATP6V0A2	-0.09825
KIAA0319L	0.486166666666667
XKRX	0.513
DOPEY2	1.6887
SDHD	-1.33308333333333
SUMF1	1.69975
OSM	1.5125
OPN3	0.72325
DAGLB	-0.147166666666667
PPFIBP1	-0.7288
TRIM63	-3.7145
C10orf53	-0.208
LYPD3	-0.0471666666666667
BCL7A	0.10375
AGER	-1.35766666666667
TCF19	-1.078
SAT2	1.00875
PFTK1	2.97983333333333
GABRE	-2.0225
C15orf38	2.1232
FIS1	1.0645
KCNV2	0.69925
CLPS	0.49525
PPCDC	-0.634875
FOXN2	1.0845
NT5E	-4.1057
CD83	-0.40325
IL18	-2.502125
VPS16	0.863
IGFBP2	-0.133
NOTCH2	0.77025
SIGLEC1	1.479875
CD93	4.791
SULF2	0.21
CEP164	-0.524875
P53AIP1	0.0566666666666667
TOR2A	0.266833333333333
ZNF136	0.32125
MGP	2.2308
CCDC144A	0.881
TRPC1	-1.87933333333333
SMS	-0.3155
MAPK7	-0.435833333333333
RRAGC	0.75725
PARD6A	0.5905
NUB1	0.160333333333333
SYNGR4	1.331
OR11H12	-0.2095
WIF1	0.1985
GCH1	-0.45725
OR11H4	-0.5655
SLC44A5	3.019
GPRIN2	2.2705
LOC401431	0.88225
CPA4	-2.9608
MELK	-1.34466666666667
IL15RA	-0.57025
CUL3	0.364625
HMBOX1	0.73
PODXL	-2.085
CCT6B	1.1965
COMTD1	-0.38875
MUC20	-0.458333333333333
GPX2	-3.864
ITK	-2.70475
FBXL5	0.83925
C13orf27	-0.60075
DEFA5	-0.0655
TRHDE	-0.325
MTP18	-0.0973333333333333
UQCRQ	0.0544
ITGB2	-0.652
CSRP2BP	0.56125
TAS2R44	0.5675
PHPT1	0.46325
FAM44C	-0.662
ERH	1.41675
MPHOSPH1	-2.05183333333333
MORC1	-0.215
PARVB	-0.83375
LAMA1	-2.81483333333333
PGBD3	0.7385
GIMAP6	3.27375
AREG	-7.2825
LIPT1	0.095
MGC99813	-0.286
C1orf201	0.112333333333333
GRIN2A	-0.953222222222222
MAN2C1	-1.857
NSUN5	-0.253
SF3B5	0.561
MYC	-2.632
NRXN1	2.16925
ZNF18	0.774
SPDYA	0.010625
SLC37A1	0.8165
DECR2	0.3565
ANKRD38	1.114125
SPTLC3	1.88716666666667
SUPT16H	0.010625
DTWD2	1.452
ULBP1	-0.301
ZADH1	1.2125
OIP5	-2.08075
IL10RB	-0.698166666666667
OTUB2	1.11825
VWA3A	0.2205
SPIC	-0.116666666666667
OR6C4	0.0675
PSCD4	-0.00716666666666666
DPY19L2P2	-0.9055
TRAPPC6A	0.9135
C21orf2	-0.645833333333333
CEMP1	-0.3275
LIN7B	0.648
E2F7	-1.47916666666667
VCP	-0.4191875
LAMA3	-0.165583333333333
BGN	0.58225
GPR160	1.4455
COCH	-0.457666666666667
GPR81	-0.198833333333333
APOBEC3F	-2.57275
tcag7.1017	0.48875
C1orf32	0.395
SCGB1D2	7.7905
FLJ43987	0.336
C6orf170	0.9585
KLK9	0.9515
GPD1L	0.93725
VPS37B	0.04875
ATG3	-0.5335
ADAMTS17	0.4
KLHDC2	-0.3525
