Hybridization REF	TCGA-AR-A0TT-01A-31R-A084-07
RRH	0.0375
CDR2L	0.309
PDZD7	-0.53
SLC19A1	-1.13875
C1orf217	-1.2275
LIMS1	0.914
FAM89A	-1.267
MFAP3L	0.4871
PIK3CD	1.41071428571429
DERL2	0.1745
FHL5	0.7255
ACAN	1.57
BRWD2	0.3435
TINAGL1	-0.185333333333333
DCUN1D2	0.490625
C3orf36	0.25825
MGC10850	-2.108
hCG_31916	-0.36975
FHAD1	1.435875
LCE1C	0.38975
ARPC1A	-0.558666666666667
CHST2	-0.29475
SPATA2	0.339125
PGLYRP4	-0.4315
RUFY1	0.68675
TXNDC12	-0.46625
RPS4Y1	-6.51025
TNFRSF8	-0.669333333333333
PTGIR	1.9865
FOXE3	0.5835
ART4	-1.3285
ZC3H12C	-0.509
KIAA1841	0.393
EVX1	0.8235
WDR38	0.115
LOC402057	0.832
ACAA2	0.1185
GLCE	1.354
GPR18	4.05375
HIST1H2AG	-0.8458
PIGK	-0.174125
C16orf67	-1.16583333333333
DAG1	-0.381875
OR4D2	0.364
C21orf81	-1.99275
PLOD2	-1.24666666666667
TTC27	-0.5175
TSPAN2	0.8495
PI3	-0.529
ZFAND6	2.32475
C6orf57	-1.13075
NUF2	-1.011375
ARID2	-0.579
RCC1	0.1785
CD86	2.25733333333333
FAM91A1	0.3815
CALM2	0.809833333333333
GYG2	-0.3065
PARS2	0.278333333333333
INTS12	0.33875
CTSF	1.607375
BNIPL	2.61175
GNA13	0.247
HUNK	0.21425
ZBTB4	0.792875
B4GALT4	0.00949999999999999
CHD1L	-1.8905
MSTO1	0.457833333333333
FUT8	0.575923076923077
AGA	1.543
TRMT11	-0.494666666666667
WWP1	1.58333333333333
B9D2	0.843166666666667
STAT1	3.152625
PTTG1	-2.052
TMEM62	0.9045
SSBP2	0.0045
MRFAP1	0.428583333333333
NME4	-0.485125
LOC55565	0.403666666666667
DLL4	1.046
MYOCD	0.265333333333333
HTR3D	0.239
C9orf156	0.6735
CHMP4C	1.99216666666667
PROCA1	-0.56
GCDH	-0.314
APOF	-2.39116666666667
WEE1	-0.827
SSR4	0.6855
RGS1	6.785
ACCN4	-1.70233333333333
FLJ20489	-0.00737499999999999
ZNF215	-0.4215
AGPAT6	-0.565375
PDE7B	-0.841
BBX	0.270875
MS4A3	-3.15
OR4A16	0.2095
EFEMP1	2.462
TULP2	-0.239333333333333
RERE	0.4895
BNC1	-2.09975
PIGB	0.26
COMMD8	-0.05425
TRIP11	0.53
FLJ40142	-0.067
PCDHB6	0.26125
FKBP8	-0.913333333333333
FLJ12716	-0.2289
POT1	-0.855833333333333
KIAA1109	0.516785714285714
PTPRC	2.85525
UNQ9391	0.1315
CCT7	-0.691
EEF1A2	-3.32025
MIPEP	0.729
ZFX	0.4843
UCHL3	0.03775
LOC388419	0.3715
GSG1L	-0.544333333333333
RAB24	-0.232083333333333
SLA2	1.76
SDS	3.17383333333333
LYPLA3	0.4235
CASQ1	0.536
SLC25A40	-0.838666666666667
IRAK1BP1	0.9805
ACOT6	-0.03975
COL9A3	-4.1285
ASB11	-0.353
C2orf18	0.903
FOXD2	0.16375
C6orf211	2.31725
OR8G1	-0.126333333333333
MDGA1	2.32525
ADARB1	-0.373375
GGT1	-0.0945
WNT1	0.2863
DBP	0.04775
COL5A3	0.99325
RHOD	0.64675
COL4A2	1.685
LOC201164	-0.358
HEBP1	0.86275
LUM	2.9995
ZCCHC6	0.28425
PAGE1	-3.02666666666667
DTX2	0.2515
SLC7A13	0.47575
H3F3A	1.06614285714286
RABIF	1.203
D4S234E	-2.20166666666667
DYRK3	0.975166666666667
PFAS	-1.35483333333333
ALOXE3	0.512
RPLP0	-0.463642857142857
RBM34	-0.191333333333333
C12orf28	2.103
U2AF2	-0.119333333333333
MKNK2	-0.45225
SEC16A	0.621666666666667
ZNF44	-0.2032
YWHAG	0.177625
IGF2BP2	-2.84108333333333
OR1D5	0.2515
SIX6	-3.06675
CCR6	1.35275
PALM	0.63925
PUM2	0.459714285714286
SPRYD5	-1.854
ALG10B	-1.06575
ZNF365	0.484
PHC1	-1.7475
KIAA0913	0.03025
ARX	1.09775
PPP3CB	1.04916666666667
IRX6	0.2021
ANGPTL4	-1.4255
LSM14B	-0.5154
PCDHGB7	0.5485
INSM1	0.153666666666667
WBP2NL	0.466
ZNF493	-0.0540625
NGEF	-1.886
RNASE13	0.105
SPPL2A	0.83
SFXN1	-0.669375
FAM102A	0.9065
SAPS2	-0.774666666666667
JTV1	-0.751
OR51B4	-0.69725
SCGB1A1	0.905833333333333
NEUROD2	0.10875
tAKR	0.0115
C1orf26	0.67825
RICH2	-0.991
TEDDM1	0.13325
CYP2S1	-0.5695
TBCE	-0.581
MAPK1	-0.57175
HDHD1A	0.5735
MRM1	1.2705
ATP9A	0.232642857142857
HSD17B3	0.341333333333333
HN1L	0.00766666666666667
RNF216	-0.10075
HOXD12	0.033
PPP1R14B	-0.2755
SBF1	-0.56825
TAS2R42	0.333
USP46	0.116166666666667
LILRB3	3.513
SPI1	2.207
OXSM	-0.6925
GYS2	0.1218
NUPL2	-1.17725
C8orf46	-1.634625
SF3A1	-0.17615
C21orf99	-0.0575
HOXB4	0.821
YRDC	0.13025
GPRC5D	0.3495
BLVRA	0.2525
KIF12	1.344
LRRC23	0.247
FAM14A	0.8185
RASL12	0.566
DAZAP2	1.412
IKBKB	0.2685
ZNF271	0.149333333333333
BOK	0.24575
CXorf6	-1.7315
MYEOV	-1.71625
BTN2A2	0.192888888888889
FRG1	-0.60475
HSP90AB6P	-0.48025
ENOX1	0.607666666666667
ZNF706	0.681
DOK1	0.8088
PGAP1	-0.701125
TMEM136	-0.74475
FSCN1	-1.4965
KIF17	0.26225
TRIM66	-0.256
CBR3	-0.00283333333333333
C13orf24	0.702666666666667
C19orf52	-0.353
BNIP1	0.40325
AQP3	-1.163
KRT6C	-2.64683333333333
SIRPA	1.01233333333333
IGFBP6	-0.795333333333333
PLEKHK1	0.28925
RNASE7	-0.06
ARHGEF15	0.59875
NPHS2	-0.01875
SRD5A1	-0.70975
REXO4	-0.40125
EEF1DP3	-0.68825
SLC37A2	1.4045
ZNF142	0.98575
ANKHD1	-0.685
MUT	0.411
VPS37A	-0.66075
GPRIN1	-0.86775
SLC38A3	-1.151625
BAZ2B	1.2235
WDR87	0.0486666666666666
BRD7	0.052
POU6F2	-0.437
NISCH	0.02325
TCEB1	0.082
LINGO2	-2.78075
TAX1BP3	0.51675
RPL34	-0.367277777777778
MARK2	0.8275
AKAP12	-1.6415
AMBN	-0.2245
SLC25A27	-1.99183333333333
FLJ21865	-0.028125
KIR2DS2	0.57
WDR77	-0.66325
ATF2	-0.0804166666666667
ITFG3	-0.712333333333333
SLC39A13	0.89575
ARL6IP5	1.21525
C10orf137	-0.062
QTRT1	-1.07283333333333
CCNT1	0.021
DYNLL1	0.4143
WDR53	-0.6435
LIPG	-0.124
ASAH3	0.249
HELB	0.76425
PHACTR2	0.915875
VENTX	-0.0895
LAD1	1.09733333333333
PAOX	2.00525
MAPK8	0.211
CCDC38	0.135
DNAJC8	-0.2306
RBBP8	-0.926
WNT11	0.5041
KCNJ12	-0.956333333333333
HDAC8	-0.681
STARD4	-1.92875
ACVR1	0.858
C14orf65	-0.269166666666667
KLB	-1.7305
C1orf65	0.482
ZFYVE28	0.4115
NSUN6	0.508
KIF27	0.227666666666667
SYTL2	1.17466666666667
UBXD2	0.5916
OR6T1	0.272
CCDC91	1.595
GRID2	0.2955
CALN1	-0.448125
ZNF423	0.33075
PSMB4	-0.257833333333333
XPNPEP3	-0.218166666666667
ARPP-21	-2.5757
SART1	-0.23425
RACGAP1P	-1.218
SPTA1	-3.7765
C6orf113	2.17516666666667
C7orf16	-2.125
CHST7	-0.378666666666667
C21orf29	-0.087
SEMA6D	-1.713625
PCMTD1	1.501125
KIAA1754	-0.6395
MYCN	-0.65125
KCNJ3	2.75575
MAPK13	2.6426
ERO1LB	0.6435
NTF3	-1.66666666666667
NKX6-2	-0.08575
GTF2B	-0.02325
GSPT1	-0.790333333333333
GUSB	0.165833333333333
LOC221091	-1.098
LIG1	-0.49375
EXTL3	-0.915
NID2	-0.901
TTC29	-0.86875
TMEM97	0.41725
EXTL2	-1.487
SUZ12	-0.37975
IL1F8	-0.172
KRT18	-0.829
MRPS16	-0.24675
PI4K2B	-0.00475
LACRT	-0.0635
OR51F2	0.1265
JMJD2C	-0.038375
KGFLP1	1.812
CDK5RAP3	-0.291
YTHDF2	0.500166666666667
GGCX	-0.876
ARPC4	0.72475
EGLN2	1.90166666666667
KBTBD4	0.153142857142857
ROBO3	-0.5167
DEFB118	0.4525
KIAA1543	0.72675
RTCD1	-0.115166666666667
MZF1	0.98975
C18orf26	-0.00149999999999999
CNIH4	-0.859166666666667
ZFP2	1.72316666666667
HTATSF1	-0.0105
WFDC2	-1.3215
NDUFA7	-0.2775
TTC22	1.12183333333333
FAM40B	-2.2435
DCPS	-0.7785
SH2D1B	0.324333333333333
MRGPRE	0.3695
SBK1	1.564
UNQ6411	-0.0455
OSBPL9	-1.09225
NUP107	-0.50025
MYOZ3	-0.6015
PDE4B	0.244083333333333
FAM113A	-0.3095
IDH3G	-0.0903333333333333
FBXL7	-0.385125
ARFGAP3	-0.1585
MAPRE2	-0.333923076923077
IL1RN	-0.2517
KIF13A	-0.24775
RAC3	-0.4455
TCTE1	-0.2805
TMEM14B	-0.397333333333333
ADIPOR1	0.815666666666667
GRINA	0.6135
CLIP4	-0.1395
LRIT2	-2.905
TFPI	-2.9385
FABP6	-1.222
SLITRK2	0.014
HKR1	-0.0375
SMTN	-0.95075
C1orf75	0.3785
CD209	0.464125
CYB5R2	0.285
DNTTIP2	-0.631333333333333
CSGlcA-T	0.749875
GABRB3	-2.00725
PCBD1	0.134166666666667
TAF3	0.526333333333333
HOXD3	-0.8925
GIPC3	-0.485333333333333
P11	0.27
BFSP1	-1.07575
LCP2	2.10325
TAS2R8	-0.2565
SEZ6L	-0.7445
NR2C1	-0.94225
EXDL2	0.386
TNFRSF13B	-1.17066666666667
MKI67	-1.13575
GLS	-0.148333333333333
C7orf54	-0.4981
LGALS13	0.042
IL4R	1.79075
SEC11A	0.7085
SPP2	0.2975
C18orf32	0.8515
CLSPN	-1.549
SPAG1	0.666375
C9orf82	0.034
TM4SF1	-1.12708333333333
EMILIN2	1.795
SMG7	0.673166666666667
TAS2R13	0.4675
ZNF628	0.6325
DZIP1L	-0.562333333333333
ANKRD13A	0.2027
VASP	0.50275
ZCCHC11	-1.395375
SYPL1	-0.461125
MGC34774	0.20875
C4orf28	0.32425
KIAA1211	1.11625
RPS27L	-0.36075
TATDN3	-0.45975
PDCD1	2.594
OR5P2	0.2155
IFIT1L	0.1045
MIPOL1	-0.222
OR51D1	0.1275
C1orf92	-0.873166666666667
LAMP2	0.885055555555556
CAT	0.359666666666667
C16orf80	-0.32325
C15orf32	1.4205
ZNF746	0.3535
C1orf76	-1.0555
ATXN1	0.8465
LAMC2	-0.15225
SLC2A7	0.0965
CPOX	-1.833
APH1B	1.1435
LOC442245	-0.6535
CTNND1	0.131111111111111
GABRG2	-0.281875
MADCAM1	-0.398833333333333
F5	-0.853625
SEMA4F	-0.994166666666667
NUDCD3	0.37575
PDZD11	-0.587
TRIML1	-0.0325
GCNT3	-1.545
TMEM120A	0.409
CNDP1	-0.1655
N4BP1	0.52725
SLC35F2	-1.14975
LCP1	1.03366666666667
IGBP1	-0.5753
DCAKD	-0.196375
ELA2A	-0.8355
C12orf56	-0.7135
PITRM1	0.391071428571429
GUK1	0.735
RASSF8	-0.1121875
OR2A14	0.4185
ADM	-3.032
FGD3	2.06516666666667
GHRHR	0.057
RHPN2	0.19275
C4orf39	-0.925833333333333
VPS72	0.0365
SERF2	0.852944444444444
CD22	1.64133333333333
CD47	0.6759
PPIC	0.056
IMPDH1	0.208416666666667
ACP6	-0.995666666666667
PRKACA	-0.031375
PPP1R1A	0.06325
TRPV3	0.167
ASXL1	-0.5325
C17orf55	-0.723
FXYD1	-0.6215
LMOD2	0.2115
ANKRD33	0.361
LCE2C	-0.176625
ZNF620	-0.304
DKFZP566E164	-0.48925
VSIG2	-0.56375
KIAA1128	0.9495
USO1	0.318666666666667
NUDT4	0.485
CLDN1	-2.14471428571429
OR4Q3	0.2895
FASTK	-0.195333333333333
ICOS	3.50183333333333
LDB1	0.79525
GSTA5	-1.587
ABCC1	-1.37266666666667
FAM54A	-1.1985
PCBP2	-0.210666666666667
NUP205	-1.197
ACTA1	-1.8095
GABBR2	-1.342
PIP5K1B	1.0625
AGXT	-1.34283333333333
RNF181	-0.19
ATP8A2	1.72575
AFTPH	1.2035625
FGF21	0.2
FCER1G	2.627125
SNTB1	-1.292
SLC24A3	1.27575
TXNL4B	-0.4001
RPL10L	-0.740166666666667
LOC389517	-0.8159
TSGA13	0.2815
SHOX2	-0.689666666666667
ITGA7	-0.5214
KCNIP2	-0.19
KLF13	0.5396
ZFAND2A	-0.232
CEACAM1	-0.917714285714286
PFKFB4	-2.03
MED19	0.12575
LRRC57	0.596666666666667
RNF11	0.0225
ANKRD32	-2.56525
P117	-0.28175
OBFC2A	0.6725
POLD3	-0.185083333333333
RAB18	1.16025
TPH2	0.0206666666666667
PHB	-0.4028
JDP2	0.734166666666667
MORF4L1	-0.123
POU2F1	-0.33625
CNNM2	-0.777
LOXHD1	0.214
ZC3H15	0.005
ELK3	0.475833333333333
FAM111B	0.06625
CBLC	3.38833333333333
SBNO1	0.31275
ANKMY2	-0.656
PLEKHA5	0.1735
DHX58	1.11416666666667
ARCN1	-0.256
TREML1	0.333
KNCN	0.319
SEC24A	-0.3645
PSCA	-0.85925
MGC24125	0.278333333333333
DNA2L	-0.8965
CIB4	0.355375
HIGD2A	-0.311333333333333
TBX6	-0.137833333333333
TTLL5	-0.949666666666667
SGK3	0.591166666666667
GCN1L1	-0.116
AMOT	-0.7151
LDOC1	-0.225
NRK	-0.3025
ASB9	-2.267
NAT1	3.8302
TRAFD1	0.30525
PEAR1	0.042
FAM36A	-0.483
OR1S2	0.2945
LOC388323	-1.9455
PGS1	0.393
LEPREL1	-3.52675
TFF1	-3.14225
HAP1	0.00749999999999999
EPHB2	0.69275
ACTG1	0.8185
ZFP42	-0.981
HAVCR2	1.8704
NME1	-0.8335
SNX26	0.152833333333333
LACTB	0.727166666666667
ZKSCAN2	0.679
C5orf35	0.105
ANKS3	-0.204
RBM28	-0.3215
DKFZP586P0123	-0.47075
HNRNPA1	-0.466
BCAS3	-1.48866666666667
FLJ20184	0.165
POLA2	-1.12066666666667
TMC7	-1.23266666666667
HSD17B6	1.4565
ZNF658B	-0.0313333333333333
TTTY10	-0.169333333333333
RANBP9	0.2495
CPNE7	-1.84433333333333
EVL	1.00205882352941
LNX1	0.37325
IFNA21	0.0741666666666667
CFD	1.958
PYCARD	1.239
MYBPC2	-0.6045
ENPP3	-1.6295
ACSL4	-1.17225
LOC440258	-0.186166666666667
TMEM176B	3.74133333333333
SOX2	-4.877875
SCO1	-0.3535
COMT	-0.10875
AOC2	-0.38
PDLIM5	0.640928571428572
SPHK2	0.499166666666667
NXPH2	-0.00349999999999998
GPR108	-0.0895
RAD51L1	-0.5545
TMEM54	-0.046
LETMD1	-1.00477777777778
SLC6A17	0.699
KRT75	0.0525
STT3B	-0.640333333333333
CD3EAP	-0.0468333333333333
TMEM63A	1.036
DUSP13	-2.936
CD1C	-0.111666666666667
LASS2	1.63433333333333
AVP	0.8255
PITPNM1	-0.712125
FLJ22795	0.9795
MCTP1	-1.86825
TRIM68	-0.413166666666667
UCK2	-0.535166666666667
ABHD1	0.374
FAM50A	-0.283
RNASEH1	-0.742166666666667
PCP2	0.673
OR52H1	1.7205
C20orf149	0.55025
RBP5	0.656
HYAL3	-1.30425
CLPB	-0.5595
SMNDC1	-0.4145
DONSON	-2.45466666666667
FLJ27523	0.0945
BARHL2	0.298
SLC30A9	0.494833333333333
TMPRSS11B	0.39325
E2F8	-1.31833333333333
CCDC25	-0.85425
C14orf48	0.319
C20orf116	0.45
TSPAN11	0.296
YIF1B	-0.811166666666667
FAM12B	0.53875
OR1L6	0.2535
HPN	-1.8506
NBN	0.97625
C14orf94	-0.401333333333333
OCLM	0.4075
ZSCAN18	-1.1268
L3MBTL	-1.8409
TSTA3	-0.206166666666667
RAC1	0.249
C19orf15	0.4815
NFE2	-5.14
KLK14	0.2425
ARSF	0.4335
MAST2	0.0211666666666667
AMICA1	3.42483333333333
GTF2A1	0.205125
ATP1A3	0.05
TC2N	3.2543
PNKP	0.1795
ODZ2	-0.7985
MATR3	0.373375
S100P	-2.03425
KRT82	-0.2185
CA13	-0.697
PROZ	-1.42083333333333
AASDH	0.04825
C19orf40	-0.674333333333333
DCK	0.0788461538461538
FAM5C	-1.1675
SLC6A4	1.0765
MID1IP1	0.279375
TESSP5	-0.443
TMOD4	-0.0645
DOCK2	0.711833333333333
TUG1	0.56525
NUP214	-0.596
DPYSL2	-0.228545454545455
GOLM1	0.244416666666667
MPFL	0.30325
SOX13	1.21
SDCCAG8	0.8509
KEL	0.0128333333333333
NUP210L	-2.0115
GK	-0.04875
DNAJB1	-0.09425
ALPK3	-0.111
CHID1	0.1178
CYLC2	0.111666666666667
IKZF5	0.67775
C8orf51	-0.1255
PPM1J	0.434
GIMAP8	3.7765
GPR101	0.356
NR2F1	-1.834
ACAD8	0.4695
RBM35A	1.73775
GNAI2	0.5525
METTL8	-0.1675
SLC39A7	-1.44625
FBXO8	0.87825
CAMK1	-0.49325
RFC3	-0.70775
FAM129A	0.537857142857143
ILF2	-0.47175
FGFBP3	-1.369875
NOM1	-0.378166666666667
PSMA3	-0.35825
ASCC3	0.9532
ZYG11A	-0.9425
SOX21	-1.339875
LYRM1	-0.684
DEFB1	-0.275
LOC91431	-2.68283333333333
OR7C2	0.4785
FAM46B	0.3
TMEM18	-0.228
ARHGAP30	2.987
TMEM86A	2.49633333333333
EPHA2	-1.55833333333333
C10orf46	0.5812
TCHH	0.133333333333333
C3orf30	0.400833333333333
LOC285636	-0.0788333333333333
PAIP2	0.08125
CYP2U1	-0.21075
C12orf34	0.3325
SARS2	-0.121
ZCWPW1	0.20025
SAMD12	1.764875
KIAA1430	-0.536375
ACAT1	-0.91125
MEOX1	1.23766666666667
ADAMDEC1	7.40875
PHKA2	0.3975
CARD11	0.6185
CALML4	-1.02
TSSC1	-0.122
TMEM45A	0.312
MPP7	1.676625
POU1F1	0.30425
SLC2A13	-1.2841
FBN2	0.988071428571429
ZC3H7A	0.2622
LAIR2	2.195
ST3GAL1	0.490666666666667
LCT	-2.1925
GEMIN8	1.0045
KLF16	0.4238
HIF3A	-0.2167
FAM44A	0.656214285714286
AQP10	-0.8733
PLA2G2A	0.544
FOLH1	0.963333333333333
C20orf186	0.1525
MAPKAP1	0.022375
SPRR2D	-1.3815
UBQLN4	0.234833333333333
RSHL1	0.332333333333333
PIAS3	-0.713375
MRPL24	-0.16175
GREB1	-1.68125
FAM27E3	-1.7775
NUP62CL	-0.195
NEUROG3	0.861
REEP3	0.880416666666667
MARK1	-0.83075
LMBRD1	1.07475
PRPF19	-1.086
PNMT	0.3204
CTGLF1	-0.6665
SLC25A16	1.174
EIF2B3	-0.6045
RPA2	-0.14925
PAK6	1.15066666666667
CCDC26	-3.132125
SEMA3E	-0.221375
MXD4	1.3134
TNFSF10	2.8113
SMARCB1	-0.614333333333333
DTX3L	1.49716666666667
PLA2G4E	-0.047
PPAP2A	0.2465
ULK1	-0.130083333333333
TAS1R3	0.0225
SLC2A3	-2.44181818181818
ARID3A	-1.011
GNG5	-0.3975
ACOX1	0.109
KIF5B	0.25525
NUP153	-0.755
MUC7	-0.301
CSDE1	-0.430857142857143
CLPTM1	-0.38275
C3orf23	-0.326625
LRRC17	-1.18666666666667
TTYH3	0.206
ATP5B	-0.9715
ELF3	1.9091
CPSF3L	0.045
ZNF665	0.400666666666667
TLR6	1.3744
GPI	-0.748375
RAD9A	-0.17675
NDST4	-2.92975
AGPAT3	0.115083333333333
MAGI3	2.663
ADORA2A	1.40625
CACNG7	0.403
CAMK2D	-0.128071428571429
CCHCR1	-0.82475
RPS27A	-0.287
OR10G7	0.227833333333333
GCM2	0.0695
FAM135B	0.2922
E2F1	-1.5025
PLCB3	-0.171
OR2AE1	0.223
COIL	-0.086
CDC25C	-1.4505
RAB11FIP2	0.444916666666667
TSC2	-0.2695
CTGLF5	-1.0935
CCDC108	0.0296
OR13C4	0.34375
C10orf81	1.66525
PTPRB	0.811
ACP2	1.1745
LAG3	3.071
MRPL54	0.58275
LOC201175	0.791
ITGB1BP3	-1.09725
SPTAN1	0.158
SIPA1L2	1.37975
RCAN2	-1.1665
CDX2	0.123
ECOP	0.8215
ACTR1A	0.5325
PPARG	-0.453666666666667
BBS10	0.0356666666666667
TMEM44	-0.91325
BPIL2	-0.00324999999999999
CITED1	-2.01675
IRF6	4.21625
PRDM4	1.329
RRP9	-1.1275
OR10H4	0.192
IL31RA	-0.20725
GNB1L	-1.1045
MYBL2	-1.206375
ZNF407	0.661833333333333
PPIG	-0.0436666666666666
TTC18	0.183
RPSA	-0.68
MAPT	0.71475
MRE11A	-0.255071428571429
C8orf37	-0.606166666666667
RASGEF1C	-0.764333333333333
STBD1	0.6505
CTAG2	-0.357833333333333
MGAT5B	-1.33583333333333
ECM1	0.03775
RLN1	0.7585
PARP14	1.481125
EPB41L1	0.5008
HOXA3	-0.897833333333333
MAGEA9	-3.45875
RPS8	-0.29
RPS19BP1	-0.08075
FOXJ2	0.17925
C10orf76	0.549875
IL17RE	-0.3955
C10orf65	-0.88475
ZNF343	0.684
FBXO33	-0.184625
UHMK1	1.6144
LY6G6C	-0.9185
FGF19	-1.24675
C14orf128	0.238166666666667
IFIT2	2.919375
TIGD1	-0.21025
S100G	-0.2365
GUCY1B3	1.6145
NR3C1	-0.2157
CORO1B	0.6985
PARP11	0.959833333333333
DNALI1	4.0665
OR4N4	0.352875
MAP2K6	-0.106333333333333
FSTL4	0.0525
ANKRD47	1.290625
TMEM171	-1.087
PNLIP	0.00975000000000001
YY1	0.0835
CCDC138	-1.51716666666667
AASDHPPT	-0.5328
CKS1B	-0.0188
MCM3	-1.035
ANAPC7	0.0591666666666667
FAM110A	2.3545
CDC37L1	1.1245
THTPA	0.07175
NBPF20	-0.529
WDR24	-0.03125
NPTX2	-3.11625
CBLB	1.02166666666667
CETN1	0.211166666666667
RPUSD1	-0.255
FAF1	-0.745
CDK6	-0.8719
HMX2	0.2485
CSK	0.586666666666667
TEAD2	0.481
SNAP25	-0.66625
TUFT1	1.2209
TMTC3	0.483666666666667
LCK	0.67325
SGOL1	-1.7565
AKTIP	1.254
FURIN	0.19325
SOX12	0.387333333333333
DEFB103A	-0.51
RAMP1	1.7465
KIR3DX1	-0.9635
GAS2L3	-0.12
PDE8A	0.2331
EDN3	-0.39425
GMIP	1.3855
SF3A2	0.76975
FN3KRP	0.1415
SMAD7	0.85525
RHBDD2	0.10625
OR11H6	-0.363
PPP1R3B	0.2481
C9orf23	-0.14525
CADPS	-0.3805
GOLGA8A	-1.667625
TMEM57	0.6625
RGL3	-2.392
S100A14	2.19325
FGFR2	-1.5021875
XRCC3	-0.8715
RTN4RL2	0.31475
MGC3771	0.0965
GH2	0.0346666666666667
BTBD2	-0.326
LMO2	0.27125
RDBP	-0.685625
ACRBP	-0.63375
AMY2A	1.5925
DUOXA1	0.677
PTK7	-0.6355
TWF2	0.304
FAM80A	-1.303
TNNI2	-2.171
GLT25D1	-0.351
OCC-1	-2.19175
CYC1	-1.199
RPL22	-0.225090909090909
MORN3	0.6235
DISP1	1.217
PRB2	0.21
CHUK	0.163
HR	-0.722875
CCDC134	0.00225
DENND4B	0.24225
C14orf130	-0.06625
RAB33A	-0.01875
DCST2	0.3575
TNMD	0.307
PEX7	1.14675
FAM62A	0.01225
SRD5A2L	0.78925
IL22	-0.22725
RPS26	-0.737833333333333
HOXC5	0.2345
SPATA6	-0.07025
FLJ38482	0.315375
ZNF234	1.4375
C18orf22	0.224
SPATA22	0.26375
THOC1	-0.61
CYP7B1	1.819
KCNC3	-0.06125
C8orf42	-1.54
ALDH1B1	0.0935
CCDC100	0.0544
ARMC4	-2.69675
FAM18B2	-0.05925
SLC44A1	1.085
FBXO17	-1.94033333333333
C6orf107	0.04425
C19orf29	0.148
ZC3HAV1L	0.00775
PARP6	0.3967
SULT2A1	-4.074125
C1orf159	0.429
TMC1	0.4445
CHST14	-0.1
GAMT	-2.71133333333333
SMCP	0.132166666666667
TSPAN33	1.17058333333333
MIDN	-0.209375
NOX4	3.05425
RNASEN	0.1168
TBX1	-2.25283333333333
SALL2	-0.411
C10orf35	2.17475
CYP2E1	0.579875
LRFN2	1.67
ACO1	-0.825166666666667
IQCG	0.6945
MEGF9	0.78125
TM7SF4	2.74125
PLEKHA1	0.836866666666667
STK33	-1.88875
C1orf210	1.3225
SNUPN	0.0533
KIAA0406	-0.752
C20orf29	0.34275
TMEM55B	0.154
OSTM1	1.2410625
CLCN7	-0.478
OTP	0.2295
FLJ23049	-1.08475
HEATR4	0.1165
MAP3K10	0.565833333333333
PCDHGA9	0.444
AMDHD2	0.0135
LCTL	-2.1245
PDCD2L	-0.81125
CABLES2	0.19825
SLC5A9	-0.55825
CLCA2	-1.0645
MGC16025	1.8685
STRAP	-0.337
C20orf196	0.1545
RRBP1	0.0996666666666666
NAT13	0.02425
MAT2B	0.836125
CSNK1D	0.0318333333333333
KIR3DL1	0.28575
PRKAG3	0.6955
ZNF599	0.482
PRM3	0.3175
PER2	1.3175
ASPHD1	-1.5335
PRMT6	-0.55475
KCNE1L	-0.541285714285714
FAM118A	-0.899166666666667
TAF4	-0.3045
NDUFB6	-0.12825
TRIM9	-1.29625
PMFBP1	-0.1765
KY	0.4045
DKFZp762E1312	-2.04381818181818
CSMD1	-1.4715
TBP	0.217166666666667
OR1Q1	0.296666666666667
RETNLB	0.322
HPGD	0.939428571428571
DNAJC12	2.587
FKBP1B	-2.3195
ANKRD24	-0.420833333333333
CXXC5	1.096
IL3	0.281125
DRAM	1.7299
PTCH1	-1.47775
TP53BP1	0.1195
SLC17A7	0.315625
COL25A1	-1.0627
AMACR	0.833166666666667
RHCG	-0.14575
VPS13A	-0.341583333333333
FAM55D	0.7935
PRPF38B	-0.557
OSBPL6	-0.56125
PFDN5	0.0626
CMTM6	0.860125
KCNK12	-1.557
RP2	0.72525
C16orf52	-1.5645
PICK1	0.0115
IFNE1	-1.17883333333333
SEMA4B	2.18025
TYRO3	-2.88725
OR12D2	0.19
CSNK1A1	0.251
FANCF	-0.26275
LONP2	0.21625
TBL1Y	1.3445
LDOC1L	0.03025
CCNC	1.952
C3orf60	-0.273
CHKA	-0.72075
UBAP1	0.471
MAP3K1	1.261
ANKRD9	-2.0275
FAM92A1	0.005
GAB2	1.30325
AZU1	-0.4395
DIS3	-0.18525
C21orf109	-0.632
IQCB1	-0.04425
SPATS2	-0.213666666666667
EFCAB3	1.45375
PRB3	0.044125
FUZ	-0.175166666666667
ZNF813	0.6045
BMPER	-1.07066666666667
HEG1	0.29775
ALS2CR11	-0.7385
SURF2	-0.6355
PSMC1	-0.203916666666667
OR2D2	0.293
SLC7A8	1.48616666666667
C4orf40	0.0975
SPATA7	0.01425
MAZ	0.3965
PIN4	0.18375
PDE1A	-1.29525
TAF6L	-0.219333333333333
OR2T34	0.2405
KIAA0284	0.16325
ACADS	-0.476181818181818
MKRN2	-0.591
C18orf56	-1.89825
MS4A6E	0.195333333333333
GALNT4	0.171
C22orf31	0.2405
FLJ36070	0.2695
PSME4	0.12275
TFG	0.2397
EPHX2	-0.44925
ANXA5	-0.166375
KRTAP1-1	-0.4011
BATF	2.599
KARS	-0.451
MSTP9	-0.695
