Hybridization REF	TCGA-A2-A0CX-01A-21R-A00Z-07
C1orf159	-0.8695
TMC1	0.2045
CHST14	-0.293375
GAMT	-2.67216666666667
SMCP	-0.383666666666667
TSPAN33	0.161166666666667
MIDN	0.09175
NOX4	3.739
RNASEN	0.3778
TBX1	1.28116666666667
SALL2	-0.9705
C10orf35	1.2455
CYP2E1	-0.66925
LRFN2	2.797
ACO1	-1.46683333333333
IQCG	2.3883
MEGF9	2.217
TM7SF4	0.94225
PLEKHA1	0.8198
STK33	-2.99775
C1orf210	1.38875
SNUPN	-0.3369
KIAA0406	-0.3115
C20orf29	0.4835
TMEM55B	-0.453
OSTM1	-0.344125
CLCN7	-0.4555
OTP	-0.09275
FLJ23049	-0.918333333333333
HEATR4	-0.0765
MAP3K10	-0.698
PCDHGA9	-0.3175
AMDHD2	-1.38777878078145e-17
LCTL	-1.317
PDCD2L	-0.58725
CABLES2	-0.74525
SLC5A9	0.279
CLCA2	6.00583333333333
MGC16025	0.5
STRAP	-0.480333333333333
C20orf196	-0.268
RRBP1	0.9745
NAT13	-0.094
MAT2B	-0.562375
CSNK1D	-0.467666666666667
KIR3DL1	0.32225
PRKAG3	2.3265
ZNF599	-1.5785
PRM3	0.5925
PER2	0.556833333333333
ASPHD1	-1.742
PRMT6	0.20025
KCNE1L	-0.975714285714286
FAM118A	-0.0178333333333333
TAF4	0.0725
NDUFB6	-0.31625
TRIM9	-0.8885
PMFBP1	-0.1525
KY	0.5395
DKFZp762E1312	-1.62509090909091
CSMD1	0.91325
TBP	-1.55866666666667
OR1Q1	0.173
RETNLB	0.573
HPGD	1.99978571428571
DNAJC12	0.928333333333333
FKBP1B	-1.2185
ANKRD24	-0.473166666666667
CXXC5	-0.0483333333333334
IL3	0.41025
DRAM	1.3496
PTCH1	-1.608
TP53BP1	-0.26625
SLC17A7	0.419875
COL25A1	-1.0164
AMACR	1.47516666666667
RHCG	0.27275
VPS13A	-0.190416666666667
FAM55D	-0.255
PRPF38B	-1.04225
OSBPL6	0.8885
PFDN5	0.1943
CMTM6	1.69125
KCNK12	1.752
RP2	-0.213
C16orf52	-1.36225
PICK1	-0.2355
IFNE1	-0.086
SEMA4B	0.17375
TYRO3	-1.4155
OR12D2	0.6635
CSNK1A1	0.00364999999999998
FANCF	0.654
LONP2	2.164
TBL1Y	0.8545
LDOC1L	-0.281875
CCNC	0.15775
C3orf60	-0.5855
CHKA	-1.37875
UBAP1	-0.053
MAP3K1	1.269
ANKRD9	-0.78425
FAM92A1	-0.684
GAB2	-0.274125
AZU1	-0.71775
DIS3	-0.645916666666667
C21orf109	-0.40375
IQCB1	-0.42975
SPATS2	-0.180666666666667
EFCAB3	-0.2005
PRB3	0.34
FUZ	-0.314666666666667
ZNF813	0.209375
BMPER	-1.34216666666667
HEG1	0.085875
ALS2CR11	-0.7445
SURF2	-0.12975
PSMC1	0.0674166666666667
OR2D2	0.398
SLC7A8	1.18033333333333
C4orf40	3.3775
SPATA7	0.14325
MAZ	-0.480333333333333
PIN4	0.1255
PDE1A	-1.01175
TAF6L	-0.368333333333333
OR2T34	0.389
KIAA0284	0.1885
ACADS	-1.68945454545455
MKRN2	-1.3705
C18orf56	-2.142
MS4A6E	-0.250833333333333
GALNT4	-0.2655
C22orf31	0.984
FLJ36070	-0.1835
PSME4	1.15925
TFG	0.1273
EPHX2	-2.50725
ANXA5	-0.236
KRTAP1-1	-0.1865
BATF	2.478
KARS	-1.649
MSTP9	-0.329
GPR26	3.04525
CCDC72	0.3265
TEF	-0.118333333333333
FOXK1	-1.0942
PRLHR	-1.3295
EMX1	1.28875
C11orf30	-0.5225
ICK	0.53325
THSD7B	-0.21775
C21orf100	-2.0085
DUOX1	1.2315
EFCAB4B	-0.61975
UBE2G2	-0.785666666666667
C3orf54	-0.16225
PARP1	0.41175
FAM60A	-0.7635
C6orf146	-0.437
OR9K2	0.1105
DDX55	-0.535166666666667
RPS15	0.138
ZNF618	0.8131875
DKFZp686D0972	0.862
SSPO	-0.8265
SHFM3P1	-0.553166666666667
CPA6	-0.80125
JAG2	0.07925
DEFA3	-0.097
PPBPL2	0.967333333333333
CD34	4.137625
SLCO4A1	-3.474625
AFG3L1	-2.36266666666667
SHD	-0.365
RP13-122B23.3	-1.044
PRKCSH	-1.14566666666667
DPH5	-0.3745
HLA-F	1.843125
TBC1D4	-0.33075
RIG	0.1035
GLUD1	0.0423333333333333
HNRPCL1	0.568125
HBXIP	-0.84475
RNF207	-0.693
APIP	-1.08925
PLA2G3	-2.8542
CCDC84	-2.3755
MYLIP	-0.00123076923076921
PHIP	0.25125
AARS2	-0.302166666666667
DHX32	0.94725
SCAPER	-0.869333333333333
MEN1	0.065625
NIP7	-0.89825
FLJ25404	0.1845
FASTKD3	0.513
TMEM158	-2.21725
RARA	1.6095
BDH1	1.4675
ANKRD16	0.35625
CARM1	0.7135
SS18	0.154166666666667
IKZF2	-0.55225
MYD88	1.348
PML	0.1736
TAF1A	-0.29025
CBFB	-0.755875
HIST1H3H	-0.00549999999999998
C7orf29	-1.9205
COMMD4	-1.13616666666667
DPP3	-0.41475
DAB2	0.640375
LOC388882	0.248
YPEL4	-0.527375
AGBL3	0.192
LRP6	0.5424
SERPINH1	-0.186916666666667
TLE1	1.14325
CD244	0.654
ZDHHC15	-1.35733333333333
MGLL	0.1019
PLDN	-0.415916666666667
LOC654346	2.3775
FAP	3.084
GPR37	0.3905
SCARA5	-1.01666666666667
EBF4	1.73836363636364
LSM6	0.334
MLLT1	-0.4166875
SLC5A12	-0.5335
A2BP1	-1.251
COPS5	0.336
TPM4	0.758285714285714
TNFSF4	2.93416666666667
ACADSB	1.97288888888889
HERPUD1	1.35425
BCL2L11	-0.128611111111111
CEP78	-0.918625
CDCA3	-0.798375
WBSCR19	-0.596
MYO1A	-1.9795
PPEF1	3.38766666666667
LOC440348	-1.1445
CPEB2	-0.103625
BPTF	-0.135583333333333
RPL21	-0.126625
GSX2	0.6045
ADPRH	1.104
C17orf68	-0.134833333333333
KCNS1	-0.542
MLLT6	-0.2301
PIWIL4	-0.303
RNF26	-0.44125
RAP1B	0.52675
ADAMTS1	-1.5064
ZNF571	0.225
P2RY6	1.35375
TRIM21	1.13833333333333
CADM3	-0.01475
NLRC5	0.7105
ADRA2B	-0.137666666666667
LOC90835	-0.57825
PCF11	-1.922
LOC400451	0.433
GLTSCR1	-0.1828
C17orf88	-0.5245
CDH16	-1.9255
FGF7	2.22
PCSK4	0.794666666666667
NPC1L1	-0.642
TAT	1.2745
TBCA	-0.788
MGC33407	0.0265
GPR115	-0.099625
CYGB	-0.2655
FNBP4	-1.46133333333333
C12orf43	0.05325
CBL	-0.6631
CLECL1	-0.16575
PPAPDC1A	2.787
WDR25	-0.5125
SGCA	0.3595
C22orf29	0.889333333333333
YIPF1	2.2455
GALK2	-0.5905
RAB3B	-0.415333333333333
LOC440087	-0.1095
UCP1	0.0225
REEP5	1.445
FADD	-0.7389
FOXA1	3.2175
CACNA1A	-0.033
ABI1	-0.296166666666667
GRIN2D	-1.0555
SLC1A4	-0.161166666666667
LOC401127	-0.375
HINT2	-0.082
PLD4	-0.241333333333333
ZNF286A	-0.67575
ENY2	0.35875
IL1F6	-0.151
PXDNL	0.853
C20orf79	0.131
TNFSF13B	4.199
DENND3	-0.5175
JARID1D	-2.50025
HIST1H2AK	0.75225
LOC93349	0.0883
SSH1	-0.2405
ENSA	0.2205
LOC219854	0.15
CKAP2	-0.2827
DKFZP564J102	-0.0581666666666666
MGC87315	0.8715
HNRPAB	-0.8345
AMH	-2.071
ZNF526	0.8455
BRUNOL5	0.1026
CACNG3	0.325166666666667
TRPM1	-1.856
PPP2R1A	0.05
COL2A1	-1.04025
DDN	0.0486666666666667
FLJ25770	0.8884
HK2	-0.388785714285714
ELOVL6	-0.725875
MDK	0.407
EPHX1	0.60525
RASSF2	0.444125
DKFZP434B0335	-0.097
DLX3	0.162
PRTN3	-0.34075
AVPR1A	0.40575
C21orf125	-1.763
TNFAIP8	-0.1185
GNB2L1	-1.22225
CALCRL	2.255
SCGB2A2	8.33833333333333
UBXD7	1.02
ZNF674	-0.78
TMEM35	-0.221875
BRSK2	-0.696875
HECTD3	-0.7895
TMEM188	-0.823909090909091
LGALS9	2.39175
SCARB2	1.4155
USP34	0.567
C17orf28	1.45683333333333
ZDHHC23	-1.16425
AQP12B	-0.828
SLC16A3	-0.92275
APLP2	1.098
ITIH2	-4.87775
MICAL3	0.05025
TNNI3K	0.2107
HDAC2	0.5535
PRR7	-0.7887
THBS2	1.220875
LOC751071	-0.368833333333333
CA2	0.1715
RANBP17	0.302
RLN3	0.28975
CRYZ	-0.360333333333333
GBAS	-0.009
TAS1R1	-0.236
MPZL3	0.4705
PCDH8	-1.81166666666667
HSP90B1	0.668583333333333
KCNK15	-0.7525
TNIP2	-0.166666666666667
GPR146	-0.733
NOL6	0.0385
SPC25	-2.68033333333333
STEAP2	2.19564285714286
VAMP3	-0.2245
TCIRG1	0.167
ZP4	-0.80875
PARL	-0.085625
TRIM39	0.0988333333333333
KIAA1305	0.49125
CRNN	0.472333333333333
GRN	-0.0845
HSH2D	-0.894
SCAMP1	0.5926875
KIAA1913	1.20125
PTS	-0.228
BANP	-0.235642857142857
PRKACG	-0.4345
ADCY6	-0.106666666666667
C16orf46	0.51
CYP51A1	-0.582875
DDC	2.45525
ANPEP	-0.6725
PROM1	3.55016666666667
SIGLEC10	1.117
COPG	0.993
FAM26E	1.25925
TRIP4	0.12675
SNX3	0.0991666666666667
C1orf175	0.363166666666667
PPY2	-0.07875
C14orf152	0.02575
FTSJ1	-0.930333333333333
DST	0.0346
LOC554235	-0.097
GLRX5	-0.23275
C20orf12	0.6415
CAB39	-0.101166666666667
MSH2	-1.02916666666667
PIP4K2C	1.3385
CYLD	0.890375
WTAP	-0.5111875
MGAT4A	2.99322222222222
TSC22D4	-0.969
CHRM2	-1.6195
PPYR1	0.338166666666667
CCNH	-1.12566666666667
RRM1	-0.77025
ECAT8	-3.52475
LOC400120	0.07325
GABRA4	0.042
C14orf4	0.4
C1orf59	0.592
CTDSPL	1.18183333333333
NHEDC2	-0.8095
PDE11A	-1.10475
KLHL29	-1.24475
CD5	-0.3843
TSPAN9	1.7603125
WDR67	1.189
THUMPD1	1.7803
C18orf17	-0.70975
CLYBL	-0.764833333333333
FLJ13231	0.158625
CMBL	2.179125
LECT2	-0.37
NKAPL	1.6
LOC654780	0.7195
OR4C6	0.1925
RAB30	1.2895
TSSK4	-0.266
TMEM163	-0.422
OSBPL11	0.56475
GNB5	-1.33383333333333
CCL21	0.464
C1orf121	0.661
FMO2	1.71833333333333
RPTN	0.172
MSTN	-1.637
VCL	0.0771428571428572
FYTTD1	0.96925
C11orf1	-0.1525
CCDC88C	0.9088125
HFE	-0.2785
MOGAT1	1.02
FAM125B	-0.353833333333333
IRGQ	-0.2975
RAVER2	-1.8845
AKAP5	-0.1885
SSSCA1	-1.09825
C11orf63	0.2225
ACTG2	2.2913
PORCN	-1.506
DTL	-0.493909090909091
TMEM151	0.3575
FAM122C	-1.05125
RSAD2	3.4906
BAT4	-0.6875
KRTDAP	-0.3745
MYH8	1.10285714285714
CRTC3	0.016
LRRFIP2	0.4463
INTS4	-0.786
TTN	-0.9475
SLC26A5	0.948
PLLP	-0.971
RGS6	-1.57357142857143
SRGAP3	-0.447875
ZNF525	0.551333333333333
NBR2	-0.628166666666667
C13orf1	-0.3961
ZNF137	0.499
CEP27	-1.59725
BEST2	0.3505
RNF121	-0.60475
DMRTC2	0.0393333333333333
C8orf76	1.012
BCCIP	0.613125
MEST	0.06975
HTRA2	-0.4035
ANGPTL2	0.62375
ILKAP	-0.0653333333333333
ERAS	0.021
HBS1L	0.11175
CPA5	-0.1705
TMEM30A	0.52
CD300LF	1.84266666666667
WISP3	0.7295
CRK	-0.227285714285714
PDS5A	0.0147
BRPF3	0.321666666666667
NEDD9	1.24725
SMPDL3B	0.571
PSG6	-1.39575
PSMD13	-0.20975
ETV5	-1.1898125
OR51A4	0.365
BTBD7	0.870833333333333
GSTO1	-1.280125
hCG_16001	1.391
MAD2L1BP	-0.3455
COX6A2	-0.879
SCNN1A	1.19766666666667
LSM1	0.465166666666667
UGT2B11	-1.63625
IDUA	0.231
PPP2R3C	-0.886
COX11	-1.81033333333333
PDZK1	-4.146
ZNF443	0.275166666666667
MGC21874	1.18116666666667
ZNF323	-0.289
KRTAP10-10	0.392
CXCL6	-0.72075
SLC34A2	0.504
LOC284402	0.0345
NPTN	0.518083333333333
UPP1	-1.90983333333333
SLC6A9	-0.043
OR7G3	0.093
CISD1	0.144333333333333
ZNF545	-0.7285
SYT14	-0.116
NT5C3L	-0.00599999999999998
ZNHIT3	1.22216666666667
SNRPD3	1.21125
KIAA0701	0.50675
UNC93B1	0.0206666666666667
GMNN	-1.11925
SPCS2	0.0545
LOC388524	-0.81
NAPRT1	-0.69725
PNLIPRP1	0.28475
OR6V1	0.686
PRKAB1	-0.571
EYA4	-1.4595
KIF20A	-1.4335
ALG10	0.52075
ITPKC	0.557666666666667
LMX1B	0.485333333333333
RPUSD4	-0.215666666666667
C7orf34	0.125333333333333
DLGAP2	0.752142857142857
PFN1	-0.689
MICALL2	-0.87
ZNF654	0.7505
SS18L1	-0.936875
SLC16A8	0.4055
MKI67IP	0.571333333333333
ITGB3	0.558
TCEA3	1.39966666666667
CEP152	-1.34093333333333
CLIP1	1.068625
ZNF75	-0.13475
ATP5C1	-0.5935
NUDT5	-0.780666666666667
PSCDBP	1.271
UBP1	0.47875
RBM27	-0.045
C13orf15	2.379875
ZNF282	-0.861833333333333
ZNF222	-0.3675
COL10A1	6.52525
PRDM15	-0.213
TTTY5	0.533
FAM9C	-0.423909090909091
C20orf67	-0.198
GNG13	1.39
F12	-1.95925
C1orf41	0.258
CPXCR1	0.129
GSK3A	-0.061625
SUPT6H	-0.315833333333333
PI16	-1.60966666666667
ELL2	-1.39525
C9orf167	-1.699
PVRL3	-1.9313
FLJ38596	-0.26175
ADAM20	0.617
GPR89A	0.7635
GPR87	-0.4765
ZNF30	-0.091
SMR3B	1.02025
ZNF770	0.474
TRPC4AP	-0.845166666666667
DKFZP686E2158	0.429833333333333
C2orf28	0.0956666666666667
FREM1	-1.71033333333333
LAMA4	0.561166666666667
ADPRHL2	-0.35225
EIF4G2	0.419333333333333
GUCA1A	-3.656
CTNNA2	-1.23042857142857
NUDT15	-0.226166666666667
CEPT1	-0.744666666666667
ZNFX1	0.4918
CCDC92	0.86425
TDRD1	-0.142
KCNK5	-1.05633333333333
ETNK1	-0.794166666666667
LTA	0.521
TTPA	-0.069
B3GALNT2	1.39025
SC65	-0.305833333333333
PEX5L	-1.001125
EPS15L1	-0.933
MGEA5	-0.28725
HIST1H3A	1.231
ING1	-0.167125
BCAT1	-2.27425
ORC6L	-1.53290909090909
KLK11	-4.81783333333333
C19orf28	-1.234875
DNER	-4.045375
MED22	-0.446142857142857
ETV6	1.36725
CHAC2	-1.35025
CD300E	-0.098
CEBPB	0.658666666666667
ZNF398	-0.8395
LRCH3	0.0985
HMGA1	-1.52233333333333
CAPN7	0.850666666666667
MGC5566	-3.91475
CCL3	3.434375
NANOS1	0.132125
ZFYVE19	-0.93675
APITD1	-0.7515
PARD3	0.763625
IRAK4	0.2775
SERPINI2	-0.2535
CEP170L	-0.216
TTC9	1.745875
MYOM3	-2.10625
MLPH	0.225625
LOC222699	0.106
NRG1	-0.830166666666667
TBC1D9	1.42790909090909
TTK	-0.879
ZNF557	0.625
DDX41	-0.932833333333333
FANK1	1.3685
UBE2D2	-0.686625
PSMB10	0.51575
MYH7B	-0.644
GABARAPL2	-0.374875
MARVELD2	1.79833333333333
DGCR2	0.994166666666667
UNC45A	-0.808666666666667
C6orf72	0.0335
ZNF683	4.15425
GIT2	0.07975
CASK	1.497
C14orf161	4.42166666666667
LRRC44	-0.3
TIFA	0.08
UTP11L	0.094375
C6orf65	-0.37725
FDPS	0.31075
DUSP9	-1.1075
SLC17A8	0.655
OR51G1	0.371833333333333
NANS	0.04
OLFML1	1.87925
ATP10B	-0.951571428571429
NPAS3	-0.2295
PRKCA	-1.9256
GGA2	0.118
LCE4A	0.5235
SPANXN3	0.829
CCDC115	0.5595
SDCCAG3	-0.92275
GLIPR1L1	-0.852333333333333
TTC1	-1.0405
C17orf76	-0.30975
MAD2L2	-1.40375
HIPK1	-0.7975
LRRC3B	-0.0741666666666667
CLN3	-0.157636363636364
C17orf47	0.6515
FMN2	-1.673875
TUBB1	-1.22175
WAPAL	0.237666666666667
C3orf21	-0.66975
SCN5A	0.0222222222222222
SMYD1	-0.043
BEX5	1.42575
ZNF192	0.134
SEC22A	0.488666666666667
GRIA2	0.345
KIAA0825	-1.22725
NUSAP1	-1.83318181818182
LANCL1	-0.6125
C15orf40	-1.0509
ZNF645	0.088625
GPR61	0.111
NLRP14	0.3645
SNX21	-0.3012
C1QTNF8	0.4075
C17orf46	0.66475
IFNA8	-0.2215
SPRR1B	-1.5735
FLRT1	-0.3845
SNX17	-1.299
ASB2	-0.2365
HBG1	-4.9705
RPRML	1.151
JOSD2	0.313
PLSCR3	0.025
SPOCD1	0.629333333333333
RAB39	-0.235
GHRH	1.75683333333333
ITIH5L	0.130666666666667
C17orf37	3.479
SMCR8	0.27675
DPY19L2P3	-1.26066666666667
IL11RA	0.0278333333333333
GDF3	-3.28233333333333
RPS6KB1	-0.269916666666667
DNAJC19	0.337
TOP1	0.14325
CRCT1	0.182285714285714
MPST	0.6035
DPM2	-0.065
FAM38B	-1.94716666666667
SLC18A1	-1.83083333333333
FARP1	-0.241833333333333
PAX7	0.18175
TUBD1	0.844
GNL3	-0.400625
BTG2	2.3036
NDUFS6	0.69975
C1orf79	-1.795
ERAL1	0.448
ECHS1	1.187
VPS4A	-0.693833333333333
CYP11A1	-0.512
ABCC6	0.541214285714286
PBX4	-0.899
MOSC1	2.078
NCF4	-0.4135
HYMAI	-0.186
NAGPA	-0.612125
OTOP2	0.35275
ACOT12	0.159
MTHFD2L	-1.438875
LOC441376	3.778
C19orf34	-0.603
RAB1B	-0.6235
ALDOAP2	-0.018
NTRK1	-1.21483333333333
ARTS-1	0.1852
SLC6A11	0.366
NAP1L2	0.1855
CNGB1	0.152666666666667
EPB41L4B	-0.2125
FAM134B	-0.073375
HS3ST3A1	-0.0721666666666667
CPXM2	5.6525
SIRPB2	1.1905
CHORDC1	-0.8955
TRIB3	-0.980166666666667
SLC2A5	1.757
C2orf49	-0.082
DDX5	-0.57025
OR5L1	-0.2945
ANAPC4	-0.6315
ZSWIM1	0.975125
LOC93622	-0.158
KCNK3	0.027
RP11-35N6.1	-2.328125
ZFP161	-0.221333333333333
AQP9	4.589
SLC15A2	1.43816666666667
MREG	0.00733333333333334
OR9I1	-0.0355
PDLIM2	0.334625
ADAM7	0.3955
GSTCD	0.843666666666667
WDR21A	1.316375
SLC12A8	1.68766666666667
TMEM174	0.26025
IGSF3	0.9125
LRRN1	0.26275
LOC402117	-0.5845
SRPK1	-0.797333333333333
LY6K	-1.7243125
NFIA	3.805
PTCD3	-0.39025
LEP	0.877833333333333
PCDH21	-0.0523333333333333
MAPKAPK2	0.575142857142857
NMNAT1	-0.5875
LHFPL2	0.595
C9orf43	0.4815
DIP2A	-0.457
ACTR8	-0.376125
CCDC34	-1.26475
PTPN22	-0.78375
ITGA3	-1.2665
FAM129C	0.19025
RABGGTA	0.0461666666666667
UNC45B	0.6995
KIAA1033	0.62675
ZNF510	-0.551666666666667
CYP2D6	-0.0966666666666667
SLC26A10	-1.821
STX8	-0.5065
LUZP1	-0.11725
WDR89	0.250833333333333
EIF4G3	0.00910000000000002
C5AR1	1.77975
ZNF623	-0.6065
A2M	0.788
TGM7	0.0905
GRPEL1	0.439333333333333
LMNB2	-0.7274
ROCK2	0.5065
SNX16	0.16975
CCDC66	-0.0615
ANXA3	-1.876
KIAA1609	0.157125
EED	-1.5505
RNF32	-0.953333333333333
HES1	9.9999999999989e-05
CLC	-0.168166666666667
ISL1	-0.243166666666667
KIAA0528	0.01725
MANEA	-0.364625
C1orf61	-1.635
hCG_2001000	1.5475
RAPGEF6	-0.5435
KIAA0020	0.458666666666667
NEIL1	-0.39825
C16orf45	1.814625
RBM10	-0.273666666666667
C10orf125	-1.179125
MRS2L	-0.276
DNAH17	-0.983428571428571
C19orf10	-0.5595
C1orf160	0.163
SLFN12	1.64825
EXOC3	0.583666666666667
HIST3H3	0.71275
NCOR2	-0.0615
TNFRSF9	1.29875
MFSD8	0.27425
ALX1	-2.3985
NOL1	-0.38775
PODN	1.91725
TIAL1	-0.31425
HIST1H1E	0.949
NPY6R	0.215
TM4SF4	-0.14275
CORO2A	0.728
ETNK2	0.01
APOE	1.2395
ANGPT4	-0.682
HDGF2	-0.97375
G30	0.364
ST8SIA4	0.000374999999999986
F2RL1	-0.328875
FAM19A4	-4.07975
CCAR1	0.0875
B3GNT7	0.28975
OPHN1	-0.6432
DSCR6	3.574
C21orf13	1.1785
GAS2L1	0.360833333333333
RFX3	-0.133166666666667
COPS4	-0.578125
BCHE	-4.73133333333333
BCL2	-0.77325
HBZ	-3.419
ARL13B	1.0915
MAPBPIP	1.855875
MYO15B	-0.841125
SPZ1	0.1215
KIAA1324	3.08177777777778
PLCL2	-0.5095
C4orf29	-1.04975
WDFY2	-0.6825
ZNF284	-0.3425
NAALADL1	0.4545
DUSP5	1.83833333333333
PXDN	1.067625
SLMO1	-1.276
TNXB	0.0277
BIRC7	-0.59075
A4GALT	0.0156666666666667
TIMM22	0.2855
FAM110C	1.4435
TOMM34	-1.002625
ABHD9	0.101
ADAM32	0.194
CRHBP	0.069
AQP2	0.316625
LOC130355	1.734
ZNF187	-0.5105
ZNF816A	0.264
F7	0.59975
CNOT1	0.0227
SLC13A4	0.524
ZBTB11	-0.18875
B3GALT5	0.931333333333333
EXOC2	0.527166666666667
IRS1	-0.2658
TMEM1	0.149666666666667
MRPL34	-0.454666666666667
SAMM50	0.2235
CDC42EP3	0.07525
HSF2	-0.6269
MFN2	-0.36875
TSPAN7	-2.555
NUCB1	0.253416666666667
RHOH	0.315
ARL16	-1.331
TACR1	0.703333333333333
SFRS5	-0.939333333333333
SNX25	0.975375
RHBDF1	0.466666666666667
PCDH18	1.49666666666667
HMG1L1	0.642
MYO5C	-0.01075
MAPK10	1.047
LDHAL6A	0.8272
NUDT12	-0.526333333333333
NCAM1	0.166625
GLIS2	-0.3155
GGTL4	1.857
DAPP1	0.40725
ATF7	0.6635
KIAA0748	-0.24425
NFIL3	0.233
TM6SF1	0.3395
SEZ6	0.394375
NANOS3	-0.336166666666667
DNAJA3	-0.00366666666666666
CLDN6	-1.641
CIITA	2.8034
EPHA4	-0.565
FANCC	-0.29875
CMTM3	0.047625
PSG3	-0.463875
MRPL15	0.38075
C21orf59	0.21525
PLCXD2	-0.972333333333333
C2orf34	-0.427
UBE2L6	1.402625
MED14	0.0146666666666667
HP1BP3	-0.9563
C6orf208	-0.1185
TPBG	-0.994
OSR2	0.45625
XPC	-0.4775
KLHL7	-1.15025
CCR3	-0.2894
AGTPBP1	-1.81183333333333
PCSK6	-0.0730666666666667
STAT5A	-0.6542
FAM18B	1.4155
LONRF2	-3.45416666666667
PTPN2	-0.01275
SF3A3	0.289666666666667
EFCBP2	0.316
HCFC1	-0.892166666666667
AHNAK	-0.1263
ACTR5	0.20775
KIF14	-1.304
TENC1	-0.17275
HEATR5B	0.7795
YIPF2	0.290333333333333
MYEOV2	0.687666666666667
DUSP18	1.365
KIAA1012	0.5075
AHR	-0.339
C17orf53	-0.940666666666667
PTPRH	-3.35825
ATP6V1C1	-0.0597
TAS2R3	0.801
LOC440356	0.12375
COQ10B	0.197
PSMF1	0.353416666666667
SORBS2	0.778333333333333
NFE2L2	-0.29375
TMCO7	-0.14825
SH3PXD2A	0.3796
SH2D2A	-0.9455
SPINK5	-3.059
MRPS24	-0.43575
OPA3	0.05275
TRAF7	0.7285
C4orf35	-0.2344
MT1G	1.034375
MGC39545	0.850333333333333
HS1BP3	0.2672
OR2B2	0.75
CHRM4	0.1435
SFRP2	3.33991666666667
RIC3	-1.84733333333333
ART1	-0.542
C6orf1	0.175
DUS4L	-0.9665
C10orf104	-0.067
TNFAIP6	2.96
RTEL1	-1.17025
CCT4	-0.3023
ZNF709	0.3305
CHMP6	0.291666666666667
UPP2	0.355
CYP19A1	-2.188375
CD151	-0.868833333333333
NDUFA13	-0.181833333333333
ARFRP1	-1.22233333333333
FAM26B	0.93975
CRYBA1	-1.6475
MRPL41	0.764166666666667
NPFFR2	-1.24075
HRH2	-0.3355
SCAMP3	0.127333333333333
MTMR6	0.1738
MTG1	-1.07166666666667
UBTD1	1.31175
CRABP1	-1.7285
FLJ33790	-0.1405
KIAA1908	-1.0515
GPR158	-1.6675
PACSIN3	-0.796666666666667
OMD	3.35833333333333
CATSPER1	-0.467166666666667
HOXB8	-1.86675
FBXO46	1.3335
OAS1	2.0475
SVIL	-0.2585
PHB2	-0.77025
ADCY3	-0.107
NDRG2	0.102
ERMAP	0.7449
APBA2	-1.09483333333333
IGSF9	3.756
WNT6	0.297714285714286
MYCBPAP	-1.16475
ATP2B2	-0.4888
CPVL	-0.3803
TRAM2	-0.822916666666667
NOP5/NOP58	0.60075
ZNRF4	-0.4425
TLK1	-0.143625
MTMR12	1.02042857142857
ZNF384	-0.237833333333333
FAM9B	-2.3755
RPN1	0.8685
PMVK	0.78475
EIF3D	0.2086
SIX2	-0.94275
HPS1	0.4785
RNF7	0.18825
PSKH2	0.212
KCTD13	0.217166666666667
CSMD3	-0.6081
FBF1	0.2595
IL8	-4.162125
SERPINB13	1.5014
FBXL20	2.422
BLR1	0.33425
SH2B1	-0.687166666666667
RFNG	-0.746125
RAB20	0.9625
RBM7	-0.83125
POLR1A	-0.185333333333333
TMPRSS4	-1.842
TAF9	-1.083625
TERF2	-0.404333333333333
TNFRSF1A	0.650583333333333
ACADVL	-1.13283333333333
GTF2H5	0.28975
EDG8	0.926
C9orf140	-0.215125
UST6	-0.03825
ZBTB8OS	-0.558
ZNF710	1.3725
GPR174	-1.5995
ATP6V0A2	-0.23125
KIAA0319L	0.497083333333333
XKRX	-1.43
DOPEY2	1.575
SDHD	-0.4795
SUMF1	2.35525
OSM	3.4545
OPN3	-0.908
DAGLB	-0.262666666666667
PPFIBP1	1.2143
TRIM63	-2.01425
C10orf53	0.772
LYPD3	0.473
BCL7A	0.36425
AGER	-1.17966666666667
TCF19	-1.14675
SAT2	-0.34725
PFTK1	2.115
GABRE	-3.188625
C15orf38	0.4171
FIS1	-1.1365
KCNV2	-0.124
CLPS	1.42375
PPCDC	-0.365375
FOXN2	0.774333333333333
NT5E	-1.6588
CD83	0.93525
IL18	0.72475
VPS16	0.37125
IGFBP2	0.221833333333333
NOTCH2	1.16375
SIGLEC1	2.16225
CD93	6.051
SULF2	0.0745
CEP164	-0.193125
P53AIP1	0.55
TOR2A	0.00783333333333332
ZNF136	0.6895
MGP	4.0875
CCDC144A	0.6825
TRPC1	-0.810666666666667
SMS	-0.452833333333333
MAPK7	0.516833333333333
RRAGC	1.299
PARD6A	-0.632166666666667
NUB1	0.351
SYNGR4	-0.35525
OR11H12	0.8675
WIF1	0.197428571428571
GCH1	0.47075
OR11H4	0.2265
SLC44A5	2.915
GPRIN2	-0.251
LOC401431	-0.219
CPA4	-1.3179
MELK	-1.479
IL15RA	0.82225
CUL3	0.255625
HMBOX1	0.1845
PODXL	-1.47025
CCT6B	0.343833333333333
COMTD1	-0.3305
MUC20	3.63633333333333
GPX2	0.42225
ITK	-0.178875
FBXL5	1.105
C13orf27	-1.08775
DEFA5	0.2895
TRHDE	-1.964
MTP18	-0.1505
UQCRQ	0.9581
ITGB2	1.17933333333333
