Hybridization REF	TCGA-B6-A0IA-01A-11R-A034-07
MRPL24	1.53575
GREB1	1.833875
FAM27E3	-2.446
NUP62CL	-1.83175
NEUROG3	0.9255
REEP3	2.04125
MARK1	-2.346375
LMBRD1	0.08
PRPF19	-1.1235
PNMT	-0.23
CTGLF1	-1.665
SLC25A16	1.26475
EIF2B3	-1.5085
RPA2	-0.46125
PAK6	1.85133333333333
CCDC26	-4.35071428571429
SEMA3E	3.7125
MXD4	0.2346
TNFSF10	3.1967
SMARCB1	-1.38416666666667
DTX3L	1.81583333333333
PLA2G4E	0.128
PPAP2A	-0.09375
ULK1	-0.697583333333333
TAS1R3	0.97
SLC2A3	-3.66336363636364
ARID3A	-1.84575
GNG5	-0.53725
ACOX1	0.6445
KIF5B	0.44675
NUP153	-2.079
MUC7	0.202
CSDE1	-0.474714285714286
CLPTM1	-0.25975
C3orf23	0.266
LRRC17	-1.76633333333333
TTYH3	-1.389875
ATP5B	-2.6525
ELF3	2.1326
CPSF3L	-0.605166666666667
ZNF665	0.0756666666666667
TLR6	0.2934
GPI	-1.540375
RAD9A	-0.730875
NDST4	-3.2935
AGPAT3	0.737833333333333
MAGI3	1.65466666666667
ADORA2A	-1.2975
CACNG7	0.33
CAMK2D	-2.102
CCHCR1	-0.3945
RPS27A	-1.5575
OR10G7	0.132833333333333
GCM2	-0.173
FAM135B	1.1658
E2F1	-1.1975
PLCB3	-0.5905
OR2AE1	0.442
COIL	0.0963333333333333
CDC25C	-1.46883333333333
RAB11FIP2	0.614083333333333
TSC2	-0.35275
CTGLF5	-2.523
CCDC108	0.8863
OR13C4	0.63725
C10orf81	6.18175
PTPRB	-0.2925
ACP2	-0.7025
LAG3	-1.558
MRPL54	0.57575
LOC201175	1.5275
ITGB1BP3	-0.4605
SPTAN1	0.2535
SIPA1L2	1.9545
RCAN2	-1.987
CDX2	0.156
ECOP	0.41025
ACTR1A	0.487714285714286
PPARG	-1.42016666666667
BBS10	1.058
TMEM44	-1.0515
BPIL2	-0.044
CITED1	1.522
IRF6	4.987
PRDM4	-0.285333333333333
RRP9	-0.621833333333333
OR10H4	0.77875
IL31RA	-0.795333333333333
GNB1L	-1.45183333333333
MYBL2	-2.33475
ZNF407	1.00083333333333
PPIG	0.59
TTC18	3.15975
RPSA	0.2005
MAPT	1.805375
MRE11A	-0.481428571428571
C8orf37	1.39166666666667
RASGEF1C	0.228
STBD1	-0.24675
CTAG2	-0.896333333333333
MGAT5B	-1.12116666666667
ECM1	1.713
RLN1	6.1815
PARP14	1.24625
EPB41L1	0.9499
HOXA3	-1.49041666666667
MAGEA9	-4.221
RPS8	-0.552
RPS19BP1	0.18725
FOXJ2	-0.121875
C10orf76	0.310125
IL17RE	0.7185
C10orf65	-1.42075
ZNF343	-0.453666666666667
FBXO33	0.140375
UHMK1	1.1454
LY6G6C	-0.15675
FGF19	-2.15125
C14orf128	-1.02983333333333
IFIT2	2.3355
TIGD1	-0.67975
S100G	0.5565
GUCY1B3	-0.5955
NR3C1	-1.9237
CORO1B	-0.581
PARP11	-0.0345833333333333
DNALI1	-0.0398333333333333
OR4N4	0.722875
MAP2K6	-1.4775
FSTL4	1.4445
ANKRD47	0.6405
TMEM171	-1.2305
PNLIP	0.51125
YY1	0.224333333333333
CCDC138	-1.759
AASDHPPT	-0.6563
CKS1B	-0.2884
MCM3	-1.53566666666667
ANAPC7	-0.864166666666667
FAM110A	0.948
CDC37L1	1.64816666666667
THTPA	1.1285
NBPF20	-0.276
WDR24	0.633
NPTX2	-1.971
CBLB	0.768
CETN1	-0.06
RPUSD1	0.51675
FAF1	-0.701
CDK6	-3.9487
HMX2	0.443
CSK	-1.29316666666667
TEAD2	0.0735
SNAP25	-0.20275
TUFT1	3.1645
TMTC3	0.939333333333333
LCK	-4.07575
SGOL1	-0.3855
AKTIP	-0.12875
FURIN	0.228625
SOX12	-1.22433333333333
DEFB103A	-0.60225
RAMP1	2.5255
KIR3DX1	-0.0475
GAS2L3	0.0125
PDE8A	-1.8763
EDN3	-1.01775
GMIP	1.27675
SF3A2	0.77575
FN3KRP	0.333
SMAD7	0.264
RHBDD2	0.64
OR11H6	-0.196
PPP1R3B	0.9764
C9orf23	-0.01525
CADPS	-2.47225
GOLGA8A	-4.673625
TMEM57	1.27633333333333
RGL3	0.155
S100A14	3.99525
FGFR2	2.3520625
XRCC3	-0.648
RTN4RL2	1.6545
MGC3771	3.961
GH2	0.620666666666667
BTBD2	-0.552
LMO2	-1.274
RDBP	-0.54775
ACRBP	-0.88725
AMY2A	-0.1185
DUOXA1	2.374
PTK7	-0.170166666666667
TWF2	-0.632666666666667
FAM80A	1.355
TNNI2	-2.52533333333333
GLT25D1	-1.93266666666667
OCC-1	-2.74475
CYC1	-0.7115
RPL22	0.0426818181818181
MORN3	2.53683333333333
DISP1	-0.116
PRB2	0.4415
CHUK	-1.15975
HR	-0.738375
CCDC134	0.609875
DENND4B	-1.30675
C14orf130	0.30925
RAB33A	-0.81475
DCST2	1.031
TNMD	-3.0455
PEX7	0.91875
FAM62A	-0.583625
SRD5A2L	-0.10325
IL22	0.7045
RPS26	-1.66333333333333
HOXC5	-0.6585
SPATA6	1.97
FLJ38482	-0.197375
ZNF234	1.413
C18orf22	0.48675
SPATA22	0.44525
THOC1	-0.812
CYP7B1	4.5135
KCNC3	0.08775
C8orf42	-0.4165
ALDH1B1	-0.485833333333333
CCDC100	-0.3134
ARMC4	-2.40933333333333
FAM18B2	-0.29625
SLC44A1	0.607
FBXO17	-2.7095
C6orf107	-0.33675
C19orf29	-0.18575
ZC3HAV1L	-0.50875
PARP6	-0.7006
SULT2A1	-4.30357142857143
C1orf159	-0.62625
TMC1	0.212333333333333
CHST14	-0.682
GAMT	1.06183333333333
SMCP	0.2284
TSPAN33	-0.496454545454545
MIDN	0.397875
NOX4	-0.25475
RNASEN	-1.2414
TBX1	0.477333333333333
SALL2	-0.6105
C10orf35	2.11875
CYP2E1	-1.41183333333333
LRFN2	2.33483333333333
ACO1	-0.888166666666667
IQCG	2.7801
MEGF9	1.49525
TM7SF4	3.21525
PLEKHA1	0.440333333333333
STK33	-2.85825
C1orf210	4.32275
SNUPN	-0.3255
KIAA0406	-1.5534
C20orf29	0.3785
TMEM55B	-0.697
OSTM1	-0.6220625
CLCN7	0.11375
OTP	-0.074
FLJ23049	0.5905
HEATR4	-0.4095
MAP3K10	0.7335
PCDHGA9	0.341
AMDHD2	-0.5435
LCTL	-1.0465
PDCD2L	-0.05325
CABLES2	-0.9855
SLC5A9	0.42125
CLCA2	-1.46416666666667
MGC16025	-0.6375
STRAP	-1.2685
C20orf196	-2.1625
RRBP1	0.302666666666667
NAT13	-0.11225
MAT2B	-0.46
CSNK1D	-0.780333333333333
KIR3DL1	0.90825
PRKAG3	-0.3485
ZNF599	0.0805
PRM3	1.8825
PER2	1.25666666666667
ASPHD1	-0.5925
PRMT6	-0.5395
KCNE1L	-0.383142857142857
FAM118A	-1.7645
TAF4	-0.87025
NDUFB6	0.226
TRIM9	-0.282083333333333
PMFBP1	-0.8855
KY	0.114
DKFZp762E1312	-1.53672727272727
CSMD1	-1.52475
TBP	-1.766
OR1Q1	0.411166666666667
RETNLB	0.2285
HPGD	-0.554153846153846
DNAJC12	2.76766666666667
FKBP1B	-2.7245
ANKRD24	-0.118333333333333
CXXC5	0.680333333333333
IL3	0.297571428571429
DRAM	0.0974
PTCH1	-0.8705
TP53BP1	-0.5215
SLC17A7	0.5015
COL25A1	-0.7729
AMACR	0.426666666666667
RHCG	-0.84
VPS13A	-0.91
FAM55D	0.3815
PRPF38B	-0.23475
OSBPL6	1.244
PFDN5	0.9092
CMTM6	1.378625
KCNK12	-1.96025
RP2	-0.11325
C16orf52	-0.54225
PICK1	-0.3995
IFNE1	-1.14833333333333
SEMA4B	0.24125
TYRO3	-0.89075
OR12D2	0.317
CSNK1A1	0.1163
FANCF	1.47075
LONP2	2.391
TBL1Y	-0.01025
LDOC1L	-0.034375
CCNC	-1.1195
C3orf60	1.01975
CHKA	-1.24
UBAP1	0.401
MAP3K1	3.3715
ANKRD9	-0.3845
FAM92A1	-3.757
GAB2	1.1395
AZU1	0.65675
DIS3	-0.785416666666667
C21orf109	-0.74325
IQCB1	-1.76975
SPATS2	-1.08216666666667
EFCAB3	-0.00624999999999998
PRB3	0.92775
FUZ	0.781666666666667
ZNF813	-0.185875
BMPER	-1.9394
HEG1	-0.227625
ALS2CR11	-1.57475
SURF2	0.583
PSMC1	-0.270416666666667
OR2D2	0.3885
SLC7A8	2.12583333333333
C4orf40	0.486
SPATA7	-0.17875
MAZ	-0.2775
PIN4	0.09
PDE1A	-3.016375
TAF6L	-0.2395
OR2T34	0.4205
KIAA0284	-0.0825
ACADS	0.801
MKRN2	-0.261
C18orf56	-0.79075
MS4A6E	0.0166666666666667
GALNT4	1.0836
C22orf31	-0.1105
FLJ36070	0.5905
PSME4	0.49225
TFG	0.0923
EPHX2	1.003125
ANXA5	-0.047375
KRTAP1-1	-0.0812
BATF	-0.93375
KARS	-2.703
MSTP9	-0.652
GPR26	1.17425
CCDC72	1.367
TEF	0.075
FOXK1	-1.2257
PRLHR	1.066
EMX1	1.1735
C11orf30	0.642375
ICK	0.22775
THSD7B	-0.68175
C21orf100	-0.304
DUOX1	3.4425
EFCAB4B	0.52625
UBE2G2	-0.403
C3orf54	-0.48375
PARP1	-0.10825
FAM60A	-1.22641666666667
C6orf146	0.544
OR9K2	0.616
DDX55	-0.770166666666667
RPS15	0.74775
ZNF618	-0.181375
DKFZp686D0972	0.021
SSPO	-1.373
SHFM3P1	0.139333333333333
CPA6	-0.81075
JAG2	-0.60475
DEFA3	1.1485
PPBPL2	0.282833333333333
CD34	1.522
SLCO4A1	-1.748
AFG3L1	-2.984
SHD	-0.01525
RP13-122B23.3	-1.53933333333333
PRKCSH	-1.01816666666667
DPH5	-0.550833333333333
HLA-F	2.11125
TBC1D4	-0.3515
RIG	-0.2335
GLUD1	0.801666666666667
HNRPCL1	0.070625
HBXIP	-0.11825
RNF207	-0.6285
APIP	-1.055
PLA2G3	-1.13683333333333
CCDC84	-1.3175
MYLIP	1.11615384615385
PHIP	0.71325
AARS2	-0.768166666666667
DHX32	0.58525
SCAPER	-1.06516666666667
MEN1	-0.1835
NIP7	-1.7635
FLJ25404	1.3255
FASTKD3	-0.237
TMEM158	-2.02066666666667
RARA	1.67725
BDH1	0.605
ANKRD16	0.81375
CARM1	0.7
SS18	0.444166666666667
IKZF2	-0.802272727272727
MYD88	0.2875
PML	0.3916
TAF1A	-0.70725
CBFB	-1.17625
HIST1H3H	0.248166666666667
C7orf29	-2.2035
COMMD4	-0.130666666666667
DPP3	-1.13225
DAB2	-0.595125
LOC388882	0.073
YPEL4	-0.14
AGBL3	1.114
LRP6	1.1002
SERPINH1	-1.25058333333333
TLE1	1.04575
CD244	-0.216833333333333
ZDHHC15	1.7805
MGLL	1.4275
PLDN	-0.122
LOC654346	2.0005
FAP	0.6545
GPR37	-2.4265
SCARA5	-0.8295
EBF4	0.432818181818182
LSM6	-0.94025
MLLT1	-0.3134375
SLC5A12	-0.74525
A2BP1	-1.42183333333333
COPS5	-0.561333333333333
TPM4	-0.667214285714286
TNFSF4	-1.01383333333333
ACADSB	2.19627777777778
HERPUD1	-0.8005
BCL2L11	-1.07461111111111
CEP78	-1.26325
CDCA3	-1.24125
WBSCR19	-0.3677
MYO1A	-1.666
PPEF1	1.07533333333333
LOC440348	-1.38325
CPEB2	2.84875
BPTF	-0.847833333333333
RPL21	-0.7995625
GSX2	-0.0735
ADPRH	0.231166666666667
C17orf68	0.7775
KCNS1	-0.798
MLLT6	-0.4477
PIWIL4	-2.23
RNF26	-0.79675
RAP1B	0.794625
ADAMTS1	-4.627
ZNF571	0.99025
P2RY6	-0.916
TRIM21	0.582333333333333
CADM3	0.41625
NLRC5	0.011
ADRA2B	-0.0323333333333334
LOC90835	1.63175
PCF11	-0.46475
LOC400451	2.01575
GLTSCR1	0.9736
C17orf88	-0.3365
CDH16	-1.43275
FGF7	0.95925
PCSK4	0.982333333333333
NPC1L1	0.351833333333333
TAT	0.19025
TBCA	-0.3195
MGC33407	-0.45925
GPR115	-1.060625
CYGB	-0.1815
FNBP4	-1.61466666666667
C12orf43	-0.0615
CBL	-0.0724
CLECL1	0.60475
PPAPDC1A	0.077
WDR25	-0.472
SGCA	-0.1125
C22orf29	-0.181833333333333
YIPF1	1.75725
GALK2	0.394
RAB3B	-2.97333333333333
LOC440087	-1.32875
UCP1	-0.017
REEP5	0.811875
FADD	-0.8406
FOXA1	3.17075
CACNA1A	0.5435
ABI1	-0.1565
GRIN2D	0.94625
SLC1A4	1.72883333333333
LOC401127	0.838
HINT2	1.2865
PLD4	-0.3635
ZNF286A	0.4205
ENY2	0.35
IL1F6	0.406
PXDNL	1.766
C20orf79	0.087
TNFSF13B	0.709333333333333
DENND3	0.50825
JARID1D	-2.8945
HIST1H2AK	0.88275
LOC93349	-0.5299
SSH1	-0.9511
ENSA	1.33275
LOC219854	0.125666666666667
CKAP2	-0.8204
DKFZP564J102	-1.587
MGC87315	-0.0253333333333333
HNRPAB	-0.7845
AMH	-0.983
ZNF526	0.5375
BRUNOL5	-0.1558
CACNG3	0.115833333333333
TRPM1	-2.19
PPP2R1A	-0.11125
COL2A1	0.256
DDN	0.352333333333333
FLJ25770	0.508583333333333
HK2	-1.563
ELOVL6	-1.291
MDK	0.20075
EPHX1	2.39925
RASSF2	-0.233375
DKFZP434B0335	0.501
DLX3	-0.254625
PRTN3	-0.17025
AVPR1A	0.32
C21orf125	-1.4905
TNFAIP8	-0.768666666666666
GNB2L1	-1.266
CALCRL	-0.3385
SCGB2A2	9.32966666666667
UBXD7	0.75
ZNF674	-0.8535
TMEM35	0.43525
BRSK2	0.669125
HECTD3	0.187
TMEM188	-1.467
LGALS9	2.066875
SCARB2	0.442166666666667
USP34	-0.112833333333333
C17orf28	1.33391666666667
ZDHHC23	0.09075
AQP12B	-0.4395
SLC16A3	-0.5795
APLP2	0.049
ITIH2	-5.3575
MICAL3	-0.38825
TNNI3K	0.7249
HDAC2	-0.9555
PRR7	0.5806
THBS2	-1.96525
LOC751071	-0.106833333333333
CA2	8.17816666666667
RANBP17	-0.51575
RLN3	0.94625
CRYZ	1.5315
GBAS	0.366833333333333
TAS1R1	0.127
MPZL3	3.3775
PCDH8	-1.70675
HSP90B1	0.88925
KCNK15	0.085
TNIP2	-0.078
GPR146	0.13425
NOL6	-0.599625
SPC25	-1.55544444444444
STEAP2	2.887
VAMP3	0.0185
TCIRG1	1.11325
ZP4	0.013
PARL	-0.396375
TRIM39	0.304
KIAA1305	1.568
CRNN	0.107666666666667
GRN	-0.668
HSH2D	1.3115
SCAMP1	0.5723125
KIAA1913	-1.90525
PTS	-0.045
BANP	-0.760857142857143
PRKACG	0.63375
ADCY6	-0.066
C16orf46	0.467
CYP51A1	0.056375
DDC	-4.8275
ANPEP	1.86716666666667
PROM1	-1.14283333333333
SIGLEC10	0.1985
COPG	1.633
FAM26E	-0.21675
TRIP4	0.27025
SNX3	-1.354
C1orf175	0.518166666666667
PPY2	0.3615
C14orf152	0.885333333333333
FTSJ1	-1.25066666666667
DST	-1.83555
LOC554235	0.493
GLRX5	-0.4055
C20orf12	1.4172
CAB39	0.356
MSH2	-1.66283333333333
PIP4K2C	1.043875
CYLD	0.2995
WTAP	-0.801625
MGAT4A	1.10522222222222
TSC22D4	-0.9733
CHRM2	-1.865
PPYR1	0.690166666666667
CCNH	0.207833333333333
RRM1	-0.291
ECAT8	-3.36675
LOC400120	-0.43575
GABRA4	0.3115
C14orf4	1.226
C1orf59	-1.95525
CTDSPL	0.446916666666667
NHEDC2	0.5955
PDE11A	-0.297375
KLHL29	-3.27325
CD5	-2.0209
TSPAN9	1.5281875
WDR67	-0.4165
THUMPD1	1.4286
C18orf17	2.207
CLYBL	-0.185833333333333
FLJ13231	-0.787375
CMBL	1.322375
LECT2	-0.1365
NKAPL	1.22566666666667
LOC654780	0.8825
OR4C6	0.2075
RAB30	1.61583333333333
TSSK4	0.252
TMEM163	3.5385
OSBPL11	0.997083333333333
GNB5	-0.2485
CCL21	0.74475
C1orf121	0.580333333333333
FMO2	0.492666666666667
RPTN	-0.943
MSTN	-0.0875
VCL	0.888357142857143
FYTTD1	0.46475
C11orf1	1.3755
CCDC88C	0.992
HFE	1.83022222222222
MOGAT1	-0.1135
FAM125B	-0.266166666666667
IRGQ	0.3745
RAVER2	-1.6345
AKAP5	-1.2485
SSSCA1	-0.35425
C11orf63	-1.70214285714286
ACTG2	2.7712
PORCN	-1.018
DTL	-1.12127272727273
TMEM151	1.305
FAM122C	-1.16825
RSAD2	1.7801
BAT4	-0.454
KRTDAP	-0.3615
MYH8	0.515
CRTC3	0.1205
LRRFIP2	1.9891
INTS4	-0.572833333333333
TTN	-1.52066666666667
SLC26A5	0.944
PLLP	-1.31925
RGS6	2.27175
SRGAP3	0.6915
ZNF525	0.0181666666666667
NBR2	-0.450666666666667
C13orf1	0.6252
ZNF137	0.571
CEP27	-1.344
BEST2	0.6355
RNF121	-0.6805
DMRTC2	0.71975
C8orf76	0.03325
BCCIP	0.23675
MEST	-2.46475
HTRA2	-0.6615
ANGPTL2	-1.17225
ILKAP	-0.409666666666667
ERAS	-0.365
HBS1L	-1.30457142857143
CPA5	0.169
TMEM30A	0.996666666666667
CD300LF	0.697166666666667
WISP3	0.984
CRK	0.489428571428571
PDS5A	-0.3181
BRPF3	0.343666666666667
NEDD9	-0.024375
SMPDL3B	1.588
PSG6	-0.802
PSMD13	0.27675
ETV5	-2.47825
OR51A4	0.628
BTBD7	1.12133333333333
GSTO1	-0.9525
hCG_16001	0.308
MAD2L1BP	-0.614833333333333
COX6A2	1.473
SCNN1A	2.86716666666667
LSM1	1.07216666666667
UGT2B11	6.461
IDUA	1.15375
PPP2R3C	-1.82833333333333
COX11	-0.840333333333333
PDZK1	-1.65125
ZNF443	0.723666666666667
MGC21874	0.828166666666667
ZNF323	-0.5511
KRTAP10-10	0.7315
CXCL6	-1.105
SLC34A2	2.2238
LOC284402	0.808
NPTN	0.968916666666667
UPP1	-1.978
SLC6A9	0.27
OR7G3	0.1355
CISD1	-1.16883333333333
ZNF545	-0.767666666666667
SYT14	-0.831
NT5C3L	-0.832333333333333
ZNHIT3	-0.572666666666667
SNRPD3	0.1515
KIAA0701	0.926125
UNC93B1	0.866
GMNN	-0.929375
SPCS2	0.696166666666667
LOC388524	-0.402
NAPRT1	1.51025
PNLIPRP1	0.2265
OR6V1	1.2955
PRKAB1	0.15975
EYA4	-1.89833333333333
KIF20A	-1.76775
ALG10	0.2085
ITPKC	1.64866666666667
LMX1B	0.71
RPUSD4	-0.469166666666667
C7orf34	0.431833333333333
DLGAP2	-0.0788571428571429
PFN1	-0.7866
MICALL2	0.0281666666666667
ZNF654	1.5495
SS18L1	-1.5505
SLC16A8	0.152
MKI67IP	-0.446333333333333
ITGB3	0.927125
TCEA3	2.71333333333333
CEP152	-1.7005
CLIP1	1.345375
ZNF75	-0.757375
ATP5C1	-0.594
NUDT5	-0.5585
PSCDBP	-1.017
UBP1	-0.34975
RBM27	0.62
C13orf15	1.265625
ZNF282	-1.348
ZNF222	-0.49
COL10A1	6.221
PRDM15	-1.23825
TTTY5	0.2855
FAM9C	0.307333333333333
C20orf67	-0.4675
GNG13	1.199
F12	1.4095
C1orf41	0.11625
CPXCR1	0.284
GSK3A	-0.043625
SUPT6H	-0.525333333333333
PI16	-0.800833333333333
ELL2	0.384916666666667
C9orf167	-2.76216666666667
PVRL3	-2.9353
FLJ38596	0.00100000000000001
ADAM20	0.534
GPR89A	0.5965
GPR87	1.733
ZNF30	0.3365
SMR3B	0.09425
ZNF770	0.17925
TRPC4AP	-1.42066666666667
DKFZP686E2158	1.01033333333333
C2orf28	0.3785
FREM1	-4.19216666666667
LAMA4	-1.52233333333333
ADPRHL2	-0.51025
EIF4G2	0.458
GUCA1A	-0.7765
CTNNA2	-1.59
NUDT15	-0.727833333333333
CEPT1	-0.907833333333333
ZNFX1	0.0215
CCDC92	0.68275
TDRD1	-0.955
KCNK5	-1.1985
ETNK1	0.625083333333333
LTA	0.943
TTPA	0.446833333333333
B3GALNT2	0.98075
SC65	-0.927166666666667
PEX5L	-0.936375
EPS15L1	-0.3705
MGEA5	-0.37875
HIST1H3A	1.837
ING1	1.335625
BCAT1	-2.9745
ORC6L	-2.76845454545455
KLK11	-1.6825
C19orf28	-1.1635
DNER	-4.004
MED22	-1.40657142857143
ETV6	1.29775
CHAC2	-1.18875
CD300E	0.1195
CEBPB	0.547583333333333
ZNF398	-0.576
LRCH3	0.0605
HMGA1	-1.58583333333333
CAPN7	0.0996666666666667
MGC5566	-3.53575
CCL3	2.033
NANOS1	-0.332125
ZFYVE19	-0.265
APITD1	0.738166666666667
PARD3	0.226
IRAK4	0.47
SERPINI2	0.724
CEP170L	0.023
TTC9	3.001375
MYOM3	-2.58325
MLPH	1.654625
LOC222699	0.2625
NRG1	-1.93016666666667
TBC1D9	1.45318181818182
TTK	-1.59933333333333
ZNF557	0.2277
DDX41	-0.854166666666667
FANK1	4.085
UBE2D2	-0.197
PSMB10	-0.017375
MYH7B	-0.359
GABARAPL2	-0.78825
MARVELD2	2.599
DGCR2	0.650833333333333
UNC45A	-0.278166666666667
C6orf72	0.2535
ZNF683	1.8905
GIT2	-0.77975
CASK	1.75733333333333
C14orf161	2.913
LRRC44	1.67675
TIFA	0.42575
UTP11L	-0.505
C6orf65	-1.35175
FDPS	-0.59325
DUSP9	-1.5357
SLC17A8	0.462833333333333
OR51G1	0.206166666666667
NANS	-0.04625
OLFML1	0.613
ATP10B	-1.62925
NPAS3	-1.1335
PRKCA	-2.3139
GGA2	0.4113125
LCE4A	0.6315
SPANXN3	-0.9375
CCDC115	1.190625
SDCCAG3	-1.1295
GLIPR1L1	-0.238666666666667
TTC1	0.28425
C17orf76	-0.27325
MAD2L2	-1.91225
HIPK1	0.5205
LRRC3B	2.99716666666667
CLN3	-1.55395454545455
C17orf47	0.0045
FMN2	-3.05914285714286
TUBB1	-0.8135
WAPAL	-0.459833333333333
C3orf21	-0.682125
SCN5A	0.3039
SMYD1	0.42575
BEX5	2.36575
ZNF192	-0.448
SEC22A	-0.0431666666666667
GRIA2	0.459307692307692
KIAA0825	-0.95975
NUSAP1	-1.76463636363636
LANCL1	-0.12175
C15orf40	-0.6699
ZNF645	0.0217142857142857
GPR61	0.87175
NLRP14	-1.6305
SNX21	-0.4268
C1QTNF8	0.1385
C17orf46	1.16875
IFNA8	0.625
SPRR1B	-1.29166666666667
FLRT1	-0.6945
SNX17	-2.28266666666667
ASB2	-1.238
HBG1	-5.7795
RPRML	-1.5935
JOSD2	0.423666666666667
PLSCR3	0.01425
SPOCD1	-0.346166666666667
RAB39	-0.0355
GHRH	0.154333333333333
ITIH5L	-0.2495
C17orf37	1.795
SMCR8	0.95175
DPY19L2P3	-1.4395
IL11RA	0.232
GDF3	-3.6945
RPS6KB1	-0.8895
DNAJC19	0.7352
TOP1	0.194
CRCT1	0.042
MPST	0.51125
DPM2	0.254125
FAM38B	-0.0226666666666667
SLC18A1	-1.6268
FARP1	-0.202833333333333
PAX7	0.62725
TUBD1	-0.9845
GNL3	0.328375
BTG2	1.24133333333333
NDUFS6	-0.606
C1orf79	-2.36775
ERAL1	-0.6885
ECHS1	0.881
VPS4A	-0.807166666666667
CYP11A1	-0.833875
ABCC6	-1.5795
PBX4	-2.368
MOSC1	-0.87725
NCF4	-1.2575
HYMAI	-0.45
NAGPA	-0.6005
OTOP2	0.47775
ACOT12	0.68525
MTHFD2L	-0.684625
LOC441376	-1.327
C19orf34	-0.234
RAB1B	-0.50575
ALDOAP2	-0.211
NTRK1	-1.297
ARTS-1	-1.4129
SLC6A11	-1.25
NAP1L2	-3.10675
CNGB1	0.268666666666667
EPB41L4B	-0.76725
FAM134B	0.985625
HS3ST3A1	-1.68633333333333
CPXM2	2.1305
SIRPB2	0.137
CHORDC1	0.112666666666667
TRIB3	-1.1365
SLC2A5	1.265
C2orf49	0.393333333333333
DDX5	-0.4375
OR5L1	1.1555
ANAPC4	-1.1775
ZSWIM1	0.45975
LOC93622	-0.676375
KCNK3	-0.1685
RP11-35N6.1	-1.889
ZFP161	0.263
AQP9	0.756
SLC15A2	-2.161
MREG	1.64833333333333
OR9I1	0.426
PDLIM2	-0.265
ADAM7	0.843
GSTCD	-0.3215
WDR21A	-0.729625
SLC12A8	1.28916666666667
TMEM174	0.80875
IGSF3	0.136666666666667
LRRN1	-2.12825
LOC402117	0.08075
SRPK1	-0.9265
LY6K	1.0879375
NFIA	3.268
PTCD3	-0.609625
LEP	0.524
PCDH21	-0.6108
MAPKAPK2	1.081
NMNAT1	-0.365333333333333
LHFPL2	-1.245375
C9orf43	1.354
DIP2A	-0.861166666666667
ACTR8	0.944125
CCDC34	-1.14525
PTPN22	-1.2585
ITGA3	-0.45975
FAM129C	0.10125
RABGGTA	0.0856666666666667
UNC45B	-0.44875
KIAA1033	-0.611125
ZNF510	0.159333333333333
CYP2D6	-0.544
SLC26A10	-2.9065
STX8	0.72025
LUZP1	-0.174125
WDR89	0.725333333333333
EIF4G3	0.4884
C5AR1	0.60225
ZNF623	0.631
A2M	-2.62275
TGM7	0.303
GRPEL1	-0.906833333333333
LMNB2	-1.3144
ROCK2	0.763333333333333
SNX16	1.524375
CCDC66	-0.151
ANXA3	-2.08975
KIAA1609	-0.616875
EED	-1.76125
RNF32	1.077
HES1	0.7917
CLC	0.144
ISL1	-0.643166666666667
KIAA0528	0.98525
MANEA	-1.02875
C1orf61	-2.0495
hCG_2001000	0.76475
RAPGEF6	0.4371
KIAA0020	-1.192
NEIL1	0.4835
C16orf45	2.6355
RBM10	-0.6365
C10orf125	-2.19075
MRS2L	1.23225
DNAH17	-1.210375
C19orf10	-0.09375
C1orf160	0.946
SLFN12	-1.67825
EXOC3	-0.895166666666667
HIST3H3	1.1115
NCOR2	-0.0588333333333333
TNFRSF9	0.17775
MFSD8	-1.10075
ALX1	-3.3778
NOL1	-1.2565
PODN	1.68175
TIAL1	-1.19825
HIST1H1E	1.05625
NPY6R	0.8315
TM4SF4	-1.1995
CORO2A	1.05
ETNK2	-1.40066666666667
APOE	-0.9225
ANGPT4	-0.3145
HDGF2	-0.77325
G30	0.502
ST8SIA4	-1.578625
F2RL1	-0.543125
FAM19A4	-2.82725
CCAR1	0.1335
B3GNT7	0.2205
OPHN1	0.2496
DSCR6	1.7585
C21orf13	1.72116666666667
GAS2L1	0.607
RFX3	-0.0938333333333333
COPS4	-1.40925
BCHE	-4.88816666666667
BCL2	2.4265
HBZ	-3.62483333333333
ARL13B	1.24375
MAPBPIP	1.719875
MYO15B	-1.070625
SPZ1	-0.06925
KIAA1324	3.12444444444444
PLCL2	-3.052375
C4orf29	-2.07425
WDFY2	-0.73725
ZNF284	-0.082
NAALADL1	-0.449
DUSP5	-0.37
PXDN	-1.24857142857143
SLMO1	-1.5525
TNXB	0.7471
BIRC7	-0.79575
A4GALT	2.24083333333333
TIMM22	-0.1275
FAM110C	2.42525
TOMM34	-1.196875
ABHD9	0.2855
ADAM32	1.5175
CRHBP	-1.97075
AQP2	0.607125
LOC130355	2.5255
ZNF187	-0.615833333333333
ZNF816A	0.214
F7	0.9235
CNOT1	-1.2974
SLC13A4	-0.6505
ZBTB11	-0.11525
B3GALT5	0.267666666666667
EXOC2	-1.07166666666667
IRS1	2.4403
TMEM1	-0.482666666666667
MRPL34	0.4385
SAMM50	-0.856
CDC42EP3	-0.11525
HSF2	-1.662
MFN2	0.34775
TSPAN7	-3.28366666666667
NUCB1	0.468833333333333
RHOH	-2.20925
ARL16	-1.2275
TACR1	0.01775
