Hybridization REF	TCGA-E2-A10A-01A-21R-A115-07
TSPAN2	0.995666666666667
PI3	-0.491
ZFAND6	1.335
C6orf57	-0.69875
NUF2	-1.007625
ARID2	-0.005
RCC1	0.2045
CD86	1.46433333333333
FAM91A1	-0.0795
CALM2	0.342333333333333
GYG2	-2.11625
PARS2	0.574
INTS12	0.76475
CTSF	2.37975
BNIPL	0.78525
GNA13	0.180125
HUNK	-0.178
ZBTB4	1.7475
B4GALT4	0.235
CHD1L	-1.688875
MSTO1	-0.478166666666667
FUT8	-0.114923076923077
AGA	-0.097
TRMT11	-0.098
WWP1	2.46233333333333
B9D2	1.41566666666667
STAT1	1.834
PTTG1	-1.596
TMEM62	1.37225
SSBP2	0.467
MRFAP1	0.53625
NME4	-0.7915
LOC55565	0.141666666666667
DLL4	1.39975
MYOCD	0.858
HTR3D	-0.4015
C9orf156	0.93275
CHMP4C	1.99116666666667
PROCA1	-1.3415
GCDH	-0.35675
APOF	-1.94983333333333
WEE1	0.0411666666666667
SSR4	0.08575
RGS1	8.282
ACCN4	-1.61066666666667
FLJ20489	0.271
ZNF215	-2.02533333333333
AGPAT6	0.000125000000000001
PDE7B	-0.7715
BBX	0.50175
MS4A3	-3.96366666666667
OR4A16	0.2575
EFEMP1	2.7495
TULP2	-0.48
RERE	0.09275
BNC1	-1.325
PIGB	0.7645
COMMD8	1.06
TRIP11	0.805333333333333
FLJ40142	-0.10875
PCDHB6	0.0995
FKBP8	-0.273
FLJ12716	0.6969
POT1	-0.79
KIAA1109	1.211
PTPRC	0.627916666666667
UNQ9391	-0.6685
CCT7	-0.442
EEF1A2	-0.443
MIPEP	0.1985
ZFX	1.2648
UCHL3	0.565875
LOC388419	-0.168
GSG1L	-0.352833333333333
RAB24	-1.05175
SLA2	-0.7605
SDS	3.18516666666667
LYPLA3	-0.138
CASQ1	0.52375
SLC25A40	-0.7985
IRAK1BP1	1.45275
ACOT6	0.19175
COL9A3	-3.4685
ASB11	-0.2925
C2orf18	0.837166666666667
FOXD2	0.92875
C6orf211	2.89775
OR8G1	0.00866666666666667
MDGA1	0.06825
ADARB1	-0.64725
GGT1	-1.88175
WNT1	0.1243
DBP	0.16225
COL5A3	2.458
RHOD	1.9025
COL4A2	2.2425
LOC201164	1.06175
HEBP1	-0.15525
LUM	1.80675
ZCCHC6	0.83025
PAGE1	-3.514
DTX2	0.2965
SLC7A13	2.86875
H3F3A	-0.186642857142857
RABIF	1.28175
D4S234E	-3.2955
DYRK3	0.401833333333333
PFAS	-0.833666666666667
ALOXE3	0.298166666666667
RPLP0	-0.834142857142857
RBM34	-0.864333333333334
C12orf28	-0.286
U2AF2	-0.406166666666667
MKNK2	0.1094375
SEC16A	0.907416666666667
ZNF44	1.3077
YWHAG	0.2495
IGF2BP2	-3.17625
OR1D5	0.848
SIX6	-3.7215
CCR6	-0.07925
PALM	1.27875
PUM2	0.354142857142857
SPRYD5	-2.342
ALG10B	-0.133
ZNF365	2.38025
PHC1	-2.7625
KIAA0913	0.14325
ARX	0.24675
PPP3CB	0.432333333333333
IRX6	0.2204
ANGPTL4	-2.0602
LSM14B	-0.1855
PCDHGB7	0.074
INSM1	-1.1195
WBP2NL	0.1055
ZNF493	0.3538125
NGEF	-1.8315
RNASE13	-0.3165
SPPL2A	0.782166666666667
SFXN1	-1.435
FAM102A	1.833625
SAPS2	-0.1625
JTV1	-0.9745
OR51B4	-0.31825
SCGB1A1	0.03
NEUROD2	-0.12575
tAKR	0.16925
C1orf26	1.24025
RICH2	1.52725
TEDDM1	-0.10575
CYP2S1	-0.717
TBCE	-1.2815
MAPK1	-1.171375
HDHD1A	-0.19775
MRM1	-0.83225
ATP9A	-0.104571428571429
HSD17B3	0.258
HN1L	0.95875
RNF216	-0.57275
HOXD12	-0.5645
PPP1R14B	-1.338125
SBF1	-1.3645
TAS2R42	-1.0765
USP46	0.2515
LILRB3	2.16216666666667
SPI1	1.628
OXSM	-0.1185
GYS2	0.171
NUPL2	-0.3535
C8orf46	-1.173875
SF3A1	-0.28065
C21orf99	-0.032
HOXB4	-0.2454
YRDC	0.10875
GPRC5D	0.8615
BLVRA	1.2665
KIF12	2.6315
LRRC23	-0.37075
FAM14A	1.66183333333333
RASL12	0.55325
DAZAP2	1.7285
IKBKB	1.565
ZNF271	0.723
BOK	0.537
CXorf6	-2.22375
MYEOV	1.79325
BTN2A2	0.4789
FRG1	0.0945
HSP90AB6P	0.07475
ENOX1	1.38233333333333
ZNF706	0.2397
DOK1	1.2489
PGAP1	-0.528875
TMEM136	-1.1765
FSCN1	-2.04825
KIF17	-0.2175
TRIM66	-0.2565
CBR3	0.004
C13orf24	0.557666666666667
C19orf52	-0.0655
BNIP1	0.42125
AQP3	1.294625
KRT6C	-2.69833333333333
SIRPA	0.1985
IGFBP6	-1.667
PLEKHK1	-0.114875
RNASE7	-0.3305
ARHGEF15	0.40475
NPHS2	0.25
SRD5A1	-1.26225
REXO4	-1.30575
EEF1DP3	-0.239
SLC37A2	0.16525
ZNF142	0.76375
ANKHD1	-1.256
MUT	0.602
VPS37A	0.09675
GPRIN1	-0.696
SLC38A3	-0.79075
BAZ2B	1.885
WDR87	-0.0438333333333333
BRD7	-0.063
POU6F2	-0.5125
NISCH	0.383625
TCEB1	0.08
LINGO2	-2.85125
TAX1BP3	-0.7775
RPL34	0.219111111111111
MARK2	0.154666666666667
AKAP12	-1.7847
AMBN	0.55
SLC25A27	-2.0445
FLJ21865	-0.22225
KIR2DS2	0.1355
WDR77	-1.0235
ATF2	-0.461333333333333
ITFG3	0.138833333333333
SLC39A13	1.06825
ARL6IP5	0.8255
C10orf137	0.28975
QTRT1	-0.916166666666667
CCNT1	0.00725
DYNLL1	0.6838
WDR53	0.028
LIPG	-1.82366666666667
ASAH3	0.431
HELB	-0.22
PHACTR2	0.2655
VENTX	-0.582
LAD1	-1.13116666666667
PAOX	0.555
MAPK8	0.0985
CCDC38	0.501
DNAJC8	-0.4347
RBBP8	2.3995
WNT11	-0.5099
KCNJ12	-1.31583333333333
HDAC8	0.0221666666666667
STARD4	-2.39175
ACVR1	1.4225
C14orf65	-0.2565
KLB	-1.9285
C1orf65	0.37175
ZFYVE28	-0.08525
NSUN6	0.12775
KIF27	0.625833333333333
SYTL2	0.244833333333333
UBXD2	0.1881
OR6T1	0.292
CCDC91	0.792357142857143
GRID2	-0.1095
CALN1	-0.659375
ZNF423	-0.189
PSMB4	-0.168833333333333
XPNPEP3	-0.461
ARPP-21	-2.4256
SART1	-0.4655
RACGAP1P	-0.688
SPTA1	-5.343
C6orf113	0.207833333333333
C7orf16	-2.51325
CHST7	-0.825166666666667
C21orf29	1.36866666666667
SEMA6D	-1.736125
PCMTD1	1.521625
KIAA1754	-0.088
MYCN	-1.422
KCNJ3	5.6575
MAPK13	1.8812
ERO1LB	-0.04
NTF3	-1.68316666666667
NKX6-2	-0.457
GTF2B	0.64475
GSPT1	-0.498
GUSB	0.240666666666667
LOC221091	-3.273
LIG1	-0.64425
EXTL3	-0.348666666666667
NID2	-0.12225
TTC29	2.54125
TMEM97	-1.398125
EXTL2	-0.539333333333333
SUZ12	-0.274875
IL1F8	0.4285
KRT18	0.340727272727273
MRPS16	-0.660083333333333
PI4K2B	-0.11
LACRT	-0.257
OR51F2	0.168
JMJD2C	0.343125
KGFLP1	0.89925
CDK5RAP3	-0.7502
YTHDF2	0.664333333333333
GGCX	0.609
ARPC4	0.39475
EGLN2	0.615333333333333
KBTBD4	0.543071428571429
ROBO3	-1.1016
DEFB118	-1.3425
KIAA1543	1.8125
RTCD1	0.664
MZF1	0.28425
C18orf26	1.105
CNIH4	-1.16683333333333
ZFP2	2.47233333333333
HTATSF1	0.4495
WFDC2	3.5695
NDUFA7	0.495
TTC22	-0.0218333333333333
FAM40B	-2.21275
DCPS	-1.94725
SH2D1B	-0.4715
MRGPRE	0.283
SBK1	0.78175
UNQ6411	0.3635
OSBPL9	-0.4635
NUP107	-0.56975
MYOZ3	-0.3889
PDE4B	0.539166666666667
FAM113A	-0.3375
IDH3G	0.0135
FBXL7	0.607625
ARFGAP3	-1.155
MAPRE2	0.0748461538461539
IL1RN	0.6547
KIF13A	-0.30825
RAC3	-1.2735
TCTE1	-0.2155
TMEM14B	-0.194
ADIPOR1	1.80833333333333
GRINA	0.8195
CLIP4	-2.27625
LRIT2	-0.062
TFPI	-1.89178571428571
FABP6	-1.74275
SLITRK2	0.0508
HKR1	0.93025
SMTN	0.04375
C1orf75	-0.71
CD209	-0.023375
CYB5R2	0.938
DNTTIP2	0.384
CSGlcA-T	0.7805
GABRB3	-2.71675
PCBD1	0.655666666666667
TAF3	0.855833333333333
HOXD3	-1.07
GIPC3	-0.255333333333333
P11	0.6894
BFSP1	-1.585
LCP2	0.726
TAS2R8	-0.1
SEZ6L	-0.635125
NR2C1	-1.251875
EXDL2	0.4141
TNFRSF13B	-2.29
MKI67	-1.51625
GLS	-0.100833333333333
C7orf54	-1.0854
LGALS13	0.0638333333333333
IL4R	0.4365
SEC11A	0.422666666666667
SPP2	0.2855
C18orf32	1.6135
CLSPN	-1.11166666666667
SPAG1	1.67775
C9orf82	-0.22825
TM4SF1	1.47366666666667
EMILIN2	0.78875
SMG7	0.290166666666667
TAS2R13	0.439
ZNF628	-0.1665
DZIP1L	-0.2255
ANKRD13A	-0.2069
VASP	1.134625
ZCCHC11	-0.333
SYPL1	0.2595
MGC34774	0.26725
C4orf28	0.742125
KIAA1211	1.5465
RPS27L	1.5465
TATDN3	-1.78175
PDCD1	-0.913
OR5P2	1.1585
IFIT1L	0.494
MIPOL1	0.91025
OR51D1	0.4385
C1orf92	0.197833333333333
LAMP2	0.678777777777778
CAT	-0.419333333333333
C16orf80	-0.584
C15orf32	0.025
ZNF746	0.3115
C1orf76	-0.9895
ATXN1	0.516
LAMC2	1.148
SLC2A7	-0.185
CPOX	-1.2625
APH1B	1.85366666666667
LOC442245	0.27825
CTNND1	1.56533333333333
GABRG2	-0.783625
MADCAM1	-0.185166666666667
F5	-3.04275
SEMA4F	0.478
NUDCD3	0.346125
PDZD11	0.9245
TRIML1	-0.275
GCNT3	-2.48183333333333
TMEM120A	-0.14525
CNDP1	0.348
N4BP1	-0.09575
SLC35F2	-1.797125
LCP1	0.053
IGBP1	-0.0491
DCAKD	0.04775
ELA2A	-0.819
C12orf56	-2.268375
PITRM1	-0.454071428571429
GUK1	-0.4435
RASSF8	0.2215
OR2A14	0.07475
ADM	-1.89133333333333
FGD3	1.52933333333333
GHRHR	0.311166666666667
RHPN2	-0.7565
C4orf39	1.5035
VPS72	-0.495
SERF2	1.52644444444444
CD22	0.7895
CD47	-0.0573
PPIC	1.06
IMPDH1	0.161
ACP6	0.0996666666666666
PRKACA	0.169
PPP1R1A	-1.09625
TRPV3	-0.534
ASXL1	-0.653375
C17orf55	1.18866666666667
FXYD1	-0.523
LMOD2	-0.099
ANKRD33	0.223
LCE2C	0.1385
ZNF620	0.8135
DKFZP566E164	-1.68175
VSIG2	1.90925
KIAA1128	0.794
USO1	0.1125
NUDT4	0.799857142857143
CLDN1	0.546642857142857
OR4Q3	0.0655
FASTK	-0.272666666666667
ICOS	0.540833333333333
LDB1	0.418
GSTA5	2.85675
ABCC1	-0.869
FAM54A	-0.847
PCBP2	-0.980166666666667
NUP205	-0.85175
ACTA1	-2.17383333333333
GABBR2	-1.829
PIP5K1B	0.621
AGXT	-2.14483333333333
RNF181	0.3515
ATP8A2	-1.37425
AFTPH	1.0133125
FGF21	0.32175
FCER1G	2.480375
SNTB1	-1.44025
SLC24A3	-0.35125
TXNL4B	-1.5716
RPL10L	-0.707166666666667
LOC389517	-0.8486
TSGA13	0.173
SHOX2	-0.694833333333333
ITGA7	-1.1512
KCNIP2	-0.0963333333333333
KLF13	0.5074
ZFAND2A	-0.227
CEACAM1	1.86471428571429
PFKFB4	-2.16883333333333
MED19	0.7405
LRRC57	1.33216666666667
RNF11	1.72525
ANKRD32	-1.68675
P117	-0.061
OBFC2A	-1.259
POLD3	-0.731
RAB18	1.68575
TPH2	0.139666666666667
PHB	-0.6273
JDP2	0.7855
MORF4L1	0.1425
POU2F1	-0.24675
CNNM2	-0.546916666666667
LOXHD1	0.214833333333333
ZC3H15	-0.1065
ELK3	1.31866666666667
FAM111B	0.92325
CBLC	3.12783333333333
SBNO1	0.0115
ANKMY2	-0.31975
PLEKHA5	0.48375
DHX58	1.9685
ARCN1	-0.426333333333333
TREML1	0.317
KNCN	0.3595
SEC24A	-0.079125
PSCA	-0.91575
MGC24125	0.42
DNA2L	-1.08825
CIB4	-0.07475
HIGD2A	-0.163166666666667
TBX6	0.0986666666666667
TTLL5	-0.662
SGK3	0.357833333333333
GCN1L1	-0.388
AMOT	-0.009
LDOC1	1.93283333333333
NRK	-0.222333333333333
ASB9	-2.815
NAT1	4.8167
TRAFD1	0.07
PEAR1	0.347
FAM36A	-0.671375
OR1S2	0.255
LOC388323	-2.506
PGS1	-0.446333333333333
LEPREL1	-2.88175
TFF1	-1.14525
HAP1	0.1065
EPHB2	-0.398
ACTG1	0.412333333333333
ZFP42	-1.35116666666667
HAVCR2	1.2047
NME1	-0.6215
SNX26	-0.44975
LACTB	1.18333333333333
ZKSCAN2	0.14775
C5orf35	-0.53475
ANKS3	-0.402
RBM28	-1.17225
DKFZP586P0123	-1.0105
HNRNPA1	0.0646666666666667
BCAS3	-1.16116666666667
FLJ20184	0.3795
POLA2	-0.987166666666667
TMC7	0.483333333333333
HSD17B6	2.67
ZNF658B	0.732833333333333
TTTY10	-0.0246666666666667
RANBP9	0.15225
CPNE7	-3.14233333333333
EVL	1.07411764705882
LNX1	1.435
IFNA21	0.163
CFD	-0.695
PYCARD	2.04616666666667
MYBPC2	-1.979
ENPP3	-2.29716666666667
ACSL4	-2.24275
LOC440258	-0.658166666666667
TMEM176B	3.73683333333333
SOX2	-5.372625
SCO1	-0.784
COMT	-1.00975
AOC2	-0.033
PDLIM5	1.85214285714286
SPHK2	0.703833333333333
NXPH2	-0.882
GPR108	1.24183333333333
RAD51L1	-0.4835
TMEM54	1.172
LETMD1	-1.13422222222222
SLC6A17	-0.04125
KRT75	-0.046
STT3B	-0.760833333333333
CD3EAP	-0.796333333333333
TMEM63A	-0.4125
DUSP13	-2.6725
CD1C	-1.45683333333333
LASS2	1.18966666666667
AVP	0.018
PITPNM1	-1.181
FLJ22795	-0.9465
MCTP1	-2.2775
TRIM68	0.852666666666667
UCK2	-1.04666666666667
ABHD1	0.20825
FAM50A	-0.30425
RNASEH1	-0.9515
PCP2	2.01666666666667
OR52H1	0.79
C20orf149	0.60025
RBP5	-1.96933333333333
HYAL3	0.1005
CLPB	-1.50725
SMNDC1	0.30525
DONSON	-1.4905
FLJ27523	-0.02475
BARHL2	0.333
SLC30A9	0.524666666666667
TMPRSS11B	0.0505
E2F8	-1.07966666666667
CCDC25	-0.3345
C14orf48	0.126666666666667
C20orf116	0.31725
TSPAN11	0.0965
YIF1B	-0.993166666666667
FAM12B	-0.5435
OR1L6	0.2545
HPN	2.0936
NBN	0.698
C14orf94	-1.4655
OCLM	0.7425
ZSCAN18	1.3762
L3MBTL	-0.2517
TSTA3	0.943166666666667
RAC1	0.205875
C19orf15	0.278166666666667
NFE2	-3.51425
KLK14	0.186
ARSF	0.524
MAST2	0.0845
AMICA1	0.355666666666667
GTF2A1	-0.196375
ATP1A3	-0.3835
TC2N	2.203
PNKP	0.3555
ODZ2	-2.963125
MATR3	-0.298125
S100P	0.053125
KRT82	0.0705
CA13	0.7526
PROZ	-1.475
AASDH	0.62975
C19orf40	0.0808333333333333
DCK	0.0990769230769231
FAM5C	-1.95475
SLC6A4	-1.9895
MID1IP1	-0.27025
TESSP5	0.4565
TMOD4	-0.051
DOCK2	-0.719
TUG1	-0.393875
NUP214	-1.1545
DPYSL2	-1.46131818181818
GOLM1	1.24766666666667
MPFL	0.1355
SOX13	1.9435
SDCCAG8	0.3497
KEL	-2.55666666666667
NUP210L	-2.4475
GK	-0.364
DNAJB1	0.47125
ALPK3	0.029
CHID1	-0.2583
CYLC2	0.404333333333333
IKZF5	0.89075
C8orf51	0.705166666666667
PPM1J	2.16375
GIMAP8	2.37066666666667
GPR101	-0.0705
NR2F1	-2.02
ACAD8	-1.02825
RBM35A	1.65575
GNAI2	0.180166666666667
METTL8	-0.496
SLC39A7	-1.4255
FBXO8	0.822
CAMK1	0.36
RFC3	-0.626875
FAM129A	2.18892857142857
ILF2	-0.22275
FGFBP3	-1.8545
NOM1	-0.8445
PSMA3	-0.45425
ASCC3	0.2259
ZYG11A	-3.06525
SOX21	-1.092125
LYRM1	0.09225
DEFB1	-2.4405
LOC91431	-1.63183333333333
OR7C2	0.8235
FAM46B	-0.452125
TMEM18	-0.47425
ARHGAP30	0.810166666666667
TMEM86A	2.21258333333333
EPHA2	-1.93416666666667
C10orf46	0.8576
TCHH	-0.351166666666667
C3orf30	0.1945
LOC285636	-0.292
PAIP2	0.29575
CYP2U1	-0.10425
C12orf34	1.00125
SARS2	-0.523166666666667
ZCWPW1	-0.4495
SAMD12	1.56225
KIAA1430	0.547375
ACAT1	0.42725
MEOX1	-1.01583333333333
ADAMDEC1	5.00175
PHKA2	-0.3865
CARD11	-1.36833333333333
CALML4	-0.467
TSSC1	-0.13175
TMEM45A	-0.0436666666666667
MPP7	2.88325
POU1F1	-0.7165
SLC2A13	-1.0273
FBN2	1.26228571428571
ZC3H7A	0.2757
LAIR2	-1.1585
ST3GAL1	-0.912833333333333
LCT	-3.296
GEMIN8	0.506166666666667
KLF16	-0.1252
HIF3A	-0.1434
FAM44A	0.406
AQP10	-1.4531
PLA2G2A	-1.5045
FOLH1	1.41466666666667
C20orf186	-0.069
MAPKAP1	-0.2785
SPRR2D	-1.254
UBQLN4	-0.763
RSHL1	-0.088
PIAS3	1.15575
MRPL24	0.33275
GREB1	-0.083125
FAM27E3	-3.3215
NUP62CL	0.20375
NEUROG3	-0.8515
REEP3	0.710833333333333
MARK1	-0.705625
LMBRD1	1.3075
PRPF19	-1.223
PNMT	-1.73716666666667
CTGLF1	-0.977
SLC25A16	0.08525
EIF2B3	-0.4415
RPA2	-1.30375
PAK6	1.2455
CCDC26	-4.112875
SEMA3E	2.20175
MXD4	0.4229
TNFSF10	3.8996
SMARCB1	-0.552833333333333
DTX3L	1.6435
PLA2G4E	-0.3515
PPAP2A	0.284
ULK1	-0.455416666666667
TAS1R3	-0.0425
SLC2A3	-3.012
ARID3A	-2.26775
GNG5	0.40725
ACOX1	0.1533
KIF5B	0.131
NUP153	-0.71925
MUC7	0.146
CSDE1	-0.491428571428571
CLPTM1	0.42475
C3orf23	0.209125
LRRC17	-0.167666666666667
TTYH3	-1.021
ATP5B	-0.9585
ELF3	1.7347
CPSF3L	-0.879666666666667
ZNF665	0.774666666666667
TLR6	0.3401
GPI	-1.23725
RAD9A	-0.460875
NDST4	-0.71375
AGPAT3	0.290333333333333
MAGI3	2.94
ADORA2A	-0.838125
CACNG7	0.0475
CAMK2D	-0.637928571428571
CCHCR1	-1.15375
RPS27A	0.0415
OR10G7	0.7475
GCM2	0.7525
FAM135B	2.2847
E2F1	-1.08275
PLCB3	0.27225
OR2AE1	0.47
COIL	-0.4025
CDC25C	-1.2295
RAB11FIP2	0.619833333333333
TSC2	0.3495
CTGLF5	-1.395
CCDC108	0.1147
OR13C4	0.32775
C10orf81	5.93925
PTPRB	0.5665
ACP2	1.03675
LAG3	-0.5675
MRPL54	0.2055
LOC201175	-0.5905
ITGB1BP3	-2.152
SPTAN1	0.509666666666667
SIPA1L2	-1.2275
RCAN2	-0.4195
CDX2	0.2385
ECOP	0.17825
ACTR1A	0.0448571428571429
PPARG	-1.82616666666667
BBS10	0.434833333333333
TMEM44	-0.634375
BPIL2	0.46075
CITED1	-1.483
IRF6	3.90775
PRDM4	0.71
RRP9	-0.5205
OR10H4	0.37125
IL31RA	-0.77675
GNB1L	-1.51283333333333
MYBL2	-2.719125
ZNF407	3.1145
PPIG	0.266166666666667
TTC18	2.0015
RPSA	-0.634
MAPT	1.727375
MRE11A	-0.437857142857143
C8orf37	0.143166666666667
RASGEF1C	-0.989333333333333
STBD1	1.4895
CTAG2	-0.2925
MGAT5B	-1.19616666666667
ECM1	2.91075
RLN1	2.11
PARP14	1.7199375
EPB41L1	0.9489
HOXA3	-1.52183333333333
MAGEA9	-4.2215
RPS8	-0.181166666666667
RPS19BP1	-0.862
FOXJ2	-0.31675
C10orf76	0.581875
IL17RE	-0.03425
C10orf65	0.88975
ZNF343	0.5065
FBXO33	0.23475
UHMK1	1.2802
LY6G6C	-0.23275
FGF19	-1.855
C14orf128	-0.573166666666667
IFIT2	2.884375
TIGD1	-0.488
S100G	-0.2915
GUCY1B3	2.2165
NR3C1	-1.6715
CORO1B	-0.0946666666666667
PARP11	-0.359416666666667
DNALI1	4.368
OR4N4	-0.086875
MAP2K6	-0.0956666666666667
FSTL4	1.30475
ANKRD47	0.779875
TMEM171	-1.5085
PNLIP	0.37775
YY1	-0.0241666666666667
CCDC138	-1.54816666666667
AASDHPPT	-0.6462
CKS1B	-0.0665
MCM3	-0.412833333333333
ANAPC7	-0.309833333333333
FAM110A	1.2295
CDC37L1	0.5915
THTPA	0.1
NBPF20	-0.122
WDR24	0.05725
NPTX2	-2.693
CBLB	1.11366666666667
CETN1	0.00866666666666666
RPUSD1	0.39075
FAF1	-0.08075
CDK6	-2.8368
HMX2	0.2305
CSK	-0.454333333333333
TEAD2	1.307
SNAP25	-0.64225
TUFT1	1.1291
TMTC3	0.590333333333333
LCK	-3.2085
SGOL1	-1.18416666666667
AKTIP	1.57075
FURIN	1.846125
SOX12	0.131666666666667
DEFB103A	-0.77025
RAMP1	4.05475
KIR3DX1	-0.968
GAS2L3	-0.6615
PDE8A	-0.5326
EDN3	-0.89675
GMIP	0.8435
SF3A2	-0.28625
FN3KRP	0.447
SMAD7	1.3935
RHBDD2	0.7365
OR11H6	0.31
PPP1R3B	0.6534
C9orf23	0.233
CADPS	-0.6765
GOLGA8A	-2.414125
TMEM57	0.223
RGL3	0.8925
S100A14	2.8735
FGFR2	2.390625
XRCC3	-0.249
RTN4RL2	0.10625
MGC3771	1.669
GH2	-0.116166666666667
BTBD2	0.208
LMO2	-0.271
RDBP	-0.279375
ACRBP	-1.38925
AMY2A	1.772
DUOXA1	-0.0465
PTK7	-0.248
TWF2	-0.383833333333333
FAM80A	1.20975
TNNI2	-2.58933333333333
GLT25D1	-0.381333333333333
OCC-1	-0.5785
CYC1	-1.043
RPL22	-0.967090909090909
MORN3	1.48483333333333
DISP1	1.0535
PRB2	0.0645
CHUK	-0.08675
HR	-1.732
CCDC134	-0.70675
DENND4B	-0.51875
C14orf130	0.53175
RAB33A	-0.895
DCST2	0.3855
TNMD	-2.1675
PEX7	1.59525
FAM62A	-0.473875
SRD5A2L	0.19275
IL22	0.29875
RPS26	-0.2075
HOXC5	-0.5105
SPATA6	1.45075
FLJ38482	1.365375
ZNF234	2.2365
C18orf22	0.0615
SPATA22	1.3835
THOC1	-0.62825
CYP7B1	2.06525
KCNC3	-0.41525
C8orf42	-0.5
ALDH1B1	0.247
CCDC100	0.4981
ARMC4	0.48325
FAM18B2	0.16475
SLC44A1	0.492125
FBXO17	-1.24816666666667
C6orf107	-0.41375
C19orf29	-0.917
ZC3HAV1L	0.2705
PARP6	0.8699
SULT2A1	-4.419625
C1orf159	-1.32125
TMC1	0.82075
CHST14	0.877125
GAMT	-0.149833333333333
SMCP	0.0338333333333333
TSPAN33	0.334916666666667
MIDN	-0.232
NOX4	4.0185
RNASEN	-0.0899
TBX1	-2.451
SALL2	-0.96375
C10orf35	1.1935
CYP2E1	-0.29925
LRFN2	2.60433333333333
ACO1	-0.841333333333333
IQCG	1.4911
MEGF9	1.5595
TM7SF4	1.7775
PLEKHA1	0.627866666666667
STK33	-2.91175
C1orf210	2.6055
SNUPN	0.7722
KIAA0406	-0.4587
C20orf29	-0.25725
TMEM55B	-0.70775
OSTM1	-0.211375
CLCN7	0.044
OTP	0.107
FLJ23049	2.1995
HEATR4	1.317
MAP3K10	-0.152333333333333
PCDHGA9	0.685
AMDHD2	-0.06175
LCTL	-1.9135
PDCD2L	-0.92975
CABLES2	0.14875
SLC5A9	-0.293
CLCA2	-2.16833333333333
MGC16025	-0.649
STRAP	-1.18983333333333
C20orf196	-0.283
RRBP1	-0.254833333333333
NAT13	-0.531
MAT2B	-0.03675
CSNK1D	-0.921833333333333
KIR3DL1	0.0805
PRKAG3	-0.3805
ZNF599	0.5215
PRM3	1.129
PER2	1.24166666666667
ASPHD1	-1.311
PRMT6	-1.301
KCNE1L	-0.952357142857143
FAM118A	-2.17183333333333
TAF4	0.0845
NDUFB6	0.9145
TRIM9	-0.408916666666667
PMFBP1	-0.435
KY	-0.2495
DKFZp762E1312	-1.91881818181818
CSMD1	-1.17725
TBP	-0.352666666666667
OR1Q1	0.0176666666666667
RETNLB	0.405
HPGD	1.75757142857143
DNAJC12	4.31266666666667
FKBP1B	-0.598
ANKRD24	-0.456666666666667
CXXC5	0.672333333333333
IL3	0.3035
DRAM	1.6714
PTCH1	-2.0545
TP53BP1	1.04675
SLC17A7	0.499125
COL25A1	-1.4396
AMACR	-0.24
RHCG	-0.31575
VPS13A	-0.369416666666667
FAM55D	0.9245
PRPF38B	-0.346833333333333
OSBPL6	0.92575
PFDN5	0.1143
CMTM6	1.544125
KCNK12	-1.13275
RP2	0.20575
C16orf52	-1.181
PICK1	-0.0735
IFNE1	-1.262
SEMA4B	0.95975
TYRO3	-0.85025
OR12D2	-0.082
CSNK1A1	0.55865
FANCF	1.1535
LONP2	0.884125
TBL1Y	-1.334
LDOC1L	0.05
CCNC	-0.3675
C3orf60	0.09475
CHKA	-1.80525
UBAP1	0.50325
MAP3K1	0.574
ANKRD9	-1.071
FAM92A1	0.587166666666667
GAB2	-0.83
AZU1	0.06375
DIS3	-0.1655
C21orf109	-1.13675
IQCB1	-0.56175
SPATS2	-0.333666666666667
EFCAB3	0.40775
PRB3	0.0315
FUZ	0.277333333333333
ZNF813	0.325
BMPER	-0.377333333333333
HEG1	-0.252875
ALS2CR11	-1.47766666666667
SURF2	-0.51925
PSMC1	0.202
OR2D2	0.152
SLC7A8	0.771833333333333
C4orf40	0.2605
SPATA7	1.73025
MAZ	-0.0936666666666667
PIN4	1.26925
PDE1A	-1.134
TAF6L	0.0488333333333333
OR2T34	0.1415
KIAA0284	0.567
ACADS	-0.415727272727273
MKRN2	-0.545
C18orf56	-2.05325
MS4A6E	0.169666666666667
GALNT4	0.3347
C22orf31	0.0105
FLJ36070	-0.106
PSME4	-0.4925
TFG	0.2415
EPHX2	0.5355
ANXA5	-0.801375
KRTAP1-1	-0.1214
BATF	0.7825
KARS	-2.27
MSTP9	-0.184
GPR26	-0.0498750000000001
CCDC72	0.754
TEF	-0.075
FOXK1	-0.7021
PRLHR	0.2725
EMX1	2.17425
C11orf30	0.142125
ICK	1.558125
THSD7B	-0.2485
C21orf100	-1.4535
DUOX1	2.3635
EFCAB4B	0.51525
UBE2G2	-0.220333333333333
C3orf54	-0.2845
PARP1	-1.46925
FAM60A	-0.877166666666667
C6orf146	-0.19625
OR9K2	0.4515
DDX55	-1.4095
RPS15	-0.4245
ZNF618	1.4495
DKFZp686D0972	0.09225
SSPO	1.061
SHFM3P1	0.417333333333333
CPA6	0.98475
JAG2	-0.1405
DEFA3	0.40325
PPBPL2	-0.263166666666667
CD34	3.751375
SLCO4A1	-3.98875
AFG3L1	-1.7585
SHD	-1.193
RP13-122B23.3	-0.5795
PRKCSH	-0.4245
DPH5	-0.756166666666667
HLA-F	1.87925
TBC1D4	-0.111
RIG	-0.116
GLUD1	-0.066
HNRPCL1	0.347
HBXIP	0.58975
RNF207	-0.9575
