Hybridization REF	TCGA-C8-A12L-01A-11R-A115-07
BFSP1	0.60775
LCP2	0.661
TAS2R8	0.0795
SEZ6L	-1.556875
NR2C1	-0.2865
EXDL2	0.5827
TNFRSF13B	-1.9185
MKI67	-1.2495
GLS	1.13266666666667
C7orf54	-1.3214
LGALS13	-0.2455
IL4R	0.6045
SEC11A	-0.129333333333333
SPP2	0.1885
C18orf32	1.732
CLSPN	-0.5575
SPAG1	0.916
C9orf82	-0.07025
TM4SF1	-0.0185
EMILIN2	1.08825
SMG7	-0.316
TAS2R13	0.247
ZNF628	-0.373
DZIP1L	-0.281166666666667
ANKRD13A	-0.0747
VASP	1.944
ZCCHC11	-0.44775
SYPL1	0.07625
MGC34774	0.27825
C4orf28	0.84375
KIAA1211	1.49983333333333
RPS27L	-0.2425
TATDN3	-1.46625
PDCD1	0.89675
OR5P2	0.374
IFIT1L	0.1845
MIPOL1	1.28775
OR51D1	0.30625
C1orf92	-0.3705
LAMP2	2.41977777777778
CAT	0.180833333333333
C16orf80	0.4055
C15orf32	2.144
ZNF746	-0.6425
C1orf76	-1.456
ATXN1	0.8855
LAMC2	2.791
SLC2A7	-0.6345
CPOX	0.15675
APH1B	1.49366666666667
LOC442245	-0.676333333333333
CTNND1	0.702444444444445
GABRG2	-0.93325
MADCAM1	0.180166666666667
F5	-2.09625
SEMA4F	0.5225
NUDCD3	0.276625
PDZD11	-0.6655
TRIML1	-0.106
GCNT3	2.405
TMEM120A	0.36775
CNDP1	0.4505
N4BP1	0.876125
SLC35F2	0.079125
LCP1	1.14508333333333
IGBP1	-1.1135
DCAKD	-1.6225
ELA2A	-0.948
C12orf56	-1.60275
PITRM1	1.618
GUK1	0.8965
RASSF8	-0.35875
OR2A14	0.45075
ADM	0.981555555555556
FGD3	-0.7245
GHRHR	0.2765
RHPN2	1.5305
C4orf39	0.172166666666667
VPS72	0.5315
SERF2	-0.417722222222222
CD22	-0.344666666666667
CD47	0.4661
PPIC	1.46
IMPDH1	-0.782083333333333
ACP6	2.316
PRKACA	-0.24725
PPP1R1A	2.238125
TRPV3	0.29625
ASXL1	-0.80625
C17orf55	0.1945
FXYD1	-1.24516666666667
LMOD2	-0.4405
ANKRD33	0.333
LCE2C	0.151875
ZNF620	-0.6875
DKFZP566E164	0.024
VSIG2	1.33025
KIAA1128	1.17075
USO1	1.2975
NUDT4	0.368
CLDN1	1.65371428571429
OR4Q3	0.5425
FASTK	-1.27716666666667
ICOS	1.99166666666667
LDB1	-0.30775
GSTA5	-1.385
ABCC1	-0.567
FAM54A	0.5555
PCBP2	-0.781
NUP205	-0.747
ACTA1	1.36666666666667
GABBR2	-1.59
PIP5K1B	1.54316666666667
AGXT	-1.98483333333333
RNF181	0.073
ATP8A2	-0.2465
AFTPH	1.061125
FGF21	0.287
FCER1G	1.61325
SNTB1	-0.76325
SLC24A3	0.4495
TXNL4B	-1.2156
RPL10L	-0.637166666666667
LOC389517	-1.0811
TSGA13	0.6765
SHOX2	0.000333333333333334
ITGA7	-1.9142
KCNIP2	-0.0335
KLF13	-0.3145
ZFAND2A	0.17325
CEACAM1	1.336
PFKFB4	-1.58033333333333
MED19	0.93475
LRRC57	0.703166666666667
RNF11	1.22025
ANKRD32	-1.9675
P117	0.49725
OBFC2A	1.15283333333333
POLD3	0.0186666666666667
RAB18	1.643
TPH2	-0.0855
PHB	-0.7754
JDP2	1.1155
MORF4L1	0.2384
POU2F1	-0.02575
CNNM2	-1.19275
LOXHD1	0.170166666666667
ZC3H15	0.74425
ELK3	0.651666666666667
FAM111B	1.1355
CBLC	2.8145
SBNO1	0.626
ANKMY2	-0.5295
PLEKHA5	0.324
DHX58	0.209
ARCN1	0.511
TREML1	0.1257
KNCN	0.472
SEC24A	-0.210875
PSCA	-0.25875
MGC24125	0.3225
DNA2L	-0.70775
CIB4	0.508
HIGD2A	-0.530333333333333
TBX6	0.0718333333333333
TTLL5	-0.892833333333333
SGK3	-0.9395
GCN1L1	-0.1635
AMOT	-0.0777
LDOC1	0.947833333333333
NRK	0.487166666666667
ASB9	-0.50775
NAT1	2.0243
TRAFD1	-0.2855
PEAR1	0.1155
FAM36A	1.381625
OR1S2	0.65
LOC388323	-1.63625
PGS1	-0.68
LEPREL1	-2.89675
TFF1	-3.71175
HAP1	0.3645
EPHB2	0.70425
ACTG1	0.316166666666667
ZFP42	-1.76166666666667
HAVCR2	0.975
NME1	0.489
SNX26	-1.06608333333333
LACTB	1.72133333333333
ZKSCAN2	-0.96575
C5orf35	-0.8915
ANKS3	-0.93975
RBM28	-0.82875
DKFZP586P0123	0.16725
HNRNPA1	-0.7305
BCAS3	-1.85375
FLJ20184	1.0535
POLA2	-1.4425
TMC7	0.570333333333333
HSD17B6	1.795
ZNF658B	0.437333333333333
TTTY10	-0.169166666666667
RANBP9	-0.321
CPNE7	-2.79933333333333
EVL	-0.976647058823529
LNX1	1.74308333333333
IFNA21	0.0656666666666667
CFD	-0.96075
PYCARD	1.06266666666667
MYBPC2	-1.41
ENPP3	-0.189666666666667
ACSL4	-1.3635
LOC440258	-0.518
TMEM176B	2.97466666666667
SOX2	-4.35625
SCO1	-0.4405
COMT	-0.2275
AOC2	0.00650000000000001
PDLIM5	0.455571428571429
SPHK2	-0.7175
NXPH2	0.195
GPR108	-0.1805
RAD51L1	-0.547166666666667
TMEM54	0.491
LETMD1	-1.78522222222222
SLC6A17	-0.077
KRT75	3.469
STT3B	0.0935
CD3EAP	0.360166666666667
TMEM63A	0.03425
DUSP13	-2.69525
CD1C	-1.109
LASS2	1.207
AVP	-1.7995
PITPNM1	-0.75025
FLJ22795	-0.705
MCTP1	-1.7805
TRIM68	-2.08516666666667
UCK2	0.485666666666667
ABHD1	-0.48575
FAM50A	-0.2965
RNASEH1	-0.257166666666667
PCP2	0.558666666666667
OR52H1	0.7655
C20orf149	0.74325
RBP5	-0.364166666666667
HYAL3	-0.5655
CLPB	-0.56275
SMNDC1	0.45825
DONSON	-0.0178333333333333
FLJ27523	0.22375
BARHL2	0.0205
SLC30A9	0.122833333333333
TMPRSS11B	0.439
E2F8	-0.6385
CCDC25	-0.822583333333333
C14orf48	-0.1915
C20orf116	0.178
TSPAN11	-0.3145
YIF1B	-0.897833333333333
FAM12B	0.72775
OR1L6	0.132
HPN	-1.287
NBN	0.538625
C14orf94	-0.9265
OCLM	0.21
ZSCAN18	0.2167
L3MBTL	-1.6475
TSTA3	1.31833333333333
RAC1	0.485125
C19orf15	0.0106666666666667
NFE2	-3.82025
KLK14	0.205
ARSF	2.7905
MAST2	-0.102166666666667
AMICA1	2.04266666666667
GTF2A1	0.072875
ATP1A3	0.28125
TC2N	4.5194
PNKP	0.00625
ODZ2	0.513625
MATR3	-0.0395
S100P	0.529
KRT82	0.496
CA13	0.452
PROZ	-2.04683333333333
AASDH	1.081
C19orf40	0.612333333333333
DCK	0.0191538461538461
FAM5C	3.49025
SLC6A4	-2.4235
MID1IP1	-0.11925
TESSP5	0.1755
TMOD4	0.4855
DOCK2	-1.05866666666667
TUG1	0.703875
NUP214	-0.799
DPYSL2	-1.40013636363636
GOLM1	0.42525
MPFL	0.332
SOX13	0.72725
SDCCAG8	1.6295
KEL	-2.22016666666667
NUP210L	-2.28475
GK	0.510125
DNAJB1	1.7135
ALPK3	0.533
CHID1	-1.2302
CYLC2	0.2675
IKZF5	0.157
C8orf51	1.49783333333333
PPM1J	-1.222
GIMAP8	2.579
GPR101	-0.001
NR2F1	0.9485
ACAD8	-0.06225
RBM35A	2.104
GNAI2	-0.616
METTL8	0.27
SLC39A7	-2.06175
FBXO8	0.568
CAMK1	-0.571
RFC3	-0.916625
FAM129A	-0.687214285714286
ILF2	0.724
FGFBP3	-0.676375
NOM1	-0.157166666666667
PSMA3	-0.339
ASCC3	1.1386
ZYG11A	-0.73575
SOX21	-1.540875
LYRM1	-0.20425
DEFB1	3.5595
LOC91431	-2.11833333333333
OR7C2	1.0775
FAM46B	0.318
TMEM18	-1.6645
ARHGAP30	1.321
TMEM86A	1.82216666666667
EPHA2	-0.530666666666667
C10orf46	0.96385
TCHH	-0.0205
C3orf30	0.567
LOC285636	-0.0075
PAIP2	-0.08825
CYP2U1	-0.426125
C12orf34	0.944
SARS2	-0.537333333333333
ZCWPW1	0.58175
SAMD12	1.548625
KIAA1430	-0.00962500000000001
ACAT1	-0.37625
MEOX1	-0.279166666666667
ADAMDEC1	5.35425
PHKA2	-0.5265
CARD11	-1.59266666666667
CALML4	-1.18
TSSC1	-0.37275
TMEM45A	3.78055555555556
MPP7	1.8225
POU1F1	-0.338
SLC2A13	-0.4212
FBN2	-0.330642857142857
ZC3H7A	-0.2671
LAIR2	-0.4805
ST3GAL1	-0.0128333333333333
LCT	3.2205
GEMIN8	0.577333333333333
KLF16	-1.5296
HIF3A	0.1695
FAM44A	0.479285714285714
AQP10	-1.4083
PLA2G2A	1.956
FOLH1	2.19316666666667
C20orf186	0.224
MAPKAP1	-0.497625
SPRR2D	-0.1595
UBQLN4	-0.0165
RSHL1	0.0275
PIAS3	0.283
MRPL24	0.45025
GREB1	-4.025625
FAM27E3	0.1825
NUP62CL	-1.52975
NEUROG3	-1.3885
REEP3	1.88016666666667
MARK1	1.404
LMBRD1	1.70325
PRPF19	-1.1395
PNMT	1.74266666666667
CTGLF1	-1.584
SLC25A16	-0.76
EIF2B3	-0.443
RPA2	-1.284
PAK6	1.19733333333333
CCDC26	-4.749375
SEMA3E	3.236375
MXD4	0.4657
TNFSF10	4.4308
SMARCB1	-1.00083333333333
DTX3L	0.834333333333333
PLA2G4E	0.362
PPAP2A	-0.16175
ULK1	0.482833333333333
TAS1R3	0.209
SLC2A3	-2.753
ARID3A	-2.18425
GNG5	0.03725
ACOX1	1.155
KIF5B	1.06075
NUP153	-0.598
MUC7	-0.5515
CSDE1	0.273928571428571
CLPTM1	-0.24225
C3orf23	0.165125
LRRC17	-3.71233333333333
TTYH3	0.1495
ATP5B	-0.662
ELF3	1.8487
CPSF3L	-1.108
ZNF665	0.587833333333333
TLR6	0.5278
GPI	0.276
RAD9A	-0.327125
NDST4	-1.3835
AGPAT3	-0.357833333333333
MAGI3	1.37333333333333
ADORA2A	0.44125
CACNG7	0.055
CAMK2D	0.588714285714286
CCHCR1	-1.484
RPS27A	0.0355
OR10G7	0.617833333333333
GCM2	0.011
FAM135B	0.5284
E2F1	0.07275
PLCB3	-0.34425
OR2AE1	0.256
COIL	0.205666666666667
CDC25C	-1.50366666666667
RAB11FIP2	0.26425
TSC2	-0.86075
CTGLF5	-1.121
CCDC108	0.1647
OR13C4	0.242
C10orf81	3.267
PTPRB	1.1635
ACP2	-0.18
LAG3	0.7495
MRPL54	1.289
LOC201175	-1.392
ITGB1BP3	-1.9085
SPTAN1	0.371333333333333
SIPA1L2	1.72375
RCAN2	1.184
CDX2	-1.186
ECOP	0.57675
ACTR1A	-0.403714285714286
PPARG	-1.62916666666667
BBS10	0.150833333333333
TMEM44	-1.120875
BPIL2	-0.47075
CITED1	-1.51175
IRF6	3.0635
PRDM4	0.493166666666667
RRP9	-0.8315
OR10H4	0.53525
IL31RA	-0.25825
GNB1L	-1.3785
MYBL2	-0.889375
ZNF407	0.936333333333333
PPIG	0.511833333333333
TTC18	-0.9695
RPSA	-1.1385
MAPT	-0.598714285714286
MRE11A	-0.025
C8orf37	0.134833333333333
RASGEF1C	-0.0673333333333334
STBD1	2.2295
CTAG2	-0.65
MGAT5B	-1.741
ECM1	0.09975
RLN1	0.8565
PARP14	0.5731875
EPB41L1	0.9264
HOXA3	-1.824
MAGEA9	-5.01875
RPS8	-0.617333333333333
RPS19BP1	-0.274
FOXJ2	1.19425
C10orf76	-0.121
IL17RE	-0.39325
C10orf65	-2.32275
ZNF343	-0.561333333333333
FBXO33	-0.377375
UHMK1	1.491
LY6G6C	0.04975
FGF19	-1.80175
C14orf128	1.619
IFIT2	1.151625
TIGD1	-0.20175
S100G	-1.3855
GUCY1B3	3.775
NR3C1	-0.4335
CORO1B	-0.765833333333333
PARP11	0.547166666666667
DNALI1	-0.525
OR4N4	0.2815
MAP2K6	0.379166666666667
FSTL4	-0.2765
ANKRD47	0.364625
TMEM171	1.935
PNLIP	-0.43475
YY1	0.123
CCDC138	-1.79366666666667
AASDHPPT	-0.2788
CKS1B	0.4998
MCM3	-0.534666666666667
ANAPC7	0.00783333333333333
FAM110A	1.01925
CDC37L1	0.923166666666667
THTPA	-0.3105
NBPF20	-0.2345
WDR24	-0.98625
NPTX2	-1.35625
CBLB	0.386333333333333
CETN1	-0.449166666666667
RPUSD1	-0.2155
FAF1	-0.7325
CDK6	-1.3796
HMX2	0.5685
CSK	-0.7635
TEAD2	1.0025
SNAP25	-1.042
TUFT1	1.6577
TMTC3	1.0295
LCK	-2.597
SGOL1	0.115833333333333
AKTIP	2.2345
FURIN	-0.66975
SOX12	-1.41666666666667
DEFB103A	5.745
RAMP1	-0.34875
KIR3DX1	0.1115
GAS2L3	0.2425
PDE8A	1.2207
EDN3	-0.677
GMIP	0.93075
SF3A2	-1.118
FN3KRP	0.2835
SMAD7	1.369
RHBDD2	-0.10125
OR11H6	0.17
PPP1R3B	0.5409
C9orf23	-1.022
CADPS	-2.3525
GOLGA8A	-2.31925
TMEM57	0.450166666666667
RGL3	-0.379
S100A14	1.4945
FGFR2	0.409625
XRCC3	-0.38325
RTN4RL2	0.131
MGC3771	-0.047
GH2	-0.0113333333333333
BTBD2	-1.01475
LMO2	-0.5085
RDBP	-0.967375
ACRBP	-2.228
AMY2A	4.281
DUOXA1	1.2875
PTK7	0.656
TWF2	-0.6905
FAM80A	-1.124
TNNI2	-3.30166666666667
GLT25D1	0.0763333333333333
OCC-1	-0.00175
CYC1	-0.518
RPL22	-0.0942727272727272
MORN3	1.354
DISP1	1.8945
PRB2	0.3305
CHUK	0.801
HR	1.422125
CCDC134	-0.002
DENND4B	-0.67925
C14orf130	0.356625
RAB33A	-0.56725
DCST2	0.051
TNMD	-3.16925
PEX7	1.06425
FAM62A	0.27175
SRD5A2L	3.5045
IL22	0.315
RPS26	-0.148166666666667
HOXC5	0.022
SPATA6	0.689
FLJ38482	0.55275
ZNF234	1.679
C18orf22	0.41225
SPATA22	-0.49225
THOC1	0.63875
CYP7B1	4.46925
KCNC3	0.11925
C8orf42	-0.369
ALDH1B1	-0.770166666666667
CCDC100	-0.1867
ARMC4	-2.23825
FAM18B2	0.32775
SLC44A1	0.292
FBXO17	-2.37333333333333
C6orf107	-0.60375
C19orf29	0.588
ZC3HAV1L	0.22575
PARP6	-0.1139
SULT2A1	-4.478625
C1orf159	-0.836
TMC1	0.095
CHST14	-0.859125
GAMT	-2.8205
SMCP	-0.166333333333333
TSPAN33	-0.0184166666666667
MIDN	-0.98625
NOX4	2.47475
RNASEN	0.3254
TBX1	0.0333333333333333
SALL2	-2.5225
C10orf35	0.87025
CYP2E1	-0.6305
LRFN2	0.357
ACO1	-1.7355
IQCG	0.0285
MEGF9	1.48925
TM7SF4	1.40125
PLEKHA1	1.00506666666667
STK33	-3.15375
C1orf210	1.4935
SNUPN	-0.1167
KIAA0406	-0.3555
C20orf29	-1.22925
TMEM55B	-0.73375
OSTM1	-0.2419375
CLCN7	-1.614
OTP	0.52175
FLJ23049	-0.7505
HEATR4	-0.206
MAP3K10	-1.77933333333333
PCDHGA9	1.2125
AMDHD2	-0.72325
LCTL	-1.5555
PDCD2L	0.0735
CABLES2	0.4305
SLC5A9	0.04925
CLCA2	5.44183333333333
MGC16025	0.569
STRAP	0.106833333333333
C20orf196	-0.8185
RRBP1	0.302333333333333
NAT13	-0.16125
MAT2B	-0.046
CSNK1D	-0.0236666666666667
KIR3DL1	0.2995
PRKAG3	0.343
ZNF599	-0.3725
PRM3	1.014
PER2	0.230833333333333
ASPHD1	-3.008
PRMT6	-0.69375
KCNE1L	-1.20585714285714
FAM118A	0.512166666666667
TAF4	1.1885
NDUFB6	-0.551
TRIM9	-2.04391666666667
PMFBP1	-0.3855
KY	0.558
DKFZp762E1312	-1.58736363636364
CSMD1	-1.786
TBP	-0.896833333333333
OR1Q1	0.654
RETNLB	0.1745
HPGD	1.57128571428571
DNAJC12	0.051
FKBP1B	-2.79375
ANKRD24	-0.744
CXXC5	-0.750166666666667
IL3	0.453571428571429
DRAM	1.2376
PTCH1	-1.21425
TP53BP1	-0.6945
SLC17A7	0.281375
COL25A1	-1.1137
AMACR	0.883833333333333
RHCG	4.173
VPS13A	-0.9505
FAM55D	0.66
PRPF38B	-0.262333333333333
OSBPL6	0.32
PFDN5	-0.3604
CMTM6	0.385625
KCNK12	-1.13225
RP2	1.6175
C16orf52	-0.836
PICK1	-1.0095
IFNE1	-1.089
SEMA4B	0.51575
TYRO3	-1.32175
OR12D2	-0.154
CSNK1A1	-0.06775
FANCF	1.15125
LONP2	1.281125
TBL1Y	-0.90625
LDOC1L	0.8475
CCNC	0.52625
C3orf60	-0.60325
CHKA	-0.4265
UBAP1	0.229
MAP3K1	1.6215
ANKRD9	-1.043
FAM92A1	-0.805
GAB2	0.467
AZU1	-0.409
DIS3	0.121416666666667
C21orf109	-1.07125
IQCB1	-0.83475
SPATS2	-0.507666666666667
EFCAB3	0.286
PRB3	0.325625
FUZ	-0.883
ZNF813	1.33775
BMPER	-1.93066666666667
HEG1	-0.608125
ALS2CR11	-2.5645
SURF2	0.49
PSMC1	0.304833333333333
OR2D2	0.3495
SLC7A8	-0.225
C4orf40	-0.0055
SPATA7	-0.039
MAZ	-0.749083333333333
PIN4	-0.90675
PDE1A	-1.97725
TAF6L	-0.781166666666667
OR2T34	0.373
KIAA0284	0.94825
ACADS	-0.944363636363636
MKRN2	-0.0515
C18orf56	0.617
MS4A6E	0.4135
GALNT4	0.5364
C22orf31	0.2605
FLJ36070	-0.64
PSME4	0.53625
TFG	1.2147
EPHX2	-0.982125
ANXA5	0.310375
KRTAP1-1	-0.2103
BATF	1.80125
KARS	-1.543
MSTP9	-1.212
GPR26	-0.121375
CCDC72	-0.0195
TEF	0.234
FOXK1	-0.914
PRLHR	-0.414
EMX1	0.25875
C11orf30	-0.1765
ICK	1.10725
THSD7B	0.6035
C21orf100	-0.717
DUOX1	1.8095
EFCAB4B	-0.37325
UBE2G2	-1.24666666666667
C3orf54	0.5635
PARP1	0.61525
FAM60A	0.13025
C6orf146	-0.19375
OR9K2	0.498
DDX55	-0.678166666666667
RPS15	-0.925333333333333
ZNF618	-0.339375
DKFZp686D0972	-0.08725
SSPO	-0.6425
SHFM3P1	-0.434
CPA6	-0.798
JAG2	0.509
DEFA3	2.32925
PPBPL2	0.3046
CD34	3.458125
SLCO4A1	-0.13975
AFG3L1	-1.96966666666667
SHD	-0.34875
RP13-122B23.3	-0.965166666666667
PRKCSH	-0.298833333333333
DPH5	-0.808166666666667
HLA-F	0.999
TBC1D4	-0.71625
RIG	-0.1774
GLUD1	-0.584333333333333
HNRPCL1	0.7515
HBXIP	0.4605
RNF207	-0.3325
APIP	-0.614
PLA2G3	-2.41333333333333
CCDC84	-0.435
MYLIP	-0.962307692307692
PHIP	0.33625
AARS2	-0.372
DHX32	0.73975
SCAPER	0.307
MEN1	-0.54825
NIP7	-0.0135
FLJ25404	0.4245
FASTKD3	-0.34875
TMEM158	-2.94616666666667
RARA	0.702
BDH1	0.4365
ANKRD16	1.90725
CARM1	1.0895
SS18	0.888833333333333
IKZF2	0.48875
MYD88	0.196875
PML	-0.03305
TAF1A	0.565
CBFB	0.401375
HIST1H3H	-1.48833333333333
C7orf29	-1.40125
COMMD4	-1.1885
DPP3	-0.126
DAB2	-0.146375
LOC388882	0.099
YPEL4	-0.917125
AGBL3	0.3715
LRP6	0.029
SERPINH1	-0.291916666666667
TLE1	0.5845
CD244	0.7005
ZDHHC15	-1.086
MGLL	-1.3032
PLDN	0.06725
LOC654346	0.8415
FAP	2.56025
GPR37	1.84733333333333
SCARA5	-1.15666666666667
EBF4	0.124
LSM6	0.081
MLLT1	-0.729125
SLC5A12	-0.34075
A2BP1	-1.67016666666667
COPS5	0.162666666666667
TPM4	1.27771428571429
TNFSF4	0.0175
ACADSB	0.972611111111111
HERPUD1	0.59925
BCL2L11	0.056
CEP78	-0.68075
CDCA3	-0.167375
WBSCR19	-0.463
MYO1A	-2.6915
PPEF1	2.28683333333333
LOC440348	0.09675
CPEB2	0.98425
BPTF	0.496
RPL21	-0.571
GSX2	0.121
ADPRH	0.661166666666667
C17orf68	-0.928833333333333
KCNS1	0.186166666666667
MLLT6	-0.8496
PIWIL4	-0.49925
RNF26	-1.27225
RAP1B	0.45925
ADAMTS1	-1.1586
ZNF571	1.211
P2RY6	0.026
TRIM21	0.413666666666667
CADM3	-0.1795
NLRC5	0.883
ADRA2B	-0.269666666666667
LOC90835	-0.2505
PCF11	0.36475
LOC400451	-0.36575
GLTSCR1	-0.41
C17orf88	-0.612333333333333
CDH16	0.047
FGF7	1.07025
PCSK4	-1.08383333333333
NPC1L1	-1.21216666666667
TAT	0.141
TBCA	-0.463
MGC33407	0.16275
GPR115	3.459
CYGB	0.1705
FNBP4	-0.930166666666667
C12orf43	-0.64025
CBL	-0.1523
CLECL1	0.51475
PPAPDC1A	1.273
WDR25	-0.5635
SGCA	-0.216
C22orf29	-0.601333333333333
YIPF1	0.6275
GALK2	-0.1555
RAB3B	-3.10366666666667
LOC440087	-0.75375
UCP1	-0.054
REEP5	0.92575
FADD	0.4203
FOXA1	1.85575
CACNA1A	-0.126666666666667
ABI1	0.749333333333333
GRIN2D	-2.8405
SLC1A4	-0.662333333333333
LOC401127	1.153
HINT2	-0.6555
PLD4	-0.621833333333333
ZNF286A	0.38575
ENY2	0.20375
IL1F6	0.3435
PXDNL	3.30875
C20orf79	-0.091
TNFSF13B	3.05233333333333
DENND3	-0.361875
JARID1D	-2.523
HIST1H2AK	-0.2325
LOC93349	-0.1566
SSH1	-0.5251
ENSA	0.626
LOC219854	0.102833333333333
CKAP2	-0.289
DKFZP564J102	-0.611833333333333
MGC87315	0.133166666666667
HNRPAB	-0.30875
AMH	-1.434
ZNF526	0.6515
BRUNOL5	1.3903
CACNG3	0.239833333333333
TRPM1	-1.52
PPP2R1A	-0.00949999999999997
COL2A1	-1.646
DDN	0.00866666666666667
FLJ25770	0.806909090909091
HK2	0.199928571428571
ELOVL6	-1.5515
MDK	0.2205
EPHX1	1.02225
RASSF2	-0.061125
DKFZP434B0335	-0.6055
DLX3	0.348625
PRTN3	-0.70675
AVPR1A	1.64025
C21orf125	-1.47625
TNFAIP8	0.0233333333333333
GNB2L1	-1.426
CALCRL	2.791
SCGB2A2	7.697
UBXD7	-0.303
ZNF674	0.4725
TMEM35	-1.15375
BRSK2	-0.819
HECTD3	-0.0911666666666667
TMEM188	0.344916666666667
LGALS9	1.185125
SCARB2	2.08175
USP34	0.5465
C17orf28	0.991416666666667
ZDHHC23	-0.8765
AQP12B	-0.1765
SLC16A3	-1.1325
APLP2	0.922625
ITIH2	-5.4285
MICAL3	0.22475
TNNI3K	-0.0556
HDAC2	0.567375
PRR7	-2.215
THBS2	-0.54875
LOC751071	-0.511833333333333
CA2	1.84583333333333
RANBP17	0.33625
RLN3	0.16825
CRYZ	0.829166666666667
GBAS	-0.368
TAS1R1	-0.878
MPZL3	1.632
PCDH8	-2.98233333333333
HSP90B1	0.605833333333333
KCNK15	-0.9725
TNIP2	0.00850000000000001
GPR146	-0.474
NOL6	-0.6845
SPC25	-1.48622222222222
STEAP2	1.84014285714286
VAMP3	-0.610666666666667
TCIRG1	0.05075
ZP4	-0.393666666666667
PARL	0.26375
TRIM39	-0.353
KIAA1305	-0.21775
CRNN	0.460166666666667
GRN	-0.20325
HSH2D	-1.9845
SCAMP1	0.7585625
KIAA1913	0.6805
PTS	0.807
BANP	0.172642857142857
PRKACG	0.053
ADCY6	-0.584666666666667
C16orf46	0.129
CYP51A1	-1.18875
DDC	-3.62725
ANPEP	-1.25983333333333
PROM1	1.7865
SIGLEC10	1.386
COPG	0.5445
FAM26E	1.021125
TRIP4	1.1025
SNX3	0.927166666666667
C1orf175	0.144833333333333
PPY2	-0.15325
C14orf152	0.23175
FTSJ1	-0.703166666666667
DST	0.551
LOC554235	0.099
GLRX5	0.29225
C20orf12	1.0033
CAB39	1.41566666666667
MSH2	-0.757666666666667
PIP4K2C	1.521125
CYLD	1.4745
WTAP	0.6759375
MGAT4A	2.24522222222222
TSC22D4	-1.7683
CHRM2	-2.0455
PPYR1	0.239833333333333
CCNH	-0.469166666666667
RRM1	-0.24075
ECAT8	-3.09975
LOC400120	-0.20325
GABRA4	-0.199375
C14orf4	-0.414
C1orf59	0.2255
CTDSPL	-0.0345833333333333
NHEDC2	-0.7805
PDE11A	-0.072875
KLHL29	-2.39375
CD5	-1.0413
TSPAN9	1.3246875
WDR67	0.1385
THUMPD1	0.3442
C18orf17	-0.14675
CLYBL	0.207166666666667
FLJ13231	-0.87175
CMBL	0.689375
LECT2	-0.09625
NKAPL	1.7885
LOC654780	0.446
OR4C6	0.467
RAB30	0.190333333333333
TSSK4	0.126
TMEM163	0.8025
OSBPL11	0.077
GNB5	-0.142833333333333
CCL21	0.99325
C1orf121	1.54483333333333
FMO2	1.19716666666667
RPTN	1.606
MSTN	-0.193
VCL	-0.423214285714286
FYTTD1	0.872
C11orf1	-0.3165
CCDC88C	0.157125
HFE	0.296388888888889
MOGAT1	0.187
FAM125B	1.48683333333333
IRGQ	-0.8535
RAVER2	-0.1955
AKAP5	-0.436
SSSCA1	-0.444
C11orf63	-0.7
ACTG2	0.5683
PORCN	-0.392
DTL	-0.986272727272727
TMEM151	0.27925
FAM122C	0.14375
RSAD2	3.0864
BAT4	-1.5445
KRTDAP	1.07166666666667
MYH8	0.026875
CRTC3	0.38375
LRRFIP2	0.2568
INTS4	0.380166666666667
TTN	-1.02283333333333
SLC26A5	0.3805
PLLP	-1.56275
RGS6	0.3495
SRGAP3	-0.316
ZNF525	0.883166666666667
NBR2	-1.182
C13orf1	1.2729
ZNF137	0.969
CEP27	-0.9895
BEST2	0.3515
RNF121	0.4825
DMRTC2	0.3995
C8orf76	0.9535
BCCIP	0.1125
MEST	0.35075
HTRA2	-0.687
ANGPTL2	0.32525
ILKAP	-0.168666666666667
ERAS	-0.078
HBS1L	-0.629625
CPA5	0.6865
TMEM30A	1.55916666666667
CD300LF	2.27633333333333
WISP3	4.634
CRK	0.0490714285714286
PDS5A	0.0217
BRPF3	0.0678333333333333
NEDD9	-0.728
SMPDL3B	1.206
PSG6	0.05075
PSMD13	-0.47075
ETV5	-3.156125
OR51A4	0.3635
BTBD7	0.84425
GSTO1	-0.797625
hCG_16001	0.8425
MAD2L1BP	0.305333333333333
COX6A2	-3.0525
SCNN1A	2.55816666666667
LSM1	0.418166666666667
UGT2B11	3.303
IDUA	0.347
PPP2R3C	-0.159666666666667
COX11	0.3375
PDZK1	0.5675
ZNF443	2.05183333333333
MGC21874	1.33816666666667
ZNF323	0.1779
KRTAP10-10	0.857
CXCL6	5.292
SLC34A2	0.7168
LOC284402	-0.021
NPTN	1.83091666666667
UPP1	0.130166666666667
SLC6A9	-0.0745
OR7G3	0.5625
CISD1	0.4665
ZNF545	-0.267
SYT14	-0.376
NT5C3L	-0.599
ZNHIT3	0.535666666666667
SNRPD3	-0.1905
KIAA0701	0.282
UNC93B1	0.0631666666666667
GMNN	-0.9175
SPCS2	1.355
LOC388524	0.129
NAPRT1	0.0015
PNLIPRP1	-0.90975
OR6V1	0.4835
PRKAB1	-0.823
EYA4	-2.80733333333333
KIF20A	-1.1525
ALG10	0.8205
ITPKC	0.940833333333333
LMX1B	0.537
RPUSD4	-0.449166666666667
C7orf34	0.218666666666667
DLGAP2	0.375375
PFN1	-0.6394
MICALL2	-0.107
ZNF654	1.2455
SS18L1	0.737875
SLC16A8	0.05725
