Hybridization REF	TCGA-AN-A0XN-01A-21R-A109-07
RSHL1	0.4775
PIAS3	0.394625
MRPL24	-0.2095
GREB1	-1.111875
FAM27E3	-2.0325
NUP62CL	-1.8525
NEUROG3	0.612
REEP3	0.97275
MARK1	1.212
LMBRD1	0.94875
PRPF19	-1.1545
PNMT	-1.3705
CTGLF1	-1.1015
SLC25A16	-0.60175
EIF2B3	-1.2745
RPA2	-0.77725
PAK6	0.798833333333333
CCDC26	-4.32625
SEMA3E	0.911125
MXD4	0.6177
TNFSF10	3.1814
SMARCB1	-0.130166666666667
DTX3L	1.21983333333333
PLA2G4E	1.428
PPAP2A	1.02125
ULK1	-0.848
TAS1R3	-0.0855
SLC2A3	-1.06627272727273
ARID3A	-2.0685
GNG5	0.1715
ACOX1	-0.1351
KIF5B	0.27475
NUP153	-0.6625
MUC7	-0.354
CSDE1	-0.448285714285714
CLPTM1	0.1845
C3orf23	-0.244
LRRC17	0.131333333333333
TTYH3	-0.14
ATP5B	-0.7725
ELF3	0.9515
CPSF3L	0.0218333333333333
ZNF665	0.533166666666667
TLR6	1.2723
GPI	0.492625
RAD9A	-0.528375
NDST4	-3.45475
AGPAT3	-0.224
MAGI3	1.61566666666667
ADORA2A	0.04825
CACNG7	0.1765
CAMK2D	0.568642857142857
CCHCR1	-1.332
RPS27A	-0.30475
OR10G7	0.437166666666667
GCM2	0.3895
FAM135B	1.566
E2F1	-1.626
PLCB3	0.32275
OR2AE1	1.0715
COIL	-0.391333333333333
CDC25C	-1.77883333333333
RAB11FIP2	0.646083333333333
TSC2	-0.12225
CTGLF5	-1.3965
CCDC108	0.4224
OR13C4	-0.019
C10orf81	5.401
PTPRB	1.43075
ACP2	0.51825
LAG3	0.73775
MRPL54	-0.07875
LOC201175	0.7235
ITGB1BP3	-1.6415
SPTAN1	-0.204
SIPA1L2	2.72975
RCAN2	-0.777
CDX2	0.243
ECOP	0.337
ACTR1A	0.369285714285714
PPARG	-0.998666666666666
BBS10	0.286
TMEM44	-0.70775
BPIL2	0.16975
CITED1	-2.263
IRF6	3.56925
PRDM4	0.279833333333333
RRP9	-1.0435
OR10H4	0.6425
IL31RA	-0.98825
GNB1L	-0.8055
MYBL2	-2.227
ZNF407	0.5875
PPIG	0.192
TTC18	1.87925
RPSA	0.3805
MAPT	0.5155
MRE11A	-0.281928571428571
C8orf37	-0.148166666666667
RASGEF1C	-0.160333333333333
STBD1	-0.245
CTAG2	-0.4685
MGAT5B	-1.9565
ECM1	1.826
RLN1	0.2795
PARP14	0.8165
EPB41L1	0.4698
HOXA3	-0.114583333333333
MAGEA9	-4.4185
RPS8	-0.137833333333333
RPS19BP1	0.2765
FOXJ2	0.208875
C10orf76	0.26325
IL17RE	0.456
C10orf65	-2.2895
ZNF343	0.038
FBXO33	0.364875
UHMK1	1.0278
LY6G6C	-0.43475
FGF19	-2.47975
C14orf128	0.199666666666667
IFIT2	2.931375
TIGD1	-0.347
S100G	0.336
GUCY1B3	3.2495
NR3C1	0.0317
CORO1B	0.483333333333333
PARP11	0.303333333333333
DNALI1	4.24766666666667
OR4N4	0.025125
MAP2K6	-0.662833333333333
FSTL4	0.1955
ANKRD47	1.244
TMEM171	-0.6465
PNLIP	-0.89025
YY1	0.0563333333333333
CCDC138	-1.861
AASDHPPT	0.4798
CKS1B	-1.3202
MCM3	-1.26466666666667
ANAPC7	-0.00666666666666668
FAM110A	1.103
CDC37L1	1.125
THTPA	0.4675
NBPF20	-0.3425
WDR24	-0.297
NPTX2	-0.44225
CBLB	1.04283333333333
CETN1	0.4615
RPUSD1	-0.1995
FAF1	-0.24525
CDK6	-2.0092
HMX2	0.8545
CSK	-0.457
TEAD2	0.55025
SNAP25	-0.644
TUFT1	0.9768
TMTC3	0.398166666666667
LCK	-2.03625
SGOL1	-1.34016666666667
AKTIP	0.983
FURIN	-0.2225
SOX12	-1.07016666666667
DEFB103A	-0.4755
RAMP1	2.23475
KIR3DX1	0.576
GAS2L3	-0.33325
PDE8A	-1.5003
EDN3	-0.557
GMIP	0.876
SF3A2	0.59775
FN3KRP	-0.15775
SMAD7	1.4185
RHBDD2	0.488
OR11H6	-1.4465
PPP1R3B	1.526
C9orf23	0.0545
CADPS	-1.48925
GOLGA8A	-2.917875
TMEM57	0.0668333333333333
RGL3	-0.2405
S100A14	2.88125
FGFR2	1.5145
XRCC3	-1.2025
RTN4RL2	0.48575
MGC3771	1.2075
GH2	0.0986666666666667
BTBD2	-0.13775
LMO2	0.628
RDBP	-0.31425
ACRBP	-1.095
AMY2A	2.00075
DUOXA1	0.959
PTK7	1.60366666666667
TWF2	0.463
FAM80A	-2.0705
TNNI2	-1.814
GLT25D1	0.718
OCC-1	-1.85875
CYC1	-0.621833333333333
RPL22	-0.125
MORN3	0.620666666666667
DISP1	1.35425
PRB2	-0.3305
CHUK	-0.1305
HR	0.163
CCDC134	0.1065
DENND4B	-1.122
C14orf130	-0.4265
RAB33A	0.259
DCST2	-0.1275
TNMD	-2.0835
PEX7	0.33075
FAM62A	0.176375
SRD5A2L	0.346
IL22	0.32425
RPS26	-1.02916666666667
HOXC5	0.582
SPATA6	0.40075
FLJ38482	0.22275
ZNF234	0.2085
C18orf22	0.40625
SPATA22	0.0515
THOC1	-0.7015
CYP7B1	2.2375
KCNC3	0.701
C8orf42	0.232
ALDH1B1	1.26433333333333
CCDC100	-0.0161
ARMC4	-2.207
FAM18B2	0.025
SLC44A1	1.73725
FBXO17	-0.46
C6orf107	0.079
C19orf29	0.07075
ZC3HAV1L	-0.21375
PARP6	-0.2757
SULT2A1	-4.0275
C1orf159	-1.03825
TMC1	-0.43075
CHST14	0.30825
GAMT	-0.402333333333333
SMCP	0.178333333333333
TSPAN33	1.167
MIDN	-0.293375
NOX4	4.67875
RNASEN	-1.1162
TBX1	-0.829166666666667
SALL2	-0.99775
C10orf35	0.12225
CYP2E1	-0.323875
LRFN2	1.8585
ACO1	-0.5135
IQCG	0.9588
MEGF9	0.56625
TM7SF4	1.95975
PLEKHA1	0.331266666666667
STK33	-2.609
C1orf210	1.23525
SNUPN	-0.1283
KIAA0406	-0.7809
C20orf29	-0.27625
TMEM55B	-0.36425
OSTM1	-0.5956875
CLCN7	0.417
OTP	0.14525
FLJ23049	-0.6475
HEATR4	0.598
MAP3K10	0.47
PCDHGA9	0.3735
AMDHD2	0.1385
LCTL	-1.834
PDCD2L	-0.0315
CABLES2	-0.32175
SLC5A9	-0.3875
CLCA2	-1.0065
MGC16025	-1.114
STRAP	-1.09933333333333
C20orf196	-0.28
RRBP1	0.248666666666667
NAT13	-0.5445
MAT2B	-0.05075
CSNK1D	-0.554333333333333
KIR3DL1	0.43975
PRKAG3	0.4365
ZNF599	0.7555
PRM3	0.058
PER2	1.1185
ASPHD1	-0.607
PRMT6	-0.933
KCNE1L	0.423785714285714
FAM118A	0.331333333333333
TAF4	-0.23675
NDUFB6	-0.5475
TRIM9	-0.257666666666667
PMFBP1	-0.23675
KY	-0.327
DKFZp762E1312	-2.22963636363636
CSMD1	-1.002
TBP	-0.761166666666667
OR1Q1	0.0486666666666667
RETNLB	0.22675
HPGD	-0.315
DNAJC12	-2.19
FKBP1B	-1.1025
ANKRD24	-0.181333333333333
CXXC5	0.342333333333333
IL3	0.123
DRAM	1.1245
PTCH1	-1.136625
TP53BP1	0.049
SLC17A7	-0.07325
COL25A1	-1.2236
AMACR	0.2345
RHCG	-0.7565
VPS13A	-0.423083333333333
FAM55D	0.8845
PRPF38B	-0.862583333333333
OSBPL6	0.36
PFDN5	0.3864
CMTM6	0.658375
KCNK12	-1.318
RP2	0.08925
C16orf52	-1.34
PICK1	0.635
IFNE1	-0.633666666666667
SEMA4B	-0.16325
TYRO3	-1.4835
OR12D2	-0.2215
CSNK1A1	-0.4942
FANCF	0.22525
LONP2	0.1065
TBL1Y	0.288
LDOC1L	-0.024375
CCNC	0.508
C3orf60	-0.1995
CHKA	-0.1
UBAP1	0.60225
MAP3K1	0.69
ANKRD9	-1.3855
FAM92A1	-1.05383333333333
GAB2	0.201125
AZU1	-0.1915
DIS3	-0.136416666666667
C21orf109	-0.522
IQCB1	-0.47525
SPATS2	-0.13
EFCAB3	0.2095
PRB3	0.065375
FUZ	0.456
ZNF813	0.2685
BMPER	-0.732833333333333
HEG1	1.02875
ALS2CR11	-1.0195
SURF2	-0.77875
PSMC1	0.115166666666667
OR2D2	0.2125
SLC7A8	1.185
C4orf40	-0.198
SPATA7	0.55425
MAZ	-1.61616666666667
PIN4	-0.21275
PDE1A	-0.372625
TAF6L	-0.253
OR2T34	0.4155
KIAA0284	-0.0335
ACADS	-0.472545454545455
MKRN2	-0.1565
C18orf56	-2.1475
MS4A6E	0.159666666666667
GALNT4	-0.0232
C22orf31	-0.2815
FLJ36070	0.0505
PSME4	-0.02925
TFG	0.2045
EPHX2	-0.70725
ANXA5	0.565875
KRTAP1-1	0.105
BATF	1.43925
KARS	-0.64825
MSTP9	-0.6875
GPR26	0.142125
CCDC72	-0.13825
TEF	0.689333333333333
FOXK1	-0.3728
PRLHR	0.5865
EMX1	1.23375
C11orf30	0.38925
ICK	0.453875
THSD7B	-0.12475
C21orf100	-0.871
DUOX1	1.9645
EFCAB4B	-0.392
UBE2G2	-0.738166666666667
C3orf54	0.9175
PARP1	-0.6785
FAM60A	-0.796083333333333
C6orf146	1.20275
OR9K2	0.9065
DDX55	-1.45866666666667
RPS15	0.722083333333333
ZNF618	0.955125
DKFZp686D0972	1.1295
SSPO	-0.877
SHFM3P1	0.0718333333333333
CPA6	-0.161
JAG2	0.40775
DEFA3	0.227
PPBPL2	0.232666666666667
CD34	4.41425
SLCO4A1	-2.129875
AFG3L1	-1.959
SHD	-0.9225
RP13-122B23.3	-1.03116666666667
PRKCSH	-0.723833333333333
DPH5	-0.187166666666667
HLA-F	2.465
TBC1D4	-1.23975
RIG	0.451333333333333
GLUD1	0.304666666666667
HNRPCL1	-0.038125
HBXIP	-0.50975
RNF207	-0.2895
APIP	-1.51675
PLA2G3	-2.437
CCDC84	-1.35275
MYLIP	-0.647230769230769
PHIP	-0.51325
AARS2	0.0256666666666667
DHX32	0.106
SCAPER	-0.0126666666666667
MEN1	0.038875
NIP7	-0.9035
FLJ25404	1.1075
FASTKD3	-0.20375
TMEM158	-0.00266666666666666
RARA	1.581
BDH1	0.3645
ANKRD16	0.4755
CARM1	0.3085
SS18	0.428166666666667
IKZF2	-0.434333333333333
MYD88	0.790625
PML	0.7806
TAF1A	-0.61825
CBFB	-0.44925
HIST1H3H	-0.658833333333333
C7orf29	-1.798
COMMD4	-0.846166666666667
DPP3	-1.1985
DAB2	1.818375
LOC388882	-0.161
YPEL4	0.666625
AGBL3	1.20425
LRP6	-0.4109
SERPINH1	0.99025
TLE1	-0.23425
CD244	0.0371666666666667
ZDHHC15	0.3845
MGLL	0.1893
PLDN	0.559916666666667
LOC654346	1.8985
FAP	4.23225
GPR37	-1.21216666666667
SCARA5	-1.68666666666667
EBF4	1.845
LSM6	-0.66725
MLLT1	0.0995
SLC5A12	-0.2525
A2BP1	-1.5975
COPS5	-0.155333333333333
TPM4	0.585
TNFSF4	2.66216666666667
ACADSB	0.441833333333333
HERPUD1	0.95525
BCL2L11	-0.542055555555555
CEP78	-1.2005
CDCA3	-1.881625
WBSCR19	-0.6165
MYO1A	-2.3235
PPEF1	4.58883333333333
LOC440348	-1.074
CPEB2	0.846125
BPTF	-0.48425
RPL21	0.44125
GSX2	0.759
ADPRH	1.58366666666667
C17orf68	0.146166666666667
KCNS1	-0.766666666666667
MLLT6	-0.0505
PIWIL4	0.82225
RNF26	-0.59225
RAP1B	0.588
ADAMTS1	-2.5102
ZNF571	0.59325
P2RY6	0.5705
TRIM21	1.02766666666667
CADM3	0.48025
NLRC5	0.700833333333333
ADRA2B	-0.3095
LOC90835	-1.219375
PCF11	0.14775
LOC400451	0.69575
GLTSCR1	0.4957
C17orf88	-0.632333333333333
CDH16	-1.4025
FGF7	3.84
PCSK4	0.244833333333333
NPC1L1	-1.354
TAT	-0.15425
TBCA	-0.982
MGC33407	0.311
GPR115	-1.335625
CYGB	1.371
FNBP4	-0.884
C12orf43	-0.06025
CBL	-0.0455
CLECL1	2.673
PPAPDC1A	3.90725
WDR25	0.2615
SGCA	0.8765
C22orf29	-0.492666666666667
YIPF1	1.12475
GALK2	-0.75075
RAB3B	-1.76025
LOC440087	-0.41425
UCP1	-0.8275
REEP5	1.0235
FADD	-0.3574
FOXA1	1.743625
CACNA1A	0.3585
ABI1	0.624666666666667
GRIN2D	0.62425
SLC1A4	0.434333333333333
LOC401127	-0.99425
HINT2	-0.2195
PLD4	0.631833333333333
ZNF286A	-0.661
ENY2	-0.31
IL1F6	0.1985
PXDNL	2.67025
C20orf79	-0.529
TNFSF13B	3.88583333333333
DENND3	0.711875
JARID1D	-3.43825
HIST1H2AK	0.16025
LOC93349	-0.3605
SSH1	-0.3279
ENSA	-1.086
LOC219854	0.0175
CKAP2	-1.2609
DKFZP564J102	0.6105
MGC87315	0.458666666666667
HNRPAB	-0.881
AMH	-2.8045
ZNF526	1.1275
BRUNOL5	0.2079
CACNG3	0.159833333333333
TRPM1	-2.0135
PPP2R1A	-0.220625
COL2A1	-1.72675
DDN	-0.4645
FLJ25770	0.178583333333333
HK2	-0.5975
ELOVL6	-1.849375
MDK	-1.1925
EPHX1	1.8115
RASSF2	1.1075
DKFZP434B0335	-0.09525
DLX3	0.123875
PRTN3	-0.00525
AVPR1A	1.44625
C21orf125	-2.462
TNFAIP8	-0.580666666666667
GNB2L1	-0.1655
CALCRL	3.66025
SCGB2A2	9.2095
UBXD7	-0.099
ZNF674	-0.59
TMEM35	-0.035125
BRSK2	-1.05175
HECTD3	-0.422166666666667
TMEM188	0.0538333333333333
LGALS9	2.185125
SCARB2	1.43666666666667
USP34	0.215166666666667
C17orf28	0.78825
ZDHHC23	-1.13825
AQP12B	0.2195
SLC16A3	0.041
APLP2	0.437875
ITIH2	-5.5005
MICAL3	-0.4535
TNNI3K	0.3028
HDAC2	0.51525
PRR7	-0.1558
THBS2	2.761625
LOC751071	-0.266666666666667
CA2	0.283333333333333
RANBP17	0.70575
RLN3	0.18
CRYZ	0.0245
GBAS	-0.155666666666667
TAS1R1	-0.8785
MPZL3	0.015
PCDH8	-1.2225
HSP90B1	-0.0138333333333333
KCNK15	1.5975
TNIP2	-0.272833333333333
GPR146	-0.01725
NOL6	-0.164625
SPC25	-2.80322222222222
STEAP2	3.1785
VAMP3	0.647
TCIRG1	0.39525
ZP4	0.7555
PARL	0.25225
TRIM39	0.391166666666667
KIAA1305	1.43475
CRNN	-0.0746666666666667
GRN	1.2185
HSH2D	-2.21125
SCAMP1	0.436125
KIAA1913	2.75475
PTS	-0.5335
BANP	-0.0811428571428571
PRKACG	0.46475
ADCY6	0.196666666666667
C16orf46	0.2705
CYP51A1	-0.294125
DDC	-5.28825
ANPEP	0.849833333333333
PROM1	2.89866666666667
SIGLEC10	2.4285
COPG	0.3455
FAM26E	3.200125
TRIP4	0.52625
SNX3	0.658333333333333
C1orf175	0.8765
PPY2	-0.4115
C14orf152	0.2595
FTSJ1	-0.2605
DST	-0.1848
LOC554235	-0.017
GLRX5	-0.275
C20orf12	0.6512
CAB39	0.561333333333333
MSH2	-1.73466666666667
PIP4K2C	0.234125
CYLD	1.3655
WTAP	0.0663125
MGAT4A	1.94222222222222
TSC22D4	-0.2769
CHRM2	-1.316
PPYR1	0.342666666666667
CCNH	-0.926333333333333
RRM1	-1.7485
ECAT8	-3.479
LOC400120	-0.01025
GABRA4	0.0805
C14orf4	0.858166666666667
C1orf59	-0.70525
CTDSPL	0.23725
NHEDC2	-0.2775
PDE11A	-0.6485625
KLHL29	-1.13
CD5	-0.5856
TSPAN9	1.7115
WDR67	-0.8255
THUMPD1	-0.3682
C18orf17	-0.17475
CLYBL	0.278
FLJ13231	-0.560875
CMBL	0.491875
LECT2	0.201
NKAPL	2.9895
LOC654780	0.3795
OR4C6	0.1055
RAB30	-0.259833333333333
TSSK4	-0.5905
TMEM163	0.722
OSBPL11	0.2145
GNB5	-0.2655
CCL21	0.631666666666667
C1orf121	0.732
FMO2	1.2795
RPTN	1.469
MSTN	-0.024
VCL	0.722714285714286
FYTTD1	0.5
C11orf1	-0.4935
CCDC88C	-0.6375
HFE	0.252111111111111
MOGAT1	-0.106
FAM125B	0.205
IRGQ	0.1285
RAVER2	-0.2235
AKAP5	-0.9825
SSSCA1	0.5025
C11orf63	0.811875
ACTG2	2.3894
PORCN	-0.513
DTL	-1.67718181818182
TMEM151	0.67425
FAM122C	-1.5055
RSAD2	4.8803
BAT4	-0.5275
KRTDAP	0.00416666666666666
MYH8	0.561375
CRTC3	0.74325
LRRFIP2	0.3174
INTS4	0.1015
TTN	-1.18566666666667
SLC26A5	0.4235
PLLP	-1.90125
RGS6	-0.592125
SRGAP3	0.17225
ZNF525	0.2875
NBR2	-0.187333333333333
C13orf1	0.0741
ZNF137	0.205
CEP27	-1.38575
BEST2	0.2725
RNF121	0.57
DMRTC2	-0.289
C8orf76	-0.15875
BCCIP	-0.436125
MEST	-0.477
HTRA2	0.1395
ANGPTL2	2.69275
ILKAP	0.358166666666667
ERAS	0.271
HBS1L	-0.021875
CPA5	0.3495
TMEM30A	1.20866666666667
CD300LF	2.41033333333333
WISP3	0.839
CRK	0.347357142857143
PDS5A	-0.4814
BRPF3	0.169333333333333
NEDD9	-0.410875
SMPDL3B	1.6135
PSG6	1.444
PSMD13	0.094
ETV5	-0.2861875
OR51A4	-0.054
BTBD7	0.320083333333333
GSTO1	-0.191625
hCG_16001	0.5375
MAD2L1BP	-0.172166666666667
COX6A2	0.7515
SCNN1A	1.56816666666667
LSM1	1.54666666666667
UGT2B11	-4.132
IDUA	-0.00799999999999999
PPP2R3C	0.193666666666667
COX11	-0.8575
PDZK1	-4.0135
ZNF443	0.720666666666667
MGC21874	0.312833333333333
ZNF323	1.3965
KRTAP10-10	0.1855
CXCL6	-0.44475
SLC34A2	0.6255
LOC284402	0.129
NPTN	0.476666666666667
UPP1	0.00441666666666665
SLC6A9	0.0265
OR7G3	-0.14275
CISD1	-0.518333333333333
ZNF545	0.0568333333333333
SYT14	-0.1145
NT5C3L	0.762666666666667
ZNHIT3	-0.410666666666667
SNRPD3	-0.21575
KIAA0701	0.591
UNC93B1	1.005
GMNN	-2.020625
SPCS2	0.5615
LOC388524	-0.0345
NAPRT1	0.1345
PNLIPRP1	-4.16333634234434e-17
OR6V1	0.6195
PRKAB1	-0.1305
EYA4	-2.35733333333333
KIF20A	-2.36375
ALG10	-0.73175
ITPKC	0.978333333333333
LMX1B	0.439666666666667
RPUSD4	-0.577833333333333
C7orf34	-0.0505
DLGAP2	0.693125
PFN1	-0.3489
MICALL2	-0.35425
ZNF654	0.3015
SS18L1	-1.26675
SLC16A8	0.78825
MKI67IP	0.141833333333333
ITGB3	0.215125
TCEA3	1.99633333333333
CEP152	-1.9795
CLIP1	0.566375
ZNF75	0.178375
ATP5C1	-0.262
NUDT5	-0.730166666666667
PSCDBP	1.8335
UBP1	-0.55475
RBM27	-0.20175
C13orf15	3.19775
ZNF282	-0.366833333333333
ZNF222	-0.5445
COL10A1	6.95225
PRDM15	-1.096625
TTTY5	0.376
FAM9C	-0.658545454545455
C20orf67	-0.024
GNG13	-0.8145
F12	1.07075
C1orf41	-1.367
CPXCR1	-0.1035
GSK3A	0.529875
SUPT6H	-0.261833333333333
PI16	-2.34066666666667
ELL2	-0.36025
C9orf167	-0.616833333333333
PVRL3	-1.0033
FLJ38596	0.20325
ADAM20	-0.14125
GPR89A	0.2625
GPR87	-2.907
ZNF30	0.736
SMR3B	0.039
ZNF770	-0.149875
TRPC4AP	-0.263
DKFZP686E2158	0.123833333333333
C2orf28	-0.0618333333333333
FREM1	0.3585
LAMA4	1.7025
ADPRHL2	0.4905
EIF4G2	0.418833333333333
GUCA1A	-0.6225
CTNNA2	-1.196875
NUDT15	-0.886
CEPT1	0.207
ZNFX1	0.8
CCDC92	1.2465
TDRD1	-0.394
KCNK5	-2.49483333333333
ETNK1	-1.30108333333333
LTA	0.7815
TTPA	0.191333333333333
B3GALNT2	0.621375
SC65	0.155166666666667
PEX5L	-1.336
EPS15L1	-0.0115
MGEA5	-1.071
HIST1H3A	0.35775
ING1	-0.243
BCAT1	-0.181375
ORC6L	-3.30027272727273
KLK11	-5.15666666666667
C19orf28	-0.855125
DNER	-4.189
MED22	-0.873714285714286
ETV6	1.2895
CHAC2	-2.31825
CD300E	0.42
CEBPB	1.64683333333333
ZNF398	-0.5955
LRCH3	0.278
HMGA1	-1.6925
CAPN7	0.489333333333333
MGC5566	-2.97375
CCL3	3.66525
NANOS1	0.70125
ZFYVE19	-0.4065
APITD1	-1.30533333333333
PARD3	0.7635
IRAK4	-0.560333333333333
SERPINI2	0.5605
CEP170L	-0.09975
TTC9	1.200625
MYOM3	-1.689
MLPH	1.01575
LOC222699	-0.068
NRG1	-0.22675
TBC1D9	1.99336363636364
TTK	-2.11583333333333
ZNF557	0.4185
DDX41	0.297333333333333
FANK1	0.959
UBE2D2	-0.121375
PSMB10	0.506875
MYH7B	0.6915
GABARAPL2	-0.081375
MARVELD2	-0.448666666666667
DGCR2	0.634333333333333
UNC45A	-0.495
C6orf72	0.9555
ZNF683	3.8235
GIT2	0.533
CASK	1.42316666666667
C14orf161	3.50783333333333
LRRC44	-0.475
TIFA	0.4015
UTP11L	-0.33225
C6orf65	-0.1615
FDPS	-0.78075
DUSP9	-1.9033
SLC17A8	0.326
OR51G1	0.100833333333333
NANS	-0.00024999999999999
OLFML1	2.572
ATP10B	-1.065625
NPAS3	-0.585
PRKCA	-2.0793
GGA2	-0.8625
LCE4A	0.8035
SPANXN3	1.151
CCDC115	1.479125
SDCCAG3	-0.8005
GLIPR1L1	1.362
TTC1	-0.08275
C17orf76	0.69175
MAD2L2	-1.23425
HIPK1	-0.0778
LRRC3B	-0.760333333333333
CLN3	-0.518
C17orf47	0.203
FMN2	-1.966875
TUBB1	-1.297375
WAPAL	0.3335
C3orf21	0.36225
SCN5A	-0.4547
SMYD1	-0.42525
BEX5	1.3515
ZNF192	0.8585
SEC22A	0.278833333333333
GRIA2	-0.04725
KIAA0825	-1.54675
NUSAP1	-2.35627272727273
LANCL1	0.4585
C15orf40	-1.2171
ZNF645	0.238125
GPR61	0.63
NLRP14	-0.259
SNX21	0.0843
C1QTNF8	0.064
C17orf46	0.0715
IFNA8	0.031
SPRR1B	-1.6135
FLRT1	-0.59925
SNX17	0.1215
ASB2	-0.8355
HBG1	-5.16
RPRML	-2.02625
JOSD2	0.315666666666667
PLSCR3	0.9245
SPOCD1	1.63683333333333
RAB39	0.618
GHRH	0.0565
ITIH5L	0.202
C17orf37	-0.0555
SMCR8	0.00849999999999995
DPY19L2P3	-0.371333333333333
IL11RA	1.17783333333333
GDF3	-3.75166666666667
RPS6KB1	-1.24883333333333
DNAJC19	-0.0604
TOP1	-0.91575
CRCT1	0.77225
MPST	0.36425
DPM2	-0.465125
FAM38B	-1.65883333333333
SLC18A1	-2.09433333333333
FARP1	0.1105
PAX7	0.4145
TUBD1	-0.98375
GNL3	-0.609875
BTG2	0.440933333333333
NDUFS6	-0.2665
C1orf79	-1.502
ERAL1	-0.624
ECHS1	0.322
VPS4A	-0.360833333333333
CYP11A1	-0.287125
ABCC6	-1.59907142857143
PBX4	-1.566
MOSC1	0.06425
NCF4	1.43025
HYMAI	0.621
NAGPA	-0.392375
OTOP2	0.3205
ACOT12	0.1655
MTHFD2L	-0.677625
LOC441376	1.46625
C19orf34	-0.146
RAB1B	0.55225
ALDOAP2	-0.5795
NTRK1	-1.20283333333333
ARTS-1	0.3124
SLC6A11	-0.7225
NAP1L2	-2.89075
CNGB1	-0.076
EPB41L4B	-0.68925
FAM134B	2.01075
HS3ST3A1	0.546666666666667
CPXM2	5.92575
SIRPB2	0.4775
CHORDC1	-1.28716666666667
TRIB3	-0.500833333333333
SLC2A5	2.14325
C2orf49	-0.801166666666667
DDX5	-0.70125
OR5L1	0.4915
ANAPC4	-0.912166666666666
ZSWIM1	0.26325
LOC93622	-0.5245
KCNK3	-0.6981
RP11-35N6.1	-2.26425
ZFP161	-0.136666666666667
AQP9	4.93825
SLC15A2	-1.594
MREG	0.817
OR9I1	0.9875
PDLIM2	0.8145
ADAM7	0.801
GSTCD	-0.471833333333333
WDR21A	-0.603
SLC12A8	2.89783333333333
TMEM174	0.00650000000000001
IGSF3	-0.352583333333333
LRRN1	1.526
LOC402117	-0.19525
SRPK1	-1.01633333333333
LY6K	-0.6026875
NFIA	2.1065
PTCD3	-0.37425
LEP	0.881833333333333
PCDH21	-0.637333333333333
MAPKAPK2	1.31207142857143
NMNAT1	-0.0145
LHFPL2	1.489
C9orf43	-0.1735
DIP2A	-0.905333333333333
ACTR8	-0.363125
CCDC34	-0.8065
PTPN22	0.3135
ITGA3	-1.628125
FAM129C	0.07075
RABGGTA	-0.274333333333333
UNC45B	0.09525
KIAA1033	0.414125
ZNF510	-0.1085
CYP2D6	-0.905166666666667
SLC26A10	-1.8115
STX8	0.29625
LUZP1	0.671625
WDR89	-0.584
EIF4G3	-0.2113
C5AR1	1.875625
ZNF623	0.08
A2M	1.06625
TGM7	0.244
GRPEL1	-0.488666666666667
LMNB2	-0.9077
ROCK2	0.1295
SNX16	0.41975
CCDC66	-0.309
ANXA3	-1.741
KIAA1609	0.101125
EED	-0.79625
RNF32	0.3635
HES1	-0.3972
CLC	0.0223333333333333
ISL1	-0.164833333333333
KIAA0528	-0.728625
MANEA	0.988
C1orf61	-2.345
hCG_2001000	0.31425
RAPGEF6	-0.5307
KIAA0020	-0.644666666666667
NEIL1	-0.486
C16orf45	-0.6115
RBM10	-0.283666666666667
C10orf125	-0.557125
MRS2L	-0.5245
DNAH17	-0.5385
C19orf10	-0.01375
C1orf160	0.44475
SLFN12	1.07575
EXOC3	0.374166666666667
HIST3H3	-0.19125
NCOR2	0.420166666666667
TNFRSF9	1.1595
MFSD8	1.14475
ALX1	-3.2695
NOL1	-1.1795
PODN	3.0885
TIAL1	-1.178
HIST1H1E	-0.0925
NPY6R	0.28725
TM4SF4	-0.06075
CORO2A	1.17375
ETNK2	0.0325
APOE	1.0325
ANGPT4	0.579
HDGF2	0.0125
G30	-0.4585
ST8SIA4	0.674125
F2RL1	-0.626125
FAM19A4	-2.6525
CCAR1	-1.3535
B3GNT7	0.023
OPHN1	-0.4441
DSCR6	-0.852
C21orf13	0.340333333333333
GAS2L1	0.680416666666667
RFX3	0.4995
COPS4	0.067875
BCHE	-3.7335
BCL2	1.862625
HBZ	-2.99816666666667
ARL13B	0.373375
MAPBPIP	0.63275
MYO15B	-0.829
SPZ1	0.52925
KIAA1324	2.51133333333333
PLCL2	0.067875
C4orf29	-0.791
WDFY2	-0.343
ZNF284	-0.4575
NAALADL1	1.2545
DUSP5	1.25983333333333
PXDN	1.77625
SLMO1	0.01075
TNXB	0.2867
BIRC7	-1.156
A4GALT	1.65216666666667
TIMM22	0.14625
FAM110C	-0.07275
TOMM34	-0.859
ABHD9	0.9195
ADAM32	4.08
CRHBP	-0.07025
AQP2	0.51275
LOC130355	0.46775
ZNF187	0.665666666666667
ZNF816A	0.8225
F7	-0.59075
CNOT1	-0.5141
SLC13A4	-1.05975
ZBTB11	-0.506
B3GALT5	0.38275
EXOC2	0.156666666666667
IRS1	-0.2174
TMEM1	-0.265166666666667
MRPL34	0.0811666666666667
SAMM50	-0.1295
CDC42EP3	1.2585
HSF2	-0.7418
MFN2	-0.6855
TSPAN7	-1.486
NUCB1	0.60625
RHOH	-0.40225
ARL16	-0.193
TACR1	-0.13525
SFRS5	-1.45133333333333
SNX25	0.629125
RHBDF1	0.456833333333333
