Hybridization REF	TCGA-B6-A0RL-01A-11R-A084-07
OMD	-0.514
CATSPER1	-0.772166666666667
HOXB8	-1.23575
FBXO46	1.033
OAS1	2.46066666666667
SVIL	-0.2465
PHB2	-0.77475
ADCY3	0.742
NDRG2	0.243833333333333
ERMAP	0.2667
APBA2	-2.95733333333333
IGSF9	0.31425
WNT6	-1.31907142857143
MYCBPAP	3.77675
ATP2B2	-0.00210000000000001
CPVL	-2.8537
TRAM2	-1.09345454545455
NOP5/NOP58	-0.53375
ZNRF4	0.0805
TLK1	0.321625
MTMR12	0.557
ZNF384	0.0986666666666667
FAM9B	-2.96625
RPN1	0.7309
PMVK	1.3465
EIF3D	-0.5034
SIX2	0.77925
HPS1	-0.310714285714286
RNF7	0.56525
PSKH2	0.175
KCTD13	0.566
CSMD3	0.1404
FBF1	0.7445
IL8	-6.13975
SERPINB13	0.529181818181818
FBXL20	1.07
BLR1	0.53725
SH2B1	0.0706666666666667
RFNG	-0.191375
RAB20	-0.315
RBM7	-2.081
POLR1A	-0.468333333333333
TMPRSS4	-1.253
TAF9	-0.557375
TERF2	-0.0731666666666667
TNFRSF1A	0.057
ACADVL	-1.16783333333333
GTF2H5	0.777
EDG8	-1.80183333333333
C9orf140	-0.57825
UST6	1.10825
ZBTB8OS	-0.86725
ZNF710	-0.288
GPR174	-1.6425
ATP6V0A2	-0.13875
KIAA0319L	0.596833333333333
XKRX	0.468
DOPEY2	0.5345
SDHD	-1.31783333333333
SUMF1	1.65025
OSM	1.182
OPN3	0.44325
DAGLB	-0.137166666666667
PPFIBP1	0.7021
TRIM63	-1.91325
C10orf53	0.6645
LYPD3	2.32283333333333
BCL7A	0.90775
AGER	-1.19466666666667
TCF19	-0.675625
SAT2	-0.09275
PFTK1	-0.8395
GABRE	-3.51575
C15orf38	0.8232
FIS1	0.2865
KCNV2	0.76675
CLPS	0.33275
PPCDC	-0.281375
FOXN2	-0.559666666666667
NT5E	-5.4417
CD83	0.2655
IL18	-1.866625
VPS16	-1.12625
IGFBP2	-1.74783333333333
NOTCH2	-0.271
SIGLEC1	2.336875
CD93	2.218
SULF2	0.4345
CEP164	-0.40875
P53AIP1	0.792166666666667
TOR2A	0.192833333333333
ZNF136	0.1035
MGP	1.3449
CCDC144A	-0.397333333333333
TRPC1	-0.289
SMS	-0.122333333333333
MAPK7	-0.236333333333333
RRAGC	0.339
PARD6A	-0.412333333333333
NUB1	0.908833333333333
SYNGR4	1.003
OR11H12	0.0505
WIF1	0.18725
GCH1	-0.287
OR11H4	0.284
SLC44A5	0.295
GPRIN2	-0.758166666666667
LOC401431	0.54025
CPA4	-2.734
MELK	-0.364333333333333
IL15RA	-1.779
CUL3	0.714875
HMBOX1	0.3325
PODXL	-3.237
CCT6B	1.921
COMTD1	0.18625
MUC20	1.03766666666667
GPX2	-3.6145
ITK	-2.670375
FBXL5	2.13775
C13orf27	-1.417
DEFA5	0.0705
TRHDE	-0.193
MTP18	-1.6875
UQCRQ	-0.1306
ITGB2	-0.1205
CSRP2BP	-0.1825
TAS2R44	0.6595
PHPT1	-0.153375
FAM44C	1.1545
ERH	0.6535
MPHOSPH1	-0.171
MORC1	-0.494
PARVB	-0.92875
LAMA1	-2.91666666666667
PGBD3	-0.13
GIMAP6	1.50975
AREG	-3.80866666666667
LIPT1	-0.331
MGC99813	-1.58375
C1orf201	-0.0474
GRIN2A	-1.0996
MAN2C1	-1.0475
NSUN5	-0.329
SF3B5	0.158
MYC	-1.3775625
NRXN1	-0.541666666666667
ZNF18	0.24025
SPDYA	0.081375
SLC37A1	1.2145
DECR2	0.45925
ANKRD38	-0.921375
SPTLC3	-1.21641666666667
SUPT16H	0.02125
DTWD2	0.36875
ULBP1	0.0355
ZADH1	0.7055
OIP5	-0.8655
IL10RB	-0.4625
OTUB2	-0.959125
VWA3A	2.312
SPIC	0.209833333333333
OR6C4	0.3785
PSCD4	-0.14
DPY19L2P2	-0.0505
TRAPPC6A	1.56933333333333
C21orf2	0.487333333333333
CEMP1	-0.1905
LIN7B	-0.515
E2F7	-0.4725
VCP	0.1993125
LAMA3	2.84127272727273
BGN	-1.35025
GPR160	1.22283333333333
COCH	-4.68016666666667
GPR81	1.038
APOBEC3F	-3.3675
tcag7.1017	-0.15375
C1orf32	0.2585
SCGB1D2	3.72075
FLJ43987	0.677
C6orf170	0.853
KLK9	0.489
GPD1L	0.980625
VPS37B	-0.1845
ATG3	-0.261666666666667
ADAMTS17	-0.1875
KLHDC2	0.366166666666667
NDUFV2	0.08825
BLK	-3.33025
MATN4	-1.1495
GPM6A	-0.30225
GBP4	2.11416666666667
TMEM162	0.641166666666667
PKP2	2.008
HRASLS	-1.07244444444444
MMP1	-5.21425
SFXN3	-1.297
FSD1	-2.09283333333333
ST6GALNAC3	-3.6715
CA12	3.4257
NCOA6	1.3295
C19orf58	-0.459
PPP4R1	0.2315
MAN1A2	0.469333333333333
IKBKAP	-0.69525
UPF1	0.304166666666667
KIAA1219	1.29075
WNT16	0.142666666666667
SNW1	0.17975
IL18RAP	-0.26225
RPP30	-1.625875
CDC40	0.265785714285714
SETD3	0.376333333333333
SLAMF6	0.244
ELK4	-0.2795
TRIM47	-1.04083333333333
ACOX3	0.713125
TRIM6	-0.09175
KIAA0372	-0.0421666666666667
TP53AP1	0.66025
SMURF2	0.108
ADAD1	0.42925
EBP	-1.1756
KRTAP13-2	-0.115
FLJ36874	0.084
TOR1A	0.600666666666667
P2RY4	0.0735
GPBP1	0.903
TRPV1	0.21925
ADAMTS12	-1.312
PES1	-1.26355555555556
ATG4A	0.422166666666667
MAGEA10	-4.83425
WFS1	1.24125
CC2D1B	-0.0955
PABPN1	-0.0655
SLC25A30	0.0365
SLCO1C1	-0.121833333333333
SLC22A5	1.625
KIF23	-0.282833333333333
SYN2	-0.933
ASPN	1.75166666666667
CENTG2	1.0975
QSOX2	-0.8691
FLJ10815	0.00583333333333334
STK24	-0.342625
SPEG	0.3588
STK10	-0.653
DACT2	-2.6675
AAAS	-0.61075
SSX3	-1.315125
ABCD3	0.9488
C4orf12	-0.0576249999999999
PARVG	-0.804833333333333
FIG4	1.08525
C9orf46	1.545
TMCO6	0.0215
IGHMBP2	1.9725
DUS2L	-0.918833333333333
FAM3C	-0.45425
TMEM16D	-2.569375
DCTN4	1.08
KCNH3	-0.022
EIF2AK2	2.25725
AP1S3	0.238625
CST4	-0.152
PAM	-3.2286875
NUTF2	-0.787
CITED2	0.1835
SLC39A4	0.06225
C2orf52	-0.7585
GRM3	0.1325
C12orf49	0.121125
CCDC49	0.2837
GRAMD1B	-1.667125
FNDC4	-2.17475
SIAH2	0.852
GDPD4	0.45725
C21orf87	0.54325
ATP5A1	-0.339166666666667
C16orf63	0.84075
LOC388135	-1.451
ATP5J2	-0.059375
MMP3	-4.764
EMID2	-0.322333333333333
CRHR1	0.1475
WDR70	0.08875
C13orf31	1.20375
ZFAND1	0.2315
CCL18	3.27933333333333
C3orf49	0
RINT1	0.0065
KIAA0408	-2.6105
F13A1	0.8544
SLC10A1	0.206166666666667
OGN	-3.157
GIPC2	-3.32183333333333
XPO6	0.377333333333333
LCE1A	-0.111
FMR1	0.6759
LOC374920	0.77075
DUSP3	0.130375
ANKMY1	0.05425
C7orf50	0.23475
BBS9	-0.0205
UNC119B	0.2255
C9orf72	0.581375
MGC35440	0.12225
ENTPD6	-0.422
PPP1R2P9	0.3395
ERCC4	0.98725
FAHD2B	-0.3625
HMHA1	-0.629
HACL1	-0.41825
RAD23A	-0.710833333333333
FAM83B	-2.67375
PPP5C	-0.226
RNASEH2C	-0.822375
C9orf153	-0.0985
SCAMP4	0.308375
GHITM	-0.0566
NDUFB7	-0.23075
ADCYAP1	-0.106
SP110	1.29983333333333
MAP3K7IP2	0.55425
DHH	-0.283
AGRN	0.0540714285714286
WDR33	0.507833333333333
CEP290	1.20333333333333
PRPS1L1	-2.95383333333333
KLRA1	-0.085
GPR97	-0.597
CHD7	-2.1395
TLR10	-0.128
SLC30A8	-0.729
HIC1	-0.867833333333333
IAPP	0.4845
RXFP4	0.16125
GP1BB	-0.06575
SHQ1	-0.344
NKX2-3	0.437666666666667
API5	0.29575
FTHP1	0.948
MOV10L1	1.14133333333333
TRIM6-TRIM34	2.319
ADHFE1	0.7515
FAM117A	-0.19375
DDI1	0.2705
CDON	0.616333333333333
TRIM73	0.4125
IGKC	0.0965
MMP14	-2.23458333333333
DYNC1LI1	0.15125
C11orf66	0.98375
TRBV3-1	-0.81975
FASTKD5	-1.37375
BIVM	-5.39
LHX4	0.0765
CXCL2	-2.6839
RAB2B	-0.370333333333333
IZUMO1	0.26625
MAP3K15	-2.135375
FAM19A2	0.351666666666667
ZC3H8	-0.2755
ZMAT1	3.401375
SPINK5L3	-1.814
SLC10A6	0.6285
APPL2	0.494375
CARD10	-0.7295
LOC402176	-1.474625
EEF1D	0.193
RAB6A	3.4308
C12orf5	-1.866375
PAPOLG	0.37775
MSRB2	2.46175
BCR	-0.115055555555556
PUS3	-1.3615
TIAM2	-0.2085
ZNF317	-0.155
CHD2	0.256714285714286
FZD5	-1.88809090909091
NUDT8	-2.77975
ZNF763	-0.1575
PRC1	-0.0777777777777778
ABCB9	0.643
SPATA3	0.41375
TRAK2	-1.062375
STAB1	1.867375
LRRTM2	0.219833333333333
psiTPTE22	0.31275
DBI	-0.40075
SERPINA11	-0.01425
NAT5	-0.35475
C20orf58	-2.65525
RPS6KA4	-0.6125
FLJ90650	-0.93975
TGFBRAP1	0.3565
CHRDL2	-1.213125
FAHD2A	-0.8425
CNTN1	-0.20375
BBS4	0.6199
TMEM181	0.435
MINPP1	0.054
MPHOSPH6	-2.20591666666667
HOXC10	0.4488
ITPKB	0.130375
CLPTM1L	0.097
MEOX2	-1.6935
ATP6V0C	0.906
PRPF8	-0.960666666666667
TMC5	2.05475
FKBP3	-0.18975
PLEKHB2	-0.230125
OR4D6	-0.216
ZNF544	0.1484
D2HGDH	-0.874
RPL18A	-1.3645
HEL308	-0.097875
MPP6	-5.714
TCERG1	-0.656
KRT16	-2.27983333333333
KLF17	-0.875
KLF5	-1.67275
CDR1	0.856875
VCX3A	-3.8895
FBLN2	-1.766875
C14orf104	-0.46375
HBE1	-4.9652
OR4S2	0.7585
C1orf108	-1.12116666666667
ROBO4	1.31516666666667
CPEB4	1.065125
C11orf80	0.222333333333333
BCKDHA	0.2355
MYOC	0.35775
GIF	0.5955
CKMT1A	-0.051
RPL3	-0.4267
THBS1	2.73175
APOO	-0.07525
ARMCX1	1.34075
HSZFP36	0.1215
SNAPC5	0.34525
EIF4ENIF1	0.5635
ZNF433	0.20075
TNFRSF21	-1.558
TMPRSS7	0.385
SPATA18	-1.1244
HPDL	-4.0475
MKL2	2.0768
TBX3	2.74307692307692
C21orf93	0.370833333333333
DAXX	0.13225
ELMO1	-0.951333333333333
RGS13	-0.0993333333333334
TAF11	-0.799
UNC13A	-2.0875
LOC653314	-0.1673
ORC3L	0.54775
IMAA	-1.577
TARBP2	-0.148
CABIN1	-0.1317
TRIOBP	-0.3698125
HIST1H2AC	0.773
RGS22	2.78233333333333
NCOA1	1.32
IL25	0.171
SNCG	-0.881
GPR6	0.1095
AMDHD1	1.2945
CHEK2	-1.030875
C6orf142	-0.87675
DRD4	0.3785
C14orf68	-0.93875
GDF11	-2.89225
SEMG2	0.336
CD247	-3.7205
CDAN1	0.63675
RBMX2	0.193666666666667
TGS1	-0.0805
OIT3	0.226333333333333
SYF2	-0.23475
MCM4	-1.374875
PKHD1L1	-0.0365
CEP192	-0.479666666666667
IFT88	1.04
RPL9	-0.488714285714286
RAB32	0.272
DDX43	-4.218
P2RX2	0.508
OR5D18	-0.0485
UBE1	-0.460416666666667
SLC24A1	0.961125
ARHGAP5	-0.01
CETP	-1.9175
KIAA1731	-0.115
SLC9A4	0.656
PTPN6	1.05675
BAHD1	-0.69625
GRIK3	1.1245
CACNB2	-0.7969
PDE10A	-0.1635
DGCR14	-0.62175
PCDHB9	0.0753333333333333
RHOQ	-0.948
MAP3K4	0.84725
KTI12	-0.398166666666667
RPL23AP13	0.614
GNG11	-3.64925
CLCN3	1.2452
GPAM	-1.418125
VSTM2A	-0.377
SLAMF7	0.273833333333333
INTS2	-0.29375
PPP2CA	0.6103
LRP12	-3.78533333333333
SEC14L2	1.28755555555556
DKFZP586H2123	1.4235
MC3R	-0.3
CIRH1A	-1.63866666666667
HIST1H2AB	0.339166666666667
POLH	0.053
MGC16703	-2.38883333333333
SNAPC2	0.36
FILIP1L	-2.44175
RASGRP4	0.495
LRRC1	1.98325
GAS1	-4.51925
PRAC	-0.9135
DGKA	-2.1795
NT5C3	-0.464
PEG3	-1.77191666666667
NADK	-0.679
PRR17	-0.624
LOC374569	-0.8095
SGSH	0.141833333333333
NLRP8	1.1645
GALT	1.2339
MCF2	-0.5735
ZNF263	1.40825
TACSTD1	1.613
TYR	-6.5366
ATP6AP2	-0.09925
RNUXA	0.29725
ABHD10	0.365888888888889
GDPD2	-0.109
SLC35C1	-0.6775
UBE2A	0.37625
HERC5	-1.9295
FAM112B	-5.49983333333333
FBXL16	0.28625
DKFZP434A0131	-0.25375
ELA3A	-2.4405
RBM41	-0.26125
HAO2	0.2695
RNH1	0.095
SHANK2	2.32766666666667
OSBP2	-0.925625
DAK	0.353666666666667
C3orf58	0.42575
TCL1B	2.733
KBTBD2	0.058
SUGT1L1	0.39425
UBE2E2	-2.83166666666667
MYL9	-0.247125
CDC23	0.218666666666667
PBXIP1	-0.0389
CXorf40B	0.7815
NBL1	-2.752
RTBDN	0.096
RAB11FIP5	0.87225
TTTY13	-0.805
SCOTIN	0.328416666666667
SOHLH1	-0.838166666666667
CDKN1A	1.38585714285714
NCK1	0.0205
ZNF550	0.4025
SAPS3	0.761
SPIN3	1.198
MAGEE2	-0.67575
MIS12	-1.00433333333333
OR8H2	0.612
KIAA0774	-1.521
UNC5D	-1.442
CUL7	-0.00166666666666667
LIPC	-4.22283333333333
DIO1	0.0885
C20orf11	0.8746
CTRL	-1.30575
HS3ST2	1.38725
PAK4	0.756333333333333
CCRL1	0.809
RNF10	0.674375
ZNF567	0.75525
ZNF660	1.5985
TCEAL3	4.02575
MAGOH	-0.840833333333333
CENPB	-0.714
C19orf7	0.963875
LOC388965	0.3715
ZCCHC13	0.2715
JMJD1A	0.265
HIST1H4H	-0.456
TBRG1	-1.1539
GPC3	-2.543375
TAF1C	-0.779125
EBNA1BP2	-0.363666666666667
CIAPIN1	-0.6865
PDGFRA	-3.358
CSTB	-0.2415
CENPI	-0.854166666666667
GTF2E2	-0.876166666666667
RPP21	0.22675
CCNF	0.106333333333333
KCNQ3	1.0285
FAM79A	0.15225
SLC22A12	0.7025
NOVA1	3.36666666666667
FZD3	-1.0845
AKAP8	-0.775
SOCS5	-0.19025
CFDP1	-0.802
DLG5	2.0825
PGM5	-0.30825
C1orf144	-0.0154166666666667
HDAC10	-1.6555
RND2	0.26875
C20orf199	-0.53125
RNMT	-1.048375
SLURP1	0.8115
ASTN1	-0.696625
SH3BGR	1.24275
MYCL1	-1.058625
ZHX1	-0.463333333333333
CENPK	-1.55625
FOSB	0.8505
LOC643406	1.814625
C2orf59	-1.24875
TMEM135	-0.115375
SLC27A2	1.233
KRT33A	3.074
OVOL1	1.605
PAMCI	-4.92983333333333
S100A7	-1.3735
ZNF789	0.0695
HARS2	0.71775
RPL23A	-0.620333333333333
TCF23	0.828
UPF3B	-1.371375
C17orf78	0.39
HLA-DOB	-0.616666666666667
C14orf142	-0.3295
TEKT5	0.545333333333333
DMWD	0.195
POLD1	-0.898166666666667
GSCL	0.214
CALD1	-3.1616
SCRT1	0.142833333333333
AIG1	2.42775
UNC84B	-1.27125
ZNF404	-4.00125
TMED6	-3.348
KIAA1462	0.00750000000000001
LRRC27	0.544
PYGO1	0.5705
PIGU	-0.102833333333333
ALAS2	-3.86466666666667
WRNIP1	0.80525
CNNM3	0.691
ZNF2	0.99875
ST3GAL5	-1.36241666666667
MRPL23	-0.0235
TSSK6	0.22825
PSMA6	-0.32925
C16orf70	-0.48675
KIAA1602	0.27775
ALMS1	1.39866666666667
DCN	-3.199875
TMEM132D	-1.3405
SUCLG2	0.4105
ABHD14A	-0.08025
DEXI	0.7265
AMPD2	-0.582166666666667
IFNAR2	-1.41416666666667
CYB5A	1.3325
TLOC1	-0.08635
NXF5	-0.635833333333333
NRBF2	-1.010375
KCTD3	2.02425
ITGAE	-1.05983333333333
SLC30A3	-2.54283333333333
ZRF1	-0.448
IFRD2	-0.46825
XAB1	0.266
PYCR2	0.2455
SERPINB3	-4.202
TMLHE	0.3547
GEFT	-0.679625
ABCA5	0.451125
EMR4	0.3095
TSFM	0.00175
HIST3H2BB	-0.704
ARHGEF19	0.25375
TSPAN17	-0.062
ABCC8	4.716
MAP1S	-0.0281666666666667
C22orf36	-0.25425
BNC2	-2.72642857142857
HIST1H4A	-0.175
NDUFS3	0.03
WDR3	-0.803166666666667
XKR4	-0.1555
TTC33	-0.575785714285714
STMN2	0.84275
CPN2	-0.766
HSPC105	1.303125
PCOLCE2	-6.634
C3orf55	0.819
KLHDC9	3.7045
TBC1D23	0.32575
ATXN2L	-0.465666666666667
MAP2K3	-0.184083333333333
SCAP	0.709
ZNF486	1.23066666666667
C20orf96	-0.109
NARS	-0.45825
ADAMTSL1	-1.74514285714286
PRCC	0.8975
CCDC126	1.38708333333333
ZNF675	0.64175
CALCOCO1	0.531
ANKRD43	1.89775
CWF19L2	-0.178
ZBTB32	0.4715
BRAF	1.46875
ODF4	0.3515
MGC14376	-1.032
HORMAD1	-2.20866666666667
AAK1	0.21325
PEBP1	1.0005
TNFSF5IP1	-0.913833333333333
DKFZp564N2472	0.41775
RMND1	2.619125
IGKV1-5	1.048
COL1A2	-0.868583333333333
SERPINA5	2.069875
AANAT	0.0985
C19orf21	1.34916666666667
GEMIN5	0.4015
UBR4	-0.449333333333333
LTBP3	-0.426333333333333
AMHR2	-0.928833333333333
PROCR	-1.59
MYBBP1A	-1.50175
C20orf39	-2.40066666666667
ZNF697	-1.105125
PASK	-0.3763
ZNF776	1.5405
RFXDC2	0.373375
KIAA0467	0.40325
C10orf96	-1.02925
ZNF503	-1.1445
GULP1	-4.21683333333333
KCNE4	3.76716666666667
DKFZp434K191	-0.680875
LOC196913	-0.718
BHLHB4	-0.118
CH25H	-2.3985
LOC81691	0.7005
ALPL	-0.0682142857142857
COL12A1	3.310875
FOLR3	-3.00083333333333
GPR123	-0.036875
TRIM62	0.470642857142857
ABLIM1	-0.441166666666667
MAST3	-0.217
RHBDD1	0.4915
LOC338809	0.2815
RYBP	1.63375
TTC26	0.5065
ZNF22	2.07683333333333
ISCA2	-0.102
RDM1	-1.1735
PIGM	0.665
GNB3	-1.627
ACTR2	0.5315
HMGB1	0.04345
EDG1	-0.922
SOAT2	-3.997
OR10AD1	1.0675
RAP1GDS1	0.672666666666667
LCE1F	-0.0395
ESM1	-2.783375
RCN3	-0.37125
CREBL1	-0.523
DBNL	-0.787166666666667
PTGER3	0.323625
USP30	0.918166666666667
BCL2L12	0.281
KIF26B	0.4025
ZNF416	1.24025
ZNF225	0.9105
C17orf70	0.438
ZNF554	0.39875
RAE1	0.113666666666667
TNIK	-3.154
ACTN3	-0.8825
MGC45922	0.1775
CCNA1	-2.50166666666667
RYK	0.808666666666667
IL26	-0.423
LRP3	0.4115
QARS	0.0453333333333333
SOX7	-0.662285714285714
BID	-1.17525
OR2S2	0.713
CXCL14	-0.638
C11orf47	-0.2435
MGC29891	0.739333333333333
HSPB8	2.1751
PRDM14	-1.197
NUFIP2	-0.09025
MNAT1	-0.12775
ZDHHC2	-3.51358333333333
MBNL2	-0.91575
ADD3	-5.309125
CSNK2A1P	-1.17375
KLK6	-2.50316666666667
TMEM111	0.9641
KIAA1279	0.46525
NUBP2	0.5485
RAB42	-1.43875
ID3	-1.7364
TM9SF1	0.40025
MDP-1	0.43175
POU4F2	-0.23925
IQCK	2.50675
C16orf14	0.306
CAPN3	-1.43675
FAM43B	-0.924625
RECQL	-0.573
AP1G1	0.0936428571428572
CTNNBL1	0.19
ECHDC1	-0.3475
SMARCC1	0.5411
FOXQ1	-1.806625
GNAI3	1.11783333333333
POLG2	-0.78875
CD4	0.34675
ITLN1	-0.12075
EBI2	0.923
IRF1	0.0835
PTPRE	1.3861
PTK2B	-1.00675
NXNL2	1.898
SOX4	0.164166666666667
TSPAN3	0.5215
SH2D1A	-4.8785
C8orf58	-0.7455
USP20	-0.46775
DUSP22	-0.89825
CALB1	-1.956
L3MBTL2	-0.64725
MCRS1	-0.56925
TMEM118	0.4505
C18orf8	0.976166666666667
FLJ10241	-0.083375
GJA12	0.099
PKD1	0.0318333333333333
ZFP3	0.674
JAM3	-1.6445
LAPTM4A	1.3457
DIRC2	0.7175
KIAA2022	1.57566666666667
MYOM1	0.174
TRPM8	-2.61216666666667
MOP-1	0.32925
PHKG2	0.49475
ZNF650	0.97825
KIAA1522	1.64625
PSG8	0.354333333333333
DDX19B	-1.1245
MOBKL1B	0.504
DIAPH2	-0.751083333333333
PTPN12	0.2745
CLN8	-1.3066
CRYZL1	0.0015
CRY2	0.6295
FCGR2B	2.2905
PNPLA4	2.054375
ZNF454	-0.886
DKFZp434B1231	-0.53
CLDN11	0.104222222222222
RFWD2	0.676666666666667
CIB2	0.046
MXRA8	-0.207375
HRK	-0.824
MAML2	-0.88075
C4orf31	-1.6965
C6orf192	-0.857
COG6	-0.18475
FAM5B	6.19375
NFATC1	1.0905
SEPT10	-0.20475
SCYL1	-0.6878
RPP40	-1.021
SCOC	0.1374
KIAA1450	-0.04675
CTDSPL2	0.52425
TBX5	-0.5005
NAPG	-0.457125
RHD	-4.28175
C14orf45	2.74516666666667
ZBTB22	1.027
PLCG1	0.017
ANKRD10	-1.124
AQP7P2	-0.3605
TAGLN2	-0.446333333333333
HTR2C	-1.3055
SLC16A7	-2.13366666666667
C17orf83	-0.1185
TSGA14	0.141583333333333
MDH1	-0.63125
PPP3R2	0.120333333333333
DCBLD2	-1.57507142857143
RBM33	0.194625
DPH3	-1.23225
SYT10	-1.00083333333333
FMO4	1.86175
THYN1	-1.74425
DRD5	0.076
OTOR	0.927375
PGRMC2	0.1943
KATNAL1	0.224625
PAQR6	0.25025
UBE2I	0.37825
C14orf28	0.22025
C8orf70	-0.10925
FLYWCH1	-0.220625
ANGPTL3	-0.80225
GLRX2	-0.398666666666667
ATP11A	-0.538642857142857
ARL5B	0.444375
MUC16	-2.81475
SLC25A5	-1.27942857142857
ACRC	-0.41775
MYO1C	-0.65675
FAM89B	-0.556166666666667
FAS	-3.23375
KIFAP3	1.1925
GLRA2	0.194
BTN3A2	-0.8186
CNKSR3	1.264625
CSTF3	-0.341
ARPM1	1.30525
KIAA1530	0.0215
C9orf150	3.275
PRKCI	0.7085
tcag7.1015	-0.90575
SOD3	-2.81675
ZNF574	0.85975
CYP21A2	2.63975
RPL12	-0.3175
COMMD2	-0.5645
WIZ	-0.46775
LOC344405	-4.68625
ALDH4A1	-1.16429411764706
CRYAB	-0.245
COPA	0.437033333333333
PCDHGA7	0.037
KIF11	-1.14127272727273
RASD2	-0.123125
SLC26A3	0.4425
ZNF175	0.146
JAKMIP2	-2.61475
C8orf4	5.016
PTHLH	-0.785
SLC40A1	-2.25808333333333
OR7D4	0.432833333333333
PCDHB17	0.264
CD36	0.0494285714285714
C6orf203	0.8032
PRKG2	-0.4555
LOC400566	1.8775
ANAPC13	0.4725
SLCO3A1	0.836
ZNF692	-0.898
FANCL	0.2715
SH3GLB1	0.4215
C12orf61	-0.00850000000000001
KBTBD6	0.12725
SUPT5H	-0.0315
XRCC6	-0.6127
HUS1B	-0.8629
FAM133B	0.175357142857143
LOC728276	0.3825
KCTD18	0.72875
SOS2	0.922166666666667
CCDC99	-0.71975
C1QTNF5	-0.405
NNAT	-0.101166666666667
USP16	0.3885
LARS	-0.283125
ZBTB2	1.675875
ABO	-0.204833333333333
TRAF3	0.85325
GALNT5	-4.561
NAP5	1.331
ALG14	0.660333333333333
KIAA0515	0.613
WDR75	-1.41383333333333
TEX261	0.3635
LY86	-0.56425
LOC389072	-0.668
FLJ13611	0.21075
MRGPRX2	-0.255
SNRPA	-0.912125
OR2G2	0.2565
GPRASP2	0.70225
C7orf42	0.5488
C9orf163	-0.461
CYP11B2	0.2445
FCRL3	0.115
PRDX1	0.861
FGB	-6.7065
COX17	0.907166666666667
C16orf33	0.53275
PIWIL1	0.0403333333333333
FOLR1	-3.1815
KIAA0082	0.355
FREQ	-1.0485
TMCC2	-1.87183333333333
TCF12	0.462083333333333
ZNF721	0.72175
FAM130A2	0.938
POU4F1	-2.243
SNRPF	-0.230375
SGIP1	-0.192333333333333
ZNF641	0.449833333333333
EMG1	-0.253
PRRG4	1.5515
HIRA	-3.567
MYNN	0.6245
AEBP2	-0.151
TBXA2R	-0.871666666666667
ISL2	-1.77733333333333
PCDHB11	-0.166
RNF144A	-0.9315
MARCH5	-0.320625
DULLARD	-0.841666666666667
DCLRE1B	-0.370666666666667
ITGA8	1.7485
TP73	0.595625
PRKCD	1.267
NDUFB4	0.603
ATP13A4	0.314
ANTXR2	-3.03983333333333
COL4A3	-0.5045
MYO10	-1.9685
SLC6A18	0.39
PEX1	0.7485
TMEM74	-1.29316666666667
RBM19	0.123
TAPBP	-0.08395
RUNX1	-1.02825
MID1	-3.33375
GPR64	0.506833333333333
RASEF	4.30375
GABRG1	-0.30125
MYO16	-1.89375
DBF4	-0.939666666666667
TSHZ2	-0.5605
RIPK2	-0.448
PPTC7	0.582333333333333
KIF4B	-0.187
LRRC31	0.311875
ZNF540	1.6575
EFNB3	-0.2155
LOH12CR1	-0.13125
STON2	-1.02716666666667
GLP1R	0.713
CSTF2T	-1.15025
IREB2	-0.20575
GRSF1	0.08275
PDCD7	0.1295
LRRC43	-1.0905
CNR1	1.6098
IL1F7	0.2865
C12orf64	-0.11325
FAM69B	0.73425
NR2E1	-2.3815
MS4A6A	0.842555555555556
FTL	-0.9101
C7orf36	0.5355
PCLO	1.1269
DYRK2	0.201666666666667
ARIH2	0.0915
SAMD7	0.3345
SCNN1D	0.25625
SLC32A1	-1.02375
C22orf25	-1.04433333333333
MRPS18A	-0.3687
GPR112	-0.194
EARS2	0.883
ERN2	0.667
ATPBD3	-0.0676666666666667
PRH2	0.547
CDKN2D	-0.591166666666667
PGLYRP2	1.40625
TRIM40	0.32475
SEC14L3	-0.34
SLC22A1	-0.36525
BTN2A3	-0.1065
RASA4	0.97675
CCNL2	-0.64
MYBPC3	0.513
GJA4	1.385
CDC42SE1	0.675625
TRPV2	-2.91425
MYPN	-3.7518
SIM1	0.2245
CDADC1	0.491666666666667
ZFHX4	-0.7645
NIBP	1.386
ADAMTS19	-0.00849999999999999
ABTB2	-0.98875
TSPYL2	-0.96925
EIF2S3	-0.7502
SOX30	0.16225
AP2A1	-0.186333333333333
DKFZP564O0523	-0.0916666666666667
LOC285398	0.1075
CDH18	-4.16725
CHL1	1.21775
GATS	0.8279
TBC1D2B	0.526166666666667
OR1J1	0.711
GSN	-0.796
DPCR1	0.461875
GARNL4	-0.797666666666667
SMARCA5	0.1285
PLEKHG3	0.613833333333333
ZBTB45	1.0025
FRMD6	2.69483333333333
PLS1	-0.0735
DGKZ	-0.388833333333333
EFNA1	1.6964
WDR85	-0.289125
ANK2	-1.679
PAGE4	-0.484833333333333
SENP6	1.47033333333333
AKR7A2	0.758833333333333
FKBP10	-1.22075
VEGFC	-2.592
LARP1	0.058625
SRBD1	0.05975
ITGB6	0.59875
SLC1A2	1.47728571428571
INVS	-0.172833333333333
MPO	-0.246
MOBKL3	1.838
CUTL2	-1.404375
KLK2	0.421083333333333
VIM	-3.87975
REG1B	0.205833333333333
PCDHGC4	0.60175
