Hybridization REF	TCGA-E2-A14Z-01A-11R-A115-07
EXTL2	-1.15216666666667
SUZ12	0.21175
IL1F8	0.3105
KRT18	-0.595363636363636
MRPS16	-0.0518333333333333
PI4K2B	-0.188
LACRT	0.146
OR51F2	-0.058
JMJD2C	0.449625
KGFLP1	1.4135
CDK5RAP3	-0.7944
YTHDF2	-0.195333333333333
GGCX	0.7155
ARPC4	0.62375
EGLN2	0.6865
KBTBD4	0.428785714285714
ROBO3	-0.7313
DEFB118	-0.187
KIAA1543	0.37875
RTCD1	-0.896166666666667
MZF1	0.0525
C18orf26	0.8745
CNIH4	0.149666666666667
ZFP2	3.06166666666667
HTATSF1	-0.10875
WFDC2	1.715625
NDUFA7	0.4155
TTC22	0.156833333333333
FAM40B	-3.24325
DCPS	-0.381
SH2D1B	0.368333333333333
MRGPRE	0.265
SBK1	0.4695
UNQ6411	0.3595
OSBPL9	-0.505
NUP107	-1.34725
MYOZ3	-0.2032
PDE4B	1.88433333333333
FAM113A	-0.341
IDH3G	0.2025
FBXL7	-0.523875
ARFGAP3	-0.18275
MAPRE2	-0.694923076923077
IL1RN	0.5233
KIF13A	0.14975
RAC3	-1.048
TCTE1	-0.127
TMEM14B	-0.6095
ADIPOR1	0.120833333333333
GRINA	1.6705
CLIP4	-0.75675
LRIT2	0.3065
TFPI	-2.82035714285714
FABP6	0.15825
SLITRK2	-0.0216666666666667
HKR1	0.05125
SMTN	0.04625
C1orf75	0.827
CD209	0.542125
CYB5R2	-0.3705
DNTTIP2	2.13633333333333
CSGlcA-T	0.050875
GABRB3	-2.52
PCBD1	1.58366666666667
TAF3	0.65775
HOXD3	1.7885
GIPC3	-0.259
P11	0.3022
BFSP1	2.17425
LCP2	1.79175
TAS2R8	-0.0175
SEZ6L	-0.907
NR2C1	-0.927
EXDL2	0.1699
TNFRSF13B	-1.652
MKI67	-1.1085
GLS	-0.16875
C7orf54	-0.8386
LGALS13	0.173333333333333
IL4R	0.45975
SEC11A	-0.667166666666667
SPP2	0.307666666666667
C18orf32	0.88925
CLSPN	-1.33066666666667
SPAG1	1.0945
C9orf82	-0.38925
TM4SF1	-1.686
EMILIN2	1.375
SMG7	-0.487333333333333
TAS2R13	0.4415
ZNF628	-0.4885
DZIP1L	-0.1715
ANKRD13A	0.0989
VASP	1.74075
ZCCHC11	-1.3745
SYPL1	-0.745
MGC34774	-0.26975
C4orf28	-0.488125
KIAA1211	-0.0243333333333333
RPS27L	-0.16575
TATDN3	-0.65775
PDCD1	1.572
OR5P2	0.3295
IFIT1L	0.114
MIPOL1	1.58225
OR51D1	0.29825
C1orf92	-0.424166666666667
LAMP2	0.915722222222222
CAT	0.194
C16orf80	-0.57025
C15orf32	-0.00950000000000001
ZNF746	-0.188
C1orf76	-0.953
ATXN1	0.74175
LAMC2	0.317
SLC2A7	-0.187
CPOX	-2.04925
APH1B	1.65983333333333
LOC442245	2.08025
CTNND1	0.472555555555556
GABRG2	-0.52775
MADCAM1	0.1105
F5	-1.672375
SEMA4F	-0.107
NUDCD3	-0.060125
PDZD11	0.8255
TRIML1	-0.356
GCNT3	-3.28266666666667
TMEM120A	1.21025
CNDP1	-0.6415
N4BP1	0.93025
SLC35F2	-1.288625
LCP1	0.422416666666667
IGBP1	-0.0201
DCAKD	-0.19825
ELA2A	-0.3615
C12orf56	-2.36575
PITRM1	0.151642857142857
GUK1	0.549166666666667
RASSF8	-1.229625
OR2A14	0.28275
ADM	-2.15144444444444
FGD3	3.75766666666667
GHRHR	0.133333333333333
RHPN2	0.8905
C4orf39	-0.6615
VPS72	-0.293
SERF2	0.910388888888889
CD22	1.51583333333333
CD47	-0.5964
PPIC	1.055
IMPDH1	-1.65616666666667
ACP6	-0.327833333333333
PRKACA	0.153875
PPP1R1A	-0.337875
TRPV3	-0.02425
ASXL1	-0.651125
C17orf55	-0.969166666666667
FXYD1	0.0903333333333333
LMOD2	-0.353
ANKRD33	0.1525
LCE2C	0.0465
ZNF620	0.151
DKFZP566E164	-1.67275
VSIG2	0.1615
KIAA1128	1.4965
USO1	0.296166666666667
NUDT4	0.421285714285714
CLDN1	-1.36914285714286
OR4Q3	0.2365
FASTK	-0.514333333333333
ICOS	2.95533333333333
LDB1	1.04275
GSTA5	-0.91725
ABCC1	-0.9105
FAM54A	-1.07625
PCBP2	-1.22083333333333
NUP205	-1.6445
ACTA1	-0.104333333333333
GABBR2	-1.697
PIP5K1B	-0.658166666666667
AGXT	-2.22816666666667
RNF181	-0.0785
ATP8A2	-0.72375
AFTPH	1.501625
FGF21	0.4205
FCER1G	2.367375
SNTB1	-1.563
SLC24A3	1.146875
TXNL4B	-1.2976
RPL10L	-0.104833333333333
LOC389517	-0.58015
TSGA13	0.00899999999999998
SHOX2	-0.521666666666667
ITGA7	-0.801
KCNIP2	-0.0025
KLF13	0.1387
ZFAND2A	-0.53925
CEACAM1	0.8195
PFKFB4	-2.13683333333333
MED19	0.17525
LRRC57	0.364
RNF11	0.57
ANKRD32	-2.13475
P117	0.2125
OBFC2A	0.1075
POLD3	-0.51075
RAB18	1.75975
TPH2	0.1695
PHB	-0.9223
JDP2	0.911
MORF4L1	-0.3804
POU2F1	-0.159
CNNM2	-1.3335
LOXHD1	-0.0506666666666667
ZC3H15	-0.217
ELK3	1.011
FAM111B	-1.2675
CBLC	3.31216666666667
SBNO1	0.72825
ANKMY2	-0.41275
PLEKHA5	0.24
DHX58	1.40266666666667
ARCN1	-0.348
TREML1	0.6082
KNCN	0.0895
SEC24A	-0.689
PSCA	0.082
MGC24125	0.757333333333333
DNA2L	-0.8585
CIB4	0.636875
HIGD2A	0.250666666666667
TBX6	0.000833333333333325
TTLL5	-0.608
SGK3	1.16533333333333
GCN1L1	-0.693
AMOT	-0.0969
LDOC1	0.298666666666667
NRK	1.92383333333333
ASB9	-2.65575
NAT1	4.013
TRAFD1	-0.3455
PEAR1	0.405833333333333
FAM36A	0.817625
OR1S2	0.274
LOC388323	-1.3625
PGS1	-1.07816666666667
LEPREL1	-2.952
TFF1	-4.15008333333333
HAP1	0.041
EPHB2	0.5455
ACTG1	0.287
ZFP42	-1.4072
HAVCR2	1.5316
NME1	-0.694
SNX26	-0.243416666666667
LACTB	1.00533333333333
ZKSCAN2	-0.6685
C5orf35	0.86075
ANKS3	-0.50375
RBM28	-1.3445
DKFZP586P0123	-0.82325
HNRNPA1	-1.05916666666667
BCAS3	-1.47791666666667
FLJ20184	1.094
POLA2	-1.43066666666667
TMC7	-0.292666666666667
HSD17B6	2.7175
ZNF658B	0.0753333333333333
TTTY10	-0.2905
RANBP9	-0.0566666666666667
CPNE7	-1.957
EVL	0.734529411764706
LNX1	1.30275
IFNA21	0.011
CFD	0.64175
PYCARD	0.824
MYBPC2	-1.6995
ENPP3	-1.44666666666667
ACSL4	-1.481
LOC440258	0.119
TMEM176B	3.28166666666667
SOX2	-5.3135
SCO1	-0.971833333333333
COMT	-0.80075
AOC2	-0.47875
PDLIM5	0.9715
SPHK2	0.618
NXPH2	0.696
GPR108	0.970166666666667
RAD51L1	-0.00166666666666669
TMEM54	0.351
LETMD1	-1.42877777777778
SLC6A17	0.204
KRT75	-0.7025
STT3B	-0.0555
CD3EAP	0.3585
TMEM63A	0.18
DUSP13	-1.3035
CD1C	1.38783333333333
LASS2	0.91
AVP	-0.072
PITPNM1	-2.108125
FLJ22795	-0.466
MCTP1	-1.38525
TRIM68	-0.897166666666667
UCK2	-0.4565
ABHD1	0.68975
FAM50A	-0.618
RNASEH1	-0.597
PCP2	0.589666666666667
OR52H1	0.604
C20orf149	0.718
RBP5	2.17783333333333
HYAL3	-0.29275
CLPB	-0.99
SMNDC1	-0.0625
DONSON	-0.904
FLJ27523	0.1775
BARHL2	0.264833333333333
SLC30A9	0.439833333333333
TMPRSS11B	0.3925
E2F8	-1.357
CCDC25	1.63675
C14orf48	-0.159833333333333
C20orf116	0.607875
TSPAN11	0.1795
YIF1B	-0.753166666666667
FAM12B	0.72725
OR1L6	0.293
HPN	1.2585
NBN	1.745875
C14orf94	-1.2715
OCLM	-0.4535
ZSCAN18	0.9701
L3MBTL	-0.0509
TSTA3	1.857
RAC1	0.125875
C19orf15	-0.117666666666667
NFE2	-4.79275
KLK14	0.194
ARSF	0.5965
MAST2	-0.757
AMICA1	2.959
GTF2A1	-0.10625
ATP1A3	-0.09025
TC2N	2.8336
PNKP	-0.33225
ODZ2	0.89775
MATR3	-0.000499999999999994
S100P	-3.692875
KRT82	0.258
CA13	-0.5878
PROZ	-1.5265
AASDH	0.46925
C19orf40	-0.363333333333333
DCK	-0.0687692307692308
FAM5C	-1.6645
SLC6A4	0.363
MID1IP1	0.01525
TESSP5	0.551
TMOD4	0.302666666666667
DOCK2	-0.129
TUG1	0.462625
NUP214	-1.266
DPYSL2	-0.978772727272727
GOLM1	3.37491666666667
MPFL	0.29825
SOX13	1.60575
SDCCAG8	1.5615
KEL	-2.2925
NUP210L	-2.83325
GK	-0.068375
DNAJB1	0.48725
ALPK3	0.361
CHID1	-0.354
CYLC2	0.274833333333333
IKZF5	0.93725
C8orf51	1.59466666666667
PPM1J	1.56475
GIMAP8	3.7015
GPR101	-0.271
NR2F1	-0.6635
ACAD8	0.03375
RBM35A	1.439
GNAI2	0.284
METTL8	0.522166666666667
SLC39A7	-1.30525
FBXO8	0.9185
CAMK1	-0.296
RFC3	-0.748125
FAM129A	0.331285714285714
ILF2	-0.1525
FGFBP3	-1.928625
NOM1	-1.28466666666667
PSMA3	-0.312
ASCC3	1.1491
ZYG11A	-0.67775
SOX21	-1.383125
LYRM1	0.36425
DEFB1	1.5395
LOC91431	-1.39533333333333
OR7C2	1.2585
FAM46B	2.123
TMEM18	-0.6295
ARHGAP30	2.09966666666667
TMEM86A	2.5375
EPHA2	-1.98733333333333
C10orf46	1.40805
TCHH	-0.299833333333333
C3orf30	0.0416666666666667
LOC285636	-0.0201666666666667
PAIP2	-0.117
CYP2U1	0.452714285714286
C12orf34	0.86525
SARS2	-0.4955
ZCWPW1	0.1145
SAMD12	2.408625
KIAA1430	0.05425
ACAT1	-0.831
MEOX1	2.33033333333333
ADAMDEC1	6.69025
PHKA2	0.2725
CARD11	-0.4215
CALML4	-0.68
TSSC1	-0.545
TMEM45A	-1.742
MPP7	3.189375
POU1F1	-0.471
SLC2A13	-0.9818
FBN2	0.4315
ZC3H7A	0.1106
LAIR2	0.53
ST3GAL1	1.47133333333333
LCT	-2.89525
GEMIN8	1.005
KLF16	0.1248
HIF3A	-0.3448
FAM44A	0.152214285714286
AQP10	-1.3874
PLA2G2A	-0.061
FOLH1	0.242
C20orf186	0.3435
MAPKAP1	-0.909625
SPRR2D	-1.38
UBQLN4	0.128833333333333
RSHL1	0.154833333333333
PIAS3	0.199
MRPL24	0.886
GREB1	0.3585
FAM27E3	-0.8145
NUP62CL	-0.4165
NEUROG3	-0.984
REEP3	0.264166666666667
MARK1	-0.3575
LMBRD1	1.1705
PRPF19	-0.922
PNMT	-1.38633333333333
CTGLF1	-0.35
SLC25A16	0.70625
EIF2B3	-1.4085
RPA2	-0.84
PAK6	1.08216666666667
CCDC26	-4.070625
SEMA3E	2.771125
MXD4	1.4587
TNFSF10	3.4323
SMARCB1	0.703666666666667
DTX3L	1.69516666666667
PLA2G4E	0.3965
PPAP2A	1.14925
ULK1	-0.510916666666667
TAS1R3	0.1395
SLC2A3	-2.86445454545455
ARID3A	-1.334
GNG5	0.69075
ACOX1	0.4392
KIF5B	-0.40975
NUP153	-0.402
MUC7	0.69
CSDE1	0.178071428571429
CLPTM1	0.649
C3orf23	0.631625
LRRC17	-0.377333333333333
TTYH3	-0.4085
ATP5B	-1.7605
ELF3	1.2339
CPSF3L	-0.3305
ZNF665	0.405166666666667
TLR6	0.902
GPI	-0.9045
RAD9A	-0.51675
NDST4	-3.69925
AGPAT3	0.9255
MAGI3	3.4875
ADORA2A	2.30975
CACNG7	-0.278
CAMK2D	0.479571428571429
CCHCR1	-0.52125
RPS27A	-0.00625
OR10G7	-0.0466666666666667
GCM2	-0.222
FAM135B	1.045
E2F1	-1.44925
PLCB3	-0.486
OR2AE1	0.363
COIL	-0.329333333333333
CDC25C	-1.36233333333333
RAB11FIP2	0.4835
TSC2	0.0515
CTGLF5	-0.7915
CCDC108	0.0181111111111111
OR13C4	0.0345
C10orf81	5.01975
PTPRB	2.34625
ACP2	0.595
LAG3	1.98
MRPL54	0.5625
LOC201175	-0.192
ITGB1BP3	-1.86675
SPTAN1	-0.0446666666666667
SIPA1L2	-1.16225
RCAN2	-0.1685
CDX2	-0.5635
ECOP	0.45925
ACTR1A	0.366071428571429
PPARG	-1.41083333333333
BBS10	0.488833333333333
TMEM44	-1.636875
BPIL2	-0.1425
CITED1	0.0805
IRF6	3.82975
PRDM4	0.461333333333333
RRP9	-0.1025
OR10H4	0.31525
IL31RA	-0.19075
GNB1L	-1.02666666666667
MYBL2	-2.039375
ZNF407	0.345
PPIG	0.643333333333333
TTC18	3.017
RPSA	0.369
MAPT	0.6625
MRE11A	-0.0365714285714286
C8orf37	1.07533333333333
RASGEF1C	-0.3905
STBD1	-0.38025
CTAG2	-0.851166666666667
MGAT5B	-3.01283333333333
ECM1	0.691375
RLN1	3.3275
PARP14	1.8868125
EPB41L1	1.1507
HOXA3	-0.919583333333333
MAGEA9	4.8635
RPS8	-0.059
RPS19BP1	-0.70825
FOXJ2	0.281375
C10orf76	0.599625
IL17RE	-0.08025
C10orf65	-2.0445
ZNF343	0.753833333333333
FBXO33	-0.439375
UHMK1	0.5554
LY6G6C	-0.52475
FGF19	-1.80825
C14orf128	-0.359
IFIT2	3.59025
TIGD1	-0.117
S100G	4.6975
GUCY1B3	2.61
NR3C1	-0.1832
CORO1B	-0.1915
PARP11	0.494
DNALI1	3.91766666666667
OR4N4	0.16525
MAP2K6	-0.683833333333333
FSTL4	0.453
ANKRD47	0.948625
TMEM171	-1.5635
PNLIP	0.10475
YY1	0.150333333333333
CCDC138	-1.179
AASDHPPT	0.0161
CKS1B	-1.1012
MCM3	-0.834333333333333
ANAPC7	-0.4065
FAM110A	2.02275
CDC37L1	0.580833333333333
THTPA	-0.25175
NBPF20	-0.495
WDR24	-0.60225
NPTX2	-3.838
CBLB	1.06633333333333
CETN1	-0.311333333333333
RPUSD1	-0.2835
FAF1	-0.92325
CDK6	-2.3607
HMX2	-0.0805
CSK	-0.242
TEAD2	0.872
SNAP25	-0.57275
TUFT1	1.1385
TMTC3	0.818833333333333
LCK	-0.7235
SGOL1	-0.710333333333333
AKTIP	1.0295
FURIN	-0.188125
SOX12	0.524166666666667
DEFB103A	-0.6115
RAMP1	1.047
KIR3DX1	0.011
GAS2L3	-0.1905
PDE8A	-0.7876
EDN3	2.51175
GMIP	0.901
SF3A2	-0.38175
FN3KRP	-0.3295
SMAD7	0.72
RHBDD2	0.20975
OR11H6	-0.0985
PPP1R3B	0.5744
C9orf23	-0.41475
CADPS	-1.765
GOLGA8A	-2.769375
TMEM57	0.752666666666667
RGL3	-1.7935
S100A14	1.6055
FGFR2	1.43975
XRCC3	-0.75725
RTN4RL2	0.248
MGC3771	1.117
GH2	0.0386666666666666
BTBD2	0.01175
LMO2	0.459
RDBP	-0.179875
ACRBP	-1.4425
AMY2A	1.592
DUOXA1	0.321
PTK7	1.2045
TWF2	-0.339833333333333
FAM80A	-3.35525
TNNI2	-2.6125
GLT25D1	-0.689666666666667
OCC-1	-1.3375
CYC1	-0.185333333333333
RPL22	0.495272727272727
MORN3	1.22383333333333
DISP1	1.568
PRB2	-0.346
CHUK	-0.0565
HR	-1.010125
CCDC134	-0.813
DENND4B	-1.0245
C14orf130	-0.514625
RAB33A	-0.20075
DCST2	0.112
TNMD	-0.601
PEX7	1.48075
FAM62A	-0.783
SRD5A2L	-0.1545
IL22	0.08075
RPS26	-0.006
HOXC5	0.312
SPATA6	0.3625
FLJ38482	0.745375
ZNF234	1.843
C18orf22	0.13775
SPATA22	0.55125
THOC1	-0.62425
CYP7B1	2.907
KCNC3	-0.43675
C8orf42	1.3435
ALDH1B1	-0.640833333333333
CCDC100	-0.1792
ARMC4	-2.5985
FAM18B2	-0.3275
SLC44A1	0.935375
FBXO17	-1.5545
C6orf107	-0.10225
C19orf29	-0.63275
ZC3HAV1L	-0.83675
PARP6	0.0487
SULT2A1	-4.76125
C1orf159	-0.1215
TMC1	-0.0183333333333334
CHST14	-0.590375
GAMT	0.425333333333333
SMCP	0.0431666666666667
TSPAN33	0.0734166666666666
MIDN	-0.06325
NOX4	3.338
RNASEN	-0.354
TBX1	1.2565
SALL2	-0.204
C10orf35	1.4955
CYP2E1	-0.22425
LRFN2	2.96366666666667
ACO1	-1.37133333333333
IQCG	1.5418
MEGF9	1.335
TM7SF4	2.3085
PLEKHA1	0.9322
STK33	-3.4165
C1orf210	2.16325
SNUPN	0.513
KIAA0406	-0.8653
C20orf29	0.5565
TMEM55B	-0.7885
OSTM1	-0.6596875
CLCN7	-0.38325
OTP	0.0745
FLJ23049	0.168
HEATR4	0.6355
MAP3K10	-0.292333333333333
PCDHGA9	0.445
AMDHD2	-0.689
LCTL	-2.021
PDCD2L	-1.292
CABLES2	-0.09625
SLC5A9	-0.5555
CLCA2	0.246
MGC16025	-0.5755
STRAP	-1.45333333333333
C20orf196	-0.421
RRBP1	0.696166666666667
NAT13	0.14675
MAT2B	-0.011375
CSNK1D	-0.839166666666667
KIR3DL1	0.10575
PRKAG3	-0.165
ZNF599	0.7515
PRM3	0.442
PER2	0.342666666666667
ASPHD1	-3.2655
PRMT6	0.6465
KCNE1L	-0.254285714285714
FAM118A	-0.989166666666666
TAF4	0.002
NDUFB6	-0.4595
TRIM9	-0.688416666666667
PMFBP1	-0.36975
KY	0.2685
DKFZp762E1312	-2.72545454545455
CSMD1	-1.4635
TBP	-0.708666666666667
OR1Q1	0.17
RETNLB	0.05525
HPGD	1.34878571428571
DNAJC12	-0.810833333333334
FKBP1B	-2.2165
ANKRD24	-0.297
CXXC5	0.456166666666667
IL3	0.01325
DRAM	0.9735
PTCH1	-1.34425
TP53BP1	0.07575
SLC17A7	0.406
COL25A1	-1.2718
AMACR	1.15316666666667
RHCG	0.47525
VPS13A	-0.834666666666667
FAM55D	0.523
PRPF38B	0.178333333333333
OSBPL6	0.1795
PFDN5	-0.1687
CMTM6	-0.140625
KCNK12	-2.055
RP2	0.11975
C16orf52	-1.50925
PICK1	-0.4095
IFNE1	-1.19483333333333
SEMA4B	0.129
TYRO3	-2.751
OR12D2	-0.036
CSNK1A1	0.29905
FANCF	1.0125
LONP2	1.287625
TBL1Y	0.39225
LDOC1L	-0.350375
CCNC	0.133
C3orf60	0.1135
CHKA	-0.82725
UBAP1	0.4305
MAP3K1	3.24
ANKRD9	-1.65525
FAM92A1	-0.0376666666666667
GAB2	0.22975
AZU1	-0.21425
DIS3	-0.19775
C21orf109	-1.30225
IQCB1	-0.2765
SPATS2	-1.10483333333333
EFCAB3	0.0715
PRB3	-0.43925
FUZ	0.182666666666667
ZNF813	0.4565
BMPER	-1.56833333333333
HEG1	-0.031875
ALS2CR11	-1.3215
SURF2	-0.90275
PSMC1	-0.699666666666667
OR2D2	0.308
SLC7A8	1.771
C4orf40	0.05
SPATA7	-0.04125
MAZ	-0.622
PIN4	0.55925
PDE1A	-1.271625
TAF6L	-0.132
OR2T34	0.025
KIAA0284	-0.344
ACADS	-0.684727272727273
MKRN2	-0.5675
C18orf56	-3.41775
MS4A6E	0.4215
GALNT4	0.6172
C22orf31	0.8535
FLJ36070	-0.1525
PSME4	-0.045
TFG	0.2489
EPHX2	2.950875
ANXA5	-0.938875
KRTAP1-1	-0.1506
BATF	2.0435
KARS	-1.8515
MSTP9	-0.713
GPR26	0.407625
CCDC72	0.99625
TEF	0.275166666666667
FOXK1	-0.9456
PRLHR	-0.085
EMX1	2.13075
C11orf30	0.255
ICK	0.361375
THSD7B	-0.1465
C21orf100	-0.474
DUOX1	1.7615
EFCAB4B	-0.5515
UBE2G2	-0.556666666666667
C3orf54	-0.0575
PARP1	-0.02375
FAM60A	-1.22783333333333
C6orf146	0.223666666666667
OR9K2	0.732
DDX55	-0.863
RPS15	0.5645
ZNF618	0.5051875
DKFZp686D0972	0.86775
SSPO	-0.9525
SHFM3P1	0.057
CPA6	1.49925
JAG2	0.49475
DEFA3	0.16925
PPBPL2	0.0274
CD34	3.97775
SLCO4A1	-3.56925
AFG3L1	-1.1995
SHD	-0.57875
RP13-122B23.3	-1.20283333333333
PRKCSH	-0.648666666666667
DPH5	-0.748166666666667
HLA-F	2.035375
TBC1D4	-0.646
RIG	-0.452333333333333
GLUD1	0.3465
HNRPCL1	0.329375
HBXIP	0.48025
RNF207	0.183
APIP	-0.54675
PLA2G3	-3.2215
CCDC84	-0.4195
MYLIP	0.455307692307692
PHIP	0.2255
AARS2	-0.357833333333333
DHX32	0.6405
SCAPER	0.0958333333333333
MEN1	-0.04925
NIP7	-1.31225
FLJ25404	0.472
FASTKD3	0.65225
TMEM158	-2.6345
RARA	1.00175
BDH1	0.3545
ANKRD16	0.49925
CARM1	-0.1175
SS18	0.0301666666666667
IKZF2	1.29891666666667
MYD88	0.223
PML	0.2855
TAF1A	-0.6795
CBFB	-1.189125
HIST1H3H	0.0446666666666667
C7orf29	-2.4635
COMMD4	-0.609666666666667
DPP3	-0.71075
DAB2	0.2455
LOC388882	-0.154
YPEL4	-0.473
AGBL3	0.2005
LRP6	0.4627
SERPINH1	-0.5805
TLE1	-0.88225
CD244	1.3395
ZDHHC15	1.40425
MGLL	-1.0881
PLDN	0.287416666666667
LOC654346	1.7825
FAP	2.961
GPR37	-2.15216666666667
SCARA5	0.988
EBF4	0.998090909090909
LSM6	0.058
MLLT1	-0.2824375
SLC5A12	-0.38175
A2BP1	-1.0165
COPS5	0.769666666666667
TPM4	-0.144928571428571
TNFSF4	2.4605
ACADSB	1.3545
HERPUD1	-0.039
BCL2L11	-0.568277777777778
CEP78	-0.704125
CDCA3	-1.359125
WBSCR19	0.1342
MYO1A	-2.0145
PPEF1	2.281
LOC440348	0.00675
CPEB2	0.61
BPTF	-0.568166666666667
RPL21	-0.3711875
GSX2	-0.113
ADPRH	1.0265
C17orf68	0.690666666666667
KCNS1	-0.873166666666667
MLLT6	-0.4034
PIWIL4	0.32225
RNF26	-0.958
RAP1B	-0.607125
ADAMTS1	-1.0703
ZNF571	1.59225
P2RY6	1.5415
TRIM21	0.979
CADM3	-0.135
NLRC5	0.8945
ADRA2B	0.0383333333333333
LOC90835	0.715125
PCF11	-0.0225
LOC400451	1.25275
GLTSCR1	0.1458
C17orf88	-0.5255
CDH16	-1.58625
FGF7	1.67875
PCSK4	1.0135
NPC1L1	-1.588
TAT	0.67275
TBCA	-0.2605
MGC33407	0.015
GPR115	-0.9785
CYGB	-0.1835
FNBP4	-0.478
C12orf43	-0.30825
CBL	0.0963
CLECL1	3.4365
PPAPDC1A	1.75125
WDR25	-0.578
SGCA	0.893
C22orf29	-0.0126666666666667
YIPF1	1.107
GALK2	-0.8375
RAB3B	-3.61716666666667
LOC440087	3.03675
UCP1	0.582
REEP5	1.51775
FADD	-0.7967
FOXA1	3.482
CACNA1A	0.122833333333333
ABI1	0.880833333333333
GRIN2D	-0.3105
SLC1A4	0.297833333333333
LOC401127	-0.17875
HINT2	-0.1555
PLD4	0.854
ZNF286A	-0.95725
ENY2	0.7735
IL1F6	0.3615
PXDNL	0.737
C20orf79	0.079
TNFSF13B	4.07283333333333
DENND3	0.3785
JARID1D	-3.2095
HIST1H2AK	0.35625
LOC93349	0.8908
SSH1	-0.5897
ENSA	0.3445
LOC219854	-0.0661666666666667
CKAP2	-1.0807
DKFZP564J102	-0.528166666666667
MGC87315	0.909166666666667
HNRPAB	0.008
AMH	-2.381
ZNF526	0.6605
BRUNOL5	-0.1332
CACNG3	0.0483333333333333
TRPM1	-1.184
PPP2R1A	-0.18125
COL2A1	-1.67225
DDN	-0.463666666666667
FLJ25770	0.669333333333333
HK2	-1.37271428571429
ELOVL6	-1.696625
MDK	-0.35775
EPHX1	1.838
RASSF2	0.9145
DKFZP434B0335	-0.46475
DLX3	-0.11125
PRTN3	-0.67425
AVPR1A	0.24625
C21orf125	-1.67175
TNFAIP8	-0.223
GNB2L1	-0.284
CALCRL	3.56825
SCGB2A2	7.87366666666667
UBXD7	0.86375
ZNF674	-0.1825
TMEM35	0.4865
BRSK2	-1.053375
HECTD3	0.385333333333333
TMEM188	-0.6775
LGALS9	2.15575
SCARB2	0.989666666666667
USP34	0.1695
C17orf28	1.11225
ZDHHC23	-0.96475
AQP12B	-0.236
SLC16A3	-2.571
APLP2	0.709625
ITIH2	-5.63575
MICAL3	-0.6915
TNNI3K	0.0724
HDAC2	0.03675
PRR7	-0.8902
THBS2	-0.16675
LOC751071	0.930333333333333
CA2	-0.5245
RANBP17	-2.13475
RLN3	0.18925
CRYZ	-0.2995
GBAS	0.838
TAS1R1	-0.52025
MPZL3	0.7135
PCDH8	-2.4605
HSP90B1	-0.28975
KCNK15	-0.2885
TNIP2	0.0108333333333333
GPR146	-0.69675
NOL6	-0.61925
SPC25	-1.71333333333333
STEAP2	1.84514285714286
VAMP3	0.243333333333333
TCIRG1	0.1445
ZP4	0.845666666666667
PARL	-0.51825
TRIM39	0.428333333333333
KIAA1305	1.66225
CRNN	0.0141666666666667
GRN	0.33025
HSH2D	-1.13175
SCAMP1	0.227
KIAA1913	0.77325
PTS	-0.15525
BANP	0.2305
PRKACG	0.123
ADCY6	0.00799999999999999
C16orf46	0.534
CYP51A1	-0.783
DDC	-5.32575
ANPEP	-0.804666666666667
PROM1	3.47616666666667
SIGLEC10	2.34175
COPG	0.9415
FAM26E	1.31775
TRIP4	0.5775
SNX3	0.650666666666667
C1orf175	0.221333333333333
PPY2	-0.06575
C14orf152	0.382
FTSJ1	-0.4665
DST	0.52985
LOC554235	0.0195
GLRX5	-0.7075
C20orf12	2.3488
CAB39	0.472333333333333
MSH2	-1.6135
PIP4K2C	-0.0695
CYLD	1.673125
WTAP	-0.422125
MGAT4A	2.81333333333333
TSC22D4	-0.7699
CHRM2	-2.2385
PPYR1	0.105166666666667
CCNH	-0.3795
RRM1	-1.332
ECAT8	1.194
LOC400120	-0.03425
GABRA4	0.42825
C14orf4	0.0478333333333334
C1orf59	1.34425
CTDSPL	0.542083333333333
NHEDC2	-1.47
PDE11A	-0.5005
KLHL29	-0.6145
CD5	0.8055
TSPAN9	0.9383125
WDR67	0.04625
THUMPD1	0.5807
C18orf17	0.58775
CLYBL	0.289333333333333
FLJ13231	-0.485375
CMBL	0.881875
LECT2	-0.314
NKAPL	2.578
LOC654780	0.819
OR4C6	0.7515
RAB30	1.21166666666667
TSSK4	-0.4255
TMEM163	1.218
OSBPL11	0.367833333333333
GNB5	-1.88133333333333
CCL21	1.80975
C1orf121	0.582
FMO2	2.655
RPTN	0.1805
MSTN	0.301
VCL	-0.2565
FYTTD1	0.70325
C11orf1	0.64875
CCDC88C	0.0581875
HFE	0.674277777777778
MOGAT1	0.059
FAM125B	0.441166666666667
IRGQ	0.0585
RAVER2	-1.272
AKAP5	-0.11
SSSCA1	-0.04025
C11orf63	0.974125
ACTG2	1.3181
PORCN	-0.2745
DTL	-1.01318181818182
TMEM151	0.1905
FAM122C	-0.3365
RSAD2	4.2592
BAT4	-0.7555
KRTDAP	-1.75433333333333
MYH8	0.401375
CRTC3	0.07125
LRRFIP2	0.6103
INTS4	-0.1685
TTN	-0.459
SLC26A5	0.285
PLLP	-1.676
RGS6	0.37075
SRGAP3	0.05725
ZNF525	0.759833333333333
NBR2	-0.943833333333333
C13orf1	0.2955
ZNF137	0.783
CEP27	-1.0005
BEST2	0.5315
RNF121	-0.55575
DMRTC2	1.44125
C8orf76	1.31825
BCCIP	0.49225
MEST	-0.85975
