Hybridization REF	TCGA-AN-A0FL-01A-11R-A034-07
KIAA0913	0.74575
ARX	0.861875
PPP3CB	-0.904833333333333
IRX6	-0.2099
ANGPTL4	0.573
LSM14B	0.6308
PCDHGB7	0.6975
INSM1	-0.776454545454546
WBP2NL	0.7745
ZNF493	-0.078625
NGEF	-0.279
RNASE13	0.2605
SPPL2A	-0.637833333333333
SFXN1	-1.765
FAM102A	0.650375
SAPS2	0.172416666666667
JTV1	-0.904
OR51B4	-1.15425
SCGB1A1	0.842666666666667
NEUROD2	0.339375
tAKR	-0.09125
C1orf26	1.14725
RICH2	-1.41775
TEDDM1	0.643
CYP2S1	-0.478
TBCE	0.0881666666666667
MAPK1	-0.916125
HDHD1A	-1.2595
MRM1	-0.5785
ATP9A	0.521071428571429
HSD17B3	-0.320166666666667
HN1L	0.322416666666667
RNF216	0.124875
HOXD12	0.1095
PPP1R14B	0.7355
SBF1	-0.16525
TAS2R42	1.1
USP46	0.0625
LILRB3	2.106
SPI1	0.041
OXSM	-0.14825
GYS2	0.447166666666667
NUPL2	-0.247
C8orf46	-1.819125
SF3A1	-0.19035
C21orf99	-0.77225
HOXB4	0.4431
YRDC	0.09725
GPRC5D	0.186
BLVRA	-2.015
KIF12	0.556
LRRC23	-0.9885
FAM14A	-1.11
RASL12	2.00825
DAZAP2	1.00775
IKBKB	-0.792214285714286
ZNF271	-0.412166666666667
BOK	0.802
CXorf6	0.48475
MYEOV	-1.32225
BTN2A2	-0.1074
FRG1	-1.1485
HSP90AB6P	0.2895
ENOX1	-2.289
ZNF706	0.2104
DOK1	-1.3142
PGAP1	-1.91975
TMEM136	-0.1545
FSCN1	-1.20625
KIF17	-0.38625
TRIM66	-0.081
CBR3	1.47683333333333
C13orf24	-0.676
C19orf52	0.46825
BNIP1	-0.2635
AQP3	1.5415
KRT6C	-0.822333333333333
SIRPA	2.01816666666667
IGFBP6	-1.74516666666667
PLEKHK1	-0.41575
RNASE7	0.039
ARHGEF15	0.934
NPHS2	0.3175
SRD5A1	-1.23175
REXO4	-0.16275
EEF1DP3	0.63525
SLC37A2	-0.445
ZNF142	1.2925
ANKHD1	-1.351
MUT	1.7245
VPS37A	-0.0415
GPRIN1	-0.9505
SLC38A3	-1.075375
BAZ2B	1.582
WDR87	0.406
BRD7	0.0335
POU6F2	0.381
NISCH	-1.0115
TCEB1	0.20175
LINGO2	-2.955
TAX1BP3	-0.4095
RPL34	0.3795
MARK2	1.51
AKAP12	-2.7734
AMBN	-0.098
SLC25A27	-0.557166666666667
FLJ21865	0.01975
KIR2DS2	0.423333333333333
WDR77	-0.02825
ATF2	0.807166666666667
ITFG3	0.234
SLC39A13	0.175
ARL6IP5	1.180375
C10orf137	-0.585125
QTRT1	-0.6435
CCNT1	0.54025
DYNLL1	0.3904
WDR53	-0.13675
LIPG	0.621166666666667
ASAH3	0.383
HELB	-1.136
PHACTR2	-1.150125
VENTX	-0.2815
LAD1	2.0875
PAOX	2.462
MAPK8	-0.232
CCDC38	-0.15175
DNAJC8	-1.0762
RBBP8	-0.05425
WNT11	0.3771
KCNJ12	-1.81483333333333
HDAC8	-0.436333333333333
STARD4	-3.37075
ACVR1	-0.163166666666667
C14orf65	0.53925
KLB	-2.8925
C1orf65	0.327666666666667
ZFYVE28	-0.7555
NSUN6	0.13125
KIF27	0.554333333333333
SYTL2	-1.825
UBXD2	0.7277
OR6T1	0.5765
CCDC91	-0.0165
GRID2	0.2645
CALN1	-0.331625
ZNF423	-1.549
PSMB4	0.210666666666667
XPNPEP3	0.273
ARPP-21	-3.1055
SART1	-0.0765
RACGAP1P	-2.132
SPTA1	-4.9505
C6orf113	-0.2855
C7orf16	-3.1465
CHST7	-1.072
C21orf29	-0.329333333333333
SEMA6D	-2.59225
PCMTD1	2.3161875
KIAA1754	-1.323
MYCN	-0.612625
KCNJ3	-0.415
MAPK13	2.6325
ERO1LB	-0.19275
NTF3	-2.2265
NKX6-2	-0.43475
GTF2B	0.11225
GSPT1	-1.764
GUSB	0.345333333333333
LOC221091	-2.978
LIG1	-1.062
EXTL3	-0.7845
NID2	-2.3165
TTC29	-0.893
TMEM97	-1.1685
EXTL2	-0.894833333333333
SUZ12	-0.57225
IL1F8	-0.146
KRT18	-0.218
MRPS16	0.0685833333333333
PI4K2B	-0.19575
LACRT	0.309
OR51F2	0.596
JMJD2C	-0.254625
KGFLP1	1.026
CDK5RAP3	-1.3363
YTHDF2	0.855333333333333
GGCX	0.80775
ARPC4	0.5995
EGLN2	1.032
KBTBD4	-0.289214285714286
ROBO3	-1.3672
DEFB118	0.0105
KIAA1543	0.1835
RTCD1	-0.884333333333333
MZF1	-0.57
C18orf26	0.509
CNIH4	-0.2905
ZFP2	-0.00833333333333332
HTATSF1	-0.2805
WFDC2	2.608
NDUFA7	0.5895
TTC22	0.6005
FAM40B	-2.940375
DCPS	0.85
SH2D1B	-0.670166666666667
MRGPRE	1.0545
SBK1	0.799
UNQ6411	0.707
OSBPL9	-1.217
NUP107	-2.3515
MYOZ3	-0.0652
PDE4B	0.566583333333333
FAM113A	-0.493
IDH3G	0.1525
FBXL7	-1.014375
ARFGAP3	1.4615
MAPRE2	-2.08538461538462
IL1RN	0.6157
KIF13A	-0.157
RAC3	1.5945
TCTE1	-0.286
TMEM14B	0.068
ADIPOR1	1.01966666666667
GRINA	1.7435
CLIP4	0.0665
LRIT2	0.7445
TFPI	0.686285714285714
FABP6	0.81275
SLITRK2	-0.5212
HKR1	0.38625
SMTN	1.4795
C1orf75	-0.74675
CD209	0.4645
CYB5R2	2.70625
DNTTIP2	-0.454
CSGlcA-T	0.9925
GABRB3	0.7055
PCBD1	0.359333333333333
TAF3	1.98725
HOXD3	-1.15466666666667
GIPC3	0.757166666666667
P11	0.4865
BFSP1	-1.409
LCP2	-0.6105
TAS2R8	0.1995
SEZ6L	-1.336125
NR2C1	-1.94275
EXDL2	0.2699
TNFRSF13B	-2.0085
MKI67	-1.229
GLS	1.13516666666667
C7orf54	0.4163
LGALS13	0.532666666666667
IL4R	-1.2855
SEC11A	-1.02233333333333
SPP2	0.218
C18orf32	0.219
CLSPN	-1.413
SPAG1	-0.11375
C9orf82	0.17275
TM4SF1	0.24375
EMILIN2	-0.3825
SMG7	0.690666666666667
TAS2R13	0.9985
ZNF628	0.767
DZIP1L	-1.1925
ANKRD13A	1.1201
VASP	3.3465
ZCCHC11	-3.10225
SYPL1	0.401
MGC34774	0.55975
C4orf28	-0.581875
KIAA1211	-0.469416666666667
RPS27L	-1.87175
TATDN3	-0.71075
PDCD1	-0.67075
OR5P2	0.748
IFIT1L	0.393
MIPOL1	-1.461
OR51D1	0.4665
C1orf92	-0.876
LAMP2	1.27822222222222
CAT	1.613
C16orf80	-0.25175
C15orf32	0.413
ZNF746	0.079
C1orf76	-1.023
ATXN1	0.683
LAMC2	-2.18925
SLC2A7	0.7465
CPOX	-2.218
APH1B	-0.7455
LOC442245	-0.77725
CTNND1	1.34316666666667
GABRG2	-0.610125
MADCAM1	0.504
F5	-2.09025
SEMA4F	-2.08233333333333
NUDCD3	-0.526375
PDZD11	-0.1595
TRIML1	-0.346
GCNT3	3.33633333333333
TMEM120A	1.98775
CNDP1	-0.561
N4BP1	-0.114375
SLC35F2	0.892875
LCP1	-2.50316666666667
IGBP1	-0.504
DCAKD	0.17
ELA2A	-0.477
C12orf56	-1.980875
PITRM1	-0.802214285714286
GUK1	1.18816666666667
RASSF8	-0.924875
OR2A14	0.79525
ADM	-0.536444444444445
FGD3	-0.543833333333333
GHRHR	0.441
RHPN2	1.51125
C4orf39	-1.452
VPS72	0.0175
SERF2	0.528333333333333
CD22	-0.280333333333333
CD47	0.5351
PPIC	0.9295
IMPDH1	-0.0536666666666667
ACP6	-0.3315
PRKACA	0.637625
PPP1R1A	2.983625
TRPV3	-0.1105
ASXL1	-0.9
C17orf55	-0.811833333333333
FXYD1	0.9035
LMOD2	0.1255
ANKRD33	0.821
LCE2C	-0.16675
ZNF620	-1.716
DKFZP566E164	-0.54275
VSIG2	2.90575
KIAA1128	1.1025
USO1	-0.2825
NUDT4	1.06771428571429
CLDN1	-1.05185714285714
OR4Q3	0.6295
FASTK	-0.1025
ICOS	-0.369
LDB1	0.31275
GSTA5	-0.08975
ABCC1	-2.33166666666667
FAM54A	-2.18225
PCBP2	-0.875833333333333
NUP205	-2.32475
ACTA1	-0.602166666666667
GABBR2	-1.37425
PIP5K1B	2.74683333333333
AGXT	-2.25816666666667
RNF181	-0.000750000000000001
ATP8A2	0.29675
AFTPH	1.42925
FGF21	0.37625
FCER1G	1.06125
SNTB1	2.5785
SLC24A3	1.1215
TXNL4B	-1.0499
RPL10L	-1.3795
LOC389517	-0.37545
TSGA13	0.234
SHOX2	-1.07233333333333
ITGA7	-0.3211
KCNIP2	-0.345166666666667
KLF13	0.116
ZFAND2A	-0.445
CEACAM1	4.41042857142857
PFKFB4	-2.54783333333333
MED19	-0.02425
LRRC57	-0.361833333333333
RNF11	-0.172
ANKRD32	-4.104
P117	0.175
OBFC2A	-1.04983333333333
POLD3	-0.449583333333333
RAB18	0.0765
TPH2	0.2435
PHB	0.9193
JDP2	2.23783333333333
MORF4L1	-1.4022
POU2F1	-0.202
CNNM2	-0.581833333333333
LOXHD1	0.278166666666667
ZC3H15	0.33875
ELK3	-0.948666666666667
FAM111B	1.24025
CBLC	1.51033333333333
SBNO1	0.41925
ANKMY2	1.43875
PLEKHA5	0.205
DHX58	0.497666666666667
ARCN1	0.356
TREML1	0.0832
KNCN	0.336
SEC24A	-1.420625
PSCA	-1.2845
MGC24125	0.321
DNA2L	-1.689
CIB4	0.23725
HIGD2A	-0.494666666666667
TBX6	0.232166666666667
TTLL5	-0.759833333333333
SGK3	0.3965
GCN1L1	-1.43725
AMOT	-0.6802
LDOC1	-1.74533333333333
NRK	-0.135333333333333
ASB9	-2.5095
NAT1	-0.1514
TRAFD1	-0.5365
PEAR1	0.0148333333333333
FAM36A	1.24775
OR1S2	-0.1555
LOC388323	-1.2195
PGS1	-0.299166666666667
LEPREL1	-3.59475
TFF1	-4.36375
HAP1	0.309
EPHB2	-1.32175
ACTG1	-0.337
ZFP42	-0.588333333333333
HAVCR2	-0.5887
NME1	-0.8345
SNX26	0.14125
LACTB	-0.839
ZKSCAN2	-0.6985
C5orf35	0.52225
ANKS3	-1.0185
RBM28	-0.52
DKFZP586P0123	-1.3435
HNRNPA1	-1.30616666666667
BCAS3	-1.30258333333333
FLJ20184	0.4015
POLA2	-1.56683333333333
TMC7	-0.984166666666667
HSD17B6	-1.3805
ZNF658B	1.02633333333333
TTTY10	-0.564333333333333
RANBP9	-0.307583333333333
CPNE7	-2.4015
EVL	-0.00776470588235292
LNX1	1.47216666666667
IFNA21	0.261333333333333
CFD	-1.4625
PYCARD	1.293
MYBPC2	-1.6115
ENPP3	0.043
ACSL4	-1.513
LOC440258	0.00900000000000012
TMEM176B	2.22933333333333
SOX2	-4.781625
SCO1	-0.295166666666667
COMT	0.368
AOC2	-0.6625
PDLIM5	2.38728571428571
SPHK2	1.45566666666667
NXPH2	-0.3165
GPR108	-0.0271666666666667
RAD51L1	-0.418
TMEM54	-0.0755
LETMD1	-1.33266666666667
SLC6A17	0.6145
KRT75	-0.038
STT3B	0.046
CD3EAP	1.92233333333333
TMEM63A	2.484
DUSP13	-2.25775
CD1C	-2.127
LASS2	0.535666666666667
AVP	1.9785
PITPNM1	-0.74525
FLJ22795	-2.8205
MCTP1	-2.63625
TRIM68	2.19716666666667
UCK2	0.00949999999999999
ABHD1	0.27125
FAM50A	-0.69675
RNASEH1	-1.71383333333333
PCP2	0.18
OR52H1	-0.4695
C20orf149	0.566
RBP5	-1.201
HYAL3	-0.95825
CLPB	-0.1665
SMNDC1	-0.06675
DONSON	-2.05566666666667
FLJ27523	-0.39525
BARHL2	0.280833333333333
SLC30A9	0.217
TMPRSS11B	-0.203
E2F8	-1.534
CCDC25	-0.61325
C14orf48	0.256666666666667
C20orf116	0.572625
TSPAN11	0.6355
YIF1B	-1.5845
FAM12B	0.32825
OR1L6	0.769
HPN	1.9172
NBN	0.431125
C14orf94	-1.13816666666667
OCLM	0.0125
ZSCAN18	0.9151
L3MBTL	-1.5547
TSTA3	2.86416666666667
RAC1	-0.07075
C19orf15	-0.158333333333333
NFE2	-4.98125
KLK14	1.02
ARSF	0.8545
MAST2	-0.6555
AMICA1	1.1675
GTF2A1	1.951375
ATP1A3	2.45075
TC2N	3.7821
PNKP	0.65875
ODZ2	-2.85175
MATR3	-0.219375
S100P	-1.22775
KRT82	0.9835
CA13	1.3605
PROZ	-1.393
AASDH	0.89725
C19orf40	-0.755
DCK	-1.23461538461538
FAM5C	-1.844
SLC6A4	-2.33
MID1IP1	-0.635875
TESSP5	0.3615
TMOD4	0.047
DOCK2	-2.52316666666667
TUG1	1.442875
NUP214	-0.69225
DPYSL2	0.00854545454545455
GOLM1	-1.00675
MPFL	0.686
SOX13	2.098
SDCCAG8	1.3849
KEL	-2.14966666666667
NUP210L	-1.86525
GK	-0.84475
DNAJB1	1.36075
ALPK3	0.3215
CHID1	0.5425
CYLC2	0.423666666666667
IKZF5	0.9765
C8orf51	2.16066666666667
PPM1J	1.1005
GIMAP8	2.28783333333333
GPR101	-0.1405
NR2F1	-0.2025
ACAD8	1.10475
RBM35A	2.03325
GNAI2	-1.54366666666667
METTL8	-0.0698333333333333
SLC39A7	0.582
FBXO8	0.18325
CAMK1	-1.1255
RFC3	-0.997125
FAM129A	1.63971428571429
ILF2	0.0375
FGFBP3	0.50375
NOM1	-1.09566666666667
PSMA3	-0.84725
ASCC3	-0.1611
ZYG11A	-3.24925
SOX21	-0.704875
LYRM1	-0.0855
DEFB1	0.994
LOC91431	-2.18866666666667
OR7C2	2.784
FAM46B	0.766
TMEM18	-1.987125
ARHGAP30	-0.506166666666667
TMEM86A	1.68133333333333
EPHA2	-0.7545
C10orf46	1.5763
TCHH	1.17583333333333
C3orf30	0.505833333333333
LOC285636	0.113833333333333
PAIP2	-1.0545
CYP2U1	-0.082625
C12orf34	2.73
SARS2	-0.748666666666667
ZCWPW1	0.764
SAMD12	0.54125
KIAA1430	-0.7455
ACAT1	-0.237
MEOX1	-0.875666666666667
ADAMDEC1	3.1995
PHKA2	-0.6665
CARD11	-1.79333333333333
CALML4	0.7715
TSSC1	-1.771
TMEM45A	-2.38744444444444
MPP7	1.784625
POU1F1	0.08775
SLC2A13	-0.5808
FBN2	2.74685714285714
ZC3H7A	-0.1562
LAIR2	-1.3455
ST3GAL1	2.54733333333333
LCT	2.62025
GEMIN8	0.799333333333333
KLF16	0.9221
HIF3A	0.8639
FAM44A	1.20214285714286
AQP10	-0.2131
PLA2G2A	-1.5445
FOLH1	2.5895
C20orf186	0.2295
MAPKAP1	-0.858625
SPRR2D	-1.33125
UBQLN4	0.829666666666667
RSHL1	0.655
PIAS3	0.353125
MRPL24	0.91925
GREB1	-3.680875
FAM27E3	-2.3275
NUP62CL	0.1475
NEUROG3	1.728
REEP3	1.91816666666667
MARK1	-0.24875
LMBRD1	-0.472
PRPF19	-0.7085
PNMT	-1.1335
CTGLF1	-2.006
SLC25A16	0.6195
EIF2B3	-0.2155
RPA2	-1.8665
PAK6	0.393833333333333
CCDC26	-3.920625
SEMA3E	-0.76875
MXD4	1.2899
TNFSF10	3.6981
SMARCB1	-0.847666666666667
DTX3L	1.74233333333333
PLA2G4E	0.5575
PPAP2A	-0.28175
ULK1	-1.05766666666667
TAS1R3	0.477
SLC2A3	-3.35236363636364
ARID3A	-2.368
GNG5	0.2465
ACOX1	1.3326
KIF5B	1.4575
NUP153	-0.634
MUC7	0.6935
CSDE1	-0.0650714285714286
CLPTM1	0.5135
C3orf23	-1.23575
LRRC17	-2.699
TTYH3	-0.085625
ATP5B	-1.128
ELF3	1.4759
CPSF3L	0.2925
ZNF665	0.39
TLR6	-0.5388
GPI	0.298375
RAD9A	-0.386375
NDST4	-3.27175
AGPAT3	-0.01625
MAGI3	1.83683333333333
ADORA2A	-0.843875
CACNG7	-0.5135
CAMK2D	-0.0978571428571429
CCHCR1	0.00775
RPS27A	-0.762
OR10G7	0.847333333333333
GCM2	-0.385
FAM135B	0.5936
E2F1	-0.967
PLCB3	0.49075
OR2AE1	0.1045
COIL	-0.973666666666667
CDC25C	-1.65366666666667
RAB11FIP2	0.362583333333333
TSC2	-0.379
CTGLF5	-1.6125
CCDC108	0.3224
OR13C4	0.52425
C10orf81	6.75325
PTPRB	0.92225
ACP2	0.29525
LAG3	-0.8895
MRPL54	-0.469
LOC201175	2.02
ITGB1BP3	-0.1445
SPTAN1	-0.695
SIPA1L2	2.3345
RCAN2	-0.3465
CDX2	-0.9075
ECOP	-0.93275
ACTR1A	-0.115928571428571
PPARG	0.4105
BBS10	0.249
TMEM44	-1.97925
BPIL2	0.227
CITED1	-2.0205
IRF6	4.43125
PRDM4	-0.918166666666667
RRP9	-1.304
OR10H4	0.45975
IL31RA	-1.0125
GNB1L	-1.60316666666667
MYBL2	-1.722125
ZNF407	0.591333333333333
PPIG	1.2955
TTC18	0.96475
RPSA	-1.0435
MAPT	-0.35075
MRE11A	-0.222
C8orf37	-0.537333333333333
RASGEF1C	-0.24
STBD1	-1.09125
CTAG2	-0.696
MGAT5B	-2.31883333333333
ECM1	-1.26175
RLN1	-0.513
PARP14	1.52925
EPB41L1	1.546
HOXA3	1.38816666666667
MAGEA9	-4.957
RPS8	-0.742333333333333
RPS19BP1	1.18725
FOXJ2	-0.469375
C10orf76	-0.21025
IL17RE	0.618
C10orf65	-1.31325
ZNF343	-0.0423333333333333
FBXO33	0.46225
UHMK1	1.0422
LY6G6C	-0.594
FGF19	-1.8635
C14orf128	1.028
IFIT2	4.470875
TIGD1	0.59725
S100G	0.3885
GUCY1B3	2.112
NR3C1	-0.8879
CORO1B	0.5135
PARP11	-0.95325
DNALI1	-0.6015
OR4N4	0.514875
MAP2K6	1.09783333333333
FSTL4	-0.3475
ANKRD47	0.66425
TMEM171	0.9475
PNLIP	-0.16825
YY1	1.01666666666667
CCDC138	-2.4455
AASDHPPT	-0.119
CKS1B	-0.0928000000000001
MCM3	-1.2205
ANAPC7	-0.955
FAM110A	1.629
CDC37L1	0.777666666666667
THTPA	0.684
NBPF20	-0.3025
WDR24	0.553
NPTX2	-2.5625
CBLB	1.66516666666667
CETN1	0.663166666666667
RPUSD1	0.5125
FAF1	-0.91525
CDK6	-0.3944
HMX2	-0.00749999999999999
CSK	-0.898333333333333
TEAD2	1.483
SNAP25	-1.70975
TUFT1	1.4654
TMTC3	0.1335
LCK	-3.17325
SGOL1	-1.0635
AKTIP	-0.1005
FURIN	0.84475
SOX12	-0.575833333333333
DEFB103A	-0.8125
RAMP1	0.07775
KIR3DX1	-0.581
GAS2L3	-0.5655
PDE8A	-3.3157
EDN3	4.0945
GMIP	0.7025
SF3A2	1.16275
FN3KRP	0.25925
SMAD7	-0.2905
RHBDD2	1.38075
OR11H6	0.7545
PPP1R3B	1.833
C9orf23	0.652
CADPS	-1.992
GOLGA8A	-3.836875
TMEM57	0.0583333333333333
RGL3	0.392
S100A14	-1.01975
FGFR2	3.0643125
XRCC3	-0.40825
RTN4RL2	0.8355
MGC3771	0.5575
GH2	0.580333333333333
BTBD2	-0.51325
LMO2	-0.902
RDBP	0.01225
ACRBP	-2.1375
AMY2A	5.8575
DUOXA1	1.413
PTK7	2.0225
TWF2	-0.392333333333333
FAM80A	-1.3715
TNNI2	-2.973
GLT25D1	-0.9335
OCC-1	-4.823
CYC1	0.905666666666667
RPL22	0.423909090909091
MORN3	-0.041
DISP1	0.51125
PRB2	0.442
CHUK	-1.2075
HR	0.930625
CCDC134	1.116
DENND4B	-1.2535
C14orf130	0.410375
RAB33A	-3.00675
DCST2	0.615
TNMD	-2.16525
PEX7	0.34275
FAM62A	0.359125
SRD5A2L	-0.95
IL22	-0.98975
RPS26	-0.932666666666667
HOXC5	-0.08
SPATA6	0.646
FLJ38482	0.446875
ZNF234	2.321
C18orf22	-0.057
SPATA22	0.47975
THOC1	-1.00975
CYP7B1	5.6495
KCNC3	1.5835
C8orf42	-0.2795
ALDH1B1	-0.7135
CCDC100	-1.9446
ARMC4	-3.53425
FAM18B2	-0.5445
SLC44A1	-0.604
FBXO17	-1.95983333333333
C6orf107	0.03175
C19orf29	-0.339
ZC3HAV1L	0.16575
PARP6	-0.6771
SULT2A1	-4.4405
C1orf159	0.31425
TMC1	0.64975
CHST14	-0.229625
GAMT	-1.345
SMCP	0.459333333333333
TSPAN33	2.40566666666667
MIDN	0.475875
NOX4	0.2935
RNASEN	-2.066
TBX1	-1.88866666666667
SALL2	-0.7515
C10orf35	1.22875
CYP2E1	-1.554
LRFN2	-0.0771666666666667
ACO1	-1.0825
IQCG	2.1683
MEGF9	-1.91825
TM7SF4	1.176
PLEKHA1	1.72766666666667
STK33	-3.46975
C1orf210	3.464
SNUPN	-0.4661
KIAA0406	-1.5089
C20orf29	0.4585
TMEM55B	0.2115
OSTM1	-1.46825
CLCN7	0.16075
OTP	0.3345
FLJ23049	-1.0095
HEATR4	0.131
MAP3K10	1.11033333333333
PCDHGA9	0.728
AMDHD2	-0.5405
LCTL	-1.638
PDCD2L	-0.43525
CABLES2	-0.60225
SLC5A9	0.013
CLCA2	-1.88883333333333
MGC16025	-0.1685
STRAP	-2.26083333333333
C20orf196	-1.106
RRBP1	2.07433333333333
NAT13	0.773
MAT2B	-0.7825
CSNK1D	-0.716666666666667
KIR3DL1	0.8315
PRKAG3	-0.271
ZNF599	-1.164
PRM3	1.0615
PER2	-0.1265
ASPHD1	1.247
PRMT6	-0.49625
KCNE1L	-0.379857142857143
FAM118A	0.546166666666667
TAF4	-0.87625
NDUFB6	-0.37275
TRIM9	-1.48075
PMFBP1	-1.297
KY	0.531
DKFZp762E1312	-1.40672727272727
CSMD1	1.432
TBP	-0.637666666666667
OR1Q1	0.502
RETNLB	0.2015
HPGD	-0.751214285714286
DNAJC12	-3.7
FKBP1B	-2.35675
ANKRD24	-0.331333333333333
CXXC5	-1.14033333333333
IL3	0.499857142857143
DRAM	0.0846
PTCH1	0.027
TP53BP1	-1.202
SLC17A7	0.442875
COL25A1	1.5266
AMACR	-1.69616666666667
RHCG	4.5675
VPS13A	-0.561166666666667
FAM55D	3.0715
PRPF38B	-0.836583333333333
OSBPL6	-1.83675
PFDN5	0.1637
CMTM6	1.801
KCNK12	-1.45175
RP2	-0.5695
C16orf52	-2.769
PICK1	1.102
IFNE1	-1.37083333333333
SEMA4B	-0.42775
TYRO3	-1.20475
OR12D2	0.4855
CSNK1A1	-0.34665
FANCF	1.391
LONP2	0.777875
TBL1Y	1.099
LDOC1L	0.227625
CCNC	-0.1195
C3orf60	-1.082
CHKA	1.11525
UBAP1	-0.30025
MAP3K1	1.6455
ANKRD9	0.7485
FAM92A1	-3.67166666666667
GAB2	0.221375
AZU1	-0.43875
DIS3	-0.704
C21orf109	-0.3915
IQCB1	-1.5035
SPATS2	-2.25266666666667
EFCAB3	0.06175
PRB3	1.805875
FUZ	0.948166666666667
ZNF813	0.541125
BMPER	-1.46016666666667
HEG1	-0.976625
ALS2CR11	-0.9455
SURF2	0.435
PSMC1	0.430083333333333
OR2D2	0.0835
SLC7A8	1.19833333333333
C4orf40	3.0535
SPATA7	-0.46875
MAZ	-0.688833333333333
PIN4	-0.088
PDE1A	-1.389125
TAF6L	0.4565
OR2T34	0.426
KIAA0284	1.079
ACADS	0.265636363636364
MKRN2	-0.747
C18orf56	-1.334
MS4A6E	0.117333333333333
GALNT4	-0.2073
C22orf31	0.6165
FLJ36070	0.834
PSME4	-0.5185
TFG	-0.5204
EPHX2	0.536125
ANXA5	0.073125
KRTAP1-1	0.2601
BATF	1.8455
KARS	-1.10575
MSTP9	-0.838
GPR26	-0.069125
CCDC72	-0.89275
TEF	1.7045
FOXK1	-0.3507
PRLHR	0.4735
EMX1	1.1205
C11orf30	0.6355
ICK	2.303625
THSD7B	0.1345
C21orf100	-1.038
DUOX1	2.094
EFCAB4B	-0.217
UBE2G2	-0.757333333333333
C3orf54	0.8325
PARP1	-0.52575
FAM60A	-1.053
C6orf146	0.375
OR9K2	0.264
DDX55	-2.12316666666667
RPS15	-0.348166666666667
ZNF618	-0.42325
DKFZp686D0972	-0.0525
SSPO	-1.1315
SHFM3P1	-0.360333333333333
CPA6	-1.082
JAG2	0.541
DEFA3	1.68825
PPBPL2	0.8025
CD34	3.710375
SLCO4A1	-2.592
AFG3L1	-2.894
SHD	-0.72575
RP13-122B23.3	-0.145166666666667
PRKCSH	-0.406333333333333
DPH5	-0.811
HLA-F	2.1705
TBC1D4	1.543
RIG	-0.298666666666667
GLUD1	-0.2705
HNRPCL1	0.215875
HBXIP	-0.42475
RNF207	-0.8195
APIP	-0.0335
PLA2G3	1.54233333333333
CCDC84	-1.737
MYLIP	1.44915384615385
PHIP	-0.24225
AARS2	-0.437166666666667
DHX32	0.6575
SCAPER	-0.901833333333333
MEN1	-0.101
NIP7	-0.58475
FLJ25404	0.673
FASTKD3	-0.94
TMEM158	-2.46283333333333
RARA	0.69425
BDH1	0.868
ANKRD16	2.20275
CARM1	1.9435
SS18	0.495333333333333
IKZF2	1.79783333333333
MYD88	-0.776125
PML	0.11135
TAF1A	-1.4865
CBFB	0.07875
HIST1H3H	0.3285
C7orf29	-0.9285
COMMD4	-1.5415
DPP3	-1.03275
DAB2	-0.311375
LOC388882	-0.1565
YPEL4	-0.963625
AGBL3	1.71725
LRP6	1.318
SERPINH1	-0.255416666666667
TLE1	1.5175
CD244	0.333333333333333
ZDHHC15	0.883
MGLL	1.771
PLDN	-0.835916666666667
LOC654346	1.835
FAP	-0.44525
GPR37	2.67683333333333
SCARA5	0.222333333333333
EBF4	1.55381818181818
LSM6	-0.7285
MLLT1	-0.455125
SLC5A12	-0.14725
A2BP1	-1.398
COPS5	0.00166666666666667
TPM4	0.240357142857143
TNFSF4	-1.55083333333333
ACADSB	1.20005555555556
HERPUD1	0.62825
BCL2L11	-1.55322222222222
CEP78	-2.024
CDCA3	-1.4525
WBSCR19	0.6735
MYO1A	-2.9405
PPEF1	1.49433333333333
LOC440348	-1.45675
CPEB2	1.348375
BPTF	-0.0209166666666667
RPL21	-0.6605
GSX2	0.196
ADPRH	1.33033333333333
C17orf68	-1.22366666666667
KCNS1	4.86533333333333
MLLT6	-0.2499
PIWIL4	1.03275
RNF26	-0.5555
RAP1B	-0.9105
ADAMTS1	-1.0038
ZNF571	0.30475
P2RY6	-1.364
TRIM21	1.48733333333333
CADM3	0.40425
NLRC5	0.667833333333333
ADRA2B	1.52583333333333
LOC90835	-1.293
PCF11	-0.19975
LOC400451	1.754
GLTSCR1	1.0758
C17orf88	-0.000666666666666667
CDH16	-1.8175
FGF7	0.775375
PCSK4	0.0715
NPC1L1	-1.39733333333333
TAT	0.192875
TBCA	-1.763
MGC33407	-0.20425
GPR115	-1.447125
CYGB	0.13
FNBP4	-1.37316666666667
C12orf43	-0.89
CBL	0.3104
CLECL1	0.12925
PPAPDC1A	-1.24575
WDR25	0.190333333333333
SGCA	2.1545
C22orf29	-0.1615
YIPF1	0.71625
GALK2	-0.81275
RAB3B	-3.37966666666667
LOC440087	-1.1545
UCP1	0.0855
REEP5	0.685125
FADD	-0.4764
FOXA1	-0.86125
CACNA1A	0.890833333333333
ABI1	-0.163666666666667
GRIN2D	1.49375
SLC1A4	-0.874333333333333
LOC401127	-0.18575
HINT2	0.56
PLD4	-0.429666666666667
ZNF286A	-1.4855
ENY2	0.557
IL1F6	0.386
PXDNL	1.66475
C20orf79	0.1615
TNFSF13B	1.66983333333333
DENND3	1.734
JARID1D	-2.95875
HIST1H2AK	1.377125
LOC93349	-0.3581
SSH1	-1.2127
ENSA	0.24625
